,model,output,interpretable,attributable,cells,reasoning,id,set,language,lang
15,mt5_xxl,Àwọn ọmọ tí a fúnnilóúnjẹ láti inú ìgò ló pọ̀ju ninu oúnjẹ jíjẹ ju àwọn ọmọ tí a fúnnilóúnjẹ nìkan ṣoṣo lọ.,1.0,1.0,6.0,1.0,FR346-yo-60,test,,yo
16,ssa_mt5,Ìdá mẹ́tàdínlọ́gbọ́n nínú ìdá ọgọ́ọ̀rún àwọn ọmọ tí ọjọ́-orí wọn kòtó 2 lọ́jọ́ orí wọn kòtó 2 lọ́wọ́lọ́yàn ní ọjọ́-orí wọn kòtó 2 lọ́wọ́lọ́wọ́lọ́yàn ní ọjọ́-orí wọn kòtó 2 lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ́wọ́lọ,0.0,,,,FR346-yo-60,test,,yo
11,ssa_mt5,Ìdá 13 nínú ìdá ọgọ́ọ̀rùn àwọn obìnrin ní ọdún 2001 sí 2 nínú 3 nínú 3 nínú 3 nínú 3 nínú 3 nínú 3 nínú ìdá ọgọ́ọ̀rùn àwọn obìnrin ní ọdún 2018.,0.0,,,,SR261-yo-15,dev,,yo
12,mt5_xxl,Àwòrán 9 ń fihàn pé ìdá kan nínú ìdá mẹ́rin àwọn obìnrin tí ọjọ́ orí wọn jẹ́ 15-49 jẹ́ ìwúwo ju bótiyẹ lọ tabi sanra lásanjù.,1.0,0.0,,,SR261-yo-15,dev,,yo
13,reference,"Àpọ̀jù ìwọ̀n àti sísanrajù ti pọ̀ si níwọ̀n ọdún 20 sẹ́yìn, lati òdiwọ̀n ìdá 9 nínú ìdá ọgọ́ọ̀rùn ni ọdún 1995-96 sí Òdiwọ̀n ìdá 28 nínú ìdá ọgọ́ọ̀rùn ni ọdún 2018.",1.0,1.0,7.0,1.0,SR261-yo-15,dev,,yo
14,mt5_small,Ìdá mẹ́tàdínlọ́gbọ́n àwọn obìnrin pẹ̀lú ọjọ́ orí 15-49 tí wọ́n jẹ́ lọ́dún 2006 sí ìdá 28 nínú ìdá ọgọ́ọ̀rùn àwọn obìnrin ní ọdún 2018.,0.0,,,,SR261-yo-15,dev,,yo
7,reference,"Ìdá ọgbọ̀n nínú ìdá ọgọ́ọ̀rún àwọn obìnrin tí wọ́n l’ọ́kọ lọ́wọ́lọ́wọ́ ló ńlo IUD náà, ìdá 16 nínú ìdá ọgọ́ọ̀rún ló ńgbáralé òògùn oníkóró náà, tí ìdá 9 nínú ìdá ọgọ́ọ̀rún sì ńlo àwọn òògùn tóṣeé gún bíi abẹ́rẹ́.",1.0,0.0,,,FR302-FR306-yo-7,test,,yo
8,ssa_mt5,Ìlò tówà lọ́wọ́lọ́wọ́ nípa ọ̀nà àtiṣe ti ọ̀làjú ̄kan tí ó sì wànípò tóṣeé gún bíi abẹ́rẹ́ (ìdá 59 nínú ìdá ọgọ́ọ̀rún) tí ó sì wànípò tóṣeé gún bíi abẹ́rẹ́ (ìdá 5 nínú ìdá ọgọ́ọ̀rún) tí ó sì wànípò tóṣeé gún bíi abẹ́rẹ́ (ìdá 5 nínú ìdá ọgọ́ọ̀rún).,0.0,,,,FR302-FR306-yo-7,test,,yo
9,mt5_small,Ìlò tówà lọ́wọ́lọ́wọ́ nípa ọ̀nà àtiṣe ti ọ̀làjú ̄kan tí ó sì ńlo ó lọ́wọ́lọ́wọ́ nípa ọ̀nà àtiṣe ti ọ̀làjú ̄kan tí ó sì ńlo òògùn oníkóró (ìdá 61 nínú ìdá ọgọ́ọ̀rún) àtiṣe ti ọ̀làjú ̄kan tí ó sì ńlo òògùn oníkóró (ìdá 58 nínú ìdá ọgọ́ọ̀rún),0.0,,,,FR302-FR306-yo-7,test,,yo
10,mt5_xxl,Ìlò tówà lọ́wọ́lọ́wọ́ ní àwọn ọ̀nà àtiṣe àbáláyé èyíkéyìí ńyàtọ̀ nípati ọ̀nà àtiṣe.,0.0,,,,FR302-FR306-yo-7,test,,yo
9,mt5_xxl,Àwọn àṣà níní àti lílò ITN ní àwọn ilé-ìgbé tó pọ̀ ju àwọn àṣà ní 2008-09 lọ. Àwọn àṣà níní àti lílò ITN ní àwọn ilé-ìgbé tó pọ̀ ju àwọn àṣà ní 2008-09 lọ.,0.0,,,,FR308-yo-21,dev,,yo
10,mt5_small,Ìdá nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé lábẹ́ ọjọ́ orí 5 nínú ìdá ọgọ́ọ̀rún àwọn,0.0,,,,FR308-yo-21,dev,,yo
11,ssa_mt5,"Ní 2008-09, ìdá 56 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé tí wọ́n ní ìráàyè sí ìdá 52 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé tí wọ́n ní ìráàyè sí ìdá 49 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé tí wọ́n ní ìráàyè sí ìdá 49 nínú ìdá ọgọ́ọ̀rún àwọn ọmọdé tí wọ́n ní ìráàyè sí ìdá 49 nínú ìdá ọgọ́ọ̀rún àti ìdá 51 nínú ìdá ọgọ́ọ̀rún.",0.0,,,,FR308-yo-21,dev,,yo
12,reference,"níní àti lílò àwọn àwọ̀n apẹ̀fọn ti pọ̀ síi ní bíi ọdún mẹwa sẹ́yìn, pẹ̀lú ìyàtọ̀ tí ó tóbi jù láti 2003 sí 2008-09.",1.0,1.0,9.0,1.0,FR308-yo-21,dev,,yo
10,ssa_mt5,Ìdá méjìdínlọ́wọ́ nínú ìdá ọgọ́ọ̀rún àwọn ìbímọ alààyè ní ọdún márùn-ún tó saájú ìwádìí oníîbéèrè náà.,0.0,,,,FR359-yo-51,test,,yo
11,mt5_xxl,"Ìdá mẹ́rindinlọgọ́rin àwọn obìnrin ló ní ìrànlọ́wọ́ ọ̀dọ̀ olùṣègùn kan, ìdá kan nínú ìdá mẹ́rin àwọn obìnrin ló ní ìrànlọ́wọ́ ọ̀dọ̀ olùtọ́jú aláìsàn tabi agbẹ̀bí kan.",1.0,0.0,,,FR359-yo-51,test,,yo
12,reference,Ó ṣe pàtàkì láti kíyèsíi wipe àwọn ìbátan àwọn obìnrin aláboyún ńṣe ìrànlọ́wọ́ ninu ìdá 22 nínú ìdá ọgọ́ọ̀rún àwọn ìbímọ.,1.0,1.0,2.0,1.0,FR359-yo-51,test,,yo
13,mt5_small,Ìdá mẹ́tàdínlọ́wọ́ olùtọ́jú aláìsàn/abẹ̀bí ńpọ̀síi láti ìdá 42 nínú ìdá ọgọ́ọ̀rún ní awọn ìbímọ alààyè ní awọn ọdún márùn-ún tó saájú ìwádìí oníîbéèrè náà.,0.0,,,,FR359-yo-51,test,,yo
11,reference,"Ní àfikún, òdiwọ̀n ìdá 4 nínú ìdá ọgọ́ọ̀rún àwọn obìnrin tóti lọ́kọ́ rí ni ó sọ wípé wọ́n ti ní ìrírí ìbálòpọ̀ pẹ̀lú ipá nípasẹ̀ ọwọ́ ọkọ tí wọ́n ní lọ́wọ́lọ́wọ́ tàbí eléyìí tí wọn ṣẹ̀ṣẹ̀ kọ̀sílẹ̀ àti òdiwọ̀n ìdá 19 nínú ìdá ọgọ́ọ̀rún ní sọ nípa ìgbénilẹ́mìn gbóná.",1.0,1.0,6.0,1.0,SR223-yo-15,test,,yo
12,mt5_xxl,Ìdá mẹ́rindinlọgọrun àwọn obìnrin tí ó ti ṣe ìgbeyàwó rí sọ pé wọ́n ti ní ìrírí ìwà ipá láti ọwọ́ ọkọ wọn ní àwọn oṣù 12 tógbẹ̀yìn.,1.0,0.0,,,SR223-yo-15,test,,yo
13,ssa_mt5,Ìdá 13 nínú ìdá ọgọ́rùn àwọn obìnrin tí wọ́n ti ní ìrírí àwọn ìpalára ọkọ-ìyàwó rí tí wọ́n ti ní ìrírí àwọn ìwà ipá láti ọwọ́ ọkọ tabi ìyàwó.,0.0,,,,SR223-yo-15,test,,yo
14,mt5_small,"Ìdá 13 nínú ìdá ọgọ́rùn àwọn obìnrin tí wọ́n ti ní ìrírí àwọn ìpalára ọkọ-ìyàwó rí wọn kòní ìrírí àwọn ìpalára ọkọ-ìyàwó ní àfojúrí tàbí ìbálòpọ̀, nigbati ìdá 14 nínú ìdá ọgọ́rùn àwọn obìnrin tí wọ́n ti ní ìrírí àwọn ìpalára ọkọ-ìyàwó ní àfojúrí tàbí ìbálòpọ̀.",0.0,,,,SR223-yo-15,test,,yo
18,mt5_xxl,Ìṣọwọ́gbilẹ̀ àìsàn ibà maleria ńyàtọ̀ lọ́nà tó láàmì káàkiri àwọn ẹ̀ka (ìdá 17 nínú ìdá ọgọ́ọ̀rún ní àwọn ẹ̀ka Litorali àti ìdá 45 nínú ìdá ọgọ́ọ̀rún ní àwọn ẹ̀ka Borgou àti ìdá 16 nínú ìdá ọgọ́ọ̀rún ní àwọn ẹ̀ka Litorali àti ìdá 16 nínú ìdá ọgọ́ọ̀rún ní àwọn ẹ̀ka àtilantiki).,1.0,1.0,18.0,1.0,OD78-yo-43,dev,,yo
19,ssa_mt5,"Ìṣọwọ́gbilẹ̀ àìsàn ibà maleria ńyàtọ̀ lọ́nà tó láàmì káàkiri àwọn ẹ̀ka nípati ẹ̀ka nípati ẹ̀rọ awokòkòrò-àrùn, ní àfiwé pẹlu ìdá 32 nínú ìdá ọgọ́ọ̀rún ní Alibori sí ìdá 32 nínú ìdá ọgọ́ọ̀rún ní Mono.",1.0,0.0,,,OD78-yo-43,dev,,yo
20,reference,Ìṣọwọgbilẹ àìsàn ibà maleria laarin àwọn ọmọ tí ọjọ́ orí jẹ́ àwọn oṣù 6-59 náà ńna ọwọ́jà láti ìdá 17 nínú ìdá ọgọ́ọ̀rún ní Littoral sí ìdá 51 nínú ìdá ọgọ́ọ̀rún ní Couffo.,1.0,1.0,18.0,1.0,OD78-yo-43,dev,,yo
21,mt5_small,"Ìṣọwọ́gbilẹ̀ àìsàn ibà maleria ńyàtọ̀ lọ́nà tó láàmì káàkiri àwọn ẹ̀ka nípaṣẹ̀ líló ẹ̀rọ awokòkòrò-àrùn, nigbati ìdá 42 nínú ìdá ọgọ́ọ̀rún àwọn ọmọ tí ọjọ́-orí wọn jẹ́ àwọn oṣù 6-59 tó láàmì káàkiri àwọn ẹ̀ka nípaṣẹ̀ líló ẹ̀rọ awokòkòrò-àrùn.",0.0,,,,OD78-yo-43,dev,,yo
9,ssa_mt5,Ìdá mẹ́tàdínlọ́gbọ̀n nínú ìdá ọgọ́ọ̀rún àwọn obìnrin ní ọjọ́-orí wọn jẹ́ 15-49 ni wọ́n ní ìráàyè sí ìdá 48 nínú ìdá ọgọ́ọ̀rún ní ọdún 15-49 ni wọ́n ní ìráàyè sí ìdá 48 nínú ìdá ọgọ́ọ̀rún ní ọdún 15-49 ni wọ́n ní ìráàyè sí ìdá 48 nínú ìdá ọgọ́ọ̀rún ní ọdún 15-49 ni wọ́n ní ìráàyè sí ìdá 48 nínú ìdá ọgọ́ọ̀rún ní ọdún 15-49 ni wọ́n ní ìráàyè sí ìdá 48 nínú ìdá ọgọ́ọ̀rún ní ọdún 15-49 ni wọ́n ní ìráàyè sí ìdá 48 nínú ìdá ọgọ́ọ̀rún ní ọdún 15-49 ni wọ́n ní ìráàyè sí ìdá 48 nínú ìdá ọgọ́ọ̀rún ní ọdún 15-49 ni wọ́n ní ìráàyè sí ìdá 48 nínú ìdá ọgọ́ọ̀rún ní ọdún 15-49,0.0,,,,SR238-yo-2,test,,yo
10,mt5_xxl,Ìdá mẹ́rindinlọgọ́rin àwọn obìnrin àti ìdá mejidinlọgọrin àwọn ọkùnrin kòní ẹ̀kọ́ kankan.,1.0,0.0,,,SR238-yo-2,test,,yo
11,mt5_small,Ìdá mẹ́tàdínlọ́gbọ́n àwọn obìnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin àti àwọn ọkùnrin,0.0,,,,SR238-yo-2,test,,yo
12,reference,Iye tó lé ní ìdá kan nínú ìdá mẹ́ta àwọn obìnrin àti 3 nínú àwọn ọkùnrin 10 lọ sí ilé ẹ̀kọ́ aláàkọ́bẹ̀rẹ̀.,1.0,1.0,3.0,1.0,SR238-yo-2,test,,yo
13,reference,"Na nchịkọta, oke nke ụmụ nwoke na aṅụ nwanyị ugbu a ndị chọkwuru ụmụaka bụ pasentị 12, ma atụlee yana pasentị 19 n'etiti ụmụ nwanyị nọ na di ugbu a.",1.0,1.0,9.0,1.0,FR293-ig-10,dev,,ig
14,mt5_small,Ụmụ nwanyị ndị chọkwuru ụmụaka dị ndụ bụ ọnụọgụ nke ụmụaka dị ndụ n'etiti ụmụ nwoke ndị chọkwuru ụmụaka dị ndụ n'etiti ụmụ nwoke ndị chọkwuru ụmụaka dị ndụ bụ ọnụọgụ nke ụmụaka dị ndụ n'etiti ụmụ nwoke,0.0,,,,FR293-ig-10,dev,,ig
15,ssa_mt5,"Pasentị iri asaa na asaa nke ụmụ nwanyị na ụmụ nwoke nọ n'alụm di na nwunye ndị chọkọ ụmụaka, ma atụlee yana 49% nke ụmụ nwoke nọ n'alụm di na nwunye.",1.0,0.0,14.0,1.0,FR293-ig-10,dev,,ig
16,mt5_xxl,Pasentị iri otu na otu nke ụmụ nwanyị na ụmụ nwoke ndị nwere ụmụaka isii ma ọ bụ karịa ndị ahụ nwere ụmụaka abụọ ma ọ bụ karịa ndị ahụ nwere ụmụaka abụọ ma ọ bụ karịa,0.0,,,,FR293-ig-10,dev,,ig
9,ssa_mt5,Ụmụ nwanyị nọ na mpaghara mepere emepe nwere ike ịkpesa ihe mmereme QA ma ọ bụ karịa n'etiti ụmụ nwanyị nọ na mpaghara ime obodo.,0.0,,,,SR238-ig-26,dev,,ig
10,mt5_xxl,Oke mgbakọ ọgịga ụlọ akwụkwọ sekọndrị na adịkarị obere n'etiti ụmụ nwoke karịa n'etiti ụmụ nwanyị.,1.0,1.0,6.0,1.0,SR238-ig-26,dev,,ig
11,mt5_small,Ụlọ akwụkwọ sekọndrị n'etiti ụmụ nwanyị nọ na Cameroon nwere ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa ịnweta ohere karịa,0.0,,,,SR238-ig-26,dev,,ig
12,reference,Ụmụ nwoke nwere ike ịga ụlọ akwụkwọ sekọndrị (43%) karịa ụmụ nwanyị (37%).,1.0,1.0,7.0,1.0,SR238-ig-26,dev,,ig
17,ssa_mt5,"Njupute ịba a na adị iche iche nke ukwuu site na nyocha, site na 28% na Alibori ruo 47% na Mono.",1.0,1.0,14.0,1.0,OD78-ig-43,dev,,ig
18,reference,Njupute nke ịba dị obere nke ukwuu na Littoral (17%) karịa na ngalaba niile ndị ọzọ.,1.0,1.0,14.0,1.0,OD78-ig-43,dev,,ig
19,mt5_xxl,"Njupute ịba na adị iche iche nke ukwuu n'ofe ngalaba, site na 17% na ngalaba dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara dị na mpaghara",0.0,,,,OD78-ig-43,dev,,ig
20,mt5_small,"Ụmụaka dị ọnwa 6-59 ndị gosiri positivu maka ịba site na nyocha, site na 17% na Alibori ruo 71% na Mono.",0.0,,,,OD78-ig-43,dev,,ig
23,ssa_mt5,"Ọnụọgụ ndị ọzọ kachasị na egosi na ụmụaka nọ na Tanzania nwere ụmụaka 3.9, ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma atụlee yana ụmụaka 1.4 ma ọ bụ karịa.",0.0,,,,FR229-ig-1,dev,,ig
24,mt5_xxl,Pasentị iri itoolu na otu nke ụmụ nwanyị yana pasentị iri ise na otu nke ụmụ nwoke nọ na Tanzania.,0.0,,,,FR229-ig-1,dev,,ig
25,mt5_small,Ụmụ nwanyị nọ na Tanzania nwere ụmụaka 3.5 kwa nwanyị nọ na mpaghara dị afọ 7 gara aga.,0.0,,,,FR229-ig-1,dev,,ig
26,reference,Nyiwe ahụ na egosi nnukwu mgbatu n'ọnụọgụ ndị mmadụ n'etiti ụmụ nwanyị dị afọ 10-14 yana ndị dị afọ 15-19.,1.0,1.0,19.0,1.0,FR229-ig-1,dev,,ig
8,mt5_small,"Ụmụ nwoke nwere ọrụ dị afọ 15-49, ebe ụmụ nwoke nwere ọrụ dị afọ 15-49 nwere ọrụ dị afọ 15-49, ebe ụmụ nwoke nwere ọrụ dị afọ 15-49 nwere ọrụ dị afọ 15-49, ebe ụmụ nwoke nwere ọrụ dị afọ 15-49 nwere ọrụ dị afọ 15-49.",0.0,,,,FR313-ig-1,test,,ig
9,reference,"Karịa pasentị 60 ụmụ nwanyị na arụ ọrụ nwetara ọrụ n’ọnọdụ ndị ọkachamara, teknụzụ, na nchịkwa ma ọ bụ n’ọrụ ọdịde akwụkwọ.",1.0,1.0,12.0,1.0,FR313-ig-1,test,,ig
10,ssa_mt5,"Na nchịkọta, 26% nke ụmụ nwanyị na 22% nke ụmụ nwoke ndị nwere ọrụ dị afọ 15-49, ebe 43% nwere ọrụ ugbo, ebe 11% nwere ọrụ ugbo.",0.0,,,,FR313-ig-1,test,,ig
11,mt5_xxl,"N’etiti ụmụ nwanyị, ọrụ a na adịkarị obere n’etiti ndị ọkachamara/teknụzụ/nchịkwa (53% na 7%).",0.0,,,,FR313-ig-1,test,,ig
11,reference,Enwekwara mgbada na pasenteji nke ụmụaka dị gịrịgịrị mana gbagoro ruo naanị na 2009.,1.0,1.0,6.0,1.0,TR8-ig-28,dev,,ig
12,mt5_xxl,"Pasenteji nke ụmụaka sụrụ mkpụmkpụ gbadara n'ofe afọ gara aga, site na 19.6% na 1990 ruo 8.0% na 2009",1.0,1.0,7.0,1.0,TR8-ig-28,dev,,ig
13,mt5_small,"Pasenteji nke ụmụaka ahụ ndị sụrụ mkpụmkpụ gbadara site na ọkọlọtọ WHO, site na ọkọlọtọ WHO, ma ọ bụ tupu nyocha ahụ gbadara site na ọkọlọtọ WHO, ma ọ bụ ndị ahụ gbadara site na 3.0 na 1990 ruo 2.4 na 2012",0.0,,,,TR8-ig-28,dev,,ig
14,ssa_mt5,Pasenteji nke ụmụaka ndị dị gịrịgịrị ndị dị gịrịgịrị ndị dị gịrịgịrị n'etiti 1990 na 2009,0.0,,,,TR8-ig-28,dev,,ig
9,mt5_xxl,"Pasentị itoolu nke ụmụaka na erughi afọ 5 sụrụ mkpụmkpụ ma ọ bụ dị gịrịgịrị, ma atụlee yana 8% na 2009 yana 3% na 2012.",1.0,1.0,8.0,,SR202-ig-13,test,,ig
10,reference,"Naanị 3% nke ụmụaka Jordan tara ahụ, ma ọ bụ dị oke gịrịgịrị maka afọ ha.",0.0,,,,SR202-ig-13,test,,ig
11,ssa_mt5,"Na Jordan, ụmụaka na erughi afọ 5 dị afọ 5 dị gịrịgịrị (pasentị 7) nwere ike ịme akwụkwọ dị mma (pasentị 7)",0.0,,,,SR202-ig-13,test,,ig
12,mt5_small,"Ịmụaka nwere ọkara nke ụmụaka ndị nne ha gịrịgịrị n'etiti 2002 na 2007, site na 2% na 2007 ruo 2% na 2012.",0.0,,,,SR202-ig-13,test,,ig
22,mt5_small,Ụmụ nwanyị nọ na mpaghara mepere emepe nwere ohere ịnweta ITN n'ọnwịnwe ITN n'etiti ezinụlọ nọ na mpaghara mepere emepe.,1.0,1.0,3.0,0.0,MIS20-ig-11,test,,ig
23,ssa_mt5,"Na nchịkọta, ọnwịnwe ITN n'etiti ezinụlọ nwere ọnwịnwe ITN n'ezinụlọ kachasị na mpaghara mepere emepe (pasentị 52) yana ọnwịnwe ITN n'ezinụlọ kachasị na mpaghara ime obodo (pasentị 49).",0.0,,,,MIS20-ig-11,test,,ig
24,mt5_xxl,"Pasentị iri asaa na otu nke ezinụlọ nọ n'ime obodo nwere ike ịnwe ITN, ma atụlee yana pasentị 58 n'oke akụnụba kachasị.",1.0,1.0,9.0,1.0,MIS20-ig-11,test,,ig
25,reference,"N'etiti mpaghara, ọnwịnwe ezinụlọ nke ITN bidoro na pasentị 53 nke ezinụlọ ndị nọ na Akụkụ Ndịda na Ọdịda Anyanwụ ruo pasentị 91 nke ezinụlọ ndị nọ na Akụkụ Ugwu na Ọdịda Anyanwụ.",1.0,1.0,8.0,1.0,MIS20-ig-11,test,,ig
9,mt5_small,"Ụmụ nwanyị dị afọ 15-49 nwere agụmakwụkwọ kachasị nwee agụmakwụkwọ kachasị, ma atụlee yana 42% nke ụmụ nwanyị dị afọ 45-49 nwere agụmakwụkwọ kachasị.",0.0,,,,SR220-ig-1,test,,ig
10,reference,Ihe jiri obere gafere ọkara (53%) nke ụmụ nwanyị Yemen gụrụ akwụkwọ.,0.0,,,,SR220-ig-1,test,,ig
11,ssa_mt5,"Na nchịkọta, 44% nke ụmụ nwanyị dị afọ 15-49 agụghị akwụkwọ dị elu.",1.0,1.0,5.0,1.0,SR220-ig-1,test,,ig
12,mt5_xxl,Pasentị iri otu na otu nke ụmụ nwanyị dị afọ 15–49 agụghị akwụkwọ.,0.0,,,,SR220-ig-1,test,,ig
15,mt5_xxl,"Pasentị iri asaa na asaa nke ụmụaka dị ọnwa 12-23 nwere ọgwụ mgbochi niile akọwapụtara, ma atụlee yana pasentị 85 nke ụmụaka dị ọnwa 12-23 nwere ọgwụ mgbochi maka akpata.",1.0,1.0,12.0,1.0,FR229-ig-19,test,,ig
16,mt5_small,"Otu n'ime ụzọ atọ nke ụmụaka nwere ọgwụ mgbochi akọwapụtara eji, ọgwụ mgbochi akọwapụtara eji, ọgwụ mgbochi akọwapụtara eji, ọgwụ mgbochi akọwapụtara eji, ọgwụ mgbochi akọwapụtara eji, ma atụlee yana ọgwụ mgbochi akọwapụtara eji.",0.0,,,,FR229-ig-19,test,,ig
17,reference,"Mkpuchi na agbada maka ọgwụ ndị na esote, ebe pasentị 86 nke ụmụaka na enweta ọgwụ DPT-HepB-Hib atọ akwadoro yana pasentị 88 nwetara ọgwụ polio atọ niile.",1.0,1.0,10.0,1.0,FR229-ig-19,test,,ig
18,ssa_mt5,"Na nchịkọta, ọgwụ mgbochi niile dị n'etiti ụmụaka nwere ọgwụ mgbochi niile dị n'ebe ọchịchị, ọgwụ mgbochi niile dị n'etiti ụmụaka nwetara ọgwụ mgbochi niile.",0.0,,,,FR229-ig-19,test,,ig
13,mt5_xxl,"Pasentị iri otu na otu nke ụmụ nwanyị lụgoro di nọ na ọrụ nkịtị, ma atụlee yana 11% na 6% nke ụmụ nwoke nọ na ọrụ azụmaahịa na ọrụ.",0.0,,,,FR346-ig-12,test,,ig
14,reference,"N'etiti ụmụ nwanyị ndị nwetara ọrụ n'ime ụbọchị 7 tupu nyocha ahụ, 64% na arụ ọrụ n'oke ọkachamara, teknụzụ, ma ọ bụ nchịkwa, ma 11% na arụ ọrụ nkịtị.",1.0,1.0,9.0,1.0,FR346-ig-12,test,,ig
