bcp_47_code	iso_639_3_code	english_name	endonym	estimated_number_of_speakers	writing_systems	locales	cldr_official_status	endangerment_status	is_macrolanguage	macrolanguage_bcp_47_code	individual_language_bcp_47_code	iso_639_2b_code	deprecated_bcp_47_code	glottocode	wikidata_id	wikidata_description
esh	esh	Eshtehardi			Arab, Latn	IR		Definitely endangered	False					esht1238	Q12952418	
esi	esi	North Alaskan Inupiatun		6700	Latn	US		Severely endangered	False	ik				nort2943		
esk	esk	Northwest Alaska Inupiatun		1200	Latn	US		Severely endangered	False	ik				nort2945	Q25559714	
esm	esm	Esuma			Latn	CI		Extinct	False					esum1241	Q16927555	
esq	esq	Esselen			Latn	US		Extinct	False					esse1238	Q1294243	
ess	ess	Central Siberian Yupik		2500	Cyrl, Latn	RU, US		Definitely endangered	False					cent2128	Q27993	
esu	esu	Central Yupik		21000	Latn	US		Definitely endangered	False					cent2127	Q21117	language of the Yupik family, spoken in western and southwestern Alaska
et	est	Estonian	eesti	1200000	Latn	EE	Official [EE]		True		ekk, vro					
etb	etb	Etebi		400000	Latn	NG		Vulnerable	False					eteb1238	Q11002851	
etc	etc	Etchemin			Latn			Extinct	False							
etn	etn	Eton			Latn	VU		Definitely endangered	False					eton1255	Q3059362	Austronesian language spoken in Vanuatu
eto	eto	Eton	Ìtón	250000	Latn	CM		Not endangered	False					eton1253	Q35317	Bantu language spoken in Cameroon
etr	etr	Edolo		1700	Latn	PG		Not endangered	False					edol1239	Q5340184	Papuan language of Papua New Guinea
ets	ets	Yekhee	Yekhee	270000	Latn	NG		Not endangered	False					yekh1238	Q3915848	
etu	etu	Ejagham		120000	Latn	NG		Not endangered	False					ejag1239	Q35296	
etx	etx	Eten		40000	Latn	NG		Not endangered	False					eten1239	Q3915392	language in Nigeria
etz	etz	Semimi		1000	Latn	ID		Definitely endangered	False					semi1264	Q10950308	
eu	eus	Basque	euskara	1000000	Latn	ES	Regional official [ES]	Vulnerable	False			baq		basq1248	Q8752	language of the Basque people
eve	eve	Even		5700	Cyrl	RU		Severely endangered	False					even1260	Q29960	Tungusic language spoken by the Evens in Siberia
evh	evh	Uvbie		20000	Latn	NG		Not endangered	False					uvbi1238	Q3441344	
evn	evn	Evenki		34000	Cyrl, Latn, Mong	CN, RU		Definitely endangered	False					even1259	Q30004	Tungusic language of eastern Russia and Manchuria
ewo	ewo	Ewondo	Ewondo	860000	Latn	CM		Not endangered	False					ewon1239	Q35459	
ext	ext	Extremaduran	Estremeñu	250000	Latn	ES		Definitely endangered	False					extr1243	Q30007	Romance language spoken in Spain
eya	eya	Eyak			Latn	US		Extinct	False					eyak1241	Q27480	indigenous language of North America
eyo	eyo	Keiyo	Elgeyo	310000	Latn	KE		Not endangered	False	kln				keiy1238	Q56856	
eza	eza	Ezaa	Ezza	590000	Latn	NG		Not endangered	False					ezaa1238	Q11921436	Igbo language of Nigeria
eze	eze	Uzekwe		5000	Latn	NG		Not endangered	False					uzek1238	Q3502244	
fa	fas	Persian	فارسی	82000000	Arab, Latn	AF, IR	Official [AF], Official [IR]	Not endangered	True		pes, prs	per				
faa	faa	Fasu		1200	Latn	PG		Definitely endangered	False					fasu1242	Q3446687	
fab	fab	Fa D'Ambu			Latn	GQ		Not endangered	False					fada1250	Q34992	
fad	fad	Wagi		3400	Latn	PG		Vulnerable	False					wagi1249	Q7959569	
faf	faf	Fagani			Latn	SB		Definitely endangered	False					faga1239	Q3063759	
fag	fag	Finongan			Latn	PG		Not endangered	False					fino1238	Q3450761	
fah	fah	Baissa Fali			Latn	NG		Critically endangered	False					bais1242	Q3446632	
fai	fai	Faiwol		4500	Latn	PG		Definitely endangered	False					faiw1243	Q3501773	Ok language of Papua New Guinea
faj	faj	Faita		10	Latn	PG		Critically endangered	False					fait1240	Q976953	
fak	fak	Fang			Latn	CM		Definitely endangered	False					fang1248	Q5433811	African language native to Cameroon
fal	fal	South Fali		35000	Latn	CM		Not endangered	False					sout2782	Q15637351	
fam	fam	Fam		1000	Latn	NG		Definitely endangered	False					famm1241	Q35290	Bantoid language of Nigeria
fan	fan	Fang	Faŋ	430000	Latn	GQ		Not endangered	False					fang1246	Q33484	Bantu language of Equatorial Guinea, northwest Gabon and neighbouring areas
fap	fap	Paloor		11000	Latn	SN		Definitely endangered	False					palo1243	Q36318	
far	far	Fataleka		6700	Latn	SB		Not endangered	False					fata1245	Q3067168	
fat	fat	Fanti		1900000	Latn	GH			False	ak				fant1241	Q35570	
fau	fau	Fayu		1400	Latn	ID		Definitely endangered	False					fayu1238	Q5439113	
fax	fax	Fala		11000	Latn	ES		Not endangered	False					fala1241	Q300402	Galician-Portuguese language
fay	fay	Southwestern Fars	دَوانی	100000	Arab	IR		Definitely endangered	False					sout2645	Q5228140	
faz	faz	Northwestern Fars				IR		Definitely endangered	False					nort2640	Q7060307	
fbl	fbl	West Albay Bikol		2500000	Latn	PH			False	bik						
fer	fer	Feroge		8000	Latn	SD		Vulnerable	False					fero1244	Q35287	
ff	ful	Fulah	Fulfulde	37000000	Adlm, Arab, Latn	011, CM, ML			True		ffm, fub, fuc, fue, fuf, fuh, fui, fuq, fuv			fula1264	Q33454	language of West Africa of the Senegambian branch of the Niger–Congo language family
ffi	ffi	Foia Foia		180	Latn	PG		Not endangered	False					foia1236	Q8564176	
ffm	ffm	Maasina Fulfulde		1500000	Latn	ML		Not endangered	False	ff				maas1239	Q3915322	
fgr	fgr	Fongoro			Latn	CF, SD, TD		Critically endangered	False					fong1243	Q3437645	
fi	fin	Finnish	suomi	5200000	Latn	FI	Official [FI]	Not endangered	False					finn1318	Q1412	Finno-Ugric language mostly spoken in Finland
fia	fia	Nobiin	Nòòbíí	380000	Arab, Copt, Latn	SD		Vulnerable	False					nobi1240	Q36503	
fie	fie	Fyer		26000	Latn	NG		Not endangered	False					fyer1241	Q56273	
fif	fif	Faifi		50000		SA			False							
fil	fil	Filipino	Filipino	66000000	Latn, Tglg	PH	Official [PH]	Not endangered	False					fili1244	Q33298	national and official language of the Philippines
fip	fip	Fipa	Ichifipa	200000	Latn	TZ		Not endangered	False					fipa1238	Q667747	Bantu language spoken in Tanzania
fir	fir	Firan		5000	Latn	NG		Vulnerable	False					fira1238	Q3915847	
fit	fit	Tornedalen Finnish	meänkieli	56000	Latn	SE		Severely endangered	False					torn1244	Q13357	de jure one of the official minority languages of Sweden spoken in the northernmost parts around the valley of the Torne River
fiw	fiw	Fiwaga		300	Latn	PG		Vulnerable	False					fiwa1240	Q5456292	
fj	fij	Fijian	Na Vosa Vakaviti	370000	Latn	FJ	Official [FJ]	Not endangered	False					fiji1243	Q33295	Austronesian language of the Malayo-Polynesian family spoken in Fiji
fkk	fkk	Kirya-Konzəl		5800	Latn	NG		Not endangered	False					kiry1234	Q6416310	
fkv	fkv	Kven Finnish	kvääni	8000	Latn	NO		Severely endangered	False					kven1236	Q165795	
fla	fla	Kalispel-Pend D'Oreille			Latn	US		Severely endangered	False					kali1308	Q3111983	
flh	flh	Foau		350	Latn	ID		Definitely endangered	False					foau1240	Q5463819	
fli	fli	Fali			Latn	CM, NG		Not endangered	False					fali1285	Q56244	
fll	fll	North Fali			Latn	CM		Vulnerable	False					nort2770	Q12952419	
fln	fln	Flinders Island			Latn	AU		Extinct	False					flin1247	Q3915702	
flr	flr	Fuliiru	Fuliru	400000	Latn	CD		Not endangered	False					fuli1240	Q7166821	language spoken by the Fuliiru people of the Democratic Republic of Congo
fly	fly	Flaaitaal			Latn	ZA		Extinct	False					tsot1242	Q1472421	
fmp	fmp	Fe'Fe'		140000	Latn	CM		Not endangered	False					fefe1239	Q35276	Southern Bantoid language spoken in Cameroon
fmu	fmu	Far Western Muria		400000	Deva	IN		Not endangered	False					farw1235	Q42589412	
fnb	fnb	Fanbak		95	Latn	VU		Severely endangered	False					orko1234	Q7102970	
fng	fng	Fanagalo			Latn	CD, NA, ZA, ZM, ZW		Extinct	False					fana1235	Q35727	
fni	fni	Fania		1100	Latn	TD		Definitely endangered	False					fani1244	Q317642	
fo	fao	Faroese	føroyskt	49000	Latn	FO	Official [FO]	Vulnerable	False					faro1244	Q25258	insular Nordic language spoken as a native language by the people of Faroe Islands
fod	fod	Foodo			Latn	BJ, TG		Not endangered	False					food1238	Q5465566	
foi	foi	Foi			Latn	PG		Not endangered	False					foii1241	Q5464146	
fom	fom	Foma		160000	Latn	CD		Not endangered	False					foma1238	Q5464911	
fon	fon	Fon	Fɔ̀ngbè	3200000	Latn	BJ		Not endangered	False					fonn1241	Q33291	part of the Gbe language cluster and belongs to the Volta–Niger branch of the Niger–Congo languages
for	for	Fore		17000	Latn	PG		Not endangered	False					fore1270	Q3077126	
fos	fos	Siraya	Siraya		Latn	TW		Extinct	False					sira1267	Q716604	
fpe	fpe	Fernando Po Creole English			Latn	GQ		Not endangered	False					fern1234	Q35288	English-based creole of Equatorial Guinea
fqs	fqs	Fas			Latn	PG		Definitely endangered	False					fass1245	Q56320	
fr	fra	French	français	203194940	Latn	BE, BF, BI, BJ, BL, CA, CD, CF, CG, CH, CI, CM, DJ, FR, GA, GF, GG, GN, GP, GQ, HT, JE, KM, LU, MC, MF, MG, ML, MQ, MU, NC, NE, PF, PM, RE, RW, SC, SN, TD, TF, TG, VU, WF, YT	Official [BE], Official [BF], Official [BI], Official [BJ], Official [BL], Official [CA], Official [CD], Official [CF], Official [CG], Official [CH], Official [CI], Official [CM], Official [DJ], Official [FR], Official [GA], Official [GF], Official [GN], Official [GP], Official [GQ], Official [HT], Official [KM], Official [LU], Official [MC], Official [MF], Official [MG], Official [ML], Official [MQ], Official [NC], Official [NE], Official [PF], Official [PM], Official [RE], Official [RW], Official [SC], Official [SN], Official [TD], Official [TG], Official [VU], Official [WF], Official [YT]	Not endangered	False			fre		stan1290	Q150	Romance language
frc	frc	Cajun French	françé la lwizyàn	28000	Latn	US		Definitely endangered	False					caju1236	Q3083213	French variety spoken in Louisiana, United States
frd	frd	Fordata			Latn	ID		Vulnerable	False					ford1242	Q5468035	
frp	frp	Arpitan	arpetan	64000	Latn	FR		Definitely endangered	False					fran1260		
frq	frq	Forak		280	Latn	PG		Vulnerable	False					fora1245	Q5467173	
frr	frr	Northern Frisian	Nordfriisk	9600	Latn	DE	Regional official [DE]	Definitely endangered	False					nort2626	Q28224	minority language of Germany, spoken mostly by people in North Frisia
frs	frs	Eastern Frisian	Ōstfräisk	2000	Latn	DE		Vulnerable	False					nort2628	Q329016	West Low German dialect
frt	frt	Fortsenal		450	Latn	VU		Definitely endangered	False					fort1240	Q2666835	
fub	fub	Adamawa Fulfulde			Latn	CM		Not endangered	False	ff				adam1253	Q34776	language of Nigeria
fuc	fuc	Pulaar		3700000	Latn	SN		Not endangered	False	ff				pula1263	Q1420205	language spoken by Fula people and Tukolor
fud	fud	East Futuna		4800	Latn	WF		Not endangered	False					east2447	Q35334	
fue	fue	Borgu Fulfulde		600000	Arab, Latn	BJ		Not endangered	False	ff				borg1235	Q12952426	
fuf	fuf	Pular	Fuuta Jalon	3000000	Latn	GN		Not endangered	False	ff				pula1262	Q3915357	
fuh	fuh	Western Niger Fulfulde			Latn	NE		Not endangered	False	ff				west2454	Q12952430	
fui	fui	Bagirmi Fulfulde			Arab, Latn	TD		Not endangered	False	ff				bagi1244	Q11003859	
fuj	fuj	Ko		2700	Latn	SD		Definitely endangered	False					kooo1244	Q35693	
fum	fum	Fum		25000	Latn	NG		Not endangered	False					fumm1238	Q11011870	
fun	fun	Fulniô		1000	Latn	BR		Definitely endangered	False					fuln1247	Q774441	
fuq	fuq	Central-Eastern Niger Fulfulde		1600000	Latn	NE		Not endangered	False	ff				cent2018	Q12628799	
fur	fur	Friulian	Furlan	37000	Latn	IT		Vulnerable	False					friu1240	Q33441	Romance language belonging to the Rhaeto-Romance family, spoken in the Friuli region of northeastern Italy
fut	fut	Futuna-Aniwa			Latn	VU		Not endangered	False					futu1245	Q3064409	
fuu	fuu	Furu			Latn	CD, CF		Not endangered	False					furu1242	Q3441160	
fuv	fuv	Nigerian Fulfulde		14000000	Latn	NG		Not endangered	False	ff				nige1253	Q36129	language of Nigeria
fuy	fuy	Fuyug			Latn	PG		Not endangered	False					fuyu1242	Q3073472	
fvr	fvr	Fur	bèle fòòr	1200000	Latn	SD		Not endangered	False					furr1244	Q33364	Nilo-Saharan language spoken in Sudan
fwa	fwa	Fwâi		1900	Latn	NC		Vulnerable	False					fwai1237	Q3091331	
fwe	fwe	Fwe			Latn	BW, NA, ZM		Not endangered	False					fwee1238	Q5511159	
fy	fry	Frisian	Frysk	740000	Latn	NL	Regional official [NL]	Not endangered	False					west2354	Q27175	Germanic language native to the Dutch region of Friesland
ga	gle	Irish	Gaeilge	1100000	Latg, Latn	IE	Official [IE]	Definitely endangered	False					iris1253	Q9142	language native to Ireland
gaa	gaa	Ga	Gã	820000	Latn	GH	Regional official [GH]	Not endangered	False					gaaa1244	Q33287	Kwa language spoken in Ghana
gab	gab	Gabri			Latn	TD		Not endangered	False					gabr1253	Q3441237	
gac	gac	Mixed Great Andamanese			Latn	IN		Extinct	False					mixe1288	Q56329630	
gad	gad	Gaddang		30000	Latn	PH		Not endangered	False					gadd1244	Q3438830	Austronesian language spoken in the Philippines
gae	gae	Guarequena			Latn	BR, CO, VE		Definitely endangered	False					guar1293	Q1091095	
gaf	gaf	Gende		3000	Latn	PG		Not endangered	False					gend1249	Q3100425	
gag	gag	Gagauz	Gagauz dili	110000	Cyrl, Latn	MD		Vulnerable	False					gaga1249	Q33457	Turkic language, spoken mainly by the Gagauz people and the official language of the autonomous Moldovan region of Gagauzia
gah	gah	Alekano		25000	Latn	PG		Vulnerable	False					alek1238	Q3441595	
gai	gai	Borei		2100	Latn	PG		Definitely endangered	False					bore1247	Q6799756	
gaj	gaj	Gadsup		25000	Latn	PG		Not endangered	False					gads1258	Q5516467	
gak	gak	Gamkonora		1500	Latn	ID		Vulnerable	False					gamk1238	Q5520226	
gal	gal	Galolen		11000	Latn	ID, TL		Vulnerable	False				ilw	galo1243	Q35322	
gam	gam	Kandawo		4000	Latn	PG		Not endangered	False					kand1303	Q6361369	
gan	gan	Gan Chinese	贛語	24000000	Hant	CN		Not endangered	False	zh				ganc1239	Q33475	member of the Sinitic languages of the Sino-Tibetan language family spoken as the native language by the people in the Jiangxi province of China
gao	gao	Gants		2500	Latn	PG		Not endangered	False					gant1244	Q5521529	
gap	gap	Gal		340	Latn	PG		Vulnerable	False					gall1278	Q5517742	
gaq	gaq	Gata'		3000		IN		Definitely endangered	False					gata1239	Q3501920	
gar	gar	Galeya		2600	Latn	PG		Not endangered	False					gale1257	Q5518509	
gas	gas	Adiwasi Garasia		100000	Gujr	IN		Not endangered	False					adiw1235	Q12953522	
gat	gat	Kenati		1000	Latn	PG		Not endangered	False					kena1250	Q4219330	
gau	gau	Mudhili Gadaba		8000		IN		Definitely endangered	False					mudh1235	Q12952433	Dravidian language, closely related to Ollari
gaw	gaw	Nobonob		5000	Latn	PG		Not endangered	False					nobo1238	Q11732205	
gax	gax	Borana-Arsi-Guji Oromo		3900000	Latn	ET		Not endangered	False	om				bora1271	Q2910610	
gay	gay	Gayo	Basa Gayo	320000	Latn	ID		Vulnerable	False					gayo1244	Q33286	Austronesian language spoken in Sumatra, Indonesia
gaz	gaz	West Central Oromo			Latn	ET		Not endangered	False	om				west2721	Q12639015	
gba	gba	Gbaya		860000	Latn	CF			True		bdt, gbp, gbq, gmm, gso, gya					
gbb	gbb	Kaytetye		110	Latn	AU		Definitely endangered	False					kayt1238	Q6380709	Australian Aboriginal language
gbd	gbd	Karajarri		41	Latn	AU		Critically endangered	False					kara1476	Q3913837	
gbe	gbe	Niksek		930	Latn	PG		Definitely endangered	False					niks1238	Q56375	
gbf	gbf	Gaikundi		1200	Latn	PG		Definitely endangered	False					gaik1242	Q5517032	
gbg	gbg	Gbanziri			Latn	CD, CF		Vulnerable	False					gban1258	Q35306	
gbh	gbh	Defi Gbe		1900000	Latn	BJ		Not endangered	False					defi1235	Q12952446	
gbi	gbi	Galela		79000	Latn	ID		Not endangered	False					gale1259	Q3094570	Papuan language
gbj	gbj	Bodo Gadaba		12000	Orya	IN		Definitely endangered	False					bodo1267	Q3347070	
gbk	gbk	Gaddi		110000	Deva	IN		Not endangered	False					gadd1242	Q17455500	
gbl	gbl	Gamit		380000	Deva, Gujr	IN		Not endangered	False					gami1242	Q2731717	
gbm	gbm	Garhwali	गढ़वळि	3600000	Deva	IN			False					garh1243	Q33459	Central Pahari language belonging to the Northern Zone of Indo-Aryan languages
gbn	gbn	Mo'Da		50000	Latn	SD		Definitely endangered	False					moda1242	Q12755683	
gbo	gbo	Northern Grebo	Kréébo	390000	Latn	LR		Not endangered	False	grb				nort2810	Q11157042	
gbp	gbp	Gbaya-Bossangoa	Gbɛ́yá	250000	Latn	CF		Not endangered	False	gba				gbay1287	Q11011295	
gbq	gbq	Gbaya-Bozoum			Latn	CF		Not endangered	False	gba				gbay1286	Q4952879	
gbr	gbr	Gbagyi	Gbagyi	700000	Latn	NG		Not endangered	False					gbag1258	Q11015105	
gbs	gbs	Gbesi Gbe			Latn	BJ		Not endangered	False					gbes1238	Q12952448	
gbu	gbu	Gagadu			Latn	AU		Extinct	False					gaga1251	Q35677	extinct indigenous language of Australia
gbv	gbv	Gbanu			Latn	CF		Not endangered	False					gban1260	Q3914945	
gbw	gbw	Gabi-Gabi			Latn	AU		Extinct	False					kabi1260	Q5515391	aboriginal Australian language
gbx	gbx	Eastern Xwla Gbe		160000	Latn	BJ		Not endangered	False					east2390	Q18379975	
gby	gby	Gbari	Gbari	350000	Latn	NG		Not endangered	False					gbar1246		
gbz	gbz	Zoroastrian Dari		8000		IR		Definitely endangered	False					zoro1242	Q32389	Northwestern Iranian ethnolect
gcc	gcc	Mali		2200	Latn	PG		Vulnerable	False					mali1284	Q6743338	Papuan language
gcd	gcd	Ganggalida			Latn	AU		Extinct	False					gang1267	Q3913765	
gce	gce	Galice			Latn	US		Extinct	False					gali1261	Q20711	extinct Athabaskan language
gcf	gcf	Guadeloupean Creole French	Kwéyòl	430000	Latn	GP		Not endangered	False					guad1242	Q3006280	French-based creole spoken in Guadeloupe
gcl	gcl	Grenadian Creole English			Latn	GD		Not endangered	False					gren1247	Q4252500	language spoken in Grenada
gcn	gcn	Gaina		1400	Latn	PG		Not endangered	False					gain1243	Q11732195	
gcr	gcr	Guianese Creole French	Kréyòl	52000	Latn	GF		Not endangered	False					guia1246	Q1363072	French-based creole from French Guiana
gct	gct	Colonia Tovar German		1500	Latn	VE		Definitely endangered	False					colo1254	Q1138351	
gd	gla	Scots Gaelic	Gàidhlig	72000	Latn	GB	Regional official [GB]	Definitely endangered	False					scot1245	Q9314	Goidelic Celtic language of Scotland
gda	gda	Gade Lohar		20000	Sind	PK		Not endangered	False	raj				gade1236	Q12953671	
gdb	gdb	Pottangi Ollar Gadaba		15000		IN		Vulnerable	False					pott1240	Q33906	Central Dravidian language
gdc	gdc	Gugu Badhun			Latn	AU		Extinct	False					gugu1253	Q10510360	
gdd	gdd	Gedaged		7000	Latn	PG		Not endangered	False					geda1237	Q35292	Austronesian language of Madang Province, Papua New Guinea
gde	gde	Gude		90000	Latn	NG		Not endangered	False					gude1246	Q3441230	
gdf	gdf	Guduf-Gava		56000	Latn	CM, NG		Not endangered	False					gudu1252	Q3441350	
gdg	gdg	Ga'Dang		6000	Latn	PH		Not endangered	False					gada1258	Q5515189	Austronesian language spoken in the Philippines
gdh	gdh	Gadjerawang		2	Latn	AU		Critically endangered	False					gadj1243	Q3913817	
gdi	gdi	Gundi			Latn	CF, CM		Definitely endangered	False					gund1247	Q11137851	
gdj	gdj	Gurdjar			Latn	AU		Critically endangered	False				kvs	gurd1238	Q5619931	Australian Aboriginal language
gdk	gdk	Gadang		2500	Latn	TD		Definitely endangered	False					gada1262	Q56256	Afro-Asiatic language spoken in southwestern Chad
gdl	gdl	Dirasha			Ethi	ET		Not endangered	False					dira1242	Q56809	
gdm	gdm	Laal		750	Latn	TD		Definitely endangered	False					laal1242	Q33436	unclassified language spoken in Chad
gdn	gdn	Umanakaina		2400	Latn	PG		Not endangered	False					uman1240	Q7881084	
gdo	gdo	Ghodoberi			Cyrl	RU		Definitely endangered	False					ghod1238	Q56515	
gdq	gdq	Mehri	المهرية	120000	Arab	YE		Not endangered	False					mehr1241	Q13361	Modern South Arabian language, spoken along the coasts of the Guardafui Channel
gdr	gdr	Wipi		3500	Latn	PG		Not endangered	False					wipi1242	Q8026711	
gdt	gdt	Kungardutyi			Latn			Extinct	False							
gdu	gdu	Gudu			Latn	NG		Not endangered	False					gudu1250	Q3441172	language of Nigeria
gdx	gdx	Godwari	गोड़वाड़ी	3000000	Arab, Deva	IN			False					godw1241	Q3540922	
gea	gea	Geruma		9000	Latn	NG		Definitely endangered	False					geru1240	Q3438789	
geb	geb	Kire		2400	Latn	PG		Definitely endangered	False					kire1240	Q11129733	
gec	gec	Gboloo Grebo	Kréébo	390000	Latn	LR		Not endangered	False	grb				gbol1235	Q11019342	
ged	ged	Gade		72000	Latn	NG		Not endangered	False					gade1242	Q3914459	Nigerian language
gef	gef	Gerai		200		ID			False							
geg	geg	Gengle		5000	Latn	NG		Not endangered	False					geng1243	Q3438345	
geh	geh	Hutterite German			Latn	CA, US		Not endangered	False					hutt1235	Q33385	Upper German dialect spoken by Hutterite communities in Canada and the US
gei	gei	Gebe			Latn	ID		Definitely endangered	False					gebe1237	Q3100032	
gej	gej	Gen	Mina	330000	Latn	TG		Not endangered	False					genn1243	Q33450	Gbe language spoken in the southeast of Togo in the Maritime Region
gek	gek	Ywom		14000	Latn	NG		Not endangered	False					yiwo1237	Q3441277	
gel	gel	Ut-Ma'In		36000	Latn	NG		Not endangered	False					kagf1238	Q36627	
geq	geq	Geme			Latn	CF		Definitely endangered	False					geme1244	Q3915851	
ges	ges	Geser-Gorom			Latn	ID		Not endangered	False					gese1240	Q5553579	Austronesian language spoken in Maluku, Indonesia
gev	gev	Eviya		50	Latn	GA		Severely endangered	False					eviy1235	Q7937974	
gew	gew	Gera	Fyandigere	200000	Latn	NG		Vulnerable	False					gera1246	Q3438725	
gex	gex	Garre		690000	Latn	SO		Vulnerable	False					garr1259	Q56618	
gey	gey	Enya		15000	Latn	CD		Not endangered	False					enya1247	Q5381452	
gfk	gfk	Patpatar		7000	Latn	PG		Not endangered	False					patp1243	Q3368846	Austronesian language
gft	gft	Gafat			Ethi, Latn	ET		Extinct	False					gafa1240	Q56910	
gga	gga	Gao		1200	Latn	SB		Definitely endangered	False					gaoo1237	Q3095228	
ggb	ggb	Gbii		12000	Latn	LR		Definitely endangered	False					gbii1242	Q3914390	
ggd	ggd	Gugadj			Latn	AU		Extinct	False					guga1239	Q5615186	
gge	gge	Gurr-Goni		40	Latn	AU		Critically endangered	False					gura1252	Q5619801	
ggg	ggg	Gurgula		35000	Arab	PK		Not endangered	False					gurg1240	Q5620032	
ggk	ggk	Kungarakany			Latn	AU		Extinct	False					kung1259	Q6444516	
ggl	ggl	Ganglau		470	Latn	PG		Vulnerable	False					gang1270	Q5521140	
ggt	ggt	Gitua		900	Latn	PG		Not endangered	False					gitu1237	Q3107865	
ggu	ggu	Gagu			Latn	CI		Not endangered	False					gagu1242	Q3913317	
ggw	ggw	Gogodala		22000	Latn	PG		Not endangered	False					gogo1265	Q3512161	
gha	gha	Ghadamès		4000	Latn	DZ, LY, TN		Definitely endangered	False					ghad1239	Q56747	Amazigh language
ghe	ghe	Southern Ghale		26000	Deva	NP		Vulnerable	False					sout2715	Q12952453	Sino-Tibetan language
ghh	ghh	Northern Ghale		26000	Deva	NP		Vulnerable	False					nort2709	Q22662104	Sino-Tibetan language
ghk	ghk	Geko Karen		15000		MM		Not endangered	False					geko1235	Q5530317	
ghl	ghl	Ghulfan		37000	Latn	SD		Definitely endangered	False					ghul1238	Q16885737	
ghn	ghn	Ghanongga		2500	Latn	SB		Not endangered	False					ghan1242	Q3104772	
gho	gho	Ghomara			Latn, Tfng	MA		Extinct	False					ghom1257	Q35315	
ghr	ghr	Ghera		10000		PK		Not endangered	False					gher1238	Q22808992	Indo-European language
ghs	ghs	Guhu-Samane		13000	Latn	PG		Not endangered	False					guhu1244	Q11732219	
ght	ght	Kuke		29	Tibt	NP		Vulnerable	False					kuta1241	Q6448337	
gia	gia	Kija		270	Latn	AU		Severely endangered	False					kitj1240	Q1284877	Australian Aboriginal language
gib	gib	Gibanawa			Latn	NG		Extinct	False					giba1240	Q12953530	
gic	gic	Gail		20000	Latn	ZA			False					gail1235	Q3442402	South-African slang
gid	gid	Gidar			Latn	CM, TD		Not endangered	False					gida1247	Q35265	
gie	gie	Gaɓogbo		200000	Latn	CI		Vulnerable	False					gabo1234	Q63140714	
gig	gig	Goaria		25000	Arab	PK		Not endangered	False					goar1239	Q33269	Marwari Rajasthani language spoken in Sindh Province, Pakistan
gih	gih	Githabul		4	Latn	AU			False					cond1242	Q48987680	
gii	gii	Girirra		50000		ET			False							
gil	gil	Gilbertese	Taetae ni Kiribati	67000	Latn	KI	Official [KI]	Not endangered	False					gilb1244	Q30898	language from the Austronesian family
gim	gim	Gimi		23000	Latn	PG		Not endangered	False					gimi1243	Q11732209	
gin	gin	Hinukh		350	Cyrl	RU		Definitely endangered	False					hinu1240	Q33283	Northeast Caucasian language of the Tsezic subgroup
gip	gip	Gimi		11000	Latn	PG		Not endangered	False					gimi1242	Q12952457	
giq	giq	Green Gelao				VN		Severely endangered	False					gree1278	Q12953525	moribund Tai-Kadai language spoken in Vietnam
gir	gir	Red Gelao				CN, VN		Critically endangered	False					redg1235	Q3100264	moribund Tai-Kadai language spoken in Vietnam and China
gis	gis	North Giziga		20000	Latn	CM		Not endangered	False					nort3047	Q3515084	
git	git	Gitxsan		1000	Latn	CA		Severely endangered	False					gitx1241	Q3107862	
giu	giu	Mulao				CN		Critically endangered	False					gela1264	Q11092831	
giw	giw	White Gelao		200		VN		Severely endangered	False					whit1267	Q8843040	moribund Tai-Kadai language spoken in China and Vietnam
gix	gix	Gilima			Latn	CD, CF		Not endangered	False					gili1241	Q10977716	
giy	giy	Giyug			Latn	AU		Critically endangered	False					giyu1238	Q5565906	Australian aboriginal language
giz	giz	South Giziga		60000	Latn	CM		Not endangered	False					sout3051	Q3502232	
gjk	gjk	Kachi Koli	کچی کوہلی	260000	Arab, Gujr	PK		Not endangered	False					kach1272	Q12953646	Gujarati language
gjm	gjm	Gunditjmara			Latn	AU		Extinct	False					warr1257	Q6448731	
gjn	gjn	Gonja	Ngbanya	230000	Latn	GH		Not endangered	False					gonj1241	Q35267	
gjr	gjr	Gurindji Kriol		25	Latn	AU		Not endangered	False					guri1249	Q5620091	mixed Gurindji–Kriol language of Australia
gju	gju	Gujari	گوجری	1460000	Arab, Deva	IN, PK		Not endangered	False	raj				guja1253	Q3241731	variety of Rajasthani spoken by the Gujars
gka	gka	Guya		130	Latn	PG		Definitely endangered	False					guya1251	Q11732221	
gkd	gkd	Magɨ		50	Latn	PG		Severely endangered	False					magi1243		
gke	gke	Ndai		5	Latn	CM		Critically endangered	False					ndai1238	Q6983667	
gkn	gkn	Gokana		100000	Latn	NG		Not endangered	False					goka1239	Q3075137	
gko	gko	Kok-Nar			Latn	AU		Extinct	False					kokn1236	Q6426526	extinct Australian language
gkp	gkp	Guinea Kpelle	Kpɛlɛɛ	460000	Latn	GN		Not endangered	False	kpe				guin1254	Q11052867	
gku	gku	ǂUngkue			Latn	ZA		Extinct	False					vaal1235	Q17111558	
gl	glg	Galician	Galego	3500000	Latn	ES	Regional official [ES]	Not endangered	False					gali1258	Q9307	Galician-Portuguese language
glb	glb	Belning		500		NG			False							
glc	glc	Bon Gula		1200	Latn	TD		Definitely endangered	False					bong1282	Q289816	
