abandoned	siyiwa
go away	famba
god bless you	Xikwembu a xi ku katekisi
god	xikwembu
goes	kuya
go	famba
going	ku famba
going to	ndzi taya ku
gold	nsuku
gone	fambile
gonna	ndzi ta
good afternoon	nhlikanhi lowunene
good bye	sala kahle
goodbye	sala kahle
good day	siku lerinene
good evening	riperile
good job	ntirho wa kahle
good	kahle
good looking	languteka kahle
good luck	nkateko lowunene
good morning	mixo lowunene
good morning my love	mixo lowunene murhandziwa
good night	madyambu lamanene
goodnight	riperile
goods	nhundzu
Google	Google
Google Translate	Vundzuluxi bya Google
goo	namarhela
goose	sekwa
gorgeous	saseka
gossip	hleva
got it	ndzi swi kumile
got	kumile
go to bed	famba u ya etlela
government	mfumo
grab	vhanganyeta
grade	giredi
gradually	switsanana
graduate	thwasana
grain	ndzoho
granted	nyikiwile
grant	nyika
grapes	tidiriba
grasp	twisisa
grass	byanyi
grateful	khensa
gratitude	khensa
grave	sirha
gray	mpungha
great	swikulu
greed	makwanga
greedy	makwanga
green	rihlaza
greetings	xeweta
greeting	xeweta
greet	xeweta
grey	mpunga
grid	phatheni
grief	gome
grind	sila
grip	tiyisa
grocery	girozara
groom	mulovori
gross	nyenyetsa
ground	misava
group	ntlawa
grow	kula
growth	ku kula
grumpy	nyenyetseka
Guarani	Guarani
guarantee	tiyisisa
guard	rindza
guess	vhumba
guest	muendzi
guidance	ku lerisa
guide	letela
guilty	nandzu
guys	majaha
guy	wanuna
gym	tiolola
habitat	vutshamo
habit	ntolovelo
had	vile
hail	xihangu
hair	nsisi
half	hafu
hall	holo
handle	khoma
handsome	mpohlo
hand	voko
hang	hakarha
hang out	hungusa
happened	humelerile
happen	humelela
happiness	ntsako
happy birthday	siku lerinene ro velekiwa
happy birthday to you	siku ro velekiwa lerinene eka wena
happy new year	ntsako wa lembe lerintshwa
happy	tsaka
hardly	a swi talangi
hardly ever	a swi talangi
hard	tiya
harmful	onha
harmony	twanana
harm	vavisa
harsh	nonohisa
harvest	tshovela
has	u na
hate	venga
have a good day	vana na siku lerinene
have a nice day	u va na siku lerinene
have breakfast	fihlula
have fun	tiphini
have	hi na
have you eaten	xana u dyile
having	kuva
hazard	nghozi
haze	twali
headache	pandza hi nhloko
head	nhloko
healing	tshungula
health	rihanyo
healthy	hanyile
heal	tshungula
heard	twile
heart	mbilu
hear	twa
heat	hisa
heaven	matilo
heavy	tika
hectic	gingiriteka
he has	u na
height	ku leha
heir	mudyandzhaka
he is	hi yena
heist	phangha
held	khomiwe
Hello	Avuxeni
hello dear	avuxeni xirhandzwa
hello how are you	avuxeni ku njhani
hello how are you doing	avuxeni ku njhani
hell	tihele
helmet	gondlolo
helpful	pfuneta
help	pfuna
hence	hikuva
herd	ntlhambi
here	laha
heritage	ndzhaka
her	yena
hesitate	kanakana
he	yena
Hey	Heyi
hidden	tumbetile
hide	tumbela
hierarchy	xiyimo
high	henhla
highlight	swa nkoka
hi how are you	avuxeni ku njhani
hike	tlakusa
hiking	hayika
hilarious	hlekisa
hill	xintshabyana
him	yena
hint	ringanyeta
hip	nyonga
hips	tinyonga
hire	thola
hiring	thola
history	matimu
his	xa yena
Hi there	Avuxeni kwalaho
hit	ku ba
Hi	Xewani
Hmm	Hmm
hobby	xihungasi
hold	khomelela
hold on	yimanyana
hole	mbhovo
holiday	holideyi
hollow	bakwa
home	kaya
homework	ntirhokaya
honest	kuva na ntiyiso
honestly	tshembheka
Honey	Murhandziwa
honor	losa
hood	xidloko
hook	haka
hopefully	ntshembho
hopeless	mpfumaleko wa ntshembo
hope	ntshembho
hop	tlula-tlula
horizontal	ololoka
horn	rimhondzo
horrible	xo biha
horror	chavisa
horse	hanci
hospitality	malwandla
hospital	xibedlhele
hostile	tshamisekangi
host	murhurheli
hotel	hodela
hot	hisa
hour	awara
hours	tiawara
household	ndyangu
house	yindlo
how about you	swi njhani eka wena
how are you doing today	xana u njhani namuntlha
how are you doing	xana u titwa njhani
how are you	ku njhani
how are you today	xana u titwa njhani namuntlha
how do you do	xana u titwa njhani
however	hambiswiritano
how is	xana swi
how many	i swingani
how much	swingani
how	njhani
how often	hikangani
how old are you	u na malembe yangani
how was your day	siku ra wena a riri njhani
how was your night	xana madyambu ya wena ya ve njhani
hubby	nuna
hub	xikarhi
huge	xikulu
hug	vukarha
human	ximunhu
humble	tsongahata
humidity	nkahelo
humid	tsakama
hundred	dzana
hungry	ndlala
hunt	hlota
hurricane	xidzedze
hurry	hatlisa
hurry up	hatlisa
hurt	vavisa
husband	nuna
hustle	tihandzela
hut	yindlu ya byanyi
hygiene	mbhasiso
I am fine	ndzi lulamile
I am	ndzi
I can	ndzi nga
I can't	ndzi nge swi koti
ice	ayisi
ice cream	ayisikhirimi
idea	kungu
ideal	fanela
identical	swo fana
identify	komba
identity	vutitivi
idiot	xiphunta
idle	kufumela
I do	ndza endla
I do not know	A ndzi swi tivi
I do not understand	a ndzi swi twisisi
I don't	a ndzi
I don't know	a ndzi swi tivi
I don’t know	A ndzi tivi
I don't understand	A ndzi swi twisisi
I don’t understand	a ndzi twisisi
I don't understand what you mean	A ndzi twisisi leswi u vulaka swona
I don't understand you	a ndzi ku twisisi
if	loko
ignore	honisa
i guess	ndza tshembha
I had	Ndzi vile
I have been	Ndzi vile
I have	ndzi na
I hope so	Ndzi tshembha tano
I know	ndza swi tiva
I like	ndzi tsakela
I like you	ndza ku tsakela
illegal	riki nawini
illness	vuvabyi
ill	vabya
Ilocano	Ilocano
I love my big brother	Ndzi rhandza buti wa mina
I love my big sister	Ndzi rhandza sesi wa mina
I love my father	Ndzi rhandza tatana wa mina
I love my little brother	Ndzi rhandza ndzisana wa mina wa mufana
I love my little sister	Ndzi rhandza ndzisana wa mina wa nhwanyana
I love my mother	Ndzi rhandza mhani wa mina
I love	ndza rhandza
I love you	Ndza ku rhandza
I love you so much	Ndzi ku rhandza swinene
I love you too	ndza ku rhandza na wena vu
image	xivumbeko
imagine	anakanya
I mean	ndzi vula
I'm fine	ndzi kahle
I'm good	ndzi kahle
I'm here	ndzi laha
I	Mina
I miss you	ndza ku tsundzuka
I miss you so much	ndzi ku tsundzukile swinene
immediately	hi xihatla
immediate	xikan'we
immense	vukulu
I'm	ndzi
I’m	ndzi
impact	ntshikelelo
impatient	nyangatseka hi xihatla
implement	simeka
important	nkoka
import	xava ematikweni mambe
impose	vekela
impossible	koteki
impression	tsakisa
impressive	tsakisa
impress	tsakisa
improve	antswisa
improvement	antswisa
I'm sorry	ndza tisola
in addition	ku engetela
inappropriate	nga riki kahle
incentive	hakelo
incident	mhangu
include	katsa
including	ku katsa
income	muholo
inconvenience	miringo
increased	engetela
increase	engetela
incredible	hlamarisa
indeed	hakunene
independent	tiyimela
India	India
indicate	kombisa
indigenous	swa xintu
individual	un'we
industry	vumaki
in	endzeni
inevitable	papaleteki
In fact	kahle kahle
infant	ricece
infection	tluleriwa
infinity	helelangiki
inflammation	pfimba
inflation	ntlakuko wa minxavo
influence	hlohlotela
information	marungula
inform	tivisa
in front of	emahlweni ka
ingredients	swinyunyeteri
inheritance	ndzhaka
initial	masungulweni
initiative	sungula
injured	vaviseka
injury	vaviseka
innocent	a nga na nandzu
innovation	vutshuri
in order to	ku endlela ku
inquiry	xivutiso
insane	hlanya
insect	xitsotswana
insecure	sirhelekangi
insert	nghenisa
inside	endzeni
insight	vundzeni
insist	sindzisa
insomnia	hluleka ku etlela
inspiration	khutaza
inspire	khutaza
install	nghenisa
instance	xikombiso
instant	xikan'we
instead	ematshan'wini
instead of	handle ka
instructions	swileriso
instrument	xitirhisiwa
insult	ndzhukano
insurance	ndzindzakhombo
intact	khomanile
integrity	xindzuti
intellectual	vutlharhi
intelligence	vunhlorhi
intelligent	tlhariha
intended	tiyimiserile
intend	tiyimisela
intense	tiyisa
intention	tiyimisela
interaction	burisana
interact	tihlanganisa
interested	tsakela
interesting	tsakisa
interest	tsakela
interfere	nghenelela
intermediate	xikarhi
internal	swale ndzeni
international	matiko ya misava
internship	ntiirho-dyondzo
interpreter	ntoloki
interpret	toloka
interrupt	kavanyeta
interview	inthavhiyu
intimate	rhandzana
into	eka
introduce	tivisa
introduction	manghenelo
introvert	tingana
intuition	twisisa hi vuenti
invalid	vuhava
inventory	nxaxamelo
invent	tshula
investigate	lavisisa
invest	vekisa
invitation	xirhambo
invite	rhamba
invoice	rhasiti ra nxavo
involved	nghenelela
involve	nghenelela
iron	nsimbhi
I see	ndza vona
is	i
island	xihlala
isolated	hambanisiwa
issue	mhaka
issues	timhaka
item	nchumu
items	swilo
I think	ndzi ehleketa
it is	hi swona
it's	i
its	i
It's okay	swi lulamile
it's ok	swi lulamile
it was	ku vile
it	xona
I understand	ndza twisisa
I want	ndzi lava
I want to see you	ndzi lava ku ku vona
I want you	Ndzi lava wena
I was	a ndzi ri
I will	ndzi ta
I would be	Ndzi nga va
jacket	jazi
jail	khotso
January	Sunguti
jar	bodlhela
jaw	rihlaya
jealous	mavondzo
jerk	jeke
jewelry	xingwavila
job	ntirho
jogging	tsutsuma
join	hlanganisa
joint	mahlangana
joke	fenya
journalist	muteki wa mahungu
journey	rendzo
joy	ntsako
judge	ahlula
juice	juzi
july	Mawuwani
jump	tlula
june	Khotavuxika
junk	tala
just do it	swi endli
justice	vululami
justify	tiyisisa
just	njhe
Kalaallisut	Kalaallisut
keen	tsakela
keep	hlayisa
keep it up	tshamisani tano
kept	hlayisile
kettle	ketlele
key	khiya
kick	raha
kidding	vungunya
kidney	yinso
kid	n'wana
kids	vana
kill	dlaya
kinda	swi nga
kindly	malwandla
kindness	tintswalo
kind	tintswalo
king	hosinkulu
kiss	tsontswa
kitchen	xitsumba
kite	khayiti
kitten	n'wana ximanga
knee	tsolo
knew	tivile
knife	mukwana
knight	vuvekisi
knowledge	vutivi
known	tivile
know	tiva
Konkani	Konkani
Krio	Krio
label	lebulu
labor	tirha
labour	tirha
lack	mpfumaleko
ladder	xitepisi
lady	wansati
laid	andlarile
lake	tiva
lamb	nyimpfu
lame	lamala
lamp	rivoni
land	phatsama
landscape	ndhawu
language	ririmi
lap	ndzhumbhu
large	lexikulu
last but not least	xo hetelela kambe ku nga ri lexitsongo
last	hetelela
last name	xivongo
late	hlwela
lately	sweswinyana
later	endzhaku
latest	hetelela
latter	sweswi
laugh	hleka
laughing	ku hleka
laughter	xihleko
launch	simeka
laundry	swiambalo
law	nawu
lawn	xilungwa
lawyer	muyimeri
lay	andlala
layer	leyara
layout	vuandlalo
lazy	loloha
leader	murhangeri
lead	rhangela
leaf	tluka
leak	pfuta
lean	khegela
leap	tlula
learn	dyondza
learning	ku dyondza
lease	lombisa
least	switsongo
leather	dzovo
leaves	matluka
leave	suka
led	rhangeriwa
left	ximatsi
legacy	ndzhaka
legal	xinawu
legend	nhenha
legit	ntiyiso
leg	nenge
leisure	vuhungasi
lend	lomba
length	vulehi
lesson	dyondzo
less	switsongo
let	pfumelela
letter	papila
lettuce	lethasi
level	levhele
leverage	lawula
liability	ndzingo
library	layiburari
lick	nantswa
lies	vunwa
lie	vunwa
life	vutomi
lift	lifiti
lightning	rihati
light	rivoni
like	fana
likely	a swi talangi
likewise	swo fana
line	ntila
Lingala	Lingala
link	hlanganisa
lion	nghala
liquid	xihalaki
listening	yingisela
listen	yingisela
list	nxaxamelo
literally	entiyisweni
literature	matsalwa
litter	thyakisa
little	switsongo
live	hanya
liver	xivindzi
lives	vutomi
living	ku tshama
living room	kamara ro tshama
lizard	nkolombya
load	ndzhwalo
loaf	lofo
loan	loni
local	kwala kaya
location	ndhawu
lockdown	yirisa
lock	khiya
log	ntsandze
lol	hleka swinene
lonely	wexe
long	leha
long time no see	i khale hi nga si vonana
look	vona
loop	xintambyana
loose	lahlekeriwa
lord	Xikwembu
lose	lahlekeriwa
loss	lahlekeriwa
lost	lahlekeriwa
lot	swo tala
loud	pongo
lounge	kamara ro wisela
lovely	rhandzeka
love	rirhandzu
love you	ndza ku rhandza
lower	ehlisa
low	hansi
loyal	tshembheka
loyalty	tshembheka
luck	nkateko
lucky	nkateko
Luganda	Luganda
luggage	nhundzu
lump	tshumba
lunch	swakudya swa nhlikanhi
lungs	mahawu
luxury	manyunyu
lying	ku hemba
machine	muchini
madam	manana
made	endlile
mad	penga
magazine	magazini
magnificent	nkuriso
maid	mupfuni
maintain	hlayisa
maintenance	lunghisa
main	xikulu
Maithili	Maithili
majority	votala
major	lexikulu
make	endla
make up	vumba
male	xinuna
mall	molo
manage	fambisa
management	vufambisi
manager	mininjhere
mandatory	xiboho
manifest	humelerisa
manipulate	tirhisa
manner	ndlela
manual	manyuwali
man	wanuna
many many happy returns of the day	swo tala a swi ve leswinene swa siku
many	swotala
march	kombisa ku vilela
margin	makumu
market	makete
marriage	vukati
married	vukatini
mask	masika
massive	xikulu
mass	swo tala
master	n'winyi
match	fananisa
mate	munghana
material	swilo
math	tinhlayo
matter	mhaka
maturity	vutswatsi
maybe	kumbexana
may	u nga
meal	swakudya
meaning	nhlamuselo
means	vula
meant	vurile
mean	vula
meanwhile	xinkarhana
measure	pima
measures	pima
meat	nyama
medical	vutshunguri
medicine	murhi
meditation	ehleketa hi vuenti
medium	xikarhi
meet	hlangana
meeting	nhlengeletano
Meiteilon	Meiteilon
melt	n'oka
me	mina
memories	switsundzuxo
memory	miehleketo
mental	miehleketo
mentioned	boxiweke
mention	tivisa
mentor	muleteri
merchant	xavisa nhundzu
mercy	tintswalo
merely	ntsena
merry christmas	khisimusi lerinene
message	hungu
mess	hansahansa
messy	hansa hansa
metal	nsimbhi
method	ndlela
me too	na mina vu
mice	kondlo
middle	xikarhi
midnight	xikarhi ka vusiku
might	kumbe
mild	xikarhi
milestone	ndzima
military	masocha
milk	ntswamba
million	miliyoni
mind	miehleketo
mindset	miehleketo
mine	swa mina
mingle	nghenanghena
minor	xitsongo
minute	minete
minutes	timinete
miracle	mahlori
mirror	xivoni
miscellaneous	swo hambana
mischievous	muonhi
miserable	hlangahlangana
misery	maxangu
miss	hupa
missing	kayivela
mission	xikongomelo
miss you	ndza ku tsundzuka
mistake	xihoxo
mist	nkunghwa
Mizo	Mizo
mobile	famba-famba
mock	hlekula
model	mojulu
moderate	xikarhi
modern	ximanguvalawa
modest	mpimo wutsongo
moist	tsakama
moisture	tsakama
mold	vumba
mole	muxengi
moment	nkarhi
mom	manana
monday	musumbhunuku
money	mali
monitor	valanga
monkey	nkawa
month	n'hweti
mood	matitwelo
moody	matitwelo
moon	n'weti
moral	nkoka
moreover	hixitalo
more	swo tala
morning	mixo
mortgage	bondo
mostly	swo tala
most	swo tala
mother	manana
motion	mafambelo
motivation	hlohlotela
mountain	ntshava
mouse	kondlo
mouth	nomu
move	famba
movement	mafambelo
movie	filimi
mrs	manana
much	tala
mud	ndzhope
mug	kopi
muscle	tihlampfana
museum	muziyamu
mushroom	xikowakowana
music	vuyimbeleri
must	fanele
mute	tima
mutual	ntwanano
My dear	murhandziwa
my friend	munghana wa mina
My hovercraft is full of eels	Xikwekwetsi xa mina xi talele hi ti eel
my love	murhandziwa wa mina
my	mina
my name is	vito ra mina ndzi
my pleasure	khensa mina
myself	mina
mysterious	hlamarisa
mystery	mahlori
myth	xiehleketiwa
nail	xipikiri
naive	chuha
name	vito
narrative	hlavutela
narrow	lala
nasty	riki kahle
nationality	muaka-tiko
national	rixaka
native	rikwavo
natural	xa ntumbuluko
nature	ntumbuluko
nausea	vabyisa
nearby	kusuhi
near	kusuhi
nearly	kusuhi na
neat	basile
necessary	laveka
necklace	vuhlalu
neck	nhamu
need	xilaveko
negative	xobiha
neglect	honisa
negotiate	kanerisana
neighborhood	vaakalana
neighbor	muakelana
neither	xin'we xa
nephew	muzala
nerd	munhu wo nyangatsa
nervous	ku chava
nest	xisaka
net	nete
network	netiweke
neutral	voyameri tlhelo
never	endleki
never give up	u nga lan'wi
never mind	u nga vileli
nevermind	u nga vileli
nevertheless	hambi
news	mahungu
new	xintshwa
next	landzelaka
next to	kusuhi na
nice	kahle
nice to meet you	sasekile ku hlangana na wena
niece	muzala
night	madyambu
nightmare	maxangu
nine	nkaye
nineteen	khumenkaye
ninety	makumenkaye
nobody	ku hava
No	E-e
noise	pongo
noisy	huwa
none	hava
noon	nhlikanhi
nope	hawa
no problem	ku hava xiphiqo
nor	kumbe
normal	ntolovelo
north	n'walungu
nose	nhompfu
nostalgic	matitwelo
not at all	a swi tano
not bad	a swi bihangi
noted	lemukile
note	lemuka
nothing	hava
noticed	lemukile
notice	xitiviso
not	ngavi
Not now	Ku nga ri sweswi
not yet	hayi sweswi
noun	riviti
nouns	mativi
novel	novhele
november	Hukuri
nowadays	masiku lawa
no way	swi nge endleki
now	sweswi
nuisance	nyangatsa
null	hava
number	nomboro
numb	oma swirho
nurse	muongori
nut	manga
nutmeg	timongo
nutrition	madyelo lamanene
oath	teka xiboho
obesity	nyuhela
obey	yingisela
objective	xikongomelo
object	nchumu
obligation	xiboho
obscure	sivela
observation	mbalango
observe	valanga
obsessed	ntsakelo
obsession	khomelela eka nchumu
obsolete	hundzele hi nkarhi
obstacle	xirhalanganyi
obtained	ku kuma
obtain	kuma
obviously	rivaleni
obvious	rivaleni
occasionally	nkarhinyana
occupation	ntirho
occupied	tshamile
occur	humelela
occurred	humelerile
occurs	humelela
ocean	lwandle
october	Nhlangula
odds	tolovelekangi
odd	tolovelekangi
of course	kumbexana
offensive	ndzhukano
offer	nyika
office	hofisi
official	ximfumo
off	timile
often	hi xitalo
of	ya
Oh	Oho
oh really	himpela
oil	oyili
okay baby	swi lulamile nkata
okay dear	swi lulamile murhandziwa
okay honey	swi lulamile murhandziwa
okay my love	swi lulamile murhandziwa
okay	swi lulamile
ok dear	swi lulamile
ok honey	swi lulamile murhandziwa
ok	lulamile
ok my love	swi lulamile murhandziwa
old	khale
once	xikan'we
on	eka
one language is never enough	ririmi rin'we a ri enelangi
one	n'we
onion	nyala
online	eka online
only	ntsena
open	pfuleka
operation	vuhandzuri
opinion	vonelo
opportunities	minkateko
opportunity	nkateko
opposite	fularhela
optimistic	tshembhela
optional	hlawula
option	ndlela
orange	xilamula
order	xileriso
ordinary	ntolovelo
organization	nhlangano
orientation	dyondzisa
original	mampela
origin	sukaka kona
or	kumbe
Oromo	Oromo
orphan	xisiwana
otherwise	handle ka swona
other	xin'wana
ought	fanele
our	hina
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Xikongomelo xa hina: ku pfumelelela mani na mani, kwihi na kwihi ku twisisa misava no tihlamusela eka tindzimi to hambana
Our mission: to organize the world's information and make it universally accessible and useful.	Xikongomelo xa hina: ku kondletela marungula ya misava no endla ya kumeka emisaveni hinkwayo no tirhiseka.
outcome	mbuyelo
outfit	mpahla
outgoing	vunghana
out	handle
outlet	vhengele
outline	andlala
outside	handle
outstanding	saleke
oven	ovhene
overall	angarhela
overcome	hlula
over	ku tlula
over there	kwalaho
overthinking	ehleketa ngopfu
overwhelmed	talela
overwhelming	tala ntsako
owe	xikweleti
owl	xinkhovha
owner	n'winyi
own	vun'winyi
ox	nkunzi
pace	rivilo
package	phakeji
pack	paka
paid	hakerile
painting	xifaniso
paint	penda
pain	xivavi
pair	swimbirhi
pale	bawuluka
palm	xandla
pandemic	ntungu wa matiko
panic	xitlhavi
pan	pani
pants	maburuku
paper	phepha
paradise	paradeyisi
parallel	lavana
parcel	phasele
pardon	khomeriwa
parents	vatswari
park	phaka
parrot	pharoti
parsley	ximilana xa parsley
participate	teka xiave
particularly	xo karhi
particular	xo karhi
partner	mutirhisani
part	xiphemu
party	nkhuvo
passage	phaseji
passed	hundzile
pass	hundza
passionate	tinyiketela
passion	hiseka
passive	nonoka
password	phasiwedi
past	hundzeke
patch	siva
pathetic	twerisa vusiwana
path	ndlela
patience	tiyisela
patient	muvabyi
pattern	endlelo
pause	yimanyana
pavement	phevimente
pay	hakela
payment	hakelo
peaceful	kurhula
peace	ntshamiseko
peach	perekisi
peak	nhlohlorhi
pear	pyere
peas	tinyawa
peculiar	hambana na ntolovelo
peel	vandla
peers	varingani
peer	vandla
pee	tsakamisa
pencil	pensele
pending	rindzerile
pen	xitsalo
people	vanhu
pepper	peppha
perceive	vonelo
perception	vonelo
perfect	vukahle
performance	matirhelo
perform	ku endla
perhaps	kumbexana
period	nkarhi
permanent	nkarhi hinkwawo
permission	mpfumelelo
permit	mpfumelelo
perseverance	tiyisela
persistent	tiyisela
personality	vumunhu
personal	ximunhu
person	munhu
perspective	mavonelo
persuade	sindzisa
pervert	muxanisi wa vaxisati
pet	xifuwo
phase	xiyenge
phenomenon	nchumu wo hlawuleka
philosophy	filosofi
phone	riqingho
photo	xifaniso
phrase	xivulwa
physical	xivumbeko
pick	hlawula
pick up	tlakula
picture	xifaniso
pieces	swiphemu
piece	xiphemu
pigeon	tuva
pig	nguluve
pile	nhulu
pillow	xikhigelo
pilot	muchayeri wa xihahampfhuka
pineapple	xihenge
pink	pinki
pin	phini
pitch	rivala
pit	goji
pity	ntwela vusiwana
place	ndhawu
places	tindhawu
plague	xiborisi
plain	rivaleni
plane	hava
plan	kungu
plants	swimilana
plant	ximila
plate	ndyelo
platform	ndhawu
playing	ku tlanga
play	tlanga
pleasant	kahle
pleased	tsakile
please	kombela
pleasure	nkateko
pledge	nyikela
plenty	tala
plot	kungu
plug	pulaga
plumber	pulambara
plum	tsengele
plural	ntalo
podcast	app ya podcast
poem	xitlhokovetselo
poetry	vutlhokovetseri
point	komba
poison	chefu
police	phorisa
policy	pholisi
polite	xichavo
pollution	thyakisa
pond	xidan'wana
pool	xinkobyana
poop	huma
poor	vusweti
pop	bulusa
popular	ndhuma
population	ntalo wa vanhu
pork	nyama ya nguluve
porridge	vuswa
port	ribuweni
position	xiyimo
positive	swa kahle
possession	vun'winyi
possessive	vun'winyi
possess	vun'winyi
possible	kumbexana
postpone	hundzisela
post	poso
potato	zambala
potential	koteka
pound	pondo
poverty	vusweti
powerful	matimba
power	matimba
practical	koteka
practice	toloveta
praise	dzunisa
prank	xihlekiso
pray	khongela
precious	risima
precise	hetiseka
precisely	kahlekahle
predict	vhumba
preference	tsakela
prefer	tsakela
pregnant	vuyimana
prejudice	tshikileriwa
premises	tindhawu
premium	phirimiyamu
preparation	malulamiselo
prepared	lulamerile
prepare	lulamisa
preposition	xirhangi
presence	vukona
presentation	makanelwa
present	nyiko
preserve	hlayisa
president	phuresidente
press	tshikilela
pressure	ntshikelelo
pretend	encenyeta
pretty	xonga
prevent	sivela
previous	endzhaku
prey	xiharhi xo hlotiwa
price	nxavo
pride	manyunyu
priest	mufundhisi
primary	phurayimari
prime	nkoka swinene
princess	nganakati
principal	murhangeri
priority	xa nkoka
prior	rhanga
prison	khotso
privacy	xihundla
private	xihundla
privilege	nkateko
prize	nyiko
probably	kumbexana
problem	xiphiqo
procedure	humelerisa
proceed	hundza
process	endlelo
produce	humelerisa
production	humelerisa
product	ximakiwa
professional	xiphurofexini
profession	phurofexini
profile	phurofayili
profit	bindzula
profound	nyungubyisa
progress	ndzima
project	phurojeke
prominent	nkoka
promise	tshembhisa
promote	tlakusa
promotion	tlakusiwa
prompt	susumeta
prone	tlhontlha
pronouns	masivi
pronunciation	peleta
proof	vumbhoni
properly	nhundzu
properties	miako
property	nhundzu
proper	vukahle
proposal	ringanyeta
prospect	humelela
prosperity	humelela
prosperous	humelela
protect	sirhelela
proud	nyungubyisa
prove	tikombisa
provided	nyikile
provide	phamela
province	xifundzhankulu
provision	phakela
puberty	vukhomba
public	rivaleni
pull	koka
pumpkin	kwembe
punctual	hinkarhi
pupil	n'wana wa xikolo
purchase	xava
pure	tenga
purple	phephulu
purpose	xikongomelo
purse	xipaci
pursue	hlongorisa
pursuit	hlongorisa
push	susumeta
put	vekela
qualification	thwasela
quality	nkoka
quantity	ntsengo
quarantine	lerisiwa ku tshama u ri swaku
quarrel	kwetlembetana
quarter	kotara
Quechua	Quechua
queen	hosikati
queer	tolovelekangi
query	xivutiso
question	xivutiso
queue	layini
quickly	xihatla
quick	xihatla
quiet	miyela
quilt	vuhlalu
quite	miyerile
quit	tshika
quiz	xivutiso
quotation	tshaka
quote	ntshaho
quotes	mintshaho
rabbit	mpfundla
race	rixaka
rage	vukarhi
rain	mpfula
raised	tlakusa
raise	tlakusa
random	njhe
range	mpimo
ran	tsutsumile
rapidly	xihatla
rapid	xihatla
rarely	talangi
rare	talangi
rash	swirhumbana
rate	mpimo
rather	kumbe
rational	xivangelo
ratio	vuxaka
rat	kondlo
raw	mbisi
reached	fikelerile
reach	fikelela
reaction	nhlamulo
read	hlaya
reading	ku hlaya
ready	lulamile
reality	ntiyiso
realized	lemuka
realize	lemuka
really	himpela
real	ntiyiso
rear	endzhaku
reasonable	swo twala
reason	xivangelo
recall	vuyisela
receipt	rhasiti
receive	amukela
received	amukela
recently	sweswi
recent	sweswi
reception	vuamukeri
recipe	rhisipi
reckless	hasahasa
recognition	tiviwa
recognize	lemuka
recommended	ringanyeta
recommend	ringanyeta
record	rhekhoda
recover	kutsula
recovery	kuma nakambe
rectangle	rhekithengula
redeem	kutsula
redemption	kutsula
red	tshuka
reduce	hunguta
redundant	heleriwe hi ntirho
reference	rheferense
refer	hundzisela
reflection	tilangutisa
reflect	langutisa
refrain	tikhoma
refrigerator	xigwitsirisi
refund	vuyisela
refuse	ala
refused	arile
regarding	mayelana
regardless	hambiloko
regard	mayelana
regards	khensa
region	ndhawu
register	tsarisela
regret	tisola
regularly	nkarhi na nkarhi
regular	nkarhi na nkarhi
reject	ariwa
related	vuxaka
relate	fananisa
relationship	vuxaka
relatives	maxaka
relative	xaka
relax	tshamiseka
released	tshunxiwa
release	humesa
relevant	faneleke
reliable	tshembheka
relief	mpfuno
relieved	tshunxeka
relieve	vevukeriwa
religion	vukhongeri
religious	vukhongeri
reluctant	kanakana
rely	tshembela
remaining	saleke
remain	tshamisa tano
remarkable	risima
remedy	xitshunxo
remember	tsundzuka
reminder	tsundzuka
remind	tsundzuxa
remote	kule
remove	susa
re	nakambe
render	tirhela
rent	rhente
repair	lunghisa
repeat	vuyelela
replace	siva
reply	hlamula
report	xiviko
represent	vuyimeri
reputation	ndhuma
request	xikombelo
required	laveka
require	laveka
rescue	ponisa
research	ndzavisiso
resemble	fana na
resentment	nyangatseka
reservation	veka
reserve	hlayisa
resident	mutshami
resign	tshika ntirho
resilience	sihalala
resilient	tiyelela
resistance	sihalala
resist	sihalala
resolution	xitshunxo
resolve	ololoxa
resort	tlhelela
resources	switirhisiwa
respect	hlonipha
respond	hlamula
response	nhlamulo
responsibility	vutihlamuleri
responsible	vutihlamuleri
restaurant	vhengele ro xavisa swakudya swo swekiwa
rest in peace	etlela hi ku rhula
restore	vuyisela
restrict	yirisa
rest	wisa
result	mbuyelo
results	mimbuyelo
resume	sungula
retail	xavisa
retain	tlherisela
retention	ku hlayisa
retired	tshikile ntirho
retreat	tlhelela endzhaku
retrieve	ku teka
return	tlhelela
revealed	humelerisa
reveal	humelerisa
revenge	rihisela
revenue	muholo
reverse	tlhelela endzhaku
review	hlela hi vuntshwa
revise	pfuxeta
revision	pfuxeta
revolution	ndzundzuluko
reward	hakelo
rhythm	cinelo
rib	rimbambu
rice	rhayisi
rich	rifumo
ride	khandziya
ridiculous	hlekisa
rid	susa
right	mfanelo
right now	nkarhi lowu
rigid	tiyile
ring	xingwavila
rinse	hlantswa
riot	nkitsikitsi
rip	davula
ripe	vupfile
rise	tlakuka
risk	khombo
rival	valala
river	nambu
road	gondzo
roast	oxa
robust	vuenti
rock	ribye
rod	nkhavi
role	ntirho
roll	khunguluxa
roof	lwangu
room	kamara
root	rimitsu
rope	ntambhu
rotten	borile
rough	gwanya
roughly	kwalomu
round	rhandzavula
route	ndlela
routine	endlelo ra ntolovelo
row	ntila
rubber	rhaba
rubbish	mfava
rub	rhaba
rude	delela
