قليل	a little
متوقع	estimated
إلخ	etc
أبدي	eternal
أخلاق العمل	ethics
آداب المهنة	ethics
قدّر	evaluate
خمّن	evaluate
تقييم	evaluation
حَتَّى لَوْ	even
حَتّى	even
بالرغم من هيك	even though
مسا	evening
حدث	event
بالأخير	eventually
آخر مرة	eventually
أبداًً	ever
كل	every
الكل	everybody
الكل	everyone
كل واحد	everyone
كل شي	everything
إثبات	evidence
سيء	evil
شرير	evil
تطور	evolution
طوّر	evolve
لغة الإيوي	Ewe
القديم	ex
السابق	ex
بالضبط	exact
تماماً	exactly
بالضبط	exactly
امتحان	exam
يفحص	examine
يكشف على	examine
مثلاً	example
تخطّى	exceed
تمام	excellent
ممتاز	excellent
بيتوقع	except
يتوقّع	except
ما عدا	exception
باستثناء	exception
فايض	excess
فاق الحد	excess
مبالغ فيه	excessive
تبادل	exchange
متحمس	excited
حماسة	excitement
بيحمس	exciting
بيشوق	exciting
حصري	exclusive
عذر	excuse
لو سمحت	excuse me
ينفذ	execute
تنفيذ	execution
تنفيذي	executive
إداري	executive
تمرين	exercise
تدريب	exercise
العادم	exhaust
انهد حيلو	exhausted
تعبان كتير	exhausted
مرهق	exhausted
يعرض	exhibit
معرض	exhibition
موجود	exist
وجود	existence
موجود	existing
مخرَج	exit
وسّع	expand
بيتوقع	expect
يتوقّع	expect
كنت متوقّع	expected
شي متوقّع	expected
نفقات	expenses
غالي	expensive
تجربة	experience
خبرة	experience
تجربة	experiment
خبّير	expert
منتهي الصلاحية	expired
بيشرح	explain
شرح	explanation
توضيح	explanation
استغلّ	exploit
يستكشف	explore
تصدير	export
يفضح	expose
معرّض ل	exposed
يتعرض ل	exposure
بيعبّر عن	express
تعبير	expression
يمدد	extend
ممدود	extended
وصلة	extension
امتداد	extent
حجم	extent
خارجي	external
انقرض	extinct
زيادة	extra
يستخلص	extract
مو طبيعي	extraordinary
الحد الأقصى	extreme
زايد عن حدو	extremely
فيه مبالغة	extremely
عين	eye
عيون	eyes
قماش	fabric
حلو كتير	fabulous
وش	face
عم يسهّل	facilitate
مَرَافق	facilities
تسهيلات	facilities
تسهيل	facility
حقيقة	fact
واقع	fact
عنصر	factor
عامل	factor
مصنع	factory
حقائق	facts
يخلص	fade
يختفي	fade
ما ظبطت	fail
يفشل	fail
فشل	failed
فشل	failure
غمي	faint
غط عقلبو	faint
مقبول	fair
عادل	fair
معقول	fair
بشكل لايق	fairly
معقول	fairly
جنية	fairy
إيمان	faith
صالح	faithful
مستقيم	faithful
مزوّر	fake
مزيّف	fake
سقط	fall
وقع	fall
مزور	false
شهرة	fame
مألوف	familiar
عيلة	family
مجاعة	famine
معروف	famous
مشهور	famous
مروحة	fan
معجب	fan
وهم	fancy
روعة	fantastic
بعيد	far
بخاطرك	farewell
مزرعة	farm
فلاح	farmer
مزارع	farmer
ساحر	fascinating
بيبهر	fascinating
موضة	fashion
بسرعة	fast
سريع	fast
سمين	fat
ناصح	fat
دهون	fat
مسألة حياة أو موت	fatal
قدر	fate
نصيب	fate
أبي	father
ملل	fatigue
تعب	fatigue
خطأ	fault
غلط	fault
مفضّل	favorite
معروف	favour
خدمة	favour
مفضل	favourite
خوف	fear
عزيمة كبيرة	feast
ريشة	feather
ميزة	feature
ملامح	feature
ميزات	features
ملامح	features
شباط	february
ضجران	fed up
رسوم	fee
بيطعمي	feed
بترضع	feed
رأي	feedback
بيحس	feel
بيشعر	feel
يشعر	feel
شعور	feeling
رجل	feet
يوقع	fell
رفيق	fellow
زميل	fellow
شَعَر	felt
أنثى	female
سور	fence
سياج	fence
أرض خصبة	fertile
مهرجان	festival
جاب	fetch
حمّى	fever
قليل	few
شوي	few
أقل	fewer
خطيب	fiance
خيالي	fiction
حقل	field
مجال	field
ميدان	field
حقلة	field
شرس	fierce
خمستعش	fifteen
خمسين	fifty
يتقاتل	fight
يخانق	fight
مقاتلة	fighting
عركة	fighting
شكل	figure
عرف	figure out
يكتشف	figure out
ملف	file
يعبّي	fill
مليان	filled
معبّا	filled
فلم	film
فاحش	filthy
وِسخ	filthy
بالأخير	finally
تمويل	finance
مالي	financial
لاقى	find
وجد	find
اكتشف	find out
حلو	fine
ماشي	fine
بخير	fine
طيب	fine
اصبع الايد	finger
نهاية	finish
انتهى	finished
نار	fire
صارم	firm
كلمتو ما بتصير اتنين	firm
أول	first
الاسم الأول	first name
سمكة	fish
مناسب	fit
رشيق	fit
خمسة	five
يصلّح	fix
مصلّح	fixed
مثبّت	fixed
علَم	flag
وميض	flash
فلاش	flash
مسطح	flat
شقة	flat
عيب	flaw
ما بيتعيب	flawless
ما فيه عيب	flawless
اهروب	flee
لحم ودم	flesh
طار	flew
لوي	flex
مطواع	flexible
رحلة جوية	flight
نقر	flip
نقف	flip
بيعاكس البنات	flirt
مغازلة	flirting
فايش	float
طوفان	flood
فيضان	flood
أرضية	floor
طحين	flour
دفق	flow
وردة	flower
رشح	flu
طلق اللسان	fluent
بطلاقة لسان	fluently
كلو زغب	fluffy
سائل	fluid
يطير	fly
بيركز	focus
ضباب	fog
ضبابي	foggy
يطوى	fold
يا جماعة	folks
يلحق	follow
متابعة	follow up
اللي بعدو	following
أكل	food
طعام	food
مخبول	fool
أحمق	fool
أهبل	fool
غبي	foolish
رِجل	foot
كرة القدم	football
لِ	for
منشان	for
من أجلِ	for
عسبيل المثال	For example
عسبيل المثال	for instance
منشانك	for you
ممنوع	forbidden
قوة	force
توقع	forecast
تنبؤ	forecast
جبين	forehead
أجنبي	foreign
غريب	foreign
غابة	forest
للأبد	forever
لآخر العمر	forever
ينسى	forget
يسامح	forgive
نسيت	forgot
شوكة	fork
شكل	form
شكلي	formal
بيسبق	former
قبل	former
من حسن الحظ	fortunately
نصيب	fortune
ثروة	fortune
أربعين	forty
تنين وتلاتين	forty-two
إلى الأمام	forward
لقدام	forward
شجع	foster
حارب	fought
لاقى	found
مؤسسة	foundation
أربعة	four
أربعتعش	fourteen
تعلب	fox
ممكن ينكسر	fragile
هش	fragile
إطار	frame
إطار	framework
احتيال	fraud
غريب الأطوار	freak
فاضي	free
حر	free
حرية	freedom
تجميد	freeze
تفريز	freeze
تكرار	frequency
تردد	frequency
متكرر	frequent
بشكل متكرر	frequently
أغلب الأحيان	frequently
تازا	fresh
الجمعة	friday
برّاد	fridge
صديق	friend
رفيق	friend
ودي	friendly
رفقات	friends
صداقة	friendship
مرعوب	frightened
بيخوّف	frightening
ضفدع	frog
مِنْ	from
قدّام	front
مجمدة	frozen
فواكي	fruit
بيزعّل	frustrated
بيخيب	frustrated
نفط	fuel
اللغة الفولانية	Fulfulde
معبّا	full
بيسلّي	fun
بيضحّك	fun
وظيفة	function
أساسي	fundamental
جنازة	funeral
دفن	funeral
بيضحك	funny
بفرّط من الضحك	funny
فرو	fur
محتدّ	furious
غضبان	furious
عفش	furniture
مفروشات	furniture
وغير هيك	further
من جهة تانية	further
وكمان	further
إضافي	further
وكمان	furthermore
الايام الجايي	future
المستقبل	future
بيكسب	gain
بيربح	gain
لعبة	game
فتحة	gap
فراغ	gap
كراج	garage
زبالة	garbage
حديقة	garden
توم	garlic
باب السقاق	gate
بوابة	gate
جمع	gather
تجمع	gathering
قاس	gauge
عيّر	gauge
عطى	gave
نبيد معتق	gear
عَرَق	gear
الجنس	gender
عام	general
بشكل عام	generally
يولد	generate
جيل	generation
شهم	generous
كريم	generous
عبقري	genius
اسلوب أدبي	genre
أنيق	gentle
لطيف	gentle
مرتّب	gentle
أصيل	genuine
صادق	genuine
ملامح	gesture
جِيبْ	get
اِحْصَل	get
لبس تيابو	get dressed
فاق	get up
بتمنى تشفى عن قريب	get well soon
انشالله بتصح عن قريب	get well soon
ياخد	getting
شبح	ghost
جنّي	ghost
خفيّ	ghosting
عملاق	giant
هدية	gift
زنجبيل	ginger
بنت	girl
صديقة	girlfriend
يعطي	give
يترك	give up
يستسلم	give up
ممنوح	given
سعيد	glad
مبسوط	glad
نظرة سريعة	glance
بللور	glass
كاسة	glass
نضارات	glasses
لمحة	glimpse
عالمي	global
مكتئب	gloomy
كفوف	gloves
عم يشع	glow
توهج لحتى	glow up
صمغ	glue
غري	glue
اِذهَب	go
إضْوِي	go
رُوحْ	go
اتفضل	go ahead
روح من هون	go away
رايح نام	go to bed
غاية	goal
هدف	goal
أهداف	goals
غايات	goals
معزاية	goat
الله	god
الرب	god
الله يبارك فيك	god bless you
يروح	goes
ماشي	going
يلا	going
رايح ل	going to
دهب	gold
اختفى	gone
فص ملح وداب	gone
بدي	gonna
دَبق	goo
جيّد	good
منيح	good
كويّس	good
مرحبا	good afternoon
مسا الخير	good afternoon
مع السلامة	good bye
يوم منيح	good day
مسا الخير	good evening
مساء الخير	good evening
برافو عليك	good job
أحسنت	good job
شكلو حلو	good looking
موفّق	good luck
بالتوفيق	good luck
صباحو	good morning
أسعد الله صباحكم	good morning
صباح الخير	good morning
صباح الخير حبيبي	good morning my love
تُصْبِح على خَيْر	good night
مَسَا الخَير	good night
مع السلامة	goodbye
بشوفك	goodbye
تصبح على خير	goodnight
بضايع	goods
غوغل	Google
ترجمة غوغل	Google Translate
وزة	goose
خلّاب	gorgeous
روعة	gorgeous
نميمة	gossip
كتر حكي	gossip
حصل على	got
فهمتا	got it
الحكومة	government
يكمش	grab
مرحلة	grade
درجة	grade
شوي شوي	gradually
بالتدريج	gradually
متخرج	graduate
قمح	grain
حنطة	grain
منحة	grant
عطى	grant
عطية	granted
عنب	grapes
مسكة	grasp
مسك	grasp
حشيش	grass
عشب	grass
ممنون	grateful
جميلة	gratitude
امتنان	gratitude
ضريح	grave
قبر	grave
رمادي	gray
شايب	gray
كبير	great
عَظيم	great
طمع	greed
طمّاع	greedy
أخضر	green
تحية	greet
تحية	greeting
تحياتي	greetings
رمادي	grey
شايب	grey
شبكة	grid
حزن	grief
بيطحن	grind
مسكة	grip
خضرا وفواكي	grocery
عريس	groom
اجمالي	gross
أرض	ground
مجموعة من الناس	group
يكبر	grow
نمو	growth
غضبان	grumpy
ما بيعجبو شي	grumpy
لغة غواراني	Guarani
يكفل	guarantee
يضمن	guarantee
يحرس	guard
خمّن	guess
احزر	guess
ضيف	guest
إرشاد	guidance
يدلّ	guide
مذنب	guilty
رجّال	guy
زلمي	guy
يا شباب	guys
نادي رياضي	gym
عادة	habit
موطن	habitat
كان عنده	had
كان عندو	had
بَرَد	hail
شعر	hair
نص	half
صالة	hall
قاعة	hall
ايد	hand
مسكة	handle
حلو	handsome
أنيق	handsome
جميل	handsome
شنق	hang
علّق	hang
يقضي وقتو	hang out
يتسكع	hang out
يحدث	happen
صار	happen
حَدَثَ	happened
صار	happened
سعادة	happiness
فرحان	happy
مبسوط	happy
عيد ميلاد سعيد	happy birthday
كل عام وانت بخير	happy birthday
عيد ميلاد سعيد	happy birthday to you
كل سنة وانت سالم	happy new year
صعب	hard
قاسي	hard
يا دوب	hardly
شبه مستحيل	hardly ever
ضرر	harm
أذى	harm
مئذي	harmful
انسجام	harmony
صارِم	harsh
قاسي	harsh
الغلّة	harvest
عندو	has
عنده	has
بيكره	hate
أملُك	have
عِنْدِي	have
بتمنالك يوم سعيد	have a good day
اتضل بخير	have a nice day
فطِر	have breakfast
انبسط	have fun
أكلت شي	have you eaten
عندو	having
خطر	hazard
مجازفة	hazard
ضباب	haze
هُوَ	he
هُوِّي	he
هوي عندو	he has
هوي	he is
رأس	head
راس	head
وجع راس	headache
يشفي	heal
شفي	healing
صحة	health
صحي	healthy
يسمع	hear
بيسمع	hear
سمع	heard
قلب	heart
سخونة	heat
حرارة	heat
رب العالمين	heaven
تقيل	heavy
محموم	hectic
متوتر	hectic
ارتفاع	height
وريث	heir
سرقة	heist
محجوز	held
محبوس	held
جهنم	hell
السلام عليكم	Hello
مرحبا	Hello
مرحبا عزيزي	hello dear
مرحبا حبيبي	hello dear
مرحبا، كيفك	hello how are you
مرحبا، كيف حالك	hello how are you doing
خوذة	helmet
بيساعد	help
بيعاون	help
بيساعد	helpful
منشان هيك	hence
إلها	her
لها	her
قطيع	herd
هنا	here
هون	here
ورثة	heritage
يتردد	hesitate
تحيّة	Hey
هَلَا	Hey
سلام	Hi
مرحبا	Hi
مراحب	Hi
مرحباً كيف حالك	hi how are you
مرحبا	Hi there
انت	Hi there
مخبّا	hidden
خبّى	hide
رِتب	hierarchy
عالي	high
مرتفع	high
تسليط الضوء	highlight
تنزه	hike
يتمشى	hiking
مِرِح	hilarious
تلة	hill
له	him
لمّح	hint
خاصرة	hip
ورك	hip
وراك	hips
يأجّر	hire
توظيف	hiring
له	his
إلو	his
تاريخ	history
بيضرب	hit
بيصيب	hit
همم	Hmm
هواية	hobby
ماسك	hold
عندو	hold
يحمل	hold
عمهلك شوي	hold on
استنى	hold on
فتحة	hole
عطلة	holiday
مجوّف	hollow
بيت	home
شغل البيت	homework
مخلص	honest
شريف	honest
وفي	honest
بكل صدق	honestly
بصراحة	honestly
عَسَل	Honey
حَبيبي	Honey
شرف	honor
عمامة	hood
خطاف	hook
قفز	hop
نط	hop
أمل	hope
انشالله	hopefully
ما منو أمل	hopeless
أفقي	horizontal
زمور	horn
فظيع	horrible
رعب	horror
حصان	horse
مشفى	hospital
مستشفى	hospital
ضيافة	hospitality
نزل بضيافة	host
مضيف	host
عدواني	hostile
سخن	hot
شوب	hot
أوتيل	hotel
فندق	hotel
ساعة	hour
ساعات	hours
بيت	house
أهل البيت	household
كِيفْ	how
كَيْفَ	how
شلون	how
شو منشانك	how about you
كيف حالكَ	how are you
كيفَك	how are you
شلونك	how are you
شو عامل	how are you doing
كيف أحوالك	how are you doing
كِيفَك	how are you doing
كيفَك اليَوم	how are you doing today
كيفَ أحوالُكَ اليَوم	how are you doing today
كيفك اليوم	how are you today
كيف حالك	how do you do
كيف	how is
قديش	how many
قديش	how much
كم	how much
كم مرة	how often
كَم عُمرُكَ	how old are you
قديش عمرك	how old are you
كيف قضيت يومك	how was your day
انشالله نمت منيح	how was your night
كيف كانت ليلتك	how was your night
على كلّ حال	however
على أيِّ حالٍ	however
محور	hub
مَركَز	hub
زوج	hubby
شريك	hubby
عناق	hug
حضن	hug
حوشة	hug
كبير	huge
ضخم	huge
انساني	human
متواضع	humble
ذليل	humble
رطب	humid
رطوبة	humidity
مية	hundred
جوعان	hungry
صيد	hunt
اعصار	hurricane
عجّل	hurry
عجّل	hurry up
يؤذي	hurt
بيئذي	hurt
زوج	husband
يسرع	hustle
كوخ	hut
صحة	hygiene
أنا	I
أنا	I am
أنا منيح	I am fine
فيني	I can
بقدر	I can
ما فيّي	I can't
ما بقدر	I can't
صحيح	I do
موافق	I do
ما بعرف	I do not know
ما عم افهم	I do not understand
أنا لا	I don't
لا أعلم	I don't know
ما بعرف	I don't know
ما عَمْ إِفْهَمْ	I don't understand
لَا أفهَمُ	I don't understand
ما عم افهم عليك	I don't understand what you mean
ما عم افهم عليك	I don't understand you
ما بعرف	I don’t know
ما فهمت	I don’t understand
بظنّ	i guess
كان عندي	I had
عندي	I have
كنت	I have been
بتمنى يكون هيك	I hope so
بعرف	I know
أعلم	I know
أنا بحب	I like
انت بتعجبني	I like you
بحبك	I love
بحب أخي الكبير	I love my big brother
بحب اختي الكبيرة	I love my big sister
بحب أبي	I love my father
بحب اخي الصغير	I love my little brother
بحب اختي الصغيرة	I love my little sister
بحب امي	I love my mother
بحبِّك	I love you
أحبّك	I love you
أحبّك جدًّا	I love you so much
بحبك كتير	I love you so much
وأنا بحبك كمان	I love you too
وأنا كمان بحبك	I love you too
بقصد	I mean
قصدي	I mean
مشتاق لك	I miss you
اشتقت إليك	I miss you
مشتقلك كتير	I miss you so much
اشتقت إليك كثيرًا	I miss you so much
مو مشكلة	I see
فهمت	I see
بظنّ	I think
فهمت	I understand
طيب ماشي	I understand
بدّي	I want
بدّي شوفك	I want to see you
بدي ياك	I want you
أنا كنت	I was
أنا رح	I will
بدي كون	I would be
أنا	I'm
أموري تمام	I'm fine
أنا منيح	I'm fine
أنا جيّد	I'm fine
أنا كويس	I'm fine
أنا منيح	I'm good
أنّا هون	I'm here
أنا آسف	I'm sorry
بعتذر	I'm sorry
تلج	ice
بوظة	ice cream
فكرة	idea
مثالي	ideal
طبق الأصل	identical
بيحدّد	identify
بيعرّف	identify
هوية	identity
سخيف	idiot
مخبول	idiot
غبي	idiot
بلا شغل	idle
عاطل	idle
إذا	if
يهمل	ignore
يترك	ignore
مريض	ill
مو قانوني	illegal
مرض	illness
لغة الإلكانو	Ilocano
صورة	image
تخيّل	imagine
تصوّر	imagine
فوراً	immediate
هلق	immediately
فوراً	immediately
ضخم	immense
أثر	impact
بصلتو محروقة	impatient
ما عندو صبر	impatient
بينفذ	implement
استيراد	import
مهم	important
فرض	impose
مستحيل	impossible
إقناع	impress
انطباع	impression
جميل	impressive
ملفت	impressive
حسّن	improve
تحسين	improvement
جوّا	in
داخل	in
في	in
بالإضافة ل	in addition
بالحقيقة	In fact
قدّام	in front of
منشان	in order to
مو مناسب	inappropriate
حافز	incentive
حادثة	incident
من ضمنو	include
بيتضمن	include
بما فيها	including
مدخول	income
مو مريح	inconvenience
زوّد	increase
يزيد	increase
زاد	increased
مو معقول	incredible
بالفعل	indeed
في الواقع	indeed
فِعْلًا	indeed
معتمد عحالو	independent
مستقل	independent
الهند	India
بيدل	indicate
ابن البلد	indigenous
شخصي	individual
صناعة	industry
اجباري	inevitable
حتمي	inevitable
رضيع	infant
عدوى	infection
ما لا نهاية	infinity
اشتعال	inflammation
تضخم اقتصادي	inflation
تأثير	influence
يخبّر	inform
معلومات	information
المكونات	ingredients
ميراث	inheritance
مبدأياً	initial
مبادرة	initiative
متصاوب	injured
متصاوب	injury
بسيط	innocent
برّيء	innocent
اختراع	innovation
طلب	inquiry
سؤال	inquiry
مخبول	insane
مجنون	insane
أجدب	insane
حشرة	insect
مو آمن	insecure
إدراج	insert
جوا	inside
بصيرة	insight
عم يصرّ	insist
أرق	insomnia
إلهام	inspiration
يلهم	inspire
تثبيت	install
مثل	instance
فوري	instant
بدل	instead
بدلاً من	instead of
تعليمات	instructions
آلة موسيقية	instrument
عم يسبّ	insult
تأمين	insurance
سليم	intact
أمانة	integrity
نزاهة	integrity
فهمان	intellectual
مثقف	intellectual
فطنة	intelligence
ذكا	intelligence
فطن	intelligent
بيفهما وهيي طايرة	intelligent
ذكي	intelligent
ينوي	intend
ناوي	intended
كثيف	intense
شديد	intense
نية	intention
يتفاعل	interact
تفاعل	interaction
اهتمام	interest
مهتم	interested
مثير للاهتمام	interesting
مهم	interesting
عم يتدخل	interfere
متوسط	intermediate
داخلي	internal
دولي	international
فترة تدريب	internship
عم يفسّر	interpret
مترجم فوري	interpreter
بيقاطع الحديث	interrupt
بيعترض	interrupt
مقابلة	interview
حميم	intimate
جوا	into
قدّم	introduce
عرّف	introduce
تقديم	introduction
منطوي عنفسو	introvert
حدس	intuition
ما بيسوى	invalid
يخترع	invent
جرد	inventory
يستثمر	invest
يحقق	investigate
عزيمة	invitation
يعزم	invite
فاتورة	invoice
متضمّن	involve
متدخل	involved
متورط	involved
مكواية	iron
حديد	iron
عَمْ	is
جزيرة	island
معزول	isolated
مسألة	issue
موضوع	issue
شغلة	issue
مشكلة	issue
مشاكل	issues
مواضيع	issues
هو	it
هي	it
هو	it is
هي	it is
هوي	it is
كان	it was
هوّي	it's
لا تقلق	it's ok
مو مشكلة	it's ok
لا بأس	it's ok
لا تقلق	It's okay
مو مشكلة	It's okay
لا بأس	It's okay
غرض	item
غراض	items
هوّي	its
هيّي	its
أنا	I’m
جاكيت	jacket
سجن	jail
كانون التاني	January
جرة	jar
فك	jaw
حسود	jealous
غيران	jealous
حمار	jerk
غبي	jerk
مجوهرات	jewelry
شغل	job
عمل	job
مشي سريع	jogging
انضم	join
شارك	join
مفصل	joint
نكتة	joke
صحفي	journalist
رحلة	journey
فرح	joy
قاضي	judge
عصير	juice
تموز	july
قفز	jump
نط	jump
حزيران	june
نفايات	junk
تمامًا	just
فقط	just
بس	just
بس اعملها	just do it
عدالة	justice
يبرر	justify
لغة كالاليسوت	Kalaallisut
شديد	keen
حريص	keen
احفظ	keep
خلّيك	keep
ضل	keep
استمر	keep it up
ترك	kept
غلاية	kettle
مفتاح	key
لبطة	kick
طفل	kid
يمزح	kidding
كلية	kidney
أطفال	kids
قتل	kill
لطيف	kind
مهذّب	kind
قريب عالقلب	kind
نوعاً ما	kinda
بلطف	kindly
لطافة	kindness
ملك	king
بوسة	kiss
المطبخ	kitchen
طيارة ورق	kite
قطه صغيرة	kitten
ركبة	knee
عرف	knew
سكين	knife
فارس	knight
يعلم	know
بيعرف	know
علم	knowledge
معرفة	knowledge
معروف	known
مشهور	known
معلوم	known
اللغة الكونكانية	Konkani
لغة كريو	Krio
تلزيق بطاقة	label
شغيّل	labor
شغل	labour
نقص	lack
معتاز	lack
سلّم	ladder
ست	lady
حطّ	laid
بحيرة	lake
خروف	lamb
عاجز	lame
خروف	lamp
أرض	land
منظر طبيعي	landscape
لغة	language
حِضن	lap
كبير	large
أخير	last
آخر	last
أخيراً وليس آخراً	last but not least
اسم العيلة	last name
الكنية	last name
متأخر	late
بالفترة الأخيرة	lately
لاحقًا	later
بعدين	later
أحدث	latest
الأخير	latter
ضحكة	laugh
يضحك	laughing
ضحك	laughter
يطلق	launch
مغسلة	laundry
قانون	law
مرجة	lawn
عشب	lawn
محامي	lawyer
يحطّ	lay
طبقة	layer
مخطط	layout
كسلان	lazy
قليل مروة	lazy
كسول	lazy
بيقود	lead
بيأدي ل	lead
يقود	lead
يؤدي إلى	lead
قائد	leader
ورقة شجر	leaf
تسريب	leak
جسمو رقيق	lean
نحيف	lean
نقلة مفاجئة	leap
بيتعلم	learn
تعلُّم	learning
عقد إيجار	lease
أقل شي	least
جلد	leather
غادِر	leave
فِلّ	leave
أوراق الشجر	leaves
سبّب	led
خلّا	led
يسار	left
شمال	left
سيقان	leg
ميراث	legacy
وصية	legacy
قانوني	legal
أسطورة	legend
قانوني	legit
وقت فراغ	leisure
راحة	leisure
عار	lend
طول	length
أقل	less
درس	lesson
اترك	let
حرف	letter
رسالة	letter
خس	lettuce
مستوى	level
تأثير	leverage
نفوذ	leverage
مسؤولية قانونية	liability
مكتبة	library
لحس	lick
كذبة	lie
كذب	lies
حياة	life
رفع	lift
توصيلة	lift
ضوء	light
ضو	light
لمع	lightning
يعجب	like
بيعجب	like
متل	like
مثل	like
بيشبه	like
محمتل	likely
يمكن	likely
عنفس المنوال	likewise
خط	line
لغة اللينغالا	Lingala
رابط	link
وصلة	link
أسد	lion
سائل	liquid
قائمة	list
ليستا	list
اسماع	listen
سمع	listening
حرفياً	literally
أدب	literature
وسخ	litter
زبالة	litter
صغير	little
يعيش	live
يسكن	live
كبد	liver
الأرواح	lives
عيشة	living
عايش	living
غرفة القعدة	living room
سحلية	lizard
حمولة	load
حِمل	load
رغيف خبز	loaf
دَيّن	loan
بلدي	local
الموقع	location
قفل	lock
تسكير	lockdown
سجّل	log
بيضحك كتير	lol
وحيد	lonely
طويل	long
من زمان ما شفتك	long time no see
بيظهر	look
طلع	look
يبدو	look
شوف	look
انظر	look
حلقة	loop
فضفاض	loose
مرتّخي	loose
الله	lord
رب	lord
فقد	lose
خسارة	lose
خسارة	loss
مو موجود	lost
ضايع	lost
كتير	lot
صوت عالي	loud
غرفة القعدة	lounge
الصالون	lounge
غَرَام	love
حُبّ	love
بحبك	love you
حلو	lovely
جميل	lovely
منخفض	low
أوطا	lower
مخلص	loyal
موالي	loyal
وفي	loyal
وفاء	loyalty
حظ	luck
محظوظ	lucky
اللغة اللوغندية	Luganda
شناتي السفر	luggage
ورم	lump
غدا	lunch
رئتين	lungs
عيشة مرفهة	luxury
عم يكذب	lying
آلة	machine
ماكينة	machine
مخبول	mad
مجنون	mad
مدام	madam
صنع	made
عمل	made
مجلة	magazine
عظيم	magnificent
خدّامة	maid
رئيسي	main
حافظ على	maintain
صان	maintain
صيانة	maintenance
لغة المايثيلي	Maithili
رئيسي	major
رئيس	major
الأغلبية	majority
صنع	make
عمل	make
ماكياج	make up
ذكر	male
دَكَر	male
مجمع تجاري	mall
مول	mall
رجل	man
رجّال	man
يحضّر	manage
إدارة	management
مدير	manager
اجباري	mandatory
إلزامي	mandatory
مبيّن	manifest
واضح	manifest
يتلاعب ب	manipulate
طريقة	manner
يدوي	manual
كتير	many
كثير	many
انشالله بتلاقي كل الخير بهاليوم	many many happy returns of the day
آذار	march
هامِش	margin
سوق	market
زواج	marriage
متزوج	married
كمامة	mask
كتلة	mass
ضخم	massive
جسيّم	massive
مسيطر	master
مباراة	match
متل	match
رفيق	mate
مادي	material
الرياضيات	math
مسألة	matter
موضوع	matter
نضج	maturity
يمكن	may
ممكن	maybe
يمكن	maybe
أنَا	me
حالِي	me
وأنا كمان	me too
أنا أيضًا	me too
وجبة	meal
قَصَد	mean
بتقصد	mean
معنى	meaning
وسائل	means
بيقصد	meant
بهالأثناء	meanwhile
قياس	measure
مقاسات	measures
لحمة	meat
طبي	medical
دوا	medicine
طب	medicine
تأمل	meditation
وسط	medium
قابل	meet
التقي	meet
لقاء	meeting
لغة ميتيلون	Meiteilon
داب	melt
ذكريات	memories
ذاكرة	memory
عقليّ	mental
قال	mention
مذكور	mentioned
شخص ناصح	mentor
تاجر	merchant
رحمة	mercy
ببساطة	merely
ميلاد مجيد	merry christmas
كرّكبة	mess
فوضى	mess
رسالة	message
فوضوي	messy
وِرش	messy
معدن	metal
أسلوب	method
طريقة	method
فيران	mice
وسط	middle
بنص الليل	midnight
ممكن	might
يمكن	might
لطيف	mild
خفيف	mild
متسامح	mild
منعطف	milestone
حدث مهم	milestone
جيش	military
حليب	milk
مليون	million
عقل	mind
عقلية	mindset
إلي	mine
تبعي	mine
لي	mine
خلط	mingle
صغير	minor
دقيقة	minute
دقايق	minutes
معجزة	miracle
المراية	mirror
متنوع	miscellaneous
مزعج	mischievous
بيبكّي	miserable
تعيس	miserable
تعاسة	misery
مشتاق	miss
أضاع	miss
ضيّع	miss
مشتقلك	miss you
ضايع	missing
شوق	missing
مهمة	mission
غشاوة	mist
خطأ	mistake
لغة الميزو	Mizo
موبايل	mobile
يتمسخر	mock
موديل	model
معتدل	moderate
مودرن	modern
حديث	modern
مقدّر	modest
محتشم	modest
رطب	moist
رطوبة	moisture
قالب	mold
خلد	mole
ام	mom
لحظة	moment
التنين	monday
مصاري	money
مرقب	monitor
قرد	monkey
سعدان	monkey
شهر	month
مزاج	mood
متقلب المزاج	moody
قمر	moon
أخلاقي	moral
أكتر	more
أكثر	more
فوق كل هاد	moreover
وكمان	moreover
صباح	morning
عبكرة	morning
قرض عقاري	mortgage
رهن عقاري	mortgage
أكتر	most
معظم	most
بالمقام الأول	mostly
ام	mother
حركة	motion
حافز	motivation
جبل	mountain
فارة	mouse
تم	mouth
يتحرك	move
حركة	movement
فلم	movie
ست	mrs
مدام	mrs
كتير	much
جدًّا	much
طين	mud
وحل	mud
كوب	mug
ماغ	mug
عضلة	muscle
متحف	museum
فطر	mushroom
موسيقى	music
لازم	must
يجب	must
الوضع الصامت	mute
مشترك	mutual
لي	my
خاصّتي	my
عزيزي	My dear
صديقي	my friend
مو عرفان شو عم يحكي	My hovercraft is full of eels
حبي	my love
حبيبي	my love
اسمي	my name is
بكل ممنونية	my pleasure
أنا	myself
نفسي	myself
غامض	mysterious
لغز	mystery
خرافة	myth
ضفر	nail
بسيط	naive
غر	naive
بينضحك عليه	naive
اسم	name
رواية	narrative
ديّق	narrow
بيقرّف	nasty
وطني	national
الجنسية	nationality
أصلي	native
من أصل البلد	native
طبيعي	natural
طبيعة	nature
لعية نفس	nausea
بالقرب	near
قريب	near
جنب	near
هون	nearby
تقريباً	nearly
مرتّب	neat
منظم	neat
ضروري	necessary
رقبة	neck
سنسال	necklace
