a little	кӀеззиг
extremely	тӀетаӀӀош
extremely	къаьсттина чӀогӀа
eye	бӀарг
eyes	бӀаьргаш
fabric	кӀеда
fabulous	инзардоккху
face	юьхь
face	бат
facilitate	гӀолаца
facilities	гӀирс
facility	объект
fact	бакъдерг
factor	фактор
factory	завод
facts	факташ
fade	маргӀалдола
fail	аьтто боха
failed	аьтто боха
failure	кхачамбацар
failure	аьтто цахилар
faint	гӀийла
fair	оьзда
fairly	мела
fairy	фея
faith	тешар
faithful	тешаме
fake	моттаргӀа
fake	тардар
fall	харца
fall	дожа
false	харцо
fame	хастам
familiar	довзар
family	доьзал
famine	мацалла
famous	гоьдаьлла
famous	девзаш долу
fan	вентилятор
fan	мохтухург
fancy	исбаьхьа
fantastic	фантастическан
far	гена
farewell	вовшахкъастар
farm	хьаьтта
farm	ферма
farmer	фермер
fascinating	тайнарг
fascinating	дагадухург
fashion	мода
fast	сиха
fast	маса
fast	чехка
fat	мохь йиллина
fat	дерстина
fatal	бале
fate	кхоллам
fate	кхел
father	да
fatigue	гӀелдалар
fault	гӀалат
favorite	дукха деза
favorite	хьоме
favour	дика
favourite	хьоме
fear	кхерам
feast	той
feather	пелаг
feature	башхалла
features	башхаллаш
february	февраль
fed up	вуьззина
fee	ахча далар
feed	хӀума яла
feedback	зӀе латтор
feedback	юкъарло кхабар
feel	хаадала
feeling	хаадалар
feet	когаш
fell	охьакхета
fellow	накъост
felt	хаадала
female	зударийн
fence	керт
fertile	ялта хьекъа
festival	фестиваль
fetch	схьадаккха
fever	хорша
few	масех
fewer	кӀизиг
fiance	зуда ехна стаг
fiction	кхоьллинарг
field	аре
fierce	дера
fifteen	пхийтта
fifty	шовзткъе итт
fight	тӀом
fight	латар
fight	тасадалар
fighting	латар
figure	фигура
figure	кеп
figure	куц
figure out	билгалдан
file	файл
fill	дуза
filled	дуьззина
film	фильм
filthy	цӀаьрмат
finally	тӀаьххьара
finally	дерзош
finance	финансаш
financial	финансан
find	каро
find out	билгалдар
fine	дика ду
finger	пӀелг
finish	кхочушдан
finished	чекха даьккхина
fire	цӀе
fire	герзтохар
firm	декъа
firm	онда
first	хьалхара
first name	цӀе
fish	чӀара
fit	тӀеэха
five	пхиъ
fix	тодан
fixed	тодина
flag	байракх
flash	ялар
flat	квартира
flat	хӀусам
flat	петар
flaw	эшам
flawless	ала хӀума доцу
flee	дада
flesh	дилха
flew	лелира
flex	сатто
flexible	кӀеда
flight	тӀемадала
flip	сальто
flirt	флирт лелор
flirt	цӀога хьийзор
flirting	флирт
float	даха
float	тӀехула латта
flood	хидестар
floor	этаж
floor	гӀат
flour	дама
flow	даржа
flow	Ӏана
flower	зезаг
flu	грипп
fluent	ведда
fluently	тӀехула
fluently	чехка
fluffy	месала
fluid	кочалла
fly	лела
focus	ойла тӀеяха
focus	тидам тӀеберза
fog	дохка
foggy	дахкаран
fold	сатто
folks	нах
follow	тӀаьхьадаха
follow up	тӀех ваха
following	тӀаьхьадаха
food	даар
food	кхача
fool	Ӏовдал
foolish	Ӏовдал
foot	ког
football	футбол
for	дуьхьа
for	-на
For example	масала
for instance	масала
for you	хьуна
forbidden	дихкина
forbidden	магош доцу
forbidden	ца магийна
force	гӀора
force	ницкъ
forecast	прогноз
forecast	хиндерг
forehead	хьаж
foreign	арахьара
foreign	кхечу мехкан
forest	хьун
forever	гуттаренна
forget	дицдала
forgive	гечдар
forgot	вицвелла
fork	мӀара
form	кеп
form	форма
formal	куьцан
former	хилла
fortunately	ирсана
fortune	хьал
forty	шовзткъе
forty-two	шовзткъе шиъ
forward	хьалха
foster	гӀодан
fought	летта
found	карийра
foundation	лард
foundation	бух
four	диъ
fourteen	дейтта
fox	цхьогал
fragile	экам
frame	гур
framework	рамкаш
fraud	курхалла
freak	тамашена стаг
free	мукъа
freedom	паргӀато
freeze	шелдала
frequency	луьсталла
frequent	кест-кеста
frequent	хӀоразза а хирг
frequently	наггахь
frequently	кест-кеста
fresh	керла
friday	пӀераска
fridge	шелиг
friend	доттагӀ
friendly	доттагӀаллин
friends	доттагӀий
friendship	дотагӀалла
frightened	кхераделла
frightening	кхераме
frog	пхьид
from	-ра
front	хьалхе
frozen	гӀорийнарг
frozen	шабинарг
fruit	стоьмаш
frustrated	хилла доцу
fuel	ягорг
Fulfulde	FuӀfuӀde
full	дуьззина
fun	синкъерам
function	функци
function	декхар
fundamental	лард
fundamental	бух буьллу
funeral	тезет
funny	декхаделла
funny	самукъане
fur	чо
furious	луьра
furniture	мебель
further	генара
furthermore	цул совнаха
future	хиндерг
gain	схьаэца
game	ловзар
gap	юкъ
garage	гараж
garbage	нехаш
garden	беш
garlic	саьрмасекх
gate	ков
gather	лехьо
gathering	лехьор
gauge	калибр
gave	дела
gear	механизм
gender	стен-боьршалла
general	коьрта
general	юкъара
generally	гуттара
generate	генерировать
generation	тӀаьхье
generous	комаьрша
genius	гени
genre	жанр
gentle	хьасартне
gentle	кӀеда-мерза
genuine	бакъ долу
gesture	билгало
get	схьаэца
get dressed	тӀе хӀума йоха
get up	хьалагӀатта
get well soon	сиха товелла
getting	схьаэцар
ghost	гӀаларт
ghosting	гӀаларт
giant	доккха
gift	совгӀат
ginger	Ӏамбар
ginger	занжабил
girl	жима йоӀ
girlfriend	йоӀ
give	дала
give up	карадахар
given	совгӀатна
glad	хазахета
glad	синкъераме
glance	хьажар
glass	куьзга
glasses	куьзганаш
glimpse	лепар
global	глобалан
gloomy	бодане
gloves	каранаш
glow	лепа
glow up	серло яла
glue	бокх
go	даха
go ahead	хьалха дӀагӀо
go away	дӀагӀо
go to bed	дӀавижа ваха
goal	Ӏалашо
goals	Ӏалашонаш
goat	газа
god	Дела
god bless you	Дала декъал войла хьо
goes	тан
going	даха
going to	кечвала
gold	дошо
gone	дӀавахна
gonna	гулделла
goo	тӀелета
good	дика
good afternoon	де дика хуьлда
good bye	Ӏодика хуьлда
good day	дика де ду
good evening	суьйре дика хуьлда
good job	дика болх бу
good looking	безаме
good luck	аьтто бойла
good morning	Ӏуьйре дика хуьлда
good morning my love	Ӏуьйре дика хуьлда хьан, хьоминаг
good night	буьйса декъала хуьлда
good night	буьйса дика хуьлда
goodbye	Ӏодика хуьлда
goodnight	буьйса декъала йола
goods	дикалла
Google	Гугл
Google Translate	GoogӀe гочдархо
goose	гӀаз
gorgeous	исбаьхьа
gossip	эладита
got	схьаэцна
got it	кхийтира
government	урхалла
government	Ӏедал
grab	дӀалаца
grade	класс
gradually	тӀаьхьо
gradually	тӀаьхь-тӀаьхьа
graduate	дешнарг
grain	кӀа
grant	грант
granted	гайтинарг
grapes	кемсаш
grasp	катохар
grass	буц
grateful	шена дина дика гуш
grateful	тӀалам болуш
gratitude	баркалла
grave	каш
gray	басар
gray	сира
great	тӀехдика
greed	сутаралла
greedy	сутара
green	баьццара
greet	маршалла хаттар
greeting	маршалла хаттар
greetings	маршалла хаттар
grey	мокха
grey	сира
grid	бой
grief	бала
grind	атар
grip	лацар
grocery	баккхал
groom	зуда ехна стаг
gross	дерриг
ground	дуьне
group	тоба
grow	кхиа
growth	лакхалла
grumpy	кхоьлина
Guarani	Гуарани
guarantee	закъалт
guarantee	гаранти
guard	ха дар
guess	шекьхила
guess	дагаэккха
guest	хьаша
guidance	куьйгалла
guide	урхалла
guide	куьйгалла
guilty	бехке
guy	кӀант
guys	кӀентий
gym	тренажеран зал
habit	амал
habitat	дахарна гонахдерг
had	хила
hail	къора
hair	месаш
half	ах
hall	уче
hall	чуьра чоь
hand	куьг
handle	лардалар
handsome	бӀаьрла
handsome	тайна
handsome	хаза
hang	хьалаолла
hang out	синкъерам
happen	нисдалар
happen	хилар
happened	нисделла
happened	хилла
happened	тӀедеана
happiness	ирс
happy	ирсе
happy	декъала
happy	ирс долуш
happy birthday	винчу денца декъалво
happy birthday to you	декъала хийла хьо
happy new year	Керлачу шарца
hard	хала
hard	ницкъала
hardly	халла
hardly ever	цкъа а хир дуй техьа
harm	зен
harmful	зуламе
harmony	гармони
harsh	буьрса
harvest	ялта чудерзор
has	хила
hate	ца деза
have	хилa
have	ду
have a good day	Ӏодика йойла
have a nice day	Ӏодика йойла
have breakfast	марта даа
have fun	сакъера
have you eaten	ахь хӀума йиина
having	долу
hazard	кхерам
haze	яйн дохк
he	иза
he has	цуьнгахь
he is	иза ву
head	корта
headache	коьртан лазар
heal	дарба лело
healing	дарба лелор
health	могашалла
healthy	могуш
hear	хезаш
hear	хаза
heard	хезна
heart	дог
heat	йовхо
heaven	стигал
heavy	хала
hectic	хоршан
height	локхалла
heir	тӀаьхье
heist	къоладар
held	латтийра
hell	жоьжахати
Hello	Маршалла хуьлда
hello dear	маршалла ду хьоьга, хьомениг
hello how are you	марша вогӀийла
hello how are you	муха ву хьо
hello how are you doing	Маршалла ду, хӀу деш ву хьо
helmet	гӀем
help	гӀо
helpful	пайде
hence	цундела
her	цуьнан
herd	бажа
here	кхузахь
heritage	тӀаьхьало
hesitate	шеко хилар
Hey	ХӀей
Hi	Маршалла ду
hi how are you	Маршалла ду, муха ву хьо
Hi there	Маршалла ду
hidden	къайлаха
hide	дӀадилла
hierarchy	иерархи
high	лекха
highlight	схьакъасто
hike	таллар
hike	кхарстар
hike	лелар
hiking	гӀашлойн туризм
hilarious	самукъане
hill	гу
him	цуьнан
hint	дӀаалар
hip	ха
hip	варо
hips	вареш
hire	хӀотта
hiring	болхбан стаг лацар
his	цуьнан
history	истори
hit	тоха
Hmm	Хмм
hobby	мерзделларг
hobby	хобби
hold	кхаба
hold	латто
hold	сацо
hold on	латта
hole	Ӏуьрг
holiday	дезде
hollow	еса
home	цӀа
homework	цӀера болх
honest	догцӀена
honestly	тешаме
Honey	моз
Honey	Мерзаниг
Honey	Хьомениг
honor	сий
hood	капюшон
hook	мӀара
hop	кхийсадала
hope	сатийса
hope	догдаха
hopefully	сатуьйсуш долу
hopeless	тешаме воцу
horizontal	ана
horn	цатам
horrible	ирча
horror	Ӏадор
horse	говр
hospital	дарбанцӀа
hospitality	хьошалла
host	хьалханча
host	да
host	тхьамда
hostile	мостагӀаллин
hot	довха
hotel	отель
hour	сахьт
hours	сахьташ
house	цӀа
house	цӀено
household	цӀийнан бахам
how	маса
how	мел
how	муха
how about you	Ахь хӀун эр дара
how are you	муха ву хьо
how are you doing	муха ву хьо
how are you doing today	муха ву хьо тахана
how are you today	тахана муха ву хьо
how do you do	хӀун деш ву хьо
how is	муха
how many	мел
how much	маса
how much	мел
how often	мел кеста
how old are you	хьан маса шо ду
how was your day	муха дӀаделира хьан де
how was your night	муха дӀаелира буьйса
however	делахь а
hub	хаб
hubby	майра
hug	марадолла
huge	сов доккха
huge	тӀехдоккха
human	стаг
human	адам
humble	эсала
humid	тӀуьналла
humidity	тӀуьналла
hundred	бӀе
hungry	меца
hunt	кого
hurricane	дарц
hurry	сихо
hurry up	сихвала
hurt	чов ян
hurt	лазо
hurt	дохо
husband	майра
husband	цӀийнда
hustle	тӀеттӀататтадалар
hut	лаппагӀа
hygiene	уьнахцӀано
I	Со
I am	со ву
I am fine	Со дика ву
I can	соьга дало
I can't	соьга ца дало
I can't	сан гӀуллакх ца хуьлу
I do	Ас до
I do not know	Суна ца хаьа
I do not understand	Со ца кхета
I don't	Суна ца
I don't know	Суна ца хаьа
I don't understand	Со ца кхета
I don't understand what you mean	Со ца кхета ахь дуьйцучах
I don't understand you	Со ахь дуьйцчуьнах ца кхета
I don’t know	Суна ца хаьа
I don’t understand	Со ца кхета
i guess	суна хета
I had	Соьгахь дара
I have	cоьгахь ду
I have	сан ду
I have been	Соьгахь хила
I hope so	иштта хета суна а
I know	Суна хаа
I like	Суна хаз хета
I like you	Суна хьо хазахета
I love	Суна веза
I love my big brother	Суна сайн воккхаха ваша дукха веза
I love my big sister	Суна сайн йоккхаха йиша дукха еза
I love my father	Суна сайн да дукха веза
I love my little brother	Суна сайн ваша дукха веза
I love my little sister	Суна сайн йиша дукха еза
I love my mother	Суна сайн нана дукха еза
I love you	Суна веза хьо
I love you so much	Суна чӀогӀа дукха еза хьо
I love you too	Суна а веза хьо
I mean	суна хетарехь
I miss you	Хьуна сагатделла сан
I miss you so much	ЧӀогӀа сахьийза сан хьо ганза
I see	суна го
I think	суна хета
I understand	со кхета
I want	Суна деза
I want to see you	Суна ган лаьа хьо
I want you	Суна хьо веза
I was	Со вара
I will	со хир ю
I will	со хир ву
I would be	Со хир вара
I'm	со ву
I'm fine	Дика ву со
I'm good	со дика ву
I'm here	Со кхузахь ву
I'm sorry	къинтӀера вала
I'm sorry	бехк ма билла суна
ice	ша
ice cream	морожени
idea	ойла
ideal	тӀехдаьлла дика
ideal	тоьлла дерг
identical	цхьатерра
identify	билгалдаккха
identify	къасто
identity	цхьатерра
idiot	идиот
idle	мукъа
if	нагахь санна
ignore	тергал цадар
ignore	лергах цаохьар
ill	цомгуш
illegal	бакъонца доцу
illness	цамгар
Ilocano	Илокано
image	сурт
imagine	сурт хӀоттош
immediate	хьем боцуш
immediately	сихха
immediately	хьем боцуш
immediately	хӀинцца
immense	доккха
impact	вас
impact	Ӏаткъам
impatient	собаре ца хилар
implement	кхочушдар
import	импорт ян
important	коьрта
important	мехала
important	ладаме
impose	харцо йийца
impossible	хила йиш йоцу
impress	битам
impression	битам
impressive	бӀаьрла
impressive	битаме
improve	дӀанисдан
improve	тадан
improvement	тадан
in	чу
in addition	тӀетохуш
In fact	Боккъола а
in front of	хьалха
in order to	дуьхьа
inappropriate	цхьана ца догӀу
incentive	яхь
incentive	стимул
incident	хьовзам
incident	хилларг
incident	хилам
include	дӀаэца
including	чулоцуш
including	чулацар
income	пайда
inconvenience	бӀегӀийла
increase	алсамдаккхар
increase	дебор
increased	алсамдаькхинарг
incredible	Ӏаламате
incredible	тамаше
indeed	баккъалла а
independent	дозуш доцу
India	Инди
indicate	гайта
indicate	дуста
indigenous	бухера схьа
indigenous	бухенгара
individual	шенна лерина
individual	шенна
individual	шашаха
industry	индустри
inevitable	хилаза ца долу
infant	бер
infection	инфекци
infinity	йист йоцуш
inflammation	кхетар
inflation	инфляци
influence	Ӏаткъам
inform	хаамбар
information	хаам
information	информаци
ingredients	ингридиенташ
inheritance	верасалла
initial	юьххьера
initial	дуьххьера
initiative	дуьххьара
injured	чов хилла
injured	лазийна
injury	чов
innocent	бехкбоцу
innovation	инноваци
inquiry	таллам
insane	хьераваьлла
insect	сагалмат
insecure	кхерамза
insert	тийса
inside	чохьа
inside	чохь
inside	чухулара
insight	само
insight	тидамалла
insist	тӀера цавалар
insist	къар цавалар
insomnia	наб яр
inspiration	дог ирахӀоттар
inspire	дагатасар
install	дӀахӀоттор
instance	масал
instant	мӀаьргона
instant	бӀаьрган негӀар тохале
instead	метта
instead of	меттал
instructions	хьехамаш
instrument	гӀирс
instrument	инструмент
insult	сийсаздаккхар
insurance	зен юкъара хилар
intact	куьг тохаза
integrity	дийна хилар
intellectual	интеллектан
intelligence	интеллект
intelligent	хьекъале
intelligent	кхетам болуш
intend	ойла ян
intended	билгалдаьккхина
intense	сихонца
intense	сихдинна
intense	чехкка
intention	негат
interact	дозуш хила
interaction	зӀе латтор
interest	тидам тӀеберзар
interest	догдар
interested	тидам тӀебаханарг
interesting	тамаше
interesting	самукъане
interfere	юкъегӀертар
intermediate	юкъера
internal	чохьара
international	дуьненаюкъара
internship	интернатура
interpret	хьеха
interpret	кхетам бала
interpreter	гочдархо
interrupt	хадор
interview	интервью
intimate	дагара
into	чу
introduce	декъаозо
introduce	чулаца
introduction	чулацам
introduction	чудахар
introvert	интроверт
introvert	ийна
introvert	делладелла
intuition	дегахьехам
invalid	бакъдоцу
invent	кхолла
inventory	гӀирс
inventory	инвентарь
invest	юкъадилар
investigate	талла
invitation	кхайкхар
invite	кхайкхар
invoice	хьесап
involve	декъаозар
involve	юкъаозор
involved	декъадигина
involved	юкъаозина
involved	декъаозийна
iron	эчиг
is	ду
island	гӀайре
isolated	къаьстина
issue	хаттар
issue	проблема
issue	декхар
issues	хаттарш
it	иза
it is	и ду
it is	иза ду
it was	и хила
it's	хӀара
it's ok	дерриг дика ду
It's okay	Дерриг дика ду
item	пункт
items	хӀуманаш
its	цуьнан
I’m	Со ву
jacket	куртка
jail	набахте
January	Январь
jar	кӀудал
jaw	мочхал
jealous	хьогӀе
jealous	эмгаралле
jerk	Ӏовдал
jewelry	ювелиран хӀуманаш
job	болх
jogging	вадар
join	декъадаха
join	дӀакхета
joint	цхьаьна ден
joke	бегаш
journalist	журналист
journey	араваьлла лелар
journey	кхарстар
joy	хазахетар
judge	кхелахо
juice	мутта
july	июль
jump	кхосавалар
june	июнь
junk	тӀелхигаш
just	атта
just do it	дехьа иза
justice	нийсо
justify	бехказвоккхуш
Kalaallisut	Калааллисут
keen	тӀедирзина
keen	тидам болуш
keen	чусадиллина
keep	латто
keep	сацо
keep it up	иштта дӀа
kept	лаьцна
kettle	чайнак
key	догӀа
kick	мийра Ӏитта
kid	бер
kidding	бералла
kidney	жим
kids	бераш
kill	вер
kind	оьзда
kind	дика
kinda	тайпана
kindly	безамехь
kindness	дикалла
king	паччахь
kiss	барт баккхар
kiss	оба яккхар
kitchen	кхача буу чоь
kite	кехатан кема
kitten	цициган кӀорни
knee	гола
knew	хиина хила
knife	урс
knight	рыцарь
knight	тӀемало
know	хаьа
knowledge	хаарш
knowledge	Ӏилма
known	доьвзаш долу
Konkani	Конкани
Krio	Крио
label	биргӀа
labor	къинхьегам
labour	къинхьегам
lack	цахилар
ladder	лами
lady	леди
laid	диллина
lake	Ӏам
lake	ишал
lamb	Ӏахар
lame	астагӀ
lamp	стогар
land	аре
land	латта
landscape	Ӏалам
language	мотт
lap	ган
large	доккха
last	тӀаьххьара
last but not least	тӀаьххьара амма ладаме
last name	фамили
late	тӀаьхьа
late	тӀехтилла
lately	дукха хан йоцуш
later	тӀаьхьо
later	тӀаьхьа
latest	тӀаьхьара
latter	тӀаьххьара
laugh	дела
laughing	доьлу
laughter	велар
launch	хьалалатор
launch	долор
laundry	хӀуманаш юьттийла
law	закон
law	низам
lawn	хоти
lawyer	юрист
lay	охьадилла
layer	чкъор
layout	дӀанисдар
lazy	мало ен
lazy	малонча
lead	дига
lead	хьалха хила
lead	коьртехь хила
leader	лидер
leaf	гӀа
leak	дӀаэхар
lean	тӀетовжа
leap	кхийсадала
learn	Ӏамор
learning	Ӏамор
lease	аренда
least	уггар кӀезиг
leather	чкъор
leave	дӀатаса
leave	дита
leaves	гӀаш
led	дига
left	аьрру
left	аьрру агӀор
leg	ког
legacy	тӀаьхьало
legal	законан
legal	низамехь
legend	дийцар
legend	туьйра
legit	низаме
legit	законан
leisure	мукъа хан
lend	юхалург дала
length	йохалла
less	жимаха
lesson	дарс
lesson	урок
let	бакъо яла
let	маго
letter	кехат
lettuce	салат
lettuce	берам
level	рагӀ
leverage	зеразакъ
liability	жоьпалла
library	библиотека
lick	мотт хьекха
lie	аьшпаш
lie	пуьташ
lies	харцо
life	дахар
lift	хьалагӀатто
lift	хьалаайдан
light	серло
lightning	ткъес
like	деза
likely	схьахетарехь
likewise	цунах терра
likewise	оцу кепехь
line	сиз
Lingala	Лингала
link	ссылка
lion	лом
liquid	кочалла
list	список
listen	ладогӀа
listening	ладогӀар
literally	ма-дарра
literature	литература
litter	нехаш
little	жима
live	даха
liver	доӀах
lives	дахаран
living	кхачо
living	дахар
living room	хьешан цӀа
lizard	моьлкъа
load	тӀедахка
loaf	бепиг
loan	кредит
loan	юхалург ахча дала
local	меттигера
location	лаьтта меттиг
lock	догӀа
lockdown	дӀакъовлар
lockdown	блокировка
log	хен
lol	терса
lonely	цхьалха
long	деха
long time no see	ганза дукха хан яра
look	хьежа
loop	лол
loose	маьрша
loose	мукъа
lord	эла
lose	дайа
loss	дайар
lost	дайина
lost	дайна
lot	дуккха
loud	чӀогӀа
lounge	хьешан цӀа
love	безам
love you	суна веза хьо
lovely	тӀехдика
low	лоха
lower	лахахь
loyal	тешаме
loyalty	муьтӀахьалла
luck	аьтто
lucky	аьтту болу
Luganda	Луганда
luggage	кира
lump	дакъа
lunch	делкъехь хӀума яар
lungs	атта
luxury	хьолалла
lying	Ӏуьллу
machine	машина
mad	хьерадаьлла
mad	кхетам боцуш
madam	мадам
made	дина
made	кхоьллина
magazine	журнал
magnificent	исбаьха
maid	гӀарбаш
main	коьрта
maintain	кхаба
maintain	латто
maintain	чӀагӀдан
maintenance	хьашт кхочушдар
Maithili	Майтхили
major	коьрта
majority	дукхахдерг
make	дан
make up	дан
make up	вовшахтоха
male	боьршаниг
mall	йоккха туька
man	стаг
man	адам
manage	урхалла дан
manage	куьйгалла дан
management	урхалла
manager	менеджер
mandatory	дан дезарг
mandatory	декхарийлахь долу
manifest	манифест
manifest	кхайкхам
manipulate	манипуляци ян
manner	амал
manual	хьехам
manual	инструкци
many	дукха
many many happy returns of the day	чӀогӀа дукха хаза юхадар хилла кху дийнахь
march	март
margin	пайда
market	базар
marriage	брак
married	марехь
mask	маска
mass	йоккха тоба
massive	сов доккха
massive	доккха
master	пхьар
master	говзанча
master	мастер
match	нисдалар
mate	накъост
material	материал
math	математика
matter	хьал
matter	гӀуллакх
maturity	кхиар
may	хила мага
maybe	хила тарло
maybe	хила мега
me	суна
me too	со а
meal	даар
mean	маьӀна хила
mean	хетарехь
meaning	маьӀна
means	маьӀна хилар
meant	моттург
meanwhile	цуьнца цхьаьна
measure	барам
measures	гӀуллакхаш
meat	жижиг
medical	лоьрийн
medicine	дарба
medicine	молха
meditation	медитаци
medium	юккъера
meet	цхьаьнакхета
meet	вовшахкхета
meet	гулло
meeting	вовшахкхетар
Meiteilon	Мейтейлон
melt	лала
memories	дагадар
memory	эс
mental	хьекъале
mention	хьахор
mentioned	хьахийна
mentor	хьехамча
merchant	йохкархо
mercy	къинхетам
merely	атта
merry christmas	Декъал хуьлда
mess	кегари
message	хаам
messy	къепе йоцу
metal	метал
method	метод
method	кеп
mice	дехкий
middle	юккъера
midnight	ахбуьйса
might	хила тарлуш
mild	кӀеда
mild	дайн
milestone	мунда
military	тӀеман
milk	шура
million	миллион
mind	кхетам
mind	хьекъал
mindset	ойла яр
mine	сайн
mine	сан
mingle	эдан
minor	бӀегӀийла йоцу
minor	ладам боцу
minor	эшаме
minute	минот
minutes	миноташ
miracle	Ӏаламат
mirror	куьзга
miscellaneous	башха
mischievous	хьогӀе
miserable	ирс доцу
misery	къоьлла
miss	мисс
miss you	Хьуна сагатделла
missing	дайнарг
mission	мисси
mist	дохка
mistake	гӀалат
Mizo	Мизо
mobile	мобилан
mock	арахецар
model	модель
moderate	гӀехьа
modern	вайн хенан
modest	эвхье
moist	тӀуьна
moisture	тӀуналла
mold	матар
mole	минга
mom	нана
moment	юкъ
moment	мӀаьрго
monday	оршот
money	ачха
monitor	монитор
monkey	маймал
month	бутт
mood	ойла
moody	луьра
moon	бутт
moral	оьздангаллин
more	доккхаха
more	дуккхаха
moreover	дукхаха
morning	Ӏуьйре
mortgage	ипотека
most	уггар доккха
mostly	коьртан
mother	нана
motion	болам
motivation	мотиваци
mountain	лам
mouse	дахка
mouth	бага
move	лела
movement	болар
movement	лелар
movie	кино
mrs	госпожа
much	дукха
mud	мода
mug	кружка
muscle	дилха
museum	музей
mushroom	жӀаьлин нускал
music	мукъам
music	йиш
must	декхар ду
must	хила деза
must	дан деза
mute	аз доцу
mutual	вовшийн
my	сан
My dear	Сан хьомениг
my friend	сан накъост
My hovercraft is full of eels	Сан хинкема жӀаьлин чӀерех дуьззина ду
my love	сан безам
my name is	сан цӀе ю
my pleasure	хаза а хеташ
myself	сайн
mysterious	къайлаха
mystery	къайле
myth	хабар
nail	мӀара
naive	кӀоргенза
name	цӀе
narrative	дийцаран
narrow	готта
narrow	гомха
nasty	вон
national	къаьмнийн
nationality	къам
native	чоьхьара
native	даймахкара
native	цӀера
natural	Ӏаламан
nature	Ӏалам
nausea	дог керчар
near	уллехь
near	юххехь
near	гергахь
nearby	лулахь
nearly	гергга
neat	дурсе
neat	цӀена лелаш
necessary	оьшуш долу
neck	ворта
necklace	туьтеш
need	дан дезар
need	оьшуш хилар
need	хьашт хилар
negative	дацаре
negative	негативе
negative	бӀостанехьа
neglect	цадаша
negotiate	дагадовла
neighbor	лалахо
neighborhood	лулахо
neither	цхьа а
nephew	вешин кӀант
nephew	йишин кӀант
nerd	Ӏонтаз
nervous	сингаттаме
nervous	сабӀаьрзе
nervous	нерваш дика йоцуш
nest	бен
net	зӀе
network	сеть
neutral	юкъа ца гӀерта
never	цкъа а
never give up	цкъа а кара ма гӀo
never mind	тергалдан оьшуш доцу
never mind	тидаме ма эца
nevermind	ледара
nevertheless	хӀетте а
new	керла
news	керланаш
next	poгӀepa
next to	гергахь
next to	юххехь
next to	уллехь
nice	тайна
nice	хаза
nice	товш
nice to meet you	хьо вевзина хаза хета
niece	вешин йоӀ
niece	йишин йоӀ
night	буьйса
nightmare	Ӏаламат
nine	исс
nineteen	ткъесна
ninety	дезткъе итт
No	ХӀан-хӀа
no problem	новкъа дац
no problem	проблема яц
no way	хӀумма а
nobody	цхьа а
noise	гӀов
noisy	гӀовгӀа йолу
noisy	гӀаране
none	кӀадбоцург
none	цхьа а доцург
noon	делкъе
nope	хӀан-хӀа
nope	доцуш
nor	цхьа
normal	барамехь
normal	гуттарлера
north	къилбаседа
nose	мара
nostalgic	яхначу хене сатийсарца
not	хӀан-хӀа
not at all	цхьа а
not bad	вон дац
Not now	дац цкъачунна
not yet	хӀинца а хиланза
note	кехат
noted	билгалдаьккхина
nothing	хӀумма а
nothing	доцург
notice	хаам
noticed	гинарг
noun	цӀердош
nouns	цӀердош
novel	роман
november	ноябрь
now	хӀинца
nowadays	хӀинцалерчу хенахь
nuisance	цатам
null	нолан
numb	мотт цахуург
numb	мотсецнарг
number	номер
nurse	лорйиша
nut	бӀара
nutmeg	мускатан бӀара
nutrition	даар
oath	дуй
obesity	дарстар
obey	муьтӀахь хила
object	объект
objective	Ӏалашо
obligation	тӀелацам
obscure	къаьсташ доцу
observation	тергам бар
observe	тидаме эца
observe	талла
observe	тергам бан
obsessed	Ӏалашо кхочуш ян араваьлла
obsessed	сацам байна
obsession	сацам байна
obsolete	ширделла
obstacle	дуьхьало
obtain	тӀекхача
obtain	схьаэца
obtained	схьаэцнарг
obvious	гуш долу
obviously	схьахетарехь
occasionally	юкъкара
occasionally	наггахь
occupation	мукъа цахилар
occupied	мукъа доцу
occur	схьадала
occurred	нисделла
occurs	схьадалар
ocean	океан
october	октябрь
odd	тамаше
odds	шансаш
of	-ах
of	-aн
of course	бакъду
of course	дера
off	ара
off	юьстах
offensive	мостагӀаллин
offer	кховдор
office	офис
office	чоь
official	лерина
often	юкъ-кара
often	кест-кеста
often	дуккхаза
Oh	оxӀ
Oh	охӀ-хӀай
oh really	бакъ ду
oil	даьтта
ok	мегар ду
ok	дика ду
ok dear	дик ду хьоминаг
ok honey	дика ду, хьоменаг
ok my love	дика ду, хьомениг
okay	дика ду
okay	мегар ду
okay baby	дика ду хьомениг
okay dear	дика ду, хьоминиг
okay honey	дика ду, хьомениг
okay my love	дика ду, сан безам
old	къена
old	воккха
on	тӀе
once	цкъа
one	цхьаъ
one language is never enough	цхьа а мотт ца хуьлу кхачам болуш
onion	хох
online	онлайн
only	бен
open	схьаделла
operation	операци
opinion	хетарг
opportunities	таронаш
opportunity	аьтто хилар
opportunity	таро
opposite	дуьхьал
optimistic	тешаш хила
optimistic	догдогӀуш хила
optimistic	отптимист хила
option	вариант
optional	тӀехь доцу
or	я
orange	цӀехо-можа
order	омра
order	буьйр
ordinary	могӀара
organization	хьукмат
organization	организаци
orientation	ориентаци
orientation	къастам
origin	схьавалар
origin	бухара стаг
original	оригинал
Oromo	Оромо
orphan	бобер
other	кхин
