abandoned	okulekulirwa
fourteen	kumi na nya
fox	omusege
fragile	bwerende
frame	fuleemu
framework	endabika
fraud	obufere
freak	akamenke
free	bwereere
freedom	eddembe
freeze	okunnyogoga
frequency	emirundi
frequent	buli kaseera
frequently	buli kaseera
fresh	ekipya
friday	olunaku olw'okutaano
fridge	fuliiji
friendly	wa mukwaano
friend	ow'omukwano
friends	emikwaano
friendship	omukwaano
frightened	okutya
frightening	okutiisa
frog	ekikere
from	okuva
front	mu maaso
frozen	okunnyogoga
fruit	ekibala
frustrated	akatuubagiro
fuel	amafuta
Fulfulde	Fulfulde
full	okujjula
function	enkola
fundamental	kyetagisa
funeral	okuziika
funny	Okusesa
fun	okunyumirwa
fur	ebyooya
furious	obusungu
furniture	eby'embaawo
furthermore	okwongerezaako
further	okweyongerayo
future	ebiseera by'omumaaso
gain	okuganulwa
game	omuzannyo
gap	ebbanga
garage	galaji
garbage	kasassirio
garden	ennimiro
garlic	katungulu chumu
gate	geeti
gathering	okusoloza
gather	okusoloza
gauge	okupima
gave	-wa
gear	okukuma omuliro
gender	obutonde
generally	okwaaliza awamu
general	okutwaaliza awamu
generate	okufulumya
generation	omulembe
generous	okugabula
genius	kagezimunnyo
genre	ekika
gentle	obugonvu
genuine	-a mazima
gesture	akabonero
get dressed	yambala
get	okufuna
getting	okufuna
get up	okuyimuka
get well soon	beera bulungi mu bunnambiro
ghosting	okubulawo
ghost	omuzimu
giant	naggwano
gift	ekirabo
ginger	entangawuuzi
girlfriend	omwagalwa ow'obuwala
girl	omuwala
given	okuwa
give	okuwa
give up	okuwanika
glad	okusanyuka
glance	okukuba eriiso
glasses	galubindi
glass	kawuule
glimpse	okutunula ekimogo
global	ensi yonna
gloomy	okulungubala
gloves	gilavuzi
glow	okutangaala
glow up	okwaaka
glue	ggulu
go ahead	genda mu maaso
goal	okuteeba
goals	goolo
goat	embuzi
go away	genda eri
god bless you	katonda akuwe omukisa
god	katonda
goes	okugenda
going	okugenda
going to	okugenda ku
gold	ezaabu
gone	agenze
gonna	-genda
good afternoon	osiibye otya
goodbye	-eeraba
good bye	welaba
good day	olunaku olulungi
good evening	osiibye otya
good job	omulimu omulungi
good	kirungi
good looking	okufaanana obulungi
good luck	nkwagaliza emikisa
good morning my love	amakya amalungu mukwaano
good morning	wasuze otya
good night	sula bulungi
goodnight	sula bulungi
goods	eby'amaguzi
goo	genda
Google	Google
Google Translate	Google byevunnula
go	okugenda
goose	embaata
gorgeous	obubalagavu
gossip	olugambo
got	-funa
got it	okukifuna
go to bed	genda ku kitanda
government	gavumenti
grab	okukwaabula
grade	guleedi
gradually	mpolampola
graduate	okutikkirwa
grain	empeke
granted	okukkiriza
grant	okukkiriza
grapes	guleepu
grasp	okukwata
grass	essubi
grateful	okusiima
gratitude	okusiima
grave	amalaalo
gray	gray
great	kilungi
greed	amaddu
greedy	amaddu
green	kiragala
greeting	okubuuza
greetings	okulamusa
greet	okubuuza
grey	grey
grid	guliidi
grief	okukungubaga
grind	okusa
grip	okunyweeza
grocery	eby'amaguzi
groom	omugole omusajja
gross	kyenyinyaza
ground	ku ttaka
group	ekibinja
grow	okukula
growth	okukula
grumpy	okweekanya
Guarani	Guarani
guarantee	omusingo
guard	omukuumi
guess	okuteeba
guest	omugenyi
guidance	okulung'amya
guide	okulungamya
guilty	okusingibwa omusango
guy	omusajja
guys	abantu
gym	jiimu
habitat	ewaka
habit	empisa
had	-ali
hail	okuyita
hair	enviiri
half	kitundu
hall	kisenge ekinene
handle	okukwaata
hand	omukono
handsome	bubalagavu
hang	okwanika
hang out	okwaanika wabweeru
happened	okutuukawo
happen	obubaawo
happiness	essanyu
happy birthday	amazaalibwa amalungi
happy birthday to you	amazaalibwa amalungi eri gwe
happy	musanyufu
happy new year	omwaka omupya og'wessanyu
hardly ever	si nyo
hardly	si buli kaseera
hard	obugumu
harmful	-labe
harm	okutuusa obulabe
harmony	okukwaatagana
harsh	obukambwe
harvest	okukungula
has	-ina
hate	obukyaayi
have a good day	nkwagaliza olunaku olulungi
have a nice day	nkwagaliza olunaku olulungi
have breakfast	lya eky'enkya
have fun	okunyumirwa
have	-ina
have you eaten	olidde
having	okubeera nga olina
hazard	eky'obulabe
haze	olufu
headache	okulumizibwa omutwe
head	omutwe
healing	okuwonya
heal	okuwona
health	obulamu
healthy	bulamu
heard	-awulira
hear	okuwulira
heart	omutima
heat	ebbugumu
heaven	eggulu
heavy	okuzitowa
hectic	okukooya
he has	ye alina
height	obuwanvu
heir	omusika
he is	ali
heist	obubbi
held	yakwatidwa
hell	geyeena
hello dear	nkulamusizaako omwagalwa
hello how are you doing	nkulamusizaako, oli otya
hello how are you	nkulamusizaako, oli otya
Hello	Nkulamusizza
helmet	se'ppeewo
helpful	kyamugaso
help	okuyamba
hence	nolw'ekyo
herd	okulunda
here	wano
heritage	ennono
her	ye
hesitate	okwesikamu
he	ye
Hey	Nkulamusizza
hidden	okukweekebwa
hide	okweekweeka
hierarchy	amadala
highlight	omutwe omukulu
high	waggulu
hi how are you	nkulamusizza, oli otya
hike	okwambuka
hiking	okulinya
hilarious	kisesa
hill	akasozi
him	ye
Hi	Nkulamusizza
hint	okukoonako
hip	kikugunyu
hips	embinabina
hire	okupangisa
hiring	okupangisa
his	kikye
history	ebyafaayo
Hi there	Nkulamusizaako
hit	okukoona
Hmm	Hmm
hobby	ekikunyumira okukola
hold	kwaata
hold on	okwekwaata
hole	ekinnya
holiday	ekiwummulo
hollow	ekiwonvu
home	ewaka
homework	homework
honestly	ekyaamazima
honest	-mazima
Honey	Omubisi
honor	okussaamu ekitiibwa
hood	ekibwika omutwe nate nga amaaso galabika
hook	empiso etunga
hope	essuubi
hopefully	okusuubira
hopeless	okubulwa essuubi
hop	okubuuka
horizontal	okwegolola
horn	ejjembe
horrible	kibi nyo
horror	ekyekango
horse	embalaasi
hospital	eddwaaliro
hospitality	okwaniriza abagenyi
hostile	okukanguka
host	okukyaaza
hotel	woteeri
hot	okwookya
hour	essaawa
hours	saawa
house	enju
household	amaka
how about you	atte ggwe
how are you doing	oli otya
how are you doing today	oli otya leero
how are you	oli otya
how are you today	oli otya leero
how do you do	gyeebale
however	naye
how is	ali atya
how many	bameka
how much	-mmeka
how often	emirundi emeka
how old are you	olina emyaaka emeka
how	-tya
how was your day	olunaku lwo lwabadde lutya
how was your night	ekiro kyo kyabadde kitya
hub	amakati gomupira
hubby	mwaami
hug	akafumito
huge	obugazi
human	omuntu
humble	obuwombeefu
humidity	obunyogovu
humid	okunnyuukirira
hundred	kikumi
hungry	enjala okuluma
hunt	oyigga
hurricane	kibuyaga
hurry	okwanguwa
hurry up	yanguwa
hurt	okulumya
husband	mwaami
hustle	okuyiiya
hut	akasiisira
hygiene	obuyonjo
I am fine	Ndi bulungi
I am	Nze ndi
I can	Nsobola
I can't	Sisobola
ice	ayisi
ice cream	ayisi kuliimu
idea	ekirowoozo
ideal	tekuli kamogo
identical	okufaanana
identify	okufuna
identity	ebikukwatako
idiot	-siru
idle	obunaanya
I do	nkola
I do not know	Simanyi
I do not understand	sitegeera
I don’t know	simanyi
I don't know	Simanyi
I don't	si kola
I don’t understand	sikutegeera
I don't understand	Sitegeera
I don't understand what you mean	Sitegeera ky'otegeeza
I don't understand you	sikutegeera
if	Bwe
ignore	okwesonyiwa
i guess	ndowooza
I had	Nalina
I have been	Mbadde
I have	nina
I hope so	Leka nsuubire
I know	mmanyi
I like	Njagala
I like you	Nkwagala
illegal	okumenya amateeka
ill	-lwadde
illness	endwadde
Ilocano	Ilocano
I love my big brother	njagala mwannyinze wange omukulu
I love my big sister	njagala mwanyina wange omukulu
I love my father	njagala taata wange
I love my little brother	njagala mwannyinaze wange
I love my little sister	njagala mwannyina wange
I love my mother	njagala maama wange
I love	Njagala
I love you	Nkwagala
I love you so much	Nkwagala nyo
I love you too	Nange nkwagal
image	ekifaananyi
imagine	lowooza
I mean	Ntegeeza
I'm fine	Ndi bulungi
I'm good	Ndi bulungi
I'm here	Ndi wano
I miss you	Nkusubwa
I miss you so much	nkusubwa nyo
immediately	mbagirawo
immediate	mangu ddala
immense	nene nyo
I'm	ndi
I’m	Ndi
impact	okukosa
impatient	obutagumiikiriza
implement	okuteeka mu nkola
important	-mugaso
import	okuyingiza
impose	okusibawo
impossible	tekisoboka
impression	kisanyusa
impressive	kisanyusa
impress	okumatiza
improvement	okuterezamu
improve	okwongera okulongoosa
I'm sorry	Nsonyiwa
in addition	okwongerezaako
inappropriate	ekintu ekitajja
incentive	ekintu ekikuzamu amanyi okukola ekintu
incident	ekintu okutukawo
include	okubeeramu
including	okugatam
income	ennyingiza
inconvenience	okukaluubizibwa
increased	okweyongera
increase	okwongera
incredible	-suffu
indeed	ddala ddala
independent	okwemalira
India	Ebuyindi
indicate	okulaga
indigenous	nnono
individual	omuntu ssekinnomu
industry	yindasitule
inevitable	kisuubirwa
In fact	-mazima
infant	omuto
infection	ekirwadde
infinity	katabalika
inflammation	ekibobe
inflation	yinfulesoni
influence	amaanyi
information	obubaka
inform	okutegeeza
in front of	mu maaso ga
ingredients	ebirungo
inheritance	obusika
initial	ennyukuta z'amannya
initiative	ekikwekweeto
injured	olumizibwa
injury	okukosebwa
in	mu
innocent	talina musango
innovation	okuyiiya
in order to	okusobola oku
inquiry	ekubuuza
insane	obulalu
insect	ekiwuka
insecure	obutekkiririzaamu
insert	okuteekamu
inside	mu nda
insight	obusobozi bwokufuna okutegera kwekintu
insist	okulemerako
insomnia	ebbula ly'otulo
inspiration	okulung'amizibwa
inspire	okulungamya
install	okuzimba
instance	ekiliwo
instant	akasera ako
instead	mu kifo kya
instead of	mukifo kya
instructions	ebiragiro
instrument	ekyuuma
insult	okuvuma
insurance	yinsuwa
intact	obutabaako kukosebwa
integrity	amazima
intellectual	yintelekicho
intelligence	amagezi
intelligent	-a magezi
intended	okugenderera
intend	okugenderera
intense	obusungu bungi
intention	ekigendererwa
interaction	okumanyangana
interact	okwogerezanganya
interested	okwagala
interesting	okunyuma
interest	obwagazi
interfere	okwetaba mu nsonga
intermediate	matankane
internal	mu nda
international	mawanga magatte
internship	okugezesebwa
interpreter	omuvvunnuzi
interpret	okuvvunnula
interrupt	okulya ekirimi
interview	okubuuza
intimate	ekintu nga entandikwa yegata ne enkomerelo
into	munda
introduce	okwanjula
introduction	okwanjula
introvert	omusirise
intuition	olumanyo
invalid	kifu
invent	okuyiiya
inventory	eby'amaguzi
investigate	okunoonyereza
invest	okusiga
invitation	okukyaaza
invite	okwaaniriza
invoice	yinivoyisi
involved	okwetaba mu
involve	okwetaba
I	Nze
iron	okugolola
I see	Ndaba
island	ekizinga
is	-li
isolated	kifikkiriza
issue	ensonga
issues	ensonga
item	ekintu
items	ebintu
I think	Ndowooza
it is	kili
it	kiri
its	kili
it's	kiri
It's okay	tewali buzibu
it's ok	tewali buzibu
it was	kyali
I understand	Ntegeera
I want	Njagala
I want to see you	Njagala kukulaba
I want you	Njagala ggwe
I was	Nali
I will	Nja
I would be	Nandibadde
jacket	jaketi
jail	ekkomera
January	Omweezi ogusooka
jar	omukebe
jaw	oluba
jealous	ebbuba
jerk	omujega
jewelry	amajjolobera
job	omulimu
jogging	okuddukamu
join	okweyunga
joint	ennyingo
joke	okusaaga
journalist	omunna mawulire
journey	ssaffaali
joy	essanyu
judge	okusala omusango
juice	juyisi
july	omweezi ogwomusanvu
jump	okubuuka
june	omweezi ogwomukaaga
junk	kasassiro
just do it	kikole bukozi
justice	obwenkanya
justify	okuweesa obutuukirivu
just	obwenkanya
Kalaallisut	Kalaallisut
keen	okweetegereza
keep it up	tolekera awo
keep	okutereka
kept	yatereka
kettle	ebbinika
key	ekisumuluzo
kick	okusamba
kidding	okusaaga
kidney	ensigo
kid	omwaana
kids	abaana
kill	okutta
kinda	kiyinzika
kind	kisa
kindly	mu buwombeefu
kindness	ekisa
king	kabaka
kiss	okunyweegera
kitchen	effumbiro
kite	kayiti
kitten	kkapa ento
knee	evviivi
knew	yategeera
knife	ekiso
knight	omulwaanyi
knowledge	okumanya
known	okumanyika
know	okumanya
Konkani	Konkani
Krio	Krio
label	erinnya
labor	okukola
labour	omulimu
lack	ebbulwa
ladder	eddaala
lady	omumyaala
laid	okubiika
lake	enyanja
lamb	endiga ento
lame	-lema
lamp	ettaala
land	ensi
landscape	ettaka
language	olulimi
lap	omubiri
large	-gazi
last but not least	akatalekeka, naye nga si keekasembayo
last name	erinnya erisemba
last	okusembayo
late	kikeerezi
lately	ennaku zino
later	oluvannyuma
latest	ekiriwo
latter	luvanyuma
laughing	okuseka
laugh	okuseka
laughter	enseko
launch	okutongoza
laundry	engoye
law	amateeka
lawn	omuddo
lawyer	munamateeka
lay	-biika
layer	omugigi
layout	okulambulula
lazy	obunafu
leader	omukulembeze
lead	okukulembera
leaf	ekikoola
leak	okutonya
lean	okwesigama
leap	okubuuka
learning	okuyiga
learn	okuyiga
lease	obwesengeze
least	ekitono ennyo
leather	eddiba
leave	genda
leaves	ebikoola
led	okukulembera
left	kkono
legacy	ekitiibwa
legal	kya mateeka
legend	omuzira
legit	kyaddala
leg	okugulu
leisure	okunyumirwa
lend	okuwola
length	obuwanvu
less	katono
lesson	essomo
let	leka
letter	ebbaluwa
lettuce	enva endirwa
level	okwenkanyankanya
leverage	eddembe
liability	kikukwatako
library	ekizimbe ekibeeramu ebitabo
lick	okukomba
lie	okulimba
lies	obulimba
life	obulamu
lift	okuyimusa
light	-koleeza
lightning	ekimyanso
likely	kisoboka
like	okwaagala
likewise	nange bwenty
line	olunyiriri
Lingala	Olulingala
link	okuyunga
lion	empologoma
liquid	-tonya
listening	okuwuliriza
listen	wuliriza
list	lisiti
literally	kiringa
literature	bwawandikibwa
litter	okusuulasuula
little	-tono
live	kubeera
liver	ekibumba
lives	obulamu
living	okubeera
living room	eddiiro
lizard	omunya
load	okutikka
loaf	booffulo
loan	ebbanja
local	-a ku butaka
location	ekifo
lockdown	okuggalawo
lock	ekkufulu
log	omuti
lol	lol
lonely	obw'omu
long	obuwanvu
long time no see	tumaze akaseera nga tetweeraba
look	laba
loop	kyabulijo
loose	okuleeguka
lord	mukama
lose	okusemba
loss	okufirwa
lost	okubula
lot	binji
loud	okulekaana
lounge	kisenge
lovely	kilungi
love	okwagala
love you	nkwagala
lower	okussa
low	wansi
loyal	-esigwa
loyalty	obwesigwa
luck	omukisa
lucky	-mukisa
Luganda	Oluganda
luggage	omugugu
lump	ekitole
lunch	eky'emisana
lungs	amawuggwe
luxury	okwejalabya
lying	okulimba
machine	masiini
madam	nyabo
made	-akola
mad	obulalu
magazine	magaziini
magnificent	kilungi
maid	omukozi
main	kikulu
maintain	okukuuma
maintenance	okulabirira
Maithili	Maithili
majority	ebisinga
major	kikukulu
make	okukola
make up	okwekolako
male	-lume
mall	ekizimbe ekya moolo
management	akaiiko k'abakulu
manage	okusobola
manager	omukulu
mandatory	-teekwa
manifest	okwolesebwa
manipulate	okuzanyira ku mutwe gw'omuntu
manner	empisa
man	omusajja
manual	maniyo
many many happy returns of the day	nkwagaliza emikisa mingi leero
many	-ngi
march	okukumba
margin	omusitale
market	akatale
marriage	obufumbo
married	mufumbo
mask	akakokoolo
massive	obungi
mass	omuwendo
master	-kugu
match	okwenkanankana
mate	munno
material	ekikozesebwa
math	okubala
matter	okugasa
maturity	obukulu
maybe	ndowooza
may	omweezi ogw'okutaano
meal	ekijjulo
meaning	okutegeeza
mean	okutegeeza
means	okutegeeza
meant	okutegeeza
meanwhile	mukasera kano
measure	okupima
measures	okupima
meat	ennyama
medical	bya busawo
medicine	eddagala
meditation	okufumiitiriza
medium	midiyamu
meeting	okusisinkana
meet	okusisinkana
Meiteilon	Meiteilon
melt	oksaanuuka
memories	ebijjukizo
memory	okujjukira
mental	bya mutwe
mentioned	okwogera
mention	okwogera ku
mentor	mulungami
me	nze
merchant	mutunzi
mercy	okusaasira
merely	ekyo kyoka
merry christmas	ssekukkulu ennungi
message	obubaka
mess	akavuyo
messy	kavuyo
metal	kyuuma
method	engeri
me too	nange
mice	emmese
middle	mumassekkati
midnight	matumbi budde
might	nyinza
mild	katono
milestone	eddaala ely'enjawulo
military	amajje
milk	amata
million	akakadde
mind	ebirowoozo
mindset	entegeera
mine	wange
mingle	okugoya
minor	-tono
minute	eddakiika
minutes	dakikka
miracle	eky'amagero
mirror	endabirwamu
miscellaneous	ebintu by'enjawulo
mischievous	-ttima
miserable	ennaku
misery	ennaku
missing	okubulawo
mission	minsani
miss	okusubwa
miss you	nkusubwa
mistake	ensobi
mist	olufu
Mizo	Mizo
mobile	essimu
mock	okuduula
model	ekifaananyi
moderate	kyomumakati
modern	munnakuzino
modest	obuwombeefu
moist	okutobya
moisture	amazzi
mold	okuwumba
mole	omukessi
moment	akaseera
mom	maama
monday	olunaku ol'wabbalaza
money	ensimbi
monitor	okukebera
monkey	enkima
month	omwezi
mood	embeera ey'omubiri
moody	ekibeera
moon	omwezi
moral	empisa
more	okwongera
moreover	newankubadde
morning	ku makya
mortgage	omusingo
mostly	kisinga
most	-singa
mother	maama
motion	okuwenya
motivation	okuzzaamu amaanyi
mountain	olusozi
mouse	emmese
mouth	omumwa
movement	olugendo
move	okutambula
movie	omuzanyo
mrs	mukyaala
much	bingi
mud	ebisooto
mug	ggama
muscle	entumbugulu
museum	miyuziyaamu
mushroom	akatiko
music	ennyimba
must	okuteekwa
mute	okusirika
mutual	entegeragana yobuntu
my	-ange
My dear	Mwattu
my friend	mukwano gwange
My hovercraft is full of eels	hovercraft yange ejjudde ensonzi
my love	ow'omukwano
my name is	erinnya lyange nze
my pleasure	essanyu lyange
myself	nze
mysterious	ekyaama
mystery	ekyaama
myth	eky'obulombolombo
nail	omusumaali
naive	obutamanya
name	erinnya
narrative	engombo
narrow	obufunda
nasty	-bi
national	eggwanga
nationality	eggwanga
native	obuwangwa
natural	buzaalirwana
nature	enkula
nausea	ekikeeto
nearby	kumpi ne
near	kumpi
nearly	kumpi
neat	obuyonjo
necessary	-ya mugaso
neck	ensingo
necklace	enkwanzi
need	okwetaaga
negative	ekibi
neglect	okuekerera
negotiate	okuteesa
neighborhood	omuliraano
neighbor	muliraana
neither	newankubadde
nephew	omujjwa
nerd	omuntu omusiru
nervous	okweraliikirira
nest	ekisu
net	akatimba
network	neetiwaaka
neutral	nampawengwa
never give up	towanika
never mind	tokifaako
nevermind	tokifaako
never	obutasoboka
nevertheless	naye era
new	-pya
news	amawulire
next	ekiddako
next to	kumpi ne
nice	kirungi
nice to meet you	kirungi okukusisinkana
niece	mujjwa
night	ekiro
nightmare	ekirooto eky'entiisa
nine	mwenda
nineteen	kumi na mwenda
ninety	kyenda
nobody	tewali muntu
noise	kereere
noisy	kereere
No	Nedda
none	tewali
noon	ttuntu
nope	nedda
no problem	tewali buzibu
normal	ekya bulijjo
north	amambuka
nor	wadde
nose	ennyindo
nostalgic	okujjukira eby'edda n'onakuwala
not at all	nedda
not bad	si kibi
noted	bwatiikirivu
note	ebbaluwa
nothing	tewali
noticed	okwetegereza
notice	okwetegereza
not	-li
Not now	si kati
not yet	tenaba
noun	erinnya
nouns	amannya
novel	akatabo
november	omweezi ogw'ekkumi n'olumu
nowadays	ennaku zino
no way	tekisoboka
now	kaakati
nuisance	tekirina makulu
null	tekili mu mateeka
number	omuwendo
numb	obutawulira bulumi
nurse	omusawo
nut	kinyeebwa
nutmeg	nagomola
nutrition	okulya okulungi
oath	ekirayiro
obesity	obunene
obey	okugonda
object	ekintu
objective	omulamwa
obligation	obuvunaanyizibwa
obscure	ekitategerekeka
observation	okwetegereza
observe	okwetegereza
obsessed	okutamiira
obsession	okutamiira
obsolete	okuva kumulembe
obstacle	ekiziyiza
obtained	okufunibwa
obtain	okufuna
obviously	bwekiri
obvious	-suubirwa
occasionally	oluusi
occupation	omulimu
occupied	okujjuza ekifo
occur	okubeerawo
occurred	okubeerawo
occurs	okutuukawo
ocean	amazzi
october	omweezi ogw'ekkumi
odd	oddi
odds	mbiranye
of	-a
of course	tewali kubuusabuusa
offensive	okutyoobola ekitiibwa
offer	okuwa
office	yafeesi
official	omufuzi
off	tekuli
often	okutera
Oh	Oh
oh really	oh kweeli
oil	butto
okay baby	kale bebi
okay dear	kaale mwattu
okay honey	kaale omwaagalwa
okay	kaale
okay my love	kale ow'omukwano
ok dear	kale mukwano
ok honey	kale kabiite
ok	kale
ok my love	kaale ow'omukwano
old	-kadde
once	-umu
one	emu
one language is never enough	olulimi olumu telumala
onion	akatungulu
on	ku
online	ku mukutu
only	-okka
open	okuggula
operation	okulongoosa
opinion	endowooza
opportunities	emikisa
opportunity	omukisa
opposite	obuteefaananyirizako
optimistic	okukkiriza ebirungi
optional	kya kusalawo
option	eky'olondako
orange	omucumgwa
order	okulagira
ordinary	-a bulijjo
organization	ekitongole
orientation	okuteekateeka
original	-yiiye
origin	ensibuko
or	oba
Oromo	Oromo
orphan	mulekwa
other	-lala
otherwise	naye
ought	okuteekwa
our	ffe
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Minsani yaffe: okusobozesa buli omu, ali buli wamu okutegeera okutegeera ensi n'okweyogerako mu buli nnimi.
Our mission: to organize the world's information and make it universally accessible and useful.	Minsani yaffe: okukungaanya yinfomesoni n'ebyokumanya byonna tusobole okubisaasaanya eri buli omu.
outcome	ebivudemu
outfit	eky'okwambala
outgoing	okufuluma
outlet	akaduuka
outline	okulambulula
outside	wabweeru
outstanding	okusukkawo
out	wabweru
oven	akabiga
overall	okutwaaliza awamu
overcome	okuwangula
over	kiwedde
over there	wali eri
overthinking	okulowooza nyo
overwhelmed	obukoowu
overwhelming	okusukkuluma
owe	ebbanja
owl	okiwuggulu
owner	nannyini
own	obwa nannyini
ox	ente ennume
pace	pesi
package	okusabika
pack	okupanga
paid	okusasula
pain	obulumi
painting	okusiiga
paint	okusiiga
pair	omugogo
pale	okusiibuuka
palm	ekibatu
pandemic	pandemiki
panic	okupakuka
pan	paani
pants	empale
paper	olupapula
paradise	eggulu
parallel	tebikwatagana
parcel	baasa
pardon	okusonyiwa
parents	abazadde
park	okuyimirira
parrot	enkusu
parsley	enva endirwa
part	ekitundu
participate	okwetaba
particularly	kilondedwa
particular	okwenankanya
partner	munno
party	okujjaganya
passage	ekkubo
passed	okuyita
passionate	obwagazi
passion	ekiruyi
passive	teyetabamu nyo
pass	okuyitawo
password	paasiwaadi
past	edda
patch	ekiraaka
path	ekkubo
pathetic	-bi
patience	obuguminkiriza
patient	okugumiikiriza
pattern	patani
pause	okuyimirizamu
pavement	amayinja amaalire
payment	okusasula
pay	-sasula
peace	emirembe
peaceful	emirembe
peach	peach
peak	entikko
pear	pear
peas	kawo
peculiar	okwawukanako buli omu
peel	okuwaata
pee	okufuuyisa
peer	emikwaano
peers	ab'emikwaano
pencil	kalaamu
pending	tekinagwa
pen	kalaamu
people	abantu
pepper	kamulali
perceive	okulaba
perception	endaba
perfect	okutuukirira
performance	okwoolesa
perform	okwolesa
perhaps	kyandiba
period	ekiseera
permanent	lubeerera
permission	olukusa
permit	okukkiriza
perseverance	obutawanika
persistent	okulemerako
personality	ebikukwatako
personal	kyaama
person	omuntu
perspective	endowooza
persuade	okwogereza
pervert	omuseegu
pet	ekisolo
phase	emitendera
phenomenon	ekintu ekisubirwa okuberawo
philosophy	obufirosoofo
phone	essimu
photo	ekifaananyi
phrase	ekigambo
physical	okukozesa amanyi
pick	okulonda
pick up	okukyima
picture	ekifaananyi
piece	ekitundu
pieces	obuntu obutonotono
pig	embizzi
pigeon	engiibwa
pile	okubunga
pillow	omutto
pilot	omuvuzi w'ennyonyi
pineapple	ennanansi
pin	ekikwaso
pink	pinka
pitch	ekisaawe
pit	ekinnya
pity	okuwulira ennaku
place	ekifo
places	ebifo
plague	kawumpuli
plain	omuseetwe
plane	ennyonyi
plan	okuteekateeka
plant	okusimba
plants	ebimera
plate	essowaani
platform	ekifo
playing	okuzannya
play	okuzannya
pleasant	kisanyusa
pleased	okwenyumirizaamu
please	-saba
pleasure	essanyu
pledge	omusingo
plenty	-ngi
plot	puloti
plug	okuyingiza
plumber	pulamba
plum	obunene
plural	binji
podcast	podcast
poem	ekitontome
poetry	obutontomi
point	okusonga
poison	obutwa
police	poliisi
policy	etteeka
polite	ggonjebwa
pollution	okwoonoona
pond	ekidiba
pool	puulu
poop	obubi
poor	-aavu
pop	okubwatuka
popular	okumanyika
population	omungi gw'abantu
pork	enyama y'embizzi
porridge	obusera
port	omwaalo
position	ekifo
positive	-lungi
possession	oby'obugagga
possessive	obwa nannyini
possess	okukubwa ekitambo
possible	-soboka
post	ekiwandiiko
postpone	okwongezayo
potato	lumonde
potential	obusobozi
pound	okusekula
poverty	obwaavu
power	amaanyi
powerful	-maanyi
practical	kikolebwa
practice	okwegezamu
praise	okutenda
prank	omuzannyo
pray	okusaba
precious	kya muwendo
precisely	butereeve
precise	mubufunzi
predict	okuteebereza
preference	okwagala
prefer	okusinga okwagala
pregnant	okubeera olubuto
prejudice	endowoza etali kukulowoza okutufu
premises	ekifo
premium	sente ezisasilibwa mundagano
preparation	okutegeka
prepared	okwetegeka
prepare	okutegeka
preposition	ekidirira Ku kigambo
presence	okubeerawo
presentation	okwolesa
present	ekirabo
preserve	okukuuma
president	omukulu w'eggwanga
press	okunyiga
pressure	puleesa
pretend	okwekoza
pretty	mulungi
prevent	okutangira
previous	jjuuzi
prey	omulabe
price	omuwendo
pride	amalala
priest	kabona
primary	pulayimale
prime	kikulu
princess	omumbejja
principal	pulinsipaali
prior	bukyali
priority	kyankizo nyo
prison	ekkomera
privacy	kyaama
private	si kya buli omu
privilege	eddembe
prize	ekirabo
probably	-yinza
problem	ekizibu
procedure	omutendero
proceed	genda mu maaso
process	omutendero
produce	okuzaala
product	ekyamaguzi
production	okufulumya
professional	omukugu
profession	omulimu
profile	ebikukwatako
profit	amagoba
profound	kyewuunyisa
progress	okukulakulana
project	pulojekiti
prominent	okumakibwa
promise	okusuubiza
promote	okukuza
promotion	okukuza
prompt	okukubiriza
prone	okubera kumpi okutusibwako ekintu ekibi
pronouns	nakongeza linnya
pronunciation	enjogera
proof	obukakafu
proper	bulungi
properly	bulungi
properties	eby'bwanannyini
property	eby'obwa nannyini
proposal	okiteeso
prospect	eby'okukola jebujja
prosperity	obugagga
prosperous	obuwanguzi
protect	okukuuma
proud	amalala
prove	okuwa obukakafu
provided	okugabirira
provide	okugabirira
province	ettwale
provision	obugabirizi
puberty	obuvubuka
public	mu lujjudde
pull	okusika
pumpkin	ensujju
punctual	okukuuma obudde
pupil	omusomi
purchase	okugula
pure	obutukuvu
purple	kakobe
purpose	omugaso
purse	akasawo
pursue	okulemerako
pursuit	ekiruyi
push	okusindika
put	okuteekamu
qualification	ekisaanizo
quality	omutindo
quantity	omuwendo
quarantine	kalantiini
quarrel	okuyomba
quarter	kwoota
Quechua	Quechua
queen	nabagereka
queer	tekitegeerekeka
query	ekibuuzo
question	ekibuuzo
queue	olunyiriri lw'abantu
quickly	mangu
quick	mangu
quiet	okusirika
quilt	ekyeebikko
quite	to kisembayo
quit	okuwanika
quiz	ebibuuzo
quotation	ebigambo ebijidwa munjogera yomuntu
quote	kwoti
quotes	ebiwandiiko
rabbit	akamyu
race	okusindana
rage	obusungu
rain	enkuba
raised	okuyimusa
raise	okuyimusa
random	okulonda okutalimu okwekubila
range	ebanga
ran	okudduka
rapidly	mangu
rapid	mangu
rarely	lumu na lumu
rare	tekilabikalabika
rash	okwanguwa
rat	emmese
rate	omuwendo
rather	wadde
rational	ekigendererwa
ratio	okugereganya
raw	-bisi
reached	okutuuka
reach	okutuuka
reaction	kagugumuko
reading	okusoma
read	okusoma
ready	okwetegeka
real	-ddala
reality	ebyaddala
realized	okukizuula
realize	okuzuula
really	kituufu
rear	okulunda
