a	ⴰ
cast	ⵟⵟⴻⴳⴻⵔ
castle	ⵜⴻⵖⵔⴻⵎⵜ
casual	ⵙ ⵜⴰⴳⵏⵓⵜ
cat	ⴰⵎⵛⵉⵛ
catch	ⵟⵟⴻⴼ
category	ⵜⴰⴳⴳⴰⵢⵉⵏ
cattle	ⵍⵎⴰⵍ
caught	ⵢⴻⵜⵜⵡⴰⵜⵜⴳⴻⵏ
cause	ⵢⴻⵖⵔⴰ
caution	ⵃⴰⴷⵔⴻⵜ
cautious	ⵢⴻⵜⵃⴰⴷⴰⵔ
cave	ⵜⴻⵏⵖⴻⵔⵜ
cease	ⵜⴻⵃⴱⴻⵙ
ceiling	ⴰⴼⴻⵍⵍⴰ
celebrate	ⴰⵙⴼⵓⴳⴻⵍ
cell	ⵜⴰⵅⵉⴱⴰⵜ
center	ⵜⴰⵍⴻⵎⵎⴰⵙⵜ
century	ⵍⵇⴻⵔⵏ
cereal	ⵢⵉⵎⴻⵏⴷⵉ
ceremony	ⵜⴰⴼⵓⴳⵍⴰ
certain	ⵉⴱⴰⵏ
certainly	ⵙ ⵜⵉⴷⴻⵜ
certificate	ⴰⵙⴻⵍⴽⵉⵏ ⵏ ⵜⴳⴻⵣⵣⴰⵢⵜ
chain	ⵜⵉⵙⴻⵍⵙⴻⵍⵜ
chair	ⴰⴽⴻⵔⵙⵉ
challenge	ⵃⴰⵣⴻⵎ
chance	ⴰⵙⵉⵔⴻⵎ
change	ⴰⴱⴻⴷⴷⴻⵍ
chaos	ⴰⵎⴻⵏⵏⵓⵖ
character	ⴰⵣⴰⵎⵓⵍ
characteristics	ⵉⵙⵎⴰⵍ
charge	ⴰⴳⴳⴰ
charity	ⵚⴰⴷⴰⵇⴰ
charming	ⴰⵥⴰⵡⴰⵏ
chart	ⴰⵎⴻⵙⴽⴰⵏ
chase	ⵜⴻⴱⵄⴻⵏ
chat	ⵢⴻⵜⵇⴻⵚⵚⵉⵔ
cheap	ⵖⵍⴰⵢ
cheat	ⵢⴻⵜⵜⴽⴻⵍⵍⵉⵅ
cheating	ⵢⴻⵜⵜⴽⴻⵍⵍⵉⵅ
check	ⵙⴻⴼⵇⴻⴷ
cheek	ⵍⴰⵃⵏⴰⴽ
cheer	ⵙⵙⴻⴱⵖⴻⵙ
cheerful	ⵢⴻⵙⴼⴻⵔⵃⴻⵏ
cheers	ⵙⵙⴻⴱⵖⴰⵙ
cheese	ⴰⴳⵉⵙⵉ
chemistry	ⵜⴰⴽⵔⵓⵔⴰ
cherish	ⵄⵣⵉⵣ
chess	ⵉⵛⴰⵀⴻⵏ
chest	ⴰⴳⵍⵉⵎ
chew	ⵜⵓⴼⵥⴰ
chicken	ⴰⵢⴰⵣⵉⴹ
chief	ⴷ ⴰⵏⴻⵃⴽⴰⵎ
child	ⴰⴳⵔⵓⴷ
childhood	ⵜⴻⵎⵥⵉ
children	ⴰⵔⵔⴰⵛ
chill	ⵙⴻⵎⵎⴻⴹ
chimneys	ⵉⵙⴻⴽⴽⵉⵍⴻⵏ
chin	ⵜⴰⵎⴰⵔⵜ
chocolate	ⵛⵛⵉⴽⵓⵍⴰ
choice	ⵍⵅⴻⵜⵢⴰⵔ
choose	ⵅⵜⵉⵔ
chop	ⴳⵣⴻⵎ
chores	ⵍⴻⵇⴷⵉⵛ ⵏ ⵡⴻⵅⵅⴰⵎ
chubby	ⴰⵛⴰⵕⴰⵏ
church	ⵜⴰⴽⵍⵉⵣⵜ
cinnamon	ⵍⵇⴻⵔⴼⴰ
circle	ⵜⴰⵡⵉⵏⴻⵙⵜ
circumstances	ⵜⴰⴳⵏⵉⵜ
citizen	ⴰⵖⴻⵔⵎⴰⵏ
city	ⵜⴰⵎⴷⵉⵏⵜ
clarify	ⵢⴻⵙⵙⴻⴼⵀⴻⵎ
class	ⵜⴰⵏⴻⵖⵔⵉⵜ
clay	ⵢⵉⴷⴻⵇⵇⵉ.
clean	ⵣⴻⴷⴷⵉⴳⴻⵏ
clear	ⵢⴻⵙⴼⴻⴹ
clerk	ⴰⵏⴰⵡⵓⵔ
clever	ⴰⵎⴻⵃⵔⵓⵛ
client	ⵢⴻⵎⵙⴰⵖⴻⵏⵯⵏⵏⴻⵖ
cliff	ⴰⵛⵕⵓⴼ
climate	ⴰⵏⴻⵣⵡⵉ
climb	ⴰⴼⵓⴷ
clingy	ⴰⵎⴰⵍⵜⴰⵖ
clock	ⴰⵎⴰⵙⵔⴰⴳ
close	ⵖⵍⴻⵇ
closet	ⵜⴻⵅⵣⴰⵏⵜ
cloth	ⴰⵛⴻⵜⵜⵉⴹ
clothes	ⵉⵛⴻⵜⵜⵉⴹⴻⵏ
cloud	ⵉⵙⵉⴳⵀⵉⵏⴰ
cloudy	ⴷ ⴰⵙⵉⴳⵏⴰ
clown	ⴰⴼⴻⵔⴽⵓⵙ
clue	ⵜⴰⴽⵜⵉ
clumsy	ⵢⴻⵜⵇⴻⵍⵍⴻⵇ
cluster	ⵜⴰⴳⵔⵓⵎⵎⴰ
coach	ⵙⵍⵓⵖⵎⵓ
coal	ⵉⵔⴻⴳ
coast	ⵔⵔⵉⴼ ⵏ ⵢⵉⵍⴻⵍ
coat	ⴰⴽⴻⴱⴱⵓⴷ
coffee	ⵍⵇⴰⵀⵡⴰ
cognitive	ⴰⵡⴻⵙⵙⵓⵏ
coincidence	ⴷ ⵣⵣⵀⴻⵕ ⴽⴰⵏ
cold	ⵙⵙⴻⵎⴻⵜ
collapse	ⵉⵖⴻⵍⵍⵉ
collar	ⵉⵔⵉ
colleague	ⴰⵎⴻⴷⴷⴰⴽⴻⵍ
colleagues	ⵉⵎⴷⵓⴽⴰⵍ
collect	ⴰⴷ ⴷⵯⵜⴻⴽⴽⴻⵙ
collection	ⵜⴻⵍⴽⴻⵏⵙⵉⵜ
college	ⵜⴰⵙⴷⴰⵡⵉⵜ
color	ⵉⵏⵉ
colorless green ideas slept furiously	ⵜⵉⴽⵜⵉⵡⵉⵏ ⵜⵉⵣⴻⴳⵣⴰⵡⵉⵏ ⵓⵔ ⵏⴻⵙεⵉ ⵜⵉⵖⵎⵉ ⵟⵟⵙⴻⵏ ⵙ ⵡⵓⵔⵔⵉⴼ
colour	ⵉⵏⵉ
column	ⴰⵊⴳⵓ
comb	ⵜⵉⵎⵛⴻⴹⵜ
combination	ⴰⵙⴰⴼⴰⵔ
combine	ⴰⵙⴷⵓⴽⴽⴻⵍ
come	ⴰⵔⵡⴰⵃ
come here	ⴰⵢⴰⵯⴷ ⵖⴻⵔ ⴷⵯⴰ
come on	ⴰⵎⴰⵣⵔⴰⵔ
comfort	ⴰⵔⵉ
comfortable	ⵢⴻⵙⵄⴰ ⵍⴻⵀⵏⴰ
coming	ⵢⴻⵜⵜⴰⵡⴻⴹⵯⴷ
coming soon	ⵇⵕⵉⴱ ⴰⴷ ⴷⵯⵢⴰⵡⴻⴹ
command	ⵉⴹⴻⴱⴱⵉⵔ
comment	ⵢⵉⵡⴻⵏⵏⵉⵜⴻⵏ
commercial	ⵜⵜⵊⴰⵔⴰ
commission	ⴰⵙⴻⵖⵍⴻⴼ
commit	ⴻⴳⴳ
commitment	ⵉⵙⴻⴹⵙⴰⵢ ⴰⵟⴰⵙ
committed	ⵢⴻⵟⵟⴻⴼ
commodity	ⴰⵍⵣⴰⵣⴻⵏ
common	ⴰⵎⴰⵢⵏⵓⵜ
communicate	ⴰⵙⵎⵎⴻⵙⵍⴰⵢ
communication	ⵜⴰⵙⵎⵉⵍⵜ
community	ⵜⴰⵙⴷⵓⴽⵍⴰ
commute	ⴰⴷ ⵏⵎⵓⴷⴷⵓ
companion	ⴰⵎⴻⴷⴷⴰⴽⴻⵍ
company	ⵜⴰⴳⴳⴰⵢⵜ
compare	ⵙⴻⵎⵙⴰⵡⵉ
comparison	ⵇⵓⵔⴻⵏ
compassion	ⵍⴻⵃⵏⴰⵏⴰ
compassionate	ⴰⵔⵓⴼⵉ
compatible	ⵢⴻⵎⵚⴰⴷⴰ
compete	ⵢⴻⵜⵜⴻⴽⴽⴰⵢ
competent	ⵢⴻⵥⵡⴻⵕ
competition	ⴰⵎⵙⴰⵣⵡⴰⵔ
competitive	ⵜⴻⵖⴷⵉⵔⴰⵡⵜ
complain	ⴷⵯⵢⴻⵜⵜⵛⴻⵜⴽⵉⵏ
complaint	ⴰⵛⵛⴻⵜⴽⵉ
complement	ⵄⵉⵡⴻⵏ
complete	ⴰⴽⵎⵎⴻⵍ
completely	ⴰⴽⴽⵉⵜ
complex	ⴰⵙⴻⵎⵍⴰⵍ
compliance	ⵉⴳⴰ
complicated	ⵢⴻⵡⵄⴻⵔ
compliment	ⵜⴰⵊⵎⵉⵍⵜ
comply	ⵔⴻⵡⴻⵙ
composition	ⵜⵉⵔⴰ
compound	ⴰⵎⴻⵙⴽⴰⵏ
comprehension	ⵜⵉⴳⵣⵉ
comprehensive	ⴰⵎⴰⵜⵓ
compromise	ⵙⵓⵔⴷⵓ
compulsory	ⵜⴰⵎⴻⵍⵣⵓⵎⵜ
computer	ⴰⵙⴻⵍⴽⵉⵎ
concentrate	ţⵕⴻⴽⵣⴻⴹ
concept	ⵜⵉⴽⵜⵉ
concern	ⵢⵓⴳⴳⴰⴷ
concerned	ⵢⴻⵜⵜⵡⴰⵃⵙⴰⴱ
concert	ⴰⴱⴰⵔⴰⵣ
conclusion	ⵜⴰⴳⴳⴰⵔⴰ
concrete	ⵙⵙⵉⵎⴰⵏ
concrete	ⴰⴽⵎⴰⵎ
condition	ⵛⵛⴻⵔⴹ
conditions	ⵜⵉⵡⴻⵍⵜⵉⵏ
conduct	ⵜⴰⵏⴻⵀⵔⴰⵡⴻⵜ
conference	ⴰⵙⴰⵔⴰⴳ
confess	ⵢⴻⵙⵜⴰⵄⵕⴻⴼ
confidence	ⵍⴰⵎⴰⵏ
confident	ⵢⴻⵜⴽⴽⴻⵍ
confirm	ⵙⵙⴻⴽⵏⴻⵖⵜ
conflict	ⴰⵎⴻⵏⵏⵓⵖ
confused	ⵢⴻⵅⵍⴻⴼ
confusion	ⴰⵔⵡⴰⵢ
congrats	ⴰⵢⵢⵓⵣ
congratulation	ⵎⴻⴱⵔⵓⴽ
congratulations	ⴰⵢⵢⵓⵣ
conjunction	ⵜⴰⵙⴻⴼⵜⵉⵜ
connect	ⵇⵇⴻⵏ
conquer	ⴰⵎⴻⵣ
conscious	ⵢⴻⵙⵄⴰⵏ ⴰⵣⵔⴻⴼ
consciousness	ⵜⴰⵎⵓⵙⵏⵉ
consent	ⵢⴻⵇⴱⴻⵍ
consequences	ⵜⵉⵏⴰⵍⴽⴰⵎⵉⵏ
conservation	ⴰⵃⵔⴰⵣ
conservative	ⴰⵎⴰⴳⴰⵣ
consider	ⵎⴻⴳⴳⴻⵣ
considered	ⵉⵖⵉⵍ
consist	ⵍⵍⴰⵏ ⴷⴻⴳⵯⵙ
consistency	ⵉⵎⵡⴰⵍⴰⵎ
consistent	ⵍⵍⴰⵏ
constant	ⴰⵀⵉⵍ
constantly	ⴷⵉⵎⴰ
constipation	ⵜⵓⵇⴻⴼⵜ
construction	ⵍⴻⴱⵏⵉ
consume	ⵙⵓⴷⴻⵔ
consumption	ⴰⵙⵙⴻⵇⴷⴻⵛ
contact	ⵏⴻⵔⵎⴻⵙ
contagious	ⵉⵏⴻⵟⵟⴻⴹ
contain	ⵢⴻⵙⵄⴰ
contains	ⵢⴻⵙεⴰ
contemporary	ⴰⵎⴰⵢⵏⵓⵜ
contempt	ⴰⵃⵇⴰⵔ
content	ⴰⴳⴻⵎⵎⴰⵢ
contest	ⴰⵎⵙⵉⵣⵡⴻⵔ
context	ⵓⵙⴰⵜⴰⵍ
continent	ⴰⵎⴻⵏⵥⴰⵡ
continue	ⴽⴻⵎⵎⵍⴻⵜ
contract	ⵙⴻⴷⵔⴻⵙ
contrast	ⵙⴻⴳⴷⴻⵍ
contribute	ⵢⴻⵜⵜⴻⴽⴽⴰ
contribution	ⵢⴻⵜⵜⴻⴽⴽⴰ
control	ⵜⵃⴻⴽⵎ
controversial	ⴰⵎⵀⴰⵡⴻⵔ
convenience	ⴰⵎⵜⴰⵡⴰ
convenient	ⵢⴻⵙⵙⵣⴼⴽⴻⵏ
conversation	ⴰⵎⴻⵙⵍⴰⵢ
convert	ⵢⴱⴻⴷⴷⴻⵍ
convey	ⴰⵙⵙⵉⴽⴻⵍ
convince	ⵢⴻⵙⵙⴻⵇⵏⴻⵄ
convinced	ⵢⴻⵙⵙⴻⵇⵏⴻⵄ
cook	ⵏⵉⵡⴻⵍ
cooking	ⵏⵡⴰⵍ
cool	ⵙⴻⵎⵎⴻⴹ
cool	ⵢⴻⵍⵀⴰ ⴰⵟⴰⵙ
cooperation	ⴰⵎⴻⴷⵀⴻⵍ
cope	ⵏⴻⵖⵍⴻⴱ
copper	ⵏⴻⵃⴰⵙ
core	ⵓⵍ
corn	ⴰⴽⴱⴰⵍ
corner	ⵜⴻⵖⵎⴻⵔⵜ
correct	ⴷ ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ
cost	ⴰⵛⵃⴰⵍ ⴰⵔⴰ ⴷⵯⵢⴻⵙⵇⴰⵎ
costume	ⴰⵢⵔⵉⴷ
cottage	ⴰⵅⵅⴰⵎ
cotton	ⵜⴰⴱⴷⵓⵖⵜ
couch	ⴰⴽⴰⵏⴰⵒⵉ
cough	ⵜⵓⵙⵓⵜ
could	ⵢⴻⵣⵎⴻⵔ
council	ⴰⵙⴻⵇⵇⴰⵎⵓ
count	ⵍⴻⵃⵙⴰⴱ
counter	ⵜⴰⵎⴰⵙⵔⴰⴳⵜ
country	ⵜⴰⵎⵓⵔⵜ
countryside	ⵜⴰⵎⵓⵔⵜ
couple	ⵙⵉⵏ
courage	ⵜⴰⴱⵖⴻⵙⵜ
course	ⴰⵙⵓⵔⵉⴼ
court	ⵜⴰⵏⵣⴰⵔⴼⵉⵜ
courtesy	ⵍⴻⵃⴷⴰⵇⴰ
cousin	ⵎⵉⵙⵙ ⵏ ⵄⴻⵎⵎⵉ
cover	ⵜⴰⴷⵓⵍⵉ
cow	ⵜⴰⴼⵓⵏⴰⵙⵜ
coward	ⵢⵜⵜⴰⴳⴰⴷ
cozy	ⵢⴻⵙεⴰⵏ ⵍⴻⵀⵏⴰ
crab	ⵃⴻⵏⵏⴻⵇⵔⵉⵛ
crack	ⵢⴻⵟⵟⴻⵔⴹⴻⵇ
craft	ⵜⵉⵏⴷⵉ
crap	ⵉⵥⵥⴰⵏ
crash	ⴰⵙⴻⵀⵡⵓ
crash	ⵢⴻⵖⵍⵉ
craving	ⵢⴻⵜⵛⵉⵀⵡⴰ
crawl	ⵢⴻⵜⵜⵎⵓⵔⵓⴷ
crazy	ⵙⴻⵍⴱⴻⵖ
create	ⴰⵙⵏⵓⵍⴼⵓ
creative	ⴰⵎⴻⵙⵍⴰⵍ
credit	ⴰⵔⴹⴰⵍ
creep	ⵓⴼⵓⵃⴰⵏ
creepy	ⵢⴻⴼⵊⴻⵄ
crew	ⵉⵎⵙⵍⴰⴹⴻⵏ
crime	ⵉⵎⴻⵏⵖⵉ
cringe	ⵙⴽⴻⵔⵡⴻⵛ
crisis	ⵜⴰⵣⵖⴻⵏⵜ
criteria	ⵜⵉⵎⵙⴰⵍ
critical	ⵢⴻⴽⴽⴰⵜ ⴷⴻⴳ
criticism	ⴰⵏⵇⴰⴷ
crop	ⵍⵖⴻⵍⵍⴰ
crops	ⵍⵖⴻⵍⵍⴰ
cross	ⵎⵉⴷⴻⴳ
cross	ⵣⴳⴻⵔ
crow	ⴰⴳⴰⵔⴻⴼ
crowd	ⵍⵖⴰⵛⵉ
crowded	ⵢⴻⵞⵞⵓⵔ
crown	ⴰⵇⴰⵛⵓⵛ
crucial	ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ ⴰⵎⴻⵇⵇⵔⴰⵏ
cruel	ⵍⴻⵇⵙⴻⵃ
cruise	ⴰⵃⴻⵡⵡⴻⵙ
crush	ⵄⴼⴻⵙ
cry	ⵢⴻⵜⵜⵔⵓ
cucumber	ⴰⵅⵢⴰⵔ
cuddle	ⴰⵙⵉⴳⴻⵔ ⵉⵖⴰⵍⵍⴻⵏ
culture	ⵜⴰⴷⴻⵍⵙⴰ
cunning	ⵜⵉⵃⵔⵛⵉ
cup	ⵜⴰⵇⴱⵓⵛⵜ
cupboard	ⴰⵙⴰⵍⵓ
curb	ⵜⴰⵔⴽⴻⵏⵜ
cure	ⵢⴻⵊⵊⵉ
curfew	ⴰⵙⵎⵉ ⴰⵔⴰ ⴷⵯⵢⴻⴼⴼⴻⵖ ⵍⵃⴰⵍ
curiosity	ⵍⴻⴽⵍⵓⴼ
curious	ⴷ ⴰⵎⴻⵙⵍⴰⵢ
curly	ⵉⴽⴻⵕⵟⵓⵟⴻⴼ
currency	ⵜⴰⴷⵔⵉⵎⵜ
current	ⴰⵙⵙⴰⵖ
currently	ⴷⴻⴳ ⵜⴰⵍⵍⵉⵜ
curse	ⵢⴻⵏⵄⴻⵍ
curtain	ⴰⵙⴰⴱⴻⵔ
cushion	ⵜⵙⵓⵎⵜⴰ
custom	ⴰⵙⵎⴻⵍ
customer	ⴰⵎⵙⴰⵖ
customs	ⴰⵎⵙⴰⵖ
cut	ⵉⴳⴻⵣⵣⴻⵎ
cute	ⴷ ⴰⵢⴻⵏ ⵉⵛⴻⴱⵃⴻⵏ
cycle	ⴰⵙⵏⴰⵙⵖⴰⵍ
cycling	ⴰⵏⴻⵀⴰⵕ ⵏ ⵓⵙⵏⴰⵙⵖⴰⵍ
dad	ⴱⴰⴱⴰ
daddy	ⴱⴰⴱⴰ
daily	ⵢⴰⵍ ⴰⵙⵙ
dairy	ⴰⵢⴻⴼⴽⵉ
dam	ⴰⴳⴳⵓⴳ
damage	ⵢⴻⵜⵡⴰⵖ
damn	ⴰⵢ ⴰⵄⴻⴼⴼⴰⵏ
damp	ⴱⵣⴻⴳ
dance	ⵛⵛⴹⴻⵃ
danger	ⴰⵎⵉⵀⵉ
dangerous	ⵢⵓⵄⴻⵔ
dark	ⴰⴱⴻⵔⴽⴰⵏ
darling	ⴰⵢ ⴰⵃⴱⵉⴱ
dash	ⴰⵣⵣⴻⵍ
data	ⵉⵙⴻⴼⴽⴰ
date	ⵜⵜⵉⵄⴰⴷ
daughter	ⵢⴻⵍⵍⵉⵯⵙ
day	ⴰⵙⵙ
dead	ⵢⴻⵎⵎⵓⵜ
deadline	ⴰⵎⴻⵏⴹⴰⵔ
deaf	ⴰⵄⴻⵥⵥⵓⴳ
deal	ⴰⵍⵀⵓ
deal	ⴰⵎⵜⴰⵡⴰ
dear	ⴰⵢ ⴰⵃⴱⵉⴱ
Dear All	ⴰⵢ ⴰⵜⵎⴰⵜⴻⵏ ⵄⵣⵉⵣⴻⵏ
Dear Customer	ⴰⵎⵙⴻⵇⴷⴰⵛ ⴰⵃⴱⵉⴱ
Dear Parents	ⴰⵢ ⵉⵎⴰⵡⵍⴰⵏ ⴰεⵣⵉⵣⴻⵏ
Dear Sir	ⵉ ⵎⴰⵙⵙ
Dear students	ⵉ ⵢⵉⵏⴻⵍⵎⴰⴷⴻⵏ
Dear Team	ⵉ ⵜⴻⵔⴱⴰεⵜ
death	ⵍⵎⵓⵜ
debate	ⴰⵙⴽⴰⵙⵉ
debit	ⴰⵣⴻⵏⵣⵉ
debris	ⵉⵛⴻⵇⴼⴰⵏ
debt	ⴹⴹⵍⴰⴱⴰ
decade	ⴰⵙⴻⴳⴳⴰⵙ
decay	ⵢⴻţⴷⵓⵎⵓ
deceased	ⵢⴻⵎⵎⵓⵜ
deceive	ⵉⵖⵓⵕⵕ
december	ⴷⵓⵊⴻⵎⴱⴻⵔ
decent	ⵢⴻⵃⴷⴻⵇ
decide	ⴰⴷ ⴷⵯⵜⴻⴼⵔⵉⴹ
decided	ⵏⴻⵄⵣⴻⵎ
decision	ⵔⵔⴰⵢ
deck	ⵜⵉⵇⴻⵏⵟⴻⵔⵜ
decline	ⵏⵏⴳⴻⵔ
decrease	ⵙⴻⵎⵥⵉ
dedicated	ⵢⴻⵜⵜⵓⵏⴻⴼⴽⴻⵏ
dedication	ⴰⴱⵓⴷⴷⵓ ⵏ ⵜⴻⵕⵡⵉⵃⵜ
deed	ⴰⴳⵉ
deep	ⵍⵇⴰⵢⴻⵏ
deer	ⵜⴰⴳⴻⵔⴽⴰ
default	ⴰⵎⴽⴰⵏ ⵓⵔ ⵏⴻⵜⵜⵡⴰⵙⵙⴻⵏ
defeat	ⴰⵏⴻⵖⵍⵓⵢ
defeat	ⵙⴻⴼⵙⵓ
defend	ⴰⵃⵓⴷⴷⵓ
define	ⵙⴻⴱⴻⵢⴻⵏ
definitely	ⵙ ⵜⵉⴷⴻⵜ
definition	ⵜⴰⴱⴰⴷⵓⵜ
degree	ⴰⴳⴻⴻⴷⴰⵙ
delay	ⵡⴻⵅⵅⵔⴻⵏ
delayed	ⵉⵄⴻⴹⴹⴻⵍ
delete	ⵙⵙⵓⴽⴽⴻⵙ
deliberate	ⵙ ⵜⵎⴻⵄⵎⴰⴷⴰ
delicate	ⵍⵎⵉⴽⵔⵉ
delicious	ⴱⴻⵏⵉⵏ
delight	ⴰⵣⵡⴻⵜ
delighted	ⵙ ⵜⵓⵎⴻⵔⵜ
deliver	ⵉⵙⴻⵍⵍⴻⴽ
delivered	ⵢⴻⵣⵓⵣⴻⵔ
delivery	ⴰⵙⴻⴼⴽ
demand	ⵢⵙⵓⵜⴻⵔ
demanding	ⴰⵙⵓⵜⴻⵔ
democracy	ⵜⵓⴳⴷⵓⵜ
demon	ⵉⵔⵉⵏ
demonstrate	ⵙⵙⴻⴽⵏⴻⵏ
denied	ⵢⵓⴳⵉ
density	ⵜⵓⵣⴻⵔⴻⵜ
dentist	ⴰⵎⴻⵊⵊⴰⵢ ⵏ ⵜⵓⵖⵎⴰⵙ
deny	ⴰⴷ ⵜⵏⴻⴽⵔⴻⴷ
department	ⴰⵙⴻⵇⵇⴰⵎⵓ
departure	ⵔⵔⵡⴰⵃ
depend	ⵢⴻⵇⵇⴻⵏ
deploy	ⴼⵙⴻⵔ
deposit	ⴰⵃⵎⴻⵍ
deposit	ⵙⴻⵔⵙ
depressed	ⵢⴻⴼⴼⴻⵖⵯⵉⵜ ⵍⴻⵄⵇⴻⵍ
depression	ⵙⵏⴻⵖⵏⴰⵢⴻⵏ
depth	ⵜⴰⵍⵇⴰⵢⵜ
describe	ⴰⴳⵍⴰⵎ
description	ⴰⴳⵍⴰⵎ
desert	ⵜⴰⵏⴻⵣⵔⵓⴼⵜ
deserve	ⵢⵓⴽⵍⴰⵍ
design	ⵙⴰⵍⵉ
design	ⵏⵀⴻⵔⵡⴻⵍ
designation	ⴰⵙⵔⴰⵙ
desire	ⵢⴻⵙⵙⴰⵔⴰⵎ
desk	ⵜⴰⵏⴰⵔⵉⵜ
despair	ⵜⵓⵍⵣⴰ
desperate	ⵜⵓⵢⴻⵙ
despite	ⵖⴰⵙ ⴰⴽⴽⴻⵏ
dessert	ⵜⴰⵙⴻⴳⴳⵔⵉⵜ
destination	ⴰⵎⴹⵉⵇ ⴰⵏⴷⴰ ⵜⴻⴷⴷⵓⵜ
destiny	ⵜⴰⵡⴻⵏⵣⴰ
destroy	ⵢⴻⵙⵙⴻⵏⴳⴻⵔ
destruction	ⵏⵏⴳⴻⵔ
detail	ⵜⵜⴻⴼⵚⵉⵍ
details	ⵜⵜⴼⴰⵚⵉⵍ
detect	ⵢⴻⵜⴼⵉⵇ
determination	ⴰⵄⴻⵡⵡⴻⴽ
determine	ⴰⴼⴻⵏ
determined	ⵢⴻⵜⵜⵡⴰⵙⵏⴻⵏ
devastated	ⵢⴻⵜⵡⴰⵖ
develop	ⴰⵙⴱⵓⵍⴼⵓ
developed	ⵢⴻⵙⵏⴻⴼⵍⵉ
development	ⴰⵙⵏⴻⵔⵏⵉ
device	ⴰⵍⵍⴰⵍ
devil	ⵛⵉⵟⴰⵏ
devoted	ⵣⴻⴳⴳⵓ
Dhivehi	ⴷⵉⵠⴻⵀⵉ
diabetes	ⴰⵟⵟⴰⵏ ⵏ ⵙⵙⴽⴻⵕ
diarrhea	ⵜⵓⵣⵣⴻⵍ ⵜⵄⴻⴱⴱⵓⴹⵜ
diary	ⴰⵖⵎⵉⵙ
dictionary	ⴰⵎⴰⵡⴰⵍ
did	ⵢⴻⵅⴷⴻⵎ
die	ⵢⴻⵎⵓⵜ
died	ⵢⴻⵎⵎⵓⵜ
diet	ⵔⵔⵉⵊⵉⵎ
difference	ⴰⵎⴳⴰⵔⴻⴷ
different	ⵉⵎⵅⴰⵍⴰⴼ
difficult	ⵢⵓⵄⴻⵔ
dig	ⴰⴷ ⴷⵯⵜⴻⴽⴽⴻⵙ
dignity	ⵍⵃⴻⵔⵎⴰ
diligent	ⴰⵎⴻⵃⵔⵓⵛ
dinner	ⵉⵎⴻⵏⵙⵉ
dip	ⵜⵓⴱⴱⵖⴰ
direct	ⵙⵔⵉⴷ
direction	ⴷⵉⵔⴻⵛⵜⵉoⵏ
director	ⴰⵏⴻⵎⵀⴰⵍ
dirt	ⴰⵎⵎⵓⵙ
dirty	ⵢⴻⵅⵏⵓⵏⴻⵙⵙ
disable	ⴰⵄⵉⴱⴰⵏ
disabled	ⴰⵄⵉⴱⴰⵏ
disappear	ⵢⴻⴼⴼⴻⵖ
disappointed	ⵢⵣⵅⵚⴻⵎ
disaster	ⴷ ⴰⵅⴻⵚⵚⴰⵔ
discard	ⴰⴹⴻⴳⴳⴻⵔ
discharge	ⵙⵙⵓⴼⴼⵖⴻⵏ
discipline	ⵟⵔⴻⴱⴳⴰ
discount	ⵢⴻⵏⴻⵇⵇⴻⵙ
discover	ⵢⵓⴼⴰ
discrimination	ⴰⴼⵔⴰⵣ
discuss	ⵎⵎⴻⵙⵍⴰⵢ
discussion	ⴰⵎⴻⵙⵍⴰⵢ
disease	ⴰⵟⵟⴰⵏ
diseases	ⴰⵟⵟⴰⵏⴻⵏ
disguise	ⵢⴻⵍⵙⴰⵯⴷ ⴰⵎⵣⵓⵏ
disgusting	ⵉⵔⵖⴰⵏ
dish	ⴰⴹⴻⴱⵙⵉ
dishes	ⵉⵇⴱⴰⵛ
dismiss	ⴳⴳⵓⵎⵎⴰ
dispatch	ⴰⵙⵓⴼⴻⴳ
display	ⴰⵙⴽⴰⵏ
disposal	ⴰⵀⴻⴳⴳⵉ
dispute	ⵓⵎⵣⴰⵖ
distance	ⵎⴻⴱⵄⵉⴷ
distinct	ⴰⵎⴳⴰⵔⴰⴷ
distinguish	ⴰⵎⴳⵉⵔⴻⴷ
distress	ⵛⴻⴷⴷⴰ
distribution	ⴰⴼⵔⴰⵇ
district	ⵜⴰⵖⵉⵡⴰⵏⵜ
disturb	ⵢⴻⵜⵛⴻⵡⵉⵍ
ditch	ⵜⴰⵔⴳⴰ
dive	ⵏⴻⴳⴳⴻⵣ
diverse	ⵢⴰⵍ ⵚⵚⴻⵏⴼ.
diversity	ⴰⵎⴳⴰⵔⴰⴷ
divide	ⴱⴹⵓ
divine	ⵏ ⵕⴻⴱⴱⵉ
divorce	ⵢⴻⴱⵔⴰ
dizzy	ⵢⴻⵎⵍⵉⵍⵍⵉ
do	ⵅⴷⴻⵎ
do you	ⵏⴻⵖ ⴰⵍⴰ
do you love me	ⵜⵃⴻⵎⵎⴻⵍⴷⵯⵉⵢⵉ?
doctor	ⴰⵎⴻⵊⴰⵢ
document	ⵜⴰⴼⵜⴰⵔⵜ
does	ⵢⴻⵙⵯⵙ
doesn't	ⵓⵔ ⴷⵯⵢⴻⵜⵜⵉⵍⵉ ⴰⵔⴰ
dog	ⴰⵢⴷⵉ
Dogri	ⴹⵓⴳⵔⵉ
