a	kele
error	foti
escape	tila
escape	talitali
especially	jango
essay	sɛbɛn
essence	esansi
essential	kunbaba
essential	kunba
establish	lalɔ
established	julɔnnna
estate	so
estimate	fɛɛnw sɔngɔ jatiminasɛbɛ
estimate	jatiminɛ
estimate	kiimɛ
estimated	jateminɛna
etc	o ni dɔ wɛrɛnw
eternal	banbali
ethics	jogodon
ethics	ladili
evaluate	ka ewakiye
evaluation	ewaliyasiyɔn
even	hali
even	hali ni
even though	hali ni
evening	wulafɛ
event	koba
eventually	a laban na
ever	habada
every	kelen kelen
everybody	bɛɛ
everyone	mɔgɔ o mɔgɔ
everyone	bɛɛ
everything	fɛn bɛɛ
evidence	seere
evil	jugu
evolution	ɲɛtaga
evolve	ewoliye
Ewe	Ewekan
ex	kɔrɔlen
exact	o yɛrɛ
exactly	jaati
exactly	cɔ
exactly	leru
exam	isamɛn
examine	ka sɛgɛsɛgɛ
example	misaliya la
exceed	ka tɛmɛ a dan kan
excellent	fisaman
except	ka kan ka
except	kɔnɔ
exception	fɔ
excess	dantɛmɛ
excessive	dantɛmɛ
exchange	kunfalen
exchange	dakun
excited	min bi yen
excited	.lɔgɔ b'a ra
excitement	nisɔndiya
exciting	min bi yen
exclusive	kelen
excuse	hakɛ to
excuse me	hakɛto
execute	faga
execution	fagali
executive	sariyabolibolo
exercise	ɲanagwɛ kɛ
exercise	degeli
exhaust	bɔli
exhausted	sigɛn
exhibit	ka jira
exhibition	yirɛyira
exist	be yen
existence	ɲɛnamaya
existing	min bɛyen kɔrɔlen
exit	ka bɔ
expand	bonya
expect	ka kan ka
expect	kɔnɔ
expected	tun ka ka kan ka
expenses	musakaw
expensive	ka jugu
expensive	ka gwɛlɛ
experience	kɛkafilɛ
experiment	ka kɛ ka lajɛ
expert	dɔnnibaga
expired	dati bana
explain	fɔ ka yira
explain	lafaamuya
explanation	ɲɛfɔli
exploit	ka nafa bɔ
explore	yɔrɔɲini
explore	yɔrɔkurasɛgɛsɛgɛ
export	ka la bɔ
expose	ka jira
exposed	lakanabali
exposure	yirali
express	teliman
express	yira
expression	fɔcogo
extend	lawɛrɛ
extended	samanen
extension	mɔnɔbɔ
extent	ka lasama
external	kɔfɛla
extinct	ka faga
extra	farankan
extract	ka labɔ
extraordinary	dakabana
extreme	damatɛmɛ
extremely	bɛrɛbɛrɛ
eye	ɲaden
eyes	ɲadenw
fabric	finimugu
fabulous	kabakoman
face	ɲan
facilitate	nɔgɔya
facilities	baaraminanw
facility	nɔgɔya
fact	yɔrɔ
fact	nɔɔ
factor	fɛn
factory	izini
facts	yɔrɔw
facts	nɔɔw
fade	fɔsɔnfɔsɔn
fail	bali
failed	dɛsɛla
failure	ɲɛbaliya
faint	kirin
fair	fisa
fairly	fisa
fairy	nsiirin
faith	lannaya
faithful	kantigi
fake	nanbara fɛn
fall	ben
false	DAGWƐLƐYA
fame	tɔgɔ
familiar	min bɛ deli ka kɛ
family	gwaso
family	lu
family	denbaya
famine	kɔngɔba
famous	tɔgɔma
fan	fifa
fan	fiɲɛdilan
fancy	lɔgɔ
fantastic	ɲɛnamaba
far	ka jan
farewell	k'án bɛn
farm	foro
farmer	sɛnɛkɛla
fascinating	min dabaliban
fashion	mɔdɛli
fast	teliman
fat	tɔlɔ
fatal	juguman
fate	dankan
father	facɛ
fatigue	sigɛn
fault	fili
favorite	mandi
favour	barika
favourite	kɛrɛnkɛrɛnlen
fear	jawuli
fear	siranya
fear	siran
feast	fɛti
feast	dumuniba
feather	si
feature	tagamasiɲɛ
features	tagamasiɲɛw
february	feviriyekalo
fed up	fununa
fee	juru
fee	sɔngɔ
fee	wari
feed	dumu
feedback	lakali
feel	mɛn
feeling	nikanko
feeling	kɔnɔnako
feeling	farimasicɛ
feet	seenw
fell	bennan
fellow	jɛɲɔgɔn
felt	tun ye.mɛn
female	musoman
fence	laminikogo
fence	kogo
fertile	yɔrɔdiman
festival	gintanba
fetch	ka ɲini
fever	farigwan
few	dɔgɔ
fewer	dama bɔɔni
fiance	maminɛcɛ
fiction	suya
field	foro
fierce	fari
fifteen	tan ni duuru
fifty	biduuru
fight	kɛlɛ
fighting	kɛlɛ
figure	dama
figure	jatiden
figure out	ka jate
file	papiye
fill	fa
filled	falen
film	filimu
film	sinema
filthy	nɔgɔlen
finally	fin laban
finance	finansi
finance	wari
financial	wariko
find	sɔrɔ
find	masɔrɔ
find	lasɔrɔ
find out	ka sɔrɔ
fine	marahaba
finger	bolokunnaden
finger	boloden
finish	ban
finished	a bana
fire	tasuman
firm	wɛlɛ
first	fɔlɔ
first name	tɔgɔ
fish	jɛgɛ
fit	labɛn ka kɛɲɛ
five	duuru
fix	dilan
fixed	labɛnnen
flag	darapo
flash	yelen
flat	falafala
flat	panpara
flaw	fili
flawless	filibaliya
flee	boli
flesh	farisogo
flesh	bu
flesh	bugu
flew	bolila
flex	ka kuru
flexible	labilalen
flight	awiyɔn
flip	kilape
flirt	ka jala
flirting	kanuya
float	filotɛri
flood	sanjiba
floor	sangaso
flour	mugu
flow	poyi
flow	sɛɛnɛ
flower	filɛru
flu	muranisɔgɔsɔgɔ
fluent	kɔsɛbɛ
fluently	filibaliya la
fluffy	makana
fluid	ji
fly	limɔgɔ
fly	pan
focus	ɲasin
fog	bugun
foggy	bugun lon
foggy	bugun yɔrɔ
fold	ka kuru
folks	sintinw
folks	landaw
follow	tugu
follow up	fɛsɛfɛsɛ
following	nata
food	dumuni
fool	fatɔ
fool	bagan
foolish	hakilintan
foot	seen
football	ntolotan
for	ma
for	ta
For example	misaliya la
for instance	misali la
for you	i ta lo
forbidden	tana
forbidden	tanamako
force	fanga
forecast	fɔkabila
forehead	tenda
foreign	wɛrɛ
foreign	dinan
forest	batu
forest	tufin
forest	tuba
forever	abada
forget	ɲina
forgive	ka yafa
forgot	ɲinɛ
fork	furusɛti
form	cogoya
form	jogo
formal	sariyakɔnɔ
former	kɔrɔman
former	kɔrɔ
fortunately	ala barika la
fortune	nafolo
forty	binaani
forty-two	binaani ni fila
forward	ɲafɛ
forward	ɲafɛla
foster	ka jiriwa
fought	kɛlɛ
found	lasɔrɔla
foundation	jusigilan
foundation	judon
four	naani
fourteen	tan ni naani
fox	kungowulu
fragile	fiɲɛman
frame	lamini
framework	hukumu
fraud	nanbara
freak	saratan
free	hɔɔrɔn
freedom	hɔrɔnyali
freeze	galase
freeze	suma
frequency	fiɲɛturukala
frequent	ca
frequent	caaman
frequently	sɔn
fresh	kɛnɛ
friday	juma
fridge	refrijeratɛɛri
friend	teri
friendly	nɔgɔman
friends	teriw
friendship	teriya
frightened	siranin
frightening	bagabagali
frog	ntori
from	k'a ta
from	ma
front	ɲaa
frozen	fɔminin
fruit	yiriden
frustrated	jigitigɛbagatɔ
fuel	taji
fuel	manafɛn
Fulfulde	Fulakan
full	fanin
fun	tulon
function	ciya
fundamental	dugumata
funeral	sanga
funny	laugh making
fur	farijolo
furious	diminen
furniture	sokɔminanw
further	ɲɛfɛ
furthermore	ka fara o kan
furthermore	katuguni
future	sini
future	wagati nata
gain	sɔrɔ
gain	kuntɔnɔ
game	tulon
gap	furancɛ
garage	garasi
garbage	nɔgɔninya
garden	nakɔ
garlic	layi
gate	dapɔti
gate	da
gate	daba
gather	ɲɔgɔn kunbɛn
gathering	lajɛ
gauge	ka ewaliye
gave	a dila
gear	vitɛsi dolan
gender	cɛ walima muso
general	zenerali
generally	bakurubala
generate	kɛ
generation	zenerasiyɔn
generous	bololandi
genius	hakiliduman
genre	sifa
gentle	ɲuman
genuine	yɛrɛ yɛrɛ
genuine	lakiika
gesture	taamasiyɛn
get	sɔrɔ
get	latigɛ
get	lasɔrɔ
get dressed	fanin don
get up	wili
get well soon	ka kɛnɛya di
getting	sɔrɔli
ghost	ja
ghosting	sigifɛn
giant	diamdian
gift	nilifɛn
ginger	ɲamaku
girl	sunguru
girlfriend	sunguru
girlfriend	go
give	di
give up	bila
given	dilen
glad	nisɔndiya
glance	ka lajɛ
glass	vɛrɛ
glass	vitiri
glasses	nunɛti
glimpse	ka ɲɛ jɔ a la
global	fanbɛ
gloomy	dibilen
gloves	ganw
glow	jigiya
glow up	kɛnɛbɔ
glow up	yeelenyeelen
glue	kɔnli ji
go	tagama
go	taga
go	wa
go ahead	taga ɲɛfɛ
go away	wa
go to bed	ta la
goal	kuntilennan
goals	kuntilennan
goat	baa
god	ala
god bless you	Ala ka duba i ye
goes	taa
going	be tagara
going to	tara .
gold	sanu
gone	baana
gone	tara
gonna	bɛna
goo	yeelennen
good	duman
good	ɲuman
good	diman
good afternoon	i ni tile
good bye	kan bɛ
good day	ka tile hɛrɛ
good evening	i ni wula
good job	baara ɲuman lo
good looking	cɛɲi lo
good luck	garisigɛdiman
good morning	á ni sɔgɔma
good morning	i ni sɔgɔma
good morning	aw ni sɔgɔma
good morning my love	ne jarabi ni sɔgɔma
good night	ka su hɛrɛ
goodbye	k'an bɛn
goodnight	ka an bo su ra
goods	jagofɛnw
Google	gugɔli
Google Translate	Google Bayɛlɛmali
goose	kulokulodeni
gorgeous	cɛɲi
gossip	kɔrɔfɔli
got	sɔrɔla
got it	a sɔrɔla
government	guvɛrɛnɛma
grab	minɛn
grade	dakun
grade	garadi
gradually	dɔɔni dɔɔni
graduate	ka dipilomu sɔrɔ
grain	kisɛ
grant	ka yamaruya
granted	yamaruyalen
grapes	rezɛn
grasp	ka minɛ
grass	bin
grateful	ɲumanlɔnba
gratitude	waleɲumanlɔn
grave	kaburu
gray	bugurinjɛ
great	ba
greed	natabaya
greedy	nuguman
green	namugulama
greet	ka foli kɛ
greeting	foli
greetings	folikanw
grey	bugurinjɛ
grid	nɛgɛjuru
grief	dusukasi
grind	wulusi
grind	sin
grind	bunte
grip	ka nɔrɔ
grocery	dumunifɛn feereyɔrɔ
groom	furucɛ
gross	kurukara
ground	dugukolo
group	jɛkulu
grow	ci
grow	bonya
growth	jiidiya
grumpy	farifagalen
Guarani	Gwaranikan
guarantee	garanti
guard	ka kɔlɔsi
guess	silɔn
guest	lonan
guest	dinan
guidance	bɛrɛbɛrɛli
guide	ɲabila
guilty	hakɛtigi
guy	cɛ
guys	cɛdenw
gym	zimu
habit	deliko
habit	landa
habitat	so
had	tun sɔrɔla
hail	weele
hair	kunsi
half	tilan
half	tilancɛ
hall	kɔridala
hall	ali
hand	bolo
hand	tigɛ
handle	minayɔrɔ
handle	mɔmɔ
handsome	cɛɲi
handsome	sarama
handsome	ɲi
hang	ka dulon
hang out	ka bɔ ɲɔgɔfɛ
happen	ka kɛ
happened	a kɛla
happiness	daamu
happy	nisɔndiya
happy	nɛɛma
happy birthday	i ni sanyɛlɛma
happy birthday to you	I ni sanyɛlɛmaseli
happy new year	sanbɛ sanbɛ
hard	ka gwɛlɛ
hardly	gɛlɛnman
hardly ever	ma se ban
harm	furufara
harm	dimi
harmful	tɔɔrɔlan
harmony	cogo cɛɲi na
harsh	fari
harvest	sɛnɛfɛn
has	sɔrɔ
hate	mangoya
have	sɔrɔ
have	bi.fɛ
have	bi bolo
have a good day	ka tile hɛrɛ
have a nice day	ka tile hɛrɛ
have breakfast	na daraka dun
have fun	ka i ɲɛnajɛ
have you eaten	i ye dumuni kɛ wa
having	sɔrɔla
hazard	balinan
haze	bugun
he	a
he has	a ye.sɔrɔ
he is	a ye
head	kungolo
head	kun
headache	kundimi
heal	kɛnɛya
healing	kɛnɛyasɔrɔ
health	kɛnɛmanya
healthy	kɛnɛ
healthy	saniman
hear	mɛ n
heard	lamɛnnan
heart	dusu
heat	funteni
heat	tila
heat	gwaniya
heaven	sankolo la
heavy	girin
hectic	sɛgɛn
height	kundama
heir	ciɲɛtala
heir	a
heist	sonyali
held	dagara
held	dagala
hell	jahanama
hell	alatasuma
Hello	I ni tile
Hello	I ni wɔla
Hello	I ni sɔgɔma
hello dear	i ni sɔgɔma n teri
hello dear	i ni tile n teri
hello dear	i ni wula n teri
hello how are you	i ni sɔgɔma hɛɛrɛ sira wa
hello how are you	i ni tile hɛɛrɛ tile na
hello how are you	i ni wula hɛɛrɛ tile na
hello how are you doing	i bɛ di
helmet	nigɛfugulan
helmet	kasiki
help	dɛmɛ
helpful	duman
hence	fɔlɔ
hence	bɛɛ
her	ale
her	le
herd	ka gɛ
here	yan
heritage	cɛɛn
hesitate	siga
Hey	I ni tile
Hey	I ni wɔla
Hey	I ni sɔgɔma
Hi	I ni tile
Hi	I ni wɔla
Hi	I ni sɔgɔma
hi how are you	i ni tila i ka kɛnɛ wa
hi how are you	i ni wula i ka kɛnɛ wa
hi how are you	i ni sɔgɔma i ka kɛnɛ wa
Hi there	ani ca yan
hidden	dogolen
hide	sutura
hide	dogo
hierarchy	ɲɛmɔgɔya
high	janmanjan
high	gongolima
high	san
highlight	ka faranfasiya
hike	senataama
hiking	senataama
hilarious	tlonkɛla
hill	kulu
him	a ma
hint	taamasiyɛn
hip	nɔgɔyɔrɔ
hips	tɔgɔ
hire	maminɛ
hiring	tali
his	a
history	tariku
hit	gusi
Hmm	hum
hobby	donnatɛmɛ
hold	minɛ
hold	daga
hold on	ka jɔ
hole	dingɛ
holiday	seliba
hollow	wo
home	so
homework	sokɔnɔbaara
honest	kɔnɔgwɛ
honestly	sɛbɛ sɛbɛla
Honey	Li
honor	bonya
hood	kapo
hook	nugunuu
hop	ka pan pan
hope	jigiya
hope	jigi
hope	jigida
hopefully	ni ala sɔn na
hopeless	jigintanya
horizontal	dalen
horn	biɲɛ
horrible	cojugu
horror	cɛjugu
horse	so
hospital	dɔgɔtɔrɔso
hospitality	jatigiya
hospitality	jabagaya
host	jabaga
host	ja
host	jatigi
hostile	juguya
hot	gwannin
hot	funteniman
hot	bagibagi
hotel	lotɛli
hotel	dunanjigiyɔrɔ
hotel	dunanjigiso
hour	lɛri
hours	lɛri
house	lu
house	bon
household	somɔgɔw
how	cogoya juman
how	cogo di
how	cogo juman
how about you	i yɛrɛ dun
how are you	Hɛɛrɛ tilenan
how are you	hɛɛrɛ sira wa
how are you doing	i ka kɛnɛ wa
how are you doing	hɛrɛ be wa
how are you doing today	I be di bi?
how are you doing today	I fari be di bi?
how are you today	i ka kɛnɛ bi wa
how are you today	i fari be di bi
how do you do	i ka kɛnɛ wa
how is	a bɛ di
how many	joli
how much	joli
how often	ɲaa joli
how old are you	i be ni saan joli
how old are you	i sii ye saan joli
how was your day	i tile tun be di
how was your night	hɛrɛ sira wa
however	nga
however	jaa
however	o bɛɛ n’a taa
hub	sentiri
hubby	furucɛ
hug	kɔnkɔli
huge	belebeleba
huge	yabi
human	hadamaden
humble	lamaloya
humble	yɛrɛmajiginin
humid	ɲigira
humidity	majigilenya
hundred	kɛmɛ
hungry	kɔngɔ
hunt	ka gɛ
hurricane	fɔɲɔba
hurry	teliya
hurry up	teliya
hurt	digi
hurt	dimi
husband	furucɛ
husband	cɛɛ
hustle	teliman
hut	bon
hut	bugubon
hygiene	saniya
I	Nne
I	N
I am	Nne ye
I am	N ye
I am fine	n ka kɛnɛ
I can	N bi se
I can't	Nne ti se
I can't	N ti se
I do	ne bɛ
I do not know	Nne m'a lɔn
I do not understand	ne m'a faamuya
I don't	ne tɛ
I don't know	N t'a lɔn
I don't understand	Nne ti faamuyan
I don't understand	N t'a faamuna
I don't understand what you mean	Ne t'i fɛn min i b'a fɔra nin faamu
I don't understand you	ne m'a famu
I don’t know	N t'a lɔn
I don’t understand	n m'a faamu
i guess	ne b'a silɔn
I had	Nne tun ye .sɔrɔla
I have	Nne ye.sɔrɔ
I have been	Ne tun kɛra
I hope so	N lannin b'a la
I know	Nne b'a lɔn
I like	N bi.fɛ
I like you	N b'i hanu
I love	ne bɛ i fɛ
I love my big brother	N bi n ka kɔrɔkɛ fɛ
I love my big sister	N bi n ka kɔrɔmuso fɛ
I love my father	N bi n ka facɛ fɛ
I love my little brother	N bi n ka dɔgɔcɛ fɛ
I love my little sister	N bi n ka dɔgɔmuso fɛ
I love my mother	N n ka bamuso fɛ
I love you	N b'i fɛ
I love you	Nne b'i fɛ
I love you	i ko ka di n ye
I love you so much	I ko ka di n ye kosɔbɛ
I love you so much	N b'i fɛ kosɔbɛ
I love you too	N b'i fɛ
I mean	Ne koo
I miss you	I lɔgɔ be n na
I miss you so much	i ɲɛnafinba de bɛ ne na
I see	N b'a ye
I think	ka miri
I understand	N b'a faamu
I want	N bi.fɛ
I want to see you	ne b'a fɛ ka i ye
I want you	ne magon bɛ i ra
I was	N tun ye
I will	N bena
I would be	Ne tun b'a fɛ ka kɛ
I'm	N ye
I'm fine	N ka kɛnɛ
I'm good	N ka kɛnɛ
I'm here	Nne be ɲan
I'm here	N bi ɲan
I'm sorry	i yafa n ma
I'm sorry	safurulayi
ice	galasi
ice cream	kɛrɛmi galase
idea	hakilina
ideal	ɲɛnaman
identical	kelen ye
identify	ɲanɔto
identity	boyoro
idiot	lagalagatɔ
idiot	kunntan
idle	salen
if	ni
ignore	ye k'a to yen
ignore	tigɛnsɔnya
ill	man kɛnɛ
illegal	a ma daga
illness	bana
Ilocano	Lokanikan
image	ja
imagine	bisigi
immediate	sisan sisan
immediately	o yɔrɔnin bɛɛ ra
immediately	ikɔrɔ
immediately	sisan bɛɛ
immense	belebeleba
impact	sira don mɔgɔ kɔrɔ
impatient	basigibali
implement	laboli
import	ka ladon
important	nafama
important	kunba
important	masa
impose	ka jogoya
impossible	abada
impress	ka lasonni kɛ
impression	yecogo
impressive	min be mɔgɔ jawuli
improve	yiriwa
improvement	fisayali
in	kɔnɔ
in	la
in addition	ani fana
In fact	o la sa
in front of	ɲɛfɛ
in order to	walasa ka
inappropriate	ladamubali
incentive	kɔnɔnasuli
incident	kasara
include	fara kan
including	i n'a fɔ
income	sɔrɔ
inconvenience	kϽlϽlϽ
increase	caya
increase	boɲɛ
increase	dɔfarakan
increased	farara
incredible	kabakoman
indeed	laban
indeed	a laban
independent	dafanin
India	Ɛndi
indicate	yira
indigenous	dugulen
individual	yɛrɛkunlabilali
industry	lizini
inevitable	min te se ka kɛɲɛ
infant	denɲɛnin
infection	banayɛlɛma
infinity	ɛnfiniti
inflammation	jeninin
inflation	funun
influence	sira don mɔgɔ kɔrɔ
inform	ka kunnafoniya
information	kunnafoli
ingredients	nafɛnw
inheritance	cɛɛn
inheritance	niyɔrɔ
initial	daminɛ
initiative	sababu
injured	joginli
injury	joli
innocent	jurumutan
innocent	jalakibali
innovation	inowasiyon
inquiry	ɲininkali
inquiry	sɛgɛsɛgɛli
insane	fatɔ
insect	fɛnɲɛnama
insecure	tangabaliya
insert	ka don
inside	kɔnɔ
insight	yeeli
insist	ka laɲini
insomnia	sunɔgɔbaliya
inspiration	fangadilan
inspire	ka sama
install	sigi
instance	misaliya
instant	wagati
instead	yanni
instead	nɔ na
instead	sanni
instead of	sani
instead of	nɔ na
instructions	cikanw
instrument	minɛn
insult	neni
insurance	jagwɛlɛya
insurance	asiransi
intact	a cogola
integrity	hɔɔrɔnya
intellectual	mɔgɔ kalannen
intelligence	hakilidja
intelligent	cegu
intend	ka ɲaniya
intended	dabɔlen
intense	gwan
intention	sago
interact	ka dalafalen kɛ
interaction	kunmafalen
interest	nafa
interest	mako
interested	b'a fɛ
interesting	nafama
interfere	ka sendon
intermediate	furancɛmɔgɔ
internal	kɔnɔna na
international	diɲɛfanbɛ
internship	baaradegin
interpret	ka dalaminɛli kɛ
interpreter	kanbayɛlɛmabaga
interrupt	ka bali
interview	koɲɛɲinibaro
interview	kunnafoniɲiniba
intimate	bulonkɔnɔsi
into	kɔnɔ
introduce	yira
introduce	don
introduction	daminɛ
introvert	mɔgɔ min be to a kelen lon bɛɛ
intuition	sɔmin
invalid	dagabali
invent	dan
inventory	jatebɔ
invest	don
investigate	ka segɛsɛgɛ
invitation	weleni
invite	weele
invite	wele
invoice	fakitiri
involve	ka.fara.
involved	timi
iron	nɛgɛ
is	be
is	bi
island	gun
isolated	mabɔra
issue	gwɛlɛya
issue	kunko
issue	baasi
issues	baasi
issues	kunko
it	a
it is	a ye
it was	a tun ye
it's	o don
it's ok	a kanyin
It's okay	a ka ɲi
item	minɛn
items	minɛn
its	a ka
I’m	n ye
jacket	wɛsiti
jail	kasobon
jail	kaso
January	zanwueyekalo
jar	jifiɲɛn
jaw	dakala
jealous	keleyabagatɔ
jerk	naloma
jewelry	masiri
job	baara
jogging	tagama
join	faraɲɔgɔn ma
joint	tuguda
joke	tulonkɛkuma
journalist	kibaruyadibaga
journey	siratagama
joy	ɲagali
joy	nisɔndiya
joy	diya
judge	kitikɛla
juice	zi
july	zuluyekalo
jump	ka pan
june	zuwɛnkalo
junk	nɛgɛkolon
just	lɛgɛsɛ
just	leru
just do it	a kɛ dorɔn
justice	tilennenya
justify	kun fɔ
Kalaallisut	Kalaallisutikan
keen	jilaja
keep	kɛrɛnkɛrɛn
keep	mara
keep	lasago
keep it up	taga a fɛ
kept	lasagola
kettle	selidaga
kettle	tasale
key	kile
key	lakile
kick	ka tan
kid	den
kid	baden
kidding	tulonkɛkuma
kidney	kɔmɔkili
kids	denmisɛnw
kill	faga
kind	suguya
kind	cogoya
kind	ɲuman
kinda	cogodɔ la
kindly	sabari
kindly	haketo ka.
kindness	ɲumanya
king	masakɛ
kiss	ka bizu kɛ
kitchen	gwaso
kitchen	gwabugu
kite	sɛriwolan
kitten	jakumaden
knee	kunbiri
knew	dɔnnen
knife	muru
knight	sobolila
know	lɔn
knowledge	lɔnniya
known	lakodonnen
Konkani	Konkanikan
Krio	Kriyokan
label	tɔgɔla
label	tɔgɔ
labor	baara
labour	baara
lack	dɛsɛ
ladder	yɛlɛyɛlɛnan
lady	muso
laid	dalen
lake	salan
lamb	sagadennin
lame	segelen
lamp	lanpan
land	jigi
land	dugu
landscape	dugufɛrɛ
language	kan
lap	ka nɛmu
large	belebeleba
large	ba
last	laban
last but not least	laban nga kɔfɛ ɛ
last name	jamun
late	janfa
lately	kɔsala ni na
later	o kɔfɛ
latest	laban
latter	laban
laugh	yɛlɛ
laughing	yɛlɛli
laughter	yɛlɛko
laughter	yɛlɛ
launch	finiko
laundry	finiko
law	sariya
lawn	gazɔn
lawyer	avoka
lay	bla duguma
layer	lazɛri
layout	labɛn cogo
lazy	dɛsɛbagatɔ
lead	ɲaminan
lead	ɲɛminɛ
leader	ɲɛmɔgɔ
leaf	flaburu
leak	cida
lean	sɛmɛ
lean	jɛngɛ
leap	ka pan
learn	dege
learn	kalan
learning	kalan
lease	luwanse
least	min ma se a ɲɔgɔnw
leather	wolo
leather	golo
leave	tagama
leave	taga
leaves	flaburuw
led	ka ɲɛminɛ
left	tara
left	numanfɛla
leg	seen
legacy	ciɲɛ
legal	dagalen
legend	sanga
legend	dawula
legit	dagalen
leisure	farifooni
leisure	lafiya
lend	juru don
length	janya
less	dɔgɔya
lesson	kalansen
let	bila
letter	lɛtɛrɛ
lettuce	salati
level	hakɛya
leverage	daga
leverage	dɛrɛ
liability	bolokanbila
library	bibiliyotɛki
library	gafekalanyɔrɔ
lick	ka nɛmu
lie	galon
lies	nkalonw
life	diɲɛlatigɛ
lift	dakɔrɔrta
light	yeelen
light	fɛgɛman
light	falafala
lightning	yeeienmɛnɛ
like	i ko
like	bi . fɛ
like	i n'a fɔ
likely	i n'a fɔ
likely	komi
likewise	i n'a fɔ
likewise	komi
line	ci
Lingala	Lingalakan
link	ka tugu
lion	jara
liquid	jimafɛn
list	lisi
listen	lamɛn
listening	ka lamɛnni
literally	kuma la
literature	sɛbɛbɔli
litter	ɲaman
little	fitinin
live	balo
liver	biɲɛ
lives	sɛbɛ
lives	liwuru
living	baloli
living room	salɔ
lizard	basa
load	doni
loaf	buuru
loan	juruta
loan	jurudon
local	dugulen
location	luwanse
lock	ka sɔgɔ
lockdown	yɛrɛmabɔ
log	jirikuru
lol	daba yɛlɛkan
lonely	kelenpe
long	jamanjan
long time no see	ne mɛnnan ka i ye
look	ye
look	filɛ
loop	bukulu
loose	ɲamatunu
loose	yoloyolo
loose	sa
lord	matigi
lose	bɔnɛ
lose	tunu
loss	bɔnɛ
lost	tununa
lot	kenè
loud	daba
lounge	tanuli
love	jarabi
love	kanuya
love	kanu
love you	b'i fɛ
lovely	dusumandi
low	kadɔgɔ
lower	ka lajigin
loyal	kunkelen
loyalty	hɔrɔnya
luck	kunna
lucky	kunnadiya
Luganda	Lugandakan
luggage	minanw
lump	bagakuru
lunch	tilela
lungs	fogonfogon
luxury	fɛnw cɛ ɲumanw
lying	galon tigɛ
machine	mansin
mad	fatɔ
madam	madamu
made	min kɛra
magazine	gafe
magnificent	cɛɲɛn
maid	denni
main	kunma
maintain	ladamu
maintenance	ladon
Maithili	Maithilikan
major	kunma
majority	faanba
make	kɛ
make up	makiyali
male	cɛɛ
male	cɛman
mall	kɛsu
man	cɛ
man	cɛman
manage	dɛmɛdɛmɛ
manage	mara
manage	lasago
management	kuntigiya
manager	kunnasigibaga
mandatory	diyagoyanin
manifest	i nisɔn jira kɛ
manipulate	ka kulonkɛ
manner	cogoya
manual	min bɛ fɛn bolo la
many	caman
many many happy returns of the day	ala ka nafa caaman caaman d'i ma bi
march	marisikalo
margin	danfara
market	lɔgɔ
market	sugu
marriage	furu
married	furula
mask	masiki
mass	jamaculu
mass	jama
massive	bélé béléba
master	matigi
master	kunkolo
match	alimɛti
mate	tɔɲɔgɔn
material	minan
math	matematiki
math	jatikalan
matter	baasi
matter	kunko
matter	ko
maturity	baliguya
may	be se ka
may	bi se ka
maybe	adɔrɔ
maybe	nasɔrɔ
me	nne
me	n
me too	nne fana
meal	dumuni
mean	ceguman
mean	kɔnɔnajugu
mean	juguman
meaning	kɔrɔ
means	kɔrɔ
meant	kɔrɔye
meanwhile	yanni o tuma cɛ
measure	jati
measure	hakɛsuma
measures	sariyaw
measures	dama
measures	bɛrɛ
meat	sogo
medical	dɔgɔtɔrɔya
medicine	fura
meditation	kɔnɔnamiiri
medium	hakɛ
meet	lajɛba
meet	bɛn
meet	kunbɛn
meeting	ɲɔgɔnye
Meiteilon	Meiteilonkan
melt	ka yeele
memories	hakili
memory	hakili
mental	miriya
mention	kofɔ
mentioned	tɔgɔ fɔlen
mentor	degebaga
merchant	feerekɛla
mercy	makari
merely	gansan la
merry christmas	sambɛ sambɛ
mess	baga
mess	fisafasa
message	ci
messy	fisafasaman
metal	nɛgɛ
method	minɛbolo
method	fɛɛrɛ
method	cogo
mice	ɲinɛnw
middle	kuncɛmana
middle	camancɛ
middle	tilancɛ
midnight	dugutilan
might	faamaya
might	setigiya
mild	suman
milestone	dakun nafama
milestone	dakun sɛbɛ
military	sɔrɔdasi
milk	nɔnɔ
million	miliyɔn
mind	hakili
mindset	hakilina
mine	nne ta
mingle	ka ni don
minor	damanseenna
minute	miniti
minutes	minitiw
miracle	kabako
mirror	dubale
miscellaneous	sugu caman
mischievous	kegunman
miserable	faantan
misery	faabtanya
miss	bila
miss	tanya
miss	jɛn
miss you	i lɔgɔ be n na
missing	tununen
mission	ci
mist	bugun
mistake	fili
Mizo	Mizokan
mobile	telefɔni
mock	mayɛlɛ
mock	jagabɔ
model	mɔdɛli
moderate	ka bɛrɛbɛn
modern	kura
modest	maagililen
moist	ɲigi
moist	jiman
moisture	bugun
mold	wugu
mole	muli
mom	bamuso
moment	wagati
monday	tɛnɛ
money	wari
monitor	degebaga
monkey	sola
month	kalo
mood	nisɔn
mood	dusuman
moody	nisɔnduma
moon	kalu
moral	hakili
more	ka tɛmɛ
more	ka bon
moreover	fara
morning	sɔgɔmada
morning	sɔgɔma
mortgage	ipotɛki
most	nijuru
mostly	siyɛn caman na
mother	bamuso
motion	mosiyɔn
motivation	kun
mountain	kurun
mouse	ɲina
mouth	da
move	magamaga
move	yɛlɛma
movement	yɛlɛmayɛlɛma
movie	filimu
mrs	madamu
much	caaman
mud	bɔgɔ
mug	min filen
