abandoned	छोड़ल
For example	उदाहरण खातिर
forget	भुलल
forgive	माफ कईल
forgot	भूला गईले
for instance	मिसाल के तौर पर
fork	कांटा
formal	औपचारिक
former	जवन पहिले हो चुकल बा
form	फारम
fortunately	भाग्यवश
fortune	भाग्य
forty-two	बयालीस
forty	चालीस
forward	आगे
for you	तहरा खातिर
for	खातिर
foster	पालन-पोषण कईल
fought	लड़ले
foundation	नींव
found	मिल गयिल
fourteen	चौदह
four	चार
fox	लोमड़ी
fragile	नाजुक
framework	ढांचा
frame	ढांचा
fraud	धोखा
freak	सनकी
freedom	आजादी
freeze	फ्रीज
free	बेपइसा के
frequency	आवृत्ति
frequently	अकसर
frequent	बार-बार
fresh	ताजा
friday	शुक
fridge	जम गईल
friendly	मित्रवत
friendship	ईयारी
friends	ईयार
friend	संघतिया
frightened	डरल
frightening	डरावना
frog	मेढक
from	से
front	सामने
frozen	जमल
fruit	फल
frustrated	हताश
fuel	ईंधन
Fulfulde	फुलफुल्दे
full	भरल
function	परोजन
fundamental	मौलिक
funeral	अंतिम संस्कार
funny	मजगर
fun	मस्ती
furious	आगबबूला
furniture	काठ के बनल सामान
furthermore	अऊरो
further	एकर अलावा
fur	छाल
future	भविष्य
gain	फायदा
game	खेल
gap	अंतर
garage	गैराज
garbage	कचरा
garden	बगईचा
garlic	लहसुन
gate	दरवाजा
gathering	जलसा
gather	इकट्ठा भईल
gauge	नाप
gave	दैहनीं
gear	गियर
gender	लिंग
generally	आम तौर पर
general	साधारन
generate	उपजावल
generation	पीढ़ी
generous	दिलदार
genius	प्रतिभावन
genre	शैली
gentle	सज्जन
genuine	असली
gesture	हाव-भाव
get dressed	तईयार हो जा
getting	पावल
get up	उठ जा
get well soon	जल्दी निरोग होईं
get	प्राप्त
ghosting	छलावा
ghost	भूत
giant	बहुते बड़हन
gift	भेंट
ginger	अदरक
girlfriend	प्रेमिका
girl	लइकी
given	दिहल गईल
give up	छोड़ दिहल
give	दिहीं
glad	खुश
glance	झलक
glasses	चश्मा
glass	कांच
glimpse	झलक
global	वैश्विक
gloomy	उदास
gloves	दस्ताना
glow up	चमकल
glow	चमक
glue	गोंद
go ahead	आगे बढ़ऽ
goals	लक्ष्य
goal	मकसद
goat	बकरी
go away	भाग जा
god bless you	भगवान रऊर भला करस
god	भगवान
goes	जात बा
going to	जा रहल बानीं
going	जा रहल बा
gold	सोना
gone	गईले
gonna	जा रहल बानीं
good afternoon	शुभ दूपहरिया
good bye	अलविदा
goodbye	अलविदा
good day	दिन सुभ हो
good evening	शुभ संध्या
good job	बहुत बढ़िया
good looking	सुनर
good luck	मंगल होखे
good morning my love	हमरा जान के सुप्रभात
good morning	शुभ प्रभात
goodnight	शुभ रात
good night	शुभ रात्री
goods	सामान
good	नीमन
Google Translate	गूगल अनुवाद
Google	गूगल
goose	बत्तख
goo	कवनो चिपचिपा पदार्थ
gorgeous	खूबसूरत
gossip	गपशप
got it	समझ गईनीं
go to bed	सुते जा
got	मिलल
government	सरकार
go	जाईं
grab	झपटल
grade	कक्षा
gradually	धीरै-धीरै
graduate	स्नातक
grain	अनाज
granted	दिहल गईल
grant	माली मद्द
grapes	अंगूर
grasp	पकड़ल
grass	घास
grateful	आभारी
gratitude	कृतज्ञता
grave	समाधि
gray	धूसर
great	बढियाॅंं
greedy	लालची
greed	लालच
green	हरियर
greetings	अभिवादन
greeting	अभिवादन
greet	अभिवादन कईल
grey	धूसर
grid	ग्रिड
grief	शोक
grind	पीस
grip	पकड़
grocery	किराना
groom	दूलहा
gross	सकल
ground	ज़मीन
group	समूह
growth	विकास
grow	बढ़ल
grumpy	क्रोधी
Guarani	गुआरानी
guarantee	गारंटी
guard	रक्षक
guess	पहिचानीं
guest	मेहमान
guidance	दिशानिर्देश
guide	मार्गदर्शन
guilty	दोषी
guys	लोग
guy	लोग
gym	जिम
habitat	ठौर-ठिकाना
habit	आदत
had	के पास रहल
hail	ओसा
hair	बार
half	आधा
hall	सभामंडप
handle	हेंडिल
handsome	सुघर
hand	हाथ
hang out	अड्डा
hang	टंगाई
happened	भईल
happen	भईल
happiness	खुसी
happy birthday to you	जनमदिन मंगलमय हो
happy birthday	जन्म दिन के शुभ कामना
happy new year	नया साल के सुभकामना
happy	खुश
hardly ever	सायदे कबो
hardly	मुसकिल से
hard	कड़ा
harmful	हानिकारक
harmony	सद्भाव
harm	नुकसान
harsh	कठोर
harvest	कटाई
has	के पास
hate	घिन
have a good day	राऊर दिन शुभ रहे
have a nice day	तहार दिन बढ़िया रहे
have breakfast	कलेवा क लऽ
have fun	मजा करऽ
have you eaten	का तू खा लेले बाड़ऽ
have	पास
having	लगे रहल
hazard	जोखिनम
haze	धूंध
headache	कपार दरद
head	कपार
healing	इलाज
healthy	भला चंगा
health	स्वास्थ
heal	घाव ठीक भईल
heard	सुनाइल
heart	दिल
hear	सुनल
heat	गरम
heaven	स्वर्ग
heavy	भारी
hectic	व्यस्तता से भरल
he has	ओकरा लगे
height	ऊँचाई
heir	वारिस
heist	सेंधमारी
he is	ऊ हऊअन
held	पकड़ल
hello dear	ए सुन ना डियर
hello how are you doing	काहो का चलता
hello how are you	राम राम, कईसन बाड़ऽ
Hello	प्रणाम
hell	नरक
helmet	हेलमेट
helpful	मददगार
help	मदद
hence	एह से
herd	झुंड
here	इहाॅंं
heritage	विरासत
her	ऊनकर
hesitate	झिझक
Hey	अरे
he	ऊ
hidden	छिपल
hide	लुकाइल
hierarchy	पदक्रम
highlight	मुख्य आकर्षण
high	ऊँच
hi how are you	काहो कईसन बाट
hike	बढ़ोतरी
hiking	ढेर दूर ले पैदल सफर
hilarious	आनंददायक
hill	टीला
him	उनके
hint	इशारा
hips	कूल्हा
hip	कूल्हा
hire	किराया प दिहल
hiring	भर्ती
history	इतिहास
his	उनकर
Hi there	राम-राम
hit	पीटल
Hi	एहो
Hmm	हम्म
hobby	शौक
hold on	रूकऽ
hold	पकड़
hole	छैद
holiday	छुट्टी के दिन
hollow	खोखला
homework	गृहकार्य
home	घर
honestly	ईमानदारी से
honest	ईमानदार
Honey	मध
honor	सम्मान
hood	ओढ़नी
hook	हुक
hopefully	उम्मीद बा
hopeless	नाउम्मीद
hope	उम्मेद
hop	छलांग
horizontal	क्षैतिज
horn	सींग
horrible	डरावना
horror	डर
horse	घोड़ा
hospitality	सत्कार
hospital	अस्पताल
hostile	विरोधी
host	जजमान
hotel	होटल
hot	गरम
hours	घंटा
hour	घंटा
household	गिरस्ती
house	घर
how about you	रऊआ कईसन बानी
how are you doing today	आज का चलता
how are you doing	का चलता
how are you today	का हाल बा आज
how are you	का हाल बा
how do you do	रऊआ कईसन बानीं
however	हालांकि
how is	कईसन बा
how many	केतना
how much	कतना
how often	केतना बार
how old are you	रऊवाॅंं क साल क बानी
how was your day	तहार दिन कईसन बीतल
how was your night	तहार रात कईसन बीतल
how	कईसे
hubby	पति
hub	हब
huge	बड़
hug	सीना से लगावल
human	इंसान
humble	रहनदार
humidity	नमी
humid	नम
hundred	सौ
hungry	भूखा
hunt	शिकार
hurricane	तूफान
hurry up	जल्दी करऽ
hurry	जलदी करऽ
hurt	घाव लागल
husband	खसम
hustle	धक्का दिहल
hut	कुटिया
hygiene	स्वच्छता
I am fine	हम ठीक बानी
I am	हम हईं
I can't	हम नईखी सकत
I can	हम कर सकेनीं
ice cream	आइसक्रीम
ice	बरफ
ideal	आर्दश
idea	विचार
identical	समान
identify	पहचान
identity	पहिचान
idiot	बेवकूफ
idle	आलसी
I do not know	हम नईखी जानत
I do not understand	हम नईखी समझत
I don't know	हम ना जनेलीं
I don’t know	हमरा नईखे पता
I don't understand what you mean	हम ना समझनीं कि तू का कहल चाहतारऽ
I don't understand you	हम तोहके ना समझनी
I don't understand	हमके समझ में नईखे आवत
I don’t understand	हम ना समझनी
I don't	हम ना
I do	हम करेनी
if	अगर
ignore	देखि के अनदेखा कयिल
i guess	हमरा लागत बा
I had	हम कईनीं
I have been	हम कईले बानी
I have	हमरा लगे बा
I hope so	हमरा आसा बा
I know	हम जानत बाटी
I like you	हम तोहरा के पसंद करीले
I like	हमरा पसंद बा
illegal	अवैध
illness	बेमारी
ill	बेमार
Ilocano	इलोकानो
I love my big brother	हम आपना बड़का भाई के प्यार करिले
I love my big sister	हम आपना बड़की बहिन के प्यार करिले
I love my father	हम आपना बाबूजी के प्यार करिले
I love my little brother	हम आपना छोटका भाई के प्यार करिले
I love my little sister	हम आपना छोटकी बहिन के प्यार करिले
I love my mother	हम आपना मई के प्यार करिले
I love you so much	हम तहरा से बहुते परेम करेनीं
I love you too	हमहूं तोहसे प्यार करीले
I love you	हम तोहसे प्यार करेलीं
I love	हम प्यार करिले
image	छवि
imagine	कल्पना करीं
I mean	हमार मतलब बा
I'm fine	हम बढ़िया बानीं
I'm good	हम अच्छा बानी
I'm here	हम एहिजा बानीं
I miss you so much	हम तोहके बड़ा ईयाद करिले
I miss you	तहार इयाद आवत बा
immediately	तुरंत
immediate	तुरंत
immense	बहुते अधिक
impact	असर
impatient	बेताब
implement	अमल में लियावल
important	महत्वपूर्ण
import	आयात
impose	थोपल
impossible	असंभव
impression	प्रभाव
impressive	परभावशाली
impress	ठप्पा
improvement	सुधार
improve	सुधार
I'm sorry	हमरा के माफ करीं
I'm	हम हईं
I’m	हम हईं
in addition	एकरा अलावा
inappropriate	अनुचित
incentive	प्रोत्साहन
incident	घटना
include	सामिल कईल
including	समेत
income	कमाई
inconvenience	असुविधा
increased	बढ़ल
increase	बढ़ल
incredible	अजगुत
indeed	सच्चो
independent	आजाद
India	भारत
indicate	इंगित कईल
indigenous	मूल निवासी
individual	बेकती
industry	उद्योग
inevitable	जवन टालल ना जा सके
In fact	दरअसल
infant	शिशु
infection	संक्रमण
infinity	अनंत
inflammation	सूजन
inflation	मुद्रास्फीति
influence	चलती
information	खबर
inform	सूचित करीं
in front of	एकरा सामने
ingredients	सामग्री
inheritance	विरासत
initial	शुरुआती
initiative	पहल
injured	चोटग्रस्त
injury	चोट
innocent	शरीफ
innovation	नया खोज
in order to	ताकि
inquiry	जांच
insane	पगलेट
insect	कीड़ा-मकोड़ा
insecure	असुरक्षित
insert	डालीं
inside	भीतर
insight	अंतर्दृष्टि
insist	जोर दिहल
insomnia	नींद ना आवल
inspiration	प्रैरणा
inspire	प्रेरित कईल
install	स्थापित करऽ
instance	उदाहरण
instant	तुरंत
instead of	एकरा बजाय
instead	बदला में
instructions	निर्देश
instrument	औजार
insult	अपमान
insurance	बीमा
intact	बरकरार
integrity	सच्चाई
intellectual	बुद्धिजीवी
intelligence	अकलमंदी
intelligent	होशियार
intended	इच्छित
intend	इरादा
intense	तीव्र
intention	इरादा
interaction	परस्पर क्रिया
interact	मेलजोल कईल
interested	दिलचस्पी
interesting	मजदार
interest	सूद
interfere	बीच में पड़ल
intermediate	मध्यवर्ती
internal	भीतरी
international	अंतरराष्ट्रीय
internship	इंटर्नशिप
interpreter	दुभाषिया
interpret	व्याख्या कईल
interrupt	रुकावट डालल
interview	साक्षात्कार
intimate	इत्तिला कईल
into	में
introduce	परिचय
introduction	परिचय
introvert	अंतर्मुखी
intuition	सहज ज्ञान
invalid	अमान्य
inventory	सूची
invent	ईजाद कईल
investigate	छीन-बीन कईल
invest	निवेश करीं
invitation	नेवता
invite	नेवता पठाईं
invoice	चालान
involved	शामिल
involve	सामिल
in	में
iron	लोहा
I see	हम देखतानी
island	द्वीप
isolated	पृथक
issues	समस्या
issue	मुद्दा
items	वस्तू
item	सामान
I think	हम सोचतानी
it is	ई ह
It's okay	ई ठीक बा
it's ok	ठीक बा
its	इसका
it's	ई हऽ
it was	ई रहे
it	इ
I understand	हम समझत बानीं
I want to see you	हम तोहसे मिलल चाहतानी
I want you	हम तोहके चाहनीं
I want	हम चाहतानी
I was	हम रहनीं
I will	हम करेबि
I would be	हमार होई
jacket	जैकट
jail	जेल
January	जनवरी
jar	जार
jaw	जबड़ा
jealous	डाही
jerk	झटका
jewelry	गहना
job	नौकरी
jogging	धीरै-धीरे चलल
joint	जोड़
join	ज्वाइन
joke	मजाक
journalist	पत्रकार
journey	सफर
joy	हर्ष
judge	लाट साहेब
juice	रस
july	जुलाई
jump	कूदल-फांदल
june	जून
junk	कचरा
just do it	बस करि दऽ
justice	न्याय
justify	सही साबित कईल
just	अबहीं
Kalaallisut	कलाल्लिसुत
keen	तेज
keep it up	एके जारी रखऽ
keep	रख्खल
kept	रखल बा
kettle	केतली
key	चाभी
kick	लात मारल
kidding	मजाक
kidney	गुरदा
kids	बच्चा
kid	बच्चा
kill	हत्या
kinda	तरह के
kindly	कृपया
kindness	दयालुता
kind	दयालू
king	राजा
kiss	चुम्मा
kitchen	रसोईघर
kite	पतंग
kitten	बिल्ली का बच्चा
knee	घुटना
knew	जानत रहनीं
knife	छुरी
knight	शूरवीर
knowledge	ग्यान
known	ज्ञात
know	जानल
Konkani	कोंकणी
Krio	क्रियो
label	लेबल
labor	मजदूर
labour	मजदूर
lack	कमी
ladder	साढ़ी
lady	महिला
laid	लेटावल
lake	झील
lamb	मेमना
lame	लूला
lamp	दिया
landscape	परिदृश्य
land	जमीन
language	भाखा
lap	भाग
large	बड़हन
last but not least	अंतिम लेकिन कम महत्वपूर्ण नईखे
last name	अंतिम नाम
last	अंतिम
lately	हाल ही में
later	बाद में
latest	सबसे हाल के
late	देरी
latter	बाद वाला
laughing	हंसल
laughter	हँसी
laugh	हँसल
launch	शुरुआत
laundry	धोबीघाट
lawn	मैदान
lawyer	बकील
law	कानून
layer	परत
layout	खाका
lay	नकशा
lazy	असकतियाह
leader	नेता
lead	आगे होखल
leaf	पतई
leak	रिसाव
lean	दुबला
leap	उछाल
learning	ज्ञानार्जन
learn	सीखल
lease	पट्टा
least	कम से कम
leather	चमड़ा
leaves	छुट्टी
leave	छुट्टी
led	राह देखवले
left	छोड़ देलन
legacy	विरासत
legal	कानूनी
legend	दंतकथा
legit	वैध
leg	पांव
leisure	फुरसत
lend	कर्जा दिहल
length	लंबाई
lesson	सबक
less	कम
letter	चिट्ठी पतरी
lettuce	सलाद
let	होखे दीं
level	स्तर
leverage	फायदा उठाईं
liability	देनदारी
library	पुस्तकालय
lick	घूंसा
lies	लेटल
lie	झूठ
life	जिनगी
lift	उठावल
lightning	बिजली
light	उजियार
likely	संभावित
likewise	वईसे ही
like	पसन
line	रेखा
Lingala	लिंगाला
link	संपर्क
lion	शेर
liquid	तरल
listening	सुनल
listen	सुनीं
list	सूची
literally	पूरा तरह से
literature	साहित्य
litter	कूड़ा
little	छोट
liver	कलेजा
lives	रहेला
live	जियल
living room	बईठका
living	रहन-सहन
lizard	छिपकली
load	भार
loaf	पावरोटी
loan	उधार
local	स्थानीय
location	अस्थान
lockdown	तालाबंदी
lock	ताला
log	लट्ठा
lol	ठहाकेदार हँसी
lonely	अकेला
long time no see	बहुत समय से नईखऽ मिलल
long	लाम
look	देखीं
loop	कुंडली
loose	ढीला
lord	भगवान
lose	हेराइल
loss	नुकसान
lost	भूला गयिल
lot	बहुते
loud	जोर से
lounge	लाउंज
lovely	प्यारा
love you	तोहके प्यार करिले
love	प्यार
lower	निचला
low	कम
loyalty	निष्ठा
loyal	बफादार
lucky	भाग्यशाली
luck	भाग्य
Luganda	लुगांडा
luggage	सामान
lump	गांठ
lunch	दुपहरिया के खाना
lungs	फेफड़ा
luxury	विलासिता
lying	झूठ बोलल
machine	मशीन
madam	महोदया
made	बनल
mad	पगलेट
magazine	पत्रिका
magnificent	सानदार
maid	नौकरानी
maintain	बनवले राखल
maintenance	रखरखाव
main	मेन
Maithili	मैथिली
majority	बहुमत
major	बड़हन
make up	शृंगार
make	बनावल
male	मरद
mall	मॉल
management	प्रबंधन
manager	प्रबंधक
manage	बंदोबस्त कईल
mandatory	बहुत जरूरी
manifest	घोषना कईल
manipulate	हेरफेर कईल
manner	तौर-तरीका
manual	हाथ से कईल
many many happy returns of the day	ई दिन बार-बार आवो
many	ढेर
man	आदमी
march	मार्च
margin	हाशिया
market	मंडी
marriage	बियाह
married	बियाहल
mask	मुखौटा
massive	काफी विशाल
mass	समूह
master	माहटर साहेब
match	मैच
material	सामान
mate	दोस्त
math	गणित
matter	मामला
maturity	परिपक्वता
maybe	हो सकेला
may	हो सकेला
meal	खाना
meaning	मतलब
means	माने
meant	मतलब
meanwhile	ए बीच
mean	माने
measures	उपाय
measure	नापल
meat	मांस
medical	चिकित्सा
medicine	दवाई
meditation	समाधि
medium	माध्यम
meeting	बईठक
meet	मिलल
Meiteilon	मैतैलोन
melt	पिघलाव
memories	ईयाद
memory	ईयाद
mental	मानसिक
mentioned	उल्लिखित
mention	जिकिर
mentor	सलाहकार
merchant	सौदागर
mercy	दया
merely	महज
merry christmas	क्रिसमस के बधाई
message	सनेस
messy	गंदा
mess	झमेला
metal	धातु
method	विधि
me too	हमहूॅंं
me	हम
mice	चूहा
middle	मध्य
midnight	आधी रात
might	हो सकेला
mild	हलुक
milestone	मील के पथर
military	सेना
milk	दूध
million	दस लाख
mindset	मानसिकता
mind	मगज
mine	हमार
mingle	आपस में मिलल
minor	नाबालिग
minutes	मिनट
minute	मिनट
miracle	चमत्कार
mirror	आइना
miscellaneous	विविध
mischievous	शरारती
miserable	घिनौना
misery	दुरगति
missing	लापता
mission	ध्येय
miss you	तोहकै ईयाद करीलै
miss	कुमारी
mistake	गलती
mist	कोहरा
Mizo	मिज़ो
mobile	मोबाइल
mock	दिखावटी
model	नमूना
moderate	उदार
modern	आधुनिक
modest	आडंबरहीन
moisture	नमी
moist	नम
mold	ढालल
mole	छछूंदर
moment	पल
mom	माई
monday	सोमार
money	रुपिया
monitor	निगरानी कईल
monkey	बानर
month	महीना
moody	तुनकमिजाज
mood	मन
moon	चाँद
moral	नैतिक
moreover	एकरा अलावे
more	अधिका
morning	भोर
mortgage	रैहन
mostly	ज्यादातर
most	अधिका
mother	माई
motion	गति
motivation	प्रैरणा
mountain	पहाड़
mouse	मूस
mouth	मुँह
movement	हरकत
move	चलल
movie	मूवी
mrs	सिरीमती
much	ढेर
mud	पांक
mug	लोटा
muscle	मांसपेशी
museum	संग्रहालय
mushroom	कुकुरमुत्ता
music	संगीत
must	जरूर
mute	गूंगा
mutual	आपसी
My dear	हमार जानेमन
my friend	हमार ईयार
My hovercraft is full of eels	हमार होवरक्राफ्ट ईल से भरल बा
my love	हमार मोहब्बत
my name is	हमार नांव हऽ
my pleasure	हमार सौभाग्य
myself	हम खुद
mysterious	रहस्यमय
mystery	रहस्य
myth	मिथक
my	हमार
nail	नाखून
naive	अनाड़ी
name	नांव
narrative	कहानी
narrow	पातर
nasty	बेहाया
nationality	राष्ट्रीयता
national	राष्ट्रीय
native	पैदाइशी
natural	स्वाभाविक
nature	चाल चलन
nausea	उबकाई
nearby	नियरा
nearly	लगभग
near	भीरी
neat	साफ सुथरा
necessary	जरूरी
necklace	हार
neck	गरदन
need	जरूरत
negative	नकारात्मक
neglect	उपेक्षा कईल
negotiate	मोल-भाव कईल
neighborhood	अड़ोस-पड़ोस
neighbor	पड़ोसी
neither	ना ई ना ऊ
nephew	भतीजा
nerd	पढ़ाकू
nervous	अउंजाइल
nest	घोंसला
network	नेटवर्क
net	जाल
neutral	बेपरवाह
never give up	कबो हार मत मानऽ
never mind	कवनो बात ना
nevermind	कवनो बात ना
nevertheless	तब्बो
never	कब्बो ना
news	खबर
new	नया
next to	एकरा आगे
next	अगिला
nice to meet you	रऊवाॅंं से मिलके अच्छा लागल ह
nice	सुंदर
niece	भतीजी
nightmare	खराब सपना
night	रात
nineteen	उनईस
ninety	नब्बे
nine	नौ
nobody	केहू ना
noise	शोरगुल
noisy	शोर
none	कवनो ना
noon	दुपहरिया
nope	ना
no problem	कवनो बात ना
normal	सामान्य
north	उत्तर
nor	आउर ना
nose	नाक
nostalgic	ईयाद में आतुर
not at all	बिलकुल ना
not bad	बुरा नईखे
noted	मशहूर
note	धेयान दीं
nothing	कुछु ना
noticed	ध्यान दिहल गईल
notice	सूचना
Not now	अबहिं ना
not yet	अभी तक ना
not	नाहीं
nouns	संज्ञा
noun	संज्ञा
novel	उपन्यास
november	नवंबर
nowadays	आजुकाल्हि
no way	बिलकुल ना
now	अबहिं
No	ना
nuisance	उपद्रव
null	कुछ ना
number	संख्या
numb	सुन्न पड़ गईल
nurse	नर्स
nutmeg	जायफल
nutrition	पोषण
nut	सनकी
oath	कसम
obesity	मोटापा
obey	कहना मानल
objective	उद्देश्य
object	वस्तु
obligation	बाध्यता
obscure	अस्पष्ट
observation	अवलोकन
observe	गौर से देखल
obsessed	भूत ध लिहल
obsession	जुनून
obsolete	अप्रचलित
obstacle	रूकावट
obtained	प्राप्त
obtain	पावल
obviously	सफ्फा-सफ्फा
obvious	स्पष्ट
occasionally	कबो-काल्ह
occupation	कार-बार
occupied	कब्जा कईल
occurred	भईल
occurs	होत बा
occur	होखल
ocean	सागर
october	अक्टूबर
odds	अंतर
odd	बिचित्र
of course	जरूरे
offensive	अप्रिय
offer	ऑफर
office	कार्यालय
official	अधिकारी
off	बंद
often	कई बारी
of	का
oh really	का सचहूं
Oh	ओह
oil	तेल
okay baby	ठीक बा जान
okay dear	ठीक बा, जान
okay honey	ठीक बा, जानेमन
okay my love	ठीक बा, जानम
okay	ठीक बा
ok dear	ठिक बा जानेमन
ok honey	ठीक बा जानेमन
ok my love	ठीक बा हमार जान
ok	ठीक बा
old	बूढ़
once	एक बार
one language is never enough	एगो भाखा कबो पर्याप्त ना होला
one	एगो
onion	पियाज
online	ऑनलाइन
only	खाली
on	ऊपरे
open	खुला
operation	संचालन
opinion	राय
opportunities	अवसर
opportunity	मौका
opposite	उल्टा
optimistic	आशावादी
optional	ऐच्छिक
option	विकल्प
orange	संतरा
order	आदेश
ordinary	सधारन
organization	संगठन
orientation	अभिविन्यास
original	असली
origin	मूल
Oromo	ओरोमो
orphan	अनाथ
or	अऊर
otherwise	ना त
other	दोसर
ought	कुछुओ
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	हमनी के ध्येय: हर केहू के, हर दुनिया के समझे में अऊरी विभिन्न भाखा-बोली में खुद के अभिव्यक्त करे में समर्थ।
Our mission: to organize the world's information and make it universally accessible and useful.	हमनी के ध्येय: दुनिया के जानकारी के इकट्ठा कईल अऊरी एके सबे केहू खातिर सुलभ आ उपयोगी बनावल।
our	हमन क
outcome	परिणाम
outfit	पोशाक
outgoing	जाए वाला
outlet	दुकान
outline	रूपरेखा
outside	बहरी
outstanding	बाकी
out	बहरी
oven	भट्ठी
overall	कुल मिला के
overcome	काबू पावल
over there	उहवां
overthinking	जादा सोचल
overwhelmed	भाव में बहि गयिल
overwhelming	ज़बरदस्त
over	ऊपर
owe	कर्जदार होखल
owl	उल्लू
owner	मालिक
own	आपन
ox	बैल
pace	चाल
package	पैकेज
pack	पैक
paid	भुगतान भईल
painting	चित्र
paint	पेंट
pain	दरद
pair	जोड़ा
pale	फीका
palm	हथेली
pandemic	महमारी
panic	घबराहट
pants	पैंट
pan	कड़ाही
paper	कागज
paradise	स्वर्ग
parallel	समानांतर
parcel	पारसल
pardon	माफ करीं
parents	माई-बाप
park	पार्क
parrot	सुग्गा
parsley	अजवायन
participate	हिस्सा लिहल
particularly	खास तौर पर
particular	खास
partner	संगी
party	दल
part	अंश
passage	मार्ग
passed	बीत गईल
passionate	जोशीला
passion	सनक
passive	निष्क्रिय
password	पासवर्ड
pass	पास
past	अतीत
patch	चेपी
pathetic	दयनीय
path	राह
patience	धीर
patient	मरीज
pattern	परकार
pause	ठहराव
pavement	फुटपाथ
payment	भुगतान
pay	भुगतान
peaceful	शान्तिपूर्ण
peace	शांति
peach	आड़ू
peak	चोटी
pear	नाशपाती
peas	छेमी
peculiar	विशेष
peel	छाल
peers	संगी-साथी
peer	समकक्ष मनई
pee	पेशाब
pencil	पेंसिल
pending	फँसल
pen	कलम
people	लोग
pepper	काली मिर्च
perceive	महसूस कईल
perception	सोचावट
perfect	एकदम ठीकठाक
performance	प्रदर्शन
perform	तमाशा कईल
perhaps	शायद
period	अवधि
permanent	स्थायी
permission	अनुमति
permit	परमिट
perseverance	जिद
persistent	लगातार
personality	व्यक्तित्व
personal	व्यक्तिगत
person	आदमी
perspective	नजरिया
persuade	फुसुलावल
pervert	गुमराह मनई
pet	पालतू जानवर
phase	अवस्था
phenomenon	घटना
philosophy	दरसन
phone	फोन
photo	तस्वीर
phrase	मुहावरा
physical	भौतिक
pick up	उठावल
pick	चुनाई
picture	तसवीर
pieces	टुकड़ा
piece	टुकड़ा
pigeon	कबूतर
pig	सूअर
pile	ढेर
pillow	तकिया
pilot	पायलट
pineapple	अनानास
pink	गुलाबी
pin	पिन
pitch	अलकतरा
pity	मन पसीजल
pit	गड़हा
places	जगह
place	जगह
plague	प्लेग
plain	सादा
plane	हवाई जहाज़
plants	पौधा
plant	पवधा
plan	योजना
plate	थरिया
platform	मंच
playing	खेलल
play	खेला
pleasant	सुखद
pleased	प्रसन्न
please	कृप्या
pleasure	मजा
pledge	प्रतिज्ञा
plenty	भरपूर
plot	प्लाट
plug	प्लग
plumber	नलसाज
plum	बेर
plural	बहुचन
podcast	पॉडकास्ट
poem	कविता
poetry	कविता
point	बिंदु
poison	जहर
police	पुलिस
policy	नीति
polite	सरीफ
pollution	प्रदूसन
pond	तालाब
pool	कुंड
poop	गौली चलने के आवाज
poor	गरीब
popular	लोकप्रिय
population	आबादी
pop	पॉप
pork	सुअर के मांस
porridge	लपसी
port	बंदरगाह
position	दरजा
positive	आशावादी
possession	कबजा
possessive	केहू पर हक जताए वाला
possess	काबू कईल
possible	संभव
postpone	आगे पर टाल दिहल
post	डाक
potato	आलू
potential	संभावित
pound	बाड़ा
poverty	गरीबी
powerful	शक्तिशाली
power	जोर
practical	व्यावहारिक
practice	अभ्यास
praise	प्रशंसा
prank	शरारत
pray	प्रार्थना
precious	कीमती
precisely	ठीक-ठीक
precise	सटीक
predict	भविष्यवाणी कईल
preference	तरजीह
prefer	पसंद
pregnant	गभर्वती
prejudice	पूर्वाग्रह
premises	परिसर
premium	प्रीमियम
preparation	तईयारी
prepared	तईयार
prepare	तइयारी कयिल
preposition	पूर्वसर्ग
presence	उपस्थिति
presentation	प्रस्तुति
present	वर्तमान
preserve	सहेजी
president	राष्ट्रपति
pressure	दबाव
press	इस्तरी
pretend	बहाना बनावल
pretty	सुंदर
prevent	मना कयिल
previous	पिछिला
prey	शिकार कईल
price	दाम
pride	गुमान
priest	पुजारी
primary	प्राथमिक
prime	प्रधान
princess	राजकुमारी
principal	प्रधानाध्यापक
priority	परधानता
prior	पहिले
prison	जेल
privacy	गोपनीयता
private	प्राइवेट
privilege	विशेषाधिकार
prize	इनाम
probably	हो सके
problem	परेशानी
procedure	तरीका
proceed	आगे बढ़ऽ
process	प्रक्रिया
produce	उपज
production	उत्पादन
product	उत्पाद
professional	पेशेवर
profession	पेशा
profile	प्रोफाइल
profit	फायदा
profound	खोह
progress	आगे बढ़ल
project	परियोजना
prominent	महत्वपूर्ण
promise	वादा
promote	बढ़ावा दिहल
promotion	तरक्की
prompt	तत्पर
prone	औंधा
pronouns	सर्वनाम
pronunciation	उच्चारण
proof	सबूत
properly	अच्छा तरह से
properties	गुण
property	धन-दउलत
proper	ठीक
proposal	प्रस्ताव
prospect	संभावना
prosperity	संपन्नता
prosperous	समृद्ध
protect	बचावल
proud	गुमान
prove	साबित करऽ
provided	दिहल गईल
provide	देईं
province	प्रान्त
provision	प्रावधान
puberty	तरुनाई
public	जनता
pull	खींचल
pumpkin	कोंहड़ा
punctual	समय के पाबंद
pupil	छात्र
purchase	कीनल
pure	पवित्र
purple	बैंगनी
purpose	माने
purse	बटुआ
pursue	लागल रहल
pursuit	पीछा
push	धक्का
put	राखि दिहीं
qualification	योग्यता
quality	गुण
