Un	a
Xochitl	flower
tsonpili	flu
yuyujui	fluent
con fluidez	fluently
pachontik	fluffy
fluido	fluid
pantli	fly
tlaixiuilistli	focus
ayauitl	fog
tlamixtemi	foggy
kuexpacho	fold
ikniutin	folks
totokati	follow
tepostoka	follow up
siguiente	following
tlakuali	food
kuauiuiti	fool
xolopitli	foolish
mets	foot
fútbol	football
para	for
tetlapolotia	For example
xi yeyekoli	for instance
tlen ta	for you
achiualoni	forbidden
chikaulistli	force
tlayolteouilistli	forecast
ixpan	forehead
koyotl	foreign
tlauitlanti	forest
nochipa	forever
kilkauaj	forget
tlapopoljui	forgive
kilkalki	forgot
teposnakateki	fork
tlapoaltlakuiloli	form
nitse	formal
achtopan	former
tlen itonal	fortunately
tlatkitl	fortune
ompoali	forty
ompoali uan ome	forty-two
axtui	forward
tiselis	foster
nitla uilanki	fought
nipanti	found
peualistli	foundation
naui	four
matlaktli uan naui	fourteen
ostoatl	fox
yamanik	fragile
nautlateuili	frame
armazón	framework
tlakakayali	fraud
xolotl	freak
amotlainaketl	free
tlanemakayotl	freedom
istik	freeze
ajachika	frequency
achi nochipa	frequent
achi nochipa	frequently
seseltik	fresh
viernes	friday
teposesekayotl	fridge
uampo	friend
ijuitoloni	friendly
ijniuamej	friends
ikniyotl	friendship
majmajtli	frightened
tlamamajketl	frightening
xokualochi	frog
in	from
kuajtol	front
semiktli	frozen
ijtlajka	fruit
polantok	frustrated
tlen tlatla	fuel
Fulfulde	Fulfulde
temik	full
pakili	fun
tlaakiltlachiua	function
neluayotl	fundamental
tlamikilistli	funeral
pakilis	funny
tsonkal	fur
tlilkualantok	furious
tlatkitl	furniture
piui	further
nojkia	furthermore
okachiuali	future
asik tlamantli	gain
ajauili	game
kakauatik	gap
teposkauakajokui	garage
tlasoli	garbage
xochitla	garden
kosnakatl	garlic
tlatsakuiloli	gate
pixkanilistli	gather
piskanilistli	gathering
tlayeyekoua	gauge
kijto	gave
sansejkomej	gear
sesentlamantli	gender
ipanokayotl	general
ipanokayotl	generally
kitlatlani	generate
kintlakatilistli	generation
yoltkapaktitl	generous
tlalnamijketl	genius
sesentlamantli	genre
tlateokanil	gentle
sanyeyo	genuine
xoloxayakatl	gesture
tlanis	get
yoyontiya	get dressed
meualistli	get up
xomochikuaj nima	get well soon
niseliya	getting
sentlapachontli	ghost
ixpatltlakakayajketl	ghosting
tlsauejkapantik	giant
tetlautili	gift
jenginbre	ginger
ixpokatl	girl
noaxka	girlfriend
makas	give
nimo temaka	give up
patoli	given
pakilis	glad
tlachilistli	glance
teskatl	glass
ixteuilotl	glasses
kuali tlachiyali	glimpse
semanauak	global
atle pakyotl	gloomy
maixpachoa	gloves
petlani	glow
tlapetlantli	glow up
tlatlaskiltli	glue
xia	go
tlayakantok	go ahead
xiya	go away
motekas	go to bed
tlen nikasis	goal
panmachiotl	goals
tentsontli	goat
Toteko	god
toteko mistiochiuaj	god bless you
yaui	goes
youi	going
yas ne	going to
teokuitlatl	gold
yatok	gone
yas kanke	gonna
tenkualaktli	goo
kuali	good
tiotlakilti	good afternoon
timoitase	good bye
kuali tonal	good day
Tlapoyoualti	good evening
kuali tekitl	good job
kuali nenestli	good looking
kuali itonal	good luck
tonalti	good morning
tonalti no tlasojtli	good morning my love
Tlapoyoualti	good night
timoita	goodbye
tlapoyoualti	goodnight
iaxka	goods
tiremos ipan internet	Google
Tlajtolkuepa tlen Google	Google Translate
tlalalakatl	goose
tlauel yeyejtsi	gorgeous
sasamijtoa	gossip
niselij	got
nikuamachiliya	got it
tepachiolistli	government
xikiski	grab
youimachtili	grade
pilpilkentsi	gradually
mauismakitilistli	graduate
achtli	grain
tlamakaualistli	grant
tlamakauiltili	granted
xokomekatl	grapes
kiski	grasp
akakauastli	grass
tlasojkamatili	grateful
tlaxolkamakayotl	gratitude
motlalkontli	grave
tenextik	gray
ueyi	great
netlaikolistlilistli	greed
nexikoli	greedy
xoxoktik	green
ximopanolti	greet
tlajpaloli	greeting
tlajpaloli	greetings
tenextik	grey
rejilla	grid
pinaua	grief
tisi	grind
kiski	grip
xiukaloyan	grocery
tlaixnamik	groom
atlakamachtili	gross
tlali	ground
ololi	group
moskalti	grow
iskalti	growth
sankuajkualantok	grumpy
Guarani	Guarani
tlenmelauak	guarantee
tlapiani	guard
nitonalpoa	guess
tlakuanotstli	guest
tlayekanketl	guidance
tlayenkamauiliya	guide
tlaltlakoli	guilty
ajkeya	guy
pilkuekuetsin	guys
netekoliskokoyan	gym
tlamamali	habit
tepetlali	habitat
ni pixtok	had
tlaseuitstli	hail
tsonkali	hair
tlajko	half
kalmelaktli	hall
maitl	hand
euika	handle
tlakatl yeyejtsi	handsome
tlakuapiloa	hang
tiontlapanosej	hang out
pano	happen
panotok	happened
pakilistli	happiness
pakilis	happy
pakilis itonaltlakatki	happy birthday
pakilis motonalejketl	happy birthday to you
yeyejtsi yankuik xiuitl	happy new year
tetik	hard
sanok	hardly
ax axkema	hardly ever
itlakotilistli	harm
iltlakoltik	harmful
armonía	harmony
tlakualantli	harsh
pixkalistli	harvest
pixtok	has
kokoli	hate
pichtok	have
xipiya se kuali tonali	have a good day
xijpita se kuali tonali	have a nice day
tenisalistli	have breakfast
mauisoli	have fun
tijtlakuajki	have you eaten
kipixtok	having
ouilistli	hazard
mixtentli	haze
Ya	he
ya kipistok	he has
ne elij	he is
tsonteko	head
kokoua notsonteko	headache
pachiui	heal
pachiui	healing
chikaulistli	health
pakinemilistli	healthy
tlakaki	hear
nakastli	heard
yoloj	heart
totoniya	heat
eljuikak	heaven
etik	heavy
frenético	hectic
uejkapa	height
tlasemokaui	heir
tlaxtekeme	heist
nipixki	held
miktlantli	hell
Piali	Hello
piali nenejkitl	hello dear
piali kejatsa ti'istok	hello how are you
piali kejatsa ti'istok	hello how are you doing
kuachimali	helmet
tlapaleuili	help
tlatekalistli	helpful
maske	hence
tlen	her
sentlamayolkatl	herd
nika	here
tetlakakauili	heritage
amoneltika	hesitate
kaki	Hey
Piali	Hi
piali kejatsa ti'istok	hi how are you
tlachketl	Hi there
tlatitok	hidden
tlatilistli	hide
tekikayotl	hierarchy
uejkapantik	high
resaltar	highlight
nenejkayotl	hike
tepentlekoa	hiking
tlatlaueliueskayotl	hilarious
Tepexitl	hill
tlen	him
ojtli	hint
topitsauayan	hip
topitsauayan	hips
tlanekuiloa	hire
tlanekuilolistli	hiring
an	his
nemiliskayotl	history
maitl	hit
Mmm	Hmm
panonemilis	hobby
kiski	hold
chia	hold on
ostotl	hole
tekitlasiyakaketl	holiday
kakauatik	hollow
nocha	home
semiluitekitl	homework
mimatki	honest
elchipaualistli	honestly
Nektli	Honey
itaukayotl	honor
kalalajtli	hood
kuamaxali	hook
tsikuini	hop
techialistli	hope
ika tonali	hopefully
ayok temachikayotl	hopeless
auemanilistli	horizontal
tlajtoaki	horn
temanajtli	horrible
tlamamajtli	horror
kauayo	horse
kokoxkali	hospital
kokoxkalpan	hospitality
anfitrión	host
tkauilanketl	hostile
totonik	hot
axiuayani	hotel
imani	hour
imamin	hours
Kali	house
tlenistojke kalitij	household
katsa	how
tlen eltok ta	how about you
Kejatsa ti'istok	how are you
Kejatsa ti'istok	how are you doing
kejatsa elij ama motonal	how are you doing today
kejatsa ti'istok ama	how are you today
kejatsa ti'istok	how do you do
kejatsa	how is
keski	how many
keski	how much
jeje achi nochipa	how often
keski xiuitl tipiyaj	how old are you
kejatsa tipanok mo tonal	how was your day
kejatsa elki moyouali	how was your night
maske	however
tlaxantetektli	hub
ueue	hubby
nanajua	hug
tlauel ueyi	huge
maseual	human
teijnelsi	humble
achixolontok	humid
kuachauastli	humidity
makuilpoali	hundred
mayankayotl	hungry
tlapeuajtli	hunt
ajakatlnamikitilistli	hurricane
isiuitiya	hurry
ximoijisiuilti	hurry up
tekokoua	hurt
ueue	husband
tlaojonolistli	hustle
xakali	hut
tlachipajketl	hygiene
Nani elij	I am
kuali niistok	I am fine
niuelij	I can
axniueli	I can't
na nichiua	I do
axnimati	I do not know
axnimachiliya	I do not understand
na axtle	I don't
ax nimati	I don't know
axnimachiliya	I don't understand
axnimachiliya tlen tijneki tikijtos	I don't understand what you mean
axnimachiliya	I don't understand you
axnimati	I don’t know
axnimachiliya	I don’t understand
nitlaliya	i guess
pixki	I had
pixtok	I have
ni eltok	I have been
nopa nochiya	I hope so
na nimati	I know
tinexpajktiaj	I like
tinexpajktiaj	I like you
tlasojtli	I love
nitlasojtka no ueyijni	I love my big brother
nitlasojtla no siuaueyijni	I love my big sister
nitlasojtla notata	I love my father
nitlasojtla nopilijni	I love my little brother
nitlasojtla nopilsiuaijni	I love my little sister
nitlasojtla nonana	I love my mother
nimitstlasotla	I love you
nimitstlasotla miyaj	I love you so much
na nojkia nimitstlasotla	I love you too
nejki nikitos	I mean
nimitsilnamiki	I miss you
nimitsilnamiki miyak	I miss you so much
kita	I see
na nitlamachiliya	I think
machiliya	I understand
nejki	I want
nijneki sempoali	I want to see you
nimitsneki	I want you
niyajki	I was
niyas	I will
eliskia	I would be
ni elij	I'm
kuali ni istok	I'm fine
kuali niistok	I'm good
nika niistok	I'm here
ni machiliya	I'm sorry
sesekpan	ice
itstik	ice cream
yeyekolistli	idea
yeyekolistli	ideal
iuikal	identical
tlakamatlakuilotontli	identify
neneukayotl	identity
kuauiui	idiot
tlatsiuili	idle
kena	if
akuayolo	ignore
kokolistli	ill
ilegal	illegal
kokolistli	illness
Ilocano	Ilocano
ixiptli	image
ijnamikis	imagine
ninan	immediate
amantsi	immediately
uextik	immense
chikauaknextili	impact
kokoli	impatient
kipeualtisnekilis	implement
kalakitlamankayotl	import
tlanenekoli	important
tlatlaliya	impose
amoueli	impossible
mauisok	impress
tepostlakuilolistli	impression
impresionante	impressive
ni tlakualaliya	improve
kuakualili	improvement
tlen	in
nojkia	in addition
tlen chiuali	In fact
ixpan tlen	in front of
ketsa	in order to
inapropiado	inappropriate
incentivo	incentive
incidente	incident
tlapouili	include
niixtlali	including
tominkakalakilistli	income
aonteneki	inconvenience
piuiltilistli	increase
incrementado	increased
auelnektoktok	incredible
sialistli	indeed
selkatik	independent
India	India
temoa	indicate
maseualmej	indigenous
seselti	individual
industria	industry
moneki	inevitable
pilkonetl	infant
temalotl	infection
amotlami	infinity
posauak	inflammation
patiuayotl	inflation
tepatlantoyotl	influence
tlanonotsali	inform
amochpantilistli	information
tlen motekiuiya	ingredients
tetlakauilili	inheritance
peuali	initial
peualtili	initiative
mokokojtok	injured
tekokolistli	injury
aketenchiuani	innocent
tlajkualaliya	innovation
neyolnotsalistli	inquiry
tsonyolpolitok	insane
yolkatsin	insect
majmajtok	insecure
kalakilis	insert
kalitij	inside
machtilistli	insight
insistir	insist
ajkochilistli	insomnia
teyotilistli	inspiration
iteyolitilistli	inspire
tlatlaliya	install
kemantsi	instance
achika	instant
ya ni	instead
sepan	instead of
katsamochiua	instructions
tlachiualoni	instrument
fierokamanali	insult
tleneliya	insurance
axtleno ipantik	intact
nechikokilia	integrity
intelectual	intellectual
yolokayotl	intelligence
tlaueuelij	intelligent
ninejki yukatelolistli	intend
sankinenejki	intended
tleueyimaka	intense
yukatelolistli	intention
interactuar	interact
interacción	interaction
tlaixnextok	interest
kinenejtok	interested
tlaixkisa	interesting
mokalakia	interfere
intlajkoli	intermediate
kalitik	internal
tlaltepaktli	international
pasantía	internship
kuepatlajtoli	interpret
kuepatlajtol	interpreter
tlakotonia	interrupt
onkamanalkali	interview
auilnestli	intimate
a	into
tlatsintilistli	introduce
kamanaltlapeuali	introduction
maukayotl	introvert
niixmachiliya	intuition
tenonotialistli	invalid
tlayoyokoa	invent
tlasentlalimatl	inventory
invertir	invest
tlatemoa	investigate
tlakuanotstli	invitation
invitar	invite
tklakuilasis	invoice
mokalakiya	involve
tikalakiya	involved
tepostlauilkomali	iron
kaxtiltlajtoli	is
ayoualtlali	island
anakmosatlani	isolated
Tlamantli	issue
tlamantli	issues
lo	it
elij	it is
yajki	it was
sin	it's
kuali titok	it's ok
kualtitok	It's okay
inik	item
sentlamantli	items
in	its
tlamamali	jacket
kalteltsakuali	jail
Enero	January
axaloj	jar
mandíbula	jaw
nechikauani	jealous
kuauiuiti	jerk
teokuitlakayotl	jewelry
tekitl	job
tlaloli	jogging
sejkotilistli	join
saliuyantli	joint
uetskalistli	joke
periodista	journalist
nenemilis	journey
tlaipantilis	joy
tlatlakoliaxilani	judge
paskatl	juice
julio	july
tsikuini	jump
junio	june
tlasoli	junk
melauaknemilise	just
san xichiua	just do it
melankayeyekoli	justice
justificar	justify
Kalaallisut	Kalaallisut
tlatoani	keen
tlakualtia	keep
kenopa xinemi	keep it up
tekipanoli	kept
tepostxiuatl	kettle
tlatlapoloni	key
tekteleksa	kick
konetsa	kid
kamanatlajtoa	kidding
atekojtli	kidney
konemej	kids
mikilis	kill
keya	kind
se kentsi	kinda
tlasojtlalistli	kindly
yeknakayotl	kindness
tlatoani	king
tsokontli	kiss
tlakualchiualoyan	kitchen
xikoatl	kite
mistontsi	kitten
tlankua	knee
nijmatki	knew
tlatekini	knife
tlakatsintli	knight
nokonmati	know
tlaixnachili	knowledge
temajti	known
Konkani	Konkani
Krio	Krio
etiqueta	label
tlakoneui	labor
tekitl	labour
axualajki	lack
kuatlatekoli	ladder
ichpotsiual	lady
tlalis	laid
ueyateskatl	lake
ixkatl	lamb
kuacho	lame
tlauli	lamp
tlali	land
panorama	landscape
Tlajtoli	language
kuaxantli	lap
uextik	large
teija	last
tlen tlatsonko uan nojkia monenejki	last but not least
tsonka	last name
tiotlakili	late
satlasonko	lately
achi San kentsi	later
tlenijika	latest
tlaika	latter
ueska	laugh
ueskayotl	laughing
chikauatlueskayotl	laughter
inalojtlakuali	launch
yoyontsokiyo	laundry
machiyotl	law
sakapechtli	lawn
tepantlajtoani	lawyer
tlalis	lay
tilmatli	layer
patlachtik	layout
tlatsiui	lazy
melankauiya	lead
uelitini	leader
amatl	leaf
chipinki	leak
pachoa	lean
tsikuini	leap
uelis	learn
tlamachtilistli	learning
tlakeua	lease
tlen teipa	least
kuetlaxchi	leather
texkauilis	leave
amatl	leaves
uiuijkak	led
opuchmaitl	left
mestli	leg
tlakanauatili	legacy
machioketstli	legal
nemiliakamali	legend
ueltetlatki	legit
tlatsiui	leisure
tlanelti	lend
ueyi	length
San achi	less
nemachtilistli	lesson
xikaua	let
tlakuiloli	letter
axoxoukilitk	lettuce
aueyak	level
chiuas kuamitl	leverage
responsabilidad	liability
amoxtlatiloyan	library
pipitsoa	lick
tllakakayajketl	lie
kajayaua	lies
nemilis	life
tepantlajkok	lift
tlaauli	light
tlapetlantli	lightning
katsa	like
noueli	likely
nojkia	likewise
tlaxotlali	line
Lingala	Lingala
tetsonuilistli	link
ocelotl	lion
aauitl	liquid
poaltlakuiloli	list
Tlakakili	listen
tlakakili	listening
kejatsa nikitoa	literally
amoxtlajtoyotl	literature
tlasoli	litter
pilkuekuetsi	little
yoyltok nesi ixkopinka	live
eltapachtli	liver
nenemilistli	lives
yolitok	living
kalmelaktli	living room
topitsi	lizard
tlamamaltia	load
malachtektektli	loaf
tlaneuali	loan
kaltlanamatili	local
kanke	location
kaltsakua	lock
aislamiento	lockdown
amoxtepanoli	log
jajaja	lol
isetlakatl	lonely
uextik	long
miyak kauitl axnimitsistok	long time no see
tlachiyali	look
sampaeua	loop
tlatsiui	loose
totlayi	lord
poliuis	lose
politik	loss
kuapolotok	lost
tlalkali	lot
chikaulistli	loud
kalmelaktli	lounge
tlasojtlalistli	love
nimitstlasotla	love you
yeyejtsi	lovely
tlatsintla	low
temo	lower
netlakanekili	loyal
netlakanelistli	loyalty
tonali	luck
tonali	lucky
Luganda	Luganda
kuajpanitlauijuijka	luggage
mamali	lump
tlakuasaloni	lunch
tochichin	lungs
momochkatl	luxury
ixtlakatini	lying
tepostlaolini	machine
kualantok	mad
toaui	madam
mochitok	made
amoxtontli	magazine
yolueyilistli	magnificent
mucama	maid
tlayakaniya	main
tekipanoa	maintain
tlakualilistli	maintenance
Maithili	Maithili
momayakayotl	major
nochimej	majority
chiuas	make
tijkuepas	make up
tlakatl	male
ueyitlanamakatia	mall
tlakatl	man
melaualiyaj	manage
kaltlajtoani	management
tlanauatiketl	manager
tlatenkuilili	mandatory
monechtia	manifest
tlajkakayajketl	manipulate
kenopa	manner
mochiuas	manual
miyakej	many
xikaxiti miyak xiutl	many many happy returns of the day
nenemilis	march
amoxtentli	margin
tiankistli	market
mamiktikistli	marriage
siuajtok	married
ixtlajtsakui	mask
teokalpan	mass
ueynextikimaseualmej	massive
tlasojtli	master
tlamina	match
ijniui	mate
tekiuili	material
tlapoalmatilistli	math
tlamantli	matter
ikoxilistli	maturity
mayo	may
nouelij	maybe
me	me
na nojkia	me too
tlakuali	meal
ki'itosneki	mean
ki'itosneki	meaning
in kenin	means
nijneki nikijtos	meant
uajka katsa	meanwhile
yeyejkoa	measure
tlayeyekoli	measures
nakatl	meat
Tlapatijketl	medical
pajtli	medicine
meditación	meditation
tkajko	medium
kixmatis	meet
sentilistli	meeting
Meiteilon	Meiteilon
atia	melt
ilnamili	memories
ilnamili	memory
kuatlatsonkotl	mental
nikonijtoua	mention
iniljuitl	mentioned
tlaixmatka	mentor
tlasemananki	merchant
teiknotslistli	mercy
simplemente	merely
pakilis tlakatilistli	merry christmas
ouitepanyalistli	mess
amatlakuiloli	message
tlaxitinilini	messy
tepostli	metal
kentlachiuali	method
kimichimej	mice
tkajko	middle
tlakoyoual	midnight
Atlak	might
yamanik	mild
tsintli	milestone
yaotl	military
lechi	milk
chikuase poali uan makuili xikipili	million
tlaknamikilis	mind
mentalidad	mindset
tlen na	mine
tixnemi	mingle
achiteipan	minor
amatsinya	minute
achikentsi	minutes
tlamauisoli	miracle
teskatl	mirror
amoneuki	miscellaneous
atlakanemini	mischievous
iknoli	miserable
ikniyotl	misery
nimitsilnamiki	miss
nimitsilnamiki	miss you
kuapolojtok	missing
misión	mission
mixtemi	mist
kuapolo	mistake
Mizo	Mizo
ejetlakanonostli	mobile
ajauiya	mock
modelo	model
yolismatini	moderate
yankuik	modern
youinemini	modest
achi xolontok	moist
achi xolontok	moisture
kopinali	mold
tusa	mole
Nana	mom
achitsi	moment
lunes	monday
Tomy	money
tlapaloni	monitor
osomatli	monkey
metstli	month
pakilchuilistli	mood
ixkualantok	moody
metstli	moon
moral	moral
piui	more
además una nojkia	moreover
mostla	morning
kalitomitlanextili	mortgage
nochimej	most
nochimej	mostly
Nana	mother
olintli	motion
neyoleualoni	motivation
tepetl	mountain
kimichi	mouse
kamak	mouth
oliniya	move
olintli	movement
metlaixkopinali	movie
toaui	mrs
miyaj	much
nochi	mud
toxkaxil	mug
tlachikatli	muscle
tlakikali	museum
nanajkatl	mushroom
tlatsotsonalistli	music
tlachichiualistli	must
achkamati	mute
tiompa	mutual
no tlasojtli	My dear
niukni	my friend
Ni aerodeslizador temiton ika anguilas	My hovercraft is full of eels
no tlasojtla	my love
no toka elij	my name is
se pakilis	my pleasure
ni na	myself
neiyanilistli	mysterious
neyanalistli	mystery
kamanali	myth
isti	nail
tlachialistli	naive
toka	name
sasalinl	narrative
pitsaktik	narrow
motlaiktiani	nasty
tlalpankayotl	national
tlalpankayotl	nationality
altepekakonetl	native
iukayo	natural
iukayotl	nature
patstlami	nausea
nechka	near
nexkatsi	nearby
nechka	nearly
ateskali	neat
monejki	necessary
kextla	neck
kostli	necklace
nenejkilistli	need
axkana	negative
iskalkauaj	neglect
tekipanoa	negotiate
kalnauak	neighbor
kalpoli	neighborhood
tlen	neither
machkone	nephew
nerdo	nerd
tlauatini	nervous
tepasol	nest
kipiya	net
matlatl	network
neutral	neutral
axkema	never
axkema ximotemaka	never give up
xikilkauaj	never mind
xikilkauaj	nevermind
nojkia	nevertheless
yankuik	new
tlaixmachilistli	news
tech	next
iuikal	next to
tonalti	nice
paki ni mitsixmati	nice to meet you
machijni	niece
tlayoua	night
fierotlatemiktli	nightmare
chiknaui	nine
matlaktli uan naui	nineteen
najpoali uan matlaktli	ninety
Axtle	No
axunka kualantli	no problem
axuelis	no way
axaka	nobody
moliniketl	noise
tlakakaloa	noisy
amaka	none
tlajkotonal	noon
axtle	nope
ne	nor
kenijki	normal
ayamiktlan	north
yakatsol	nose
kaktimanilistli	nostalgic
axtle	not
aujka axtleno	not at all
kualtitok	not bad
ama axtle	Not now
ayatle	not yet
tlakuiloli	note
kijkuilojtok	noted
axtleno	nothing
makas kuenta	notice
tlachiyali	noticed
yeltik	noun
yeltik	nouns
ikpasasanili	novel
noviembre	november
amantsi	now
ama in tonali	nowadays
kuesiyotl	nuisance
axunka	null
sesepoa	numb
tlapoali	number
kokoxsiuapixkii	nurse
senyoyotl	nut
senyeloj	nutmeg
nutrición	nutrition
itechtlajtololistli	oath
tomauak	obesity
tlaneltoka	obey
tlajkia	object
asilistli	objective
tesoltlatiyani	obligation
tlayoua	obscure
tlatkachiyalistli	observation
tlachia	observe
tochontik	obsessed
obsesión	obsession
obsoleto	obsolete
tlatsakuiliya	obstacle
pixtos	obtain
nipixki	obtained
kenopa elis	obvious
saueltsi kenopa	obviously
kemanika	occasionally
moteki	occupation
tlenteki	occupied
tekipanolistli	occur
tlen panotok	occurred
mochiua	occurs
ueyiatl	ocean
octubre	october
raro	odd
senkamochiuaj	odds
in	of
uajka kenopa	of course
sejtok	off
kanalkualantli	offensive
tomitemo	offer
amatlakuilolan	office
taltekatl	official
kemantsi	often
Oh	Oh
ah tlen neliya	oh really
chiauikayotl	oil
Kuali	ok
kuali teijnelsi	ok dear
kuali tlasojtli	ok honey
kuali no tlasojtli	ok my love
Kuali	okay
kena pilkonetsi	okay baby
senka tlasojtli	okay dear
senka kuali yeyejtsi	okay honey
Kena kuali no tlasojtla	okay my love
ueuentsi	old
tlen	on
se uelta	once
se	one
se tlajtoli axkema tematchin	one language is never enough
xonakatl	onion
in tlauasani	online
iselti	only
tlapojtok	open
tisikali	operation
nikitosneki	opinion
imankayotl	opportunities
monekilistli	opportunity
hualnichketsali	opposite
moueyimaka	optimistic
opción	option
tlatinejki	optional
o	or
lalax	orange
tlapamitl	order
tlakxitokoa	ordinary
tlakepanolistli	organization
ikisauayankayotl	orientation
peuali	origin
tlense	original
Oromo	Oromo
ijnotsi	orphan
seyoj	other
tlen seyok tlamantli	otherwise
uikili	ought
tlen toaxka	our
Nuestra misión: Permitir que todos, en todas partes, conozcan el mundo y se expresen en todos los idiomas.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Nuestra misión: organizar la información del mundo y hacer que sea accesible y útil.	Our mission: to organize the world's information and make it universally accessible and useful.
kalteno	out
tlentemaka	outcome
tlakemitl	outfit
extrovertido	outgoing
kiski auilikalotl	outlet
nauak	outline
kalteno	outside
ixkisa	outstanding
xamitlkaltexkali	oven
ipani	over
nikanika	over there
ipan nochi	overall
ixpanos	overcome
miyak tlainamiki	overthinking
tetlokoktia	overwhelmed
kuesiui	overwhelming
uikili	owe
tekolotl	owl
tlen na	own
axka	owner
kuakuyeyotl	ox
pano	pace
tlapiloli	pack
tlapiloli	package
tlaxtlajke	paid
kokoua	pain
tlapatla	paint
tlakuiloyitl	painting
sansejko	pair
iztaltik	pale
apaxchtli	palm
tlatsoyolinoni	pan
tlaltepakokolistli	pandemic
mamajketl	panic
pantaloj	pants
amatl	paper
iljuikatliltik	paradise
paralelo	parallel
atiuitsouilistli	parcel
tlapopoljuiya	pardon
itatamej	parents
kenke	park
alotl	parrot
sakalijpajtli	parsley
achi	part
techmotlaliya	participate
teaxka	particular
seknikiski	particularly
sansejko	partner
iljuitl	party
pano	pass
ojtli	passage
xipano	passed
pasmikilistli	passion
komoni	passionate
mojkaua	passive
tlstlapololistli	password
panojka	past
salotok	patch
ojtli	path
olinyotl	pathetic
tlapakaiyotl	patience
kokochketl	patient
tlanauatiketl	pattern
kiketski	pause
tlapepechtli	pavement
tlaxtlajke	pay
tlaxtlaua	payment
tlamatkayotk	peace
paktinemi	peaceful
yoloxokotl	peach
kuautlatsakuali	peak
atsapotl	pear
exotl	peas
peculiar	peculiar
axixtli	pee
xima	peel
ompa	peer
iuikal	peers
totolakatl	pen
kautlakuiloli	pencil
tlenpoliui	pending
maseualmej	people
kaxtilchil	pepper
kiselia	perceive
yolismati	perception
senkiska	perfect
kichiua	perform
yoltekii	performance
nouelij	perhaps
tonali	period
nochipa	permanent
teixkontsinko	permission
nijkaua	permit
perseverancia	perseverance
insistente	persistent
maseual	person
ixkoyan	personal
personalidad	personality
tlaixiuilistli	perspective
elejkia	persuade
tlauelilok	pervert
yolkaijniuitl	pet
fase	phase
tlapoloamoxtli	phenomenon
yolismatilistli	philosophy
tlanonotsaloli	phone
tlaixkopinkayotl	photo
kamanali	phrase
semanauatini	physical
nitlasekojtiliya	pick
pepenoa	pick up
tlaixkopinkayotl	picture
se se	piece
senseyo	pieces
pitso	pig
uilotl	pigeon
pila	pile
tsonikpali	pillow
kamilmijka	pilot
tilmasoani	pin
matsajtli	pineapple
Tlatakeualtik	pink
ostotl	pit
ixtlauak	pitch
pinaua	pity
kampeka	place
miekaan	places
plaga	plague
tlamaya	plain
xiuitl	plan
tepostototl	plane
xiuitl	plant
xiumi	plants
kalpechtli	plate
tepancholoantli	platform
tekipanolistli	play
mauili	playing
auiyani	pleasant
se tlapaleuili	please
ajauiyakatl	pleased
nipapakilia	pleasure
tetechkautli	pledge
ixiachi	plenty
pakyotl	plot
tomacorriente	plug
masaxokotl	plum
temetspixki	plumber
miyake	plural
podcast	podcast
xochikuikatl	poem
tlajtokuikayotl	poetry
tliltetl	point
mikoapatli	poison
tlapixki	police
semitkamitilistli	policy
Tepiltikayotl	polite
tlalpopochitlajkoli	pollution
akalotl	pond
amanali	pool
kuitlatl	poop
axtomikipiyaj	poor
kotonki	pop
tenyotekatl	popular
altepeme	population
pitso	pork
metlakauili	porridge
akalkixoayan	port
nesenkaualistli	position
kena	positive
pixtok	possess
axkatia	possession
axkatilis	possessive
nouelis	possible
amstltlakuiloyan	post
seyojuelta	postpone
tchipajkamojtli	potato
uelitilistli	potential
akalotl	pound
toxontinemi	poverty
ueltiyotl	power
uelitini	powerful
tlayeyekoa	practical
tlayeyekouaj	practice
tetlamachiya	praise
uestkalistli	prank
teomaniliya	pray
tlauel yeyejtsi	precious
kenopa	precise
on senka	precisely
predecir	predict
tikaltlaliya	prefer
tetlapanaljuili	preference
tkakualtilistli	pregnant
prejuicio	prejudice
tlatlaliya	premises
axtui kualkuali	premium
momachtia	preparation
tlachichiua	prepare
chichiketl	prepared
preposición	preposition
nextilistli	presence
ama pano	present
nextilistli	presentation
kauis	preserve
altepetlajtoani	president
tlamalistli	press
kuanauatili	pressure
sanmochiua	pretend
yeyejtsi	pretty
ximomalui	prevent
axtui	previous
atsakuali	prey
keski	price
nakastsonteyotl	pride
totatsi	priest
tlen peki	primary
neliakualtitok	prime
siuapiltin	princess
tlanauatiketl	principal
axtui	prior
axtuui	priority
kaltsakualko	prison
privacidad	privacy
tesekaltili	private
teikneniloni	privilege
tetlautili	prize
nouelij panos	probably
tetsakualistli	problem
Tekiyochiwalistli:	procedure
chiuaka	proceed
katsamochitiyas	process
tlenmochiua	produce
kiankistiloni	product
tlenmochiua	production
netoltialistli	profession
profesional	professional
perfil	profile
tlatlantli	profit
uejkatla	profound
akokitsalistli	progress
nextiltekitlchiualistli	project
Tenyotekatl	prominent
tlauelkakilistli	promise
tlekojtiya	promote
tletlekoli	promotion
chikauak	prompt
kamatlatsintla	prone
achkaitl	pronouns
moitojua	pronunciation
tlayeyekoli	proof
neaxkatilistli	proper
kuali inamik	properly
axkatiani	properties
noaxka	property
kamanalijtoli	proposal
tlen nichiuas	prospect
kisenpakayotl	prosperity
tlasempaktiani	prosperous
