бичииле	a little
чимис	fruit
чөгели төнген	frustrated
түлер чүүл	fuel
Фулфульде	Fulfulde
долдур	full
хөглүг	fun
хүлээлге	function
ханы	fundamental
хөөржүдери	funeral
хөглүг	funny
дүк	fur
килеңниг	furious
эт-сеп	furniture
дараазында	further
оон туржук	furthermore
келир үе	future
алыр	gain
оюн	game
үзүлген чер	gap
гараж	garage
бок	garbage
сесерлик	garden
чеснок	garlic
хаалга	gate
чыыр	gather
чыылда	gathering
калибр	gauge
бердинген	gave
механизм	gear
эри-кызы	gender
кол	general
анаада	generally
үндүрер	generate
салгал	generation
экииргек	generous
шылгараңгай угаанныг кижи	genius
жанр	genre
чымчак	gentle
ёзулуг	genuine
шимчээшкин	gesture
алыр	get
ап алыр	get
кеттинип алыр	get dressed
турар	get up
дурген экирер	get well soon
алыры	getting
сүнезин	ghost
хей чүве	ghosting
кайгамчык улуг	giant
белек	gift
имбирь	ginger
уруг	girl
кыс таныжы	girlfriend
бээр	give
дүжүп бээр	give up
бердинген	given
өөрүнчүг	glad
көрүш	glance
шил	glass
карак-шили	glasses
чырыш дээри	glimpse
бүдүн делегейниң	global
муңгаргай	gloomy
хол-хаптары	gloves
чырыыр	glow
чырыыр	glow up
хырба	glue
баар	go
чоруур (баар)	go
эгелээр	go ahead
чоруур	go away
удуп чыдар	go to bed
сорулга	goal
сорулгалар	goals
өшкү	goat
бурган	god
кадык бол	god bless you
чоруур	goes
чоруптурар	going
кылыр деп бодап турар	going to
алдын	gold
чораан	gone
деп турар	gonna
шара	goo
эки	good
дүштекиниң мендизи-биле	good afternoon
байырлыг	good bye
эки хүн	good day
кежээкиниң мендизи-биле	good evening
эки ажыл	good job
эки көстүр	good looking
олчалыг бол	good luck
эртенгиниң мендизи-биле	good morning
эртенгиниң мендизи-биле мээң ынакшылым	good morning my love
кежээкиниң мендизи-биле	good night
байырлыг	goodbye
менди-чаагай удуп хонуңар	goodnight
барааннар	goods
Гугл	Google
Гугл очулдурулга	Google Translate
кас	goose
чараш	gorgeous
онза-чараш	gorgeous
хоп-хочу	gossip
алган	got
билип алдым	got it
күрүне	government
тудар	grab
класс	grade
чоорту	gradually
доозукчу	graduate
үрезин	grain
грант	grant
бердинген	granted
виноград	grapes
салдыкпазы	grasp
оът	grass
өөрүп четтирген	grateful
өөрүп четтирери	gratitude
хөөр	grave
куу	gray
кончуг эки	great
онза	great
чазыйы	greed
чазый	greedy
ногаан	green
мендилээр	greet
мендилээри	greeting
амыр-менди	greetings
куу	grey
решетка	grid
муңгагдал	grief
хоюду тыртар	grind
сегирип алыр	grip
бакалея	grocery
душтук	groom
ниити	gross
чер	ground
бөлүк	group
өзер	grow
өзери	growth
дүндүгүр	grumpy
Гуарани	Guarani
гарантия	guarantee
таңныылдар	guard
угаа бодаар	guess
алыныр	guess
аалчы	guest
удуртулга	guidance
удуртулга	guide
буруулуг	guilty
аныяк кижи	guy
оолдар	guys
тренажёрка	gym
чаңчыл	habit
чурттаар чери	habitat
турган	had
мендилээр	hail
дүк	hair
чартык	half
зал	hall
хол	hand
күүседип шыдаптар	handle
чараш (эр кижи)	handsome
азар	hang
азар	hang out
болур	happen
болган	happened
аас-кежик	happiness
өөрүшкүлүг	happy
аас-кежик	happy
төрүттүнген хүнүң-биле	happy birthday
төррүтүнген хүнүң-биле	happy birthday to you
чаа чыл-биле	happy new year
кадыг	hard
арай деп	hardly
барык кажан-даа эвес	hardly ever
хора	harm
хоралыг	harmful
аяннажылга	harmony
кадыг-дошкун	harsh
дүжүт ажаалдазы	harvest
бар	has
көрбестээр	hate
бар	have
хүнүң эки болзун	have a good day
хүнүң эки болзун	have a nice day
чемненип ал	have breakfast
солун ойнаар	have fun
чемнендиңер бе	have you eaten
чемнендиң бе	have you eaten
бар	having
айыыл	hazard
туман	haze
ол (эр кижи)	he
ол кижи	he has
ол эр кижи	he is
баш	head
баш аарыы	headache
эмнээр	heal
эмнээр	healing
кадык	health
кадык	healthy
дыңнаар	hear
дыңнаан	heard
чүрек	heart
чылыдар	heat
шамбыла ораны	heaven
аар	heavy
халыын	hectic
бедии	height
салгакчы	heir
дээрбедээри	heist
туткан	held
эрлик ораны	hell
Экии	Hello
Амыр менди	Hello
экии эргимим	hello dear
экии кандыг тур силер	hello how are you
экии кандыг тур сен	hello how are you
экии кандыг тур силер	hello how are you doing
экии кандыг тур сен	hello how are you doing
шлем	helmet
дузалажыыр	help
дузалыг	helpful
ынчангаш	hence
ол (кыс кижи)	her
өөр мал	herd
мында	here
дамчыыр салгал	heritage
чайгылар	hesitate
Эй	Hey
Эть	Hey
Экии	Hi
экии кандыг тур силер	hi how are you
экии	Hi there
чажыт	hidden
чажырар	hide
иерархия	hierarchy
бедик	high
онзалап демдеглээр	highlight
агаарлаар	hike
чадаг туризм	hiking
каттырынчыг	hilarious
дөң	hill
ол эр кижиниң	him
айтып бээри	hint
дөңмек	hip
дөңмектер	hips
хөлезилээр	hire
хөлезилел	hiring
ол (эр кижи)	his
төөгү	history
согар	hit
хмммм	Hmm
хобби	hobby
тудар	hold
манаар	hold on
үт	hole
байырлал	holiday
ишти хос	hollow
бажың	home
онаалга	homework
шынчы	honest
ак сеткил-биле	honestly
сарыым	Honey
алдар	honor
капюшон	hood
илбек	hook
шураар	hop
идегел	hope
идегел-биле	hopefully
идегел чок	hopeless
горизонтальдыг	horizontal
мыйыс	horn
аажок коргунчуг	horrible
коргунчуг чүве	horror
аът	horse
эмнелге	hospital
хүндүлээчели	hospitality
ээ	host
өжээнниг	hostile
изиг	hot
аалчылар бажыы	hotel
шак	hour
шактар	hours
бажың	house
бажың ажыл-агыйы	household
канчалдыр	how
канчаан	how
а сен	how about you
а силер	how about you
Кандыг тур силер	how are you
кандыг чоруп тур силер	how are you doing
кайы-хире чоруп тур сен	how are you doing
бо хүн кандыг тур силер	how are you doing today
бо хүн кандыг тур сен	how are you doing today
бо хүн кандыг тур силер	how are you today
бо хүн кандыг тур сен	how are you today
кандыг тур сен	how do you do
канчаан	how is
каш	how many
каш	how much
кайы-хире болгаш	how often
харың кааш	how old are you
каш харлыг сен	how old are you
бо хүн кандыг болду	how was your day
кандыг хондуң	how was your night
кандыг хондуңар	how was your night
ынчаарга	however
чогум	however
ортузу	hub
ашакоой	hubby
куспактаар	hug
дыка улуг	huge
эң-не улуг	huge
кижи	human
биче сеткилдиг	humble
шык	humid
шыгы	humidity
чүс	hundred
аш	hungry
аңнаашкын	hunt
шуурган	hurricane
далажыр	hurry
далажыр	hurry up
аашкылыг	hurt
ашак	husband
иткилежиишкин	hustle
казанак бажың	hut
арыг-силиг байдал	hygiene
мен	I
Мен	I am
мен анаа мен	I am fine
мен шыдаар	I can
мен шыдавас	I can't
мен кылыр	I do
билбес мен	I do not know
мен билбейн тур мен	I do not understand
мен эвес	I don't
Мен билбес мен	I don't know
Мен билбейн тур мен	I don't understand
мен сени билбейн тур мен	I don't understand what you mean
мен силерни билбейн тур мен	I don't understand you
мен сени билбейн тур мен	I don't understand you
мен билбес мен	I don’t know
мен билбейн тур мен	I don’t understand
мен бодаарымга	i guess
меңээ турган	I had
менде бар	I have
мен	I have been
мен база ынчалдыр идегеп тур мен	I hope so
мен билир мен	I know
мен аянсынар	I like
мен сени сонуургап тур мен	I like you
мен ынак	I love
мен акымга ынак мен	I love my big brother
мен улуг угбамга ынак мен	I love my big sister
мен ачамга ынак мен	I love my father
мен эр дуңмамга ынак мен	I love my little brother
мен кыс дуңмамга ынак мен	I love my little sister
мен авамга ынак мен	I love my mother
мен сеңээ ынак мен	I love you
Мен сеңээ дыка ынак мен	I love you so much
мен база сеңээ ынак мен	I love you too
мен бодаарымга	I mean
мен силерни сактып тур мен	I miss you
мен сени сактып тур мен	I miss you
мен сени дыка сактып тур мен	I miss you so much
билдим	I see
мен бодарымга	I think
мен билип тур мен	I understand
мен күзеп	I want
мен сени көрүксеп тур мен	I want to see you
мен силерни күзеп тур мен	I want you
мен сени күзеп тур мен	I want you
мен турган	I was
мен (ынчаар	I will
мынчаар)	I will
мен	I would be
мен	I'm
анаа мен	I'm fine
мен анаа мен	I'm good
мен мында мен	I'm here
Мен буруулуг болдум	I'm sorry
дош	ice
мороженое	ice-cream
идея	idea
тергиин	ideal
дөмейлешкек	identical
тодарадыр	identify
дөмейлешкээ	identity
мугулай	idiot
анаа турар	idle
болза	if
ындыг болза	if
барымдаалавас	ignore
аарыр	ill
дүрүмге удур	illegal
аарыг	illness
Илокано	Ilocano
чурук	image
сагышка бодаар	imagine
доп-дораан	immediate
дораан	immediately
кайгамчык улуг	immense
салдар	impact
четтикпес	impatient
боттандырар	implement
импорт	import
чугула	important
онаар	impose
болдунмас	impossible
магадыр	impress
сактыышкын	impression
кайгамчык	impressive
экижидер	improve
экижидилге	improvement
немере кылдыр	in addition
херек кырында	In fact
мурнурда	in front of
кылдыр	in order to
таарышпас	inappropriate
сеткил	incentive
таварылга	incident
киирер	include
кады санавышаан	including
орулга	income
эпчогу	inconvenience
улгадыыр	increase
улгатырган	increased
бүзүрээр аргажок	incredible
шын-дыр	indeed
шынап-ла	indeed
хамаарышпас	independent
Индия	India
айтыр	indicate
үндезин	indigenous
хуу	individual
үлетпүр	industry
чайлаш чок	inevitable
чаш уруг	infant
аарыг-ажык	infection
кызыгаар чоогу	infinity
хуулуушкун	inflammation
инфляция	inflation
салдар	influence
медээлээр	inform
медегдел	information
киритингеннер	ingredients
салгап алыры	inheritance
баштайгы	initial
эгелекчи санал	initiative
балыглаткан	injured
кемдээри	injury
кем чок	innocent
чаартылга	innovation
хыналда	inquiry
угааны солуу	insane
курт-кымыскаяк	insect
айыыл чок эвес	insecure
сугар	insert
иштинде	inside
чүве эндевези	insight
негеп тургаш чедип алыр	insist
удувастаары	insomnia
сорук кириишкин	inspiration
сургаар	inspire
тургузары	install
болуушкун	instance
доп-дораан	instant
орнунга	instead
ооң орнуңга	instead
орнунга	instead of
айтыышкын	instructions
херексел	instrument
дорамчылал	insult
камгаладылга	insurance
бүдүн	intact
шынчызы	integrity
угаан	intellectual
интеллект	intelligence
угааныг	intelligent
сагыштыг болур	intend
санап калган	intended
күжениишкинниг	intense
бодал	intention
демниг хөделиир	interact
удур-дедир харылзаа	interaction
сонуургал	interest
сонуургаан	interested
солун	interesting
аразынче кирер	interfere
аразында	intermediate
иштики	internal
интернационал	international
интернатура	internship
утказын тайылбырлаар	interpret
очулдурукчу	interpreter
үзе кирер	interrupt
интервью	interview
хууда	intimate
иштинче	into
киирер	introduce
киирилде	introduction
интроверт	introvert
сагыжы эндевези	intuition
күш чок	invalid
чогаадып кылыр	invent
инвентарь	inventory
акша киирер	invest
шинчилээр	investigate
чалалга	invitation
чалаар	invite
счет-фактура	invoice
киириштирер	involve
киириштирген	involved
темир	iron
ортулук	island
аңгылаттынган	isolated
айтырыг	issue
айтырыглар	issues
бо	it
Бо болза	it is
Бо дээрде	it is
ол турган	it was
ол	it's
ол анаа чүве диинь	it's ok
анаа-анаа	It's okay
пункт	item
чүвелер	items
бо	its
мен	I’m
куртка	jacket
кара-бажың	jail
бир ай	January
шил банка	jar
чаак	jaw
адааргаачал	jealous
аамай кижи	jerk
ювелирлиг каасталга	jewelry
ажыл	job
маңнаар	jogging
катыжар	join
тудушкан кезек	joint
баштак	joke
журналист	journalist
аян-чорук	journey
хөглүг	joy
шииткекчи	judge
сок	juice
чеди ай	july
шураар	jump
алды ай	june
бок	junk
чугле	just
анаа кылывыт	just do it
чөптүү	justice
агартыр	justify
Калалисут	Kalaallisut
өткүт	keen
арттырар	keep
улаштырар	keep it up
дудуп турган	kept
бызаа	kettle
дүлгүүр	key
тегер	kick
бичии уруг	kid
баштактаныыр	kidding
бөөрек	kidney
уруглар	kids
өлүрер	kill
ак-сеткилдиг	kind
эки	kind
ышкаш	kinda
эвилең-биле	kindly
экизи	kindness
хаан	king
чыттаар	kiss
кухня	kitchen
ужар-саазын	kite
диис оглу	kitten
дискек	knee
билир турган	knew
бижек	knife
рыцарь	knight
билир	know
билиг	knowledge
билген	known
Конкани	Konkani
Крио	Krio
этикетка	label
күш-ажыл	labor
күш-ажыл	labour
чедишпес	lack
чада	ladder
аныяк уруг	lady
чаткан	laid
хөл	lake
хураган	lamb
өөрүшкү	lame
лампа	lamp
чер	land
пейзаж	landscape
дыл	language
круг	lap
дыка улуг	large
сөөлгү	last
сөөлгү, чогум эң сөөлгү эвес	last but not least
фамилия	last name
орай	late
чоокта чаа	lately
соонда	later
сөөлгү	latest
сөөлгү	latter
каткы	laugh
катырып турар	laughing
каткы	laughter
эгелээр	launch
хеп чуур чер	laundry
хоойлу	law
аяң	lawn
хоойлучу	lawyer
салыр	lay
каът	layer
таарыштыр салыр	layout
чалгаа	lazy
удуртукчулаар	lead
баштаар	lead
баштаңчы	leader
бүрү	leaf
төктүрү	leak
чөлениир	lean
халыыр	leap
өөрениир	learn
өөредилге	learning
хөлези	lease
эң эвээш	least
кеш	leather
чоруур	leave
каар	leave
бүрүлер	leaves
эдерткен	led
солагай	left
бут	leg
салгал	legacy
хоойлуга дүүшкек	legal
легенда	legend
хоойлу ёзугаар	legit
хостуг үе	leisure
чегдирер	lend
узуну	length
эвээш	less
кичээл	lesson
чөпшээрээр	let
чагаа	letter
ногаа бүрүзү	lettuce
деңнел	level
быра	leverage
харыысалгалыы	liability
библиотека	library
чылгаар	lick
мегелээр	lie
меге	lies
чурталга	life
көдүрер	lift
чырык	light
чаңнык	lightning
таарымчалыг	like
дөмей	like
харын-даа	likely
база	likewise
шыйыг	line
Лингала	Lingala
улаары	link
арзылаң	lion
суук чүүл	liquid
даңзы	list
дыңнаар	listen
дыгнаар	listening
сөс сүрүп	literally
чогаал	literature
бок	litter
бичии	little
чуртаар	live
баар	liver
чурттап турар	lives
дириг	living
зал	living room
селеске	lizard
долдурар	load
буханка	loaf
чээли	loan
тус черниң	local
турар чер	location
шоочалаар	lock
блокада	lockdown
чудук	log
лол	lol
чаңгыс	lonely
узун	long
үүр үе иштинде көрүшбээдивис	long time no see
көөр	look
кайгаар	look
цикл	loop
хостуг	loose
хаан	lord
чидирер	lose
чидириг	loss
читкен	lost
хөй кезии	lot
шимээнниг	loud
аалчылар өрээли	lounge
ынакшыл	love
сеңээ ынак	love you
кайгамчык чараш	lovely
чавыс	low
чавыс	lower
бүзүрелдиг	loyal
лоялдыы	loyalty
чедимче	luck
олчалыг	lucky
Луганда	Luganda
чүък	luggage
кезек	lump
дүштеки чем	lunch
өкпелер	lungs
аас-коя амыдырал	luxury
чыдар	lying
машина	machine
албыстыг	mad
мадам	madam
кылган	made
журнал	magazine
каас-чараш	magnificent
хеделдер	maid
кол	main
хандырар	maintain
хандырылга	maintenance
Майтхили	Maithili
чугула	major
кол	major
улуг нуруузу	majority
кылыр	make
бүдүрер	make
макияж	make up
эр	male
улуг садыг	mall
кижи	man
башкарар	manage
башкарары	management
менеджер	manager
албан	mandatory
манифест	manifest
манипуляция кылыр	manipulate
аажы-чаң	manner
инструкция	manual
хөй	many
хөй хөй катап бо хөглег хүнче эглир	many many happy returns of the day
үш ай	march
немелде өртек	margin
рынок	market
өглениири	marriage
өглүг болур	married
маска	mask
масса	mass
аар	massive
мастер	master
дүгжүрү	match
өңнүк	mate
материал	material
математика	math
херек	matter
ужур утка	matter
назы чедери	maturity
болур	may
чадавас	maybe
бооп болур	maybe
мен	me
Мен база	me too
чем	meal
уткалыг	mean
утка	meaning
илередир	means
деп билдинген	meant
ол үеде	meanwhile
хемчээл	measure
хемчээлдер	measures
эът	meat
эмнелгениң	medical
эм	medicine
медитация	meditation
ортун	medium
ужуражыр	meet
ужуражылга	meeting
Мейтейлон	Meiteilon
эриир	melt
сактыышкыннар	memories
чүве утпазы	memory
угаанга хамаарышкан	mental
демделгээр	mention
демдеглээн	mentioned
дагдыныкчы	mentor
садыгжы	merchant
кээргээр	mercy
чүгле	merely
хөглүг рождество-биле	merry christmas
корум-чурум чогу	mess
дыңнадыг	message
корум-чурум чок	messy
металл	metal
арга	method
күскелер	mice
ортуку	middle
дүн ортузу	midnight
чадавас	might
чымчак	mild
чада	milestone
шериг	military
сүт	milk
миллион	million
угаан	mind
боданыр аайы	mindset
мээң	mine
холуштурар	mingle
улуг эвес	minor
минуталар	minute
минуталар	minutes
хуулгаазын чүве	miracle
көрүнчүк	mirror
янзы-янзы	miscellaneous
өжү ханып амыраар	mischievous
хөөкүй	miserable
ядарал	misery
даңгына	miss
сактып тур мен сени	miss you
чиде берген	missing
хүлээлге	mission
туман	mist
чазыг	mistake
Мизо	Mizo
мобильник	mobile
дорамчылап кочулаар	mock
модель	model
өй-тап	moderate
амгы үениң	modern
биче сеткилдиг	modest
өл-шык	moist
өл-шыгы	moisture
дүдүк	mold
мең	mole
авай	mom
үе	moment
понедельник	monday
акша	money
монитор	monitor
сарбашкын	monkey
ай	month
хөөн	mood
дүндүгүр	moody
ай	moon
моральдыг	moral
амда	more
ам-даа	more
оон туржук	moreover
эртенгиниң	morning
ипотека	mortgage
эң-не	most
Улуг нуруузунда	mostly
ие	mother
шимчээшкин	motion
мотивация	motivation
даг	mountain
күске	mouse
аас	mouth
шимченир	move
шимчээшкин	movement
кино	movie
миссис	mrs
хөй	much
малгаш	mud
кружка	mug
шынган	muscle
музей	museum
мөөгү	mushroom
аялга	music
албан-биле	must
шимээн чок	mute
бот-боттарынга	mutual
мээң	my
мээң эргимим	My dear
мээң эжим	my friend
мээң хемем угорьлар долдур	My hovercraft is full of eels
мээң ынакшылым	my love
мээң адым	my name is
амырап-ла	my pleasure
мен бодум	myself
ужуру билдинмес	mysterious
чажыт	mystery
чогаадыг	myth
дыргак	nail
кенен	naive
ат	name
тоожулал	narrative
кызаа	narrow
чүдек	nasty
үндезин	national
национал	nationality
төрээн	native
чайгаар	natural
бойдус	nature
куску келири	nausea
чоокта	near
чанында	near
чанында	nearby
чижеглеп алырга	nearly
силиг	neat
эргежок чугула	necessary
моюн	neck
моюн шимелдези	necklace
херек	need
чок дээн	negative
херексевес	neglect
чугаалажыышкын кылыр	negotiate
кожазы	neighbor
кожа турары	neighborhood
база эвес	neither
чээн дуңма	nephew
чалгааранчыг кижи	nerd
шугул	nervous
уя	nest
четки	net
сеть	network
нейтралдыг	neutral
кажа-даа	never
кажандаа дүжүп бербе	never give up
хамаанчок	never mind
херек чок	nevermind
ынчалза-даа	nevertheless
чаа	new
медээлер	news
дараазында	next
чанында	next to
аянныг	nice
эки	nice
таныжып алганымда өөрүп тур мен	nice to meet you
таныжып алганывыс эки болду	nice to meet you
чээн кыс дуңма	niece
дүн	night
коргунчуг дүш	nightmare
тос	nine
он тос	nineteen
тозан	ninety
Чок	No
берге айтырыг чок	no problem
дуза чок	no way
кым-даа эвес	nobody
дааш	noise
шимээнниг	noisy
кым-даа эвес	none
дүъш	noon
чок	nope
даа	nor
анаа	normal
соңгу чүк	north
думчук	nose
эрткен үелерни сагындырар	nostalgic
эвес	not
чангыс-даа эвес	not at all
багай эвес	not bad
ам эвес	Not now
ам эвес	not yet
темдеглел	note
айыткан	noted
чүү даа чок	nothing
чүү-даа эвес	nothing
эскерер	notice
эскертинген	noticed
чүве ады	noun
чуве адылар	nouns
роман	novel
он бир ай	november
ам	now
Амгы шагда	nowadays
багай чорук	nuisance
тик	null
үнү читкен	numb
дугаар	number
эмчи сестразы	nurse
тоорук	nut
мускат тооруу	nutmeg
чемненилге	nutrition
даңгырак	oath
чагланыры	obesity
чагыртыр	obey
объект	object
кара	objective
хүлээлге	obligation
тода эвес	obscure
хайгаарал	observation
хайгаараар	observe
алыскан	obsessed
алысканы	obsession
эргижирээн	obsolete
моондак	obstacle
алыр	obtain
алдынган	obtained
илдең	obvious
боор	obviously
өйлеп-өйлеп	occasionally
ажыл-мергежил	occupation
ажыл	occupation
эжелеп алган	occupied
болур	occur
болган	occurred
болу берген	occurs
далай	ocean
он ай	october
анаа эвес	odd
ынаныштар	odds
ынчанмайн канчаар	of course
ынчанмайн	of course
өжүрген	off
халдакчы	offensive
санал	offer
офис	office
официалдыг	official
үргүлчү	often
бо-ла	often
Оо	Oh
О	Oh
шынап бе	oh really
үс	oil
чаа	ok
ок	ok
чаа эргимим	ok dear
чаа эргимим	ok honey
чаа мээң ынакшылым	ok my love
чаа	okay
окей	okay
чаа ынаам	okay baby
чаа эргимим	okay dear
чаа сарыым	okay honey
чаа мээң ынакшылым	okay my love
кырган	old
он	on
олче	on
бир катап	once
бир	one
чаңгыс дыл кажан-даа четпес	one language is never enough
согуна	onion
онлайн	online
чүгле	only
ажыдар	open
операция	operation
бодал	opinion
аргалар	opportunities
арга	opportunity
удур	opposite
омак-сергек	optimistic
вариант	option
немелде	optional
азы	or
апельсин	orange
чагыг	order
бөдүүн	ordinary
организация	organization
уг-шигни тывары	orientation
дөзү	origin
оригинал	original
Оромо	Oromo
өскүс	orphan
өске	other
оон башка	otherwise
ужурлуг	ought
бистиң	our
бистиң даалгавыс: кижи бүрүзүнге, турар черинден хамаарышпайн, делегейни билип алыр болгаш янзы-бүрү дылдарга бодун илередип шыдаар кылдыр аргазын бээр	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
бистиң даалгавыс: бүдүн делегейниң медээлерин аалап-баштааш кижи бүрүзүнге чедер болгаш ажыктыг кылдыр кылыр	Our mission: to organize the world's information and make it universally accessible and useful.
даштыгаар	out
түңнел	outcome
херексел	outfit
өскээр баар	outgoing
үнери	outlet
бараан	outline
даштын	outside
шылгараңгай	outstanding
духовка	oven
ажыр	over
ында	over there
колдуунда	overall
эжып эрткен	overcome
хөй чүве бодап алыр	overthinking
аажок кайгаткан	overwhelmed
хөй кезии	overwhelming
эдилээр	owe
үгү	owl
бодунуң хууда	own
ээ	owner
шары	ox
темп	pace
хап	pack
хап	package
төлээн	paid
аарыг	pain
аарышкылыг	pain
будук	paint
чурук	painting
эжеш	pair
бүлүргей	pale
адыш	palm
паш	pan
пандемия	pandemic
девидээри	panic
чүгүр	pants
саазын	paper
дываажаң	paradise
параллельдиг	parallel
посылка	parcel
өршээл	pardon
ада-ие	parents
парк	park
дойду	parrot
петрушка	parsley
кезик	part
киржир	participate
тодаргай	particular
ылаңгыя	particularly
партнёр	partner
кежээки шайлалга	party
эртер	pass
эртер чер	passage
эрткен	passed
күштүг хандыкшыл	passion
изиг	passionate
идепкей чок	passive
чажыт сөс	password
эрткен үе	past
чамашкы	patch
орук	path
чөгенчиг	pathetic
шыдажыры	patience
аарыг-аржыктыг	patient
шаблон	pattern
доктаашкын	pause
оруктуң шывыы	pavement
төлээр	pay
төлээри	payment
тайбың	peace
тайбың	peaceful
персик	peach
сүүр	peak
груша	pear
чочак-тараа	peas
онзагай	peculiar
сидиктээр	pee
карттаар	peel
дең эргелиг	peer
чажыттар	peers
демир-үжүк	pen
карандаш	pencil
амда шиитпирде	pending
кижилер	people
перец	pepper
шиңгээдип алыр	perceive
шиңгээдип алыры	perception
тергиин	perfect
күүседир	perform
көргүзүг	performance
болуп болур	perhaps
шаг	period
доктаамал	permanent
чөпшээрел	permission
чөпшээрээр	permit
кызымаккайы	perseverance
дек үрелбес	persistent
кижи	person
хууда	personal
кижи	personality
перспектива	perspective
бүзүредир	persuade
орта эвес кижи	pervert
азырал амытан	pet
фаза	phase
феномен	phenomenon
философия	philosophy
телефон	phone
чурук	photo
фраза	phrase
физиктиг	physical
шилиир	pick
көдүрүп алыр	pick up
чурук	picture
кезек	piece
кезектер	pieces
хаван	pig
көге-буга	pigeon
оваа	pile
сыртык	pillow
ужудукчу	pilot
кызыткы	pin
ананас	pineapple
ягаан	pink
өңгар	pit
шымчыыр	pitch
кээргенчиг	pity
чер	place
черлер	places
чума	plague
бөдүүн	plain
план	plan
самолёт	plane
үнүш	plant
үнүш	plants
тавак	plate
платформа	platform
ойнаар	play
ойнап турар	playing
тааланчыг	pleasant
көрүңер	please
көрем	please
таарзынган	pleased
сеткил ханары	pleasure
долаа	pledge
дыка хөй	plenty
сюжет	plot
сугар үдү	plug
слива	plum
сантехник	plumber
хөйнүң саны	plural
подкаст	podcast
шүлүк	poem
чогаадыг	poetry
точка	point
хоран	poison
шагдаа	police
политика	policy
хүндүлээчел	polite
хирледиишкин	pollution
кылымал хөөлбек	pond
кылымал хөөлбек	pool
мыяктаар	poop
ядыы	poor
часкаашкын	pop
алдарлыг	popular
чон	population
хаван эъди	pork
каша	porridge
порт	port
туруш	position
телепиг	positive
ээзи болур	possess
ээлээр	possession
хамаарылга	possessive
болдунар	possible
таңныыл	post
соңгаарладыр	postpone
хартыышка	potato
күчү	potential
фунт	pound
ядыызы	poverty
күш	power
күштүг	powerful
практиктиг	practical
практика	practice
мактаар	praise
опчок чорук	prank
тейлээр	pray
өртектиг	precious
ылап шын	precise
ылап	precisely
баш бурунгаар айтыр	predict
дээре	prefer
дээре деп санаары	preference
иштиг	pregnant
хырынныг	pregnant
шын эвес көөрү	prejudice
баштайгы негелделер	premises
тергиин	premium
белеткениири	preparation
белеткээр	prepare
белеткээн	prepared
бадылаары	preposition
бар болуру	presence
амгы	present
презентация	presentation
кадагалаар	preserve
президент	president
базар	press
базыышкын	pressure
мегелетинер	pretend
чараш	pretty
чайладыр	prevent
мурнуку	previous
олча	prey
өртек	price
чоргаарал	pride
священник	priest
баштайгы	primary
үндезин	prime
даңгына	princess
баштыңчы	principal
предварительный	prior
эң чугула	priority
кара-бажың	prison
конфиденциал	privacy
хууда	private
ямбы	privilege
шаңнал	prize
болур	probably
проблема	problem
процедура	procedure
улаштырар	proceed
процесс	process
бүдүрер	produce
үре-түңнел	product
бүдүрүлге	production
профессия	profession
профессионал	professional
профиль	profile
орулга	profit
хандыр	profound
депшилге	progress
проект	project
көскү	prominent
аазаар	promise
деткиир	promote
бурунгаарладыры	promotion
далаштыг	prompt
хөөннүг	prone
ат орну	pronouns
адаары	pronunciation
барымдаа	proof
чогуур	proper
чогууру-биле	properly
шынарлар	properties
өнчү-хөреңги	property
саналдаары	proposal
перспектива	prospect
менди-чаагай	prosperity
хөгжеп турар	prosperous
камгалаар	protect
чоргаар	proud
шынзыдар	prove
хандырар	provide
бердинген	provided
можу	province
дериири	provision
аайы-биле четчир үези	puberty
ниитилел	public
дыртар	pull
тыква	pumpkin
ылап	punctual
өөреникчи	pupil
садып алыр	purchase
арыг	pure
ягаан-көк	purple
сорулга	purpose
сорулгазы	purpose
кошелек	purse
сүрер	pursue
истээшкин	pursuit
идер	push
салыр	put
квалификация	qualification
шынар	quality
сан	quantity
карантин	quarantine
алгыш-кырыш	quarrel
дөрттүң бири	quarter
Кечуа	Quechua
кадын	queen
элдеп чүве	queer
дилег	query
айтырыг	question
оочур	queue
дүрген	quick
дүрген	quickly
оожум	quiet
аяар	quiet
хөвеңнээр	quilt
үнер	quit
элээн	quite
айтырыглар	quiz
цитата	quotation
цитата	quote
цитаталар	quotes
койгун	rabbit
чарыш	race
килең	rage
чаъс	rain
көдүрер	raise
көдүрткен	raised
маңнап турган	ran
доктаамал эвес	random
хемчээл	range
дүрген	rapid
дүрген	rapidly
дыка ховар	rare
ховар	rarely
шивишкилер	rash
улуг күске	rat
өртээн доктаадыр	rate
орнунга	rather
хамааржылга	ratio
чөптүг	rational
чиг	raw
каттап	re
чедер	reach
четкен	reached
реакция	reaction
номчуур	read
номчулга	reading
белен	ready
боттуг	real
боттуг чүүл	reality
медереп билир	realize
билип калган	realized
шынап-ла	really
шынап	really
артыкы	rear
чылдагаан	reason
медерелдиг	reasonable
сактыышкын	recall
чек	receipt
алыр	receive
алган	received
чоокку	recent
сөөлгү үеде	recently
хүлээп алыр чер	reception
рецепт	recipe
сагыш амыр	reckless
танып алыры	recognition
Танып алыр	recognize
сүмелээр	recommend
сүмелээн	recommended
бижиири	record
катап тургустунар	recover
катап тургузуушкун	recovery
