އެކަހެރިކުރުން	abandon
އިމޯޝަނަލް	emotional
ފާހަގަކުރެވިފައި	emphasis
ފާހަގަކުރުން	emphasize
މުވައްޒަފު	employee
ވަޒީފާ	employment
ހުސްވެފަ	empty
މަގުފަހި	enable
އެންކައުންޓަރ	encounter
ހިތްވަރުދިނުން	encourage
ނިމުން	end
އެންޑެވަރ	endeavor
ކެތްތެރިކަން	endurance
ކެތްކުރުން	endure
ދުޝްމަނު	enemy
ހަކަތަ	energy
އެންގޭޖް	engage
އެންގޭޖްވުން	engaged
އެންގޭޖްމަންޓް	engagement
އިންޖީނު	engine
އިންޖިނޭރު	engineer
އިނގިރޭސި	English
ނުހަނު	enormous
ފުދިއްޖެ	enough
ޔަޤީންކުރުން	ensure
ވަނުން	enter
މުނިފޫހިފިލުވުން	entertainment
ޝަޢުޤުވެރިކަން	enthusiasm
ހިތްވަރުހުރުން	enthusiastic
މުޅި	entire
ހައްޤުލިބެންވެފައި	entitled
އެންޓިޓީ	entity
ވިޔަފާރިވެރިޔާ	entrepreneur
ސިޓީއުރަ	envelope
މާޙައުލު	environment
ޙަސަދަ	envy
ބަރާބަރު	epic
ބަލިމަޑުކަން	epidemic
އެއްވަރު	equal
އިކުއިޕްމަންޓް	equipment
އެކުއިޓީ	equity
އެއްފަދަ	equivalent
ކުށް	error
ފިލުން	escape
ޚާއްސަކޮށް	especially
މަޒުމޫނު	essay
ޢަރަޤު	essence
މުހިންމު	essential
ޤައިމުކުރުން	establish
ޤާއިމުވެފައި	established
އެސްޓޭޓް	estate
އެސްޓިމޭޓް	estimate
ލަފާކޮށްފައި	estimated
ސުލޫކު	ethics
އިވެލުއޭޓް	evaluate
އިވެލުއޭޝަން	evaluation
ހަމަހަމަ	even
ހަވީރު	evening
ހަރަކާތް	event
އެހެންވިޔަސް	even though
ކޮންމެ	every
އެންމެން	everybody
އެންމެން	everyone
ހެކި	evidence
ނުބައި	evil
އިވޮލިއުޝަން	evolution
ދައުރުވުން	evolve
އިޔުވް	Ewe
އެކްސް	ex
ކަނޑައެޅިގެން	exactly
އިމްތިޙާނު	exam
މިސާލު	example
އިތުރުވުން	exceed
މެނުވީ	except
އިތުރު	excess
އިތުރަށް	excessive
އެކްސްޗޭންޖް	exchange
އުފާވުން	excited
އުފާވެރިކަން	excitement
ޚާއްސަ	exclusive
އެކްސްކިއުޒް	excuse
ވަގުތުކޮޅެއްދީ	excuse me
ތަންފީޒުކުރުން	execute
ތަންފީޛުކުރުން	execution
އެގްޒެކެޓިވް	executive
ކަސްރަތު	exercise
ވަރުބަލިކަން	exhaust
ވަރުބަލިވުން	exhausted
އެގްޒިބިޓް	exhibit
އެގްޒިބިޝަން	exhibition
މައުޖޫދުގައިވާ	exist
ވުޖޫދުގައިވުން	existence
ނިކުންނަ	exit
އިތުރުކުރުން	expand
އުންމީދުކުރާގޮތް	expect
އުންމީދުކުރި	expected
ހަރަދުތައް	expenses
އަގުބޮޑު	expensive
ތަޖުރިބާ	experience
ތަޖުރިބާ	experiment
މާހިރުން	expert
މުއްދަތުހަމަވެފައި	expired
ތަފްޞީލު	explanation
ދިރާސާކުރުން	explore
އެކްސްޕޯޓް	export
ފާޅުވުން	expose
ފާޅުވެފައި	exposed
ހުށަހޮޅުން	exposure
ފާޅުކުރުން	express
އެކްސްޕްރެޝަން	expression
އިތުރުކުރުން	extend
އިތުރުކޮށްފައިވުން	extended
މިންވަރު	extent
ބޭރުފުށުގެ	external
ނެތިދިޔުން	extinct
އިތުރު	extra
އެކްސްޓްރެކްޓް	extract
ވަރަށް	extreme
ވަރަށް	extremely
ލޯ	eye
ލޯ	eyes
ފޮތި	fabric
މޫނު	face
ފަސޭހަކޮށްދިނުން	facilitate
ފެސިލިޓީތައް	facilities
ފެސިލިޓީ	facility
ހަޤީޤަތް	fact
ފެކްޓަރ	factor
ފެކްޓަރީ	factory
ހަގީގަތް	facts
ގެއްލުން	fade
ނާކާމިޔާބުވުން	fail
ފެއިލްވުން	failed
ފެއިލްވުން	failure
ހޭނެތުން	faint
އިންސާފު	fair
ފުދޭވަރަކަށް	fairly
ޕަރީ	fairy
އީމާންތެރިކަން	faith
ވަފާތެރި	faithful
އަސްލުނޫން	fake
ވެއްޓުން	fall
ރަނގަޅުނޫން	false
މަޝްހޫރު	fame
ދަންނަ	familiar
ޢާއިލާ	family
ހަނަފަސްކަން	famine
މަޝްހޫރު	famous
ފަންކާ	fan
ފޭންސީ	fancy
ދުރު	far
ވަކިވެލުން	farewell
ދަނޑު	farm
ދަނޑުވެރިޔާ	farmer
ފެޝަން	fashion
އަވަސް	fast
ފަލަ	fat
ނުރައްކާރެތި	fatal
ތަޤްދީރު	fate
ބައްޕަ	father
ވަރުބަލިކަން	fatigue
ކުށް	fault
ކަމުދާ	favorite
ހެޔޮކަމެއް	favour
ބިރު	fear
ޖާފަތް	feast
ފިޔަ	feather
ސިފަ	feature
ސިފަތައް	features
ފެބްރުއަރީ	february
ފުދުން	fed up
ފީ	fee
ކާންދިނުން	feed
ފީޑްބެކް	feedback
އިޙުސާސް	feel
އިޙްސާސް	feeling
ފައި	feet
ވެއްޓުން	fell
އެކުވެރި	fellow
އިޙުސާސްވުން	felt
އަންހެން	female
ފެންސް	fence
ދަރިމައިވަންތަ	fertile
ފެސްޓިވަލް	festival
ނެގުން	fetch
ހުން	fever
މަދު	few
ހުން	fewer
ފިކްޝަން	fiction
ދާއިރާ	field
ވަރުގަދަ	fierce
ފަނަރަ	fifteen
ފަންސާސް	fifty
ތެޅުން	fight
ތަޅާފޮޅުން	fighting
އަދަދެއް	figure
ފާހަނގަވުން	figure out
ފައިލް	file
ފުރުން	fill
ފުރިފައިވުން	filled
ފިލްމު	film
ނަޖިސް	filthy
އެންމެފަހުން	finally
ފައިނޭންސް	finance
ފައިނޭންޝަލް	financial
ހޯދުން	find
ހޯދުން	find out
ހިމުން	fine
އިނގިލި	finger
ނިންމުން	finish
ނިމުން	finished
އަލިފާން	fire
ހަރުދަނާ	firm
ފުރަތަމަ	first
މަސް	fish
ފިޓް	fit
ފަހެއް	five
ހައްލުކުރުން	fix
ހަރުކޮށްފައި	fixed
ދިދަ	flag
މަސްގަނޑު	flash
ފްލެޓް	flat
އައިބު	flaw
ފިލުން	flee
މަސް	flesh
ދަމާލުން	flex
ފްލެކްސިބަލް	flexible
ފްލައިޓް	flight
ފުށުންޖެހުން	flip
ފްލަރޓް	flirt
ފްލާޓްކުރުން	flirting
ބީއްސުން	float
ފެންބޮޑުވުން	flood
ބިންމަތި	floor
ފުށް	flour
އޮހުން	flow
މާ	flower
ރޯގާ	flu
ފަރިތަ	fluent
ފަރިތަކަމާއެކު	fluently
މަޑު	fluffy
ދިޔާތަކެތި	fluid
އުދުހުން	fly
ފޯކަސް	focus
ދުންފިނި	fog
ދުންވެފަ	foggy
ފައްޖެހުން	fold
މީހުން	folks
ފޮލޯ	follow
ކުރިއަށްދާގޮތްބެލުން	follow up
ކާތަކެތި	food
މޮޔަ	fool
މޮޔަ	foolish
ފައިތިލަ	foot
ފުޓްބޯޅަ	football
އަށް	for
މަނާ	forbidden
މަޖުބޫރުކުރުން	force
ފޯކާސްޓް	forecast
ނިއްކުރި	forehead
ޚާރިޖީ	foreign
ޖަންގަލި	forest
އަބަދަށް	forever
މިސާލަކަށް	For example
ހަނދާންނެތުން	forget
މަޢާފުކުރުން	forgive
ހަނދާންނެތުން	forgot
މިސާލަކަށް	for instance
އޫ	fork
ފޯމު	form
ރަސްމީ	formal
ކުރީގެ	former
ނަސީބަކުން	fortunately
ޚަޒާނާ	fortune
ސާޅީސް	forty
ކުރިޔަށް	forward
ތިބާއަށް	for you
ފޯސްޓަރ	foster
ތެޅުން	fought
ފެނިއްޖެ	found
ބިންގާ	foundation
ހަތަރެއް	four
ސާދަ	fourteen
ހިޔަޅު	fox
ނާޒުކު	fragile
ފްރޭމް	frame
އޮނިގަނޑު	framework
ފްރޯޑް	fraud
ހިލޭ	free
މިނިވަންކަން	freedom
ގަނޑުކުރުން	freeze
ފްރީކުއެންސީ	frequency
ތަކުރާރުވުން	frequently
ތާޒާ	fresh
ރަޙުމަތްތެރިޔާ	friend
ރަޙްމަތްތެރި	friendly
ރަޙްމަތްތެރިން	friends
ރަހުމަތްތެރިކަން	friendship
ބިރުގަނެފައި	frightened
ބިރުވެރި	frightening
ބޮއް	frog
ފަރާތުން	from
ކުރިމަތި	front
ގަނޑުވެފަ	frozen
މޭވާ	fruit
ތެޔޮ	fuel
ފިލްފުލްޑަ	Fulfulde
ފުރިފައި	full
މަޖާ	fun
ފަންކްޝަން	function
އަސާސީ	fundamental
ޖަނާޒާ	funeral
މަޖާ	funny
ކެހެރި	fur
ރުޅިގަދަ	furious
ފަރްނީޗަރ	furniture
ކުރިޔަށް	further
އޭގެއިތުރުން	furthermore
މުސްތަޤުބަލު	future
ލިބުން	gain
ގޭމް	game
ގެޕް	gap
ގަރާޖް	garage
ކުނި	garbage
ބަގީޗާ	garden
ލޮނުމެދު	garlic
އެއްކުރުން	gather
އެއްވުން	gathering
ގޯޖް	gauge
ދިން	gave
ގިއަރު	gear
ޖިންސު	gender
އާންމު	general
އާންމުގޮތެއްގައި	generally
ޖެނެރޭޓް	generate
ޖެނެރޭޝަން	generation
ދީލަތި	generous
ބާވަތް	genre
މަޑުމައިތިރި	gentle
ތެދުވެރި	genuine
އިޝާރާތް	gesture
ލިބުން	get
ލިބެނީ	getting
ތެދުވޭ	get up
ފުރޭތަ	ghost
ބާކީކޮށްލުން	ghosting
ބޮޑު	giant
ހަދިޔާ	gift
އިނގުރު	ginger
ގާލްފްރެންޑް	girlfriend
ދިނުން	give
ދީފައިވުން	given
ދޫކޮށްލުން	give up
އުފާވުން	glad
ބެލުން	glance
ބިއްލޫރި	glass
ފެނިލުމެއް	glimpse
ބައިނަލްއަގުވާމީ	global
ހިތާމަވެރި	gloomy
އަންގި	gloves
ވިދުން	glow
ދިއްލާލުން	glow up
ތެރަސް	glue
ދޭ	go
މަޤަޞަދު	goal
ލަނޑުދަނޑިތައް	goals
ބަކަރި	goat
ﷲ	god
ދޭ	goes
ދިއުން	going
މިދަނީ	going to
ރަން	gold
ގޮއްސި	gone
ރަނގަޅު	good
ދަނީ	goodbye
މުދާތައް	goods
ގޫގްލް	Google
އަސްދޫނި	goose
ރީތި	gorgeous
ލިބިއްޖެ	got
ލިބިއްޖެ	got it
ސަރުކާރު	government
އަތުލުން	grab
ގްރޭޑް	grade
ގްރެޖުއޭޓް	graduate
އޮށް	grain
ދިނުން	grant
ދިނުން	granted
މޭބިސްކަދުރު	grapes
ދެނެގަނެވުން	grasp
ވިނަ	grass
ޝުކުރުވެރި	grateful
ޝުކުރު	gratitude
ކަށްވަޅު	grave
އަޅިކުލަ	gray
ބޮޑު	great
ދަހިކަން	greed
ދަހި	greedy
ފެހި	green
ސަލާމްދިނުން	greet
ތަހުނިޔާކިޔުން	greeting
ސަލާމް	greetings
އަޅިކުލަ	grey
ގްރިޑް	grid
ހިތްދަތިކަން	grief
ހިމުންކުރުން	grind
ހިފެހެއްޓުން	grip
ގްރޯޝެރީ	grocery
ރީތިވުން	groom
ގްރޮސް	gross
ބިންމަތި	ground
ގްރޫޕް	group
ބޮޑުވުން	grow
ހެދިބޮޑުވުން	growth
ރުޅިގަދަވެފައި	grumpy
ގަރާނީ	Guarani
ޔަޤީންކަން	guarantee
ގާޑް	guard
ހީވާގޮތް	guess
ގެސްޓު	guest
ހިދާޔަތު	guidance
މަގުދައްކައިދިނުން	guide
ގިލްޓީ	guilty
ފިރިހެނެއް	guy
ފިރިހެނުން	guys
ޖިމް	gym
އާދަ	habit
ދިރިއުޅޭތަން	habitat
އޮތް	had
ފިނިފޭބުން	hail
އިސްތަށިގަނޑު	hair
ހޯލް	hall
އަތްތިލަ	hand
ހިފަހައްޓާތަން	handle
ރީތި	handsome
އެލުވުން	hang
ވުން	happen
ހިނގި	happened
އުފާވެރިކަން	happiness
އުފާ	happy
އުނދަގޫ	hard
ދުވަހަކުވެސް	hardly ever
އަނިޔާ	harm
ގެއްލުންލިބޭ	harmful
ހަމަހިމޭންކަން	harmony
ވަރުގަދަ	harsh
ހާވެސްޓް	harvest
އޮތުން	has
ނަފްރަތު	hate
އޮތުން	have
ސައިބޯލާ	have breakfast
މަޖާކޮށްލާ	have fun
ކައިފިންތަ	have you eaten
ނުރައްކާތެރި	hazard
ފޭދިފައި	haze
އޭނަ	he
ބޯ	head
ބޮލުގައިރިހުން	headache
ރަނގަޅުވުން	heal
ފަރުވާ	healing
ސިއްޙަތު	health
އަޑުއިވުން	hear
އަޑުއިވުން	heard
ހިތް	heart
ހޫނު	heat
ސުވަރުގެ	heaven
ބަރު	heavy
ބުރަ	hectic
އުސްމިން	height
ވާރިތަވެރިޔާ	heir
ހެއިސްޓް	heist
ހިފެހެއްޓިފައި	held
ނަރަކަ	hell
ހެލްމެޓް	helmet
އެހީވުން	help
އެހީތެރި	helpful
އެހެންކަމުން	hence
އޭނާ	her
ހަރޑް	herd
މިތަނުގަ	here
ހެރިޓޭޖް	heritage
ފަސްޖެހުން	hesitate
ފޮރުވިފައި	hidden
ފޮރުވުން	hide
ހައިރާކީ	hierarchy
އުސް	high
ހައިލައިޓް	highlight
ހައިކް	hike
މަޖާ	hilarious
ފަރުބަދަ	hill
އޭނާ	him
އިޝާރާތެއް	hint
އުނަގަނޑު	hip
އުނަގަނޑު	hips
ކުއްޔަށްހިފުން	hire
އޭނަގެ	his
ތާރީޚް	history
ޖެހުން	hit
ހުމް	Hmm
ހޮބީ	hobby
ހިފަހައްޓާ	hold
މަޑުކޮށްލާ	hold on
ލޯވަޅު	hole
ޗުއްޓީ	holiday
ހުސް	hollow
ގެ	home
ހޯމްވަރކް	homework
ތެދުވެރި	honest
ޙަޤީޤަތުގައި	honestly
މާމުއި	Honey
ޝަރަފު	honor
ހުޑް	hood
ބުޅި	hook
ފުންމުން	hop
އުންމީދު	hope
އުންމީދުގެއްލުން	hopeless
ދިގަށް	horizontal
ހޯން	horn
ބިރު	horror
އަސް	horse
ހަސްފަތާލު	hospital
މެހެމާންދާރީ	hospitality
ހަރުކަށި	hostile
ހޫނު	hot
ހޮޓެލް	hotel
ގަޑިއިރު	hour
ގަޑިއިރުތަކެއް	hours
ގެ	house
ގޭގައިގެންގުޅޭ	household
ކިހިނެތް	how
އެހެނެއްކަމަކު	however
ކިހިނެތް	how is
ކިތަކެއް	how many
ހަބް	hub
ފިރިމީހާ	hubby
ބައްދާލުން	hug
ބޮޑު	huge
އިންސާނާ	human
މަޑުމައިތިރި	humble
ތެތްފިނިކަން	humidity
ސަތޭކަ	hundred
ބަނޑުހައިވުން	hungry
ޝިކާރަކުރުން	hunt
ނަގޫރޯޅި	hurricane
އަވަސްކުރުން	hurry
ދެރަވުން	hurt
ފިރިމީހާ	husband
ހަސްލް	hustle
ހަޓް	hut
ސާފުޠާހިރުކަން	hygiene
އަހަރެން	I
އަހަންނަކީ	I am
ގަނޑު	ice
ޚިޔާލު	idea
ވައްތަރު	identical
އައިޑެންޓިޓީ	identify
އައިޑެންޓިޓީ	identity
މޮޔަ	idiot
ނަމަ	if
އަޅާނުލުން	ignore
ބަލިވުން	ill
ހުއްދަނޫން	illegal
ބަލިކަން	illness
އިލްކާނޯ	Ilocano
އަހަންނަކީ	I'm
އަހަންނަކީ	I’m
ފޮޓޯ	image
ވިސްނާލުން	imagine
ވަގުތުން	immediate
ވަގުތުން	immediately
ވަރަށް	immense
އިމްޕެކްޓް	impact
ކެތްނުކުރެވޭ	impatient
ތަންފީޒުކުރުން	implement
އެތެރެކުރުން	import
މުހިންމު	important
އިމްޕޯސް	impose
ނުކުރެވޭ	impossible
ގަޔާވުން	impress
އިމްޕްރެޝަން	impression
ކުރިއެރުން	improvement
ސޮރީ	I'm sorry
އެތެރެ	in
މުނާސަބުނޫން	inappropriate
ބޯނަސް	incentive
އިންސިޑެންޓް	incident
ހިމެނުން	include
ހިމެނޭގޮތަށް	including
ޢަމްދަނީ	income
އުނދަގޫ	inconvenience
އިތުރުކުރުން	increase
އިތުރުވެފަ	increased
މިނިވަން	independent
އިންޑިއާ	India
ދައްކުވައިދިނުން	indicate
އިންޑަސްޓްރީ	industry
ނުވެނުދާނެ	inevitable
އިންފެކްޝަން	infection
ނިމުމެއްނެތް	infinity
ދުޅަވުން	inflammation
ނުފޫޒު	influence
އެންގުން	inform
މަޢުލޫމާތު	information
ކުރިމަތީގައި	in front of
ތަކެތި	ingredients
ވާރުތަމުދާ	inheritance
ފުރަތަމަ	initial
އިސްނެގުން	initiative
އަނިޔާވެފައި	injured
އަނިޔާ	injury
ކުށެއްނެތް	innocent
އީޖާދު	innovation
ކުރުމަށްޓަކައި	in order to
މޮޔަ	insane
ސޫފި	insect
އިންސެކުޔަރ	insecure
އިންސަރޓް	insert
އެތެރެ	inside
އިންސައިޓް	insight
ކުރުނުކުރުން	insist
ނިދިނައުން	insomnia
އިންސްޕިރޭޝަން	inspiration
އިންސްޕަޔަރ	inspire
އެޅުން	install
މިސާލަކަށް	instance
ބަދަލުގައި	instead
ބަދަލުގައި	instead of
އިރުޝާދު	instructions
އިންސްޓްރޫމަންޓް	instrument
އިންޝުރެންސް	insurance
އެކުގައި	intact
ނަޒާހަތްތެރިކަން	integrity
ތޫނުފިލިކަން	intelligence
ތޫނުފިލި	intelligent
އުންމީދުކުރުން	intend
އުންމީދުކުރީ	intended
އަސަރުގަދަ	intense
ނިޔަތް	intention
މުޢާމަލާތުކުރުން	interact
މުޢާމަލާތު	interaction
ޝަޢުޤު	interest
ޝައުގުވެރިވެފައި	interested
ޝައުޤުވެރި	interesting
ނުފޫޒުފޯރުވުން	interfere
އިންޓަރމީޑިއޭޓް	intermediate
އެތެރޭގެ	internal
ބައިނަލްއަޤްވާމީ	international
އިންޓަރންޝިޕް	internship
ބަސްދޭހަ	interpret
ތަރުޖަމާނު	interpreter
މެދުކެނޑުން	interrupt
އިންޓަރވިއު	interview
އިންޓިމެޓް	intimate
ތެރެއަށް	into
ތަޢާރަފްކުރުން	introduce
ތަޢާރަފު	introduction
އިންޓްރޮވަރޓް	introvert
ހިތްބުނާގޮތް	intuition
ބާޠިލް	invalid
އީޖާދު	invent
އިންވެންޓްރީ	inventory
އިންވެސްޓު	invest
ތަޙުޤީޤުކުރުން	investigate
ދަޢުވަތު	invitation
ދަޢުވަތުދިނުން	invite
ބިލް	invoice
ހިމެނުން	involve
މަޝްޢޫލުވެފައިވުން	involved
ދަގަނޑު	iron
އަކީ	is
ރަށް	island
އެކަހެރިވެފައި	isolated
މައްސަލަ	issue
މައްސަލަތައް	issues
އޭތި	it
އައިޓަމް	item
ތަކެތި	items
އެއީ	it is
އެއީ	it's
އެއީ	its
އެއީ	it was
ޖެކެޓް	jacket
ޖަލު	jail
ޖަނަވަރީ	January
ޖާރ	jar
ދަތްދޮޅި	jaw
ޙަސަދަވެރި	jealous
ތާކުންތާކުނުޖެހޭ	jerk
ގަހަނާ	jewelry
ވަޒީފާ	job
ޖޮގްކުރުން	jogging
ޖޮއިން	join
ޖޮއިންޓް	joint
ޖޯކު	joke
ނޫސްވެރިން	journalist
ދަތުރު	journey
އުފާވެރިކަން	joy
ގާޟީ	judge
ޖޫސް	juice
ޖުލައި	july
ފުންމުން	jump
ޖޫން	june
ޖަންކް	junk
ހަމަ	just
އިންސާފު	justice
ބަޔާންކޮށްދިނުން	justify
ްކަލާލިސަޓ	Kalaallisut
ޝައުޤުވެރި	keen
ބެހެއްޓުން	keep
ބާއްވައިފި	kept
ކުރާ	kettle
ތަޅުދަނޑި	key
ޖެހުން	kick
ކުއްޖާ	kid
ސަމާސާކޮށްލުން	kidding
ކިޑްނީ	kidney
ކުދިން	kids
މެރުން	kill
ހިތްހެޔޮ	kind
ހީވާގޮތުން	kinda
ހިތްހެޔޮކަމާއެކު	kindly
އޯގާތެރިކަން	kindness
ރަސްގެފާނު	king
ބޮސްދިނުން	kiss
ބަދިގެ	kitchen
ގުޑި	kite
ކުޑަބުލާ	kitten
ކަކޫ	knee
އެނގުން	knew
ވަޅި	knife
ނައިޓް	knight
އެނގުން	know
ޢިލްމު	knowledge
އެނގިފައިވާ	known
ކެންގާނީ	Konkani
ކްެރިއޯ	Krio
ލޭބަލް	label
މަސައްކަތުމީހުން	labour
މަދުވުން	lack
ހަރުގަނޑު	ladder
އަންހެނާ	lady
ލެއިޑް	laid
ފެންގަނޑު	lake
ކަންބަޅި	lamb
ބޮކި	lamp
ބިން	land
ލޭންޑްސްކޭޕް	landscape
ބަސް	language
އުނގު	lap
ލަހުން	late
ފަހުން	later
އެންމެފަހުގެ	latest
ފަހުން	latter
ހުނުން	laugh
ހުނުން	laughing
ހިނިތުންވުން	laughter
ލޯންޗު	launch
ޤާނޫނު	law
ލޯން	lawn
ވަކީލުން	lawyer
އޮތުން	lay
ލޭޔަރ	layer
ލޭއައުޓް	layout
ކަންނެތް	lazy
އިސްނެގުން	lead
ލީޑަރު	leader
ފަތް	leaf
ލީކުވުން	leak
ލީން	lean
ލީޕް	leap
ދަސްކުރުން	learn
އުގެނުން	learning
ކުއްޔަށް	lease
ލެދަރ	leather
ދިއުން	leave
ފަތްތައް	leaves
ލެޑް	led
ވާތް	left
ފައި	leg
ލެގަސީ	legacy
ޝަރުޢީ	legal
ލެޖެންޑް	legend
ބަލައިގަންނަ	legit
ލެންޑް	lend
ދިގުމިން	length
މަދުން	less
ފިލާވަޅު	lesson
ސިޓީ	letter
ލެޓިއުސް	lettuce
ލެވަލް	level
ލެވަރެޖް	leverage
ކުތުބުޚާނާ	library
ދޫލުން	lick
ދޮގު	lie
ދޮގުތައް	lies
ދިރިއުޅުން	life
އުފުލުން	lift
އަލި	light
ވިދުން	lightning
ކަހަލަ	like
ހީވާގޮތުން	likely
ލައިން	line
ލިންގާލާ	Lingala
ލިންކް	link
ސިންގާ	lion
ދިޔާތަކެތި	liquid
ލިސްޓް	list
އަޑުއެހުން	listen
އަޑުއެހުން	listening
ޙަޤީޤަތުގައި	literally
އަދަބީ	literature
ކުނިއެޅުން	litter
ކުޑަ	little
ދިރިއުޅުން	live
މޭގަނޑު	liver
ދިރިއުޅުން	lives
ދިރިއުޅުން	living
ލިޒާޑް	lizard
ލޯޑް	load
ލޯފް	loaf
ލޯން	loan
ލޯކަލް	local
ސަރަހައްދު	location
ތަޅު	lock
ފުރަބަންދު	lockdown
ލޮލް	lol
އެކަނިވެރި	lonely
ދިގު	long
ބެލުން	look
ލޫޕް	loop
ގެއްލުނު	loose
ﷲ	lord
ގެއްލުން	lose
ގެއްލުން	loss
ގެއްލުން	lost
ތަން	lot
އަޑުގަދަ	loud
ލޯންޖް	lounge
ލޯބި	love
ލޮބުވެތި	lovely
ދަށް	low
ތިރިކުރުން	lower
ވަފާތެރި	loyal
އިޚްލާޞްތެރި	loyalty
ނަސީބު	luck
ނަސީބުގަދަ	lucky
ލުގެންޑާ	Luganda
ލަގެޖް	luggage
ލަމްޕް	lump
ފުއްޕާމޭ	lungs
މޮޅެތި	luxury
ދޮގުހެދުން	lying
މެޝިން	machine
މޮޔަ	mad
މެޑަމް	madam
ހެދުން	made
މެގަޒިން	magazine
މަތިވެރި	magnificent
މައިގަނޑު	main
ދެމެހެއްޓުން	maintain
ބެލެއްޓުން	maintenance
މައިތިލީ	Maithili
މައިގަނޑު	major
ހެދުން	make
މޭކަޕް	make up
ފިރިހެން	male
މޯލް	mall
ފިރިހެނާ	man
ބެލެހެއްޓުން	manage
މެނޭޖްމަންޓް	management
މެނޭޖަރު	manager
މަޖުބޫރު	mandatory
މެނިފެސްޓް	manifest
އަޚްލާޤު	manner
މެނުއަލް	manual
ބައިވަރު	many
މާޗް	march
މާޖިން	margin
މާރުކޭޓު	market
ކައިވެނި	marriage
މާސްކު	mask
ބައިވަރު	mass
ބޮޑުމީހާ	master
މެޗް	match
އެކުވެރިޔާ	mate
ތަކެތި	material
ހިސާބު	math
މައްސަލަ	matter
ވިސްނުން	maturity
ފަހަރެއްގަ	may
ފަހަރެއްގަ	maybe
އަހަރެން	me
ކެއުން	meal
ގޯސް	mean
މާނަ	meaning
ސަބަބު	means
މާނަކުރީ	meant
މިނުން	measure
މިންގަޑުތައް	measures
މަސް	meat
މެޑިކަލް	medical
ބޭސް	medicine
މެޑިޓޭޝަން	meditation
މީޑިއަމް	medium
ބައްދަލުކުރުން	meet
ބައްދަލުވުން	meeting
މައިޓީލޯން	Meiteilon
ވިރުން	melt
ހަނދާންތައް	memories
ހަނދާން	memory
ނަންގަތުން	mention
ނަންގަތުން	mentioned
މެންޓަރ	mentor
ވިޔަފާރިވެރިޔާ	merchant
ރަޙުމު	mercy
ކިރިޔާ	merely
މެސެޖް	message
ދަގަނޑު	metal
ގޮތް	method
އަހަރެންވެސް	me too
މީދާ	mice
މެދު	middle
ދަންވަރު	midnight
ވެދާނެ	might
މަދުމިނުން	mild
މައިލްސްޓޯން	milestone
ހެވިކަން	military
ކިރު	milk
މިލިއަން	million
ވިސްނުމުގައި	mind
ވިސްނުން	mindset
އަހަރެންގެ	mine
އެކުވުން	mingle
ކުޑަ	minor
މިނެޓް	minute
މިނެޓް	minutes
މުޢުޖިޒާތް	miracle
ލޯގަނޑު	mirror
ލާނެތް	mischievous
އަބާއްޖަވެރި	miserable
ހިތްދަތިކަން	misery
ހަނދާންވުން	miss
ްމަދުވުނ	missing
މިޝަން	mission
ހަނދާންވޭ	miss you
ދުންފިނި	mist
ކުށް	mistake
މައިޒޯ	Mizo
މޯބައިލް	mobile
މަލާމާތްކުރުން	mock
މޮޑެލް	model
މެދުމިން	moderate
ޒަމާނީ	modern
މޮޑެސްޓް	modest
ތެތް	moist
ތެތްކަން	moisture
މޯލްޑް	mold
މޯލް	mole
މަންމަ	mom
ހިނދުކޮޅު	moment
ފައިސާ	money
މޮނީޓަރު	monitor
ރާމާމަކުނު	monkey
މަސް	month
މޫޑް	mood
މޫޑީ	moody
ހަނދު	moon
ޢިބުރަތް	moral
އިތުރަށް	more
ހެނދުނު	morning
މޯގޭޖް	mortgage
އެންމެ	most
ގިނަފަހަރު	mostly
މަންމަ	mother
ހަރަކާތް	motion
ހިތްވަރު	motivation
ފަރުބަދަ	mountain
މީދާ	mouse
އަނގަ	mouth
ދިޔުން	move
ހަރަކާތް	movement
ފިލްމު	movie
މިސިޒް	mrs
ވަރަށް	much
މަޑް	mud
މަގް	mug
މަސުލް	muscle
މިއުޒިއަމް	museum
މަޝްރޫމު	mushroom
މިއުޒިކް	music
މަޖުބޫރު	must
އަޑުކަނޑާލުން	mute
އަހަރެންގެ	my
މަރުޙަބާ	my pleasure
އަހަރެން	myself
ގޮތްނޭނގޭ	mystery
ނިޔަފަތި	nail
ނައީވް	naive
ނަން	name
ރިވާއެއް	narrative
ދަތި	narrow
ޤައުމީ	national
ޤައުމިއްޔަތު	nationality
ޤުދުރަތީ	natural
ތިމާވެށި	nature
ބޯއެނބުރުން	nausea
ކައިރި	near
ކައިރީގައި	nearby
ކިރިޔާ	nearly
ތަރުތީބު	neat
ކަރު	neck
ބޭނުން	need
ނައްސި	negative
އެކަހެރިކޮށްލުން	neglect
ނެގޯޝިއޭޓް	negotiate
އަވަށްޓެރިޔާ	neighbor
މިހެނެއްނޫން	neither
ނަރޑް	nerd
ހާސްވުން	nervous
ހާލި	nest
ނެޓް	net
ނެޓްވަރކް	network
ދުވަހަކުވެސް	never
އަޅާނުލާ	never mind
އަޅާނުލާ	nevermind
އެހެންވިޔަސް	nevertheless
އާ	new
ހަބަރުތައް	news
ދެން	next
ރީތި	nice
ރޭގަނޑު	night
ނުވައެއް	nine
ނަވާރަ	nineteen
ނުވަދިހަ	ninety
ނޫން	No
އަޑު	noise
