i-	a
jwayelene	familiar
mndeni	family
indlala	famine
dvumile	famous
umlandzeli	fan
intfo lemangalisako	fancy
cabanga	fancy
lenhle kakhulu	fantastic
kudze	far
hamba kahle	farewell
lipulazi	farm
umlimi	farmer
kuhle kakhulu	fascinating
imfashini	fashion
ngekushesha	fast
khuluphele	fat
emafutsa	fat
bulalako	fatal
simiselo	fate
babe	father
kukhatsala	fatigue
licala	fault
liphutsa	fault
lokutsandvwako	favorite
musa	favour
tsandzwako	favourite
kwesaba	fear
umcimbi	feast
timphaphe	feather
sici	feature
tici	features
februwari	february
indlovana	february
khatsele	fed up
imali	fee
ondla	feed
umbiko	feedback
kutiva	feel
muva	feeling
tinyawo	feet
wile	fell
umnaka	fellow
vile	felt
umsikati	female
fenisi	fence
vundzile	fertile
umkhosi	festival
umgubho	festival
letsa	fetch
landza	fetch
umkhuhlane	fever
incusana	few
incusana	fewer
lotsembisene naye umshado	fiance
inganekwane	fiction
emanga	fiction
insimi	field
sabekako	fierce
lishumi nesihlanu	fifteen
emashumi nesihlanu	fifty
imphi	fight
kulwa	fight
kulwa	fighting
simo	figure
sibalo	figure
yati	figure out
lifayili	file
gcwalisa	fill
gcwalisile	filled
lifilimu	film
ngcolile	filthy
ekugcineni	finally
kwetimali	finance
kwetimali	financial
tfola	find
ftola	find out
kulungile	fine
lenhle	fine
umunwe	finger
cedza	finish
cedzile	finished
umlilo	fire
qinile	firm
kwekucala	first
libito	first name
inhlanzi	fish
fanela	fit
sihlanu	five
lungisa	fix
lungisile	fixed
ifulegi	flag
sibani	flash
sicebedvu	flat
licala	flaw
sici	flaw
ngana sici	flawless
phelele	flawless
baleka	flee
nyamalala	flee
inyama	flesh
balekile	flew
goba	flex
gobekako	flexible
kubaleka	flight
kundiza	flight
kushintja	flip
ntanta	float
sikhukhula	flood
indzawo lephansi	floor
ufulawa	flour
geleta	flow
imbali	flower
mkhuhlane	flu
kukhuluma kahle	fluent
kukhuluma kahle	fluently
mfabamfaba	fluffy
emanti	fluid
ndiza	fly
condzisa	focus
inkungu	fog
nenkungu	foggy
songa	fold
bantfu	folks
landzela	follow
kulandzelela	follow up
kulandzela	following
kudla	food
siphukuphuku	fool
buthuta	foolish
lunyawo	foot
libhola	football
kute	for
kutsi	for
Ngokwesibonelo	For example
Ngokwesibonelo	for instance
kwakho	for you
kwencatsjelwe	forbidden
emandla	force
phoca	force
bikitela	forecast
ibunti	forehead
kwenye indzawo	foreign
ihlatsi	forest
phakadze	forever
khohlwa	forget
colela	forgive
khohliwe	forgot
imfologo	fork
simo	form
kugcina umtsetfo	formal
kwakucala	former
nganhlanhla	fortunately
inhlanhla	fortune
emashumi nemane	forty
emashumi nemane nambili	forty-two
embili	forward
khulisa	foster
lwile	fought
tfolile	found
sisekelo	foundation
mane	four
lishumi nane	fourteen
imphisi	fox
phukako	fragile
luhlaka	frame
luhlaka	framework
inkhohliso	fraud
khululekile	free
mahala	free
inkululeko	freedom
bandza kakhulu	freeze
kuvama	frequency
vamile	frequent
ngekuvamile	frequently
lokusha	fresh
lesihlanu	friday
ifriji	fridge
umgani	friend
lonebungani	friendly
bangani	friends
bungani	friendship
tfukile	frightened
tfukisako	frightening
icoco	frog
kusukela	from
ku	from
embili	front
nelichwa	frozen
sitselo	fruit
khungatsekile	frustrated
emalahle	fuel
tinkuni	fuel
SiFulfulde	Fulfulde
gcwele	full
jabulisako	fun
umsebenti	function
sebenta	function
lokusemcoka	fundamental
umcwabo	funeral
mahlaya	funny
boya	fur
tfukutsele	furious
ifenisha	furniture
lokuchubekako	further
ngetulu kwaloko	further
ngetulu kwaloko	furthermore
likusasa	future
zuza	gain
mdlalo	game
sikhala	gap
igalaji	garage
kuncola	garbage
insimi	garden
ingadze	garden
igalikhi	garlic
igede	gate
kubutsa	gather
kuhlangana	gathering
kulinganisa	gauge
igeji	gauge
kuniketa	gave
igiya	gear
timphahla	gear
bulili	gender
jikelele	general
jikelele	generally
enta	generate
situkulwane	generation
kuphana	generous
lohlakaniphile	genius
luhlobo	genre
umnene	gentle
nemusa	gentle
sibili	genuine
lucotfo	genuine
kushukumisa umtimba	gesture
kutfola	get
kugcoka	get dressed
kuvuka	get up
sheshe uphole	get well soon
kutfola	getting
sipoko	ghost
sidlakela	giant
sipho	gift
i-ginger	ginger
ntfombatane	girl
kuniketa	give
kupha	give
kudzinwa	give up
phela emandla	give up
kunika	give up
niketiwe	given
jabulile	glad
kubuka	glance
ingilazi	glass
tingilazi	glasses
kubona	glimpse
emhlabeni wonkhe	global
lusizi	gloomy
kungabonakali	gloomy
emagilavu	gloves
kukhanya	glow
kukhanya	glow up
kwekunamatselisa	glue
igilu	glue
hamba	go
hambani	go ahead
go ahead	go ahead
suka	go away
hamba	go away
hamba uyolala	go to bed
mugomo	goal
migomo	goals
imbuti	goat
nkulunkulu	god
nkulunkulu akubusise	god bless you
yehamba	goes
yahamba	going
kuya	going to
ligolide	gold
hambile	gone
ngito-	gonna
kuhle	good
sawubona	good afternoon
sala kahle	good bye
sawubona	good day
sawubona	good evening
msebenti lomuhle	good job
muhle	good looking
bukekako	good looking
ube nenhlanhla	good luck
inhlanhla	good luck
sawubona	good morning
sawubona	good morning my love
ulale kahle	good night
sala kahle	goodbye
ulale kahle	goodnight
tintfo	goods
timphahla	goods
I-Google	Google
I-Google Translate	Google Translate
lihansi	goose
kuhle kakhulu	gorgeous
kuhleba	gossip
tfolile	got
kuyitfola	got it
hulumende	government
bamba	grab
ibanga	grade
kancane kancane	gradually
lophotfulile	graduate
inhlamvu	grain
kuniketa	grant
niketiwe	granted
emagilebisi	grapes
kubamba	grasp
kucondzisa	grasp
tjani	grass
lobongako	grateful
kubonga	gratitude
lithuna	grave
mphunga	gray
kuhle kakhulu	great
kukhulu	great
bugovu	greed
bugovu	greedy
luhlata	green
kubingelela	greet
kubingelela	greeting
kubingelela	greetings
mphunga	grey
lusizi	grief
kusilwa	grind
kubamba	grip
kudla lokutsengiwe	grocery
umkhwenyane	groom
kutilungisa	groom
nyanyekako	gross
phasi	ground
emhlabatsini	ground
licembu	group
khula	grow
kukhula	growth
locumbile	grumpy
SiGuarani	Guarani
sicinisekiso	guarantee
kugadza	guard
cagela	guess
combela	guess
sivakashi	guest
sicondziso	guidance
kucondzisa	guide
lonelicala	guilty
lijaha	guy
emajaha	guys
indzawo yekutivocavoca	gym
umkhuba	habit
indzawo yekuhlala	habitat
bekanako	had
sangcotfo	hail
tinwele	hair
ihhafu	half
liholo	hall
sandla	hand
kuphatsa	handle
muhle	handsome
kulenga	hang
kuhlala	hang out
kwenteka	happen
kwentekile	happened
injabulo	happiness
jabula	happy
losuku loluhle lwekutalwa	happy birthday
losuku loluhle lwekutalwa kuwe	happy birthday to you
umnyaka lomusha lomuhle	happy new year
cinile	hard
matima	hard
akuvami	hardly
akuvami	hardly ever
kulimata	harm
lelematako	harmful
leyingoti	harmful
kubambisana	harmony
hlabako	harsh
kuvuna	harvest
unato	has
tondza	hate
kuba	have
yiba nelilanga lelihle	have a good day
yiba nelilanga lelihle	have a nice day
idla kudla kwasekuseni	have breakfast
utijabulise	have fun
udlile	have you eaten
kuba	having
ingoti	hazard
lufasimbe	haze
une-	he has
uyi-	he is
inhloko	head
kuphatfwa inhloko	headache
phola	heal
kuphola	healing
imphilo	health
kuba nemphilo	healthy
kuva	hear
vile	heard
inhlitiyo	heart
kushisa	heat
lizulu	heaven
sindzako	heavy
budlamudlamu	hectic
matasa	hectic
budze	height
indlalifa	heir
ubudze	heist
bambe	held
sihogo	hell
Sawubona	Hello
sawubona mnaka	hello dear
sawubona unjani	hello how are you
sawubona unjani	hello how are you doing
impatitje	helmet
sita	help
lusito	help
lokusitako	helpful
ngemuva kwaloku	hence
umhlambi	herd
lapha	here
lifa	heritage
ncikata	hesitate
Sawubona	Hey
Sawubona	Hi
sawubona unjani	hi how are you
sawubona lapho	Hi there
fihliwe	hidden
fihla	hide
kulandzelana	hierarchy
lenkhulu	high
phakeme	high
lokuvelele	highlight
gcamisa	highlight
hamba	hike
kuhamba	hiking
hlekisako	hilarious
ligcuma	hill
siduli	hill
kusikisela	hint
lukhalo	hip
emakhalo	hips
casha	hire
kucasha	hiring
umlandvo	history
shaya	hit
Hmm	Hmm
umsebenti wekutijabulisa	hobby
bamba	hold
bambelela	hold on
imbobo	hole
umgodzi	hole
liholidi	holiday
ligobongo	hollow
likhaya	home
umsebenti wasekhaya	homework
tsembekako	honest
ngokwetsembeka	honestly
Luju	Honey
inhlonipho	honor
ludvumo	honor
bonga	honor
sigcoko	hood
lihuku	hook
kheleta	hop
litsemba	hope
tsembako	hopefully
tsembisako	hopefully
kuphelelwa litsemba	hopeless
ngasenalitsemba	hopeless
condzile	horizontal
luphondvo	horn
lokubi	horrible
lokusabisako	horror
lihhashi	horse
sibhedlela	hospital
kwamumela tivakashi	hospitality
bungata	host
nobutsa	hostile
nemphi	hostile
kushisa	hot
lihhotela	hotel
li-awa	hour
ema-awa	hours
indlu	house
bonkhe ekhaya	household
njani	how
wena unjani	how about you
unjani	how are you
unjani	how are you doing
unjani lamuhla	how are you doing today
unjani lamuhla	how are you today
unjani	how do you do
injani	how is
lokungaki	how many
lokungakanani	how much
kaningi kanjani	how often
kangakhi	how old are you
belinjani lilanga lakho	how was your day
bebunjani busuku bakho	how was your night
nobe kunjalo	however
kepha	however
lihabhu	hub
umyeni	hubby
indvodza	hubby
anga	hug
gona	hug
lenkhulu	huge
muntfu	human
tfobekile	humble
nemanti	humid
kuba nemanti	humidity
likhulu	hundred
lambile	hungry
tingela	hunt
siphepho	hurricane
shesha	hurry
shesha	hurry up
limele	hurt
limata	hurt
indvodza	husband
umyeni	husband
walata	hustle
indlu	hut
kuhlanteka	hygiene
Ngi-	I
Mine	I
Ngi-	I am
Ngingu-	I am
Ngiyi-	I am
Ngikahle	I am fine
ngingakhona	I can
nginga-	I can
angikwati	I can't
ngiya-	I do
angati	I do not know
angicondzi	I do not understand
angi-	I don't
angati	I don't know
angicondzi	I don't understand
angicondzi kutsi usho kutsini	I don't understand what you mean
angikucondzi	I don't understand you
angati	I don’t know
angicondzi	I don’t understand
ngicabanga kutsi	i guess
bengine-	I had
ngine-	I have
bengi-	I have been
ngiyatsemba	I hope so
ngitsemba njalo	I hope so
ngiyati	I know
ngitsandza	I like
ngiyakutsandza	I like you
ngiyakutsandza	I love
ngitsandza buti lomdzala	I love my big brother
ngitsandza sisi lomdzala	I love my big sister
ngitsandza babe	I love my father
ngitsandza mnaketfu	I love my little brother
ngitsandza dadewetfu	I love my little sister
ngitsandza make	I love my mother
ngiyakutsandza	I love you
ngiyatsandza kakhulu	I love you so much
nami ngiyakutsandza	I love you too
ngisho	I mean
ngiyakukhumbula	I miss you
ngiyakukhumbula kakhulu	I miss you so much
ngiyabona	I see
ngicabanga	I think
ngiyacondza	I understand
ngifuna	I want
ngifuna kukubona	I want to see you
ngiyakufuna	I want you
bengi-	I was
ngito-	I will
ngitobe-	I would be
Ngi-	I'm
Ngingu-	I'm
Ngiyi-	I'm
ngiyaphila	I'm fine
ngikahle	I'm good
ngilapha	I'm here
ngiyacolisa	I'm sorry
lichwa	ice
ayisikhilimu	ice cream
licebo	idea
umcabango	idea
kuhle	ideal
umcondvo	ideal
lokufanako	identical
khomba	identify
ukuba nguye	identity
silima	idiot
kungenti lutfo	idle
vilaphako	idle
nangabe	if
nganaki	ignore
gula	ill
phambene nomtsetfo	illegal
kugula	illness
SiIlocano	Ilocano
sitfombe	image
cabanga	imagine
nyalo	immediate
lokusheshako	immediate
ngekushesha	immediately
masinyane	immediately
lokukhulu kakhulu	immense
umtselela	impact
kungabeketeli	impatient
inhlitiyo lencane	impatient
gcwalisa	implement
sebentisa	implement
ngenisa	import
kubalulekile	important
ncumela	impose
beka	impose
lokungenakwenteka	impossible
mangalisa	impress
kucindzetela	impression
umbono	impression
mangalisako	impressive
tfutfukisa	improve
intfutfuko	improvement
ngekhatsi	in
e-	in
futsi	in addition
ecinisweni	In fact
kahle kahle	In fact
embi kwe-	in front of
kute	in order to
lokungafanele	inappropriate
umhahiso	incentive
sehlakalo	incident
faka	include
ngenisa	include
lokufaka	including
liholo	income
kuphatamisa	inconvenience
khulisa	increase
khula	increase
khulile	increased
khulisile	increased
lokumangalisako	incredible
impela	indeed
timele	independent
Ndiya	India
khombisa	indicate
bonakalisa	indicate
kwemvelo	indigenous
muntfu ngamunye	individual
imboni	industry
lokungena kuvinjelwa	inevitable
ingane	infant
lusana	infant
isifo	infection
kutseleleka	infection
ngapheliko	infinity
sishiso	inflammation
sivutselo	inflation
kuhunga	influence
litfonya	influence
yatisa	inform
kwatiswa	information
tinongo	ingredients
lifa	inheritance
kwekucala	initial
kucala	initiative
limele	injured
kulimala	injury
kungabi nelicala	innocent
msulwa	innocent
kucamba	innovation
kubuta	inquiry
hlanyako	insane
sinambutane	insect
kungalondzeki	insecure
kungatetsembi	insecure
faka	insert
ekhatsi	inside
kucondza	insight
phikelela	insist
kungakhoni kulala	insomnia
kugcugcutela	inspiration
gcugcutela	inspire
misa	install
faka	install
lokwentekako	instance
kufuna	instance
phutfumako	instant
esikhundleni saloko	instead
esikhundleni saloko	instead of
miyalo	instructions
lithuluzi	instrument
tfuka	insult
umshwalensi	insurance
phelele	intact
kutsembeka	integrity
hlakaniphile	intellectual
kuhlakanipha	intelligence
lohlakaniphile	intelligent
condza	intend
condzile	intended
nemandla	intense
umcondvo	intention
entelana	interact
kwentelana	interaction
sitsakatelo	interest
tsakatela	interested
tsakatelisa	interesting
phatamisa	interfere
emkhatsini	intermediate
ekhatsi	internal
kwemanye emave	international
humusha	interpret
lohumushako	interpreter
phatamisa	interrupt
incociswano	interview
sedvute	intimate
ekhatsi	into
ku-	into
yatisa	introduce
setfulo	introduction
lonemahloni	introvert
kubona ngenhlitiyo	intuition
siguli	invalid
camba	invent
luhlu	inventory
faka	invest
phenya	investigate
hlola	investigate
simemo	invitation
mema	invite
invoyisi	invoice
hilela	involve
hilelekile	involved
isimbi	iron
sichingi	island
hlukanisiwe	isolated
indzaba	issue
inkinga	issue
tindzaba	issues
tinkinga	issues
i-	it
iyi-	it is
beku-	it was
iyi-	it's
kulungile	it's ok
kulungile	It's okay
intfo	item
tintfo	items
iyi-	its
ngi-	I’m
llijazi	jacket
litilongo	jail
lijele	jail
Januwari	January
imbizana	jar
umhlatsi	jaw
umona	jealous
nyakata	jerk
bucwebe	jewelry
msebenti	job
gijima	jogging
joyina	join
indzawo yekuhlangana	joint
lihlaya	joke
intsatheli	journalist
luhambo	journey
injabulo	joy
mehluleli	judge
lijusi	juice
julayi	july
yeca	jump
juni	june
lokungana msebenti	junk
nje	just
kwente nje	just do it
lijaji	justice
kulunga	justice
vumela	justify
SiKalaallisut	Kalaallisut
hlakaniphile	keen
chubeka	keep
chubeka	keep it up
gciniwe	kept
ligedlela	kettle
likhiye	key
sihlutfulelo	key
khahlela	kick
khaba	kick
ingane	kid
lizinyane	kid
dlala	kidding
insu	kidney
tingane	kids
bulala	kill
nemusa	kind
luhlobo	kind
shengatsi	kinda
ngebumnene	kindly
ngemusa	kindly
bumnene	kindness
musa	kindness
inkhosi	king
cabula	kiss
likhishi	kitchen
ikhayithi	kite
lizinyane lekati	kitten
lidvolo	knee
yati	knew
mukhwa	knife
kwati	know
lwati	knowledge
kwatiwe	known
SiKonkani	Konkani
SiKrio	Krio
libito	label
umsebenti	labor
umsebenti	labour
kungabi nako	lack
sitebhisi	ladder
inkhosatane	lady
lele	laid
lichibi	lake
lizinyane lemvu	lamb
khubatekile	lame
sibani	lamp
lilambu	lamp
live	land
kubukeka kwelive	landscape
lulimi	language
litsanga	lap
khulu	large
yekugcina	last
kokugcina kepha lokubalulekile	last but not least
sibongo	last name
kwephuta	late
muva nje	lately
ngekuhamba kwesikhatsi	later
kamuva	later
okwamuva	latest
gcinwe ngako	latter
hleka	laugh
hlekako	laughing
kuhleka	laughter
misa	launch
kuwasha timpahla	laundry
umtsetfo	law
butjani	lawn
ummeli	lawyer
lalisa	lay
beka	lay
ludvwadvwasi	layer
sakhiwo	layout
simiso	layout
kuvilapha	lazy
kuhola	lead
kuholela	lead
umholi	leader
likhasi	leaf
kuvuza	leak
ondzile	lean
ketuka	lean
eca	leap
fundza	learn
kufundza	learning
cashisa	lease
casha	lease
incosana	least
ncane kakhulu	least
sikhumba	leather
kushiya	leave
emakhasi	leaves
holile	led
shiye	left
umlente	leg
lifa	legacy
vumenyelwe ngumtsetfo	legal
inganekwane	legend
lokusetsetfweni	legit
likhefu	leisure
boleka	lend
niketa	lend
budze	length
ncane	less
nciphile	less
sifundvo	lesson
vumela	let
incwadzi	letter
luhlamvu	letter
iletisi	lettuce
lingeneko	level
linganisa	level
emandla	leverage
licala lemali	liability
umtfwalo	liability
umtapo wetincwadzi	library
khotsa	lick
camba emanga	lie
emangaa	lies
imphilo	life
phakamisa	lift
sibane	light
kukhanya	light
umbani	lightning
njenge	like
kufana	like
kungenteka	likely
ngekufanako	likewise
futsi	likewise
umugca	line
SiLingala	Lingala
hlanganisa	link
ingomyama	lion
libhubesi	lion
emanti	liquid
luhlu	list
lalela	listen
kulalela	listening
cobo	literally
umtapo wetincwadzi	literature
lokufundzwako	literature
talela	litter
endlalela	litter
lokuncane	little
kuphila	live
sibindzi	liver
timphilo	lives
kuphila	living
likamelo lokuphumula	living room
sibankwa	lizard
imbulu	lizard
umtfwalo	load
lilofu	loaf
sinkhwa	loaf
sikweletu	loan
licala lemali	loan
endzaweni	local
indzawo	location
vala	lock
khiya	lock
valela	lockdown
lugodo	log
situnge	lonely
endze	long
sikhatsi lesidze singabonani	long time no see
buka	look
hibela	loop
khulula	loose
inkhosi	lord
lahlekelwa	lose
kulahlekelwa	loss
lahlekile	lost
isabelo	lot
lokunyenti	lot
umsindvo	loud
indzawo yekuhlala	lounge
tsandza	love
ngiyakutsandza	love you
lokuhle	lovely
phansi	low
ehlisa	lower
tsembekako	loyal
kutsembeka	loyalty
inhlanhla	luck
nenhlanhla	lucky
SiLuganda	Luganda
umtfwalo	luggage
sigaca	lump
kudla kwasemini	lunch
emaphaphu	lungs
bukhatikhati	luxury
kucamba emanga	lying
umshini	machine
kutfukutsela	mad
kuhlanya	mad
inkhosatane	madam
kwentiwe	made
umagazini	magazine
babatekako	magnificent
sisebenti lesisikati	maid
lokuyinhloko	main
ondla	maintain
gcina	maintain
kondla	maintenance
kugcina	maintenance
SiMaithili	Maithili
khulu	major
liningi	majority
yenta	make
enta	make up
kokutilungisa	make up
lomdvuna	male
indzawo yetitolo lenkhulu	mall
indvodza	man
phatsa	manage
buphatsi	management
umphatsi	manager
phocako	mandatory
bonakalisa	manifest
khohlisa	manipulate
indlela	manner
incwadzi yekuchasisa	manual
ngokutentela	manual
lokunyenti	many
tifiso temalanga lafana nelalamuhla lamanyenti	many many happy returns of the day
mashi	march
lusebe	margin
imakethe	market
umshadvo	marriage
shadzile	married
fihla	mask
lokunyenti	mass
lokukhulu	massive
indvuna	master
umphatsi	master
kucatanisa	match
kuhambisana	match
matanisa	mate
imphahla	material
tibalo	math
indzaba	matter
kuvutfwa	maturity
kungase	may
kungenteka	may
meyi	may
mhlawumbe	maybe
mine	me
nami futsi	me too
kudla kwasemini	meal
kusho	mean
inchazelo	meaning
incebo	means
kusho	meant
ngalesikhatsi	meanwhile
silinganiso	measure
linganisa	measure
tindlela	measures
inyama	meat
kokwelapha	medical
umutsi	medicine
imitsi	meditation
lesemkhatsini	medium
kuhlangana	meet
kuhlangana	meeting
umhlangano	meeting
SiMeiteilon	Meiteilon
ncibilika	melt
tinkhumbulo	memories
inkhumbulo	memory
kwencondvo	mental
kusho	mention
shilo	mentioned
meluleki	mentor
mtsengisi	merchant
umhwebi	merchant
bubele	mercy
kuphela	merely
nje	merely
ukhisimusi lomuhle	merry christmas
imfucumfucu	mess
umyaleto	message
nemfucumfucu	messy
insimbi	metal
indlela yokwenta tintfo	method
emagundvwane	mice
emkhatsini	middle
ekhatsi nebusuku	midnight
kungenteka	might
kutsamba	mild
pholile	mild
lokubalulekile	milestone
emasotja	military
lubisi	milk
sigidzi	million
ingcondvo	mind
simo sengcondvo	mindset
yami	mine
hlangana	mingle
lomcane	minor
umzuzu	minute
imizuzu	minutes
simangaliso	miracle
sibuko	mirror
nhlobonhlobo	miscellaneous
lokunye	miscellaneous
bushinga	mischievous
hluphekako	miserable
kuhlupheka	misery
kuphutselwa	miss
kukhumbula	miss
ngiyakukhumbula	miss you
kukhumbula	missing
umsebenti, kutfunywa	mission
inkungu	mist
luphutsa	mistake
SiMizo	Mizo
hambako	mobile
hlekisa nga-	mock
sibonelo	model
sifanekiso	model
faneleko	moderate
lamuhla	modern
kwanyalo	modern
titfobako	modest
tsambile	moist
umswakamo	moisture
kutsamba	moisture
bulembu	mold
sikhutsa	mold
umkhangu	mole
make	mom
sikhashana	moment
umsombuluko	monday
imali	money
umcaphelisi	monitor
inkawu	monkey
inyanga	month
muva	mood
kudana	moody
inyanga	moon
lungile	moral
lokunyenti	more
futsi	moreover
ekuseni	morning
sawubona	morning
kubanjiswa kwemphahla	mortgage
ningi kakhulu	most
kakhulu	mostly
make	mother
kuhamba	motion
munyakata	motion
sisusa	motivation
intsaba	mountain
ligundvwane	mouse
umlomo	mouth
susa	move
nyakata	move
kuhamba	movement
kunyakata	movement
libhayisikobho	movie
imuvi	movie
nkk	mrs
kakhulu	much
ludzaka	mud
umsipha	muscle
umnyuziyamu	museum
likhowe	mushroom
umculo	music
kufanele	must
simungulu	mute
tfulile	mute
kuphambaniselana	mutual
yami	my
Lotsandzekako	My dear
mngani wami	my friend
lutsandvo lwami	my love
libito lami ngu-	my name is
ngikujabulele	my pleasure
mine	myself
sitsekile	mysterious
fihlakele	mysterious
imfihlakalo	mystery
inganekwane	myth
insumansumane	myth
sipikili	nail
luzipho	nail
kungati	naive
libito	name
silandvo	narrative
mcingo	narrow
minyene	narrow
casulako	nasty
okwelive	national
buve	nationality
kokutalwa	native
kwemvelo	natural
imvelo	nature
sicanucanu	nausea
dvute	near
sondzele	near
edvute	nearby
cishe	nearly
cocekile	neat
lokudzingekako	necessary
intsamo	neck
umgaco	necklace
buhlalu	necklace
sidzingo	need
ngekho	negative
phikako	negative
nganaki	neglect
yeka	neglect
vumelana	negotiate
makhelwane	neighbor
indzawo lekwakhe bantfu kuyo	neighborhood
nobe	neither
umshana	nephew
tfukile	nervous
sidleke	nest
linetha	net
nethiwekhi	network
ngahlangene nabani	neutral
kute	never
ungalahli litsemba	never give up
ungapheli emandla	never give up
unganaki	never mind
unganaki	nevermind
kodvwa	nevertheless
nokho	nevertheless
lokusha	new
tindzaba	news
lokulandzelako	next
edvute kwe-	next to
kumnandzi	nice
kuhle	nice
ngiyajabula kukwati	nice to meet you
umshana	niece
busuku	night
liphupho lelibi	nightmare
imfica	nine
lishumi nemfica	nineteen
mashumi layimfica	ninety
Cha	No
kute inkhinga	no problem
akwenteki	no way
kute muntfu	nobody
umsindvo	noise
kunomsindvo	noisy
kute	none
emini	noon
cha	nope
nobe	nor
lokuvamile	normal
nyakatfo	north
likhala	nose
khumbuta ekhaya	nostalgic
hhayi	not
nakancane	not at all
akusi kubi	not bad
hhayi nyalo	Not now
hhayi nyalo	not yet
phawula	note
luphawula	note
caphela	note
phawulile	noted
lutfo	nothing
naka	notice
phawula	notice
simemetelo	notice
nakile	noticed
phawulile	noticed
libito	noun
emabito	nouns
incwadzi	novel
linoveli	novel
lweti	november
novemba	november
nyalo	now
lamuhla	nowadays
kulamalanga	nowadays
inhlupho	nuisance
ite	null
kungaseva	numb
nombolo	number
sibalo	number
umhlengikati	nurse
nakekela	nurse
intongomane	nut
kodliwa	nutrition
sifungo	oath
kukhuluphala	obesity
lalela	obey
umgomo	object
intfo	object
imphokophelo	objective
sibopho	obligation
sitsekile	obscure
fiphele	obscure
kubona	observation
londza	observe
caphela	observe
gcina	observe
kukhatsateka	obsessed
kukhatsateka	obsession
ngasaphatswa	obsolete
sivimbelo	obstacle
finyelela	obtain
tfolile	obtained
sobala	obvious
bonakele	obvious
obala	obviously
bonakele	obviously
ngaletinye tikhatsi	occasionally
kuhlala	occupation
nomsebenti	occupied
matasatasa	occupied
vela	occur
velille	occurred
vela	occurs
lwandle lolukhulu	ocean
okthoba	october
lokungatayeleki	odd
lokumangalisako	odd
ematfuba	odds
kwe	of
ye	of
kuliciniso	of course
cimile	off
sukelako	offensive
kuniketa	offer
lihovisi	office
lokusemtsetfweni	official
ngalokuvamile	often
Awu	Oh
impela	oh really
emafutsa	oil
kulungile	ok
kulungile lotsandzekako	ok dear
kulungile sthandzwa	ok honey
kulungile sthandzwa sami	ok my love
kulungile	okay
kulungile mtfwana	okay baby
kulungile sitsandzwa	okay dear
kulungile sitsandzwa	okay honey
kullungile sitsandzwa sami	okay my love
gugile	old
ku	on
kanye	once
lenye	one
yinye	one
lomunye	one
lulimi lolulodvwa alwanele	one language is never enough
anyanyisi	onion
ku inthanethi	online
kuphela	only
vula	open
kuhlintwa	operation
umsebenti	operation
umbono	opinion
ematfuba	opportunities
litfuba	opportunity
lokwehlukile	opposite
kutsemba lokuhle	optimistic
kukhetsa	option
kukhetsa ngekutsandza	optional
nobe	or
olintji	orange
luhlelo	order
lokuvamile	ordinary
inhlangano	organization
ukuma	orientation
umsuka	origin
ngokocobo	original
Si-Oromo	Oromo
intandane	orphan
letinye	other
labanye	other
ngokunye	otherwise
fanele	ought
yetfu	our
Umsebenti wetfu:kuvumela onkhe umuntfu, endzaweni yonkhe kuvisisa mhlaba nekukhuluma labakufisako ngetilimi tonkhe.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Umsebenti wetfu:kuhlela ukwatiswa kwemhlaba nekukwenta kutsi kutfolakale yonkhe indzawo futsi kusebentiseke.	Our mission: to organize the world's information and make it universally accessible and useful.
ngaphandle	out
mphumela	outcome
timphahla	outfit
hambako	outgoing
sikhala sekuphumisa	outlet
fanekisa	outline
ngaphandle	outside
velele	outstanding
ihhavini	oven
kuphela	over
ngetulu	over
laphaya	over there
konkhe	overall
kuncoba	overcome
kucabanga kakhulu	overthinking
phele emandla	overwhelmed
cedza emandla	overwhelming
kweleta	owe
sikhova	owl
ngekwakho	own
umnikati	owner
inkabi	ox
kunyatsela	pace
hlanganisa	pack
sijumba	package
khokhele	paid
buhlungu	pain
penda	paint
umfanekiso	painting
lokubili	pair
matanisa	pair
mhlophe	pale
sandla	palm
ipani	pan
sifo lesibulalako	pandemic
luvalo	panic
libulukwe	pants
liphepha	paper
ipharadeyisi	paradise
linganisele	parallel
sijumba	parcel
liphasela	parcel
colela	pardon
batali	parents
lipaki	park
upholi	parrot
lipasili	parsley
incenye	part
hlanganyela	participate
letsite	particular
ngalokukhetsekile	particular
lokutsite	particularly
ngalokukhetsekile	particularly
umhlanganyeli	partner
umcimbi	party
dlula	pass
liphasiji	passage
dlulile	passed
khanukela	passion
maganga	passionate
thulile	passive
iphasiwedi	password
dlulile	past
bekela	patch
indlela	path
letsela umunyu	pathetic
sineke	patience
kubeketela	patience
lobeketelako	patient
sigulane	patient
sifanekiso	pattern
yeka kancane	pause
umgandayo	pavement
kukhokha	pay
inkhokhela	payment
kutfula	peace
tfulile	peaceful
lipentjisi	peach
isicongo	peak
lipheya	pear
emaphizi	peas
lokukhetsiwe	peculiar
hluba	peel
calaza	peer
lunguza	peer
tintanga	peers
lipheni	pen
liphenseli	pencil
lokulindzelwe	pending
bantfu	people
uphepha	pepper
bona	perceive
umbono	perception
phelele	perfect
yenta	perform
kusebenta	performance
kungenteka	perhaps
mhlawumbe	perhaps
inkhatsi	period
hlala njalo	permanent
invume	permission
vumela	permit
kukhutsatela	perseverance
kuphikelela	persistent
muntfu	person
