неуна	a little
ставӧн	everyone
ставыс	everything
докажитӧм	evidence
эскӧдӧм	evidence
лёктор	evil
лёк	evil
эволюция	evolution
сӧвмыны	evolve
Эве	Ewe
вӧвлӧм	ex
буретш	exact
стӧча	exactly
экзамен	exam
видлавны	examine
видлӧг	example
вевтыртны	exceed
зэв бур	excellent
кындзи	except
исключенньӧ	exception
лишнӧйтор	excess
вывті	excessive
вежӧм	exchange
шӧйӧвошӧм	excited
шызьӧм	excited
гызьӧм	excited
ыззьӧм	excitement
ышӧдана	exciting
торъя	exclusive
помка	excuse
прӧща корӧм	excuse
кора прӧща	excuse me
вӧчны	execute
казнитӧм	execution
олӧмӧ пӧртан	executive
удж	exercise
вӧчны	exercise
вынтӧммӧдны	exhaust
вынтӧммӧм	exhausted
мыччӧдантор	exhibit
выставка	exhibition
овны	exist
эм	exist
олӧм-вылӧм	existence
мый эмӧсь	existing
мый эм	existing
петанін	exit
паськӧдны	expand
виччысьны	expect
виччысяна	expected
рӧскод	expenses
дона	expensive
кывны	experience
опыт	experience
эксперимент	experiment
эксперт	expert
кадысь кольӧм	expired
гӧгӧрвоӧдны	explain
гӧгӧрвоӧдӧм	explanation
уджӧдны	exploit
туявны	explore
экспорт	export
пуктыны	expose
лэдзны	expose
восьса	exposed
сетчӧм	exposure
висьтавны	express
петкӧдлӧм	expression
нюжӧдны	extend
паськӧдӧм	extended
нюжӧдӧм	extension
тшупӧд	extent
ортсыса	external
бырӧм	extinct
содтӧд	extra
перйыны	extract
босьтны	extract
аслыспӧлӧс	extraordinary
вывті сьӧкыд	extreme
вывті	extremely
син	eye
синъяс	eyes
роч дӧра	fabric
чуймӧдана	fabulous
паныдавны	face
чужӧм	face
отсавны	facilitate
удобствояс	facilities
удобство	facility
збыльтор	fact
помка	factor
фабрика	factory
збыльторъяс	facts
кусны	fade
эз артмы	fail
артмытӧм	failed
эз артмы	failure
омӧль	faint
садьтӧг усьны	faint
веськыд	fair
югыд	fair
тырмымӧн	fairly
фея	fairy
эскӧм	faith
эскысь	faithful
пӧрйӧг	fake
усьны	fall
усьӧм	fall
абу збыль	FALSE
нималӧм	fame
тӧдса	familiar
котыр	family
тшыгъялӧм	famine
нималана	famous
радейтысь	fan
веер	fan
тешкодь	fancy
шемӧсмӧдана	fancy
шензьӧдана	fancy
вӧвлытӧм	fantastic
ылыс	far
янсӧдчӧм	farewell
ферма	farm
видз-му кутысь	farmer
чуймӧдана	fascinating
мода	fashion
тэрыб	fast
кыз	fat
кулан	fatal
быть лоан	fatal
олантуй	fate
бать	father
мудз	fatigue
мудзӧм	fatigue
мыж	fault
медрадейтана	favorite
отсӧг	favour
радейтана	favourite
повны	fear
полӧм	fear
пир	feast
гӧн	feather
пыртны	feature
торъяланлун	feature
аслыспӧлӧслун	feature
аслыспӧлӧслунъяс	features
пертасъяс	features
урасьӧм	february
юрвывтыр	fed up
мынтысьӧм	fee
вердны	feed
донъяланкыв	feedback
кывны	feel
сьӧлӧмкылӧм	feeling
кок лапаяс	feet
уси	fell
зон	fellow
гын	felt
энь	female
потшӧс	fence
вына	fertile
фестиваль	festival
вайны	fetch
биа висьӧм	fever
неуна	few
этшаджык	fewer
сьӧм	fiance
мӧвпыштӧмтор	fiction
ыб	field
му	field
яр	fierce
дас вит	fifteen
ветымын	fifty
тышкасьны	fight
тыш	fight
тышкасьӧм	fighting
мыгӧр	figure
артавны	figure
гӧгӧрвоны	figure out
файл	file
тыртны	fill
тырӧм	filled
тыртӧм	filled
фильм	film
плёнка	film
няйт	filthy
бӧръяпомас	finally
финансъяс	finance
сьӧма	financial
аддзыны	find
тӧдмавны	find out
штрап	fine
бур	fine
чунь	finger
помавны	finish
эштӧдӧм	finished
помалӧм	finished
би	fire
топыд	firm
фирма	firm
медводдза	first
ним	first name
чери	fish
лӧсявны	fit
вит	five
дзоньтавны	fix
зумыд	fixed
дӧрапас	flag
вспышка	flash
патера	flat
алькӧс	flat
плавкӧс	flat
тырмытӧмтор	flaw
зэв бур	flawless
пышйыны	flee
яй	flesh
лэбис	flew
кусыньтны	flex
нюдз	flexible
лэбалӧм	flight
бергӧдны	flip
ворсӧдчыны	flirt
ворсӧдчӧм	flirting
кывтны	float
ытва	flood
джодж	floor
пызь	flour
визувтны	flow
визув	flow
дзоридз	flower
грипп	flu
торксьывтӧм	fluent
ӧдйӧ	fluent
шыльыда	fluently
ӧдйӧ	fluently
пушыд	fluffy
кизьӧр	fluid
лэбавны	fly
медшӧртор видлавны	focus
медшӧртор	focus
ру	fog
руа	foggy
кусыньтны	fold
йӧз	folks
войтыр	folks
мунны	follow
видзӧдны	follow up
мӧд	following
сёян	food
йӧй	fool
йӧйтӧдлыны	fool
йӧй	foolish
кок лапа	foot
футбол	football
Шуам	For example
шуам	for instance
тэныд	for you
позьтӧм	forbidden
вын	force
прогноз	forecast
кымӧс	forehead
суйӧрсайса	foreign
вӧр	forest
нэм кежлӧ	forever
вунӧдны	forget
прӧститны	forgive
вунӧдіс	forgot
вилки	fork
бала	form
лӧсьӧдны	form
формальнӧй	formal
вӧвлӧм	former
шуд вылӧ	fortunately
озырлун	fortune
нелямын	forty
нелямын кык	forty-two
водзӧ	forward
лелькуйтны	foster
тышкасис	fought
аддзис	found
подув	foundation
нёль	four
дас нёль	fourteen
руч	fox
тӧр	fragile
рамка	frame
подув	framework
пӧрйӧдлӧм	fraud
йӧй нисьӧ прӧсуж	freak
мездлуна	free
вӧльнӧй	free
мездлун	freedom
кынмыны	freeze
кынтыны	freeze
тшӧкыдлун	frequency
тшӧкыд	frequent
тшӧкыда	frequently
свеж	fresh
пекнича	friday
холодильник	fridge
кӧзӧд	fridge
ёрт	friend
восьса сьӧлӧма	friendly
ёртъяс	friends
ёртасьӧм	friendship
повзьӧм	frightened
повзьӧдчысь	frightening
лягуша	frog
водз	front
кынтӧм	frozen
фрукт	fruit
падмӧм	frustrated
ломтас	fuel
Фула	Fulfulde
тыр	full
гажӧдчӧм	fun
функция	function
подув	fundamental
гуасьӧм	funeral
тешкодь	funny
гӧн	fur
ярскӧб	furious
пызан-улӧс	furniture
водзӧ	further
та кындзи	furthermore
аскиа лун	future
чуктӧс	gain
босьтны	gain
ворсӧм	game
кост	gap
гараж	garage
лӧп-ёг	garbage
сад	garden
чеснӧк	garlic
вӧрӧта	gate
чукӧртны	gather
чукӧртчӧм	gathering
муртавны	gauge
сетіс	gave
пиньяса гӧгыль	gear
рӧд	gender
ӧтувъя	general
ставнас	generally
чужтыны	generate
кӧлена	generation
лышкыд	generous
гений	genius
жанр	genre
мелі	gentle
збыльвывса	genuine
жест	gesture
босьтны	get
пасьтасьны	get dressed
чеччыны	get up
ӧдйӧджык бурд	get well soon
ӧдйӧджык бурдӧй	get well soon
босьтӧм	getting
орт	ghost
кодкӧ пыдди уджалӧм	ghosting
зэв ыджыд	giant
козин	gift
имбир	ginger
нывка	girl
ныв	girl
нывъёрт	girlfriend
сетны	give
сетчыны	give up
сетӧм	given
дӧвӧлен	glad
син пыр нуӧдӧм	glance
син пыр нуӧдны	glance
стӧкан	glass
стеклӧ	glass
ӧчки	glasses
видзӧдлас	glimpse
став мувывса	global
букыш	gloomy
чуня кепысь	gloves
югъялӧм	glow
югъявны	glow
донӧдны	glow up
лем	glue
мунны	go
водзӧ висьталӧй	go ahead
водзӧ висьтав	go ahead
мун	go away
мунӧй	go away
водны узьны	go to bed
медшӧр мог	goal
могъяс	goals
кӧза	goat
ен	god
мед енмыс бурсиас	god bless you
мунӧ	goes
мунан	going
мунысь	going
лӧсьӧдчыны	going to
зарни	gold
мунӧма	gone
муніс	gone
дась	gonna
нильӧг	goo
бур	good
бур лун	good afternoon
аддзысьлытӧдз	good bye
бур лун	good day
бур рыт	good evening
бур удж	good job
мича	good looking
мед артмас	good luck
бур асыв	good morning
бур асыв, мусаӧй	good morning my love
бур вой	good night
аддзысьлытӧдз	goodbye
бурвоясьӧм	goodnight
вузӧсъяс	goods
Google	Google
Google Вуджӧдчысь	Google Translate
дзодзӧг	goose
зэв бур	gorgeous
суклясьны	gossip
босьтіс	got
ме гӧгӧрвои	got it
веськӧдлан котыр	government
кватитны	grab
сикасавны	grade
сикас	grade
вочасӧн	gradually
помавны	graduate
тусь	grain
грант	grant
вичмӧдны	grant
сетӧма	granted
виноград	grapes
шамыр	grasp
шамыртны	grasp
турун	grass
аттьӧалысь	grateful
аттьӧалӧм	gratitude
гу	grave
руд	gray
дзор	gray
тӧдчана	great
горшлун	greed
горш	greedy
турунвиж	green
чолӧмавны	greet
видзаавны	greet
чолӧмалӧм	greeting
чолӧмалӧмъяс	greetings
руд	grey
сетка	grid
шог	grief
изны	grind
шамыр	grip
шамыртны	grip
сёян-юан лавка	grocery
верӧспу	groom
кыз	gross
му	ground
котыр	group
чукӧр	group
быдмыны	grow
быдмӧм-сӧвмӧм	growth
ропкысь	grumpy
Гуарани	Guarani
сетны гарантия	guarantee
видзысь	guard
тӧдмавны	guess
гӧсьт	guest
веськӧдлӧм	guidance
нуӧдысь	guide
нуӧдны	guide
мыжа	guilty
зон	guy
ёртъяс	guys
спортзал	gym
ӧбича	habit
оланін	habitat
шер	hail
юрси	hair
джын	half
посводз	hall
ки	hand
вуг	handle
вороп	handle
мича	handsome
ӧшавны	hang
кадсӧ коллявны	hang out
лоны	happen
лоис	happened
шуд	happiness
шуда	happy
чужан лунӧн	happy birthday
чужан лунӧн тэнӧ	happy birthday to you
чужан лунӧн тіянӧс	happy birthday to you
выль воӧн	happy new year
чорыд	hard
ӧдва	hardly
пӧшти некор оз	hardly ever
лёктор	harm
лёктор вӧчны	harm
лёктор ваян	harmful
лӧсялӧм	harmony
ёсь	harsh
урожай	harvest
мустӧмтны	hate
NА	have
лунтӧ бура коллявны	have a good day
бура коллявны лунсӧ	have a nice day
завтракайтны	have breakfast
гажӧдчыштӧй	have fun
гажӧдчышт	have fun
ті сёйӧмаӧсь	have you eaten
тэ сёйӧмыд	have you eaten
кодлӧн эм	having
ӧпаснӧйтор	hazard
ру	haze
сійӧ	he
сылӧн эм	he has
сійӧ лоӧ	he is
юр	head
юр висьӧм	headache
бурдӧдны	heal
бурдӧдӧм	healing
дзоньвидзалун	health
дзоньвидза	healthy
кывны	hear
кывліс	heard
сьӧлӧм	heart
пӧсявны	heat
пӧсь	heat
пымавны	heat
енэж	heaven
сьӧкыд	heavy
шызьӧм	hectic
вылна	height
судта	height
наследник	heir
гусясьӧм	heist
кутны	held
ад	hell
Видза оланныд	Hello
чолӧм, донаӧй	hello dear
чолӧм, кыдзи олан	hello how are you
чолӧм, кыдзи оланныд	hello how are you
чолӧм, кыдзи оланныд-выланныд	hello how are you doing
чолӧм, кыдзи олан-вылан	hello how are you doing
шлем	helmet
отсӧг	help
колана	helpful
сідзкӧ	hence
сійӧс	her
стада	herd
тані	here
кольӧмтор	heritage
падъявны	hesitate
Эй	Hey
Чолӧм	Hi
чолӧм, кыдзи олан	hi how are you
чолӧм, кыдзи оланныд	hi how are you
Чолӧм	Hi there
дзебӧм	hidden
дзебсьыны	hide
дзебсясьны	hide
иерархия	hierarchy
джуджыд	high
кузь	high
тӧдчӧдны	highlight
походӧ ветлыны	hike
походъясӧ ветлӧм	hiking
гажа	hilarious
керӧс	hill
сійӧс	him
сылӧн	him
гаравны	hint
лядьвей	hip
лядьвейяс	hips
медавны	hire
медалӧм	hiring
сійӧс	his
сылӧн	his
история	history
вартны	hit
нӧйтны	hit
кучкыны	hit
Хм	Hmm
хобби	hobby
видзны	hold
кутны	hold
кутчысьны	hold on
розь	hole
гаж	holiday
тӧщӧ	hollow
тыртӧм	hollow
керка	home
горт	home
гортса удж	homework
веськыд	honest
веськыда	honestly
Ма	Honey
Дона	Honey
чесьт	honor
юркыш	hood
вугыр	hook
чеччыштавны	hop
лача кутны	hope
лача	hope
ме надейтча	hopefully
тӧлктӧм	hopeless
водса	horizontal
сюр	horn
весьӧпӧртана	horrible
полӧм	horror
вӧв	horse
бурдӧдчанін	hospital
гӧсьтъяслы восьсалун	hospitality
кӧзяин	host
примитны	host
лӧг кутысь	hostile
пӧсь	hot
пым	hot
туйморт керка	hotel
час	hour
часъяс	hours
керка	house
горт	house
гортсаяс	household
овмӧс	household
кыдзи	how
а тэ	how about you
а ті	how about you
кыдзи тэ	how are you
кыдзи олан-вылан	how are you doing
кыдзи талун олан-вылан	how are you doing today
кыдзи ті талун	how are you today
кыдзи тэ талун	how are you today
видза оланныд	how do you do
кыдзи	how is
кымын	how many
кымын	how much
ёна-ӧ тшӧкыда	how often
кымын тэныд арӧс	how old are you
кыдзи колис тэнад луныд	how was your day
кыдзи колис тіян лунныд	how was your day
кыдзи колис тіян рытныд	how was your night
кыдзи колис тэнад рытыд	how was your night
сӧмын	however
но	however
шӧрин	hub
кӧзяинӧй	hubby
кутлыны	hug
сыв	hug
сывъявны	hug
зэв ыджыд	huge
морт	human
рам	humble
уль	humid
васӧдлун	humidity
сё	hundred
тшыг	hungry
вӧравны	hunt
бушков	hurricane
тэрмасьны	hurry
тэрмасьышт	hurry up
тэрмасьыштӧй	hurry up
висьны	hurt
доймыны	hurt
верӧс	husband
тойласьны	hustle
тойласьӧм	hustle
чом	hut
гигиена	hygiene
Ме	I
Ме лоа	I am
Менам ставыс бур	I am fine
Ме кужа	I can
Ме верма	I can
Ме ог вермы	I can't
Ме вӧча	I do
Ме ог тӧд	I do not know
Ме ог гӧгӧрво	I do not understand
Ме ог	I don't
Ме ог тӧд	I don't know
Ме ог гӧгӧрво	I don't understand
мый тэ шуан	I don't understand what you mean
мый ті шуанныд	I don't understand what you mean
Ме ог гӧгӧрво	I don't understand what you mean
Ме тіянӧс ог гӧгӧрво	I don't understand you
Ме тэнӧ ог гӧгӧрво	I don't understand you
Ме ог тӧд	I don’t know
Ме ог гӧгӧрво	I don’t understand
колӧкӧ	i guess
Менам вӧлі	I had
Менам эм	I have
Ме вӧлі	I have been
Ме надейтча	I hope so
Ме тӧда	I know
Меным кажитчӧ	I like
Ті меным кажитчанныд	I like you
Тэ меным кажитчан	I like you
Ме радейта	I love
Ме радейта ыджыдджык вокӧс	I love my big brother
Ме радейта ыджыдджык чойӧс	I love my big sister
Ме радейта батьӧс	I love my father
Ме радейта ичӧтджык вокӧс	I love my little brother
Ме радейта ичӧтджык чойӧс	I love my little sister
Ме радейта мамӧс	I love my mother
Ме радейта тэнӧ	I love you
Ме тэнӧ сэтшӧма радейта	I love you so much
Ме тэнӧ сэтшӧм ёна радейта	I love you so much
Ме тшӧтш тэнӧ радейта	I love you too
Ме тшӧтш тіянӧс радейта	I love you too
Ме ног	I mean
Ме гажтӧмтча тэысь	I miss you
Ме сэтшӧма тэысь гажтӧмтча	I miss you so much
Ме сэтшӧма тіянысь гажтӧмтча	I miss you so much
Ме аддза	I see
Ме чайта	I think
Ме гӧгӧрвоа	I understand
Ме кӧсъя	I want
Ме кӧсъя тэнӧ аддзывны	I want to see you
Ме кӧсъя тіянӧс аддзывны	I want to see you
Ме тэнӧ кӧсъя	I want you
Ме вӧлі	I was
Ме лоа	I will
Ме кута	I will
Ме эськӧ	I would be
Ме лоа	I'm
Менам ставыс бур	I'm fine
Менам ставыс бур	I'm good
Ме тані	I'm here
Меным жаль	I'm sorry
йи	ice
мороженӧй	ice cream
мӧвп	idea
идеал	ideal
ӧткодь	identical
индыны	identify
аслыспӧлӧслун	identity
мӧмӧт	idiot
весь олысь	idle
кӧ	if
ӧтдортны	ignore
висьысь	ill
оланпас торкысь	illegal
висьӧм	illness
Илоканскӧй	Ilocano
пертас	image
думыштлыны	imagine
пырысь-пыр	immediate
пырысь пыр	immediately
дзик пыр	immediately
зэв ыджыд	immense
тӧдчӧм	impact
тӧдчыны	impact
терпенньӧтӧм	impatient
збыльмӧдны	implement
вайны	import
вайӧм	import
тӧдчана	important
кӧвъявны	impose
позьтӧм	impossible
шензьӧдны	impress
сьӧлӧмӧ кольӧм	impression
мӧрччан	impressive
бурмӧдны	improve
бурмӧдӧм	improvement
пытшкын	in
содтӧд	in addition
Збыльвылас	In fact
водзын	in front of
медым	in order to
позьтӧм	inappropriate
ышӧдантор	incentive
лоӧмтор	incident
пыртны	include
пыртӧмӧн	including
доход	income
лӧсьыдтӧмлун	inconvenience
содтыны	increase
содӧм	increase
кыпӧдӧм	increased
кыптӧм	increased
вӧвлытӧм	incredible
збыльысь	indeed
асшӧр	independent
асшӧрлуна	independent
Индия	India
индыны	indicate
вуж	indigenous
морт	individual
промышленносьт	industry
бытьӧн лоана	inevitable
пузчужӧм кага	infant
инфекция	infection
помтӧмлун	infinity
ӧдӧм	inflammation
инфляция	inflation
тӧдчӧм	influence
тӧдчыны	influence
юӧртны	inform
юӧр	information
артмӧданторъяс	ingredients
наследство	inheritance
панас	initial
водзмӧстчӧм	initiative
доймалӧм	injured
доймӧм	injury
мыжтӧм	innocent
выльтор	innovation
запрос	inquiry
йӧймӧм	insane
гут-гаг	insect
дорйытӧм	insecure
пыртны	insert
пуктыны	insert
пытшкын	inside
пыдісянь гӧгӧрвоӧм	insight
сьӧлӧмӧн кылӧм	insight
сулавны	insist
узьтӧм	insomnia
ловби	inspiration
ышӧдны	inspire
сувтӧдны	install
пуктыны	install
вӧвлӧмтор	instance
здук	instant
пырысь-пыр	instant
пыдди	instead
пыдди	instead of
индӧдъяс	instructions
инструмент	instrument
дӧзмӧдны	insult
дӧзмӧдӧм	insult
страховка	insurance
вӧрзьӧдлытӧм	intact
зумыдлун	integrity
ӧтторъялун	integrity
дзоньлун	integrity
сюсь	intellectual
вежӧр	intelligence
велӧдчӧм	intelligent
кӧсйыны	intend
сиӧм	intended
зіль	intense
кӧсйӧм	intention
ӧтув уджавны	interact
ӧта-мӧдкӧд йитӧд	interaction
гаж петӧм	interest
интерес	interest
ыштӧм	interest
кӧсйысь	interested
интереснӧй	interesting
лӧсьыд	interesting
сюйсьыны	interfere
костса	intermediate
пытшкӧс	internal
войтыркостса	international
стажируйтчӧм	internship
вуджӧдны	interpret
вуджӧдчысь	interpreter
торкны	interrupt
интервью	interview
матысса	intimate
тӧдмӧдны	introduce
водзкыв	introduction
интроверт	introvert
сьӧлӧмӧн кылӧм	intuition
абу вына	invalid
думыштны	invent
уджаланторъяс	inventory
инвестируйтны	invest
туявны	investigate
корӧм	invitation
корны	invite
тшӧт сетны	invoice
тшӧт	invoice
пыртны	involve
корӧм	involved
гладитны	iron
утюг	iron
лоӧ	is
ді	island
торйӧдӧм	isolated
сетны	issue
мытшӧд	issue
мытшӧдъяс	issues
сійӧ	it
тайӧ лоӧ	it is
тайӧ вӧлі	it was
тайӧ лоӧ	it's
ставыс бур	it's ok
Ставыс бур	It's okay
тор	item
торъяс	items
сылӧн	its
Ме лоа	I’m
куртка	jacket
дзескыдін	jail
Тӧвшӧр	January
доз	jar
черлы	jaw
вежӧгтысь	jealous
дергайтны	jerk
ювелирнӧй мичмӧдчанторъяс	jewelry
удж	job
котӧртӧм	jogging
пырӧдчыны	join
ӧтувъя	joint
шмонь	joke
журналист	journalist
ветлӧм-мунӧм	journey
долыдлун	joy
ёрдны	judge
ёрдысь	judge
сок	juice
сора	july
чеччавны	jump
лӧддза-номъя	june
лӧп-ёг	junk
веськыд	just
прӧста	just
прӧста вӧчӧй тайӧс	just do it
прӧста вӧч тайӧс	just do it
ёрдӧм	justice
правдайтны	justify
Калааллисут	Kalaallisut
ёсь	keen
кутны	keep
эн личӧдчы	keep it up
энӧ личӧдчӧй	keep it up
кутіс	kept
кутӧм	kept
чайник	kettle
восьтан	key
чужъявны	kick
кага	kid
шмонитысь	kidding
вӧрк	kidney
челядь	kids
вины	kill
шань	kind
сикас	kind
быттьӧ	kinda
шаня	kindly
шаньлун	kindness
король	king
окавны	kiss
кухня	kitchen
лэбалысь змей	kite
каньпи	kitten
пидзӧс	knee
тӧдіс	knew
пурт	knife
рыцар	knight
тӧдны	know
тӧдӧмлун	knowledge
тӧдса	known
Коми	Komi
Конкани	Konkani
Крио	Krio
пас	label
пасъявны	label
удж	labor
удж	labour
тырмытӧмтор	lack
пос	ladder
ань	lady
пуктіс	laid
пуктӧма	laid
ты	lake
баля	lamb
чотысь	lame
лампа	lamp
пуксьыны	land
му	land
вӧр-ва	landscape
кыв	language
пидзӧс	lap
ыджыд	large
гырысь	large
бӧръя	last
бӧръя, но сэтшӧм жӧ тӧдчана	last but not least
ов	last name
сёр	late
неважӧн	lately
сёрӧнджык	later
медбӧръя	latest
бӧръя	latter
серавны	laugh
сералӧм	laughing
серам	laughter
вӧрзьӧдны	launch
лэдзны	launch
песласьӧм	laundry
оланпас	law
луд	lawn
юрист	lawyer
пуктыны	lay
пӧвст	layer
чертёж	layout
дыш	lazy
нуӧдны	lead
юрнуӧдысь	leader
кор	leaf
виялӧм	leak
виявны	leak
мыджсьыны	lean
чеччыштӧм	leap
чеччавны	leap
велӧдны	learn
велӧдӧм	learning
кӧртым	lease
медічӧт	least
медэтша	least
меддзоля	least
кучик	leather
шойччӧм	leave
кольны	leave
коръяс	leaves
нуӧдіс	led
нуӧдӧма	led
шуйгавыв	left
кок	leg
кольӧмтор	legacy
оланпас серти	legal
легенда	legend
оланпас серти	legit
прӧст кад	leisure
удждывны	lend
кузьта	length
этшаджык	less
урок	lesson
лэдзны	let
письмӧ	letter
салат-латук	lettuce
тшупӧд	level
вороп	leverage
кывкутӧм	liability
небӧгаин	library
нювны	lick
ылӧдчыны	lie
пӧръясьны	lie
ылӧдчӧм	lie
ылӧдлӧ	lies
олӧм	life
катӧдӧм	lift
катӧдны	lift
кокни	light
югыд	light
чард	lightning
кажитчыны	like
тыдалӧ	likely
сэтшӧм жӧ ногӧн	likewise
визь	line
Лингала	Lingala
йитӧд	link
лев	lion
кизьӧртор	liquid
лыддьӧг	list
кывзыны	listen
кывзысь	listening
кывйысь кывйӧ	literally
литература	literature
ёгӧсьтны	litter
ёг	litter
ичӧт	little
дзоля	little
ловъя	live
овны	live
мус	liver
олӧ	lives
олӧм	living
олан жыр	living room
дзодзув	lizard
сьӧкта	load
сӧвтны	load
тупӧсь	loaf
удждӧм	loan
татчӧс	local
меставывса	local
ин	location
иган	lock
изоляция	lockdown
кер	log
ваксьыны	lol
ӧтка	lonely
кузь	long
важӧн эг аддзысьлӧй	long time no see
видзӧдны	look
видзӧдлас	look
гартов	loop
личӧдны	loose
личыд	loose
ыджыд	lord
кутысь	lord
воштыны	lose
воштӧм	loss
вошӧм	lost
пай	lot
гора	loud
гӧстинӧй	lounge
муслун	love
радейтны	love
радейта тіянӧс	love you
радейта тэнӧ	love you
ӧтка	lovely
ляпкыд	low
улыс	lower
вернӧй	loyal
сьӧлӧм сетӧм	loyalty
мойвиӧм	luck
майбыр	lucky
Луганда	Luganda
кӧлуй	luggage
ёкмыль	lump
пажын	lunch
тыяс	lungs
син ёран мича	luxury
син ёран мич	luxury
ылӧдлана	lying
машина	machine
йӧй	mad
сямтӧм	mad
вежӧртӧм	mad
госпожа	madam
вӧчис	made
журнал	magazine
зэв мича	magnificent
пелькӧдчысь	maid
медшӧр	main
пыкны	maintain
кутны	maintain
отсавны	maintain
могмӧдӧм	maintenance
Майтхили	Maithili
майор	major
гырысь	major
кызвын	majority
керны	make
вӧчны	make
лӧсьӧдны	make up
вӧчны	make up
ай	male
вузасян шӧрин	mall
мужичӧй	man
айлов	man
веськӧдлыны	manage
веськӧдлӧм	management
менеджер	manager
быть колана	mandatory
манифест	manifest
асланьӧдны	manipulate
ног	manner
киӧн вӧчӧм	manual
кийыв	manual
уна	many
праздникӧн	many many happy returns of the day
марш	march
дор	margin
рынок	market
гӧтрасьӧм	marriage
верӧс сайын	married
гӧтыра	married
маска	mask
сьӧкта	mass
ыджыд	massive
кӧзяин	master
лӧсявны	match
лӧсялӧм	match
ёрт	mate
материал	material
математика	math
эмтор	matter
лоны тӧдчанаӧн	matter
кутны вежӧртас	matter
кисьмӧм	maturity
вермыны	may
ода-кора тӧлысь	may
вермас лоны	maybe
гашкӧ	maybe
менӧ	me
ме тшӧтш	me too
сёян	meal
петкӧдлыны	mean
скӧр	mean
вежӧртас	meaning
средствояс	means
кутіс вежӧртас	meant
кутіс тӧд вылын	meant
сэк кості	meanwhile
мерайтны	measure
муртавны	measure
мераяс	measures
яй	meat
медицина	medical
бурдӧдчантор	medicine
пыдісянь мӧвпалӧм	meditation
шӧркост	medium
паныдавны	meet
аддзысьлӧм	meeting
Мейтейлион	Meiteilon
сывны	melt
казьтылӧмъяс	memories
паметь	memory
мӧвпалана	mental
гаравны	mention
гаралӧм	mentioned
туйдысь-велӧдысь	mentor
вузасьысь	merchant
жалитӧм	mercy
сӧмын	merely
шуда рӧштво	merry christmas
гудыр-гадыр	mess
дзуг	mess
юӧр	message
няйт	messy
металл	metal
метод	method
шыръяс	mice
шӧр	middle
вой шӧр	midnight
вынйӧр	might
вын	might
ёнлун	might
кокньыд	mild
вежтас	milestone
военнӧй	military
йӧв	milk
лысьтны	milk
миллион	million
паныд шуны	mind
мывкыд	mind
мӧвпалан сям	mindset
шахта	mine
менам	mine
соравны	mingle
сорасьны	mingle
абуджык тӧдчана	minor
минут	minute
минутъяс	minutes
шензьӧдантор	miracle
дивӧ	miracle
рӧмпӧштан	mirror
быд сикас	miscellaneous
вильыш	mischievous
коньӧр	miserable
коньӧралӧм	misery
кольны	miss
гажтӧмтча тіянысь	miss you
гажтӧмтча тэысь	miss you
тырмытӧм	missing
мог, миссия	mission
ру	mist
шыбӧль	mistake
Мизо	Mizo
мобильнӧй	mobile
тешитчыны	mock
модель	model
небзьӧдны	moderate
шӧркодь	moderate
ӧнія	modern
вежавидзысь	modest
васӧд	moist
ва	moisture
улис	moisture
бала	mold
бала серти лӧсьӧдны	mold
лу	mold
вурдысь	mole
мам	mom
здук	moment
выльлун	monday
сьӧм	money
видзӧдны	monitor
ӧблезяна	monkey
тӧлысь	month
аскылӧм	mood
ловру	mood
лёк руа	moody
тӧлысь	moon
моральнӧй	moral
этш тӧдысь	moral
унджык	more
ыджыдджык	more
та кындзи	moreover
асыв	morning
ипотека	mortgage
медся	most
ёнджыкасӧ	mostly
мам	mother
вӧрзьӧм	motion
ышӧдӧм	motivation
гӧра	mountain
шыр	mouse
вом	mouth
мунны	move
легӧдны	move
вештыны	move
вӧрӧм	movement
ӧтмунӧм	movement
кино	movie
миссис	mrs
уна	much
няйт	mud
кружка	mug
мускул	muscle
музей	museum
тшак	mushroom
шылад	music
колӧ	must
коланлун	must
кывтӧм	mute
ӧтувъя	mutual
менам	my
Менам донаӧй	My dear
менам ёрт	my friend
Менам сынӧда пӧдушкаа пыжын тырыс змей чери	My hovercraft is full of eels
менам муслунӧй	my love
менам радейтӧмӧй	my love
менӧ шуӧны	my name is
пӧжалуйста	my pleasure
ачым	myself
гӧгӧрвотӧм	mysterious
гусятор	mystery
миф	myth
тув	nail
челядь руа	naive
ним	name
висьталӧм	narrative
векньыд	narrow
пеж	nasty
зывӧк	nasty
вӧк петкӧдана	nasty
канму	national
национальнӧй	national
войтырсикас	nationality
чужан	native
вӧр-ваӧн вӧчӧм	natural
вӧр-ва	nature
вукйӧдлӧм	nausea
орччӧн	near
дорын	near
орччӧн	nearby
муртса	nearly
пельк	neat
идӧра	neat
колана	necessary
сьылі	neck
сикӧтш	necklace
гӧля овны	need
коланлун	need
ковны	need
соссяна	negative
лёк	negative
ӧтдортны	neglect
нуӧдны сёрнитчӧмъяс	negotiate
орччӧн олысь	neighbor
гӧгӧрбок	neighborhood
ни ӧти	neither
племянник	nephew
воча пи	nephew
быдтор тӧдысь	nerd
нервнӧй	nervous
поз	nest
тыв	net
вез	network
нейтральнӧй	neutral
некор	never
некор энӧ сетчӧй	never give up
некор эн сетчы	never give up
веськодь	never mind
веськодь	nevermind
