a little	drusceņ
glance	skatīņs
glance	speidums
glass	gluoze
glass	stykls
glasses	brillis
glimpse	skatīņs
global	globals
gloomy	dryums
gloves	cymdi
glow	speidēt
glow up	īsadegt
glue	leime
go	īt
go ahead	ej iz prīkšu
go away	ej prūm
go to bed	īt gulēt
goal	mierkis
goals	mierki
goat	koza
god	dīvs
god bless you	lai Dīvs tevi svietej
goes	īt
going	dūtīs
going to	eimūt iz
going to	taiseitīs nazkū dareit
gold	zalts
gone	pa celi
gonna	gataveitīs
goo	gļūtys
good	lobs
good afternoon	loba dīna
good bye	vysu lobu
good day	loba dīna
good evening	lobs vokors
good job	lobs dorbs
good looking	labi izavērt
good luck	vālu veiksmi
good morning	lobs reits
good morning my love	lobs reits muna meiluo
good night	lobu nakti
goodbye	vysu lobu
goodnight	lobu nakti
goods	lobumi
Google	Google
Google Translate	Google tulkuotuojs
goose	zūss
gorgeous	kruošņs
gossip	pļuopys
got	īgive
got it	saprotu
government	vaļdeiba
grab	pakert
grade	atzeime
gradually	pamozam
graduate	absolvēt
grain	gryuds
grant	dotaceja
granted	daškierts
grapes	veinūgys
grasp	sakert
grass	zuole
grateful	pateiceigs
gratitude	pateiceiba
grave	kops
gray	palāks
great	lobs
greed	alkateiba
greedy	montkuoreigs
green	zaļš
greet	sveicynuot
greeting	sveicīņs
greetings	sveicīni
grey	palāks
grid	režgis
grief	sārys
grind	samaļt
grip	sakert
grocery	puortykys precis
groom	leigavaiņs
gross	preteigs
ground	zeme
group	grupa
grow	augt
growth	izaugsme
grumpy	kaškeigs
Guarani	guarani
guarantee	garanteja
guard	sorgs
guess	minēt
guest	cīmeņš
guidance	nūruodejums
guide	vadeit
guide	rūkysgruomota
guilty	vaineigs
guy	puiss
guys	zāni
gym	sporta zals
habit	īrodums
habitat	vide
had	bija
hail	krusa
hair	moti
half	puse
hall	zals
hand	rūka
handle	reikuotīs
handle	rūkturs
handsome	šmuks
hang	pakuort
hang out	pavadēt laiku
happen	nūtikt
happened	nūtyka
happiness	prīca
happy	prīceigs
happy birthday	daudz laimis dzimšonys dīnā
happy birthday to you	daudz laimis dzimšonys dīnā
happy new year	laimeigu jaunū godu
hard	cīts
hardly	nicik
hardly ever	gondreiž nikod
harm	kaitejums
harmful	kaiteigs
harmony	harmoneja
harsh	skorbs
harvest	raža
has	pīder
hate	īneistu
have	pīder
have a good day	lai tev loba dīna
have a nice day	lai tev jauka dīna
have breakfast	ēd brūkaškys
have fun	izaklaideit
have you eaten	voi tu esi ēds
having	pīderēt
hazard	apdraudejums
haze	mygla
he	jis
he has	jam ir
he is	jis ir
head	golva
headache	golvys suopis
heal	sadzeit
healing	dzīdynūšs
health	veseleiba
healthy	veseleigs
hear	dzierdēt
heard	dzierdēja
heart	sirds
heat	korstums
heaven	paradize
heavy	gryuts
hectic	drudžains
height	augums
heir	mantinīks
heist	nūzagšona
held	turēts
hell	eļne
Hello	loba dīna
hello dear	sveiks duorgum
hello how are you	vasals kai tev īr
hello how are you doing	vasals kai tev īt
helmet	kivere
help	paleidzēt
helpful	izpaleidzeigs
hence	leidz ar tū
her	jei
herd	bors
here	ite
heritage	montuojums
hesitate	vylcynuotīs
Hey	vasals
Hi	vasals
hi how are you	vasals, kai tev īt
Hi there	vasals
hidden	nūslāpts
hide	slēptīs
hierarchy	hierarheja
high	augsts
highlight	izceļt
hike	puorguojīns
hiking	puorguojīni
hilarious	smīkleigs
hill	kolns
him	jis
hint	muojīns
hip	gūrns
hips	gūrni
hire	jemt dorbā
hiring	jemt dorbā
his	juo
history	viesture
hit	sist
Hmm	Hmm
hobby	breivuo laika nūdarbe
hold	turēt
hold on	uzgaidi
hole	caurums
holiday	breivdīna
hollow	caurs
home	sāta
homework	sātysdorbs
honest	gūdeigs
honestly	gūdeigi
Honey	meiļum
honor	gūds
hood	kapuce
hook	ākis
hop	lekt
hope	cereiba
hopefully	carams
hopeless	bezcereigs
horizontal	horizontals
horn	rogs
horrible	brīsmeigs
horror	brīsmis
horse	zyrgs
hospital	slimineica
hospitality	gostmīleiba
host	saiminīks
hostile	naideigs
hot	korsts
hotel	vīsneica
hour	stuņde
hours	stuņdis
house	muoja
household	muojsaimnīceiba
how	kai
how about you	kai ar tevi
how are you	kai tev īt
how are you doing	kai tev īt
how are you doing today	kai tev šudiņ īt
how are you today	kai tev šudiņ īt
how do you do	kai tev īt
how is	kai ir
how many	cik daudz
how much	cik daudz
how often	cik bīži
how old are you	cik tu esi vacs
how old are you	cik tev ir godu
how was your day	kaida beja tova dīna
how was your night	kai paguoja tova nakts
however	koč
hub	centrs
hubby	veireņš
hug	apskuovīņs
huge	lels
human	cylvāks
humble	vīnkuoršs
humid	mytrs
humidity	mytrums
hundred	symts
hungry	izsaļcs
hunt	medeit
hurricane	vīsuļvātra
hurry	steigtīs
hurry up	pasasteidz
hurt	īvainuot
husband	veirs
hustle	gryusteišonuos
hut	būda
hygiene	higiena
I	es
I am	es asmu
I am fine	maņ vyss labi
I can	es varu
I can't	es navaru
I do	nui
I do not know	es nazynu
I do not understand	es nasaprūtu
I don't	maņ nav
I don't know	es nazynu
I don't understand	es nasaprūtu
I don't understand what you mean	es nasaprūtu
I don't understand what you mean	kū tu ar tū dūmoj
I don't understand you	es tevi nasaprūtu
I don’t know	es nazynu
I don’t understand	es nasaprūtu
i guess	man tai līkās
I had	maņ beja
I have	maņ ir
I have been	as asmu bejs
I hope so	es tai ceru
I know	es zynu
I like	maņ pateik
I like you	tu maņ pateic
I love	es mīļoju
I love my big brother	es mīļoju sovu lelū bruoli
I love my big sister	es mīļoju sovu lelū muosu
I love my father	es mīļoju sovu tāvu
I love my little brother	es mīļoju sovu mozū bruoli
I love my little sister	es mīļoju sovu mozū muosu
I love my mother	es mīļoju sovu muoti
I love you	es tevi mīļoju
I love you so much	es tevi cīši mīļoju
I love you too	es tevi mīļoju
I mean	es dūmoju
I miss you	maņ tevis datryukst
I miss you so much	maņ tevis cīši datryukst
I see	es radzu
I think	es dūmoju
I understand	es saprūtu
I want	es grybu
I want to see you	es grybu tevi redzēt
I want you	es tevi grybu
I was	es beju
I will	es byušu
I would be	es byušu
I'm	es asmu
I'm fine	maņ vyss labi
I'm good	maņ vyss labi
I'm here	asmu te
I'm sorry	pīdūd
ice	lads
ice cream	saldiejums
idea	ideja
ideal	ideals
identical	ideņtisks
identify	atpazeit
identity	ideņtitate
idiot	idiots
idle	nikuo nadareit
if	ja
ignore	ignorēt
ill	slyms
illegal	nalegals
illness	slimeiba
Ilocano	ilokano
image	biļde
imagine	īsadūmoj
immediate	izreiz
immediately	izreiz
immense	miļzeigs
impact	ītekme
impatient	napacīteigs
implement	eistynuot
import	importēt
important	svareigs
impose	uzlikt
impossible	naīspiejams
impress	īspaiduot
impression	īspaids
impressive	īspaideigs
improve	uzlobuot
improvement	uzlobuojums
in	īkšā
in addition	kluot tam
In fact	faktiski
in front of	prīkšā
in order to	lai
inappropriate	naatbylstūšs
incentive	stimuls
incident	atgadejums
include	īkļaut
including	īskaitūt
income	īnuokumi
inconvenience	naierteiba
increase	palelynuot
increased	pasalelynuojs
incredible	natycams
indeed	eistyn
independent	naatkareigs
India	Indeja
indicate	nūruodeit
indigenous	pamatīdzievuotuoji
individual	individuals
industry	industreja
inevitable	naizbāgams
infant	zeidaiņs
infection	infekceja
infinity	bezgaleiba
inflammation	īkaisums
inflation	inflaceja
influence	ītekme
inform	informēt
information	informaceja
ingredients	sastuovdalis
inheritance	montuojums
initial	suokūtnejais
initiative	iniciativa
injured	īvainuots
injury	īvainuojums
innocent	navaineigs
innovation	jaunynuojums
inquiry	pīprasejums
insane	troks
insect	kukaiņs
insecure	nadrūss
insert	īlikt
inside	īškā
insight	īskots
insist	uzstuot
insomnia	bezmīgs
inspiration	īdvesma
inspire	īdvesmuot
install	uzstuodēt
instance	pīmāram
instant	acumierkleigs
instead	tuo vītā
instead of	tuo vītā
instructions	nūruodejumi
instrument	instruments
insult	aizvainuojums
insult	insults
insurance	apdrūsynuošona
intact	vīnā gobolā
integrity	gūdeigums
intellectual	gudrys
intelligence	inteligence
intelligent	inteligents
intend	nūdūmuot
intended	paradzāts
intense	intensivs
intention	nūdūms
interact	īsadorbuot
interaction	mijīdarbeiba
interest	interese
interested	interesēts
interesting	interesants
interfere	traucēt
intermediate	storppūsms
intermediate	videjs
internal	īkšejs
international	storptautisks
internship	prakse
interpret	tulkuot
interpreter	tulkuotuojs
interrupt	puortraukt
interview	interveja
intimate	intims
into	īškā
introduce	īpazeistynuot
introduction	īvods
introvert	introverts
intuition	intuiceja
invalid	nadereigs
invent	izgudruot
inventory	inventars
invest	īguļdeit
investigate	izmeklēt
invitation	īlyugums
invite	uzaicynuot
invoice	riekins
involve	īsaisteit
involved	īsaisteits
iron	dzeļzs
is	ir
island	sola
isolated	izolāts
issue	izdavums
issue	problema
issues	problemys
it	tys
it is	tys ir
it was	tys beja
it's	tys ir
it's ok	vyss kuorteibā
It's okay	vyss kuorteibā
item	līta
items	lītys
its	tys ir
I’m	es asmu
jacket	jaka
jail	cītums
January	janvars
jar	burka
jaw	žūklis
jealous	skaudeigs
jerk	paraut
jerk	kretins
jewelry	rūtyslītys
job	dorbs
jogging	skrīšona
join	dasavīnuot
joint	lūceitova
joke	jūks
journalist	žurnalists
journey	ceļuojums
joy	prīks
judge	tīsness
juice	sula
july	juļs
jump	lekt
june	juņs
junk	bardaks
just	tikai
just do it	izdori tū
justice	taisneiba
justify	attaisnuot
Kalaallisut	Kalalisut
keen	dedzeigs
keep	turēt
keep it up	tai turpynoj
kept	turēja
kettle	čainīks
key	atslāgs
kick	īspert
kid	bārns
kidding	jūkuot
kidney	nīre
kids	bārni
kill	nūsist
kind	jauks
kinda	tai kai
kindly	pīkluojeigi
kindness	laipneiba
king	karaļs
kiss	buča
kitchen	kukne
kite	pyučs
kitten	kačalāns
knee	ceļa gols
knew	zynuoja
knife	nazs
knight	bruninīks
know	zynuot
knowledge	zynuošonys
known	zynoms
Konkani	konkani
Krio	kriu
label	zeimyns
labor	dorbs
labour	dorbs
lack	tryukums
ladder	trepis
lady	dāma
laid	nūlykts
lake	azars
lamb	jārs
lame	tyzls
lamp	lampa
land	zeme
landscape	apkuortne
language	volūda
lap	klieps
large	lels
last	pādejais
last but not least	pādejais, bet ni švakuokais
last name	pavuorde
late	vāls
lately	pādejā laikā
later	vāluok
latest	pādejais
Latgalian	latgalīšu
latter	pādejais
laugh	smītīs
laughing	smīšonuos
laughter	smīkli
launch	izlaist
laundry	velis mozguošona
law	lykums
lawn	zuoluojs
lawyer	advokats
lay	gulēt
layer	sluoņs
layout	izkuortuojums
lazy	slynks
lead	vadeit
leader	vadeituojs
leaf	lopa
leak	tecēt
lean	līktīs
leap	liecīņs
learn	vuiceitīs
learning	vuiceišonuos
lease	nūma
least	vysmoz
leather	uoda
leave	atstuot
leaves	lopys
led	vadeja
left	kreisi
left	aizguojs
leg	kuoja
legacy	montuojums
legal	lykumeigs
legend	leģenda
legit	eists
leisure	atpyuta
lend	aizdūt
length	garums
less	mozuok
lesson	vuiceiba
let	ļaut
letter	viestule
lettuce	salats
level	leimiņs
leverage	svyra
liability	atbiļdeiba
library	biblioteka
lick	laizeit
lie	maluot
lies	mali
life	dzeive
lift	paceļt
light	vīgls
light	gaišs
lightning	zibiņs
like	patikt
like	kai
likely	īspiejams
likewise	taipoš
line	lineja
Lingala	lingala
link	saite
lion	lauva
liquid	škidrums
list	saroksts
listen	klauseitīs
listening	klausūtīs
literally	burtiski
literature	literatura
litter	atkrytumi
litter	metīņs
little	mozs
live	dzeivoj
liver	okna
lives	dzeivis
living	dzeivuošona
living room	dzeivojamuo ustoba
lizard	škierzlots
load	slūdze
loaf	kukuleits
loan	aizdūt
local	vītejais
location	vīta
lock	slēdzene
lockdown	blokade
log	blučs
log	īroksts
lonely	vīntuļš
long	garš
long time no see	ilgi naesi redzēts
look	viertīs
look	izskots
loop	cylpa
loose	breivs
lord	kungs
lose	pazaudeit
loss	zaudejums
lost	pazaudeit
lot	daudz
loud	skaļš
lounge	atpyutys telpa
love	mīlesteiba
love you	es tevi mīļoju
lovely	jauks
low	zamai
lower	zamuoks
loyal	uzticeigs
loyalty	uzticeiba
luck	veiksme
lucky	laimeigs
Luganda	luganda
luggage	bagaža
lump	bumbuļs
lunch	pušdīnys
lungs	plaušys
luxury	grezneiba
lying	malojūšs
machine	mašyna
mad	sirdeigs
madam	dāma
made	iztaiseja
magazine	žurnals
magnificent	breineigs
maid	kolpyune
main	golvonais
maintain	uzturēt
maintenance	uzturēšona
Maithili	maithili
major	pamateigs
majority	vairuokums
make	taiseit
make up	izdūmuot
male	veirīts
mall	lelveikals
man	veirīts
manage	puorvaļdeit
management	vadeiba
manager	vadeituojs
mandatory	obligats
manifest	manifests
manipulate	manipulēt
manner	veids
manual	rūku dorbs
manual	rūkysgruomota
many	daudz
many many happy returns of the day	daudz laimeigu dīneņu
march	marts
margin	starpeiba
market	tiergs
marriage	kuozys
married	preciejīs
mask	maska
mass	masa
massive	masivs
master	meistars
match	pīskaņuot
match	atbiļst
mate	bīdrs
material	materials
math	matematika
matter	nūzeimēt
matter	īmeslis
matter	vīla
maturity	brīdums
may	var
maybe	varbyut
me	mani
me too	es arī
meal	ādums
mean	dūmuot
meaning	nūzeime
means	nūzeimej
meant	dūmuots
meanwhile	cikom
measure	miereit
measures	pasuokumi
meat	gaļa
medical	medicinys
medicine	medicina
meditation	meditaceja
medium	videjs
meet	satikt
meeting	sasatikšona
Meiteilon	meiteilona
melt	izkust
memories	atminis
memory	atmiņa
mental	mentals
mention	pīminēt
mentioned	pīminēje
mentor	mentors
merchant	tierguotuojs
mercy	žielesteiba
merely	tikai
merry christmas	prīceigus zīmsvātkus
mess	nakuorteiba
message	ziņa
messy	nateirs
metal	metals
method	pajiemīns
mice	pelis
middle	pa vydu
midnight	pušnakts
might	varātu
mild	maigs
milestone	sasnēgums
military	militars
milk	pīns
million	miljons
mind	pruots
mindset	dūmuošona
mine	muns
mingle	sasajaukt
minor	mozs
minute	minota
minutes	minotys
miracle	breinums
mirror	spīgeļs
miscellaneous	vysaids
mischievous	palaidneigs
miserable	nūžālojams
misery	posts
miss	palaist garum
miss you	piec tevis ilgojūs
missing	pazuds
mission	miseja
mist	mygla
mistake	klaida
Mizo	mizo
mobile	mobils
mock	mēdēt
model	modeļs
moderate	mārons
modern	moderns
modest	pīticeigs
moist	mytrs
moisture	mytrums
mold	peliejums
mole	veļ
mom	mama
moment	šaļts
monday	pyrmūdīne
money	nauda
monitor	nūvāruot
monitor	monitors
monkey	piertičs
month	mieness
mood	nūskaņuojums
moody	kaškeigs
moon	mieness
moral	morals
more	vēļ
moreover	kluot tam
morning	reits
mortgage	hipoteka
most	vairuoki
mostly	vairuok
mother	muote
motion	kusteiba
motivation	motivaceja
mountain	kolns
mouse	pele
mouth	mute
move	kustēt
movement	kusteiba
movie	filma
mrs	kuņdze
much	daudz
mud	dubli
mug	krūze
muscle	muskuļs
museum	muzejs
mushroom	sieņs
music	muzyka
must	vajadzēt
mute	māms
mutual	obpusejs
my	muns
my	muna
My dear	muns duorgums
my friend	muns draugs
My hovercraft is full of eels	muns gaisa kugis ir pylns ar zušim
my love	muna mīla
my name is	muns vuords ir
my pleasure	muns prīks
myself	es pats
mysterious	nūslāpumains
mystery	mistereja
myth	mits
nail	nogla
nail	nogs
naive	naivs
name	vuords
narrative	naratis
narrow	šaurs
nasty	najauks
national	nacionals
nationality	tauteiba
native	vītejais
natural	dabisks
nature	doba
nausea	švaka dūša
near	tyvai
nearby	blokus
nearly	gondreiž
neat	kuorteigs
necessary	vajadzeigs
neck	kokls
necklace	koklarūta
need	vajadzeit
negative	nagativs
neglect	nūlaideiba
negotiate	puorrunuot
neighbor	sābris
neighborhood	apkuortne
neither	nivīns
nephew	bruoļa dāls
nephew	muosys dāls
nervous	uztraukts
nest	lygzda
net	teikls
network	teikls
neutral	neitrals
never	nikod
never give up	nikod napasadūd
never mind	najem pīrī
nevermind	najem pīrī
nevertheless	vys tik
new	jauns
news	zinis
next	nuokušais
next to	blokus
nice	lobs
nice	jauks
nice to meet you	jauki tevi satikt
niece	muosys meita
night	nakts
nightmare	murgs
nine	deveni
nineteen	deveņpadsmit
ninety	deveņdesmit
No	nā
no problem	bez problemom
no way	navar byut
nobody	nivīns
noise	trūksnis
noisy	skaļš
none	nivīns
noon	pušdiņlaiks
nope	nā
nor	ni
normal	normāls
north	zīmeli
nose	daguns
nostalgic	nostaļgisks
not	nav
not at all	pavysam nā
not bad	našvaks
Not now	ni tān
not yet	vēļ nā
note	zeimeite
noted	atzeimuots
nothing	nikas
notice	pamanēt
noticed	pamaneits
noun	lītvuords
nouns	lītvuordi
novel	romans
november	novembris
now	tagad
nowadays	tagad
nuisance	trauceklis
null	nulle
numb	najiuteigs
number	cypars
nurse	muoseņa
nut	rīksts
nutmeg	muskatrīksts
nutrition	uzturs
oath	zvārasts
obesity	apsataukuošona
obey	paklausēt
object	prīkšmats
objective	objektivs
obligation	pīnuokums
obscure	naskaidrs
observation	nūvāruojums
observe	nūvāruot
obsessed	puorjemts
obsession	apsiesteiba
obsolete	nūvacuojs
obstacle	škierslis
obtain	dabuot
obtained	īgiuts
obvious	acimradzams
obviously	acimradzamai
occasionally	ratai
occupation	nūsadorbuošona
occupied	aizjimts
occur	pasaruodeit
occurred	pasaruodeja
occurs	pasaruoda
ocean	okeans
october	oktobris
odd	deivains
odds	izredzis
of	nu
of course	prūtams
off	būjuots
off	izslāgts
offensive	aizvainojūšs
offer	pīduovuojums
office	ofiss
official	oficials
often	bīži
oh really	patīšam
oil	eļļa
ok	labi
ok dear	labi duorgum
ok honey	labi duorgum
ok my love	labi muna mīlesteiba
okay	labi
okay baby	labi mozuo
okay dear	labi duorgum
okay honey	labi duorgum
okay my love	labi muna mīla
old	vacs
on	iz
once	vīnreiz
one	vīns
one language is never enough	vīnys volūdys nikod nav gona
onion	seipuls
online	tīšsaistē
only	tikai
open	atvārts
operation	operaceja
opinion	vīdūklis
opportunities	īspiejis
opportunity	īspieja
opposite	pretejs
optimistic	optimistisks
option	īspieja
optional	naobligats
or	voi
orange	apeļsins
orange	oranžs
order	pasyutēt
ordinary	parosts
organization	organizaceja
orientation	orientaceja
origin	izceļsme
original	originals
Oromo	oromo
orphan	buoriņs
other	cyts
otherwise	sovaižuok
ought	vajadzātu
our	myusu
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Myusu miseja: ļaut sevkuram i sevkur izprast pasauļa i izasaceit vysaiduos volūduos.
Our mission: to organize the world's information and make it universally accessible and useful.	Myusu miseja: sakuortuot pasauļa informaceju i padareit tū vysim daīmamu i nūdereigu.
out	uorā
outcome	rezultats
outfit	apgierbs
outgoing	izejūšs
outgoing	socials
outlet	izvods
outline	rūbežs
outside	uorā
outstanding	izcyls
oven	kruosns
over	cauri
over there	tī
overall	kūpumā
overcome	tikt puori
overthinking	puordūmuot
overwhelmed	puorjemts
overwhelming	miļzeigs
owe	byut poruodā
owl	pūce
own	pīderēt
own	pošu
owner	saiminīks
ox	vierss
pace	temps
pack	paka
package	paka
paid	samoksuots
pain	suopis
paint	kruosa
painting	zeimuojums
pair	puors
pale	buols
palm	plauksta
pan	panna
pandemic	pandemeja
panic	panika
pants	biksis
paper	papeirs
paradise	paradize
parallel	paralels
parcel	paceņa
pardon	atlaid
parents	vacuoki
park	parks
parrot	papagaiļs
parsley	pīterseiļi
part	daļa
participate	pīsadaleit
particular	eipašs
particularly	eipaši
partner	partners
party	balleite
pass	škārsuot
passage	eja
passed	nūmyra
passion	aizaraušona
passionate	aizrauteigs
passive	pasivs
password	parole
past	paguotne
patch	īluops
path	ceļš
pathetic	nūžālojams
patience	pacīteiba
patient	pacīteigs
pattern	paraugs
pattern	roksts
pause	pauze
pavement	trotuars
pay	moksuot
payment	moksuojums
peace	mīrs
peaceful	mīreigs
peach	persiks
peak	viersūtne
pear	bumbīrs
peas	zierni
peculiar	sovpateigs
pee	čuruot
peel	myza
peer	vīnaudzs
peers	vīnaudži
pen	pyldspolva
pencil	zeimuļs
pending	gaidūšs
people	cylvāki
pepper	pipars
perceive	uztvert
perception	uztvere
perfect	ideals
perform	dareit
performance	snēgums
perhaps	īspiejams
period	laikmets
permanent	pastuoveigs
permission	atļuove
permit	atļauja
perseverance	naatlaideiba
persistent	naatlaideigs
person	persona
personal	personeigs
personality	personeiba
perspective	skotīņs
persuade	puorlīcynuot
pervert	perverss
pet	sātys dzeivnīks
phase	fāze
phenomenon	fenomens
philosophy	filozofeja
phone	kuļdinīks
phone	telefons
photo	biļde
phrase	frāze
physical	fizisks
pick	baksteit
pick	izavēlēt
pick up	paceļt
picture	biļde
piece	gobols
pieces	goboli
pig	cyuka
pigeon	bolūds
pile	kaudze
pillow	spylvyns
pilot	pilots
pin	pīspraust
pineapple	ananass
pink	rozā
pit	bedre
pit	kauleņš
pitch	svīdīņs
pity	žālums
place	vīta
places	vītys
plague	miers
plain	vīnkuoršs
plan	planavuot
plane	lidmašyna
plant	augs
plants	augi
plate	škeivs
platform	platforma
play	spēlēt
playing	spēlejūt
pleasant	pateikams
please	lyudzu
pleased	apmīrynuots
pleasure	prīca
pledge	zvērēt
plenty	naskaitami
plot	sižets
plug	spraudnis
plum	plūme
plumber	santehnikis
plural	daudzskaitlis
podcast	apluode
poem	dzejūļs
poetry	dzeja
point	punkts
poison	iņde
police	policeja
policy	politika
polite	pīkluojeigs
pollution	pīsuorņuojums
pond	prūds
pool	baseins
poop	syuds
poor	nabadzeigs
pop	spruogt
popular	populars
population	populaceja
pork	cyukys gaļa
porridge	putra
port	ūsta
position	poziceja
positive	pozitivs
possess	pīderēt
possession	eipašums
possessive	eipašnīcisks
possible	īspiejams
post	īroksts
post	posts
postpone	atlikt
potato	buļba
potential	īspiejams
pound	muorceņa
poverty	nabadzeiba
power	spāks
powerful	spieceigs
practical	praktisks
practice	mieginuojums
praise	slavēt
prank	jūks
pray	lyugtīs
precious	duorgs
precise	prezics
precisely	precizi
predict	pareģuot
prefer	dūt prīkšrīku
preference	prīkšrūka
pregnant	stuovūklī
prejudice	aizsprīdumi
premises	telpys
premium	augstuokuos klasis
preparation	gataveišonuos
prepare	sagataveit
prepared	sagataveits
preposition	prīvuords
presence	kluotbyutne
present	tagadne
presentation	prezentaceja
preserve	saglobuot
president	prezidents
press	spīst
press	prese
pressure	spīdīņs
pretend	izalikt
pretty	skaists
prevent	nūvērst
previous	īprīškejīs
prey	medejums
price	cena
pride	lapnums
priest	prīsters
primary	primari
prime	golvonais
princess	priņcese
principal	golvonais
prior	pyrms tuo
priority	prioritate
prison	cītums
privacy	privatums
private	personeigs
privilege	prīkšrūceiba
prize	bolva
probably	īspiejams
problem	problema
procedure	procedura
proceed	turpynuot
process	process
produce	ražuot
produce	produkti
product	izstruoduojums
production	ražuošona
profession	profeseja
professional	profesionals
profile	profils
profit	peļņa
profound	dziļš
progress	progress
project	projekts
prominent	izteikts
promise	apsūlēt
promote	veicynuot
promotion	paaugstynuojums
prompt	mudynuot
prone	nūslīce iz
pronouns	vītnīkvuordi
pronunciation	izruna
proof	pīrudejumi
proper	kuorteigs
properly	pareizi
properties	eipašeibys
property	eipašum
proposal	prīkšlykums
prospect	izredzis
prosperity	lobkluojeiba
prosperous	puortics
protect	aizsorguot
proud	lepns
prove	pīruodēt
provide	nūdrūsynuot
provided	nūdrūsynuots
province	proviņce
provision	nūdrūsynuojums
puberty	pubertate
public	publisks
pull	viļkt
pumpkin	kirbs
punctual	punktuals
pupil	škoļnīks
purchase	nūpierkt
purchase	pierkums
pure	teirs
purple	violets
purpose	mierkis
purse	sūmeņa
pursue	tīktīs
pursuit	izsekuot
push	pagryuzt
put	nūlikt
qualification	kvalifikaceja
quality	kvalitate
quantity	daudzums
quarantine	karantina
quarrel	streids
quarter	catūrksnis
Quechua	kečua
queen	karalīne
queer	deivains
query	vaicuojums
question	vaicuojums
queue	rynda
quick	uotrs
quickly	uotri
quiet	kluss
quilt	dečs
quit	aizīt
quite	dīzgon
quiz	viktorina
quotation	citats
quote	citāts
quotes	citati
rabbit	truss
race	saceņseibys
rage	dusmis
rain	leits
raise	izaudzynuot
raised	izaudzeits
ran	skrēje
random	najaušs
range	diapazons
rapid	uotrs
rapidly	uotri
rare	rats
rarely	ratai
rash	pumpys
rat	žurka
rate	vērtēt
rather	gon
ratio	attīceiba
rational	racionals
raw	jāls
reach	sasnēgt
reached	sasnīgts
reaction	reakceja
read	laseit
reading	losūt
ready	gotovs
real	eists
reality	realitate
realize	saprast
realized	saprosts
really	eistyn
rear	aizmugure
reason	īmeslis
reasonable	sapruoteigai
recall	atsaukt
receipt	čeks
receive	sajimt
received	sajimts
recent	nasens
recently	naseņ
reception	uzjimšona
recipe	recepte
reckless	naapdūmeigs
recognition	atpazeistameiba
recognize	atpazeit
recommend	īsaceit
recommended	īsaceit
record	īraksteit
recover	atsakūpt
recovery	atsakūpšona
rectangle	taisnstyurs
red	sorkons
redeem	izpierkt
redemption	izpierkšona
reduce	samazynuot
redundant	līks
refer	atsasaukt
reference	atsauce
reflect	atspīgeļuot
reflection	atspulgs
reflection	puordūmys
refrain	atsaturēt
refrigerator	ladaskaps
refund	atmoksa
refuse	atsasaceit
refused	kuo ta lobā
refused	atsasaceja
regard	saisteibā ar
regarding	saisteibā ar
regardless	nasaverūt iz
regards	saisteibā ar
region	regions
register	registrētīs
regret	nūžāla
regular	parosts
regular	regulars
regularly	regulari
reject	atsasaceit
relate	atsatīkt
related	saisteits
relationship	attīceibys
relative	relativs
relative	radinīks
relatives	radinīki
relax	atsapyut
release	izlaist
release	atbreivuot
released	izlaists
relevant	saistūšs
reliable	uzticeigs
relief	atvīgluojums
relieve	atbreivuot
relieved	atvīgluots
religion	religeja
religious	religisks
reluctant	nagribeigai
rely	pasaļaut
remain	palikt
remaining	palykušais
remarkable	īvārojams
remedy	leidzeklis
remember	atsacerīs
remind	atguodynuot
reminder	atguodynuojums
remote	attuolynuotai
remove	nūjimt
render	renderēt
rent	īre
repair	salobuot
repeat	atkuortuot
replace	aizvītuot
reply	atbiļdēt
report	ziņuot
represent	puorstuovēt
reputation	reputaceja
request	pīpraseit
require	vajadzēt
required	vajadzeigs
rescue	izgluobt
research	pietejums
resemble	atdarynoj
resentment	aizvainuojums
reservation	rezervaceja
reserve	rezervēt
resident	īdzeivuotuojs
resign	atsakuopt
resilience	nūtureiba
resilient	iztureigs
resist	pretuotīs
resistance	pretesteiba
resolution	atrysynuojums
resolve	atrysynuot
resort	kūrorts
resources	resursi
respect	cīņa
respond	atbiļdēt
response	atbiļde
responsibility	atbiļdeiba
responsible	atbiļdeigs
rest	atsapyust
rest in peace	atsapyut ar mītu
restaurant	restorans
restore	atjaunot
restrict	īrūbežuot
result	rezultats
results	rezultati
resume	kūpsavylkums
resume	turpynuot
retail	mozumtierdznīceiba
retain	saglobuot
retention	saglobuošona
retired	peņsejā
retreat	atsakuopt
retrieve	dabuot atpakaļ
return	atgrīzt
reveal	atkluot
revealed	atkluots
revenge	atrībeiba
revenue	atleidzeiba
reverse	ūtraižuok
review	apskots
revise	puorskateit
revision	puorsavieršona
revolution	revoluceja
reward	bolva
rhythm	ritms
rib	ryba
rice	riss
rich	boguots
rid	atsabreivuot
ride	juot
ridiculous	smīkleigs
right	pareizi
right	labi
right now	tīši tagad
rigid	styngrs
ring	gradzyns
rinse	skoluot
riot	sasaceļšona
rip	plēst
ripe	gotovs
rise	pasaceļt
risk	risks
rival	naidinīks
river	upe
road	ceļš
roast	cepets
robust	styngrs
rock	šyupuot
rock	akmiņs
rod	stīņs
role	lūma
roll	veļtīs
roof	jumts
room	ustoba
root	sakne
rope	vierve
rotten	sapyvs
