a little	tenê
framework	çarçewa
fraud	sextekarîye
freak	gêj
free	azad
free	bêpere
freedom	azadîye
freeze	cemidîyayene
frequency	frekans
frequent	rey-rey
frequently	rew-rew
fresh	teze
friday	îne
fridge	dolaba cemedî
friend	embaz
friendly	gonîgerm
friends	embazî
friendship	embazîye
frightened	tersaye
frightening	tersnak
frog	beq
from	ra
front	vernî
frozen	cemidîyaye
fruit	meywe
frustrated	bêzar
fuel	sotemenî
Fulfulde	Fulfulde
full	pirr
fun	keyf û kelebut
function	fonksîyon
fundamental	bingeyên
funeral	merasimê cenaza
funny	komîk
fur	kurke
furious	hêrsin
furniture	mobîlya
further	zêdêr
furthermore	ey ra kî dot
future	ameyox
gain	qezenç kerdene
gain	destkewt
game	kay
gap	vengane
garage	garaj
garbage	çop
garden	baxçe
garlic	sîr
gate	ber
gather	kom bîyene
gathering	kombîyayîş
gauge	peymitene
gave	da
gear	vitês
gender	cinsîyet
general	pêroyî
generally	pêroyî
generate	viraştene
generation	ber
generous	comerd
genius	dahî
genre	tewirê edebîyatî
gentle	nazik
genuine	raştkên
gesture	jest
get	girewtene
get dressed	kincanê xo pira bigîrê
get up	rawuştene
get well soon	berzînê xeyrî bo
getting	gêno
ghost	xeyalet
ghosting	cewabnêdayîş
giant	dêvane
gift	xelate
ginger	zencefîl
girl	kêneke
girlfriend	doste
give	dayene
give up	fek ci ra veradayene
given	daye
glad	keyfweş
glance	çim pira çarnayene
glass	bardaxe
glasses	verçimikî
glimpse	çim eştene
global	global
gloomy	tarî
gloomy	teng
gloves	lepikî
glow	beriq
glow up	beriqîyayîş
glue	zeloq
go	şîyene
go ahead	raşt şo
go away	şo
go to bed	rakewe
goal	amanc
goals	hedefî
goat	bize
god	homa
god bless you	hende ke raşt
goes	şono
going	şono
going to	şono bi
gold	zerrn
gone	şîyaye
goo	lincin
good	rindîye
good	rind
good afternoon	peroj bixeyr
good bye	xatir bi to
good day	roje bixeyr
good evening	şan bixeyr
good job	aferîn
good looking	semt
good luck	bextweş be
good morning	şodir bixeyr
good morning my love	şodirê to weş bo, canê mi
good night	şewe bixeyr
goodbye	xatirê şima
goodnight	şewbaş
goods	berî
Google	Google
Google Translate	Google Translate
goose	qaze
gorgeous	muhteşem
gossip	zem
got	girewt
got it	fam kerd
government	hukmat
grab	girewtene
grade	darax
gradually	vera-vera
graduate	mezun bîyene
grain	heb
grant	bexş
granted	biîmtîyaz
grapes	engurî
grasp	tepiştene
grass	vaş
grateful	sipasdar
gratitude	sipasdarîye
grave	gore
gray	gewr
great	hol
greed	çimveşanîye
greedy	çimeveşan
green	kesk
greet	selam dayene
greeting	selamdayîş
greetings	selamdayîşî
grey	gewr
grid	caxike
grief	efkar
grind	tehnayene
grip	pêguretene
grocery	dikan
groom	zama
gross	girs
ground	erd
group	grûbe
grow	pîl bîyene
growth	girsbîyayîş
grumpy	zirt
Guarani	Guarankî
guarantee	garantî
guard	pawitene
guess	texmîn kerdene
guest	mêman
guidance	rayberîye
guide	rayber
guide	rayberîye kerdene
guilty	sucdar
guy	mêrik
guys	mêrikî
gym	salonê sporî
habit	adet
habitat	cugeh
hail	torge
hair	por
half	nême
hall	çardaxe
hand	dest
handle	destik
handsome	semt
hang	darde kerdene
hang out	hedîra xo ardene
happen	bîyene
happened	bî
happiness	şayîye
happy	şa
happy birthday	rojbîyayîşê to pîroz bo
happy birthday to you	rojbîyayîşê to bimbarek bo
happy new year	serrnewe pîroz bo
hard	zehmet
hardly	nadîr
hardly ever	hema-hema qet rey
harm	zerar dayene
harm	zerar
harmful	zerardar
harmony	aheng
harsh	sext
harvest	ber girewtene
hate	nefret kerdene
have a good day	roja to xeyr bo
have a nice day	roja to xeyr bo
have breakfast	arayîya xo bike
have fun	rind bixejilîye
have you eaten	to nan werd
having	mal
hazard	tehluke
haze	mij
he	o
he has	ey de est o
he is	o yo
head	sere
headache	seredej
heal	weş kerdene
healing	weşkerdiş
health	weşîye
healthy	weş
hear	eşnawitene
heard	eşnawit
heart	zerrî
heat	germîye
heat	germ kerdene
heaven	cenet
heavy	giran
hectic	biheyecan
height	berzîye
heir	mîrasdar
heist	dizdîye
held	pêgirewte
hell	cehenem
Hello	Ma bixeyr dî
hello dear	selam delalo
hello how are you	ma bixeyr dî, ti senîn a
hello how are you doing	ma bixeyr dî, ti se kena?
helmet	kask
help	hetkarî kerdene
helpful	destegêr
hence	coka
her	aye
herd	pes
here	tîya
heritage	mîras
hesitate	didil mendene
Hey	Hey
Hi	Merheba
hi how are you	selam, senîn î
Hi there	Selam
hidden	nimitik
hide	nimitene
hierarchy	hîyerarşî
high	berz
highlight	beşo muhîm
hike	fetilîyayene
hiking	fetilîyayîş
hilarious	zaf komîk
hill	pul
him	ey
hint	îma kerdene
hip	qineste
hips	qorrik
hire	kîra kerdene
hiring	kar rê girewtiş
his	yê ey
history	tarîx
hit	piro dayene
Hmm	Hmm
hobby	hobî
hold	pê girewtene
hold on	pîtene
hold on	pê girewtene
hole	lane
holiday	tehtîl
hollow	kinitene
home	keye
homework	wezîfeyê keyeyî
honest	rastvaj
honestly	bi raştî
Honey	Cano
Honey	Hingimên
honor	şeref
hood	kapuşone
hook	çengal
hop	çing dayene
hope	hêvî
hope	hêvî kerdene
hopefully	boka
hopeless	bêhêvî
hopeless	bêîmkan
horizontal	verardkî
horn	estrî
horrible	xewfin
horror	ters
horse	estor
hospital	nêweşxane
hospitality	mêmanperwerîye
host	mêmandar
host	mêmandarîye kerdene
hostile	dişmenkî
hot	germ
hotel	otêle
hour	saete
hours	saetî
house	keye
household	keye
how	senî
how about you	ma ti
how are you	ti senîn î
how are you doing	ti se kenî
how are you doing today	ti ewro senîn î
how are you today	ti ewro senîn î
how do you do	ti se kenî
how is	senîn o
how many	çend
how much	çend
how often	çend rey
how old are you	ti çend serrî yî
how was your day	roja to senî bîye
how was your night	şewa to senî bîye
however	labelê
hub	merkez
hubby	caniko
hug	verare
hug	verare kerdene
huge	girs
human	merdim
humble	nefsqij
humid	tênin
humidity	tênî
hundred	se
hungry	vêşan
hunt	seyd kerdene
hurricane	hurîkan
hurry	lez kerdene
hurry up	lerze bike
hurt	dejayene
husband	mêrde
hustle	lebitîyayene
hustle	lebitîyayîş
hut	koxe
hygiene	hîjyen
I	ez
I am	Ez a
I am fine	ez rind a
I can	ez eşkena
I can't	ez nêeşkena
I do	Ez kena
I do not know	ez nêzana
I do not understand	Ez fehm nêkena
I don't	Ez nêkena
I don't know	Ez nêzana
I don't understand	ez fehm nêkena
I don't understand what you mean	ez fehm nêkena ke ti se vanî
I don't understand you	Ez to fehm nêkena
I don’t know	ez nêzana
I don’t understand	Ez fehm nêkena
i guess	ez texmîn kena
I had	mi de est bî
I have	mi de est o
I have been	ez bîya
I hope so	ez hêvî kena
I know	Ez zana
I like	ez ecibnena
I like you	ez to ra hes kena
I love	ez hes kena
I love my big brother	ez birayê xo yê pîlî ra hes kena
I love my big sister	ez waya xo ya pîle ra hes kena
I love my father	ez pîyê xo ra hes kena
I love my little brother	ez birayê xo yê qijî ra hes kena
I love my little sister	ez waya xo ya qije ra hes kena
I love my mother	ez maya xo ra hes kena
I love you	ez to ra hes kena
I love you so much	Ez to ra zaf hes kena
I love you too	ez zî to ra hes kena
I mean	yanî
I miss you	Mi bêrîya to kerda
I miss you so much	mi zaf bêrîya to kerda
I see	Mi fam kerd
I think	goreyê mi
I understand	Ez fehm kena
I want	ez wazena
I want to see you	ez wazena to bivînî
I want you	ez to wazena
I was	Ez bîya
I would be	ez bibîyêne
I'm	Ez a
I'm fine	Ez rind a
I'm good	ez rind a
I'm here	Ez tîya ya
I'm sorry	ez ozrê xo wazena
ice	cemed
ice cream	qeşaşit
idea	fikr
ideal	îdeal
identical	eynî
identify	pênas kerdene
identity	kamîye
idiot	bom
idle	veradaye
if	eke
ignore	peygoş kerdene
ill	nêweş
illegal	îlegal
illness	nêweşîye
Ilocano	Îlocano
image	resim
imagine	xeyal kerdene
immediate	desinde
immediately	desinde
immense	zaf girs
impact	tesîr kerdene
impact	tesîr
impatient	bêsebir
implement	ca ardene
import	îdxal
import	îdxal kerdene
important	muhîm
impose	bar kerdene
impose	zor ra dayene kerdene
impossible	nemumkin
impress	tesîr ro ci kerdene
impression	tesîr
impressive	balkêş
improve	aver berdene
improvement	rindêrkerdiş
in	de
in addition	ser o zî
In fact	raşta ci
in front of	verê … de
in order to	seba ke
inappropriate	bêmunasebet
incentive	teşwîq
incident	hedîse
include	tede bîyene
including	tede
income	ameye
inconvenience	nerehetîye
increase	zêdîyayîş
increase	zêdnayene
increased	zêde
incredible	acêba girane
indeed	xora raşt
independent	xoser
India	Hîndîstan
indicate	nîşan dayene
indigenous	cayî
individual	şexs
industry	endustrî
inevitable	îllamkî
infant	pit
infection	îltîhab
infinity	bêpeynîyîye
inflammation	îltîhab
inflation	enflasyon
influence	tesîr kerdene
influence	tesîr
inform	dayîşzanayîş
information	melumat
ingredients	tedeyî
inheritance	mîras
initial	sifteyên
initiative	înîsîyatîf
injured	birîndar
injury	birîne
innocent	bêguna
innovation	îcad
inquiry	pers
insane	tirrexêx
insect	lulik
insecure	bêasayîş
insert	dekerdene
inside	zere
insight	îzan
insist	israr kerdene
insomnia	bêhewnîye
inspiration	îlham
inspire	îlham dayene
install	saz kerdene
instance	nimûne
instant	desinde
instead	herinda ci de
instead of	herind de
instructions	telîmatî
instrument	enstruman
insult	heqeret kerdene
insurance	sîgorta
intact	tam
integrity	temamîye
intellectual	roşnvîr
intelligence	aqil
intelligent	jîr
intend	nîyet kerdene
intended	nîyetkerde
intense	xurt
intention	nîyet
interact	yewbînan ser tesîr kerdene
interaction	yewbînansertesîrkerdiş
interest	eleqe
interested	eleqedar
interesting	balkêş
interfere	mudaxele kerdene
intermediate	mabênkar
internal	yê zereyî
international	mîyanneteweyî
internship	stajyerîye
interpret	tefsîr kerdene
interpreter	çarnayox
interrupt	birnayene
interview	roportaj
intimate	semîmî
into	bi
introduce	dayene naskerdene
introduction	daşinasnayiş
introvert	şermokin
intuition	hîs
invalid	nevîyartbar
invent	îcad kerdene
inventory	envanter
invest	sermaye kerdene
investigate	tehqîqat
invitation	silayî
invite	silaynayene
invoice	fatura kerdene
invoice	fatura
involve	tewrê . bîyene
involved	tede
iron	asin
iron	utî kerdene
is	o
island	girawe
isolated	îzolekerde
issue	vetene
issue	mesela
issues	problemî
it is	o yo
it was	bî
it's ok	temam o
It's okay	Hol o
item	çî
items	çî
its	yê ey
I’m	Ez a
jacket	çakêt
jail	hepisxane
January	Çele
jar	qawanoz
jaw	çene
jealous	çimesîya
jerk	serserî
jewelry	mucewher
job	meslek
jogging	vaştiş
join	tewr bîyene
joint	pêragirêdaye
joint	muşterek
joke	yaranîye
journalist	rojnameger
journey	raywanîye
joy	keyf
judge	muhakeme kerdene
judge	dadger
juice	awa meyweyan
july	temmuze
jump	xil dayene
june	hezîrane
junk	keş-peş
just	tena
just	heq
just do it	de bike
justice	edalet
justify	heq dayene
justify	pawitene
Kalaallisut	Kalalîsut
keen	hewesdar
keep	dewam kerdene
keep	pê girewtene
keep it up	dewam ke
kept	pêgirewte
kettle	lên
kettle	çaydane
key	kilît
kick	pasqule piro dayene
kid	doman
kidding	yarenî
kidney	velik
kids	domanî
kill	kiştene
kind	tewir
kind	nazik
kinda	seke
kindly	nazîkane
kindness	kibarîye
king	qiral
kiss	lew pira nayene
kitchen	kulinde
kite	firfiroke
kitten	pisînge
knee	zanî
knew	zana
knife	kardî
knight	şovalye
know	zanayene
knowledge	zanayîş
known	zanaye
Konkani	Konkanî
Krio	Krîo
label	etîket
label	etîket kerdene
labor	kar
labour	kar
lack	kêmanîye
ladder	nêrdîwane
lady	xanime
laid	merredîya ra
lake	gole
lamb	vereke
lame	kêmî
lame	kung
lamp	lamba
land	niştene
land	erd
landscape	menzere
language	ziwan
lap	verare
large	girs
last	peyên
last but not least	peynîya peyêne de
last name	peyname
late	erey
lately	demo peyên de
later	dima
latest	tewr peyên
latter	peyên
laugh	huyayene
laughing	huyayîş
laughter	huyayîş
launch	pernayene
laundry	kincşuxane
law	qanûn
lawn	çere
lawyer	avûkat
lay	rameridîyayene
layer	qat
layout	arê dayene
lazy	tembel
lead	qerşune
lead	rayberî kerdene
leader	serek
leaf	pel
leak	dilope kerdene
lean	aznayene
leap	perrayene
learn	musayene
learning	museno
lease	kîra kerdene
least	tewr tay
leather	çerme
leave	teriknayene
leave	teriknayîş
leaves	terikneno
leaves	pelî
led	rayberîkerde
left	çep
leg	pêtik
legacy	mîras
legal	qanûnî
legend	efsane
legit	meşrû
leisure	wexto veng
lend	deyn dayene
length	dergîye
less	kêmî
lesson	derse
let	raverdayene
letter	mektube
lettuce	xas
level	darax
leverage	berzker
liability	berpirsîyarîye
library	kitabxane
lick	lîştene
lie	zure
lie	zurî kerdene
lies	zurî
life	cuye
lift	wedardene
lift	asansor
light	veşnayene
light	sivik
light	roştî
lightning	bilusk
like	hes kerdene
likely	muhtemel
likewise	aynen
line	xêze
Lingala	Lîngala
link	lînk
lion	şêr
liquid	awî
list	lîste
listen	goşdarî kerdene
listening	goşdarî keno
literally	herfîyen
literature	edebîyat
litter	qilêrin kerdene
little	şenik
live	ciwîyayene
live	ganî
liver	cîgere
lives	cuyî
living	ciwîyeno
living room	odaya roniştişî
lizard	marula
load	bar bîyene
loaf	nane
loan	deyn
local	cayî
location	ca
lock	kilît kerdene
lockdown	qedexeyê vejîyayîşê teberî
log	qirm
lol	ez zaf huyaya
lonely	tek û tena
long	derg
long time no see	xeylê wext o ke ma yewbînî nêdîyo
look	awir
look	ewnîyayene
loop	girê dayene
loose	sist
loose	vîndî kerdene
lord	lord
lose	vîndî kerdene
loss	zerar
lost	vîndîbîyaye
lot	keremate
loud	bi vengêko berz
lounge	salone
love	eşq
love	hes kerdene
love you	ez to ra hes kena
lovely	şîrin
low	nizm
lower	nizm kerdene
loyal	wefadar
loyalty	sedaqet
luck	şans
luck	bext
lucky	bişans
Luganda	Luganda
luggage	bagaj
lump	kome
lunch	perojîye
lungs	cîgerî
luxury	luks
lying	zurîkerdiş
machine	makîna
mad	xêx
mad	hêrsin
madam	xanime
made	viraşte
magazine	kovare
magnificent	muhteşem
maid	xizmetkare
main	sereke
maintain	dewam kerdene
maintain	ramitene
maintenance	berdewamîye
Maithili	Maîthîlî
major	sergord
major	pîl
majority	zafêrî
make	viraştene
make up	makyaj kerdene
male	nêr
mall	merkezê axsata
man	merdim
manage	îdare kerdene
management	îdarekarî
manager	îdarekar
mandatory	mecburî
manifest	eşkera kerdene
manifest	manîfesto
manipulate	manîpule kerdene
manner	uslûb
manual	dest a
many	zaf
many many happy returns of the day	xeylê xeylê ameyeyê roje
march	şîyene
march	adare
margin	kenar
market	pîyase
marriage	zewac
married	zewicîyaye
mask	maske
mass	girse
massive	zaf girs
master	westa
match	pêardene
match	duşt
mate	heval
mate	kel werdene
material	materyal
math	matematîk
matter	mesele
matter	muhîm bîyene
maturity	deresayîş
may	eşkayene
may	gulane
maybe	beno ke
me	mi
me too	ez zî
meal	werd
mean	vatene
mean	averaj
meaning	mana
means	îmkan
meant	qesd o bî ke
meanwhile	no mabên de
measure	peymitene
measures	peymî
meat	goşt
medical	tibî
medicine	derman
meditation	medîtasyon
medium	mîyanên
medium	wasita
meet	nas kerdene
meeting	kombîyayîş
Meiteilon	Meîteîlon
melt	rovilêşîyayene
memories	xatîrayî
memory	vîr
mental	aqlî
mention	qalê ci kerdene
mentioned	vate
mentor	şêwirmend
merchant	bazirgan
mercy	merhemet
merely	ancax
merry christmas	Noel pîroz bo
mess	alozî
message	peyame
messy	virtûvila
metal	metal
method	metod
mice	merreyî
middle	mîyanên
midnight	şewlete
might	eşkayene
mild	nermik
milestone	hedef
military	leşkerîye
milk	şit
million	mîlyon
mind	aqil
mind	ehemîyet dayene
mindset	zîhnîyet
mine	yê mi
mine	maden
mingle	werê fîtene
minor	qijkek
minute	deqa
minutes	deqeyî
miracle	keramete
mirror	neynike
miscellaneous	têmîyan
miscellaneous	ê bînî
mischievous	mixenet
miserable	neçar
misery	feqirîye
miss	bêrî kerdene
miss you	mi bêrîya to kerda
missing	vîndîbîyaye
mission	mîsyon
mist	mij
mistake	xeletîye
Mizo	Mîzo
mobile	mobîl
mock	henek
mock	henek kerdene
model	model
moderate	maqul
moderate	îdare kerdene
modern	modern
modest	nefsqij
moist	hît
moisture	hîtî
mold	kufikîyayene
mold	kufike
mole	herremuşk
mom	dayê
moment	game
monday	dişeme
money	pere
monitor	monîtor
monkey	meymune
month	aşme
mood	keyf
moody	eks
moon	aşme
moral	moral
more	hîna zêde
moreover	ey ra zî wet
morning	şodir
mortgage	îpotek
most	zafê ci
mostly	zafane
mother	maye
motion	hereket
motivation	motîvasyon
mountain	ko
mouse	merre
mouth	fek
move	lewîyayene
movement	hereket
movie	fîlm
mrs	xanime
much	zaf
mud	lince
mug	tase
mug	xesp kerdene
muscle	masûlkeyî
museum	muzexane
mushroom	sung
music	muzîk
must	ganî
must	ganîyîye
mute	bêveng
mutual	dihetkî
my	mi
My dear	Delalê mi
my friend	embazê mi
My hovercraft is full of eels	Hovercraftê mi pirrê marmasan o
my love	zerrîya mi
my name is	nameyê mi … o
my pleasure	seran ser
myself	bi xo
mysterious	sirdar
mystery	sirr
myth	mîtos
nail	nenûg
naive	naşî
name	name
narrative	qalkerdiş
narrative	hîkaye
narrow	teng
nasty	qefçil
national	neteweyî
nationality	netewe
native	cayî
natural	xozayî
nature	xoza
nausea	werêkewtişê zereyî
near	nêzdî de
nearby	nêzdî
nearly	hema-hema
neat	biîhtîmam
necessary	hewce
neck	mil
necklace	kolye
need	îhtîyac
need	lazim bîyene
negative	negatîf
neglect	îhmal kerdene
negotiate	muzakerde kerdene
neighbor	cîran
neighborhood	dorûver
neither	ne … ne zî
nephew	biraza
nervous	hêrsin
nest	halîn
net	torre
network	torre
neutral	bêteref
never	caran
never give up	caran metexilîye
never mind	fek ci ra verade
nevermind	wa bo
nevertheless	ancîya
new	newe
news	xeberî
next	verên
next to	hetê … de
nice	weş
nice to meet you	ez memnun bîya
niece	werezaye
night	şewe
nightmare	kapos
nine	new
nineteen	newês
ninety	neway
No	Ney
no problem	problem çin o
no way	mumkin nîyo
nobody	qet kes
noise	hayleme
noisy	hermeleyin
none	çi .
noon	peroj
nope	niç
nor	ne
normal	normal
north	bakûr
nose	pirnike
nostalgic	nostaljîk
not	ney
not at all	çiman ser
not bad	xirab nîyo
Not now	Nika ney
not yet	hîna ney
note	not kerdene
noted	notkerde
nothing	qet çî
notice	pêhesîyayîş
noticed	ferqkerde
noun	name
nouns	nameyî
novel	roman
november	teşrîna peyêne
now	nika
nowadays	nê deman
nuisance	problem
null	sifir
numb	kung
number	hûmare
nurse	hemşîra
nut	findiqe
nutmeg	muskat
nutrition	werdiş
oath	sond
obesity	qelewîye
obey	tede kerdene
object	çî
objective	amanc
obligation	ganîyîye
obscure	nimite
observation	nîyadarîye
observe	qayît kerdene
obsessed	obsesîf
obsession	obsesyon
obsolete	kehen
obstacle	asteng
obtain	girewtene
obtained	destkewte
obvious	eşkera
obviously	bi hawayêde eşkera
occasionally	ge-gane
occupation	meslek
occupied	îşxalkerde
occur	qewimîyayene
occurred	bî
occurs	aseno
ocean	okyanûs
october	teşrîna verêne
odd	temaşe
odds	îhtîmal
of	ra
of course	helbet
off	girewte
offensive	hêrişkar
offer	pêşnîyaze kerdene
offer	pêşnîyaze
office	ofîs
official	fermî
often	zaf rey
Oh	Ah
oh really	xora raşt
oil	rûn
ok	temam
ok dear	temam, cano
ok honey	temam, canê
ok my love	temam delala mi
okay	temam
okay baby	temam cano
okay dear	temam şîrina mi
okay honey	temam cano
okay my love	temam zerrîya mi
old	kan
on	ser o
once	reyêk
one	yew
one language is never enough	yew ziwan caran bes nîyo
onion	pîyaz
online	girêdaye
only	tena
open	akerdene
operation	operasyon
opinion	fikir
opportunities	îmkanî
opportunity	firsend
opposite	duşt
optimistic	weşvîn
option	weçînek
optional	nemecburî
or	yan
orange	narincî
orange	porteqale
order	sîparîş
order	siparîş kerdene
ordinary	sade
organization	organîzasyon
orientation	meyl
origin	esl û fesl
original	eslî
Oromo	Oromo
orphan	sêwî
other	bîn
otherwise	nêke
ought	ganî
our	yê ma
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Mîsyonê ma: her kesî rê mumkin bikerîme ke her ca de dinya fehm bikero û her ziwan de xo îfade bikero
Our mission: to organize the world's information and make it universally accessible and useful.	Mîsyonê ma: zanayîşê dinya organîzekerdiş û her kesî rê akerde û bifaydekerdiş
out	teber
outcome	netîce
outfit	kinc û kol
outgoing	gonîgerm
outlet	rotişgeh
outlet	fîş
outline	xulasa
outside	teber
outstanding	mukemmel
oven	firine
over	ser a
over there	ha uca
overall	pêro pîya
overcome	bin ra rawuştene
overthinking	zêde fikirîyayîş
overwhelmed	şaşmende
overwhelming	şaşkerdox
owe	deyndar bîyene
owl	kund
own	yê xo
own	wayî bîyene
owner	wayîr
ox	ga
pace	game
pack	paket kerdene
package	paket kerdene
paid	daye
pain	dej
paint	boyax kerdene
painting	boyax keno
pair	cite
pale	bêreng
palm	palmîye
palm	lep
pan	tawe
pandemic	pandemîye
panic	panîk
pants	pantolî
paper	kaxide
paradise	cenet
parallel	parelel
parcel	parsel
pardon	pardon
parents	may û pî
park	parke
parrot	tûtî
parsley	maydanoz
part	beş
participate	beşdar bîyene
particular	taybet
particularly	bitaybetî
partner	heval
party	partî
pass	ravîyartene
passage	pasaj
passed	vîyarte
passion	hewes
passionate	hewesdar
passive	pasîf
password	şîfre
past	vîyarte
patch	pîne
path	rêçe
pathetic	perîşan
patience	sebir
patient	bisebr
patient	nêweş
pattern	desen
pause	mabên
pavement	peyerayîr
pay	heq dayene
payment	heqdayîş
peace	aştî
peaceful	aştîwaz
peach	şeftalîye
peak	tîtik
pear	murîye
peas	nuke
peculiar	xas
pee	mîze
pee	mîze kerdene
peel	serde kerdene
peer	duşt
peers	hemendamî
pen	qeleme
pencil	qeleme
pending	paweno
people	merdimî
pepper	îsot
perceive	fehm kerdene
perception	feraset
perfect	bêqusur
perform	ca ardene
performance	performans
perhaps	beno ke
period	serdem
permanent	timkî
permission	destûr
permit	destûr
permit	destûr dayene
perseverance	tebat
persistent	israrker
person	merdim
personal	şexsî
personality	şexsîyet
perspective	hoke
persuade	îqna kerdene
pervert	xirabkar
pet	heywanê keyeyî
phase	cumle
phenomenon	fenomen
philosophy	felsefe
phone	telefon kerdene
phone	telefon
photo	fotograf
phrase	îfade
physical	fîzîkî
pick	weçînitene
pick up	arê dayene
pick up	bi erebe girewtene
picture	resim
piece	parçe
pieces	parçeyî
pig	xoz
pigeon	borane
pile	lode
pillow	balişna
pilot	pîlot
pin	reptîya
pineapple	ananase
pink	pembe
pit	bîr
pitch	war
pity	heyf
place	ca
place	bi ca kerdene
places	cayî
plague	bela
plain	deşte
plan	plan
plan	plan kerdene
plane	teyara
plant	ronayene
plants	nebatî
plate	tebaxe
platform	platform
play	kay
play	kay kerdene
playing	kaykerdiş
pleasant	weş
please	kerem kerdene
please	keremê xo ra
pleased	keyfweş
pleasure	keyfweşîye
pledge	wad kerdene
plenty	keremat
plot	dek û dolab
plug	qapax
plum	alunça
plumber	tesîsatkarê awe
plural	zafhûmar
podcast	podcast
poem	şîîre
poetry	şîîrî
point	nuqte
poison	jehr
police	polîs
policy	polîtîka
polite	kîbar
pollution	gemarinîye
pond	hope
pool	hope
poop	gî kerdene
poor	feqîr
pop	pop
popular	populer
population	nufus
pork	goştê xozî
porridge	lepe
port	lîman
port	port
position	pozîsyon
positive	pozîtîf
possess	wayîr bîyene
possession	mal
possessive	wayîrîye
possible	mumkin
post	erşawitene
post	poste
postpone	peyde eştene
potato	kartole
potential	potansîyel
pound	pound
poverty	xizanîye
power	hêz
powerful	hêzdar
practical	pratîk
practice	pratîk
practice	pratîk kerdene
praise	goynayene
prank	heneke
pray	dua kerdene
precious	qîymetin
precise	tam
precisely	tam
predict	vervînîye kerdene
prefer	tercîh kerdene
preference	tercîh
pregnant	diganî
prejudice	verhukm
premises	warê sazgehî
premium	prim
preparation	amadekarîye
prepare	amade kerdene
prepared	hazir
preposition	veredat
presence	estbîyayîş
present	demo nikayin
present	hazir
present	xelate
presentation	pêşkêş
preserve	pawitene
president	serek
press	çap kerdene
press	çapemenîye
pressure	tezyîq
pretend	rol kay kerdene
pretty	semt
pretty	xeylê
prevent	vernî girewtene
previous	verên
prey	nêçîr
price	vaya
pride	serberzîye
priest	keşîş
primary	verên
prime	serek
princess	prensese
principal	sereke
prior	verên
priority	vernîyîye
prison	hepisxane
privacy	nimiteyîye
private	şexsî
privilege	îmtîyaz
prize	xelate
probably	îhtîmalen
problem	problem
procedure	prosedur
proceed	radayene
process	dewam kerdene
process	proses
produce	afirnayene
product	berhem
production	viraştiş
profession	meslek
professional	profesyonel
profile	profîl
profit	kar
profound	xorîn
progress	aver şîyayene
progress	averşîyayîş
project	proje
prominent	nandar
promise	wad kerdene
promise	wad
promote	teşwîq kerdene
promotion	teşwîq kerdene
prompt	waştiş
prompt	lezabez
prone	meyîldar
pronouns	zamîrî
pronunciation	telafuz
proof	delîl
proper	raşt
properly	raşt û rind
properties	taybetmendî
property	mal û milk
proposal	pêşnîyaze
prospect	hêvî
prospect	ewnîyayîş
prosperity	dewletîye
prosperous	zengîn
protect	seveknayene
proud	sereberz
prove	îsbat kerdene
provide	peyda kerdene
provided	bi şertê
province	qeza
provision	zad
puberty	balixîye
public	pêroyî
pull	antene
pumpkin	kundir
punctual	deqîq
pupil	wendekar
purchase	hêrînayene
pure	zelal
purple	menewşî
purpose	armanc
purse	cizdan
pursue	taqîb kerdene
pursuit	taqîb kerdene
push	tehn dayene
put	ronayene
put	cikerdene
qualification	senînîye
qualification	kalîfîkasyon
quality	senînîye
quantity	mîqdar
quarantine	karantîna
quarrel	werê nayene
quarrel	werênayîş
quarter	çarîge
Quechua	Qeçua
queen	qiralîça
queer	hemcînsger
query	persayene
question	perse
queue	rêze kewtene
queue	rêze
quick	lez
quickly	bilez
quiet	bêveng
quilt	orxan
quit	ca verdayene
quite	xeylê
quiz	ezmûn
quotation	neql
quote	neql kerdene
quote	neql
quotes	neqlî
rabbit	harguşe
race	musabeqa
race	nîjad
rage	hêrs
rain	varan
raise	zêdîyayîş
raise	resnayene
raised	resnaye
ran	vaşt
random	tesadufî
range	silsile
rapid	lez
rapidly	lez
rare	nadîr
rarely	nadîr
rash	germij
rat	merre
rate	nîsbet
rather	hîna zaf
ratio	rêje
rational	bimantiq
raw	kal
re	reyna
reach	reştene
reached	resaye
reaction	reaksîyon
read	wendene
reading	wendiş
ready	amade
real	raştkên
reality	raştîye
realize	pê hesîyayene
realized	temamkerde
really	raştiko
rear	resnayene
reason	sebeb
reasonable	bimantiq
recall	ardene xo vîr
receipt	fîşe
receive	girewtene
received	resa dest
recent	peyên
recently	na peydo
reception	resepsîyon
recipe	terîfê werdî
reckless	bêperwa
recognition	naskerdiş
recognize	nas kerdene
recommend	tewsîye kerdene
recommended	pêşnîyazkerde
record	qeyd kerdene
record	qeyd
recover	weş bîyene
recovery	reyayîş
recovery	weşbîyayîş
rectangle	çargoşe
red	sûr
redeem	raxelişnayene
redeem	dayene
redemption	îtfa
reduce	kêmî kerdene
redundant	bêluzim
refer	etif kerdene
reference	referans
reflect	olan dayene
reflection	refleksîyon
refrain	neqeret
refrain	apey vindetene
refrigerator	dolaba cemedî
refund	heqê ci apey dayene
refuse	red kerdene
refused	betalkerde
regard	rêz û silam
regarding	derheqê
regardless	bê ke
regards	silamî
region	herême
register	qeyd bîyene
regret	poşman bîyene
regular	biserûber
regularly	biserûber
reject	red kerdene
relate	qisey kerdene
