ah	a
imagine	imagine
now	immediate
now	immediately
intense	immense
impack	impact
caan wait	impatient
put in place	implement
import	import
important	important
impose	impose
impassible	impossible
please	impress
feelin	impression
remaakible	impressive
change	improve
improvement	improvement
inna	in
plus	in addition
in fack	In fact
in front a	in front of
in aada fi	in order to
inappropriate	inappropriate
rewaad	incentive
incident	incident
put een	include
put een	including
incum	income
inconvenience	inconvenience
raise	increase
more	increased
incredible	incredible
indeed	indeed
indipendent	independent
India	India
show	indicate
belang yah	indigenous
person	individual
industry	industry
a guh 'appen	inevitable
baby	infant
sickness	infection
fah eva	infinity
inflammashan	inflammation
inflashan	inflation
influence	influence
tell pon	inform
infamashan	information
ingredient dem	ingredients
inheritance	inheritance
fuss	initial
mek eh fuss move	initiative
injad	injured
injury	injury
innocent	innocent
innovation	innovation
aks question	inquiry
mad	insane
bug	insect
inna yuh head	insecure
push een	insert
inna e 'ouse	inside
ow yuh feel bout eh	insight
insis	insist
madniss	insomnia
inspirashan	inspiration
inspyah	inspire
install	install
wan time	instance
instant	instant
instead	instead
steada	instead of
instrucshan	instructions
instrument	instrument
shame	insult
insurance	insurance
togedda	intact
integrity	integrity
smaat guy	intellectual
know 'ow	intelligence
sumaat	intelligent
inten'	intend
meen fi	intended
trang	intense
intenshan	intention
mingle wid	interact
linkage	interaction
intres	interest
a show intres'	interested
intrestin'	interesting
intafare	interfere
in between	intermediate
in house	internal
farin	international
wuk	internship
interpit	interpret
translata	interpreter
intarup	interrupt
intaview	interview
intimate	intimate
inna	into
mek shi meet	introduce
introducshan	introduction
shy	introvert
mindset	intuition
invalid	invalid
mek	invent
inventry	inventory
invess	invest
investigate	investigate
invitation	invitation
aks	invite
invaice	invoice
bring inna	involve
togedda	involved
ion	iron
ilan'	island
alone	isolated
prablem	issue
issue	issues
e	it
it a	it is
eh did	it was
a it	it's
eh aright	it's ok
eh ok	It's okay
item	item
ting dem	items
fi it	its
mi a	I’m
jackit	jacket
jail hous	jail
Patois	Jamaican Creole English
Patwa	Jamaican Creole English
January	January
bakkle	jar
jaw bone	jaw
jealous	jealous
jerk	jerk
fandangles	jewelry
wuk	job
runnin	jogging
link up	join
join up	joint
joke	joke
jurnalis	journalist
jurney	journey
hapiniss	joy
judge	judge
juice	juice
july	july
jump	jump
june	june
rubbish	junk
juss	just
jus duh i	just do it
justis	justice
justify	justify
Kalaallisut	Kalaallisut
eega	keen
kip	keep
kip i up	keep it up
did kip	kept
kekkle	kettle
key	key
kick	kick
pickney	kid
a joke	kidding
kidney	kidney
pickney dem	kids
murda	kill
kine	kind
kina	kinda
kind	kindly
kindniss	kindness
king	king
kiss	kiss
kichin	kitchen
kite	kite
puss baby	kitten
nee cup	knee
did know	knew
nife	knife
knite	knight
know	know
nalij	knowledge
did know	known
Konkani	Konkani
Krio	Krio
lable	label
laba	labor
wuk	labour
nave	lack
ledda	ladder
oman	lady
did lay	laid
riva	lake
lam'	lamb
lame	lame
lamp	lamp
land	land
luk a di lan	landscape
langwij	language
lap	lap
big	large
laas	last
laas but nuh lease	last but not least
laas name	last name
late	late
mo' recent	lately
lata	later
laas	latest
eh laas wan	latter
kin yuh teet	laugh
a laaf	laughing
lafin	laughter
sen up	launch
close	laundry
babylon system	law
grass	lawn
lawya	lawyer
lie	lay
layer	layer
lay dung	layout
lazy	lazy
lead	lead
boss	leader
leaf	leaf
leak	leak
ben up	lean
leap	leap
lun	learn
a learn	learning
lease	lease
less	least
ledda	leather
lef	leave
leaf dem	leaves
a lead	led
lef	left
foot	leg
legasy	legacy
legal	legal
legen'	legend
ligit	legit
leja	leisure
len	lend
lent	length
less dan	less
lessin	lesson
let	let
letta	letter
lettice	lettuce
level	level
utilize	leverage
prablem	liability
libry	library
lik	lick
lye	lie
lie	lies
life	life
lif up	lift
lite	light
lightnin	lightning
like	like
likely	likely
eh same	likewise
line	line
Lingala	Lingala
link up	link
lion	lion
wata wata	liquid
rite dung	list
hear	listen
a listen	listening
litrally	literally
readin materal	literature
litta	litter
likkle	little
liv	live
liva	liver
life dem	lives
livin'	living
hall	living room
lizad	lizard
load	load
loaf	loaf
len	loan
local	local
location	location
lack	lock
lak een	lockdown
lag	log
laaf out lowd	lol
by miself	lonely
long	long
a lang time mi nuh si yuh	long time no see
luk	look
loop	loop
leggo	loose
lawd	lord
laas	lose
lose	loss
laas	lost
piece a lan	lot
brawlin	loud
lunj	lounge
luv	love
luv yuh	love you
nice	lovely
down	low
lowa	lower
dye haatid	loyal
layalty	loyalty
luck	luck
lucky	lucky
Luganda	Luganda
luggij	luggage
bump	lump
lunch	lunch
lund dem	lungs
tap a di line	luxury
a lie	lying
machine	machine
crazy	mad
madam	madam
did mek	made
papa	magazine
magnifient	magnificent
helpa	maid
main	main
mentain	maintain
mentain	maintenance
Maithili	Maithili
majah	major
mos'	majority
mek	make
mek up	make up
man	male
plaza	mall
man	man
manij	manage
manijment	management
manija	manager
compulsry	mandatory
manifess	manifest
use	manipulate
yuh wayz	manner
instrucshan buk	manual
nuff	many
Blessings fi di day ahead	many many happy returns of the day
maach	march
bada	margin
maakit	market
marrije	marriage
marrid	married
cova up	mask
holeep	mass
big	massive
boss	master
match	match
man	mate
claat	material
maths	math
matta	matter
sensible	maturity
mighta	may
maybe	maybe
mi	me
mi tuh	me too
food	meal
stay bad	mean
meanin'	meaning
mean	means
did mean	meant
in di mean time	meanwhile
meaja	measure
ting dem	measures
meat	meat
medical	medical
medisin	medicine
meditation	meditation
medium	medium
meet	meet
meetin'	meeting
Meiteilon	Meiteilon
melt	melt
memry	memories
memry	memory
ead chip	mental
tawk bout	mention
tawk bout	mentioned
bro gad	mentor
sella	merchant
mercy	mercy
bayly	merely
merry chrismas	merry christmas
mess	mess
messij	message
mess up	messy
iron	metal
metad	method
rat dem	mice
miggle	middle
midnite	midnight
mighta	might
nuh bad	mild
milestone	milestone
military	military
milk	milk
milli	million
mine	mind
mineset	mindset
fi mi	mine
mix up mix up	mingle
yung pickney	minor
minite	minute
minite dem	minutes
miracle	miracle
glass	mirror
random	miscellaneous
trublesum	mischievous
gwaany gwaany	miserable
uncomfatable	misery
miss	miss
miss yuh	miss you
missn	missing
mishan	mission
mist	mist
mistake	mistake
Mizo	Mizo
deh wan place	mobile
faas wid	mock
magella	model
timely	moderate
nowadays	modern
decent	modest
wet up	moist
wetniss	moisture
bring tuh yuh way	mold
mole	mole
mada	mom
moment	moment
monday	monday
dalla	money
manita	monitor
munkey	monkey
mont'	month
mood	mood
gwaany gwaany	moody
moon	moon
moral	moral
mow	more
more ova	moreover
maanin	morning
maagije	mortgage
mos'	most
mainly	mostly
madda	mother
movement	motion
motivashan	motivation
hill	mountain
rat	mouse
mout'	mouth
move	move
movement	movement
show	movie
wifey	mrs
meny	much
mud	mud
cup	mug
muscle	muscle
museum	museum
wile mushroom	mushroom
music	music
muss	must
mute	mute
mutual	mutual
mi	my
mi dear	My dear
mi fren	my friend
Mi hovacraf full a eel	My hovercraft is full of eels
mi luv	my love
mi name a	my name is
mi pleasure	my pleasure
miself	myself
mysterious	mysterious
mystry	mystery
ficshan	myth
nail	nail
naive	naive
name	name
narrative	narrative
narrow	narrow
disgustin	nasty
nashinal	national
nationality	nationality
born solja	native
ital	natural
out a door	nature
sick feelinz	nausea
near	near
nearby	nearby
naily	nearly
neat	neat
necissery	necessary
chowt	neck
chain	necklace
need	need
negitive	negative
negleck	neglect
nigoshiate	negotiate
nieba	neighbor
area	neighborhood
needa	neither
nevew	nephew
nerd	nerd
nervous	nervous
ness	nest
net	net
netwuk	network
nah tek nuh side	neutral
neva	never
neva gi up	never give up
nuh worry	never mind
neva mine	nevermind
neva di less	nevertheless
new	new
news	news
neks	next
beside	next to
nice	nice
mi glad fi meet yuh	nice to meet you
niece	niece
nite	night
bad dream	nightmare
nine	nine
nineteen	nineteen
ninety	ninety
No	No
nuh prablem	no problem
nuh way	no way
nubadi	nobody
naiz	noise
noisy noisy	noisy
nun	none
midday	noon
nat at all	nope
nor	nor
nawmal	normal
nort'	north
nose 'ole	nose
irie	nostalgic
nuh	not
no sah	not at all
gud	not bad
Nuh rite now	Not now
nuh yet	not yet
note	note
noted	noted
nutn	nothing
notice	notice
notice	noticed
noun	noun
noun dem	nouns
buk	novel
novemba	november
now	now
dem time yah	nowadays
truble mekka	nuisance
empty	null
nah nuh feelin	numb
amount	number
nurse	nurse
nut	nut
nutn egg	nutmeg
nurishment	nutrition
oat	oath
fatniss	obesity
listen tuh	obey
sitn	object
ubjective	objective
haffi duh	obligation
blurry	obscure
absavashan	observation
watch out	observe
obsess	obsessed
obsess	obsession
nuh mek sense	obsolete
absticle	obstacle
obtain	obtain
get	obtained
abvious enuh	obvious
abviously	obviously
sumtime	occasionally
accupation	occupation
did liv inna	occupied
happn	occur
appen	occurred
appen	occurs
ocean	ocean
octoba	october
add	odd
abstickle	odds
af	of
af couse	of course
aaf	off
offensive	offensive
affa	offer
affice	office
di rite wan	official
regilla	often
Awo	Oh
really	oh really
ail	oil
aright	ok
arite dear	ok dear
aright 'oney	ok honey
arite mi luv	ok my love
ok	okay
arite babes	okay baby
arite mums	okay dear
aright 'oney	okay honey
aright mi luv	okay my love
ol'	old
pon	on
wan time	once
waan	one
wan langwij caan enuff	one language is never enough
onian	onion
pon line	online
ungle	only
upin up	open
aparayshan	operation
opinion	opinion
appachunity	opportunities
chance	opportunity
apposit	opposite
aptimistic	optimistic
apshon	option
aptional	optional
ar	or
orinj	orange
orda	order
nawmal	ordinary
bizniz	organization
orientation	orientation
orijin	origin
original	original
Oromo	Oromo
nah nuh madda	orphan
eda	other
adawise	otherwise
hav tuh	ought
fi wi	our
Fiwi mishon: fi mek evrybadi, evryweh inna di wurl undastan an express demself inna evry langwij	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Fiwi mishon: fi aganize all a di infamashon inna di wurl an mek it eazi fi get an use	Our mission: to organize the world's information and make it universally accessible and useful.
out	out
outcome	outcome
close	outfit
dashin	outgoing
plug	outlet
draw roun'	outline
out a dow	outside
owe	outstanding
oven	oven
ova	over
ova deso	over there
ova all	overall
get ova	overcome
tink too haad	overthinking
ova happy	overwhelmed
haad	overwhelming
ow'	owe
patu	owl
wun	own
owna	owner
ox	ox
pace	pace
pack up	pack
packij	package
get pay	paid
pain	pain
paint up	paint
paintin'	painting
put togedda	pair
dull	pale
an miggle	palm
pan	pan
pandemic	pandemic
panic	panic
pans	pants
paypa	paper
paradise	paradise
in line wid	parallel
parcel	parcel
sarry	pardon
mada	parents
paak	park
parrot	parrot
paasley	parsley
paat a	part
tek paat inna	participate
particula	particular
paaticularly	particularly
partna	partner
paaty	party
pass	pass
passij	passage
did pass	passed
passion	passion
pashanate	passionate
slow	passive
passwud	password
pass	past
patch up	patch
way	path
pitiful	pathetic
payshence	patience
payshent	patient
pattern	pattern
tap	pause
concrete	pavement
compensate	pay
payment	payment
peace	peace
peaceful	peaceful
peach	peach
hite	peak
pear	pear
peas	peas
strange	peculiar
pee pee	pee
peel aaf	peel
peer	peer
fren dem	peers
pen	pen
pencil	pencil
a wait	pending
people dem	people
peppa	pepper
perceive	perceive
view	perception
perfeck	perfect
perfaam	perform
performance	performance
prably	perhaps
period	period
fi eva	permanent
aks fi duh	permission
allow	permit
endurance	perseverance
always a 'appen	persistent
sumady	person
personal	personal
behavia	personality
view	perspective
canvince	persuade
freak	pervert
pet animal	pet
phase	phase
fenomenon	phenomenon
idea dem	philosophy
fone	phone
picha	photo
term	phrase
fisical	physical
pick aaf	pick
calleck	pick up
picha	picture
pieca	piece
piece dem	pieces
hag	pig
pijin	pigeon
pile	pile
pilla	pillow
pilot	pilot
neegle	pin
pine	pineapple
pink	pink
ole	pit
pitch	pitch
sorry fah	pity
place	place
place dem	places
plague	plague
aadinery	plain
pripare fah	plan
plane	plane
flowas	plant
plant dem	plants
plate	plate
platfaam	platform
ramp	play
a play	playing
positive	pleasant
please	please
feel gud	pleased
pleaja	pleasure
plege	pledge
nuff	plenty
plat	plot
sackit	plug
plum	plum
plumma	plumber
mow dan waan	plural
padcas'	podcast
poem	poem
poem dem	poetry
point	point
poisin	poison
babylon	police
policy	policy
polite	polite
polute eh place	pollution
pan	pond
pool	pool
shit	poop
poor	poor
pap	pop
papila	popular
people	population
powk	pork
parige	porridge
sea	port
place	position
clean haat	positive
own	possess
belonging dem	possession
possessive	possessive
cyan happin	possible
pos'	post
put aaf	postpone
potato	potato
potenshal	potential
poun'	pound
poorniss	poverty
powa	power
powaful	powerful
practical	practical
practise	practice
hail	praise
prank	prank
guh dung pon yuh neez	pray
preshus	precious
egzack	precise
exackly	precisely
tell	predict
prefa	prefer
prefa	preference
a breed	pregnant
bias	prejudice
yaad	premises
bess	premium
get ready	preparation
fix	prepare
prepare	prepared
prepasition	preposition
presnce	presence
present	present
prisentashan	presentation
kip fresh	preserve
pri minista	president
squeeze up	press
presha	pressure
priten	pretend
luk gud	pretty
privent	prevent
fuss	previous
prey	prey
price	price
shame tree	pride
paasta	priest
primery	primary
prime	prime
princess	princess
principal	principal
bifore	prior
very impotant	priority
jail 'ouse	prison
alone time	privacy
privit	private
privilij	privilege
prize	prize
prably	probably
truble	problem
way	procedure
guh ahead	proceed
process	process
food	produce
produck	product
producshan	production
wuk	profession
pro	professional
profile	profile
gains	profit
great	profound
guh alang	progress
prajeck	project
impotant	prominent
pramise	promise
put out deh	promote
step up inna life	promotion
tell wen	prompt
prone tuh	prone
pronoun dem	pronouns
pronunciashan	pronunciation
proof	proof
ligit	proper
prapaly	properly
property dem	properties
land	property
proposal	proposal
praspeck	prospect
gud faatune	prosperity
a survive	prosperous
proteck	protect
proud	proud
prove	prove
provide	provide
did provide	provided
pravince	province
provid fah	provision
puberty	puberty
out deh	public
drag	pull
punkin	pumpkin
on time	punctual
student	pupil
buy	purchase
nachral	pure
purple	purple
purpose	purpose
purse	purse
run dung	pursue
falla	pursuit
push	push
put	put
education	qualification
substance	quality
amount	quantity
tan een	quarantine
cuss	quarrel
kwaata	quarter
Quechua	Quechua
kween	queen
gay	queer
aks bout	query
questian	question
in line	queue
faas	quick
fas fas	quickly
kwayat	quiet
quilt	quilt
gi up	quit
quite	quite
kwiz	quiz
quotashan	quotation
capy	quote
quote dem	quotes
rabbit	rabbit
race	race
rage	rage
rain	rain
raise	raise
bring up	raised
did run	ran
eny	random
range	range
faas	rapid
fast fast	rapidly
haadly	rare
bayly	rarely
rash	rash
rat	rat
rate	rate
rada	rather
ratio	ratio
tink clear	rational
raw	raw
re	re
reach	reach
did reach	reached
reaction	reaction
read	read
a read	reading
ready	ready
tru	real
real life	reality
know seh	realize
realise	realized
really	really
back	rear
reason	reason
reasonable	reasonable
call back	recall
receit	receipt
receive	receive
did receive	received
nuh too lang aguh	recent
juss wah day	recently
paaty	reception
recipi	recipe
dangruss	reckless
recagnishan	recognition
know	recognize
tawk gud bout	recommend
recommen'	recommended
recaad	record
get back	recover
recovry	recovery
rectangle	rectangle
red	red
bring back	redeem
ridemshan	redemption
reduce	reduce
nuh mek use	redundant
refa	refer
reference	reference
refleck	reflect
refleshon	reflection
stop	refrain
frige	refrigerator
gi back	refund
nuh waan	refuse
nah tek	refused
hol'	regard
regard tuh	regarding
neva di less	regardless
rigaad	regards
area	region
regista	register
rigret	regret
regula	regular
regila	regularly
rejeck	reject
undastan	relate
blood	related
togeddaness	relationship
fambily	relative
fambily dem	relatives
chill	relax
let out	release
did release	released
necissery	relevant
dipen	reliable
stree free	relief
leggo	relieve
did relieve	relieved
fate	religion
churchy	religious
nuh waan duh	reluctant
depen pon	rely
stay	remain
remainin'	remaining
remaakible	remarkable
remidy	remedy
memba	remember
memba	remind
reminda	reminder
remote	remote
tek weh	remove
giv	render
rent	rent
repair	repair
seh ova an ova	repeat
exchange	replace
ansa	reply
tell	report
tan fi	represent
reputashan	reputation
aks	request
aks fah	require
require	required
save	rescue
fine out	research
luk like	resemble
bittaniss	resentment
reservashan	reservation
save	reserve
live yah	resident
tap wuk	resign
strent	resilience
brave	resilient
fite aaf	resist
resistance	resistance
resalution	resolution
solve	resolve
hotel	resort
material	resources
respeck	respect
ansa	respond
respanse	response
responsibility	responsibility
respansible	responsible
ress	rest
ress inna peace	rest in peace
food shap	restaurant
bring back	restore
ristrick	restrict
ansa	result
result	results
start back	resume
retail	retail
wul back	retain
retention	retention
tap wuk	retired
guh back	retreat
retrieve	retrieve
cum back	return
riveal	reveal
reveal	revealed
rivenge	revenge
in flow	revenue
reverse	reverse
luk pon	review
luk ova	revise
luk ova	revision
protess	revolution
big up	reward
ridim	rhythm
rib bone	rib
rice	rice
have eh	rich
rid	rid
ride	ride
chupid	ridiculous
rite	right
rite now	right now
rigid	rigid
ring	ring
wash out	rinse
crowd	riot
tear	rip
fit	ripe
raise	rise
risk	risk
enemy	rival
riva	river
road	road
roas'	roast
trang	robust
rack	rock
rad	rod
paaty	role
roll	roll
sealin'	roof
room	room
root	root
rope	rope
poil	rotten
ruff	rough
bout	roughly
roun'	round
way	route
usual style	routine
row	row
rub up	rub
rubba	rubber
rubbish	rubbish
bad	rude
rug	rug
spoil	ruin
rule	rule
rula	ruler
rule dem	rules
run	run
a run	running
kuntry	rural
hurry	rush
bag	sack
sacrid	sacred
sacrifice	sacrifice
safe	safe
safe jurney	safe flight
safety	safety
sage	sage
say	said
sail	sail
a sail	sailing
sake	sake
pay	salary
sale	sale
fish	salmon
salt	salt
same	same
same ting yah	Same here
sample	sample
san'	sand
Sanskrit	Sanskrit
ironic	sarcastic
gwaany gwaany	sassy
siddung	sat
satisfacshan	satisfaction
arite wid	satisfied
satisfy	satisfy
nice	satisfying
Satiday	Saturday
hat dog	sausage
savij	savage
sayv	save
did si	saw
seh	say
scale	scale
chop	scam
scyar	scar
haadly deh bout	scarce
fraid	scared
scarf	scarf
scary	scary
scatta	scattered
area	scene
scenery	scenery
sent	scent
skejule	schedule
skool	school
sciance	science
sciantis'	scientist
sciantiss dem	scientists
scissaz	scissors
beat	scold
scope out	scope
score	score
scrap	scrap
cratch up	scratch
shout	scream
lack up	screen
screw	screw
scrip	script
oshan	sea
seal	seal
luk fah	search
season	season
seat	seat
seckon'	second
secrit	secret
paat a	section
secure	secure
protecshan	security
si	see
si yuh	see you
si yuh lata	see you later
soon si yuh	see you soon
si yuh tomarro	see you tomorrow
seed	seed
luk	seek
seem like	seem
seem like	seems
did si	seen
tek weh	seize
seizure	seizure
nuh regila	seldom
chuze	select
self	self
ital livin	self healing
mean	selfish
sell	sell
sen	send
sen yuh picha cum gi mi	send me your picture
elda	senior
sense	sense
sensible	sensible
extra	sensitive
sen aaf	sent
jail time	sentence
sentence dem	sentences
bruk up	separate
Sepedi	Sepedi
septemba	september
aada	sequence
series	series
serious	serious
nah joke	seriously
serve	serve
service	service
session	session
bunch	set
stay up	set up
settin'	setting
sekkle	settle
seven	seven
seventeen	seventeen
seventy	seventy
several	several
bad bad	severe
sow	sew
shhh	sh
kool shade	shade
shedda	shadow
jerk	shake
a guh	shall
nuh deep	shallow
frig up	shame
shape	shape
share	share
pointid	sharp
shi	she
shi hav	she has
shi a	she is
lose	shed
sheep	sheep
sheet	sheet
shelf	shelf
shell	shell
shelta	shelter
shiel'	shield
shif	shift
light up	shine
boat	ship
a ship	shipping
shut	shirt
shuz	shoes
shat	shoot
shap	shop
a shop	shopping
shure	shore
shawt	short
nutn nuh deh deh	shortage
shat	shot
shoulda	should
showla	shoulder
tawk loud	shout
show	show
show mi	show me
bade	shower
shrimp	shrimp
shrink	shrink
shet	shut
shet up	shut up
shy	shy
bredda	sibling
bredda an sista	siblings
nuh feel gud	sick
side	side
breed out	sigh
vijan	sight
full yeye	sightseeing
sign	sign
signicha	signature
significant	significant
quiatniss	silence
quiat	silent
silk	silk
silly	silly
silva	silver
luk like	similar
simp	simp
eazi	simple
same time	simultaneously
since	since
sincere	sincere
onesly	sincerely
sing	sing
singa	singer
degge degge	single
sink	sink
Sar	Sir
sista	sister
sista in law	sister in law
si dung	sit
site	site
sitiwayshan	situation
six	six
sixteen	sixteen
sixty	sixty
size	size
skill	skill
talent	skills
skin	skin
mawga	skinny
pass ova	skip
skut	skirt
sky	sky
slave	slave
sleep	sleep
a sleep	sleeping
waan sleep	sleepy
sleeve	sleeve
piece a	slice
shub	slide
bayly	slightly
mawga	slim
slip	slip
hill side	slope
ole	slot
slow bad	slow
slow bad	slowly
likkle	small
brite	smart
simell	smell
sumile	smile
smoke	smoke
smood	smooth
snack	snack
sinail	snail
sinake	snake
bruk	snap
sinow	snow
suh	so
suh pretty	so cute
suh fur	so far
wet up fi lang	soak
soap	soap
soba	sober
futbawl	soccer
frenly	social
people	society
socks dem	socks
saaf	soft
saafware	software
dut	soil
buy aaf	sold
sellout	sold out
solja	soldier
foot battam	sole
salid	solid
fix	solution
figa out	solve
sum	some
sumbadi	somebody
sumhow	somehow
sumbady	someone
supm	something
sumtime	sometimes
chune	song
soon	soon
stushy stushy	sophisticated
Sorani	Sorani
rotten	sore
soretroat	sore throat
sadniss	sorrow
Hush	Sorry
saat out	sort
luk fi	sought
spirit	soul
soulmate	soulmate
noise	sound
soup	soup
bitta	sour
source	source
sout'	south
room	space
spam	spam
span	span
Panish	Spanish
extra	spare
speak	speak
special	special
species	species
dis one	specific
spectacula	spectacular
lang tawkin	speech
quiat	speechless
speed	speed
spell	spell
spen'	spend
spen aaf	spent
hat	spicy
duble up	spike
spin roun'	spin
calaloo	spinach
duppy	spirit
pit	spit
great	splendid
bruk up	split
pwoil	spoil
spoil	spoiled
out a di blu	spontaneous
spoon	spoon
spat	spot
spoogie	spouse
spred	spread
spring	spring
square	square
kweez	squeeze
squid	squid
squirrel	squirrel
st	st
stab up	stab
stable	stable
pack up	stack
wurka dem	staff
stage	stage
stain up	stain
step	stairs
stake	stake
falla	stalk
stall	stall
sticka	stamp
tan up	stand
standaad	standard
star	star
staat	start
did start	started
a staav	starving
state	state
statement	statement
stashan	station
stachu	statue
place	status
stay	stay
kip safe	stay safe
wan place	steady
steak	steak
tief	steal
steam	steam
steel	steel
steep	steep
stem	stem
step	step
tick	stick
stiff	stiff
til	still
bite	sting
mean	stingy
stir up	stir
stack	stock
tief	stolen
belly	stomach
stone	stone
tan up fi	stood
do do	stool
tap	stop
storij	storage
sto'	store
staam	storm
tory	story
stove	stove
trait	straight
trait	straightforward
chrain	strain
diffrent	strange
stranja	stranger
plan	strategy
starw	straw
strawberry	strawberry
deh pon a roll	streak
strream	stream
road	street
trent	strength
stress	stress
chrech	stretch
ruff	strict
lick	strike
tring	string
tek aaf	strip
strive	strive
aart attack	stroke
trang	strong
struck	struck
strucha	structure
struggle	struggle
a struggle	struggling
haad ears	stubborn
stuck	stuck
student	student
study	study
a study	studying
tuff up	stuff
luk gud	stunning
chupid	stupid
fsahan	style
subjeck	subject
submishan	submission
submit	submit
substance	substance
substitute	substitute
genkle	subtle
mek it inna lyfe	succeed
success	success
accumplish	successful
such	such
like	such as
suck	suck
quick quick	sudden
sudinly	suddenly
suffa	suffer
a suffa	suffering
enuf	sufficient
shuga	sugar
suggest	suggest
idea	suggestion
fit	suit
fit	suitable
suitcase	suitcase
sum	sum
sumry	summary
summa	summer
meetin	summit
sun	sun
sunday	sunday
sunny	sunny
sunset	sunset
sunshine	sunshine
great	super
boss	superior
supaviza	supervisor
dinna	supper
supply	supply
support	support
suppose	suppose
suppose	supposed
certin	sure
top	surface
rize up	surge
surgery	surgery
laas name	surname
shack	surprise
shock	surprised
gi up	surrender
surroundin'	surrounding
surveillance	surveillance
survey	survey
mek eh	survive
suspeck	suspect
did suspen'	suspended
suspeck seh	suspicious
kip	sustain
sustenance	sustainability
cyan sustain	sustainable
boasiniss	swag
swalla	swallow
exchange	swap
cuss out	swear
sweata	sweat
sweata	sweater
sweep	sweep
sweet	sweet
sweet dreams	sweet dreams
sweet teet dem	sweet tooth
oney	sweetheart
swell up	swell
swell up	swelling
tek a dive	swim
a swim	swimming
push	swing
switch aaf	switch
swell up	swollen
suwd	sword
symbal	symbol
sorry fi	sympathy
symptom dem	symptoms
systim	system
table	table
fight	tackle
tag	tag
tail	tail
tek	take
tek wey	take away
tek care	take care
tek aaf	take off
tek weh	taken
tawk	talk
luv tawk	talkative
tall	tall
tap	tap
stick	tape
tek set pon	target
sumpm fi duh	task
tays	taste
taste nice	tasty
teach	taught
teach	tea
teach	teach
teacha	teacher
people weh yuh wuk wid	team
yeye wata	tear
yeye wata	tears
truble	tease
tecknalagy	technology
teet dem	teeth
tell	tell
tell im nuh	tell me
tempa	temper
tempricha	temperature
head	temple
fi a wile	temporary
ten	ten
ten gran	ten thousand
tenant	tenant
luk pon	tend
tendency	tendency
saaf	tender
tenz	tense
stress	tension
tent	tent
a pay attention	tentative
simesta	term
expreshanz	terms
awful	terrible
awesum	terrific
territory	territory
tes'	test
ritin'	text
dan	than
tank	thank
tank yuh	thank you
Tank yuh fi wait wile we did a investigate di shipment	Thank you for your patience while we investigate shipment
tank yuh very much	thank you so much
tank yuh suh much	thank you very much
tanks	thanks
Tank yuh fi use wi app	Thanks for using our app
dat	that
dat a	that is
dat gud man	that's good
di	the
tief	theft
fi dem	their
dem	them
teme	theme
demself	themselves
den	then
tiory	theory
deh suh	there
dere a	there are
dere a	there is
derefore	therefore
dem yah	these
dem	they
dem a	they are
tick	thick
tief	thief
tie	thigh
mawga	thin
ting	thing
ting dem	things
tink	think
tird	third
tusty	thirsty
tirteen	thirteen
tirty	thirty
dis	this
dat a	this is
well luk chru	thorough
taroughly	thoroughly
dem deh	those
douh	though
did tink	thought
tink af yuh	thoughtful
idea dem	thoughts
tousan'	thousand
tread	thread
badnis	threat
chreaten	threaten
tree	three
bwoilin point	threshold
mek feel gud	thrilled
survive	thrive
chroat	throat
chru	through
all ova	throughout
chrow	throw
big finga	thumb
tunda	thunder
Tursday	Thursday
duss	thus
sticky	tick
tide	tide
clean up	tidy
not up	tie
tiga	tiger
tite	tight
Tigrinya	Tigrinya
time	time
fraid	timid
sumall	tiny
pointa	tip
tip dem	tips
weel	tire
tiyad	tired
tissue	tissue
title	title
tuh	to
toas'	toast
tideh	today
baby	toddler
toe dem	toes
togedda	together
toilet	toilet
tell	told
talarance	tolerance
tek	tolerate
tomato	tomato
tomarro	tomorrow
tung	tongue
tonite	tonight
tuh	too
did tek up	took
tool	tool
tool dem	tools
teet dem	tooth
tap	top
tapic	topic
tear up	torn
taacha	torture
evryting	total
feel	touch
tuff	tough
chrad	tour
guh toward	toward
toward	towards
towil	towel
town	town
taxic	toxic
falla	trace
track	track
ekschange	trade
custom	tradition
lang time way	traditional
pile up	traffic
falla	trail
chrain	train
a chrain	training
trait	trait
behavia dem	traits
sen aff	transfer
pass on	transition
chranslate	translate
cyan si chru	transparent
carry guh	transport
chanspowt	transportation
chrap	trap
gabij	trash
trauma	trauma
chravel	travel
tray	tray
chreja	treasure
treet	treat
remidy	treatment
chree	tree
trimendus	tremendous
tren	trend
trayal	trial
trick	trick
did try	tried
chigga	trigger
cut	trim
trip	trip
prablem	trouble
pants	trousers
chruck	truck
TRU	TRUE
back	trunk
chuss	trust
chuut	truth
try	try
Tsonga	Tsonga
chube	tube
Tuesday	Tuesday
sckool fee	tuition
turkey	turkey
chumeric	turmeric
tun	turn
turkle	turtle
teacha	tutor
twelve	twelve
twenty	twenty
twenty-wan	twenty-one
Twi	Twi
two time	twice
ben up	twist
two	two
type	type
usual	typical
haad fi luk pon	ugly
ultimate	ultimate
ambrella	umbrella
nuh able	unable
uncle	uncle
nuh awake	unconscious
unda	under
unda yuh	underneath
nuh ratins	underrated
undastan	understand
did undastan	understood
unfartunetly	unfortunately
unifaam	uniform
diffrent	unique
unit	unit
callij	university
nuh know	unknown
unless	unless
til	until
nuh nawmal	unusual
up	up
up tuh yuh	up to you
