a	اک
evolve	ترقی ڈیونڑاں
Ewe	ایو
ex	ایکس
exact	بالکل درست
exactly	بالکل
exam	امتحان
examine	معائنہ کرنڑاں
example	مثال
exceed	حد کنے ودھنا
excellent	بہوں چنگا
except	علاوہ
exception	احتجاج
excess	زیادہ
excessive	بے حساب
exchange	تبدیلی
excited	جذباتی
excitement	جوش
exciting	دلچسپ
exclusive	خصوصی
excuse	معذرت
excuse me	گستاخی معاف
execute	نافذ کرنڑاں
execution	نفاذ کرنڑاں
executive	انتظامیہ
exercise	مشق
exercise	مشق کرنڑاں
exhaust	باہر کڈھ ڈیونڑاں
exhausted	تھکیا ہویا
exhibit	پیش کرنڑاں
exhibition	نمائش
exist	موجودہ
existence	وجود دی صورت
existing	موجودہ
exit	باہر نکلو
expand	ودھاؤ
expect	امید کرنڑاں
expected	توقع رکھی اے
expenses	خرچے
expensive	ماہنگا
experience	تجربہ کرنڑاں
experience	تجربہ
experiment	تجربہ
expert	ماہر
expired	معیاد مُک گئی
explain	وضاحت کرو
explanation	وضاحت
exploit	ناجائز فائدہ چاونڑاں
explore	تحقیق کرنڑاں
export	برآمد
expose	ظاہر کرنڑاں
exposed	بے نقاب کرنڑاں
exposure	ظاہر کرنڑاں
express	اظہار کرو
expression	اظہار
extend	ودھاونڑاں
extended	پھیلیا ہویا
extension	وادھا
extent	حد
external	بیرونی
extinct	ناپید
extra	اضافی
extract	کڈھنڑاں
extraordinary	غیر معمولی
extreme	آخیر
extremely	بہوں زیادہ
eye	اکھ
eyes	اکھیں
fabric	کپڑا
fabulous	نقلی
face	سامنڑاں کرنڑاں
face	منہ
facilitate	آسان کرنڑاں
facilities	سہولتاں
facility	سہولت
fact	حقیقت
factor	وجہ
factory	فیکٹری
facts	حقائق
fade	مُرجھاونڑاں
fail	ناکام
fail	ناکام ہونڑاں
failed	ناکامیاب
failure	ناکامی
faint	بے ہوش ہونڑاں
fair	مناسب
fair	صاف
fairly	جائز طور تے
fairy	پری
faith	ایمان
faithful	ایماندار
fake	نقلی
fall	جال
fall	ڈھڑاں
false	غلط
fame	مشہوری
familiar	ملدا جلدا
family	خاندان
famine	قحط
famous	مشہور
fan	چاہنڑ آلا
fan	پَکھا
fancy	فینسی
fantastic	نویکلا
far	پریں
farewell	الوداع
farm	کھیت
farmer	زمیندار
fascinating	دل کوں بھاونڑ والا
fashion	فیشن
fast	تیز
fat	موٹا
fatal	مہلک
fate	قسمت
father	پیو
fatigue	تھکیڑا
fault	خرابی
favorite	پسندیدہ
favour	حمایت
favourite	پسندیدہ
fear	ڈرڑاں
fear	خوف
feast	دعوت
feather	پَر
feature	تصویر بناونڑاں
feature	رنگ روپ
features	فیچرز
february	فروری
fed up	بیزار
fee	فیس
feed	کھاونڑاں ڈیوڑاں
feedback	فیڈ بیک
feel	محسوس کرنڑاں
feeling	محسوس کرنڑاں
feet	پیر
fell	گراونڑاں
fellow	سانجھی
felt	محسوس کیتا
female	عورت
fence	جالی
fertile	زرخیز
festival	تہوار
fetch	آنڑاں
fever	بخار
few	کجھ
fewer	گھٹ توں گھٹ تر
fiance	منگیتر
fiction	افسانہ
field	فیلڈ
fierce	ظالم
fifteen	پندراں
fifty	پنجھا
fight	لڑائی کرنڑاں
fight	لڑائی
fighting	بھڑنڑاں
figure	بناونڑاں
figure	شکل
figure out	جواب نکالنڑاں
file	فائل
fill	بھرنڑاں
filled	بھریا ہویا
film	فلم
filthy	گندہ
finally	آخرکار
finance	مالی
financial	مالی
find	گولھو
find out	گولھو
fine	خالص
fine	جرمانہ
finger	انگلی
finish	ختم کرنڑاں
finished	ختم کیتا
fire	بھا
firm	پِکا کرنڑاں
firm	فرم
first	اول
first name	پہلا ناں
fish	مچھی
fit	چست
five	پنج
fix	ٹھیک کرنڑاں
fixed	ٹھیک کر ڈتا
flag	جھنڈا
flash	بجلی دا چمکڑاں
flat	چَپٹی شے
flat	مَندا
flaw	قَصور
flawless	نقص دے بغیر
flee	فرار تھیونڑاں
flesh	فلیش
flew	اُڈر گیا
flex	مڑنڑاں
flexible	لوچ دار
flight	پرواز
flip	اچانک اُچھالڑاں
flirt	جوٹھا پیار
flirting	تڑپاندے ہوئے
float	تیرڑاں
flood	سیلاب
floor	منزل
flour	اٹا
flow	روانی
flow	وہنڑاں
flower	پُھل
flu	نزلہ
fluent	رواں
fluently	روانی نال
fluffy	پُھلیا ہویا
fluid	پتلا
fly	اُڈارڑاں
focus	نگاہ دا مرکز
focus	نگاہ دے موکز وچ آنڑاں
fog	دُھند
foggy	کُہیڑ
fold	موڑنڑنا
folks	لوک گیت
follow	نقل کرنڑاں
follow up	پچھے لگے رہونڑاں
following	اگلا
food	کھاونڑاں
fool	بھولا
fool	بے وقوف بناونڑاں
foolish	پاگل
foot	پیر
football	فُٹ بال
for	واسطے
For example	مثال دے طور تے
for instance	مثال دے طور تے
for you	تساں واسطے
forbidden	ممنوعہ
force	قوت
forecast	پیشنگوئی
forehead	مَتھا
foreign	غیر ملکی
forest	جنگل
forever	ہمیشہ واسطے
forget	بُھل وینجڑاں
forgive	معاف کرنڑاں
forgot	بُھل گئے
fork	کانٹا
form	خاکہ بناونڑاں
form	شکل
formal	رسمی
former	قدیم
fortunately	خوش قسمتی نال
fortune	قسمت
forty	چالیھہ
forty-two	بتالیھہ
forward	اگے بھیجو
foster	پالنڑاں
fought	لڑائی کیتی
found	مل گیا
foundation	قیام
four	چار
fourteen	چوڈھاں
fox	لومڑی
fragile	نازک
frame	فریم
framework	ڈھانچا
fraud	فراڈ
freak	غیر معمولی شے
free	مفت
freedom	آزادی
freeze	جمڑاں
frequency	فریکوئنسی
frequent	اکثر
frequently	جلدی نال
fresh	تازہ
friday	جمعہ
fridge	فرج
friend	دوست
friendly	مہربان
friends	دوست
friendship	دوستی
frightened	ڈرنڑاں
frightening	ڈراونڑاں
frog	مینڈک
from	توں
front	اگو
frozen	جمیا ہویا
fruit	پھل
frustrated	مایوس
fuel	فیول
Fulfulde	فلفوڈا
full	مکمل
fun	تفریح
function	فنکشن
fundamental	بنیادی
funeral	جنازہ
funny	مزاحیہ
fur	فر
furious	زوردار
furniture	فرنیچر
further	بیا
furthermore	ایندے علاوہ
future	مستقبل
gain	نفع
gain	نفع کمانوڑاں
game	کھیڈ
gap	خالی جاہ
garage	گیراج
garbage	کوڑا
garden	باغ
garlic	تھوم
gate	بوہا
gather	جمع ہونڑاں
gathering	اجتماع
gauge	ناپڑاں
gave	ڈتا
gear	گیئر
gender	جنس
general	عام
generally	عام طور تے
generate	پیدا کرنڑاں
generation	نسل
generous	سوہڑاں
genius	ذہین
genre	قسم
gentle	شریف
genuine	اصلی
gesture	اشارہ
get	حاصل کرو
get dressed	تیار تھی وینجو
get up	تیار ہوونڑاں
get well soon	جلدی چنگے تھی ویسو
getting	نفع
ghost	بلا
ghosting	تصویر دے نال ڈوجھا فالتو عکس نظر آونڑاں
giant	دیو
gift	تحفہ
ginger	ادرک
girl	چھوہیر
girlfriend	محبوبہ
give	ڈیوو
give up	معاف کرنڑاں
given	ڈِتا
glad	خوش
glance	جھلک
glass	شیشہ
glasses	چشمہ
glimpse	عکس
global	عالمی
gloomy	سنسان
gloves	دستانے
glow	چمک
glow	چمکڑاں
glow up	چمکنڑاں
glue	گوند
go	ونجو
go ahead	شروع کرو
go away	روانہ ہوونڑاں
go to bed	بستر تے وینجو
goal	مقصد
goals	مقاصد
goat	بکری
god	خدا
god bless you	تساں دے اتے اللہ دی رحمت ہووے
goes	سفر کرنڑاں
going	وینجڑاں
going to	وینجڑاں
gold	سونا
gone	ٹر گیا
gonna	جاندا پیا
goo	چپکنڑ آلی شے
good	چنگا
good afternoon	ڈوپہر دا سلام
good bye	خدا حافظ
good day	چنگا ڈینھہ
good evening	شام دا سلام
good job	چنگا کم
good looking	خوبصورت
good luck	خوش قسمتی
good morning	سویر دا سلام
good morning my love	میڈے پیارے سویرے دا سلام
good night	رات دا سلام
goodbye	رب راکھا
goodnight	رات بخیر
goods	مال
Google	گوگل
Google Translate	گوگل ترجمہ
goose	ہنس
gorgeous	چمکڑاں
gossip	گالھیں کرنڑاں
got	مل گیا
got it	سمجھ گیاں
government	سرکاری
grab	کَھس گھنڑاں
grade	درجہ
gradually	ہولے ہولے
graduate	سند ڈیونڑاں
grain	دانڑاں
grant	منظور کرنڑاں
granted	منظور کیتا
grapes	انگور
grasp	سمجھڑاں
grass	گھاہ
grateful	مشکور
gratitude	شکر کرنڑاں
grave	قبر
gray	سرمئی
great	چنگا
greed	لالچ
greedy	لالچی
green	سبز
greet	مبارکباد ڈیونڑاں
greeting	سلام
greetings	مبارکباداں
grey	سرمئی
grid	جنگلا
grief	افسوس
grind	پیسڑاں
grip	پکڑ
grocery	کریانہ
groom	دولہا
gross	پورا
ground	میدان
group	گروپ
grow	نشونما
growth	پیداوار
grumpy	بدمزاج
Guarani	گورانی
guarantee	ضمانت
guard	محافظ
guess	اندازہ لاؤ
guest	مہمان
guidance	رہنمائی
guide	رہنمائی کرنڑاں
guide	رہنما
guilty	مجرم
guy	بندہ
guys	لوک
gym	جم خانہ
habit	عادت
habitat	وطن
had	رکھیا
hail	سلام کرنڑاں
hair	وال
half	ادھا
hall	ہال
hand	ہتھ
handle	قابو کرنڑاں
handsome	سوہنڑاں
hang	لٹکاؤ
hang out	نمائش کرنڑاں
happen	واقعہ ہوونڑاں
happened	واقع تھیا
happiness	خوشی
happy	خوشی
happy birthday	سالگرہ مبارک
happy birthday to you	تواکوں سالگرہ مبارک ہووے
happy new year	نویں سال دی مبارک
hard	بھاری
hardly	مشکل نال
hardly ever	شاید ہی کڈھئیں
harm	نقصان پُجاونڑاں
harm	نقصان
harmful	خطرناک
harmony	ہم آہنگی
harsh	کڑک
harvest	کٹائی
has	ہے
hate	نفرت
have	ہے
have a good day	تہاڈا ڈینھہ چنگا گزرے
have a nice day	تساں دا ڈینھہ چنگا ہووے
have breakfast	ناشتہ کرو
have fun	مزہ کرو
have you eaten	کیا تساں کھا گھدا ہے
having	گھر دا سامان
hazard	خطرہ
haze	کُہیڑ
he	چھوہر
he has	اوندے کولہو ہے
he is	او ہے
head	سر
headache	سر درد
heal	ایڑھی
healing	چنگا تھونڑاں
health	صحت
healthy	صحت مند
hear	سنڑو
heard	سنڑیا
heart	دل
heat	حرارت
heat	گرم کرنڑاں
heaven	جنت
heavy	بھاری
hectic	پُر جوش
height	اوچائی
heir	وارث
heist	چوری کرنڑاں
held	قرار ڈتا گیا
hell	جہنم
Hello	ہیلو
hello dear	ہیلو دوست
hello how are you	ہیلو تساں کیویں ہو
hello how are you doing	ہیلو تساں کیا کریندے پیوے
helmet	ہیلمٹ
help	مدد کرو
helpful	مددگار
hence	بعد وچ
her	زنانی
herd	ریوڑ
here	ایتھاں
heritage	ترکہ
hesitate	شرمانونڑاں
Hey	ھے
Hi	ہائے
hi how are you	ہائے تساں دا کیا حال ہے
Hi there	ہیلو
hidden	لکیا ہویا
hide	لکاؤ
hierarchy	پِیر
high	اوچا
highlight	خاص گالھہ
hike	لمبا پیدل سفر
hiking	ہائیکنگ
hilarious	زندہ دل
hill	پہاڑی
him	مرد
hint	اشارہ
hip	ران
hips	کولہے
hire	کرائے تے ڈیونڑاں
hiring	بھرتی کرنڑاں
his	مذکر
history	تاریخ
hit	مارنڑاں
Hmm	ہمم
hobby	شوق
hold	سانبھو
hold on	قابو وچ رکھو
hole	سوراخ
holiday	چھٹی
hollow	کھوکھلا
home	گھر
homework	گھر دا کم
honest	ایماندار
honestly	ایمانداری نال
Honey	ماکھی
honor	عزت
hood	قنات
hook	کنڈا
hop	کودنڑاں
hope	اُمید رکھڑاں
hope	اُمید
hopefully	پُر امید طور تے
hopeless	ناامید
horizontal	افقی
horn	سینگ
horrible	خوفناک
horror	عزت
horse	گھوڑا
hospital	ہسپتال
hospitality	تواضع
host	میزبان
host	میزبان بنڑاں
hostile	مخالف
hot	گرم
hotel	ہوٹل
hour	گھنٹہ
hours	گھنٹے
house	گھر
household	خاندان
how	کیویں
how about you	تساں کینجھے ہو
how are you	تساں کیویں ہو
how are you doing	تساں کیویں ہو
how are you doing today	تساں اج کیویں ہو
how are you today	اج تساں دا کیا حال ہے
how do you do	تساں کینجھے ہو
how is	کینجھا ہے
how many	کنے
how much	کتنا
how often	کتنی واری
how old are you	تساں دی عمر کیا ہے
how was your day	تساں دا ڈینھہ کینجھا ہا
how was your night	تساں دی رات کیویں گزری
however	تاں
hub	مرکز
hubby	پایا
hug	گلے لاونڑاں
hug	پیار کرنڑاں
huge	بہوں وڈا
human	انسان
humble	مسکین
humid	سِنا
humidity	ہوا اچ نمی
hundred	سو
hungry	بُکھا
hunt	شکار کھیڈنڑاں
hurricane	آندھی
hurry	جلدی کرنڑاں
hurry up	جلدی کرنڑاں
hurt	ڈکھ ڈیوڑاں
husband	پایا
hustle	دھکا کھاونڑاں
hustle	دھکا
hut	جھونپڑی
hygiene	صحت صفائی
I	میں
I am	میں
I am fine	میں ٹھیک ہاں
I can	میں کر سکدا آں
I can't	میں نمی کر سکدا
I do	میں کرینداں
I do not know	میکوں کائینی پتہ
I do not understand	میکوں سمجھ کائینی آئی
I don't	میں نمی کریندا
I don't know	میکوں کائینی پتہ
I don't understand	میکوں سمجھ کائینی آیا
I don't understand what you mean	میں تہاڈا مطلب نہیں سمجھیا
I don't understand you	میں تہاڈی گالھہ نمی سمجھیا
I don’t know	میکوں کائینی پتہ
I don’t understand	میں کائینی سمجیا
i guess	میڈا خیال ہے
I had	میڈے کولہو ہا
I have	میڈے کولہو ہے
I have been	میں کردا رہیاں
I hope so	میکوں امید ہے
I know	میکوں پتہ ہے
I like	میکوں پسند ہے
I like you	میکوں تساں پسند او
I love	میکوں محبت ہے
I love my big brother	میکوں آپنڑیں وڈے بھرا نال پیار ہے
I love my big sister	میکوں آپنڑیں وڈی بھینڑ نال پیار ہے
I love my father	میکوں آپنڑیں پیو نال پیار ہے
I love my little brother	میکوں آپنڑیں نکے بھرا نال پیار ہے
I love my little sister	میکوں آپنڑیں نکی بھینڑ نال پیار ہے
I love my mother	میکوں آپنڑیں ماں نال پیار ہے
I love you	میکوں تساں دے نال پیار اے
I love you so much	میکوں تساں نال بہوں پیار ہے
I love you too	میکوں وی تساں نال پیار اے
I mean	میڈا مطلب اے
I miss you	میں تہاکوں یار کریندا ہاں
I miss you so much	میں تواکوں بہوں زیادہ یاد کرینداں
I see	میں سمجھ گیاں
I think	میڈا خیال ہے
I understand	میں سمجھدا آں
I want	میں چاہنداں
I want to see you	میں تواکوں ڈیکھڑاں چاہنداں
I want you	میں تیکوں چاہندا ہاں
I was	میں ہامیں
I will	کریساں
I would be	میں ہوواں گا
I'm	میں
I'm fine	میں ٹھیک ہاں
I'm good	میں چنگا ہاں
I'm here	میں اتھاں ہاں
I'm sorry	میکوں معاف کرو
ice	برف
ice cream	آئس کریم
idea	خیال
ideal	مثالی
identical	ملدا چُلدا
identify	سنیانڑو
identity	شناخت
idiot	بیوقوف
idle	بیکار
if	جے
ignore	نظرانداز کرو
ill	بیمار
illegal	غیر قانونی
illness	بیماری
Ilocano	اِلوکانو
image	فوٹو
imagine	تصور کرنڑاں
immediate	فوری
immediately	فوری طور تے
immense	لامحدود
impact	اثر
impact	اثر کرنڑاں
impatient	بے صبر
implement	عمل وچ آنڑاں
import	درآمد کرنڑاں
import	درآمد
important	اہم
impose	نافذ کرنڑاں
impossible	ناممکن
impress	ٹھپا لاونڑاں
impression	خیال
impressive	متاثر کرنڑ والا
improve	بہتر کرو
improvement	بہتری
in	وچ
in addition	ایندے علاوہ
In fact	حقیقت وچ
in front of	دے سامنڑیں
in order to	کرنڑ واسطے
inappropriate	نامناسب
incentive	مقصد
incident	حادثہ
include	شامل کرو
including	شامل ہونڑاں
income	آمدن
inconvenience	تکلیف ڈیونڑاں
increase	ودھانا
increase	ودھاؤ
increased	ودھایا گیا
incredible	یقین نہ کرنڑ دے قابل
indeed	حقیقت وچ
independent	خودمختار
India	بھارت
indicate	نشاندہی کرنڑاں
indigenous	مقامی
individual	کلہا
industry	صنعت
inevitable	لاعلاج
infant	کھیر پیونڑ آلا بال
infection	انفیکشن
infinity	لامحدود
inflammation	ورم
inflation	ودھاوا
influence	اثر
influence	اثر کرنڑاں
inform	اطلاع ڈیوو
information	معلومات
ingredients	شیواں
inheritance	جائیداد
initial	ابتدائی
initiative	پہلا قدم
injured	نقصان پُجیا
injury	چوٹ
innocent	معصوم
innovation	تبدیلی
inquiry	چھان بین
insane	دیوانہ
insect	کیڑا مکوڑا
insecure	غیر محفوظ
insert	داخل کرنڑاں
inside	اندرلے پاسے
insight	گھیری نظر
insist	تقاضا کرنڑاں
insomnia	نیندر نہ آونڑاں
inspiration	ساہ گھنڑاں
inspire	جوش پیدا کرنڑاں
install	انسٹال کرنڑاں
instance	واقعہ
instant	فوری
instead	بجائے
instead of	دے بجائے
instructions	ہدایتاں
instrument	اوزار
insult	بے عزتی
insurance	بیمہ
intact	محفوظ
integrity	ایمانداری
intellectual	ذہنی
intelligence	ذہانت
intelligent	ذہانت
intend	ارادہ کرنڑاں
intended	منظور شدہ
intense	تیز
intention	ارادہ
interact	اک ڈوجھے تے عمل کرنڑاں
interaction	اشتراک عمل
interest	دلچسپی
interested	دلچسپی رکھدے آں
interesting	دلچسپ
interfere	مداخلت
intermediate	ثانوی
internal	اندرونی
international	بین الاقوامی
internship	نگرانی وچ تربیت
interpret	مداخلت
interpreter	ترجمان
interrupt	دخل ڈیونڑاں
interview	انٹرویو
intimate	قریبی
into	دے وچ
introduce	تعارف کراؤ
introduction	تعارف
introvert	اندرلے پاسے موڑنڑاں
intuition	مشاہدہ
invalid	غیر قانونی
invent	ایجاد کرنڑاں
inventory	فہرست
invest	سرمایہ لگاونڑاں
investigate	تفتیش کرنڑاں
invitation	کانڈھا ڈیونڑاں
invite	کانڈھا ڈیوو
invoice	بِل بناونڑاں
invoice	بِل
involve	شامل ہونڑاں
involved	شامل ہونڑاں
iron	استری کرنڑاں
iron	استری
is	ہے
island	جزیرہ
isolated	سُنسان
issue	نکلڑاں
issue	انجام
issues	مسئلے
it	جے
it is	ایہہ ہے
it was	ایہہ ہا
it's	ایندا
it's ok	ٹھیک ہے
It's okay	ٹھیک ہے
item	شے
items	شیواں
its	ایہہ ہے
I’m	میں ہاں
jacket	جیکٹ
jail	جیل
January	جنوری
jar	مٹکا
jaw	جبڑا
jealous	سِننا
jerk	جھٹکا
jewelry	زیور
job	نوکری
jogging	ہولے درکڑاں
join	شامل ہوو
joint	جوڑ
joke	لطیفہ
journalist	صحافی
journey	سفر
joy	خوشی
judge	جج
judge	فیصلہ کرنڑاں
juice	جوس
july	جولائی
jump	اچھلڑاں
june	جون
junk	نجات پاونڑاں
just	انصاف پسند
just	بالکل
just do it	بس کر سٹو
justice	انصاف
justify	صحیح ثابت کرنڑاں
Kalaallisut	کالالیست
keen	بہوں گھٹ
keep	رکھو
keep it up	ایکوں جاری رکھو
kept	رکھیا ہویا
kettle	کیٹلی
key	چابی
kick	ٹھوکر مارنڑاں
kid	بال
kidding	مذاق کرنڑاں
kidney	گردہ
kids	بچے
kill	مارنڑاں
kind	رحم دل
kind	قسم
kinda	قسم
kindly	مہربان
kindness	رحمدلی
king	بادشاہ
kiss	چُمڑاں
kitchen	باورچی خانہ
kite	پتنگ
kitten	بلی دا بچہ
knee	گوڈا
knew	جانڑاں
knife	چاقو
knight	گھوڑا
know	جانڑاں
knowledge	علم
known	جانڑاں گیا
Konkani	کونکنی
Krio	کریو
label	لیبل لگاونڑاں
label	لیبل
labor	مزدوری
labour	بال پیدا ہونڑاں
lack	کمی
ladder	پوڑھی
lady	زال
laid	دبیا ہویا
lake	تالاب
lamb	بھیڈ
lame	لنگڑا
lamp	شمع
land	زمین
land	کنارے
landscape	قدرتی منظر
language	زبان
lap	جھولی
large	کُھلا
last	آخری
last but not least	آخری لیکن گھٹ توں گھٹ نہ
last name	آخری ناں
late	مرحوم
lately	تھوڑا عرصہ پہلاں
later	بعد اچ
latest	تازہ ترین
latter	آخری
laugh	کھلڑاں
laughing	کھلڑاں
laughter	کھل
launch	لانچ کرنڑاں
laundry	لانڈری
law	قانون
lawn	لان
lawyer	وکیل
lay	لیٹڑاں
layer	تہہ
layout	ترتیب
lazy	سست
lead	راہنمائی کرنڑاں
leader	قائد
leaf	پتہ
leak	ٹپکڑاں
lean	ٹیکا لاونڑاں
leap	چھال مارنڑاں
learn	سکھڑاں
learning	سکھڑاں
lease	ٹھیکہ ڈیونڑاں
least	آخیری
leather	چمڑا
leave	چھٹی
leave	روانہ ہونڑاں
leaves	چھٹیاں
led	زیر انتظام
left	باقی
leg	لت
legacy	ورثہ
legal	قانونی
legend	روایت
legit	عوامی
leisure	فارغ
lend	قرض ڈیونڑاں
length	لمائی
less	گھٹ
lesson	سبق
let	اجازت ڈیونڑاں
letter	خط
lettuce	سلاد پتہ
level	درجہ
leverage	بیرمی نظام
liability	ذمہ واری
library	لائبریری
lick	چَٹڑاں
lie	جوٹھ بولڑاں
lie	جوٹھ
lies	جوٹھ
life	حیاتی
lift	چاونڑاں
lift	اُتے چاونڑاں
light	ہلکا
light	روشنی
lightning	آسمانی بجلی
like	پسند
likely	بہوں ممکن
likewise	ایویں ای
line	لکیر
Lingala	لنگالا
link	کڑی
lion	شیر
liquid	مائع
list	فہرست
listen	سنڑو
listening	سنڑاں
literally	سچ مچ
literature	ادب
litter	پھیلڑاں
little	نکا
live	زند رہنڑاں
live	زندہ
liver	جگر
lives	حیاتیاں
living	جیندا جاگدا
living room	بیٹھک
lizard	چھپکلی
load	لوڈ کرنڑاں
loaf	ٹہلڑاں
loan	قرض
local	مقامی
location	جاہ
lock	تالا
lockdown	لاک ڈاؤن
log	لاگ
lol	زول نال ہسنا
lonely	کلہا
long	لما
long time no see	تساں کوں ڈیکھے بہوں ڈینھہ تھی گئین
look	ڈیکھڑاں
look	شکل
loop	لوپ
loose	ڈھیلا
loose	ڈھیلا کرنڑاں
lord	حاکم
lose	گنوانڑاں
loss	نقصان
lost	گار تھینڑاں
lot	زیادہ
loud	اوچا
lounge	بھالا گھنڑ دا کمرہ
love	محبت کرنڑاں
love	پیار
love you	تساں کوں پسند کریندے آں
lovely	سوہنڑاں
low	گھٹ
lower	گھٹ
loyal	وفادار
loyalty	وفاداری
luck	قسمت
lucky	خوش قسمت
Luganda	یوگنڈا
luggage	زبان
lump	گُٹھلی
lunch	ڈوپہر دا کھاونڑاں
lungs	پھیپھڑے
luxury	عیش پرست
lying	لمے پانڑاں
machine	مشین
mad	دیوانہ
madam	میڈم
made	بنڑیا ہویا
magazine	رسالہ
magnificent	عالیشان
maid	ملازمہ
main	اہم
maintain	برقرار رکھو
maintenance	مرمت
Maithili	میتھلی
major	اہم
major	میجر
majority	اکثریت
make	بنڑاؤ
make up	سنگھار کرنڑاں
male	مرد
mall	مال
man	مرد
manage	انتظام کرو
management	انتطامیہ
manager	منتظم
mandatory	ضروری
manifest	ظاہر
manipulate	گٹھ جوڑ کرنڑاں
manner	طور طریقہ
manual	ہتھ نال
many	بہوں کجھ
many many happy returns of the day	خوشی دا ایہہ ڈینھہ ولا ولا آوے
march	مارچ
margin	حاشیہ
market	مارکیٹ
marriage	شادی
married	شادی شدہ
mask	ماسک
mass	ڈھیر
massive	ٹھوس
master	ماسٹر
match	جوڑ
match	کھیڈنڑاں
mate	شادی کرنڑاں
material	سامان
math	حساب
matter	واقعہ
matter	اہم ہونڑاں
maturity	واجب
may	ممکن ہونڑاں
may	کنواری
maybe	تھی سکدا اے
me	میں
me too	میڈا وی
meal	کھاونڑاں
mean	مطلب
mean	عام
meaning	مطلب
means	مطلب
meant	مطلب تھیا
meanwhile	دوران وچ
measure	ناپو
measures	تدبیراں
meat	گوشت
medical	میڈیکل
medicine	دوا
meditation	مسلسل سوچ
medium	ذریعہ
meet	ملو
meeting	ملاقات
Meiteilon	مٹیلین
melt	گھلڑاں
memories	یاداں
memory	یادداشت
mental	ذہنی
mention	ذکر کرنڑاں
mentioned	منصوبہ بناونڑاں
mentor	استاد
merchant	سوداگر
mercy	رحمت
merely	صرف
merry christmas	میری کرسمس
mess	گند
message	پیغام
messy	بے ترتیب
metal	دھات
method	طریقہ
mice	چوہے
middle	درمیانی
midnight	ادھی رات
might	تھی سکدا اے
mild	درمیانی
milestone	ترقی دا نشان
military	فوج
milk	کھیر
million	ڈاہ لکھ
mind	ضمیر
mind	بُرا مناونڑاں
mindset	سوچنڑ دا انداز
mine	کان
mine	میڈا
mingle	ملاونڑاں
minor	نکا
minute	منٹ
minutes	منٹاں
miracle	کرشمہ
mirror	شیشہ
miscellaneous	مختلف شیواں
mischievous	شرارتی
miserable	ڈکھی
misery	آفت
miss	ناکام رہنڑاں
miss you	تساں کوں یاد کریندے آں
missing	غائب
mission	فرض
mist	دُھند
mistake	غلطی
Mizo	میزو
mobile	موبائل
mock	مذاق اُڈارنڑاں
model	نمونہ
moderate	معتدل
moderate	اعتدال اتے آنڑاں
modern	جدید
modest	معمول جھا
moist	تر
moisture	نمی
mold	پھپھوندی لگڑاں
mold	پھپھوندی
mole	تِل
mom	ماں
moment	ویلا
monday	سوموار
money	پیسہ
monitor	مانیٹر
monkey	بندر
month	منہ
mood	موڈ
moody	بیزار
moon	چندر
moral	اخلاقی
more	ودھ
moreover	اس دے سوا
morning	سویرے
mortgage	رہن
most	سب کنے ودھ
mostly	زیادہ تر
mother	ماں
motion	حرکت
motivation	تحریک
mountain	پہاڑ
mouse	چوہا
mouth	منہ
move	منتقل کرنڑاں
movement	تحریک
movie	فلم
mrs	شادی شدہ زال
much	بہوں ودھ
mud	دلدل
mug	کٹورا
muscle	پٹھا
museum	عجائب گھر
mushroom	کھمبی
music	موسیقی
must	فرض
must	کچی شراب
mute	چپ کروانڑاں
mutual	مشترکہ
my	میڈا
My dear	میڈے پیارے
my friend	میڈا دوست
My hovercraft is full of eels	میڈا ہوور کرفٹ ایلاں نال بھریا ہویا ہے
my love	میڈا پیار
my name is	میڈا ناں ہے
my pleasure	میڈی خوش قسمتی ہے
myself	آپنڑیں آپ کوں
mysterious	پراسرار
mystery	راز
myth	فرضی گالھیں
nail	نحوں
naive	سدھا سادا
name	ناں
narrative	بیانیہ
narrow	سوڑا
nasty	ناپاک
national	قومی
nationality	قومیت
native	مقامی
natural	قدرتی
nature	قدرت
nausea	متلی
near	کولہو
nearby	کولہو
nearly	کولہو کولہو
neat	صاف
necessary	ضروری
neck	گِچی
necklace	ہار
need	ضرورت ہونڑاں
need	فوری ضرورت
negative	منفی
neglect	نظر انداز کرنڑاں
negotiate	سودا کرنڑاں
neighbor	ہمسائے
neighborhood	ہمسائے
neither	ڈوہویں وچوں کوئی ہک وی کائینا
nephew	بھتریجا
nerd	کمزور
nervous	پریشان
nest	گھونسلا
net	جالی
network	نیٹ ورک
neutral	قدرتی
never	کڈئیں وی نہ
never give up	کڈھئیں ہمت نہ ہارو
never mind	برا نہیں میندا
nevermind	کوئی گالھہ نہیں
nevertheless	ایس دے باوجود
new	نواں
news	خبراں
next	اگلا
next to	دے نال
nice	اچھا
nice to meet you	تساں نال مل کے خوشی تھئی اے
niece	بھڑینجی
night	رات
nightmare	ڈرونڑاں خواب
nine	نئوں
nineteen	انویھہ
ninety	نوّے
No	نہ
no problem	کوئی مسئلہ کائینی
no way	بالکل وی نہ
nobody	کوئی وی نہ
noise	شور
noisy	شور آلا
none	کوئی وی نہ
noon	ڈوپہر
nope	نہ
nor	نہ تے
normal	عام
north	شمال
nose	نک
nostalgic	ماضی دی یاد
not	کائینا
not at all	بالکل وی کائیناں
not bad	برا کائینی
Not now	ہونڑیں نہ
not yet	ہنڑ تائیں نہ
note	نوٹ
noted	اہم
nothing	کجھ وی نہ
