ӧжыт	a little
размер	gauge
калибр	gauge
сётъяны	gave
шестерёнка	gear
редуктор	gear
пол	gender
огъя	general
котьку сямен ик	generally
кылдытыны	generate
выжыполэс	generation
шырыт сямо	generous
нодлык	genius
жанр	genre
небыт	gentle
тась	genuine
вырос	gesture
вуыны	get
дӥсяськыны	get dressed
султыны	get up
ӝоген бурмыны	get well soon
басьтон	getting
сётытон	ghost
син азьын кык адӟиськон	ghosting
гигант	giant
подарочный	gift
имбирь	ginger
тусыз нылыдлы	girl
эш	girlfriend
курадӟытыса	give
тросаз	give up
сётэм	given
шумпотӥсько	glad
учкон	glance
пияла	glass
очкиос	glasses
югытак луон	glimpse
глобальной	global
шимес	gloomy
чиньыё-пӧлыё пӧзь	gloves
ӝуаны	glow
шуак кенжыны	glow up
клей	glue
мыныны	go
азьлань!	go ahead
кошкыны	go away
изьыны выдыны	go to bed
цель	goal
цельёс	goals
кечтака	goat
инмар	god
таза лу	god bless you
мынэ	goes
мынӥсь	going
ветлон	going to
зарни	gold
кошкиз	gone
дасяськыны	gonna
дыльк	goo
умой	good
бур нунал	good afternoon
ӟеч лу	good bye
бур нуналэн	good day
ӟеч ӝыт	good evening
умой уж	good job
умой адӟиське	good looking
удалтон	good luck
ӟеч ӵукнаен	good morning
яратонэ	good morning my love
бур ӵукнаен	good morning my love
ӟеч кӧл	good night
кушын	goodbye
бур уен	goodnight
вуз	goods
гуглить карыны	Google
Google переводчик	Google Translate
ӟазег	goose
шукырес чебер	gorgeous
супыльтыны	gossip
басьтӥз	got
валай	got it
правительстволэн	government
реакцизы	grab
сорт	grade
калленэн	gradually
быдтыны	graduate
тысь	grain
юрттэт	grant
сётэм	granted
виноград	grapes
валаны	grasp
турын	grass
благодарный	grateful
тау	gratitude
шайгу	grave
пурысь	gray
усто	great
кӧттырмостэм луон	greed
аксым	greedy
вож	green
чырткемьяськыны	greet
ӟечъяськон	greeting
ӟечкылан	greetings
пурысь	grey
сетка	grid
сак	grid
куректон-кайгу	grief
изон	grind
ваче кырмиськон	grip
бакалея вузан магазин	grocery
вал сюдӥсь	groom
зуркак	gross
соку вылын	ground
группа	group
ӝужда	grow
ӝуждала	growth
керӟег	grumpy
Гуарани	Guarani
оскетбур	guarantee
возьмаськись	guard
валатскон	guess
куноос	guest
огазеян	guidance
кивалтонни	guide
янгышам	guilty
пияш	guy
пиналъёс	guys
тренажёрной зал	gym
йылол	habit
улон инты	habitat
вал	had
йӧзор	hail
йырсиез	hair
ӝыны	half
пыронни дор	hall
ки	hand
каль	handle
чебер	handsome
ошыны	hang
шулдыръяськыны	hang out
учыраны	happen
пӧрмиз	happened
шуд	happiness
шудо	happy
вордӥськем нуналаз улон	happy birthday
вордӥськем нуналыд тонэ	happy birthday to you
выль ар	happy new year
чурытоме	hard
меда	hardly
почти ноку но	hardly ever
изъян	harm
кышкыт	harmful
чебер чузъяськем	harmony
лек	harsh
урожай	harvest
вань	has
адӟемпотостэм	hate
вань	have
умой нуналэн	have a good day
ӟеч нуналъёс	have a nice day
ӵукназэ сиськыны	have breakfast
шулдыръяськыны	have fun
тон сиськид	have you eaten
вань	having
кышкытлык	hazard
бус	haze
со	he
солэн вань	he has
со вань	he is
йыр	head
йыр висён	headache
йӧнатон	heal
йӧнатон	healing
тазалыксэс	health
тазалыко	healthy
иворъёс	hear
кылӥзы	heard
сюлэм	heart
вӧзаз	heat
инбам	heaven
секыт	heavy
сюлмаськись	hectic
ӝужыт	height
кельтосчи	heir
вораськон	heist
возёно	held
чидантэм	hell
чырткем	Hello
ӟечбуресь дуно	hello dear
ӟечбур	hello how are you
ӟечбур кыӵе мар	hello how are you doing
шлем	helmet
юрттэт	help
пайдаё	helpful
следовательно	hence
сое	her
уллё	herd
татын	here
люкетэз	heritage
куалекъясь	hesitate
Эй	Hey
ӟечбур	Hi
ӟечбур кыӵе мар	hi how are you
Ваньзылы чырткем	Hi there
ватэм	hidden
ватыны	hide
инъетрад	hierarchy
инмар	high
пусйыны	highlight
поход	hike
походэ	hiking
шулдыр	hilarious
выр	hill
солэн	him
подсказка	hint
макес	hip
макесъёс	hips
найм	hire
медъян	hiring
сое	his
история	history
нюртылэм	hit
Хмм	Hmm
яратоно уж	hobby
возёно	hold
вителэ	hold on
пась	hole
шулдыръяськон	holiday
тырттэм	hollow
корка	home
гуртэ уж	homework
шонерлыко	honest
зэм	honestly
чечы	Honey
дан	honor
капюшон	hood
курик	hook
тэтчон	hop
оскыны	hope
оскон	hope
шудлы	hopefully
осконтэм	hopeless
ӵошкинэс	horizontal
рожок	horn
кӧшкемыт	horrible
кышкан	horror
вал	horse
эмъяськонни	hospital
утялтыны яратон	hospitality
хост	host
басьтыны	host
тушмон луись	hostile
ӟырдыт	hot
кунокуа	hotel
час	hour
час	hours
корка	house
гурт возёс	household
кызьы	how
мар нош тӥ сярысь	how about you
тӥляд кызьы	how are you
уж-а кадь	how are you doing
туннэ тӥляд кадь ужъёс	how are you doing today
кызьы тон туннэ	how are you today
кыӵе мар	how do you do
кыӵе улэ	how is
кӧня ваньмыз	how many
кӧня	how much
кыӵе ӵем	how often
кӧня тыныд арес	how old are you
кызьы тынад нуналыд ортчиз	how was your day
кызьы ортчиз уед	how was your night
озьы	however
тул	hub
карт	hubby
ӟыгыръяськыса	hug
туж юн бадӟым	huge
адями	human
лякыт	humble
нюр	humid
кот	humidity
сю	hundred
сютэм	hungry
пӧйшураны	hunt
ураган	hurricane
дыртон	hurry
дыртыны	hurry up
вӧсь	hurt
карт	husband
вырисько	hustle
пичи корка	hut
чылкыт луон	hygiene
Мон	I
Мон	I am
Мынам ваньмыз радызъя	I am fine
Мон быгатӥсько	I can
Мон уг быгаты	I can't
бен	I do
мон уг тодӥськы	I do not know
Мон уг тодӥськы	I do not understand
Мон уг	I don't
Мон уг тодӥськы.	I don't know
уг вала монэ	I don't understand
Мон уг валаськы	I don't understand what you mean
ма сярысь тон	I don't understand what you mean
Мон тонэ уг валаськы	I don't understand you
Мон уг тодӥськы	I don’t know
Мон уг валаськы	I don’t understand
малпаны	i guess
Мынам вал	I had
Мынам луоз	I have
Мон вал	I have been
Мон оскисько талы	I hope so
Мон тодӥсько	I know
Мыным кельше	I like
Яратӥ мон тонэ	I like you
Мон яратӥсько	I love
мон яратӥсько агайме	I love my big brother
мон яратӥсько апайме	I love my big sister
мон яратӥсько атайме	I love my father
мон яратӥсько вынме	I love my little brother
мон яратӥсько сузэрме	I love my little sister
мон яратӥсько анайме	I love my mother
Мон тонэ яратӥсько	I love you
Озьы мон тӥледыз туж яратӥсько	I love you so much
мон но тонэ яратӥсько	I love you too
Мыным басьтӥзы	I mean
Тон мыным мӧзмыт	I miss you
Мон туж мӧзмисько тынэсьтыд	I miss you so much
Мон адӟи	I see
мон малпасько	I think
Мон валай	I understand
Мыным потэ	I want
Мынам тонэ адӟеме потэ	I want to see you
Мынам тонэ потэ	I want you
Мон вал	I was
Мон луо	I will
Мон луысал	I would be
Мон	I'm
Мон радъямын	I'm fine
Мон умой	I'm good
Мон татын	I'm here
Вождэс эн вае	I'm sorry
йӧ	ice
кынтэмйӧл	ice cream
малпан	idea
идеальной	ideal
огкадь луись	identical
идентифицировать	identify
быдэсак огкадь луон	identity
идиот	idiot
буш мынэм	idle
ке	if
игнорирование	ignore
висись	ill
катрадтэм	illegal
висён	illness
Илокано	Ilocano
вылтус	image
малпаны	imagine
ӝегатскытэк	immediate
ӝегатскытэк	immediately
син сузёнтэм	immense
быгатонлыкъёслы	impact
чидасьтэм	impatient
реализовать	implement
вайыны	import
йӧно-буро	important
пыртыны	impose
луонтэм	impossible
паймытыны	impress
адӟем	impression
впечатляющий	impressive
умоятӥзы	improve
умоятон	improvement
пушкы	in
со сяна	in addition
Зэмзэ вераса	In fact
азьын	in front of
со понна мед	in order to
корректной луисьтэм	inappropriate
мылкыд сётон	incentive
учыр	incident
ӝуатыны	include
пыртыса	including
доход	income
пайда	income
ярантэмлык	inconvenience
бадӟыматэм	increase
будэтэм	increased
луонтэм	incredible
зэмзэ	indeed
эрико	independent
Индия	India
возьмалэ	indicate
коренной	indigenous
индивидуальной	individual
промышленность	industry
неизбежной	inevitable
нуны	infant
черлан	infection
пумтэмлык	infinity
азон	inflammation
инфляция	inflation
влияние	influence
ивортыны	inform
Ивортодэт	information
кылдытӥсь люкетъёс	ingredients
наследовать карон	inheritance
нырысь	initial
та кичӧлтонэз	initiative
сӧсырмем	injured
сӧриськем	injury
янгыштэм	innocent
выльдэт	innovation
запросъёсылы	inquiry
сураськем	insane
нымы-кибы	insect
неуверенный	insecure
пыртыны	insert
пушсэ	inside
ӝог валатсконлык	insight
кыл вылын сылыны	insist
умме усьыны луытэк улон	insomnia
ӝутскем мылкыд	inspiration
мылкыд сётыны	inspire
инсталлировать карыны	install
тусъет	instance
шуак	instant
инты	instead
интые	instead of
инструкциос	instructions
тӥрлык	instrument
сантэманы	insult
страховка	insurance
исамтэ	intact
быдэслыкез	integrity
интеллигентной	intellectual
визьнод	intelligence
интеллигентный	intelligent
медыны	intend
лыдъямын	intended
кужмо	intense
медон	intention
ог-оген герӟаськыны	interact
вачекусыпъяськон	interaction
тунсык	interest
заинтересованный	interested
тунсыко	interesting
пырскыны	interfere
шорысез	intermediate
пуш	internal
калыккуспо	international
стаж ортчён	internship
валэктыны	interpret
валэктӥсь	interpreter
дугдытыны	interrupt
интервью	interview
интимной	intimate
пушказ	into
пыртыны	introduce
азькыл	introduction
пытсаськизы	introvert
сюлэмшӧдон	intuition
сӧсыр	invalid
малпаны	invent
ваньбурез эскерон	inventory
коньдонэз поныны	invest
сэрттыны-пертчыны	investigate
ӧтён	invitation
ӧтем	invite
фактураез	invoice
пыртылыны	involve
кыскиллям	involved
кортлэсь	iron
шормуӵ	island
нимаз висъям	isolated
юан сётыны	issue
поттыны	issue
ужпумъёс	issues
со	it
та	it is
со вал	it was
со	it's
ваньмыз умой	it's ok
Ваньмыз умой	It's okay
артикул	item
позициос	items
сое	its
Мон вань	I’m
пиджак	jacket
тюрьма	jail
толшор	January
банка	jar
анлыос	jaw
вожась	jealous
донгем	jerk
ювелир лэсьтосъёс	jewelry
уж	job
тэк каллен бызьылыны	jogging
огазеяськыса	join
дэмен	joint
серемкыл	joke
газетчи	journalist
мынон-ветлон	journey
шумпотон	joy
судья	judge
сок	juice
пӧсьтолэзь	july
тэтчыны	jump
инвожо	june
лугыр-лагыр котыр	junk
гинэ	just
тае гинэ лэсьты	just do it
судсӧзнет	justice
шонере поттыны	justify
Калааллисут	Kalaallisut
ырдыт	keen
уть	keep
сыӵе ик мылкыдэн азьланьтыны	keep it up
сюдыны	kept
чайник	kettle
усьтонъёсты	key
ӵыжон	kick
пинал	kid
пинал мурт сямен вырон	kidding
пекля	kidney
пиналъёс	kids
виыны	kill
умой	kind
сям	kind
кызьы ке	kinda
гажаса	kindly
лякыт луон	kindness
король	king
чупаны	kiss
кухня	kitchen
душес	kite
коӵышпи	kitten
пыдес	knee
тодӥ	knew
пурт	knife
рыцарь	knight
тодӥсько	know
тодон-валан	knowledge
тодмо	known
Конкани	Konkani
Крио	Krio
лейбл	label
ужан	labor
ужан	labour
уг тырмо	lack
пагӟаос	ladder
леди	lady
понэм	laid
ты	lake
ыжпи	lamb
чутэ	lame
лампа	lamp
приземлять	land
пейзаж	landscape
кыл	language
котырес	lap
бадӟым	large
быдэс	last
берпуметӥез	last but not least
фамилиосты	last name
бергес	late
берпум дыръёсы	lately
бергес	later
самой берпуметӥез	latest
берпуметӥез	latter
серекъяны	laugh
серекъян	laughing
серекъян	laughter
запуск	launch
мисьтаськон висъет	laundry
закон	law
газон	lawn
юристъёс	lawyer
кыллись	lay
сӥ	layer
макет	layout
азьтэм	lazy
кивалтыны	lead
тӧро	leader
куар	leaf
потон	leak
мыкыръяськыны	lean
кырем	leap
тодӥсько	learn
дышетон	learning
арендовать карыны	lease
самой ӧжытэз	least
сурон	leather
кошкыны	leave
кошкон	leave
кельтӥз	leaves
светодиод	led
паллян	left
пыд	leg
люкетэз	legacy
катлыко	legal
легенда	legend
катрадлыко	legit
ваньмон	leisure
пунэмаськытэк	lend
кузьдалаезъя	length
пичи	less
урок	lesson
лэзьыса	let
гожтэт	letter
салат	lettuce
ӵоштала	level
пельпум	leverage
пассивъёс	liability
библиотека	library
нюлыны	lick
пӧяськон	lie
пӧяськыны	lie
ӧрекчаськон	lies
улон	life
ӝутэмын	lift
югыт	light
чилектэм кадь ӝог	lightning
яра	like
зэмос	likely
аналогично	likewise
гож	line
Лингала	Lingala
валче карон	link
лев	lion
кизермет	liquid
лыдмет	list
кыл	listen
кылзон	listening
кылысь кылэ	literally
литература доры	literature
силё	litter
пичи	little
ас	live
улыны	live
мус	liver
улонъёс	lives
улон	living
куновисъет	living room
кенӟали	lizard
тырыны	load
нянь	loaf
кредит	loan
интыысь	local
интыяськем	location
ворсаны	lock
чурыт куронъёсъя нимаз висъян	lockdown
кор	log
серем	lol
огназ	lonely
кема	long
кемалась ӧм адскылэ	long time no see
учкон	look
учкыны	look
кыӵес	loop
лябӟытыны	loose
кузё	lord
ыштыны	lose
ыштон	loss
ыштод	lost
парти	lot
кужмо	loud
шутэтскон висъет	lounge
яратыны	love
яратон	love
яра-а тӥляд	love you
туж юн чебер	lovely
лапег	low
лэзьыны	lower
лояльной	loyal
лояльной луон	loyalty
шуд усён	luck
удалтӥсь	lucky
Луганда	Luganda
багаж	luggage
юдэс	lump
ланч	lunch
тыос	lungs
шукырес чебер	luxury
ӧрекчаськон	lying
станок	machine
укылтэм	mad
госпожа	madam
лэсьтэм	made
журнал	magazine
шукырес чебер	magnificent
горничная	maid
кутскон бам	main
ӧз юрттэ	maintain
эскерон-чаклан	maintenance
Майтхили	Maithili
майор	major
тросэз	majority
лэсьтыны	make
кылдытыны	make up
пиосмурт	male
вузкарон центр	mall
адями	man
кивалтон	manage
кивалтон	management
менеджер	manager
курегпузэз питыръяса	mandatory
возьматыны	manifest
манипулировать карыны	manipulate
лад	manner
ас кие дышетэм	manual
трос	many
трос-трос нуналаз шудо бертонъёс	many many happy returns of the day
маршировать карыны	march
маржа	margin
базар	market
кузпалъяськон	marriage
кышнояськи	married
карыны	mask
ас массово	mass
массивной	massive
мастер	master
матч	match
родственной	mate
материал	material
математика	math
юан	matter
басьтыны	matter
быдэ вуон	maturity
быгатыны	may
куартолэзь	may
оло	maybe
монэ	me
мон но	me too
сиён	meal
возьматэ	mean
сяська возьматэ	meaning
средство	means
возьматэ	meant
со вискын	meanwhile
ужрад	measure
мераос	measures
сӥль	meat
медицинской	medical
эмъюм	medicine
медитация	meditation
шорыз	medium
пумитаз	meet
пумиськон	meeting
Мейтейлон	Meiteilon
шунаны	melt
тодэ ваён	memories
йырсазь	memory
ментальной	mental
тодэ вайытон	mention
тодэ вайытэм	mentioned
визьнодась	mentor
вузаськись	merchant
жалян	mercy
ваньмыз-ӧвӧлэз	merely
Ымусьтонэн	merry christmas
базар	mess
сообщение	message
сӧрыны	messy
корт	metal
метод	method
шыръёс	mice
шор	middle
уйшор	midnight
луонлык	might
небыт-а	mild
век	milestone
ожгар	military
йӧл	milk
миллион	million
визь	mind
малпан	mindset
мынам	mine
сураськыны	mingle
тэшкылиос	minor
минут	minute
пукетлэн протоколэз	minutes
чудо	miracle
синучкон	mirror
пӧртэм	miscellaneous
лякыттэм	mischievous
куанер	miserable
ёрмон	misery
мыным	miss
ӥледлы мӧзмыт	miss you
кельтэм	missing
миссия	mission
бус	mist
янгышаны	mistake
Мизо	Mizo
мобильной	mobile
серем карыны	mock
модель	model
возиськись	moderate
туала	modern
зӥбыт	modest
нюр	moist
нюр	moisture
пурысьтам	mold
лепить карыны	mold
мень	mole
анай	mom
вакыт	moment
понедельник	monday
коньдон	money
монитор	monitor
маймыл	monkey
толэзь	month
мылкыд	mood
вогъяськись	moody
толэзь	moon
моральной	moral
тросгес	more
со гинэ öвöл	moreover
ӵукна	morning
залог	mortgage
тросэз	most
валтӥсез	mostly
анай	mother
вырӟылон	motion
муг	motivation
гурезь	mountain
шыр	mouse
ымысь	mouth
выжылы	move
вырӟылон	movement
кино	movie
миссис	mrs
трос	much
дэри	mud
кружка	mug
сӥльвир	muscle
музей	museum
губи	mushroom
крезьгур	music
кулэ	must
кылтэм-ымтэм	mute
ог-огдэ	mutual
мынам	my
Мынам дуное	My dear
мынам эше	my friend
воздушной миндэрен пыже тырмемын угорен	My hovercraft is full of eels
мынам яратонэ	my love
монэ ӧтизы	my name is
пожалуйста	my pleasure
асме	myself
лушкем	mysterious
мадиськон	mystery
миф	myth
гижы	nail
оскись	naive
уноезлэн	name
мадён	narrative
сюбег	narrow
шöтэм	nasty
калыккуспо	national
йӧскалык	nationality
та интыын вордӥськем адями	native
естественной	natural
инкуазь	nature
юрӟым луон	nausea
кыдёкын ик ӧвӧл	near
матын	nearby
ӧжыт гинэ	nearly
ӝикыт	neat
кулэ луись	necessary
чырты	neck
чыртывесь	necklace
ёрмыны	need
негативной	negative
ултӥяны	neglect
вачевераськонъёсты нуыны	negotiate
бускель	neighbor
котыръёс	neighborhood
озьы ик уг	neither
вынъёстылэсь	nephew
визьтэм	nerd
нервной	nervous
кар	nest
нетто	net
нюжаос	network
нейтральной	neutral
ноку	never
ноку но ӧвӧл сётсконо	never give up
уг саклык висъяны	never mind
ноку	nevermind
сое чаклатэк	nevertheless
выль	new
иворъёс	news
вуоно	next
бордын	next to
синмаськымон	nice
туж умой	nice to meet you
племянницае	niece
уй	night
кӧшкемыт	nightmare
укмыс	nine
дас укмыс	nineteen
укмыстон	ninety
ӧвӧл	No
ужпумтэм	no problem
номыр понна но	no way
нокин	nobody
ӵашетэм	noise
ӵаш	noisy
огез но	none
лымшор	noon
ӧвӧл	nope
озьы ик уг	nor
нормальной	normal
уй пал	north
нырыныз	nose
мӧзмон	nostalgic
ӧвӧл	not
номыр понна	not at all
урод ӧвӧл	not bad
Али уг яра	Not now
ӧвӧл на	not yet
гожтэт	note
пусъем	noted
номыр	nothing
саклык висъяны	notice
шӧдӥз	noticed
существительнойлэн	noun
макеним	nouns
роман	novel
шуркынмон	november
али	now
туннэ нуналъёсы	nowadays
ӝож	nuisance
буш пуштросэн	null
жӧломем	numb
номер	number
медсестра	nurse
гайка	nut
мускатной пушмульы	nutmeg
питание	nutrition
кылсётон	oath
кӧйомон	obesity
дыр тэрытскыса	obey
объектъёссэ	object
ужпум	objective
обязательствоос	obligation
пеймытатыны	obscure
чаклан	observation
чакламын	observe
одержимый	obsessed
йырысь кошкисьтэм малпан	obsession
вужмеме	obsolete
инъет	obstacle
басьтыны	obtain
басьтэм	obtained
веранэз ӧвӧл	obvious
веранэз ӧвӧл	obviously
куддыръя	occasionally
кужмысь басьтон	occupation
ужась	occupied
кылдыны	occur
кылдэм	occurred
потыны	occurs
океан	ocean
коньывуон	october
паймымон	odd
луонлыкъёс	odds
со пӧлын	of
сюлэмо	of course
питыртӥз	off
мыскыллян	offensive
ӵектыны	offer
ӵектон	offer
офис	office
нимысьтыз	official
ӵемгес	often
Ах	Oh
о, зэм	oh really
мувӧй	oil
окей	ok
умой, мусое	ok dear
ярам ческыт	ok honey
умой луоз, мынам яратонэ	ok my love
окей	okay
окей пичие	okay baby
умой, дуно	okay dear
умой-а, мусо	okay honey
я мынам яратонэ	okay my love
пересь	old
вылтӥ	on
одӥг пол	once
одӥг	one
одӥг кылэн ноку но тырмыт ӧвӧл	one language is never enough
сугонлэсь	onion
онлайн	online
гинэ	only
усьтыны	open
операциос	operation
малпанъёс	opinion
быгатонлыкъёс	opportunities
луонлык	opportunity
ваче беринэ	opposite
оптимистичной	optimistic
опция	option
факультативной	optional
яке	or
оранжевый	orange
порядок	order
огшоры	ordinary
огазеяськон	organization
мынон сюресэз валан	orientation
кылдон	origin
зэмосэз	original
Оромо	Oromo
сирота	orphan
мукет	other
озьытэк	otherwise
кулэ	ought
милям	our
Милям миссиямы:коткинлы луонлык сётыны, котькытын улонэз валаны но астэ пӧртэм кылъёсын возьматыны	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Милям миссиямы:дунне сярысь ивортодэтэз радъяны но сое общедоступной но пайдаё карыны	Our mission: to organize the world's information and make it universally accessible and useful.
сьӧрын	out
йылпум	outcome
тӥрлык	outfit
кошкон	outgoing
потон	outlet
набросок	outline
кунгож	outside
тонкӧлан	outstanding
духовка	oven
кызьы ӵоже	over
тини отын	over there
огъя	overall
вормон	overcome
умой-умой малпан	overthinking
сöрем	overwhelmed
зӥбись	overwhelming
пунэманы	owe
душес	owl
возьыны	own
асъетаны	own
кузё	owner
ош	ox
темп	pace
биньылыны	pack
пакет	package
дун тырытэк	paid
вӧсь	pain
буямын	paint
роспись	painting
куз	pair
ӟаректыны	pale
пальма	palm
кастрюляе	pan
пандемия	pandemic
паника	panic
штани	pants
кагаз	paper
рай	paradise
валлингож	parallel
лэзем	parcel
кылкутонлэсь мозмытыны	pardon
анай-атайёс	parents
парк	park
попугай	parrot
петрушка	parsley
люкет	part
пыриськизы	participate
нимысьтыз	particular
тужгес ик	particularly
партнерез	partner
ӝытпукон	party
ветлыны	pass
ветлон	passage
кельтылыны	passed
ӟырдыт	passion
ӟырдыт	passionate
пассивной	passive
лушкемкыл	password
ортчем	past
пластырь	patch
сюрес	path
мискинь	pathetic
чидан	patience
пациент	patient
мурт	pattern
вис	pause
тротуар	pavement
оплата	pay
тырон	payment
дунне	peace
тупаса улон	peaceful
персиковой	peach
пик	peak
груша	pear
кӧжы	peas
аспӧртэмлыко	peculiar
кызь	pee
кызяны	pee
сузяны	peel
ровня	peer
огъёзо	peers
ручкаез	pen
карандаш	pencil
витёнын	pending
адями	people
перец	pepper
асъяны-валаны	perceive
шӧдон	perception
шектэм	perfect
быдэстыны	perform
выступление	performance
быгатэмзыя	perhaps
дыр	period
яланлыко	permanent
юаське	permission
лэзён	permit
мыр-мыр луон	perseverance
кыл вылаз сылӥсь	persistent
адями	person
ас	personal
личность	personality
мурт	personality
луонлык	perspective
зӥбиз	persuade
отступник	pervert
гурт	pet
фаза	phase
феномен	phenomenon
философи	philosophy
телефон	phone
туспуктэм	photo
фраза	phrase
физический	physical
быръе	pick
ӝутыны	pick up
суред	picture
шоро	piece
юдэсъёс	pieces
парсь	pig
дыдык	pigeon
свай	pile
миндэр	pillow
самолётэз валтыны	pilot
бышкалтыны	pin
ананас	pineapple
льӧль	pink
гоп	pit
гу	pit
звенолэн	pitch
жаль	pity
инты	place
интыос	places
сьӧдкыль	plague
ӵошал	plain
план	plan
ӵошкыт	plane
будосъёсын	plant
будосъёс	plants
тэркы	plate
платформа	platform
шудыны.	play
шудон	playing
усто	pleasant
пожалуйста	please
куанӥсько	pleased
майбыр	pleasure
верам тырон	pledge
трос	plenty
сюжетлэн	plot
штекерной	plug
сливапу	plum
водопроводчик	plumber
трос лыд	plural
подкаст	podcast
поэма	poem
кылбурет	poetry
точка	point
яд	poison
полиция	police
политика	policy
вазиськись	polite
кырсёмытон	pollution
тымет	pond
бассейн	pool
сюдон	poop
куанер	poor
поп	pop
тодмо	popular
калык	population
парсь сӥль	pork
ӝук	porridge
порт	port
положение	position
позитивной	positive
кузёяськыны	possess
люкетэ	possession
вормытъяськись	possessive
луымон	possible
почта пыр келян	post
почта	post
ужъёс	postpone
картофка	potato
потенциалэз	potential
йыгаськыны	pound
куанер улон	poverty
власть	power
кужымлыко	powerful
практической	practical
ужвыл	practical
практика	practice
ушъяськытэк	praise
розыгрыш	prank
вӧсяськыса	pray
дунолыко	precious
точной	precise
ӵапак	precisely
азьпала вераны	predict
азьбур сётыны	prefer
азьбур сётон	preference
кӧто	pregnant
малпанъёс	prejudice
корка	premises
премиум	premium
дасяськон	preparation
дасяськон	prepare
дасям	prepared
нимазь	preposition
гожтэт	presence
солэсь	present
презентация	presentation
утьыны	preserve
президент	president
зӥбыны	press
давление	pressure
шӧдымтэ улэ аналскыны	pretend
синмаськымон	pretty
утялтыны	prevent
азьвыл	previous
шедьтэм	prey
дун	price
вылтӥяськон	pride
вöсьбурчи	priest
основной	primary
валтӥсь	prime
принцесса	princess
принцип	principal
азьын	prior
приоритетъёсы	priority
пытсэт	prison
огнын улон	privacy
частной	private
капчиятон	privilege
приз	prize
кузьым	prize
вылды	probably
ужпумъёс понна	problem
процедура	procedure
азинтон	proceed
процесс	process
продукт	produce
лэсьтос	product
производство	production
профессия	profession
профессиональной	professional
профильной	profile
пайдазэ	profit
мур	profound
азинскемез	progress
проект	project
кӧто	prominent
ӵектэм	promise
юрттыны	promote
азьланьтон	promotion
шаплы	prompt
быгатонлык	prone
нимвоштосъёс	pronouns
веран	pronunciation
зэматон	proof
кулэезъя	proper
янгыштэк	properly
аслыкъёс	properties
асъетсэс	property
ӵектон	proposal
азьланяз	prospect
сяськаяськон	prosperity
сяськаясь	prosperous
утьыны	protect
вылтӥяськись	proud
доказать	prove
ванё карыны	provide
чаклам	provided
провинци	province
снабжение	provision
ныл-пи быдэ вуон	puberty
публика	public
кыскыны	pull
тыква	pumpkin
каун	pumpkin
дырыз дыръя	punctual
дышетскись	pupil
басьтон	purchase
чылкыт	pure
бусӥр	purple
пуктэм ужпум	purpose
уксё пуйы	purse
сьӧры уйиськыны	pursue
уйылон	pursuit
донганы	push
пуктыны	put
интые	qualification
качество	quality
лыдпусъёс	quantity
карантин	quarantine
куара	quarrel
копаськыны	quarrel
ньыльмос люкет	quarter
кечуа кыл	Quechua
королева	queen
йӧспӧртэм	queer
курон	query
юан	question
черодъёсты	queue
шаплыесь	quick
ӝог	quickly
каллен	quiet
шобрет	quilt
ужысь кошкыны	quit
тырмоз	quite
викторина	quiz
басьтэмкыл	quotation
текст	quote
котировкаос	quotes
кролик	rabbit
ӵошатскон	race
туж ян вожпотон	rage
зор	rain
ӝутэмын	raise
ӝутэм	raised
бызиз	ran
случайной	random
диапазонэз	range
чупырес	rapid
ӝог	rapidly
шер	rare
шер	rarely
пужы	rash
комак	rat
ставка	rate
ӝогес	rather
ваче кусып	ratio
шонер малпам	rational
зуркак	raw
вуиз	reach
басьтыны быгатэм	reached
реакци	reaction
лыдӟыны	read
лыдӟиськон	reading
дась	ready
туала	real
зэмзэлык	reality
валалляз	realize
лэсьтэм	realized
зэмзэ	really
мышпалыз	rear
мугез	reason
йырвизьмо	reasonable
чортыны	recall
вӧсь басьтон	receipt
басьтыны	receive
басьтэм	received
недавний	recent
берпуметӥяз	recently
пумитан	reception
рецептъёс	recipe
визьзэ ыштэ	reckless
тодман	recognition
тодмаллязы	recognize
дэмламын	recommend
ӵектыны	recommended
гожъян	record
сайкан	recover
выльдон	recovery
шонерсэрег	rectangle
горд	red
басьтон	redeem
янгышысь потон	redemption
пичиятыны	reduce
мултэс	redundant
келяны	refer
чӧлсконъёс	reference
возьматыны	reflect
малпаськон	reflection
возиськыны	refrain
йӧкана	refrigerator
возмещение	refund
отказ	refuse
куронэз палэнтон	refused
гажан	regard
кусыпын	regarding
эриктэмлык	regardless
ӟечкылан	regards
регион	region
регистрация	register
жаляса	regret
эсэпрадо	regular
регулярно	regularly
куронэз палэнтыны	reject
радъяськытыны	relate
тупась	related
кусыпъёс	relationship
ӵыжы-выжы	relative
относительной	relative
ӵыжы-выжыос	relatives
лябӟытӥськод	relax
выпуск	release
лэзем	released
поттэм	released
лэсясь	relevant
осконо	reliable
капчи	relief
капчиятыны	relieve
мозмытэм	relieved
осконзэ	religion
инмарлы оскись	religious
мылкыдтэк	reluctant
оскисько	rely
кыльыны	remain
кылем	remaining
вунэтонтэм	remarkable
суд утиськон амалъёс	remedy
тодын возьыны	remember
тодэ вайытыны	remind
тодэ вайытон	reminder
палэнтыны	remote
палэнтыны	remove
лэсьтыны услугаос	render
арендае	rent
ремонт	repair
