i	a
ha ka jaka	instead
ha ka jaka jong	instead of
jingbthah	instructions
ka tiar	instrument
jingkrenbein	insult
riewstad	intellectual
jingstad	intelligence
jingstad	intelligent
mut	intend
la thmu	intended
jingthmu	intention
ka sut	interest
don jingmut	interested
pynwit	interfere
ba hapdeng	intermediate
ba shapoh	internal
nongpynkylla ktien	interpreter
knieh ktien	interrupt
ba iajan eh	intimate
pynithuh	introduce
jingpynithuh	introduction
shem	invent
wad bniah	investigate
jingkhot sngewbha	invitation
khot sngewbha	invite
don kti	involved
istri	iron
ka nar	iron
ka long	is
dew lynnong	island
pynmih	issue
ka long	it is
ju long	it was
ka long	it's
ka biang	it's ok
Ka biang	It's okay
jong	its
Nga	I’m
jaket	jacket
iing bindi	jail
Kyllalyngkot	January
tyngam	jaw
bishni	jealous
jynrat	jerk
jingdeng	jewelry
ka kam	job
mareh kai	jogging
iasnoh lang	join
khana biria	joke
nongpathai khubor	journalist
jingiaidlynti	journey
jingkmen	joy
bishar	judge
nongbishar	judge
um soh	juice
naitung	july
kynthih	jump
jylliew	june
shu leih beit	just do it
jingbishar	justice
pynksan	justify
buh	keep
ba la buh	kept
u ketli	kettle
shabi	key
khasi	Khasi
kynjat	kick
khynnah	kid
kren danda	kidding
khyllai	kidney
ki khynnah	kids
pyniap	kill
babha	kind
bha	kind
sngewbha	kindly
jinglehisnei	kindness
syiem	king
doh	kiss
iing shet-ja	kitchen
kot kudi	kite
khun miaw	kitten
khohsiew	knee
lah tip	knew
tari	knife
tip	know
jingstad	knowledge
ba la tip	known
jingtrei	labor
jingtrei	labour
jingduna	lack
jingkieng	ladder
kong	lady
nan	lake
langbrot	lamb
dkoh	lame
sharak	lamp
hiar	land
jaka	land
jait ktien	language
jingthum	lap
ba heh	large
khadduh	last
jait	last name
slem	late
dang shen	lately
hadien	later
bathymmai tam	latest
ba kadien	latter
rkhie	laugh
rkhei	laughing
jingrkhie	laughter
jain jaboh	laundry
ain	law
madan phlang	lawn
muktiar	lawyer
jaituh	lazy
ialam	lead
nongialam	leader
sla	leaf
pei	leak
rynsied	leap
nang	learn
jinghikai	learning
ai wai	lease
duna duh	least
snieh	leather
ieh	leave
shuti	leave
ieh	leaves
la ialam	led
kadiang	left
ka kjat	leg
pateng	legacy
hapoh ka ain	legal
khana prurskam	legend
hapoh ka ain	legit
jingshongkai	leisure
ai kylliang	lend
jingjrong	length
duna	less
jinghikai	lesson
shah	let
shithi	letter
salad	lettuce
jliah	lick
shukor	lie
jingshukor	lie
jingshukor	lies
jingim	life
kyntiew	lift
thang	light
bashai	light
jingshai	light
leilieh	lightning
sngewtynnat	like
kumjuh	likewise
line	line
jingbteng	link
u sing	lion
long um	liquid
sngap	listen
sngap	listening
bret jakhlia	litter
khyndiat	little
im	live
baim	live
dohnud	liver
ki jingim	lives
baim	living
kamra shongkai	living room
niang bshiah	lizard
jingkit	load
jingaikylliang	loan
ka jaka	location
tala	lock
khangdam	lockdown
dieng tylli	log
rangli	lonely
jrong	long
khlem iakynduh shuh lah slem	long time no see
peit	look
jingpeit	look
kyllain	loop
pynkylluid	loose
jingkylluid	loose
trai	lord
pynjah	lose
jingduh	loss
jah	lost
bun	lot
jam	loud
kamra shongkai	lounge
jingieid	love
ieid	love
ieid ia phi	love you
duna	low
ba kham harum	lower
ba iaineh	loyal
nusip	luck
bha nusip	lucky
ki tum ki tam	luggage
jingat	lump
ja sngi	lunch
ki tor	lungs
ba thoh	lying
mashin	machine
khleh beij	mad
kong	madam
ba la thaa	made
kot pule	magazine
nongtrei	maid
bakongsan tam	main
pynneh	maintain
jingpynneh	maintenance
jingkhraw	major
bakhraw	major
bun balang	majority
shna	make
shynrang	male
u briew	man
pynshalai	manipulate
rukom long	manner
bun ngut	many
rud	margin
iew	market
jingshongkurim	marriage
ba lah shong kurim	married
jingtap khmat	mask
baheh bha	massive
trai	master
jingiadei	match
pyniadei	match
paralok	mate
jingkhein	math
jingsan	maturity
lehse	maybe
ia nga	me
nga ruh	me too
ka jingbam	meal
mut	mean
sniew jinglong	mean
ka jingmut	meaning
ba la mut	meant
katba	meanwhile
thew	measure
ki lad	measures
ka doh	meat
dawai	medicine
ba pdeng	medium
iakynduh	meet
jingialang	meeting
umphniang	melt
ki jingkynmaw	memories
jingkynmaw	memory
la ong	mentioned
nongkhaii	merchant
jingmap	mercy
tang	merely
khristmas basuk	merry christmas
khubor	message
ka nar	metal
rukom leh	method
ki khnai	mice
pdeng	middle
shiteng meit	midnight
bajem	mild
mawmer	milestone
dud	milk
million	million
jingmut jingpyrkhat	mind
sngew	mind
jong nga	mine
tih	mine
iakhleh	mingle
barit	minor
minit	minute
ki minit	minutes
kam phylla	miracle
iit khmih	mirror
jingsangsot	misery
duh ei	miss
tmang ia phi	miss you
lah jan	missing
ka mission	mission
lyoh khyndew	mist
jingbakla	mistake
ka mobile	mobile
bein	mock
jong na juk bamynta	modern
don akor	modest
ba sngem	moist
jingsngem	moisture
knai tynjit	mole
mei	mom
khyllipmat	moment
sngi nyngkong	monday
ka pisa	money
peitngor	monitor
shrieh	monkey
bnai	month
u bnai	moon
shuh shuh	more
nalor kata	moreover
mynstep	morning
binda	mortgage
bun tam	most
kham bun	mostly
ka kmie	mother
jingiaid	motion
jingpynshlur	motivation
lum	mountain
khnai	mouse
shyntur	mouth
khih	move
jingkhih	movement
phlim	movie
kong	mrs
bun	much
ktieh	mud
mok	mug
ksah	muscle
ka museum	museum
tit	mushroom
ka put ka tem	music
bym lait kren	mute
ba la iamynjur lang	mutual
jong nga	my
paralok jong nga	my friend
baied jong nga	my love
ka kyrteng jong nga ka long	my name is
ma nga	myself
khana puruskam	myth
prek	nail
shida	naive
kyrteng	name
khim	narrow
national	national
trai shnong	native
meiramew	nature
kynroi prie	nausea
hajan	near
hajan	nearby
lah jan	nearly
badonkam	necessary
ryndang	neck
kpieng	necklace
donkam	need
jingdonkam	need
shah ieh	neglect
paramarjan	neighbor
dong	neighborhood
u pyrsa	nephew
skum	nest
jar	net
bym iashah liang	neutral
lano lano	never
wat ju khein duh	never give up
ym lei lei	never mind
ym lei lei	nevermind
wat la katta ruh	nevertheless
bathymmai	new
khubor	news
hajan	next to
bha	nice
sngewtynnat ban iakynduh ia phi	nice to meet you
ka pyrsa	niece
meit	night
jingruma	nightmare
khydai	nine
khatkhyndai	nineteen
khyndaiphew	ninety
Em	No
ym lei lei	no problem
ym don lad	no way
mano mano ruh em	nobody
jingsawa	noise
ba sawa	noisy
shiteng sngi	noon
lymne	nor
shatei	north
khmut	nose
jingkynmaw batmang	nostalgic
Ym dei mynta	Not now
pawnam	noted
ei ei	nothing
notis	notice
iohi	noticed
kot pule	novel
naiwieng	november
mynta	now
mynta ki por	nowadays
nout	null
ym don jingsngew	numb
nombar	number
nos	nurse
jingbam ba tei	nutrition
jingsmai	oath
jingsngaid	obesity
ngeit	obey
thong	objective
kah dum	obscure
jingpeit	observation
peit pyrman	observe
diengpynkiang	obstacle
ioh	obtain
ba la ioh	obtained
tyngkhat	occasionally
jingtrei	occupation
ba don briew	occupied
jia	occur
ba la jia	occurred
jia	occurs
duriaw	ocean
risaw	october
jong	of
lip	off
tyrwa	offer
jingtyrwa	offer
ophis	office
man ka por	often
O	Oh
o shisha	oh really
umphniang	oil
to	ok
to baieid	ok honey
to baieid jong nga	ok my love
to	okay
to baieid	okay honey
hooid baieid jong nga	okay my love
barim	old
halor	on
shi sien	once
iwei	one
kawei ka jaitktien kan ym long kaba lah biang	one language is never enough
piat	onion
online	online
tang	only
plie	open
jingpuid	operation
ki lad	opportunities
ka lad	opportunity
pyrshah	opposite
lane	or
rong soh niamtra	orange
soh niamtra	orange
hukum	order
seng	organization
jingphai	orientation
tynrai	origin
ba long tynrai	original
khun swet	orphan
kawei	other
lymda kumta	otherwise
jong ngi	our
Ka jingthmu jong ngi: ban pynlah ia baroh, ha baroh ki jaka ban sngewthuh ia ka pyrthei bad ban lah ban batai shaphang jong ki.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Ka jingthmu jong ngi: ban pynbit pynbiang ka jingtip jong ka pyrthei bad ban pynlong ia ka kaba lah ban poi sha baroh bad kaba myntoi ia baroh	Our mission: to organize the world's information and make it universally accessible and useful.
jingmih	outcome
riam	outfit
pariah	outgoing
shabar	outside
lah kut	over
hangtei	over there
kyllum	overall
ioh jop	overcome
shah	owe
dkhoh	owl
long trai	own
trai	owner
masi lur	ox
jingstet	pace
ba la siew	paid
jingpang	pain
niad rong	paint
jingdro	painting
shijur	pair
thangiong	pale
sla kti	palm
karai	pan
ka khlam	pandemic
huri hura	panic
patlun	pants
ka kot	paper
bneng	paradise
map	pardon
ki kmie ki kpa	parents
tuta	parrot
shibynta	part
shim bynta	participate
lait	pass
lynti iaid	passage
lah lait	passed
rhem mysiem	passionate
ka password	password
ba la leit	past
syrdep	patch
ka lynti	path
isangsot	pathetic
jingiaishah	patience
nongpang	patient
baiaishah	patient
sangeh shipor	pause
jaka iaid	pavement
siew	pay
jingsiew	payment
jingsuk	peace
basuk	peaceful
soh phareng	peach
kliar	peak
soh phoh	pear
mator	peas
bakhyllah	peculiar
pynjhieh	pee
ka jingpynjhieh	pee
khoh snem	peel
ba iadei kyrdan	peer
khulom	pen
led	pencil
ba dang sah	pending
ki briew	people
soh marit	pepper
imat	perceive
ba janai	perfect
leh	perform
lehse	perhaps
ba iaineh	permanent
jingmynjur	permission
ai jingmynjur	permit
jingminot	perseverance
briew	person
shimet	personal
ka main	personality
jingri	pet
jingjia	phenomenon
ka phone	phone
dur	photo
jingong	phrase
jied	pick
shaw	pick up
ka dur	picture
dkhot	piece
ki lyngkhot	pieces
sniang	pig
paro	pigeon
kynton	pile
sangkhlieh	pillow
nongniah	pilot
pin	pin
soh trun	pineapple
babyrsaw	pink
thliew	pit
isnei	pity
jaka	place
buh	place
ki jaka	places
khlam	plague
ba madan	plain
plan	plan
thung	plant
jingthung	plants
pliang	plate
rynsan	platform
lehkai	play
drama	play
ialehkai	playing
pynsngewbha	please
sngewbha	please
sngewbha	pleased
jingsngewbha	pleasure
kular	pledge
pahuh	plenty
set	plug
soh plom	plum
nongshna nar kor	plumber
poitri	poem
poitri	poetry
kdew	point
ka bih	poison
pulit	police
polisi	policy
don akor	polite
polusion	pollution
pung	pond
ka pung	pool
eit	poop
ba duk	poor
jingbunpaid	population
doh sniang	pork
don	possess
jingdon	possession
pud	postpone
phan	potato
jingduk	poverty
ka bor	power
ba donbor	powerful
jinglehnohei	practice
leh	practice
iaroh	praise
duwai	pray
kordor	precious
thik	precise
thik	precisely
iathuh lypa	predict
kham mon	prefer
jingmon	preference
ar met	pregnant
phyllai	premises
jingpynkhreh	preparation
pynkhreh	prepare
ba la pynkhreh	prepared
jingdon ryngkat	presence
jingaisngewbha	present
jingdon	present
pynneh	preserve
u presiden	president
nion	press
jingnion	press
lehmynleh	pretend
bhabriew	pretty
iada	prevent
dor	price
jingmeng	pride
lyngdoh	priest
ba hakhmat duh	prime
ka khun syiem	princess
prinsipal	principal
shwa	prior
patok	prison
shimet	private
khusnam	prize
lehse	probably
jingeh	problem
iaid shaphrang	proceed
pynmih	produce
jingmih	product
jingpynmih	production
ka jingtrei	profession
jingiohnong	profit
kiew shaphrang	progress
jingkiew shaphrang	progress
projek	project
pawkhmat	prominent
jingkular	promise
kular	promise
pynkiew	promote
jingkiew kam	promotion
bakloi	prompt
rukom kynnoh ktien	pronunciation
sabut	proof
ki jaka puta	properties
jaka puta	property
proposal	proposal
jingroi	prosperity
ba roi	prosperous
iada	protect
meng	proud
pynshisha	prove
pynbiang	provide
hima	province
jingsdang samla	puberty
pailang	public
tan	pull
pathaw	pumpkin
ba biang por	punctual
khynnah pule	pupil
theid	purchase
bakhuid	pure
saw bthuh	purple
jingthmu	purpose
pla	purse
beh thong	pursue
jingbehthong	pursuit
niat	push
buh	put
kyrdsan pule	qualification
jingbun	quantity
set slung	quarantine
iamai	quarrel
jingiamai	quarrel
pawa	quarter
mahadei	queen
khyllah	queer
jingkylli	query
jingkylli	question
stet	quick
kloi kloi	quickly
jar jar	quiet
rajai	quilt
ieh	quit
jingkyntip	quiz
ki jingong	quotes
rabbit	rabbit
jingbitar	rage
u slap	rain
kyntiew	raise
pynsan	raised
la mareh	ran
ba stet	rapid
stet stet	rapidly
niar	rare
kham niar	rarely
khaid	rash
khnai	rat
ka dor	rate
ba khlem shet	raw
poi	reach
lah poi	reached
pule	read
jingpule	reading
ba la pynkhreh	ready
bashisha	real
ka jingshisha	reality
poi pyrkhat	realize
kyndit bynriew	realized
dashisha	really
shadien	rear
daw	reason
kynmaw	recall
jiingioh	receipt
ioh pdiang	receive
la ioh	received
dang shen	recent
dang shen	recently
jingpdiang sngewbha	reception
ki jingkdew ban shet	recipe
bym phikir	reckless
jingithuh	recognition
ithuh	recognize
rekomen	recommend
ba la rekomen	recommended
dulir	record
thoh	record
ioh biang	recover
jingioh biang	recovery
sawdong	rectangle
saw	red
pynkhie biang	redeem
jingpynim	redemption
pynduna	reduce
kiar	refrain
ka fridge	refrigerator
pynphai	refund
len	refuse
len	refused
shaphang	regarding
kam pher	regardless
jingai khublei	regards
thain	region
babe	regret
tista	regular
tista	regularly
kyntait	reject
pyniadei	relate
iadei	related
ka jingiadei	relationship
ba haiing	relative
ba ha iing	relative
ba haiing	relatives
shongthait	relax
pyllait	release
jinglait	release
ba lah pyllait	released
ba lah ban shaniah	reliable
jingtngen	relief
pyllait	relieve
niam	religion
riewblei	religious
artatien	reluctant
shaniah	rely
sahkut	remain
ba sah	remaining
ka dawai	remedy
kynmaw	remember
pynkynmaw	remind
jingpynkynmaw	reminder
bajngai	remote
weng	remove
wai	rent
maramot	repair
ong biang	repeat
bujli	replace
jingjubab	reply
jubab	reply
pyntip	report
Kaiphod	report
mih khmat	represent
ka nam	reputation
jingkyrpad	request
kyrpad	request
donkam	require
badonkam	required
pyllait im	rescue
jingwad bniah	research
iasyriem	resemble
jingpihuin	resentment
jingbhah	reservation
bhah	reserve
nongsah	resident
jingsatar	resilience
ba eh	resilient
pyneh	resist
jingpyneh	resistance
kut jingmut	resolve
burom	respect
jingburom	respect
jubab	respond
jubab	response
jingbahkhlieh	responsibility
bahkhlieh	responsible
shongthait	rest
jaka bam	restaurant
pynbha biang	restore
buh pud	restrict
ka resul	result
ki resul	results
sdang biang	resume
buh	retain
jingbuh	retention
ba lah shongthait	retired
kylla dien	retreat
wanrah biang	retrieve
wan phai	return
pynpaw	reveal
ba la pynpaw	revealed
jingleh markylliang	revenge
jingioh	revenue
kylla dien	reverse
peit biang	review
jingpeit biang	review
jingpule biang	revision
khusnam	reward
shyieng krung	rib
u khaw	rice
riewspah	rich
badei	right
kamon	right
mynta hi	right now
eh tnen	rigid
sati	ring
phler	rinse
jingkulmar	riot
tar	rip
jingtar	rip
ba lah ih	ripe
jingkiew	rise
kiew	rise
nongialeh pyrshah	rival
ka wah	river
surok	road
khlain	robust
maw siang	rock
rod	rod
ka bynta	role
tyllun	roll
tnum	roof
kamra	room
tynrai	root
tyllai	rope
ba la pyut	rotten
ba khain	rough
pyllun	round
lynti	route
kyrjaw	rub
jri	rubber
jaboh jabain	rubbish
dari	rug
pynjulor	ruin
synshar	rule
skale	ruler
ki rul	rules
mareh	run
jingmareh	running
thain nongkyndong	rural
pynkyrkieh	rush
jingkyrkieh	rush
borni	sack
bakyntang	sacred
len lade	sacrifice
shngain	safe
jinglongshngain	safety
phukir	sage
la ong	said
namar	sake
tulop	salary
jingdie	sale
ka mluh	salt
kajuh	same
Kumjuh hangne	Same here
shyiap	sand
kren pharshi	sarcastic
shong	sat
jinghun	satisfaction
lah hun	satisfied
pynhun	satisfy
ba pynhun	satisfying
Sngi Saitjain	Saturday
kaikhlaw	savage
kynshew	save
la iohi	saw
ong	say
tarajur	scale
jyrsieh	scam
dak mong	scar
kyrduh	scarce
sheptieng	scared
tapmoh	scarf
itieng	scary
saphret	scattered
jingew	scent
skul	school
ka siens	science
riewstad siens	scientist
ki riewstad saians	scientists
khanshi	scissors
kynheid	scold
trud	scratch
lynniar	scream
duriaw	sea
muhor	seal
wad	search
aiom	season
jaka shong	seat
ba-ar	second
ba buhrieh	secret
bynta	section
shngain	secure
jinglongshngain	security
iohi	see
sa iakynduh pat	see you
ngin sa iakynduh shibit	see you later
sa iakynduh kloi	see you soon
sa iakynduh lashai	see you tomorrow
symbai	seed
wad	seek
I kum	seems
ba iohi	seen
kem	seize
tyngkhat	seldom
jied	select
ma nga	self
jingsumar da lade	self healing
die	sell
phah	send
phah ka dur jong phi sha nga	send me your picture
ba kham heh	senior
beit jingmut	sensible
la phah	sent
sentens	sentence
ki sentens	sentences
pyniakhlad	separate
nailur	september
shakri	serve
pynbiang	set up
ba sep	setting
buhai shnong	settle
hynniew	seven
khathynniew	seventeen
hynniewphew	seventy
bun tylli	several
ba jur	severe
suh	sew
haba da sngi	shade
syrngiew	shadow
pynkhih	shake
yn sa	shall
ba jyndong	shallow
jinglehrain	shame
dur	shape
sam	share
ba nep	sharp
ma ka	she
ka don	she has
ka long	she is
langbrot	sheep
jaka rieh	shelter
stieh	shield
pynkynriah	shift
phyrnai	shine
jhad	ship
sopti	shirt
juti	shoes
siat	shoot
dukan	shop
jingleit iew	shopping
rud duriaw	shore
lyngkot	short
jingduna	shortage
siat	shot
jingsiat	shot
dei ban	should
tyrpeng	shoulder
hylla	shout
ka tamasa	show
pyni	show
pyni ia nga	show me
slap	shower
shymprong	shrimp
rit	shrink
khang	shut
sngap jar	shut up
lehrain	shy
ba shipara	sibling
hynmen para	siblings
pang	sick
ka kiar	side
jingimat	sight
jingleit jngohkai	sightseeing
jingsoi	signature
jingjar-jar	silence
jar jar	silent
ryndia	silk
rupa	silver
iasyriem	similar
basuk	simple
ha kajuh ka por	simultaneously
naduh	since
jingmut shisha	sincerely
rwai	sing
nongrwai	singer
marwei	single
ngam	sink
ka parakynsi	sister in law
shong	sit
jaka	site
ka jinglong	situation
hynriew	six
khathynriew	sixteen
hynriewphew	sixty
jingheh	size
jingtbit	skill
jingtbit	skills
sniehdoh	skin
raikhoh	skinny
skad	skirt
suin bneng	sky
mraw	slave
thiah	sleep
ba ioh thiah	sleeping
sam thiah	sleepy
kti sopti	sleeve
syntuid	slide
malu mala	slightly
raikhoh	slim
btuit	slip
ranad	slope
suki	slow
suki suki	slowly
barit	small
stad	smart
jingew	smell
jingphuh samrkhie	smile
phuh samrkhie	smile
tdem	smoke
jlih	smooth
jingbam kai	snack
bsein	snake
bthat	snap
ior	snow
te	so
iskuin sat	so cute
haduh mynta	so far
pdem	soak
sabon	soap
pyngngad	sober
phutbol	soccer
jaitbynriew	society
ki muja	socks
bajem	soft
software	software
khyndew	soil
lah die	sold
lah dei lut	sold out
shipai	soldier
ba marwei	sole
baskhem	solid
ka lad	solution
katto katne	some
mano re mano	somebody
kumno re kumno	somehow
mano re mano	someone
kaei re kaei	something
tyngkhat	sometimes
jingrwai	song
shen shen	soon
set rundang	sore throat
jingsngewsih	sorrow
Map	Sorry
ba la wad	sought
kynja mynsiem	soul
jingsawa	sound
syrwa	soup
jew	sour
tyllong	source
Shathie	south
jaka bathylli	space
jingiar	span
ka ktien Spain	Spanish
pyllait im	spare
kren	speak
bakyrpang	special
jingkren	speech
bym lait kren	speechless
jingstet	speed
pynlut	spend
la pynlut	spent
ba don musli musla	spicy
pynshad pyllun	spin
palong	spinach
mynsiem	spirit
bynthiew	spit
phiah	split
ba phiah	split
pynsniew	spoil
ba lah sniew	spoiled
hangto hi	spontaneous
shamoit	spoon
lok	spouse
pynsaphriang	spread
sawdong ryntih	square
khniot	squeeze
risang	squirrel
dung	stab
sem kulai	stable
rynsan	stage
jingthoh dak	stain
mawkyndon	stairs
iuh	stamp
ieng	stand
jaka ieng	stand
khlur	star
sdang	start
ba la sdang	started
ba thngan	starving
ong	state
jinglong	state
mot	statue
kyrdan	status
sah	stay
long shngain	stay safe
tuh	steal
jynhaw	steam
ka nar	steel
ba thiep	steep
mawkyndon	step
dieng lyngkhot	stick
ba eh	stiff
kynthtah	sting
khapnap	stingy
king	stir
ba shu tuh	stolen
kpoh	stomach
maw	stone
la ieng	stood
sangeh	stop
dukan	store
eriong	storm
jingiathuh khana	story
stove	stove
babeit	straight
shi sur shi dur	straightforward
phylla	strange
nongwei	stranger
stai	straw
wah duid	stream
surok	street
bor	strength
jingshitom jingmut	stress
pynjlan	stretch
pyrkhing	strict
tyllai	string
loit	strip
pyrshang tyngeh	strive
ba khlain	strong
ba la tied	struck
jingiakhih	struggle
iakhih	struggle
ba iakhuh	struggling
mynthi	stubborn
sahkut	stuck
khynnah pule	student
jingpule	study
pule	study
jingpule	studying
beij	stupid
sobjek	subject
jingai khublei	submission
ai	submit
ioh jingjop	succeed
jingjop	success
bajop	successful
kum	such as
kjit	suck
kynsan	sudden
kynsan	suddenly
shem shitom	suffer
jingshem shitom	suffering
dap biang	sufficient
shini	sugar
ai jingmut	suggest
jingai jingmut	suggestion
ba iahap	suitable
synduk	suitcase
jingkhein	sum
lyiur	summer
ka kliar	summit
ka sngi	sun
sngi u trai	sunday
shai sngi	sunny
sep sngi	sunset
jingshai ka sngi	sunshine
ba long heh	superior
nongpeit	supervisor
ja meit	supper
jingkyrshan	support
kyrshan	support
tharai	supposed
thikna	sure
jingpuid	surgery
jait	surname
jingkyndit	surprise
kyndit	surprised
aiti	surrender
ba ker sawdong	surrounding
lait im	survive
suba	suspect
jingsuba	suspect
sospon	suspended
suba	suspicious
iaineh	sustain
jinglah pynneh	sustainability
nguid	swallow
iakylliang	swap
kren sih	swear
syep	sweat
swetar	sweater
sar	sweep
bathiang	sweet
baieid	sweetheart
at	swell
jingsiep	swelling
jngi	swim
ba jngi	swimming
siep	swollen
waitlam	sword
shin	symbol
jingsngewlem	sympathy
ki dak jingpang	symptoms
ka meij	table
tdong	tail
shim	take
shim noh	take away
da sumar	take care
her	take off
lah shim	taken
kren	talk
jingkren	talk
bun ktien	talkative
ba jrong	tall
nar kor	tap
thew	target
ka thong	target
ka kam	task
jingmad	taste
mad	taste
ba bang	tasty
la hikai	taught
sha	tea
hikai	teach
nonghikai	teacher
kynhun	team
ummat	tears
pyndomkai	tease
ka technology	technology
bniat	teeth
iathuh	tell
iathuh ia nga	tell me
jingdomriang	temper
jaka mane blei	temple
ba shipor	temporary
shiphew	ten
shiphew hajar	ten thousand
nongshongwai	tenant
jingshitom jingmut	tension
iing jar	tent
bym thikna	tentative
thain	territory
jingtynjuh	test
tynjuh	test
jingthoh	text
ai khublei	thank
khublei	thank you
Khublei ia ka jingiaishah jong phi katba ngi dang wad jingtip ia ka shipment jong phi	Thank you for your patience while we investigate shipment
khublei shibun	thank you so much
khublei shibun eh	thank you very much
khublei	thanks
Khublei ba phi pyndonkam ka app jong ngi	Thanks for using our app
itei	that
kata ka long	that is
ka bha	that's good
jingtuh	theft
jong ki	their
ma ki	them
phang pdeng	theme
ma ki	themselves
nangta	then
hangtei	there
kine ki long	there are
ka don	there is
namar kata	therefore
kine	these
ki	they
ki long	they are
rben	thick
nongtuh	thief
lbong	thigh
stang	thin
kaei kaei	thing
pyrkhat	think
ba lai	third
sliang	thirsty
khatlai	thirteen
laiphew	thirty
ine	this
kane ka long	this is
babniah	thorough
kitei	those
hynrei	though
jingpyrkhat	thought
pyrkhat	thought
ki jingpyrkhat	thoughts
shi hajar	thousand
ksai	thread
ka jingbyrngem	threat
byrngem	threaten
lai	three
khyrdop	threshold
roi	thrive
pdot	throat
lyngba	through
baroh shi lynter	throughout
bret	throw
kti kmie	thumb
pyrthat	thunder
Sngi palei	Thursday
kumta	thus
ka jingteh	tie
the	tie
khla	tiger
pyrkhing	tight
ka por	time
tieng pyut	timid
barit	tiny
man thait	tire
thait	tired
sha	to
ban long	to be
mynta ka sngi	today
khynnah rit	toddler
shympriah kjat	toes
ryngkat	together
jaka leit bar	toilet
la ong	told
jiingiaishah	tolerance
shah	tolerate
sohsaw	tomato
lashai	tomorrow
thylliej	tongue
mynta ka meit	tonight
ruh	too
la shim	took
tiar	tool
ki tiar	tools
bniat	tooth
hajrong	top
phang	topic
ba lah jot	torn
pynshitom	torture
kyllum	total
kteh	touch
jwad	tough
tour	tour
shaphang	toward
shaphang	towards
jain niad	towel
nongrit	town
ba long bih	toxic
jingkhaii	trade
khaii	trade
dustur	tradition
sahdien	trail
hikai	train
jinghikai kyrpang	training
jinglong khynnah	trait
pynkynriah	transfer
pynkylla ktien	translate
ba iohi lyngba	transparent
jingriam	trap
jaboh	trash
jingmynsaw	trauma
leit jingleit	travel
spah ba la tep	treasure
leh	treat
jingsumar	treatment
dieng	tree
jingpyrshang	trial
buit	trick
la pyrshang	tried
khap ryntih	trim
jingeh	trouble
patlun	trousers
trok	truck
BASHISHA	true
luta	trunk
jingshaniah	trust
shaniah	trust
ka hok	truth
pyrshang	try
tyndong	tube
Sngi Baar	Tuesday
jinghikai	tuition
han shoina	turkey
shynrai	turmeric
phai	turn
dkar	turtle
nonghikai	tutor
khatar	twelve
arphew	twenty
arphew wei	twenty-one
arsien	twice
kyllain	twist
ar	two
sniewdur	ugly
bakhatduh	ultimate
shatri	umbrella
ym lah	unable
mama	uncle
bym tip briew	unconscious
ha trai	under
ha trai	underneath
sngewthuh	understand
ba la sngewthuh	understood
bakyrpang	unique
skul bah	university
bym ithuh	unknown
lymda	unless
haduh	until
phylla	unusual
shajrong	up
ka shong ha phi	up to you
pynthymmai	update
jingpynthymmai	update
jingpynkiew kyrdan	upgrade
pynkiew kyrdan	upgrade
thain sor	urban
kyntu	urge
jingkwah	urge
bakyrkieh	urgent
ma ngi	us
pyndonkam	use
jingpyndonkam	use
ba la pyndonkam	used
bamyntoi	useful
bym lerkam	useless
bunsien	usually
jingmyntoi	utility
jingleit shuti	vacation
tika	vaccination
tika	vaccine
bym shai	vague
them	valley
bashongdor	valuable
pynshongdor	value
ka jingshongdor	value
bun jait	various
pher	vary
khiew synriew	vase
ba iar	vast
u jhur	vegetable
ki khur	vegetables
ka kali	vehicle
nongdie	vendor
bih	venom
jaka	venue
pynshisha	verify
da pynieng	vertical
khiew	vessel
lyngba	via
dusmon	vicious
ka video	video
nongkyndong	village
riewsniew	villain
syrka	vinegar
ba lah rim	vintage
jingum snam	violence
bashyrkhei	violent
soti	virgin
ka jingbha	virtue
jingiohi	vision
leit jngoh	visit
jingleit jngoh	visit
bashai	vivid
ki ktien	vocabulary
ka sur	voice
jingsawa	volume
ka prie	vomit
prie	vomit
bainong	wage
bainong	wages
syngkai	waist
ap	wait
nongsam bam	waiter
dang ap	waiting
kyndit bynriew	wake
khie noh	wake up
iaid	walk
jingiaid	walk
iaid	walking
kynroh	wall
pdok	wallet
shang	wander
kwah	want
ba la kwah	wanted
thma	war
ki jain ki nep	wardrobe
kudam	warehouse
pynsyaid	warm
jingsyaid	warm
maham	warn
jingmaham	warning
shipai	warrior
la long	was
sait	wash
jinglehnohei	waste
pynlehnohei	waste
peit	watch
ka um	water
kaweh	wave
lad	way
ngi	we
ngi long	we are
ngi lah	we can
ba tlot	weak
jingtlot bor	weakness
spah	wealth
riewspah	wealthy
phong	wear
ba phong	wearing
suin bneng	weather
jingshong kurim	wedding
Sngi Balang	Wednesday
nuit	weed
taiew	week
kut taiew	weekend
jingkhia	weight
khyllah	weird
pdiang sngewbha	welcome
jingbha	welfare
Khiah	Well
la leit	went
lah juh	were
sepngi	west
jhieh	wet
kaei	what
phi patde	what about you
phi leh aiu	what are you doing
phi leh aiu mynta	what are you doing now
phi leh aiu ha kane ka por	what are you doing right now
phi trei kam aiu	what do you do
phi trei kano ka kam	what do you do for a living
phi mut kumno	what do you mean
phi kwa aiu	what do you want
jia aiu	what happened
kaei ka	what is
kaei kane	what is this
