abandon	ɗallugo
hair	gaasa
half	reeta
hall	suudu
hand	jungo
handle	memmugo
handsome	wodi
hang	ɓillugo
hang out	tarugo
happened	wangi
happen	sallugo
happiness	seeyo
happy birthday	julde dayinki salama be jam
happy birthday to you	julde dayinki salla jam
happy new year	hittande keese salla jam
happy	seeyi
hardly	be caaɗenga
hardly ever	caɗɗan kam
hard	sati
harmful	masibu
harm	nawnugo
harmony	wamorde
harsh	be sembe
harvest	cooɗol
has	mari
hate	wanyugo
have a good day	allah hokken jam
have a nice day	allah seyne
have breakfast	mari nyamdu fajiri
have fun	fijirugo
have	mari
have you eaten	a nyammi na
having	heɓɓugo
hazard	saɗirma
haze	boojel
headache	pabooje
head	hoore
healing	hurgol
heal	nyambitugo
health	jam baandu
healthy	jam
heard	nani
hear	nanugo
heart	bernde
heat	guldam
heaven	asama
heavy	teddi
hectic	tampan
he has	o mari
height	darnde
heir	nyamugo suudu baaba
he is	o lati
heist	heist
he	kanko
held	joggi
hell	fursina
hello dear	sanu gidado
hello how are you doing	sanu a mbali jam na
hello how are you	sanu a mballi jam
Hello	Sanu
helmet	hifnere
helpful	wallende
help	wallende
hence	nden
herd	bali
here	ha do
heritage	marde
her	mako
hesitate	mijugo
Hey	Kay
hidden	suɗɗi
hide	suddugo
hierarchy	jagorɗo
high	do
highlight	waanginol
hi how are you	sanu a jammu na
hike	wancugo
hiking	wankuru do hooosere
hilarious	jalnan
hill	hoosere
him	kanko
hint	dabare
hip	koppi
hips	koppi
hire	hoosugo haya
hiring	hoosugo
Hi	sanu
his	mako
history	tariya
Hi there	Mi hofni
hit	i'ugo
Hmm	Hmm
hobby	fijirde
hold	joggugo
hold on	munyugo
hole	ngaska
holiday	siwtare
hollow	wala kuje ha ton
home	saare
homework	kugal saare
honest	goonga
honestly	be gonga
Honey	Njumri
honor	mangu
hood	hifnere
hook	ngawugo
hopefully	mi tammi
hopeless	wala tammunde
hope	tammunde
hop	juwugo
horizontal	walini
horn	luwal
horrible	hannay
horror	hullol
horse	puccu
hospitality	jaɓɓugo
hospital	suudu lekki
hostile	yiɗa hoɗɓe
host	jabbowo
hotel	hostel
hot	wuli
hour	njamdi
hours	njamɗe
household	caalaje
house	saare
how about you	noy ko larni ma
how are you doing	a jammu na
how are you doing today	a mbali jam na
how are you	noy
how are you today	on mballi jam na
how do you do	noy a jammu
however	be man fu
how is	noy
how many	noy
how much	noy
how	noy
how often	nde noy
how old are you	a mari dubi noy
how was your day	a nyali jam na
how was your night	a mballi jam na
hubby	sobajo
hub	cakka
huge	manga
hug	harlol
human	neɗɗo
humble	leesi
humidity	peewol
humid	soffi
hundred	temere
hungry	weelo
hunt	tasnugo
hurricane	hendu manga
hurry up	yawu
hurry	yawu
hurt	nawnugo
husband	gorko
hustle	habre
hut	saare
hygiene	laɓnde
I am fine	Mi ɗon jam
I am	mi don
I can	mi footi
I can't	mi footay
ice cream	glas
ice	glas
ideal	kanduɗum
idea	nummol
identical	naandi
identify	maandugo
identity	mandirɗum
idiot	cikkay
idle	mbattenda
I do	Mi waɗi
I do not know	Mi aanda
I do not understand	mi fammata
I don't know	mi aanda
I don’t know	Mi aanda
I don't	mi footay
I don’t understand	mi fammata
I don't understand	mi fammay
I don't understand what you mean	Mi famata ko a yiɗi wi'ugo
I don't understand you	mi fammata ma
if	to
ignore	yoytugo
i guess	i tammi
I had	Mi mari no
I have been	I woni no
I have	mi mari
I hope so	Mi tammi bana ni
I know	mi aandi
I like	Mi yiɗi
I like you	mi yardi ma
illegal	yahay be lawol
illness	nyau
ill	nyaudo
Ilocano	Ilocano
I love	Mi yiɗi
I love my big brother	Mi yiɗi hamma am
I love my big sister	Mi yiɗi ada am
I love my father	Mi yiɗi baaba am
I love my little brother	Mi yiɗi miko am gorko
I love my little sister	Mi yiɗi miko am debbo
I love my mother	Mi yiɗi dada am
I love you	mi yidi ma
I love you so much	Mi yidi ma be seembe am fu
I love you too	mi yiɗi ma
image	footo
imagine	nummu
I mean	mi yidi wi'ugo
I'm fine	mi jammu
I'm good	Mi ɗon sati
I'm here	Mi ɗon ha ɗo
I	Mi
I miss you	mi wayri ma
I miss you so much	mi wayri ma be sembe
immediate	jonta
immediately	jonta
immense	maungel
I'm	mi
I’m	Mi
impact	sembe
impatient	wala munyal
implement	huwidugo
important	kaandudum
import	nastinugo ha lesdi
impose	dullugo
impossible	waɗata ko
impress	hollugo
impression	tammunde
impressive	mari bawde
improvement	welnugo
improve	mo'itinugo
I'm sorry	yaffam
in addition	ɓesdugo
inappropriate	yahay be lawol
incentive	ko hokkata ngorgaku
incident	saɗirma
include	be
including	be
income	maral
inconvenience	eltare
increase	besdugo
increased	ɓesdi
incredible	je hilnan
indeed	bana ni
independent	je joggi hoore mako
India	Indiya
indicate	sappinugo
indigenous	je larni wuro
individual	goodo
industry	kuugal
inevitable	yottake
In fact	Bana wi'ugo
infant	ɓingel
infection	nyau
infinity	je timmatake
inflammation	wa'irde
inflation	inflation
influence	sembe
information	hubaru
inform	matinugo
in front of	ha yeeso
ingredients	kujeji
inheritance	jawdi baaba
initial	arandere
initiative	dabare
injured	nawni
injury	hudure
innocent	wala aybe
innovation	saanjol
in order to	ngam
inquiry	ɗemɗe
insane	wala hakilo
insect	bindi
insecure	sababu
insert	nastinugo
inside	ha nder
insight	famirde
insist	darugo do kuje
insomnia	wala ɗanugo
inspiration	sembe
inspire	sappinugo
install	jo'inugo
instance	sapinol
instant	jonta
instead	do
instead of	do
instructions	matinolji
instrument	kuje
insult	hudi
insurance	fadol
intact	saanjay
integrity	goongaku
intellectual	aandowo
intelligence	hikma
intelligent	mari fammu
intended	yardi
intend	yardi
intense	maati
intention	ha
interaction	huwidol
interact	ngewta
interested	be riba
interesting	mari saman
interest	riba
interfere	jiɓugo
intermediate	cakkare
internal	ha nder
international	je lesdi feere
internship	kugal ɓendinugo jungo
interpreter	lornowo
interpret	lornugo
interrupt	darnugo
interview	ngewte
intimate	jeeyaɗo fursina
into	ha nder
in	ton
introduce	heecitugo
introduction	nastirde
introvert	feere mako
intuition	hakilo
invalid	yahay be lawol
inventory	limtol
invent	waanginugo
investigate	lartugo
invest	nastinugo ceede
invitation	ewnandu
invite	ewnugo
invoice	batakewol yoɓɓol
involved	nasti
involve	larni
iron	njamdi
I see	Mi lari
island	lesdi nder ndiyam
is	lati
isolated	feerejo
issue	larula
issues	haalaji
item	kuje
items	kujeji
I think	Mi nummi
it is	lati
it	ndu
it's	lati
its	maɗa
It's okay	wala ko ɗume
it's ok	woɗi
it was	lati no
I understand	mi fammi
I want	Mi yiɗi
I want to see you	Mi yiɗi larugo ma
I want you	mi yiɗi ma
I was	mi woni no
I will	mi
I would be	Mi yardan no
jacket	kooti
jail	dangay
January	Zaanviye
jar	jardugel
jaw	iyal hunduko
jealous	wada kaajal
jerk	duwinol
jewelry	halagare
job	kugal
jogging	doggugo
join	nastugo
joint	hawti
joke	gusa
journalist	windowo hubaru
journey	jaahangal
joy	seeyo
judge	wakili
juice	njaram
july	zwiye
jump	juwu
june	zweng
junk	kujeji
just do it	waɗu ta
justice	gongaku
justify	hollugo gongaku
just	tan
Kalaallisut	Kalaallisut
keen	be hakilo
keep it up	haɓdu
keep	siggugo
kept	siggi
kettle	buta
key	kuɓlol
kick	fiɗugo be kosɗe
kid	ɓingel
kidding	gussa
kidney	ɓooye
kids	ɓikkon
kill	mbarugo
kinda	kinda
kind	irin
kindly	be seeyo
kindness	yide
king	lamiɗo
kiss	harlugo
kitchen	suudu deffugo
kite	laviyon fijirde
kitten	patturu
knee	koppi
knew	aandi no
knife	laɓi
knight	dogginowo pucci
know	aandi
knowledge	aandal
known	aandi
Konkani	Konkani
Krio	Krio
label	takki
labor	kugal
labour	kugal
lack	wala
ladder	eseel
lady	debbo
laid	nyidi
lake	mayo
lamb	mbala
lame	jijiɗo
lamp	pitirla
land	lesdi
landscape	tarde
language	wolde
lap	kosɗe
large	manga
last but not least	ragare amma be naffuda
last name	inde arandere
last	ragare
lately	je sali
late	maynama
later	ha yeeso
latest	je keese
latter	je ragare
laughing	jallugo
laugh	jallugo
laughter	jaleɗe
launch	sakkinugo
laundry	lallugo limse
lawn	geene
law	umrore
lawyer	wakili
layer	waɗowo
layout	tooɓere
lay	watugo
lazy	mbatenda
leader	arduɗo
lead	yeeso
leaf	hako
leak	illugo
lean	barugo
leap	juwugo
learn	ekkitugo
learning	ekkitol
lease	haya
least	peetum
leather	laraal
leave	eggugo
leaves	hako
led	ɗowi
left	agulaawu
legacy	njawdi
legal	je umrore
legend	tariya
legit	hanni
leg	kosɗe
leisure	fijirde
lend	hokkugo
length	juttol
lesson	ekkitol
less	yottay
let	accugo
letter	batakewol
lettuce	salad
level	baabal
leverage	sembe
liability	nyamande
library	suudu jaangugo defteji
lick	yarugo
lie	fewre
lies	fewa
life	ngendam
lift	baantugo
light	anoora
lightning	jayngol
like	bana
likely	bana
likewise	bana man
line	didol
Lingala	Lingala
link	hawti
lion	mbaroga
liquid	ndiyam ndiyam
listen	heeditugo
listening	heɗitugo
list	limte
literally	gal jaanngirde
literature	bindol
litter	buwe
little	peetel
liver	hengre
lives	nyeeɗa
live	wondugo
living	be yonki
living room	suudu hirde
lizard	palandi
load	dongal
loaf	tamsere
loan	yammande
local	seera
location	wakere
lockdown	wondugo ha saare
lock	maɓɓode
log	leɗɗe
lol	lol
lonely	feerejo
long	jutti
long time no see	mi wayri ma sam
look	gite
loop	haɓɓugo
loose	mabbitama
lord	jagorɗo
lose	majinugo
loss	majjol
lost	maji
lot	ɗuɗum
loud	be sembe
lounge	saare
lovely	wodi
love	yide
love you	yidi ma
lower	les
low	les
loyal	be lawol
loyalty	lessare
luck	sa'a
lucky	be sa'a
Luganda	Luganda
luggage	kujeji
lump	maunugo
lunch	nyamdu
lungs	fuffu
luxury	manti
lying	feewan
machine	maasin
madam	debbo
made	wadi
mad	ginaji
magazine	batakewol hubaru
magnificent	woɗi
maid	budurwa
main	arandere
maintain	joggugo
maintenance	mo'itinol
Maithili	Maithili
major	buri
majority	ɓurna
make	tagugo
make up	faune
male	gorko
mall	suudu sippol manga
manage	huwugo
management	dowirɗe
manager	dowuwo
mandatory	dole
man	gorko
manifest	ɗon lara
manipulate	memmugo
manner	gikku
manual	be jungo
many	jur
many many happy returns of the day	wona balɗe wonde lora jur jur
march	maars
margin	ko lutti
market	lumo
marriage	teegal
married	baangɗo
mask	leepol sudugo
massive	jur
mass	jullugo
master	jagorɗo
match	jokkitol
material	kuje
mate	sobajo
math	limgal
matter	haala
maturity	ɓendugo
maybe	temma
may	footi
meal	nyiri
mean	bana wi'ugo
meaning	wiugo
means	dabare
meant	bana wi'ugo
meanwhile	ha wakati man
measure	foondol
measures	foondol
meat	kusel
medical	je larni lekki
medicine	lekki
meditation	himmugo
medium	dabare
meet	footugo
meeting	mofturde
Meiteilon	Meiteilon
melt	wullugo
me	min
memories	siftirolji
memory	ngaandi
mental	hakilo
mentioned	limti
mention	limtol
mentor	fadowo
merchant	filluwo
mercy	mo'ere
merely	meere
merry christmas	julde dayinki salla jam
message	wolde
mess	cuddi
messy	be buwe
metal	njamdi
method	siyasa
me too	min fu
mice	dombi
middle	cakka
midnight	cakka jemma
might	footi
mild	weeli
milestone	wakati kanduɗum
military	soje
milk	kossam
million	miliyonre
mind	hakilo
mindset	hakilo
mine	je am
mingle	hawtugo
minor	peetel
minutes	minti
minute	ta'ugo
miracle	kayefi
mirror	darugal
miscellaneous	feere feere
mischievous	je hallende
miserable	tampudo
misery	lafere
missing	wala
mission	kugal
miss	salli
miss you	mi wayri ma
mistake	aybe
mist	ndiyam
Mizo	Mizo
mobile	ɗon wanca
mock	jalugo
model	dabare
moderate	deydey
modern	saman
modest	deydey
moist	soffi
moisture	peewol
mold	taggugo
mole	nyamowo
mom	daada
moment	yakke
monday	altine
money	ceede
monitor	aynugo
monkey	wandu
month	lewru
mood	gikku
moody	je ɓernde halli
moon	lewru
moral	hoore
more	feere
moreover	besdugo
morning	fajiri
mortgage	ran
most	burna
mostly	ɓurna
mother	daada
motion	wolde
motivation	bawɗe
mountain	hoosere
mouse	domru
mouth	hunduko
move	dimbol
movement	yahde
movie	vidiyo
mrs	debbo
much	jur
mud	lope
mug	koofi
muscle	ɓaandu
museum	suudu siga kujeji ɓoyma
mushroom	parveci
music	womre
must	sey
mute	wolwata
mutual	oya be oyya
my	am
My dear	Giɗaɗo am
my friend	ngorgi am
My hovercraft is full of eels	Kombeewal am ɗon hewqi be ɓeefe
my love	gidado am
my name is	inde am
my pleasure	mi yetti
myself	min be hoore am
mysterious	je bana kayafi
mystery	hila
myth	tariya
nail	pinte
naive	aando koko
name	inde
narrative	ngewte
narrow	yaajay
nasty	kalli
nationality	lesdi
national	je lesdi
native	lesdi mako
natural	je jillaka
nature	lesdi
nausea	yiɗi tutugo
near	badi
nearby	takki
nearly	ɓadi
neat	labbi
necessary	woodi haaje
neck	daande
necklace	halagare
need	haaje
negative	nafata
neglect	wala falugo
negotiate	narugo
neighborhood	fatude
neighbor	keedu
neither	wala
nephew	derdirawo
nerd	mari hikma
nervous	haffi
nest	suusu cooli
net	kalkal
network	tarde
neutral	ha cakkare
never give up	ta a tampa
never	meeday
never mind	ta fallu
nevermind	ta fallu sam
nevertheless	be man fu
new	keesum
news	kubaruji
next to	ɓadi be
next	tokki
nice	kandudum
nice to meet you	mi seyi ngam footugo be ma
niece	derdirawo debbo
night	jemma
nightmare	koyɗol je hannay
nine	joowey nay
nineteen	sappo e joowey nay
ninety	cappan joowey e nay
nobody	wala goɗɗo
noise	haraka
noisy	be hollo
No	Kay
none	wala
noon	naange
nope	kay
no problem	wala bila
nor	mala
normal	jam
north	wayla
nose	kine
nostalgic	ɗon numma ko salli
not at all	wonay bana ni
not bad	woɗi
note	bindol
noted	windama
nothing	wala
noticed	fammi
notice	matinol
not	kay
Not now	Na jonta
not yet	ay tawon
noun	inde
nouns	indeji
novel	deftere hubaru
november	novamber
nowadays	haande
no way	wane
now	jonta
nuisance	sarge
null	wala
number	lamba
numb	uppinugo
nurse	lekkitajo
nutmeg	nuwa
nut	pinte
nutrition	nyamɗe
oath	hunare
obesity	nyau fa'ugo
obey	heeditugo
objective	hasduye
object	kuje
obligation	dole
obscure	maɓɓi
observation	lartol
observe	larugo
obsessed	sunu dudi
obsession	kuje je hoosi mo hoore
obsolete	wati
obstacle	saɗirma
obtained	keɓɓi
obtain	jabbugo
obvious	aandin
obviously	be goonga
occasionally	ndego
occupation	kugal
occupied	sukli
occurred	yotti
occurs	yotti
occur	yotti
ocean	maliya
october	oktober
odd	feerejo
odds	hannay
of course	bana ni
offensive	kaɓɓe
offer	hokkugo
office	baabal kugal
official	ngomna
off	wala
of	je
often	tum
Oh	hay
oh really	kay bana ni na
oil	neebam
okay baby	woɗi ɓernde am
okay dear	mi nani gidado
okay honey	ceede wwodi
okay my love	to gidado am
okay	to
ok dear	wodi sobajo
ok honey	woɗi giɗaɗo
ok my love	mi fammi gidado am
ok	to
old	neewi
once	aran
on	do
one	gootel
one language is never enough	wolde gootel tan he'ay
onion	tinere
online	do ordo
only	snq
open	mabbiti
operation	kugal
opinion	nummol
opportunities	dabareji
opportunity	dabare
opposite	feeretirol
optimistic	mari tammunde
optional	ha ngiɗa
option	dabare
orange	lemu
order	tawreta
ordinary	je tumtum
organization	taskaram
orientation	tawreta
original	je gonga
origin	fuɗɗam
or	mala
Oromo	Oromo
orphan	wala baba
other	feere
otherwise	mala
ought	sey
our	amin
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Kugal amin: wallugo ko moy fu, ko toy fu ngam fammugo duniyaru e wolwa ha kunde maɓɓe be wolde feere feere.
Our mission: to organize the world's information and make it universally accessible and useful.	Kugal amin: taskugo matinolji duniyaru e ndokka ndu ha ko moy fu je footi mara naffuda.
outcome	keeɓal
outfit	ɓornele
outgoing	je wurtata
outlet	wurtol
outline	hoore
outside	yaasi
outstanding	be daraja
out	yaasi
oven	fayande
overall	fu
overcome	jalli
over there	ha ton
overthinking	nummugo jur
over	timmi
overwhelmed	seeyi
overwhelming	je ɓuri woɗugo
owe	tokkugo
owl	sikugo
owner	mardo
own	marugo
ox	naage
pace	yaɓɓorde
package	takarde
pack	moftugo
paid	yoɓɓi
pain	tamsere
painting	fawnugo
paint	waɗugo faune
pair	hawtugo
pale	tampi
palm	jungo
pandemic	nyau
pan	fayande
panic	hulol
pants	serla
paper	ɗerewol
paradise	asaman
parallel	feere feere
parcel	ngeesa
pardon	useni
parents	baabirabe
park	lade
parrot	paula
parsley	hako kimba
part	geeɓe
participate	wondugo
particular	feerejo
particularly	ɓurna
partner	debbo
party	julde
passage	sallugo
passed	salli
passionate	yardi
passion	ngida
passive	gite finay
pass	sallugo
password	siiri nastirde
past	sali
patch	takkol
pathetic	yurman
path	lawol
patience	munyal
patient	nyaudo
pattern	didol
pause	siwtare
pavement	mahdi
payment	yoɓɓol
pay	yoɓɓugo
peaceful	nder jam
peace	jam
peach	pic
peak	hoore
pear	avoka
peas	niebe
peculiar	feerejo
peel	ɓorugo
peer	derɗiraɓe
peers	derɗiraku
pee	sillugo
pen	bindirgol
pencil	bindirgal
pending	joddi
people	yimbe
pepper	citta
perceive	larugo
perception	fammirde
perfect	kandudum
performance	kugal
perform	wadugo
perhaps	temma
period	wakati
permanent	tumtum
permission	jarfuye
permit	jarfugo
perseverance	yahde
persistent	ɗon tokkiti
personality	gooɗo
personal	je hoore
person	goddo
perspective	jaahargal
persuade	limtugo
pervert	wonugo
pet	goiru
phase	ta'irde
phenomenon	kuje
philosophy	nummol
phone	noɗɗirgel
photo	footo
phrase	qwolde
physical	gal baandu
pick	suɓɓugo
pick up	moftugo
picture	hooto
piece	sisi
pieces	kujeji
pigeon	paula
pig	gaduru
pile	watugo do feere
pillow	pillo
pilot	lanyowo
pin	baatal
pineapple	anana
pink	bana bikkon leegal
pit	ɓundu
pitch	fayande
pity	jurumdum
place	baabal
places	baabe
plague	nyau
plain	bana ni
plane	pireewol
plan	jaahargal
plant	isugo
plants	ɓiɓe leegal
plate	tassa
platform	daaldal
play	fijirde
playing	fijugo
pleasant	hokkan seeyo
pleased	seeyi
please	useni
pleasure	seeyo
pledge	tawreta
plenty	hebbi
plot	ngeesa
plug	isugo
plumber	mo'itinowo ndiyam
plum	ittugo gaasa
plural	jur
podcast	podkast
poem	bambol
poetry	bindi ɓantol
point	toɓe
poison	lekki mbarol
police	soje
policy	siyasa
polite	de'i
pollution	cuuɗi
pond	wawru
pool	kawtirde
poop	buwe
poor	laafi
pop	feetugo
popular	je yimbe aandi
population	ummatore
pork	gaduru
porridge	gari
port	hundu
position	wonde
positive	kandudum
possession	marde
possessive	je maral
possess	marugo
possible	footi
post	legal
postpone	lornugo
potato	dankali
potential	je mari sembe
pound	unnugo
poverty	lafere
powerful	be bawɗe
power	sembe
practical	je kugal
practice	kugal
praise	bantol
prank	fijirde
pray	jullugo
precious	mari daraaja
precise	laɓɓinugo
precisely	bana
predict	anabaaku
preference	yardol
prefer	yardi
pregnant	be reedu
prejudice	nawne
premises	arandere
premium	arandere
preparation	taskaram
prepared	taski
prepare	taskugo
preposition	wondugo yeeso
presence	wonde
presentation	sappinol
present	caahu
preserve	joggugo
president	jagorɗo
press	iyugo
pressure	jaawal
pretend	wadugo bana
pretty	wodi
prevent	hadugo
previous	je sali
prey	nyamdu
price	coogu
pride	mawnitare
priest	modibo
primary	arandere
prime	aranal
princess	ɓingel lamɗo
principal	aranol
prior	hideko
priority	mangu
prison	fursina
privacy	siiri
private	feerejo
privilege	dabare
prize	caahu
probably	tammi
problem	wahala
procedure	laahal
proceed	tokkitugo
process	laahal
produce	waɗugo
production	coɗɗol
product	kuje
professional	aandi kugal
profession	kugal
profile	sappinol
profit	riba
profound	luggi
progress	yahde
project	kugal
prominent	wurti
promise	alkawal
promote	wallugo
promotion	ɓantol
prompt	law
prone	wali
pronouns	hideko inde
pronunciation	wolwugo
proof	mandol
proper	halal
properly	ba lawol
properties	risku
property	njawdi
proposal	feelore
prospect	ɗerewol sappinol
prosperity	yahde yeeso
prosperous	ɗon yaha yeeso
protect	fadugo
proud	seeyi
prove	sappinugo
provided	je ndokki
provide	hokkugo
province	lamorde
provision	kuje
puberty	sukajo
public	yimɓe fu
pull	foddugo
pumpkin	waygore
punctual	be wakati
pupil	jaangowo
purchase	sodugo
pure	jillay
purple	bana lesdi
purpose	ngida
purse	sigorde
pursue	tasnugo
pursuit	tasnol
push	yerɓugo
put	watugo
qualification	ewnandu
quality	daraja
quantity	limgal
quarantine	sigugo ha seera
quarrel	harkugo
quarter	gurre
Quechua	Quechua
queen	debbo lamɗo
queer	wonnugo
query	ɗemɗe
question	demde
queue	wiicu
quick	law
quickly	law
quiet	siru
quilt	limse leeso
quite	badi
quit	eggugo
quiz	fijirde
quotation	emmol
quote	emmol
quotes	ngewte
rabbit	boojel
race	asli
rage	nyaɗugo
rain	yende
raised	ummi
raise	umminugo
ran	doggi
random	bana ni tan
range	limgal
rapid	law
rapidly	lawlaw
rare	caadi
rarely	caddum
rash	hudure
rat	domruwela
rate	ceede
rather	do
rational	be hakika
ratio	seendol
raw	keccum
reached	jokki
reach	jokkitugo
reaction	kugal
reading	jaangirde
read	jaangugo
ready	taski
real	gonga
reality	gonga
realized	waɗama
realize	fammugo
really	bana ni
rear	ɓawo
reasonable	be hikma
reason	uja
recall	ewnitugo
receipt	jabbi
received	kebbi
receive	kebbugo
recently	neebay
recent	neebay
reception	jaɓɓugo
recipe	kuje deffugo
reckless	hakilinata
recognition	aandinol
recognize	aandugo
recommended	feelama
recommend	feelugo
record	windugo
recover	yamɓitugo
recovery	heftol
rectangle	be seera nay
red	bodejum
redeem	soodugo fahin
redemption	heftugo hoore
reduce	ustugo
redundant	ɗuɗum
re	fahin
reference	tendinowo
refer	larni
reflect	himmugo
reflection	nummol
refrain	lornugo
refrigerator	ordo feewinugo
refund	lornugo
refused	salli no
refuse	sallol
regard	caangal
regarding	larni
regardless	bila
regards	nummolji
region	wakere
register	winduugo
regret	mijittugo
regular	je tum
regularly	ɓurna fu
reject	accugo
related	je larni
relate	limtugo
relationship	jonde
relative	nandi
relatives	baabiraɓe
relax	fertugo
released	yoffi
release	yoffugo
relevant	nafitirki
reliable	je mari amana
relief	wallende
relieved	de'iti
relieve	wallugo
religion	dina
religious	je dina
reluctant	be dayol
rely	tammugo
remaining	luttuɗum
remain	luttante
remarkable	je gite larata
remedy	lekki
remember	siftorugo
reminder	siftirol
remind	sifturugo
remote	dayindi
remove	ittugo
render	lornugo
rent	seekugo
repair	mo'inugo
repeat	lornugo
replace	saanjugo
reply	jabbuye
report	matinugo
represent	huwugo be inde
reputation	daraja
request	emmol
required	emmi
require	emmugo
rescue	kisal
research	teffol
resemble	naandugo
resentment	kire
reservation	sigorde
reserve	siggugo
resident	jeeyaɗo
resign	ɗallugo
resilience	jonde nder jam
resilient	nder jam
resistance	bawɗe
resist	fartuugo
resolution	dabare
resolve	tawugo dabare
resort	lorugo
resources	ɗaaɗi
respect	heeditol
respond	jabbugo
response	jabbuye
responsibility	suklare
responsible	lati ardudo
restaurant	suudu nyamde
rest in peace	allah yaffu
rest	luttande
restore	lornugo
restrict	ustugo
result	sappinol
results	sappinolji
resume	fudditugo
retail	fillu
retain	siggugo
retention	luttande
retired	ha siwtare
retreat	lorugo ɓawo
retrieve	ittugo
return	lortol
revealed	sappini
reveal	sappinugo
revenge	yoɓɓitol
revenue	geedal
reverse	waylitugo
review	lartugo
revise	lartugo
revision	lartol
revolution	saanjol
reward	caahu
rhythm	womorde
rib	beece
rice	marori
rich	diskudo
ride	samnugo
ridiculous	je jalnan
rid	medugo
right	bana ni
right now	jonta jonta
rigid	sati
ring	tarde
rinse	lallugo
riot	jiɓru
rip	ɓorugo
ripe	ɓendi
rise	ummugo
risk	larula
rival	ganyo
river	mayo
road	lawol
roast	yancugo
robust	mari sembe
rock	hayre
rod	sawru
role	kugal
roll	taggugo
roof	do saare
room	suudu
root	ɗaɗol
rope	ɓoogol
rotten	nyolli
roughly	be sembe
rough	nammay
round	tardi
route	lawol
routine	kugal
row	pale
rubber	kausu
rubbish	naffata
rub	ɗabugo
rude	sati
rug	wujugo
ruin	nattinol
ruler	arduɗo
rules	tawretaji
rule	umrore
run	doggugo
running	illa
rural	kawye
rush	yawugo
sack	buhu
sacred	je allah
sacrifice	sadaka
safe flight	yottu be jam
safe	nder jam
safety	jam
sage	aandowo
said	wi
sailing	jaahangal do ndiyam
sail	lanyugo kombeewal
sake	ngam
salary	ceede lewru
sale	sippol
salmon	liɗi
salt	manda
same	bana ni
Same here	Bana ha ɗo
sample	irin
sand	njareenji
Sanskrit	Sanskrit
sarcastic	ɗon holla gal jallugo
sassy	hoore sati
satisfaction	harande
satisfied	hari
satisfy	harugo
satisfying	harende
sat	joɗɗi no
Saturday	Asawe
sausage	nyamdu
savage	je ladde
save	hisugo
saw	lari
say	yeccugo
scale	ordo foondol
scam	wujugo gal ordo
scar	ɓaatare
scarce	ndego
scared	hulla
scarf	salabi
scary	hulnan
scattered	sankitti
scene	ko larugo
scenery	wakere
scent	urdi
schedule	jaahargal
school	jaangirde
science	aandal
scientists	aandoɓe
scientist	teffowo
scissors	kuje seekugo
scold	harkinugo
scope	daldal
score	limgal
scrap	njamdi
scratch	nyayugo
scream	sikugo
screen	ordo
screw	haɓɓugo
script	windol
seal	mabbugo
sea	maliya
search	teffol
season	wakati
seat	seat
second	ɗiɗaɓre
secret	siiri
section	tairde
secure	jam
security	jam
seed	awdi
seek	teffugo
see	larugo
seem	bana
seems	bana
seen	lari
see you	ɓawoje
see you later	ɓawoje
see you soon	en ɗon wondi
see you tomorrow	en foota jango
seize	naangugo
seizure	naangol
seldom	ndego
select	suɓɓugo
self	be hoore
self healing	hurgol be hoore mum
selfish	ndingaare
sell	sippugo
send me your picture	neldinam footo ma
send	neldugo
senior	manga
sense	hikma
sensible	ɗon ɓerna law
sensitive	je don mari hakika
sentences	ngewteji
sentence	wolde
sent	neldi
separate	sendi
Sepedi	Sepedi
september	septamber
sequence	ta'irde
series	irin
seriously	be hakika
serious	maungel
serve	wallugo
service	kugal
session	mofturde
set	taski
setting	baabal
settle	narrugo
set up	taskugo
seven	joowey ɗiɗi
seventeen	sappo e joowey ɗiɗi
seventy	cappan joowey ɗiɗi
several	jur
severe	haali
sew	nyottugo
shade	ɗawdi
shadow	ɗawdi
shake	dimbinugo
shallow	luggay
shall	wonan
shame	semtende
shape	didol
share	seendugo
sharp	mari hikma
shed	ruffi
sheep	mbala
sheet	ɗerewol
she has	o mari
she is	o ɗon
she	kanko
shelf	sigorde
shell	suudu
shelter	dawdi
shield	fadugo
shift	dimbol
shine	jaynugo
ship	neldugo
shipping	neldugo
shirt	tegore
shoes	paɗe
shoot	fiɗugo
shop	baabal sippol
shopping	soddugo
shore	hunduko maliya
shortage	timmol
short	rammi
shot	fi'i
shoulder	baleewol
should	hani no
shout	sikugo
shower	yiwugo
show me	sappinam
show	sappinol
shrimp	liɗi
shrink	dasugo
shut	maɓɓi
shut up	mabbugo
shy	semta
siblings	cuutube
sibling	suutuɓe
sick	nyaudo
side	seera
sigh	fuffugo
sight	gite
sightseeing	ngillugo
signature	didol jungo
significant	je kandudum
sign	mandol
silence	siru
silent	wala hoolo
silk	limse
silly	wala hakilo
silver	kaangeri
similar	naandi
simple	merejo
simp	simp
simultaneously	ha wakati gootel
since	diga
sincere	be gonga
sincerely	be gonga
singer	yimmowo
single	woore
sing	yimmugo
sink	mayugo nder ndiyam
Sir	Jagordo
sister	derdirawo debbo
sister in law	miko debbo
site	wakere
sit	joɗɗu
situation	larula
six	joowey e go'o
sixteen	sappo e joowey go'o
sixty	cappan joowey e go'o
size	mawnugo
