a little	trocha
even	ani
even	nawet
even though	chocioż
evening	wieczōr
event	wydarzynie
eventually	w kōńcu
ever	kejś
every	kożdy
everybody	wszyjscy
everybody	kożdy
everyone	wszyscy
everyone	kożdy
everything	wszysko
evidence	dowōd
evil	zło
evil	zły
evolution	ewolucyjo
evolve	ywoluować
Ewe	Ewe
ex	były
exact	akuratny
exactly	gynau
exactly	akuratnie
exam	zdowka
examine	podszukować
example	przikłod
exceed	przekroczyć
exceed	przekroczać
excellent	wyborny
except	ôkrōm
except	z wyjōntkym
exception	wyjōntek
excess	nadmiara
excess	zbytek
excessive	zbytni
excessive	ekscesywny
exchange	wymiyniać
exchange	gełda
excited	podekscytowany
excitement	napolynie
exciting	ekscytujōncy
exclusive	wyłōnczny
exclusive	ekskluzywny
excuse	wymōwka
excuse	pretekst
excuse me	wybocz
excuse me	wyboczcie
execute	wykōnać
execution	wykōnanie
executive	wykōnawczy
exercise	ćwiczynie
exhaust	wykamać
exhaust	auspuf
exhausted	spotrzebowany
exhausted	wyczyrpany
exhibit	pokazować
exhibit	wystawiać
exhibition	wystawa
exhibition	ausztelōng
exist	dotynczasowy
exist	istnieć
existence	istniynie
existing	istniejōncy
exit	wyjście
exit	wychōd
expand	zwiynkszać
expect	ôczekowanie
expect	ôczekować
expected	ôczekowany
expenses	wydatki
expensive	drogi
experience	doświadczynie
experiment	eksperymynt
expert	ekspert
expired	przedowniōny
explain	eklarować
explain	tuplikować
explain	klarować
explanation	wyklarowanie
exploit	spotrzebować
explore	eksplorować
export	eksport
expose	pokozać
expose	wyzdradzić
exposed	ôbnażōny
exposed	ôdkryty
exposure	narażynie
express	wyrazić
express	ekspresowy
expression	ausdruk
extend	rozszyrzić
extend	rozszyrzać
extended	rozszyrzōny
extension	rozszyrzynie
extension	przibudōwka
extension	przedużynie
extent	miara
extent	zakres
external	zewnyntrzny
extinct	pōmarły
extra	ekstra
extract	ekstrakt
extraordinary	niyzwykły
extraordinary	wyjōntkowy
extraordinary	nadzwyczajny
extreme	ekstrymalny
extreme	skrajny
extremely	ekstrymalnie
eye	ôko
eyes	ślypia
eyes	ôczy
fabric	sztof
fabulous	paradny
face	tworz
facilitate	ulekszać
facilities	udogodniynia
facilities	ôbiekty
facility	ôbiekt
fact	fakt
factor	faktōr
factory	fabryka
facts	fakty
fade	znikać
fail	niy zdać
fail	zawiyś
fail	zepsuć sie
failed	przegrany
failure	niypowodzynie
failure	porażka
failure	awaryjo
faint	ômdleć
faint	mdleć
fair	ansztyndich
fair	uczciwy
fairly	radszyj
fairy	wrōżka
faith	wiara
faithful	wierny
fake	podrobiōny
fake	podrōbka
fall	upodek
FALSE	fałsz
FALSE	fałszywy
fame	sława
familiar	znajōmy
family	familijo
family	rōd
famine	głōd
famous	słynny
fan	wiatrok
fan	fan
fancy	wymyślaty
fantastic	fantastyczny
far	daleko
farewell	rozestanie
farm	gospodarka bauersko
farmer	bauer
fascinating	fascynujōncy
fashion	moda
fast	pościć
fast	post
fast	wartko
fat	fet
fat	ruby
fatal	darymny
fate	lōs
father	ksiōndz
father	ôjciec
father	fater
fatigue	zmynczynie
fault	wina
favorite	ôblubiōny
favorite	faworyt
favour	przichylność
favourite	ôblubiōny
favourite	faworyt
fear	strach
fear	lynk
feast	świynto
feather	piōro
feature	funkcyjo
features	cychy
february	luty
fed up	rozdrażniōny
fee	ôpłata
feed	futrować
feedback	zwrotno informacyjo
feel	ôdczucie
feel	czuć
feeling	uczucie
feet	stopy
fell	slecioł
fellow	kamrat
felt	poczuł
female	samica
female	żyński
fence	pot
fence	zegrodzynie
fertile	płodny
festival	festiwal
fetch	przinosić
fetch	aportować
fever	fiber
fever	gorōnczka
few	niywiela
fewer	mynij
fiance	szac
fiction	fikcyjo
field	pole
field	dōmyna
fierce	zawziynty
fifteen	piytnoście
fifty	piyńćdziesiōnt
fight	walczyć
fight	walka
fighting	walczōncy
figure	postać
figure	figura
figure out	dōmyślić sie
file	zbiōr
file	plik
fill	filować
fill	napołniać
fill	wypołnić
filled	wypołniōny
film	film
filthy	ôbmaraszōny
finally	nareście
finance	finance
financial	financowy
find	znojś
find out	wywiadować sie
fine	sztrofa
fine	w porzōndku
fine	wyborny
finger	palec
finish	skōńczyć
finished	skōńczōne
fire	ôgyń
fire	strzylać
firm	fiyrma
firm	jōnderny
first	piyrszy
first name	miano
fish	ryba
fit	pasować
fit	wyszportowany
fit	atak
five	piyńć
fix	sprawić
fix	sprawiać
fixed	sprawiyła
flag	fana
flash	blik
flat	plaskaty
flaw	feler
flawless	wyborny
flee	uciyc
flesh	ciało
flew	lotoł
flex	przewōd
flexible	elastyczny
flight	lot
flip	trzepniyncie
flirt	ciyngilyngi
flirting	flirtować
float	pływać
float	platforma
flood	powōdź
flood	potop
floor	piyntro
floor	sztok
floor	zol
flour	mōnka
flow	przepływ
flow	płynōńć
flower	kwiotek
flu	gripa
fluent	biegłość
fluent	biegły
fluently	płynnie
fluffy	ciciaty
fluid	płyn
fly	mucha
fly	lotać
fly	lecieć
focus	kōncyntrować
fog	mgła
foggy	mglisty
fold	skłodać
folks	ludzie
follow	podōnżać
follow	naśladować
follow	śledzić
follow up	powzimać właściwe kroki
following	dalszy
food	jodło
fool	gupielok
foolish	gupi
foot	stopa
football	fuzbal
for	dlo
for	do
For example	bez przikłod
for instance	bez tyn przikłod
for you	do Ciebie
forbidden	zabrōniōny
force	siyła
force	zmuszać
forecast	prognoza
forehead	czoło
foreign	cudzy
foreign	zagraniczny
forest	las
forever	na dycki
forever	na zawdy
forget	zapōminać
forget	zapōmnieć
forgive	wybocz
forgive	wybaczać
forgot	zapōmniołch
fork	widołka
form	formować
form	formular
form	forma
formal	formalny
former	były
former	downy
fortunately	na szczyńście
fortune	fortuna
forty	sztyrdzieści
forty-two	sztyrdzieści dwa
forward	do przodku
foster	piastować
fought	walczył
found	fundować
found	znaleziōny
found	zakłodać
foundation	fundacyjo
four	sztyry
fourteen	sztyrnoście
fox	lis
fragile	kruchy
frame	rōma
framework	struktura
fraud	szulyrstwo
freak	cudok
free	darmowy
free	puszczać
free	wolny
freedom	wolność
freeze	mrozić
frequency	frekwyncyjo
frequent	czynsty
frequently	czynsto
fresh	świyży
friday	piōntek
fridge	lodōwka
friend	kamrat
friend	przociel
friendly	przijazny
friends	kamraty
friendship	kamractwo
frightened	przerażōny
frightening	przerażajōncy
frightening	ôkropiczny
frog	żaba
from	ôd
from	z
front	frōnt
front	przodek
frozen	mrożōny
fruit	ôwoc
frustrated	sfrustrowany
fuel	poliwo
Fulfulde	Fulfulde
full	połny
fun	zobawa
fun	szpas
fun	uciecha
function	funkcjōniyrować
function	fungować
fundamental	fundamyntalny
funeral	pogrzyb
funny	śmiyszny
fur	sierć
furious	ściykły
furniture	noczynie
further	dalij
furthermore	pōnadto
furthermore	ôkrōm tego
future	prziszły
future	prziszłość
gain	profit
gain	ôsiōngać
game	szpil
gap	luka
garage	garaż
garbage	abfale
garbage	hasie
garden	zygroda
garden	zegrōdek
garlic	knobloch
gate	wrota
gather	sebrać
gather	zbiyrać
gathering	grōmada
gauge	miernik
gauge	rubość
gave	doł
gear	biyg
gender	płeć
general	ôgōlny
general	jednoroł
generally	ôgōlnie
generate	gynerować
generation	gyneracyjo
generous	szczodliwy
genius	gyniusz
genre	gatōnek muzyczny
gentle	delikatny
genuine	autyntyczny
gesture	gest
get	dostać sie
get	dostać
get dressed	ôblyc sie
get up	stanōńć
get up	stować
get well soon	zdrowiyj wartko
getting	dostowanie
ghost	duch
ghosting	ghosting
giant	ôgrōmny
gift	gyszynk
ginger	zozwōr
girl	dzioucha
girlfriend	dzioucha
give	dować
give up	poddać sie
give up	poddować sie
given	dany
glad	kōntynt
glance	kuknōńć
glass	szkło
glasses	bryle
glimpse	dojzdrzeć
global	światowy
gloomy	merski
gloves	rynkawice
gloves	rynkawiczki
glow	blask
glow	blik
glow up	wyszwarnieć
glue	lepidło
glue	klyj
go	iś
go	pōjś
go ahead	idź dalij
go ahead	idź do przodku
go away	idź stōnd
go to bed	iś do betu
go to bed	iś spać
goal	tor
goal	cyl
goals	cweki
goals	cyle
goals	tory
goat	koza
god	bōg
god bless you	niych cie Bōg bogosławi
goes	idzie
going	pōjście
going to	zamierzōm
gold	złoto
gold	złoty
gone	stracōny
gonna	zamierzać
goo	breja
good	dobre
good	dobry
good afternoon	dziyń dobry
good bye	do widzynio
good day	dobry dziyń
good evening	dobry wieczōr
good job	dobro robota
good looking	szwarny
good looking	gryfny
good luck	powodzynie
good morning	dziyń dobry
good morning my love	dziyń dobry, serce moje
good night	dobranoc
goodbye	do widzynio
goodnight	dobranoc
goods	dobra
Google	Google
Google Translate	Przekłodocz Google
goose	gyńś
gorgeous	szumny
gossip	klachy
gossip	klajtury
got	dostoł
got	dostany
got it	rozumia
government	regyrōnek
grab	chytać
grab	chycić
grade	stopiyń
gradually	stopniowo
graduate	kōńczyć sztudyjo
graduate	absolwynt
grain	ziorno
grant	sztypyndium
grant	grant
grant	prziznować
granted	nadany
grapes	winogrōno
grasp	chyt
grasp	chytać
grass	trowa
grateful	wdziynczny
gratitude	wdziynczność
grave	grōb
gray	siwy
great	ekstra
great	szumny
great	wielki
greed	chciwość
greedy	pragliwy
green	zielōny
green	zielyń
greet	powitać
greeting	powitanie
greetings	pozdrowiynio
grey	siwy
grid	nec
grief	żol
grind	mleć
grip	chyt
grocery	sklep spożywczy
groom	pōn mody
gross	brutto
gross	ôszkliwy
ground	grōnt
ground	mielōny
group	grupa
grow	chować
grow	hodować
grow	rōś
growth	wzrōst
grumpy	zmiyrzły
Guarani	Guarani
guarantee	gwarancyjo
guard	wachtyrz
guess	przipuszczynie
guest	gość
guidance	przewodnictwo
guidance	doradnictwo
guide	kludzić
guide	ôkludzocz
guilty	winny
guy	chop
guys	chopcy
gym	siyłownia
gym	pakerhala
habit	zwyk
habitat	siydlisko
had	mioł
hail	wołać
hail	grod
hair	wos
hair	wosy
half	połowa
hall	hala
hand	rynka
handle	wiedzieć sie rady
handle	grif
handsome	szwarny
handsome	gryfny
hang	powiesić
hang	wieszać
hang out	przepyndzać czas
hang out	wywiyszać
happen	stoć sie
happened	stało sie
happiness	szczyńście
happy	radosny
happy	szczyńśliwy
happy birthday	sto lot
happy birthday to you	wszyjskigo nojlepszego skuli gyburstagu
happy new year	wszyskigo nojlepszego w Nowym Roku
hard	ciynżki
hard	twardy
hardly	ledwa
hardly ever	bezma nigdy
harm	krziwda
harm	krziwdzić
harmful	szkodliwy
harmony	harmōnijo
harsh	chropaty
harsh	surowy
harvest	zbiōr
has	mo
hate	niynawidzić
hate	niynawiść
have	mieć
have a good day	miyłego dnia
have a nice day	miyłego dnia
have breakfast	zjeś śniodanie
have fun	bow sie dobrze
have you eaten	jod żeś?
having	majōncy
hazard	ryzyko
haze	mgła
he	ôn
he has	ôn mo
he is	ôn je
head	gowa
head	głowny
headache	bōl gowy
headache	utropa
heal	lyczyć
healing	zdrowiynie
health	zdrowie
healthy	zdrowy
hear	słyszeć
heard	słyszany
heard	usłyszoł
heart	serce
heat	ciepło
heat	wor
heat	hica
heaven	niebo
heavy	ciynżki
hectic	nerwowy
height	wysokość
heir	erb
heist	napad
held	trzimoł
held	trzimany
hell	piekło
Hello	Cześ
Hello	Witej
Hello	Serwus
hello dear	witej, dziubku
hello how are you	witej, jak sie mosz
hello how are you doing	witej, jak sie mosz
helmet	kask
help	pōmogać
help	pōmoc
helpful	pōmocny
hence	beztōż
her	jōm
her	jeji
herd	stado
here	sam
here	tukej
heritage	erbizna
hesitate	faklować
Hey	Cześ
Hey	Te
Hey	Witej
Hi	Cześ
Hi	Witej
Hi	Serwus
hi how are you	witej, jak sie mosz
Hi there	Witej
hidden	skryty
hide	skryć
hide	ukrywać
hierarchy	hierarchijo
high	wysoki
highlight	atrakcyjo
hike	ausflug
hiking	turystyka piechty
hilarious	ucieszny
hill	kympa
him	jego
him	go
hint	skazōwka
hip	biedro
hips	biedra
hire	nojmować
hiring	nojmowanie
his	jego
history	historyjo
hit	trzasnōńć
hit	szlag
Hmm	Hmm
hobby	hobby
hold	trzimać
hold on	trzimać sie
hole	ôtwōr
holiday	feryje
hollow	prōzny
hollow	wklynsły
home	dōm
home	w dōma
homework	zadanie dōmowe
honest	szczyry
honest	ansztyndich
honestly	szczyrze
Honey	Dziubek
Honey	Miōd
honor	hōnor
hood	kapuca
hook	hok
hop	skokać
hop	chmiyl
hop	skok
hope	nadzieja
hope	mieć nadzieja
hopefully	miyjmy nadzieja
hopefully	z najdziejōm
hopeless	darymny
horizontal	poziōmy
horn	klaksōn
horrible	ôkropny
horrible	potworny
horrible	ôszkliwy
horror	przerożynie
horse	kōń
hospital	lazaryt
hospitality	szczyrość
host	gospodorz
host	gościć
hostile	wrogi
hot	gorki
hotel	hotel
hour	godzina
hours	godziny
house	dōm
household	familijo
household	dōm
how	jak
how about you	a ty
how are you	jak tam
how are you	jak sie mosz
how are you doing	co dobrego
how are you doing	jak leci
how are you doing today	Jak sie mosz dzisiej?
how are you today	jak sie dzisiej mosz
how do you do	jak sie mosz
how is	jak je
how many	wiela
how much	wiela
how often	jak czynsto
how old are you	wiela ci je lot
how old are you	jaki żeś je stary
how was your day	jak ci minōł dziyń
how was your night	jak ci noc przeszła
however	ale
however	jednak
however	ino że
hub	cyntrum
hub	buksa
hubby	chop
hug	przitulynie
hug	uścisk
huge	ôgrōmny
huge	wielki
human	czowiek
humble	skrōmny
humid	wilgły
humidity	wilgłość
hundred	sto
hungry	głodny
hunt	gōn
hurricane	huragan
hurry	uwijać sie
hurry up	pośpiesz sie
hurt	zraniōny
hurt	ranny
husband	ślubny
husband	chop
hustle	uwijaczka
hustle	ciś
hustle	rejwach
hut	lauba
hut	chałpa
hygiene	higiyna
I	Jo
I am	je żech
I am fine	Niy mie niy ma
I can	moga
I can't	niy moga
I can't	niy poradza
I do	Jo ja
I do	Jo robia
I do not know	Niy wiym
I do not understand	niy rozumia
I do not understand	niy poradza spokopić
I don't	jo niy
I don't know	Niy wiym
I don't understand	Niy poradza spokopić
I don't understand	Niy rozumia
I don't understand	Niy miarkuja
I don't understand what you mean	co mosz na myśli
I don't understand what you mean	Niy rozumia
I don't understand you	Niy poradza cie spokopić
I don't understand you	Niy rozumia cie
I don’t know	niy wiym
I don’t understand	Niy poradza spokopić
I don’t understand	Niy rozumia
i guess	zdo mie sie
i guess	chyba
I had	miołch
I had	mioł żech
I had	miołech
I have	jo mōm
I have been	bōłch
I hope so	mōm nadzieja
I know	Wiym
I like	lubia
I like you	mōm cie rod
I love	Przaja
I love my big brother	przaja mojymu starszymu bracikowi
I love my big sister	przaja mojij starszyj siostrze
I love my father	przaja mojimu ôjcu
I love my little brother	przaja mojimu modszymu bracikowi
I love my little sister	przaja mojij modszyj siostrze
I love my mother	przaja mojij matce
I love you	Przaja ci
I love you so much	Miyłuja cie fest
I love you too	jo ciebie  tyż przaja
I mean	to znaczy
I miss you	Teschno mi za tobōm
I miss you so much	Fest mi za tobōm teschno
I see	jo widza
I see	widza
I think	jo myśla
I understand	rozumia
I want	jo chca
I want	chca
I want to see you	chca cie zoboczyć
I want you	chca ciebie
I was	bōłech
I was	bōłżech
I was	bōłch
I will	Byda
I would be	bōł bych
I'm	Je żech
I'm fine	Nic mi niy ma
I'm fine	U mie dobrze
I'm good	U mie dobrze
I'm here	je żech tukej
I'm here	jestech tukej
I'm here	je żech sam
I'm sorry	Wyboczcie
I'm sorry	Przeproszōm
I'm sorry	Wybocz
ice	lōd
ice cream	lody
idea	idyjo
ideal	idyał
identical	gynau taki
identical	idyntyczny
identify	idyntyfikować
identify	zidyntyfikować
identity	tożsamość
idiot	idiōt
idle	bezczynny
if	jak
if	jeźli
ignore	ignorować
ill	chory
ill	niymocny
illegal	niylegalny
illness	niymoc
illness	choroba
Ilocano	Ilocano
image	ôbroz
imagine	forsztelować sie
immediate	niyzawodny
immediately	niyzawodnie
immediately	zaroz
immediately	ôd razu
immense	ôgrōmny
impact	wpływ
impatient	niyciyrpliwy
implement	wkludzać
implement	norzyńdzie
import	import
important	ważny
impose	naciepować
impossible	niymożliwy
impress	impōnować
impression	wrażynie
impressive	impōnujōncy
improve	ulepszać
improve	poprawiać
improvement	poprawa
in	w
in	we
in addition	pōnadto
In fact	Tak doprowdy
In fact	Na isto
In fact	W rzeczywistości
in front of	przed
in order to	coby
inappropriate	chwanciorski
incentive	zachynta
incident	incydynt
include	włōnczać
including	w tym
income	dochōd
inconvenience	niywygodność
increase	wzrōst
increased	zwiynkszōny
incredible	niywiarogodny
indeed	richtich
indeed	toć
independent	niyzawisły
independent	niyznoleżny
India	Indyjo
indicate	skozać
indigenous	drzynny
individual	indywidualny
industry	industryjo
inevitable	niyunikniōny
infant	dzieciōntko
infection	infekcyjo
infinity	niyskōńczōność
inflammation	zapolynie
inflation	inflacyjo
influence	wpływ
inform	poinformiyrować
information	informacyjo
information	wiadōmość
ingredients	skłodniki
inheritance	erbizna
initial	stympny
initial	poczōntkowy
initiative	inicjatywa
injured	ranny
injury	rana
injury	kōntuzyjo
innocent	niywinny
innovation	innowacyjo
inquiry	zapytanie
inquiry	podszukōnek
insane	ôbłōnkany
insane	szalōny
insect	ôwad
insecure	niypewny
insert	wstawić
inside	we postrzodku
inside	postrzodek
insight	wglōnd
insist	nalygać
insomnia	bezsynność
inspiration	inspiracyjo
inspire	inspirować
install	zainstalować
instance	instancyjo
instant	chwila
instant	niyzawodny
instead	zamiast
instead of	zamiast
instructions	instrukcyje
instrument	insztrumynt
insult	ôbelga
insurance	ferzicherōng
intact	niyruszōny
integrity	uczciwość
intellectual	intelektualny
intelligence	inteligyncyjo
intelligent	inteligyntny
intend	zamiyrzać
intended	przeznaczōny
intense	intynsywny
intention	zamior
interact	wpływać
interaction	interakcyjo
interest	zainteresowanie
interest	ôdsetki
interested	interesantny
interesting	interesujōncy
interfere	ingerować
intermediate	postrzedni
internal	wnōntrzny
international	miyndzynorodowy
internship	praktyka
interpret	interpretować
interpreter	przekłodocz
interrupt	przerywać
interview	wywiod
intimate	intymny
into	do
introduce	wkludzić
introduce	wkludzać
introduction	stymp
introvert	introwertyk
intuition	intuicyjo
invalid	niywożny
invent	wynalazek
invent	wynojś
inventory	spis
inventory	inwyntorz
invest	inwestować
investigate	zbadać
invitation	zaproszynie
invite	zaproszać
invoice	faktura
involve	zaangażyrować
involve	angażyrować
involved	zaangażyrowany
iron	żelazny
iron	biglować
iron	żelazo
is	je
island	wyspa
isolated	ôdosobniōny
issue	problym
issue	kwestyjo
issues	kwestyje
it	to
it is	to je
it was	to było
it's	to je
it's ok	w porzōndku
It's okay	Je w porzōndku
item	przedmiot
items	rzeczy
its	jego
its	swōj
I’m	je żech
jacket	jakla
jail	hreszt
January	styczyń
jar	krauza
jaw	szczynka
jealous	zowistny
jerk	tuk
jerk	szarpać
jewelry	biżuteryjo
job	robota
jogging	jogging
jogging	lotanie
join	przistympować
join	przistōmpić
join	kuplować
joint	spōlny
joke	wic
journalist	dziynnikorz
journey	rajza
joy	radość
judge	syńdzia
judge	sōńdzić
juice	zoft
july	lipiyń
jump	skok
june	czyrwiyń
junk	klamory
junk	hasie
just	sprawiedliwy
just	po prostu
just do it	po prostu to zrōb
justice	sprawiedliwość
justify	dowodzić
Kalaallisut	Kalaallisut
keen	rod
keen	chyntny
keep	kust
keep	zachować
keep it up	tak trzimej
kept	trzimane
kettle	czajnik
key	klucz
kick	kopniyncie
kid	bajtel
kid	dziecko
kidding	szpasuja
kidney	nyrka
kids	bajtle
kids	dzieci
kids	dziecka
kill	zabić
kill	zabijać
kind	zorta
kind	uprzyjmy
kinda	trocha jak
kindly	sprownie
kindness	życzliwość
king	krōl
kiss	kusik
kiss	pocałōnek
kiss	całować
kitchen	kuchnia
kite	drach
kitten	kocik
knee	kolano
knew	wiedzioł
knife	nōż
knight	rycerz
know	wiedzieć
knowledge	wiedza
known	znany
Konkani	Konkani
Krio	Krio
label	etyketa
labor	robota
labour	robota
lack	brak
ladder	drabina
lady	pani
laid	położōny
lake	jezioro
lamb	baranina
lamb	jagnia
lame	darymny
lame	szpotlawy
lamp	lampa
land	kroj
land	grōnt
land	ziymia
landscape	landszaft
language	jynzyk
lap	ôbkrōnżynie
lap	klin
large	srogi
last	twać
last	ôstatni
last but not least	niy mynij ważny
last name	nazwisko
late	niyżyjōncy
late	niyskory
late	niyskoro
lately	ostatnio
later	niyskorzij
latest	nojnowszy
latter	kōńcowy
laugh	śmiych
laughing	śmiōnie
laughter	śmiych
launch	zaczōntek
launch	zaczynać
laundry	pranie
law	prawo
lawn	trownik
lawyer	adwokat
lawyer	prawnik
lay	kłaś
lay	lygać
lay	położyć
layer	worsztwa
layout	ukłod
lazy	lyniwy
lead	kludzić
lead	prowadzić
leader	lider
leaf	listek
leak	przeciykać
leak	przeciyk
lean	ôpiyrać
leap	skok
learn	uczyć sie
learning	uczynie sie
lease	nojym
least	nojmynij
leather	skōra
leave	ôdyjś
leave	ôdchodzić
leaves	ôstawio
leaves	liście
leaves	wychodzi
led	kludzōny
left	lewy
left	lewo
leg	noga
leg	runda
legacy	erbizna
legal	legalny
legal	prawny
legend	legynda
legit	legalny
leisure	wywczas
leisure	ôdpoczynek
lend	życzać
length	dugość
less	mynij
lesson	lekcyjo
let	niych
let	przizwolać
letter	litera
letter	wykoz
letter	brif
lettuce	szałot
level	poziōm
leverage	wpływ
liability	zapowiedzialność
liability	ôciōnżynie
library	bibliotyka
lick	lizać
lie	ôszyda
lie	kłamać
lies	ôszydy
life	życie
lift	dźwigać
lift	aufcug
light	leki
light	światło
lightning	blic
lightning	pierōn
like	mieć rod
like	jak
likely	prowdopodobnie
likely	prowdopodobny
likewise	podobnie
likewise	wzajymnie
line	lynijo
line	raja
line	lina
Lingala	Lingala
link	połōnczyć
lion	lew
liquid	płyn
list	wykoz
listen	suchać
listening	suchajōncy
literally	gynau
literally	dosłownie
literature	literatura
litter	abfale
litter	hasie
little	mały
live	żyć
live	na żywo
liver	wōntroba
lives	żyje
living	żyjōncy
living room	wielgo izba
living room	salōn
lizard	loszczurka
load	ladōnek
load	ladować
loaf	pecynek
loaf	bochynek
loan	pōmp
loan	pożyczka
loan	borg
local	lokalny
location	położynie
lock	zōmek
lock	zawiyrać
lockdown	izolacyjo
log	dziynnik
log	szajta
lol	lol
lonely	samotny
long	dugi
long	dugo
long time no see	downo sie niy widzieli my
look	wyglōnd
look	wyglōndać
look	patrzeć
loop	pyntla
loose	luzem
loose	wolny
loose	niedbały
lord	grof
lord	pōn
lose	przegrować
lose	tracić
lose	stracić
loss	strata
lost	zaginiōny
lot	dolo
lot	działka
loud	głośny
lounge	salōnik
love	miyłość
love you	przaja ci
love you	miyłuja cie
lovely	śliczny
low	nisko
low	niski
lower	niżyj
lower	dolny
lower	ôpuszczać
loyal	lojalny
loyalty	lojalność
luck	szczyńście
lucky	szczyńsliwy
Luganda	Luganda
luggage	bagaża
lump	chachar
lunch	ôbiod
lungs	puca
luxury	luksus
lying	ôszydny
machine	maszina
mad	szalōny
mad	zgorszōny
madam	Zocno Pani
made	zrobiōny
magazine	magazyn
magazine	czasopismo
magnificent	spaniały
maid	dziywka
main	głowny
maintain	utrzimać
maintain	utrzimować
maintenance	kōnserwacyjo
maintenance	utrzimanie
Maithili	Maithili
major	majōr
major	głowny
majority	wiynkszość
make	robić
make up	makijaż
male	samiec
male	chopski
mall	cyntrum handlowe
man	czowiek
man	chop
manage	zarzōndzać
management	kerownictwo
manager	mynedżer
mandatory	musowy
manifest	pokazować
manifest	ôczywisty
manipulate	manipulować
manner	spōsōb
manual	podryncznik
many	moc
many	wiela
many many happy returns of the day	moc nojlepszych powińszowań
many many happy returns of the day	moc
march	marsz
margin	kroj
margin	margines
market	rynek
marriage	małżyństwo
married	żyniaty
mask	maska
mask	maskiyrować
mass	mszo
mass	masa
massive	masywny
master	pōn
master	majster
match	pasować
match	szpil
match	sztrahecla
mate	spōłkować
mate	koleks
material	materyjo
math	matymatyka
matter	sprawa
matter	materyjo
maturity	dojzdrzałość
may	może
maybe	mōno
maybe	może
maybe	możno
me	mi
me	mie
me	jo
me too	jo tyż
meal	posiyłek
mean	podły
mean	znaczyć
mean	mieć na myśli
meaning	znaczynie
means	ôznaczo
meant	przeznaczōny
meant	znaczy
meanwhile	zatynczas
measure	zmierzić
measure	mierzić
measures	strzodki
meat	miynsny
meat	miynso
medical	medyczny
medicine	medycyna
medicine	lyk
meditation	medytacyjo
medium	postrzedni
meet	trefić
meet	tref
meet	trefiać
meeting	tref
Meiteilon	Meiteilon
melt	stopić
memories	spōmniynio
memory	pamiyńć
mental	psychiczny
mention	spōminka
mention	spōminać
mentioned	spōmniany
mentor	myntor
merchant	kupiec
mercy	łaska
merely	ino
merely	zaledwie
merry christmas	radosnych godnich świōnt
merry christmas	radosnych Godōw
mess	bajzel
mess	mszo
message	wiadōmość
messy	niyôkludny
metal	metal
method	metoda
mice	myszy
middle	postrzodek
middle	postrzedni
midnight	pōłnoc
might	może
might	siyła
mild	łagodny
milestone	kamyń milowy
military	wojskowy
milk	mlyko
million	milijōn
mind	pamiyntać
mind	usōndek
mindset	spōsōb myślynio
mine	gruba
mine	mōj
mingle	miyszać sie
minor	małoletni
minor	myńszy
minute	minuta
minutes	minuty
miracle	cud
mirror	zdrzadło
miscellaneous	roztōmajty
mischievous	złośliwy
miserable	misterny
miserable	lichy
misery	niyszczyńście
miss	teschnić
miss	przepōmnieć
miss	brakować
miss you	cni mi sie do ciebie
miss you	teschni mi sie za tobōm
missing	brakujōncy
missing	zaginiōny
mission	misyjo
mist	mgła
mistake	feler
mistake	błōnd
Mizo	Mizo
mobile	mobilny
mock	naśmiywać
mock	naśmiywka
model	model
model	modelowy
moderate	miyrny
modern	moderny
modest	skrōmny
moist	wilgły
moisture	wilgłość
mold	pleś
mole	kret
mom	mama
mom	muter
moment	mōmynt
monday	pyńdziałek
money	pijōndze
money	pijōndz
monitor	mōnitorować
monitor	mōnitōr
monkey	afa
monkey	małpica
month	miesiōnc
mood	launa
moody	przebiyrny
moon	miesiōnczek
moral	morał
more	wiyncyj
moreover	ôkrōm tego
morning	rano
mortgage	hipoteka
most	nojbarzij
mostly	z wiynksza
mother	matka
mother	mama
motion	ruch
motivation	motywacyjo
mountain	gōra
mouse	mysza
mouth	usta
move	przenosić
move	ruszać
move	ruch
movement	ruch
movie	film
mrs	pani
much	srogo
mud	maras
mug	kubek
muscle	miynsiyń
museum	muzeum
mushroom	grzib
music	muzyka
must	musieć
mute	niymy
mutual	wzajymny
my	mōj
My dear	mōj dziubku
my friend	mōj kamrat
My hovercraft is full of eels	Mōj poduszkowiec je połny alōw
my love	mōj dziubek
my love	moja miyłość
my name is	mianuja sie
my pleasure	cołko przijymność po mojij strōnie
myself	jo
mysterious	tajymny
mystery	tajymnica
myth	mit
nail	nagel
naive	najiwny
name	miano
name	mianować
narrative	narracyjo
narrow	wōnski
nasty	ôszkliwy
national	krajowo
nationality	norodowość
native	miyszkaniec
native	drzynny
native	wrodzōny
natural	naturalny
nature	natura
nausea	mdłość
near	blisko
nearby	po blisku
nearby	blisko
nearly	bezma
neat	ôkludny
necessary	niyzbyndny
necessary	zdatny
neck	kark
necklace	pociorki
need	potrzeba
need	potrzebować
negative	negatywny
neglect	zaniydbanie
negotiate	negocjować
neighbor	sōmsiod
neighborhood	sōmsiedztwo
neither	żodyn
nephew	siostrzyniec
nerd	gupielok
nerd	nerd
nervous	nerwowy
nest	gniozdo
net	siyć
net	nec
network	nec
neutral	neutralny
never	nigdy
never give up	nigdy sie niy poddowej
never mind	niywożne
nevermind	niywożne
nevertheless	ale
nevertheless	jednak
new	nowy
news	wiadōmość
next	nastympny
next to	kole
nice	miyły
nice	przijymny
