a	Jun
exit	tzexa tzala
expand	lemtz'il
expect	yol
expected	ayo´n
expected	ayo´nmaj
expected	ayon
expenses	kub' tb'ajsan
expensive	wi´yal
experience	ojtzq´b´il
expert	ojtz'q'il
expired	kub'
explain	tx'olb'al
explain	chik'b'l
explain	chik'b'al
explanation	chik'b'al
exploit	yajil
explore	qo kayen
export	exk´ay
expose	chik'il
exposed	tyek'in
exposure	chik´il
express	tx'olb'al
express	chik'b'al
express	chik'b'il
expression	yek´kye´xix sa´b´ix
extend	q´onxa
extended	yekin
extended	yoli'
extension	extension
extent	echil
external	jumajx
extinct	ma k'ubaj
extra	juntl
extract	toj chʼin yol
extraordinary	nim tbʼanel
extreme	kuj
extremely	junti´j
eye	witzj
eyes	witz´j
fabric	chem
fabulous	tbʼanelxix
face	twitz
facilitate	nya kwest
facilities	q-facilidad
fact	ma b´nchet
fact	b'a'nmaj
factor	nim toklen
factory	b'inchb'il
facts	b´inchaj
fade	ma Kim
fade	ma txi'
fail	ma tz´akj
failed	ma tzakj
failure	ma tzá qj
faint	xb unin nya kuj
faint	numj
fair	naqchaj
fairly	junx
faith	q´uqlalk´u´j
faithful	wen
fake	nya ax
fall	tz´aq
FALSE	chaj yol
FALSE	ploj
FALSE	taq´ux
fame	nimxix toklen
familiar	jaxjal
familiar	najayal
family	jaxjal
family	najayal
famine	q´aq´in
famous	jotx wutzqilte
fan	xjal taj qi´j
fancy	witz´ik´ixim
far	chaq
farewell	mankasab´il
farm	attoq nim awal
farmer	ajkojol
fascinating	n-qo ja ka´yen ti´j
fashion	tbʼanel
fast	ojqelx
fat	xb´ok
fat	xtob´
fat	chu´s
fatal	nach
fate	ja ma qoxe
father	xnuq
father	tata
father	tat
fatigue	siktel
fault	ma q´etzakj
favorite	a mas qaj ti´j
favour	xtalb´il
favourite	mas ngane
fear	xob´ajil
fear	chewil
fear	chi
feast	nim chib'j
feather	xiky'b'aj
feature	t-kayb´ajtz
features	kyok ti´j
february	tkab´jaw
fed up	xtx'ujin
fee	chjol
feed	k´achil
feed	k´a´chil
feedback	yol
feel	n'alte
feeling	na'l
feet	qamb'aj
feet	q'anab'aj
fell	ma k'u tz'aq'
fellow	wuk´il
felt	ma ku tnana
female	ttxu
fence	naq´aku
fertile	b´a´n tz´alen
festival	nintz q'ij
fetch	jyol
fever	kyeq´ kyaq
few	ch´in
few	noq ch´inxix
fewer	ch'in
fiance	kyajlaj
field	k´ul
fierce	juntij lamidx
fifteen	jwelaj
fifty	ka´k´al laj
fight	jya'tz
fight	la'jan k'axjel
fighting	la'jan
figure	t-kayb´ajtz
figure out	jyol
file	k'u'l
fill	nojsantzan
filled	ma tzq´et
film	txumakib´
filthy	q´ux
filthy	tz´il
finally	tuntzentzje
finance	pwaq
financial	pwaq
find	ma knet
find out	ma tze'el yal
fine	b´a´n
finger	tal qob´aj
finish	b´aj
finished	ma b'ent
fire	q'aq'
firm	tok
first	tnejil
first	tnejel
first name	tjil tb´i
fish	katz
fish	kyix
fit	naq´l
fit	naq´et
fit	naqle
five	jwe´
fix	b'inchalte
fixed	junx
flag	tsu't tnam
flash	tzaj
flat	chq´alaj
flat	chq´ajlaj
flaw	tzkaj
flaw	tx'u'jwi
flawless	saq
flee	oq´il
flesh	ch´ib´aj
flew	ma lipan
flex	paqtzul
flexible	koxpil
flight	kylipan twitz kyaʼj
flip	miltz´ul
flip	paq´tzull
flirting	chunil
flood	ma k´uj b´aj
flood	ma k´uj lob´j
floor	twi´tx´otx´
flour	ky´aj
flow	n-tza t-b´inchen tib´aj
flower	b´ech
flu	yolok toj twi
fluent	a'
fluently	nya kuj
fluffy	chab´a
fluid	ta'l
fly	lipal
focus	kxel kayet
fog	muj
foggy	muj q´witz
foggy	q´aqmujil
fold	paqtzul
folks	wukile
follow	lipeb'il
follow up	ljonxa
following	juntl
food	niky´b´eb´il
fool	xnak
fool	xkonk
fool	qejil
foolish	mib'in
foolish	tx'u'j
foot	qamab'aj
foot	q'anb'aj
football	xpo´tzil
for	tu´n
for	te
For example	techel
for instance	jun kyxol
for you	teya
forbidden	mya b´an
force	ipumal
forecast	tzen tzule
forehead	twitz
foreign	mya te tzaló
forest	tze´
forest	k´ul
forever	te jotx q´ij
forget	el naj
forget	najsimil
forgive	najsal
forgot	ma tz'ik' tnal
form	tza'n tiene
formal	b´a´n
former	formal
fortunately	b´a´namaj)
fortune	tq'inimal
forty	kab´k´al
forty-two	kab´k´al kab´
forward	twitz
foster	tbʼanel tten
fought	ma la'jan k'axjel
found	ma knet
foundation	kab'.tlok'
four	kyaje
four	kyaj
fourteen	kyajlaj
fox	chux
fragile	kab´ale taq´e
frame	tilbʼilal
framework	alkye tten
fraud	laq´e tib´il
freak	ttxu
free	tz´pin
freedom	tzaqpin
freeze	qwak´sal
freeze	wak´sil
freeze	che´wsil
frequency	atl
frequent	ch´qalx
frequent	kukx
frequently	ch´qalx
frequently	kukx
fresh	xba´jin
friday	joq'ij
fridge	chewsb´il
friend	quk´ila
friend	xb´oj
friendly	xjal b´an yolen
friends	quk´ila
friendship	tamiw
frightened	x´ob´ajil
frightening	lab'il
frog	xulma
frog	xal
from	maxtz'u
front	plaj
front	tplaj
frozen	wak´sin
frozen	che´wsin
frozen	qwak´
fruit	lob´j
frustrated	tzaj tbʼis
fuel	gasolin
Fulfulde	Fulfulde
full	nojsantza
fun	tzalb´ajil
fun	tachaxil
function	tajb'en sqit
function	ka'yb'il
function	kib'il
fundamental	iqin tnam
funeral	muquʼn
funny	tzalb´ajil
fur	txa ab´aj
fur	tz´umil
furious	tx'u'jin
furniture	toj tja'
further	q´ontz
furthermore	extzen
future	tzul
gain	kanb´il
game	saqchal
gap	netz´ b´e
garage	tja b'och
garbage	tz´is
garden	ja te b'ech
garlic	anx
garlic	anjs
gate	tjpel ja
gather	mojb'ab'il
gathering	chmob´il
gathering	ch´uqil
gauge	echil
gave	ma tzaj q'on
gear	jun tuerca
gender	xe´chil
gender	tqab´
general	jotx
generally	majx
generate	b'inchal
generation	toj ambʼil
generous	b´a´xjal
genius	twi´xim
genre	xe´chil
genre	tqab´
gentle	tb´anilxjal
genuine	twutx té
gesture	kotx'il
get	kanetsil
get dressed	xb´alamet
get dressed	q´on tija
get up	wektza
get well soon	qa tz'el b'a'na
getting	kanetsil
ghost	ju'õ
ghosting	Ma wile jun anmi´
giant	nintz'ku'
gift	o´yb´itz
ginger	xanxiw
girl	kuxin
girlfriend	tukʼil
give	q´olte
give up	oqb´il
give up	kolil
give up	ko´lil
given	dado
glad	tzalaj
glance	oquinil
glass	lemet
glasses	tjomel witzb´aj
glimpse	k'ayil
gloomy	nya we'n
glow	qoqb´il
glow up	xtilin
glow up	xtilan
glue	lak´ib´il
go	q´oxel
go ahead	nejli
go away	tx´iya´
go to bed	wtal
go to bed	q´oya tal
go to bed	ktal
goal	tikb´antel
goals	a wajb´ile
goat	Ttxu chib´
goat	chip
god	ajaw
god bless you	ky'iwb'il ajaw
goes	n-ipan
goes	nipan
going	ma chinxe
going to	q´oya atz
gold	q'anpwaq
gone	ma txi
gonna	ma q'ox atz'
goo	oeri
good	b´a´n
good afternoon	q´alte
good afternoon	chinq´olb´ene
good bye	wexa
good bye	chab´iya
good day	b´a´ntz q´ij
good evening	talte
good evening	qalte
good job	b´an aq´na´n
good job	aq´unb´en
good job	aq´namaj
good looking	ponix
good luck	b´ax kayen tib´e
good morning	B´a´tz q´ij
good morning	chinqolbéne
good morning my love	b´an q´ij
good night	ta´lt
good night	qalte
goodbye	wexa
goodnight	qalte
goods	at jun
Google	google
goose	gans
gorgeous	ponex wen
gossip	slak'
got	kenetsil
got	kanetsal
got it	chi k'aneye tij
government	wi´xin
grab	tzuyil
grab	tzyul
grade	ab´q´i xnaq´tz
grade	kol
gradually	cheb'a
graduate	xnaqʼtzbʼil
grain	twi'tz
grant	q'onxa
grapes	xjitz
grasp	kaneyil
grass	itzaj
grateful	q´oj chionte
gratitude	q´ol chjonte
grave	jul
gray	sib'
great	b´a´nxix
greed	achb'il
greedy	tuk´a avidez
green	txa'x
greet	q'olb'eb'l
greeting	q´olb´eb´il
greetings	q'olb'el
grey	sib'
grid	pa' xwub'
grief	n-cho´n
grind	ch´el
grip	tzyuma
gross	matij
ground	tajq' xjab'
group	chmoj
grow	ch´iy
grow	ch´iyil
growth	ch'iy
grumpy	lo'ch
Guarani	guaraní
guarantee	qkʼuʼj tiʼj
guard	xq'uqil
guess	ponil
guest	txokb´il
guidance	nejil
guide	yek´ul b´e
guilty	tpaj
guilty	pajb´al
guy	q'a
guys	q'a
guys	kuxin
habit	ax b´inchet junjun q´ij
habitat	jaa
had	ma ja tz'aq'
hail	saqb'aqaj
hail	saqb'aqin
hair	xyen
hair	tzmalwi
half	nik´jan
hall	q'uqb'il
hand	q´ob´aj
handle	yukal
handle	yukchil
handsome	q´tik´
hang	yob´ink´a
hang out	kyten jun rat
happen	qa ma b'aj
happened	ma b´aj
happiness	tzalajsb´il
happy	tzalaj
happy birthday	Tzalajsb´il q´ij teya
happy birthday to you	tzaljsb´il q´ij teya
happy new year	Tzajasb´il ak´aj abq´i
hard	ch´ux
hardly	kyuw
hardly ever	bajxa
harm	yajil
harmful	q'on taq'wix
harmony	ttxu´txajil chnab´
harsh	ch´ux
harvest	aw'al
has	a ti te
hate	xkymb'aj
have	a tita
have	Iq´in
have a good day	b'atz qij teya
have a nice day	b´a´nx q´ij teya
have breakfast	wa´l
have breakfast	wal
have fun	tachxil
have fun	tzalb'ajil
have you eaten	ma wana
having	a tita
having	aq´in
hazard	xob'ajil
haze	yaq'
he	a
he has	a ti te
he is	a
head	wib´aj
head	wi
headache	nchon wi'
heal	q´anil
health	b'a'n
healthy	b´an t-chwinqel
hear	b´il
heard	b'ilte
heart	anma
heart	anmi
heat	q´exa
heat	q´aq´il
heaven	kya´j
heavy	al
hectic	yekil
height	twe'
heir	etzb´il
heist	elq'in
heist	eleq
held	txtokal
held	xtokal
hell	xib'alb'a
hell	najan
hell	tenb'ilq'aq'
Hello	Je´ky
hello dear	tze´n tayey
hello how are you	je´ky s´e´n taya
hello how are you doing	je'ky s'en taya
helmet	t-xk'omil wib'aj
help	onil
helpful	ajb´ebíl
helpful	ajb´alan
helpful	chi
hence	tuntzen
her	teya
herd	k'loj rit
here	tzalu´
heritage	n-ki o´n qe
hesitate	xtz´mil
Hey	Tze´n
Hi	Je´ky
hi how are you	je´ky s´e´n ta´ya
Hi there	je´ky
hidden	ewin
hide	ewil
hierarchy	ajb'ech
high	nimin twe
highlight	xtilil
hike	b´etil
hiking	bʼetil
hilarious	q-tzeb´el
hill	witz
him	a
hint	tb'anel b'e
hip	twi'kuxb'aj
hip	xixb'aj
hips	xixb'aj
hire	tzyul
his	teya
history	t-xilen
hit	b´ujil
hit	ky´ixb´il
hobby	jun rat
hold	tzuyil
hold	tzuyb´il
hold	tzyul
hold on	nyon
hold on	yol
hole	xlaq´
holiday	ojlal
hollow	jul
home	ja
homework	aq'unab'il toj ja
honest	axix
honestly	axix
Honey	T- al kab
Honey	ta´l kab´
honor	nimxix chjonte
hood	tz'itk'uj
hook	xok
hook	yo'b'il
hop	t'ik´pul
hope	toj q´ij
hopefully	ch'in tb'anel tu'nju
hopeless	b'is
horizontal	tq´e´lil
horn	q'ajtzb'il
horrible	taq'wix
horror	xob'il
horse	kej
hospital	tja q'anb'il
hospitality	b'antulena
host	xjal yolel toj chnab´
hostile	nya bʼaʼn
hot	kyeq´
hotel	ponix ja
hour	kolq'ij
hours	kolq'ij
house	ja
household	ja
how	se´n tzun
how	Tza´n
how about you	yajtzun ta
how are you	s´ent a´ya
how are you doing	se´n ta´ya
how are you doing today	s´e´n ta´ya jalin
how are you today	s´e´n taya jalin
how do you do	s´e´n ta´ya
how is	s'e'n
how many	jte'qe
how much	jte
how much	jt´en
how much	niy pun
how often	kukxjo
how old are you	jte tanq´ib´la´
how was your day	sen sexa tq´ija
how was your night	s´e´n sok´iya´ te q´onik´in
however	Noq tze´n taye
hub	niky'aj
hubby	qe ka´yil
hug	tz´ulil
huge	nimin
human	xjal
humble	b´unlatten
humble	b´uninxjal
humid	xb´u´l
humidity	xb´umb´uj
hungry	wayij
hungry	wa´yij
hungry	q´aq´in
hunt	kanb´at
hurricane	nim jb'al
hurry	qelxa
hurry up	q´elxa
hurry up	q´lana
hurt	ky´ixb´e
husband	chmilb'aj
hustle	n-chi rinen jotx
hut	ja
hygiene	xnul
I	Ayine
I am	ayine
I am fine	b´an chjonte
I can	ja'ku
I can	ja'na
I can	ja'ka
I can't	lay b´entwune
I do	oky
I do not know	s´e´n lo
I do not understand	mixti k´ane
I don't	lay´
I don't know	s´e´n lo
I don't understand	mixti
I don't understand	minti
I don't understand	jon
I don't understand what you mean	mixti in chin kaneye tiju toka qmalte
I don't understand you	xi kane
I don’t know	s´en lo
I don’t understand	xti K'ane
i guess	axlo
I had	tenwe
I have	a tiwe´
I have been	ntene
I hope so	a tz´n yonjiye
I know	b´in
I know	kanli
I like	in chin laqe tija
I like you	chi laqe tija
I love	tk'ujlab'il
I love my big brother	chin laqe tij tziqe ni min
I love my big sister	chin laqe tij tziqe ni min
I love my father	chin laqe tij nmane
I love my little brother	chin laqe tij witzine
I love my little sister	chin laqe tij witzine
I love my mother	tx´uye
I love my mother	in chin laqe tij naniye
I love you	In chin laqe tija
I love you so much	in chin laqe tija
I love you too	ikxwe in chin laqe tija
I mean	a kxel nmane
I miss you	inchin bisine tija
I miss you so much	chin bisine nim tija
I see	txi k´ayine
I think	ximil
I think	chin ximine
I understand	ma chin qaneye
I want	ajb´il
I want to see you	waje t´un tw´ila´
I want you	ky'iwb'il
I was	ma chin tene
I will	k-txel b´inchane
I would be	axna
I'm	ayine
I'm fine	b´an tiniye
I'm good	b´an ti niye
I'm here	a tine tzala
I'm sorry	najsama
ice	txa'chew'
ice cream	leq'che'w
idea	xim
ideal	tbʼanel onbʼil
identical	ikxixju
identify	tun txi t-jyone
identity	techel
idiot	mib´e b´isen
idle	xi yuk´ch
if	oky
ignore	mi txi t-kayen
ill	yab´
ill	yab´il
illegal	nya we'n
illness	yab'
Ilocano	Ilocano
image	tilb´ilal
imagine	ximb´aj
immediate	jalinxix
immediately	jalinxix
immense	nintzk´u
impact	kuj te qe
impatient	loch'il
implement	tun tok
import	iltij
important	iltij
impose	chq'ol
impossible	la'yx b'ent
impress	tuʼn kyjaw labʼin
impression	t-xaq uʼj toj kʼuxbʼil
impressive	qo ja ka´yen ti´j
improve	b´antyil
improvement	wen
in	tuj
in	Tu
in addition	axna
In fact	axpe ikx
in front of	twi'tz
in order to	el qe
inappropriate	nach
incentive	qmojbʼabʼil
incident	nya bʼaʼn
include	tun tokx
including	tukʼex
inconvenience	nya bʼaʼn
increase	nimsal
increased	ma jaw
incredible	mi n-xi q-ni´men
indeed	tuntzen
independent	t-junalx
India	India
indicate	q´maxa
indigenous	wqnaqil
individual	jun
individual	tjunix
industry	poq´sal ti´chaq
inevitable	la b´ant t´el
infant	kwal qa
infection	tilal yab´il
infinity	nimxix
inflammation	tq'anil
inflation	xhupin
influence	yolelqe
inform	q'malte
information	tqanil
ingredients	t-k'ujil
inheritance	etzb'iñ
initial	el q´un xi qeya
initial	tnejil
initiative	tun txi xke
injured	ma q'ixb'i
injury	ky'ilxb'en
innocent	mya at t-paj
innovation	ak'aj
inquiry	jyoʼnktza
insane	tx´u´j
insect	q´kup
insecure	mlay bʼant jun tiʼ
insert	q´onxa
inside	toj
insight	umel tuʼn
insist	wexa
insomnia	txunwi´
inspiration	tz'ilte
inspire	ambʼil te
install	q'ol
instance	tqanin onbʼil
instant	jalinxix
instead	tuj - tx´ixpub´il
instead of	te txel
instructions	qmal txolil
instrument	wakb'il
insult	yasil
insurance	b´a´ntten
integrity	jun wen xjal
intellectual	mas bʼaʼn
intelligence	mas bʼaʼn
intelligent	b´an b´isen
intend	qanil
intended	jatumel
intense	n-lipen
intention	taj
interact	yolil
interaction	yolil
interest	tal pwaq
interest	ta´l pwaq
interested	tal pwaq
interesting	qaj ti´j
interfere	xyol
intermediate	niky'jen
internal	tojxi
internal	tukxa
international	ti´jxix tnam
internship	iky'il
interpret	nelpuna
interrupt	yaqpul
interview	xjelb´il
intimate	tamiw.
into	toj
introduce	xuqan
introduce	xuq
introduction	tuk tel q-nik´
introvert	xjal mib´e yolen
intuition	n´al
intuition	jachmob´il
invalid	attoq jun tyabʼ toj
invent	xkansil
invent	nab´il
invest	tel qpaʼn
investigate	jyol
invitation	x´okb´il
invite	txok´il
invoice	u´j tun txi chjet
involve	tun tokj
involved	tun tokxe toj
iron	k'uxb'il
is	a ju
island	plowti'j
island	a'ti'j
isolated	tjunalx
issue	b´i´yol
issues	q´oj
it	a
it is	a
it was	ma b'aj
it's	aju
it's ok	b´an
It's okay	b'a'n
item	xnaqʼtzbʼil
items	tz´aqsb´il
its	teya
I’m	ayine
jacket	t´ij kamixj
jail	chojb´il il
January	tnexjaw
jar	xar
jaw	qtzi
jealous	xk´aqlin
jealous	ajxky´aqil
jerk	nya bʼaʼn xjal
jewelry	pwaqab´aj
job	a´qan
jogging	rinel
join	mojb'alte
joint	txol b'a'q
joke	yaq
journalist	chik´qanil
journalist	xob´lyol
journey	b´etil
journey	b éyat
joy	tzalaj
judge	xjal q´malte
juice	ta'l
july	twuxjaw
jump	lipul
june	tqaxjaw
junk	tz'is
just	noq
just do it	b´inchanxa
justice	xtis
justice	xtulb'il-il
justice	teylixil
justify	ikyjo
Kalaallisut	Kalaallisut
keen	laqil
keep	kanq´ila
keep it up	nejk'uya
kept	jaku ten
kettle	txikyb'il
key	tal ja´
kick	xajol
kid	k´awl
kidding	yaq´il
kidney	chjab'
kids	k´wal
kill	bíyil
kind	tichaq'x
kinda	ch'in netz'
kindly	b'a'nxix
kindness	b'a'nxix
king	nim tipumal
kiss	tz´ub´
kiss	ma´tz
kitchen	b´inchb´il wab´j
kite	q'manxa'
kitten	wix
knee	ch´ekyb´aj
knee	ch´eky
knew	b'intaq
knife	q'esil
knight	ponix ichan
know	ojtzqil
knowledge	nab´il
knowledge	ojtzqib´il
known	tzqi'n
Konkani	Konkani
Krio	Krio
label	tu´jal pa
labor	aq´untl
labor	aq´qntz
labour	aq'anal
lack	chi´ixpatzan
lack	ch´inx
lack	ch´ix b´aj
ladder	yotx
lady	q'apoj
laid	kubʼ bʼinchaʼn
lake	najab´
lake	talnajab´
lake	alwun
lamb	rit
lame	q´ewjne
lamp	kandil
land	tx´otx´
landscape	tbʼanel keʼyin
language	yol
lap	twi tqan
large	xqin
large	xji´l
large	qini´ch
last	b´ajsb´il
last	mankb´il
last but not least	nya iltij
last but not least	tmakb´il jela
last name	k´olil
late	yaj
lately	kʼitzqeku
later	nejxi
latest	a ju tmakb'il
latter	tmakb'il
laugh	tzet
laugh	tze´l
laughing	tz´el
laughter	tzet
laughter	tze´l
launch	txi q-xo´n
laundry	tx´ajb´l
law	q-ley
lawn	xpatzb´an
lay	q'olte
layer	txow
layout	qajbʼil
lazy	q´il
lead	yek´il
lead	q´ol tumel
leader	nejinil
leaf	a'witz
leak	ma tz'ex
leak	nel
lean	k´ekuya
lean	xmejek´uya
lean	mok´ekaya
leap	t'ikpajil
learn	kanol
learn	xnaq´tzil
learning	xnaqtzb'il
lease	majil
least	naq ch'in
leather	tz´u´m
leather	tz´u´n
leave	le´b´il kolil
leaves	t-xaqtze´
leaves	txaq tze
led	qʼiʼn tuʼn
left	nayaj
left	xnayj
leg	kuxb'sj
legacy	n-ki o´n qe
legal	kywitz aj kawil
legend	tzqib'k'lojyol
legit	kyiʼj xuʼj
leisure	amb'il
lend	txol
lend	ch'exyol
length	tnuq
length	tnuqil
less	naq´ch´in
less	chi´n
lesson	xnaqʼtzbʼil
let	chi nexe tk´tza
letter	samu'j
lettuce	q-lechuga
level	chik'ob'ilja
leverage	txi q-aprovecharen
liability	matoklen
library	maju´jb´il
lick	leq´il
lick	leq´al
lie	chal yol
lies	chajyol
life	chwiqlal
lift	q'inktza
light	xtilin
lightning	xtilin
like	nwane
likely	jakulo bʼan
likewise	ax ikx
line	sqit
Lingala	Lingala
link	enlace
lion	q'eq ti'witzb'aj
liquid	t´al
listen	b´in
listening	b´il
literally	ikjxexje
literature	u´j
litter	tz'is
little	b´otz´
live	chwinqlal
liver	saseb´
lives	chwiqlal
living	chwiqlala
living room	jaa
lizard	ayin
lizard	a'yin
load	Iqatz
loaf	twamo´s
loaf	xb´ukwa
loaf	tx´i´l
loan	tx´ex
loan	ch´exb´aj
loan	ch´ex
local	tembʼil
location	jatumel
lock	jpul
lock	jpun
lockdown	oʼkx tiʼj jun
log	qtzʼibʼinkux tqanil
lol	tzeb´el
lonely	tjunix
long	xji'l
long	xqin
long	qini'ch
long time no see	tzma xq´iltla
look	kayil
loop	bucle
loose	jaw
loose	tza'qil
loose	tza'q
lord	iichin
lose	tz´aqil
loss	ma qe tz'aq'
lost	ma tzaj
lost	xol
lot	nintz´
loud	nim twe'
loud	matij twe'
loud	nimtwe'
lounge	nim ja
love	laq´jil
love you	in chin laqe tija
lovely	qaj ti´j
low	ch'in
lower	chi'n ta'l
loyal	jun xjal leal
loyalty	qʼuqbʼil kykʼuʼj.
luck	tb'anel tunju
lucky	b´a´namaj
Luganda	Luganda
luggage	tiq´ina
lump	tanaj
lump	iqtz
lunch	w'al
luxury	tbʼanel
lying	mib´e yolen tuk´e twutx
machine	kxb'il
mad	tzkaj
mad	tx´u´jwi´
madam	qtxu
made	b'a'nmaj
magazine	chik´xim
magnificent	b'anxex
maid	xjal misol tz´is
main	winaq
maintain	k'ayilte
maintenance	kayb´etz
Maithili	Maithili
major	winaq
majority	chʼixmi tkyaqil
make	b´inchal
make up	tok te
male	tman
mall	nimin k´ax
Mam	toj qyol
man	ichin
man	chan
manage	akja´yil xnaq´tzb´il
management	b´inchel
manager	xjal yekel jotx
mandatory	aq´un
manifest	q'amanxe
manipulate	chq'ol
manner	tumel
manual	uʼj
many	nim
march	toxjaw
margin	margen
market	k'ayb'il
marriage	mjeb'in
married	mejeb´li
mask	potzb'il wutz
mass	q´otj
massive	txqan
master	xnaq´atzon
master	nejenel aq´untl
master	xnaq´tzal
match	saqchal
mate	tuk´il
material	aq´unb´il
math	ajlab´ilxix
matter	Iltij
maturity	ma q´qnix
may	kb´entil tuna
maybe	qapa
maybe	qaj
me	weye
me too	ikyx we
meal	wab´aj
mean	tzelpuna
meaning	ti tz´elpuna
means	ti tz'elpuna
meant	a taq´ xi tman
meanwhile	extzen
measure	mlol
measure	malil
measure	échat
measures	malb´il
meat	chib´j
medical	q´anil
medicine	q'anb'il
meditation	b'isil
medium	xol
meet	chmolte
meet	ch´uqil
meeting	mujb´el xjal
Meiteilon	Meiteilon
melt	yulj
melt	niwjsal
memories	n´al
memory	nab´b´il
mental	txubʼtxaj
mention	q´malte
mention	q´manxa
mentioned	ma tzaj q'man
mentor	xnaqʼtzbʼil
merchant	k´ayil
mercy	uʼn tjapun
merely	tuʼntzunju
mess	mya b´a´n taye
message	q-yol
messy	nya txolb´i´n
messy	xitli
messy	sputin
metal	kxb'il
method	txilnen
mice	ich'
middle	niky´aj
middle	niky´jin
midnight	tkuj aq´b´il
might	ku tz´u lo
mild	cheb´e
milestone	amb'il
military	txa'x xjal
milk	ta'l imaj
million	millon
mind	nab´l
mindset	b'is
mine	weye´
mingle	smol
minor	b´otz
minute	minut
minutes	minut
miracle	bʼaʼn kyuʼn
mirror	ka´witz
mirror	xpejs
mirror	kayb´iwitzb´aj
miscellaneous	k'loj
mischievous	tiptaj
miserable	mya b´an t-chwinqel
misery	mebʼayil
miss	b´isil
miss you	chin bisine tija
missing	ma qe tzaq´
mission	tiʼ in bʼant kyuʼn
mist	q'aqmujil
mistake	q-paj
Mizo	Mizo
mobile	celular
mock	xniky´b´il
mock	knol
model	yekʼbʼil tiʼj
moderate	kawil
modern	ja'lin
modest	me's
moist	Ak´l
moist	ob´ob´j
moisture	xb´umb´uj
mold	poj
mole	q´eq´al
mom	nan
moment	amb'il
monday	xjaw
money	pwaq
monkey	max
month	xjaw
mood	ipumalj teya
moody	lo'chil
moon	txu xjaw
moral	b'is
more	q´otzl
moreover	ikx tz´unj
morning	ch´ubil
morning	nchi´j
morning	najchi´j
mortgage	k'as
most	nintz'
mostly	te tnejil
mother	txub'l
mother	txub'aj
motion	yukchil
motivation	sak'sil
mountain	pink'ul
mountain	chik'ul
mountain	k'ul
mouse	ich´
mouth	tzib'aj
move	yukchuil
move	yekil
movement	yekil
movie	txumakb'
mrs	xu'j
much	nim
mud	xoq'l
mug	jar
muscle	ch´ib´aj
mushroom	xul
mushroom	tx´yol
mushroom	xwich´
music	chnab´
music	twi´chnab´
must	b'inchanxa
mute	q'ol nakb'il
mutual	ikxje te junjen
my	weye
my friend	a ju quk'ila xb'oj
my love	a waje
my name is	awe nb´i
myself	ayiin
mysterious	chal yol
mysterious	nik´al yol
mystery	ewan
myth	noqxyol
nail	xky´aqb´aj te´sb´il
naive	xnak
name	b´ib´aj
narrative	tx´olb´il
narrow	jutz´
narrow	twitz
narrow	much´
nasty	juntij tzu´j
national	tnam
nationality	tanmiyil
native	te jaxex
natural	ttenkuxjo
nature	qtxu' tx'otx'
nature	twitz tx'otx'
nausea	xab'
near	naqa
near	naqayin
near	naqa´yin
nearby	naq'ak'u
nearly	junilni
neat	tb´anel
necessary	iltij
neck	qul
neck	q´ub´aj
necklace	uyj
need	qaj
negative	ch'u'xil
negative	ewin
neglect	xi xik'ayin
negotiate	k'ayil
neighbor	xjal ajlaj
neighborhood	kojb'il
neither	mi´ne
nephew	witzine
nerd	mas bʼaʼn
nervous	xob´ajil
nervous	tchwil
nest	paqb'il
nest	q'u'
net	saq
network	xyub´
network	pa
neutral	junx
never	layx
never give up	mixi qe tzaqpina
never mind	xlek'uj
nevermind	nya´ iltij
nevertheless	extzen
new	ak´aj
news	ab'ax
next	juntl
next to	junx tuk´il
nice	Tb´anil
nice to meet you	tzen tayey
niece	witz´ine
night	qoniky'an
night	aq'b'il
nightmare	xob'sil qwatl
nine	b'elaj
nineteen	b´elajlaj
ninety	kyjk´al laj
No	Lay
no problem	mi´ b´isen
no way	xix jun tumil
nobody	mixti
noise	chkyimb´il
noisy	chkyimb´il
none	ni junjun
noon	wanq'ij
noon	chilka qij
noon	chilqij
nope	mixti
nope	minti tla
normal	ikja
north	jawnix
nose	txa´nb´aj
nostalgic	b'is
not	lay
not	minti
not	tla
not at all	xite'
not bad	b´ante
Not now	lay jalin
not yet	namx
note	twi chnab´
noted	ma kux tz'ib'it
nothing	xtix
notice	kayil
noticed	ma tzok tayina
noun	kyaqil b´ib´aj
noun	jiq´chal
nouns	kyaqil b´ib´aj
nouns	jiq´chal
novel	saq
november	tjunlaxkaw
now	jalin
nowadays	ja lin te q´ij jalin
nuisance	snak
null	mya wen
numb	sk´an
number	tajlal
nurse	onil ajq'anil
nut	jumil
nut	sutjitz´
nutmeg	ch'ilil
nutrition	k'ach'il
oath	jun yol toj tbʼi dios
obesity	xtob´
obesity	xb´o´w
obey	nimb´il
obey	nimal
object	sipb´al
objective	tkb´antel
obligation	txi b´inchet
obscure	q´lolj
observation	k'ayil
observe	k´ayilte
obsessed	taj ti´j wen
obsession	obsesion
obsolete	asb'en
obtain	tun t-jyet
obtained	kykʼamoʼn
obvious	iktzen
obviously	iktzen
occasionally	mya jotx q´ij
occupation	mi´ amli
occupied	nya ambli
occur	na b'aj
occurred	ma b'aj
occurs	in b´aj
ocean	kub'ni plow
ocean	jawni plow
october	tlaxjaw
odd	alkayela
odds	nya mikxe
of	te
of course	iktzen
off	yupil
off	yupan
off	yupin
offensive	nach
offer	q-loq´ barat
office	ja jatumel
official	aju axix
often	junjen maj
