veháš	a little
ovdanamma	first name
guolli	fish
heivet	fit
sávri	fit
vihtta	five
divvut	fix
divvojuvvon	fixed
leavga	flag
čuovggiheapmi	flash
visti	flat
steanžžas	flat
meattáhus	flaw
dievaslaš	flawless
báhtarit	flee
biergu	flesh
girddii	flew
roŋket	flex
soddjil	flexible
girdin	flight
bálkestit	flip
irggástallat	flirt
irggástallan	flirting
govdut	float
dulvi	flood
láhtti	floor
geardi	floor
jáffu	flour
golgat	flow
golgan	flow
lieđđi	flower
influensá	flu
njuovžil	fluent
njuovžilit	fluently
barfái	fluffy
golgguslaš	fluid
golggus	fluid
girdit	fly
čuru	fly
guovdduštit	focus
guovdačuokkis	focus
mierká	fog
skoddui	foggy
máhcastit	fold
olbmot	folks
čuovvut	follow
čuovvut	follow up
čuovvovaš	following
biebmu	food
duihmi	fool
dájuhit	fool
doavki	foolish
juolgi	foot
juolgespábba	football
Ovdamearkka dihte	For example
ovdamearkka dihte	for instance
dutnje	for you
gildojuvvon	forbidden
vuoibmi	force
einnostus	forecast
gállu	forehead
amas	foreign
vuovdi	forest
agalaččat	forever
vajálduhttit	forget
addit ándagassii	forgive
vajálduhtii	forgot
gáffal	fork
hábmet	form
hápmi	form
formála	formal
ovddit	former
lihkus	fortunately
lihkku	fortune
opmodat	fortune
njealljelogi	forty
njealljelogiguokte	forty-two
ovddos	forward
ovddidit	foster
doarui	fought
gávdnon	found
vuođđu	foundation
njeallje	four
njealljenuppelohkái	fourteen
rieban	fox
rašši	fragile
rámma	frame
riggi	framework
beahtus	fraud
čáráhus	freak
friddja	free
friddjavuohta	freedom
jikŋot	freeze
dábálašvuohta	frequency
jeavddalaš	frequent
dávjá	frequently
varas	fresh
bearjadat	friday
jiekŋaskáhpe	fridge
ustit	friend
ustitlaš	friendly
ustibat	friends
ustitvuohta	friendship
balus	frightened
balddihahtti	frightening
cuoppu	frog
ovdabealli	front
jikŋon	frozen
heđen	fruit
duššástuvvat	frustrated
boaldámuš	fuel
táŋket	fuel
fulfuldegiella	Fulfulde
dievaslaš	full
hávski	fun
funkšuvdna	function
doaibmat	function
vuođđo-	fundamental
hávdádeapmi	funeral
suohtas	funny
fuođđonáhkki	fur
suhtus	furious
viessogálvvut	furniture
guhkkelii	further
lassin	furthermore
boahttevuohta	future
vuoitit	gain
buktu	gain
speallu	game
ráigi	gap
biilastálla	garage
ruska	garbage
gilvvagárdi	garden
vilgeslávki	garlic
poarta	gate
čoagganit	gather
čoagganeapmi	gathering
mihttár	gauge
attii	gave
giira	gear
sohkabealli	gender
almmolaš	general
oppalaččat	generally
dagahit	generate
sohkabuolva	generation
árvvas	generous
geniija	genius
šáŋŋer	genre
ráhkislaš	gentle
eakti	genuine
láhtta	gesture
oažžut	get
gárvodit	get dressed
badjánit	get up
buorrán jođánit	get well soon
oažžun	getting
gobmi	ghost
ghosting	ghosting
jiehtanas	giant
skeaŋka	gift
ingefeara	ginger
nieida	girl
moarsi	girlfriend
addit	give
vuollánit	give up
dihto	given
ilolaš	glad
geahčastat	glance
lássa	glass
klássa	glass
čalbmelásat	glasses
livkkiheapmi	glimpse
máilmmiviidosaš	global
goalus	gloomy
suorpmahagat	gloves
áhcagastit	glow
áhcagastin	glow
lieđđut	glow up
liibma	glue
mannat	go
ovdnánit	go ahead
mana eret	go away
mannat nohkat	go to bed
ulbmil	goal
ulbmilat	goals
gáica	goat
ipmil	god
rusit	god bless you
manná	goes
mannamin	going
áigu	going to
golli	gold
mannan	gone
áigu	gonna
šliedda	goo
buorre	good
dávvir	good
buorre beaivi	good afternoon
eale dearvan	good bye
buorre beaivi	good day
buorre eahket	good evening
buorre bargu	good job
fávru	good looking
lihkku	good luck
buorre iđit	good morning
buorre iđit ráhkkásan	good morning my love
buorre idja	good night
mana dearvan	goodbye
buorre idja	goodnight
dávvirat	goods
Google	Google
Google Jorgaleaddji	Google Translate
čuonji	goose
ebmui	gorgeous
šláttar	gossip
šláttardit	gossip
oaččui	got
ortnegis	got it
hálddahus	government
doahput	grab
dássi	grade
ceahkkálagaid	gradually
geargat	graduate
gordni	grain
veahkkeruhta	grant
juolludit	grant
juolluduvvon	granted
viidnemuorjjit	grapes
darvánit	grasp
rássi	grass
giitevaš	grateful
giitevašvuohta	gratitude
hávdi	grave
ránis	gray
buorre	great
snielahisvuohta	greed
váibmil	greedy
ruoná	green
dearvvahit	greet
dearvvuođat	greeting
dearvvuođat	greetings
ránis	grey
ruvttodat	grid
moraš	grief
ferdnet	grind
čárvvát	grip
borramušgávpi	grocery
irgi	groom
roavis	gross
brutto	gross
eanagiera	ground
joavku	group
šaddat	grow
šaddan	growth
erdui	grumpy
guaranagiella	Guarani
dáhkádus	guarantee
vákta	guard
fáktet	guard
árvidit	guess
guossi	guest
oahpisteapmi	guidance
oahpis	guide
oahpistit	guide
sivalaš	guilty
gánda	guy
gánddat	guys
álšasále	gym
vierru	habit
eallinbiras	habitat
lei	had
čuorpmastit	hail
vuovttat	hair
bealli	half
feaskkir	hall
sále	hall
giehta	hand
gieđahallat	handle
givja	handle
hámálaš	handsome
heaŋgát	hang
harcet	hang
sohtut	hang out
dáhpáhuvvat	happen
dáhpáhuvai	happened
lihkolašvuohta	happiness
ilolaš	happy
lihkku beivviin	happy birthday
olu lihkku dutnje	happy birthday to you
lihkolaš ođđa jahki	happy new year
garra	hard
illá	hardly
ii báljo goassige	hardly ever
bárti	harm
skáđistit	harm
vahátlaš	harmful
soabalašvuohta	harmony
guorbbas	harsh
šaddu	harvest
lea	has
vašši	hate
leat	have
somás beaivi	have a good day
somás beaivi	have a nice day
borrat iđitbiepmu	have breakfast
návddašit	have fun
leatgo borran	have you eaten
oamásteaddji	having
várra	hazard
muođđa	haze
son	he
sus lea	he has
son lea	he is
oaivi	head
oaivebávččas	headache
buorránit	heal
buorráneapmi	healing
dearvvašvuohta	health
dearvvaš	healthy
gullat	hear
gulai	heard
váibmu	heart
liekkadit	heat
liekkas	heat
albmi	heaven
lossat	heavy
giivvis	hectic
allodat	height
árbejeaddji	heir
rievideapmi	heist
doalai	held
helvet	hell
Dearvva	Hello
hei ráhkis	hello dear
bures mo don ealát	hello how are you
bures mo manná	hello how are you doing
jealbma	helmet
veahkehit	help
ávkálaš	helpful
danin	hence
su	her
valvi	herd
dáppe	here
árbi	heritage
eahpidit	hesitate
Hei	Hey
Bures	Hi
bures mo don ealát	hi how are you
Bures	Hi there
čihkkojuvvon	hidden
čiehkat	hide
hierarkiija	hierarchy
allat	high
deattuhit	highlight
vánddardit	hike
vánddardeapmi	hiking
ilolaš	hilarious
boldni	hill
su	him
cavgileapmi	hint
alimat	hip
alimat	hips
bálkáhit	hire
bálkáheamen	hiring
su	his
historjá	history
časkit	hit
Hmm	Hmm
áiggeádji	hobby
doallat	hold
vuordit	hold on
ráigi	hole
luopmu	holiday
guovgŋái	hollow
ruoktu	home
ruoktobargu	homework
rehálaš	honest
rehálaččat	honestly
gollážan	Honey
honnet	Honey
gudni	honor
gudnejahttit	honor
skuohppu	hood
roahkki	hook
njuikkodit	hop
doaivu	hope
doaivut	hope
doaivvu mielde	hopefully
doaivvuheapme	hopeless
láskut	horizontal
čoarvi	horn
gáfat	horrible
hirbma	horror
heasta	horse
buohcceviessu	hospital
árvvasvuohta	hospitality
hovdet	host
guossoheaddji	host
bahá	hostile
báhkas	hot
hotealla	hotel
tiibma	hour
diimmut	hours
dállu	house
dállodoallu	household
mo	how
naba don	how about you
mo manná	how are you
mo don ealát	how are you doing
mo don otne ealát	how are you doing today
mo dus otne manná	how are you today
mo don ealát	how do you do
mo lea	how is
galle	how many
man olu	how much
man dávjá	how often
man boaris don leat	how old are you
mo du beaivi manai	how was your day
mo dus ikte manai	how was your night
goittotge	however
guovddáš	hub
guoibmi	hubby
buorrestat	hug
salastit	hug
hirbmat	huge
olmmoš	human
vuollegaš	humble
lávttas	humid
lávttasvuohta	humidity
čuohti	hundred
nealggas	hungry
bivdu	hunt
bivdit	hunt
orkána	hurricane
hoahppu	hurry
doama	hurry up
bávččagit	hurt
isit	husband
doamahit	hustle
šuddi	hustle
luoggu	hut
hygieniija	hygiene
mun	I
mun lean	I am
mus manná bures	I am fine
sáhtán	I can
in sáhte	I can't
dáhtun	I do
mun in dieđe	I do not know
mun in ádde	I do not understand
in	I don't
In dieđe	I don't know
In ádde	I don't understand
In ádde maid don oaivvildat	I don't understand what you mean
mun in ádde du	I don't understand you
in dieđe	I don’t know
mun in ádde	I don’t understand
jáhkán	i guess
mus lei	I had
mus lea	I have
lean leamaš	I have been
doaivvu mielde	I hope so
dieđán	I know
liikon	I like
liikon dutnje	I like you
ráhkistan	I love
ráhkistan iežan stuorravielja	I love my big brother
ráhkistan iežan stuorraoappá	I love my big sister
ráhkistan iežán áhči	I love my father
ráhkistan iežan uhcavielja	I love my little brother
ráhkistan iežan uhcaoappá	I love my little sister
ráhkistan iežan eatni	I love my mother
ráhkistan du	I love you
ráhkistan du hui olu	I love you so much
munge ráhkistan du	I love you too
oaivvildan	I mean
áibbašan du	I miss you
áibbašan du issorasat	I miss you so much
o já	I see
mun jurddašan	I think
ádden	I understand
hálidan	I want
hálidan oaidnalit duinna	I want to see you
hálidan du	I want you
ledjen	I was
áiggun	I will
livččen	I would be
lean	I'm
Mun ealán dearvan	I'm fine
ealán dearvan	I'm good
Lean dáppe	I'm here
šállošan	I'm sorry
jiekŋa	ice
lákcajiekŋa	ice cream
jurdda	idea
ideála	ideal
ideanttalaš	identical
dovdát	identify
identitehtta	identity
idiohta	idiot
joavdelas	idle
jus	if
leahkit beroškeahttá	ignore
buozus	ill
lágaheapme	illegal
dávda	illness
ilocanogiella	Ilocano
govva	image
govahallat	imagine
gaskkaheapme	immediate
dalán	immediately
meariheapme	immense
váikkuhit	impact
váikkuhus	impact
gierdameahttun	impatient
dahkat duohtan	implement
gálvobuktin	import
sisafievrredit	import
dehálaš	important
fáluhit	impose
veadjemeahttun	impossible
hirpmástuhttit	impress
miellagovva	impression
váikkuhahtti	impressive
buoridit	improve
buorideapmi	improvement
lassin	in addition
Iešalddes	In fact
ovddas	in front of
vai	in order to
heivetmeahttun	inappropriate
oldehat	incentive
dáhpáhus	incident
sisttisdoallat	include
earret eará	including
boahtu	income
unohasvuohta	inconvenience
lasáhus	increase
lassánit	increase
lassánan	increased
jáhkkemeahttun	incredible
duođai	indeed
iehcanaš	independent
India	India
mearkkašit	indicate
eamiálbmot-	indigenous
eaŋkil	individual
industriija	industry
garvemeahttun	inevitable
uhcamánná	infant
vuolši	infection
ávdagas	infinity
vuolši	inflammation
inflašuvdna	inflation
váikkuhit	influence
váikkuhus	influence
dieđihit	inform
diehtu	information
ávnnasoassi	ingredients
árbi	inheritance
vuosttas	initial
álgobustávva	initial
álgga	initiative
lápmašuvvan	injured
váddu	injury
vigiheapme	innocent
innovašuvdna	innovation
jearahallan	inquiry
jierpmeheapme	insane
divri	insect
eahpesihkkar	insecure
bidjat sisa	insert
siste	inside
oaidnu	insight
čuoččuhit	insist
oađehisvuohta	insomnia
inspirašuvdna	inspiration
movttidahttit	inspire
sajálduhttit	install
ovdamearka	instance
njuolgat	instant
sadjái	instead
sadjái	instead of
rávvagat	instructions
čuojanas	instrument
instrumeanta	instrument
bávččagahttin	insult
dáhkádus	insurance
guoskameahttun	intact
rehálašvuohta	integrity
intellektuála	intellectual
fiehttu	intelligence
fihtolaš	intelligent
áigut	intend
dárkkuhuvvon	intended
intensiiva	intense
áigumuš	intention
doaibmat	interact
vuorrováikkuhus	interaction
beroštupmi	interest
reantu	interest
beroštuvvan	interested
miellagiddevaš	interesting
seahkánit	interfere
gaskadási	intermediate
siskkáldas	internal
riikkaidgaskasaš	international
hárjehallan	internship
dulkot	interpret
dulka	interpreter
gaskkalduhttit	interrupt
jearahallan	interview
lagaš	intimate
oahpásmuhttit	introduce
láidehus	introduction
introvearta	introvert
intuišuvdna	intuition
doaibmaváttot	invalid
hutkat	invent
láger	inventory
investeret	invest
dutkat	investigate
bovdehus	invitation
bovdet	invite
rehket	invoice
čállit rehkega	invoice
gullat	involve
oasálaš	involved
striikket	iron
ruovdi	iron
lea	is
suolu	island
isolerejuvvon	isolated
ášši	issue
almmustahttit	issue
čuolmmat	issues
dat	it
dat lea	it is
dat lei	it was
dat lea	it's
ii daga maidige	it's ok
Dat lea ortnegis	It's okay
tiŋga	item
tiŋggat	items
dan	its
mun lean	I’m
jáhkka	jacket
giddagas	jail
ođđajagimánnu	January
burke	jar
gáibi	jaw
balahahkes	jealous
gaikkiheapmi	jerk
čiŋat	jewelry
bargu	job
viehkan	jogging
searvat	join
lađas	joint
spivka	joke
doaimmaheaddji	journalist
mátki	journey
illu	joy
dubmet	judge
duopmár	judge
sákta	juice
suoidnemánnu	july
njuiket	jump
geassemánnu	june
lissa	junk
beare	just
vuoiggalaš	just
daga beare	just do it
riehti	justice
vuoigaduhttit	justify
kalaallit nunaatlaš giella	Kalaallisut
áŋgit	keen
doallat	keep
joatkke beare	keep it up
doalai	kept
málesruitu	kettle
čoavdda	key
čiekčalit	kick
mánná	kid
dájuheamen	kidding
manemuš	kidney
mánát	kids
goddit	kill
šládja	kind
siivui	kind
ládje	kinda
ustitlaččat	kindly
ustitlašvuohta	kindness
gonagas	king
cummá	kiss
cummástallat	kiss
gievkkan	kitchen
guovdi	kite
bussáčivga	kitten
buolva	knee
diđii	knew
niibi	knife
riddár	knight
diehtit	know
diehtu	knowledge
dovddus	known
konkanigiella	Konkani
kriokiella	Krio
steampalastit	label
steampal	label
riegádahttin	labor
bargu	labor
riegádahttin	labour
bargu	labour
vátnivuohta	lack
ráidalas	ladder
frovvá	lady
biddjon	laid
jávri	lake
láppis	lamb
láittas	lame
lámis	lame
lámpa	lamp
eana	land
luoitalit	land
duovdagat	landscape
giella	language
salla	lap
aski	lap
stuoris	large
maŋimus	last
maŋimuš muhto ii unnimus	last but not least
sohkanamma	last name
maŋŋit	late
maŋimuš áiggiid	lately
maŋŋelabbot	later
maŋimuš	latest
maŋit	latter
boagustit	laugh
boagusteapmi	laughing
čáibman	laughter
vuolggahit	launch
bassalusat	laundry
láhka	law
rássešilljo	lawn
jurista	lawyer
bidjat	lay
dássi	layer
layout	layout
láiki	lazy
jođihit	lead
jođiheaddji	leader
lasta	leaf
golgat	leak
golgan	leak
seaggi	lean
čealádit	leap
oahpat	learn
oahppan	learning
láigohit	lease
uhcimusat	least
náhkki	leather
luopmu	leave
vuolgit	leave
vuolgá	leaves
lasttat	leaves
jođihii	led
gurut	left
váhkká	leg
árbi	legacy
lágalaš	legal
máinnas	legend
lobálaš	legit
astoáigi	leisure
luoikalit	lend
guhkkodat	length
unnit	less
oahppodiibmu	lesson
diktit	let
reive	letter
saláhtta	lettuce
dássi	level
fápmu	leverage
ovddasvástádus	liability
girjerádju	library
njoallut	lick
gielistit	lie
gielas	lie
giellásat	lies
eallin	life
loktet	lift
heaisa	lift
čuvget	light
geahpas	light
čuovga	light
álddagas	lightning
dego	like
vuorddehahtti	likely
seammá	likewise
sáhcu	line
lingalagiella	Lingala
liŋka	link
ledjon	lion
golgguslaš	liquid
listu	list
guldalit	listen
guldaleamen	listening
bustávvalaččat	literally
girjjálašvuohta	literature
ruska	litter
uhci	little
ealli	live
eallit	live
vuoivvas	liver
eallá	lives
eallimat	lives
ealli	living
orrunlatnja	living room
lakkis	lizard
guorbmi	load
láibi	loaf
loatna	loan
báikkálaš	local
sajádat	location
lohkka	lock
sirren	lockdown
dimbbar	log
lol	lol
bob	lol
oktonas	lonely
guhkki	long
guhkes áigái	long time no see
geahčastat	look
geahččat	look
geavli	loop
luoitit	loose
luovus	loose
hearrá	lord
dáhpet	lose
táhpa	loss
láhppon	lost
olu	lot
allajienat	loud
ovdalatnja	lounge
ráhkisvuohta	love
ráhkistit	love
ráhkistan du	love you
ihána	lovely
vuollegaš	low
vuolit	lower
oskkáldas	loyal
oskkáldasvuohta	loyalty
lihkku	luck
lihkkoš	lucky
lugandagiella	Luganda
mátkedávvir	luggage
čoaltu	lump
beaivemális	lunch
geahppát	lungs
luksus	luxury
gielisvuohta	lying
mašiidna	machine
jalla	mad
frovvá	madam
dagai	made
aviisa	magazine
mávssolaš	magnificent
ruovttuveahkki	maid
nieida	maid
vuođđo-	main
oaive-	main
bisuhit	maintain
fuolahus	maintenance
maithiligiella	Maithili
váldoávnnas	major
stuoris	major
eanetlohku	majority
dahkat	make
sminket	make up
soahpat	make up
almmái	male
gávpeguovddáš	mall
almmái	man
hálddašit	manage
hálddašeapmi	management
hoavda	manager
bákkolaš	mandatory
almmuhit	manifest
giehtaguššat	manipulate
vuohki	manner
giehtafápmodoaibmi	manual
rávagirji	manual
máŋga	many
olu lihkku beivviin	many many happy returns of the day
njukčamánnu	march
ravda	margin
márkanat	market
márkan	market
náittoslihttu	marriage
náitalan	married
hápma	mask
máska	mask
meassu	mass
mássá	mass
stuoris	massive
hearra	master
hálddašit	master
speallu	match
stemmet	match
verdde	mate
materiála	material
matematihkka	math
ášši	matter
leat vealla	matter
rávisvuohta	maturity
sáhttá	may
miessemánnu	may
kánske	maybe
mu	me
mun maid	me too
mális	meal
bahánihkkán	mean
mearkkašit	mean
mearkkašupmi	meaning
vuohki	means
dárkkuhuvvon	meant
oaivvildii	meant
dan botta go	meanwhile
mihtidit	measure
mihttu	measure
doaimmat	measures
biergu	meat
medisiinnalaš	medical
dálkkas	medicine
meditašuvdna	meditation
gaskaoapmi	medium
deaivat	meet
deaivvadeapmi	meeting
meiteilongiella	Meiteilon
suddat	melt
muittut	memories
muitu	memory
vuoiŋŋalaš	mental
máinnašit	mention
máinnašuvai	mentioned
mentora	mentor
grossagávppálaš	merchant
árbmu	mercy
dušše	merely
buorit juovllat	merry christmas
moivi	mess
diehtu	message
moivvas	messy
metálla	metal
metoda	method
sáhpánat	mice
gaskaoassi	middle
gaskaidja	midnight
sáhtášii	might
láivi	mild
oassemihttomearri	milestone
soalddátlaš	military
mielki	milk
miljovdna	million
miella	mind
beroštit	mind
jurddašanvuohki	mindset
mu	mine
miidna	mine
seahkánit	mingle
gálggaheapme	minor
molla	minor
minuhtta	minute
beavdegirji	minutes
imaš	miracle
speadjal	mirror
seahkálas	miscellaneous
hilbat	mischievous
surgat	miserable
vártnuhisvuohta	misery
áibbašit	miss
áibbašan du	miss you
váilu	missing
bargamuš	mission
mierká	mist
meattáhus	mistake
mizogiella	Mizo
mobiila	mobile
bilkidit	mock
málle	model
jođihit	moderate
govttolaš	moderate
hálddašit	moderate
ođđaáigásaš	modern
gáibitmeahttun	modest
lávttas	moist
lávttasvuohta	moisture
lávet	mold
guohpa	mold
sábin	mole
eadni	mom
boddu	moment
vuossárga	monday
ruhta	money
monitovra	monitor
ábegáhttu	monkey
mánotbadji	month
miella	mood
veaidaláđas	moody
mánnu	moon
morála	moral
eambbo	more
lassin	moreover
iđit	morning
visteloatna	mortgage
eanemusat	most
eanaš	mostly
eadni	mother
lihkadus	motion
motivašuvdna	motivation
várri	mountain
sáhpán	mouse
njálbmi	mouth
lihkadit	move
lihkadus	movement
filbma	movie
frovvá	mrs
ollu	much
mohti	mud
mugga	mug
deahkki	muscle
musea	museum
guoppar	mushroom
musihkka	music
galgá	must
gohčus	must
jaskadit	mute
jienaheapme	mute
sánehuhttit	mute
guovttebealat	mutual
mu	my
gollážan	My dear
ustiban	my friend
Mu áibmofanas lea dievva ággarasaid	My hovercraft is full of eels
ráhkkásan	my love
mu namma lea	my name is
ii giitámuš	my pleasure
mun ieš	myself
suollemas	mysterious
mystera	mystery
oskomuš	myth
gazza	nail
naiiva	naive
namma	name
muitalus	narrative
baskis	narrow
bahánihkkán	nasty
našunála	national
čearda	nationality
eami-	native
báikkálaš	native
lunddolaš	natural
luondu	nature
illáveadju	nausea
lahka	near
lahka	nearby
masá	nearly
čorgat	neat
dárbbašlaš	necessary
niski	neck
čeabetčikŋa	necklace
dárbbašit	need
dárbu	need
negatiiva	negative
suostat	neglect
ráđđádallat	negotiate
ránnjá	neighbor
lahkasat	neighborhood
iige	neither
siessál	nephew
nearda	nerd
skievis	nervous
biedju	nest
fierbmi	net
neahtta	net
fierbmádat	network
neutrála	neutral
ii goassige	never
ále vuollán	never give up
hálakeahttá	never mind
ii daga maidige	nevermind
dattetge	nevertheless
ođas	new
ođđasat	news
čuovvovaš	next
guoras	next to
somá	nice
somá deaivvadit	nice to meet you
siessál	niece
idja	night
deattán	nightmare
ovcci	nine
ovccinuppelohkái	nineteen
ovccilogi	ninety
Ii	No
áinnas	no problem
ii heađisge	no way
ii giige	nobody
jietna	noise
jullái	noisy
ii miige	none
gaskabeaivi	noon
ii	nope
iige	nor
normála	normal
davvi	north
davvisámegiella	Northern Sami
njunni	nose
nostalgiijalaš	nostalgic
ii	not
ii eisige	not at all
ii vearrát	not bad
ii dál	Not now
ii vel	not yet
fuomášupmi	note
beakkán	noted
ii mihkkige	nothing
fuomášit	notice
fuomášii	noticed
nomen	noun
substantiivvat	nouns
romána	novel
skábmamánnu	november
dál	now
dánáigge	nowadays
váivvádus	nuisance
fámoheapme	null
dovddoheapme	numb
nummir	number
buohccedivššár	nurse
niehtti	nut
muskáhttaniehtti	nutmeg
biebmodilli	nutrition
válli	oath
buidodat	obesity
doahttalit	obey
objeakta	object
čuozáhat	object
ulbmil	objective
geatnegasvuohta	obligation
mearritmeahttun	obscure
dárkun	observation
dárkot	observe
hui beroštuvvan	obsessed
bággogovahallan	obsession
áigahaš	obsolete
eastta	obstacle
háhkat	obtain
háhkkon	obtained
čalmmus	obvious
oainnus	obviously
muhtumin	occasionally
ámmát	occupation
várrejuvvon	occupied
dáhpáhuvvat	occur
dáhpáhuvai	occurred
dáhpáhuvvá	occurs
mearra	ocean
golggotmánnu	october
ártet	odd
duođavuohki	odds
dieđusge	of course
eret	off
falleaheapmi	offensive
fálaldat	offer
fállat	offer
kantuvra	office
virggálaš	official
dávjá	often
O	Oh
leago duohta	oh really
olju	oil
ok	ok
ok ráhkis	ok dear
ok gieris	ok honey
ok ráhkkásan	ok my love
justa	okay
ortnegis gieris	okay baby
ortnegis ráhkis	okay dear
heive ráhkis	okay honey
justa ráhkkásan	okay my love
boaris	old
oktii	once
okta	one
okta giella ii goassige leat doarvái	one language is never enough
lávki	onion
neahta bokte	online
neahtas	online
dušše	only
rabas	open
doaibmabidju	operation
čuohpahus	operation
oaivil	opinion
vejolašvuođat	opportunities
vejolašvuohta	opportunity
vuostegeahči	opposite
optimisttalaš	optimistic
molssaeaktu	option
eaktodáhtolaš	optional
dahje	or
appelsiidna	orange
oránša	orange
diŋgot	order
ortnet	order
dábálaš	ordinary
searvi	organization
organisašuvdna	organization
dádjadeapmi	orientation
álgovuođđu	origin
álgovuđolaš	original
oromogiella	Oromo
oarbbis	orphan
eará	other
muđui	otherwise
galggašii	ought
nolla	ought
min	our
Min ulbmil: ahte buohkat juohke bealde áddejit máilmmi ja bastet buktit ovdán iežaset oaiviliid, buot gielain.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Min ulbmil: ordnet máilmmi dieđuid ja buktit daid buohkaid olámuddui ja ávkin.	Our mission: to organize the world's information and make it universally accessible and useful.
olgun	out
boađus	outcome
bivttas	outfit
guoibmái	outgoing
ráigi	outlet
gávpi	outlet
árvalus	outline
olgun	outside
fuomášahtti	outstanding
uvdna	oven
badjel	over
doppe	over there
oppalaš	overall
ceavzit	overcome
jurddašit menddo olu	overthinking
ráttástuvvat	overwhelmed
birgetmeahttun	overwhelming
leat vealgi	owe
idjaloddi	owl
eaiggáduššat	own
iežas	own
eaiggát	owner
vuoksá	ox
tákta	pace
páhkket	pack
páhkka	pack
páhkka	package
máksejuvvon	paid
bávččas	pain
málet	paint
málen	painting
párra	pair
šoavkat	pale
bálbma	palm
goapmir	palm
bánno	pan
pandemiija	pandemic
panihkka	panic
buvssat	pants
bábir	paper
paradiisa	paradise
bálddalas	parallel
páhkka	parcel
árbmu	pardon
vánhemat	parents
párka	park
páhpegoijá	parrot
persilljá	parsley
oassi	part
oassálastit	participate
dihto	particular
namalassii	particularly
guoibmi	partner
feasta	party
mannat badjel	pass
geiget	pass
čađamanahat	passage
čađahuvvon	passed
áŋggaštus	passion
arat	passionate
passiiva	passive
suollemassátni	password
mannanáigi	past
bihttá	patch
dielku	patch
bálggis	path
patehtalaš	pathetic
gierdavašvuohta	patience
gierdil	patient
pasieanta	patient
govus	pattern
bisánit	pause
gaskkalduhttin	pause
vázzinravda	pavement
máksit	pay
máksu	payment
ráffi	peace
ráfálaš	peaceful
persihkka	peach
čohkka	peak
beron	pear
earttat	peas
ártet	peculiar
gužža	pee
gužžat	pee
garret	peel
lágáš	peer
lágážat	peers
peanna	pen
bliánta	pencil
čoavdemeahttun	pending
álbmot	people
bihppor	pepper
áicat	perceive
áican	perception
dievaslaš	perfect
loaiddastit	perform
čájáhus	performance
varra	perhaps
áigodat	period
bistevaš	permanent
lohpi	permission
lohpidit	permit
lohpi	permit
áŋgirvuohta	perseverance
arahat	persistent
olmmoš	person
persovnnalaš	personal
iežas	personal
persovnnalašvuohta	personality
perspektiiva	perspective
hálahit	persuade
pervearsa	pervert
billistit	pervert
biebmoealli	pet
muddu	phase
albmanus	phenomenon
filosofiija	philosophy
telefovdna	phone
govva	photo
dajaldat	phrase
fysalaš	physical
čoaggit	pick
válljet	pick
loktet	pick up
fikset	pick up
govva	picture
oassi	piece
bihtát	pieces
spiidni	pig
gávpotduvvá	pigeon
látna	pile
guoddá	pillow
girdi	pilot
rievdnu	pin
anánas	pineapple
čuvgesruoksat	pink
roggi	pit
gohpi	pit
álli	pitch
dássi	pitch
šállu	pity
sajáiduhttit	place
báiki	place
báikkit	places
golgodávda	plague
oktageardán	plain
plána	plan
girdi	plane
šaddu	plant
šattut	plants
tallearka	plate
vuođđu	platform
speallat	play
speallu	play
čuojaheamen	playing
stoahkamin	playing
hávskái	pleasant
leat miela mielde	please
mielas	pleased
illu	pleasure
dáhkidit	pledge
lohpidit	pledge
ollu	plenty
juotna	plot
bunci	plug
čuggestat	plug
lupmu	plum
bohccebargi	plumber
máŋggaidlohku	plural
podcásta	podcast
dikta	poem
lyrihkka	poetry
jierbmi	point
čuokkis	point
mirku	poison
poles	police
ortnet	policy
smađáhkis	polite
nuoskkideapmi	pollution
láddu	pond
jávrráš	pool
vuojadanálddis	pool
baika	poop
geafi	poor
buccehit	pop
popmusihkka	pop
bivnnut	popular
veagadat	population
spiinnebiergu	pork
suohkat	porridge
hámman	port
sajádat	position
positiivvalaš	positive
oamastit	possess
oamasteapmi	possession
loleš	possessive
possessiiva	possessive
vejolaš	possible
poasta	post
sáddet	post
maŋidit	postpone
buđet	potato
potentiála	potential
steamput	pound
punda	pound
geafivuohta	poverty
fápmu	power
fámolaš	powerful
geavatlaš	practical
hárjehallat	practice
hárjehallan	practice
rámidit	praise
hilbošeapmi	prank
rohkadallat	pray
árvvolaš	precious
dárki	precise
justa	precisely
noahkut	predict
oidit	prefer
mielastupmi	preference
áhpeheapme	pregnant
ovdagáddu	prejudice
doaibmansadji	premises
premium	premium
válmmasteapmi	preparation
válmmaštallat	prepare
ráhkkanan	prepared
preposišuvdna	preposition
leahkin	presence
skeaŋka	present
dáláš	present
dálá áigi	present
ovdanbuktin	presentation
seailluhit	preserve
presideanta	president
deaddit	press
preassa	press
deaddu	pressure
dahkaluddat	pretend
čáppis	pretty
oppa	pretty
eastadit	prevent
ovddit	previous
sálaš	prey
haddi	price
čeavláivuohta	pride
báhppa	priest
vuosttas	primary
primára	primary
typihkalaš	prime
gildán	prime
prinseassa	princess
rektor	principal
ovddit	prior
vuoruhus	priority
fáŋgal	prison
diehtosuodji	privacy
priváhta	private
ovdamunni	privilege
bálkkašupmi	prize
várra	probably
čuolbma	problem
