a	kou'n
execution	iyolɛ
executive	be pkin
exercise	djuman
exhaust	n'ga abu i lɔ
exhausted	fɛ
exhibit	iklekle lɛ
exhibition	nin'gue klelɛ
exist	ewolɛ
existence	minh
existing	n'ga wo lɛ
exit	fitewlɛ
exit	fite
expand	aju mua
expand	a trɛ
expect	minndɛ
expected	n'ga ye min'dɛ
expenses	i gua ti dɔhun
expensive	igua tchinli
experience	min silɛ
experiment	yo vie
expert	sran n'ga wa ʃɛ i juman nu
expired	e sin'li
explain	tutunu
explanation	inu yiyi lɛ
exploit	like dan n'ga be yo
explore	nian nu
export	fa ko guassu
export	fa ko lika uflɛ
expose	klehi
exposed	kle i
exposure	ikle lɛ
express	kan n'dɛ
expression	i gnunu wafa
extend	trɛ nu
extend	yo i dan
extended	trɛnu
extension	i wun muan
extent	iwafa
external	guassu
extinct	nuen i
extra	issu
extra	guassu
extract	yi inu
extraordinary	like n'ga be lafi a su
extreme	dɔwun
extremely	dɔ wun
eye	yima
eyes	yima mu
fabric	tissu
fabric	tan'ni
fabulous	eti kpa
face	i gnunu
facilitate	yo min nin eyo kekle
facilities	societe mu
facility	usini
fact	n'ga si'nli
factor	n'ga yo li tiɛ
factory	usuni
facts	n'dɛ'm
fade	saki
fade	fien
fail	wa kula yo man
failed	wa kwla man
failure	kula man
faint	iyi bluli
faint	fɛtɛ fɛtɛ
fair	issu
fair	kpa
fairly	dɔ'un
fairly	issu
fairy	assiɛ wussu kanhan
faith	laffissu
faithful	lafi su
fake	ato
fall	tɔ
FALSE	ato
fame	i dun'man
fame	i silɛ
familiar	n'ssi yi
family	awlobo
famine	aho
famous	sran dan
fan	klo
fancy	klanman
fancy	n'ga a kundɛ ka a yo
fantastic	eti pka
far	mua
farewell	ye ya nianmien su
farm	fie dan
farm	nan'ni me lika
farmer	fiessu juman di fuɛ
fascinating	n'klo yi
fashion	modi
fast	nindɛ
fat	dan
fatal	kunlɛ like
fate	ye ayin'man
father	si
father	baba
fatigue	afɛ
fault	fɔnli
favorite	n'ga a klohi
favour	flɛri
favourite	n'ga a klohi
fear	srɛ
fear	sro
feast	fɛtri
feather	annun'man n'drɛ
feature	iwafa n'ga ti
features	iwafa n'ga ti
february	fevrie
fed up	man aliɛ
fee	i yolɛ sika
feed	man aliɛ
feedback	ijɔlɛ
feel	ɔyo kɛ
feeling	n'ga a wun yi
feet	ja
fell	fa i n'van
fellow	mi sran
felt	fun'an fun'an
felt	wun
female	bla
fence	cloturi
fertile	eman ba kpa
festival	fetri
fetch	kun'dɛ
fetch	fa
fever	arɛ
few	kahan
fewer	kan'an
fiance	yi
fiance	bian
fiction	flimi nu like
fiction	n'ga tia nanwlɛ
field	issɔ like nu
fierce	di wlɛ
fifteen	blu ni n'nun
fifty	ablo nun
fight	tu utre
fighting	utre tulɛ
figure	like nuan
figure out	ti
file	fluwa mu
fill	yi i
filled	yi i
film	filmi
filthy	fien
finally	iguawlɛ
finance	sika n'dɛ
financial	sika n'dɛ
find	ɲin i
find out	ɲin i
fine	eti pka
finger	sama
finish	vie
finished	vie li
fire	si'n
firm	societe
first	klili
first name	duman n'ɲon su
fish	jue
fit	ni ɔ ya
five	n'nun
fix	sie kpa
fixed	sie i kpa
flag	drapo
flash	foto i kpajalɛ
flat	sua
flaw	ti a kpa
flawless	e ti kpa
flee	wondi
flesh	n'nin
flew	tu n'glo
flex	be kwla bli i
flexible	pɔpɔ
flight	bo
flight	utre
flip	sɛ issi'n
flirt	di ten'de
flirting	di te'n n'de
float	m'lon man
flood	n'zue yi lika i
floor	etagi
flour	able sanmlin
flow	iyowlɛ
flower	flɛri
flu	atre ya
fluent	wehin
fluent	titi
fluently	kin titi
fluffy	mon'tonh
fluid	be ti
fly	tu n'glo
fly	tu
focus	n'ga a akun'nda wo su
fog	yan'sue
foggy	yanssue
fold	klu i
folks	sran kaka
follow	su i su
follow up	issu nianlɛ
follow up	nian su
following	n'ga su i su
food	like dilɛ
food	aliɛ
fool	siman n'gulɛlɛ
foolish	sin'zin
foot	jã
football	ban'non
for	nan
For example	kle kun
for instance	n'ga tiɔ
for you	ɔ liɛ
forbidden	n'ga be kula yo man
force	wumien
forecast	sun'zu
forehead	iti su
foreign	eti ɛ su
forest	aofuen
forever	ʃin kula
forget	wulafi
forgive	yaki
forgot	wla fi
fork	fuchɛti
fork	atiɛ
form	i wafa
formal	pkin me bulɛ
former	lã
fortunately	nianmien ti
fortune	sika
fortune	lika pka n'ga sran lɛ i
forty	abla n'nan
forty-two	abla n'nan ni n'ɲon
forward	ibue n'ssu
foster	yo i publicite
fought	bu kɛ
found	gnin li
foundation	association
four	n'nan
fourteen	blu ni n'nan
fox	soklo n'gbli
fragile	etiman kekle
frame	inuanssu
framework	ihun'muan
framework	lika sɔ
fraud	walɛ
freak	didii
freak	srɛ like
free	n'gbin
freedom	alaje
freeze	jɔ
freeze	glace
frequency	ʃin vie
frequent	titi
frequently	tʃin vie
fresh	jɔ
friday	ya
fridge	frigidɛr
friend	dja n'vuɛ
friendly	javuɛ nu
friends	javuɛ mu
friendship	javuɛ
frightened	srɛ kun yi
frightening	srɛ like
frog	klɛ
from	efafi'n
front	iɲu'nu
frozen	djɔ kelkle
fruit	waka n'ma
frustrated	eyo ya
fuel	essenci
Fulfulde	Fulfulde
full	yiwa
fun	n'guã
function	i liɛ n'ga e yo
fundamental	like kpa
funeral	sɛ bo
funny	kle srilɛ
fur	n'ninh n'drɛ
furious	fa aya
furniture	sua nu nin'gue mu
further	ikunu
furthermore	ye wlu ikunu pka
future	ayiman
gain	gnan
game	n'guã
gap	i afien
garage	loto siesie wlɛ lika
garbage	wla
garden	ijre
garlic	layi
gate	anuan
gather	bo i kpɔlɛ
gather	yissa
gathering	yissa
gauge	sun'zu
gave	manli
gear	machini nin'gue
gender	bla anzɛ yassua
general	i n'gba nu
generally	i klwa nu
generate	man like
generation	afuɛ kun nu sran
generous	kunu ufue
genius	like kpa
genre	i wafa
gentle	kunnu wufue
genuine	ikpa yin
gesture	sa siesie lɛ
get	gnan
get dressed	wla tralɛ
get up	jasso
get well soon	yo juejue
getting	ɲan i
ghost	wumien
ghosting	umien
giant	kpannangblan wun
gift	akatua
ginger	assiɛbo sa
girl	blã
girlfriend	jan'vuɛ bla
give	man
give up	yaki nu
given	manli
glad	yo fɛ
glance	nian
glass	verri
glass	nian'nu
glasses	verri mu
glimpse	nian nu
glimpse	wun' i
global	i n'gba
gloomy	dun'wa
gloves	be sa gan
glow	kpajalɛ
glow up	kpaja
glue	kɔli
go	kɔ
go ahead	kɔ
go away	kɔ lɔ
go to bed	kɔla
goal	i viewlɛ
goals	agun'da nu
goat	boli
god	nian'mien
god bless you	nianmien wuka wɔ
goes	si'in
going	kɔ
going to	kɔ lɛ su
gold	sika ɔkulɛ
gone	wɔli
gonna	kɔ
goo	n'ga seri
goo	n'ga ti mlonlon
good	kpa
good afternoon	mo wonti
good afternoon	bã wonti
good bye	ye tɛ wo nu
good day	tʃin kpa
good evening	Ba wossi'n o
good evening	awossi'n o
good job	mo
good looking	e ti kpa
good looking	e fite kpa
good luck	min nianmien suman ɔ
good morning	arɛ ho
good morning	aɲiho
good morning my love	arɛ o mi soman
good night	awossi'n ho
good night	lafi kpa
goodbye	ye tɛ wo nu
goodnight	ye wo ayin'man
goods	sran like'm
Google	Google
Google Translate	Google n'ga be fa kan anien kun
goose	labu labu
gorgeous	klanhan kpa
gossip	sran wun n'dɛ kan fuɛ
got	ɲan i
got it	gnan li i
government	awa
grab	tranu
grade	i juman
gradually	kan'gan
graduate	diplɔmi
grain	n'ma
grant	man ati'n
granted	man li ati'n
grapes	waka n'ma n'ga be fa yo divin
grasp	tra nu
grass	ijre
grateful	e si yo
gratitude	e si ye
grave	tɛ
gray	ble kɛ n'zuen
great	etikpka
greed	aliɛ dilɛ dan
greedy	aliɛ di fuɛ kpli
green	ble kɛ n'ɲa
greet	yo like
greeting	like yolɛ
greetings	like yowa
grey	ble kɛ fa sa
grid	jajawlɛ
grief	awuyomo
grind	yo mugu mugu
grind	ti'n
grip	fa
grip	tra nu
grocery	lika n'ga be yo tro nin'gue atɛ
groom	yi
groom	wun'
gross	i n'gba
ground	assiɛ
group	be sran kaka
grow	gni
growth	ɲilɛ
grumpy	kula aya fa
Guarani	Guarani
guarantee	ewa yo su
guard	sran n'ga nian lika su
guess	bu i akun'nda
guest	awofuɛ
guidance	kle kle lɛ
guide	kle ati'n
guilty	yi ɛ yo li
guy	yassua
guys	ɲa mu
gym	spori yolɛ
habit	tralɛ
habitat	tranwlɛ
had	gnin
hail	yo like
hail	n'ma
hair	ti muen
hair	ti n'drɛ
half	bue
hall	sua kunu dan
hand	sa
handle	yo ni be sa
handsome	klanman
handsome	klanhan
hang	sen'de
hang out	fite
hang out	ɲoin
happen	si'n
happened	n'ga sin'li
happiness	akunu juɛ
happy	yo i fɛ
happy birthday	mo ni wɔ afuɛ tchin yi
happy birthday to you	tʃin n'ga be wuwo issu fetri
happy new year	mo ni tʃin
hard	kekle
hardly	kekle
hardly ever	e ti kekle
harm	ya
harm	tɛ
harmful	ya
harmony	n'ga yo klan'man
harsh	kekleke
harvest	n'ga a ɲin i
has	e ɲan
hate	eklo man sran
have	lɛ
have a good day	min ɔ tʃinin sin kpa
have a nice day	min andɛ yo kpa man wɔ
have breakfast	di aliɛ
have fun	kan n'gua
have you eaten	ye bobo ye wun
having	lɛ i
hazard	n'gbin sa
haze	yan'sue
he	ibɔbɔ
he has	e lɛ
he is	e ti
head	be ti
headache	tiya
heal	mian'mian
heal	yo juejue
healing	yo juejue
health	juejue
healthy	juejue
hear	ti sa
heard	ti li
heart	awlin
heat	do
heaven	an'glo
heavy	non'ni
hectic	like juejue
height	i n'glo n'glo su
heir	ke sran wu issi'n nin'gue fafue mu
heist	walɛ
heist	avie
held	fali
hell	blɔlɔ
Hello	Anouho
hello dear	arɛ o
hello dear	agni o
hello how are you	agni o awun ti kpa
hello how are you doing	anuo awun ti pka
helmet	moto kle
help	wuka
helpful	ewuka
hence	issotiɛ
her	i
herd	bua mu
herd	nan'ni mu
here	wa
heritage	aja ningue
hesitate	bu i sin
Hey	aɲo
Hi	Anouho
hi how are you	aɲio ahun ti kpa
Hi there	amu aɲio
hidden	fia
hide	fia
hierarchy	pkin mu
high	n'glo
highlight	kle
hike	blo kolɛ
hiking	ye wlan blo
hilarious	ekle srilɛ
hill	kpɔlɛ su
him	yi
hint	ɔ yin wo su
hip	keje
hips	sran vi
hire	fa wɔ di juman
hiring	fa juman fuɛ
his	i
history	lã n'dɛ
hit	bo i
Hmm	Hmm
hobby	n'guã
hold	tranu
hold on	jran
hole	kuman
holiday	blɛ n'ga be do wun'mien
hollow	lika kplala
home	awlo
homework	awlo juman
honest	sran kpa
honest	sran n'ga be lafi issu
honestly	kunu su
Honey	awɔma n'zue
honor	min' i wumien
hood	ti tre
hood	kle
hook	tra
hop	tu tra su
hope	minndɛ
hopefully	e lafi su
hopeless	e kɔ yoman su
horizontal	n'ga ja wɔ n'gbigbi nu
horn	ponh'ponh'
horrible	tɛ kpa
horror	n'ga yo srɛ
horse	kpanngɔ
hospital	dɔtrɔ
hospitality	sran nu solɛ
host	tranfuɛ
hostile	klo man sran
hot	do wa
hotel	hotɛli
hour	dɔ
hours	dɔ'mu
house	sua
household	suanu
how	issɛ
how about you	ye ɔ li
how are you	ahou'nti kpa
how are you doing	ahou'nti kpa
how are you doing today	n'zu yɛ assu yo andɛ
how are you today	awun ti pka an'de
how do you do	ahun ti kpa
how is	e ti sɛ
how many	n'ɲɛ
how much	n'gnɛ
how often	tʃin beni
how old are you	alɛ afuɛ n'gnɛ
how was your day	andɛ ti sɛ
how was your night	a lafi kpa
however	sanguɛ
hub	pkɛ i wun
hubby	mi wun
hug	yo atuu
huge	dan kpa
human	sran
humble	sran kpa
humid	duawa
humidity	duawa
hundred	ya'kun
hungry	awo
hunt	konien
hurricane	n'zue n'ga tɔ tɛ
hurry	nin'dɛ
hurry up	yo n'nindɛ
hurt	bo wla
husband	wu'n
hustle	keje
hut	nan'mue nu suaba
hygiene	n'ga ti san'wu
I	Mi
I am	n'ti
I am fine	mi wun ti kpa
I can	N'kula
I can't	n'kulaman
I do	N'yo
I do not know	n'si man
I do not understand	n'ti man
I don't	n'kula man
I don't know	n'ssiman
I don't understand	N'ti man
I don't understand what you mean	N'ti man n'ga awin kan i
I don't understand you	n'ti man
I don’t know	n'ssiman
I don’t understand	n'ti man
i guess	n'bukɛ
I had	N'lɛ i
I have	n'lɛ
I have been	N'yoli
I hope so	n'bu i sɔ
I know	n'ssi
I like	n'klo
I like you	n'klo ɔ
I love	n'klo ɔ
I love my big brother	n'klo wɔ mi niãn bian
I love my big sister	n'klo wɔ mi niãn bla
I love my father	n'klo wɔ mi baba
I love my little brother	n'klo wɔ mi niãn bian
I love my little sister	n'klo wɔ mi niãn bla
I love my mother	n'klo wɔ mi ni
I love you	n'klowɔ
I love you so much	n'klowɔ kpa
I love you too	n'klo ɔ vie
I mean	mi yin yo
I miss you	n'wlã do wɔ
I miss you so much	n'wlã do wɔ
I see	n'wun yi
I think	n'bukɛ
I understand	n'tili
I want	n'kundɛ kɛ
I want to see you	mi yin n'wun wɔ
I want you	n'kundɛ wɔ
I was	n'ti
I will	n'kula
I would be	N'yoli
I'm	n'ti
I'm fine	mi wu'n ti kpa
I'm good	mi wu'n ti kpa
I'm here	n'wolɛ
I'm sorry	yaki
ice	glaci
ice cream	glassi
idea	akun'nda
ideal	n'ga ti kpa
identical	i kun'gba
identify	duman
identity	duman
idiot	sin'zi
idiot	sin'gli'n
idle	n'ga di ya juman kun
if	sɛ
ignore	n'tan tɛ su
ill	usandi man ɔ
illegal	n'ga ti a n'mla su
illness	tukpatʃɛ
Ilocano	Ilocano
image	foto
imagine	bu i akun'nda
immediate	itchra
immediately	itchra
immense	pkan'gban
immense	dan
impact	i n'ga effa yo i su
impatient	kwla midɛ man
implement	sie ilɛ
import	fa wlu
important	nin'gue kpa
impose	yo i kekle nu
impossible	n'ga sran kula yo man
impress	kle i wun
impression	i wafa n'ga a wu'n i
impressive	kpakpa
improve	yo i kpa
improvement	iyolɛ kpa
in	ikunu
in	inu
in addition	ekun
In fact	yɛ
in front of	i ɲunu
in order to	nan
inappropriate	e ti man kpa
incentive	n'ga man wɔ umien
incident	n'dɛ tɛ
include	ewonu
including	ewonu
income	sika n'ga a ɲin i
inconvenience	ibue tɛ
increase	wukassu
increase	guassu
increased	wuka su
incredible	n'ga a lafi a su
indeed	iti yɛ
independent	di ibɔbɔ i juman
India	Indi
indicate	kle ni be sa
indigenous	sran n'ga be tran issoɔ klɔ su
individual	sran
industry	usini ni nin'gue
inevitable	non n'ga wa yossu
infant	bakan'nu
infection	tupka tʃɛ
infinity	n'ga vie man de
inflammation	kan'ni
inflation	issu ukaɛ
influence	wafa n'ga eyo ɔ su
inform	kan kle i
information	n'dɛma
ingredients	nin'gue n'ga be fa yo mu
inheritance	i atin'
initial	ibo
initiative	fa ajalɛ
injured	like ya
injury	kan'ni
innocent	nin yi ɔ
innovation	i wuflɛ yo lɛ
inquiry	wussalɛ
insane	fia
insect	kakã
insecure	ti tɛ
insert	fa wlu
inside	i kunu
insight	wunli
insist	tin'su
insist	kin kpa
insomnia	kɛ lafilɛ kuman sran
inspiration	wu mien
inspire	man wumien
inspire	do wumien
install	sie
instance	n'ga tɛ wolɛ
instant	dɔ
instead	ɔ maan
instead of	e ti kɛ
instructions	klekle lɛ
instrument	like
insult	kpɛ n'zua
insurance	assuranci
intact	e ti kun'gba
integrity	nanwlɛ fuɛ
intellectual	fluwa sifuɛ
intelligence	si n'gwlɛlɛ
intelligent	n'gulɛlɛ
intend	wlɔ akun'nda
intended	n'ga a kun'dɛ
intense	dɔwun'
intention	i akun'nda
interact	ijɔ ni
interaction	be afien like yolɛ
interest	n'gundɛ
interested	n'kula
interesting	yo fɛ
interfere	wla aliɛ nu
intermediate	like n'ga wo bé afien
internal	ikunu
international	minh n'gba nu
internship	nin'gue suanlɛ
interpret	yiyi nu
interpret	kin iwuflɛ
interpreter	sran n'ga yijɔ be ɲunu
interpreter	be ɲunu yijɔle
interrupt	kpɛ
interview	sran qosan wusalɛ
intimate	n'ga sran wun'man nu
into	inu
introduce	kle ɔ wun
introduction	ibo bo lɛ
introvert	eyi jɔman
intuition	like kun cemi kɛ
invalid	ti man kpa
invent	yo like kun
inventory	n'ga be yo be
invest	wla i liɛ nu
investigate	enketi
investigate	qosan wusalɛ
invitation	flɛlɛ
invite	flɛ yi
invoice	ressu
involve	n'ga yo
involved	n'ga e yo
iron	blãlɛ
is	eti
island	assiɛ klikli
isolated	y'a i wun'mi
issue	n'dɛ
issues	n'dɛ
issues	sã
it	e
it is	eti
it was	eti
it's	e ti
it's ok	e ti kpa
it's ok	e ti su
It's okay	eti kpa
It's okay	eti issu
item	like'm
items	like n'ma mu
its	i
I’m	n'ti
jacket	vɛssi
jail	bisua
January	Angbɔ sra
January	Janvie sra
jar	sɛ
jaw	awuje
jealous	aɲinblɔɛ
jerk	keje lɛ
jerk	fin'fin fuɛ
jewelry	bla mu me makiaji nin'gue
job	juman
jogging	be janu won'dilɛ
join	to be
joint	ikpɔlɛ
joke	kan n'goa
journalist	jurnalissi
journey	lika kɔlɛ
joy	akunu juɛ
judge	juji
juice	wakama n'zue
july	juye
jump	tu tra
june	zuen
junk	nin'gue fien
junk	wla
just	eti su
just do it	yo sa
justice	n'ga ti issu
justify	kle kle nu
Kalaallisut	Kalaallisut
keen	juejue
keep	tra'nu
keep it up	yaki i sɔ
keep it up	sie i
kept	sie li
kettle	sɛ
kettle	n'ga be ton n'zue nu
key	lakle
kick	fin'yi ni be ja
kick	tu i ja si yi
kid	bakan
kidding	klɔklɔ lɛ
kidney	vi
kids	bakan mu
kill	kun'i
kind	wafa
kinda	kan'han
kindly	ni kunu wufue
kindness	kunnu wufue
king	famien
kiss	min' i bise
kitchen	aliɛ ton'wlɛ
kite	n'ga e tu
kitten	djelua ba
knee	ja kpolɛ
knew	si i
knife	kue
knight	lã blofue me son'ja
know	si
knowledge	niggue n'ga e si yi
known	si i
Konkani	Konkani
Krio	Krio
label	issu n'zɔliɛ
labor	jūman
labour	juman
lack	n'ga numanlɛ
ladder	echɛli
lady	talua
laid	sie
lake	n'zue
lamb	bua wa
lame	jaya fuɛ
lamp	kan'nien
land	assiɛ
landscape	like n'ga ye wun be
landscape	lika
language	anien
lap	kpɛ i wun
large	gba hum
last	issien liɛ
last but not least	issien san'guɛ nan i kan
last name	ɔ baba duman
late	issien
lately	issien
later	issien
latest	i sien
latter	sien
laugh	sri
laughing	srilɛ
laughter	srilε
launch	to lɔ
laundry	nin'gue pkulɛ
law	justici
law	n'mla
lawn	n'mla
lawyer	avoca
lawyer	juji
lay	lahi
layer	n'ga la su
layout	i sie sielɛ
lazy	n'vɛɛ
lead	kle ati'n
leader	be su pkin
leaf	n'gna
leak	essin
leak	wondilɛ
lean	kanhan
leap	tu tra su
learn	suan
learning	like suan lɛ
lease	fa sua
least	ikanhan kpa
leather	n'nin kpolo
leave	djasso lɛ
leaves	kɔ
led	kle atin
left	ewɔ li
leg	ja
legacy	aja ningue
legal	n'ga ti issu
legend	lã n'dɛ
legit	n'ga ti n'mla su
leisure	n'guã
lend	man kalɛ
lend	man like
length	issu'n n'zuwlɛ
less	i kahan
lesson	n'gwlɛlɛ
let	ye
letter	fluwa
letter	lettri
lettuce	saladi
level	i tin'nin su
level	i ssu i
leverage	mahini n'ga be fa man su
liability	issu lafilɛ
library	blɔfutɛ fluwa sua
lick	tafi
lie	ato
lies	ato
life	min
lift	man su
light	sɛssɛ
light	kanhan
lightning	n'gblanlan
like	kɛ
likely	n'ga won yo su
likewise	ikun'gba
line	ɲan'man
Lingala	Lingala
link	be afien like
lion	jra
lion	asɔmɔli
liquid	n'zue
list	i bobo lɛ
listen	sie wɔ su
listening	be su sielɛ
listening	sie assu
literally	ibuebue
literature	fluwa nu n'dɛ
litter	i n'ma n'ma
little	kanhan
live	tran
liver	i bɔ
lives	min
living	tran
living room	salon nu
living room	sua ba dan
lizard	ben'ze
lizard	apa'nba
lizard	otekun'
load	sua
loaf	pkanhu
loan	kalɛ
local	ye wa liɛ
location	fa ni sika
lock	tonu
lockdown	sua nu fia lɛ
log	wlu nu
lol	srilɛ
lonely	iwumi
long	tin'nin
long time no see	wa tʃɛ n'wunman wɔ
look	nian
loop	inu tolɛ
loose	mli'n
lord	famien
lose	m'li
loss	mli
lost	mlin'
lot	ibue
loud	pkan
lounge	sua kunu
love	klolɛ
love you	klo ɔ
lovely	klo klanhan
low	ibolɔ
lower	ija n'gua
loyal	eti ɔ liɛ
loyalty	sran n'ga kula yo man o tɛ
luck	muaye
lucky	alɛ muaye
Luganda	Luganda
luggage	trɔ
lump	bue
lump	pko
lunch	aliɛ dilɛ
lungs	taflan'man
luxury	wlogbi like
lying	ato kanlɛ
machine	machini
mad	fia fuɛ
madam	mo bla
made	yoli
magazine	fluwa
magazine	jurnali
magnificent	klanhan
maid	sua nu juman di fuɛ bla
main	iba
maintain	yassɔ
maintain	sie issɔ
maintenance	issiessie lɛ
Maithili	Maithili
major	inii
major	iba
majority	be n'gba
make	siessie
make	yoo
make up	bla me makiyagi
male	yassua
mall	lika n'ga be yo nin'gue mu
man	yassua
man	bian
manage	sie
manage	nian su
management	issu nian lɛ
manager	be su pkin
mandatory	n'ga ti su kɛ be yo
manifest	kle i wu
manipulate	kin kin i
manipulate	yo
manner	iwafa
manual	be sanu
many	kaka
many many happy returns of the day	n'tʃin yoli fɛ an'dɛ
march	nanti
margin	i bue
market	gua
marriage	aja
married	waja
mask	be ɲunu kata le like
mass	be n'gba
massive	dãn
master	si iyi yo
match	be yanu
mate	javuɛ
material	like ma'm
math	matematiki
math	nin'gue siesiewa
matter	likessɔ
maturity	blolɛ
may	ekula
maybe	kpɔkun
me	n'bɔbɔ
me too	n'bɔbɔ vie
meal	aliɛ
mean	ati'n
meaning	i bo
means	ibo
means	ibo'm
meant	i n'ga ekan
meanwhile	lɛ fan
meanwhile	ikun'gba
measure	sun'nzu wlɛ
measures	nin'gue nuan falɛ
meat	aliɛ
medical	dɔrttrɔ
medicine	dɔtrɔ
meditation	akun'nda bulɛ
medium	be n'ga be ni wunmiɛn’mu bé yijɔ
meet	yanu
meeting	yaya
Meiteilon	Meiteilon
melt	san'gan nu
memories	n'ga ye fa sie ye tinu
memory	iti nu
mental	n'gwlɛlɛ
mention	niggue
mention	kan
mentioned	kanli
mentor	ye pkin
merchant	like atɛ yo fuɛ
mercy	anvo
merely	n'gbin sa
merry christmas	mo ni ʃin
mess	suku suku
message	n'galiɛ
message	suman
messy	sran suku fuɛ
messy	fien
metal	blalɛ
method	iwafa n'ga be fa yo
mice	gbekle mu
middle	i afien
midnight	minui
might	ekula
mild	monton
mild	muen
milestone	i bue kun
military	so'nja
milk	nun'nun'
million	apki
mind	akunda
mindset	akun'nda
mine	miliɛ
mingle	be wla be wun nu
mingle	san'gan nu
minor	kan
minute	miniti
minutes	dɔ
minutes	miniti
miracle	like n'ga iyolɛ ti kekle
mirror	nian'nu
miscellaneous	bue kaka
mischievous	si n'gwlɛlɛ
mischievous	yo nin'gue tɛ
miserable	yalɛ
misery	yalɛ
miss	ɲinmin i
miss you	n'wlã do wɔ
missing	m'li li
mission	juman n'ga be fa man wɔ
mist	yan'sue
mistake	a fɔn
Mizo	Mizo
mobile	n'ga nanti
mock	sri
model	i wafa
moderate	blɛ blɛ
modern	issienlin like
modest	eyi jɔman
moist	dua
moisture	n'duntre
mold	fien
mole	kpakpato
mom	man'mi
moment	dɔ vie
monday	kissie
money	sika
monitor	nin'gue klefuɛ
monkey	n'do
month	nuan
mood	wawɛ
mood	anwlin
moody	n'ga ti a like fi
moody	n'ga kaki nin'dɛ
moon	an'glo ba
moral	akun'nda
more	ekun
more	kaka
moreover	eni
moreover	ekun
morning	n'glɛmu
mortgage	garanti
mortgage	sua mu
most	dɔ wun
mostly	kaka lika
mother	ni
mother	man'mi
motion	be to blin
motivation	jassolɛ
mountain	kpɔlɛ
mouse	gbekle
mouth	nuan
move	tu abo
move	kɔ
movement	keje lɛ
movie	filmi
mrs	bian
much	kaka
much	son'li
mud	faduawa
mud	pɔtɔpɔtɔ
mug	kpon'gbo
mug	pleti
muscle	wu'mien
museum	sua n'ga be sie la nin'gue me lɔ
mushroom	n'dre
music	jue
must	eyokɛ
mute	kaki
mutual	ayo be yo ɔ vie
my	mi
My dear	Mi niãn
My dear	Mi sran kpa
my friend	n'javuɛ
My hovercraft is full of eels	Mi n'zue su ale jue ble ma yi i
my love	sran n'ga n'klo i
my name is	mi duman yɛlɛ
my name is	be flɛmi kɛ
my pleasure	eyo mi fɛ
myself	n'bɔbɔ
mysterious	n'ga be sia nu
mystery	n'ga be siɛ i
myth	like n'ga be siman nu pka
nail	sabu
naive	e si man
name	dun'man
narrative	yijolɛ
narrow	kanhan
nasty	kunnu vi
national	wafa assiɛ n'su
nationality	wɔ akpasua
native	be wu yi lɛ
natural	nianmien nin'gue
nature	blo
nature	ijre ni waka mu
nausea	fiɛ
near	iwu'n
near	mantan i
nearby	i wun lɛ
nearly	koko
neat	sran sun'nzu fuɛ
necessary	n'ga sran etissu kɛ eyo
neck	kɔmi
necklace	be kɔmi nu gnãn
need	n'ga n'lɛmin i
negative	tiã pka
neglect	nan fɛ i pka
negotiate	gua dilɛ
negotiate	inu n'dɛ kanlɛ
neighbor	be n'ga be tran ɔ sua wun'
neighborhood	be n'ga yeni be ye tran
neither	nan be n'nion nion
nephew	niaan bla anzɛ niaan yassua i wa
nerd	n'ga si ngwlɛlɛ
nervous	faaya nin'dɛ
nest	n'nin sua
net	gnan'man
network	rezo i
neutral	n'ga yo man like fi
never	de
never give up	nan jrin i de
never mind	nan tɛ su
nevermind	nan tɛ su
nevertheless	kɔ kun
new	uflɛ
news	n'dɛmu
next	issi liɛ
next to	iwun
nice	klanhan
nice to meet you	ɔ wu'nlɛ n'ga n'wun wɔ e yo n'fɛ
niece	n'nian wa
night	kuɛ guɛ
nightmare	laliɛ tɛ
nine	n'gwlan
nineteen	blu ni n'gwlan
ninety	abla n'gwlan
No	Tchɛtchɛ
no problem	n'dɛnuman lɛ
no way	kplinman su
nobody	sran fi
noise	ndɛ’n truli
noisy	yijɔlɛ kaka
none	vie fi
none	like fi
noon	midi
nope	tʃɛ tʃɛ
nope	ɛ ɛ
nor	ekun
normal	n'ga ti issu
north	i n'glo lika
nose	bue
nostalgic	yin kpin lã su
not	nan
not at all	n'in i n'gba
not bad	e ti a tɛ
Not now	Nan itʃra
not yet	nan ka
note	klɛlɛ
noted	n'tili
nothing	like fi
notice	nian su
noticed	nian i n'zɔliɛ
noun	duman
nouns	duman mu
novel	fluwa
november	novembri
now	itchra
nowadays	issien
nuisance	woya woya like mu
null	like fi
numb	yo non'ni
number	inuan
nurse	dɔtrɔ bla
nut	n'ma
nutmeg	waka n'ma
nutrition	aliɛ dillɛ like
oath	n'da talɛ
obesity	ke sran ti dan
obey	ti sran nuan n'dɛssu
object	like
objective	n'ga ye sun'nzu su
obligation	mmla
obscure	ble
observation	niãnlɛ
observe	nian be
obsessed	afe iti
obsession	n'ga be yin' osu
obsolete	n'ga be di a su kun
obstacle	nin'gue kekle
obtain	gnin i
obtained	ɲin i
obvious	eti nanwlɛ
obviously	tissu kpa
occasionally	le vie
occasionally	tʃin vie'm
occupation	djuman
occupation	like n'ga be yo
occupied	eyo like
occur	n'gassi'n li
occurred	n'ga sin li
occurs	n'ga sin
ocean	je n'zue
october	oktobri
odd	eti ya issu
odds	saka saka
of	i
of course	etissu
off	nuan wa
offensive	wutre di lɛ
offer	fa man
office	juman diwlɛ sua
