a	Ein
friday	fríggjadagur
fridge	kuldaskáp
friend	vindur
friendly	vinarligur
friends	vinir
friendship	vinalag
frightened	bangin
frightening	ræðandi
frog	froskur
from	frá
front	forsíða
frozen	fryst
fruit	frukt
frustrated	vónbrotin
fuel	brennievni
Fulfulde	Fullfulde
full	fullur
fun	f
fun	stuttleiki
function	virki
fundamental	grundarlag
funeral	jarðarferð
funny	stuttligur
fur	pelsur
furious	í øðini
furniture	innbúgv
further	víðari
furthermore	harafturat
future	framtíð
gain	røkka
game	spæl
gap	hol
garage	bilhús
garbage	rusk
garden	urtagarður
garlic	hítleykur
gate	portur
gather	savna
gathering	savnan
gauge	mát
gave	gav
gear	útgerð
gender	kyn
general	generalur
general	vanligur
generally	vanliga
generate	framleiða
generation	ættarlið
generous	gávumildur
generous	hásinnaður
genius	flogvit
genre	slag
gentle	varligur
genuine	sannur
gesture	bragd
get	fáa
get	fáa hendur á
get dressed	lat teg í
get up	oom upp
get up	statt upp
get well soon	góðan bata
getting	fáa
ghost	spøkilsi
ghosting	at slíta persónlig sambond uttan orð ella eið
giant	risi
gift	gáva
ginger	ingifer
girl	genta
girlfriend	unnusta
give	geva út
give up	geva upp
given	givið
glad	glaður
glance	eygnabragd
glass	glas
glasses	brillur
glimpse	glotti
global	alheimsligur
gloomy	myrkur
gloves	handskar
glow	glóð
glow up	lýs upp
glue	lím
go	fara
go ahead	koyr avstað
go away	far burtur
go to bed	far í song
goal	máliska
goals	mál
goat	geit
god	guð
god bless you	gud signi teg
goes	gongur
going	fer
going to	fer
gold	gull
gone	farin
gonna	fari
goo	smikur
good	gott
good afternoon	góðan seinnapart
good bye	farvæl
good day	góðan dag
good evening	gott kvøld
good job	væl úr hondum greitt
good looking	sær gott út
good luck	góða eydnu
good morning	góðan morgun
good morning my love	góðan morgun, mín elskaði
good morning my love	góðan morgun, mín elskaða
good night	góða nátt
goodbye	farvæl
goodnight	góða nátt
goods	ognarlutir
Google	Google
Google Translate	Google týðing
goose	gás
gorgeous	glæsiligur
gorgeous	prýðiligur
gorgeous	strálandi
gossip	slatur
got	fekk
got it	eg skilji
government	stjórn
grab	taka
grade	stig
gradually	smátt um smátt
graduate	taka prógv
grain	korn
grant	játtan
granted	viðganga
grapes	drúur
grasp	tak
grass	gras
grateful	takksamur
gratitude	takksemi
grave	grøv
gray	grátt
great	stórfingin
great	frálíkt
great	stórur
greed	girnd
greedy	grammur
green	grønt
greet	heilsa
greeting	heilsan
greetings	helsur
grey	gráur
grid	rist
grid	grind
grief	sorg
grind	knúsan
grip	tak
grocery	vøra
groom	røkta
gross	meginpartur
ground	jørð
group	bólkur
grow	vaksa
growth	vøkstur
grumpy	í ringum lag
Guarani	Guarani
guarantee	garanti
guard	vakt
guess	gita
guest	gestur
guidance	leiðbeining
guide	leiðari
guilty	skydlugur
guy	jassur
guys	dreingir
gym	venjingarstøð
habit	vani
habitat	heimstaður
habitat	umhvørvi
had	hevði
hail	heilsa
hail	heglingur
hair	hár
half	hálvur
hall	høll
hand	hond
hand	handa
handle	handtak
handsome	vakur
hang	hongur
hang out	hanga út
happen	henda
happen	fara fram
happened	hendi
happiness	eydna
happy	glaður
happy birthday	tillukku
happy birthday to you	tillukku við føðingardegnum
happy new year	gott nýggjár
hard	harður
hard	hart
hardly	neyvan
hardly ever	so at siga aldri
harm	skaða
harmful	skaðiligur
harmony	samljóð
harsh	harður
harvest	akurskurður
has	hevur
hate	hatur
have	hava
have a good day	eg ynski tær ein góðan dag
have a nice day	eg ynski tær ein góðan dag
have breakfast	fá tær morgunmat
have fun	stuttleika sær
have you eaten	hevur tú etið
having	hava
hazard	tilvild
haze	tám
he	hann
he has	hann hevur
he is	hann er
head	høvd
headache	høvuðpína
heal	lekja
healing	leking
health	heilsa
healthy	sunnur
hear	hoyra
heard	hoyrdi
heart	hjarta
heat	hiti
heaven	himmalin
heaven	himmiríkið
heavy	tungur
hectic	fjáltrandi
height	hædd
heir	arvingi
heist	rán
held	helt
hell	helviti
hell	helheimur
Hello	Hey
hello dear	hey góði
hello dear	hey góða
hello how are you	hey, hvussu hevur tú tað
hello how are you doing	hey, hvussu hevur tú tað
helmet	hjálmur
help	hjálp
helpful	hjálpsamur
hence	eftir hetta
her	hennara
herd	fylgi
here	her
heritage	arvalutur
hesitate	drála
Hey	Hey
Hi	Hey
hi how are you	hey, hvussu hevur tú tað
Hi there	Hey
hidden	goymdur
hide	goyma
hierarchy	stigveldi
high	høgur
high	høgt
highlight	hápunkt
hike	gongutúrur
hiking	gongutúrur
hilarious	látuligt
hill	heyggjur
him	hann
hint	ábending
hip	nútímans
hips	mjadnar
hire	bústaðareiga
hiring	leigan
his	hansara
history	søga
hit	sláa
Hmm	Hmmm
hobby	frítíðaráhugi
hold	halda
hold on	bíða við
hole	hol
holiday	frídagur
hollow	hola
home	heima
home	heim
homework	heimaarbeiði
honest	reiðiligur
honest	heiðurligur
honest	ærligur
honestly	ærliga
Honey	góði
Honey	søti
Honey	Hunangur
honor	æra
hood	hetta
hood	grannalag
hook	húkur
hop	hopp
hope	vón
hope	vóna
hopefully	vónandi
hopeless	vónleysur
horizontal	vætnrættur
horn	lúður
horn	horn
horrible	ræðuligt
horror	ræðsla
horse	hestur
hospital	sjúkrahús
hospitality	gestablídni
host	húsbóndi
host	vertur
hostile	illviljaður
hot	heitur
hot	heitt
hotel	gistingarhús
hour	tími
hours	tímar
house	hús
household	húsarhald
how	hvussu
how about you	hvussu við tær
how are you	hvussu hevur tú tað
how are you doing	hvussu hevur tú tað
how are you doing today	hvussu hevur tú tað í dag
how are you today	hvussu hevur tú tað í dag
how do you do	hvussu hevur tú tað
how is	hvussu hevur
how many	hvussu nógv
how much	hvussu nógv
how often	hvussu ofta
how old are you	hvussu gamal er tú
how old are you	hvussu gomul er tú
how was your day	hvussu var dagur tín
how was your night	hvussu var kvøld títt
however	kortini
however	hvussu enn
hub	miðdepil
hubby	maður
hug	klemm
huge	stórt
human	menniskja
humble	eyðmjúkur
humid	slagin
humidity	slag
hundred	hunrað
hungry	svangur
hunt	veiða
hurricane	ódn
hurry	skundur
hurry up	skunda tær
hurt	pína
hurt	skaði
hurt	illkennan
husband	maki
husband	maður
hustle	fólk við áræði
hustle	trokan
hut	smátta
hygiene	reinføri
I	Eg
I am	Eg eri
I am fine	eg havi tað gott
I can	eg kann
I can't	eg kann ikki
I do	eg geri
I do not know	eg veit ikki
I do not understand	eg skilji ikki
I don't	eg ikki
I don't know	eg veit ikki
I don't understand	Eg skilji ikki
I don't understand what you mean	eg skilji teg ikki
I don't understand what you mean	eg skilji ikki
I don't understand what you mean	hvat tú meinar
I don't understand you	eg skilji teg ikki
I don’t know	eg veit ikki
I don’t understand	eg skilji ikki
i guess	eg haldi
I had	eg hevði
I have	eg havi
I have been	eg havi verið
I hope so	Tað vóni eg
I know	Eg veit
I know	Eg eri greiður yvir
I like	mær dámar
I like you	mær dámar teg
I love	Eg elski
I love my big brother	eg elski stórabeiggja mín
I love my big sister	eg elski stórusystir mína
I love my father	eg elski pápa mín
I love my little brother	eg elski beiggja mín
I love my little sister	eg elski lítlusystir mína
I love my mother	eg elski mammu mína
I love you	Eg elski teg
I love you so much	eg elski teg so høgt
I love you so much	eg elski teg so nógv
I love you too	eg elski eisini teg
I mean	i meini
I miss you	Eg sakni teg
I miss you so much	eg sakni teg so nógv
I see	eg skilji
I think	eg haldi
I understand	Eg skilji
I want	eg vil
I want to see you	eg vil síggja teg
I want you	eg vil hava teg
I was	eg var
I will	eg vil
I would be	I vildi verið
I'm	Eg eri
I'm fine	Eg havi tað gott
I'm good	eg eri góður
I'm here	eg eri her
I'm sorry	orsaka
I'm sorry	tað harmar meg
ice	ísur
ice cream	ísur
idea	hugskot
ideal	fyrimynd
identical	samlíkur
identify	eyðmerkja
identity	samleiki
idiot	býttlingur
idle	letast
if	um
ignore	skúgva til viks
ill	sjúk
illegal	ólógligur
illness	sjúka
Ilocano	Ilocano
image	mynd
imagine	ímynda
immediate	í stundini
immediately	í stundini
immediately	beinanvegin
immense	ómetaligur
impact	ávirkan
impatient	ótolin
implement	fremja
implement	tól
import	innflutningur
important	týdningarmikið
impose	áleggja
impossible	ógjørligt
impress	merki
impress	seta dám á
impression	mynd
impressive	undranarverdur
improve	betra
improvement	betran
in	í
in addition	avtrat
In fact	satt at siga
in front of	framman fyri
in order to	í mun til
inappropriate	óhóskandi
incentive	eggjan
incident	hending
include	fata um
include	fevna um
including	íroknaður
income	inntøka
inconvenience	ómakur
increase	víðka
increased	økt
incredible	ótrúligt
indeed	í roynd og veru
indeed	ja
indeed	veruliga
independent	sjálvstøðugur persónur
India	India
indicate	vísa á
indigenous	innføddur
individual	persónur
individual	menniskja
individual	einstaklingur
industry	íðni
inevitable	óumberligur
infant	barn
infection	smitta
infinity	endaloysi
inflammation	bruni
inflation	virðisminkan
influence	ávirkan
inform	upplýsa
information	kunning
ingredients	partar
inheritance	arvur
initial	forbókstavur
initiative	framtakshugur
injured	særdur
injury	skaði
innocent	ósekur
innovation	nýmenning
inquiry	spurningur
insane	ørur
insane	vitleysur
insect	skordýr
insecure	ósikkur
insert	innskot
inside	innaní
inside	inni
insight	innlit
insist	halda fast við
insomnia	andvekur
inspiration	íblástur
inspire	íblása
install	seta í
instance	skel
instant	í stundini
instead	i staðin fyri
instead	í staðin
instead of	í staðin fyri
instructions	vegleiðingar
instrument	ljóðføri
insult	misbjóðing
insurance	trygging
intact	órørdur
integrity	heild
intellectual	mentafólk
intelligence	skilvit
intelligent	gløggur
intend	hava í huga
intended	ætlað
intense	inniligur
intention	endamál
interact	ávirkan
interaction	sín ámillum ávirkan
interest	áhugi
interested	áhugaður
interesting	áhugavert
interfere	fara uppí
interfere	leggja uppí
intermediate	sum liggur ímillum
internal	innan
international	altjóða
internship	starvsvenjing
interpret	tulka
interpreter	tolkur
interrupt	órógva
interview	samrøða
intimate	inniligur
into	inn í
introduce	navnkenna
introduce	byrja við
introduction	innleiðsla
introvert	innanhokið fólk
intuition	hugskygni
invalid	ógildugur
invalid	avlamisfólk
invent	uppfinna
inventory	uppgerð
invest	seta í
investigate	kanna
invitation	innbjóðan
invite	bjóða
invoice	faktura
involve	draga inn í
involved	torgreiddur
iron	jarn
is	er
island	oyggj
isolated	avbyrgdur
issue	spurningur
issue	trupulleiki
issue	stríðsmál
issues	trupulleiki
it	tað
it is	tað er
it was	tað var
it's	tað er
it's ok	tað er í lagi
It's okay	tað er í lagi
item	lutur
items	lutir
its	tað er
I’m	eg eri
jacket	jakki
jail	fongsul
January	januar
jar	krukka
jaw	kjálkabein
jealous	øvundsjúkur
jerk	rykk
jewelry	prýðislutur
job	starv
jogging	jogging
join	luttaka
joint	marihuanasigarett
joke	skemt
journalist	tíðindafólk
journey	ferð
joy	gleði
judge	døma
juice	saft
july	juli
jump	loypa
june	juni
junk	skrell
just	beint
just	júst
just do it	ger tað bara
justice	rættvísi
justify	rættvísgera
Kalaallisut	Kalaallsut
keen	harmast um
keen	syrgja
keep	borgartorn
keep	halda
keep	hava
keep it up	halt á
kept	hevði
kettle	ketil
key	lykil
kick	sparka
kid	barn
kidding	roksa
kidney	nýra
kids	børn
kill	drepa
kind	fittur
kind	vinaligur
kind	blíður
kinda	eitt slag av
kindly	vinaliga
kindness	blíðskapur
king	kongur
kiss	mussur
kitchen	køkur
kite	dreki
kitten	kettlingur
knee	knæ
knew	visti
knife	knívur
knight	riddari
know	vita
knowledge	vitan
known	kendur
Konkani	Konkani
Krio	Krio
label	frámerki
labor	arbeiði
labour	arbeiði
lack	trongd
lack	tørvur
lack	trot
ladder	stigi
lady	kvinna
laid	legði
laid	pappír við vatnmerkjum
lake	á
lamb	lamb
lame	gera haltan
lamp	lampa
land	land
landscape	landslag
language	mál
lap	fang
large	stórur
last	seinast
last	síðstur
last but not least	at enda, men ikki minst
last name	eftirnavn
late	seinur
lately	nýliga
later	seinni
latest	síðstur
latter	seinni
laugh	flenna
laughing	flenna
laughter	látur
launch	seta gongd á
laundry	klædnavask
law	lóg
lawn	grasvøllur
lawyer	sakførari
lay	liggja
layer	lag
layout	skipna
lazy	dovin
lead	leiða
leader	leiðari
leaf	blað
leak	leki
lean	klænur
leap	lop
learn	lærari
learning	læring
lease	leiga
least	minstur
leather	leður
leave	fara frá
leave	fara avstað
leave	fara
leaves	bløð
led	leiddi
left	vinstru
leg	bein
legacy	arvur
legal	lógligur
legend	søgn
legend	halgistøða
legit	sambært reglunum
leisure	frítíð
lend	læna
length	longd
less	minni
lesson	leksia
let	lat
letter	bræv
lettuce	høvuðssalat
level	stig
leverage	vág
liability	lyndi
library	bókasavn
lick	slikka
lie	lygn
lie	lúgva
lies	lygnir
life	lív
life	lívið
lift	lyfta
light	lætt
light	ljós
lightning	snarljós
like	beinleiðis
like	næstan
like	sum ein
likely	sannlíkur
likewise	somuleiðis
line	lína
Lingala	Lingala
link	leinkja
lion	ljón
liquid	væta
list	listi
listen	lurta
listening	lurta
literally	bókstaviliga
literally	orðarætt
literature	bókmentir
litter	ólag
litter	rusk
little	lítil
live	liva
liver	livur
lives	lív
living	lív
living room	stova
lizard	oydla
load	byrði
loaf	breyð
loan	lán
local	innføddur
location	staður
lock	lás
lockdown	afturlating
log	bulur
lol	lol
lonely	einsamallur
long	langur
long time no see	langt síðan seinast
look	hygg
look	útsjónd
loop	lykkja
loose	tapa
lord	harri
lose	missa
loss	missur
lost	missa
lot	mongd
loud	hart
lounge	setstova
love	kærleiki
love you	eg elski teg
lovely	yndisligur
lovely	elskuligur
lovely	vænur
low	djúpur
low	lágur
low	veikur
lower	lægri
loyal	trúgvur
loyalty	trúfesti
luck	hepni
lucky	heppin
Luganda	Luganda
luggage	viðføri
lump	knykil
lunch	miðmáli
lunch	løtt máltíð
lungs	lungu
luxury	marglæti
lying	liggur
machine	maskina
mad	óður
madam	frú
made	gjørdur
magazine	vikublað
magnificent	frálíkur
maid	arbeiðskona
main	høvuðs
maintain	varðveita
maintain	halda skil á
maintenance	skilahald
maintenance	røkt
maintenance	varðveiðsla
Maithili	Mathili
major	stórur
major	majorur
majority	meirlutin
make	gera
make up	smyrsl
male	maður
mall	handilsmiðdepil
man	maður
manage	standa fyri
management	leiðsla
manager	leiðari
mandatory	yvirræðisveldi
mandatory	kravdur
mandatory	álagdur
manifest	yvirlýsing
manipulate	manipulera
manner	háttur
manual	handbók
many	mong
many	nógv
many many happy returns of the day	nógvar nógvar gleðiligar afturkomur
march	hergonga
margin	breddi
market	marknaður
marriage	hjúnarband
married	giftur
mask	maska
mass	mongd
massive	førur
master	meistarin
match	maki
match	dystur
match	svávulpinnur
mate	felagi
material	tilfar
math	støddfrøði
matter	mál
matter	søk
matter	sak
maturity	búning
may	kunna
maybe	kanska
maybe	møguliga
me	mær
me	meg
me too	og eg
me too	eisini eg
meal	máltíð
mean	týða
mean	merkja
meaning	týdningur
means	merkir
meant	meinti
meanwhile	ímeðan
measure	mál
measure	mát
measures	mátingar
meat	kjøt
medical	heilsukanning
medicine	heilivágur
meditation	meditatión
medium	miðal
meet	møta
meeting	fundur
Meiteilon	Meteillon
melt	bráðna
memories	minni
memory	minni
mental	andligur
mention	nevna
mentioned	umrøddi
mentor	vegleiðari
merchant	handilsmaður
mercy	miskunn
merely	bara
merry christmas	gleðilig jól
mess	órudd
message	boð
messy	óruddiligur
metal	málmur
method	háttur
mice	mýs
middle	miðal
midnight	midnátt
might	máttur
might	kunna
mild	mildur
mild	blíður
milestone	mílasteinur
military	hervaldið
milk	mjólk
million	millión
mind	vit
mind	sinni
mind	skil
mindset	hugburður
mine	mínir
mine	mítt
mine	mín
mingle	blanda seg við
minor	moll
minor	lítil
minute	minutt
minutes	minuttir
miracle	undur
mirror	spegil
miscellaneous	ymiskur
mischievous	skálkaligur
miserable	vánaligur
misery	vesaladómur
miss	sakna
miss	ikki raka mál
miss you	sakni teg
missing	horvin
mission	sendinevnd
mist	tám
mistake	mistak
Mizo	Mizo
mobile	flytførur
mock	halda fyri gjøldur
model	modell
moderate	tálma
modern	nútíðar
modest	lítillátaður
moist	bleytt
moisture	væta
mold	evna
mole	moldvørpa
mom	mamma
mom	móðir
moment	løta
monday	mánadagur
money	peningur
monitor	vakmyndatól
monkey	apa
month	mánaði
mood	hugalag
mood	lag
moody	lúnutur
moon	máni
moral	boðskapur
more	meir
moreover	og so
morning	morgun
mortgage	veðbræv
most	flestir
most	mestur
mostly	helst
mother	mamma
mother	móðir
motion	rørsla
motivation	íblástur
mountain	fjall
mouse	mús
mouth	muður
move	rørsla
movement	rørsla
movie	filmur
mrs	frú
much	nógv
mud	runa
mug	krúss
muscle	vøddi
museum	savn
mushroom	hundaland
music	tónleikur
must	mást
mute	ljóðdoyvari
mutual	felags
my	mín
My dear	mín kæri
My dear	mín kæra
my friend	vinur mín
My hovercraft is full of eels	mítt luftpútfar er fult av ????
my love	mín elskaði
my name is	eg eiti
my pleasure	gleðin er mín
myself	eg
mysterious	loyndarfullur
mystery	loynidómur
myth	frumsøgn
nail	negl
naive	góðvarin
name	navn
narrative	søga
narrow	smalur
nasty	andstyggiligur
nasty	ræðuligur
national	ríkisborgarar
nationality	tjóðskapur
native	upprunaligur
natural	natúrtalent
nature	náttúra
nausea	vaml
near	nærka seg
near	nær
near	nærkast
nearby	nærindis
nearly	næstan
neat	nossligur
neat	reinur
neat	neyt
necessary	neyðugt
neck	halsur
necklace	hálsketa
need	hava tørv á
negative	neiligur
neglect	misrøkt
negotiate	tingast
negotiate	samráðast
neighbor	granni
neighborhood	grannalag
neither	hvørgan
neither	hvørki
nephew	bróðursonur
nephew	systirsonur
nerd	nørdur
nervous	fjáltrutur
nest	reiður
net	net
network	netverk
neutral	uttanveltaður
never	aldri
never give up	gev aldri upp
never mind	gott er
never mind	líkamikið
nevermind	líka mikið
nevertheless	líkamikið
nevertheless	óansæð
new	nýgjgur
news	tíðindi
next	næsti
next to	næstur at
nice	góður
nice	vakur
nice	deiligur
nice to meet you	hugnaligt at hitta teg
nice to meet you	gott at hitta teg
niece	systirdóttir
night	nátt
nightmare	marra
nine	nýggju
nineteen	nítjan
ninety	níti
ninety	hálvfems
No	Nei
no problem	ikki nakar trupulleiki
no problem	ikki ein trupulleiki
no problem	ongin trupulleiki
no way	aldri í lívinum
nobody	ongin
noise	larmur
noisy	larmandi
none	eingin
noon	middagur
nope	nei
nor	heldur ikki
normal	vanligur
north	norður
nose	nøs
nostalgic	sorgblíður
not	ikki
not at all	yvirhøvir ikki
not bad	ikki so galið
Not now	ikki nú
not yet	ikki enn
note	upprit
noted	kendur
nothing	onki
notice	bitið merki í
notice	leggja til merkis
noticed	frásøgn
noun	navn
nouns	navnorð
novel	stuttsøga
november	novembur
now	nú
nowadays	nú
nuisance	plága
null	null
numb	stirðna
number	nummar
nurse	sjúkrasystir
nut	nøt
nutmeg	muskatnøt
nutrition	føðsla
nutrition	matur
oath	eiður
obesity	fiti
obey	akta
object	lutur
objective	mið
obligation	skuldbinding
obscure	krógva
observation	eygleiðing
observe	eygleiða
obsessed	tráseta
obsession	tráseting
obsolete	avlagdur
obstacle	forðan
obtain	fáa
obtained	útgvegað
obvious	eyðsýndur
obviously	sjálvandi
obviously	eyðsæð
obviously	vituliga
occasionally	av og á
occupation	starv
occupied	upptikin
occur	henda
occur	koma fyri
occur	bera á
occurred	hendi
occurred	fór fram
occurs	hendur
occurs	koma fyri
ocean	hav
october	oktobur
odd	løgin
odd	løgið
odds	útlit
of	av
of course	sjálvandi
of course	sjálvsagt
off	rýma
off	fara
offensive	atsókn
offer	bjóða
office	skrivstova
official	almennur
often	ofta
often	tíðum
often	mangan
Oh	Áh
oh really	veruliga
oil	olja
ok	ok
ok dear	í lagi, góða
ok dear	í lagi, góði
ok honey	okey, góði
ok honey	okey, góða
ok my love	í lagi, mín elskaði
ok my love	í lagi, mín elskaða
okay	okey
okay	tað er í lagi
okay baby	okey, góði
okay baby	okey, góða
okay dear	okey, góði
okay dear	okey, góða
okay honey	okey, góða
okay my love	alt í lagi, mín elskaða
okay my love	í lagi, mín elskaði
okay my love	okey, mín elskaða
old	gamal
on	á
once	einusinni
once	eina ferð
one	ein
one language is never enough	mál okkara er aldri nóg mikið
onion	leykur
online	álinju
only	einans
open	opin
operation	virksemi
opinion	meining
opinion	áskoðan
opinion	hugsan
opportunities	møguleikar
opportunity	møgueliki
opposite	mótsetningur
optimistic	bjartskygdur
option	møguleiki
optional	valfríur
or	ella
orange	appilsin
order	sum fæst í lag
order	sum valdar
order	sum er
ordinary	vanligur
organization	felag
orientation	kunning
origin	uppruni
original	frumrit
Oromo	Oramo
orphan	faðir- og móðirloysingur
other	onnur
otherwise	øðrvísi
ought	átti
our	iókkara
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Ørindi okkara: at gera øll, allastaðni før fyri at skilja heimin og at úttrykkja seg
Our mission: to organize the world's information and make it universally accessible and useful.	Ørindi okkara: at skipa heimsins kunning og gera hana alheims atkomuliga og nýtiliga
out	út
outcome	úrslit
outfit	búni
outgoing	vinaligur og fryntligur
outlet	sølustaður
outline	yvilit
outside	uttandura
outside	uttanfyri
outstanding	framúrskarandi
oven	ovnur
over	yvir
over there	yviri har
overall	arbeiðskittil
overcome	basa
overthinking	yvirhugsan
overwhelmed	floyma yvir
overwhelmed	fløða
overwhelming	øgiligur
owe	eiga
owl	ugla
own	egið
owner	eigari
owner	ánari
ox	oksi
pace	ferð
pack	knýti
package	pakki
paid	rindaði
pain	pína
paint	máling
painting	máling
pair	par
pale	bleikur
palm	lógvi
pan	panna
pandemic	farsótt
panic	ótti
panic	skelkur
panic	ræðsla
pants	buksur
paper	pappír
paradise	paradís
parallel	samsvara
parcel	pakkiu
pardon	fyrgeving
parents	foreldur
park	park
parrot	pappageykur
parsley	persilla
part	partur
participate	vera við í
particular	eina helst
particular	serstakliga
particularly	serliga
partner	maki
party	veitsla
pass	skarð
pass	atgonguseðil
pass	pass
passage	gjøgnumgongd
passed	staðin
passion	ovurhugur
passion	gessur
passionate	ovurhugaður
passive	óvirkin
password	loyniorð
past	fortíð
patch	lappi
path	gøta
path	leið
path	rás
pathetic	syndarligur
patience	tolmóð
patience	tolni
patient	sjúklingur
patient	tolin
pattern	mynstur
pause	støðgur
pavement	gongubreyt
pay	gjalda
pay	rinda
payment	gjalding
peace	friður
peaceful	friðarligur
peach	ferska
peak	toppur
pear	pera
peas	bønir
peculiar	løgin
pee	piss
peel	flus
peer	stara
peers	javnlíkar
pen	pennur
pencil	pennur
pending	sum liggur í óvissu
pending	óavgjørdur
people	menniskju
people	fólk
pepper	pipar
perceive	hoyra
perception	fatan
perfect	fullkomin
perform	framføra
performance	framførsla
perhaps	kanska
perhaps	møguliga
period	mánasjúka
period	tíðarskeið
permanent	varandi
permission	loyvi
permit	loyvi
perseverance	áhaldni
persistent	áhaldandi
person	persónur
personal	persónligur
personality	persónsmenska
perspective	sjónarmið
persuade	fáa
persuade	yvirtala
pervert	kynsligur frávíkur
pet	kelidjór
phase	stig
phenomenon	merkisvert fyribrigdi
philosophy	heimspeki
phone	telefon
photo	myndapartur
phrase	orðafelli
physical	kropsliga
pick	heinta
pick up	heinta
pick up	taka upp í
picture	mynd
piece	friður
pieces	stykkir
pig	grísur
pigeon	dúgva
pile	stápla
pillow	koddi
pilot	flogskipari
pin	nál
pineapple	ananas
pink	ljósareytt
pit	hol
pitch	í hæddini
pitch	tóni
pitch	kast
pity	samkensla
place	staður
places	støð
plague	plaga
plague	pest
plain	slætti
plain	skilligur
plain	greiður
plan	ætlan
plane	flogfar
plant	planta
plants	plantur
plate	borðiskur
platform	pallgrund
play	spæla
playing	spælur
pleasant	góður
please	vinaliga
please	ger so væl
pleased	nøgdur
pleasure	gleði
pleasure	frøi
pleasure	hugur
pledge	tilsøgn
plenty	nógv
plot	ráðagerð
plug	proppur
plum	blomma
plumber	rørsmiður
plural	fleirtal
podcast	poddvarp
poem	yrking
poetry	yrkingar
point	punkt
point	oddur
poison	eitur
police	løgregla
policy	politikkur
polite	høviskur
pollution	dálking
pond	hylur
pool	svimjihylur
poop	kukka
poor	fátakur
pop	popptónleikur
popular	vælumtóktur
population	íbúgvar
pork	grísur
porridge	greytur
port	havnarbýur
position	støða
positive	jaligur
possess	eiga
possession	ognir
possessive	ráðaríkur
possible	møguliga
post	postur
postpone	útseta
potato	epli
potential	møgulig megi
potential	menningarmøguleiki
pound	pund
poverty	fátækradømi
power	máttur
power	megi
power	styrki
powerful	vald
practical	verkligur
practice	venja
praise	rós
prank	skálkabragd
pray	bøn
precious	virðismikil
precise	nágreinur
precisely	nágreiniliga
predict	spáa
prefer	dáma betur
preference	serstakur tokki
pregnant	við barn
prejudice	fordómur
premises	inngangur
premium	høgt mettur
premium	viðbót
preparation	fyrireiking
prepare	fyrireika
prepared	fyrireikaður
preposition	fyriseting
presence	nærvera
present	gáva
present	nútíð
presentation	framløga
preserve	súltað
president	forseti
press	pressa
pressure	trýst
pretend	lata eins og
pretty	vakur
prevent	fyribyrgja
previous	virðismikil
prey	fongur
price	kostnaður
pride	erpni
pride	stoltleiki
pride	hugmóð
priest	prestur
primary	høvuðsmál
prime	besta tíð
princess	prinsessa
principal	stjóri
prior	fyrri
priority	raðfesting
prison	fongsul
prison	fangahús
privacy	einvera
private	einskildur
privilege	framíhjárættur
prize	kostnaður
probably	møguliga
problem	trupulleiki
procedure	mannagongd
proceed	líða
process	gongd
produce	framleiða
product	vøra
production	framleiðsla
profession	starv
professional	yrkisfólk
profile	vangamynd
profit	vinningur
profound	ógvuliga
progress	framgongd
project	verkætlan
prominent	framúrskarandi
promise	lyfti
promote	arbeiða fyri
promotion	virkan
prompt	áminning
prone	fram á
pronouns	fornøvn
pronunciation	framburður
proof	prógv
proper	rættiligur
properly	ogn
properties	ognir
property	ognarlutir
property	ogn
property	fæ
proposal	uppskot
prospect	útlit
prosperity	ogn
prosperous	múgvandi
protect	verja
proud	errin
prove	prógva
provide	síggja fyri
provide	útvega
provided	treytað av
province	landslutur
provision	útvegan
puberty	kynsbúningur
public	almenningur
pull	skumpa
pumpkin	graskar
punctual	stundisligur
pupil	næmingur
purchase	útvegan
purchase	keyp
purchase	ognan
pure	reinur
purple	korkalittur
purpose	mál
purpose	mið
purpose	endamál
purse	taska
pursue	elta
pursuit	elta
push	skumpa
put	leggja
put	seta
qualification	útbúgving
quality	góðska
quantity	mongd
quarantine	sóttarhald
quarrel	klandur
quarter	fjórðingur
Quechua	Quechua
queen	drottning
queer	djeikari
query	spurningur
question	spurningur
queue	røð
quick	skjótur
quickly	skjótt
quiet	stilt
quiet	kvirt
quilt	vattteppi
quit	fara úr
quit	siga upp
quit	gevast
quite	heilt
quite	fullkomuliga
quite	púra
quiz	spurnakapping
quotation	sitat
quote	taka til
quote	sitera
quotes	sitera
rabbit	hara
race	kappleikur
rage	vreiði
rain	regn
raise	reisa
raise	ala
raised	framskorin
ran	rann
random	tilvildarligt
range	rað
rapid	skjótur
rapidly	í skundi
rare	sjáldsamur
rare	óvanligur
rare	dýrur
rarely	sjaldan
rash	útbrot
rat	rotta
rate	stig
rather	heldur
ratio	lutfall
rational	skyndamur
raw	rátt
reach	røkka
reached	rokkið
reaction	viðbragd
read	lesa
reading	lesing
ready	til reiðar
real	veruligur
reality	veruleiki
realize	seta í verk
realize	útinna
realized	setti í verk
really	álvaratos
really	veruliga
rear	afturpartur
reason	orsøk
reasonable	skynsamur
recall	minnast
receipt	kvittan
receipt	móttøka
receive	fáa
receive	taka ímóti
received	fáa
received	taka ímóti
received	hoyra
recent	nýliga
recently	fyri stuttum
recently	stutt síðan
reception	móttøka
recipe	uppskrift
reckless	forsin
recognition	afturkenning
recognize	kennast við
recognize	kenna aftur
recommend	viðmæla
recommended	viðmæla
