abandon	dhiisuu
fairy	osoo wal hincaalchisin
faith	amantii
faithful	amanamaa
fake	gowwoomsaa
fall	kufuu
false	soba
fame	beekamtii
familiar	beekamaa
family	maatii
famine	beela
famous	beekamaa
fancy	miidhagaa
fan	deeggaraa
fantastic	baay'ee dinqii
farewell	geggeessaa
far	fagoo
farm	bakkee qonnaa
farmer	qotee bulaa
fascinating	garmalee kan nama harkisu
fashion	faashinii
fast	ariifataa
fatal	kan du'atti geessu
fate	hiree
fat	furdaa
father	abbaa
fatigue	bututaa
fault	dogoggora
favorite	waan jaallatan
favourite	jaallatamaa
favour	oolmaa
fear	sodaa
feast	nyaachisa
feather	baallee
feature	amala
features	amaloota
february	gurraandhala
fed up	nuffe
feedback	duubdeebii
feed	sooruu
fee	kaffaltii
feeling	miira
feel	itti dhagaa'amuu
feet	miilla
fell	kufe
fellow	hiriyaa
felt	itti dhagaa'ame
female	dhalaa
fence	dallaa
fertile	gabbataa
festival	ayyaaneffannaa
fetch	waraabuu
fever	dhaqna gubaa
fewer	muraasa
few	muraasa
fiance	kaadhimaa
fiction	asoosama
field	dirree
fierce	balaafamaa
fifteen	kudha shan
fifty	shantama
fighting	wal loluu
fight	loluu
figure	lakkoofsa
figure out	bira ga'uu
file	dosee
filled	guutamaa
fill	guutuu
film	fiilmii
filthy	samaa
finally	dhumarratti
finance	maallaqa
financial	kan maallaqaa
find	argachuu
find out	bira ga'uu
fine	nagaa
finger	quba
finished	xumurame
finish	xumuruu
fire	abidda
firm	kan hin sochoone
first	jalqaba
first name	maqaa jalqabaa
fish	qurxummii
fit	itti ta'uu
five	shan
fixed	dhaabbataa
fix	sirreessuu
flag	alaabaa
flash	balaqqee
flat	battee
flaw	dadhabina
flawless	mudaa kan hin qabne
flee	baqachuu
flesh	foon
flew	barrise
flex	daddabuu
flexible	daddabuu kan danda'u
flight	balallii
flip	garagalchuu
flirt	fedha fooniif namatti harkifamuu
flirting	fedha fooniitiif mo'achuu yaaluu
float	bololi'uu
flood	lolaa
floor	lafa
flour	daakuu
flower	abaaboo
flow	yaa'uu
fluent	afaan tokko sirriitti kan dubbatu
fluently	salphaatti sirriitti of ibsuudhaan
fluffy	lallaafaa
fluid	dhangala'aa
flu	qufaa
fly	barrisuu
focus	xiyyeeffannoo kennuu
foggy	hurrii tiifuu qabu
fog	huurrii
fold	dachaasuu
folks	uummata
follow	hordofuu
following	hordofuu
follow up	hordoffii
food	nyaata
fool	gowwaa
foolish	gowwaa
football	kubbaa miillaa
foot	miilla
forbidden	dhorkamaa
force	humna
forecast	raaguu
forehead	adda
foreign	orma
forest	bosona
forever	barabaraan
For example	Fakkeenyaaf
for	-f
forget	irraanfachuu
forgive	dhiifama gochuu
forgot	irraanfate
for instance	fakkeenyaaf
fork	shukkaa
formal	idilee
former	kan duraanii
form	unka
fortunately	akka carraa ta'ee
fortune	qabeenya
forty	afurtama
forty-two	afurtamii lama
forward	gara fuulduraatti
for you	siif
foster	guddisuu
fought	lole
found	arge
foundation	hundee
four	afur
fourteen	kudha afur
fox	sardiida
fragile	salphaatti kan cabu
frame	caasaa wayitti marsee taa'uu
framework	caasaa wanta tokko tumsu
fraud	waliin dha'uu
freak	wanta baratameen ala kan ta'e
free	bilisa
freedom	bilisummaa
freeze	cabbeessuu
frequency	irradeddeebii
frequent	irradeddeebii
frequently	irra-deddeebiin
fresh	haaraa
friday	jimaata
fridge	kottolleessaa
friend	hiriyaa
friendly	simataa
friendship	hiriyummaa
friends	hiriyoota
frightened	na'aa
frightening	rifaasisaa
frog	fattee
from	irraa
front	adda
frozen	cabbaa'aa
fruit	muduraa
frustrated	kan humni bu'e
fuel	boba'aa
Fulfulde	Fulfuldee
full	guutuu
fun	bohaarsaa
function	faayidaa
fundamental	bu'uura
funeral	awwaalcha
funny	kofalchiisaa
furious	baay'ee kan aare
furniture	meeshaalee mana keessaa
fur	suufii
further	daran
furthermore	dabalataanis
future	egeree
gain	argachuu
game	tapha
gap	qaawwaa
garage	garaajii
garbage	kosii
garden	qe'ee biqiltuu
garlic	qullubbii adii
gate	balbala
gathering	walitti qabuu
gather	walitti qabuu
gauge	lakkooftuu
gave	kenne
gear	ilkaan mootoraa
gender	koorniyaa
generally	akka waliigalaatti
general	waliigala
generate	maddisiisuu
generation	dhaloota
generous	arjaa
genius	kan sammuun baay'ee cimaa
genre	akaakuu
gentle	tasgabbaa'aa
genuine	sobi kan keessa hinjirre
gesture	milikkita qaamaan kennuu
get	argadhu
get dressed	uffadhu
getting	argachuu
get up	ol ka'i
get well soon	dafii fayyi
ghost	ekeraa
ghosting	osoo itti hin yaadamin hariiroo jaalalaa dhaabuu
giant	guddaa
gift	kennaa
ginger	jinjibila
girl	dubara
girlfriend	hiriyaa durbaa
give	kennuu
given	kenname
give up	harka kennuu
glad	gammaduu
glance	mil'uu
glasses	fuulleewwan
glass	fuullee
glimpse	liphsuu
global	kan addunyaa
gloomy	dukkanaa'aa
gloves	golgaa harkatti uffatan
glow	ifa kennuu
glow up	guddachuu
glue	haancaa
go ahead	itti fufi
goal	galma
goals	galma
goat	re'ee
go away	narraa deemi
god bless you	waaqayyo si haa eebbisu
go	deemi
god	waaqa
goes	ni deema
going	deemuu
going to	gochuufan
gold	warqee
gone	deeme
gonna	gochuufani
good afternoon	akkam ooltan
good bye	nagaatti
goodbye	nagaatti
good day	guyyaa gaarii
good evening	akkam ooltan
good	gaarii
good job	hojii gaarii
good looking	bareedaa
good luck	carraa gaarii
good morning	akkam bulte
good morning my love	akkam bulte jaalallee koo
good night	halkan gaarii
goodnight	nagaan buli
goods	shaqaxa
Google	Guugilii
Google Translate	Hiikkaa Guugilii
goose	daakiyyee
goo	wanta namatti qabatu
gorgeous	miidhagaa
gossip	hamachuu
got	argachuu
got it	naaf galeera
go to bed	gara ciisichaa deemi
government	mootummaa
grab	qabuu
grade	kutaa
gradually	suuta suuta
graduate	eebbifamuu
grain	ija midhaanii
granted	kennameef
grant	kennuu
grapes	ija muka wayinii
grasp	qabachuu
grass	marga
grateful	galata qabaachuu
gratitude	galata
grave	awwaala
gray	daalacha
great	guddaa
greed	ofittoo
greedy	ofittoo
green	magariisa
greeting	nagaa gaafachuu
greetings	nagaa
greet	nagaa gaafachuu
grey	daalacha
grid	sarara walqaqaxxaamuru
grief	gadda
grind	daakuu
grip	akka namarkaa hinbaanetti qabuu
grocery	dukkaana nyaataa
groom	dhirsa misirroo
gross	duuchaa
ground	lafa
group	garee
grow	guddachuu
growth	guddina
grumpy	dafee kan mufatu
Guarani	Guwaaraanii
guarantee	wabii
guard	eegduu
guess	tilmaamuu
guest	keessummaa
guidance	geggeessaa
guide	kallattii kennuu
guilty	yakkamummaa
guy	nama
guys	jara
gym	mana ispoortii
habit	amala
habitat	bakka jireenyaa
had	qabaate
hail	rooba cabbii makate
hair	rifeensa
half	walakkaa
hall	galma
hand	harka
handle	harkatti qabuu
handsome	bareedaa
hang	fannisuu
hang out	fannisuu
happened	raawwate
happen	ta'uu
happiness	gammachuu
happy birthday	baga guyyaa dhaloota kee geesse
happy birthday to you	baga guyyaa dhaloota kee geesse
happy	gammadaa
happy new year	baga bara haaraa geessan
hard	jabaa
hardly	akka hintaanetti
hardly ever	gonkumaa hin
harmful	miidhaa kan geessisu
harm	miidhuu
harmony	tokkummaa
harsh	hamaa
harvest	haamaa
has	qaba
hate	jibba
have a good day	nagaan ooli
have a nice day	guyyaa gaarii siif haa ta'u
have breakfast	ciree nyaadhu
have fun	taphadhu
have	qaba
have you eaten	ati nyaattee jirtaa
having	qabaachuu
hazard	balaa
haze	namatti joonja'uu
headache	mataa dhukkubbii
head	mataa
heal	fayyisuu
healing	fayyisuu
health	fayyaa
healthy	fayya-buleessa
heard	dhaga'e
hear	dhaga'uu
heart	onnee
heat	ho'a
heaven	biyya waaqaa
heavy	ulfaataa
hectic	hojii nuffisiisaan kan guute
he has	inni ... qaba
height	hojjaa
heir	dhaaltuu
he	isa
he is	inni ... dha
heist	saamicha
held	qabate
Hello	Akkam
hello dear	akkam jaallee
hello how are you	akkam fayyaa keetii
hello how are you doing	akkam jirtu fayyaa keetii
hell	si'ool
helmet	barneexxaa jabaa
helpful	kan fayyadu
help	gargaaruu
hence	kanaaf
herd	tuuta
here	as
heritage	duudhaa
her	kan ishee
hesitate	mamuu
Hey	Akkam
Hi	Akkam
hidden	dhokataa
hide	dhoksuu
hierarchy	sadarkaa
highlight	irra keessa
high	ol aanaa
hi how are you	akkam fayyaa keetii
hike	deemsa daawwannaa dheeraa miillaan deemuu
hiking	baadiyyaa keessa bashannanaaf miillaan deemuu
hilarious	baay'ee kan nama kofalchiisu
hill	tulluu
him	isa
hint	kallattii kennaa
hip	luqqeettuu
hips	luqqeettuu
hire	qacaruu
hiring	qacaruu
his	kan isaa
history	seenaa
Hi there	Achi kan jirtu
hit	rukutuu
Hmm	Hmm
hobby	wanta hojjechuu jaallatan
hold on	na eegi
hold	qabuu
hole	qaawwa
holiday	ayyaana
hollow	qaawwaa
home	mana
homework	hojii manaa
honest	amanamaa
honestly	dhugaa dubbachuudhaaf
Honey	Damma
honor	kabaja
hood	kuufiyyaa
hook	okkoo
hope	abdii
hopefully	abdii guutuu
hopeless	abdii kutataa
hop	shekkeluu
horizontal	dalga-galii
horn	gaanfa
horrible	rifaasisaa
horror	rifaatuu guddaa
horse	farda
hospital	hospitaala
hospitality	keessumsiisa
hostile	kan hin mijoofne
host	keessummeessaa
hotel	hoteela
hot	ho'aa
hour	sa'a
hours	sa'aatiiwwan
household	meeshaa manaa
house	mana
how about you	ati hoo
how	akkam
how are you	akkam jirta
how are you doing	akkam jirta
how are you doing today	akkam jirta har'a
how are you today	har'a akkam jirta
how do you do	akkam jirta
however	haa ta'u malee
how is	... akkami
how many	meeqa
how much	hammam
how often	yeroo hammam hammamiitti
how old are you	umuriin kee meeqa
how was your day	guyyaan har'aa akkam ture
how was your night	galgalli kee akkam ture
hubby	jaarsa
hub	wiirtuu
huge	guddaa
hug	hammachuu
human	dhala namaa
humble	gadi of deebisaa
humidity	qilleensa jiidha qabu
humid	qilleensa jiidha qabu
hundred	dhibba
hungry	beela'aa
hunt	adamsuu
hurricane	buubbee hamaa
hurry	ariifadhu
hurry up	daddafi
hurt	miidhuu
husband	abbaa warraa
hustle	gowwoomsanii maallaqa argachuu
hut	godoo
hygiene	qulqullina
I am	Ani ... dha
I am fine	An nagaa kooti
I	An
I can	An nan danda'a
I can't	An hin danda'u
ice	cabbii
ice cream	aayis kireemii
ideal	yaadaan
idea	yaada
identical	walfakkaatoo
identify	adda baasuu
identity	eenyummaa
idiot	kan waa hin galleef
idle	hojii malee kan taa'u
I do	nan godha
I do not know	An hin beeku
I do not understand	Naaf hin galu
I don't	An hin ...
I don’t know	An hin beeku
I don't know	Ani hin beeku
I don't understand	naaf hin galu
I don’t understand	Naaf hin galu
I don't understand what you mean	Wanti ati jettu naaf hin galu
I don't understand you	An sin hubadhu
if	yoo
ignore	simachuu diduu
i guess	akkan tilmaamutti
I had	An ... qaban ture
I have	Ani ... qaba
I have been	Ani ... oole
I hope so	Akkasuma jedheen abdadha
I know	beeka
I like	An nan jaalladha
I like you	natti tolta
ill	dhukkubsataa
illegal	seeraan ala
illness	dhibee
Ilocano	Ilookaanoo
I love	Ani nan ... jaalladha
I love my big brother	An obboleessa kiyya isa guddaa nan jaalladha
I love my big sister	An obboleettii kiyya isii guddoo nan jaalladha
I love my father	An abbaa kiyya nan jaalladha
I love my little brother	An obboleessa kiyya isa xiqqaa nan jaalladha
I love my little sister	An obboleettii kiyya isii xiqqoo nan jaalladha
I love my mother	An haadha kiyya nan jaalladha
I love you	sin jaalladha
I love you so much	Baay'een si jaalladha
I love you too	Anis sin jaalladha
image	bifa
imagine	yaadi
I'm	Ani ..dha
I’m	Ani ... dha
I mean	kanan jechuu barbaade
I'm fine	An nagaadha
I'm good	An gaariidha
I'm here	An asin jira
I miss you	Sin yaade
I miss you so much	Baay'een si yaade
immediately	yerosuma
immediate	yerooma sana
immense	baay'ee guddaa
impact	dhiibbaa itti uumuu
impatient	obsa kan hin qabne
implement	hojiitti hiikuu
important	barbaachisaa
import	biyya alaatii galchuu
impose	irra kaa'uu
impossible	kan hin danda'amne
impress	ajab nama jechisiisuu
impression	waa'ee waan tokkoo waan hubatame
impressive	kan namatti tolu
improve	fooyyessuu
improvement	fooyya'iinsa
I'm sorry	Dhiifama
in addition	dabalataanis
inappropriate	haala tokko keessatti sirrii kan hinta'in
incentive	deeggarsa maallaqaa hamilee tumsuuf godhamu
incident	taatee
include	itti dabaluu
including	dabalatee
income	galii
inconvenience	mijachuu diduu
increase	dabaluu
increased	dabale
incredible	kan amanuuf nama rakkisu
indeed	sirrumatti
independent	of danda'aa
India	Hindii
indicate	agarsiisuu
indigenous	kan biyya keessaa
individual	dhuunfaa
industry	indaastirii
inevitable	kan hin oolle
In fact	Dhugaa dubbachuudhaaf
infant	daa'ima reefuu dhalate
infection	hubama
infinity	dhuma kan hin qabne
inflammation	gubaa
inflation	gatiin qarshii gadi bu'uu
influence	dhiibbaa taasisuu
information	odeeffannoo
inform	beeksisuu
in front of	fuuldura
ingredients	mi'a dheedhii
inheritance	dhaala
initial	jalqaba
initiative	kaka'umsa
injured	miidhame
injury	miidhaa
in	keessa
innocent	kan badii hin qabne
innovation	argannoo
in order to	-f jecha
inquiry	gaaffii
insane	sammuun tuqamaa
insect	ilbiisa
insecure	kan ofitti hin amanne
insert	keessa galchuu
inside	keessa
insight	qalbii
insist	itti cichuu
insomnia	rakkoo hirribaa
inspiration	kaka'umsa
inspire	kakaasuu
install	itti fe'uu
instance	fakkeenya
instant	yeroodhuma sana
instead	bakka isaa
instead of	bakka isaa
instructions	qajeelfamoota
instrument	meeshaa
insult	arrabsuu
insurance	baraarsa
intact	kan hin tuqamne
integrity	amala amanamummaa
intellectual	hayyuu
intelligence	dandeettii beekumsa argatanii hojiitti hiikuu
intelligent	qaxalee
intended	kan yaadame
intend	yaaduu
intense	cimaa
intention	yaada
interaction	walitti dhufeenya
interact	wal quunnamuu
interested	itti harkifamuu
interest	fedhii
interesting	kan namatti tolu
interfere	gidduu seenuu
intermediate	giddugaleessa
internal	keessoo
international	idil-addunyaa
internship	turtii shakalaa
interpreter	nama afaan hiiku
interpret	hiikuu
interrupt	addaan kutuu
interview	af-gaaffii
intimate	baay'ee walitti kan dhiyaatan
into	gara keessaatti
introduce	beeksisuu
introduction	seensa
introvert	callisaa
intuition	kan ofumaan deeggarsa malee baran
invalid	fudhatama kan hinqabne
invent	kalaqa
inventory	eeruu
investigate	qorachuu
invest	maallaqa itti baasanii hojjechuu
invitation	afeerraa
invite	afeeruu
invoice	gaaffii kaffaltii
involved	hirmaate
involve	itti hirmaachuu
iron	sibiila
is	dha
I see	Nan arga
island	odola
isolated	adda ba'aa
issue	dhimma
issues	dhimmoota
items	wantoota
item	wanta
I think	Nan yaada
it	isa
it is	...dha
it's	inni ...dha
its	kansaa
It's okay	Homaa miti
it's ok	rakkoo hin qabu
it was	ture
I understand	Nan hubadha
I want	Nan barbaada
I want to see you	An si arguun barbaada
I want you	An sin barbaada
I was	Ani ... ture
I will	Ani nan..
I would be	Ani ....ta'a
jacket	jaakkeettii
jail	hidhuu
January	fulbaana
jar	jaarkaanii
jaw	mangaagaa
jealous	hinaafaa
jerk	gowwaa gadhee
jewelry	faaya
job	hojii
jogging	suuta fiiguu
join	itti makamuu
joint	bakka wanti lamaa fi isaa olii itti wal argu
joke	qoosaa
journalist	gaazexeessaa
journey	imala
joy	gammachuu
judge	abbaa murtii
juice	cuunfaa
july	bitootessa
jump	utaaluu
june	waxabajjii
junk	waan faayidaa hin qabne
just do it	callisiituma hojjedhu
just	haqa qabeessa
justice	haqa
justify	dhugummaa isaa agarsiisuu
Kalaallisut	Kalaallisut
keen	arguuf ariifataa
keen	gochuuf
keep it up	jabaadhuu itti fufi
keep	qabi
kept	eege
kettle	jabanaa
key	furtuu
kick	dhiituu
kid	daa'ima
kidding	qoosuu
kidney	kalee
kids	daa'imman
kill	ajjeesuu
kinda	akka
kind	akaakuu
kindly	kabajaan
kindness	garraamummaa
king	mootii
kiss	dhungoo
kitchen	kushiinaa
kite	akaakuu simbiraa joobira fakkaattu
kitten	ilmoolee adurree
knee	jilba
knew	bare
knife	haaduu
knight	goota
know	beeki
knowledge	beekumsa
known	beekamaa
Konkani	Konkaanii
Krio	Kiriyoo
label	mallattoo itti gochuu
labor	hojii humnaa
labour	da'umsa
lack	hanqina
ladder	yaabbannoo
lady	dubartii
laid	lafa kaa'e
lake	haroo
lamb	hoolaa
lame	naafa
lamp	kurraazii
land	lafa
landscape	taa'umsa lafaa
language	afaan
lap	sarbaa
large	bal'aa
last but not least	isa dhumaati garuu isa hundaa gadii miti
last	isa dhumaa
last name	maqaa akaakayyuu
late	barfachuu
lately	booddana
later	booda
latest	kan dhiyeenyaa
latter	booda
laughing	kolfuu
laugh	kolfuu
laughter	kolfa
launch	jalqabsiisuu
laundry	miiccaa
lawn	kaloo
law	seera
lawyer	abukaatoo
layer	baqqaana
lay	lafa kaa'uu
layout	tarreeffama
lazy	dhibaa'aa
leader	geggeessaa
lead	geggeessi
leaf	baala
leak	yaasuu
lean	hirkachuu
leap	utaalcha
learn	barachuu
learning	barachuu
lease	liizii
least	hunda caalaa xiqqaa
leather	gogaa
leave	gad dhiisi
leaves	baala
led	geggeesse
left	bitaa
legacy	ashaaraa
legal	seera qabeessa
legend	cimaa
legit	seera qabeessa
leg	luka
leisure	irraa hafaa
lend	ergisuu
length	dheerina
less	gad bu'aa
lesson	barumsa
let	haa
letter	xalayaa
lettuce	salaaxaa
level	sadarkaa
leverage	fonqolcha
liability	saaxilamummaa
library	mana kitaabaa
lick	arraabuu
lie	sobuu
lies	soba
life	jireenya
lift	kaasuu
light	ifa
lightning	balaqqeess
like	akka
likely	waan ta'u fakkaata
likewise	haaluma walfakkaatuun
line	sarara
Lingala	Liingaalaa
link	hidhata
lion	leenca
liquid	dhangala'aa
listen	dhaggeeffachuu
listening	dhaggeeffachuu
list	tarreeffama
literally	kallattiidhumaan
literature	og-barruu
litter	kosii
little	xiqqoo
live	jiraachuu
liver	tiruu
lives	lubbuuwwan
living	jiraachuu
living room	goorroo duuba
lizard	lootuu
load	ba'aa
loaf	cabaa
loan	liqaa
local	kan naannoo
location	bakka
lockdown	kutaa keessatti ittisuu
lock	furtuun cufuu
log	jirma
lol	kolfa na ajjeeste
lonely	qofaa ta'uu
long	dheeraa
long time no see	osoo wal hin argin bubbulle
look	ilaaluu
loop	furgaasuu
loose	itti laafaa
lord	gooftaa
lose	dhabuu
loss	kisaaraa
lost	baduu
lot	hedduu
loud	sagalee guddaa
lounge	bakka bashannanaa
love	jaalala
lovely	bareedduu
love you	sin jaalladha
lower	gadi buusuu
low	gadi bu'aa
loyal	amanamaa
loyalty	amanamummaa
luck	carraa
lucky	carra-qabeessa
Luganda	Lugaandaa
luggage	ba'aa imalaa
lump	bongolluu
lunch	laaqana
lungs	soomba
luxury	qannoo
lying	ciisuu
machine	maashinii
madam	giiftii
made	hojjetame
mad	maraataa
magazine	gaazexaa
magnificent	baay'ee gaarii
maid	hojjettuu mana keessaa
main	ijoo
maintain	akka jirutti tursuu
maintenance	suphaa
Maithili	Maayitiilii
major	angafa
majority	harki caalaan
make	hojjedhu
make up	dibata miidhaginaa
male	dhiira
mall	gamoo daldalaa guddaa
manage	bulchuu
management	hooggansa
manager	hoji-geggeessaa
mandatory	dirqama
manifest	mul'isuu
manipulate	akka fedhan gochuu
man	nama
manner	akkaataa
manual	kan harkaanii
many	hedduu
many many happy returns of the day	guyyaan kun deebi'ee haa dhufu
march	sadaasa
margin	andaara
market	gabaa
marriage	gaa'ela
married	kan fuudhe
mask	aguuguu
mass	hanga
massive	baay'ee guddaa
master	gooftaa
match	walsimuu
mate	gaansuu
material	meeshaa
math	herrega
matter	wanta
maturity	bilchina
maybe	tarii
may	ta'uu mala
meal	nyaata
me	ana
meaning	hiika
mean	jechuun
means	jechuun
meant	jechuu barbaade
meanwhile	yerooma wal fakkaatutti
measure	safaruu
measures	safartuuwwan
meat	foon
medical	kan wal'aansaa
medicine	qoricha
meditation	sammuu keessa nanaannessuu
medium	giddugaleessa
meeting	marii
meet	wal arguu
Meiteilon	Meeteelon
melt	baquu
memories	yaadannoowwan
memory	yaadannoo
mental	kan sammuu
mentioned	eerame
mention	eeruu
mentor	gorsaa
merchant	daldalaa
mercy	araara
merely	qofa
merry christmas	baga ayaana qillee geesse
message	ergaa
mess	jeequmsa
messy	waliin-dha'amaa
metal	sibiila
method	mala
me too	anis akkasuma
mice	hantuuta
middle	gidduu
midnight	halkan walakkaa
might	tarii
mild	giddugaleessa
milestone	guddina wanta tokkoo keessatti sadarkaa ba'ee mul'atu
military	loltuu
milk	aannan
million	miliyoona
mind	sammuu
mindset	ilaalcha dhaabbataa nama tokkoo
mine	kan koo
mingle	walitti makuu
minor	xiqqoo
minute	daqiiqaa
minutes	daqiiqaawwan
miracle	dinqii
mirror	of-ilaallee
miscellaneous	kan hin beekamne
mischievous	jeequmsa kan fidu
miserable	miidhamaa
misery	miidhama guddaa
missing	dhabuu
mission	ergama
miss	yaaduu
miss you	sin yaade
mistake	dogoggora
mist	hurrii
Mizo	Miizoo
mobile	sochootuu
mock	itti ga'isuu
model	adda duree
moderate	giddugaleessa
modern	ammayyaa
modest	murtaawaa
moist	jiidhaa
moisture	jiidha
mold	bocuu
mole	bineensa lafa urtee keessa jiraattu
mom	ayyoo
moment	yeroo gabaabduu
monday	wiixata
money	maallaqa
monitor	to'achuu
monkey	jaldeessa
month	ji'a
mood	haala
moody	amala salphaatti jijjiiramu
moon	addeessa
moral	kan safuu
more	caalaa
moreover	dabalataanis
morning	ganama
mortgage	kaffaltii yeroo yeroon ofirraa baasan
most	harka calu
mostly	irra-guddinaan
mother	haadha
motion	sochii
motivation	kaka'umsa
mountain	gaara
mouse	hantuuta
mouth	afaan
movement	sochii
move	socho'uu
movie	fiilmii
mrs	aadde
much	hedduu
mud	dhoqqee
mug	kubbaayyaa
muscle	maashaa
museum	godambaa
mushroom	waakkoo
music	muuziqaa
must	dirqama
mute	sagalee balleessuu
mutual	waloo
My dear	Jaalallee koo
my friend	hiriyaa koo
My hovercraft is full of eels	Konkolaataan lafaa-bishaanii kiyya qurxummii bofa fakkaatuun guute
my	koo
my love	jaalallee koo
my name is	maqaan koo
my pleasure	gammachuu kooti
myself	ofuma kiyya
mysterious	dhokataa
mystery	dhoksaa
myth	yaada sobaa nama hedduu biratti fudhatama qabu
nail	mismaara
naive	wallaalaa
name	maqaa
narrative	barreeffama taatee tokkoo
narrow	dhiphaa
nasty	jibbisiisaa
national	biyyoolessa
nationality	lammummaa
native	dhalataa
natural	kan uumamaa
nature	uumama
nausea	ol nama jechuu
nearby	dhiyoo
near	dhiyoo
nearly	dhiyootti
neat	qulqulluu
necessary	barbaachisaa
necklace	dirata mormaa
neck	morma
need	fedhii
negative	nagatiiva
neglect	dagatamuu
negotiate	waliigaluu
neighborhood	ollaa
neighbor	ollaa
neither	lachuuyyuu miti
nephew	ilma obboleettii yookaan obboleessaa
nerd	gowwaa
nervous	nahuu
nest	man'ee
net	dimshaashaan
network	neetoorkii
neutral	qaama bilisaa
never give up	{NS}
never	gonkumaa
nevermind	hin yaadda'iin
never mind	homaa hin yaadda'in
nevertheless	haa ta'u malee
new	haaraa
news	oduu
next	kan itti aanu
next to	itti aanee
nice	gaarii
nice to meet you	walbaruu keenyatti gammadeera
niece	intala obboleessaa
night	halkan
nightmare	abjuu hamaa
nine	sagal
nineteen	kudha sagal
ninety	sagaltama
nobody	namni tokkollee
noise	waca
noisy	kan namatti wacu
No	Lakki
none	homaa
noon	waaree
nope	lakkii
no problem	rakkoo hin qabu
normal	baratamaa
nor	miti
north	kaaba
nose	funyaan
nostalgic	yeroo darbe garmalee yaaduu
not at all	gonkumaa miti
not bad	homaa hin jedhu
noted	hubadhe
note	yaadannoo
nothing	homaa
noticed	yaadaan qabe
notice	hubachiisa
not	miti
Not now	Amma miti
not yet	hamma ammaattillee
noun	maqaa
nouns	maqoota
novel	asoosama
november	sadaasa
nowadays	yeroo ammaa kana
now	amma
no way	gonkumaa hin ta''u
nuisance	wanta nama aarsu
null	duwwaa
numb	adoodaa
number	lakkoofsa
nurse	narsii
nutmeg	ija mukaa
nut	muduraa uwwisi isaa jabaa
nutrition	soorrata
oath	kakaa
obesity	furdina garmalee
obey	abboomamuu
objective	kaayyoo
object	meeshaa
obligation	dirqama
obscure	dhokataa
observation	hubannoo
observe	qalbeeffachuun ilaaluu
obsessed	yaadaan guutamuu
obsession	wanta tokkotti garmalee yaada ofii kennuu
obsolete	kan yeroon isaa irra darbe
obstacle	gufuu
obtained	argate
obtain	fudhachuu
obvious	beekamaa
obviously	akkuma beekamu
occasionally	yeroo tokko tokko
occupation	hojii
occupied	qabame
occurred	raawwate
occurs	raawwata
occur	ta'uu
ocean	garba
october	onkololeessa
odd	adda
odds	carraa
of course	eeyyee kaa
off	dhaamsuu
offensive	wanta nama aarsu
offer	carraa kennuu
office	waajjira
official	aangawaa
of	kan
often	yeroo hedduu
Oh	Maaloo
oh really	dhuguma jettaayii
oil	dibata
okay baby	tole lubbuu
okay dear	tole jaallee
okay honey	tole dammee
okay my love	tole jaalallee koo
okay	tole
ok dear	tole jaallee
ok honey	tole dammee
ok my love	tole jaalallee ko
ok	tole
old	moofaa
once	al tokko
one language is never enough	afaan tokko gonkumaa ga'aa miti
one	tokko
onion	qullubbii diimaa
on	irra
online	toora intarneetiirraan
only	qofa
open	banaa
operation	raawwii
opinion	ilaalcha
opportunities	carraawwan
opportunity	carraa
opposite	faallaa
optimistic	abdiidhaan kan guutame
optional	dirqama kan hinta'in
option	filannoo
orange	burtukaana
order	ajajuu
ordinary	bakka guddaa kan hin jirre
organization	dhaabbata
orientation	akaataa taa'umsaa
original	kan jalqabaa
origin	madda
Oromo	Afaan Oromoo
orphan	kan haadhaa fi aabbaan irra hin jirre
or	yookaan
other	kan biraa
otherwise	kanaa achi
ought	qaba
our	keenya
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Ergama keenya: namni hundu bakka hundatti addunya kana akka hubatuu fi afaan hundaan akka of ibsu dha.
Our mission: to organize the world's information and make it universally accessible and useful.	Ergama keenya: odeeffannoo addunyaa walitti qabne hundi akka argatuu fi itti fayyadamu gochuudha.
out	ala
outcome	bu'aa
outfit	uffannaa guutuu
outgoing	taayitaa gad dhiisaa kan jiru
outlet	karaa ba'iinsaa
outline	qabxiilee guguddoo tarreeffaman
outside	ala
outstanding	ba'ee kan mul'atu
oven	meeshaa midhaan itti bilcheessan
overall	waliigala
overcome	dandamachuu
over	irra
over there	achi sanarra
overthinking	{WL}
overwhelmed	itti baay'ate
overwhelming	baay'ee hedduu
owe	irraa qabaachuu
owl	hurunguu
owner	abbaa
own	qabaachuu
ox	qotiyyoo
ox	sangaa
pace	saffisa deemsaa
package	kuufama
pack	tuuta
paid	kaffalame
pain	dhukkubbii
painting	qalama dibuu
paint	qalama
pair	cimdii
pale	diimaa
palm	barruu
pandemic	weerara
pan	eelee
panic	nahuu
pants	kofoo
paper	waraqaa
paradise	iddoo qannoo
parallel	wal cina
parcel	waraqaan kan marame
pardon	dhiifama
parents	maatii
park	paarkii
parrot	akaakuu simbiraa
parsley	biqilaa akka mi'eessituutti fayyadu
part	garii
participate	hirmaachuu
particular	addatti
particularly	addumaan
partner	miiltoo
party	qophii bashannanaa
passage	barreeffama dheeraa
pass	darbuu
passed	darbe
passionate	fedhii guddaa qabaachuu
passion	onnachuu
passive	si'aayina kan hinqabne
password	jecha iccitii
past	kan darbe
patch	erbee
