tshiṱuku	a little
ḓahela	fool
tshiḓahela	fool
ḓahela	foolish
mulenzhe	foot
futhibola	football
tsha	for
Sa tsumbo	For example
u tou fana na	for instance
zwaṋu	for you
zwi sa tendelwi	forbidden
maanḓa	force
mbonelaphanḓa	forecast
phanḓa	forehead
nnḓa	foreign
ḓaka	forest
u ya nga hu sa gumi	forever
hangwa	forget
hangwela	forgive
hangwa	forgot
forogo	fork
mbanga	form
tshea	form
tshiofisi	formal
o fhiraho	former
mashudu mavhuya	fortunately
lupfumo	fortune
fuiṋa	forty
fuiṋambili	forty-two
phanḓa	forward
bveledza	foster
lwa	fought
wanwa	found
mutheo	foundation
iṋa	four
fumiiṋa	fourteen
phunguwe	fox
pwashea	fragile
mutheo	frame
muteo	framework
vhufhura	fraud
lambana	freak
vhofholowa	free
mbofholowo	freedom
xwatuwa	freeze
kanzhi	frequency
lunzhi	frequent
kanzhi	frequently
ntswa	fresh
ḽavhuṱanu	friday
firidzhi	fridge
khonani	friend
vhukonani	friendly
khonani	friends
vhukonani	friendship
tshuwa	frightened
tshenusa	frightening
tshiḓula	frog
u bva	from
phanḓa	front
xwatudzwa	frozen
mutshelo	fruit
hanganea	frustrated
tshivhaswa	fuel
ḓala	full
takadza	fun
vhuṱambo	function
lutewa	fundamental
mbulungo	funeral
seisa	funny
maveve	fur
kwata	furious
fanitshara	furniture
hafhu	further
hafhu	furthermore
vhumatshelo	future
vhuelwa	gain
mbuelo	gain
mutambo	game
tshikhala	gap
garatshi	garage
tshika	garbage
ngade	garden
gaḽiki	garlic
gethe	gate
kuvhanganya	gather
kuvhanganya	gathering
kala	gauge
fha	gave
gere	gear
mbeu	gender
ngauangaredza	general
angaredza	generally
bveledza	generate
murafho	generation
u sa dzima	generous
muṱaliṱali	genius
lushaka	genre
dzikaho	gentle
tsha vhukuma	genuine
nyambangatswayo	gesture
wanani	get
ambarani	get dressed
imani	get up
ni fhole	get well soon
wana	getting
tshipuku	ghost
mbonalo ya tshirunzi	ghosting
muhaga	giant
mpho	gift
dzhinzha	ginger
musidzana	girl
khonani ya musidzana	girlfriend
fha	give
ṱutshela	give up
ṋewa	given
takala	glad
ṱodzimela	glance
ngilasi	glass
dzingilasi	glasses
enyesa	glimpse
mukatelo	global
tsikeledzea	gloomy
magiḽafu	gloves
penyelela	glow
vala	glow
vala	glow up
ṋonzhe	glue
ṱuwani	go
u ya phanḓa	go ahead
ṱuwani	go away
ṱuwani ni ye u eḓela	go to bed
tshipikwa	goal
zwipikwa	goals
mbudzi	goat
mudzimu	god
mudzimu a ni fhaṱutshedze	god bless you
ndingedzo	goes
u ya	going
khou ya	going to
musuku	gold
ṱuwa	gone
ndi ḓo	gonna
thophe	goo
kwazwo	good
vhuḓi	good
ndi masiari	good afternoon
salani zwavhuḓi	good bye
ḓuvha ḽavhuḓi	good day
madekwana a vhuḓi	good evening
mushumo wavhuḓi	good job
zwi vhonala zwi zwavhuḓi	good looking
mashudu mavhuya	good luck
ndi matsheloni	good morning
ndi matsheloni mufunwa	good morning my love
vhusiku ha vhuḓi	good night
sala zwavhuḓi	goodbye
vhusiku havhuḓi	goodnight
thundu	goods
U pindulela nga Google	Google Translate
hantsi	goose
nakelela	gorgeous
sola	gossip
wana	got
ndo zwi wana	got it
muvhuso	government
fara	grab
murole	grade
nga zwiṱuku zwiṱuku	gradually
mutelwadigirii	graduate
thoro	grain
gavhelo	grant
tendelwa	granted
nḓirivhe	grapes
pfesesa	grasp
mahatsi	grass
ndivhuwo	grateful
ndlivhuwo	gratitude
vhiḓa	grave
seṱha	gray
zwavhuḓi	great
tseḓa	greed
vhupangwa	greedy
dala	green
ṱanganedza	greet
ndumeliso	greeting
ndumeliso	greetings
seṱha	grey
giridi	grid
lila	grief
kuya	grind
fara	grip
gurosari	grocery
funza	groom
guṱe	gross
mudavhi	ground
tshigwada	group
aluwa	grow
nyaluwo	growth
kwata	grumpy
mbofho	guarantee
mulindi	guard
humbulela	guess
mueni	guest
ngeletshedzo	guidance
nyendedzi	guide
endedza	guide
muendedzi	guide
u vha na mulandu	guilty
muṱhannga	guy
vhathu	guys
dzhimu	gym
nḓowelo	habit
haya hatsho	habitat
vha	had
tshifhango	hail
mavhudzi	hair
tshikati	half
holo	hall
tshanḓa	hand
fara	handle
wa vhuḓi	handsome
anea	hang
u ṱwesa hone	hang out
itea	happen
zwo itea	happened
dakalo	happiness
takala	happy
ḓuvha ḽa vhuḓi ḽa mabebo	happy birthday
ḓuvha ḽavhuḓi ḽa mabebo kha inwi	happy birthday to you
ṅwaha muswa wa vhuḓi	happy new year
konḓa	hard
u sa konadzea	hardly
zwi a konḓa u tou ralo	hardly ever
tshinyalelo	harm
tshinya	harm
tshinyadzo	harmful
mvumelano	harmony
hamba	harsh
kaṋa	harvest
na	has
vhenga	hate
ri na	have
ni vhe na ḓuvha ḽavhuḓi	have a good day
ni vhe na ḓuvha ḽa vhuḓi	have a nice day
wanani vhuragane	have breakfast
ni ḓiphine	have fun
no ḽa	have you eaten
u vha na	having
khombo	hazard
khuli	haze
ndi	he
u na	he has
ndi	he is
ṱhoho	head
u reṅwa nga ṱhoho	headache
fhola	heal
fhola	healing
mutakalo	health
mutakalo	healthy
pfa	hear
pfa	heard
mbilu	heart
mufhiso	heat
fhisa	heat
ḽiṱaḓulu	heaven
lemela	heavy
vilili	hectic
vhulapfu	height
muḽaifa	heir
khuthuza	heist
fara	held
hele	hell
Ndumeliso	Hello
ndumeliso mufunwa	hello dear
ri a vusa no vuwa hani	hello how are you
riavusa hu itahani	hello how are you doing
gondolo	helmet
thusa	help
pfariso	helpful
nga zwo	hence
ene	her
sambi	herd
afha	here
vhufa	heritage
timatima	hesitate
Heyo	Hey
Vha ri mini	Hi
ri a vusa hu rini	hi how are you
Ni ri mini	Hi there
dzumba	hidden
dzumba	hide
vhuimo	hierarchy
nṱha	high
mavhala a nngwe	highlight
u tshimbila	hike
gonya	hiking
takadzaho	hilarious
tshikwara	hill
ene	him
ḽihumbudzi	hint
fesheni	hip
khuli	hips
hira	hire
u thola	hiring
tshawe	his
ḓivhazwakale	history
rwa	hit
tshimvumvusi	hobby
fara	hold
farelela	hold on
mulindi	hole
hoḽidei	holiday
mulindi	hollow
hayani	home
tshuṅwahaya	homework
fulufhedzea	honest
vhufhulufhedzei	honestly
mutoli	Honey
hulisa	honor
muṅadzi	hood
haka	hook
thamuwa	hop
fulufhela	hope
fulufhelo	hope
fhulufhela	hopefully
vhushayafulufhelo	hopeless
vhutengu	horizontal
luṋanga	horn
tatisa	horrible
shushaho	horror
bere	horse
sibadela	hospital
mafunda	hospitality
ṋemuṱa	host
vhenga	hostile
fhisa	hot
hodela	hotel
awara	hour
iri	hours
nnḓu	house
muṱani	household
hani	how
inwi vho	how about you
no vuwa hani	how are you
no vuwa hani	how are you doing
no vuwa hani ṋamusi	how are you doing today
no vuwa hani ṋamusi	how are you today
hu rini	how do you do
zwi hani	how is
lungana	how many
ndi vhugai	how much
zwi itea kangana	how often
ni na miṅwaha mingana	how old are you
ḓuvha ḽanu ḽo vha ḽi hani	how was your day
no eḓela hani	how was your night
fhedzi	however
tshivhindini	hub
munna wa	hubby
kuvhatedza	hug
-hulwanesa	huge
muthu	human
ḓi ṱukufhadza	humble
muṋuṋu	humid
muṋula	humidity
ḓana	hundred
nḓala	hungry
zwima	hunt
ḓumbumazwikule	hurricane
u ṱavhanya	hurry
ṱavhanyani	hurry up
vhaisala	hurt
munna	husband
phanda	hustle
muphandi	hustle
nnḓu	hut
tsiravhulwadze	hygiene
Nṋe	I
Ndi nṋe	I am
Ndo vuwa	I am fine
Ndi nga	I can
Ndi nga si kone	I can't
Ndi a tenda	I do
A thi ḓivhi	I do not know
A thi pfesesi	I do not understand
A thi	I don't
a thi ḓivhi	I don't know
a thi zwi pfesesi	I don't understand
Ndi khou pfesesa zwine na khou amba zwone	I don't understand what you mean
A thi pfesesi	I don't understand you
A thi ḓivhi	I don’t know
A thi zwi pfesesi	I don’t understand
ndi humbulela	i guess
Ndo vha ndi	I had
Ndi na	I have
Ndo vha	I have been
ndi fulufhela ngauralo	I hope so
Ndi a zwi ḓivha	I know
ndi funa	I like
Ndi a ni funa	I like you
Ndi a ni funa	I love
Ndi funa khaladzi anga muṱuku	I love my big brother
Ndi funa mukomana wanga	I love my big sister
Ndi funa khotsi anga	I love my father
Ndi funa khaladzi anga	I love my little brother
Ndi funa murathu wanga	I love my little sister
Ndi funa mme anga	I love my mother
Ndi a ni funa	I love you
Ndi a ni funesa	I love you so much
Na nṋe ndi a ni funa	I love you too
Ndi khou ri	I mean
Ndo ni ṱuvha	I miss you
Ndo ni ṱuvha nga maanḓa	I miss you so much
Ndi vhona	I see
Ndi humbula	I think
Ndi a pfesesa	I understand
Ndi khou ṱoḓa	I want
Ndi khou ṱoḓa u ni vhona	I want to see you
Ndi khou ṱoḓa inwi	I want you
Ndo vha ndi	I was
Ndi ḓo ita	I will
Ndi ḓo vha	I would be
Ndi nṋe	I'm
ndo takala	I'm fine
Ndo takala	I'm good
Ndi fhano	I'm here
ndi khou humbela pfarelo	I'm sorry
aisi	ice
aisi khirimu	ice cream
muhumbulo	idea
tsho teaho	ideal
pfanatshoṱhe	identical
ṱhalusavhuṋe	identify
vhuṋe	identity
dodo	idiot
bvafha	idle
kana	if
u sa ṱhanngela	ignore
lwala	ill
iledzwaho	illegal
vhulwadze	illness
tshifanyiso	image
humbulela	imagine
na zwenezwo	immediate
zwino zwino	immediately
huluhulu	immense
thula	impact
mveledzwa	impact
fhela mbilu	impatient
tshishumiswa	implement
ṱunḓa	import
zwiṱunḓwa	import
vhuṱhogwa	important
kombetshedza	impose
a zwi konadzei	impossible
takadza	impress
mbonadzo	impression
takadzaho	impressive
khwinisa	improve
khwiniso	improvement
ngomu	in
ḓadzisa	in addition
Zwavhuḓivhuḓi	In fact
phanḓa ha	in front of
u itela u	in order to
tshi so ngo fanelaho	inappropriate
tshiṱuṱuwedzi	incentive
tshiwo	incident
katela	include
kateliwa	including
muholo	income
tshikhakhisi	inconvenience
nyengedzedzo	increase
engedza	increase
engedzea	increased
zwi sa kholwisi	incredible
zwa vhukuma	indeed
u ḓi imisa	independent
India	India
sumbedza	indicate
ya po	indigenous
muthihi	individual
nḓowetshumo	industry
u sa tinyea	inevitable
lushie	infant
vhulwadze	infection
i sa gumi	infinity
vhupise	inflammation
infḽesheni	inflation
vhupfiwa	influence
pfiwa	influence
ḓivhadza	inform
mafhungo	information
thimbanywa	ingredients
ifa	inheritance
mathomo	initial
vhurangeli	initiative
huvhala	injured
fuvhalo	injury
u sa vha na mulandu	innocent
tumbukisa	innovation
vhudzisa	inquiry
penga	insane
tshikhokhonono	insect
tsireledza	insecure
dzhenisa	insert
nga ngomu	inside
luvhonela	insight
kombetshedza	insist
vhushayakhofhe	insomnia
khwelo	inspiration
ṱuṱuwedza	inspire
dzhenisa	install
tsumbo	instance
nga u bonya ha iṱo	instant
vhudzuloni ha	instead
vhudzuloni ha	instead of
ndaela	instructions
tshilidzwa	instrument
sema	insult
ndindakhombo	insurance
zwo fhelelaho	intact
tshirunzi	integrity
vhuṱali	intellectual
vhuṱali	intelligence
ṱalifha	intelligent
ṱoḓa u	intend
itela	intended
titilidza	intense
tshipikwa	intention
shumisana	interact
mvuvhano	interaction
dzangalelo	interest
takalela	interested
takadzaho	interesting
dzhenelela	interfere
vhukati	intermediate
ngomu	internal
dzitshaka	international
mushumogudwa	internship
ḓologa	interpret
ḓologi	interpreter
khakhisa	interrupt
inthaviwu	interview
zwa vhudzekani	intimate
nga ngomu	into
ḓivhadza	introduce
marangaphanḓa	introduction
shona	introvert
vhupfiwa	intuition
yo khakheaho	invalid
bveledza	invent
tshiṱoko	inventory
bindudza	invest
tsedzuluso	investigate
thambo	invitation
ramba	invite
tsumbathengo	invoice
katela	involve
dzhenelela	involved
aina	iron
aini	iron
ndi	is
tshiṱangadzime	island
khethelwa thungo	isolated
fhungo	issue
fha	issue
nzudzanyo	issues
tshone	it
ndi	it is
yo vha	it was
ndi	it's
zwo luga	it's ok
Zwo luga	It's okay
tshiteṅwa	item
zwiteṅwa	items
ndi	its
Ndi	I’m
badzhi	jacket
khothoni	jail
Phando	January
dzhomela	jar
luṱaha	jaw
vivho	jealous
khwiḓa	jerk
dzhuwele	jewelry
mushumo	job
gidima	jogging
dzhenela	join
ṱanganelaho	joint
miḓai	joke
ramafhungo	journalist
lwendo	journey
dakalo	joy
haṱula	judge
muhaṱuli	judge
dzhusi	juice
fulwana	july
fhufha	jump
fulwi	june
mathukhwi	junk
kwao	just
sa ka nu zwi ita	just do it
vhulamukanyi	justice
imelela	justify
ḓifunga	keen
vhea	keep
ni fare ngauralo	keep it up
vhewa	kept
geḓela	kettle
khii	key
raha	kick
ṅwana	kid
swaswa	kidding
tswio	kidney
vhana	kids
vhulaha	kill
vhuthu	kind
sa	kinda
nga u ḓiṱukufhadza	kindly
vhuthu	kindness
khosi	king
khisi	kiss
khishi	kitchen
khaithi	kite
tshimangana	kitten
khokhola	knee
ḓivha	knew
lufhanga	knife
muhali	knight
ḓivha	know
nḓivho	knowledge
ḓivhiwa	known
leibele	label
leibela	label
mushumo	labor
mushumo	labour
shaya	lack
ḽeri	ladder
mufumakadzi	lady
ala	laid
dzhivha	lake
nngu	lamb
ṱudza	lame
ḽivhone	lamp
shango	land
kavha	land
mbono ya shango	landscape
luambo	language
marumbi	lap
khulu	large
mafhedziseloni	last
tsha u fhedzisela	last but not least
tshifani	last name
lenga	late
a no maḓuvha	lately
nga murahu	later
zwino zwino	latest
nga murahu	latter
sea	laugh
u sea	laughing
maseo	laughter
thoma	launch
kuvha	laundry
mulayo	law
tshivhandane	lawn
ramilayo	lawyer
adza	lay
luvhemba	layer
pulane	layout
bvafha	lazy
ranga	lead
murangaphanḓa	leader
ṱari	leaf
bvuḓa	leak
tsekene	lean
fhufha	leap
guda	learn
guda	learning
thendelano ya vhuhiri	lease
ṱhukhu	least
mukumba	leather
ḽivi	leave
ṱuwa	leave
maṱari	leaves
rangwa	led
ṱuwa	left
mulenzhe	leg
ifa	legacy
zwa mulayo	legal
mafhungolungano	legend
tendelwaho	legit
tshifhingawe	leisure
hadzima	lend
vhulapfu	length
zwiṱuku	less
ngudo	lesson
tendela	let
vhurifhi	letter
ḽethasi	lettuce
ḽevele	level
u shumisa tshikhala	leverage
mulandu	liability
ḽaiburari	library
ṋanzwa	lick
zwifha	lie
mazwifhi	lie
mazwifhi	lies
vhutshilo	life
ṋamela	lift
ḽifithi	lift
fungani	light
ḽivhone	light
tshedza	light
lupenyo	lightning
funa	like
khonadzeo	likely
sa zwenezwo	likewise
ḽaini	line
ṱhuma	link
ndau	lion
tshiluḓi	liquid
mutevhe	list
thetshelesa	listen
u thetshelesa	listening
vhukuma	literally
maṅwalwa	literature
tshika	litter
zwiṱuku	little
tshila	live
tshivhindi	liver
matshilo	lives
tshila	living
lufhera lwa u ḓigeda	living room
tswina	lizard
muhwalo	load
mukonde	loaf
khadzimiso	loan
yapo	local
vhupo	location
khia	lock
iledzwa	lockdown
rekhoda	log
vhuludu	lonely
ndapfu	long
ndi kale ndi sa ni vhoni	long time no see
vhona	look
mbonalelo	look
mafhungo maswamaswa	loop
xela	loose
xelelwa	loose
murena	lord
xelelwa	lose
xelelwa	loss
xela	lost
mukovhe	lot
phosho	loud
u ḓi geḓa	lounge
funa	love
lufuno	love
ndi a ni funa	love you
zwavhuḓi	lovely
fhasi	low
fhasi	lower
vhuluvha	loyal
vhuluvha	loyalty
mashudu	luck
mashudu	lucky
muhwalo	luggage
bundu	lump
tshiswiṱulo	lunch
mafhafhu	lungs
dzanga	luxury
zwifha	lying
mutshini	machine
penga	mad
mufumakadzi	madam
ita	made
magazini	magazine
zwavhuḓisa	magnificent
musidzana	maid
mutheo	main
tshiimo tshi ni fama	maintain
lugisa	maintenance
hulwane	major
ndeme	major
vhunzhi	majority
ita	make
ita	make up
tshinnani	male
mavhengele	mall
munna	man
langa	manage
ndangulo	management
mulangi	manager
khombekhombe	mandatory
ḓivhonadza	manifest
shumisa	manipulate
nḓila	manner
manuwala	manual
zwinzhi	many
mashudu na dziphṱhutshedzo kha ḓuvha heḽi	many many happy returns of the day
luhwenyisi	march
lukombo	margin
maraga	market
mbingano	marriage
malwa	married
tshigurusi	mask
tshigwada	mass
huhulu	massive
ntende	master
mumatsho	match
matsha	match
khonani	mate
zwishumiswa	material
ḓivhambalo	math
thukhutha	matter
ndeme	matter
khulo	maturity
shundunthule	may
u nga	may
kana	maybe
nṋe	me
na nṋe	me too
zwiḽiwa	meal
amba	mean
tshikati	mean
zwiamba	meaning
nḓila	means
amba uri	meant
tshifhinganyana	meanwhile
kala	measure
mielo	measures
ṋama	meat
alafha	medical
mushonga	medicine
ngelekanyo	meditation
tshikati	medium
ṱangana	meet
muṱangano	meeting
ṋoka	melt
mihumbulo	memories
muhumbulo	memory
muhumbulo	mental
bula	mention
bulwa	mentioned
mueletshedzi	mentor
muvhambadzi	merchant
khathutshelo	mercy
fhedzi	merely
khirisimusi yavhuḓi	merry christmas
ṱanganana	mess
mulaedza	message
ṱanganana	messy
tsimbi	metal
maitele	method
mbevha	mice
vhukati	middle
vhusikukati	midnight
zwi nga	might
kati	mild
mvuledzo khulwane	milestone
vhuswole	military
mafhi	milk
miḽiyoni	million
muhumbulo	mind
humbula	mind
kuhumbulele	mindset
mugodi	mine
tshanga	mine
vhuḽedzani	mingle
muṱuku	minor
munithi	minute
maambiwa	minutes
ḓembe	miracle
tshivhoni	mirror
tshakhatshakha	miscellaneous
levha	mischievous
u vhaisala muyani	miserable
vhuṱungu	misery
ṱuvha	miss
ṱuvha	miss you
ṱahela	missing
ndivho	mission
khuli	mist
vhukhakhi	mistake
thendeleki	mobile
hoya	mock
tshiedziso	model
ndinganelo	moderate
tshizwinozwino	modern
timatima	modest
murongwe	moist
murongwe	moisture
u vhumba	mold
muunda	mold
ṱholi	mole
mme	mom
tshifhinganyana	moment
musumbuluwo	monday
tshelede	money
monitha	monitor
ṱhoho	monkey
ṅwedzi	month
vhuḓipfi	mood
zwivutshela	moody
ṅwedzi	moon
gudomvumbo	moral
zwinzhi	more
zwiṅwe vho	moreover
matsheloni	morning
tshikolodo	mortgage
kanzhi	most
kanzhi	mostly
mme	mother
ḽikumedzwa	motion
ṱhuṱhuwedzo	motivation
thavha	mountain
mbevha	mouse
mulomo	mouth
sendedza	move
musudzuluwo	movement
baisikopo	movie
zwinzhi	much
matope	mud
khaphu	mug
musipha	muscle
muziamu	museum
ngowa	mushroom
muzika	music
ṱhoḓea	must
tea	must
tsima	mute
ṱanganelwa	mutual
tshanga	my
Mufunwa	My dear
khonani yanga	my friend
Mukhumbi wanga wo ḓala nga khunga	My hovercraft is full of eels
mufunwa wanga	my love
dzina ḽanga ndi	my name is
zwi ntakadzaho	my pleasure
nṋe muṋe	myself
zwi sa ṱalutshedzei	mysterious
tshi sa ṱalutshedzei	mystery
vhutendatenda	myth
lwala	nail
sa ṅwana	naive
dzina	name
nganea	narrative
tsekene	narrow
u sa ḓivhalea	nasty
lushaka	national
lushaka	nationality
ngwaniwapo	native
mupo	natural
mupo	nature
silingwa	nausea
tsini	near
tsini na	nearby
tsiniha	nearly
kuna	neat
zwoteaho	necessary
mukulo	neck
vhulungu	necklace
ṱhoḓea	need
ṱoḓa	need
khanedzo	negative
litshedza	neglect
rera	negotiate
muhura	neighbor
vhupo	neighborhood
hu si tshithihi tsha	neither
ṅwana wa khaladzi	nephew
tshigekhe	nerd
tshuwa	nervous
tshiṱaha	nest
mambule	net
vhukwamani	network
vhukati	neutral
na khathihi	never
ni so ngo nyama	never give up
ni so ngo ḓi dina	never mind
u sa vhilahela	nevermind
naho	nevertheless
tshiswa	new
mafhungo	news
tevhelaho	next
tshini na	next to
naka	nice
ndi vha zwavhuḓi u ṱangana na inwi	nice to meet you
muḓuhulu	niece
vhusiku	night
muloro u tshusaho	nightmare
ṱahe	nine
fumiṱahe	nineteen
fuṱahe	ninety
Hai	No
a hu na thaidzo	no problem
na khathihi	no way
a si muthu	nobody
phosho	noise
phosho	noisy
ahuna na tshithihi	none
masiari	noon
hai	nope
hu si tshithihi tsha	nor
zwo ḓoweleaho	normal
devhula	north
ningo	nose
tshiṱuvho	nostalgic
hai	not
na khathihi	not at all
a zwo ngo tou vhifha	not bad
Hu si zwino	Not now
a i athu	not yet
noti	note
dzielwa nṱha	noted
a hu na tshithu	nothing
nḓivhadzo	notice
vhona	noticed
dzina	noun
madzina	nouns
bugu ya nganea	novel
lara	november
zwino	now
ano maḓuvha	nowadays
dina	nuisance
pumu	null
tshivhevhe	numb
nomboro	number
nese	nurse
nḓuhu	nut
nathimege	nutmeg
mufusho	nutrition
muano	oath
u khwaṱha	obesity
tevhedza	obey
tshithu	object
tshipikwa	objective
pfanelo	obligation
u sa vha na vhuṱanzi	obscure
mbono	observation
sedza	observe
vhilahedzwa	obsessed
vhudugambilu	obsession
fhirelwaho	obsolete
tshikhukhulisi	obstacle
wana	obtain
waniwa	obtained
zwikhagala	obvious
zwi re khagala	obviously
nga tshiṅwe tshifhinga	occasionally
mushumo	occupation
farekanea	occupied
itea	occur
itea	occurred
itea	occurs
lwanzhe	ocean
tshimedzi	october
u sa ḓowelea	odd
tshikhala	odds
tsha	of
zwi tou pfala	of course
swara	off
vhaisa	offensive
ṋetshedzo	offer
ṋetshedza	offer
ofisini	office
tshiofisi	official
kanzhi	often
Evho	Oh
tshukhwi ngoho	oh really
oiḽi	oil
ee	ok
ndi zwone mufunwa	ok dear
ndi khou tenda mufunwa	ok honey
zwo luga mufunwa	ok my love
zwo luga	okay
zwo luga ṅwana	okay baby
zwoluga mufunwa	okay dear
zwo luga mufunwa	okay honey
zwo luga mufunwa	okay my love
kale	old
kha	on
luthihi	once
muthihi	one
luambo luthihi a lu ngo vhuya lwa lingana	one language is never enough
nyala	onion
kha inthanethe	online
fhedzi	only
vula	open
matshimbedzele	operation
kuvhonele	opinion
zwikhala	opportunities
tshikhala	opportunity
fhambana	opposite
nyanyulea	optimistic
khetho	option
khetho	optional
kana	or
swiri	orange
muvhala wa ṱaḓa	orange
ndaela	order
laela	order
ḓoweleaho	ordinary
tshiimiswa	organization
ḓivha	orientation
vhubvo	origin
mathomo	original
tshisiwana	orphan
zwiṅwe	other
kana	otherwise
tea	ought
zwashu	our
Ndivho yashu: u ita uri muthu muṅwe na muṅwe, e huṅwe na huṅwe a kone u pfesesa ḽifhasi na u ḓisumbedza nga nyambo dzoṱhe.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Ndivho yashu: u dzudzanya mafhungo a ḽifhasi ra ita uri a kone u swikelea na u shumisea nga vhoṱhe.	Our mission: to organize the world's information and make it universally accessible and useful.
nnḓa	out
mvelelo	outcome
tshiambaro	outfit
u bva	outgoing
vhubvo	outlet
mutalo	outline
nnḓa	outside
khwinesa	outstanding
honndo	oven
nṱha ha	over
nga hafhaḽa	over there
nga u angaredza	overall
kunda	overcome
u humbulesa	overthinking
tsikwa	overwhelmed
kundwa	overwhelming
koloda	owe
gwitha	owl
tshanga	own
muṋe	own
muṋe	owner
mboho	ox
maga	pace
paka	pack
phasela	package
badelwa	paid
vhuṱungu	pain
pennda	paint
muolo	painting
phere	pair
haluluwa	pale
ngomu ha tshanḓa	palm
pani	pan
u ṱaha ha dwadze	pandemic
nḓaḓo	panic
marukhu	pants
bammbiri	paper
pharadiso	paradise
vhambela	parallel
phasela	parcel
pfarelo	pardon
vhabebi	parents
paka	park
pharotho	parrot
phasili	parsley
tshipiḓa	part
dzhenela	participate
tshenetsho	particular
kanzhi	particularly
mufarisi	partner
bepha	party
pfukisa	pass
tshipiḓa	passage
fhirwa	passed
phiseo	passion
swelambilu	passionate
ḽiitiitwa	passive
phasiwede	password
tshifhinga tsho fhiraho	past
tshinamo	patch
muzwila	path
pfisa vhuṱungu	pathetic
konḓelela	patience
u konḓelela	patient
mulwadze	patient
phatheni	pattern
tshiawelo	pause
phevimennde	pavement
badela	pay
mbadelo	payment
mulalo	peace
mulalo	peaceful
beregisi	peach
ṱhodzini	peak
piere	pear
eregisi	peas
zwi so ngo ḓoweleaho	peculiar
ṱambuluwa	pee
muṱambuluwo	pee
swotola	peel
thanga	peer
dzithanga	peers
peni	pen
penisela	pencil
shumisa	pending
vhathu	people
phiriphiri	pepper
vhona	perceive
kuvhonele	perception
teaho	perfect
ita	perform
mashumele	performance
khamusi	perhaps
tshifhinga	period
lwa tshoṱhe	permanent
thendelo	permission
thendelo	permit
vhukonḓeleli	perseverance
hanelela	persistent
muthu	person
muthu	personal
vhuvha	personality
vhuvhambedzanyi	perspective
luvhelela	persuade
tambudza	pervert
tshifuwo	pet
ndima ya vhutshilo	phase
tshibveleli	phenomenon
filosofi	philosophy
founu	phone
tshinepe	photo
fhungogake	phrase
muvhili	physical
doba	pick
doba	pick up
tshifanyiso	picture
tshipiḓa	piece
zwipiḓa	pieces
nguluvhe	pig
ḽiivha	pigeon
thulwi	pile
musiamelo	pillow
mutshimbidzafulaimatshini	pilot
phini	pin
tshienge	pineapple
phinki	pink
mulindi	pit
ṱoka	pitch
u pfela vhuṱungu	pity
fhethu	place
vhea	place
fhethu	places
dwadze ḽa nzwimbathanga	plague
bale	plain
pulane	plan
bufho	plane
ṱavha	plant
zwimela	plants
phulethi	plate
puḽatifomo	platform
tamba	play
ḽitangwa	play
u tamba	playing
takadzaho	pleasant
bawa	please
takadzwa	pleased
zwitakadzaho	pleasure
muano	pledge
zwinzhi	plenty
puloto	plot
puḽaka	plug
tshiphuga	plum
mupulamere	plumber
vhunzhi	plural
phodikhasiti	podcast
tshirendo	poem
vhurendi	poetry
mbuno	point
mulimo	poison
pholisa	police
mbekanyamaitele	policy
ṱhonifha	polite
tshikafhadzo	pollution
tivha	pond
tivha	pool
makaka	poop
tambula	poor
endela	pop
ḓivheaho	popular
vhathu	population
nguluvhe	pork
vhuswa	porridge
vhuimazwikepe	port
tshiimo	position
mbuya	positive
u vha na	possess
ndaka	possession
thundu	possession
vhuṋe	possessive
konadzea	possible
posa	post
poswo	post
u fhirisela	postpone
ḓabula	potato
vhukoni	potential
phaundu	pound
vhushayi	poverty
maanḓa	power
vha na maanḓa	powerful
no itwa	practical
nḓowenḓowe	practice
luvha	praise
swaswedza	prank
rabela	pray
zwavhuḓi	precious
vhuronwane	precise
nga vhuronwane	precisely
vumba	predict
takalela	prefer
takalela	preference
u vhifha muvhilini	pregnant
luvhengelambiluni	prejudice
zwifhaṱo	premises
zwa maṱhakheni	premium
nzudzanyo	preparation
dzudzanya	prepare
lugiselwa	prepared
thangeladzina	preposition
vhuhone	presence
tsha zwino	present
tshifhiwa	present
mukumedzo	presentation
phurizeva	preserve
muphuresidennde	president
khandiso	press
aina	press
mutsiko	pressure
ḓiitisa	pretend
nakelela	pretty
naka	pretty
tsireledza	prevent
fhiraho	previous
ponda	prey
mutengo	price
u ḓi kukumusa	pride
tshifhe	priest
mutheo	primary
ndeme	prime
mukololo	princess
ṱhohoyatshikolo	principal
hu saathu	prior
vhuvhekanyandeme	priority
dzhele	prison
tshidzumbe	privacy
tshiphiri	private
vhuṱalu	privilege
pfufho	prize
konadzea	probably
thaidzo	problem
maitele	procedure
isa phanḓa	proceed
maitele	process
tshimbidza	process
bveledza	produce
tshibveledzwa	product
vhubveledzi	production
mushumogudwa	profession
mishumogudwa	professional
mbonwasia	profile
mbuelo	profit
vhudzivha	profound
bvelaphanḓa	progress
mvelaphanḓa	progress
thandela	project
muḓivhalea	prominent
fhulufhedzisa	promise
phuluphedziso	promise
bveledza	promote
khunguwedzo	promotion
ṱavhanya	prompt
anzela	prone
masala	pronouns
mubulo	pronunciation
vhuṱanzi	proof
