a	ا
favourite	كڬماران
fear	تاكوت
feast	كندوري
feather	بولو
feature	چيري٢
features	چيري٢
february	فيبرواري
fed up	مڽمڤه
fee	يورن
feed	بري ماكن
feedback	معلوم بالس
feel	راس
feeling	ڤراسان
feet	كاكي
fell	جاتوه
fellow	اڠڬوتا
felt	راس
female	ڤرمڤوان
fence	ڤاڬر
fertile	سوبور
festival	ڤرايأن
fetch	تڠكڤ
fever	دمم
few	سديكيت
fewer	لبيه سديكيت
fiance	تونڠ
fiction	فيكشن
field	ڤادڠ
fierce	ڬارڠ
fifteen	ليما بلس
fifty	ليما ڤولوه
fight	برلاون
fighting	برڬادوه
figure	اڠك
figure out	ممهمي
file	فايل
fill	ايسي
filled	دايسي
film	فيليم
filthy	كوتور
finally	اخيرڽ
finance	كواڠن
financial	كواڠن
find	چاري
find out	مڠتاهوي
fine	باءيق
fine	هالوس
finger	جاري
finish	تمت
finished	سلساي
fire	اڤي
firm	فيرما
first	ڤرتام
first name	نام ڤرتام
fish	ايكن
fit	سسواي
fit	موات
five	ليما
fix	باءيقي
fixed	تتڤ
flag	بنديرا
flash	كيلت
flat	رات
flaw	كچاچتن
flawless	سمڤورنا
flee	ملاريكن ديري
flesh	داڬيڠ
flew	تربڠ
flex	لنتور
flexible	فليكسيبل
flight	ڤنربڠن
flip	ترباليقكن
flirt	مڠورت
flirting	مڠڬود
float	تراڤوڠ
flood	بنجير
floor	لنتاي
flour	تڤوڠ
flow	اليرن
flower	بوڠا
flu	سلسما
fluent	فصيح
fluently	دڠن لنچر
fluffy	ڬبو
fluid	چچأير
fly	تربڠ
focus	فوچوس
fog	كابوس
foggy	بركابوس
fold	ليڤت
folks	اورڠ راماي
follow	ايكوت
follow up	سوسولن
following	مڠيكوتي
food	ماكنن
fool	بودوه
foolish	بودوه
foot	كاكي
football	بولا سيڤق
for	باڬي
for	اونتوق
For example	سباڬاي چونتوه
for instance	چونتوهڽ
for you	اونتوق اوق
forbidden	دلارڠ
force	كقواتن
force	ڤقسا
forecast	رملان
forehead	داهي
foreign	اسيڠ
forest	هوتن
forever	سلاماڽ
forget	لوڤا
forgive	معافكن
forgot	ترلوڤا
fork	ڬرفو
form	بورڠ
form	بنتوق
formal	راسمي
former	بكس
fortunately	موجورله
fortune	رزقي
forty	امڤت ڤولوه
forty-two	امڤت ڤولوه دوا
forward	ك دڤن
foster	ممليهارا
fought	برڬادوه
found	تله جومڤا
foundation	اساس
foundation	يايسن
four	امڤت
fourteen	امڤت بلس
fox	موسڠ
fragile	راڤوه
frame	بيڠكاي
framework	راڠك كرجا
fraud	ڤنيڤوان
freak	انيه
free	بيبس
freedom	كبيبسن
freeze	ممبكوكن
frequency	ككرڤن
frequent	كرڤ
frequently	كرڤ
fresh	سڬر
friday	جمعة
fridge	ڤتي ايس
friend	كاون
friendly	مسرا
friends	كاون٢
friendship	ڤرساهابتن
frightened	تاكو
frightening	مناكوتكن
frog	كاتق
from	دري
front	هادڤن
frozen	بكو
fruit	بواه بواهن
frustrated	كچيوا
fuel	باهن اڤي
Fulfulde	فولفولد
full	ڤنوه
fun	سرونوك
function	فوڠسي
fundamental	اساس
funeral	ڤڠبومين
funny	كلاكر
fur	بولو
furious	ماره
furniture	ڤرابوت
further	لبيه لنجوت
furthermore	تمبهن لاڬي
future	ماس دڤن
gain	منچاڤأي
game	ڤرماءينن
gap	جارق
garage	ڬاراج
garbage	سمڤه
garden	تامن
garlic	باوڠ ڤوتيه
gate	ڤاڬر
gather	كومڤول
gathering	ڤرهيمڤونن
gauge	تولوق
gave	ممبري
gear	ڤرالاتن
gender	جنتينا
general	عموم
generally	سچارا عامڽ
generate	منجان
generation	ڬينراسي
generous	موره هاتي
genius	ڬينيوس
genre	ڬنري
gentle	لمبوت
genuine	اصلي
gesture	عشارت
get	داڤت
get dressed	برڤاكاين
get up	باڠون
get well soon	سموڬ چڤت سمبوه
getting	منداڤت
ghost	هنتو
ghosting	ڤنوليس هنتو
giant	ڬرڬسي
gift	هديه
ginger	هليا
girl	كانق٢ ڤرمڤوان
girlfriend	تمن وانيتا
give	باڬي
give up	ڤوتوس اسا
given	دبري
glad	شكور
glance	سڤينتس لالو
glass	كاچ
glasses	چرمين مات
glimpse	سكيلس
global	ڬلوبال
gloomy	سورم
gloves	ساروڠ تاڠن
glow	برسينر
glow up	برچهاي
glue	ڬم
go	ڤرڬي
go ahead	تروسكن
go away	ڤرڬي
go to bed	ڤرڬي تيدور
goal	متلامت
goals	متلامت
goat	كمبيڠ
god	توهن
god bless you	توهن مرحمتي كامو
goes	ڤرڬي
going	سداڠ ڤرڬي
going to	ڤرڬي ك
gold	امس
gone	هيلڠ
gonna	اكن
goo	لندير
good	باءيق
good afternoon	سلامت تڠه هاري
good bye	سلامت تيڠڬل
good day	هاري يڠ باءيق
good evening	سلامت ڤتڠ
good job	شباس
good looking	كاچق
good luck	سموڬ برجاي
good morning	سلامت ڤاڬي
good morning my love	سلامت ڤاڬي سايڠكو
good night	سلامت مالم
goodbye	سلامت تيڠڬل
goodnight	سلامت مالم
goods	بارڠ
Google	ڬوڬل
Google Translate	ترجمهن ڬوڬل
goose	اڠسا
gorgeous	چنتيق
gossip	ڬوسيڤ
got	تله داڤت
got it	ده داڤت
government	كراجأن
grab	منچكام
grade	ڬريد
gradually	سچارا برنسور انسور
graduate	ڬرادوان
grain	بيجيرين
grant	ڤمبرين
granted	دبري
grapes	بواه اڠڬور
grasp	ڬيڠڬم
grass	رومڤوت
grateful	برشكور
gratitude	برشكور
grave	قبور
gray	كلابو
great	باڬوس
great	بسر
greed	كتاماكن
greedy	طمع
green	هيجاو
greet	سلام
greeting	سلام
greetings	سلام سجهترا
grey	كلابو
grid	ڬريد
grief	كسدهن
grind	ڬيليڠ
grip	چڠكامن
grocery	بارڠ رونچيت
groom	ڤڠنتين للاكي
gross	جيجيق
ground	تانه
group	كومڤولن
grow	تومبوه
growth	ڤرتومبوهن
grumpy	ڤماره
Guarani	ڬواراني
guarantee	جامينن
guard	ڤڠاول
guess	تكا
guest	تتامو
guidance	بيمبيڠن
guide	ڤندو
guilty	برساله
guy	للاكي
guys	كاون
gym	ڬيمناسيوم
habit	طبيعة
habitat	هابيتت
had	تله
hail	هوجن باتو
hair	رمبوت
half	سڤاروه
hall	ديوان
hand	تاڠن
handle	مڠنداليكن
handsome	سيڬق
hang	ڬنتوڠ
hang out	مليڤق
happen	برلاكو
happened	برلاكو
happiness	كڬمبيراان
happy	ڬمبيرا
happy birthday	سلامت هاري جادي
happy birthday to you	سلامت هاري لاهير بوات اوق
happy new year	سلامت تاهون بارو
hard	سوسه
hard	كراس
hardly	همڤير تيدق
hardly ever	جارڠ
harm	مضرة
harmful	ممضرتكن
harmony	كهرمونيان
harsh	كاسر
harvest	تواي
has	اد
hate	بنچي
have	ممڤوڽاءي
have	تله
have a good day	سموڬ هاري اندا باءيق٢ سهاج
have a nice day	نعمتي هاريمو
have breakfast	برسارڤن
have fun	برسرونوك
have you eaten	اوق ده ماكن
having	ممڤوڽاءي
hazard	بهاي
haze	جربو
he	دي
he has	دي اد
he is	دي اداله
head	كڤالا
headache	ساكيت كڤالا
heal	راوت
healing	ڤڽمبوهن
health	كصيحتن
healthy	صيحت
hear	دڠر
heard	تله دڠر
heart	جنتوڠ
heat	هاب
heaven	شرڬ
heavy	برت
hectic	سيبوق
height	تيڠڬي
heir	واريث
heist	رومڤاكن
held	داداكن
hell	نراك
Hello	هيلو
hello dear	هيلو سايڠ
hello how are you	هيلو اوق اڤا خبر
hello how are you doing	سلام اڤ خبر
helmet	توڤي كليدر
help	تولوڠ
helpful	برڬونا
hence	جوسترو ايت
her	دي
herd	كاونن
here	د سيني
heritage	واريثن
hesitate	تراڬق٢
Hey	هي
Hi	هاي
hi how are you	هاي اڤ خبر
Hi there	هاي
hidden	ترسمبوڽي
hide	سمبوڽي
hierarchy	هيايراركي
high	تيڠڬي
highlight	سوروتن
hike	منداكي
hiking	منداكي
hilarious	لوچو
hill	بوكيت
him	دي
hint	ڤتاندا
hip	ڤيڠڬول
hips	ڤيڠڬول
hire	اوڤه
hiring	ڤڠامبيلن ڤكرجا
his	دي
history	سجاره
hit	ڤوكول
hobby	هوبي
hold	ڤڬڠ
hold on	تاهن
hole	لوبڠ
holiday	برچوتي
hollow	برلوبڠ
home	رومه
homework	كرجا رومه
honest	جوجور
honestly	سچارا جوجور
Honey	مادو
Honey	سايڠ
honor	ڤڠحرمتن
hood	ڤنوتوڤ
hook	چڠكوك
hop	لومڤت
hope	هارڤن
hopefully	موده مودهن
hopeless	ڤوتوس اسا
horizontal	منداتر
horn	تندوق
horrible	ڠري
horror	سرم
horse	كود
hospital	هوسڤيتل
hospitality	لاينن مسرا
host	ڤڠنجور
hostile	مموسوهي
hot	ڤانس
hotel	هوتيل
hour	جم
hours	برجم٢
house	رومه
household	رومهتڠڬ
how	باڬايمانا
how about you	باڬايمانا ڤولا دڠن اندا
how are you	اوق اڤ خبر
how are you doing	باڬايمانا كادأن اوق
how are you doing today	اوق اڤ خبر هاري اين
how are you today	اڤ خبر هاري اين
how do you do	اوق اڤ خبر
how is	باڬايمانا
how many	براڤ باڽق
how much	براڤكه
how often	براڤ كرڤ
how old are you	براڤكه عمور اوق
how was your day	باڬايمانا هاريمو
how was your night	باڬايمانا مالم اندا
however	باڬايماناڤون
hub	هاب
hubby	هوببي
hug	ڤلوق
huge	بسر
human	مأنسي
humble	رنده ديري
humid	لمبڤ
humidity	كلمباڤن
hundred	راتوس
hungry	لاڤر
hunt	ڤربوروان
hurricane	تاوفن
hurry	سڬرا
hurry up	چڤتله
hurt	ساكيت
husband	سوامي
hustle	ترڬسا٢
hut	ڤوندوق
hygiene	كبرسيهن
I	ا
I am	ساي
I am fine	ساي صيحت
I can	ساي بوليه
I can't	ساي تيدق بوليه
I do	ساي سودي
I do not know	ساي تيدق تاهو
I do not understand	ساي تيدق فهم
I don't	ساي تيدق
I don't know	ساي تيدق تاهو
I don't understand	ساي تق فهم
I don't understand what you mean	ساي تيدق فهم اڤ يڠ اوق مقصودكن
I don't understand you	ساي تق فهم اوق
I don’t know	ساي تيدق تاهو
I don’t understand	ساي تق فهم
i guess	ساي اڬق
I had	ساي تله
I have	ساي اد
I have been	ساي تله
I hope so	ساي هارڤ بڬيتو
I know	ساي تاهو
I like	ساي سوك
I like you	ساي سوك اوق
I love	ساي چينتا
I love my big brother	ساي سايڠ ابڠ ساي
I love my big sister	ساي سايڠ كاكق ساي
I love my father	ساي سايڠ ايه ساي
I love my little brother	ساي سايڠكن اديق للاكي ساي
I love my little sister	ساي سايڠكن اديق ڤرمڤوان ساي
I love my mother	ساي سايڠكن ايبو ساي
I love you	ساي چينتاكن اوق
I love you	ساي سايڠ اوق
I love you so much	ساي ساڠت سايڠكن اوق
I love you too	ساي جوڬ سايڠ اوق
I mean	مقصود ساي
I miss you	ساي ريندوكن اوق
I miss you so much	ساي ساڠت ريندوكن اوق
I see	ساي ليهت
I think	ساي فيكير
I understand	ساي فهم
I want	ساي ماهو
I want to see you	ساي نق جومڤا اوق
I want you	ساي نق اوق
I was	ساي تله
I will	ساي اكن
I would be	ساي اكن
I'm	ساي
I'm fine	ساي باءيق
I'm good	ساي باءيق
I'm here	ساي د سيني
I'm sorry	ساي مينتا معاف
ice	ايس
ice cream	ايس كريم
idea	ايديا
ideal	ايديال
identical	سام
identify	كنل ڤستي
identity	ايدينتيتي
idiot	بودوه
idle	تيدق اكتيف
if	جك
ignore	ابايكن
ill	ساكيت
illegal	حرام
illness	ڤڽاكيت
Ilocano	الوكنو
image	ڬمبر
imagine	بايڠكن
immediate	سرتا مرتا
immediately	سڬرا
immense	بسر سكالي
impact	كسن
impatient	تيدق صبر
implement	مڠواتكواسكن
import	ايمڤورت
important	ڤنتيڠ
impose	مڠناكن
impossible	مستحيل
impress	مناريق ڤرهاتين
impression	تڠڬڤن
impressive	مڠاڬومكن
improve	تمبه باءيق
improvement	ڤنمبهباءيقن
in	دالم
in addition	سباڬاي تمبهن
In fact	سبنرڽ
in front of	د هادڤن
in order to	اونتوق
inappropriate	تيدق سسواي
incentive	اينسنتيف
incident	كجادين
include	ترماسوق
including	ترماسوق
income	ڤنداڤتن
inconvenience	كتيدقسليسأن
increase	ڤرتمبهن
increased	منيڠكت
incredible	هيبت
indeed	ميمڠ
independent	برديكاري
India	اينديا
indicate	ڤتاندا
indigenous	اورڠ اصلي
individual	ماسيڠ٢
industry	ايندوستري
inevitable	تيدق بوليه دايلق
infant	بايي
infection	جڠكيتن
infinity	ينفينيتي
inflammation	كراداڠن
inflation	ينفلسا
influence	ڤڠاروه
inform	معلومكن
information	معلومت
ingredients	باهن٢
inheritance	هرتا ڤوساك
initial	ڤرمولأن
initiative	اينسياتيف
injured	ترچدرا
injury	كچدرأن
innocent	تيدق برساله
innovation	اينوۏاسي
inquiry	ڤرتاڽان
insane	ڬيلا
insect	سراڠڬ
insecure	راس تيدق سلامت
insert	ماسوقكن
inside	د دالم
insight	واوسن
insist	منڬسكن
insomnia	اينسومنيا
inspiration	اينسڤيرسي
inspire	ممبري اينسڤيرسي
install	ڤاسڠ
instance	چونتوه
instant	سڬرا
instead	لبيه باءيق
instead of	سباڬاي ڬنتي
instructions	ارهن
instrument	الت
insult	مڠهينا
insurance	انشورانس
intact	اوتوه
integrity	اينتڬريتي
intellectual	اينتليكتوال
intelligence	كچرداسن
intelligent	چرديق
intend	برنية
intended	دمقصودكن
intense	تڬڠ
intention	حسرت
interact	براينتركسي
interaction	اينتركسي
interest	مينت
interested	برمينت
interesting	مناريق
interfere	چمڤور تاڠن
intermediate	ڤرتڠهن
internal	دالمن
international	انتارابڠسا
internship	لاتيهن عملي
interpret	منتفسير
interpreter	جوروبهاس
interrupt	مڽمڤوك
interview	تمودوڬ
intimate	اينتيم
into	ك دالم
introduce	ڤركنلكن
introduction	ڤڠنلن
introvert	اينتروۏرت
intuition	ڬرق هاتي
invalid	تيدق سه
invent	منچيڤتا
inventory	ينۏينتوري
invest	ملابور
investigate	مڽياسات
invitation	جمڤوتن
invite	جمڤوت
invoice	ينۏويس
involve	ترليبت
involved	ترليبت
iron	بسي
is	اداله
island	ڤولاو
isolated	ترڤنچيل
issue	ايسو
issues	ايسو٢
it	اداله
it	اي
it is	اي اداله
it was	اي اداله
it's	اي اداله
it's ok	تيدق مڠاڤ
It's okay	تق اڤ
item	ايتم
items	بارڠ
its	اي اداله
I’m	ساي
jacket	جاكيت
jail	ڤنجارا
January	جانواري
jar	بالڠ
jaw	رهنڬ
jealous	چمبورو
jerk	ترسنتق
jewelry	بارڠ كمس
job	ڤكرجأن
jogging	برجوڬيڠ
join	سرتاي
joint	سندي
joke	جناك
journalist	ورتاون
journey	ڤرجالنن
joy	كڬمبيراءن
judge	حاكيم
juice	جوس
july	جولاي
jump	ملومڤت
june	جون
junk	سمڤه
just	هاڽ
just	بارو
just do it	بوات سهاج
justice	كعاديلن
justify	جوستيفيكاسي
Kalaallisut	كلاليسوت
keen	تاجم
keep	جاڬ
keep it up	تروسكن
kept	دسيمڤن
kettle	چريق
key	كونچي
kick	تندڠ
kid	انق
kidding	برڬوراو
kidney	بواه ڤيڠڬڠ
kids	كانق٢
kill	بونوه
kind	باءيق
kinda	اڬق
kindly	دڠن باءيق هاتي
kindness	كبايكن
king	راج
kiss	چيومن
kitchen	داڤور
kite	لايڠ٢
kitten	انق كوچيڠ
knee	لوتوت
knew	تاهو
knife	ڤيساو
knight	كستريا
know	تاهو
knowledge	ڤڠتاهوان
known	دكتاهوي
Konkani	كونكاني
Krio	كريو
label	لابيل
labor	بوروه
labour	بوروه
lack	كورڠ
ladder	تڠڬ
lady	وانيتا
laid	دلتقكن
lake	تاسيق
lamb	بيري٢
lame	لمه
lamp	لمڤو
land	تانه
landscape	لندسكاڤ
language	بهاس
lap	ڤوسيڠن
large	بسر
last	تراخير
last	برتاهن
last but not least	اخير سكالي
last name	نام تراخير
late	لمبت
lately	كبلاكڠن اين
later	كمودين
latest	تركيني
latter	يڠ تراخير
laugh	كتاوا
laughing	كتاوا
laughter	ڬلق كتاوا
launch	ڤلنچاران
laundry	چوچين
law	اوندڠ٢
lawn	لامن
lawyer	ڤڬوام
lay	لتق
layer	لاڤيسن
layout	سوسون اتور
lazy	مالس
lead	مميمڤين
leader	كتوا
leaf	داون
leak	بوچور
lean	مڽاندار
leap	لومڤت
learn	بلاجر
learning	ڤمبلاجرن
lease	ڤاجكن
least	ڤاليڠ كورڠ
leather	كوليت
leave	منيڠڬلكن
leave	چوتي
leaves	داون٢
led	دڤيمڤين
left	كيري
leg	كاكي
legacy	ليڬسي
legal	اوندڠ٢
legend	لاڬيندا
legit	سه
leisure	سنتاي
lend	ڤينجم
length	ڤنجڠ
less	كورڠ
lesson	ڤلاجرن
let	بياركن
letter	سورت
lettuce	سالد
level	تاهڤ
leverage	ڤڠاروه
liability	ببنن
library	ڤرڤوستاكان
lick	منجيلت
lie	تيڤو
lies	ڤمبوهوڠن
life	ڽاوا
lift	ليف
lift	اڠكت
light	چهاي ريڠن
lightning	كيلت
like	سوك
likely	بركموڠكينن
likewise	بڬيتو جوڬ
line	باريسن
Lingala	ليڠالا
link	ڤاوتن
lion	سيڠا
liquid	چچأير
list	سناراي
listen	دڠر
listening	مندڠر
literally	سچارا ليتيرال
literature	كسوسسترأن
litter	سمڤه
little	سيكيت
live	هيدوڤ
liver	هاتي
lives	ڽاوا
living	هيدوڤ
living room	رواڠ تامو
lizard	چيچق
load	ممواتكن
loaf	سبوكو روتي
loan	ڤينجمن
local	تمڤتن
location	لوكاسي
lock	كونچي
lockdown	ڤنوتوڤن
log	لوڬ
lonely	برسنديرين
long	ڤنجڠ
long time no see	لاما تق جومڤا
look	ليهت
loop	ليڠكرن
loose	لوڠڬر
lord	توان
lose	كاله
loss	كروڬيان
lost	سست
lost	هيلڠ
lot	باڽق
lot	لوت
loud	لنتڠ
lounge	رواڠ ريحت
love	چينتا
love	سايڠ
love you	سايڠ اوق
lovely	اينده
lovely	چنتيق
low	باوه
lower	لبيه رنده
loyal	ستيا
loyalty	كستياان
luck	نصيب باءيق
lucky	برتواه
Luganda	لوڬندا
luggage	باڬسي
lump	كتولن
lunch	ماكن تڠه هاري
lungs	ڤارو٢
luxury	كميواهن
lying	منيڤو
machine	ميسين
mad	ڬيلا
mad	ماره
madam	ڤوان
made	تله دبوات
magazine	مجله
magnificent	هيبت
maid	اورڠ ڬاجي
main	اوتام
maintain	ممڤرتاهنكن
maintenance	ڤڽڠڬارأن
Maithili	مايثيلي
major	بسر
majority	ماجوريتي
make	بوات
make up	ميكاڤ
Malay	ملايو
male	للاكي
mall	ڤوست بلي بله
man	للاكي
manage	مڠوروس
management	ڤڠوروسن
manager	ڤڠوروس
mandatory	واجب
manifest	ڽات
manipulate	ممانيڤولاسي
manner	ڤريلاكو
manual	مانوال
many	باڽق
many many happy returns of the day	سموڬ هاري جادي اوق داتڠ لاڬي اكن داتڠ سوڤاي اوق داڤت راس ڬمبيرا لاڬي
march	ڤراراكن
margin	مرڬين
market	ڤاسرن
marriage	ڤركهوينن
married	تله بركهوين
mask	توڤيڠ
mass	برت
massive	بسر بسرن
master	ڤاكر
match	سسواي
match	ڤرلاونن
mate	ڤاسڠن
material	باهن
math	ماتماتيك
matter	ڤركارا
maturity	كماتاڠن
may	بوليه جادي
maybe	موڠكين
me	ساي
me too	ساي جوڬ
meal	هيدڠن
mean	ظاليم
mean	مقصود
meaning	مقصود
means	چارا
meant	دمقصودكن
meanwhile	سمنتارا ايت
measure	اوكور
measures	لڠكه٢
meat	داڬيڠ
medical	ڤروبتن
medicine	اوبت
meditation	ميديتاسي
medium	سدرهان
meet	جومڤا
meeting	مشوارت
Meiteilon	ميتيلون
melt	چاير
memories	كنڠن
memory	ايڠتن
mental	مينتل
mention	سبوت
mentioned	دسبوتكن
mentor	منتور
merchant	ڤنياڬ
mercy	بلس كاسيهن
merely	سمات مات
merry christmas	سلامت هاري ناتل
mess	برسيڤه٢
message	ميسيج
messy	برسيڤه
metal	لوڬم
method	قاعده
mice	تيكوس
middle	تڠه
midnight	تڠه مالم
might	موڠكين
mild	اڬق لمه
milestone	ڤنچڤاين
military	تنترا
milk	سوسو
million	جوت
mind	ميندا
mindset	ڤميكيرن
mine	ميليق ساي
mingle	برڬاول
minor	كچيل
minor	سديكيت
minute	مينيت
minutes	مينيت
miracle	كعجاءيبن
mirror	چرمين
miscellaneous	ماچم٢
mischievous	ناكل
miserable	سڠسارا
misery	كسڠساراان
miss	ترلڤس
miss you	ريندو اوق
missing	هيلڠ
mission	ميسي
mist	كابوس
mistake	كسيلاڤن
Mizo	ميزو
mobile	موده اليه
mock	مڠجيك
model	موديل
moderate	برڤاتوتن
modern	مودن
modest	سدرهان
moist	لمباب
moisture	لمباڤن
mold	اچوان
mole	تاهي لالت
mom	ايبو
moment	سكتيكا
monday	اثنين
money	دويت
monitor	ڤانتاو
monkey	موڽيت
month	بولن
mood	كادأن
moody	موروڠ
moon	بولن
moral	اخلاق
more	لبيه
moreover	لبيه٢ لاڬي
morning	ڤاڬي
mortgage	چاڬر
most	كبڽقان
mostly	كبڽقنڽ
mother	امق
mother	ايبو
motion	ڬرقن
motivation	موتيۏاسي
mountain	ڬونوڠ
mouse	تيكوس
mouth	مولوت
move	اليه
movement	ڤرڬرقن
movie	فيليم
mrs	ڤوان
much	باڽق
mud	لومڤور
mug	موڬ
muscle	اوتوت
museum	موزيوم
mushroom	چنداون
music	موزيك
must	مستي
mute	بيسو
mutual	ساليڠ
my	كو
my	ساي
My dear	سايڠكو
my friend	كاون ساي
My hovercraft is full of eels	هوۏركراف ساي ڤنوه دڠن بلوت
my love	سايڠكو
my love	چينتاكو
my name is	نام ساي اداله
my pleasure	دڠن سنڠ هاتي
myself	ديري سنديري
mysterious	ميستري
mystery	ميستري
myth	ميتوس
nail	ڤقاو
naive	ناءيف
name	نام
narrative	ناراتيف
narrow	سمڤيت
nasty	جيليق
national	ناسيونل
nationality	كورڬنڬارأن
native	اصلي
natural	سمولا جادي
nature	عالم سمولاجادي
nausea	لويا
near	دكت
nearby	بردكتن
nearly	همڤير
neat	كمس
necessary	كمستيان
neck	ليهير
necklace	رنتاي ليهير
need	ڤرلو
negative	نڬاتيۏ
neglect	ڤڠابايان
negotiate	برونديڠ
neighbor	جيرن
neighborhood	كجيرانن
neither	كدوا دواڽ تيدق
nephew	انق ساودارا
nerd	اولت بوكو
nervous	ڬيمينتر
nest	سارڠ
net	جاريڠ
network	راڠكين
neutral	نيوترل
never	تيدق ڤرنه
never give up	جاڠن برڤوتوس اسا
never mind	تيدق مڠاڤ
nevermind	تيدق مڠاڤ
nevertheless	باڬايماناڤون
new	بارو
news	بريتا
next	ستروسڽ
next to	سبله
nice	باءيق
nice	با
nice to meet you	سلامت بركنلن
niece	انق سدارا
night	مالم
nightmare	ميمڤي ڠري
nine	سمبيلن
nineteen	سمبيلن بلس
ninety	سمبيلن ڤولوه
No	تيدق
no problem	تياد مسئله
no way	تيدق موڠكين
nobody	تياد سياڤا
noise	بيسيڠ
noisy	بيسيڠ
none	تيادا
noon	تڠه هاري
nope	تيدق
nor	ماهوڤون
normal	بياسا
north	اوتارا
nose	هيدوڠ
nostalgic	نوستلڬيا
not	بوكن
not at all	تيدق سام سكالي
not bad	بوليه تاهن
Not now	بوكن سكارڠ
not yet	بلوم لاڬي
note	نوتا
noted	ترچاتت
nothing	تياد
nothing	كوسوڠ
notice	ڤراسن
noticed	ڤراسن
noun	كات نام
nouns	كات نام
novel	نوۏيل
november	نوۏيمبر
now	سكارڠ
nowadays	ڤد ماس كيني
nuisance	ڬڠڬوان
null	بطل
numb	كبس
number	نومبور
nurse	جوروراوت
nut	كاچڠ
nutmeg	بواه ڤال
nutrition	ڤماكانن
oath	سومڤه
obesity	اوبسيتي
obey	ڤاتوه
object	اوبجك
objective	أوبجيكتيف
obligation	تڠڬوڠجواب
obscure	كابور
observation	ڤمرهاتين
observe	ممرهاتي
obsessed	اوبسسس
obsession	كتعسوبن
obsolete	كتيڠڬالن زمان
obstacle	هالڠن
obtain	منداڤتكن
obtained	دڤراوليهي
obvious	جلس
obviously	ترڠ٢
occasionally	كادڠ٢
occupation	ڤكرجأن
occupied	ددودوكي
occur	مونچول
occurred	برلاكو
occurs	برلاكو
ocean	لاوت
october	اوكتوبر
odd	ڬنجيل
odds	كموڠكينن
of	د
of	دري
of course	مستيله
off	توتوڤ
offensive	مڽاكيتكن هاتي
offer	تاورن
office	ڤجابت
official	راسمي
often	سلالو
Oh	اوه
oh really	اوه سوڠڬوه
oil	ميڽق
ok	اوكي
ok dear	اوق سايڠ
ok honey	باءيقله سايڠ
ok my love	باءيق سايڠكو
okay	اوكي
okay baby	باءيقله سايڠ
okay dear	باءيق سايڠ
okay honey	باءيقله سايڠ
okay my love	باءيقله سايڠكو
old	توا
on	اتس
on	تنتڠ
once	سبايق سهاج
once	سكالي
one	ساتو
one language is never enough	ساتو بهاس تيدق ڤرنه چوكوڤ
onion	باوڠ بسر
online	دالم تالين
only	سهاج
open	بوك
operation	اوڤراسي
opinion	ڤنداڤت
opportunities	ڤلواڠ
opportunity	ڤلواڠ
opposite	برلاونن
optimistic	اوڤتيميستيچ
option	ڤيليهن
optional	ڤيليهن
or	اتاو
orange	اورين
order	ڤسانن
order	اره
ordinary	بياسا
organization	اورڬانيساسي
orientation	اوريانتاسي
origin	اصل اصول
original	اصل
Oromo	اورومو
orphan	يتيم ڤياتو
other	سلاين
otherwise	چوما
ought	سڤاتوتڽ
our	كامي
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	ميسي كامي: اونتوق ممبوليهكن سموا اورڠ، د مان مان سهاج ممهمي دنيا اين دان مڠك سڤريسيكن ديري مريك مرنتسي بهاس.
Our mission: to organize the world's information and make it universally accessible and useful.	ميسي كامي: اونتوق مڽوسون معلومت د دنيا دان منجاديكنڽ برمنفعة دان بوليه دأكسس سچارا مڽلوروه
out	لوار
outcome	حاصيل
outfit	ڤاكاين
outgoing	كلوار
outlet	كداي
outline	ڬاريس بسر
outside	د لوار
outstanding	چمرلڠ
oven	كتوهر
over	د اتس
over there	د سان
overall	كسلوروهن
overcome	مڠاتسي
overthinking	ترلالو برفيكير
overwhelmed	مڠالهكن
overwhelming	لوار بياسا
owe	هوتڠ
owl	بوروڠ هنتو
own	سنديري
owner	ڤميليك
ox	لمبو
pace	لڠكه
pack	بوڠكوس
package	ڤاكيج
paid	باير
pain	ساكيت
paint	مورنا
painting	ملوكيس
pair	سيڤسڠ
pale	ڤوچت
palm	تاڤق تاڠن
pan	ڤن
pandemic	ڤندميچ
panic	ڤنيق
pants	سلوار
paper	كرتس
paradise	شرڬ
parallel	سلاري
parcel	بوڠكوسن
pardon	معافكن
parents	ايبو باڤ
park	تامن
parrot	بوروڠ نوري
parsley	داون ڤاسلي
part	بهاڬين
participate	مڽرتاي
particular	بوتيرن
particularly	تراوتامڽ
partner	ڤاسڠن
party	ڤيستا
pass	لولوس لالو
passage	لالوان
passed	لولوس
passion	مينت
passionate	برسماڠت
passive	ڤاسيف
password	كات لالوان
past	لڤس
patch	تمڤلن
path	جالن
pathetic	مڽديهكن
patience	كصبرن
patient	صبر
patient	ڤساكيت
pattern	چورق
pause	جيد
pavement	كاكي ليما
pay	باير
payment	بايرن
peace	امان
peaceful	امان داماي
peach	ڤيچ
peak	ڤونچق
pear	بواه ڤير
peas	كاچڠ ڤولوڠ
peculiar	ڤليق
pee	كنچيڠ
peel	كوڤس
peer	راكن سبايا
peers	راكن سبايا
pen	ڤين
pencil	ڤينسيل
pending	ترتڠڬوه
people	اورڠ
pepper	لادا سوله
perceive	نمڤق
perception	ڤرسيڤسي
