a	i
instead	ha ka jaka
instead of	ha ka jaka jong
instructions	jingbthah
instrument	ka tiar
insult	jingkrenbein
intellectual	riewstad
intelligence	jingstad
intelligent	jingstad
intend	mut
intended	la thmu
intention	jingthmu
interest	ka sut
interested	don jingmut
interfere	pynwit
intermediate	ba hapdeng
internal	ba shapoh
interpreter	nongpynkylla ktien
interrupt	knieh ktien
intimate	ba iajan eh
introduce	pynithuh
introduction	jingpynithuh
invent	shem
investigate	wad bniah
invitation	jingkhot sngewbha
invite	khot sngewbha
involved	don kti
iron	istri
iron	ka nar
is	ka long
island	dew lynnong
issue	pynmih
it is	ka long
it was	ju long
it's	ka long
it's ok	ka biang
It's okay	Ka biang
its	jong
I’m	Nga
jacket	jaket
jail	iing bindi
January	Kyllalyngkot
jaw	tyngam
jealous	bishni
jerk	jynrat
jewelry	jingdeng
job	ka kam
jogging	mareh kai
join	iasnoh lang
joke	khana biria
journalist	nongpathai khubor
journey	jingiaidlynti
joy	jingkmen
judge	bishar
judge	nongbishar
juice	um soh
july	naitung
jump	kynthih
june	jylliew
just do it	shu leih beit
justice	jingbishar
justify	pynksan
keep	buh
kept	ba la buh
kettle	u ketli
key	shabi
Khasi	khasi
kick	kynjat
kid	khynnah
kidding	kren danda
kidney	khyllai
kids	ki khynnah
kill	pyniap
kind	babha
kind	bha
kindly	sngewbha
kindness	jinglehisnei
king	syiem
kiss	doh
kitchen	iing shet-ja
kite	kot kudi
kitten	khun miaw
knee	khohsiew
knew	lah tip
knife	tari
know	tip
knowledge	jingstad
known	ba la tip
labor	jingtrei
labour	jingtrei
lack	jingduna
ladder	jingkieng
lady	kong
lake	nan
lamb	langbrot
lame	dkoh
lamp	sharak
land	hiar
land	jaka
language	jait ktien
lap	jingthum
large	ba heh
last	khadduh
last name	jait
late	slem
lately	dang shen
later	hadien
latest	bathymmai tam
latter	ba kadien
laugh	rkhie
laughing	rkhei
laughter	jingrkhie
laundry	jain jaboh
law	ain
lawn	madan phlang
lawyer	muktiar
lazy	jaituh
lead	ialam
leader	nongialam
leaf	sla
leak	pei
leap	rynsied
learn	nang
learning	jinghikai
lease	ai wai
least	duna duh
leather	snieh
leave	ieh
leave	shuti
leaves	ieh
led	la ialam
left	kadiang
leg	ka kjat
legacy	pateng
legal	hapoh ka ain
legend	khana prurskam
legit	hapoh ka ain
leisure	jingshongkai
lend	ai kylliang
length	jingjrong
less	duna
lesson	jinghikai
let	shah
letter	shithi
lettuce	salad
lick	jliah
lie	shukor
lie	jingshukor
lies	jingshukor
life	jingim
lift	kyntiew
light	thang
light	bashai
light	jingshai
lightning	leilieh
like	sngewtynnat
likewise	kumjuh
line	line
link	jingbteng
lion	u sing
liquid	long um
listen	sngap
listening	sngap
litter	bret jakhlia
little	khyndiat
live	im
live	baim
liver	dohnud
lives	ki jingim
living	baim
living room	kamra shongkai
lizard	niang bshiah
load	jingkit
loan	jingaikylliang
location	ka jaka
lock	tala
lockdown	khangdam
log	dieng tylli
lonely	rangli
long	jrong
long time no see	khlem iakynduh shuh lah slem
look	peit
look	jingpeit
loop	kyllain
loose	pynkylluid
loose	jingkylluid
lord	trai
lose	pynjah
loss	jingduh
lost	jah
lot	bun
loud	jam
lounge	kamra shongkai
love	jingieid
love	ieid
love you	ieid ia phi
low	duna
lower	ba kham harum
loyal	ba iaineh
luck	nusip
lucky	bha nusip
luggage	ki tum ki tam
lump	jingat
lunch	ja sngi
lungs	ki tor
lying	ba thoh
machine	mashin
mad	khleh beij
madam	kong
made	ba la thaa
magazine	kot pule
maid	nongtrei
main	bakongsan tam
maintain	pynneh
maintenance	jingpynneh
major	jingkhraw
major	bakhraw
majority	bun balang
make	shna
male	shynrang
man	u briew
manipulate	pynshalai
manner	rukom long
many	bun ngut
margin	rud
market	iew
marriage	jingshongkurim
married	ba lah shong kurim
mask	jingtap khmat
massive	baheh bha
master	trai
match	jingiadei
match	pyniadei
mate	paralok
math	jingkhein
maturity	jingsan
maybe	lehse
me	ia nga
me too	nga ruh
meal	ka jingbam
mean	mut
mean	sniew jinglong
meaning	ka jingmut
meant	ba la mut
meanwhile	katba
measure	thew
measures	ki lad
meat	ka doh
medicine	dawai
medium	ba pdeng
meet	iakynduh
meeting	jingialang
melt	umphniang
memories	ki jingkynmaw
memory	jingkynmaw
mentioned	la ong
merchant	nongkhaii
mercy	jingmap
merely	tang
merry christmas	khristmas basuk
message	khubor
metal	ka nar
method	rukom leh
mice	ki khnai
middle	pdeng
midnight	shiteng meit
mild	bajem
milestone	mawmer
milk	dud
million	million
mind	jingmut jingpyrkhat
mind	sngew
mine	jong nga
mine	tih
mingle	iakhleh
minor	barit
minute	minit
minutes	ki minit
miracle	kam phylla
mirror	iit khmih
misery	jingsangsot
miss	duh ei
miss you	tmang ia phi
missing	lah jan
mission	ka mission
mist	lyoh khyndew
mistake	jingbakla
mobile	ka mobile
mock	bein
modern	jong na juk bamynta
modest	don akor
moist	ba sngem
moisture	jingsngem
mole	knai tynjit
mom	mei
moment	khyllipmat
monday	sngi nyngkong
money	ka pisa
monitor	peitngor
monkey	shrieh
month	bnai
moon	u bnai
more	shuh shuh
moreover	nalor kata
morning	mynstep
mortgage	binda
most	bun tam
mostly	kham bun
mother	ka kmie
motion	jingiaid
motivation	jingpynshlur
mountain	lum
mouse	khnai
mouth	shyntur
move	khih
movement	jingkhih
movie	phlim
mrs	kong
much	bun
mud	ktieh
mug	mok
muscle	ksah
museum	ka museum
mushroom	tit
music	ka put ka tem
mute	bym lait kren
mutual	ba la iamynjur lang
my	jong nga
my friend	paralok jong nga
my love	baied jong nga
my name is	ka kyrteng jong nga ka long
myself	ma nga
myth	khana puruskam
nail	prek
naive	shida
name	kyrteng
narrow	khim
national	national
native	trai shnong
nature	meiramew
nausea	kynroi prie
near	hajan
nearby	hajan
nearly	lah jan
necessary	badonkam
neck	ryndang
necklace	kpieng
need	donkam
need	jingdonkam
neglect	shah ieh
neighbor	paramarjan
neighborhood	dong
nephew	u pyrsa
nest	skum
net	jar
neutral	bym iashah liang
never	lano lano
never give up	wat ju khein duh
never mind	ym lei lei
nevermind	ym lei lei
nevertheless	wat la katta ruh
new	bathymmai
news	khubor
next to	hajan
nice	bha
nice to meet you	sngewtynnat ban iakynduh ia phi
niece	ka pyrsa
night	meit
nightmare	jingruma
nine	khydai
nineteen	khatkhyndai
ninety	khyndaiphew
No	Em
no problem	ym lei lei
no way	ym don lad
nobody	mano mano ruh em
noise	jingsawa
noisy	ba sawa
noon	shiteng sngi
nor	lymne
north	shatei
nose	khmut
nostalgic	jingkynmaw batmang
Not now	Ym dei mynta
noted	pawnam
nothing	ei ei
notice	notis
noticed	iohi
novel	kot pule
november	naiwieng
now	mynta
nowadays	mynta ki por
null	nout
numb	ym don jingsngew
number	nombar
nurse	nos
nutrition	jingbam ba tei
oath	jingsmai
obesity	jingsngaid
obey	ngeit
objective	thong
obscure	kah dum
observation	jingpeit
observe	peit pyrman
obstacle	diengpynkiang
obtain	ioh
obtained	ba la ioh
occasionally	tyngkhat
occupation	jingtrei
occupied	ba don briew
occur	jia
occurred	ba la jia
occurs	jia
ocean	duriaw
october	risaw
of	jong
off	lip
offer	tyrwa
offer	jingtyrwa
office	ophis
often	man ka por
Oh	O
oh really	o shisha
oil	umphniang
ok	to
ok honey	to baieid
ok my love	to baieid jong nga
okay	to
okay honey	to baieid
okay my love	hooid baieid jong nga
old	barim
on	halor
once	shi sien
one	iwei
one language is never enough	kawei ka jaitktien kan ym long kaba lah biang
onion	piat
online	online
only	tang
open	plie
operation	jingpuid
opportunities	ki lad
opportunity	ka lad
opposite	pyrshah
or	lane
orange	rong soh niamtra
orange	soh niamtra
order	hukum
organization	seng
orientation	jingphai
origin	tynrai
original	ba long tynrai
orphan	khun swet
other	kawei
otherwise	lymda kumta
our	jong ngi
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Ka jingthmu jong ngi: ban pynlah ia baroh, ha baroh ki jaka ban sngewthuh ia ka pyrthei bad ban lah ban batai shaphang jong ki.
Our mission: to organize the world's information and make it universally accessible and useful.	Ka jingthmu jong ngi: ban pynbit pynbiang ka jingtip jong ka pyrthei bad ban pynlong ia ka kaba lah ban poi sha baroh bad kaba myntoi ia baroh
outcome	jingmih
outfit	riam
outgoing	pariah
outside	shabar
over	lah kut
over there	hangtei
overall	kyllum
overcome	ioh jop
owe	shah
owl	dkhoh
own	long trai
owner	trai
ox	masi lur
pace	jingstet
paid	ba la siew
pain	jingpang
paint	niad rong
painting	jingdro
pair	shijur
pale	thangiong
palm	sla kti
pan	karai
pandemic	ka khlam
panic	huri hura
pants	patlun
paper	ka kot
paradise	bneng
pardon	map
parents	ki kmie ki kpa
parrot	tuta
part	shibynta
participate	shim bynta
pass	lait
passage	lynti iaid
passed	lah lait
passionate	rhem mysiem
password	ka password
past	ba la leit
patch	syrdep
path	ka lynti
pathetic	isangsot
patience	jingiaishah
patient	nongpang
patient	baiaishah
pause	sangeh shipor
pavement	jaka iaid
pay	siew
payment	jingsiew
peace	jingsuk
peaceful	basuk
peach	soh phareng
peak	kliar
pear	soh phoh
peas	mator
peculiar	bakhyllah
pee	pynjhieh
pee	ka jingpynjhieh
peel	khoh snem
peer	ba iadei kyrdan
pen	khulom
pencil	led
pending	ba dang sah
people	ki briew
pepper	soh marit
perceive	imat
perfect	ba janai
perform	leh
perhaps	lehse
permanent	ba iaineh
permission	jingmynjur
permit	ai jingmynjur
perseverance	jingminot
person	briew
personal	shimet
personality	ka main
pet	jingri
phenomenon	jingjia
phone	ka phone
photo	dur
phrase	jingong
pick	jied
pick up	shaw
picture	ka dur
piece	dkhot
pieces	ki lyngkhot
pig	sniang
pigeon	paro
pile	kynton
pillow	sangkhlieh
pilot	nongniah
pin	pin
pineapple	soh trun
pink	babyrsaw
pit	thliew
pity	isnei
place	jaka
place	buh
places	ki jaka
plague	khlam
plain	ba madan
plan	plan
plant	thung
plants	jingthung
plate	pliang
platform	rynsan
play	lehkai
play	drama
playing	ialehkai
please	pynsngewbha
please	sngewbha
pleased	sngewbha
pleasure	jingsngewbha
pledge	kular
plenty	pahuh
plug	set
plum	soh plom
plumber	nongshna nar kor
poem	poitri
poetry	poitri
point	kdew
poison	ka bih
police	pulit
policy	polisi
polite	don akor
pollution	polusion
pond	pung
pool	ka pung
poop	eit
poor	ba duk
population	jingbunpaid
pork	doh sniang
possess	don
possession	jingdon
postpone	pud
potato	phan
poverty	jingduk
power	ka bor
powerful	ba donbor
practice	jinglehnohei
practice	leh
praise	iaroh
pray	duwai
precious	kordor
precise	thik
precisely	thik
predict	iathuh lypa
prefer	kham mon
preference	jingmon
pregnant	ar met
premises	phyllai
preparation	jingpynkhreh
prepare	pynkhreh
prepared	ba la pynkhreh
presence	jingdon ryngkat
present	jingaisngewbha
present	jingdon
preserve	pynneh
president	u presiden
press	nion
press	jingnion
pretend	lehmynleh
pretty	bhabriew
prevent	iada
price	dor
pride	jingmeng
priest	lyngdoh
prime	ba hakhmat duh
princess	ka khun syiem
principal	prinsipal
prior	shwa
prison	patok
private	shimet
prize	khusnam
probably	lehse
problem	jingeh
proceed	iaid shaphrang
produce	pynmih
product	jingmih
production	jingpynmih
profession	ka jingtrei
profit	jingiohnong
progress	kiew shaphrang
progress	jingkiew shaphrang
project	projek
prominent	pawkhmat
promise	jingkular
promise	kular
promote	pynkiew
promotion	jingkiew kam
prompt	bakloi
pronunciation	rukom kynnoh ktien
proof	sabut
properties	ki jaka puta
property	jaka puta
proposal	proposal
prosperity	jingroi
prosperous	ba roi
protect	iada
proud	meng
prove	pynshisha
provide	pynbiang
province	hima
puberty	jingsdang samla
public	pailang
pull	tan
pumpkin	pathaw
punctual	ba biang por
pupil	khynnah pule
purchase	theid
pure	bakhuid
purple	saw bthuh
purpose	jingthmu
purse	pla
pursue	beh thong
pursuit	jingbehthong
push	niat
put	buh
qualification	kyrdsan pule
quantity	jingbun
quarantine	set slung
quarrel	iamai
quarrel	jingiamai
quarter	pawa
queen	mahadei
queer	khyllah
query	jingkylli
question	jingkylli
quick	stet
quickly	kloi kloi
quiet	jar jar
quilt	rajai
quit	ieh
quiz	jingkyntip
quotes	ki jingong
rabbit	rabbit
rage	jingbitar
rain	u slap
raise	kyntiew
raised	pynsan
ran	la mareh
rapid	ba stet
rapidly	stet stet
rare	niar
rarely	kham niar
rash	khaid
rat	khnai
rate	ka dor
raw	ba khlem shet
reach	poi
reached	lah poi
read	pule
reading	jingpule
ready	ba la pynkhreh
real	bashisha
reality	ka jingshisha
realize	poi pyrkhat
realized	kyndit bynriew
really	dashisha
rear	shadien
reason	daw
recall	kynmaw
receipt	jiingioh
receive	ioh pdiang
received	la ioh
recent	dang shen
recently	dang shen
reception	jingpdiang sngewbha
recipe	ki jingkdew ban shet
reckless	bym phikir
recognition	jingithuh
recognize	ithuh
recommend	rekomen
recommended	ba la rekomen
record	dulir
record	thoh
recover	ioh biang
recovery	jingioh biang
rectangle	sawdong
red	saw
redeem	pynkhie biang
redemption	jingpynim
reduce	pynduna
refrain	kiar
refrigerator	ka fridge
refund	pynphai
refuse	len
refused	len
regarding	shaphang
regardless	kam pher
regards	jingai khublei
region	thain
regret	babe
regular	tista
regularly	tista
reject	kyntait
relate	pyniadei
related	iadei
relationship	ka jingiadei
relative	ba haiing
relative	ba ha iing
relatives	ba haiing
relax	shongthait
release	pyllait
release	jinglait
released	ba lah pyllait
reliable	ba lah ban shaniah
relief	jingtngen
relieve	pyllait
religion	niam
religious	riewblei
reluctant	artatien
rely	shaniah
remain	sahkut
remaining	ba sah
remedy	ka dawai
remember	kynmaw
remind	pynkynmaw
reminder	jingpynkynmaw
remote	bajngai
remove	weng
rent	wai
repair	maramot
repeat	ong biang
replace	bujli
reply	jingjubab
reply	jubab
report	pyntip
report	Kaiphod
represent	mih khmat
reputation	ka nam
request	jingkyrpad
request	kyrpad
require	donkam
required	badonkam
rescue	pyllait im
research	jingwad bniah
resemble	iasyriem
resentment	jingpihuin
reservation	jingbhah
reserve	bhah
resident	nongsah
resilience	jingsatar
resilient	ba eh
resist	pyneh
resistance	jingpyneh
resolve	kut jingmut
respect	burom
respect	jingburom
respond	jubab
response	jubab
responsibility	jingbahkhlieh
responsible	bahkhlieh
rest	shongthait
restaurant	jaka bam
restore	pynbha biang
restrict	buh pud
result	ka resul
results	ki resul
resume	sdang biang
retain	buh
retention	jingbuh
retired	ba lah shongthait
retreat	kylla dien
retrieve	wanrah biang
return	wan phai
reveal	pynpaw
revealed	ba la pynpaw
revenge	jingleh markylliang
revenue	jingioh
reverse	kylla dien
review	peit biang
review	jingpeit biang
revision	jingpule biang
reward	khusnam
rib	shyieng krung
rice	u khaw
rich	riewspah
right	badei
right	kamon
right now	mynta hi
rigid	eh tnen
ring	sati
rinse	phler
riot	jingkulmar
rip	tar
rip	jingtar
ripe	ba lah ih
rise	jingkiew
rise	kiew
rival	nongialeh pyrshah
river	ka wah
road	surok
robust	khlain
rock	maw siang
rod	rod
role	ka bynta
roll	tyllun
roof	tnum
room	kamra
root	tynrai
rope	tyllai
rotten	ba la pyut
rough	ba khain
round	pyllun
route	lynti
rub	kyrjaw
rubber	jri
rubbish	jaboh jabain
rug	dari
ruin	pynjulor
rule	synshar
ruler	skale
rules	ki rul
run	mareh
running	jingmareh
rural	thain nongkyndong
rush	pynkyrkieh
rush	jingkyrkieh
sack	borni
sacred	bakyntang
sacrifice	len lade
safe	shngain
safety	jinglongshngain
sage	phukir
said	la ong
sake	namar
salary	tulop
sale	jingdie
salt	ka mluh
same	kajuh
Same here	Kumjuh hangne
sand	shyiap
sarcastic	kren pharshi
sat	shong
satisfaction	jinghun
satisfied	lah hun
satisfy	pynhun
satisfying	ba pynhun
Saturday	Sngi Saitjain
savage	kaikhlaw
save	kynshew
saw	la iohi
say	ong
scale	tarajur
scam	jyrsieh
scar	dak mong
scarce	kyrduh
scared	sheptieng
scarf	tapmoh
scary	itieng
scattered	saphret
scent	jingew
school	skul
science	ka siens
scientist	riewstad siens
scientists	ki riewstad saians
scissors	khanshi
scold	kynheid
scratch	trud
scream	lynniar
sea	duriaw
seal	muhor
search	wad
season	aiom
seat	jaka shong
second	ba-ar
secret	ba buhrieh
section	bynta
secure	shngain
security	jinglongshngain
see	iohi
see you	sa iakynduh pat
see you later	ngin sa iakynduh shibit
see you soon	sa iakynduh kloi
see you tomorrow	sa iakynduh lashai
seed	symbai
seek	wad
seems	I kum
seen	ba iohi
seize	kem
seldom	tyngkhat
select	jied
self	ma nga
self healing	jingsumar da lade
sell	die
send	phah
send me your picture	phah ka dur jong phi sha nga
senior	ba kham heh
sensible	beit jingmut
sent	la phah
sentence	sentens
sentences	ki sentens
separate	pyniakhlad
september	nailur
serve	shakri
set up	pynbiang
setting	ba sep
settle	buhai shnong
seven	hynniew
seventeen	khathynniew
seventy	hynniewphew
several	bun tylli
severe	ba jur
sew	suh
shade	haba da sngi
shadow	syrngiew
shake	pynkhih
shall	yn sa
shallow	ba jyndong
shame	jinglehrain
shape	dur
share	sam
sharp	ba nep
she	ma ka
she has	ka don
she is	ka long
sheep	langbrot
shelter	jaka rieh
shield	stieh
shift	pynkynriah
shine	phyrnai
ship	jhad
shirt	sopti
shoes	juti
shoot	siat
shop	dukan
shopping	jingleit iew
shore	rud duriaw
short	lyngkot
shortage	jingduna
shot	siat
shot	jingsiat
should	dei ban
shoulder	tyrpeng
shout	hylla
show	ka tamasa
show	pyni
show me	pyni ia nga
shower	slap
shrimp	shymprong
shrink	rit
shut	khang
shut up	sngap jar
shy	lehrain
sibling	ba shipara
siblings	hynmen para
sick	pang
side	ka kiar
sight	jingimat
sightseeing	jingleit jngohkai
signature	jingsoi
silence	jingjar-jar
silent	jar jar
silk	ryndia
silver	rupa
similar	iasyriem
simple	basuk
simultaneously	ha kajuh ka por
since	naduh
sincerely	jingmut shisha
sing	rwai
singer	nongrwai
single	marwei
sink	ngam
sister in law	ka parakynsi
sit	shong
site	jaka
situation	ka jinglong
six	hynriew
sixteen	khathynriew
sixty	hynriewphew
size	jingheh
skill	jingtbit
skills	jingtbit
skin	sniehdoh
skinny	raikhoh
skirt	skad
sky	suin bneng
slave	mraw
sleep	thiah
sleeping	ba ioh thiah
sleepy	sam thiah
sleeve	kti sopti
slide	syntuid
slightly	malu mala
slim	raikhoh
slip	btuit
slope	ranad
slow	suki
slowly	suki suki
small	barit
smart	stad
smell	jingew
smile	jingphuh samrkhie
smile	phuh samrkhie
smoke	tdem
smooth	jlih
snack	jingbam kai
snake	bsein
snap	bthat
snow	ior
so	te
so cute	iskuin sat
so far	haduh mynta
soak	pdem
soap	sabon
sober	pyngngad
soccer	phutbol
society	jaitbynriew
socks	ki muja
soft	bajem
software	software
soil	khyndew
sold	lah die
sold out	lah dei lut
soldier	shipai
sole	ba marwei
solid	baskhem
solution	ka lad
some	katto katne
somebody	mano re mano
somehow	kumno re kumno
someone	mano re mano
something	kaei re kaei
sometimes	tyngkhat
song	jingrwai
soon	shen shen
sore throat	set rundang
sorrow	jingsngewsih
Sorry	Map
sought	ba la wad
soul	kynja mynsiem
sound	jingsawa
soup	syrwa
sour	jew
source	tyllong
south	Shathie
space	jaka bathylli
span	jingiar
Spanish	ka ktien Spain
spare	pyllait im
speak	kren
special	bakyrpang
speech	jingkren
speechless	bym lait kren
speed	jingstet
spend	pynlut
spent	la pynlut
spicy	ba don musli musla
spin	pynshad pyllun
spinach	palong
spirit	mynsiem
spit	bynthiew
split	phiah
split	ba phiah
spoil	pynsniew
spoiled	ba lah sniew
spontaneous	hangto hi
spoon	shamoit
spouse	lok
spread	pynsaphriang
square	sawdong ryntih
squeeze	khniot
squirrel	risang
stab	dung
stable	sem kulai
stage	rynsan
stain	jingthoh dak
stairs	mawkyndon
stamp	iuh
stand	ieng
stand	jaka ieng
star	khlur
start	sdang
started	ba la sdang
starving	ba thngan
state	ong
state	jinglong
statue	mot
status	kyrdan
stay	sah
stay safe	long shngain
steal	tuh
steam	jynhaw
steel	ka nar
steep	ba thiep
step	mawkyndon
stick	dieng lyngkhot
stiff	ba eh
sting	kynthtah
stingy	khapnap
stir	king
stolen	ba shu tuh
stomach	kpoh
stone	maw
stood	la ieng
stop	sangeh
store	dukan
storm	eriong
story	jingiathuh khana
stove	stove
straight	babeit
straightforward	shi sur shi dur
strange	phylla
stranger	nongwei
straw	stai
stream	wah duid
street	surok
strength	bor
stress	jingshitom jingmut
stretch	pynjlan
strict	pyrkhing
string	tyllai
strip	loit
strive	pyrshang tyngeh
strong	ba khlain
struck	ba la tied
struggle	jingiakhih
struggle	iakhih
struggling	ba iakhuh
stubborn	mynthi
stuck	sahkut
student	khynnah pule
study	jingpule
study	pule
studying	jingpule
stupid	beij
subject	sobjek
submission	jingai khublei
submit	ai
succeed	ioh jingjop
success	jingjop
successful	bajop
such as	kum
suck	kjit
sudden	kynsan
suddenly	kynsan
suffer	shem shitom
suffering	jingshem shitom
sufficient	dap biang
sugar	shini
suggest	ai jingmut
suggestion	jingai jingmut
suitable	ba iahap
suitcase	synduk
sum	jingkhein
summer	lyiur
summit	ka kliar
sun	ka sngi
sunday	sngi u trai
sunny	shai sngi
sunset	sep sngi
sunshine	jingshai ka sngi
superior	ba long heh
supervisor	nongpeit
supper	ja meit
support	jingkyrshan
support	kyrshan
supposed	tharai
sure	thikna
surgery	jingpuid
surname	jait
surprise	jingkyndit
surprised	kyndit
surrender	aiti
surrounding	ba ker sawdong
survive	lait im
suspect	suba
suspect	jingsuba
suspended	sospon
suspicious	suba
sustain	iaineh
sustainability	jinglah pynneh
swallow	nguid
swap	iakylliang
swear	kren sih
sweat	syep
sweater	swetar
sweep	sar
sweet	bathiang
sweetheart	baieid
swell	at
swelling	jingsiep
swim	jngi
swimming	ba jngi
swollen	siep
sword	waitlam
symbol	shin
sympathy	jingsngewlem
symptoms	ki dak jingpang
table	ka meij
tail	tdong
take	shim
take away	shim noh
take care	da sumar
take off	her
taken	lah shim
talk	kren
talk	jingkren
talkative	bun ktien
tall	ba jrong
tap	nar kor
target	thew
target	ka thong
task	ka kam
taste	jingmad
taste	mad
tasty	ba bang
taught	la hikai
tea	sha
teach	hikai
teacher	nonghikai
team	kynhun
tears	ummat
tease	pyndomkai
technology	ka technology
teeth	bniat
tell	iathuh
tell me	iathuh ia nga
temper	jingdomriang
temple	jaka mane blei
temporary	ba shipor
ten	shiphew
ten thousand	shiphew hajar
tenant	nongshongwai
tension	jingshitom jingmut
tent	iing jar
tentative	bym thikna
territory	thain
test	jingtynjuh
test	tynjuh
text	jingthoh
thank	ai khublei
thank you	khublei
Thank you for your patience while we investigate shipment	Khublei ia ka jingiaishah jong phi katba ngi dang wad jingtip ia ka shipment jong phi
thank you so much	khublei shibun
thank you very much	khublei shibun eh
thanks	khublei
Thanks for using our app	Khublei ba phi pyndonkam ka app jong ngi
that	itei
that is	kata ka long
that's good	ka bha
theft	jingtuh
their	jong ki
them	ma ki
theme	phang pdeng
themselves	ma ki
then	nangta
there	hangtei
there are	kine ki long
there is	ka don
therefore	namar kata
these	kine
they	ki
they are	ki long
thick	rben
thief	nongtuh
thigh	lbong
thin	stang
thing	kaei kaei
think	pyrkhat
third	ba lai
thirsty	sliang
thirteen	khatlai
thirty	laiphew
this	ine
this is	kane ka long
thorough	babniah
those	kitei
though	hynrei
thought	jingpyrkhat
thought	pyrkhat
thoughts	ki jingpyrkhat
thousand	shi hajar
thread	ksai
threat	ka jingbyrngem
threaten	byrngem
three	lai
threshold	khyrdop
thrive	roi
throat	pdot
through	lyngba
throughout	baroh shi lynter
throw	bret
thumb	kti kmie
thunder	pyrthat
Thursday	Sngi palei
thus	kumta
tie	ka jingteh
tie	the
tiger	khla
tight	pyrkhing
time	ka por
timid	tieng pyut
tiny	barit
tire	man thait
tired	thait
to	sha
to be	ban long
today	mynta ka sngi
toddler	khynnah rit
toes	shympriah kjat
together	ryngkat
toilet	jaka leit bar
told	la ong
tolerance	jiingiaishah
tolerate	shah
tomato	sohsaw
tomorrow	lashai
tongue	thylliej
tonight	mynta ka meit
too	ruh
took	la shim
tool	tiar
tools	ki tiar
tooth	bniat
top	hajrong
topic	phang
torn	ba lah jot
torture	pynshitom
total	kyllum
touch	kteh
tough	jwad
tour	tour
toward	shaphang
towards	shaphang
towel	jain niad
town	nongrit
toxic	ba long bih
trade	jingkhaii
trade	khaii
tradition	dustur
trail	sahdien
train	hikai
training	jinghikai kyrpang
trait	jinglong khynnah
transfer	pynkynriah
translate	pynkylla ktien
transparent	ba iohi lyngba
trap	jingriam
trash	jaboh
trauma	jingmynsaw
travel	leit jingleit
treasure	spah ba la tep
treat	leh
treatment	jingsumar
tree	dieng
trial	jingpyrshang
trick	buit
tried	la pyrshang
trim	khap ryntih
trouble	jingeh
trousers	patlun
truck	trok
true	BASHISHA
trunk	luta
trust	jingshaniah
trust	shaniah
truth	ka hok
try	pyrshang
tube	tyndong
Tuesday	Sngi Baar
tuition	jinghikai
turkey	han shoina
turmeric	shynrai
turn	phai
turtle	dkar
tutor	nonghikai
twelve	khatar
twenty	arphew
twenty-one	arphew wei
twice	arsien
twist	kyllain
two	ar
ugly	sniewdur
ultimate	bakhatduh
umbrella	shatri
unable	ym lah
uncle	mama
unconscious	bym tip briew
under	ha trai
underneath	ha trai
understand	sngewthuh
understood	ba la sngewthuh
unique	bakyrpang
university	skul bah
unknown	bym ithuh
unless	lymda
until	haduh
unusual	phylla
up	shajrong
up to you	ka shong ha phi
update	pynthymmai
update	jingpynthymmai
upgrade	jingpynkiew kyrdan
upgrade	pynkiew kyrdan
urban	thain sor
urge	kyntu
urge	jingkwah
urgent	bakyrkieh
us	ma ngi
use	pyndonkam
use	jingpyndonkam
used	ba la pyndonkam
useful	bamyntoi
useless	bym lerkam
usually	bunsien
utility	jingmyntoi
vacation	jingleit shuti
vaccination	tika
vaccine	tika
vague	bym shai
valley	them
valuable	bashongdor
value	pynshongdor
value	ka jingshongdor
various	bun jait
vary	pher
vase	khiew synriew
vast	ba iar
vegetable	u jhur
vegetables	ki khur
vehicle	ka kali
vendor	nongdie
venom	bih
venue	jaka
verify	pynshisha
vertical	da pynieng
vessel	khiew
via	lyngba
vicious	dusmon
video	ka video
village	nongkyndong
villain	riewsniew
vinegar	syrka
vintage	ba lah rim
violence	jingum snam
violent	bashyrkhei
virgin	soti
virtue	ka jingbha
vision	jingiohi
visit	leit jngoh
visit	jingleit jngoh
vivid	bashai
vocabulary	ki ktien
voice	ka sur
volume	jingsawa
vomit	ka prie
vomit	prie
wage	bainong
wages	bainong
waist	syngkai
wait	ap
waiter	nongsam bam
waiting	dang ap
wake	kyndit bynriew
wake up	khie noh
walk	iaid
walk	jingiaid
walking	iaid
wall	kynroh
wallet	pdok
wander	shang
want	kwah
wanted	ba la kwah
war	thma
wardrobe	ki jain ki nep
warehouse	kudam
warm	pynsyaid
warm	jingsyaid
warn	maham
warning	jingmaham
warrior	shipai
was	la long
wash	sait
waste	jinglehnohei
waste	pynlehnohei
watch	peit
water	ka um
wave	kaweh
way	lad
we	ngi
we are	ngi long
we can	ngi lah
weak	ba tlot
weakness	jingtlot bor
wealth	spah
wealthy	riewspah
wear	phong
wearing	ba phong
weather	suin bneng
wedding	jingshong kurim
Wednesday	Sngi Balang
weed	nuit
week	taiew
weekend	kut taiew
weight	jingkhia
weird	khyllah
welcome	pdiang sngewbha
welfare	jingbha
Well	Khiah
went	la leit
were	lah juh
west	sepngi
wet	jhieh
what	kaei
what about you	phi patde
what are you doing	phi leh aiu
what are you doing now	phi leh aiu mynta
what are you doing right now	phi leh aiu ha kane ka por
what do you do	phi trei kam aiu
what do you do for a living	phi trei kano ka kam
what do you mean	phi mut kumno
what do you want	phi kwa aiu
what happened	jia aiu
what is	kaei ka
what is this	kaei kane
