أ	a
مضحك	funny
الفراء	fur
زعلان	furious
عفش	furniture
إضافةً	further
بالإضافة	furthermore
مستقبل	future
ربح	gain
يكسب	gain
لعبة	game
فراغ	gap
موقف سيارات	garage
وساخة	garbage
حديقة	garden
ثوم	garlic
بوابة	gate
يجمع	gather
تجمع	gathering
مقياس	gauge
أعطى	gave
ترس	gear
الجنس	gender
عام	general
عمومًا	generally
يولد	generate
جيل	generation
كريم	generous
عبقري	genius
النوع	genre
محترم	gentle
عبقري	genuine
إيماءة	gesture
خذ	get
ألبس	get dressed
إنهض	get up
عاجل الشفاء	get well soon
الحصول	getting
شبح	ghost
الظلال	ghosting
عملاق	giant
هدية	gift
جنزبيل	ginger
بنت	girl
حبيبة	girlfriend
أعطي	give
يستسلم	give up
منح	given
سعيد	glad
يلمح	glance
نضارة	glass
زجاج	glass
زجاج	glasses
نظارات	glasses
لمحة	glimpse
عالمي	global
كئيب	gloomy
قفازات	gloves
جوانتي	gloves
لمع	glow
حماس	glow
لمع	glow up
صمغ	glue
أمشي	go
تفضل	go ahead
أبعد	go away
أمشي نوم	go to bed
هدف	goal
الأهداف	goals
ماعز	goat
الله	god
يرحمك الله	god bless you
يذهب	goes
يذهب	going
الذهاب الى	going to
ذهب	gold
ذهب	gone
سوف أفعل كذا	gonna
لزج	goo
جيد	good
عمل خير	good
مساء الخير	good afternoon
مع السلامة	good bye
يوم جيد	good day
مساء الخير	good evening
أحسنت	good job
طلة جميلة	good looking
حظ سعيد	good luck
صباح الخير	good morning
صباح الخير يا حبيبتي	good morning my love
تصبح على خير	good night
مع السلامة	goodbye
ليلة سعيدة	goodnight
بضائع	goods
قوقل	Google
مترجم قوقل	Google Translate
أوزة	goose
رائع	gorgeous
نميمة	gossip
إمتلك	got
فهمت	got it
حكومة	government
يمسك	grab
درجة	grade
تدريجيا	gradually
خريج	graduate
قمح	grain
منحة	grant
أعطى	granted
العنب	grapes
يمسك	grasp
عشب	grass
ممتن	grateful
عرفان وجميل	gratitude
قبر	grave
رمادي	gray
عظيم	great
جشع	greed
طماع	greedy
أخضر	green
تحية	greet
تحية	greeting
تحية	greetings
رمادي	grey
شبكة	grid
حزن	grief
عزاء	grief
سحق	grind
سيطرة	grip
خضروات	grocery
عريس	groom
الكلي	gross
أرض	ground
مجموعة	group
يتطور	grow
نمو	growth
غاضب	grumpy
لغة الغواراني	Guarani
يضمن	guarantee
حارس شخصي	guard
يحمي	guard
تخيل	guess
ضيف	guest
إرشاد	guidance
يرشد	guide
دليل	guide
مذنب	guilty
شاب	guy
شباب	guys
نادي رياضي	gym
عادة	habit
موطن	habitat
إمتلك	had
تمطر برد	hail
شعر	hair
نصف	half
قاعة	hall
يد	hand
يمسك	handle
مقبض	handle
وسيم	handsome
يشنق	hang
يتسكع	hang out
يحدث	happen
حصل	happened
سعادة	happiness
سعيد	happy
عيد ميلاد سعيد	happy birthday
عيد ميلاد سعيد	happy birthday to you
سنة سعيدة	happy new year
صعب	hard
بصعوبة	hardly
شبه مستحيل	hardly ever
أذي	harm
يؤذي	harm
ضار	harmful
انسجام	harmony
قاسي	harsh
محصول	harvest
يملك	has
يكره	hate
يملك	have
اتمنى ليك يوم جيد	have a good day
يوم سعيد	have a nice day
تناول الفطور	have breakfast
استمتع	have fun
هل أكلت	have you eaten
نأخذ	having
خطر	hazard
ضباب	haze
هو	he
هو يملك	he has
هو	he is
رأس	head
صداع	headache
يشفى	heal
شفاء	healing
الصحة	health
صحي	healthy
يسمع	hear
سمع	heard
قلب	heart
يسخن	heat
حرارة	heat
جنة	heaven
ثقيل	heavy
محموم	hectic
إرتفاع	height
وريث	heir
سرقة	heist
تولى مسؤولية	held
مسك	held
جحيم	hell
مرحب	Hello
مرحبا عزيزي	hello dear
السلام عليكم كيف حالك	hello how are you
مرحبا كيف أخبارك	hello how are you doing
خوذة	helmet
يساعد	help
متعاون	helpful
لذلك	hence
حقها	her
قطيع	herd
هنا	here
تراث	heritage
يتردد	hesitate
هيي	Hey
السلام عليكم	Hi
مرحباً كيف حالك	hi how are you
مرحباً	Hi there
مخفي	hidden
يخفي	hide
رتب	hierarchy
عالي	high
تسليط الضوء	highlight
يتنزه	hike
يرتفع	hike
تزلج	hiking
متعة	hilarious
جبل تراب	hill
هو	him
إشارة	hint
خاصرة	hip
خَواصِر	hips
يوظف	hire
توظيف	hiring
ملكه	his
تاريخ	history
يضرب	hit
ممم	Hmm
هواية	hobby
ينتظر	hold
يمسك	hold
انتظر	hold on
فتحة	hole
إجازة	holiday
مجوف	hollow
البيت	home
واجب منزلي	homework
صادق	honest
بصدق	honestly
حبيبتي	Honey
عسل	Honey
شرف	honor
غطاء مكنة العربية	hood
كَبُّوت	hood
خطاف	hook
قفز	hop
أمل	hope
يتمنى	hope
على أمل	hopefully
ما فيه أمل	hopeless
أفقي	horizontal
بوري	horn
ضرب	horn
فظيع	horrible
خوف	horror
حصان	horse
مستشفى	hospital
ضيافة	hospitality
يستضيف	host
مضيف	host
عدائي	hostile
ساخن	hot
الفندق	hotel
ساعة	hour
ساعات	hours
منزل	house
أهل بيت	household
كيف	how
رأيك شنو	how about you
كيف حالك؟	how are you
كيف حالك	how are you doing
كيف حالك اليوم	how are you doing today
كيف حالك اليوم ؟	how are you today
كيف حالك	how do you do
كيف هو	how is
كم عدد	how many
كم السعر	how much
كم مرة	how often
عمرك كم	how old are you
كيف كان يومك	how was your day
كيف كانت ليلتك	how was your night
مع ذلك	however
محور	hub
زوج	hubby
عناق	hug
يحضن	hug
ضخم	huge
إنسان	human
متواضع	humble
رطب	humid
رطوبة	humidity
مائة	hundred
جائع	hungry
مطاردة	hunt
اعصار	hurricane
أسرع	hurry
أسرع	hurry up
يعوق	hurt
زوج	husband
ضجيج	hustle
يسرع	hustle
كوخ	hut
صحة	hygiene
أنا	I
أنا	I am
أنا بخير	I am fine
أنا قادر	I can
لا يستطيع	I can't
أفعل	I do
ما عارف	I do not know
لا أفهم	I do not understand
أنا لا	I don't
ما عارف	I don't know
ما فاهم	I don't understand
ما فاهم قصدك	I don't understand what you mean
لا أفهمك	I don't understand you
ما عارف	I don’t know
لا أفهم	I don’t understand
اعتقد	i guess
كان عندي	I had
أنا أملك	I have
لقد كنت	I have been
أتمنى ذلك	I hope so
عارف	I know
انا بحب	I like
أنا بريدك	I like you
أنا أحب	I love
بحب أخوي الكبير	I love my big brother
بحب اختي الكبيرة	I love my big sister
بحب أبوي	I love my father
بحب أخوي الصغير	I love my little brother
بحب أختي الصغيرة	I love my little sister
بحب أمي	I love my mother
بحبك	I love you
بحبك شديد	I love you so much
أنا كمان بحبك	I love you too
أعني	I mean
مشتاق ليك	I miss you
مشتاق ليك كتير جدا	I miss you so much
فهمت	I see
أظن	I think
أنا متفهم	I understand
أريد	I want
أنا عايز أشوفك	I want to see you
أريدك	I want you
أنا كنت	I was
أنا سوف	I will
سأكون	I would be
أنا	I'm
أنا تمام	I'm fine
أنا بخير	I'm good
أنا هنا	I'm here
أنا آسف	I'm sorry
جليد	ice
أيس كريم	ice cream
فكرة	idea
مثالي	ideal
تطابق	identical
يحدد	identify
هوية	identity
إثبات شخصية	identity
غبي	idiot
عاطل	idle
إذا	if
يتجاهل	ignore
مريض	ill
غير قانوني	illegal
مرض	illness
لغة إيلوكانو	Ilocano
صورة	image
اتخيل	imagine
حالا	immediate
حالاً	immediately
كبير	immense
يؤثر	impact
أثر	impact
قليل الصبر	impatient
ينجز	implement
إستيراد	import
يستورد	import
مهم	important
خدع	impose
تطفل	impose
مستحيل	impossible
يبهر	impress
انطباع	impression
مبهر	impressive
تحسين	improve
تحسين	improvement
داخل	in
بالإضافة	in addition
في الحقيقة	In fact
امام	in front of
بغرض	in order to
غير مناسب	inappropriate
حافز	incentive
حادث	incident
يشمل	include
يشمل	including
دخل	income
غير مريح	inconvenience
يزيد	increase
زيادة	increase
زيادة	increased
رائع	incredible
في الحقيقة	indeed
مستقل	independent
الهند	India
يشير إلى	indicate
أصلي	indigenous
فرد	individual
مجال	industry
لا مفر منه	inevitable
طفل رضيع	infant
قاصر	infant
عدوى	infection
ما لا نهاية	infinity
التهاب	inflammation
تضخم	inflation
تأثير	influence
يؤثر	influence
يخبر	inform
معلومات	information
مكونات	ingredients
ميراث	inheritance
في البداية	initial
مبادرة	initiative
مصاب	injured
إصابة	injury
بريء	innocent
ابتكار	innovation
استفسار	inquiry
جنون	insane
حشرة	insect
غير آمن	insecure
أدخل	insert
في الداخل	inside
عقلانية	insight
يصر	insist
أرق وعدم نوم	insomnia
قدوة	inspiration
يلهم	inspire
يثبت	install
مثال	instance
فوري	instant
بدل من	instead
بدلاً من	instead of
تعليمات	instructions
أداة	instrument
يشتم	insult
تأمين	insurance
بكر	intact
متصل	intact
نزاهة	integrity
مفكر	intellectual
ذكاء	intelligence
ذكاء	intelligent
ينوي	intend
مقصود	intended
شديد	intense
نية	intention
يتفاعل	interact
تفاعل	interaction
إهتمام	interest
مهتم	interested
مهتم	interesting
يتدخل	interfere
متوسط	intermediate
داخلي	internal
دولي	international
تدريب	internship
يفسر	interpret
مترجم فوري	interpreter
يقاطع	interrupt
مقابلة	interview
عاطفي	intimate
داخل	into
يقدم	introduce
مقدمة	introduction
انطوائي	introvert
ذكاء	intuition
بديهة	intuition
غير صالح	invalid
يخترع	invent
جرد السلع	inventory
يستثمر	invest
يفتش	investigate
يتحرى	investigate
دعوة	invitation
يدعو	invite
كتب فاتورة	invoice
فاتورة	invoice
بيتضمن	involve
متورط	involved
يكوي	iron
حديد	iron
يكون	is
جزيرة	island
منفصل	isolated
مشاكل	issue
يصدر	issue
مشاكل	issues
هو	it
هي	it
هو	it is
كان	it was
إنه	it's
ما مشكلة	it's ok
ما مشكلة	It's okay
بند	item
عناصر	items
هو	its
أنا	I’m
جاكت	jacket
سجن	jail
يناير	January
علَبة	jar
فك	jaw
غيور	jealous
رعشة	jerk
مجوهرات	jewelry
وظيفة	job
يتمشى	jogging
ينضم	join
وصلة	joint
عقدة	joint
نكتة	joke
صحافي	journalist
رحلة	journey
لعبة	joy
بهجة	joy
يحكم على	judge
قاضي	judge
عصير	juice
يوليو	july
القفز	jump
يونيو	june
نفايات	junk
عدل	just
فقط	just
افعل ذلك	just do it
عدالة	justice
يبرر	justify
لغة كالاليسوت	Kalaallisut
قادر	keen
حريص	keen
يحفظ	keep
استمر	keep it up
أبقى	kept
غلاية	kettle
مفتاح	key
ركلة	kick
طفل	kid
يمزح	kidding
كلية	kidney
أطفال	kids
يقتل	kill
حنون	kind
نوع	kind
نوعا ما	kinda
لطفا	kindly
حنان وعطف	kindness
ملِك	king
قبلة	kiss
مطبخ	kitchen
طائرة ورقية	kite
تلد	kitten
قطه صغيرة	kitten
ركبة	knee
عرف	knew
سكين	knife
فارس	knight
يعرف	know
علم	knowledge
معروف	known
اللغة الكونكانية	Konkani
لغة الكريو	Krio
قائمة	label
يصنّف	label
عمل	labor
جهد	labor
عمل	labour
نقص	lack
سُلُّم	ladder
سيدة	lady
وضع	laid
إستلقى	laid
بحيرة	lake
لحم خروف	lamb
أعرج	lame
لمبة	lamp
يهبط	land
أرض	land
مناظر طبيعة	landscape
لغة	language
حضن	lap
كبير جدا	large
آخر	last
أخيراً وليس آخراً	last but not least
اسم العائلة	last name
متأخر	late
مؤخرا	lately
بعدين	later
أحدث	latest
أخير	latter
يضحك	laugh
يضحك	laughing
ضحك	laughter
يطلق	launch
مغسلة	laundry
قانون	law
العشب	lawn
محامي	lawyer
وضع	lay
طبقة	layer
تَخطِيط	layout
كسلان	lazy
يقود	lead
قائد	leader
ورقة	leaf
تسريب	leak
نحيف	lean
خطوة	leap
يتعلم	learn
تعلُّم	learning
إيجار	lease
الأقل	least
جلد	leather
يغادر	leave
إجازة	leave
أوراق شجر	leaves
قاد	led
غادر	left
ساق	leg
ورثة	legacy
قانوني	legal
أسطورة	legend
قانوني	legit
وقت الراحة	leisure
أعار	lend
دين	lend
طول	length
أقل	less
درس	lesson
أترك	let
حرف	letter
خطاب	letter
الخَسّ	lettuce
مستوى	level
تأثير	leverage
مسئولية	liability
مكتبة	library
يلحس	lick
يكذب	lie
كذب	lie
يكذب	lies
حياة	life
مصعد	lift
يرفع	lift
يضيء	light
نور	light
خفيف	light
برق	lightning
يحب	like
محتمل	likely
نفس الفات	likewise
خط	line
لغة اللينغالا	Lingala
رابط	link
أسد	lion
سائل	liquid
قائمة	list
أسمع	listen
الاستماع	listening
حرفياً	literally
أدب	literature
نفايات	litter
قليل	little
يعيش	live
بث مباشر	live
الكبد	liver
الأرواح	lives
معيشة	living
غرفة الأكل	living room
سحلية	lizard
حمولة	load
رغيف	loaf
دين	loan
محلي	local
موقع	location
قفل	lock
إغلاق	lockdown
يسجل	log
صاحب	lol
وحيد	lonely
طويل	long
وقت طويل بدون رؤية	long time no see
ينظر	look
مظهر	look
حلقة	loop
يفك	loose
مرخي	loose
إله	lord
يخسر	lose
خسارة	loss
خسر	lost
كثير	lot
صوت عالي	loud
صالة	lounge
يحب	love
حُبٌّ	love
بحبك	love you
محبوب	lovely
منخفض	low
أدنى	lower
وفي	loyal
وفاء	loyalty
حظ	luck
محظوظ	lucky
لغة لوغندا	Luganda
عفش	luggage
كتلة	lump
يطلق	lunch
رئتين	lungs
رفاهية	luxury
يكذب	lying
آلة	machine
مجنون	mad
سيدة	madam
مصنوع	made
مجلة	magazine
عظيم	magnificent
خادمة	maid
أساسي	main
يحافظ على	maintain
صيانة	maintenance
لغة المايثيلي	Maithili
رائد	major
أساسي	major
غالبية	majority
يصنع	make
مكياج	make up
ذكر	male
مجمع تجاري	mall
مول	mall
رجل	man
يدير	manage
إدارة	management
مدير	manager
إجباري	mandatory
واضح	manifest
يتلَاعب ب	manipulate
اسلوب	manner
يدوي	manual
كتير	many
تعود الأيام بسعادة	many many happy returns of the day
مارس	march
هامِش	margin
سوق	market
زواج	marriage
متزوج	married
قناع	mask
كتلة	mass
كبير	massive
يتقن	master
مباراة	match
يطابق	match
زميل	mate
مواد	material
الرياضيات	math
يهم	matter
قضية	matter
بلوغ	maturity
مايو	may
ربما	maybe
أنا	me
أنا أيضاً	me too
وجبة	meal
وسيلة	mean
وسط	mean
معنى	meaning
يعني	means
قصد	meant
في حين	meanwhile
يقيس	measure
مقاسات	measures
لحمة	meat
طبي	medical
دواء	medicine
تأمل	meditation
وسط	medium
يقابل	meet
إجتماع	meeting
لغة الميتيلون	Meiteilon
إنصهار	melt
ذكريات	memories
ذاكرة	memory
فكري	mental
أذكر	mention
أشار الى	mentioned
مُرشِد	mentor
تاجر	merchant
رحمة	mercy
مُجَرّد	merely
عيد ميلاد مجيد	merry christmas
فوضى	mess
رسالة	message
عشوائي	messy
معدن	metal
طريقة	method
الفئران	mice
منتصف	middle
منتصف الليل	midnight
ربما	might
لطيف	mild
خفيف	mild
منعطف	milestone
جيش	military
لبن	milk
مليون	million
عقلية	mind
يمانع	mind
عقلية	mindset
لي	mine
منجم	mine
مزج	mingle
صغير	minor
دقيقة	minute
دقائق	minutes
معجزة	miracle
مرآة	mirror
متنوع	miscellaneous
مزعج	mischievous
تعيس	miserable
شقاء	misery
يشتاق	miss
مشتاق ليك	miss you
يفتقد	missing
مهمة	mission
ضباب	mist
خطأ	mistake
لغة الميزو	Mizo
موبايل	mobile
مزيف	mock
نموذج	model
عارضة أزياء	model
يهدئ	moderate
حديث	modern
متواضع	modest
رطب	moist
رُطُوبَة	moisture
يشكل	mold
قالب	mold
يصمم	mold
وحدة كيميائية	mole
شامة	mole
ماما	mom
لحظة	moment
الاثنين	monday
قروش	money
يراقب	monitor
شاشة	monitor
قرد	monkey
شهر	month
مزاج	mood
متقلب المزاج	moody
قمر	moon
أخلاقي	moral
أكتر	more
إضافةً	moreover
الصباح	morning
قرض عقاري	mortgage
معظم	most
عمومًا	mostly
الأم	mother
حركة	motion
تشجيع	motivation
جبل	mountain
الفأر	mouse
فم	mouth
يتحرك	move
حركة	movement
فيلم	movie
السّيدة	mrs
كتير	much
طين	mud
كوز	mug
يغدر	mug
عضلات	muscle
متحف	museum
فطر	mushroom
تكاثر	mushroom
موسيقى	music
وجب	must
ضروري	must
صامت	mute
مشترك	mutual
ملكي	my
عزيزي	My dear
صديقي	my friend
بلدي الحوامات مليئة الثعابين	My hovercraft is full of eels
حبيبتي	my love
إسمي	my name is
من دواعي سروري	my pleasure
نفسي	myself
غامض	mysterious
غموض	mystery
أسطورة	myth
اظافر	nail
مسمار	nail
مغفل	naive
اسم	name
رواية	narrative
ضيق	narrow
مقرف	nasty
وطني	national
جنسية	nationality
محلي	native
طبيعي	natural
طبيعة	nature
قرف	nausea
قريب	near
مجاور	nearby
بالقرب	nearly
منظم	neat
ضروري	necessary
رقبة	neck
قلادة	necklace
يحتاج	need
حوجة	need
سلبي	negative
تجاهل	neglect
يتفاوض	negotiate
جار	neighbor
حيّ	neighborhood
ولا هذا	neither
ابن أخ	nephew
مجتهد	nerd
متوتر	nervous
عش	nest
صافي الدخل	net
شبكة	net
شبكة	network
محايد	neutral
أبداً	never
لا تستسلم	never give up
ولا يهمك	never mind
لا تهتم	nevermind
مع ذلك	nevertheless
جديد	new
أخبار	news
جنب	next
جنب	next to
لطيف	nice
إتشرفت بمعرفتك	nice to meet you
بنت الأخت	niece
الليل	night
كابوس	nightmare
تسع	nine
تسعة عشر	nineteen
تسعين	ninety
لا	No
ما مشكلة	no problem
مستحيل	no way
لا أحد	nobody
إزعاج	noise
مزعج	noisy
ولا واحد	none
الظهيرة	noon
لا	nope
ولا	nor
طبيعي	normal
الشمال	north
أنف	nose
إشتياق	nostalgic
ليس	not
لا على الإطلاق	not at all
ما سيء	not bad
ليس الآن	Not now
ليس بعد	not yet
ملحوظة	note
شهير	noted
ولا حاجة	nothing
يلاحظ	notice
لاحظت	noticed
اسم	noun
الأسماء	nouns
رواية	novel
نوفمبر	november
الآن	now
حاليا	nowadays
إزعاج	nuisance
باطل	null
شلل	numb
رقم	number
ممرضة	nurse
بندق	nut
جوز	nut
شجرة جوزة الطيب	nutmeg
تغذية	nutrition
حلف	oath
سمنة	obesity
يسمع كلام	obey
يطيع	obey
غرض	object
أسم المفعول به	objective
جماد	objective
التزام	obligation
غامض	obscure
ملاحظة	observation
يلاحظ	observe
مهووس	obsessed
هوس	obsession
مهجور	obsolete
عقبة	obstacle
يحصل على	obtain
تحصل على	obtained
واضح	obvious
واضح	obviously
أحياناً	occasionally
مهنة	occupation
مشغول	occupied
يقع	occur
وقع	occurred
يحدث	occurs
محيط	ocean
اكتوبر	october
غريب	odd
إنحياز	odds
احتمالات	odds
خلاف	odds
من	of
أكيد طبعا	of course
جارح	offensive
يوفر	offer
عرض	offer
مكتب	office
رسمي	official
غالبا	often
اها	Oh
بتكلم جد	oh really
بترول	oil
زيت	oil
تمام	ok
تمام يا عزيزي	ok dear
حسنا عزيزي	ok honey
تمام حبيبتي	ok my love
تمام	okay
تمام حبيبي	okay baby
تمام يا عزيزي	okay dear
طيب حبيبتي	okay honey
تمام حبيبتي	okay my love
عجوز	old
على	on
مرة	once
واحد	one
لغة واحدة ما كفاية	one language is never enough
بصل	onion
متصل	online
فقط	only
فاتح	open
عملية	operation
رأي	opinion
فرص	opportunities
فرصة	opportunity
عكس	opposite
متفائل	optimistic
خيار	option
إختياري	optional
أو	or
برتقال	orange
أصفر	orange
طلبية	order
أطلب	order
عادي	ordinary
مؤسسة	organization
توجيه	orientation
أصل	origin
أصلي	original
لغة الأورومو	Oromo
يتيم	orphan
آخر	other
خلاف ذلك	otherwise
يفترض	ought
حقنا	our
مهمتنا: تمكين كل الناس في كل مكان من فهم العالم والتعبير عن أنفسهم عبر اللغات.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
مهمتنا: تنظيم المعلومات للعالم وجعلها مفيدة ومتاحة عالميًا.	Our mission: to organize the world's information and make it universally accessible and useful.
في الخارج	out
حصيلة	outcome
تجهيزات	outfit
راحل	outgoing
سوق بضاعة معينة	outlet
كوبس	outlet
منفذ	outlet
فكرة	outline
ملخص	outline
برا	outside
متميز	outstanding
فرن	oven
زيادة	over
هناك	over there
عموماً	overall
هزم	overcome
التفكير الزائد	overthinking
مهموم	overwhelmed
ساحق	overwhelming
يدين	owe
بُومَة	owl
يملك	own
ملكية	own
مالك	owner
ثور	ox
خطوة	pace
علية	pack
طَرد	package
مدفوع	paid
وجع	pain
بوهية	paint
بوهية	painting
إثنين	pair
باهت	pale
نخل	palm
قلاية	pan
وباء	pandemic
خوف	panic
بنطلون	pants
ورقة	paper
جَنَّة	paradise
شبيه	parallel
قطعة	parcel
عفو	pardon
الوالدين	parents
حديقة	park
ببغاء	parrot
بَقدونس	parsley
جزء	part
يشارك في	participate
محدد	particular
خصوصًا	particularly
شريك	partner
حفلة	party
يمرر	pass
ممر	passage
اجتاز	passed
شغف	passion
متحمس	passionate
سلبي	passive
كلمة المرور	password
ماضي	past
رقعة	patch
بركة	patch
زقاق	path
تعيس	pathetic
صبر	patience
صبر	patient
مريض	patient
مزخرف	pattern
يوقف	pause
الرصيف	pavement
يدفع	pay
دفع	payment
سلام	peace
سلام	peaceful
خَوخ	peach
قمة عالية	peak
فاكهة الكمثرى	pear
بازيلاء	peas
غريب	peculiar
يتبول	pee
بول	pee
قشرة	peel
الند	peer
شرفاء	peers
منافسين	peers
قلم حبر	pen
قلم رصاص	pencil
معلق	pending
الناس	people
الفلفل الحار	pepper
يتخيل	perceive
فهم	perception
مثالي	perfect
يشتغل	perform
أداء	performance
ربما	perhaps
حصة دراسية	period
فترة	period
دائم	permanent
إذن	permission
يسمح	permit
مثابرة وأجتهاد	perseverance
مجتهد	persistent
شخص	person
شخصي	personal
شخصية	personality
وجهة نظر	perspective
يقنع	persuade
منحرف	pervert
حيوان أليف	pet
مرحلة	phase
ظاهرة	phenomenon
فلسفة	philosophy
هاتف	phone
صورة	photo
عبارة	phrase
طبيعي	physical
يختار	pick
ألتقط	pick up
صورة	picture
قطعة	piece
قِطَع	pieces
خنزير	pig
حمامة	pigeon
خازوق	pile
ردم	pile
مخدة	pillow
طيار	pilot
مثبت	pin
دبوس	pin
أناناس	pineapple
وردي	pink
حفرة	pit
يرمي	pitch
شفقة	pity
حن	pity
يضع	place
مكان	place
أماكن	places
وباء	plague
ساهل	plain
سادة	plain
خطة	plan
طائرة	plane
نبات	plant
النباتات	plants
صحن	plate
منصة	platform
يلعب	play
تمثيلية	play
يلعب	playing
أنيق	pleasant
لو سمحت	please
أسعد	please
سعيد	pleased
متعة	pleasure
يلتزم	pledge
كمية	plenty
مؤامرة	plot
كوبس كهرباء	plug
قفل	plug
وظيفة محترمة	plum
أرجواني	plum
سباك	plumber
صيغة الجمع	plural
تدوين صوتي	podcast
شعر	poem
شِعر	poetry
يشير	point
سم	poison
شرطة	police
سياسة	policy
محترم	polite
تلوّث	pollution
بركة	pond
حمام سباحة	pool
أنبوب	poop
فقير	poor
بوب	pop
معروف	popular
سكان	population
لحم خنزير	pork
عصيدة	porridge
ميناء	port
موضع	position
إيجابي	positive
يمتلك	possess
ملكية	possession
صيغة الملكية	possessive
ممكن	possible
منشور	post
ينشر	post
يؤجل	postpone
البطاطس	potato
إحتمال	potential
رطل	pound
جنيه	pound
فقر	poverty
قوة	power
قوي	powerful
عملي	practical
يتمرن	practice
تدريب	practice
يمدح	praise
مقلب	prank
يصلي	pray
غالي	precious
دقيق	precise
بدقة	precisely
يتنبأ	predict
يفضل	prefer
تفضيل	preference
حامل	pregnant
تسرع في الحكم	prejudice
مقدمات	premises
مميز	premium
تحضير	preparation
يجهز	prepare
مجهز	prepared
حرف جر	preposition
حضور	presence
هدية	present
حاضر	present
الحاضر	present
عرض تقديمي	presentation
يحفظ	preserve
رئيس	president
ذر	press
يضغط	press
ضغط	pressure
يمثل	pretend
يدعي	pretend
جميل	pretty
إلى حد ما	pretty
يمنع	prevent
السابق	previous
ضحية	prey
سعر	price
فخر وعزة	pride
قسيس	priest
أساسي	primary
رئيسي	prime
أميرة	princess
مبدأ	principal
قبل	prior
أولوية	priority
سجن	prison
خصوصية	privacy
خاص	private
ميزة	privilege
جائزة	prize
إحتمال	probably
مشكلة	problem
إجراء	procedure
يستمر	proceed
عملية	process
يعالج	process
ينتج	produce
منتج	product
إنتاج	production
مهنة	profession
محترف	professional
بروفايل	profile
ملف شخصي	profile
ربح	profit
بالغ	profound
تقدم	progress
يتقدم	progress
مشروع	project
متميز	prominent
يوعد	promise
عهد	promise
يروج	promote
ترقية	promotion
ترويج	promotion
بسرعة	prompt
ميال	prone
الضمائر	pronouns
نطق	pronunciation
إثبات	proof
مناسب	proper
أحتمال	properly
ملكيات	properties
ملكية	property
مقترح	proposal
احتمال	prospect
تطور	prosperity
مزدهر	prosperous
يحمي	protect
فخور	proud
يثبت	prove
يزود	provide
متوفر	provided
ولاية	province
مؤن	provision
زاد	provision
البلوغ	puberty
عام	public
سحب	pull
قرع	pumpkin
منضبط	punctual
التلميذ	pupil
يشتري	purchase
نقي	pure
بنفسجي	purple
غرض	purpose
حافِظَة	purse
يطارد	pursue
متابعة	pursuit
يدفع	push
ضع	put
مؤهل	qualification
جودة	quality
الكمية	quantity
الحجر الصحي	quarantine
خصومة	quarrel
يشاكل	quarrel
ربع	quarter
لغة الكيتشوا	Quechua
ملكة	queen
شاذ	queer
استفسار	query
سؤال	question
طابور	queue
يصطف	queue
سريع	quick
بسرعة	quickly
صامت	quiet
هادئ	quiet
لحاف	quilt
فرش	quilt
يستقيل	quit
كلياً	quite
إلى حد ما	quite
اختبار	quiz
تحديد سعر	quotation
سعر	quote
يسعر	quote
تصريح	quotes
تسعير	quotes
أرنب	rabbit
سباق	race
غضب	rage
مطر	rain
زيادة	raise
يرفع	raise
تربى	raised
جرى	ran
عشوائي	random
مجال	range
سريع	rapid
بسرعة	rapidly
نادر	rare
نادراً	rarely
متسرع	rash
فأر	rat
متوسط	rate
الى حد ما	rather
نسبة	ratio
عاقِل	rational
خام	raw
يعيد	re
يصل	reach
وصل	reached
رد فعل	reaction
أقرأ	read
قراءة	reading
مستعد	ready
حقيقي	real
الواقع	reality
يدرك	realize
أدرك	realized
حقيقي	really
مؤخرِّة	rear
سبب	reason
معقول	reasonable
يتذكر	recall
إيصال	receipt
يستلم	receive
أستلم	received
مؤخرًا	recent
مؤخراً	recently
استقبال	reception
وصفة	recipe
أهوج	reckless
اعتراف	recognition
يتعرف على	recognize
يوصي	recommend
موصى به	recommended
تسجيل	record
يسجل	record
شفاء	recover
استعادة الصحة	recover
شفاء	recovery
استعادة	recovery
مستطيل	rectangle
أحمر	red
يسترجع	redeem
توبة	redemption
يقلل	reduce
متكرر	redundant
رجع الى	refer
مرجع	reference
يعكس	reflect
انعكاس	reflection
يرفض	refrain
غناء ممل	refrain
ثلاجة	refrigerator
استرداد قروش	refund
يرفض	refuse
رفض	refused
إعتبار	regard
بخصوص	regarding
بغض النظر	regardless
تحياتي	regards
منطقة	region
يسجل	register
أسف	regret
منتظم	regular
بانتظام	regularly
يرفض	reject
يتصل	relate
متعلق	related
علاقة	relationship
قريب	relative
أهل	relative
الأقارب	relatives
يسترخي	relax
إعفاء	release
يحرر	release
مطلق سراحه	released
مناسب	relevant
حقيقي	reliable
راحة	relief
يخفّف	relieve
مرتاح	relieved
الدين	religion
ديني	religious
متردد	reluctant
يعتمد	rely
يبقى	remain
متبقي	remaining
مميز	remarkable
علاج	remedy
تذكر	remember
يتذكر	remind
تذكير	reminder
بعيد	remote
يزيل	remove
عزف	render
يخدم	render
إيجار	rent
يصلح	repair
يكرر	repeat
يستبدل	replace
جواب	reply
يرد	reply
يبلغ	report
تقرير	report
يمثّل	represent
سمعة	reputation
يطلب	request
طلب	request
تتطلب	require
مطلوب	required
ينقذ	rescue
بحث	research
شبه	resemble
