with	a
dondo	follow
dondu	follow up
cirin	following
kwagh yan	food
byume or	fool
bume	foolish
kpande nguhar	foot
bol	football
Gadia	for
u tesen ikyav	For example
nenge ase yo	for instance
sha ci wough	for you
iyange kwagh	forbidden
tahav	force
agee	force
fa akper	forecast
icur	forehead
ken ityar igen	foreign
ikyo	forest
gbem	forever
shawon	forever
hungur	forget
de kwaghbo	forgive
hungur	forgot
fooku	fork
inja	form
sha tindi	formal
u karen	former
er doo	fortunately
shagba	fortune
zegeinyar	fortune
akundu ahar	forty
akundu ahar kar uhar	forty-two
hemen	forward
hingir	foster
nongu	fought
zua	found
imaagh	foundation
unyiin	four
pue kaa unyiin	fourteen
ageranyi	fox
taver ga	fragile
kon shi iyou ki sha foto ga windolo	frame
sha anza	framework
iv	fraud
gba eren tso	freak
gbilin	free
ueren kwagh sha shima you	freedom
gba akpo	freeze
kwa	frequency
hanmashie	frequent
felefele	frequently
ndor	fresh
gese gese	fresh
he	fresh
tomataan	friday
ityegh ki batur	fridge
ijende	friend
aboki	friend
ikyar	friend
saasaa	friendly
mba aboki	friends
ikya	friendship
ijende	friendship
cieu	frightened
mciem	frightened
chie	frightening
isôhô	frog
Hana	from
ken shi	front
kundu gba akpo	frozen
ityamegh	fruit
shima vihin	frustrated
pyaturuu	fuel
Fulfulde	Fulfulde
iv	full
saan iyol	fun
msaanyol	fun
eren tom	function
hange hange	fundamental
iku tsan	funeral
Hôm	funny
ice i kpatema u vesen	fur
ishima vihin	furious
kyav mbi ken iyou	furniture
Hemen	further
ken hemen yo	furthermore
ken hemen	future
mtsera	gain
liba	gain
anumbe	game
ian	gap
gaadi	garage
tsaver akaa	garbage
sule	garden
alabusa	garlic
gyet	gate
kohol	gather
mkohol	gathering
karen	gauge
na	gave
eren	gear
kwase gayo nomsoor	gender
cica cii	general
zom chii	generally
dugh ker	generate
ikyov ikyov	generation
eren iyua	generous
orfankwagh	genius
ityo	genre
inja	genre
kundu kundu	gentle
ishima legh legh	gentle
sar sar	gentle
mimi	genuine
dughn ave	gesture
tesen	gesture
Kura	get
mou hua kyondu	get dressed
mou sha	get up
angev mbu bee	get well soon
zuan ami	getting
mbakuv	ghost
jijingi	ghost
ken myer	ghosting
ikyôror	giant
iyuwa	gift
seta	ginger
wanye kwase	girl
wan kwase	girl
ishiôr	girlfriend
na	give
dekera	give up
na	given
ember	glad
member	glad
kenger	glance
jingi	glass
akpe	glasses
nenge	glimpse
tar chir	global
vihin	gloomy
azubu a sha ave	gloves
iengem	glow
lu sha shi ese-ese	glow up
var	glue
Yem	go
zahemen	go ahead
yem kera	go away
ye za yav	go to bed
ikyo	goal
ako	goals
ivyo	goat
Aondo	god
aondoter a nau iveren	god bless you
zenden	goes
yemen	going
zan u	going to
zanaria	gold
yem	gone
m soo pe	gonna
yem	goo
Doo	good
u pande vee	good afternoon
za dedoo	good bye
upande nena	good day
u pande vee	good evening
tom u dedoo	good job
u doo ashe	good looking
ikyor dedoo	good luck
U nder ver	good morning
adoomshima u nder ver	good morning my love
Sa kpee	good night
saakper	goodbye
saa kper	goodnight
ikyav	goods
google	Google
gema ijô kposo kposo sha google	Google Translate
ikyegh	goose
doo anshe	gorgeous
angereke	gossip
zua	got
zua amin	got it
gomenti	government
gomooti	government
kor	grab
ikyaren	grade
kure kure	gradually
tegh tegh	gradually
bee makeranta	graduate
waarawa	grain
na ian	grant
na	grant
lumun	granted
na	granted
ne	granted
atam a wain	grapes
kaven	grasp
toho	grass
iwuese	grateful
iwuese	gratitude
uwar	grave
ivu	gray
tapka	great
Akaavesen	great
hua	greed
hwa	greedy
huwa	greedy
kweegh dindee	green
sugh	greet
ishuun	greeting
ishuun	greetings
il	grey
hwange	grid
mzungu	grief
wua	grind
kusu	grip
akaayan	grocery
or kwase he	groom
hanmakwagh cii	gross
he nya	ground
mkohol	group
mende	grow
vese	grow
mzehemen	growth
ishimavihin	grumpy
Guarani	Guarani
bum	guarantee
ityendezwa	guarantee
kura	guard
ahaba	guess
orvanya	guest
hemen	guidance
tesen	guide
iboogh	guilty
ave-il	guilty
angbian wam	guy
orne	guy
nomsoov	guys
iyou i anumbegh	gym
ieren	habit
mlu	habit
tar	habitat
vande	had
ishunghun	hail
wuese	hail
ice	hair
tion	half
iyou	hall
ate	hall
wegh	hand
nenge sha mi	handle
ordoon	handsome
zer	hang
due shawon	hang out
kwagh er	happen
kwagh er	happened
msaaniyol	happiness
Saan	happy
iyange I mmar a doo	happy birthday
i yange i mar i doo	happy birthday to you
inyom ihe i doo	happy new year
Taver	hard
taver	hardly
ka taver hanmashie	hardly ever
bura	harm
iyolvihin	harmful
bula	harmful
kwaghbo	harmful
iligh	harmony
tu vihin	harsh
sunda	harvest
a	has
tswam	hate
mba	have
yange i doo	have a good day
iyange i doo	have a nice day
ya kwaghyan u pepe	have breakfast
lu dedoo	have fun
u ya kwagh ver	have you eaten
lun	having
vihin	hazard
iikpigh	haze
Wen	he
ngu	he has
nomsoor ngu	he is
tyo-or	head
ityough	head
nande tyough	headache
bee angev	heal
mbee u angev	healing
mkpeyol	health
dedoo	healthy
ungwa	hear
ungwa	heard
ishima	heart
iceeyologh	heat
tartor	heaven
yuhwa	heavy
hurugh hurugh	hectic
kpishi u eren	hectic
ityaven	height
mbayandyako	heir
iv	heist
Kor	held
hade	hell
igyam usu	hell
msugh u	Hello
msugh u	hello dear
msugh, u ngu nena	hello how are you
u ngu nena?	hello how are you doing
agunduutya	helmet
Wase	help
iwasen	help
iwasen	helpful
Shanahan yô	hence
un	her
kpilanyam	herd
heen	here
tsegh	heritage
wanger ga	hesitate
Ka we	Hey
msugh u	Hi
u ngu nena	hi how are you
i er nena	Hi there
myer	hidden
yer	hide
Sha atihi	hierarchy
Sha aaven	hierarchy
Hembasha	high
ityouki kwagh	highlight
unde	hike
wo unden	hiking
doo gande	hilarious
igyungu	hill
uwo	hill
wen	him
tam kyuur	hint
ikyoosu	hip
ikyoosu	hips
iwenge	hips
kimbi ortom	hire
tôô tom	hiring
una	his
yiase	history
kema	hit
ta	hit
shigh shima	Hmm
akaaeren sha shie u memen	hobby
Kôr	hold
tile	hold on
kôr ave	hold on
ihyula	hole
ihyungwa	hole
memiyol	holiday
ikwe vande	hollow
ya	home
ityom i ne ke makeranta	homework
mimi	honest
mimi	honestly
Iyough	Honey
iwuese	honor
icivir	honor
gar	hood
tsuwe	hook
tsue	hop
Ishima i veren keghen	hope
ishimaveren	hopefully
gbenda ke ngu ga	hopeless
teran	horizontal
korugh	horn
vihi kpishi	horrible
bo	horror
nyinya	horse
iyouci	hospital
ere mbavannya dedoo	hospitality
ikyum	host
tswam	hostile
ayôôso	hostile
Tsee	hot
ijiir i tsan	hotel
ihwa	hour
ahwa	hours
ya	house
tsombor	household
hen ya	household
Nena	how
we ye	how about you
U ngu nena	how are you
U pande nena	how are you
U ngu nena	how are you doing
U ngu ne na nyian	how are you doing today
u ngu nena nyian	how are you today
u ngu nena	how do you do
ngu nena	how is
ume	how many
ka nana	how much
ka ashien nena	how often
Un ngu ayom a me	how old are you
iyange you kaa nena	how was your day
u yav dedoo ga	how was your night
kpaa	however
nahan kpaa	however
ijiir	hub
nom	hubby
kuve	hug
Kutuku	huge
dômôô	huge
or	human
umace	human
orumace	human
iyol jime	humble
iceenyolough	humid
ndoholugh	humidity
deri	hundred
ijen	hungry
ikyor	hunt
ijeverahumbe	hurricane
fesefese	hurry
fefa	hurry up
vihi iyol	hurt
nom	husband
ker kwagh	hustle
yol toho	hut
tsembelegh	hygiene
Mo	I
m ngu	I am
kwagh erem ga	I am fine
me fatyo	I can
me fatyo ga	I can't
m eren	I do
mfa ga	I do not know
mkav ga	I do not understand
m soo ga	I don't
M fa ga	I don't know
M kav ga	I don't understand
mfa kwagh u usoo ga	I don't understand what you mean
m ngu kaven we ga	I don't understand you
mfa ga	I don’t know
m kav ga	I don’t understand
m hen mer	i guess
yange m	I had
M ngu aa	I have
mngu	I have been
m hen nahan	I hope so
M fa	I know
msoo	I like
msoo u	I like you
doomshima	I love
msoo	I love
msoo angbianwam unomso u vesen	I love my big brother
msoo angbianwam ukwase u vesen	I love my big sister
msoo terem	I love my father
msoo angbianwam unomso u cuku	I love my little brother
msoo angbianwam ukwase u cuku	I love my little sister
msoo ngom	I love my mother
u doom shima	I love you
u doom ishima kpishi	I love you so much
we kpa u doom shima	I love you too
mo kpa msoo kwagh wough	I love you too
m hen me	I mean
sa rem pe nengen a we	I miss you
salem ape nenge awe yum	I miss you so much
mnenge	I see
mhen	I think
m kav	I understand
m soo	I want
msoo ape nengen awe	I want to see you
msoo u	I want you
m lu	I was
me er	I will
me lu	I would be
m ngu	I'm
m ngu doo doo	I'm fine
mngu dedoo	I'm good
mngu heen	I'm here
yam anyi	I'm sorry
ndôhôr	ice
ikyo mnger	ice
ice cream	ice cream
gbenda	idea
mhen	idea
vough	ideal
dedoo	ideal
fa inja	identical
Kav	identify
fan	identity
ibyume or	idiot
gbilin	idle
tom ave ave	idle
aluer	if
ungwa ato	ignore
angev	ill
iferkwagh	illegal
angev	illness
Ilocano	Ilocano
foto	image
henen	imagine
fese	immediate
ave ave	immediate
kpase	immediately
zegeuee	immense
gbussu	impact
gbuur	impact
kela ke kela	impatient
er keng	implement
yamen va teen	import
hange-hange	important
kii ior	impose
manyange ga	impossible
fatyô ga	impossible
er doon	impress
doon tsung	impression
hemban doon	impression
kwagh la doo	impressive
Vese	improve
mzehemen	improvement
ker	in
u see shami	in addition
nahan	In fact
ishigh ki	in front of
sha ashe a	in front of
u una	in order to
shamiga	inappropriate
taver	incentive
kwagh u taver shima	incentive
kwagh u yange er	incident
kuwa	include
kua	including
inyaregh	income
inyaregh ki sha wer	income
hagher	inconvenience
Seer	increase
seer	increased
kpiligh iyol	incredible
sha mimi yô	indeed
sha kpôô yô	indeed
tseeneke	independent
kpen tar u India	India
tese	indicate
marnya	indigenous
gbenger	individual
ijii i eren akaa	industry
ubunden ngu ga	inevitable
wanakiriki	infant
iangev	infection
mkurshio	infinity
mula	inflammation
ishe seer	inflation
mhen	influence
orlun	inform
ibaver	information
ikyayue	ingredients
ilyôghonov	ingredients
dyako	inheritance
iti i hiihii	initial
kwaghhenen	initiative
vihi yol	injured
yolvihin	injured
iyolvihin	injury
ivav	injury
ishôô	innocent
gbenda u he	innovation
kawagh pinen	inquiry
ihyundugh	insane
akaa a purugh	insect
shimayinan	insecure
wa	insert
ken ato	inside
averashe	insight
hange	insist
mhungur	insomnia
mgbegha	inspiration
mgbegha	inspire
wa	install
tesen ikyav	instance
fese	instant
ave ave	instant
Kpa	instead
sha ityough ki	instead of
atindi	instructions
ikyagh ki tomough	instrument
kwaghkuhwan	instrument
tuhwa	insult
injaa i yolkuran	insurance
gban gban	intact
tile sha mimi	integrity
mimi	integrity
kwghfan	intellectual
kwaghfan	intelligence
kwaghfan	intelligent
awa shima	intend
awa ishima	intended
taveraa	intense
awashima	intention
lam	interact
mpin	interaction
imôngo	interaction
gba shima	interest
mtsera	interest
isharen	interest
salem	interested
isharen	interesting
wan ave	interfere
hen atô	intermediate
ken ato	internal
taa chigh	international
tom	internship
pase	interpret
or pasen idjwa	interpreter
nzughul	interrupt
mba mpin	interview
kôôsôô	intimate
tsembelee	intimate
ken	into
pase	introduce
hii kwagh	introduction
or lun teghlee	introvert
ishima you	intuition
a inja ga	invalid
gba	invent
ikyav mbi	inventory
zua liba	invest
mker	investigate
time	investigate
lôhô	invitation
loho	invite
ikyav i nyarev ki kimbin	invoice
kua ior	involve
ave-il	involved
wa wegh	involved
iyou	iron
lu	is
uicile	island
tswen	isolated
ikyaa	issue
ikyaa	issues
lu	it
ngu	it is
yange	it was
ka	it's
ka shami	it's ok
kashami	It's okay
akaa	item
ikyav	items
ka han a utse	its
mo	I’m
me	I’m
zege riga	jacket
pulusu	jail
we u hiihii	January
ityegh	jar
gbem zwa	jaw
yuhwe	jealous
ibumeor	jerk
anagh	jewelry
tom	job
ayem	jogging
nyor	join
ijuan	joint
asenge	joke
or abaver	journalist
zende	journey
msaaniyol	joy
orjir	judge
ijir	judge
zar atamaikyon	juice
wer u sha utaankaruhar	july
tsue	jump
uwer u sha atera tar	june
akojo ukya	junk
perapera	just
Er	just
gba eren tso	just do it
ijirôron	justice
ishô	justify
Kalaallisut	Kalaallisut
girim	keen
ver	keep
zahemen	keep it up
ver	kept
tsua	kettle
kii	key
tume	kick
wanye	kid
asenge	kidding
ahi	kidney
mbayev	kids
wua	kill
Dedoo	kind
Anza	kind
kam er	kinda
kundu kundu	kindly
er doo	kindness
tor	king
or u hemen	king
zwa susen	kiss
suse zwa	kiss
iyou iyorun	kitchen
nima	kite
wan kpatema	kitten
inyu	knee
fa	knew
ihyô	knife
orshoja	knight
Fa	know
kwagh-fan	knowledge
fa	known
konkani	Konkani
Krio	Krio
ngyeren i tii	label
mbatomov	labor
mbatomov	labour
ibyan	lack
jande	ladder
kwase	lady
ver	laid
bugh gbenda	laid
kungwa	lake
wan iyongu	lamb
byumegh	lame
imienger	lamp
inya	land
talegh nyaa	landscape
Zwa	language
anam	lap
ikyum	lap
gbogbonan	large
igbyenge	large
zegenan	large
masetyô	last
u masetyo kpa hemban ndahar ga	last but not least
iti masetyo	last name
leti	late
mase jime	lately
hila	later
sember	latest
utse	latter
masetyô	latter
se	laugh
sen	laughing
aham	laughter
kwaghyan u atetan	launch
kiren akondo	laundry
kôôn akondo	laundry
tindi	law
paa tembe	lawn
or atindii	lawyer
ta	lay
abeen	layer
mlu	layout
hwe	lazy
gbudôô	lazy
hwev	lazy
Hemen	lead
orhemen	leader
kwa	leaf
ian i kwagh duen	leak
kande	lean
tsue	leap
hen	learn
kwagh henen	learning
na sha nya	lease
hemba gban jime	least
ikyoughur	leather
undu	leave
ikya	leaves
hemen	led
yem	left
nguhar	leg
dyako	legacy
sha tindi	legal
yiase	legend
mimi	legit
ahumbe	leisure
wasem	lend
iniembe	length
lihen	length
mlihi	length
yina	less
hen	lesson
de	let
washika	letter
ikya	lettuce
iaven	level
pelegh shami	leverage
mba mzeiyol	liability
ikyav	liability
ijiir i oruntageda	library
ndiagh	lick
aie	lie
aie	lies
uma	life
kende	lift
iwanger	light
iwanger	lightning
Soo	like
alaghga	likely
di er	likewise
hwange	line
Lingala	Lingala
zua	link
anyam	lion
zaa	liquid
ngyeren	list
kegh atô	listen
ungwan	listening
kpôô kpôô	literally
ityageda i sha kwagh	literature
côu côu	litter
cuku	little
kpuaa	little
Uma	live
mtemam	liver
uuma	lives
uumace	living
ingbough you	living room
avange	lizard
ikav	load
vegher	loaf
injo	loan
ka ya	local
ijiir	location
gesa	lock
gesa iyou	lockdown
mtem ke ya	lockdown
kon	log
nyôr	log
se i due kera	lol
mtswenem	lonely
gôgô	long
lihe	long
sha kaa kpishi	long time no see
nenge	look
wever	loop
ahura a wever	loop
doughdough	loose
aôndo	lord
tese	lose
Saa	lose
saa	loss
saa	lost
kpishi	lot
taveraa	loud
ijiir i mmem	lounge
Dooshima	love
msoo u	love you
Dooshima	lovely
kpeng	low
sen	lower
kiriki	lower
mimi	loyal
tilen sha mimi	loyalty
ungwan imo	loyalty
ikyôr	luck
ikyoo	lucky
Luganda	Luganda
ikyav	luggage
ankwagh	lump
kwaghyan u atetan	lunch
huhu	lungs
yoôughyôugh	luxury
aiye	lying
kikye	machine
hunde	mad
kwase	madam
er	made
tageda u saan iyol	magazine
zegekwagh	magnificent
doo tsung	magnificent
iyese	maid
tine kwagh	main
sôr	maintain
sôron	maintenance
Maithili	Maithili
tamenkwagh	major
ikpela yol	majority
er	make
hingiir	make up
Nomso	male
ijiir I teen akaa	mall
or	man
nongun	manage
u nenge sha ior man akaa	management
orhemen	manager
keng keng	mandatory
tesen ikyav	manifest
nzughul kwagh	manipulate
genda uu	manner
takerada	manual
kpishi	many
akaa dedoo kpishi sha iyange inyian	many many happy returns of the day
wer u sha utar	march
ian ii mpav	margin
kasua	market
ivav	marriage
ivese	marriage
ivese	married
ishigh	mask
kpila	mass
zege	massive
vesen	massive
orvesen	master
zua	match
orkwaa	mate
akondo	material
ikyav	material
ayenge	math
itine-kwagh	matter
via	maturity
mei	may
adooga	maybe
alaghga	maybe
Mo	me
Mo kpaa	me too
kwaghyan	meal
In ja ne na	mean
ikyav i kwagh	meaning
inja na yo	means
inja na yo	meant
nahan yo	meanwhile
kar	measure
una	measure
akaa	measures
inyam	meat
twer	medical
icigh	medicine
u henen sha kwagh	meditation
akuma akuma	medium
Kohol	meet
mzough	meeting
meiteilon	Meiteilon
sough	melt
mmumbur	memories
mumbur	memory
ishima	mental
mhen	mental
ter	mention
tegh	mentioned
ortesen	mentor
orkpenga	merchant
orkasuwa	merchant
mhôônom	mercy
tsô	merely
tseegh	merely
kirimishi idoo	merry christmas
hôngor	mess
loho	message
coughcough	messy
iyô	metal
gbenda la	method
ihyevyou	mice
hen ato	middle
atô utu	midnight
tahva	might
legh legh	mild
vesen	milestone
soja	military
atumba	milk
akpa dubu utaan	million
ishima	mind
awashima	mindset
iyam	mine
wam	mine
nungwa	mingle
wanye u cuku	minor
miniti	minute
miniti	minutes
ivande	miracle
mjingi	mirror
mba genev	miscellaneous
bula	mischievous
mtaver	miserable
ican	misery
ndiir	miss
saa	miss
mngu awe shima	miss you
Saa	missing
ndiir	missing
tyom	mission
kpikpishi	mist
shamiga	mistake
Mizo	Mizo
hanseeti	mobile
laha	mock
ikyav	model
kundu kundu	moderate
akuma akuma	moderate
nyian	modern
ainge	modern
akuma akuma	modest
iyol jime	modest
ndôhôr	moist
ndôhôr	moisture
maa	mold
ikyav	mole
ngom	mom
shie	moment
hiitom	monday
inyaregh	money
akpoo	money
nengen sha	monitor
ikya	monkey
uwer	month
zuduu	mood
shimavihin	moody
uwer	moon
ieren	moral
Hemba	more
sha nahan yo	moreover
pepe	morning
injô	mortgage
hembe	most
hemban chigh	mostly
ngô	mother
tenger	motion
ityôkyaa	motivation
uwo	mountain
hyev	mouse
dzwa	mouth
hinja	move
mzough	movement
fiim	movie
kwase u or	mrs
kpishi	much
angbyôr	mud
iyongo	mug
atsam a homun tar	muscle
ijiir i veren akaa a yiase	museum
ijov	mushroom
imo	music
atsam	music
kwaghkuhwan	music
keng	must
kondo ikyer	mute
viin	mute
sha awashima wase	mutual
Uwam	my
u wam	My dear
ijende yam	my friend
orfankwagh ga kpa tesen er na fa	My hovercraft is full of eels
Dooshima wam	my love
iti yam er	my name is
doom	my pleasure
kumam	my pleasure
saan mo yol	my pleasure
mo	myself
yol yam	myself
kpilighyol	mysterious
akaamyer	mystery
kwaghkpilighiyol	myth
mande	nail
kusa	nail
lanegh	naive
bume	naive
iti	name
kwaghhir	narrative
hoghol	narrow
ibyume kwagh	nasty
dang	nasty
Sha ato utar	national
ikyuior	nationality
kwagh u tyoo	native
gbaaondo	natural
igbetar	nature
sua	nausea
isho	nausea
ikyua	near
ikyua	nearby
zurum	nearly
tsembelee	neat
Keng	necessary
mon	neck
isha	necklace
m-gbe	need
kwagh ubo	negative
undu	neglect
gbihi	neglect
hungur	neglect
ôron ishe	negotiate
wanndor	neighbor
dondo ya	neighborhood
shi	neither
shin	neither
wan u angôm	nephew
fan igbenda	nerd
kunde	nervous
iya	nest
kper	net
ityôgh	network
hen ato	neutral
mayange	never
de gban wer ga	never give up
de we ikyo ga	never mind
gbaden tso	nevermind
kpaa	nevertheless
i he	new
mbahev	new
abaver	news
ugeen	next
doondo a	next to
doo	nice
ka kwagh de doo u fan we	nice to meet you
wan u angôm	niece
tugh	night
mnyamcien	nightmare
utaan kar unyiin	nine
pue kar utaan kar unyiin	nineteen
akundu anyiin gber	ninety
Ei	No
za iyol ngu ga	no problem
gbenda ngu ga	no way
or ga	nobody
or ze	nobody
ayoosu	noise
ayoosu kpishi	noisy
momga	none
atetan	noon
ei	nope
shin	nor
vough	normal
sha tindi	normal
ibusutaregh	north
ahenga	nose
shimataver sha mhen u akaatse	nostalgic
ze	not
venda	not at all
vihi ga	not bad
ka hegon ga	Not now
kuma ga	not yet
nenge er	note
ver shima	note
vande ôron	noted
Kwagh ga	nothing
nenge	notice
nenge mer	noticed
ati	noun
ati	nouns
takerada	novel
wer u sha pue kaa uhar	november
Hegen	now
ainge	nowadays
mzeiyol	nuisance
gbilin	null
kera nyion ga	numb
ingyer	number
kwaseyouci	nurse
isham	nut
yiye	nutmeg
kwaghyan	nutrition
bum	oath
mkehenem	obesity
lumun	obey
kwagh	object
ityokyaa kpookpoo	objective
kwagh u i gbe u eren	obligation
yer	obscure
nengen	observation
verashe	observe
tume ityough	obsessed
hemba verem ishima	obsession
ityokyaaga	obsolete
agbe	obstacle
ngohol	obtain
zua	obtained
tese wang	obvious
shaa kpôô	obviously
ashie ashie	occasionally
Tom	occupation
uve ityough	occupied
er	occur
eren	occurred
er	occurs
tyeku	ocean
uwer u sha pue	october
ibya	odd
tim	odds
u	of
sha kôô	of course
pir	off
iyongu	offensive
na	offer
afishi	office
hingir	official
mbahemen	official
Fan eren	often
aye	Oh
mimi ne	oh really
mkurem	oil
ok	ok
mlumun shioryam	ok dear
ka shami ordedoo	ok honey
een shior yam	ok my love
Ka sha mi	okay
kashami wan wam	okay baby
ka shami	okay dear
ka shami u doo shima	okay honey
ka shami dooshima yam	okay my love
tse	old
Tsar	on
Sha	on
iniemôm	once
môm	one
dzwa mon kuma ga	one language is never enough
alabusa	onion
sha ahumbe	online
tseegh	only
bugh	open
ipyaven	operation
mnenge	opinion
ian	opportunities
agir	opportunity
hendan	opposite
shimaveren keghen	optimistic
gbenda	option
msoo u or	optional
shin	or
alumbu	orange
alum	orange
order	order
Kwakyaa ga	ordinary
ijiirtom	organization
iamegh gbenda	orientation
mhii	origin
hiihii	origin
uhiihii	original
Oromo	Oromo
ancôghol	orphan
Orgen	other
gayô	otherwise
gba pe	ought
wase	our
tom wase: u wasen hanmor shin tar u fan man tsen a yol ave ken ijô kposo kposo	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
tom wase: u kohol mkaanem ma sha inja sha ci u tar cii u e fatyô u zuan ami	Our mission: to organize the world's information and make it universally accessible and useful.
due	out
za kure	outcome
ikyondo	outfit
cian ashe ga	outgoing
ijiir	outlet
pase	outline
ke won	outside
doo gande	outstanding
atse	oven
sha	over
kee la	over there
cicacii	overall
henmban cii	overcome
kwagh henen kpishi	overthinking
jikii	overwhelmed
ngee gande	overwhelming
injo	owe
ivungu	owl
uve	own
una	own
orkwagh	owner
jaki	ox
ian	pace
iv poo	pack
nger	pack
ikyav	package
kimbi	paid
nyion	pain
peint	paint
akaa kpelaan	painting
uhar uhar	pair
mba uhar	pair
fuluu	pale
ikyevwe	palm
ivilegh	palm
chenge	pan
zegeuange	pandemic
chia	panic
wondo	pants
kwatakerada	paper
paradiso	paradise
avegher ahaa	parallel
imbyulugh	parcel
de	pardon
mbamaren	parents
ijiir i veren mato	park
ijiir i doon ashe	park
kimbir	parrot
kwayue	parsley
môm ken	part
vegher	part
eren kwagh vea ior	participate
jim	particular
jiilaayo	particularly
uwam	partner
gurgur	party
Kaa	pass
ivur	passage
kaa	passed
asaren	passion
ishima tsung	passionate
isharen	passionate
gbanlun	passive
tindi	password
ken jime	past
paci	patch
Hwange	path
gogo	path
sha kunya	pathetic
ishima-wan	patience
Wa shima	patient
Shima wan	patient
ikyav	pattern
tile	pause
gbenda	pavement
kimbi	pay
injar	payment
kimbi	payment
Bem	peace
bem	peaceful
huan	peaceful
mbuee	peach
sha ato	peak
mzembe	pear
igboo ahi	peas
kposo	peculiar
pee	pee
sev	peel
orkwav	peer
mbakwav	peers
pyen	pen
kwagh u ngeren akaa amin	pencil
pensel	pencil
wa iyol I eren	pending
ior	people
mkem	pepper
kav	perceive
nenge er	perceive
mhen	perception
vough	perfect
er kwagh	perform
iniôgon	performance
adooga	perhaps
alaghga	perhaps
shighe	period
gbekeke	permanent
kpe undu	permanent
na ian	permission
na ian	permit
gba wer ga	perseverance
tavershima	perseverance
zahemen	persistent
gba uwer ga	persistent
tavershima	persistent
or	person
or yol nan	personal
ieren i or	personality
mnenge	perspective
tsugh	persuade
hôngor	pervert
kwagh nunben	pet
vegher	phase
kpilighyol	phenomenon
mbamhen	philosophy
waya	phone
hanseeti	phone
telefon	phone
Foto	photo
ishemberkwaghôron	phrase
sha u taha	physical
korokoro	physical
too	pick
too sha	pick up
foto	picture
ivur kwagh	piece
asange	pieces
igyo	pig
kyungugh	pigeon
ikyav	pile
pilo	pillow
or u nahan girgi	pilot
tume	pin
mbue u akune kune	pineapple
nyian	pink
ihwanga	pit
haa	pitch
zungwe	pity
mhoonum	pity
ijiir	place
ajir	places
atsan	plague
wang	plain
awashima	plan
girgi i pulugh	plane
kon	plant
imendenev	plants
gbande	plate
tsembe	platform
I numbe	play
Kuhwan	play
numben	playing
doo kpishi	pleasant
Mzamber	please
doom a mi	pleased
isharen	pleasure
bum	pledge
tôndo zwa	pledge
ityendezwa	pledge
kpishi	plenty
gbing	plenty
bamber nya	plot
zôô	plug
zegekwagh	plum
Mbaerentom u ugôngor mba mngerev	plumber
ishember	plural
kwaghyoon Sha ahumbe	podcast
imo	poem
icam	poetry
ityokyaa	point
bo	poison
dasenda	police
tindi	policy
civir	polite
akaa a van a zaiyol	pollution
ityungumnger	pond
tyungu mnger i ken ya	pool
ambi	poop
or-byanave	poor
duen	pop
fa wuee	popular
ingyer ior	population
inyam igyo	pork
luam	porridge
gar	port
mtil	position
dedoo	positive
a mi	possess
akaa alu ami	possession
akaa a lun ami	possessive
fatyô	possible
ijiirtom	post
ityough	post
yem ami ken hemen	postpone
atsaka	potato
mfe	potential
kume	pound
ican	poverty
tahav	power
tahav kpishi	powerful
injaa	practical
aeren	practical
eren	practice
wuese	praise
inimbe	prank
msen	pray
doo tsung	precious
kwagh shon kpookpoo	precise
jigh jigh	precisely
tsengaôron	predict
hemba soon	prefer
avershigh	preference
wa iyav	pregnant
ifer	prejudice
hen ijiir	premises
inyaregh	premium
yol wan	preparation
wa iyol	prepare
wa iyol	prepared
mpase u ati	preposition
mluwam	presence
hegen	present
kwagh tesen	presentation
kula	preserve
Pesiden	president
kighir	press
mbamkighir	pressure
kighir	pressure
apera	pretend
Doo ashe	pretty
yange	prevent
U Karen la	previous
gba ke hônon	prey
injar	price
imanger	pride
iyol gengese	pride
ligima	pride
fada	priest
plamali	primary
ityôkyaa i vesen	prime
wantor	princess
Orvesen	principal
orhemen	principal
vande	prior
kwagh u vesen	priority
pulusu	prison
kwagh u myer	privacy
myer	private
ian	privilege
iyua	prize
shi nan kpaa	probably
zaiyol	problem
gbenda eren kwagh	procedure
za hemen	proceed
gogo	process
er kwagh	produce
kwagh	product
kwagh eren	production
ipyasen	profession
orfankwagh u na eren	professional
fa kwagh na	profile
liba	profit
kpishi	profound
mzehemen	progress
tom	project
taghertagher	prominent
ityende dzwa	promise
mezehemen	promote
u seer	promotion
mzehemen	promotion
voughur	prompt
fatyô u eren	prone
akaa a tilen sha ati aior	pronouns
myer	pronunciation
ikyav	proof
vough	proper
voughur	properly
ikyav mbi	properties
akaa	properties
ikyav	property
nger kwagh u se er yo	proposal
ian	prospect
mkpeyol	prosperity
kwagh ave	prosperity
yôughyôugh	prosperity
yvughyôugh	prosperous
kula	protect
imanger	proud
tesen kyav	prove
na	provide
ver	provided
tar	province
kpentar	province
mne	provision
iwasen	provision
kwaghyan	provision
hia	puberty
kur ior	public
udugh	pull
uluu	pull
atamaikyon	pumpkin
faa	punctual
wanakiriki	pupil
yam	purchase
mimi	pure
nyian kulee	purple
ityo ikyaa	purpose
ikpa i cuku	purse
zenda	pursue
aeren akka	pursuit
tughur	push
wa	put
nana kuma	qualification
ieren	quality
kpe kpe	quality
mngee u kwagh	quantity
veren ken iyou	quarantine
zwa  zohôn	quarrel
