assaat aalaneri	gesture
nuannaartorinnittoq	fan
akisooq	fancy
torrassuaq	fantastic
ungasissoq	far
inuulluarna	farewell
naasorissaasoq	farm
naasorissaasoq	farmer
isumassarsinartoq	fascinating
muteq	fashion
aaliagersimasoq	fast
pualasooq	fat
kamanaatsoq	fatal
ataata	father
qasujaneq	fatigue
pisuussut	fault
nuannarinerusaq	favorite
ajunngisaarneq	favour
nuannarinerusaq	favourite
annilaaganeq	fear
nalliuttorsiorneq	feast
meqquluat	feather
atortut	feature
atortui	features
februari	february
puallarserpoq	fed up
akitsuut	fee
nerisippaa	feed
utertitsiviginninneq	feedback
misigisoq	feel
misigissuseq	feeling
isikkat	feet
misigaa	fell
angut	fellow
misigaa	felt
arnaq	female
ungaluukkat	fence
sulinngiffeqarluni ferierneq	vaccination
Naggorissoq	fertile
festivaali	festival
aavaa	fetch
kissarneqarpoq	fever
amerlanngitsut	few
ikinnerit	fewer
pissiaq	fiance
oqaluttualiaq	fiction
allaffissaq	field
peqqarniitsoq	fierce
femten	fifteen
halvtreds	fifty
assortuunneq	fight
unammisut	fighting
iIluseq	figure
paasivaa	figure out
fiili	file
immerpaa	fill
immersorneqareersoq	filled
isiginnaagassiaq filmi	film
ipertooq	filthy
kiisami	finally
aningaasaqarneq	finance
aningaasaqarnikkut	financial
ujaruk	find
paasivaa	find out
ajunngilaq	fine
inuak	finger
naammassivoq	finish
naammassivoq	finished
inneq	fire
firma	firm
siulleq	first
aalisagaq	fish
naammattoq	fit
tallimat	five
aaqqippaa	fix
aaqqissuunneqareerpoq	fixed
aappalaartoq	flag
qaammaallanneq	flash
inissiaq	flat
kukkuneq	flaw
kukkuneqanngitsoq	flawless
qimaavoq	flee
neqi	flesh
qingivoq	flew
peqippoq	flex
sungiussiasoq	flexible
timmisartuussineq	flight
Amumippaa	flip
qaninniarneq	flirt
qaninniarneq	flirting
puttavoq	float
kuuk	flood
nateq	floor
sioraasat	flour
ulikkaarpoq	flow
naasoq	flower
nualluut	flu
imerpalasoq	fluent
oqallorippoq	fluently
soorlu	fluffy
imerpalasoq	fluid
timmivoq	fly
ukkassineq	focus
pujoq	fog
putsertoq	foggy
imusaq	fold
inuinaa	folks
malinnaavigaa	follow
malinnaavingaa	following
nangitsineq	follow up
nerisassat	food
sianiitsoq	fool
isumaatsoq	foolish
isigak	foot
arsaanneq	football
uunga	for
inerteqqutaavoq	forbidden
pissaaneq	force
silassaq	forecast
qaaq	forehead
orpippassuit	forest
qaqugumut	forever
assersuutigalugu	For example
Puigorpaa	forget
isumakkeerfiginninneq	forgive
puigorpaa	forgot
assersuutigalugu	for instance
ajassaat	fork
iluseq	form
najoqqutassiaq	formal
siornatigut	former
ajoraluartumik	fortunately
aningi	fortune
fyrre	forty
toogfyrre	forty-two
siumut	forward
ilinnut	for you
pilersippaa	foster
akersuuppoq	fought
nassaaraa	found
tunngavik	foundation
sisamat	four
fjorten	fourteen
terianniaq	fox
qajannartoq	fragile
sinaa	frame
sinaakkutat	framework
eqqumiitsoq	freak
frii	free
kiffaanngissuseq	freedom
qerisoq	freeze
akulikissuseq	frequency
aalakkaasoq	frequent
akulikitsumik	frequently
nutaaq	fresh
tallimanngorneq	friday
nillataartitsivik	fridge
ikinngut	friend
inussiarnersoq	friendly
ikinngutit	friends
Ikinngutigiinneq	friendship
ersivoq	frightened
ersinaq	frightening
naraseq	frog
uannga	from
saava	front
qerisoq	frozen
naatitat	fruit
kamaqqavoq	frustrated
ikummatissaq	fuel
Fulfulde	Fulfulde
ulikkaarpoq	full
nuanneq	fun
atorfik	function
pingaarluinnartoq	fundamental
ilisineq	funeral
illarnaq	funny
kamappoq	furious
pisattat	furniture
ilanngullugit	further
siunissaq	future
pinnatat	gain
pinnguaat	game
putoq	gap
garage	garage
eqqagassat	garbage
naatsiivik	garden
hvidløgeq	garlic
isertarfik	gate
katersukkat	gather
katerinneq	gathering
uuttortaat	gauge
tunniuppaa	gave
geari	gear
suiaassuseq	gender
sanavaa	generate
kinguaariit	generation
tukkortoq	generous
pikkorissoq	genius
suussusaa	genre
saamasumik	gentle
ilumoortoq	genuine
pivaa	get
atisalersorit	get dressed
pissarsiaraa	getting
makippoq	get up
peqqissilluarina	get well soon
aliortuaq	ghost
aliortuaq	ghosting
angisoorsuaq	giant
tunissut	gift
ingefæri	ginger
niviarsiaraq	girl
arnaat	girlfriend
tunniuppaa	give
tunniussaq	given
tunniutiinnarpoq	give up
nuannaarpoq	glad
qissiminneq	glance
immiartorfik	glass
isarussat	glasses
qaammaallanneq	glimpse
tarrajuttoq	gloomy
aaqqatit	gloves
aamaq	glow
aamaarpoq	glow up
liimmi	glue
ingerlagit	go
taamaaliorniannguarit	go ahead
anguniagaq	goal
anguniakkat	goals
kavaajaasaq	goat
peerniarit	go away
ajunngilaq	god
ingerlavoq	goes
ingerlavoq	going
uunngarpoq	going to
gulti	gold
tammarpoq	gone
aallarit	goo
ajunngilaq	good
unnussiorluarna	good afternoon
inuulluarna	good bye
inuulluarit	goodbye
unnussiorluarina	good evening
isikkorik	good looking
iluatsitsilluarina	good luck
iterluarit	good morning
sinilluarit	good night
sinilluarna	goodnight
taqussat	goods
Google	Google
nerleq	goose
kusanarpoq	gorgeous
ingutsineq	gossip
pivaa	got
piguara	got it
innarniarit	go to bed
naalakkersuisoqarfik	government
tiguaa	grab
qaffasissusaa	grade
tulleriiakannerlugit	gradually
karrit	grain
tunniuppaa	grant
tunniussaq	granted
vindruat	grapes
paasinninneq	grasp
naasut	grass
qujamasuppoq	grateful
qujamasunneq	gratitude
iliveq	grave
qasersoq	gray
torrak	great
peqqarniisaarneq	greed
innimiitsoq	greedy
qorsorpaluttoq	green
ilassineq	greet
ilassinninneq	greeting
ilassinninnerit	greetings
qasersoq	grey
ungaloq	grid
aliasunneq	grief
qalipaaneq	grind
tigusineq	grip
niuertoq	grocery
uitaassaq	groom
ilanngaateqanngitsumik	gross
naqqa	ground
eqimattaq	group
ineriartortoq	grow
alliartorpoq	growth
eqiasuttoq	grumpy
Guarani	Guarani
qularnaveeqqut	guarantee
paarsisoq	guard
eqqoriaruk	guess
pulaartoq	guest
ilitsersuut	guidance
ilitsersuut	guide
pisuusoq	guilty
nukik guutimit pisoq	divine
angut	guy
angutit	guys
eqaarsaarneq	gym
ileqqoq	habit
nataqqornat	hail
nujat	hair
affaa	half
inersuaq	hall
assak	hand
kusanarpoq	handsome
nivigavoq	hang
peqatigisaqarneq	hang out
pisimasoq	happen
pereerpoq	happened
nuannaarneq	happiness
nuannaarpoq	happy
manngerpoq	hard
sakkortuumik	hardly
ajoquserneq	harm
ajoqutaasoq	harmful
harmonii	harmony
sakkortuut	harsh
katersuineq	harvest
qinngarsuineq	hate
peqarpoq	have
ullaakkorsiorama	have breakfast
nuannisarina	have fun
nerigavit	have you eaten
pigai	having
navianartoq	hazard
iseriak	haze
niaqoq	head
niaqorlunneq	headache
mamippoq	heal
peqqissineq	healing
peqqissuseq	health
peqqissoq	healthy
tusarpaa	hear
tusarneqarpoq	heard
uummat	heart
kiak	heat
qilak	heaven
oqimaatsoq	heavy
ulapittoq	hectic
angissuseq	height
kingornussisussaq	heir
tillinniarneq	heist
iluatsitsineq	held
toornaarsivik	hell
Aluu	Hello
hjelmeq	helmet
ikiu	help
ikiuutaavoq	helpful
taamaammat	hence
ataatsimoortut	herd
uani	here
kingornussassaq	heritage
sapinngilaa	hesitate
Aluu	Hey
Aluu	Hi
toqqoqqasoq	hidden
toqqortoq	hide
portuvoq	high
pisuttuarneq	hike
pisuttuarneq	hiking
quianarluinnartoq	hilarious
qummukajaaq	hill
oqariartuutigineqartoq	hint
siffissat	hip
siffissat	hips
atorfinitsippaa	hire
atorfinitsippaa	hiring
oqaluttuaq	history
eqqoruk	hit
aluukkut	Hi there
Hmm	Hmm
unigit	hold
najummatserit	hold on
putoq	hole
ferierneq	holiday
putoq	hollow
sngerlarsimaffik	home
ilinniagassat	homework
ilumoorneq	honest
unneqqarissumik	honestly
ataqqinartoq	honor
nasaasaq	hood
akkersaq	hook
pissippoq	hop
neriiuut	hope
neriuutigaa	hopefully
pakatsinarpoq	hopeless
nallarissoq	horizontal
siggartaat	horn
ajorluinnarpoq	horrible
ersinersuaq	horror
hiisti	horse
napparsimmavik	hospital
inussiarnisaarneq	hospitality
qaaqqusisoq	host
akeqqersimasoq	hostile
kusanartoq	hot
unnuisarfik	hotel
illu	house
illoqutigiit	household
qanoq	how
illimmi	how about you
ajunngilatit	how are you doing
qanorluunniit	however
qassit	how many
ikkuffik	hub
uia	hubby
eqippaa	hug
angisooq	huge
inuk	human
ajukkuttoq	humble
isugutak	humid
isugutak	humidity
hunnorujut	hundred
perlilerpoq	hungry
ukiut hunnorujulikkaat	century
piniarneq	hunt
anorersuaq	hurricane
tuavi	hurry
tuavi	hurry up
annerpoq	hurt
ui	husband
ulikkaarpoq	hustle
illuaraq	hut
eqqiluisaarneq	hygiene
Uanga	I
Uanga	I am
ajunngilanga	I am fine
pisinnaavunga	I can
taamaaliorsinnaanngilanga	I can't
siku	ice
siku	ice cream
isumassarsiaq	idea
nuannaartorisaq	ideal
ilisarnartoq	identical
kinaassuseq	identify
kinaassuseq	identity
sianiitsoq	idiot
atorneqanngitsoq	idle
Naluara	I do not know
paasinngilara	I do not understand
taamaaliunngilanga	I don't
naluara	I don't know
naluara	I don’t know
Paasinngilara	I don't understand
Paasinngilara	I don’t understand
Paasisinnaanngilakkit	I don't understand you
soqutiginngiinnaruk	ignore
eqqoriarpara	i guess
-qarnikuuvunga	I had
peqarpunga	I have
-nnikuuvunga	I have been
Neriuppungami	I hope so
nalunngilara	I know
tingulaakkamit ilaagaq	quote
nunap ilaa oqaasissaqarfigisaq	domain
oqaatsit ilaaqqissaakkat	quotes
ataatsimiitsitaliami ilaasortat	board
nunap ilaa	territory
ukiup ilaatigut pisartut nalaat	season
nuannaraara	I like
nuannarivakkit	I like you
asasakka ilinniartut	Dear students
qanoq iliorpit	what do you do
soorlu ilisimasat	cognitive
bakke ilisivik	tray
qanoq iliusissaqarneq	handle
napparsimasoq	ill
aamma illit	and you
aamma illit	you too
napparsimaneq	illness
arlaannut illuaqqajaaneq	tendency
arlaannut illuaqqajaaneq	trend
nunaat illuliorfissaq	parcel
Ilocano	Ilocano
asavara	I love
Asavakkit	I love you
Asarujussuarpakkit	I love you so much
nunap iluani	domestic
nunap iluani	national
suliassap ilusissaata akissaatalu pilersaarusiornera	prospect
uanga	I'm
uanga	I’m
soorlu imaattut	such as
isikkua	image
takorluuineq	imagine
oqaluttuamik imalik	epic
ani imalluunniit aqqalu	brother
katisimavit imaluunniit kimiittuuvit	are you married or single
soorlu imatut	likewise
ajunngilanga	I'm fine
Ajunngilanga	I'm good
maaniippunga	I'm here
maqaasivakkit	I miss you
maqaaserujussuarpakkit	I miss you so much
tuaviortumik	immediate
tuaviortumik	immediately
-lluinnartumik	immense
nunap immikkoortuani sumiiffik	countryside
suunerisa immikkoortui	category
sunniunneq	impact
utaqqikatappoq	impatient
naammassivoq	implement
pisarialik	important
qallersuutissat	impose
taamaattoqarsinnaanngilaq	impossible
kakkagaa	impress
misigisaq	impression
soqutiginarpoq	impressive
qaffassarpaa	improve
pitsanngoriartuut	improvement
utoqqatserpunga	I'm sorry
iluani	in
Timmissap inaa	nest
uumasut inaat	cage
ilinniartut inaat	college
saniatigut	in addition
assuanartoq	inappropriate
kajumissaarut	incentive
pisoq	incident
ilanngullugu	include
ilanngullugu	including
isertitat	income
pisarissersuineq	inconvenience
qaffappoq	increase
qaffappoq	increased
uppernaappoq	incredible
soorunami	indeed
nammineersinnaassusilik	independent
Indien	India
ilanngullugu	indicate
nunaqavissut	indigenous
ataaseq	individual
Suliffissuaq	industry
pinngitsoorneqarsinnaanngitsut	inevitable
inoorlaaq	infant
aseruuttoorneq	infection
naassaanngitsoq	infinity
aseruunneq	inflammation
sunniutilik	influence
naasissutissiineq	inform
paasissutissaq	information
saavani	in front of
Siumut ingerlaneq	straightforward
ataqatigiinnerata ingerlaqatigiinneri	balance
akuutissat	ingredients
kingornutaq	inheritance
nassatanut inissiisarfik	trunk
najugaqarfik inissikkallartarfik	accommodation
pilersitsiniarneq	initiative
ajoqusersimasoq	injured
ajoquserneq	injury
uunga inniminnerneqarpoq	in order to
piffissaq inniminnigaq	appointment
sussuteqanngitsoq	innocent
pilersitsisinnaaneq	innovation
nunap inoqqaava	native
apeqquteqaat	inquiry
niaqulaartoq	insane
sullineq	insect
ikkussineq	insert
iluani	inside
anguniagaa	insight
taamaannerarpaa	insist
sinissaarunneq	insomnia
isumassarsiffissaq	inspiration
isumassarsiaq	inspire
ikkussineq	install
assersuut	instance
tassanngaannaq	instant
taarsiullugu	instead
taarsiullugu	instead of
ilitsersuutit	instructions
nipilersuut	instrument
ajuallatsippaa	insult
sillimmaserneq	insurance
ajoqusersimanngitsoq	intact
innarligassaannginneq	integrity
silassorissoq	intellectual
silassorissuseq	intelligence
silassorissuseq	intelligent
anguniarlugu	intend
siunertarineqartoq	intended
aalluppaa	intense
anguniagaq	intention
sunniivigeqatigiinneq	interact
sunniivigeqatigiinneq	interaction
soqutigisaq	interest
soqutiginnippoq	interested
soqutiginaq	interesting
akulerullugit	interfere
ilua	internal
praktikki	internship
nassuiaat	interpret
oqalutsi	interpreter
akornusiineq	interrupt
apersuineq	interview
atoqatigiinneq	intimate
ilua	into
ilisarititsineq	introduce
ilisaritsitsineq	introduction
asialuk	introvert
malussarinneq	intuition
najugaq inuuffigisaq	habitat
inussiarnersumik inuulluarit	best regards
inussiarnersumik inuulluarit	sincerely
inuup inuunermini atugai	density
inuup inuunermini atugai	destiny
inuup inuunermini atugai	fate
suna inuussutissarsiutigaajuk	what do you do for a living
iluarusulluni inuuvoq	thrive
innarlersimavoq	invalid
nassaaraa	invent
pigisat	inventory
aningaasaliineq	invest
misissuineq	investigate
qaaqqusissut	invitation
qaaqqusissut	invite
ilanngullugu	involve
ilanngussat	involved
qanoq ippa	how is
qanoq ippit	how are you
qanoq ippit	how do you do
savimineq	iron
takuara	I see
onlinekkut isersimavoq	online
kinaanerminik isertuussisoq	anonymous
ataatsimut isigalugu	general
ataatsimut isigalugu	generally
qanoq isikkoqarnera	outfit
qeqertaq	island
immikkoorpoq	isolated
oqaatsit issuaqqissaakkat	quotation
akornut	issue
akornutit	issues
isuaniit isuanut	span
oqaaserujuit isumaqanngitsut	rubbish
Qanoq isumaqarnersutit paasinngilara	I don't understand what you mean
ima isumaqarpunga	I mean
siunnersuut isumassarsissutaasinnaasoq	tip
siumut isummereersimasoq	biased
nioqqutissaq	item
pequtit	items
asasara iterluarit	good morning my love
Isumaqarpunga	I think
imaappoq	it is
ajunngilaq	it's ok
ajunngilaq	It's okay
immikkut ittoq	extraordinary
qanoq ittuussusaa	character
taannaavoq	it was
paasivara	I understand
piumavunga	I want
Takorusuppakkit	I want to see you
piumavakkit	I want you
taamaakkama	I was
taamaaliussaanga	I will
-ssinnaavunga	I would be
kavaajaq	jacket
parnaarussivik	jail
januari	January
qummuattaq	jar
alleroq	jaw
sinngasoq	jealous
sianiitsoq	jerk
pinnersaatit	jewelry
suliffik	job
arpappoq	jogging
ilanngunneq	join
katersat	joint
quiasaarneq	joke
tusagassiortoq	journalist
angalaneq	journey
nuannaarneq	joy
eqqartuussisoq	judge
juice	juice
juuli	july
pissippoq	jump
juuni	june
sukujuit	junk
taannaannaq	just
tamaaliuinnassaatit	just do it
naapertuilluarneq	justice
pinngitsuuniarneq	justify
Kalaallisut	Kalaallisut
tassanngaannaq kammaserneq	seizure
akiuussutissaq kapuut	vaccine
piumassusilik	keen
paariinnaruk	keep
ingerlaannarit	keep it up
paariinnarpaa	kept
uunnaavik	kettle
matuersaat	key
isummissineq	kick
meeraq	kid
piaarivoq	kidding
tiguk	kidney
meeqqat	kids
Anguniagaraarput: kikkut tamaasa peqataatissinnaanissaat, nunarsuarmioqatigiinneq tamanut paasinartunngornissaa aammalu inuit namminneq oqaatsitik atorlugit oqaaseqarsinnaanissaat.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
toqutsineq	kill
piffissaq killilik	phase
piffissaliussap killinga	deadline
sinarsuata killinga	outline
tamaanga killippoq	so far
unaana kina	who is this
saamasoq	kind
soorlu	kinda
inussiarnersumik	kindly
inussiarnisaarneq	kindness
kunngi	king
ajoqusernermik kingunerlutsitsineq	trauma
akunnaallilerlugu kisitaq	approximately
allannerit kisitsisillu erserfissaat	display
kuninneq	kiss
iggavik	kitchen
atuaqatigiit klassiat	class
seeqqoq	knee
nalunngilaa	knew
savik	knife
sakkutooqqinneq	knight
nalunngilaa	know
ilisimassuseq	knowledge
ilisarisimaneqartoq	known
isertaammut kode	password
Konkani	Konkani
atuisutut konto	account
Krio	Krio
allagartaq	label
ernisuttoq	labor
ernisunneq	labour
amingaataa	lack
qaffappoq	ladder
arnaq	lady
ilereerpoq	laid
taseq	lake
qulleq	lamb
tusiappoq	lame
qulleq	lamp
nuna	land
oqaatsit	language
sarliarpaa	lap
angisooq	large
kingulleq	last
naggat	last name
kingusissukkut	late
kingullertigut	lately
kingorna	later
kingullerpaaq	latest
illarneq	latter
illarpoq	laugh
illarpoq	laughing
ollarneq	laughter
saqqummiuppaa	launch
errortassat	laundry
inatsik	law
ivigalik	lawn
unnerluussisoq	lawyer
innagavoq	lay
qaava	layer
isikkua	layout
eqiasuttoq	lazy
siulersorpaa	lead
aqutsisoq	leader
pilutaq	leaf
erngarpoq	leak
innagaarpoq	lean
pissinneq	leap
ilikkagaq	learn
ilinniarpaa	learning
attartorneq	lease
minnerpaamik	least
ameq	leather
ingerlavoq	leave
qimappaa	leaves
peqiffiit	led
ingerlavoq	left
niu	leg
akuersissut	legacy
akuerisaq	legal
sapiitsuliortoq	legend
sunngiffik	leisure
atorpaa	lend
takissusaa	length
ikinnerit	less
sakkukitsoq	let
allagaq	letter
salaatit	lettuce
qaffasissusaa	level
gearingi	leverage
akisussaaffik	liability
aluppaa	lick
sallu	lie
salloqittaanerit	lies
inuuneq	life
kivippaa	lift
qaamasoq	light
qaammaallanneq	lightning
soorlu	like
ilimanarpoq	likely
titarneq	line
Lingala	Lingala
linki	link
løveq	lion
akussaq	liquid
allattorsimaffik	list
tusarnaarit	listen
tusarnaarneq	listening
atuagassiaqarneq	literature
eqqagassat	litter
mikisoq	little
toqqaannartumik	live
tiguk	liver
najugaqarpoq	lives
inuuneq	living
Ini	living room
sisamaleeraq	lizard
atorsaatissinneqarneq	load
atorneq	loan
sumiiffia	location
parnaarpaa	lock
mattusineq	lockdown
iserpoq	log
illartoq	lol
kiserliortoq	lonely
takisooq	long
qangamita	long time no see
takuuk	look
qalersaq	loop
annaavaa	loose
annaasaq	lose
annaasat	loss
tammarpoq	lost
assut	lot
nipitooq	loud
lounge	lounge
nuannaraa	love
nuanneq	lovely
asavakkit	love you
atsittoq	low
atsinneq	lower
tatiginartoq	loyal
tatiginassuseq	loyalty
iluatsitsineq	luck
iluatsitsivoq	lucky
Luganda	Luganda
nassatat	luggage
kulumpaq	lump
puaat	lungs
ilorrisimaarnartoq	luxury
salloqitaavoq	lying
suli maaniippit	Are you still there?
aamma maani	Same here
suli maannakkuunngitsoq	not yet
maskina	machine
kamattoq	mad
arnaq madam	madam
sanaaq	made
atuagassiat	magazine
ingasak	magnificent
inilerisoq	maid
pingaarneq	main
aserfallatsaaliineq	maintain
aserfallatsaaliineq	maintenance
Maithili	Maithili
majoori	major
amerlanerussuteqartut	majority
suliaraa	make
pinnersaatit	make up
soorlu makkua	such
angut	male
isumaqatigiissut malippaa	comply
isuma malitaq	consistency
pisiniarfissuaq	mall
angut	man
suliarisinnaasaa	manage
aqutsineq	management
aqutsisoq	manager
pinngitsoorani	mandatory
manifesti	manifest
uukapaatippaa	manipulate
ileqqui	manner
najoqqutassaq	manual
amerlasuut	many
martsi	march
margeni	margin
tuniniaavik	market
akileriit marloqiusat	parallel
arfineq marluk	seven
isikkaneq marluk	twelve
katisimaneq	marriage
katisimasoq	married
kiinarpak	mask
amerlasoorpassuit	mass
amerlasuut	massive
ajugaaffigaa	master
assinga	match
suleqat	mate
atortussat	material
kisitsineq	math
soqutaavoq	matter
amerlanerussuteqartut	maturity
ilimanaq	may
Immaqa	maybe
uanga	me
nerisassat	meal
isumaqarpoq	mean
isumaqarpoq	meaning
isumaqarpoq	means
Isumaqarpoq	meant
utaqqiisaa	meanwhile
uuttortaaneq	measure
pineqaatissiissut	measures
neqi	meat
nakorsaatit	medical
nakorsaatit	medicine
eqqarsaqqissaarneq	meditation
skunnattoq	medium
naapippaa	meet
naapinneq	meeting
Meiteilon	Meiteilon
aappoq	melt
eqqaamasat	memories
eqqaamasat	memory
eqqaavaa	mention
eqqaaneqartoq	mentioned
uumasut meqqui	fur
savap meqqui	wool
pisiniarfik	merchant
naakkinninneq	mercy
ersiinnartoq	merely
akornut	mess
nalunaarut	message
Tukappoq	messy
savimineq	metal
periuseq	method
uangalu	me too
teriaq	mice
qeqqa	middle
immaqa	might
sakkukitsoq	mild
amiililersuut	milestone
sakkutooqarfik	military
immuk	milk
million	million
silassorissuseq	mind
eqqarsartariaaseq	mindset
akuleruppoq	mingle
kingulleq minnerunngitsorli	last but not least
ikinnerussuteqartut	minor
minutsi	minute
minutsit	minutes
tupinnartuliaq	miracle
tarrarsuut	mirror
assigiinngitsut	miscellaneous
quiassuaasoq	mischievous
nuanniilliorpoq	miserable
nuanniilliorneq	misery
qanoq misiginermik nassuiaat	express
Nassiunnissaata misissorneqarneranut utaqqinernut qujanaq	Thank you for your patience while we investigate shipment
maqaasivaa	miss
amingaataavoq	missing
anguniagaq	mission
maqaasivakkit	miss you
pujoq	mist
kukkuneq	mistake
atisalersorluni mitaartoq	disguise
Mizo	Mizo
asissorpaa	mock
takutitassiaq	model
ingasanngitsoq	moderate
nutaaliaq	modern
unneqqarissoq	modest
isugutattoq	moist
isugutak	moisture
oquk	mold
muldvarpi	mole
anaana	mom
uisorerneq	moment
ataasinngorneq	monday
aningaasat	money
monitori	monitor
aapakaaq	monkey
qaammat	month
isuma	mood
isumagissaarneq	moody
Qaammat	moon
ileqqorissaarpoq	moral
aammalu	more
aammamaa	moreover
ullaaq	morning
qularnaveeqqut	mortgage
tamatigut	mostly
anaana	mother
timersorneq	motion
kajumissisitsineq	motivation
Qaqqaq	mountain
teriaq	mouse
qaneq	mouth
ingerlavoq	move
ingerlaarneq	movement
isiginnaagassiaq	movie
nuliaq	mrs
assut	much
maralluk	mud
oquk	mug
nukik	muscle
katersugaasivik	museum
pupik	mushroom
nipilersuut	music
nipaaruppaa	mute
illugiissitaq	mutual
uanga	my
Asasara	My dear
ikinngutiga	my friend
asasara	my love
nalunartoq	mysterious
isertugaq	mystery
oqaluttuaq	myth
angut naalagaq	lord
ilinniarnermik naammassineq	graduate
suliaq naammassisaq	stake
ingerlanera naammassivoq	proceed
titarneq naatsoq takisooq	streak
aningaasartuutissatut naatsorsuutit	budget
atip naggatillu aallaqqaatai	initial
kukik	nail
meerarpaluppoq	naive
sumi najugaqarpit	where do you live
aningaasat naleerukkiartornerat	inflation
pissutsimut naleqquttoq	characteristics
killissaata nalinga	threshold
pissusilersorneq nalliuttorsiorpalaartoq	ceremony
ilaajunnaarluni nalunaarneq	statement
paasissutissat nalunaarsuutai	data
inissisimanermik nalunaarut	status
ateq	name
uanga nammineq	myself
inuup nammineq	privacy
illit nammineq	yourself
inummut namminermut tunngasoq	private
inuttut namminertut	personal
taakkua namminneq	themselves
inuttat	narrative
amitsoq	narrow
assimik nassilaannga	send me your picture
itinerusumik nassuiaat	elaborate
naalanngitsoq	nasty
sumiuussuseq	nationality
ilakkuminartoq	natural
pinngortitaq	nature
meriannguneq	nausea
qanittoq	near
eqqaaniittoq	nearby
qanittuaraq	nearly
kusanaq	neat
pisarialik	necessary
qungaseq	neck
ujameq	necklace
pisariaqartitaq	need
ajortut	negative
kinguarsarpaa	neglect
isumaqatiginninniarneq	negotiate
sanileq	neighbor
immaqaluunniit	neither
soraluaq	nephew
nersussuup neqaa	beef
puulukip neqaa	pork
steak neqi	steak
immikkut nerisassat	diet
pissagavoq	nervous
qassutit	net
atassuteqaatit	network
neutrali	neutral
tunniutiginngisaannarit	never give up
sussa	never mind
sussa	nevermind
taamaakkaluartoq	nevertheless
nutaaq	new
nutaarsiassat	news
tullia	next
tulliani	next to
kusanaq	nice
soraluaq	niece
unnuaq	night
sinnattupiluk	nightmare
Qaatsiartaatinga nimerissanik ulikkaarpoq	My hovercraft is full of eels
quligiluat	nine
Anitten	nineteen
halvfems	ninety
imminut nittarsaattoq	assertive
paasissutissanik niuverneq	retail
Naamik	No
kinaanngitsoq	nobody
nipi	noise
Nipitooq	noisy
soqanngilaq	none
ulloqeqqa	noon
naamik	nope
ajunngilaq	no problem
naliginnaasoq	normal
avannaa	north
qingaq	nose
naamik	not
taamaanngilluinnarpoq	not at all
ajunngilaq	not bad
allanneqarpoq	noted
soqanngilaq	nothing
malugaa	notice
malugaa	noticed
Massakkuunngitsoq	Not now
taggit	noun
taggisit	nouns
oqaluttualiaq	novel
Anovembari	november
massakkut	now
ullutsinni	nowadays
naamerluinnaq	no way
uanga nuannaarniutinga	my pleasure
ikinngut nuannarisaq	soulmate
naapillutit nuanneq	nice to meet you
ullormut nuannersunik utertitsivigineqarnerit amerlasuut	many many happy returns of the day
naalliuut	nuisance
kunngip nulia	queen
noorlu	null
misigissuseqanngitsoq	numb
kisitsisit	number
Anguniagaraarput: nunarsuatsinni paasissutissat aaqqissuunnissaat, nunarsuaq tamakkerlugu tamanut ammasuullutillu atorneqarsinnaasut.	Our mission: to organize the world's information and make it universally accessible and useful.
niviarsiaq	nurse
qaqqortariaq	nut
muskatsi	nutmeg
inuussutissat	nutrition
aap nuunu	okay baby
uppernarsaaneq	oath
pualavallaarneq	obesity
naalappaa	obey
susaq	object
kinaassusersiuinngitsoq	objective
pisussaaffik	obligation
eqqumiitsoq	obscure
nakkutiginninneq	observation
malinnaavigaa	observe
tinguarteqqasoq	obsessed
tigusaasimaneq	obsession
qaangiunnikoq	obsolete
akorngut	obstacle
angusaq	obtain
angusaa	obtained
ilimanaq	obvious
ilimanaq	obviously
ullorsiorpalaartoq	occasionally
sulerisuuneq	occupation
atorneqarpoq	occupied
aggerpoq	occur
pisimasoq	occurred
pinngorpoq	occurs
imaq	ocean
oktoberi	october
naligiinngitsut	odd
ilimanassusaa	odds
uannga	of
soorunami	of course
qamippoq	off
maajunnartut	offensive
neqeroorut	offer
allaffik	office
pisortatigoortoq	official
akulikitsumik	often
Oh	Oh
ilumut	oh really
olia	oil
ok	ok
ajunngilaq	okay
utoqqaassuseq	old
qaavani	on
ataasia	once
ataaseq	one
uanitsoq	onion
taamaallaat	only
ammasoq	open
suliarinninneq	operation
isummerneq	opinion
periarfissat	opportunities
periarfissaq	opportunity
akerlia	opposite
neriuuteqarluartoq	optimistic
assip oqaasertaa	caption
navianarsinnaasumik oqaasertaliineq	venture
siumoortumik oqaatigaa	predict
ilumoortumik oqaatigalugu	literally
tamat oqartussaaqataanerat	democracy
imaluunniit	or
orangeaq	orange
inniminnigaq	order
naliginnaasoq	ordinary
immikkoortortaqarfik	organization
paasissutissiineq	orientation
aallaavia	origin
ilumoortoq	original
takornariat ornittagaat	attraction
Oromo	Oromo
iliarsuk	orphan
alla	other
-tariaqarpoq	ought
anivoq	out
inernera	outcome
anisussat	outgoing
ikkuffik	outlet
silami	outside
Utaqqisoq	outstanding
ovni	oven
qulaani	over
qaangerpaa	overcome
Ikani	over there
eqqarsarpallaarneq	overthinking
nuannaarsuataarpoq	overwhelmed
nuannaarujussuarpoq	overwhelming
taarsigassalik	owe
Uppik	owl
nammineq	own
piginnittoq	owner
