a	an
goals	mga gustog abuton
goat	kanding
god	diyos
god bless you	bendisyunan ka nin diyos
goes	nagduman
going	maduman
going to	pasiring sa
gold	bulawan
gone	nawara
gonna	maduman
goo	maalnas
good	karahayan
good	marhay
good afternoon	marhay na hapon
good bye	paaram na
good day	marhay na aldaw
good evening	marhay na banggi
good job	matibay
good looking	marahay paghilingon
good morning	marhay na aga
good morning my love	marhay na aga sakong namumutan
good night	marhay na pagturog saimo
goodbye	paaram
goodnight	marhay na pagturog saimo
goods	paninda
Google	Google
Google Translate	pagtradusir gamit ang Google
goose	ganso
gorgeous	magayunon
gossip	tsismis
got	nakua
got it	nakua ko na
government	gobyerno
grab	kuanon
grade	grado
gradually	luway luway
graduate	gradweyt
grain	tupasi
grant	itao
granted	itinao
grapes	ubas
grasp	masabutan
grass	duot
grateful	mapagpasalamat
gratitude	pasasalamat
grave	lubungan
gray	abon
great	dakula
greed	kasibaan
greedy	paslo
green	berde
greet	tino
greeting	pagbati
greetings	pagbati
grey	abon
grid	giling
grief	kamunduan
grind	giling
grip	pagkakapot
grocery	groseri
groom	nobyo
gross	maati
gross	kabilogan
ground	daga
group	grupo
grow	tubo
growth	pagdakula
grumpy	pirmeng sinusumpong
Guarani	Guarani
guarantee	garantiya
guard	gwardiya
guard	gwardiyahan
guess	maghula
guest	bisita
guidance	paggiya
guide	giya
guide	igiya
guilty	may sala
guy	lalaki
guys	mga tao
gym	dyim
habit	ugali
habitat	istaran
had	nagkaigwa
hail	uran na may yelo
hair	buhok
half	kabanga
hall	bulwagan
hand	kamot
handle	kaputan
handle	manehar
handsome	gwapo
hang	bitay
hang out	tambay
happen	nangyari
happened	nangyari
happiness	kaogmahan
happy	maogma
happy birthday	Maogmang pagkumpleanyo
happy birthday to you	Maogmang pagkumpleanyo
happy new year	manigong bagong taon
hard	matagas
hardly	garu bako
hardly ever	bakong kadalasan
harm	danyusan
harm	danyos
harmful	nakakaraot
harmony	pagkakasundo
harsh	malupit
harvest	ani
has	igwa
hate	uyam
have	igwa
have a good day	magkaigwa nin marhay na aldaw
have a nice day	magkaigwa nin marhay na aldaw
have breakfast	magpamahaw na
have fun	mag-ogma
have you eaten	nagkakan ka na
having	igwa
hazard	peligro
haze	manipis na panganuron
he	siya
he has	igwa siya
he is	siya
head	payo
headache	kulog payo
heal	bulungon
healing	nabubulong
health	salud
healthy	marhay an salud
hear	dangog
heard	nadangog
heart	puso
heat	init
heat	magpainit
heaven	langit
heavy	magabat
hectic	dipisil
height	langkaw
heir	tagapagmana
heist	habas
held	kinaputan
hell	imperno
Hello	kumusta
hello dear	kumusta na sakong namumutan
hello how are you	hello kumusta ka
hello how are you doing	kumusta
helmet	helmet
help	tabang
helpful	matinabang
hence	kaya
her	siya
herd	kawan
here	digdi
heritage	minana
hesitate	nagduduwa-duwa
Hey	Uy
Hi	kumusta
hi how are you	kumusta ka na
Hi there	Kumusta
hidden	natatago
hide	magtago
hierarchy	herarkiya
high	halangkaw
highlight	tawan nin duon
hike	sakat
hiking	pagtukad
hilarious	makangirit
hill	bulod
him	siya
hint	ideya
hip	piad
hips	piad
hire	arkila
hiring	nag-aako
his	saiyang
history	kasaysayan
hit	tamaan
Hmm	Umm
hobby	libangan
hold	kaputan
hold on	maghalat
hole	luho
holiday	bakasyon
hollow	buwang
home	harong
homework	aisgnasyon
honest	onesto
honestly	may pagka-onesto
Honey	Dugos
Honey	Honey
honor	onra
hood	talukbong
hook	kawit
hop	lukso
hope	nag-aasa
hope	pag-asa
hopefully	sana
hopeless	mayong pag-asa
horizontal	pahigda
horn	busina
horn	sungay
horrible	nkakatakot
horror	makatakot
horse	kabayo
hospital	ospital
hospitality	marhay na pag-ako
host	naghanda
hostile	palaban
hot	mainit
hotel	otel
hour	oras
hours	mga oras
house	harong
household	pamilya
how	pano
how about you	ika
how are you	kumusta ka
how are you doing	kumusta ka
how are you doing today	kumusta ka ngonyan
how are you today	kumusta ka ngonyan
how do you do	kumusta ka na
how is	pano an
how many	pira
how much	gurano
how often	gurano kaparate
how old are you	pirang taon kana
how was your day	kumusta an aldaw mo
how was your night	Kumusta ang banggi mo
however	minsan siring
hub	hub
hubby	agom
hug	kuguson
hug	kugos
huge	dakulaon
human	tawo
humble	mapakumbaba
humid	mahalumigmig
humidity	kahalumigmigan
hundred	gatos
hungry	gutom
hunt	mang-ayam
hurricane	bagyo
hurry	dali dalian
hurry up	dalian mo
hurt	nakolgan
husband	agom na lalaki
hustle	paghidali
hustle	magdalidali
hut	kubo
hygiene	pangangataman sa hawak
I	Ako
I am	Ako
I am fine	Marhay ako
I can	Kaya ko
I can't	Dai ko kaya
I do	Iyo
I do not know	Dai ko aram
I do not understand	Dai ko maintindihan
I don't	Dai ko
I don't know	Dai ko aram
I don't understand	dai ko maintindihan
I don't understand what you mean	Dai ko naiintindihan an gusto mong sabihon
I don't understand you	Dai taka maintindihan
I don’t know	Dai ko aram
I don’t understand	Dai ko maintindihan
i guess	hula ko
I had	Nagkaigwa ako
I have	Igwa ako
I have been	Ako nagin
I hope so	Nag-aasa ako
I know	Aram ko
I like	Gusto ko
I like you	Gusto ta ka
I love	Gusto ko
I love my big brother	Namumutan ko an sakong manoy
I love my big sister	Namumutan ko an sakong manay
I love my father	Namumutan ko an sakong ama
I love my little brother	Namumutan ko an sakong sadit na tugang na lalaki
I love my little sister	Namumutan ko an sakong sadit na tugang na babaye
I love my mother	Namumutan ko an sakong ina
I love you	namumutan ta ka
I love you so much	Namumutan ta kang marhay
I love you too	Namumutan ta ka man
I mean	An buot sabihon
I miss you	Namimiss taka na
I miss you so much	Namimiss taka na nin marhay
I see	Nahiling ko
I think	iniisip ko
I understand	Naintindihan ko
I want	Gusto ko
I want to see you	Gusto ko ikang mahiling
I want you	Gusto ta ka
I was	Kaidto ako
I will	Gigibuhon ko
I would be	Ako magigin
I'm	Ako
I'm fine	marhay ako
I'm good	Marhay ako
I'm here	Yaon ako
I'm sorry	Naghahagad ako nin kapatawadan
ice	yelo
ice cream	sorbetes
idea	ideya
ideal	perpekto
identical	magkapareho
identify	midbidon
identity	midbidan
idiot	patal
idle	mayong gibo
if	kun
ignore	pabayaan
ill	may helang
illegal	ilegal
illness	kahilangan
Ilocano	Ilocano
image	imahen
imagine	imahenar
immediate	dali-dali
immediately	tulos tulos
immense	dakulaon
impact	salpok
impatient	mayong pasensya
implement	isagibo
import	kinua hale sa ibang nasyon
important	mahalaga
impose	magpataw
impossible	imposible
impress	mapabilib
impression	impresyon
impressive	nakakadagka
improve	uswag
improvement	pag-uswag
in	sa laog
in addition	sa kadagdagan
In fact	Sa totoo
in front of	sa atubangan kan
in order to	tangani na
inappropriate	bakong tama
incentive	insentibo
incident	insidente
include	kaibanan
including	kaibanan an
income	kita
inconvenience	bakong kombeniente
increase	nagtataas
increase	pagtaas
increased	nadagdagan
incredible	dai kapanipaniwala
indeed	talaga
independent	independiente
India	India
indicate	ipahiling
indigenous	katutubo
individual	indibiduwal
industry	industriya
inevitable	dai malilikayan
infant	aki na sadit
infection	impeksiyon
infinity	mayong katapusan
inflammation	paghubag
inflation	pagtaas nin mga barakalon
influence	impluwensiya
influence	mang-impluwensiya
inform	magsabi
information	impormasyon
ingredients	ingrediente
inheritance	mana
initial	patienot
initiative	pagkukusa
injured	nadanyusan
injury	lugad
innocent	inosente
innovation	inobasyon
inquiry	hapot
insane	bua
insect	insekto
insecure	daing kasiguruhan
insert	isaliot
inside	sa laog
insight	kaunawaan
insist	iinsister
insomnia	dai nangangaturog
inspiration	inspirasyon
inspire	magtao nin inspirasyon
install	instilar
instance	pagkakataon
instant	madalian
instead	imbes
instead of	kesa kan
instructions	mga intruksiyon
instrument	instrumento
insult	insulto
insurance	seguro
intact	mayong kulang
integrity	integridad
intellectual	intelektwal
intelligence	katalian
intelligent	intelehente
intend	tuyo
intended	tinuyo
intense	grabe
intention	intensiyon
interact	nakiestoryahn
interaction	interaksiyon
interest	interes
interested	interesado
interesting	enteresante
interfere	papunduhon
intermediate	intermediya
internal	sa laog
international	internasyunal
internship	pagsasanay sa trabaho
interpret	interpretar
interpreter	tagapag-interpretar
interrupt	makisabad
interview	interbiyo
intimate	harani an buot
into	sa
introduce	ipamidbid
introduction	introduksiyon
introvert	masusupgon
intuition	intuwisyon
invalid	mayong bisa
invent	imbento
inventory	imbentaryo
invest	mamuhunan
investigate	imbestigar
invitation	imbitasyon
invite	imbitahan
invoice	listahan nin mga binakal asin presyo
involve	kabale
involved	iiba
iron	plantsa
iron	plantsahon
island	isla
isolated	iseparar
issue	nagtao
issue	isyu
issues	mga problema
it	ini
it is	iyan an
it was	iyo idto
it's	Ini an
it's ok	ok lang
It's okay	okay lang
item	aytem
items	mga aytem
its	an
I’m	Ako
jacket	dyaket
jail	presohan
January	Enero
jar	garapon
jaw	panga
jealous	selos
jerk	makauyam na tawo
jewelry	alahas
job	trabaho
jogging	magdalagan
join	bale
joint	dugtongan
joke	karaw
journalist	periyodista
journey	pagbyahe
joy	kaogmahan
judge	hukoman
judge	hukom
juice	katas
july	hulyo
jump	lukso
june	hunyo
junk	basura
just	lang
just	rasonable
just do it	gibuhon mo sana
justice	hustisya
justify	patunayan
Kalaallisut	Kalaallisut
keen	alisto
keep	taguon
keep it up	ipagpadagos mo yan
kept	sinaray
kettle	kasirula
key	liyabe
kick	sipa
kid	aki
kidding	nagkakaraw
kidney	bato
kids	mga aki
kill	gumadan
kind	mabuot
kind	kabuotan
kinda	medyo
kindly	paki-
kindness	kabuotan
king	hade
kiss	hadok
kitchen	kusina
kite	buradol
kitten	kuting
knee	tuhod
knew	aram na
knife	kutsilyo
knight	kabalyero
know	aram
knowledge	kaaraman
known	aram na
Konkani	Konkani
Krio	Krio
label	tatak
label	matatak
labor	gibo
labour	gibo
lack	kulang
ladder	hagdan
lady	daraga
laid	linatag
lake	danaw
lamb	karnero
lame	pilay
lamp	ilawan
land	daga
land	nag-abot
landscape	tanawon
language	lenggwahe
lap	kulkol
large	dakula
last	huri
last but not least	ultimo pero importante
last name	apelyedo
late	huri
lately	kasuarin lang
later	atyan
latest	pinakahuri
latter	paghuri
laugh	ngirit
laughing	nagngingirit
laughter	ngirit
launch	ilunsad
laundry	labahan
law	ley
lawn	natad
lawyer	abogado
lay	ilaag
layer	patong
layout	ayos
lazy	hugakon
lead	mangenot
leader	lider
leaf	dahon
leak	nagtatakdo
lean	sandig
leap	lukso
learn	nanudan
learning	pag-aadal
lease	arkila
least	pinakadikit
leather	anit
leave	magbakasyon
leave	maghale
leaves	mga dahon
led	pangenotan
left	wala
leg	tabay
legacy	pamana
legal	legal
legend	uroestorya
legit	tunay
leisure	oras na mayong gibo
lend	suble
length	laba
less	dikit
lesson	leksiyon
let	tugutan
letter	surat
lettuce	letsugas
level	pantay
leverage	paghiro
liability	paninimbagan
library	librarya
lick	dilaan
lie	mag-utik
lie	utik
lies	mga utik
life	buhay
lift	elebeytor
lift	iangat
light	maliwanag
light	ilawan
light	liwanag
lightning	kikilat
like	siring kan
like	gusto
likely	siring
likewise	siring man
line	linya
Lingala	Lingala
link	dugtong
lion	leon
liquid	likido
list	listahan
listen	magdangog
listening	nagdadangog
literally	literal
literature	literatura
litter	nagtapok
little	sadit
live	buhay
live	mabuhay
liver	atay
lives	nakaistar
lives	mga buhay
living	nabubuhay
living room	salas
lizard	butiki
load	karga
loaf	tinapay
loan	utang
local	lokal
location	lokasyon
lock	kandado
lockdown	bawal magluwas
log	kahoy
lol	makangirit
lonely	mamundo
long	halaba
long time no see	haloy na kitang dai nagkahilingan
look	paghiling
look	hiling
loop	palibot
loose	turosan
loose	turos
lord	diyos
lose	nawaran
loss	kawaran
lost	nawara
lot	lote
loud	makusog
lounge	pahingaloan
love	namumuot
love	pagkamoot
love you	namumutan ta ka
lovely	magayon
low	hababa
lower	mas hababa
loyal	maimbod
loyalty	pagkamaimbod
luck	swerte
lucky	maswerte
Luganda	Luganda
luggage	maleta
lump	bukol
lunch	pangudto
lungs	baga
luxury	luho
lying	pag-utik
machine	makinarya
mad	anggot
madam	madam
made	ginibo
magazine	magasin
magnificent	nakapagayon
maid	katabang
main	pangenot
maintain	mantenir
maintenance	mantenir
Maithili	Maithili
major	komandante
major	pangenot
majority	mayoriya
make	gibo
make up	magkasundo
male	lalaki
mall	dakulang establisemento nin bakalan
man	lalaki
manage	manehar
management	manehamento
manager	namamahala
mandatory	kinakaipuhan
manifest	magpahiling
manipulate	manipular
manner	paagi
manual	manwal
many	dakol
many many happy returns of the day	dakulon na maogmang pagbabalik sa mga aldaw
march	martsa
margin	margin
market	merkado
marriage	kasal
married	may agom
mask	maskara
mass	dakol
massive	dakula asin magabat
master	kagurangnan
match	labanan
match	maglaban
mate	agom
material	materyal
math	matimatika
matter	bagay
matter	mahalaga
maturity	pagkamaygurang
may	mayo
may	pwede daw
maybe	tibaad
me	ako
me too	ako man
meal	pagkaon
mean	maraot
mean	buot sabihon
meaning	buot sabihon
means	paagi
meant	pakahulugan
meanwhile	samantala
measure	sukulon
measures	nagsukol
meat	karne
medical	medikal
medicine	bulong
meditation	hararom na pag-iisip
medium	paagihan
meet	tagbo
meeting	pagtiripon
Meiteilon	Meiteilon
melt	natunaw
memories	mga rumdumon
memory	memorya
mental	mental
mention	binanggit
mentioned	nabaggit
mentor	tagapagtokdo
merchant	negosyante
mercy	herak
merely	lang
merry christmas	maogmang pasko
mess	makalat
message	mensahe
messy	makalat
metal	metal
method	paagi
mice	mga kino
middle	tahaw
midnight	matanga
might	posible
mild	malumanay
milestone	milyahe
military	militar
milk	gatas
million	milyon
mind	isaisip
mind	isip
mindset	kaisipan
mine	minahan
mine	sako
mingle	makihalubilo
minor	aki pa
minor	menor
minor	mas sadit
minor	mayo pa sa tamang edad
minute	minuto
minute	sadit
minutes	mga minuto
miracle	milagro
mirror	salming
miscellaneous	sari-sari
mischievous	makaraw
miserable	miserable
misery	pagsakit
miss	dai naigo
miss you	Namimiss taka na
missing	nawawara
mission	misyon
mist	hamog
mistake	sala
Mizo	Mizo
mobile	nahihiro
mock	pag-ulog-olog
model	modelo
moderate	katamtaman
moderate	paluyahon
modern	moderno
modest	disente
moist	mamasa-masa
moisture	halumigmig
mold	pormahon
mold	alamag
mole	arong
mom	ina
moment	momento
monday	lunes
money	kwarta
monitor	subaybay
monkey	ukay
month	bulan
mood	pagmate
moody	sumpungin
moon	bulan
moral	moral
more	dakol
moreover	liban pa kaiyan
morning	aga
mortgage	sangla
most	pinaka
mostly	kadaklan
mother	ina
motion	hiro
motivation	motibasyon
mountain	bulod
mouse	kino
mouth	ngimot
move	hiro
movement	hiro
movie	pelikula
mrs	misis
much	dakol
mud	laboy
mug	tasa
muscle	laman
museum	museo
mushroom	kabute
music	musika
must	kaipuhan
must	dapat
mute	pula
mutual	pareho an pagmate
my	sako
My dear	Sakong namumutan
my friend	sakong katood
My hovercraft is full of eels	Pano nin kasile an hovercraft ko
my love	sakong namumutan
my name is	an pangaran ko
my pleasure	ikinakaogma ko
myself	saridi
mysterious	misteryoso
mystery	misteryo
myth	gibo-gibo
nail	kuko
naive	mayong aram
name	pangaran
narrative	estorya
narrow	hayakpit
nasty	bastos
national	nasyunal
nationality	nasyu
native	katutubo
natural	natural
nature	kapalibutan
nausea	pagkalula
near	harani
nearby	harani
nearly	harani na
neat	malinig
necessary	kaipuhan
neck	liog
necklace	kulintas
need	kaipuhan
need	pangangaipo
negative	negatibo
neglect	pinabayaan
negotiate	makipagkasundo
neighbor	kataed
neighborhood	pagtaraed
neither	arinman bako
nephew	pamangkin na lalaki
nerd	matali
nervous	nerbyos
nest	salagan
net	net
network	konektadong mga bagay
neutral	neutral
never	dai lamang
never give up	dai magsuko
never mind	dai na lugod
nevermind	dai na lang
nevertheless	baga man
new	bago
news	bareta
next	sunod
next to	kataed kan
nice	marhay
nice to meet you	naoogma akong mabisto ka
niece	pamangkin na babaye
night	banggi
nightmare	bangungot
nine	siyam
nineteen	dise nwebe
ninety	nubenta
No	Dai
no problem	mayong problema
no way	mayong dalan
nobody	taong mayong kwenta
noise	ribok
noisy	maribok
none	mayo
noon	udto
nope	bako
nor	ni dai
normal	normal
north	norte
nose	dungo
nostalgic	pagmate pagrumdum sa mga nakaagi
not	bako
not at all	dai talaga
not bad	bakong maraot
Not now	Bako ngonyan
not yet	dai pa
note	tandaan
noted	tinandaan
nothing	mayo
notice	abiso
noticed	nareparo
noun	pangngaran
nouns	pangaran
novel	nobela
november	nobyembre
now	ngonyan
nowadays	ngonyan na mag aldaw
nuisance	istorbo
null	mayong saysay
numb	mayong pagmate
number	numero
nurse	nars
nut	mani
nutmeg	nutmeg
nutrition	nutrisyon
oath	sumpa
obesity	sobrang katabaan
obey	pagsunod
object	bagay
objective	katuyuhan
obligation	obligasyon
obscure	nakatago
observation	obserbasyon
observe	obserbar
obsessed	grabeng pagkagusto
obsession	pagkagusto nin marhay
obsolete	dai na ginagamit
obstacle	harang
obtain	kua
obtained	nakua
obvious	hiling hiling
obviously	hiling hiling
occasionally	paminsan-minsan
occupation	trabaho
occupied	inukupar
occur	nangyari
occurred	nangyari
occurs	nangyari
ocean	kadagatan
october	oktubre
odd	kakaiba
odds	kaulangan
of	nin
of course	syempre
off	punduhon
offensive	nakakaraot buot
offer	alok
offer	mag-alok
office	opisina
official	opisyal
often	pirme
Oh	Ah
oh really	ow talaga
oil	lana
ok	ok
ok dear	ok mahal
ok honey	iyo honey
ok my love	ok sakong namumutan
okay	okay
okay baby	okay baby
okay dear	okay padaba ko
okay honey	okay honey
okay my love	okay sakong namumutan
old	gurang
on	sa ibabaw
once	sarong beses
one	saro
one language is never enough	bakong igo an sarong lenggwahe
onion	sibulyas
online	online
only	iyo sana
open	bukas
operation	operasyon
opinion	opinyon
opportunities	mga oportunidad
opportunity	oportunidad
opposite	kabaliktaran
optimistic	optimistiko
option	opsyon
optional	opsyunal
or	o
orange	kahel
order	isugo
order	order
ordinary	ordinaryo
organization	organisasyon
orientation	oryentasyon
origin	kapinunan
original	orihinal
Oromo	Oromo
orphan	ilo
other	iba
otherwise	sa ibang paagi
ought	kaipuhan
our	sato
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	An samuyang misyon: tanganing tawan nin dalan an gabos, maski saen na maintindihan an kinaban asin ipahayag an saindang sadiri gamit an mga lenggwahe.
Our mission: to organize the world's information and make it universally accessible and useful.	An samuyang misyon: iyo an ayuson an impormasyon sa kinaban asin gibuhon ining na-aaccess asin kapaki-pakinabang sa gabos.
out	luwas
outcome	resulta
outfit	bado
outgoing	paluwas
outlet	saksakan
outline	balangkas
outside	luwas
outstanding	lataw
oven	pugon
over	sa ibabaw
over there	duman
overall	kabilugan
overcome	napangganahan
overthinking	sobrang pag-iisip
overwhelmed	nasobrahan
overwhelming	napakadakula
owe	utang
owl	kwago
own	pagsasadiri
own	sadiri
owner	tagsadiri
ox	lalaking baka
pace	liksi nin lakaw
pack	pakete
pack	ikahon
package	pakete
paid	binayadan
pain	kulog
paint	pinta
painting	pagpinta
pair	padis
pale	malungsi
palm	palad
pan	kawali
pandemic	pandemya
panic	taranta
pants	pantalon
paper	papel
paradise	paraiso
parallel	kahilera
parcel	parsela
pardon	pakiulit
parents	mga magurang
park	parke
parrot	loro
parsley	perehil
part	parte
participate	magpartisipar
particular	partikular
particularly	patikular
partner	kapareha
party	pagtiripon
pass	ipasa
pass	sa susunod na lng
passage	agihan
passed	nakapasar
passion	pasyon
passionate	madubdob
passive	pasibo
password	password
past	nakaagi
patch	tapal
path	dalan
pathetic	kaherak-herak
patience	pasensya
patient	pasyente
patient	mapasensya
pattern	modelo
pause	pundo
pavement	palitada
pay	magbayad
payment	bayad
peace	katoninongan
peaceful	matoninong
peach	melokoton
peak	taas
pear	peras
peas	gisantes
peculiar	kakaiba
pee	nag-iihi
pee	ihi
peel	ubakan
peer	kabarkada
peers	mga pag-iriba
pen	pansurat
pencil	lapis
pending	dai pa tapos
people	mga tawo
pepper	paminta
perceive	pakaintindi
perception	pag-iisip
perfect	perpekto
perform	magsagibo
performance	pagsagibo
perhaps	siguro
period	peryudo
period	panahon
period	tuldok
permanent	permanente
permission	permiso
permit	permiso
perseverance	tiyaga
persistent	mapirit
person	tawo
personal	personal
personality	personalidad
perspective	perspektibo
persuade	dagkahon
pervert	maraot na tawo
pet	ataman na hayop
pet	hapulason
phase	parte
phenomenon	tanda
philosophy	pilosopiya
phone	telepono
photo	litrato
phrase	prase
physical	pisikal
pick	purot
pick up	kuanon
picture	litrato
piece	pidaso
pieces	mga pidaso
pig	orig
pigeon	salampati
pile	pagpatung-patungon
pillow	ulunan
pilot	piloto
pin	idukot
pin	arpilier
pineapple	pinya
pink	rosa
pit	kalot
pitch	itindog
pitch	kalidad nin tunog
pity	herak
place	ilaag
place	lugar
places	mga lugar
places	linaag
plague	salot
plain	simple
plan	plano
plane	eroplano
plant	magtanom
plants	pagtanom
plants	mga pananom
plate	plato
platform	plataporma
play	pagkawat
play	magkawat
playing	nagkakawat
pleasant	magayon
please	makisuyo
please	paki
pleased	naogma
pleasure	kaogmahan
pledge	pangako
plenty	dakolon
plot	estorya
plug	saksakan
plum	seregwelas
plumber	tubero
plural	dakol
podcast	podcast
poem	tula
poetry	mga tula
point	itokdo
point	tuldok
poison	hilo
police	pulis
policy	polisiya
polite	magalang
pollution	polusyon
pond	danaw
pool	karigusan
pool	pag ibahon
poop	udo
poor	pobre
pop	naglataw
popular	popular
population	populasyon
pork	karne nin orig
porridge	lanot
port	pier
position	posisyon
positive	positibo
possess	igwa
possession	pagsadiri
possessive	mapag-angkin
possible	posible
post	poste
post	magpaskil
postpone	napundo
potato	patatas
potential	potensiyal
pound	pukpok
poverty	kapobrehan
power	kuryente
power	kapangyarihan
powerful	makapangyarihan
practical	praktikal
practice	kinasanayan
practice	sanayon
praise	omaw
prank	kalokohan
pray	pamibi
precious	mahalaga
precise	eksakto
precisely	eksakto
predict	hula
prefer	mas gusto
preference	preperensiya
pregnant	bados
prejudice	baong marhay na opinyon
premises	palibot
premium	pinakamakalidad
preparation	preparasyon
prepare	preparar
prepared	preparado
preposition	pang-ukol
presence	presensiya
present	regalo
present	presente
presentation	presentasyon
preserve	preserbar
president	presidente
press	pinindot
press	pindot
pressure	pamumuwersa
pretend	magpanggap
pretty	medyo
pretty	magayon
prevent	pugulan
previous	kan nakaagi
prey	dakop
price	presyo
pride	mapalangkaw
priest	padi
primary	pangenot
prime	pangenot
princess	prinsesa
principal	prinsipal
prior	bago pa man
priority	prayuridad
prison	presuhan
privacy	pagkapribado
private	pribado
privilege	pribelihiyo
prize	premyo
probably	baad
problem	problema
procedure	proseso
proceed	magpadagos
process	proseso
process	iproseso
produce	magbunga
product	produkto
production	produksiyon
profession	propesyon
professional	propesyunal
profile	hitsura
profit	tubo
profound	hararom
progress	uswag
progress	pag-uswag
project	proyekto
prominent	prominente
promise	ipangako
promise	pangako
promote	ilangkaw
promotion	promosyon
prompt	madali
prone	pirme
pronouns	panghalip
pronunciation	pagsabi
proof	patunay
proper	angay
properly	sa tama
properties	mga pagsadiri
property	pagsadiri
proposal	suhestiyon
prospect	linalaoman
prosperity	prosperidad
prosperous	mauswag
protect	protekta
proud	orgulyo
prove	patunayan
provide	magtao
provided	itinao
province	probinsiya
provision	probisyon
puberty	pagdadaraga
public	publiko
pull	butungon
pumpkin	karabasa
punctual	amay
pupil	estudyante
purchase	bakal
pure	puro
purple	lila
purpose	katuyuhan
purse	pitaka
pursue	magpadagos
pursuit	mga inaabot
push	ibusol
put	laag
qualification	kwalipikasyon
quality	kwalidad
quality	kalidad
quantity	kadakulan
quarantine	seneparar
quarrel	nag-iiwal
quarrel	iwal
quarter	unquarto
Quechua	Quechua
queen	reyna
queer	nalilibong
query	kahapotan
question	hapot
queue	pila
queue	ipila
quick	madali
quickly	dali-dali
quiet	silensyo
quilt	kubrekama
quit	magpundo
quite	lubos
quite	halos
quiz	iksamen
quotation	kotasyon
quote	banggit
quote	binanggit
quotes	kasabihan
rabbit	kuneho
race	lahi
rage	anggot
rain	uran
raise	itaas
raise	umento
raised	itaas
ran	nagdalagan
random	maski arin sana
range	sa pagtangaan
rapid	madali
rapidly	makaskas
rare	bihira
rarely	bihira
rash	pantal
rat	kino
rate	presiyo
rather	kaysa
ratio	proporsyon
rational	maheherakon
raw	hilaw
reach	abot
reached	naabot
reaction	reaksiyon
read	basa
reading	nagbabasa
ready	handa
real	tunay
reality	realidad
realize	reyalisar
realized	reyalisar
really	talaga
rear	likod
reason	rason
reasonable	rasonable
recall	isipon giraray
receipt	resibo
receive	nakaresibe
received	nag-ako
recent	ngonyan pa sana
recently	kan suarin pa sana
reception	resepsyon
recipe	paagi nin pagluluto
reckless	daing ingat
recognition	pagkamidbid
recognize	mamibdidan
recommend	rinekomenda
recommended	irenerekomenda
record	listahan
record	rekord
recover	mabawi
recovery	pagrahay
rectangle	rektanggulo
red	pula
redeem	tubos
redemption	pagtubos
reduce	bawasan
redundant	pauro-utro
refer	itukdo
reference	reperensiya
reflect	ipahiling
reflection	aninag
refrain	magpugol
refrigerator	ref
refund	balik bayad
refuse	habuan
refused	sinayumahan
regard	konsideraron
regarding	tungkol sa
regardless	anuman an
regards	manungod
region	rehiyon
register	rehistro
regret	nanghihinayang
regular	regular
regularly	regular
reject	sikwal
relate	konektar
related	konektado
relationship	relasyon
relative	paryentes
relative	may koneksyon sa
relatives	partedaryo
relax	pahingalo
release	pagtao
release	itinao
released	pinalaya
relevant	may koneksiyon
reliable	maaasahan
relief	kaginhawahan
relieve	maginhawahan
relieved	naginhawahan
religion	relihiyon
religious	relihiyoso
reluctant	nagduduwa duwa
rely	maglaom
remain	magdanay
remaining	nawawalat
remarkable	karepareparo
remedy	solusyon
remember	rumdom
remind	parumdumon
reminder	pagirumdom
remote	harayo
remote	gamit pang kontrol nin TV
remove	haleon
render	magtao
rent	renta
repair	irahayon
repeat	uliton
replace	salidahan
reply	simbagon
reply	simbag
report	saysay
report	ipaisi
represent	representar
reputation	repustayon
request	kahagadan
request	maghagad
require	kahagadan
required	kaipuhan
rescue	paliligtas
research	pagsisiyasat
resemble	kapandok
resentment	raot nin buot
reservation	reserbasyon
reserve	reserba
resident	residente
resign	naghale sa trabaho
resilience	katatagan
resilient	matatag
resist	labanan
resistance	paglaban
resolution	resolusyon
resolve	masolusyunan
resort	karigusan
resources	pinagkukuanan
respect	irespeto
respect	respeto
respond	simbag
response	simbag
responsibility	responsabilidad
responsible	responsable
rest	pahingalo
rest in peace	nagpahingalo na
restaurant	restawran
restore	ibalik
restrict	higpitan
result	resulta
results	mga resulta
resume	magpadagos
retail	tingi
retain	padanayon
retention	padanayon
retired	dai na nagtatrabaho
retreat	suko
retrieve	kinua
return	ibalik
reveal	ibunyag
revealed	sabihon
revenge	paghihiganti
revenue	kita
reverse	baliktadon
review	rebyu
revise	ibahon
revision	rebisyon
revolution	rebolusyon
reward	premyo
rhythm	ritmo
rib	gusok
rice	maluto
rich	mayaman
rid	haleon
ride	sakay
ride	mag-sakay
ridiculous	makangirit
right	tama
right	too
right now	ngonyan
rigid	matibay
ring	singsing
rinse	balnawan
riot	iriwal
rip	gisi
rip	gision
ripe	hinog
rise	bumuhat
rise	pagbuhat
risk	isapeligro
risk	peligro
rival	ribal
river	salog
road	tinampo
roast	maglandag
robust	matipuno
rock	gapo
rod	balbag
role	gagampanan
roll	ligid
roof	bubong
room	kwarto
root	gamot
rope	lubid
rotten	lapa
rough	garapgasapon
roughly	halos
round	bilog
route	ruta
routine	rutina
row	linya
rub	kuskos
rubber	goma
rubbish	basura
rude	bastos
rug	trapo
ruin	destroso
rule	regulasyon
ruler	ruler
rules	regulasyon
run	magdalagan
running	nagdadalagan
rural	sa kabukidan
rush	paghidali
rush	maghidali
