abandoned	ꯊꯥꯗꯣꯛꯄ
caring	ꯆꯦꯛꯁꯤꯟꯕꯤꯕꯒꯤ ꯃꯇꯧ
carpenter	ꯎ ꯁꯨꯕ ꯃꯤ
carpet	ꯗꯔꯤ
carrot	ꯒꯖꯔ
carry on	ꯃꯈꯥ ꯆꯠꯊꯧ
carry out	ꯄꯥꯡꯊꯣꯛꯄ
carry	ꯄꯨꯕ
car	ꯀꯥꯔ
case	ꯃꯈꯨꯝ
cash	ꯁꯦꯜ
castle	ꯂꯥꯟꯕꯟ
cast	ꯍꯩꯕ
casual	ꯊꯣꯋꯥ ꯁꯥꯗꯕ
catch	ꯑꯣꯛꯄ
category	ꯀꯥꯡꯂꯨꯞ
cattle	ꯁꯥ ꯁꯟ
cat	ꯍꯧꯗꯣꯡ
caught	ꯐꯥꯕ
cause	ꯃꯔꯝ
caution	ꯆꯦꯛꯁꯤꯟꯒꯗꯕ
cautious	ꯆꯦꯛꯁꯤꯟꯕ
cave	ꯁꯨꯔꯨꯡ
cease	ꯂꯣꯏꯁꯤꯟꯍꯟꯕ
ceiling	ꯌꯨꯝꯊꯛ
celebrate	ꯅꯨꯡꯉꯥꯏꯕ ꯐꯣꯡꯗꯣꯛꯄ
cell	ꯀꯥꯈꯜ
center	ꯃꯌꯥꯏ
century	ꯆꯍꯤꯆꯥ
cereal	ꯑꯄꯧꯕ ꯆꯦꯡ ꯍꯋꯥꯏ
ceremony	ꯊꯧꯔꯝ
certainly	ꯁꯣꯏꯗꯅ
certain	ꯑꯀꯛꯅꯕ
certificate	ꯁꯔꯇꯤꯐꯤꯀꯦꯠ
chain	ꯄꯔꯦꯡ
chair	ꯆꯧꯀ꯭ꯔꯤ
challenge	ꯆꯤꯡꯅꯕ
chance	ꯈꯨꯗꯣꯡꯆꯥꯕ
change	ꯍꯣꯡꯕ
chaos	ꯆꯔꯥꯡꯅꯕ
characteristics	ꯃꯇꯤꯛ ꯃꯒꯨꯟ
character	ꯂꯤꯆꯠ ꯁꯥꯖꯠ
charge	ꯂꯥꯟꯗꯥꯕ
charity	ꯇꯦꯡꯕꯥꯡ
charming	ꯄꯨꯛꯅꯤꯡ ꯍꯨꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕ
chart	ꯃꯐꯝ ꯑꯃꯒꯤ ꯃꯦꯞ ꯌꯦꯛꯄ
chase	ꯇꯥꯟꯅꯕ
chat	ꯋꯥꯔꯤ ꯁꯥꯕ
cheap	ꯑꯍꯣꯡꯕ
cheating	ꯅꯝꯊꯥꯛ ꯇꯧꯕ
cheat	ꯅꯝꯊꯥꯛ ꯇꯧꯕ
check	ꯌꯦꯡꯁꯤꯟꯕ
cheek	ꯈꯖꯥꯏ
cheerful	ꯍꯔꯥꯎ ꯅꯨꯡꯉꯥꯏꯕ
cheers	ꯅꯨꯡꯉꯥꯏꯕ ꯐꯣꯛꯗꯣꯛꯄ
cheer	ꯅꯨꯡꯉꯥꯏꯍꯟꯕ
cheese	ꯁꯪꯒꯣꯝ ꯃꯄꯥꯟ
chemistry	ꯀꯦꯃꯤꯁꯇ꯭ꯔꯤ
cherish	ꯅꯨꯡꯉꯥꯡꯕ
chess	ꯁꯇ꯭ꯔꯪ
chest	ꯊꯕꯥꯛ
chew	ꯁꯥꯏꯕ
chicken	ꯌꯦꯟꯅꯥꯎ ꯃꯆꯥ
chief	ꯃꯀꯣꯛ
childhood	ꯑꯉꯥꯡ ꯑꯣꯏꯔꯤꯉꯩ ꯃꯇꯝ
children	ꯑꯉꯥꯡꯁꯤꯡ
child	ꯑꯉꯥꯡ
chill	ꯌꯥꯝꯅ ꯏꯪꯕ
chimneys	ꯃꯩꯈꯨ ꯊꯣꯛꯐꯝꯁꯤꯡ
chin	ꯈꯗꯥꯡ
chocolate	ꯆꯣꯀꯣꯂꯦꯠ
choice	ꯑꯄꯥꯝꯕ
choose	ꯈꯂꯂꯨ
chop	ꯀꯛꯄ
chores	ꯅꯨꯡꯇꯤꯒꯤ ꯑꯣꯏꯕ ꯏꯃꯨꯡꯃꯅꯨꯡꯒꯤ ꯊꯕꯛꯁꯤꯡ
chubby	ꯅꯣꯏꯕ
church	ꯆꯔꯆ
cinnamon	ꯎꯁꯤꯡꯁꯥ
circle	ꯑꯀꯣꯏꯕ
circumstances	ꯇꯥꯟꯖꯥ
citizen	ꯅꯥꯒ꯭ꯔꯤꯛ
city	ꯁꯍꯔ
claim	ꯏꯁꯥꯒꯤꯅꯤ ꯇꯥꯛꯄ
clarify	ꯁꯦꯡꯗꯣꯛꯄ
class	ꯀ꯭ꯂꯥꯁ
clay	ꯂꯩꯈꯣꯝ
clean	ꯁꯦꯡꯗꯣꯛꯄ
clear	ꯑꯁꯦꯡꯕ
clerk	ꯆꯦ ꯁꯨꯕ ꯃꯤ
clever	ꯑꯁꯤꯡꯕ
client	ꯀ꯭ꯂꯥꯏꯟꯠ
cliff	ꯆꯤꯡꯆꯦꯞ
climate	ꯑꯏꯪꯑꯁꯥ
climb	ꯀꯥꯕ
clingy	ꯅꯞꯀꯟꯕ
clock	ꯘꯔꯤ
closet	ꯎꯄꯨ
close	ꯈꯨꯝꯖꯤꯟꯕ
clothes	ꯐꯤꯔꯣꯜ
cloth	ꯐꯤ
cloudy	ꯂꯩꯆꯤꯜ ꯊꯥꯕ
cloud	ꯂꯩꯆꯤꯜ
clown	ꯐꯥꯒꯤ ꯇꯧꯕ ꯃꯤ
clue	ꯂꯪꯂꯥ ꯂꯪꯖꯤꯟ
clumsy	ꯆꯦꯛꯁꯤꯟꯗꯕ
cluster	ꯃꯄꯩ
coal	ꯀꯣꯏꯂꯥ
coast	ꯁꯃꯨꯗ꯭ꯔ ꯇꯣꯔꯕꯥꯟ
coat	ꯃꯔꯣꯜ
coffee	ꯀꯣꯐꯤ
cognitive	ꯂꯧꯁꯤꯡ ꯇꯥꯟꯕꯒꯤ ꯊꯧꯑꯣꯡ
coincidence	ꯇꯥꯟ ꯆꯥꯟꯅꯕ
cold	ꯏꯪꯕ
collapse	ꯋꯥꯟꯡꯕ
collar	ꯐꯨꯔꯤꯠꯀꯤ ꯉꯛꯁꯝ ꯃꯄꯥꯗ ꯌꯥꯎꯔꯤꯕ
colleagues	ꯃꯔꯨꯞꯁꯤꯡ
colleague	ꯃꯔꯨꯞ
collection	ꯈꯣꯝꯖꯤꯟꯕ
collect	ꯈꯣꯝꯖꯤꯟꯕ
college	ꯀꯣꯂꯦꯖ
colorless green ideas slept furiously	ꯃꯆꯨ ꯊꯣꯛꯇꯕ ꯑꯁꯪꯕ ꯋꯥꯈꯜꯂꯣꯟꯅ ꯀꯟꯅ ꯇꯨꯝꯂꯤ
color	ꯝꯆꯨ
colour	ꯃꯆꯨ
column	ꯌꯨꯝꯕꯤ
combination	ꯄꯨꯟꯁꯤꯟꯕ
combine	ꯄꯨꯅꯁꯤꯟꯅꯕ
comb	ꯁꯝꯖꯦꯎ
come here	ꯁꯤꯗ ꯂꯥꯛꯎ
come on	ꯂꯥꯛꯑꯣ
come	ꯂꯥꯛꯎ
comfortable	ꯅꯨꯡꯉꯥꯏꯕ
comfort	ꯅꯨꯡꯉꯥꯏꯕ
coming soon	ꯊꯨꯅꯥ ꯂꯥꯛꯂꯒꯅꯤ
coming	ꯂꯥꯛꯂꯒꯦ
command	ꯌꯥꯊꯪ ꯄꯤꯕ
comment	ꯋꯥꯐꯝ ꯊꯝꯕ
commercial	ꯁꯦꯜ ꯇꯥꯟꯅꯕ
commission	ꯑꯇꯣꯞꯄꯗ ꯄꯥꯎꯇꯥꯛ ꯄꯤꯕ
commitment	ꯈꯣꯡꯐꯝ ꯆꯦꯠꯄ
committed	ꯊꯥꯖꯕ ꯄꯤꯈ꯭ꯔꯕ
commit	ꯈꯣꯡꯐꯝ ꯆꯦꯠꯄ
commodity	ꯄꯣꯠꯂꯝ
common	ꯃꯥꯟꯅꯅ ꯑꯣꯏꯒꯟꯕ
communicate	ꯄꯥꯎ ꯐꯥꯎꯅꯕ
communication	ꯄꯥꯎ ꯐꯥꯎꯕ
community	ꯈꯨꯟꯅꯥꯏ
commute	ꯆꯠꯡꯣꯈ ꯆꯠꯁꯤꯟ ꯇꯧꯕ
companion	ꯂꯣꯏꯅꯕ ꯃꯤꯑꯣꯏ
company	ꯃꯔꯨꯞ ꯃꯄꯥꯡ
compare	ꯆꯥꯡꯗꯝꯅꯕ
comparison	ꯆꯥꯡꯗꯝꯅꯕ
compassionate	ꯑꯇꯣꯞꯄꯗ ꯃꯤꯅꯨꯡꯁꯤ ꯎꯠꯄ
compassion	ꯃꯤꯒꯤ ꯑꯋꯥꯕ ꯈꯪꯕ
compatible	ꯆꯨꯅꯕ
competent	ꯇꯉꯥꯏ ꯐꯗꯕ ꯃꯍꯩ ꯍꯩꯕ
compete	ꯆꯥꯡꯌꯦꯡꯅꯕ
competition	ꯆꯥꯡꯌꯦꯡꯅꯕ
competitive	ꯆꯥꯡꯗꯝꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕ
complaint	ꯋꯥꯀꯠꯄ
complain	ꯋꯥꯀꯠꯄ
complement	ꯊꯥꯒꯠꯄ
completely	ꯃꯄꯨꯡ ꯐꯥꯕ
complete	ꯃꯄꯨꯡ ꯐꯥꯕ
complex	ꯂꯨꯕ
compliance	ꯀꯥꯡꯂꯣꯟ ꯏꯅꯕ
complicated	ꯌꯥꯝꯅ ꯂꯨꯕ
compliment	ꯊꯥꯒꯠꯄ
comply	ꯋꯥ ꯏꯅꯕ
composition	ꯃꯆꯜ
compound	ꯁꯨꯃꯥꯡ
comprehension	ꯈꯛꯕ ꯉꯃꯕꯒꯤ ꯆꯥꯡ
comprehensive	ꯄꯨꯝꯅꯃꯛ ꯁꯨꯕ
compromise	ꯌꯥꯁꯤꯟꯅꯕ ꯄꯨꯔꯛꯄ
compulsory	ꯁꯣꯏꯗꯅ ꯆꯪꯒꯗꯕ
computer	ꯀꯝꯄ꯭ꯌꯨꯇꯔ
concentrate	ꯍꯤꯔꯝ ꯑꯃꯗ ꯃꯄꯨꯡ ꯑꯣꯏꯅ ꯅꯩꯅꯕ
concept	ꯋꯥꯈꯜꯂꯣꯟ
concerned	ꯈꯟꯕ
concern	ꯈꯟꯖꯤꯟꯕ
concert	ꯃꯤꯌꯥꯝ ꯃꯃꯥꯡꯗ ꯄꯥꯡꯊꯣꯛꯄ ꯏꯁꯩꯒꯤ ꯊꯔꯝ
conclusion	ꯂꯣꯏꯁꯤꯟꯕ
concrete	ꯑꯀꯟꯕ
conditions	ꯍꯤꯔꯝꯁꯤꯡ
condition	ꯐꯤꯚꯝ
conduct	ꯄꯥꯡꯊꯣꯛꯄ
conference	ꯑꯄꯥꯝꯕ ꯃꯥꯟꯅꯕ ꯃꯤꯌꯥꯝꯒꯤ ꯃꯤꯐꯝ
confess	ꯃꯔꯥꯜ ꯌꯥꯖꯕ
confidence	ꯊꯥꯖꯕ
confident	ꯊꯥꯖꯕ ꯂꯩꯕ
confirm	ꯌꯥꯕ
conflict	ꯆꯌꯦꯠꯅꯕ
confused	ꯆꯝꯃꯅꯕ
confusion	ꯆꯃꯝꯅꯕ
congrats	ꯊꯥꯒꯠꯆꯔꯤ
congratulations	ꯊꯥꯒꯠꯆꯔꯤ
congratulation	ꯊꯥꯒꯠꯆꯔꯤ
conjunction	ꯃꯔꯤ ꯂꯩꯟꯅ
connect	ꯁꯝꯅꯕ
conquer	ꯈꯨꯗꯨꯝ ꯆꯟꯕ
consciousness	ꯋꯥꯈꯜ ꯇꯥꯕ
conscious	ꯚꯥꯕ ꯇꯥꯕ
consent	ꯑꯌꯥꯕ ꯄꯤꯕ
consequences	ꯃꯍꯩ
conservation	ꯌꯣꯛꯈꯠꯄꯒꯤ ꯊꯧꯑꯣꯡ
conservative	ꯋꯥꯈꯜ ꯄꯤꯛꯄ
considered	ꯈꯟꯅꯕ
consider	ꯈꯅꯅꯁꯤ
consistency	ꯂꯦꯡꯗꯅ ꯂꯩꯕ
consistent	ꯍꯣꯡꯕ ꯅꯥꯏꯗꯕ
consist	ꯃꯅꯨꯡ ꯆꯟꯕ
constantly	ꯂꯦꯞꯇꯅ ꯆꯠꯊꯕ
constant	ꯂꯦꯡꯗꯕ
constipation	ꯈꯣꯉ ꯍꯥꯝꯕ ꯌꯥꯗꯕ
construction	ꯁꯥꯒꯠꯄ
consume	ꯁꯤꯖꯤꯟꯅꯕ
consumption	ꯁꯤꯖꯤꯟꯅꯕꯒꯤ ꯆꯥꯡ
contact	ꯄꯥꯎ ꯐꯥꯎꯕ
contagious	ꯂꯧꯅꯒꯟꯕ
contains	ꯃꯅꯨꯡꯗ ꯌꯥꯎꯔꯤꯕ
contain	ꯌꯥꯎꯕ
contemporary	ꯃꯥꯟꯅꯕ ꯃꯇꯝꯒꯤ
contempt	ꯌꯥꯅꯤꯡꯗꯕ ꯎꯠꯄ
content	ꯑꯌꯥꯎꯕ
contest	ꯆꯥꯡꯌꯦꯡꯅꯕ
context	ꯋꯥꯐꯝ
continent	ꯃꯍꯥꯗꯦꯁ
continue	ꯃꯈꯥ ꯆꯠꯊꯕ
contract	ꯌꯥꯟ ꯋꯥꯔꯣꯜ
contrast	ꯆꯨꯅꯗꯕ
contribute	ꯁꯔꯨꯛ ꯇꯝꯕ
contribution	ꯁꯔꯨꯛ ꯇꯝꯕ
control	ꯂꯥꯛꯁꯤꯟꯕ
controversial	ꯆꯌꯦꯠꯅꯕ
convenience	ꯈꯨꯗꯣꯡꯆꯥꯕ
convenient	ꯏꯁꯥꯒꯤ ꯅꯨꯡꯉꯥꯏꯕ
conversation	ꯋꯥꯔꯤ ꯋꯥꯇꯥꯏ ꯁꯥꯕ
convert	ꯑꯣꯟꯊꯣꯛꯄ
convey	ꯇꯝꯕꯤꯕ
convinced	ꯊꯥꯖꯍꯟꯕ
convince	ꯊꯥꯖꯍꯟꯕ
cooking	ꯆꯥꯛ ꯊꯣꯡꯂꯤꯕ
cook	ꯊꯣꯡꯕ
cool	ꯑꯌꯤꯡꯕ
cooperation	ꯇꯦꯡꯕꯥꯡꯅꯕ
cope	ꯃꯥꯏꯌꯣꯛꯅꯕ
copper	ꯀꯣꯔꯤ
core	ꯃꯌꯥꯏ
corner	ꯀꯥꯆꯤꯟ
corn	ꯆꯨꯖꯥꯛ
correct	ꯆꯨꯝꯃꯦ
costume	ꯐꯤꯖꯣꯜ
cost	ꯑꯄꯤꯕꯥ ꯃꯃꯜ
cottage	ꯈꯥꯡꯄꯣꯛꯁꯪ
cotton	ꯂꯁꯤꯡ
couch	ꯄꯣꯊꯥꯐꯝ
cough	ꯂꯣꯛ ꯈꯨꯕ
council	ꯄꯥꯎꯇꯥꯛ ꯄꯤꯅꯕ ꯂꯩꯕ ꯃꯤꯑꯣꯏ ꯀꯥꯛꯂꯨ ꯑꯃ
counter	ꯊꯦꯡꯅꯕ
countryside	ꯆꯤꯡꯌꯥ ꯇꯝꯌꯥ
country	ꯂꯩꯕꯥꯛ
count	ꯃꯁꯤꯡ ꯊꯤꯕ
couple	ꯃꯇꯩ ꯃꯅꯥꯎ
courage	ꯊꯣꯅꯥ
course	ꯂꯝꯕꯤ
courtesy	ꯏꯀꯥꯏ ꯈꯨꯝꯅꯕ ꯎꯠꯄ
court	ꯋꯥꯌꯦꯜꯁꯪ
cousin	ꯄꯣꯛꯃꯤꯟꯅꯗꯕ ꯏꯆꯤꯜ ꯏꯅꯥꯎ
cover	ꯃꯥꯏꯈꯨꯝ
coward	ꯀꯤꯒꯟꯕ ꯃꯤꯑꯣꯏ
cow	ꯁꯟ
cozy	ꯅꯨꯡꯉꯥꯏꯕ
crab	ꯋꯥꯏꯈꯨ
crack	ꯆꯦꯈꯥꯏꯕ
craft	ꯈꯨꯠꯀꯤ ꯍꯩ ꯁꯤꯡꯕ
crap	ꯌꯥꯝꯅ ꯐꯠꯇꯕ
crash	ꯊꯦꯡꯒꯥꯏꯅꯕ
craving	ꯆꯥꯅꯤꯡꯕ ꯐꯥꯎꯕ
crawl	ꯁꯤꯠꯇꯨꯅꯥ ꯆꯠꯄ
crazy	ꯑꯉꯥꯎꯕ
create	ꯁꯦꯝꯕ
creative	ꯈꯨꯠꯁꯥ ꯍꯩꯕ
credit	ꯃꯅꯥ ꯄꯤꯕ
creepy	ꯑꯀꯤ ꯑꯈꯪ ꯐꯥꯎꯕ
creep	ꯇꯞꯅ ꯂꯦꯡꯕ
crew	ꯇꯦꯡꯕꯥꯡꯅꯕ ꯂꯩꯔꯤꯕ ꯃꯤꯑꯣꯏ
crime	ꯑꯔꯥꯟꯕ ꯊꯧꯑꯣꯡ ꯇꯧꯕ
cringe	ꯍꯩꯅꯗꯕ
crisis	ꯏꯔꯥꯡ
criteria	ꯃꯊꯧ ꯇꯥꯕ ꯍꯤꯔꯝ
critical	ꯃꯔꯤ ꯑꯣꯏꯕ
criticism	ꯐꯩ ꯐꯠꯇꯦ ꯅꯩꯟꯕ
crops	ꯃꯍꯩ ꯃꯔꯣꯡꯁꯤꯡ
crop	ꯃꯍꯩꯃꯔꯣꯡ
cross	ꯂꯥꯅꯕ
crowded	ꯃꯤ ꯀꯨꯛꯕ
crowd	ꯃꯤꯔꯛ
crown	ꯂꯨꯍꯨꯞ
crow	ꯀ꯭ꯋꯥꯛ
crucial	ꯃꯔꯨ ꯑꯣꯏꯕ
cruel	ꯇꯝꯊꯤꯕ
cruise	ꯆꯪꯁꯤꯟꯕ
crush	ꯆꯞꯈꯥꯏꯕ
cry	ꯀꯞꯄ
cucumber	ꯊꯕꯤ
cuddle	ꯇꯥꯁꯤꯟꯕ
culture	ꯆꯠꯅꯕꯤ
cunning	ꯅꯝꯊꯥꯛ ꯍꯩꯕ
cupboard	ꯎꯄꯨ
cup	ꯀꯞ
curb	ꯑꯊꯦꯛꯄ
cure	ꯃꯥꯏ ꯄꯥꯛꯅ ꯂꯥꯏꯌꯦꯡꯕ
curfew	ꯀꯅꯥ ꯑꯃꯠꯇ ꯃꯄꯥꯟ ꯊꯣꯛꯄ ꯌꯥꯗꯕ
curiosity	ꯈꯪꯅꯤꯡꯕ ꯐꯥꯎꯕ
curious	ꯈꯪꯅꯤꯡꯕ ꯐꯥꯎꯕ
curly	ꯀꯣꯟꯕ
currency	ꯁꯦꯟꯌꯦꯛ
currently	ꯍꯧꯖꯤꯛꯀꯤ ꯑꯣꯏꯅ
current	ꯍꯧꯖꯤꯛꯀꯤ
curse	ꯁꯥꯞ
curtain	ꯄꯔꯗꯥ
cushion	ꯃꯣꯟꯇꯦꯛ
customer	ꯀꯁꯇꯃꯔ
customs	ꯆꯠꯅꯕꯤꯁꯤꯡ
custom	ꯆꯠꯅꯕꯤ
cute	ꯌꯦꯡꯕꯗ ꯅꯨꯡꯁꯤꯕ
cut	ꯀꯛꯄ
cycle	ꯀꯣꯏꯗꯥꯅꯕ
cycling	ꯁꯥꯏꯀꯜ ꯊꯧꯕ
daddy	ꯃꯄꯥꯕꯨꯡ
dad	ꯏꯄꯥ
daily	ꯅꯨꯡꯇꯤꯒꯤ
dairy	ꯁꯪꯒꯣꯝꯒꯤ ꯄꯣꯠꯊꯣꯛ
damage	ꯑꯁꯣꯛ ꯑꯄꯟ ꯅꯪꯕ
damp	ꯑꯆꯣꯠꯄ
dam	ꯗꯥꯝ
dance	ꯖꯒꯣꯏ
dangerous	ꯈꯨꯗꯣꯡꯊꯤꯅꯤꯡꯉꯥꯏ ꯑꯣꯏꯕ
danger	ꯈꯨꯗꯣꯡꯊꯤꯕ
dark	ꯑꯃꯝꯕ
darling	ꯅꯨꯡꯁꯤꯕꯤ
dash	ꯆꯦꯟꯈꯤꯕ
data	ꯏ ꯄꯥꯎ
date	ꯇꯥꯡ
daughter	ꯃꯆꯥꯅꯨꯄꯤ
day	ꯅꯨꯃꯤꯠ
deadline	ꯑꯔꯣꯏꯕ ꯃꯇꯝ
dead	ꯑꯁꯤꯕ
deaf	ꯃꯅꯥ ꯇꯥꯊꯤꯕ
deal	ꯊꯦꯡꯅꯕ
Dear All	ꯅꯨꯡꯁꯤꯔꯕ ꯄꯨꯝꯅꯃꯛ
Dear Customer	ꯅꯨꯡꯁꯤꯔꯕꯥ ꯀꯁꯇꯃꯔ
Dear Parents	ꯅꯨꯡꯁꯤꯔꯕ ꯏꯃꯥ ꯏꯄꯥ
Dear Sir	ꯅꯨꯡꯁꯤꯔꯕ ꯑꯣꯖꯥ
Dear students	ꯅꯨꯡꯁꯤꯔꯕ ꯃꯍꯩꯔꯣꯏꯁꯤꯡ
Dear Team	ꯅꯨꯡꯁꯤꯔꯕ ꯇꯤꯝ
dear	ꯅꯨꯡꯁꯤꯔꯕ
death	ꯁꯤꯕ
debate	ꯃꯔꯩ ꯌꯦꯠꯅꯕ
debit	ꯂꯧꯊꯣꯛꯈꯤꯕ
debris	ꯑꯀꯥꯏ ꯑꯇꯣꯏ
debt	ꯁꯦꯟꯗꯣꯟ
decade	ꯆꯍꯤ ꯇꯔꯥꯒꯤ ꯈꯨꯖꯤꯡ
decay	ꯄꯠꯊ ꯄꯨꯝꯊꯕ
deceased	ꯂꯩꯈꯤꯗ꯭ꯔꯕ
deceive	ꯃꯤꯅꯝꯕ
december	ꯗꯤꯁꯦꯝꯕꯔ
decent	ꯑꯐꯕ
decided	ꯋꯥꯔꯦꯞ ꯂꯧꯔꯦ
decide	ꯋꯥꯔꯦꯞ ꯂꯧꯕ
decision	ꯋꯥꯔꯦꯞ
deck	ꯖꯍꯥꯖꯀꯤ ꯂꯦꯞꯐꯝ
decline	ꯃꯔꯥꯏ ꯆꯥꯏꯊꯕ
decrease	ꯍꯟꯊꯕ
dedicated	ꯀꯠꯊꯣꯛꯂꯕ
dedication	ꯀꯠꯊꯣꯛꯞ
deed	ꯊꯧꯑꯣꯡ
deep	ꯑꯔꯨꯕ
deer	ꯁꯖꯤ
default	ꯀꯥꯡꯂꯣꯟ ꯏꯟꯗꯕ
defeat	ꯃꯥꯏꯊꯤꯕ ꯄꯤꯕ
defend	ꯉꯥꯛꯊꯣꯛꯄ
define	ꯇꯥꯛꯎ
definitely	ꯁꯣꯛꯁꯣꯏ ꯁꯣꯏꯗꯅ
definition	ꯋꯥꯡꯟꯊꯣꯛ
degree	ꯆꯥꯡ
delayed	ꯊꯦꯡꯊꯕ
delay	ꯊꯦꯡꯊꯕ
delete	ꯃꯨꯊꯠꯄ
deliberate	ꯇꯧꯒꯦ ꯈꯟꯅ ꯇꯧꯕ
delicate	ꯊꯣꯠ ꯅꯧꯕ
delicious	ꯌꯥꯝꯅ ꯍꯥꯎꯕ
delighted	ꯅꯨꯡꯉꯥꯏꯔꯦ
delight	ꯅꯨꯡꯉꯥꯏꯕ
delivered	ꯄꯤꯈ꯭ꯔꯕ
delivery	ꯄꯤꯊꯣꯛꯄ
deliver	ꯄꯤꯕ
demanding	ꯌꯥꯊꯪ ꯌꯥꯝꯅ ꯄꯤꯒꯟꯕ
demand	ꯄꯤꯅꯕ ꯍꯥꯏꯕ
democracy	ꯒꯅꯇꯟꯇ꯭ꯔ
demonstrate	ꯎꯠꯄ
demon	ꯍꯤꯡꯆꯥꯕ
denied	ꯑꯌꯥꯕ ꯄꯤꯗ꯭ꯔꯕ
density	ꯀꯨꯡꯕꯒꯤ ꯆꯥꯡ
dentist	ꯌꯥ ꯂꯥꯏꯌꯦꯡꯕ ꯃꯤ
deny	ꯌꯥꯅꯤꯡꯗꯕ
department	ꯕꯤꯚꯥꯒ
departure	ꯆꯠꯄ
depend	ꯃꯈꯥ ꯄꯣꯟꯕ
deploy	ꯁꯤꯖꯤꯟꯅꯕ
deposit	ꯊꯝꯖꯤꯟꯕ
depressed	ꯋꯥꯈꯜ ꯋꯥꯕ
depression	ꯋꯥꯈꯜ ꯑꯋꯥꯕ ꯈꯟꯖꯤꯟꯕ
depth	ꯑꯔꯨꯕ
describe	ꯁꯟꯗꯣꯛꯅ ꯇꯥꯛꯄ
description	ꯋꯥꯔꯣꯜ
desert	ꯃꯔꯨꯚꯨꯃꯤ
deserve	ꯐꯪꯐꯝ ꯊꯣꯛꯄ
designation	ꯐꯝꯊꯣꯜ
design	ꯃꯑꯣꯡ ꯃꯇꯧ
desire	ꯑꯄꯥꯝꯕ
desk	ꯐꯥꯂ
despair	ꯑꯋꯥꯕ
desperate	ꯉꯥꯏꯉꯝꯗꯕ
despite	ꯃꯗꯨ ꯑꯣꯏꯔꯕꯁꯨ
dessert	ꯑꯊꯨꯝꯕ
destination	ꯄꯟꯊꯨꯡꯐꯝ
destiny	ꯃꯔꯥꯏꯕꯛ
destroy	ꯊꯨꯒꯥꯏꯕ
destruction	ꯊꯨꯒꯥꯏꯕ
details	ꯑꯀꯨꯞꯄ ꯃꯔꯣꯜ
detail	ꯑꯀꯨꯞꯄ ꯃꯔꯣꯜ
detect	ꯈꯪꯗꯣꯛꯄ
determination	ꯋꯥꯈꯜ ꯂꯦꯞꯄꯒꯤ ꯆꯥꯡ
determined	ꯈꯣꯡꯐꯝ ꯆꯦꯠꯄ
determine	ꯈꯪꯗꯣꯛꯄ
devastated	ꯋꯥꯈꯜ ꯆꯥꯏꯕ
developed	ꯆꯥꯎꯈꯠꯂꯕ
development	ꯆꯥꯎꯈꯠꯄ
develop	ꯁꯦꯝꯒꯠ ꯁꯥꯒꯠꯄ
device	ꯈꯨꯠꯂꯥꯏ
devil	ꯐꯠꯇꯕ ꯂꯥꯏ
devoted	ꯀꯊꯣꯛꯄ
Dhivehi	ꯙꯤꯕꯦꯍꯤ
diabetes	ꯗꯥꯏꯕꯤꯇꯤꯖ
diarrhea	ꯈꯣꯡ ꯍꯥꯝꯗꯕ
diary	ꯅꯨꯃꯤꯠ ꯈꯨꯗꯤꯡꯒꯤ ꯊꯣꯛꯈꯤꯕ ꯏꯁꯤꯟꯅꯕ ꯂꯥꯏꯔꯤꯛ
dictionary	ꯋꯥꯍꯩ ꯃꯌꯥꯝꯒꯤ ꯋꯥꯍꯟꯊꯣꯛ ꯌꯥꯎꯕ ꯂꯥꯏꯔꯤꯛ
died	ꯁꯤꯈ꯭ꯔꯦ
diet	ꯆꯤꯟꯖꯥꯛ
die	ꯁꯤꯕ
difference	ꯈꯦꯟꯅꯕ
different	ꯈꯦꯟꯅꯕ
difficult	ꯑꯔꯨꯕ
dignity	ꯏꯁꯥꯒꯤ ꯏꯀꯥꯏ ꯈꯨꯝꯅꯕ
dig	ꯇꯧꯕ
diligent	ꯃꯁꯥꯒꯤ ꯃꯊꯧꯗ ꯄꯨꯛꯅꯤꯡ ꯆꯪꯕ
dinner	ꯅꯨꯃꯤꯇꯥꯡꯒꯤ ꯆꯥꯛꯂꯦꯟ
dip	ꯂꯨꯞꯄ
direction	ꯃꯥꯏꯀꯩ
director	ꯂꯝꯖꯤꯡ ꯂꯝꯇꯥꯛꯄ ꯃꯤꯑꯣꯏ
direct	ꯍꯛꯊꯦꯡꯅꯅ
dirty	ꯑꯃꯣꯠꯄ
dirt	ꯑꯃꯣꯠ ꯑꯀꯥꯏ
disabled	ꯌꯥꯍꯟꯗ꯭ꯔꯕ
disable	ꯌꯥꯍꯟꯗꯕ
disappear	ꯃꯥꯡꯈꯤꯕ
disappointed	ꯅꯤꯡꯕ ꯀꯥꯏꯕ
disaster	ꯑꯃꯥꯡ ꯑꯇꯥ ꯊꯣꯛꯄ
discard	ꯍꯨꯟꯗꯣꯛꯄ
discharge	ꯊꯥꯗꯣꯛꯄ
discipline	ꯊꯀꯁꯤ ꯈꯥꯁꯤ
discount	ꯁꯦꯜ ꯇꯥꯕ
discover	ꯊꯤꯗꯣꯛꯄ
discrimination	ꯇꯥꯊꯤ ꯇꯥꯑꯣꯏꯅ ꯇꯧꯕ
discussion	ꯈꯟꯅ ꯅꯩꯅꯕ
