a	ani
guy	mipa
guys	mipate
gym	ritchawina hmun
habitat	chenna
habit	tihdanphung
had	nei
hail	rial
hair	sam
half	chanve
hall	pindan lian
hand	kut
handle	chelh
handsome	hmeltha
hang	khai
hang out	lengchhuak
happened	thilthleng
happen	thleng
happiness	hlimna
happy birthday	piancham Chibai
happy birthday to you	piancham chibai le
happy	hlim
happy new year	kumthar chibai le
hardly ever	khat khawp mai
hardly	khat
hard	sak
harmful	hrisello
harm	hliam
harmony	inlungrualna
harsh	nasa
harvest	sengkhawm
has	nei
hate	hua
have a good day	ni hman nuam le
have a nice day	ni hman nuam le
have breakfast	tukthuan ei rawh
have fun	nuam takin hmang rawh
have	nei
have you eaten	i ei tawh em
having	nei
hazard	hlauhthawnawm
haze	romei
headache	lu na
head	lu
healing	tidam
health	hrisel
healthy	hrisel
heal	tidam
he	ani
heard	hria
hear	ngaithla
heart	thinlung
heat	sa
heaven	vanram
heavy	rit
hectic	hahthlak
he has	a nei
height	sanzawng
heir	rokhawmtu
he is	Ani chu
heist	rukruk
held	chelh
hell	hremhmun
Hello	Chibai
hello dear	chibai duhtak
hello how are you	chibai, i dam em
hello how are you doing	chibai, i tha em
helmet	lukhum
helpful	tangkai
help	tanpui
hence	chuvangin
her	ani
herd	pawl
here	hetah
heritage	rochun
hesitate	hreh
Hey	Hey
Hi	Chibai
hidden	thuhruk
hide	biru
hierarchy	indawtdan
highlight	tlangpui
high	sang
hi how are you	chibai enge i an
hike	tisang
hiking	lawn
hilarious	nuihzatthlak
hill	tlang
him	ani
hint	hrilhthawi
hip	bawp
hips	mawngbawr
hire	chhawr
hiring	hawh
his	ani
history	hmanlai hun zirna
Hi there	Chibai le
hit	vua
Hmm	hmm
hobby	ngainat zawng
hold	chelh
hold on	chelh tlat
hole	kua
holiday	chawlh
hollow	kawrawng
home	in
homework	inlam hna
honestly	rinawm takin
honest	rinawm
Honey	Khawizu
honor	zahawmna
hood	chhin
hook	thilkawm
hopefully	rinna nghat phawt ila
hopeless	beiseibo
hope	ring
hop	khawngkhawbai
horizontal	khamphei
horn	ki
horrible	rapthlak
horror	hlauhawm
horse	sakawr
hospital	damdawi in
hospitality	mikhual laka thatna
hostile	inhmelmakna
host	kaihruai
hotel	chawlhbuk
hot	sa
hour	darkar
hours	darkar
household	inlam thil
house	in
how about you	nang enge i an
how are you doing	i dam tha em
how are you doing today	vawiin chu i ti tha maw
how are you	i dam em
how are you today	vawiin engnge i an
how do you do	i tha maw
how	engtin
however	engpawhnise
how is	engtin nge
how many	engzat a tam
how much	eng zat nge
how often	engtianga zingin
how old are you	kum engzat nge i nih
how was your day	vawiin engtin nge hun i hman le
how was your night	Engnge nizan lam i an
hubby	paa
hub	laili
huge	lian
hug	kuah
human	mihring
humble	inngaitlawm
humidity	uap
humid	uap
hundred	za
hungry	riltam
hunt	sapel
hurricane	thlipui
hurry	hmanhmawh
hurry up	hmanhmawh rawh
hurt	na tuar
husband	pasal
hustle	khalhkhawm
hut	buk
hygiene	hriselna
I am fine	ka tha e
I am	Kei hi
I can	ka thei
I can't	ka thei lo
ice cream	vur
ice	vur
ideal	duhthusam
idea	ngaihtuahna
identical	inang
identify	inhriattir
identity	nihna
idiot	mawl
idle	zawmthaw
I do	ka ti e
I do not know	ka hre lo
I do not understand	ka hrethiam lo
I don't	ka ti lo
I don't know	ka hre lo
I don’t know	ka hre lo
I don't understand	ka hrethiam lo
I don’t understand	ka hrethiam lo
I don't understand what you mean	i sawi awmzia ka hrethiam lo
I don't understand you	ka hrethiam lo che
if	chuan
ignore	haider
i guess	ka ring
I had	ka nei
I have been	ka ni a
I have	Ka nei
I hope so	ka beisei
I	Ka
I know	ka hria
I like	ka duh
I like you	ka duh che
ill	damlo
illegal	dan lo
illness	damlohna
Ilocano	Ilocano tawng
I love	ka duh
I love my big brother	ka u mipa hi ka hmangaih a ni
I love my big sister	ka u hmeichhia hi ka hmangaih a ni
I love my father	ka pa ka hmangaih a ni
I love my little brother	ka nau mipa hi ka hmangaih a ni
I love my little sister	ka nau hmeichhia hi ka hmangaih a ni
I love my mother	ka nu ka hmangaih a ni
I love you	Ka hmangaih che
I love you so much	Ka hmangaih lutuk che
I love you too	keipawn ka hmangaih che
image	thlalak
imagine	suangtuah
I mean	Ka tih awmzia
I'm fine	ka tha e
I'm good	Ka tha
I'm here	heta hi ka awm
I miss you	Ka ngai che
I miss you so much	ka ngai lutuk che
I’m	ka
I'm	keiin
immediate	chawpchilh
immediately	rangtakin
immense	nasa tak
impact	insu
impatient	dawhthei lo
implement	hlenchhuak
important	pawimawh
import	lakluh
impose	tawrh tir
impossible	theihloh
impression	intawnhriat
impressive	rilru dek
impress	tilungawi
improve	hmasawn
improvement	hmasawnna
I'm sorry	Ka tihpalh
in addition	chubakah chuan
inappropriate	uchuak
incentive	lawmman
in	chhung
incident	thilthleng
include	telh
including	telin
income	lakluh
inconvenience	remchan lohna
increase	belh
increased	pung
incredible	ropui tak
indeed	chuvang tak chuan
independent	mahnia inrelbawl
India	India
indicate	kawk
indigenous	khaw tual mi
individual	mimal
industry	khawl hmunpui
inevitable	ven theih loh
In fact	anihna takah chuan
infant	nausen
infection	kaichhawng
infinity	tawpchin nei lo
inflammation	pun
inflation	thil hlutna pung chho
influence	zirtir
information	hriattirna
inform	hriattir
in front of	a hma ah
ingredients	thil telh
inheritance	inrochunna
initial	a tirah
initiative	hmalakna
injured	inhliam
injury	inhliam
innocent	lungmawl
innovation	chingchhuak
in order to	na turin
inquiry	chhuifiahna
insane	mi a
insect	rannung
insecure	him lo
insert	thun
inside	chhunglam
insight	hrefiah
insist	duh tlat
insomnia	mu thei lo
inspiration	fuihtu
inspire	fuih
install	bun
instance	nghal
instant	chawpchilh
instead	aiah
instead of	chu aiah chuan
instructions	inkaihhruaina
instrument	hmanrua
insult	endawng
insurance	inpeizawnna
intact	him
integrity	ze nghet
intellectual	mifing
intelligence	finna
intelligent	remhria
intended	tum reng vang
intend	tum
intense	nasa tak
intention	tumlawk
interact	inkawm
interaction	inbiangbiakna
interest	duhzawng
interested	ngaihven
interesting	phurawm
interfere	inrawlh
intermediate	inkar
internal	chhunglam
international	khawvel ram inkar
internship	tawnhriat neih nana hnathawk
interpreter	tawnglettu
interpret	letling
interrupt	tibuai
interview	inkawm
intimate	chhungril
into	chhungah
introduce	inhmelhriattir
introduction	inhmelhriattirna
introvert	zakzum
intuition	hriatthiamna
invalid	dik hlel
invent	hmuchhuak
inventory	thil dahkhawm
investigate	chhuichiang
invest	peipung
invitation	sawmna
invite	sawm
invoice	bungraw man inziakna
involved	tel
involve	tel ve
iron	thir
I see	ka hmu
is	hi
island	thliarkar
isolated	awmhrang
issue	buaina
issues	thupui hrang hrang
it	chumi
items	thil
item	thil
I think	ka ngaihtuah a
it is	chumi chu
it's	chu chu
its	chumi
it's ok	a tha e
It's okay	a tha e
it was	a ni tawh
I understand	ka hrethiam
I want	ka duh
I want to see you	ka hmu duh che
I want you	ka duh che
I was	Ka lo ni tawh
I will	ka ti ang
I would be	Ka la ni ang
jacket	kawrlum
jail	tan in
January	January
jar	bur
jaw	khabe
jealous	itsik
jerk	phih thut
jewelry	tlereuh
job	hna
jogging	tlan det det
joint	inzawmna
join	zawm
joke	fiamthu
journalist	chanchinbumi
journey	zinkawng
joy	lawmna
judge	roreltu
juice	thiltui
july	july
jump	zuang
june	June
junk	thilchhia
just	chiah
just do it	ti mai rawh
justice	rorelna tha
justify	insawithiam
Kalaallisut	Kalaallisut tawng
keen	ngaihsak
keep it up	ti zel rawh
keep	vawngtha
kept	keng
kettle	ketli
key	chahbi
kick	pet
kidding	tider
kid	naupang
kidney	kal
kids	naupangte
kill	that
kinda	ni tho mai
kind	lainat
kindly	khawngaihtakin
kindness	lainatna
king	lal
kiss	fawp
kitchen	choka
kite	lehkhachaih
kitten	zawhte naute
knee	khup
knew	hria
knife	chemte
knight	pasaltha
know	hria
knowledge	hriatna
known	hria
Konkani	Konkani tawng
Krio	Krio tawng
label	lehkhathem
labor	nauvei
labour	inhlawhfa
lack	tlachham
ladder	leihlawn
lady	nutling
laid	phun
lake	dil
lamb	beramno
lame	ho te
lamp	meichher
land	ram
landscape	leilung
language	tawng
lap	malchung
large	hrawl
last but not least	a tawp berah chuan
last	hnuhnung ber
last name	hming hnuhnung
lately	a hnuah
later	a hnuah
latest	hnuhnung ber
late	tlai
latter	hnuhnungzawk
laughing	nui
laugh	nui
laughter	nuihna
launch	kapchhuak
laundry	insukna
law	dan
lawn	tualzawl
lawyer	danhremi
layer	thuah
lay	nghat
layout	ruangam
lazy	thatchhia
leader	hruaitu
lead	kaihruai
leaf	hnah
leak	hnamchhuak
lean	awn
leap	zuang
learning	zir
learn	zir
lease	hawh
least	tlem ber
leather	savun
leave	kalsan
leaves	hnah
led	kaihruai
left	kalsan
legacy	rochhiah
legal	dan angin
legend	thawnthu
legit	dan ang
leg	ke
leisure	nawmchenna
lend	hawhtir
length	dung
lesson	zirlai
less	tlemzawk
let	nihtir
letter	lehkhathawn
lettuce	antam
level	tlukpui
leverage	innawrna
liability	hlohna
library	library
lick	liak
lie	dawt
lies	zalh
life	nunna
lift	chawi
light	eng
lightning	kawlphe
like	duh
likely	nih hmel
likewise	chutiangin
line	rinngil
Lingala	Lingala tawng
link	zawm
lion	sakeibaknei
liquid	tuiril
listening	ngaithla
listen	ngaithla
list	ziak tlar
literally	a ngial a ngan chuan
literature	thu leh hla
litter	paihdarh
little	te
live	nung
liver	thin
lives	nunna
living	nung
living room	chen ho na pindan
lizard	laiking
load	ritphur
loaf	chhangthawp
loan	leiba
local	khawtual
location	hmun
lockdown	inkharkhip
lock	kalh
log	thingtum
lol	ring taka nui
lonely	mal
long	sei
long time no see	inhmuh a khat hle mai
look	en
loop	suih
loose	thawl
lord	lalpa
lose	hloh
loss	hloh
lost	bo
lot	tam
loud	ring
lounge	thukhawmuanna
love	hmangaihna
lovely	duhawm
love you	hmangaih che
lower	hnuailam
low	hniam
loyal	rinawm
loyalty	rinawmna
luck	vanneihna
lucky	vannei
Luganda	Luganda tawng
luggage	zin bungrua
lump	bawk
lunch	chawchhun
lungs	chuap
luxury	nawmchenna
lying	mu zal
machine	khawl
mad	a
madam	ka pi
made	siam
magazine	chanchibu
magnificent	thil ropui
maid	chhiahhlawh nu
main	puiber
maintain	vawng
maintenance	enkawlna
Maithili	Maithili tawng
majority	tamzawkin
major	pui
make	siam
make up	siam chawp
male	mipa
mall	thilh zawrhna hmunpui
manage	enkawl
management	enkawltu
manager	kaihruaitu
mandatory	danin a phut
manifest	puangchhuak
manipulate	tidanglam
man	mipa
manner	nunphung
manual	kuta thawh
many many happy returns of the day	vawiin hlim takin lo hmang ang che
many	tam tak
march	kea kal
margin	sir
market	bazar
marriage	inneihna
married	innei
mask	hmaikawr
massive	lian
mass	nawlpui
master	hotu
match	inmil
material	bungrua
mate	tihpui
math	chhiarkawp
matter	thu
maturity	puitlinna
maybe	maithei
may	maithei
meal	chaw
meaning	awmzia
means	kalkawng
mean	suaksual
meant	awmzia
meanwhile	chumilai
measures	teh
measure	teh
meat	sa
medical	damdawi lam
medicine	damdawi
meditation	inngaihtuah muk
medium	hmanrua
meeting	inhmukhawm
meet	intawk
Meiteilon	Meiteilon tawng
me	keimah
melt	tuiral
memories	hriatrengna
memory	hriatrengna
mental	rilru
mentioned	sawi tel
mention	kochhuak
mentor	zilhtu
merchant	thilzuartu
mercy	khawngaih
merely	chauhin
merry christmas	Krismas chibai
message	thuthawn
mess	hnawk
messy	hnawk
metal	thir
method	tihdan
me too	keipawh
mice	chaichim
middle	lai
midnight	zanlai
might	maithei
mild	hlek
milestone	lungphun
military	sipai
milk	bawnghnute
million	maktaduai
mind	rilru
mindset	rilru puthmang
mine	ka ta
mingle	chawhpawlh
minor	tenau
minutes	te tak te te
minute	thil tereuh te
miracle	thilmak
mirror	darthlalang
miscellaneous	thildang
mischievous	nghal
miserable	lungchhiatthlak
misery	lungngaihna
missing	bo
mission	thiltum bik
miss	thelh
miss you	ngai che
mistake	tihsual
mist	tiauchhum
Mizo	Mizo tawng
mobile	chesawn thei
mock	deuhsawh
model	entawn tlak
moderate	thunun
modern	tunlai
modest	zahawm
moist	hnawm
moisture	tuihu
mold	pat ek
mole	khuavang
moment	hun tawi te
mom	nu
monday	Thawhtanni
money	sum
monitor	thlir
monkey	zawng
month	thla
mood	ngaihtuahna
moody	ngui
moon	thla
moral	dik
more	belh
moreover	chubakah
morning	zing
mortgage	dahkham
most	ber
mostly	deuh ber
mother	nu
motion	chetna
motivation	fuihthar
mountain	tlang
mouse	sazu
mouth	ka
move	che
movement	chet
movie	film
mrs	pi
much	tam
mud	chirh
mug	no lian
muscle	tihrawl
museum	thilhlui dahthatna
mushroom	pa
music	rimawi
must	ngei
mute	tawng thei lo
mutual	intitawn
My dear	Ka duhtak
my friend	ka thian
My hovercraft is full of eels	Tawng danga tawng chiam a hriatthiam theih ni chuang lo sawina
my	ka
my love	ka hmangaih
my name is	ka hming chu
my pleasure	ka lawmna a ni e
myself	keimah
mysterious	mak
mystery	thilmak
myth	thawnthu
nail	perek
naive	mawl
name	hming
narrative	sawi
narrow	zim
nasty	tenawm
nationality	rammi nihna
national	ram pum thil
native	a rammi
natural	dan pangngai
nature	nihphung
nausea	luhai
nearby	hnaivai
near	hnai
nearly	tep
neat	felfai
necessary	tul
necklace	thi
neck	nghawng
need	mamawh
negative	dik lo
neglect	ngaihsak lo
negotiate	indawn
neighborhood	thenawm khawveng
neighbor	thenawm
neither	ni lo ve ve
nephew	vahpa
nerd	mithiam
nervous	zam
nest	sava bu
net	len
network	inzawmkual
neutral	tan lam nei lo
never give up	beidawng miah suh
never mind	a pawi love
nevermind	a pawi love
never	ngai lo
nevertheless	engpawhnise
news	chanchinthar
new	thar
next	dawtchiah
next to	dawtah
nice	tha
nice to meet you	kan inhmu thei a lawmawm e
niece	vahnu
nightmare	mangchhia
night	zan
nine	pakua
nineteen	sawmpakua
ninety	sawmkua
No	Aih
nobody	tumah
noise	bengchheng
noisy	bengchheng
none	pakhatmah
noon	chawhnu
nope	ni lo
no problem	a pawi love
normal	pangngai
nor	ni lo ve ve
north	hmar
nose	hnar
nostalgic	lungleng
not at all	ni miah lo
not bad	a chhe love
noted	chhinchhiah
note	thil chhinchhiah
nothing	engmah
noticed	chhinchhiah
notice	hmu
not	lo
Not now	Tunah lo
not yet	la ni lo
nouns	thil hming
noun	thilhming
novel	thawnthu
november	november
nowadays	tunlaiah
no way	a theih loh
now	tunah
nuisance	ninawm
null	engmah lo
numb	chawmawlh
number	a zat
nurse	nurse
nutmeg	kapkara pet lut
nut	mim
nutrition	ei leh in
oath	inthiamkamna
obesity	thau lutuk
obey	thuawih
objective	thiltum
object	thil
obligation	tiamna
obscure	chiang lo
observation	hmuhdan
observe	chik
obsessed	atchilh
obsession	atchilh burna
obsolete	hluihlawn
obstacle	daltu
obtained	nei
obtain	nei
obvious	chiang
obviously	chiangtakin
occasionally	a chang changin
occupation	hnathawh
occupied	luah
occurred	thilthleng
occurs	thleng
occur	thleng
ocean	tuipui
october	october
odd	danglam
odds	theih lohna dan
of course	ni chiah e
offensive	huatthlala
offer	thilhlan
office	office
official	pawl thu hla
off	titawp
of	tan
often	fo
Oh	Awh
oh really	oh..a ni maw
oil	tel
ok	a tha e
okay	a tha e
okay baby	awle naute
okay dear	a tha e duhtak
okay honey	awle duhtak
okay my love	awle ka hmangaih
ok dear	awle duhtak
ok honey	awle duhlai
ok my love	awle, ka hmangaih
old	upa
once	vawikhat
on	chungah
one language is never enough	tawng pakhat hi a tawk thei lo
one	pakhat
onion	purunsen
online	tinung
only	chauh
open	hawng
operation	hmalakna
opinion	ngaihdan
opportunities	remchanna
opportunity	huntha
opposite	lehlam
optimistic	hmathlir eng
optional	duh zawk thlang
option	duhthlanna
orange	serthlum
order	thupek
ordinary	tlanglawn
or	emaw
organization	pawl
orientation	zirtir
original	dik tak
origin	chawrchhuahna
Oromo	Oromo tawng
orphan	fahrah
other	thildang
otherwise	anih loh chuan
ought	tur
our	kan
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Kan thiltum: mitin, khawihmuna mi pawh, tawng tin hmang pawh, khawvel chanchin hriatthiamtir
Our mission: to organize the world's information and make it universally accessible and useful.	Kan thiltum: khawvel chanchin khaikhawmna siam a, mitin tana banphak leh tangkaia siam
outcome	rahchhuak
outfit	inthuamna
outgoing	pawnlama chhuak
outlet	pekchhuahna
outline	tlangpui
out	pawn
outside	pawn lam
outstanding	tha fawr
oven	thuk
overall	a pumpui
over	chungah
overcome	tuarchhuak
over there	sawtah sawn
overthinking	ngaihtuah vak vak
overwhelmed	nasa
overwhelming	nasa tak
owe	leiba
owl	chhimbuk
owner	neitu
own	nei
ox	bawngpa
pace	pen
package	bawm
pack	khungkhawm
paid	petlak
pain	na
painting	rawng hnawih
paint	rawng
pair	kawppui
pale	dang
palm	kutphah
pandemic	hripui leng
panic	hamhaih
pan	thlengdar
pants	kekawr
paper	lehkha
paradise	pialral
parallel	tlukpui
parcel	bawm
pardon	ngaidam
parents	nu leh pa
park	hung
parrot	vaki
parsley	parsley thlai
part	bung hrang
participate	tel ve
particular	bik
particularly	a bik takin
partner	kawppui
party	intelkhawm
passage	kalkawng
passed	hlanchhawng
passionate	tuichilh
passion	duhzawng tak
passive	ngawichawi
pass	kalpel
password	tawngkam ruk
past	hunkaltawh
patch	thawm
pathetic	khawngaihthlak
path	kawng
patience	dawhtheihna
patient	dawhthei
pattern	kaihruaitu
pause	chawl
pavement	kalkawng
payment	pe
pay	pe
peaceful	thlamuang
peace	remna
peach	theite
peak	chhip
pear	per
peas	chana
peculiar	danglam
peel	hik
peers	thiante
peer	thian
pee	zung
pencil	ziakfung
pending	hmabak
pen	ziakfung
people	mi
pepper	hmarcha
perceive	hmu
perception	hmuhdan
perfect	sawisel bo
performance	chetdan
perform	thil ti
perhaps	maithei
period	hunbi
permanent	nghet
permission	phalna
permit	phalna
perseverance	dawhtheihna
persistent	tumruh
personality	mizia
personal	mimal
person	mihring
perspective	thlirdan
persuade	fuihpawrh
pervert	hur
pet	ran
phase	hunbi
phenomenon	thilmak
philosophy	thil bul chhuina
phone	biakhlatna
photo	thlalak
phrase	thuhlawm
physical	pawnlam
pick	chhar
pick up	la kang
picture	milem
pieces	thil them
piece	them
pigeon	parva
pig	vawk
pile	intiangkhawm
pillow	lukham
pilot	khalhtu
pineapple	lakhuihthei
pink	sendang
pin	pin
pitch	mual
pit	khuarkhurum
pity	khawngaih
place	hmun
places	hmun
plague	hripui
plain	zawl
plan	duang
plane	thlawhna
plants	thlai
plant	thlai
plate	thleng
platform	dawhsan
playing	infiam
play	inkhel
pleasant	nuam
pleased	lungawi
please	khawngaihin
pleasure	nuam
pledge	thutiam
plenty	tam
plot	rel
plug	hnawh
plumber	tui pipe vel siamtu
plum	theite
plural	pakhat aia tam
podcast	podcast
poem	hlathuhril
poetry	hla
point	kawk
poison	tur
police	sipai
policy	tihdan
polite	hawihhawm
pollution	tibawlhhlawh
pond	dil te
pool	tuitling
poop	ek
poor	rethei
pop	puak
popular	lar
population	mipui
pork	vawksa
porridge	buhhawp
port	lawngchawlhna
position	dinhmun
positive	dik
possession	thilneih
possessive	uikawm
possess	nei
possible	thei
post	hmun
postpone	sawnhla
potato	alu
potential	theihna
pound	her dip
poverty	retheihna
powerful	thiltithei
power	thuneihna
practical	tih theih
practice	inbuatsaih
praise	fak
prank	fiamthu
pray	tawngtai
precious	hlu
precise	dik thlap
precisely	chiah chiah
predict	ringlawk
prefer	duh zawk
preference	duhzawng
pregnant	rai
prejudice	ngaidan siam lawk
premises	thuhmahruai
premium	lawmman
preparation	inbuatsaihna
prepare	buatsaih
prepared	inbuatsaih
preposition	thil hming zawmtu
presence	awmna
presentation	hrilhfiahna
present	thilpek
preserve	vawngtha
president	hotu
press	chilh
pressure	delh
pretend	tider
pretty	mawi
prevent	veng
previous	hma chiah
prey	changkhiau
price	man
pride	chapona
priest	puithiam
primary	hmasa ber
prime	pui ber
princess	lal fanu
principal	hruaitu
prior	hmasa
priority	ngaih pawimawh
prison	lungin
privacy	mimal zalenna
private	mimal
privilege	duhsakna
prize	lawmman
probably	maithei
problem	harsatna
procedure	zawm tur
proceed	kaltlangpui
process	indawtdan
produce	pechhuak
production	siamchhuahna
product	thilsiam
professional	eizawn nana hmang
profession	thiamthil hnathawh
profile	ruangam
profit	hlep
profound	thuk
progress	hmasawn
project	ruahmanna
prominent	pawimawh
promise	thutiam
promote	kaisang
promotion	kaisanna
prompt	mawngzang
prone	bawkkhup
pronouns	noun aiawhtu
pronunciation	lamrik dan
proof	fiahna
proper	dik tluang
properly	mumal
properties	thil neih
property	thilneih
proposal	duangchhin
prospect	hmabak
prosperity	hausakna
prosperous	hmuingil
protect	humhim
proud	chapo
prove	tifiah
provided	pek
provide	pechhuak
province	rambung
provision	ruahman lawkna
puberty	tleirawl chhuah
public	vantlang
pull	pawt
pumpkin	mai
punctual	hun vawng dik
pupil	zirlai
purchase	lei
pure	fir
purple	nawinawk
purpose	chhan
purse	pawisa ip
pursue	bawhzui
pursuit	bawhzui
push	nam
put	dah
qualification	zir thlen chin
quality	nihphung
quantity	zat
quarantine	khunghrang
quarrel	intibuai
quarter	hmun lia thena hmun khat
Quechua	Quechua tawng
queen	lalnu
queer	danglam bik
query	zawhna
question	zawhna
queue	intlar
quickly	rang takin
quick	rang
quiet	reh
quilt	rizai
quit	bang
quite	engemaw chen
quiz	zawhna
quotation	sawi chhawng
quotes	thusawi
quote	thusawi
rabbit	sazupui
race	intlansiak
rage	thinso
rain	ruah
raised	chawmlian
raise	tisang
random	tihbik nei lo
range	zau zawng
ran	tlan
rapidly	rangtakin
rapid	rang
rarely	khat
rare	vang
rash	bawl
rate	man
rather	chutiang ni lovin
ratio	inkungkaihna
rational	fing
rat	sazu
raw	hel
reached	thleng
reach	thleng
reaction	tilet
read	chhiar
reading	chhiar
ready	inpeih
reality	anihna tak
realized	hrechhuak
realize	hrechhuak
really	takzet
real	tak
rear	hnung
reasonable	pawm theih
reason	chhan
recall	kolet
receipt	dawng
receive	dawng
received	dawng
recently	tunhnai khan
recent	tunhnai
reception	inhmuahna
recipe	eisiamna hmanrua
reckless	pawlawh
recognition	hriatpuina
recognize	hmelhriatna
recommended	sawi mawi
recommend	kawhhmuh
record	chhinchhiah
recover	hmulet
recovery	lakletlehna
rectangle	kil li nei
redeem	la let leh
redemption	chanchhuahna
red	sen
reduce	titlem
redundant	chuangtlai
reference	kawhhmuh
refer	kawhhmuh
reflect	chhunlet
reflection	en khalh
refrain	insum
refrigerator	fridge
refund	kir let
refused	hnial
refuse	hnial
regarding	chumi avangin
regardless	pawh ni se
regard	ngaihsakna
regards	zahngai
region	rambung
register	inziaklut
regret	inchhir
regular	inang rual
regularly	hun bi takah
reject	hnawl
related	inzawm
relate	zawmpui
relationship	inlaichinna
relative	laina
relatives	laina
relax	chawl
released	chhuah
release	tichhuak
relevant	inphu
reliable	rintlak
relief	chhawmdawlna
relieve	chhawk
relieved	chhawk
religion	sakhua
religious	sakhaw thil
reluctant	hreh
rely	innghat
remain	awm reng
remaining	bang
remarkable	hriatreng tlak
remedy	damdawi
remember	hrereng
reminder	hriatnawntir
remind	hriatnawntir
remote	hla
remove	paih
re	nawn
render	pe let
rent	hawh
repair	siamtha
repeat	tinawn
replace	thlakthleng
reply	chhang
report	hek
represent	aiawh
reputation	hmingthatna
request	ngen
required	mamawh
require	mamawh
rescue	chhanchhuak
research	zirchianna
resemble	inang
resentment	lungawilohna
reservation	hauhlawk
reserve	dahthat
resident	mi cheng
resign	bang
resilience	inpawtfan
resilient	pawt fan
resistance	doletna
resist	dodal
resolution	thutlukna
resolve	tifel
resort	chawlhna hmun
resources	hmanrua
respect	zahna
respond	chhanglet
response	chhanna
responsibility	mawhphurhna
responsible	mawhphur
restaurant	thingpui dawr
rest	hahchawl
rest in peace	thlamuang takin chawl ang che
restore	siamtha
restrict	phal lo
result	nghawngchhuah
results	rahchhuah
resume	chhunzawm
retail	zuar
retain	chelh
retention	hriatrengna
retired	chawlhsan
retreat	hnungtawlh
retrieve	lalet
return	kirlet
revealed	tilangchhuak
reveal	inpuang
revenge	phuba
revenue	chhiah
reverse	letling
review	ennawn
revise	ennawn
revision	ennawn
revolution	inherna
reward	lawmman
rhythm	hunbi neia inher
rib	nak
rice	buhfai
rich	hausa
ride	chuang
ridiculous	mak
rid	laksak
right	dik
right now	tunah tak
rigid	khauh
ring	ri
rinse	thuah
riot	intualvuakna
ripe	hmin
rip	pawtlui
rise	chhuak
risk	tum chhin
rival	elpui
river	lui
road	kawng
roast	kangro
robust	hrisel leh chak
rock	lung
rod	hmawlh
role	chanvo
roll	inzial
roof	inchung
room	pindan
root	zung
rope	hruizen
rotten	tawih
rough	biboh
roughly	vel
round	bial
route	kawng
routine	hunbi tuk
row	tlar
rubber	nawhreh
rubbish	bawlhhlawh
rub	nawt
rude	sual
rug	chhuatphah
ruin	tichhia
rule	dan
ruler	roreltu
rules	dan te
running	tlan
run	tlan
rural	thingtlang
rush	hmanhmawh
sack	saiip
sacred	serh
sacrifice	inhlan
safe flight	tluang takin in thlawk dawn nia
safe	him
safety	sahimna
sage	mifing
said	sawi
sailing	lawnga zin
sail	leng
sake	aiah
salary	hlawh
sale	zuar
salmon	sangha chi khat
salt	chi
Same here	Hetah pawh
same	inang
sample	enchhinna
sand	vut
Sanskrit	Sanskrit tawng
sarcastic	tiel
sassy	lu zo
satisfaction	lungawina
satisfied	lungawi
satisfying	lungawipui
satisfy	tilungawi
sat	thu
Saturday	Inrinni
sausage	thithun
savage	rapthlak
save	humhim
saw	hmu
say	sawi
scale	bukna
scam	inbumna
scarce	vang
scared	hlau
scarf	awmveh
scar	ser
scary	hlauhawm
scattered	darh nuai
scene	hmun
scenery	ram mawi
scent	rim
schedule	hunruat
school	sikul
science	Science
scientist	science lam mithiam
scientists	science lam mithiamte
scissors	bakcheh
scold	hau
scope	huang
score	tilut
scrap	them
scratch	pem
scream	rak
screen	puanzar
screw	inherh
script	thuziak
seal	char
search	zawng
season	sik leh sa hun bi
seat	thutna
sea	tuipui
second	pahnihna
secret	thuruk
section	pawl then
secure	him
security	himna
seed	thlai chi
see	hmu
seek	zawng
seem	nia lang
seems	nih hmel
seen	hmu tawh
see you	kan inhmu dawn nia
see you later	nakinah kan inhmu dawn nia
see you soon	kan inhmu thuai ang
see you tomorrow	naktukah kan inhmu dawn nia
seize	man
seizure	kaih
seldom	ngai lo
select	thlang
self healing	mahni intidam
selfish	hmasial
self	mahni
sell	hralh
send me your picture	i thlalak min lo thawn teh
send	thawn
senior	upa zawk
sense	hriatna
sensible	hrethei
sensitive	hriatna tha
sentences	thutlukna
sentence	thutlukna
sent	thawn
separate	inthenhrang
Sepedi	Sepedi tawng
september	September
sequence	indawt
series	inzawmzat
seriously	tihtakzetin
serious	tihtakzet
serve	rawngbawlsak
service	thawhna
session	hunbik
set	ruahman
setting	innghahna
settle	inbengbel
set up	rem khawm
seven	pasarih
seventeen	sawmpasarih
seventy	sawmsarih
several	thenkhat
severe	nasa
sew	thui
shade	daihlim
shadow	hlimthla
shake	thing
shall	ang
shallow	pawnlang
shame	zak
shape	riruang
share	intawm
sharp	hriam
she	ani
shed	hulhliap
sheep	beram
sheet	phek
she has	ani chuan a nei
she is	ani chu
shelf	chhuar
shell	kawr
shelter	tawmhulna
shield	phaw
shift	sawn
shine	engchhuak
ship	lawng
shipping	thawnchhuak
shirt	kawr
shoes	pheikhawk
shoot	kap
shop	dawr
shopping	thil lei
shore	kam
shortage	tlem lam
short	tawi
shot	kap
shoulder	koki
should	tur
shout	au
shower	ruahsur
show	lantir
