a little	ӧжыт
garlic	чеснок
gate	капка
gather	люканы
gathering	люкам
gauge	размер
gauge	калибр
gave	сётъяны
gear	шестерёнка
gear	редуктор
gender	пол
general	огъя
generally	котьку сямен ик
generate	кылдытыны
generation	выжыполэс
generous	шырыт сямо
genius	нодлык
genre	жанр
gentle	небыт
genuine	тась
gesture	вырос
get	вуыны
get dressed	дӥсяськыны
get up	султыны
get well soon	ӝоген бурмыны
getting	басьтон
ghost	сётытон
ghosting	син азьын кык адӟиськон
giant	гигант
gift	подарочный
ginger	имбирь
girl	тусыз нылыдлы
girlfriend	эш
give	курадӟытыса
give up	тросаз
given	сётэм
glad	шумпотӥсько
glance	учкон
glass	пияла
glasses	очкиос
glimpse	югытак луон
global	глобальной
gloomy	шимес
gloves	чиньыё-пӧлыё пӧзь
glow	ӝуаны
glow up	шуак кенжыны
glue	клей
go	мынэ
go ahead	азьлань!
go away	кошкыны
go to bed	изьыны выдыны
goal	цель
goals	цельёс
goat	кечтака
god	инмар
god bless you	таза лу
goes	мынэ
going	мынэ
going to	ветлон
gold	зарни
gone	кошкиз
gonna	дасяськыны
goo	дыльк
good	умой
good afternoon	бур нунал
good bye	ӟеч лу(э)
good day	бур нуналэн
good evening	ӟеч ӝыт
good job	умой уж
good looking	чебер
good luck	удалтон
good morning	ӟеч ӵукнаен
good morning my love	яратонэ
good morning my love	бур ӵукнаен
good night	ӟеч кӧл
goodbye	кушын
goodnight	бур уен
goods	вуз
Google	гуглить карыны
Google Translate	Google переводчик
goose	ӟазег
gorgeous	чебер
gossip	супыльтыны
got	басьтэм
got it	валай
government	правительстволэн
grab	реакцизы
grade	сорт
gradually	калленэн
graduate	быдтыны
grain	тысь
grant	юрттэт
granted	сётэм
grapes	виноград
grasp	кутыны
grass	турын
grateful	благодарный
gratitude	тау
grave	шайгу
gray	пурысь
great	усто
greed	кӧттырмостэм луон
greedy	аксым
green	вож
greet	чырткемьяськыны
greeting	ӟечъяськон
greetings	ӟечкылан
grey	пурысь
grid	сетка
grid	сак
grief	куректон-кайгу
grind	изон
grip	ваче кырмиськон
grocery	бакалея вузан магазин
groom	вал сюдӥсь
gross	зуркак
ground	соку вылын
group	группа
grow	ӝужда
growth	ӝуждала
grumpy	керӟег
Guarani	Гуарани
guarantee	оскетбур
guard	возьмаськись
guess	валатскон
guest	куноос
guidance	огазеян
guide	кивалтонни
guilty	янгышам
guy	пияш
guys	пиналъёс
gym	тренажёрной зал
habit	йылол
habitat	улон инты
had	вал
hail	йӧзор
hair	йырсиез
half	ӝыны
hall	пыронни дор
hand	ки
handle	каль
handsome	чебер
hang	ошыны
hang out	шулдыръяськыны
happen	луыны
happened	пӧрмиз
happiness	шуд
happy	шудо
happy birthday	вордӥськем нуналаз улон
happy birthday to you	вордӥськем нуналыд тонэ
happy new year	выль ар
hard	чурытоме
hardly	меда
hardly ever	почти ноку но
harm	изъян
harmful	кышкыт
harmony	чебер чузъяськем
harsh	лек
harvest	урожай
has	вань
hate	адӟемпотостэм
have	луыны
have a good day	умой нуналэн
have a nice day	ӟеч нуналъёс
have breakfast	ӵукназэ сиськыны
have fun	шулдыръяськыны
have you eaten	тон сиськид
having	вань
hazard	кышкытлык
haze	бус
he	со
he has	солэн вань
he is	со вань
head	йыр
headache	йыр висён
heal	йӧнатон
healing	йӧнатон
health	тазалыксэс
healthy	тазалыко
hear	иворъёс
heard	кылӥзы
heart	сюлэм
heat	вӧзаз
heaven	инбам
heavy	секыт
hectic	сюлмаськись
height	ӝужыт
heir	кельтосчи
heist	вораськон
held	возёно
hell	чидантэм
Hello	чырткем
hello dear	ӟечбуресь, дуно
hello how are you	ӟечбур
hello how are you doing	ӟечбур
helmet	шлем
help	юрттэт
helpful	пайдаё
hence	следовательно
her	сое
herd	уллё
here	татын
heritage	люкетэз
hesitate	куалекъясь
Hey	Эй
Hi	ӟечбур
hi how are you	ӟечбур кыӵе мар
Hi there	Ваньзылы чырткем
hidden	ватэм
hide	ватылы
hierarchy	инъетрад
high	инмар
highlight	пусйыны
hike	поход
hiking	походэ
hilarious	шулдыр
hill	выр
him	солэн
hint	подсказка
hip	макес
hips	макесъёс
hire	найм
hiring	медъян
his	сое
history	история
hit	нюртылэм
Hmm	Хмм
hobby	яратоно уж
hold	возёно
hold on	вителэ
hole	пась
holiday	шулдыръяськон
hollow	тырттэм
home	корка
homework	гуртэ уж
honest	шонер
honestly	зэм
Honey	чечы
honor	дан
hood	капюшон
hook	курик
hop	тэтчон
hope	оскыны
hope	оскон
hopefully	шудлы
hopeless	осконтэм
horizontal	ӵошкинэс
horn	рожок
horrible	кӧшкемыт
horror	кышкан
horse	вал
hospital	эмъяськонни
hospitality	утялтыны яратон
host	басьтыны
host	хост
hostile	тушмон луись
hot	ӟырдыт
hotel	кунокуа
hour	час
hours	час
house	корка
household	гурт возёс
how	кызьы
how about you	мар нош тӥ сярысь
how are you	тӥляд кызьы?
how are you doing	уж-а кадь
how are you doing today	туннэ тӥляд кадь ужъёс
how are you today	кызьы тон туннэ
how do you do	кыӵе мар
how is	кыӵе улэ
how many	кӧня ваньмыз
how much	кӧня
how often	кыӵе ӵем
how old are you	кӧня тыныд арес
how was your day	кызьы тынад нуналыд ортчиз
how was your night	кызьы ортчиз уед
however	озьы
hub	тул
hubby	карт
hug	ӟыгыръяськыса
huge	бадӟым
human	адями
humble	лякыт
humid	нюр
humidity	кот
hundred	сю
hungry	сютэм
hunt	пӧйшураны
hurricane	ураган
hurry	дыртон
hurry up	дыртыны
hurt	вӧсь
husband	карт
hustle	вырисько
hut	пичи корка
hygiene	чылкыт луон
I	Мон
I am	Мон
I am fine	Мынам ваньмыз радызъя
I can	Мон быгатӥсько
I can't	Мон уг быгаты
I do	бен…
I do not know	мон уг тодӥськы
I do not understand	Мон уг тодӥськы
I don't	Мон уг
I don't know	Мон уг тодӥськы.
I don't understand	уг вала монэ
I don't understand what you mean	Мон уг валаськы
I don't understand what you mean	ма сярысь тон
I don't understand you	Мон тонэ уг валаськы
I don’t know	Мон уг тодӥськы
I don’t understand	Мон уг валаськы
i guess	малпаны
I had	Мынам вал
I have	Мынам луоз
I have been	Мон вал
I hope so	Мон оскисько талы
I know	Мон тодӥсько
I like	Мыным кельше
I like you	Яратӥ мон тонэ
I love	Мон яратӥсько
I love my big brother	мон яратӥсько агайме
I love my big sister	мон яратӥсько апайме
I love my father	мон яратӥсько атайме
I love my little brother	мон яратӥсько вынме
I love my little sister	мон яратӥсько сузэрме
I love my mother	мон яратӥсько анайме
I love you	Мон тонэ яратӥсько
I love you so much	Озьы мон тӥледыз туж яратӥсько
I love you too	мон но тонэ яратӥсько
I mean	Мыным басьтӥзы
I miss you	Тон мыным мӧзмыт
I miss you so much	Мон туж мӧзмисько тынэсьтыд
I see	Мон адӟи
I think	мон малпасько
I understand	Мон валай
I want	Мыным потэ
I want to see you	Мынам тонэ адӟеме потэ
I want you	Мынам тонэ потэ
I was	Мынам луоз
I will	Мон луо
I would be	Мон луысал
I'm	Мон
I'm fine	Мон радъямын
I'm good	Мон умой
I'm here	Мон татын
I'm sorry	Вождэс эн вае
ice	йӧ
ice cream	кынтэмйӧл
idea	малпан
ideal	идеальной
identical	огкадь луись
identify	идентифицировать
identity	быдэсак огкадь луон
idiot	идиот
idle	буш мынэм
if	ке
ignore	игнорирование
ill	висись
illegal	катрадтэм
illness	висён
Ilocano	Илокано
image	вылтус
imagine	малпаны
immediate	ӝегатскытэк
immediately	ӝегатскытэк
immense	син сузёнтэм
impact	быгатонлыкъёслы
impatient	чидасьтэм
implement	реализовать
import	вайыны
important	кулэ
impose	пыртыны
impossible	луонтэм
impress	паймытыны
impression	адӟем
impressive	впечатляющий
improve	умоятӥзы
improvement	умоятон
in	пушкы
in addition	со сяна
In fact	Зэмзэ вераса
in front of	азьын
in order to	со понна мед
inappropriate	корректной луисьтэм
incentive	мылкыд сётон
incident	учыр
include	ӝуатыны
including	пыртыса
income	пайда
income	доход
inconvenience	ярантэмлык
increase	бадӟыматэм
increased	будэтэм
incredible	луонтэм
indeed	зэмзэ
independent	эрико
India	Индия
indicate	возьмалэ
indigenous	коренной
individual	индивидуальной
industry	промышленность
inevitable	неизбежный
infant	нуны
infection	черлан
infinity	пумтэмлык
inflammation	азон
inflation	инфляция
influence	влияние
inform	ивортыны
information	Ивортодэт
ingredients	кылдытӥсь люкетъёс
inheritance	наследовать карон
initial	нырысь
initiative	та кичӧлтонэз
injured	сӧсырмем
injury	сӧриськем
innocent	янгыштэм
innovation	выльдэт
inquiry	запросъёсылы
insane	безумная
insect	нымы-кибы
insecure	неуверенный
insert	пыртыны
inside	пушсэ
insight	ӝог валатсконлык
insist	кыл вылын сылыны
insomnia	умме усьыны луытэк улон
inspiration	ӝутскем мылкыд
inspire	мылкыд сётыны
install	инсталлировать карыны
instance	тусъет
instant	шуак
instead	инты
instead of	интые
instructions	инструкциос
instrument	тӥрлык
insult	сантэманы
insurance	страховка
intact	исамтэ
integrity	быдэслыкез
intellectual	интеллигентной
intelligence	визьнод
intelligent	интеллигентный
intend	медыны
intended	лыдъямын
intense	кужмо
intention	медон
interact	ог-оген герӟаськыны
interaction	вачекусыпъяськон
interest	тунсык
interested	заинтересованный
interesting	тунсыко
interfere	пырскыны
intermediate	шор
internal	пуш
international	калыккуспо
internship	стаж ортчён
interpret	валэктыны
interpreter	валэктӥсь
interrupt	дугдытыны
interview	интервью
intimate	интимной
into	пушказ
introduce	пыртыны
introduction	азькыл
introvert	пытсаськизы
intuition	сюлэмшӧдон
invalid	сӧсыр
invent	малпаны
inventory	ваньбурез эскерон
invest	коньдонэз поныны
investigate	эскерыны
invitation	ӧтён
invite	ӧтем
invoice	фактураез
involve	пыртылыны
involved	кыскиллям
iron	кортлэсь
island	шормуӵ
isolated	нимаз висъям
issue	поттыны
issue	юан сётыны
issues	ужпумъёс ӵош
it	со
it is	та
it was	со вал
it's	со
it's ok	ваньмыз умой
It's okay	Ваньмыз умой
item	артикул
items	позициос
its	со
I’m	Мон вань
jacket	пиджак
jail	тюрьма
January	толшор
jar	банка
jaw	анлыос
jealous	вожась
jerk	донгем
jewelry	ювелир лэсьтосъёс
job	уж
jogging	тэк каллен бызьылыны
join	огазеяськыса
joint	дэмен
joke	серемкыл
journalist	газетчи
journey	мынон-ветлон
joy	шумпотон
judge	судья
juice	сок
july	пӧсьтолэзь
jump	тэтчыны
june	инвожо
junk	лугыр-лагыр котыр
just	гинэ
just do it	тае гинэ лэсьты
justice	судсӧзнет
justify	шонере поттыны
Kalaallisut	Калааллисут
keen	ырдыт
keep	уть
keep it up	сыӵе ик мылкыдэн азьланьтыны
kept	сюдыны
kettle	чайник
key	усьтонъёсты
kick	ӵыжон
kid	пинал
kidding	пинал мурт сямен вырон
kidney	пекля
kids	пиналъёс
kill	виыны
kind	сям
kind	умой
kinda	кызьы ке
kindly	гажаса
kindness	лякыт луон
king	король
kiss	чупаны
kitchen	кухня
kite	душес
kitten	коӵышпи
knee	пыдес
knew	тодӥ
knife	пурт
knight	рыцарь
know	тодӥсько
knowledge	тодон-валан
known	тодмо
Konkani	Конкани
Krio	Крио
label	лейбл
labor	уж
labour	уж
lack	уг тырмо
ladder	пагӟаос
lady	леди
laid	понэм
lake	ты
lamb	ыжпи
lame	чутэ
lamp	лампа
land	приземлять
landscape	пейзаж
language	кыл
lap	котырес
large	бадӟым
last	быдэс
last but not least	берпуметӥез
last name	фамилиосты
late	бергес
lately	берпум дыръёсы
later	бергес
latest	самой берпуметӥез
latter	берпуметӥез
laugh	серекъяны
laughing	серекъян
laughter	серекъян
launch	запуск
laundry	мисьтаськон висъет
law	закон
lawn	газон
lawyer	юристъёс
lay	кыллись
layer	сӥ
layout	макет
lazy	азьтэм
lead	кивалтыны
leader	тӧро
leaf	куар
leak	потон
lean	мыкыръяськыны
leap	кырем
learn	тодӥсько
learning	дышетон
lease	арендовать карыны
least	самой ӧжытэз
leather	сурон
leave	кошкыны
leave	кошкон
leaves	кельтӥз
led	светодиод
left	паллян
leg	пыд
legacy	люкетэз
legal	катлыко
legend	легенда
legit	катрадлыко
leisure	ваньмон
lend	пунэмаськытэк
length	кузьдалаезъя
less	пичи
lesson	урок
let	лэзьыса
letter	гожтэт
lettuce	салат
level	ӵоштала
leverage	пельпум
liability	пассивъёс
library	библиотека
lick	нюлыны
lie	пӧяськыны
lie	пӧяськон
lies	ӧрекчаськон
life	улон
lift	ӝутэмын
light	югыт
lightning	чилектэм кадь ӝог
like	яра
likely	зэмос
likewise	аналогично
line	гож
Lingala	Лингала
link	валче карон
lion	лев
liquid	кизермет
list	лыдмет
listen	кыл
listening	кылзон
literally	кылысь кылэ
literature	литература доры
litter	силё
little	пичи
live	ас
live	улыны
liver	мус
lives	улонъёс
living	улон
living room	куновисъет
lizard	кенӟали
load	тырыны
loaf	нянь
loan	кредит
local	интыысь
location	интыяськем
lock	ворсаны
lockdown	чурыт куронъёсъя нимаз висъян
log	кор
lol	lol
lonely	огназ
long	кема-а
long time no see	кемалась ӧм адскылэ
look	учкыны
look	учкон
loop	кыӵес
loose	лябӟытыны
lord	кузё
lose	ыше
loss	ыштон
lost	ыштод
lot	парти(я)
loud	бадӟым
lounge	шутэтскон висъет
love	яратон
love	яратыны
love you	яра-а тӥляд
lovely	чебер
low	лапег
lower	лэзьыны
loyal	лояльный
loyalty	лояльной луон
luck	шуд усён
lucky	удалтӥсь
Luganda	Луганда
luggage	багаж
lump	юдэс
lunch	ланч
lungs	тыос
luxury	шукырес чебер
lying	ӧрекчаськон
machine	станок
mad	укылтэм
madam	госпожа
made	лэсьтэм
magazine	журнал
magnificent	шукырес чебер
maid	горничная
main	кутскон бам
maintain	ӧз юрттэ
maintenance	юрттэт
Maithili	Майтхили
major	майор
majority	тросэз
make	лэсьтыны
make up	кылдытыны
male	пиосмурт
mall	вузкарон центр
man	адями
manage	кивалтон
management	кивалтон
manager	менеджер
mandatory	курегпузэз питыръяса
manifest	возьматыны
manipulate	манипулировать карыны
manner	лад
manual	ас кие дышетэм
many	трос
many many happy returns of the day	трос-трос нуналаз шудо бертонъёс
march	маршировать карыны
margin	маржа
market	базар
marriage	кузпалъяськон
married	кышнояськи
mask	карыны
mass	ас массово
massive	массивной
master	мастер
match	матч
mate	родственной
material	материал
math	математика
matter	юан
matter	басьтыны
maturity	быдэ вуон
may	куартолэзь
may	быгатыны
maybe	оло
me	монэ
me too	мон но
meal	сиён
mean	возьматэ:
meaning	сяська возьматэ:
means	средство
meant	возьматэ
meanwhile	со вискын
measure	ужрад
measures	мераос
meat	сӥль
medical	медицинской
medicine	эмъюм
meditation	медитация
medium	шор
meet	пумитаз
meeting	пумиськон
Meiteilon	Мейтейлон
melt	шунаны
memories	тодэ ваён
memory	йырсазь
mental	ментальной
mention	упоминание
mentioned	тодэ вайытэм
mentor	визьнодась
merchant	вузаськись
mercy	жалян
merely	ваньмыз-ӧвӧлэз
merry christmas	Ымусьтонэн
mess	базар
message	сообщение
messy	сӧрыны
metal	корт
method	метод
mice	шыръёс
middle	шор
midnight	уйшор
might	луонлык
mild	небыт-а
milestone	век
military	ожгар
milk	йӧл
million	миллион
mind	визь
mindset	малпан
mine	мынам
mingle	сураськыны
minor	тэшкылиос
minute	минут
minutes	пукетлэн протоколэз
miracle	чудо
mirror	синучкон
miscellaneous	пӧртэм
mischievous	лякыттэм
miserable	куанер
misery	ёрмон
miss	мыным
miss you	ӥледлы мӧзмыт
missing	кельтэм
mission	миссия
mist	бус
mistake	янгышаны
Mizo	Мизо
mobile	мобильной
mock	серем карыны
model	модель
moderate	возиськись
modern	туала
modest	зӥбыт
moist	нюр
moisture	нюр
mold	пурысьтам
mold	лепить карыны
mole	мень
mom	анай
moment	вакыт
monday	понедельник
money	коньдон
monitor	монитор
monkey	маймыл
month	толэзь
mood	мылкыд
moody	вогъяськись
moon	толэзь
moral	моральной
more	тросгес
moreover	со гинэ öвöл
morning	ӵукна
mortgage	залог
most	тросэз
mostly	валтӥсез
mother	анай
motion	вырӟылон
motivation	муг
mountain	гурезь
mouse	шыр
mouth	ымысь
move	выжылы
movement	вырӟылон
movie	кино
mrs	миссис
much	трос
mud	дэри
mug	кружка
muscle	сӥльвир
museum	музей
mushroom	губи
music	крезьгур
must	кулэ
mute	кылтэм-ымтэм
mutual	ог-огдэ
my	мынам
My dear	Мынам дуное
my friend	мынам эше
My hovercraft is full of eels	воздушной миндэрен пыже тырмемын угорен
my love	мынам яратонэ
my name is	монэ ӧтизы
my pleasure	тауна
my pleasure	пожалуйста
myself	асме
mysterious	лушкем
mystery	мадиськон
myth	миф
nail	гижы
naive	оскись
name	уноезлэн
narrative	мадён
narrow	сюбег
nasty	шöтэм
national	калыккуспо
nationality	йӧскалык
native	та интыын вордӥськем адями
natural	естественной
nature	инкуазь
nausea	юрӟым луон
near	кыдёкын ик ӧвӧл
nearby	матын
nearly	ӧжыт гинэ
neat	ӝикыт
necessary	кулэ
neck	чырты
necklace	чыртывесь
need	кулэ
negative	негативный
neglect	ултӥяны
negotiate	вачевераськонъёсты нуыны
neighbor	бускель
neighborhood	котыръёс
neither	озьы ик уг
nephew	вынъёстылэсь
nerd	визьтэм
nervous	нервной
nest	кар
net	нетто
network	нюжаос
neutral	нейтральной
never	ноку
never give up	ноку но ӧвӧл сётсконо
never mind	уг саклык висъяны
nevermind	ноку
nevertheless	сое чаклатэк
new	выль
news	иворъёс
next	вуоно
next to	бордын
nice	синмаськымон
nice to meet you	туж умой
niece	племянницае
night	уй
nightmare	кӧшкемыт
nine	укмыс
nineteen	дас укмыс
ninety	укмыстон
No	ӧвӧл
no problem	сотэк ужпумъёс
no way	номыр понна но
nobody	нокин (но)
noise	ӵашетэм
noisy	ӵаш
none	огез но
noon	лымшор
nope	ӧвӧл
nor	озьы ик уг
normal	умой
north	уй пал
nose	нырыныз
nostalgic	мӧзмон
not	ӧвӧл
not at all	номыр понна
not bad	урод ӧвӧл
Not now	Али уг яра
not yet	ӧвӧл на
note	гожтэт
noted	пусъем
nothing	номыр
notice	саклык висъяны
noticed	шӧдӥз
noun	существительнойлэн
nouns	макеним
novel	роман
november	шуркынмон
now	али
nowadays	туннэ нуналъёсы
nuisance	ӝож
null	буш пуштросэн
numb	жӧломем
number	номер
nurse	медсестра
nut	гайка
nutmeg	мускатной пушмульы
nutrition	питание
oath	кылсётон
obesity	кӧйомон
obey	дыр тэрытскыса
object	объектъёссэ
objective	ужпум
obligation	обязательствоос
obscure	пеймытатыны
observation	эскерон
observe	чакламын
obsessed	одержимый
obsession	йырысь кошкисьтэм малпан
obsolete	вужмеме
obstacle	инъет
obtain	кутыны
obtained	басьтэм
obvious	веранэз ӧвӧл
obviously	веранэз ӧвӧл
occasionally	куддыръя
occupation	кужмысь басьтон
occupied	ужась
occur	луыны
occurred	кылдэм
occurs	потыны
ocean	океан
october	коньывуон
odd	йӧспӧртэм
odds	луонлыкъёс
of	со пӧлын
of course	сюлэмо
off	питыртӥз
offensive	мыскыллян
offer	ӵектыны
offer	ӵектон
office	офис
official	нимысьтыз
often	ӵемгес
Oh	Ах
oh really	о, зэм
oil	мувӧй
ok	окей
ok dear	умой, мусое
ok honey	ярам ческыт (чечы)
ok my love	умой луоз, мынам яратон
okay	окей
okay baby	окей пичие
okay dear	умой, дуно
okay honey	умой-а, мусо
okay my love	я мынам яратонэ
old	пересь
on	вылтӥ
once	одӥг пол
one	одӥг
one language is never enough	одӥг кылэн ноку но тырмыт ӧвӧл
onion	сугонлэсь
online	онлайн
only	гинэ
open	усьтыны
operation	операциос
opinion	малпанъёс
opportunities	быгатонлыкъёс
opportunity	луонлык
opposite	ваче беринэ
optimistic	оптимистичной
option	опция
optional	факультативной
or	яке
orange	оранжевый
order	порядок
ordinary	огшоры
organization	огазеяськон
orientation	мынон сюресэз валан
origin	кылдон
original	зэмосэз
Oromo	Оромо
orphan	сирота
other	мукет
otherwise	озьытэк
ought	кулэ
our	милям
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Милям миссиямы:коткинлы луонлык сётыны, котькытын улонэз валаны но астэ пӧртэм кылъёсын возьматыны
Our mission: to organize the world's information and make it universally accessible and useful.	Милям миссиямы:дунне сярысь ивортодэтэз радъяны но сое общедоступной но пайдаё карыны
out	сьӧрын
outcome	йылпум
outfit	тӥрлык
outgoing	кошкон
outlet	потон
outline	набросок
outside	кунгож
outstanding	тонкӧлан
oven	духовка
over	кызьы ӵоже
over there	тини отын
overall	огъя
overcome	вормон
overthinking	умой-умой малпан
overwhelmed	сöрем
overwhelming	зӥбись
owe	пунэманы
owl	душес
own	возьыны
own	асъетаны
owner	кузё
ox	ош
pace	темп
pack	биньылыны
package	пакет
paid	дун тырытэк
pain	вӧсь
paint	буямын
painting	роспись
pair	куз
pale	ӟаректыны
palm	пальма
pan	кастрюляе
pandemic	пандемия
panic	паника
pants	штани
paper	кагаз
paradise	рай
parallel	валлингож
parcel	лэзем
pardon	кылкутонлэсь мозмытыны
parents	анай-атайёс
park	парк
parrot	попугай
parsley	петрушка
part	люкет
participate	пыриськизы
particular	нимысьтыз
particularly	тужгес (уката) ик
partner	партнерез
party	ӝытпукон
pass	ветлыны
passage	ветлон
passed	кельтылыны
passion	ӟырдыт
passionate	ӟырдыт
passive	пассивной
password	лушкемкыл
past	ортчем
patch	пластырь
path	сюрес
pathetic	мискинь
patience	чидан
patient	пациент
pattern	мурт
pause	вис
pavement	тротуар
pay	оплата
payment	тырон
peace	дунне
peaceful	тупаса улон
peach	персиковой
peak	пик
pear	груша
peas	кӧжы
peculiar	аспӧртэмлыко
pee	кызь
pee	кызяны
peel	сузяны
peer	ровня
peers	огъёзо
pen	ручкаез
pencil	карандаш
pending	витёнын
people	адями
pepper	перец
perceive	асъяны-валаны
perception	шӧдон
perfect	шектэм
perform	возьматыны
performance	выступление
perhaps	быгатэмзыя
period	дыр
permanent	ялан
permission	юаське
permit	лэзён
perseverance	мыр-мыр луон
persistent	кыл вылаз сылӥсь
person	адями
personal	ас
personality	мурт
personality	личность
perspective	луонлык
persuade	зӥбиз
pervert	отступник
pet	гурт
phase	фаза
phenomenon	феномен
philosophy	философи
phone	телефон
photo	туспуктэм
phrase	фраза
physical	физический
pick	быръе
pick up	кутыны
picture	суред
piece	шоро
pieces	юдэсъёс
pig	парсь
pigeon	дыдык
pile	свай
pillow	миндэр
pilot	самолётэз валтыны
pin	бышкалтыны
pineapple	ананас
pink	льӧль
pit	гоп
pit	гу
pitch	звенолэн
pity	жаль
place	инты
places	интыос
plague	сьӧдкыль
plain	ӵошал
plan	план
plane	ӵошкыт
plant	будосъёсын
plants	будосъёс
plate	тэркы
platform	платформа
play	шудыны.
playing	шудон
pleasant	ческыт
please	пожалуйста
pleased	куанӥсько
pleasure	майбыр
pledge	верам тырон
plenty	трос
plenty	туж трос
plot	сюжетлэн
plug	штекерной
plum	сливапу
plumber	водопроводчик
plural	трос лыд
podcast	подкаст
poem	поэма
poetry	кылбурет
point	точка
poison	яд
police	полиция
policy	политика
polite	вазиськись
pollution	кырсёмытон
pond	тымет
pool	бассейн
poop	сюдон
poor	куанер
pop	поп
popular	тодмо
population	калык
pork	парсь сӥль
porridge	ӝук
port	порт
position	положение
positive	позитивный
possess	луыны
possession	люкетэ
possessive	вормытъяськись
possible	луымон
post	почта пыр келян
post	почта
postpone	ужъёс
potato	картофка
potential	потенциалэз
pound	йыгаськыны
poverty	куанер улон
power	власть
powerful	кужымлыко
practical	практической
practical	ужвыл
practice	практика
praise	ушъяськытэк
prank	розыгрыш
pray	вӧсяськыса
precious	дуно
precise	шонер
precisely	ӵапак
predict	азьпала вераны
prefer	азьбур сётыны
preference	азьбур сётон
pregnant	кӧто
prejudice	малпанъёс
premises	корка
premium	премиум
preparation	дасяськон
prepare	дасяськон
prepared	дасям
preposition	нимазь
presence	гожтэт
present	солэсь
presentation	презентация
preserve	утьыны
president	президент
press	зӥбыны
pressure	давление
pretend	шӧдымтэ улэ аналскыны
pretty	синмаськымон
prevent	утялтыны
previous	азьвыл
prey	шедьтэм
price	дун
pride	вылтӥяськон
priest	вöсьбурчи
primary	основной
prime	валтӥсь
princess	принцесса
principal	принцип
prior	азьын
priority	приоритетъёсы
prison	пытсэт
privacy	огнын улон
private	частной
privilege	капчиятон
prize	приз
prize	кузьым
probably	вылды
problem	ужпумъёс понна
procedure	процедура
proceed	азинтон
process	процесс
produce	продукт
product	лэсьтос
production	производство
profession	професси(я)
professional	профессиональной
profile	профильной
profit	пайдазэ
profound	мур
progress	азинскемез
project	проект
prominent	кӧто
promise	ӵектэм
promote	юрттыны
promotion	азьланьтон
prompt	ӝоген
prone	быгатонлык
pronouns	нимвоштосъёс
pronunciation	веран
proof	зэматон
proper	нуиськизы
properly	шонер
properties	аслыкъёс
property	асъетсэс
proposal	ӵектон
prospect	азьланяз
prosperity	сяськаяськон
prosperous	сяськаясь
protect	юрттэт
proud	вылтӥяськись
prove	доказать
provide	ванё карыны
provided	чаклам
province	провинци(я)
provision	снабжение
puberty	ныл-пи быдэ вуон
public	публика
pull	кыскыны
pumpkin	тыква
pumpkin	каун
punctual	дырыз дыръя
pupil	дышетскись
purchase	басьтон
pure	чылкыт
purple	бусӥр
purpose	пуктэм ужпум
purse	уксё пуйы
pursue	сьӧры уйиськыны
pursuit	уйылон
push	донганы
put	пуктыны
qualification	интые
quality	качество
quantity	лыдпусъёс
quarantine	карантин
quarrel	копаськыны
quarrel	куара
quarter	ньыльмос люкет
Quechua	кечуа кыл
queen	королева
queer	йӧспӧртэм
query	курон
question	юан
queue	черодъёсты
quick	шаплыесь
quickly	ӝоген
quiet	каллен
quilt	шобрет
quit	ужысь кошкыны
quite	тырмоз
quiz	викторина
quotation	басьтэмкыл
quote	текст
quotes	котировкаос
rabbit	кролик
race	раса
rage	туж ян вожпотон
rain	зоръёслэн
raise	ӝутэмын
raised	ӝутэм
ran	бызиз
random	случайный
range	диапазонэз
rapid	чупырес
rapidly	ӝог
rare	мед шер
rarely	шер
rash	пужы
rat	комак
rate	ставка
rather	ӝоген
ratio	ваче кусып
rational	шонер малпам
raw	зуркак
reach	вуиз
reached	басьтыны быгатэм
reaction	реакци
read	лыдӟыны
reading	лыдӟиськон
ready	дась
real	туала
reality	зэмзэлык
realize	валалляз
realized	лэсьтэм
really	зэмзэ
rear	мышпалыз
reason	мугез
reasonable	йырвизьмо
recall	чортыны
receipt	вӧсь басьтон
receive	басьтыны
received	басьтэм
recent	недавний
recently	берпуметӥяз
reception	пумитан
recipe	рецептъёс
reckless	визьзэ ыштэ
recognition	тодман
recognize	тодмаллязы
recommend	дэмламын
recommended	ӵектыны
record	гожъян
recover	сайкан
recovery	выльдон
rectangle	шонерсэрег
red	горд
redeem	басьтон
redemption	янгышысь потон
reduce	пичиятыны
redundant	мултэс
refer	келяны
reference	чӧлсконъёс
reflect	возьматыны
reflection	малпаськон
refrain	возиськыны
refrigerator	йӧкана
refund	возмещение
refuse	отказ
refused	куронэз палэнтон
regard	гажан
regarding	кусыпын
regardless	эриктэмлык
regards	ӟечкылан
region	регион
register	регистрация
regret	жаляса
regular	эсэпрадо
regularly	ялан
reject	куронэз палэнтыны
relate	радъяськытыны
related	тупась
relationship	кусыпъёс
relative	относительной
relative	ӵыжы-выжы
relatives	ӵыжы-выжыос
relax	лябӟытӥськод
release	выпуск
released	поттэм
released	лэзем
relevant	лэсясь
reliable	осконо
relief	капчи
relieve	капчиятыны
relieved	мозмытэм
religion	осконзэ
religious	инмарлы оскись
reluctant	мылкыдтэк
rely	оскисько
remain	кыльыны
remaining	кылем
remarkable	вунэтонтэм
remedy	суд утиськон амалъёс
remember	тодады возе
remind	тодэ вайыт(ыл)ыны
reminder	тодэ вайытон
remote	палэнтыны
remove	палэнтыны
