ئە	a
دەست	hand
دەسک	handle
قۆز	handsome
هەڵواسین	hang
ڕوویدا	happen
ڕوویدا	happened
بەختەوەری	happiness
خۆشحاڵ	happy
سەخت	hard
ئازار	harm
ئاواز	harmony
تووند	harsh
بەرهەم	harvest
هەیەتی	has
ڕق	hate
هەبوون	have
هەبوون	having
مەترسی	hazard
تەم	haze
ئەو	he
سەر	head
ژانەسەر	headache
تەندروستی	health
تەندروست	healthy
بیستن	hear
بیستی	heard
دڵ	heart
گەرمایی	heat
بەهەشت	heaven
قورس	heavy
سەرقاڵ	hectic
هەیەتی	he has
بەرزی	height
میرات	heir
ئەو	he is
پەلە	heist
ئەنجامدان	held
دۆزەخ	hell
سڵاو	Hello
کڵاوزرێ	helmet
یارمەتیدان	help
یارمەتیدەر	helpful
لێرەوە	hence
ئەو	her
مێگەل	herd
لێرە	here
کەلەپور	heritage
دوودڵی	hesitate
سڵاو	Hey
سڵاو	Hi
شاراوە	hidden
شاردنەوە	hide
هەڕەم	hierarchy
بەرز	high
بەرجەستەکردن	highlight
گاڵتەئامێز	hilarious
گرد	hill
ئەو	him
ئاماژە	hint
ڕان	hip
سمت	hips
بەکرێگرتن	hiring
مێژوو	history
لێدان	hit
سڵاو	Hi there
هم	Hmm
خوولیا	hobby
ڕاگرتن	hold
کون	hole
پشوو	holiday
ناوچاڵ	hollow
ماڵەوە	home
ڕاستگۆ	honest
گیانە	Honey
شەرەف	honor
کڵاو	hood
قولاب	hook
بازدان	hop
هیوا	hope
ئاسۆیی	horizontal
قۆچ	horn
سامناک	horrible
ترس	horror
ئەسپ	horse
نەخۆشخانە	hospital
میوانداری	hospitality
خانەخوێ	host
دووژمنکارانە	hostile
گەرم	hot
ئوتێل	hotel
کاتژمێر	hour
کاتژمێر	hours
خانوو	house
خانەوادە	household
چۆن	how
چۆنی	how are you
چۆنی	how are you doing
چۆنی	how do you do
چۆنە	how is
چەند	how many
چەند	how much
ناوەند	hub
مێرد	hubby
گەورە	huge
مرۆڤ	human
سادە	humble
شێ	humid
شێ	humidity
سەد	hundred
برسی	hungry
ڕاوکردن	hunt
گەردەلول	hurricane
خێرایی	hurry
ئازار	hurt
مێرد	husband
خێرا	hustle
کوخ	hut
پاکوخاوێنی	hygiene
من	I
من	I am
دەتوانم	I can
ناتوانم	I can't
سەهۆڵ	ice
بیرۆکە	idea
نموونەیی	ideal
هاوتا	identical
دەسنیشانکردن	identify
ناسنامە	identity
تاک	idle
نازانم	I do not know
نازانم	I don't know
نازانم	I don’t know
تێناگەم	I don't understand
تێناگەم	I don’t understand
ئەگەر	if
پشتگوێخستن	ignore
هەمە	I had
هەمە	I have
من	I have been
هیوادارم	I hope so
دەزانم	I know
نەخۆش	ill
نایاسایی	illegal
نەخۆشی	illness
ئیلکانۆ	Ilocano
من	I'm
من	I’m
وێنە	image
بیرکردنەوە	imagine
مەبەستم	I mean
دەستبەجێ	immediate
دەستبەجێ	immediately
مەزن	immense
کاریگەری	impact
نائارامگر	impatient
جێبەجێکردن	implement
هاوردەکردن	import
گرنگ	important
سەپاندن	impose
نەگونجاو	impossible
کاریگەری	impression
بەرچاو	impressive
باشترکردن	improve
باشترکردن	improvement
لە	in
لەگەڵ	in addition
نەگونجاو	inappropriate
هاندەر	incentive
ڕووداو	incident
لەخۆگرتن	include
بەلەخۆگرتن	including
داهات	income
نائاسوودەیی	inconvenience
زیادکردن	increase
ناوازە	incredible
سەربەرخۆ	independent
هیندستان	India
ڕەسەن	indigenous
پیشەسازی	industry
کۆرپە	infant
نەخۆشی	infection
بێکۆتایی	infinity
هەوکردن	inflammation
ئاوسان	inflation
کاریگەری	influence
زانیاری	information
پێکهاتە	ingredients
سەرەتایی	initial
دەستپێشخەری	initiative
بریندار	injured
برین	injury
بێتاوان	innocent
داهێنان	innovation
پرس	inquiry
شێت	insane
مێروو	insect
نائارام	insecure
تێکردن	insert
لەناو	inside
تێڕوانین	insight
پێداگری	insist
نەخەوتن	insomnia
ئیلهام	inspiration
ئیلهام	inspire
دامەزراندن	install
نممونە	instance
دەستبەجێ	instant
لەجیاتی	instead
ڕێنماییەکان	instructions
ئامراز	instrument
بێڕێزی	insult
بیمە	insurance
بێخەوش	intact
یەکپارچەیی	integrity
هزریی	intellectual
هەواڵگری	intelligence
هۆشمەند	intelligent
مەبەست	intend
مەبەست	intended
چڕ	intense
نیاز	intention
کارلێک	interaction
حەز	interest
خوولیا	interested
ناوەند	intermediate
ناوخۆیی	internal
نێودەوڵەتی	international
ڕهێنان	internship
لێکدانەوە	interpret
وەرگێڕ	interpreter
پچڕان	interrupt
چاوپێکەوتن	interview
هاوڕاز	intimate
ناساندن	introduce
پێشەکی	introduction
گۆشەگیر	introvert
نادروست	invalid
داهێنان	invent
وەبەرهێنان	invest
لێکۆڵینەوە	investigate
بانگێشتکردن	invitation
بانگێشتکردن	invite
پسوولە	invoice
بەشدار	involve
بەشدار	involved
ئاسن	iron
تێدەگەم	I see
دوورگە	island
جیاکراوە	isolated
کێشە	issue
کێشەکان	issues
ئەو	it
کەلوپەل	item
کەرەستەکان	items
ئەو	it's
ئاساییە	it's ok
ئاساییە	It's okay
دەمەوێت	I want
من	I was
من	I will
من	I would be
چاکەت	jacket
بەندیخانە	jail
دۆلکە	jar
شەویلاگ	jaw
حەسوود	jealous
گەوهەر	jewelry
پیشە	job
ڕاکردن	jogging
پەیوەندیکردن	join
هاوبەش	joint
نوکتە	joke
ڕۆژنامەنووس	journalist
گەشت	journey
خۆشی	joy
دادوەر	judge
شەربەت	juice
تەموز	july
بازدان	jump
حوزەیران	june
تەنها	just
دادپەروەری	justice
ڕاستکردنەوە	justify
کالالیسوت	Kalaallisut
پەرۆش	keen
پاراستن	keep
پاراستی	kept
چاپەست	kettle
کلیل	key
لێدان	kick
منداڵ	kid
گاڵتەکردن	kidding
گورچیلە	kidney
منداڵەکان	kids
کوشتن	kill
جۆر	kind
جۆرێک	kinda
دڵنەرمی	kindness
پاشا	king
ماچ	kiss
مەتبەخ	kitchen
کۆلارە	kite
ئەژنۆ	knee
زانی	knew
چەقۆ	knife
سوار	knight
زانین	know
زانیاری	knowledge
زانراو	known
کۆنکانی	Konkani
کریۆ	Krio
لەیبڵ	label
کار	labor
کار	labour
نەبوون	lack
قادرمە	ladder
خانم	lady
داینا	laid
دەریاچە	lake
بەرخ	lamb
بەربەست	lame
چرا	lamp
زەوی	land
ئاسۆیی	landscape
زمان	language
کۆش	lap
گەورە	large
دوایین	last
درەنگ	late
دواتر	later
تازەترین	latest
دواتر	latter
پێکەنین	laugh
پێکەنین	laughing
پێکەنین	laughter
بەکارخستن	launch
جلشۆرگە	laundry
یاسا	law
گژوگیا	lawn
پارێزەر	lawyer
چین	layer
ڕیزبەست	layout
تەمبەڵ	lazy
سەرکردایەتی	lead
سەرکردە	leader
گەڵا	leaf
دزەکردن	leak
بازدان	leap
فێربوون	learn
فێربوون	learning
کرێ	lease
کەمترین	least
پێست	leather
جێهێشتن	leave
جێدەهێڵێت	leaves
چەپ	left
قاچ	leg
میرات	legacy
یاسایی	legal
ئەفسانە	legend
یاسایی	legit
قەرزدان	lend
درێژی	length
کەمتر	less
وانە	lesson
نامە	letter
کاهوو	lettuce
ئاست	level
لێپرسراویەتی	liability
کتێبخانە	library
لێستنەوە	lick
درۆ	lie
دەکەوێتە	lies
ژیان	life
بەرزکەرەوە	lift
ڕووناکی	light
بروسک	lightning
حەزپێکردن	like
ئەگەر	likely
هێڵ	line
لینگالا	Lingala
لینک	link
شێر	lion
شلە	liquid
لیست	list
گوێگرتن	listen
گوێگرتن	listening
واتایی	literally
وێژە	literature
زبڵ	litter
کەم	little
ژیان	live
جەرگ	liver
دەژیت	lives
زیندوو	living
هۆڵ	living room
مارمێلکە	lizard
بار	load
لەفە	loaf
قەرز	loan
ناوخۆیی	local
شوێن	location
قوفڵ	lock
یاداشت	log
وای	lol
بەتەنها	lonely
درێژ	long
سەیرکردن	look
ئەڵقە	loop
شل	loose
گەورە	lord
لەدەستدا	lose
لەدەستدان	loss
وون	lost
زۆر	lot
بەرز	loud
لۆبی	lounge
خۆشەویستی	love
جوان	lovely
نزم	low
کەمتر	lower
هاوسۆز	loyal
هاوسۆزی	loyalty
بەخت	luck
لوگاندا	Luganda
کەلوپەل	luggage
گرێ	lump
سیەکان	lungs
کامەرانی	luxury
پاڵکەوتن	lying
ئامێر	machine
شێت	mad
خاتوون	madam
دروستیکرد	made
گۆڤار	magazine
مەزن	magnificent
خانم	maid
سەرەکی	main
پاراستن	maintain
چاکردنەوە	maintenance
ماتیلی	Maithili
زۆرینە	majority
دروستکردن	make
ماکیاژ	make up
نێرینە	male
مۆڵ	mall
پیاو	man
بەڕێوەبردن	manage
بەڕێوەبردن	management
بەڕێوەبەر	manager
داواکراو	mandatory
ڕوون	manifest
دۆخ	manner
بەدەستی	manual
زۆر	many
ڕێپێوان	march
پەراوێز	margin
بازاڕ	market
هاوسەرگیری	marriage
دەمامک	mask
کۆمەڵ	mass
زۆر	massive
سەرەکی	master
یاری	match
هاوڕێ	mate
بابەت	material
بیرکاری	math
بابەت	matter
پێگەیشتوویی	maturity
ڕەنگە	may
ڕەنگە	maybe
من	me
واتە	mean
واتا	meaning
واتە	means
مەبەست	meant
پێوانە	measure
پێوەرەکان	measures
گۆشت	meat
پزیشکی	medical
دەرمان	medicine
نێوەندگیری	meditation
ناوەند	medium
چاوپێکەوتن	meet
کۆبوونەوە	meeting
میتیلۆن	Meiteilon
توانەوە	melt
یادەوەریەکان	memories
یادگە	memory
عەقلی	mental
سەرپەرشت	mentor
بازرگان	merchant
بەزەیی	mercy
خراپ	mess
پەیام	message
بێسەروبەرانە	messy
کانزا	metal
ڕێگا	method
مشک	mice
ناوەڕاست	middle
ڕەنگە	might
سووک	mild
سەربازی	military
شیر	milk
ملیۆن	million
ئەقڵ	mind
بیر	mindset
تێکەڵ	mingle
ئاوێنە	minor
خولەک	minute
کۆنووس	minutes
موعجیزە	miracle
ئاوێنە	mirror
هەمەجۆر	miscellaneous
هەڵخەڵەتێنەر	mischievous
بەدبەخت	miserable
ناخۆشی	misery
بیرکردن	miss
وون	missing
ئەرک	mission
هەڵە	mistake
میزۆ	Mizo
مۆبایل	mobile
مۆدێل	model
ناوەند	moderate
مۆدێرن	modern
خاکی	modest
شێ	moist
شێ	moisture
قالب	mold
مۆڵ	mole
دایک	mom
سات	moment
پارە	money
مەیمون	monkey
مانگ	month
میزاج	mood
میزاجی	moody
مانگ	moon
ئەخلاقی	moral
زیاتر	more
هەروەها	moreover
بەیانی	morning
زۆرینە	most
زۆرینە	mostly
دایک	mother
جووڵە	motion
هاندان	motivation
چیا	mountain
مشک	mouse
دەم	mouth
جووڵە	move
جووڵە	movement
فیلم	movie
خاتوو	mrs
زیاتر	much
قوڕ	mud
کوپ	mug
ماسوولکە	muscle
مۆزەخانە	museum
قارچک	mushroom
مووزیک	music
پێویستە	must
بێدەنگ	mute
هاوشێوە	mutual
ئازیزەکەم	My dear
خۆم	myself
نەزانراو	mysterious
نادیار	mystery
ئەفسانە	myth
نینۆک	nail
ساویلکە	naive
ناو	name
گێڕانەوە	narrative
تەسک	narrow
قێزەون	nasty
نیشتیمانی	national
ڕەگەزنامە	nationality
ڕەسەن	native
سروشتی	natural
سروشت	nature
هێڵنج	nausea
نزیک	near
نزیکەی	nearly
ڕێک	neat
پێویست	necessary
مل	neck
ملوانکە	necklace
پێویست	need
نەرێنی	negative
پشتگوێخستن	neglect
دراوسێ	neighbor
گەڕەک	neighborhood
برازا	nephew
گەمژە	nerd
نیگەران	nervous
هێلانە	nest
تۆڕ	net
تۆڕ	network
بێلایەن	neutral
هەرگیز	never
نوێ	new
هەواڵەکان	news
داهاتوو	next
تەنیشت	next to
جوان	nice
خوشکەزا	niece
شەو	night
دێوەزمە	nightmare
نۆ	nine
نۆزدە	nineteen
نەوەت	ninety
نەخێر	No
دەنگەدەنگ	noise
هیچ	none
بەیانی	noon
نەخێر	nope
نا	nor
ئاسایی	normal
باکور	north
لووت	nose
نۆستاڵجی	nostalgic
نەخێر	not
تێبینی	note
تێبینیکرا	noted
هیچ	nothing
تێبینی	notice
ناو	noun
ناو	nouns
ڕۆمان	novel
ئێستا	now
بێزارکردن	nuisance
هیچ	null
سڕ	numb
ژمارە	number
پەرستار	nurse
گوێز	nut
گوێز	nutmeg
خواردن	nutrition
سوێند	oath
قەڵەوی	obesity
گوێڕایەلی	obey
شت	object
ئامانجی	objective
ناچارکردن	obligation
نادیار	obscure
چاودێریکردن	observation
چەوساوە	obsessed
چەوساندەوە	obsession
ڕەها	obsolete
بەربەست	obstacle
ڕوون	obvious
بەڕوونی	obviously
بەڕێکەوت	occasionally
پیشە	occupation
سەرقاڵ	occupied
ڕوودان	occur
ڕوویدا	occurred
ئۆقیانووس	ocean
نامۆ	odd
کەموکوڕی	odds
لە	of
بێگومان	of course
کوژاوە	off
زبر	offensive
پێشکەشکردن	offer
نووسینگە	office
فەرمی	official
زۆرجار	often
ئۆی	Oh
نەوت	oil
باشە	ok
باشە	okay
بەتەمەن	old
لەسەر	on
کاتێک	once
یەک	one
پیاز	onion
سەرهێڵ	online
تەنها	only
کردنەوە	open
کردە	operation
بۆچوون	opinion
دەرفەتەکان	opportunities
دەرفەرت	opportunity
بەرامبەر	opposite
گەشبین	optimistic
بژاردە	option
ئارەزوومەندانە	optional
یان	or
نارنجی	orange
فەرمان	order
ئاسایی	ordinary
ڕێکخراو	organization
ئاڕاستەکردن	orientation
ڕەسەن	origin
ڕەسەن	original
ئۆرۆمۆ	Oromo
ئەگەرنا	otherwise
پێویستە	ought
دەرەوە	out
دەرەنجام	outcome
جل	outfit
دەرچوو	outgoing
ئاوتلێت	outlet
گەڵاڵە	outline
نایاب	outstanding
فڕن	oven
بەسەر	over
بەگشتی	overall
لەوێ	over there
قەرەباڵغ	overwhelmed
قەرەباڵغ	overwhelming
کوندەبەبۆ	owl
خاوەن	own
خاوەن	owner
باشە	ox
هەنگاو	pace
دەستە	pack
پاکێج	package
ژان	pain
بۆیاغ	paint
وێنەکێشان	painting
جووت	pair
ناولەپ	palm
تاوە	pan
پەتا	pandemic
ترس	panic
پانتۆڵ	pants
کاغەز	paper
بەهەشت	paradise
هاوتەریب	parallel
پارو	parcel
ببورە	pardon
باوک	parents
دایک	parents
پارک	park
تووتی	parrot
مەعدەنوس	parsley
بەش	part
تایبەت	particular
بەتایبەتی	particularly
هاوبەش	partner
ئاهەنگ	party
تێپەڕین	pass
تێپەڕین	passage
دەرچوو	passed
سۆز	passion
هاوسۆز	passionate
ناچالاک	passive
نهێنوشە	password
ڕابردوو	past
پینە	patch
ڕێڕەو	path
ئارامگری	patience
ئارامگر	patient
شێواز	pattern
وچان	pause
شۆستە	pavement
پارەدان	pay
پارەدان	payment
ئاشتی	peace
خۆخ	peach
لووتکە	peak
هەرمێ	pear
پۆلکە	peas
تایبەت	peculiar
میز	pee
هاوتا	peer
هاوتا	peers
پێنووس	pen
پێنووس	pencil
هەڵپەسێردراو	pending
خەڵک	people
بیبەر	pepper
وەرگرتن	perceive
وەرگرتن	perception
بێخەوش	perfect
ئەنجامدان	perform
ئەدا	performance
بێگومان	perhaps
ماوە	period
هەمیشەیی	permanent
ڕێپێدان	permission
ڕێپێدان	permit
پاراستن	perseverance
بەردەوام	persistent
کەس	person
کەسی	personal
کەسایەتی	personality
تێڕوانین	perspective
ڕازیکردن	persuade
لادەر	pervert
قۆناغ	phase
دیاردە	phenomenon
فەلسەفە	philosophy
تەلەفۆن	phone
وێنە	photo
گرێ	phrase
جەستەیی	physical
هەڵگرتن	pick
هەڵگرتن	pick up
وێنە	picture
پارچە	piece
پارچەکان	pieces
بەراز	pig
کۆتر	pigeon
کەڵەکە	pile
سەرین	pillow
فڕۆکەوان	pilot
دەمبوز	pin
ئەنەناس	pineapple
پەمبە	pink
چاڵ	pit
بەزەیی	pity
شوێن	place
شوێنەکان	places
تاعون	plague
تەخت	plain
پلان	plan
فڕۆکە	plane
درەخت	plant
ڕووەکەکان	plants
قاپ	plate
پلاتفۆرم	platform
یاری	play
خۆش	pleasant
تکایە	please
خۆشحاڵ	pleased
خۆشی	pleasure
زۆرێک	plenty
پیلان	plot
پلاک	plug
ئالوبالو	plum
بۆڕیچی	plumber
کۆ	plural
پۆدکاست	podcast
هۆنراوە	poem
هۆنراوە	poetry
خاڵ	point
ژەهر	poison
پۆلیس	police
سیاسەت	policy
بەڕێز	polite
پۆند	pond
مەلەوانگە	pool
پیسایی	poop
هەژار	poor
پۆپ	pop
باو	popular
دانیشتوان	population
تێکوشە	porridge
بەندەر	port
شوێن	position
ئەرێنی	positive
هەبوون	possess
هەبوون	possession
خاوەنداریەتی	possessive
دەشێت	possible
پۆست	post
دواخستن	postpone
پەتاتە	potato
پێشبینیکراو	potential
پاوند	pound
هەژاری	poverty
هێز	power
بەهێز	powerful
کرداریی	practical
پەیڕەوکردن	practice
پیاهەڵدان	praise
گاڵتە	prank
نوێژ	pray
بەهادار	precious
وورد	precise
خواست	preference
دووگیان	pregnant
دەمارگیری	prejudice
ناوچەکان	premises
نایاب	premium
ئامادەکاری	preparation
هەبوون	presence
ئێستا	present
پاراستن	preserve
سەرۆک	president
پەستان	press
فشار	pressure
نواندن	pretend
جوان	pretty
پێشووتر	previous
نێچیر	prey
نرخ	price
شانازی	pride
قەشە	priest
سەرەکی	primary
سەرەکی	prime
بەڕێوەبەر	principal
پێشوو	prior
ئەولەویەت	priority
بەندیخانە	prison
تایبەتمەندیەتی	privacy
تایبەت	private
ئیمتیاز	privilege
خەڵات	prize
ئەگەر	probably
کێشە	problem
ڕێکار	procedure
پرۆسە	process
بەرهەم	product
پیشە	profession
پیشەگەر	professional
پرۆفایل	profile
قازانج	profit
کاریگەر	profound
پرۆژە	project
دیار	prominent
پەیمان	promise
بەرزکردنەوە	promote
بەرزکردنەوە	promotion
وەڵام	prompt
بەروانکە	prone
جێناو	pronouns
گۆکردن	pronunciation
بەڵگە	proof
گونجاو	proper
بەدروستی	properly
تایبەتمەندیەکان	properties
سامان	property
پێشنیار	proposal
لایەن	prospect
گەشە	prosperity
سەرکەوتوو	prosperous
پاراستن	protect
شانازی	proud
سەلماندن	prove
دابینکردن	provide
پارێزگا	province
دابینکردن	provision
گشتی	public
ڕاکێشان	pull
قوتابی	pupil
کڕین	purchase
پاک	pure
مۆر	purple
مەبەست	purpose
جانتا	purse
ئەنجامدان	pursue
پاڵنان	push
دانان	put
لێهاتوویی	qualification
کواڵیتی	quality
بڕ	quantity
کەرەنتین	quarantine
مشتوومڕکردن	quarrel
چارەک	quarter
کێچوا	Quechua
شاژن	queen
نامۆ'	queer
پرس	query
پرسیار	question
نۆرە	queue
خێرا	quick
بەخێرایی	quickly
هێمن	quiet
لێف	quilt
وازهێنان	quit
تەواو	quite
کویز	quiz
وەرگرتن	quotation
وەرگرتە	quote
وەرگیراو	quotes
کەروێشک	rabbit
پێشبڕکێ	race
تووڕەیی	rage
باران	rain
بەرزکردنەوە	raise
دەگمەن	random
ڕێژە	range
خێرا	rapid
بەخێرایی	rapidly
دەگمەن	rare
پەلەکردن	rash
جورج	rat
ڕێژە	rate
جیا	rather
ڕێژە	ratio
بیرمەندانە	rational
ڕێز	raw
دەربارەی	re
گەیشتن	reach
گەیشت	reached
کاردانەوە	reaction
خوێندنەوە	read
خوێندنەوە	reading
ئامادە	ready
ڕاستەقینە	real
ڕاستی	reality
ناسینەوە	realize
زانی	realized
بەڕاستی	really
دواوە	rear
هۆکار	reason
شیاو	reasonable
بیرکەوتنەوە	recall
ڕەچەتە	receipt
وەرگرتن	receive
وەرگرت	received
پرسگە	reception
ڕەچەتە	recipe
بێباک	reckless
پێزانین	recognition
ناسینەوە	recognize
پێسنیارکردن	recommend
تۆمار	record
لاکێشە	rectangle
سوور	red
ڕزگارکردن	redemption
کەمکردنەوە	reduce
دووبارە	redundant
ئاماژە	refer
سەرچاوە	reference
ڕەنگدانەوە	reflect
ڕەنگدانەوە	reflection
سەلاجە	refrigerator
ڕەتکردنەوە	refuse
سەبارەت	regard
سەبارەت	regarding
سڵاو	regards
هەرێم	region
تۆمارکردن	register
پەشیمانی	regret
ئاسایی	regular
ئاساییانە	regularly
ڕەتکردنەوە	reject
پەیوەست	relate
پەیوەست	related
پەیوەندی	relationship
خزم	relative
خزمەکان	relatives
حەسانەوە	relax
ئازادکردن	release
پەیوەندیدار	relevant
حەسانەوە	relief
هێوکردنەوە	relieve
حەساوە	relieved
ئایین	religion
ئایینی	religious
دوودڵ	reluctant
مانەوە	remain
ماوە	remaining
بەرچاو	remarkable
قەرەبوو	remedy
بیرهاتنەوە	remember
بیرخستنەوە	remind
بیرخەرەوە	reminder
دوور	remote
لابردن	remove
گۆڕین	render
کرێ	rent
چاککردنەوە	repair
دووبارەکردنەوە	repeat
وەڵامدانەوە	reply
ڕاپۆرت	report
نوێنەرایەتی	represent
ناوبانگ	reputation
داواکاری	request
داواکردن	require
داواکراو	required
ڕزگارکردن	rescue
توێژینەوە	research
نائاسوودەیی	resentment
پاراستن	reservation
پاراستن	reserve
دانیشتوو	resident
گونجاویی	resilience
گونجاو	resilient
بڕیار	resolution
توانەوە	resolve
پەناگە	resort
سەرچاوەکان	resources
ڕێزگرتن	respect
وەڵامدانەوە	respond
وەڵامدانەوە	response
بەرپرسیاریەتی	responsibility
بەرپرسیار	responsible
پشوو	rest
چێشتخانە	restaurant
گەڕاندنەوە	restore
سنووردارکردن	restrict
ئەنجام	result
ئەنجامەکان	results
دەستپێکردنەوە	resume
تاکفرۆشی	retail
هێشتنەوە	retain
هێشتنەوە	retention
خانەنشین	retired
کشانەوە	retreat
گەڕاندنەوە	retrieve
گەڕانەوە	return
تۆڵە	revenge
داهات	revenue
پێداچوونەوە	review
پێداچوونەوە	revise
پێداچوونەوە	revision
شۆڕش	revolution
خەڵات	reward
ڕیتم	rhythm
پەراسوو	rib
برنج	rice
دەوڵەمەند	rich
سواربوون	ride
بێمانا	ridiculous
ڕاست	right
ئێستا	right now
پتەو	rigid
ئەڵقە	ring
شۆردن	rinse
ناڕەزایی	riot
دابڕین	rip
گەیشتوو	ripe
مەترسی	risk
پێشبڕکێکار	rival
ڕووبار	river
ڕێگا	road
برژان	roast
بەهێز	robust
بەرد	rock
گۆچان	rod
ئەرک	role
بنمیچ	roof
ژوور	room
ڕەگ	root
پەت	rope
بۆگەن	rotten
نزیکە	rough
خول	round
ڕێڕەو	route
ڕۆتین	routine
ڕیز	row
شێلان	rub
ڕەشکۆ	rubber
پاشەڕۆ	rubbish
توند	rude
بەرماڵ	rug
تێکدان	ruin
ڕێسا	rule
ڕاستە	ruler
ڕێساکان	rules
ڕاکردن	run
ڕاکردن	running
لادێی	rural
خێرا	rush
کیس	sack
پیرۆز	sacred
قوربانی	sacrifice
سەلامەت	safe
سەلامەتی	safety
ژیر	sage
ووتی	said
چارۆک	sail
لەپێناو	sake
مووچە	salary
فرۆشتن	sale
سەلەمۆن	salmon
خوێ	salt
هەمان	same
نموونە	sample
خۆڵ	sand
سانسکریت	Sanskrit
گاڵتەجاڕی	sarcastic
دانیشت	sat
ڕازیکردن	satisfaction
ڕازی	satisfied
ڕازیکەر	satisfying
شەمە	Saturday
سۆس	sausage
ساویلکە	savage
هەڵگرتن	save
بینی	saw
ووتن	say
سکەیڵ	scale
سکام	scam
قەتماخە	scar
کەمی	scarce
ترساو	scared
سەرپۆش	scarf
ترسناک	scary
پەرش	scattered
دیمەن	scene
دیمەن	scenery
بۆن	scent
خشتە	schedule
قوتابخانە	school
زانست	science
زانا	scientist
زاناکان	scientists
مقەس	scissors
مەودا	scope
نمرە	score
سیکراب	scrap
خوراندن	scratch
قیژە	scream
شاشە	screen
بورغی	screw
سکریپت	script
دەریا	sea
مۆر	seal
گەڕان	search
وەرز	season
کورسی	seat
دووەم	second
نهێنی	secret
بەش	section
پارێزراو	secure
ئاسایش	security
بینین	see
تۆو	seed
گەڕان	seek
بینراو	seen
گرتن	seize
گرتن	seizure
دەگمەن	seldom
دەسنیاشنکردن	select
خود	self
خۆپەرست	selfish
فرۆشتن	sell
ناردن	send
باڵا	senior
هەست	sense
هەستیار	sensible
هەستیار	sensitive
ناردی	sent
ڕستە	sentence
ڕستەکان	sentences
جیا	separate
سێپێدی	Sepedi
ئەیلول	september
زنجیرە	sequence
زنجیرە	series
جددی	serious
خزمەتکردن	serve
خزمەتگوزاری	service
وانە	session
دانان	set
دۆخ	setting
حەوت	seven
حەڤدە	seventeen
حەفتا	seventy
چەندین	several
تووند	severe
درووی	sew
سێبەر	shade
سێبەر	shadow
شەقاندن	shake
پێویستە	shall
ناوبۆش	shallow
شەرمەزاری	shame
شێوە	shape
هاوبەشکردن	share
تیژ	sharp
ئەو	she
سێبەر	shed
مەڕ	sheep
پەڕە	sheet
هەیتی	she has
ئەو	she is
ڕەفە	shelf
قاوغ	shell
پەناگە	shelter
قەڵغان	shield
گۆڕین	shift
درەوشانەوە	shine
کەشتی	ship
ناردن	shipping
کراس	shirt
پێڵاو	shoes
لێدان	shoot
دوکان	shop
بازاڕکردن	shopping
کەنار	shore
کورت	short
کورتهێنان	shortage
تەقە	shot
پێویستە	should
شان	shoulder
هاوارکردن	shout
نیشاندان	show
گەرماوکردن	shower
ڕۆبیان	shrimp
داخستن	shut
شەرم	shy
برا	sibling
خوشک	sibling
برا	siblings
خوشک	siblings
نەخۆش	sick
لا	side
ئاه	sigh
دیدە	sight
نیشانە	sign
واژۆ	signature
گرنگ	significant
بێدەنگی	silence
بێدەنگ	silent
ئاوریشم	silk
زیو	silver
هاوشێوە	similar
ساویلکە	simp
سادە	simple
لەوەتەی	since
دڵسۆز	sincere
دڵسۆزت	sincerely
گورانی	sing
تاک	single
بەڕێز	Sir
خوشک	sister
دانیشتن	sit
شوێن	site
بارودۆخ	situation
شەش	six
شازدە	sixteen
شەست	sixty
قەبارە	size
کارامەیی	skill
کارامەییەکان	skills
پێست	skin
لاواز	skinny
بازدان	skip
تەنورە	skirt
ئاسمان	sky
کۆیلە	slave
نووستن	sleep
خەوتن	sleeping
خەواڵوو	sleepy
قۆڵ	sleeve
قاش	slice
سلاید	slide
کەمێک	slightly
لاواز	slim
خزین	slip
سلۆپ	slope
ڕیز	slot
هێواش	slow
بەهێواشی	slowly
بچووک	small
ژیر	smart
بۆن	smell
خەندە	smile
دووکەڵ	smoke
لووس	smooth
لوولپێچ	snail
مار	snake
لەپڕ	snap
بەفر	snow
بۆیە	so
سابون	soap
ڕەسەن	sober
کۆمەڵایەتی	social
کۆمەڵگە	society
گۆرەوی	socks
نەرم	soft
سۆفتوێر	software
خاک	soil
ڕەق	sold
سەرباز	soldier
فرشتی	sold out
تەنها	sole
ڕەق	solid
چارەسەر	solution
چارەسەر	solve
هەندێک	some
کەسێک	somebody
کەمێک	somehow
کەسێک	someone
شتێک	something
گۆرانی	song
زوو	soon
ئاڵۆز	sophisticated
سۆرانی	Sorani
ئاوساو	sore
خەم	sorrow
ببوورە	Sorry
جۆر	sort
گەڕان	sought
گیان	soul
دەنگ	sound
شۆربا	soup
ترش	sour
سەرچاوە	source
باشوور	south
مەودا	space
سپام	spam
مەودا	span
ئیسپانی	Spanish
یەدەگ	spare
قسەکردن	speak
تایبەت	special
جۆرەکان	species
تایبەت	specific
نایاب	spectacular
قسە	speech
خێرایی	speed
بەسەربردن	spend
تیژ	spicy
پێچانەوە	spin
سپێناغ	spinach
گیان	spirit
تف	spit
نایاب	splendid
لەتکردن	split
تێکدان	spoil
تێکیدا	spoiled
لەخۆڕا	spontaneous
کەوچک	spoon
پەڵە	spot
هاوسەر	spouse
بەهار	spring
چوارگۆشە	square
گوشین	squeeze
سکوید	squid
سمۆرە	squirrel
شەقام	st
