abandoned	ފަޅު
determine	ކަނޑައެޅުން
devastated	ވަރަށް ވަރުބަލިވެފަ
developed	ކުރިއަރާފައި
development	ތަރައްޤީ
develop	ތަރައްޤީ
device	ޑިވައިސް
devil	ޝައިޠާނާ
devoted	އިޚްލާސްތެރި
Dhivehi	ދިވެހި
diabetes	ހަކުރުބަލި
diarrhea	ބޭރަށް ހިންގުން
diary	ޑައިރީ
dictionary	ބަސްފޮތް
did	ކުރި
died	މަރުވެފައި
diet	ޑައެޓް
die	މަރުވުން
difference	ތަފާތު
different	ތަފާތު
difficult	އުދަނގޫ
dignity	އަގު
dig	ކޮނުން
diligent	ފަރުވާތެރި
dinner	ރޭގަނޑުގެ ކެއުން
dip	ގަންބާލުން
direction	މަގު
director	ޑިރެކްޓަރު
direct	ޑައިރެކްޓް
dirty	ހުތުރު
dirt	ކިލާ
disabled	ނުކުޅެދޭ
disable	ޑިޒޭބަލް
disappear	ގެއްލުން
disappointed	ހިތްހަމަ ނުޖެހުން
disaster	މުޞީބާތް
discard	ނައްތާލުން
discharge	ދޫކޮށްލުން
discipline	އަޚްލާޤު
discount	ޑިސްކައުންޓް
discover	ފާހަގަވުން
discrimination	ތަފާތުކުރުން
discussion	މަޝްވަރާތައް
discuss	މަޝްވަރާކުރުން
diseases	ބަލިތައް
disease	ބަލި
disguise	އަސްލުސިފަ ނޫން އެހެން ސިފައެއްގައި
disgusting	ހުތުރު
dishes	ތަށިތައް
dish	ޑިޝް
dismiss	ދުރުކޮށްލުން
dispatch	ޑިސްޕެޗް
display	ޑިސްޕްލޭ
disposal	ޑިސްޕޯސަލް
dispute	ހަމަނުޖެހުން
distance	ދުރުމިން
distinct	ވަކި ޚާއްސަ
distinguish	ވަކިކުރުން
distress	ހިތްދަތިކަން
distribution	ބަހާލުން
district	ސަރަހައްދު
disturb	އުނދަގޫކުރުން
ditch	ވަޅުގަނޑު
diverse	ޑިވަރސް
diversity	ޑިވަރސިޓީ
dive	ޑައިވް
divide	ބައިކުރުން
divine	ޑިވައިން
divorce	ވަރި
dizzy	ބޯއެނބުރުން
doctor	ޑޮކްޓަރު
document	ލިޔެކިޔުން
doesn't	ނުކުރޭ
does	ކުރުން
Dogri	ޑޮގްރި
dog	ކުއްތާ
doing	ކުރަނީ
doll	ބުދު
domain	ޑޮމެއިން
domestic	އެތެރޭގެ
dominant	ބާރުގަދަ
donate	ހަދިޔާކުރުން
done	ނިމިއްޖު
donkey	ޙިމާރު
Don't worry	ކަންބޮޑު ނުވޭ
don't	ނުކުރޭ
dope	ޑޯޕް
double	ދެފަަހަރު
doubt	ޝައްކު
dough	ފުށްގަނޑު
download	ޑައުންލޯޑް
down	ތިރި
do you love me	ތިބާ އަަހަރެންދެކެ ލޯބިވޭތަ
do you	ތިބާ ކުރަންތަ
do	ކުރަން
draft	ދެލިކޮޕީ
drag	ލަސްކުރުން
drain	ފެން ހިންދުން
drama	ޑްރާމާ
drawer	ވަތްގަނޑު
drawing	ކުރެހުން
draw	ކުރެހުން
dread	ބިރުގަތުން
dream	ހުވަފެން
dress	ހެދުން
drill	ޑްރިލް
drink	ބުއިން
drive	ދުއްވުން
dropped	ވެއްޓުން
drop	ވެއްޓުން
drought	ހަނަފަސްކަން
drunk	މަސްތުވެފައި
dry	ހިކި
duck	އަސްދޫނި
dude	މީހެއް
due to	ގުޅިގެން
due	ލިބެންޖެހޭ
dull	މަޑު
dumb	ބޯގޯސް
dump	ކުނިގޮނޑު
duration	މުއްދަތު
during	މެދުތެރޭގައި
dust	ހިރަފުސް
duty	ޑިއުޓީ
dwell	ގާއިމްވުން
dying	މަރުވަމުންދާ
each other	އެކަކު އަނެކަކު
each	ކޮންމެ
eager	ޝައުޤުވެރި
eagle	ބާޒު
earlier	ކުރިން
early	ކުރިން
earn	ޢާމްދަނީ ހޯދުން
ears	ކަންފަތް
earthquake	ބިންހެލުން
earth	ދުނިޔެ
ear	ކަންފަތް
ease	ފަސޭހަވުން
easily	ފަސޭހައިން
east	އިރުމަތި
easy	ފަސޭހަ
eating	ކަނީ
eat	ކެއުން
economic	އިކޮނޮމިކް
economy	އިޤްޠިޞާދު
edge	ކައިރިފަށް
edit	ބަދަލު ގެނައުން
education	ތަޢުލީމް
effective	އަސަރުކުރުވާ
effect	އަސަރު
efficiency	އެފިޝެންސީ
efficient	އެފިޝަންޓް
effort	ހިތްވަރު
eggplant	ބަށި
egg	ބިސް
ego	އީގޯ
eighteen	އަށާރަ
eighty	އަށްޑިހަ
eight	އަށެއް
either	ނުވަތަ
elaborate	ތަފްޞީލުކުރުން
elbow	އުޅަބޮށި
elderly	ދުވަސްވީ މީހުން
elder	ދޮށީ
elegant	ރިތި
element	އެއްޗެއްގެ ބައެއް
elephant	އެތް
eleven	އެގާރަ
eligible	ޝަރުޠުހަމަވުން
eliminate	މަދުކުރުން
else	އެހެން
embarrassed	ލަދުގަނެފައި
embarrassing	ލަދުގަންނަ
embrace	ބައްދާލުން
emergency	ކުއްލި ޙާލަތު
emerge	ފާޅުވުން
emotional	އިމޯޝަނަލް
empathy	އެކަކުގެ އިހުސާސް އަނެކަކު ދަތުން
emphasis	ފާހަގަކުރެވިފައި
emphasize	ފާހަގަކުރުން
employees	ފަޒީފާ އަދާކުރާ ފަރާތްތައް
employee	މުވައްޒަފު
employer	ވަޒީފާދޭ ފަރާތް
employment	ވަޒީފާ
empty	ހުސްވެފަ
enable	މަގުފަހި
encounter	އެންކައުންޓަރ
encourage	ހިތްވަރުދިނުން
endangered	ނެތި ހިނގައިދާނެކަމުގެ ބިރު އޮތް
endeavor	އެންޑެވަރ
endurance	ކެތްތެރިކަން
endure	ކެތްކުރުން
end	ނިމުން
enemy	ދުޝްމަނު
energy	ހަކަތަ
engaged	އެންގޭޖްވުން
engagement	އެންގޭޖްމަންޓް
engage	އެންގޭޖް
engineer	އިންޖިނޭރު
engine	އިންޖީނު
English	އިނގިރޭސި
enhance	ފެންވަރު ރަނގަޅުކުރުން
enjoy	މަޖާ ކޮށްލާ
enormous	ނުހަނު
enough	ފުދިއްޖެ
ensure	ޔަޤީންކުރުން
entertainment	މުނިފޫހިފިލުވުން
enter	ވަނުން
enthusiasm	ޝަޢުޤުވެރިކަން
enthusiastic	ހިތްވަރުހުރުން
entire	މުޅި
entitled	ހައްޤުލިބެންވެފައި
entity	އެންޓިޓީ
entrance	ވަންނަ ތަން
entrepreneur	ވިޔަފާރިވެރިޔާ
envelope	ސިޓީއުރަ
environment	މާޙައުލު
envy	ޙަސަދަ
epic	ބަރާބަރު
epidemic	ބަލިމަޑުކަން
equal	އެއްވަރު
equipment	އިކުއިޕްމަންޓް
equity	އެކުއިޓީ
equivalent	އެއްފަދަ
eraser	ފޮހޭ ރަބަރު
error	ކުށް
escape	ފިލުން
especially	ޚާއްސަކޮށް
essay	މަޒުމޫނު
essence	ޢަރަޤު
essential	މުހިންމު
established	ޤާއިމުވެފައި
establish	ޤައިމުކުރުން
estate	އެސްޓޭޓް
estimated	ލަފާކޮށްފައި
estimate	އެސްޓިމޭޓް
eternal	އަބަދަށް ދެމިގެންވާ
ethics	ސުލޫކު
evaluate	އިވެލުއޭޓް
evaluation	އިވެލުއޭޝަން
evening	ހަވީރު
even though	އެހެންވިޔަސް
eventually	އެންމެ ފަހުން
event	ހަރަކާތް
even	ހަމަހަމަ
everybody	އެންމެން
everyone	އެންމެން
everything	ހުރިހާ އެއްޗެއް
every	ކޮންމެ
ever	އެއްވެސް އިރެއްގައި
evidence	ހެކި
evil	ނުބައި
evolution	އިވޮލިއުޝަން
evolve	ދައުރުވުން
Ewe	އިޔުވް
exactly	ކަނޑައެޅިގެން
exact	ހަމަ އެ
examine	ހޯދާ ބެލުން
example	މިސާލު
exam	އިމްތިޙާނު
exceed	އިތުރުވުން
excellent	ވަރަށް މޮޅު
exception	ޤަވައިދަށް ނުފެތޭ
except	މެނުވީ
excessive	އިތުރަށް
excess	އިތުރު
exchange	އެކްސްޗޭންޖް
excited	އުފާވުން
excitement	އުފާވެރިކަން
exciting	ވަރަށް އުފާވެރި
exclusive	ޚާއްސަ
excuse me	ވަގުތުކޮޅެއްދީ
excuse	އެކްސްކިއުޒް
execute	ތަންފީޒުކުރުން
execution	ތަންފީޛުކުރުން
executive	އެގްޒެކެޓިވް
exercise	ކަސްރަތު
exhausted	ވަރުބަލިވުން
exhaust	ވަރުބަލިކަން
exhibition	އެގްޒިބިޝަން
exhibit	އެގްޒިބިޓް
existence	ވުޖޫދުގައިވުން
existing	މިހާރު ހުރި
exist	މައުޖޫދުގައިވާ
exit	ނިކުންނަ
expand	އިތުރުކުރުން
expected	އުންމީދުކުރި
expect	އުންމީދުކުރާގޮތް
expenses	ހަރަދުތައް
expensive	އަގުބޮޑު
experience	ތަޖުރިބާ
experiment	ތަޖުރިބާ
expert	މާހިރުން
expired	މުއްދަތުހަމަވެފައި
explain	ދޭހަ ކޮށްދިނުން
explanation	ތަފްޞީލު
exploit	ނާޖާއިރު ފައިދާ ނެގުން
explore	ދިރާސާކުރުން
export	އެކްސްޕޯޓް
exposed	ފާޅުވެފައި
expose	ފާޅުވުން
exposure	ހުށަހޮޅުން
expression	އެކްސްޕްރެޝަން
express	ފާޅުކުރުން
extended	އިތުރުކޮށްފައިވުން
extend	އިތުރުކުރުން
extension	މުއްދަތު އިތުރުކުރުން
extent	މިންވަރު
external	ބޭރުފުށުގެ
extinct	ނެތިދިޔުން
extract	އެކްސްޓްރެކްޓް
extraordinary	އާދަޔާ ޚިލާފު
extra	އިތުރު
extremely	ވަރަށް
extreme	ވަރަށް
ex	އެކްސް
eyes	ލޯ
eye	ލޯ
fabric	ފޮތި
fabulous	ވަރަށް ރީތި
face	މޫނު
facilitate	ފަސޭހަކޮށްދިނުން
facilities	ފެސިލިޓީތައް
facility	ފެސިލިޓީ
factory	ފެކްޓަރީ
factor	ފެކްޓަރ
facts	ހަގީގަތް
fact	ހަޤީޤަތް
fade	ގެއްލުން
failed	ފެއިލްވުން
failure	ފެއިލްވުން
fail	ނާކާމިޔާބުވުން
faint	ހޭނެތުން
fairly	ފުދޭވަރަކަށް
fairy	ޕަރީ
fair	އިންސާފު
faithful	ވަފާތެރި
faith	އީމާންތެރިކަން
fake	އަސްލުނޫން
fall	ވެއްޓުން
false	ރަނގަޅުނޫން
fame	މަޝްހޫރު
familiar	ދަންނަ
family	ޢާއިލާ
famine	ހަނަފަސްކަން
famous	މަޝްހޫރު
fancy	ފޭންސީ
fantastic	ވަރަށް ފުރިހަމަ
fan	ފަންކާ
farewell	ވަކިވެލުން
farmer	ދަނޑުވެރިޔާ
farm	ދަނޑު
far	ދުރު
fascinating	ވަރަށް ހިތްގައިމު
fashion	ފެޝަން
fast	އަވަސް
fatal	ނުރައްކާރެތި
fate	ތަޤްދީރު
father	ބައްޕަ
fatigue	ވަރުބަލިކަން
fat	ފަލަ
fault	ކުށް
favorite	ކަމުދާ
favourite	އެންމެ ކަމުދާ
favour	ހެޔޮކަމެއް
fear	ބިރު
feast	ޖާފަތް
feather	ފިޔަ
features	ސިފަތައް
feature	ސިފަ
february	ފެބްރުއަރީ
fed up	ފުދުން
feedback	ފީޑްބެކް
feed	ކާންދިނުން
feeling	އިޙްސާސް
feel	އިޙުސާސް
feet	ފައި
fee	ފީ
fellow	އެކުވެރި
fell	ވެއްޓުން
felt	އިޙުސާސްވުން
female	އަންހެން
fence	ފެންސް
fertile	ދަރިމައިވަންތަ
festival	ފެސްޓިވަލް
fetch	ނެގުން
fever	ހުން
fewer	ހުން
few	މަދު
fiance	ކައިވެނިކުރަން ރަންކިޔާފައިވާ ކުއްޖާ
fiction	ފިކްޝަން
field	ދާއިރާ
fierce	ވަރުގަދަ
fifteen	ފަނަރަ
fifty	ފަންސާސް
fighting	ތަޅާފޮޅުން
fight	ތެޅުން
figure out	ފާހަނގަވުން
figure	އަދަދެއް
file	ފައިލް
filled	ފުރިފައިވުން
fill	ފުރުން
film	ފިލްމު
filthy	ނަޖިސް
finally	އެންމެފަހުން
finance	ފައިނޭންސް
financial	ފައިނޭންޝަލް
find out	ހޯދުން
find	ހޯދުން
fine	ހިމުން
finger	އިނގިލި
finished	ނިމުން
finish	ނިންމުން
fire	އަލިފާން
firm	ހަރުދަނާ
first name	ފުރަތަމަ ނަން
first	ފުރަތަމަ
fish	މަސް
fit	ފިޓް
five	ފަހެއް
fixed	ހަރުކޮށްފައި
fix	ހައްލުކުރުން
flag	ދިދަ
flash	މަސްގަނޑު
flat	ފްލެޓް
flawless	އެއްވެސް އައިބެއް ނެތް
flaw	އައިބު
flee	ފިލުން
flesh	މަސް
flew	އުދުހިގެން ދިއުން
flexible	ފްލެކްސިބަލް
flex	ދަމާލުން
flight	ފްލައިޓް
flip	ފުށުންޖެހުން
flirting	ފްލާޓްކުރުން
flirt	ފްލަރޓް
float	ބީއްސުން
flood	ފެންބޮޑުވުން
floor	ބިންމަތި
flour	ފުށް
flower	މާ
flow	އޮހުން
fluently	ފަރިތަކަމާއެކު
fluent	ފަރިތަ
fluffy	މަޑު
fluid	ދިޔާތަކެތި
flu	ރޯގާ
fly	އުދުހުން
focus	ފޯކަސް
foggy	ދުންވެފަ
fog	ދުންފިނި
fold	ފައްޖެހުން
folks	މީހުން
following	ކަމަކާ ގުޅިގެން
follow up	ކުރިއަށްދާގޮތްބެލުން
follow	ފޮލޯ
food	ކާތަކެތި
foolish	މޮޔަ
fool	މޮޔަ
football	ފުޓްބޯޅަ
foot	ފައިތިލަ
forbidden	މަނާ
force	މަޖުބޫރުކުރުން
forecast	ފޯކާސްޓް
forehead	ނިއްކުރި
foreign	ޚާރިޖީ
forest	ޖަންގަލި
forever	އަބަދަށް
For example	މިސާލަކަށް
forget	ހަނދާންނެތުން
forgive	މަޢާފުކުރުން
forgot	ހަނދާންނެތުން
for instance	މިސާލަކަށް
fork	އޫ
formal	ރަސްމީ
former	ކުރީގެ
form	ފޯމު
fortunately	ނަސީބަކުން
fortune	ޚަޒާނާ
forty-two	ސާލީސް ދޭއް
forty	ސާޅީސް
forward	ކުރިޔަށް
for you	ތިބާއަށް
for	އަށް
foster	ފޯސްޓަރ
fought	ތެޅުން
foundation	ބިންގާ
found	ފެނިއްޖެ
fourteen	ސާދަ
four	ހަތަރެއް
fox	ހިޔަޅު
fragile	ނާޒުކު
framework	އޮނިގަނޑު
frame	ފްރޭމް
fraud	ފްރޯޑް
freak	ތާކުންތާކު ނުޖެހޭ
freedom	މިނިވަންކަން
freeze	ގަނޑުކުރުން
free	ހިލޭ
frequency	ފްރީކުއެންސީ
frequently	ތަކުރާރުވުން
frequent	ވަރަށް އަވަސް އަވަހަށް
fresh	ތާޒާ
friday	ހުކުރު ދުވަސް
fridge	އައިސް އަލަމާރި
friendly	ރަޙްމަތްތެރި
friendship	ރަހުމަތްތެރިކަން
friends	ރަޙްމަތްތެރިން
friend	ރަޙުމަތްތެރިޔާ
frightened	ބިރުގަނެފައި
frightening	ބިރުވެރި
frog	ބޮއް
from	ފަރާތުން
front	ކުރިމަތި
frozen	ގަނޑުވެފަ
fruit	މޭވާ
frustrated	ހިތްނުތަނަވަސް ވެފައިވުން
fuel	ތެޔޮ
Fulfulde	ފިލްފުލްޑަ
full	ފުރިފައި
function	ފަންކްޝަން
fundamental	އަސާސީ
funeral	ޖަނާޒާ
funny	މަޖާ
fun	މަޖާ
furious	ރުޅިގަދަ
furniture	ފަރްނީޗަރ
furthermore	އޭގެއިތުރުން
further	ކުރިޔަށް
fur	ކެހެރި
future	މުސްތަޤުބަލު
gain	ލިބުން
game	ގޭމް
gap	ގެޕް
garage	ގަރާޖް
garbage	ކުނި
garden	ބަގީޗާ
garlic	ލޮނުމެދު
gate	މައި ދޮރު
gathering	އެއްވުން
gather	އެއްކުރުން
gauge	ގޯޖް
gave	ދިން
gear	ގިއަރު
gender	ޖިންސު
generally	އާންމުގޮތެއްގައި
general	އާންމު
generate	ޖެނެރޭޓް
generation	ޖެނެރޭޝަން
generous	ދީލަތި
genius	ވަރަށް މޮޅު
genre	ބާވަތް
gentle	މަޑުމައިތިރި
genuine	ތެދުވެރި
gesture	އިޝާރާތް
get dressed	ހެދުން އަޅާ
getting	ލިބެނީ
get up	ތެދުވޭ
get well soon	އަވަސް ޝިފާއަކަށް އެދެން
get	ލިބުން
ghosting	ބާކީކޮށްލުން
ghost	ފުރޭތަ
giant	ބޮޑު
gift	ހަދިޔާ
ginger	އިނގުރު
girlfriend	ގާލްފްރެންޑް
girl	އަންހެން ކުއްޖާ
given	ދީފައިވުން
give up	ދޫކޮށްލުން
give	ދިނުން
glad	އުފާވުން
glance	ބެލުން
glasses	ބިއްލޫރި ތަށިތައް
glass	ބިއްލޫރި
glimpse	ފެނިލުމެއް
global	ބައިނަލްއަގުވާމީ
gloomy	ހިތާމަވެރި
gloves	އަންގި
glow up	ދިއްލާލުން
glow	ވިދުން
glue	ތެރަސް
go ahead	ކުރިއަށް ދޭ
goals	ލަނޑުދަނޑިތައް
goal	މަޤަޞަދު
goat	ބަކަރި
go away	ދުރަށް ދޭ
god bless you	މާތް ﷲ ތިބާއަށް ބަރަކާތް ލައްވާށި
god	ﷲ
goes	ދޭ
going to	މިދަނީ
going	ދިއުން
gold	ރަން
gone	ގޮއްސި
good afternoon	ބާއްޖަވެރި މެންދުރުފަހެއް
good bye	ވަރަށް ސަލާން
goodbye	ދަނީ
good day	ބާއްޖަވެރި ދުވަހެއް
good evening	ބާއްޖަވެރި ހަވީރެއް
good job	ވަރަށް މޮޅު
good looking	ބަލާލަން ރީތި
good luck	ހުރިހާ ކަމެއް ރަނގަޅަށް ދާނެ ކަމަށް އުންމީދުކުރަން
good morning my love	ބާއްޖަވެރި ހެނދުނަކަށް އެދެން ލޯބިވާ
good morning	ބާއްޖެވެރި ހެނދުނެއް
goodnight	ބާއްޖަވެރި ރެޔަކަށް އެދެން
good night	ބާއްޖަވެރި ރޭގަނޑަކަށް އެދެން
goods	މުދާތައް
good	ރަނގަޅު
Google Translate	ގޫގްލް ޓަރާންސްލޭޓް
Google	ގޫގްލް
goose	އަސްދޫނި
goo	ފަކުރު ގަންނަ ފަދަ ދިޔާ އެއްޗެއް
gorgeous	ރީތި
gossip	މީހުން ނެތް ތަނުގައި އެމީހުންގެ ވާހަކަ ދެއްކުން
got it	ލިބިއްޖެ
go to bed	ނިދަން ދޭ
got	ލިބިއްޖެ
government	ސަރުކާރު
go	ދޭ
grab	އަތުލުން
grade	ގްރޭޑް
gradually	މަޑު މަޑުން
graduate	ގްރެޖުއޭޓް
grain	އޮށް
granted	ދިނުން
grant	ދިނުން
grapes	މޭބިސްކަދުރު
grasp	ދެނެގަނެވުން
grass	ވިނަ
grateful	ޝުކުރުވެރި
gratitude	ޝުކުރު
grave	ކަށްވަޅު
gray	އަޅިކުލަ
great	ބޮޑު
greedy	ދަހި
greed	ދަހިކަން
green	ފެހި
greetings	ސަލާމް
greeting	ތަހުނިޔާކިޔުން
greet	ސަލާމްދިނުން
grey	އަޅިކުލަ
grid	ގްރިޑް
grief	ހިތްދަތިކަން
grind	ހިމުންކުރުން
grip	ހިފެހެއްޓުން
grocery	ގްރޯޝެރީ
groom	ރީތިވުން
gross	ގްރޮސް
ground	ބިންމަތި
group	ގްރޫޕް
growth	ހެދިބޮޑުވުން
grow	ބޮޑުވުން
grumpy	ރުޅިގަދަވެފައި
Guarani	ގަރާނީ
guarantee	ޔަޤީންކަން
guard	ގާޑް
guess	ހީވާގޮތް
guest	ގެސްޓު
guidance	ހިދާޔަތު
guide	މަގުދައްކައިދިނުން
guilty	ގިލްޓީ
guys	ފިރިހެނުން
guy	ފިރިހެނެއް
gym	ޖިމް
habitat	ދިރިއުޅޭތަން
habit	އާދަ
had	އޮތް
hail	ފިނިފޭބުން
hair	އިސްތަށިގަނޑު
half	ހުއްޓުމަކަށް އައުން
hall	ހޯލް
handle	ހިފަހައްޓާތަން
handsome	ރީތި
hand	އަތްތިލަ
hang out	އެކުގައި އުޅުން
hang	އެލުވުން
happened	ހިނގި
happen	ވުން
happiness	އުފާވެރިކަން
happy birthday to you	ތިބާއަށް އުފާވެރި އުފަންދުވަހަކަށް އެދެން
happy birthday	އުފާވެރި އުފަންދުވަހެއް
happy new year	އުފަވެރި އާ އަހަރަކަށް އެދެން
happy	އުފާ
hardly ever	ދުވަހަކުވެސް
hardly	ވަރަށް  މަދުން
hard	އުނދަގޫ
harmful	ގެއްލުންލިބޭ
harmony	ހަމަހިމޭންކަން
harm	އަނިޔާ
harsh	ވަރުގަދަ
harvest	ހާވެސްޓް
has	އޮތުން
hate	ނަފްރަތު
have a good day	ބާއްޖަވެރި ދުވަހަކަށް އެދެން
have a nice day	ބާއްޖަވެރި ދުވަހަކަށް އެދެން
have breakfast	ސައިބޯލާ
have fun	މަޖާކޮށްލާ
have you eaten	ކައިފިންތަ
have	އޮތުން
hazard	ނުރައްކާތެރި
haze	ފޭދިފައި
headache	ބޮލުގައިރިހުން
head	ބޯ
healing	ފަރުވާ
healthy	ދުޅަހެޔޮ ސިއްޙަތެއް
health	ސިއްޙަތު
heal	ރަނގަޅުވުން
heard	އަޑުއިވުން
heart	ހިތް
hear	އަޑުއިވުން
heat	ހޫނު
heaven	ސުވަރުގެ
heavy	ބަރު
hectic	ބުރަ
height	އުސްމިން
heir	ވާރިތަވެރިޔާ
heist	ހެއިސްޓް
he is	އޭނަ އަކީ
held	ހިފެހެއްޓިފައި
hello dear	އައްސަލާމް ޢަލައިކުމް ޑިއަރ
hello how are you doing	އައްސަލާމް ޢަލައިކުމް ތިބާގެ ޙާލު ކިހިނެތް
hello how are you	އައްސަލާމް ޢަލައިކުމް ތިބާގެ ޙާލު ކިހިނެތް
Hello	އައްސަލާމް ޢަލައިކުމް
hell	ނަރަކަ
helmet	ހެލްމެޓް
helpful	އެހީތެރި
help	އެހީވުން
hence	އެހެންކަމުން
herd	ހަރޑް
here	މިތަނުގަ
heritage	ހެރިޓޭޖް
her	އޭނާ
hesitate	ފަސްޖެހުން
Hey	އައްސަލާމް ޢަލައިކުމް
he	އޭނަ
hidden	ފޮރުވިފައި
hide	ފޮރުވުން
hierarchy	ހައިރާކީ
highlight	ހައިލައިޓް
high	އުސް
hi how are you	އައްސަލާމް ޢަލައިކުމް ތިބާ ކިހިނެއް
hike	ހައިކް
hiking	ހައިކް ކުރުން
hilarious	މަޖާ
hill	ފަރުބަދަ
him	އޭނާ
hint	އިޝާރާތެއް
hips	އުނަގަނޑު
hip	އުނަގަނޑު
hire	ކުއްޔަށްހިފުން
hiring	ކުއްޔަށް ނެގުން
history	ތާރީޚް
his	އޭނަގެ
Hi there	އައްސަލާމް ޢަލައިކުމް
hit	ޖެހުން
Hi	އައްސަލާމް ޢަލައިކުމް
Hmm	ހުމް
hobby	ހޮބީ
hold on	މަޑުކޮށްލާ
hold	ހިފަހައްޓާ
hole	ލޯވަޅު
holiday	ޗުއްޓީ
hollow	ހުސް
homework	ހޯމްވަރކް
home	ގެ
honestly	ޙަޤީޤަތުގައި
honest	ތެދުވެރި
Honey	މާމުއި
honor	ޝަރަފު
hood	ހުޑް
hook	ބުޅި
hopefully	އުންމީދުކުރާ ގޮތުގައި
hopeless	އުންމީދުގެއްލުން
hope	އުންމީދު
hop	ފުންމުން
horizontal	ދިގަށް
horn	ހޯން
horrible	ވަރަށް ކަމުނުދާ
horror	ބިރު
horse	އަސް
hospitality	މެހެމާންދާރީ
hospital	ހަސްފަތާލު
hostile	ހަރުކަށި
host	މެހެމާންދާރީ އަދާކުރާ ފަރާތް
hotel	ހޮޓެލް
hot	ހޫނު
hours	ގަޑިއިރުތަކެއް
hour	ގަޑިއިރު
household	ގޭގައިގެންގުޅޭ
house	ގެ
how about you	ތިބާ ޔޯ
how are you doing today	ތިބާގެ ޙާލު މިއަދު ކިހިނެތް
how are you doing	ހާލު ކިހިނެތް
how are you today	ތިބާ މިއަދު ކިހިނެއް
how are you	ހާލު ކިހިނެތް
how do you do	ތިބާ ކިހިނެއް
however	އެހެނެއްކަމަކު
how is	ކިހިނެތް
how many	ކިތަކެއް
how much	ކިހާ ވަރެއް
how often	ކިހާ އާންމުކޮށް
how old are you	ތިބާއަށް ކިތައް އަހަރު
how was your day	ތިބާގެ ދުވަސް ކިހިނެތް ދިޔައީ
how was your night	ތިބާގެ ރޭގަނޑު ދިޔައީ ކިހިނެތް
how	ކިހިނެތް
hubby	ފިރިމީހާ
hub	ހަބް
huge	ބޮޑު
hug	ބައްދާލުން
human	އިންސާނާ
humble	މަޑުމައިތިރި
humidity	ތެތްފިނިކަން
humid	ހޫނު ގަދަ
hundred	ސަތޭކަ
hungry	ބަނޑުހައިވުން
hunt	ޝިކާރަކުރުން
hurricane	ނަގޫރޯޅި
hurry up	އަވަސް ކުރޭ
hurry	އަވަސްކުރުން
hurt	ދެރަވުން
husband	ފިރިމީހާ
hustle	ހަސްލް
hut	ހަޓް
hygiene	ސާފުޠާހިރުކަން
I am fine	އަހަރެން ރަނގަޅު
I am	އަހަންނަކީ
I can't	އަހަންނަކަށް ނުވާނެ
I can	އަހަންނަށް ވާނެ
ice cream	އައިސް ކްރީމް
ice	ގަނޑު
ideal	އެންމެ އެކަށޭނެ
idea	ޚިޔާލު
identical	ވައްތަރު
identify	އައިޑެންޓިޓީ
identity	އައިޑެންޓިޓީ
idiot	މޮޔަ
idle	ކަމެއްނުކޮށް ހުރުން
I do not know	އަހަންނަކަށް ނޭގޭ
I do not understand	އަހަންނަކަށް ފަހުމެއް ނުވި
I don't know	އަހަންނަކަށް ނޭނގެ
I don’t know	އަހަންނަކަށް ނޭގޭ
I don't understand what you mean	ތިބާ ތި މާނަކުރިއެއްޗެއް އަހަންނަކަށް ނޭގުނު
I don't understand you	ތިބާ ތިބުނި އެއްޗެއް ފަހުމް ނުވި
I don’t understand	އަހަންނަކަށް ނުވިސްނުނު
I don't understand	އަހަންނަކަށް ނޭނގުނު
I don't	އަހަރެން ނުކުރަން
I do	އަހަރެން ކުރަން
if	ނަމަ
ignore	އަޅާނުލުން
i guess	އަހަންނަށް ހީވަނީ
I had	އަހަރެން އަތުގައޮތް
I have been	އަަހަރެން ވިން
I have	އަހަރެން އަތުގަ އޮތް
I hope so	އަަހަރެން އުންމީދުކުރަން
I know	އަހަންނަށް އިނގޭ
I like you	އަހަރެންނަށް ތިބާ ކަމުދޭ
I like	އަހަރެން ރުހޭ
illegal	ހުއްދަނޫން
illness	ބަލިކަން
ill	ބަލިވުން
Ilocano	އިލްކާނޯ
I love my big brother	އަހަރެން އަހަރެންގެ ބޭބެދެކެ ލޯބިވެއެވެ
I love my big sister	އަހަރެން އަހަރެންގެ ދައްތަދެކެ ލޯބިވެއެވެ
I love my father	އަހަރެން އަހަރެންގެ ބައްޕަދެކެ ލޯބިވެއެވެ
I love my little brother	އަހަރެން އަހަރެންގެ ކުޑަ ފިރިހެން ކޮއްކޮ ދެކެ ލޯބިވެއެވެ
I love my little sister	އަހަރެން އަހަރެންގެ ކުޑަ އަންހެން ކޮއްކޮ ދެކެ ލޯބިވެއެވެ
I love my mother	އަހަރެން އަހަރެންގެ މަންމަދެކެ ލޯބިވެއެވެ
I love you so much	އަހަރެން ތިބާ ދެކެ ވަރަށް ލޯބިވޭ
I love you too	އަހަރެންވެސް ތިބާދެކެ ލޯބިވޭ
I love you	އަހަރެން ތިބާ ދެކެ ލޯބިވަން
I love	އަހަރެން ލޯބިވޭ
image	ފޮޓޯ
imagine	ވިސްނާލުން
I mean	އަހަރެން މާނަކުރީ
I'm fine	އަހަރެން ހެޔޮ ޙާލުގައި
I'm good	އަހަރެން ރަނގަޅު
I'm here	އަހަރެން މިހިރީ
I miss you so much	އަހަރެން ތިބާ މަތިން ވަރަށް ހަނދާންވޭ
