qunxaama	a little
duugeyna	eraser
qellata	error
hoxa	error
kudiyya	escape
baxsaluk	especially
amok raci kutbe	essay
mixaxu	essence
faxximtaama	essential
soolis	establish
timixxigeh	established
iko	estate
amoomisso	estimate
amoomisen	estimated
wonnay wonna	etc
w.w	etc
waar leemi	eternal
adabi	ethics
kusaaqis	evaluate
kusaaqa	evaluation
missa	even
takku	even
takkay immay	even though
bara	evening
tikko	event
ellecabol	eventually
inkiih	ever
faxe waqdi	ever
kulli	every
kulli num	everybody
kulli num	everyone
kulli caagid	everything
alhumu	evidence
umeyna	evil
sulum le milaagu	evolution
yenbeh	evolve
dadleh	evolve
Eweh afa	Ewe
dumi	ex
hununuh	exact
mummaak	exactly
asmatah	exactly
aqayyaare	exam
aqayyaare	examine
fokkaq	examine
ceelallo	example
tatreh	exceed
fuleh	exceed
kaxxam meqe	excellent
tohuksa	except
baxsalem	exception
ixxuuk daga	excess
caddok biso	excess
caddok daga	excessive
milallaagu	exchange
uguugutiyya	excited
hanbareeri	excitement
uguugus le	exciting
caglah	exclusive
sababa	excuse
qafu yoh ab	excuse me
yagdubeh	execute
abnis	execute
abnisso	execution
agdubiyya	execution
yagbudi	executive
miraaceyna	executive
elle baritto	exercise
qeeri	exhaust
taqbisiyya	exhaust
laclaceh	exhausted
taqbeh	exhausted
assalalaq	exhibit
assalaalaq	exhibition
yanih	exist
mano	existence
geytimiyya	existing
mawqa	exit
fidsaanam	expand
yaynabeenim	expand
giitaanam	expand
ekkel	expect
qambaaleh	expect
qambalsimtaama	expected
mawqooq	expenses
fayya le melleb	expensive
kubqi	expensive
abak raag	experience
gibbatu	experiment
mihratli	expert
mixigi	expert
udduruk akak tatre	expired
qaddos	explain
adda fakootu	explanation
agiirini abto	exploit
gorris	explore
fokkaq	explore
iroh ruubiyya	export
dangaba	expose
dangabeenih	exposed
dangabimiyya	exposure
aybalaalaqiyya	express
axciyya	express
aybulliyya	expression
yeyxeereh	extend
texxeereh	extended
fiddimteh	extended
giitimteh	extended
ayxeeriyya	extension
wilaq baritto	extension
waado	extent
iroyta	external
iroh imi	external
samad kak bayem	extinct
ossotina	extra
eyyeq	extract
tewqeemi	extract
qaadaj irò	extraordinary
waadok daga	extraordinary
waadok biso	extreme
kaxxam nabam	extremely
inti	eye
intiita	eyes
saro	fabric
nabam qax meqe	fabulous
nabam meqe	fabulous
foocat garayiyya	face
sahhilos	facilitate
eglaali	facilities
ayfaaf mansoofa	facilities
ayfaaf mansafa	facility
qado nummà	fact
tekkok sababa	factor
fabrika	factory
qado nummaami	facts
weelò koris	fade
nikso	fail
radiyya	fail
radeh	failed
yinnikisseh	failed
nikso	failure
baxaysu	failure
qawul	faint
saabo leh	fair
qadli le	fair
qadli luk	fairly
sahli luk	fairly
ginni	fairy
diini	faith
amaana le numu	faithful
celssiisi	fake
nikso	fall
radiyya	fall
oobiyya	fall
DIRAABA	false
migaq-nabnà	fame
ayti-gexxò	fame
tamixxigeemi	familiar
buxà mara	family
qululu	famine
aytì-gexxòli	famous
qokole	fan
bilqa le	fancy
cakkuumu	fantastic
soono celtaama	fantastic
xeerih	far
rubsuusu	farewell
buqreh araca	farm
buqraabe	farmer
xahangaagissah	fascinating
suumut leemi	fascinating
qusubih taniimi	fashion
salu	fashion
sissikih	fast
soomu	fast
gabulu	fat
xayta	fat
raba xaltaama	fatal
qawwalayla leemi	fatal
qaasiri	fate
saami	fate
abba	father
taanu	fatigue
hoxa	fault
akah laftaanama	favorite
qokolu	favour
cato	favour
akah laftaanama	favourite
bohoy	fear
meesi	fear
quduuamata	feast
qunxa gali	feather
ceelo	feature
ceelo	features
qad-dirri	february
sakkiteh	fed up
cayya kak iyye	fed up
meklà	fee
oskom	feed
abni raddi	feedback
cussut	feel
ucsub	feel
cussutu	feeling
iba	feet
radeh	fell
yinnikisseh	fell
wadaytu	fellow
ucsubeh suge	felt
say numu	female
dabbaala	fence
gasò	fence
murti xaltaama	fertile
xaltam dudda	fertile
wayanabò	festival
bah	fetch
gorris	fetch
ifiil	fetch
xagar laqna	fever
dagom	few
dagom	fewer
liisoli	fiance
hayyayooni	fiction
haadlissò	fiction
booxa	field
caami	fierce
cayla	fierce
taban kee konoyu	fifteen
kontomu	fifty
qeebi	fight
qeebi	fighting
muuci	figure
ixma	figure
gorrisay gey	figure out
sibà	file
oyti koboxu	file
kib	fill
kibeh	filled
filmi	film
quduf le	filthy
adabi sinni	filthy
elle cabol	finally
maaliyyà	finance
maali caagid	financial
gey	find
gorrisay gey	find out
meqeh	fine
nagaya	fine
lakqo digaala	fine
feera	finger
gaba kal	finish
sel	finish
gabakaleh	finished
gira'	fire
tellemoh egla	firm
digga le	firm
inik hayto	first
naharsi migaq	first name
elle yamixxigen migaq	first name
kullunta	fish
xiqisso kib	fit
konoyu	five
bicis	fix
dambiy	fix
bicteh	fixed
milaagime sinniimi	fixed
simbilì	flag
bixiqqa hay	flash
fidinih	flat
qaybi	flaw
boolà sinniimi	flawless
kud	flee
cadò	flesh
xagara	flesh
haadeh	flew
xambabbaq	flex
uybulluy	flex
milaagimtaama	flexible
haadiyya	flight
afah korsa	flip
baarrà kallaci	flirt
agbi kallaciyya	flirting
silisah	float
baabtaama	float
weeqa	flood
baaxa	floor
burri	flour
qullunta	flow
qobooru	flower
gosonu	flu
yabti dudda	fluent
yabti dudda luk	fluently
xagaral xamciniimi	fluffy
raymi	fluid
haadiyya	fly
kaaqaytu	fly
hangi	focus
gayrana	fog
qubulu	fog
qubul le	foggy
xammaq	fold
sehda	folks
katayaanam	follow
tiital lakleh	follow up
ciggiilak	following
maaqo	food
duquru	fool
duquru	foolish
iba	foot
ibi koqso	football
wohuh	for
tohuh	for
sabbatah	for
ceelalloh	For example
ceelalloh	for instance
ku sabbatah	for you
koh	for you
waasimtem	forbidden
qande	force
cayla	force
turaanama	forecast
qarsa	forehead
qansa	forehead
iro gaba	foreign
garbò	forest
kulli waqdi	forever
ummaan	forever
habbel	forget
qafu aba	forgive
habbaaleh	forgot
habbalteh	forgot
feeraar le malkqa	fork
weelo	form
madabiino	formal
dumaahe	former
saami maqaaneh	fortunately
gaddaliino	fortune
saami maqaane	fortune
morootomu	forty
morootom kee nammaya	forty-two
tatrusaanama	forward
ruubaanama	forward
maqar bahsis	foster
qaris	foster
qeebi abe	fought
geeh	found
rakiibo	foundation
fereyi	four
taban kee fereyi	fourteen
wakri	fox
xayih taddigilleemi	fragile
solsoolu	frame
rakisso	frame
caagid rakisso	framework
aylahu	fraud
ayra	fraud
cakkumu	freak
able-waynu	freak
curri	free
curriino	freedom
xabcat barad abiyya	freeze
qagaaqago	frequency
qagaaqagittaama	frequent
qagaaqagitak	frequently
qusbam	fresh
niqinuk	fresh
Gumqata	friday
giraasel	fridge
dalbi	fridge
kataysa	friend
kataysiinul	friendly
sinam kacanuli	friendly
kataysiisi	friends
kataysiinu	friendship
meesiteh	frightened
meesi qiddaama	frightening
baxanna	frog
furgata	from
akak	from
fooca	front
xabbacowteh	frozen
barad tekkeh	frozen
cax	fruit
caxà-miroyta	fruit
bag carritiyya	frustrated
niya arigqiyya	frustrated
siragle	fuel
Fulfuldeh afa	Fulfulde
kibuk tan	full
wahnaana	fun
taama	function
abina	function
rakiibo	fundamental
maagaqa	funeral
rabeena	funeral
taysuuliseemi	funny
furkacat leemi	funny
saqi xagooru	fur
kaxxa bakcarra aalliyya	furious
buxah uwwa	furniture
bisoh	further
alla	further
wohuk bisoh	furthermore
yamaatu waa udduru	future
maksab geytò	gain
digiiri	game
faaqa	gap
foxo'	gap
garaaza	garage
qedbi araca	garage
wasaka	garbage
qudufu	garbage
wahnan araca	garden
qado basala	garlic
gasoh afa	gate
gaaboysiyya	gather
kobxisiyya	gathering
caddò maqakkanà	gauge
yeceeh	gave
marshi	gear
nado-wag	gender
amolladi	general
amolladih	generally
geyiyya	generate
ayyaaqiyya	generate
horà	generation
racò	generation
gaba maqaane	generous
qaakili	genius
fanni qaynata	genre
ramaqqà leemi	gentle
digga le numma	genuine
asta	gesture
maxcoh ascassa	gesture
gey	get
geyaanah	get
sara hayis	get dressed
sarit	get dressed
ugut	get up
xeyih qaffow	get well soon
geyiyya	getting
rooci sinniimi	ghost
bayaanama	ghosting
ginna-baxa	giant
acwa	gift
qasa amo le num/barra	ginger
gandabili	ginger
awka	girl
kacnoytà	girlfriend
mereytà	girlfriend
ucuy	give
tuk soolaanama	give up
niya yargiqeenimi	give up
yeceenim	given
ruffa	glad
farciteh	glad
garrah wagtiyya	glance
karaarata	glass
karaarota	glasses
miryatitte	glasses
wessàh abliyya	glimpse
baadal	global
ditè leemi	gloomy
gabà kufuufu	gloves
habugu	glow
iffoyteh	glow up
camukkà	glue
xakbissa duyye	glue
gex	go
bisoh inxic	go ahead
gex	go away
qarkayto fanah gex	go to bed
hadafa	goal
madmoomi	goals
hadafitte	goals
reyta	goat
yalla	god
yalli barkat koh yacaay	god bless you
gexah	goes
gexxah	goes
gexo	going
gexiyya	going
gexam	going to
abam	going to
dahaba	gold
gexeh	gone
abeyyo	gonna
xakabta duyyè	goo
meqeh	good
nagay	good
nagassee	good afternoon
salaamata	good bye
meqe ayro	good day
nagasseeni	good evening
kassowteeni	good evening
meqe taama	good job
qax meqe	good looking
meqe saami	good luck
Meqe Maaca	good morning
maacissee	good morning
maacissee yi kacanow	good morning my love
meqe bara	good night
salaaamata	goodbye
maquk raq	goodbye
meqe bara	goodnight
uwwaytu	goods
googili	Google
googilit maqnisaanama	Google Translate
gayya ceela gumaytu	goose
qax meqeemi	gorgeous
inti qawtaama	gorgeous
cami	gossip
geenih	got
geeh	got
geeh	got it
doolata	government
ibbix	grab
caddo	grade
caatih	gradually
dooqaysime barra	graduate
dooqaysime num	graduate
murdudu	grain
ixbu	grant
cato'	grant
xuureh	granted
yeceeh	granted
qinaaba	grapes
nagay ced	grasp
qaysò	grass
galtò gacsa	grateful
faata gacsa	grateful
galto cacsa	gratitude
kabri	grave
burraacin bisu	gray
kaxxam meqe	great
inti-xeera	greed
hirfi	greed
hirfeena	greedy
inti-xeerali	greedy
anxaxin	green
salaamaqle ab	greet
salaamata	greeting
salaamatta	greetings
burraacin	grey
kuntuubu	grid
fiqanfiirimi	grid
manfiyò	grid
rooka	grief
riy	grind
diggah ibbix	grip
maaqò dukkaana	grocery
qaruusu	groom
ittata	gross
inkitanuuk	gross
baaxo	ground
ardi	ground
dokonu	group
butta	group
anbiyya	grow
dadal	grow
manubu	growth
dadala	growth
naqabu le	grumpy
Guaranih afa	Guarani
amantissò	guarantee
caabi	guarantee
dacris	guard
dacayri	guard
fayramisa	guess
qibnaytu	guest
miraaciino	guidance
ascossa	guidance
miracisiyya	guide
giti ascossa	guide
baatileena	guilty
numu	guy
labhay	guys
xagar-dig handaga	gym
adara	habit
qaada	habit
guubu elle taniimi	habitat
luk suge	had
fayla	hail
dagooru	hair
garaba	half
qaxa	half
handaga	hall
gaba	hand
ibbixi	handle
qax moqo	handsome
waxeexis	hang
liglig	hang
assima	hang out
tekkeh	happen
tekkeh	happened
rufroota	happiness
farci	happiness
saahite	happy
farcite	happy
unkaq ubukyah ayro	happy birthday
meqe ubukyah aro koh takkay	happy birthday to you
meqe qusba sanat	happy new year
digga	hard
gidba	hard
caylaluk	hardly
inkinnah	hardly
way inkinnah	hardly ever
biyaaka	harm
tukala	harmful
umaama	harmful
sittingey	harmony
gibda	harsh
umaane	harsh
murti	harvest
leh	has
naqabuli	hate
leh	have
meqe ayro koh takkay	have a good day
meqe assima	have a nice day
kuraq xag	have breakfast
furkacit	have fun
atu maaqo xagtee?	have you eaten
aalliyya	having
ixxaage	hazard
gayrana	haze
usuk	he
usuk leh	he has
usuk kinnih	he is
moyya	head
saqala	head
amò berra	headache
qaffoysiyya	heal
qaffoowiyya	healing
qaafiyata	health
qaafiyatle	healthy
ankacis	hear
yoobbeh	heard
sorkocò baxa	heart
laqna	heat
jannata	heaven
qilsa	heavy
diriirigo	hectic
hafhata	hectic
fayya	height
nagare	heir
rado	heist
mabbuxu	held
jahannama	hell
Salaam qalaykum	Hello
Salamatta	Hello
salaama kacanow	hello dear
salaama mannah tantooh?	hello how are you
Salaamata mannah tantooh?	hello how are you doing
birti koofiyata	helmet
cato	help
tuxxiq leemi	helpful
tohih taagah	hence
teeti	her
manga	herd
akke	here
daarana	heritage
agaagayitiyya	hesitate
hayyeeh	Hey
hayyeeh	Hi
hayyeeh mannah tantoo?	hi how are you
Hayyeeh Mannaay	Hi there
yooqoreenimi	hidden
daagis	hide
reeda caddoh missa	hierarchy
fayya	high
nagay yaybulleenimi	highlight
assakat leemi	highlight
qale mawqa	hike
qale mawqa	hiking
taysuuluseemi	hilarious
kooma	hill
kaa	him
afkan	hint
mayxaya	hip
mayxayitte	hips
tamlisso	hire
taamal hayiyya	hiring
tamlo	hiring
kayimi	his
aydaadu	history
atka	hit
utuk	hit
Hmm	Hmm
ossotinah uddur edde tatrusaanama	hobby
ibbix	hold
idiy	hold
ibbix	hold on
qambal	hold on
booha	hole
qiidi	holiday
gorra	hollow
buxa	home
buxà taama	homework
amaana li	honest
cakkil	honestly
malab	Honey
konnabna	honor
koofiya	hood
koxfeena	hook
kaqo	hop
kibal	hope
niya	hope
qaago luk	hopefully
niyatiino luk	hopefully
niyà sinna	hopeless
tabtabbi	horizontal
gaysa	horn
qaxumaama	horrible
qaybeena	horror
cunxissaama	horror
farasa	horse
hosbitaala	hospital
dayli buxa	hospital
qibnaytiino	hospitality
xigla	host
naqabu le	hostile
laqinih	hot
hoteeli	hotel
maaqo/xinti buxa	hotel
saaqata	hour
saaqata	hours
qari	house
buxà mara	household
ahli	household
anninnal	how
mannal	how
Atu isihii?	how about you
mannah taniih?	how are you
anninnaay?	how are you
anninnah tantoo?	how are you doing
mannah tantoo?	how are you doing
asaaku mannah tantoo?	how are you doing today
Asaaku mannah tantoo?	how are you today
Mannah tantoo?	how do you do
anninah	how is
magidè	how many
magideey?	how much
makina uddur	how often
karmà kok magideey	how old are you
ayro kok mannah sugte?	how was your day
mannah xinteeh?	how was your night
takke kaa tekkek	however
gommak cundubu	hub
baqla	hubby
aliilit xabba	hug
kaxxa gabulle	huge
kaxxam naba	huge
sehdaytu	human
rammiti	humble
uunaan le	humid
wiinaana	humidity
boolu	hundred
satqittem	hungry
admo	hunt
caacaya	hurricane
isissik	hurry
isissik	hurry up
biyaakiyya	hurt
buxah abba	husband
baqala	husband
waxxaaqa	hustle
daboyti qari	hut
saytunaane	hygiene
Anu	I
Anu Kinniyoh	I am
anu nagay an	I am fine
anu duudah	I can
anu maduuda	I can't
Anu abah	I do
Anu maaxiga	I do not know
Anu koo macediyyo	I do not understand
Anu maaba	I don't
anu maaxiga	I don't know
anu macediyyo	I don't understand
Yoo maculinna	I don't understand
Anu atu ittam faxxam macediyyo	I don't understand what you mean
Anu koo mafhimiyyo	I don't understand you
Anu maaxiga	I don’t know
Anu koo mafhimiyyo	I don’t understand
Anu akkale	i guess
Anu luk suge	I had
anu liyoh	I have
Anu sugeh	I have been
Anu qaagitah	I hope so
anu aaxigeh	I know
Anu faxah	I like
Anu koo faxah	I like you
Anu kiciyyoh	I love
Anu yi kaxxa toobokoyta kiciyyoh	I love my big brother
Anu yi kaxxa maqanxa kiciyyoh	I love my big sister
Anu yabba kiciyyoh	I love my father
Anu yi qunxa toobokoyta kiciyyoh	I love my little brother
Anu yi qunxa maqanxa kiciyyoh	I love my little sister
Anu inniina kiciyyoh	I love my mother
koo kiciyyoh	I love you
Anu kaxxam koo kiciyyo	I love you so much
Anu edde koo kiciyyo	I love you too
anu axcem	I mean
koh maxhaxeh	I miss you
Anu kaxxam koh maxhaxeh	I miss you so much
Anu ableh	I see
Anu acsubeh	I think
Anu akkalem	I think
anu cedeh	I understand
Anu faxam…	I want
Anu kablem faxah	I want to see you
Anu koo faxah	I want you
anu sugeh	I was
abeyyo	I will
Anu akkeyyo	I would be
anu	I'm
anu nagay an	I'm fine
anu nagay an	I'm good
Anu akkelan	I'm here
Anu ahyoo	I'm here
qafu yoh ab	I'm sorry
anu uczuneh	I'm sorry
arroqlè	ice
ayskiriimi	ice cream
tù-mabulu	idea
ceelallo takkeemi	ideal
itta celtam	identical
ittak baxis	identify
kinnaane	identity
duquru	idiot
taama sinna	idle
tekkek	if
derrè cabti	ignore
lakmisa	ill
biyakle	ill
madqak iroh taniimi	illegal
gita-maliino	illegal
dalka	illness
biyaaka	illness
Ilocanoh afa	Ilocano
muuci	image
ucsub	imagine
xayih	immediate
xayih	immediately
tonal luk	immediately
mangoomu	immense
kaxam nabaama	immense
raatcabti	impact
sabri sinni num	impatient
abnisso	implement
addah culsà	import
tuxxiq leemi	important
muxxo leemi	important
dirkih hayti	impose
duudume waytam	impossible
assakat geyiyya	impress
liicisaanama	impress
assakaata	impression
liica'	impression
assakat leemi	impressive
iysiis	improve
dadala	improve
dadala	improvement
addat	in
adda	in
wohuk ossotinah	in addition
nummaak	In fact
tuk foocal	in front of
woh takkuh	in order to
faxxiime sinnimi	inappropriate
uguugusu	incentive
tekkò	incident
esgel	include
edde hay	include
edde anuk	including
culenta	income
sahhà sinna	inconvenience
osis	increase
ossseh	increased
cakkumuh taniimi	incredible
asmata!	indeed
nummaak	indeed
hununuh	indeed
is xiqe	independent
currih yani	independent
Hindi	India
esces	indicate
baaxò- xaylòh tani	indigenous
cankah	individual
inki num	individual
masnaqa	industry
kuur	industry
raq sinniimi	inevitable
alqi	infant
umaalà	infection
dikkà sinni	infinity
waybò	inflammation
lakqò duddh obti	inflation
lakqò baaca	inflation
raat cabti	influence
waris	inform
oyta	information
caxa' sifa	ingredients
nagran duyye	inheritance
naharak	initial
qembol	initial
canommaqaane	initiative
mudulli	injured
dale	injury
mudimu	injury
baatil mali	innocent
qusbageytò	innovation
essero	inquiry
cabuli	insane
hofya	insect
xuu	insect
meesi leemi	insecure
aamanti sinniimi	insecure
culus	insert
adda	inside
xeer mabla	insight
qayyaawis	insist
xinti wayti	insomnia
uguugutu	inspiration
taamà niya	inspiration
uguugus	inspire
daabis	install
ceelallo	instance
sissikuk	instant
wohuk kalah	instead
kay aracat	instead
wohuh afto	instead of
ascossa	instructions
amri	instructions
silaaca	instrument
qaytima	insult
xaafu	insult
caabi	insurance
elle sugenna	intact
inkittinaane	integrity
nummiino	integrity
tu yaaxigi	intellectual
qakli	intelligence
kasa	intelligence
tu yaaxigi	intelligent
kas le	intelligent
ikraaris	intend
ucsub	intend
niyaateh	intended
ikraariseh	intended
cayla leeemi	intense
kibaala	intention
niya	intention
itta geyiyya	interact
angaaraw	interact
qalla	interaction
angaaraw	interaction
fayxi	interest
kaxxam faxaanam	interested
ruufut leemi	interesting
fanat radiyya	interfere
fanat gaciyya	intermediate
fanat taniimi	intermediate
addah imi	internal
baad imi	international
baad caddoh	international
abni barittò	internship
maqnis	interpret
maqnise	interpreter
afti gacsa abe	interpreter
fanak soolis	interrupt
irgiq	interrupt
esser kee gacsa	interview
xayiimi	intimate
ilaa	into
adda	into
aysaxaaxagiyya	introduce
xayyoosiyya	introduce
culmeena	introduction
wacarriy le numu	introvert
tibba le numu	introvert
ginò kasa	intuition
oggol sinniimi	invalid
ginaanama	invent
uwwat badaaqa	inventory
taamal assiyya	invest
lakqo edde hayiyya	invest
fokkaaqis	investigate
qibnaytiino seeco	invitation
arcibisiyya	invite
kaayaanama	invite
yoofenta	invoice
culsiyya	involve
asgalliyya	involve
edde yengeleenimi	involved
kaawiya	iron
birta	iron
kinnih	is
kuddi	island
baxsimtem	isolated
rikeh gactem	isolated
caagidi	issue
ayyaaqiyya	issue
caagiida	issues
teet	it
tii	it
kinni	it is
sugte	it was
kinnih	it's
tuhinna	it's ok
tuhinna	It's okay
uwwa	item
uwwaytitte	items
issi	its
jakkeeti	jacket
casbi	jail
Naharsi Kudo	January
karaarata	jar
qanxabba	jaw
aysineena	jealous
nafqi sinni	jerk
duquru	jerk
bila	jewelry
taama	job
ardiyya	jogging
angaliyya	join
adoyta akkiyya	join
xakabba	joint
ittaluh tu aalliyya	joint
lollo	joke
digiri	joke
xaagu qawaytu	journalist
safara	journey
farci	joy
garkura	judge
sharaaba	juice
liyyu	juice
laqini	july
kaq	jump
kaqo	jump
qasa dirri	june
nafqi sinni fuyyi	junk
wasaka	junk
bas	just
qaadille	just
annak ab	just do it
qadli	justice
sumaaqis	justify
sabab aciyya	justify
Kalaallisut afa	Kalaallisut
baguuk faxiyya	keen
dacris	keep
ibbix	keep
foocah inxic	keep it up
dacriseh	kept
ibriki	kettle
miftaaca	key
atka	kick
alqi	kid
anqasiyya	kidding
digiiri	kidding
tirò	kidney
urru	kids
qid	kill
qaynata	kind
maqaane	kind
nacrurta luk	kindly
maqaane	kindness
nacruta	kindness
amoyta	king
fugutto	kiss
alayso qari	kitchen
haadda caxxi-qibna	kite
dummu baxà	kitten
gulubu	knee
aaxaguk suge	knew
gile	knife
mislaf qandeyta	knight
ixig	know
iddiga	knowledge
tamixxigeemi	known
Konkanih afa	Konkani
Krioh afa	Krio
asta macwa	label
muggaaqisiyya	label
gaba taama	labor
cayli taama	labour
dagna	lack
wayto	lack
feeriseena	ladder
konnabna le barra	lady
buxah ina	lady
fiddimteh	laid
wweeqaytu	lake
kalo	lake
maruwu	lamb
kosto	lame
faanusu	lamp
ardi	land
baaxo weelo	landscape
baaxo bilaat	landscape
afa yaaba	language
gurumma	lap
nabaama	large
illicabo	last
ellecabo immay fulah raaqak	last but not least
abba migaaqa	last name
udurritiyya	late
udurro	late
axih	lately
awayyih uddur	lately
sarra	later
geerak	later
qusbaama	latest
widirraaqa	latter
usuul	laugh
asuuliyya	laughing
asaala	laughter
laqsa	launch
qimmis	launch
sari kaqayloh ayfaaf	laundry
madqa	law
qayso	lawn
aftaalaytu	lawyer
gaciyya	lay
iro gambi	layer
xisoh ikraaro	layout
qulaala	lazy
baarud	lead
miraacis	lead
miraaca	leader
ayyufta	leaf
cayxi	leak
qaku	lean
qaxah gaco	lean
kaqo	leap
bartaanama	learn
bartiyya	learning
kirah aybalaala	lease
mardenti aybalaala	lease
inkih daguuk	least
araba	leather
cab	leave
gex	leave
cabiyya	leaves
ayyuufa	leaves
miraaciseh	led
cabti	left
gura	left
iba	leg
nagra	legacy
waartaama	legacy
madqiino leemi	legal
hayyeyyooni	legend
numma le madqa	legit
muxxi afto	leisure
abud aciyya	lend
deddaar	length
daggow	less
baritto	lesson
idni	let
cabti	let
farmo	letter
ayyufta	letter
yakmen caxaaxugi lago	lettuce
caddo	level
abuuduh iko beyto	leverage
essertim	liability
kitoob buxa	library
cangos	lick
muxuq	lick
dirab	lie
qaxah gaciyya	lie
diraaba	lies
mano	life
ukkuq	lift
ifu	light
qilsa mali	light
robti bixiiqi	lightning
fayxi	like
masalan	like
takku duddam	likely
tonnah kaadu	likewise
fiiro	line
Lingalah afa	Lingala
asgagolla	link
ribo	link
lubaaka	lion
leehinna	liquid
rooru	list
rooris	list
ankacis	listen
aabbiyya	listening
qangara qangarah numal	literally
kutbeenih ixxiga	literature
kitab fanni	literature
caxen qudufu	litter
qunxam	little
manol aniyya	live
tiro	liver
manol yan	lives
mannoowiyya	living
saaloonu	living room
cabaydariinu	lizard
quuka	load
gahammoh exxa	loaf
abuudu	loan
baaxoh adda	local
tuk araca	location
ku araca	location
alfeena	lock
alfiyya	lockdown
kassisenta	log
dubiino	lonely
deerim	long
kobleemih raageh	long time no see
ubul	look
wagit	look
qagaaqagit	loop
baarle	loose
yalla	lord
bayti	lose
bayti	loss
baytem	lost
kibu	lot
anay fayya	loud
digir goli	lounge
kacanu	love
koo kiciyyoh	love you
ruftoli	lovely
ramma	low
dagom	low
gubah	lower
oobis	lower
amaanat le	loyal
kibbalsimiyya	loyalty
saami	luck
saami miqa	lucky
qaasir maqo	lucky
Lugandah afa	Luganda
sakayi	luggage
dudduba	lump
satqa kalo	lunch
kada	lunch
gublo	lungs
assamaqa	luxury
dirab yaceenimi	lying
haddaaleena	machine
mansafa	machine
cabuli	mad
naqabu	mad
gifti	madam
bicseenimi	made
taamiteenimi	made
majallata	magazine
kaxxam meqe	magnificent
say buxà taameyna	maid
leebombahdiilta	main
hanaawi	maintain
qedeebo	maintenance
Maithilih afa	Maithili
muxxo le	major
kaxxuk	major
muxxole gaba	majority
abaanam	make
taamitaanam	make
gittoysiyya	make up
aymaaqiyya	make up
lab numu	male
qadaaga fanteena	mall
numu	man
xiinisso	manage
xiinissò miraaca	management
taamagexse	manager
dirki leemi	mandatory
baxxaqis	manifest
cogdatbeyiyya	manipulate
gurra	manner
miracseena	manual
mango	many
a ayro mango adda farciluk kol tadaaray	many many happy returns of the day
roorut gexaanama	march
lemedi	margin
cengegi	margin
asta	market
rihimi	marriage
rihimteh	married
rihmeh	married
qellisi	mask
qilsa	mass
nabna	mass
kaxxam nabaama	massive
asmatluk yaaxigeenimi	master
saqala	master
qalayli	match
celsiisi	match
niklo	mate
uwwayti kinna	material
cisab-baritto	math
tumamme	matter
caagidi	matter
alayyo	maturity
yenbeh/tenbeh	maturity
takkem xiqtah	may
yalla kinnih	maybe
balkih	maybe
anu	me
anu edde	me too
anu kaadu	me too
maaqo	meal
adoobi-waqla	meal
iyaanama	mean
maqna	mean
maqna	meaning
gita	means
cogda	means
iyyaanamak-sugte	meant
woh wonnal anuk	meanwhile
keelo	measure
yacussuleh	measures
maaqattooti	measures
cado	meat
qaafiyat fokkaaqo	medical
qaafiyatimi	medical
dawa	medicine
cubbit acsubiyya	meditation
fantiimi	medium
geyto	meet
angaaraw	meet
gudgudu	meeting
daffeyna	meeting
gaaboyna	meeting
Meiteilon afa	Meiteilon
diyaayaanama	melt
diyaayis	melt
kasseena	memories
kassiti	memory
mesenkacah	mental
cabuli	mental
ugsiyya	mention
galab-xagiyya	mention
galab xageh	mentioned
yaydakaakani	mentor
ustaaza	mentor
tellemmo-abe	merchant
racmatta	mercy
cabsu	mercy
annaak	merely
meqe qiisah ubukyah ayro	merry christmas
galala	mess
cas-casiimi	mess
farmo	message
wasaka	messy
daraqa	messy
birta	metal
gexso	method
cogda	method
hantuutitte	mice
fantiita	middle
barak gude	midnight
takkem bictah	might
cayla	might
caalih tanim	mild
mafdagà	milestone
qaskar qande	military
cana	milk
milyoonu	million
cubbis	mind
kasa	mind
tummabul	mindset
baaxo tu cotiyya	mine
yiimi	mine
angaliyya	mingle
dagoomu	minor
dagiiga	minute
dagiigaati	minutes
miyakki	miracle
miryata	mirror
baxsalem ittallih	miscellaneous
makoli	mischievous
batrali	mischievous
umaama	miserable
farci maliino	miserable
calwaya	misery
cinnaale	misery
hoxsa	miss
maxhax	miss
koh maxhaxeh	miss you
bayte	missing
waytimte	missing
qalaama, farmo	mission
qubulu	mist
qellata	mistake
Mizoh afa	Mizo
gabaytu	mobile
mobaayili	mobile
qamgaasala	mock
anqasa	mock
dabrusa	model
ceelò welsa	model
fantiimi	moderate
xabbocoosiyya	moderate
qusba dabaanihimi	modern
wargiita	modern
cayali	modest
anxaccali	modest
uunih	moist
uunaana	moisture
arqa	moisture
dicili	mold
barù	mole
ina	mom
ux udduru	moment
itleeni	monday
lakqo	money
kattaata	monitor
lowsiis	monitor
damaqtu	monkey
alsa	month
caalata	mood
caalat korse	moody
gadanniqye	moody
alsà	moon
niyà	moral
ossotinah	more
muxxi	more
ahà kalah	moreover
ahak-muxxih	moreover
maaca	morning
qari abuudu	mortgage
muxxuk	most
mangih	most
mangih	mostly
ina	mother
angoyya	motion
uguugusu	motivation
qale	mountain
Hantuuta	mouse
afa	mouth
engey	move
angoyya	move
angoyya	movement
filmi	movie
gifti	mrs
mango	much
kallà	mud
kubbayya	mug
arqo	muscle
daaran-araca	museum
ginni caxa	mushroom
kanniy	music
gada	music
dirki	must
duuda	mute
