a	éí
creepy	tʼáá haashį́į́ yitʼé
creepy	doo yáʼátʼéeh da
crew	ahił nidaanishgo dah yikahígíí
crime	oodzííʼ
cringe	azhdiigaʼ
crisis	anáhwiitééh
criteria	bee nahazʼánígíí
critical	tʼáá íiyiíí ákotʼé
criticism	diné biyátiʼ
crop	naniseʼ kʼéédilyéhígíí
crops	kʼidaʼdilyé
crops	kʼidadeesyáhígíí
cross	ałnáʼasdzoh
crow	gáagii
crowd	hasdlą́h
crowded	hasdlą́h
crown	chʼah nizhóní
crucial	Tsʼídá yéego bee hazʼánígíí
cruel	tʼáá atíʼdoolníiłgo nitsáhákees
cruise	hwił oolwołgo
crush	shizhįzh
cry	yichah
cucumber	chʼil naniseʼ yidánígíí
cuddle	ałhxééjisniiʼ
culture	óʼoolįįł
cunning	tʼáá inaʼadloʼ bóóltąʼgo
cup	bąąh haʼíizhahí
cupboard	azaaʼ biih náʼniłí
curb	naanázʼáh
cure	nádziih
cure	náádzííʼ
curfew	oolkił bikʼehgo naʼadáhígíí
curfew	oolkił bikʼehgo yah anínaʼiidáhígíí
curiosity	tʼáá haʼátʼííshį́į́ shił bééhodoozįįł jinízingo
curious	haʼalzííd
curly	yishchʼil
currency	béeso
current	kʼad hoolzhishígíí
currently	kʼad
curse	baa hodeetʼą́h
curtain	tsósxǫʼgi dánídilbałí
cushion	tsiiʼááł
custom	bee óʼoolįįł
customer	naʼiiłniihí
customs	óʼoolʼįįł
cut	kʼégéésh
cute	nizhóní
cycle	ałhééhwiilzhíísh
cycling	dziʼiz
dad	azheʼé
daddy	azheʼé
daily	tʼáá ákwii jį́h
dairy	chʼiyáán abeʼ biłtahígíí
dam	daʼdeestłʼin
damage	yichxǫʼ
damn	yáadilá
damp	ditłééʼ
dance	azhish
danger	bááhadzid
dangerous	bááhadzid
dark	chahałhxeeł
dark	tłʼééʼ
darling	shiyázhí
darling	awééʼ
dash	tsxį́į́ł jilį́
data	naʼaskáaʼgo naaltsoos bee hadilyaaígíí
date	yoołkáłígíí
daughter	achéʼé
day	jį́h
dead	daaztsą́h
dead	ádin silį́į́ʼ
deadline	bee eʼeʼaah
deaf	ajéékał
deal	bee ałghaʼdeetʼą́ągo
dear	yaʼátʼééh
Dear All	Tʼáá Áłtsoh Yaʼátʼééh
Dear Customer	Naʼiiłniihí
Dear Customer	Yaʼátʼééh
Dear Parents	Yaʼátʼééh amá dóó azheʼé
Dear Sir	Yaʼátʼééh Hastiin
Dear students	Yaʼátʼééh daʼółtaʼí
Dear Team	Yaʼátʼééh Nidaanéhí
death	daʼaztsą́h
death	ádin silį́į́ʼ
debate	baa nikʼíyatiʼ
debit	ąąh hadaazʼáh
debris	tʼáá haʼátʼííshį́į́ bitsʼą́ą́dóó yidiłdaasígíí
debt	bee ąąh hááʼáhígíí
decade	neeznáá nááhaijįʼ
decay	dííłdzid
deceased	daaztsą́h
deceased	ádin silį́į́ʼ
deceive	hoʼdeesdloʼgo
december	Níłchʼihtsoh
decent	nizhóní
decide	áhwiiniidzį́į́ʼ
decided	bee nihozhniʼą́h
decision	hwiinidzinígíí
deck	dah náhastʼą́h
decline	dooda hodooʼniid
decrease	yaa kódzaa
dedicated	haʼátʼííshį́į́ ajiłʼínígíí bizhneedlį́
dedication	bizhdeelkaal
deed	tʼáá haʼátʼííshį́į́ ajiléehgo
deep	ditą́
deer	bįįh
default	tʼáá łáhígi átʼéego bá siłkidígíí
defeat	bikʼeh hodidleeh
defend	bichʼą́ą́h nijigháh
define	óolyéhígíí baa haneʼ
definitely	tʼáá anííh átʼéego
definition	tʼáá haʼnínígíí
definition	óolyéhígíí
degree	hadoh neiłkidí
delay	nátʼą́ą́ʼ adzaa
delayed	nátʼą́ą́ʼ kónályaa
delete	kʼééʼalchxǫǫh
deliberate	tʼáá ákodoolníiłgo ádzaa
delicate	baa hastiʼ
delicious	łikan
delight	hwił hózhǫ́
delighted	ił hózhǫ́
deliver	tʼáadooleʼé jiníyį́įgo
delivered	yilyá
delivery	bił éʼélyaago yilwod
demand	bee haʼoodzííʼ
demanding	ajiłáh
demanding	jókeed
democracy	tʼáá ałtsoh óholnííh bąąh silá
demon	chʼį́įdii
demonstrate	ííshjání álnééh
denied	dooda hoʼniʼniihgo
density	haashį́į́ niłtsohgo
density	haashį́į́ honiłtéelgo
dentist	azeeʼ ííłʼíní awooʼ yinaalnishí
deny	dooda hoʼdooʼniid
department	naanish bił hazʼánígíí
departure	dashdiigááhdóó
depend	baʼahodlíh
deploy	biʼilniiʼ
deposit	yah eeʼnil
depressed	adił nitsáhákees
depression	adił nitsáhákees
depth	ditą́
describe	hazhóʼó baa haneʼ
description	baa haneʼí
desert	kéyah hóóltséígo
deserve	bee akʼihojidlíh
design	haʼátʼííshį́į́ hadilyaa
design	haʼátʼííshį́į́ alyaa
designation	jideeyáajįʼ
desire	tʼáá íiyisíí nidzin
desk	bikááʼ naʼanishí
despair	doo hwił hasxihjįʼgóó
despair	doo hasxihjįʼ dagóó
desperate	hwił nitsééhadááh
despite	akotʼée nidi
dessert	łikání
destination	adeesdzáajįʼ
destiny	náasdi háʼáhootʼéhígíí
destroy	jiłchǫǫhgo
destruction	hoochxǫǫhígíí
detail	bee baa haneʼí
details	hazhóʼó bee baa haneʼí
detect	bikʼínitáahgo bééhoozįįh
determination	haʼahóníigo éʼalnééh
determine	haʼahoníh
determined	haʼahóníh
devastated	yichxóʼ
develop	hadilnééh
developed	hadilyaa
development	hadadilyaaígíí
development	hadilyaaígíí
device	tʼáá haʼátʼííshį́į́ béésh łichíiʼii yee naalnishígíí
devil	chʼį́įdii
devoted	baaʼázhdeetʼą́
Dhivehi	Indo-Aryan Dineʼé Bizaad
diabetes	ashįįh łikan atsʼíís yeinístʼįįd
diabetes	alohkʼeh bąąh dahazʼą́
diarrhea	atsą́ hodiniih
diary	abeʼ bee ádaalyaaígíí
dictionary	saad tʼáá haʼnígíí dabikáʼígíí
did	íishłaa
die	daatsaah
died	daaztsą́h
diet	chʼiyáán yidánígíí baaʼákohwiinidzin
difference	bee ałʼąą ádaatʼéhígíí
different	tʼáá sahdii átʼé
difficult	nanitłah
dig	naʼageed
dig	niʼjigeed
dignity	ajilį́
diligent	yéego nijilnishgo
dinner	eʼeʼáahgo chʼiyáán yidánígíí
dip	biih yitiʼ
direct	ahoʼdiʼníigo
direct	abijiníigo
direction	bikʼehgo éʼalnéhígíí
director	bikʼehgo nidaʼanishí
dirt	łeezh
dirty	niłhxin
dirty	baaʼih
disable	doo naalnish da
disabled	doo naalnish dagóó alyaa
disappear	doo bééhozin da
disappointed	doo hwił yáʼátʼéeh da
disaster	nitsihodinídéél
discard	nahgóó ahoolghan
discharge	bééʼilniiʼ
discipline	naʼadizhnitaah
discount	béédooʼnil
discover	bikʼíʼneestą́ą́ʼ
discrimination	diné báhodoonih
discuss	baa yátiʼ
discussion	tʼáá haʼátʼííshį́į́ baa yátiʼ
disease	naałniih
diseases	nidaałniih
disguise	doo hwééhozingóó
disgusting	baaʼih
dish	asaaʼ
dishes	asaaʼ
dismiss	biʼilnííh
dispatch	bichʼįʼ haneʼ alʼínígíí
display	ííshjání ályaa
disposal	nahgóó ahalghan
dispute	bee ałghazhditááh
distance	anizahjįʼ
distance	anizáád
distinct	tʼáá ííshjání łahgo átʼé
distinguish	ałʼąą naaʼnilgo baa nitsáhákees
distress	tʼáá haʼátʼííshį́į́ baa yínííł nijigháh
distress	doo ił hózhǫ́ǫ da
distribution	naʼaniih
district	bił hahoodzoh
disturb	naʼniłtłʼah
ditch	bikooh
dive	taahyilwod
diverse	tʼáá ałʼąą ádaatʼéhígíí
diversity	ałʼąą ádaatʼéhígíí
divide	ałtsʼá daadzoh
divine	diyin
divorce	ałtsʼáʼitʼaash
dizzy	hwił nahoniyil
do	íshłééh
do you	daʼ niiísh
do you love me	daʼ ayóóʼáshííniʼníh
doctor	azeeʼ ííłʼíní
document	naaltsoos bee éédahozinígíí
does	adzaa
doesn't	nida
doesn't	dooda
dog	łééchąąʼí
Dogri	Jammu Dineʼé Bizaad
doing	ajiléehgo
doll	awééshchíín
domain	naatʼáanii bił hahoodzoh
domestic	hooghan hazʼánígíí
dominant	yéego bidziilgo
don't	tʼáadoo
Don't worry	tʼáadoo baah níneʼí
donate	tʼáadooleʼé diné baa jiléehgo
done	ałtsoh ályaa
donkey	télii
dope	nátʼoh tsiʼnaʼiiłáhí
double	naakigo
doubt	hwił naaki nilį́
dough	taosniiʼ
down	yaago
download	bééʼalyaa
draft	naaltsoos ałtsé bee haʼdilyaaígíí
drag	jooshoł
drain	bąąh hááʼéél
drain	bąąh haaʼoł
drama	haashį́į́ hootʼįįh
draw	naʼachʼąąʼ
drawer	análzhoʼí
drawing	niʼjichʼąąh
dread	bichʼįʼ neʼjilį́h
dream	naʼiizeeł
dress	ééʼ tłʼaakał
drill	bee naʼihonitaah
drink	adlą́h
drink	yidlánígíí
drive	oołbąs
drop	naaltsʼid
dropped	naaltsʼid
drought	hoołtséí
drought	hazgan
drunk	hwił honeezdoh
drunk	hwił nahoniyil
dry	yíłtséí
duck	naaleełí
dude	hastiin
dude	ashkii
due	yidziih
due to	binahjįʼdo
dull	tʼóó átʼé
dumb	diigis
dump	yah iikąh
dump	yaaką́h
duration	biyiʼ hoolzhishígíí
during	biyiʼ hoolzhish
dust	łeezh
duty	naanish
dwell	haghan
dying	biʼniitsą́ągo
each	tʼáá átʼé
each other	tʼáá ájiłah
eager	tsxį́įłgo ádeeshdlííł hwiinidzin
eagle	atsá
ear	ajaaʼ
earlier	tʼáá aniidígo
early	tʼáadoo hodinaʼí
earn	joosbą́h
ears	ajaaʼ
earth	nahasdzáán
earthquake	kéyah hideesnááʼ
ease	hazhóʼógo
easily	doo nanitłʼahgóógo
east	haʼaʼaah
easy	doo nanitłʼah da
eat	adą́
eating	iyą́
economic	béeso dah hólǫ́
economy	ajitį́h
edge	bidáaʼgi
edge	bidáaʼdi
edit	naaltsoos ninánélʼį́įgo hashtʼeelnééh
education	óhooʼaah
effect	hweidínóotʼįįłgo nijólíhígíí
effect	aanídóotʼiiłgo
effective	tʼáá haʼátʼííshį́į́ idééłníigo naalnishígíí
efficiency	ideełnínígi átʼéego
efficient	tʼáá haʼátʼííshį́į́ yáʼátʼéehgo alį́nígíí
effort	tʼáá hó ájitʼéego
egg	ayęęzhii
eggplant	ayęęzhii yiltʼąąʼí
ego	adaaʼáhodlíh
eight	tseebíí
eighteen	tseebíítsʼáadah
eighty	tseebídiin
either	tʼáá háídíí shį́į́
either	tʼáá háídígíí dah
elaborate	baa yátiʼ
elbow	achʼoozhlaaʼ
elder	asdzą́ą́ náás silį́ʼígíí
elder	hastiin náás silį́ʼígíí
elderly	hastóí náás silį́ʼígíí
elderly	sáanii náás silį́ʼígíí
elegant	nizhóní yeeʼ
element	tʼáá haʼátʼííshį́į́ biyiʼgo ályaaígíí
elephant	bichį́į́h yee adilohii
eleven	łaʼtsáadah
eligible	bee háʼahootʼiʼ
eliminate	nahjįʼ atsʼáhoʼdooltʼeʼ
else	háíshdóʼ
else	haʼátʼíishdóʼ
embarrassed	baa yáhwiiniidzííʼ
embarrassing	tʼóó baa yáhasin
embrace	ádizhdiiltsood
emerge	tʼáá haʼátʼííshį́į́ haayáago
emergency	nitsihodiniłgo
emotional	hatah áhootʼéhígíí
empathy	aahojoobaʼ
emphasis	yéego bóholníhígíí
emphasize	tʼáá haʼnínígi átʼéego
employee	naalnishí
employees	nidaalnishí
employer	bá nidaʼanishí
employment	naanish
empty	biyi ádin
enable	naalnishgo alnééh
encounter	ałkʼíhonítʼiʼ
encourage	saad yáʼátʼéhígíí
end	neʼ ádzaa
endangered	báádahadzidii hwinoolʼáaʼgo
endeavor	naʼádizhnitaah
endurance	achʼįʼ nahwiiʼnáh
endure	biyiʼ tázhdigháahgo
endure	biyiʼ hwił hoolzhishgo
enemy	anaʼí
energy	níłchʼih
engage	naanish ajilééh
engaged	naanish ajilééh
engagement	iigehgo bee nihootʼánígíí
engagement	tʼáá haʼátʼííshį́į́ bee nihootʼánígíí biniiyé áadi jidoogáłígíí
engine	chidí bitsiitsʼiin
engineer	diné tʼáá haʼátʼííshį́į́ haidileʼgo áyooliiłígíí
English	Bilagáana
enhance	náás hideesnilgo ályaa
enjoy	nizhónígo
enormous	nitsxaaz
enough	bíighah
ensure	ííshją́ą́shį́į́
enter	yah eʼedááh
entertainment	honeenih bił náhootʼaahígíí
enthusiasm	bizhneedlį́h
enthusiastic	bóhoneedlínígíí
entire	tʼáá átʼé
entire	tʼáá ałtsoh
entitled	hó silį́įgo
entity	tʼáá haʼátʼííshį́į́ hólǫ́ǫgo
entrance	yah ahootiʼídę́ę́ʼ
entrepreneur	naanish yiyoołwołí
envelope	naaltsoos bee bił éʼalʼínígíí
environment	hanagóó áhootʼéhígíí
envy	tʼáá haʼátʼííshį́į́ diné bíhígíí bee shídooleeł bee laanaa hwiinidzin
epic	ałkʼidą́ą́ʼ haneʼígíí
epidemic	naałniih neesniiʼ
equal	ałhxeełtʼé
equipment	bee nidaʼanishí
equity	ahił ídį́h
equivalent	tʼáá ałhxeełtʼéego
equivalent	tʼáá ałhxeełtʼéhígíí
eraser	bee akʼééʼalchxǫǫhí
error	isdzih
escape	chʼélwod
especially	eii tʼáá íiyisíí
essay	naaltsoos haneʼ bee hadilyaaígíí
essence	tʼáá haʼátʼííshį́į́ átʼéhígíí
essential	íiyisíí bóholnííh
establish	hadilnééh
established	hazhdiilaa
estate	kéyah ił hahoodzooígíí
estimate	daatsʼí bíighahígíí
estimated	daatsʼí hwiinidzinígíí
etc	akódaatʼéhígíí
eternal	doo ninítʼiʼ da
ethics	naʼnitin bee ayaahooʼaʼ bee ájitʼéhígíí
evaluate	nátʼą́ą́ʼ nináʼalkaahgo bee íʼneelʼąąh
evaluation	nátʼą́ą́ʼ nináʼalkaahgo bee íʼneelʼąąhígíí
even	ałhxeełtéego
even though	tʼáá ákótʼée nidi
evening	eʼeʼaah
event	bił hoohaaígíí
eventually	akotʼéego
ever	łahdaásh
every	tʼáá átʼé
everybody	dinéʼ tʼáá ałtsoh
everyone	diné tʼáá ałtsoh
everything	tʼáá ałtsohní
evidence	binahjįʼ bikʼíʼneetąʼígíí
evil	iiníziin
evolution	hoolzhishdę́ę́ʼ dahinánígíí dahazlį́į́dą́ą́ʼ
evolve	tʼáá hazhóóʼígo aníił
Ewe	West Africa Dineʼé Bizaad
ex	ahastiinée
ex	eʼasdzánée
exact	tsʼídá tʼáá ákotʼé
exactly	tsʼídá tʼáá ákotʼé
exam	hazhóʼó nélʼį́
examine	hazhóʼó nélʼį́
example	binahjįʼ haneʼí
exceed	bilááh eʼelyaa
excellent	nizhóní
except	nizhdiiʼaah
exception	nahjįʼ kólyaa
excess	bilááh anéeltʼeʼ
excessive	tʼóó ahayóí
exchange	ałnááʼilyá
excited	ił hózhǫ́
excitement	baa hwił hózhǫ́
exciting	bóhoneedlį́h
exclusive	tʼáá haanídzahjįʼ shį́į́ tʼéíyá bee hazʼą́h
excuse	biniinaaígíí
excuse	biʼilííh
excuse me	bee shá náhoołʼaah
execute	biʼdeezhnish
execution	bidaʼdeezhnish
executive	naatʼáanii aląąjįʼ bił hahodítʼéhígíí
exercise	hatah áhoshdilzééh
exhaust	chʼééh adeesdzáh
exhausted	chʼééh adeesdzáh
exhibit	tʼáadooleʼé danélʼínígíí
exhibition	tʼáadooléʼé danélʼínígíí
exist	hólǫ́
existence	hináago
existence	hólǫ́ǫgo
existing	chʼéʼádááh
exit	chʼíhonítʼiʼ
exit	chʼéʼétiin
expand	ałtsʼąą kódzaa
expect	nijólí
expected	naʼólníh
expenses	bikʼéh nidaʼiilyéhígíí
expensive	ayóo ilį́
experience	biyiʼ hwił hoolzhiizhígíí
experiment	naʼalkaahgo bee naʼíhonitaahí
expert	yéego yee ééhosinígíí
expired	bee eʼííʼą́h
explain	hazhóʼó baa haneʼ
explanation	hazhóʼó baa haneʼ
exploit	tʼáá hó bee izhdootʼįįł biniiyé áʼjiléehgo
explore	haʼdéestʼį́į́ʼ
explore	haʼnitáh
export	nááná łahgo bił éʼelnééh
expose	ííshjání ályaa
exposed	ąąʼályaago ííshjání ályaa
exposure	bee ííshjání ályaa
express	saad bee hajoodzííʼ
expression	baa nitsíjíkeesígíí baa yájiłtiʼ
extend	náás iʼnił
extended	náás deestʼą́
extension	bighą́ąhjįʼ bináániideeʼ
extent	hazʼą́ągi bikʼéstiʼígíí
external	tłʼóodi
extinct	ádaasdiid
extinct	ábiʼniidiid
extra	łaʼ biʼąą noodahígíí
extract	nahjįʼ haatʼaah
extraordinary	tʼáá íiyisíí nizhónígo łahgo átʼé
extreme	yéego
extremely	yéego
eye	anááʼ
eyes	anááʼ
fabric	naatʼą́hí
fabulous	nizhóní
face	aniiʼ
facilitate	bikʼih adéestʼį́į́ʼ
facilities	tʼáá haʼátʼííshį́į́ bił nahazʼánígíí
facility	haʼátʼííshį́į́ bił hazʼánígíí
fact	tʼáá aníinii
factor	ádaatʼéhígíí
factory	tʼáá haʼátʼííshį́į́ ádaaneʼgo bił hazʼą́ągi
facts	tʼáá aníí haneʼ
fade	yiibaʼ
fail	chʼééh ajitʼį́h
failed	biʼoh jidineesdlį́į́ʼ
failure	chʼééh aalʼįįd
faint	bił chʼaah hazlį́į́ʼ
fair	bíighah
fairly	ałhxeełtʼéego aanitsáhákees
fairy	diné yázhí nidaatʼaʼígíí
faith	oodląʼ
faithful	ajoodlą́h
fake	tʼóó átʼé
fake	tʼóó binahjįʼ átʼé
fall	akʼee
false	doo tʼáá aníi da
fame	diné hwéédahosin
familiar	tʼáá bééhoziní
family	hooghan hazʼą́ągi
family	hooghan hazʼánígíí
famine	yéego biʼoh daazlį́į́ʼ
famous	bééhoʼdilzin
fan	bee hookʼazí
fancy	nizhóní
fantastic	yéego nizhóní
far	nizaad
farewell	hágoóneeʼ
farm	naaldlooshii shijéʼígi
farmer	diné bilį́į́ʼ hólónígíí
fascinating	yéego bizhneedlį́
fashion	ééʼ bee hazhdítʼéhígíí
fast	tsxį́įłgo
fat	ayóí áábid
fat	nitsxaaz
fatal	yéego áhoodzaa
fate	tʼáá áhoonéehgo átʼé
father	azheʼé
fatigue	chʼééh adeesdzáh
fault	akʼihodiitʼą́h
favorite	hwił yáʼátʼéhígíí
favour	bichʼihjí adlínígíí
favourite	aláahdi hwaanitsáhákees
fear	bááhádzid
fear	náhadzid
feast	chʼiyáán bee ałhíʼiildééh
feather	atʼáh
feather	atsʼos
feature	bee ííshjání alnéhígíí
features	nidaashchʼąąʼgo ádaatʼéhígíí
february	Atsábiyáázh
fed up	adeʼádzaa
fee	bą́ą́h alʼį́h bikʼéh niʼdoolyéłígíí
feed	biʼiidą́
feedback	nátʼą́ą́ʼ bee ił náháneʼ
feel	haʼátʼeʼ
feeling	ajitʼéhígíí
feet	akeeʼ
fell	jideezgoʼ
fell	adah ajiigoʼ
fellow	diné
felt	yisdzaa
felt	adzaa
felt	yidzaa
female	biʼáád
fence	anitʼiʼ
fertile	kʼiʼdilyé bíighah
festival	honeenih bił hooʼaahígíí
fetch	jiiłtsood
fever	atah honiigááh
few	tʼáá dikwíhí
fewer	tʼáá díkwíhí
fiance	béeso nanideehígíí
fiction	haneʼ tʼóó alyaaígíí
field	hazʼą́ągi
fierce	atsʼájidoolnih
fierce	hatsáhoniyééʼ
fifteen	ashdlaʼtsʼáadah
fifty	ashdladiin
fight	ahigáh
fighting	ahijigą́
figure	naashchʼąąʼígíí
figure out	baaʼákohwiiniidzį́į́ʼ
file	naaltsoos sinilígíí
fill	haʼdibin
filled	haʼdéébiid
film	naalkidí
filthy	baaʼih
finally	kʼad índa
finance	béeso nanideehígíí
financial	béeso nanideehígíí
find	haʼdeestʼį́į́ʼ
find	haʼnitáh
find out	bééhozin
fine	nizhóní
finger	alázhoozh
finish	ałtsoh ályaa
finished	ałtsoh ályaa
fire	kǫ
firm	nitłʼiz
first	ałtsé
first name	aląąjįʼ yízhí
fish	łóóʼ
fit	bíighah
five	ashdlaʼ
fix	hashtʼeelnééh
fixed	hashtʼe nályaa
flag	dah naatʼaʼí
flash	tsxį́įgo diiltłah
flat	haztłééʼ
flaw	isdzih
flawless	nizhóní doo asdzih da
flee	dah yiiteʼ
flesh	atsʼíískááʼ
flew	yitʼaʼ
flex	nanileeł
flexible	naanileeł
flexible	naatsʼǫǫd
flight	ootʼah
flip	názbaal
flirt	adáhoneeníigo achʼįʼ yátiʼgo
flirting	niʼjishood
float	dah naaʼeeł
flood	tó yiląąd
floor	neʼgóó
floor	neʼgi
flour	akʼáán
flow	yinah
flower	chʼilátah hózhǫóón
flu	atah honiigááh
fluent	doo bił nanitłʼah da
fluently	tʼáá ałhxą́ą́h
fluffy	yilzhóólí
fluid	tʼáá haʼátʼííshį́į́ bitooʼ
fly	yitʼah
focus	hazhóʼó baa nitsáhákees
fog	áhí
foggy	ayóo áhí
fold	ałghą́ą́niilyáh
folks	diné
follow	bikééʼ hootʼih
follow up	ninááhodiʼnélʼį́h
following	bikééʼ oodááł
food	chʼyáán
fool	diigis
foolish	doo ahalyą́ą da
foot	akeeʼ
football	jooł yitalí
for	biniiyé
For example	binahjįʼ haneʼígíí
for instance	jó ákotéego éí
for you	ni ná
forbidden	doo bee hazʼą́ą da
force	bizhdigoh
forecast	níłchʼih átʼéhígíí
forehead	atááʼ
foreign	nááná łahdę́ę́ʼ átʼéhígíí
forest	tsintah
forever	tʼáá hoolʼáágóó
forget	baa hoosnah
forget	baa hoonééh
forgive	hwaaníʼdeetʼaah
forgot	bahayoosnah
fork	bilaʼ dį́įʼii
form	naaltsoos hadilnéhígíí
formal	íiyisíí biniiyé hazʼánígíí
formal	íiyisíí biniiyé hooʼaah
former	nítʼę́ę́ʼ
fortunately	baa ił hózhǫ́ǫgo
fortune	tʼáá haʼátʼííshį́į́ naalyéhí hweehólǫ́ǫgo
fortune	ajitʼį́h
forty	dízdiin
forty-two	dízdiin dóó biʼąą naaki
forward	náás
forward	náasjįʼ
foster	baaʼáhayą́
fought	ahijooghą́ą́ʼ
found	chóoztʼeʼ
found	bikʼíʼneetą́ą́ʼ
foundation	bee akékʼah hashchíín
four	dį́į́ʼ
fourteen	dį́į́ʼtsʼáadah
fox	maʼiiłtsooí
fragile	ditʼóódí
fragile	diltǫʼ
frame	bibąąh názáhí
framework	hooghan bánidaazʼáhígíí binaʼanish
fraud	yoochʼííd nahaadeełgo iʼdeesdloʼ
freak	tʼóó diigis
free	tʼáá jiikʼeh
freedom	tʼáá hó jinizingóó naʼadáh
freeze	yistin
frequency	tʼáá ałhxą́ą́h áhooníił
frequent	tʼáá ałhxą́ą́h
frequently	tʼáá ałhxą́ą́h
fresh	aniidí
friday	Nidaʼiiníísh
fridge	biiʼatiní
friend	akʼis
friendly	haʼáhwiinítʼį́į́ʼ
friends	diné bił ałhééhojilzinígíí
friendship	diné bił ałhééhojilzin
frightened	níjisdzííd
frightening	náhadzid
frog	chʼał
from	áádę́ę́ʼ
front	bilą́ąjįʼ
front	bitéél
frozen	yistin
fruit	chʼiyáán naniseʼ
frustrated	ádahozhdeelá
fuel	atooʼ
fuel	chidí bitooʼ
Fulfulde	Senegambian Dineʼé Bizaad
full	haʼdeezbin
fun	bóhoneedlį́h
function	bikʼehgo naʼanishí
fundamental	bee akékʼeh áhooyaaígíí
funeral	atsʼíís yóóʼalnééh
funny	baa dloh hasin
fur	aghaaʼ
furious	háhachxįʼ
furniture	honeʼí silnilí
furniture	hooghan góneʼ bee hahodítʼéhígíí
further	tʼáá náasdi
furthermore	náábiláahjįʼ
future	náás hoolzhishgóó
gain	biniideeʼ
game	daaneʼé
gap	deeshgiizh
garage	chidí yah análbąs góneʼ
garbage	tsxiilzéí
garden	daʼakʼeh
garlic	naniseʼ
gate	daniʼditíhį́
gather	ałhxaʼádzaa
gathering	ałhxąʼájiléehgo
gauge	bee íʼneelʼąąhgo yaa halneʼígíí
gave	baazhníʼąh
gear	bee iʼiilkeedí
gender	diné doodago asdzání idlínígíí
general	tʼóó átʼéhígíí
generally	ákótʼéego
generate	hadilnééh
generate	alnééh
generation	anooséłígíí
generous	haʼáhwiinítʼį́
genius	ayóo hwił ééhozingo
genre	haneʼ ałʼąą ádaatʼéhígíí
gentle	hazhóʼó
gentle	yizhǫǫh
genuine	tʼáá aniinígíí átʼé
gesture	alá bee nizhdilniihgo
get	nídiishaah
get	nidiiʼaah
get	nídoohaah
get dressed	ééʼ biih niʼnééh
get up	nídiidááh
get well soon	tʼáadoo hodinaʼí hashtʼeʼ nináʼdoodááł
getting	nídiilyéego
ghost	chʼį́įdii
ghosting	doo hweenítʼį́į da
giant	yeʼiitsoh
gift	haaʼilyé
ginger	niniseʼ
girl	chʼikʼę́ę́h
girl	atʼééd
girlfriend	eʼetʼééd
give	aajiléh
give	aayítʼaah
give up	bizhníłniiʼ
given	baa yitʼą́h
glad	baa ił hózhǫ́
glance	bikʼíʼdeesgal
glass	tózis
glasses	tózis
glasses	nákʼee sinilí
glimpse	bikʼizh deezghalgo
global	nahasdzáán
gloomy	doo ił hózhǫ́ǫ da
gloves	lágish
glow	diltłiʼ
glow up	diiltłah
glue	bee ídaʼdiiljeehí
go	yiwohjįʼ
go	tįʼ
go ahead	yiwohjįʼ
go away	niwohjįʼ
go to bed	iłwosh
goal	ałą́ąjįʼ bee ádánihozhníʼánígíí
goals	bikáh ahátʼínígíí
goat	tłʼízí
god	diyin
god bless you	diyin nikʼijidlíi dooleeł
goes	áánííł
going	déyá
going	deeskai
going	deeyá
going to	ákǫ́ǫ́h deyá
gold	óola
gone	ádin silį́į́ʼ
gonna	alnééh
goo	dijééʼ
good	yaʼátʼééh
good	nizhoní
good afternoon	yaʼátʼééh
good bye	hágoóneeʼ
good day	nizhónígo neeʼooʼááł dooleeł
good evening	yaʼátʼééh
good job	nizhónígo íinilaa
good looking	nizhóní nahalin
good luck	nikʼih hojidlíi leʼ
good morning	yaʼátʼééh abiní
good morning	yaʼátʼééh
good morning my love	yaʼátʼééh, shichʼooníh
good night	nizhónígo íłhwosh
goodbye	hagoóneeʼ
goodnight	nizhónígo íłwosh
goodnight	íłwosh
goods	tʼáá haʼátʼííshį́į́ naadeełii
Google	béésh łichíiʼii nitsékeesí biyiʼ bił hahodítʼéhígíí
Google Translate	Google Saad Bee Háádilʼínígíí
goose	naaleełí
gorgeous	nizhóní
gossip	saad chxǫ́ʼí
got	nizhdiiláago
got it	bíighah
government	naatʼáanii bił hazʼą́ągi
grab	yizhjih
grade	anéeltʼeʼ wóltaʼígíí
gradually	tʼáá hazhóóʼígo
graduate	niʼiltááh
grain	tłʼoh
grant	béeso achʼįʼ kólyaaígíí
grant	béeso bee aahojoosbaʼígíí
granted	bee hahojoosbaʼ
grapes	chʼil naʼatłʼoʼii
grasp	jizhshih
grass	chʼil
grateful	baaʼahxééhwiinidzin
gratitude	ahxééhwiinidzin
grave	łeʼhwiiníiłgi
gray	łibá
great	Nizhóní
great	yaʼátʼééh
greed	doo hwił hadlee da
greedy	doo ił hadleeʼ da
green	tátłʼidgo dootłʼizh
green	chʼilgo dootłʼizh
greet	kʼézhnídzin
greeting	kʼéhwiinidzin
greetings	kʼáhwiinidzin
grey	łibá
grid	ałnádaʼasdzoh
grief	chʼéénáh
grind	yikʼáh
grip	jizhjih
grip	jótąʼ
grocery	chʼiyáán
grocery	chʼiyáán nahaniihígíí
groom	hastiin iiyehígíí
gross	baaʼih
ground	neʼgóó
group	dah naazhjaaʼígíí
grow	anoosééł
growth	anoosééł
grumpy	naʼachxǫʼ
Guarani	Paraguay Dineʼé Bizaad
guarantee	tʼáá aníí dooleełgo tʼáá anii
guard	haʼasídí
guess	shąʼshin
guest	diné hweegháhígíí
