ɖé	a
nùɖíɖó ɖokpo ɔ	equal
azɔwanú	equipment
nǔɖokan	equity
zènzèn	equivalent
súnsú	eraser
nùwanyido	error
hɔn	escape
tawun tawun	especially
nùxámɛ	essay
nùjɔnǔ	essence
mɔ̆ ɖɔhun	essential
ɖŏ ayi	establish
è ɖó	established
kàn	estate
akɔnkpinkpan	estimate
è ɖɔ	estimated
d.w.v.	etc
sɔyi	eternal
nùwàkpàkpà	ethics
kpɔ́n	evaluate
kpɔnkpɔn	evaluation
ɖokpo ɔ	even
có	even though
gbadanu	evening
nǔwiwa	event
ɖò nukɔnmɛ	eventually
hweɖěbǔnu	ever
hweɖebǔnu	every
mi bǐ	everybody
mɛ bǐ	everyone
nǔ bǐ	everything
kúnnuɖenú	evidence
nǔ nyanya	evil
nùɖíɖó lɛ́ɛ sín huzuhuzu	evolution
yì nukɔn	evolve
Ewe	Ewe
xwɛ	ex
ganjinùnɔ́	exact
é jɛ́n nyí	exactly
nǔ ɖokpo ɔ	exactly
kpɔ́n	exam
kpɔ́n	examine
kpɔ́ndéwú	example
fɔ́n	exceed
nylà kàn	excellent
zɛ	except
nùɖé	exception
ɖŏ dín	excess
nùɖíɖó lɛ́ɛ	excessive
ɖyɔ̌	exchange
dŏ wŭ	excited
ayihun	excitement
nùkpinkpan	exciting
éɖokpo	exclusive
hwɛ kɛ mì	excuse
mi sɔ́ mì	excuse me
wà	execute
nùblɛ́n	execution
azɔ̌ kpinkplɔntɔ́	executive
sisà	exercise
wà azɔ̌	exercise
nùjlɛ́n	exhaust
fɔ́	exhausted
xlɛ́	exhibit
xlɛ́	exhibition
ɖŏ gbè	exist
gbekan	existence
nǔ ɖò jijɛ wɛ	existing
tùntɔ́n	exit
gbló	expand
ɖó nukún	expect
è nɔ ɖó nukún ɖɔ	expected
akwézinzàn	expenses
axivɛxivɛ	expensive
kpɔn kpɔn	experience
nùjiwǔ	experiment
nǔwukpikpé	expert
é wá yì	expired
tinmɛ	explain
tinmɛ	explanation
kɔ́tɔ	exploit
kpɔn	explore
è ɖè	export
ɖè	expose
è ɖè	exposed
é ɖè nǔ lɛ xlɛ́	exposure
xogbé	express
xógbe	expression
dŏ	extend
gbló	extended
xololo	extension
jlɛjε	extent
nùɖé lɛ	external
kú	extinct
nùɖé	extra
nùɖé	extract
nùxámɛ	extraordinary
nùxámɛ	extreme
kpò	extreme
é ɖò taji tawun	extremely
nukún	eye
nukún	eyes
avɔ	fabric
nùkpinkpan	fabulous
ɖŏ nukɔn	face
nuku min	face
d'alɔ mɛ	facilitate
azɔwanú	facilities
azɔwanú	facility
nùɖé	fact
nùjɔnǔ	factor
azɔwanú	factory
nùɖé lɛ	facts
ɖì	fade
ɖŏ gbĕ	fail
nǔ jɛ ǎ	failed
Hɔn nú	failure
tùntùn	faint
dŏ hwɛjijɔ	fair
hwɛjijɔ	fairly
mamiwàtà	fairy
alinxlé	faith
gbejininɔ	faithful
nùvú	fake
xwezεn	fall
NYANYA	FALSE
nyikɔ	fame
tuùn	familiar
xwédo	family
adɔ	famine
nùjlɛ́jlɛ́	famous
jɔhɔnnyinù	fan
aɖawùn	fancy
é nyɔ́ nukún mɛ	fantastic
zɔ	far
mi dó gbɔ	farewell
glesi	farm
glesi	farmer
nùkpinkpan	fascinating
kpɔ́ndéwù	fashion
dŏwùn	fast
jò	fat
nùblawukúnúmɛ	fatal
nǔ e è nɔ wà é	fate
tɔ́	father
gú	fatigue
nùwanyido	fault
gekplà	favorite
alɔdo	favour
yí wǎn	favourite
xɛsi ɖi	fear
ɖi xɛsi	fear
ɖuɖu	feast
xɛ	feather
aganlingàn	feature
zinzàn	feature
nùɖé lɛ	features
afatɔ́n	february
é kpé mì	fed up
yɔyɔ́	fee
nùɖuɖu	feed
lɛ	feedback
sè	feel
ɖŏ mε	feeling
afɔ	feet
é jɛ ayǐ	fell
mɛɖòdó	fellow
nǔ e è nɔ mɔ dó mɔ	felt
nyɔnu	female
dodùdo	fence
nǔkún	fertile
xwè xwè tɔn	festival
dékpén	fetch
xú	fever
nù kpɛɖé	few
nùɖé lɛ hú mɔ̌	fewer
alɔwliwli	fiance
nùjlɛdonǔwu	fiction
gle	field
adǎn	fierce
xwè kanɖé	fifteen
kanɖé wǒ	fifty
xo hùn	fight
ɖŏ ahwan	fight
ahwan	fighting
nùjlɛ́n	figure
mɔ nukúnnú jɛ mɛ	figure out
nùɖé	file
gɔ́	fill
e gɔ́	filled
fílimɛ	film
adungbonɔ́	filthy
gudo mɛ ɔ	finally
akwɛ́	finance
akwɛzɔ̌ wà tɔ̌	financial
kpɔn	find
mɔ nukúnnú jɛ wu	find out
é nyɔ́	fine
alɔví	finger
fó	finish
é fó	finished
myɔ	fire
agun	firm
nùgùdo	firm
ɖyɔ	first
nyikɔ	first name
hweví	fish
blŏ ɖó	fit
atɔ́ɔ́n	five
ɖyɔ́n	fix
xwè	fixed
asyà	flag
nǔjlɛ́jlɛ́	flash
gangbàn	flat
kpabaà	flat
nùwanyido	flaw
nùɖíɖó e ma ɖó blɔ̌ ǎ é	flawless
hɔn	flee
nù	flesh
yì	flew
é nɔ́ nyɔ́	flexible
jɔmɛ	flight
nùdagàn	flip
ɖŏ wŭ	flirt
ɖŏ wŭ	flirting
do sin nukùnmè	float
tɔjijɔ	flood
kɔ́n	floor
atín	flour
dùdù	flow
lùlù	flow
sè	flower
azɔnkwín	flu
makàndekpo	fluent
ɖ'azɔ̌	fluently
kpeté	fluffy
lómilomi	fluid
jɔhɔn	fly
ayi diɖŏ	focus
ɖŏ ayi	focus
hùn	fog
fitii	foggy
fli zàn	fold
mɛ lɛ	folks
xwedó	follow
azɔ̌ e è nɔ wà lɛ é	follow up
ɖò nukɔnmɛ	following
Fon	Fon
fongbē	Fon
nùɖuɖù	food
alɛ non	fool
hun alɛ	fool
xlonɔ	foolish
afɔ	foot
bɔlu	football
nú	for
bo	for
ɖó	for
Ði kpɔ́ndéwú ɔ	For example
ðiɖe ɔ	for instance
nú we	for you
è gbɛ́	forbidden
hlɔnhlɔn	force
nùnywɛdàyi	forecast
nukɔn	forehead
tò ɖevo mɛ tɔn	foreign
gbadé	forest
káká sɔ́yi	forever
wɔn	forget
hwɛ kɛ mì	forgive
wun wɔn	forgot
gafù	fork
kplon nù me	form
ninɔ́me	form
azɔmɛ	formal
nukɔn tɔn	former
é nyɔ́ nú mì	fortunately
akwɛ	fortune
kanɖé	forty
kanɖé nukún - we	forty-two
yì nukɔn	forward
mɛ e nɔ kpé nukún dó ye wu é	foster
ahwan	fought
è mɔ	found
alɔdo	foundation
ɛnɛ	four
kanwe afɔtɔn	fourteen
gbenɔ	fox
nùɖíɖó e nɔ gblé	fragile
hɔnkpá	frame
tuto	framework
nùblibli	fraud
wɔ̀n	freak
é ɖò vo	free
mɛɖée sí	freedom
ji go nù me	freeze
nùxámɛ	frequency
hweɖelɛnu	frequent
hwɛhwɛ	frequently
fifa	fresh
gbɔjɛ	friday
cyɔ́	fridge
xɔ́ntɔn	friend
xɔ́ntɔn	friendly
xɔ́ntɔn	friends
kancica	friendship
xɛsi ɖi	frightened
xɛsi ɖi	frightening
xɛ	frog
sín hwenɛnu	from
nukɔn	front
nùɖúɖú	frozen
atín	fruit
ɖŏ tagbà nù me	frustrated
ami	fuel
Fulfulde	Fulfulde
nùkún	full
ayihùn	fun
azɔwanú	function
taji	fundamental
kúkú	funeral
hwén	funny
avɔ	fur
xomɛ sìn	furious
xwégbénù	furniture
dŏ nukɔn	further
E lɛ́ nyí	furthermore
sɔgudo	future
dù me	gain
lè	gain
ayihun	game
gbeta	gap
xɔmɛ	garage
zunkɔ́	garbage
jikpá	garden
xɛ	garlic
hɔnmɛ	gate
kplé	gather
kplé	gathering
kpò	gauge
nà	gave
azɔwanú	gear
sunnu kpo nyɔnu kpo	gender
mɛ bǐ	general
mɛ bǐ	generally
ji	generate
kùnkàn	generation
nǔníná	generous
lisà	genius
xleé	genre
xomɛfífá	gentle
nùjɔnǔ	genuine
sù	gesture
yí	get
dó awu	get dressed
fɔ́n	get up
gbɔ azɔn ɖò malín málín mɛ	get well soon
yí	getting
blibɔ́	ghost
kalétà	ghosting
nùɖíɖó ɖaxó ɖé	giant
nùnina	gift
gǒmɛ	ginger
nyɔnuví	girl
nyɔnuví	girlfriend
ná	give
jó dó	give up
è ɖè	given
é hun xomɛ nú mì	glad
kpɔ́n kpɔ́n	glance
kɔ́n	glass
axɔ́wèdètɔ́	glasses
kpɔ́n	glimpse
gbɛ̀ ɔ bǐ	global
kpò	gloomy
alɔkpa	gloves
é ɖi	glow
ɖi ɖi	glow
ɖì	glow up
glɛ́	glue
yì	go
yì nukɔn	go ahead
yì zɔ	go away
yi amlɔ	go to bed
agwè	goal
nǔ e è nɔ ba lɛ é	goals
gbɔ	goat
gbɔ̌	goat
mawu	god
Mawu na xo ɖɛ dó mi jí	god bless you
yì	goes
yì	going
yì	going to
siká	gold
yì	gone
é ná	gonna
gbɔ́ asi	goo
nyɔ́	good
eyon	good
ɖagbe	good
gbadanu ɖagbe	good afternoon
odabo	good bye
azǎn ɖagbe	good day
gbadanu ɖagbe	good evening
azɔ̌ ɖagbe	good job
é nyɔ́ nukún mɛ	good looking
é ná nyɔ́ nú mi	good luck
azǎn ɖagbe	good morning
nyɔ̀ sɔ́	good morning
ayi ɖagbe	good morning my love
zǎn ɖagbe	good night
kɛnklɛ	goodbye
zǎn ɖagbe	goodnight
nùnyɔ́nà	goods
Google	Google
Google Translate	Google Translate
gàn	goose
é nyɔ́ ɖɛkpɛ	gorgeous
xɛxó	gossip
xósúsú	gossip
mɔ	got
Un mɔ	got it
acɛkpikpa	government
yí	grab
glàdi	grade
kpɛɖé kpɛɖé	gradually
wemaxɔmɛ	graduate
nǔkún	grain
alɔdo	grant
e yí gbè	granted
wáìn	grapes
wli	grasp
xɛ	grass
kú dó nú	grateful
kú dó nú mɛ	gratitude
yɔdo	grave
xwɛ	gray
é nyɔ́ tawun	great
nukúnɖíɖó	greed
nukúnɖíɖó	greedy
nukúntín	green
mɛ́	greet
gbeɖiɖe	greeting
e dó gbe mì	greetings
xwɛ	grey
nùjlajla	grid
aluwɛ	grief
glin	grind
alɔkpá	grip
nùɖúɖú	grocery
asúkúsi	groom
nùkúnnúmɛ	gross
ayikúngban	ground
kplékplé	group
sù	grow
zinzɔ́n	growth
xomɛ mε	grumpy
Guarani	Guarani
alɔdo	guarantee
gǎndido	guard
dŏ wŭ	guess
jonɔ	guest
alixlɛ́mɛ	guidance
ali dŏtɔ	guide
dŏ ali	guide
hwɛ wɛ é hu	guilty
nya	guy
gbɛtɔ́ lɛ	guys
akpablàxɔ́sà	gym
mε nɔ	habit
nɔtɛn	habitat
ɖó	had
kénji	hail
ɖa	hair
wè	half
xɔ	hall
alɔ́	hand
alɔkpɔn	handle
alɔgogwè	handle
ɖɛkpɛ	handsome
gboje	hang
mǐ nɔ́ nɔ kpɔ́	hang out
nǔ nɔ jɛ	happen
é jɛ	happened
awǎjijɛ	happiness
kpikpo	happy
xwe mitɔn nyɔ	happy birthday
azan ɖagbe we	happy birthday to you
xwè yɔyɔ́ víví	happy new year
syénsyén	hard
é ɖò wɛn	hardly
hweɖebǔnu ǎ	hardly ever
aɖàn sin sin	harm
aɖàn	harm
nùɖé nɔ hɛn nǔ gblé	harmful
gbejininɔ	harmony
jijɔsyénsyénnɔ́	harsh
nùkún	harvest
ɖó	has
wǎn yí	hate
ɖó	have
azǎn ɖagbe	have a good day
mi ɖó azǎn ɖagbe	have a nice day
ɖu nùɖúɖú	have breakfast
ɖu vivǐ	have fun
a ɖu nù	have you eaten
ɖó	having
nùɖé	hazard
nùjlɛ́jlɛ́	haze
é	he
é ɖó	he has
é wɛ	he is
ta	head
taɖu	headache
gbɔ azɔn	heal
gbɔ azɔn	healing
lanmɛ	health
lanmɛ ganji	healthy
sè	hear
sè	heard
ayi	heart
zàn	heat
hùn myɔ́	heat
jixwé	heaven
kpinkpen	heavy
fùn	hectic
mɛ̀	height
axɔ́sú	heir
nǔglɔ́	heist
è nɔ́ ɖó	held
dŏwu	hell
un dó gbe	Hello
mɛvíví ce	hello dear
éé, nɛ́ a ka ɖe gbɔn	hello how are you
éé, nɛ̌ a ka ɖe gbɔn	hello how are you doing
gǒjíblánú	helmet
dŏ alɔ	help
dŏ alɔ	helpful
enɛ wu ɔ	hence
dŏ nú	her
kanlin lɛ	herd
fí fí	here
xùɖúɖú	heritage
xò nǔ	hesitate
wɛ	Hey
un dó gbe	Hi
éé, nɛ̌ a ka ɖe gbɔn	hi how are you
Kɛnklɛ́n	Hi there
hwlá	hidden
hwlá	hide
nǔwukpikpé	hierarchy
nùxámɛ	high
ɖè wě	highlight
yì jǐ	hike
yì zɔ	hiking
nùɖúɖúɖú	hilarious
só	hill
é	him
nùjlɛjlɛ	hint
alɔkpa	hip
alɔkpa	hips
azɔxɔ	hire
azɔ̀ yí	hiring
tɔn	his
xota	history
xò	hit
Hmm	Hmm
nǔ e nɔ víví nú mɛ é	hobby
kpɔn	hold
nɔ te	hold on
dodo	hole
gbɔjɛ	holiday
nùɖé	hollow
xwé	home
azɔ̌ xwégbe	homework
gbejininɔ	honest
nugbǒ nugbǒ	honestly
wiin	Honey
sísí	honor
agbàn	hood
agɔgwé	hook
zlɔ́n	hop
kpi kpan	hope
akon kpi kpan	hope
un ɖi ɖɔ	hopefully
nukúnɖíɖó tɔn gblé	hopeless
xù	horizontal
lanzo	horn
nǔ nyanya ɖé wɛ	horrible
wuntun	horror
sɔ́	horse
azinzɔnnɔxɔ	hospital
jonɔdo	hospitality
jo	host
flɔ́n	host
mɛyiyi	hostile
nùxámɛ	hot
xɔmɛ	hotel
ganxixo	hour
ganxixo	hours
xwé	house
xɔ	house
xwégbe	household
nɛ̌	how
hwi lɔ gbɔn	how about you
nɛ̌ a ka ɖe gbɔn	how are you
nɛ̌ a ka ɖe gbɔn	how are you doing
nɛ a ka ɖe gbɔn egbe	how are you doing today
étɛ́ wà wɛ a ɖè égbé	how are you today
étɛ́ wà wɛ a ɖè	how do you do
é cí gbɔn	how is
nabí wɛ	how many
nabí é ka nyí	how much
hweɖelɛnu	how often
xwè nabí a ɖó	how old are you
nɛ̀ azǎn towe ka cí gbɔn	how was your day
gbadanu towe gbɔn	how was your night
é ɖó mɔ̌ có	however
nùjlɛ́mɛ	hub
asú tɔn	hubby
xúxú	hug
fyon	hug
xà	hug
dŏ mε	huge
gbɛtɔ́	human
mɛɖesɔhwe	humble
fifà	humid
jɔhɔn	humidity
kanwe ko	hundred
xovɛ	hungry
nùxámɛ	hunt
jɔhɔn ɖaxó	hurricane
yá wǔ	hurry
Mi yá wǔ	hurry up
wǔvɛ́	hurt
asú	husband
avun	hustle
avun xixo	hustle
xɔ	hut
nùxámɛ	hygiene
Un	I
ɖo malin malin	I am
Un ɖò ganjí	I am fine
Un sixu	I can
Un sixu wà ǎ	I can't
Un yí gbè	I do
Un tuùn ǎ	I do not know
Un mɔ nǔ jɛ mɛ ǎ	I do not understand
Un tuùn ǎ	I don't
Un ma tuùn ó	I don't know
Un mɔ nukúnnú jɛ mɛ ǎ	I don't understand
Un mɔ nukúnnú jɛ nǔ e ɖɔ wɛ a ɖe é mɛ ǎ	I don't understand what you mean
Un mɔ nukúnnú jɛ nǔ e ɖɔ wɛ a ɖè é mɛ ǎ	I don't understand you
Un tuùn ǎ	I don’t know
Un mɔ nǔ jɛ mɛ ǎ	I don’t understand
Un ɖi ɖɔ	i guess
Un ɖó	I had
Un ɖó	I have
Un nɔ	I have been
Un ɖi ɖɔ mɔ̌ wɛ	I hope so
Un tuùn	I know
Un yí wǎn	I like
Un yí wǎn nú we	I like you
Un yí wǎn	I love
Un yí wǎn nú nɔví ce	I love my big brother
Un yí wǎn nú nɔví nyɔnu ce ɖaxó ɔ	I love my big sister
Un yí wǎn nú tɔ́ ce	I love my father
Un yí wǎn nú nɔví cè kpɛví ɔ́	I love my little brother
Un yí wǎn nú nɔví nyɔnu ce kpɛví ɔ	I love my little sister
Un yí wǎn nú nɔ ce	I love my mother
Un yí wǎn nú we	I love you
Un yí wǎn nú we tawun	I love you so much
Un yí wǎn nú we	I love you too
Un ɖɔ	I mean
A vɛ́ nú mì	I miss you
A vɛ́ nú mì tawun	I miss you so much
Un mɔ	I see
Un lin ɖɔ	I think
Un mɔ nǔ jɛ wu	I understand
Un jló	I want
Un jló na mɔ we	I want to see you
Un jló we	I want you
Un ɖò	I was
Un na bló	I will
Un na nyí	I would be
Un ɖò	I'm
Un ɖò ganjí	I'm fine
Un ɖò ganjí	I'm good
Un ɖò fí	I'm here
Un kú nǔbláwǔ	I'm sorry
yìsi	ice
nùsúnnú	ice cream
linlin	idea
nǔ ɖagbe	ideal
nǔ ɖokpo ɔ	identical
tuùn	identify
mebùnɔ́	identity
xlonɔ	idiot
ɖŏ wŭ	idle
enyi	if
ma ɖó ayi ó	ignore
azɔn	ill
nù è ma ɖó ná bló ǎ	illegal
azɔn	illness
Ilocano	Ilocano
nùdidé	image
tamɛ kpɔ́n	imagine
é ɖò dandan	immediate
ɖò tlolo	immediately
bablibà	immense
xɔxɔ́	impact
é nɔ ɖó suúlu ǎ	impatient
wà	implement
ɖŏ	import
ɖŏ ɖŏ	import
nǔ taji	important
ɖ'azɔn jí	impose
nǔ sixu jɛ ǎ	impossible
ɖ'awǎ	impress
kpɔn	impression
é nyɔ́ nukún mɛ	impressive
ɖyɔ́n	improve
ɖyɔ	improvement
ɖò	in
é ɖò mɔ̌ có	in addition
Nǔgbó ɔ́	In fact
ɖò nukɔn	in front of
bo na dó	in order to
nǔ e sɔgbe ǎ	inappropriate
alɔdo	incentive
nùɖé	incident
nɔ byɔ	include
nùɖé lɛ	including
álé	income
tagba	inconvenience
dŏ sù	increase
é sù	increased
nǔ ma ɖiɖe ǎ	incredible
É ɖò mɔ̌	indeed
é nɔ wà éɖesunɔ	independent
India	India
xlɛ́	indicate
tò tò	indigenous
mɛ ɖokpo ɖokpo	individual
azɔwanú	industry
é ɖò dandan	inevitable
yɔkpɔvu	infant
azɔnkwín	infection
tegbe tɔ́n	infinity
nùxámɛ	inflammation
do jɔhɔ́n	inflation
acɛkpatɔ	influence
dù gàn	influence
ɖɔ	inform
dɔnùesè	information
bógbé	ingredients
gǔ	inheritance
nukɔn nukɔntɔn ɔ	initial
kpansin	initiative
e gblé	injured
nǔgbomɛ	injury
xomɛvɔ́nɔ	innocent
hùzùhùzù	innovation
nùkanbyɔ	inquiry
nùblíblí	insane
nùvi	insect
càywé	insecure
nùɖé	insert
mɛ	inside
nukúnnúmɔjɛnǔmɛ	insight
é nɔ́ ɖɔ	insist
alɔjixwe	insomnia
wusyɛn dó lanmɛ nú mɛ	inspiration
d'alɔ mɛ	inspire
sɔ́	install
nùjlɛdonǔwu	instance
hweɖelɛnu	instant
É nyɔ́ hú	instead
ɖó	instead of
nùkplɔnmɛ	instructions
nùjlɛ́nú	instrument
zunzun	insult
akwɛ́sinsi	insurance
e ɖò éɖesunɔ	intact
gbejininɔ	integrity
nùnywɛ xwitixwiti	intellectual
nǔywɛ	intelligence
nùnywɛ	intelligent
ɖŏ linlin	intend
jlo	intended
nùxámɛ	intense
linlin	intention
ɖŏ xó xá	interact
kpòkpò	interaction
ɖu ɖ'é jí	interest
é nyɔ́ nukún mɛ	interested
nùkpinkpɔn	interesting
ɖŏ xó xá	interfere
gbe ɖokpo ɖokpo	intermediate
nùɖíɖó e ɖò mɛ mɛ é	internal
tò ɖevo lɛ	international
azɔmɛ	internship
jlɔ́n	interpret
ɖɛ̀ɖɛ́tɔ́	interpreter
gbò	interrupt
xóɖiɖɔ	interview
mɛɖòɖó	intimate
yì	into
ɖŏ	introduce
nùjlɛjlɛ	introduction
mɛɖokponɔ	introvert
nùlinlin	intuition
nùɖíɖó e ma sɔgbe ǎ	invalid
kpà	invent
nùdowà	inventory
do wà	invest
kpɔn	investigate
ylɔxɔ	invitation
ylɔ́ mɛ	invite
axɔkwɛ ɔ	invoice
byɔ́	involve
é ɖ'é mɛ	involved
ganwiwi	iron
gàn	iron
nyí	is
tɔtɛntinto	island
è ɖè	isolated
dŏ wŭ	issue
nùkanbyɔ	issues
é	it
é nyí	it is
é nyí	it was
é nyí	it's
É nyɔ́	it's ok
É nyɔ́	It's okay
nùɖé	item
nǔ lɛ	items
é	its
Un	I’m
awu	jacket
ganxó	jail
aluùnsùn	January
zen daxo	jar
alɔví	jaw
wǔhwinhwan	jealous
xlonɔ	jerk
sikàtùnxɔ́sà	jewelry
azɔ̀	job
wezun	jogging
xò dŏ	join
alɔ ɖó kpɔ́	joint
ayihunxo	joke
xójlawutɔ́	journalist
tomɛyiyi	journey
awǎjijɛ	joy
gbo hwé	judge
hwegbotɔ́	judge
nùsúnnú	juice
xwè	july
jɛ̀	jump
jùn	june
gbà	junk
kpowun	just
bló kpowun	just do it
hwɛjijɔ	justice
hwɛjijɔ	justify
Kalaallisut	Kalaallisut
kpò	keen
ɖŏ	keep
mi nɔ́ nɔ́	keep it up
è nɔ hɛn	kept
sindàdojinù	kettle
càvi	key
kpɔn	kick
yɔkpɔvu	kid
nùɖíɖó	kidding
alin	kidney
vǐ lɛ	kids
hu	kill
mɛ ɖagbe	kind
xomɛnyínyɔ́	kind
é cí	kinda
xomɛnyínyɔ́	kindly
xomɛnyínyɔ́	kindness
axɔ́sú	king
kancica	kiss
adoxɔ́	kitchen
jɔmɛ	kite
xɛví	kitten
alɔ	knee
tuùn	knew
jivi	knife
sɔ́ja	knight
wùn	know
nùjlɛdonǔwu	knowledge
è tuùn	known
Konkani	Konkani
Krio	Krio
nùnina	label
é nùnina	label
azɔ̀	labor
azɔ̌	labour
hihàn	lack
ogan	ladder
nyɔnu	lady
è ɖó	laid
tɔ̀n	lake
lɛngbɔvi	lamb
mɛ e ma ɖó gǎn ǎ é	lame
zogbɛ́n	lamp
wa do	land
ayikungban	land
fí e è nɔ ɖè é	landscape
gbè	language
agbò	lap
ɖaxó	large
gudo tɔn	last
gudo bǐ ɔ	last but not least
nyikɔ tɔn	last name
é lín	late
ɖò azǎn gudogudo tɔn lɛ mɛ	lately
nukɔnmɛ	later
gudo tɔn	latest
gudo tɔn	latter
nùkiko	laugh
ɖì	laughing
nùkiko	laughter
kpikpí	laughter
bǐbɛ̌	launch
avɔxwɛ	laundry
sɛ́n	law
gbadé	lawn
hwɛɖɔtɔ́	lawyer
ɖŏ	lay
zàn	layer
nùjlɛjlɛ	layout
fɔnnɔ	lazy
kpò	lead
gǎn	leader
wèmá ɔ́	leaf
kɔ́n nyi	leak
blà wù	lean
zlɔ́n	leap
kplɔ́n nǔ	learn
nùkplɔnkplɔn	learning
xɔ	lease
hweɖelɛnu	least
kpò	least
kɔ́	leather
yì	leave
xù	leaves
zɔ́n ji	led
amyɔ	left
afɔ	leg
gǔ	legacy
acɛkpikpa	legal
nùjlɛdonǔwu	legend
é ɖò sɛ́n jí	legit
gbɔjɛ	leisure
hwè	lend
lín	length
hweɖenu	less
nùkplɔnmɛ	lesson
jó dó	let
wema	letter
nùxuxu	lettuce
azɔwanú	level
alɔdo	leverage
ɖŏn	liability
wemaxɔmɛ	library
ɖì	lick
adingban	lie
ɖó awò	lie
adingban	lies
gbɛ̀	life
ɖŏ sù	lift
ɖŏ sù mè	lift
kpɔn	light
nǔjlɛ́jlɛ́	lightning
sin	like
é sixu nyí	likely
mɔ̆ ɖokpó ɔ́	likewise
ali	line
Lingala	Lingala
kancica	link
kinnikínní	lion
sìn ɖɔ hun	liquid
wlan wlan lɛ	list
ɖótó	listen
sè xó	listening
é ɖò wɛn	literally
wemaxɔmɛ	literature
do gàn alɔ́	litter
kpɛví	little
É ɖò gbɛ̀ jí	live
gan	liver
gbɛ̀	lives
gbɛ̀	living
xɔ nɔ nɔ	living room
alɔ́tlɔ́	lizard
azɔ̌	load
wɔ̌xúxú	loaf
hwɛ́	loan
mε	local
xɔ	location
gàn	lock
gàn	lockdown
wlan	log
é nɔ́ nyɔ́ nukún mɛ	lol
mɛɖokponɔ	lonely
gaga	long
é lín bɔ un mɔ mi ǎ	long time no see
kpon	look
kpi pkon	look
nùjlajla	loop
e nɔ mɔ̀ mɛ̀	loose
bù wun	loose
axɔ́sú	lord
xò	lose
bú	loss
bú bù	lost
lɔɔtu	lot
xóxó	loud
agbasà	lounge
wanyiyi	love
yí wǎn	love
Un yí wǎn nú we	love you
é nyɔ́ ɖɛkpɛ	lovely
hwe	low
hwe	lower
gbejininɔ	loyal
gbejininɔ	loyalty
nǔ nyɔ́	luck
é nyɔ́	lucky
Luganda	Luganda
agbàn	luggage
nùglɔ́	lump
hunmɛxwlé	lunch
xú	lungs
xɔ akwɛ	luxury
adingban	lying
mɔ̆to	machine
yɛyinɔ́	mad
nyɔ̌nu	madam
è bló	made
wemaxɔmɛ	magazine
é nyɔ́ ɖɛkpɛ	magnificent
mɛ̌si	maid
nǔ taji	main
hɛn	maintain
alɔdo	maintenance
Maithili	Maithili
nuku nedji	major
mɛ gègě	majority
dŏ wŭ	make
ɖŏ nù	make up
sunnu	male
xɔxɔ	mall
gbɛtɔ́	man
kplà me gbɔ́n alixo	manage
azɔwanú	management
gǎn	manager
nǔ e è ɖó ná bló é	mandatory
nǔgbo	manifest
fàkinkàn	manipulate
alɔ̀kpà	manner
wemafɔ	manual
mɛ gègě	many
azan ɔ́ mɛ̀ lɛ́ɛ bǐ ná yí gbè	many many happy returns of the day
xwè	march
nùɖé	margin
axixɔ	market
alɔwliwli	marriage
alɔwliwli	married
gàn	mask
hànmà	mass
nùɖíɖó ɖaxó ɖé	massive
gǎn	master
gbeɖokpɔ́	match
kpikpé	match
mɛ	mate
nǔ è nɔ zán lɛ é	material
akɔnta	math
kam biò	matter
ò kam biò	matter
xwè	maturity
ayi ɖó wε	may
dŏ wŭ	maybe
nyɛ	me
nyɛ ɖesu	me too
hunmexwlé	meal
tinmɛ	mean
tinmɛ tɔn	meaning
nùjlɛdonǔwu	means
é ɖɔ	meant
ɖò hwe enɛ ɔ mɛ ɔ	meanwhile
agunsoto	measure
azɔ̌	measures
lanmɛ	meat
azɔngbɔn	medical
azɔ̀n	medicine
tamɛ linlin	meditation
nùxámɛ	medium
é vɛwǔ	meet
kplé	meeting
Miitiɛlɔ́n	Meiteilon
Meiteilon	Meiteilon
sinsin	melt
taglómɛ	memories
nùjlɛdonǔwu	memory
ayi mɛ	mental
ɖɔ xó	mention
è ɖɔ xó dó	mentioned
mɛsinɔ	mentor
xɔtɔ́	merchant
nǔbláwǔkúnúmɛ	mercy
é nyí kpowun	merely
xwèwùn	merry christmas
fùtù	mess
wɛn	message
nǔ gblé	messy
gan	metal
azɔwanú	method
xɛ lɛ	mice
tɛntin	middle
zanzan	midnight
sixu	might
nùɖé	mild
nǔ taji ɖé	milestone
ahwankpá	military
sin	milk
xwè mɔkpan	million
gbi gbo	mind
lin lin	mind
linlin	mindset
tché	mine
yin	mine
ɖŏ kpɔ́	mingle
nùɖé ǎ	minor
ganxixo	minute
ganxixo	minutes
nùjiwǔ	miracle
nùkpén	mirror
nǔ ɖevo lɛ	miscellaneous
mimlàto	mischievous
mɛ nyanya	miserable
wŭ	misery
ɖyɔvǐ	miss
nyɔnuví	miss
e nɔ ɖó wε	miss you
nuxén	missing
azɔ̌	mission
jɔhɔn	mist
nùwanyido	mistake
Mizo	Mizo
alokàn	mobile
slamé	mock
nùjlɛdonǔwu	model
djilè méni non	moderate
djilè mè	moderate
égbé tɔn	modern
mɛɖesɔhwe	modest
ɖò mɛ	moist
ɖù	moist
jɔhɔn	moisture
fùn hwà	mold
ɖù méo	mold
kwin	mole
nɔ	mom
hweɖenu	moment
ténigbé	monday
akwɛ	money
kpɔnkpɔn	monitor
kàbli	monkey
