ⴰ	a
ⵉⵅⴻⵍⵍⴻⵚ ⵙ ⵉⴷⵔⵉⵎⴻⵏ	cash
ⵟⵟⴻⴳⴻⵔ	cast
ⵜⴻⵖⵔⴻⵎⵜ	castle
ⵙ ⵜⴰⴳⵏⵓⵜ	casual
ⴰⵎⵛⵉⵛ	cat
ⵟⵟⴻⴼ	catch
ⵜⴰⴳⴳⴰⵢⵉⵏ	category
ⵍⵎⴰⵍ	cattle
ⵢⴻⵜⵜⵡⴰⵜⵜⴳⴻⵏ	caught
ⵢⴻⵖⵔⴰ	cause
ⵃⴰⴷⵔⴻⵜ	caution
ⵢⴻⵜⵃⴰⴷⴰⵔ	cautious
ⵜⴻⵏⵖⴻⵔⵜ	cave
ⵜⴻⵃⴱⴻⵙ	cease
ⴰⴼⴻⵍⵍⴰ	ceiling
ⴰⵙⴼⵓⴳⴻⵍ	celebrate
ⵜⴰⵅⵉⴱⴰⵜ	cell
ⵜⴰⵍⴻⵎⵎⴰⵙⵜ	center
ⵍⵇⴻⵔⵏ	century
ⵢⵉⵎⴻⵏⴷⵉ	cereal
ⵜⴰⴼⵓⴳⵍⴰ	ceremony
ⵉⴱⴰⵏ	certain
ⵙ ⵜⵉⴷⴻⵜ	certainly
ⴰⵙⴻⵍⴽⵉⵏ ⵏ ⵜⴳⴻⵣⵣⴰⵢⵜ	certificate
ⵜⵉⵙⴻⵍⵙⴻⵍⵜ	chain
ⴰⴽⴻⵔⵙⵉ	chair
ⵃⴰⵣⴻⵎ	challenge
ⴰⵙⵉⵔⴻⵎ	chance
ⴰⴱⴻⴷⴷⴻⵍ	change
ⴰⵎⴻⵏⵏⵓⵖ	chaos
ⴰⵣⴰⵎⵓⵍ	character
ⵉⵙⵎⴰⵍ	characteristics
ⴰⴳⴳⴰ	charge
ⵚⴰⴷⴰⵇⴰ	charity
ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ	charming
ⴰⵎⴻⵙⴽⴰⵏ	chart
ⵜⴻⴱⵄⴻⵏ	chase
ⵢⴻⵜⵇⴻⵚⵚⵉⵔ	chat
ⵖⵍⴰⵢ	cheap
ⵢⴻⵜⵜⴽⴻⵍⵍⵉⵅ	cheat
ⵢⴻⵜⵜⴽⴻⵍⵍⵉⵅ	cheating
ⵙⴻⴼⵇⴻⴷ	check
ⵍⴰⵃⵏⴰⴽ	cheek
ⵙⵙⴻⴱⵖⴻⵙ	cheer
ⵢⴻⵙⴼⴻⵔⵃⴻⵏ	cheerful
ⵙⵙⴻⴱⵖⴰⵙ	cheers
ⴰⴳⵉⵙⵉ	cheese
ⵜⴰⴽⵔⵓⵔⴰ	chemistry
ⵄⵣⵉⵣ	cherish
ⵉⵛⴰⵀⴻⵏ	chess
ⴰⴳⵍⵉⵎ	chest
ⵜⵓⴼⵥⴰ	chew
ⴰⵢⴰⵣⵉⴹ	chicken
ⴷ ⴰⵏⴻⵃⴽⴰⵎ	chief
ⴰⴳⵔⵓⴷ	child
ⵜⴻⵎⵥⵉ	childhood
ⴰⵔⵔⴰⵛ	children
ⵙⴻⵎⵎⴻⴹ	chill
ⵉⵙⴻⴽⴽⵉⵍⴻⵏ	chimneys
ⵜⴰⵎⴰⵔⵜ	chin
ⵛⵛⵉⴽⵓⵍⴰ	chocolate
ⵍⵅⴻⵜⵢⴰⵔ	choice
ⵅⵜⵉⵔ	choose
ⴳⵣⴻⵎ	chop
ⵍⴻⵇⴷⵉⵛ ⵏ ⵡⴻⵅⵅⴰⵎ	chores
ⴰⵛⴰⵕⴰⵏ	chubby
ⵜⴰⴽⵍⵉⵣⵜ	church
ⵍⵇⴻⵔⴼⴰ	cinnamon
ⵜⴰⵡⵉⵏⴻⵙⵜ	circle
ⵜⴰⴳⵏⵉⵜ	circumstances
ⴰⵖⴻⵔⵎⴰⵏ	citizen
ⵜⴰⵎⴷⵉⵏⵜ	city
ⵢⴻⵙⵙⴻⴼⵀⴻⵎ	clarify
ⵜⴰⵏⴻⵖⵔⵉⵜ	class
ⵢⵉⴷⴻⵇⵇⵉ.	clay
ⵣⴻⴷⴷⵉⴳⴻⵏ	clean
ⵢⴻⵙⴼⴻⴹ	clear
ⴰⵏⴰⵡⵓⵔ	clerk
ⴰⵎⴻⵃⵔⵓⵛ	clever
ⵢⴻⵎⵙⴰⵖⴻⵏⵯⵏⵏⴻⵖ	client
ⴰⵛⵕⵓⴼ	cliff
ⴰⵏⴻⵣⵡⵉ	climate
ⴰⴼⵓⴷ	climb
ⴰⵎⴰⵍⵜⴰⵖ	clingy
ⴰⵎⴰⵙⵔⴰⴳ	clock
ⵖⵍⴻⵇ	close
ⵜⴻⵅⵣⴰⵏⵜ	closet
ⴰⵛⴻⵜⵜⵉⴹ	cloth
ⵉⵛⴻⵜⵜⵉⴹⴻⵏ	clothes
ⵉⵙⵉⴳⵀⵉⵏⴰ	cloud
ⴷ ⴰⵙⵉⴳⵏⴰ	cloudy
ⴰⴼⴻⵔⴽⵓⵙ	clown
ⵜⴰⴽⵜⵉ	clue
ⵢⴻⵜⵇⴻⵍⵍⴻⵇ	clumsy
ⵜⴰⴳⵔⵓⵎⵎⴰ	cluster
ⵙⵍⵓⵖⵎⵓ	coach
ⵉⵔⴻⴳ	coal
ⵔⵔⵉⴼ ⵏ ⵢⵉⵍⴻⵍ	coast
ⴰⴽⴻⴱⴱⵓⴷ	coat
ⵍⵇⴰⵀⵡⴰ	coffee
ⴰⵡⴻⵙⵙⵓⵏ	cognitive
ⴷ ⵣⵣⵀⴻⵕ ⴽⴰⵏ	coincidence
ⵙⵙⴻⵎⴻⵜ	cold
ⵉⵖⴻⵍⵍⵉ	collapse
ⵉⵔⵉ	collar
ⴰⵎⴻⴷⴷⴰⴽⴻⵍ	colleague
ⵉⵎⴷⵓⴽⴰⵍ	colleagues
ⴰⴷ ⴷⵯⵜⴻⴽⴽⴻⵙ	collect
ⵜⴻⵍⴽⴻⵏⵙⵉⵜ	collection
ⵜⴰⵙⴷⴰⵡⵉⵜ	college
ⵉⵏⵉ	color
ⵜⵉⴽⵜⵉⵡⵉⵏ ⵜⵉⵣⴻⴳⵣⴰⵡⵉⵏ ⵓⵔ ⵏⴻⵙεⵉ ⵜⵉⵖⵎⵉ ⵟⵟⵙⴻⵏ ⵙ ⵡⵓⵔⵔⵉⴼ	colorless green ideas slept furiously
ⵉⵏⵉ	colour
ⴰⵊⴳⵓ	column
ⵜⵉⵎⵛⴻⴹⵜ	comb
ⴰⵙⴰⴼⴰⵔ	combination
ⴰⵙⴷⵓⴽⴽⴻⵍ	combine
ⴰⵔⵡⴰⵃ	come
ⴰⵢⴰⵯⴷ ⵖⴻⵔ ⴷⵯⴰ	come here
ⴰⵎⴰⵣⵔⴰⵔ	come on
ⴰⵔⵉ	comfort
ⵢⴻⵙⵄⴰ ⵍⴻⵀⵏⴰ	comfortable
ⵢⴻⵜⵜⴰⵡⴻⴹⵯⴷ	coming
ⵇⵕⵉⴱ ⴰⴷ ⴷⵯⵢⴰⵡⴻⴹ	coming soon
ⵉⴹⴻⴱⴱⵉⵔ	command
ⵢⵉⵡⴻⵏⵏⵉⵜⴻⵏ	comment
ⵜⵜⵊⴰⵔⴰ	commercial
ⴰⵙⴻⵖⵍⴻⴼ	commission
ⴻⴳⴳ	commit
ⵉⵙⴻⴹⵙⴰⵢ ⴰⵟⴰⵙ	commitment
ⵢⴻⵟⵟⴻⴼ	committed
ⴰⵍⵣⴰⵣⴻⵏ	commodity
ⴰⵎⴰⵢⵏⵓⵜ	common
ⴰⵙⵎⵎⴻⵙⵍⴰⵢ	communicate
ⵜⴰⵙⵎⵉⵍⵜ	communication
ⵜⴰⵙⴷⵓⴽⵍⴰ	community
ⴰⴱⵔⵉⴷ	commute
ⴰⵎⴻⴷⴷⴰⴽⴻⵍ	companion
ⵜⴰⴳⴳⴰⵢⵜ	company
ⵙⴻⵎⵙⴰⵡⵉ	compare
ⵇⵓⵔⴻⵏ	comparison
ⵍⴻⵃⵏⴰⵏⴰ	compassion
ⴰⵔⵓⴼⵉ	compassionate
ⵢⴻⵎⵚⴰⴷⴰ	compatible
ⵢⴻⵜⵜⴻⴽⴽⴰⵢ	compete
ⵢⴻⵥⵡⴻⵕ	competent
ⴰⵎⵙⴰⵣⵡⴰⵔ	competition
ⵜⴻⵖⴷⵉⵔⴰⵡⵜ	competitive
ⴷⵯⵢⴻⵜⵜⵛⴻⵜⴽⵉⵏ	complain
ⴰⵛⵛⴻⵜⴽⵉ	complaint
ⵄⵉⵡⴻⵏ	complement
ⴰⴽⵎⵎⴻⵍ	complete
ⴰⴽⴽⵉⵜ	completely
ⴰⵙⴻⵎⵍⴰⵍ	complex
ⵉⴳⴰ	compliance
ⵢⴻⵡⵄⴻⵔ	complicated
ⵜⴰⵊⵎⵉⵍⵜ	compliment
ⵔⴻⵡⴻⵙ	comply
ⵜⵉⵔⴰ	composition
ⴰⵎⴻⵙⴽⴰⵏ	compound
ⵜⵉⴳⵣⵉ	comprehension
ⴰⵎⴰⵜⵓ	comprehensive
ⵙⵓⵔⴷⵓ	compromise
ⵜⴰⵎⴻⵍⵣⵓⵎⵜ	compulsory
ⴰⵙⴻⵍⴽⵉⵎ	computer
ţⵕⴻⴽⵣⴻⴹ	concentrate
ⵜⵉⴽⵜⵉ	concept
ⵢⵓⴳⴳⴰⴷ	concern
ⵢⴻⵜⵜⵡⴰⵃⵙⴰⴱ	concerned
ⴰⴱⴰⵔⴰⵣ	concert
ⵜⴰⴳⴳⴰⵔⴰ	conclusion
ⴰⴽⵎⴰⵎ	concrete
ⵙⵙⵉⵎⴰⵏ	concrete
ⵛⵛⴻⵔⴹ	condition
ⵜⵉⵡⴻⵍⵜⵉⵏ	conditions
ⵜⴰⵏⴻⵀⵔⴰⵡⴻⵜ	conduct
ⴰⵙⴰⵔⴰⴳ	conference
ⵢⴻⵙⵜⴰⵄⵕⴻⴼ	confess
ⵍⴰⵎⴰⵏ	confidence
ⵢⴻⵜⴽⴽⴻⵍ	confident
ⵙⵙⴻⴽⵏⴻⵖⵜ	confirm
ⴰⵎⴻⵏⵏⵓⵖ	conflict
ⵢⴻⵅⵍⴻⴼ	confused
ⴰⵔⵡⴰⵢ	confusion
ⴰⵢⵢⵓⵣ	congrats
ⵎⴻⴱⵔⵓⴽ	congratulation
ⴰⵢⵢⵓⵣ	congratulations
ⵜⴰⵙⴻⴼⵜⵉⵜ	conjunction
ⵇⵇⴻⵏ	connect
ⴰⵎⴻⵣ	conquer
ⵢⴻⵙⵄⴰⵏ ⴰⵣⵔⴻⴼ	conscious
ⵜⴰⵎⵓⵙⵏⵉ	consciousness
ⵢⴻⵇⴱⴻⵍ	consent
ⵜⵉⵏⴰⵍⴽⴰⵎⵉⵏ	consequences
ⴰⵃⵔⴰⵣ	conservation
ⴰⵎⴰⴳⴰⵣ	conservative
ⵎⴻⴳⴳⴻⵣ	consider
ⵉⵖⵉⵍ	considered
ⵍⵍⴰⵏ ⴷⴻⴳⵯⵙ	consist
ⵉⵎⵡⴰⵍⴰⵎ	consistency
ⵍⵍⴰⵏ	consistent
ⴰⵎⴻⴷⵢⴰ	constant
ⴷⵉⵎⴰ	constantly
ⵜⵓⵇⴻⴼⵜ	constipation
ⵍⴻⴱⵏⵉ	construction
ⵙⵓⴷⴻⵔ	consume
ⴰⵙⵙⴻⵇⴷⴻⵛ	consumption
ⵏⴻⵔⵎⴻⵙ	contact
ⵉⵏⴻⵟⵟⴻⴹ	contagious
ⵢⴻⵙⵄⴰ	contain
ⵢⴻⵙεⴰ	contains
ⴰⵎⴰⵢⵏⵓⵜ	contemporary
ⴰⵃⵇⴰⵔ	contempt
ⴰⴳⴻⵎⵎⴰⵢ	content
ⴰⵎⵙⵉⵣⵡⴻⵔ	contest
ⵓⵙⴰⵜⴰⵍ	context
ⴰⵎⴻⵏⵥⴰⵡ	continent
ⴽⴻⵎⵎⵍⴻⵜ	continue
ⵙⴻⴷⵔⴻⵙ	contract
ⵙⴻⴳⴷⴻⵍ	contrast
ⵢⴻⵜⵜⴻⴽⴽⴰ	contribute
ⵢⴻⵜⵜⴻⴽⴽⴰ	contribution
ⵜⵃⴻⴽⵎ	control
ⴰⵎⵀⴰⵡⴻⵔ	controversial
ⴰⵎⵜⴰⵡⴰ	convenience
ⵢⴻⵙⵙⵣⴼⴽⴻⵏ	convenient
ⴰⵎⴻⵙⵍⴰⵢ	conversation
ⵢⴱⴻⴷⴷⴻⵍ	convert
ⴰⵙⵙⵉⴽⴻⵍ	convey
ⵢⴻⵙⵙⴻⵇⵏⴻⵄ	convince
ⵢⴻⵙⵙⴻⵇⵏⴻⵄ	convinced
ⵏⵉⵡⴻⵍ	cook
ⵏⵡⴰⵍ	cooking
ⵢⴻⵍⵀⴰ ⴰⵟⴰⵙ	cool
ⵙⴻⵎⵎⴻⴹ	cool
ⴰⵎⴻⴷⵀⴻⵍ	cooperation
ⵏⴻⵖⵍⴻⴱ	cope
ⵏⴻⵃⴰⵙ	copper
ⵓⵍ	core
ⴰⴽⴱⴰⵍ	corn
ⵜⴻⵖⵎⴻⵔⵜ	corner
ⴷ ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ	correct
ⴰⵛⵃⴰⵍ ⴰⵔⴰ ⴷⵯⵢⴻⵙⵇⴰⵎ	cost
ⴰⵢⵔⵉⴷ	costume
ⴰⵅⵅⴰⵎ	cottage
ⵜⴰⴱⴷⵓⵖⵜ	cotton
ⴰⴽⴰⵏⴰⵒⵉ	couch
ⵜⵓⵙⵓⵜ	cough
ⵢⴻⵣⵎⴻⵔ	could
ⴰⵙⴻⵇⵇⴰⵎⵓ	council
ⵍⴻⵃⵙⴰⴱ	count
ⵜⴰⵎⴰⵙⵔⴰⴳⵜ	counter
ⵜⴰⵎⵓⵔⵜ	country
ⵜⴰⵎⵓⵔⵜ	countryside
ⵙⵉⵏ	couple
ⵜⴰⴱⵖⴻⵙⵜ	courage
ⴰⵙⵓⵔⵉⴼ	course
ⵜⴰⵏⵣⴰⵔⴼⵉⵜ	court
ⵍⴻⵃⴷⴰⵇⴰ	courtesy
ⵎⵉⵙⵙ ⵏ ⵄⴻⵎⵎⵉ	cousin
ⵜⴰⴷⵓⵍⵉ	cover
ⵜⴰⴼⵓⵏⴰⵙⵜ	cow
ⵢⵜⵜⴰⴳⴰⴷ	coward
ⵢⴻⵙεⴰⵏ ⵍⴻⵀⵏⴰ	cozy
ⵃⴻⵏⵏⴻⵇⵔⵉⵛ	crab
ⵢⴻⵟⵟⴻⵔⴹⴻⵇ	crack
ⵜⵉⵏⴷⵉ	craft
ⵉⵥⵥⴰⵏ	crap
ⵢⴻⵖⵍⵉ	crash
ⴰⵙⴻⵀⵡⵓ	crash
ⵢⴻⵜⵛⵉⵀⵡⴰ	craving
ⵢⴻⵜⵜⵎⵓⵔⵓⴷ	crawl
ⵙⴻⵍⴱⴻⵖ	crazy
ⴰⵙⵏⵓⵍⴼⵓ	create
ⴰⵎⴻⵙⵍⴰⵍ	creative
ⴰⵔⴹⴰⵍ	credit
ⵓⴼⵓⵃⴰⵏ	creep
ⵢⴻⴼⵊⴻⵄ	creepy
ⵉⵎⵙⵍⴰⴹⴻⵏ	crew
ⵉⵎⴻⵏⵖⵉ	crime
ⵙⴽⴻⵔⵡⴻⵛ	cringe
ⵜⴰⵣⵖⴻⵏⵜ	crisis
ⵜⵉⵎⵙⴰⵍ	criteria
ⵢⴻⴽⴽⴰⵜ ⴷⴻⴳ	critical
ⴰⵏⵇⴰⴷ	criticism
ⵍⵖⴻⵍⵍⴰ	crop
ⵍⵖⴻⵍⵍⴰ	crops
ⵣⴳⴻⵔ	cross
ⵎⵉⴷⴻⴳ	cross
ⴰⴳⴰⵔⴻⴼ	crow
ⵍⵖⴰⵛⵉ	crowd
ⵢⴻⵞⵞⵓⵔ	crowded
ⴰⵇⴰⵛⵓⵛ	crown
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ ⴰⵎⴻⵇⵇⵔⴰⵏ	crucial
ⵍⴻⵇⵙⴻⵃ	cruel
ⴰⵃⴻⵡⵡⴻⵙ	cruise
ⵄⴼⴻⵙ	crush
ⵢⴻⵜⵜⵔⵓ	cry
ⴰⵅⵢⴰⵔ	cucumber
ⴰⵙⵉⴳⴻⵔ ⵉⵖⴰⵍⵍⴻⵏ	cuddle
ⵜⴰⴷⴻⵍⵙⴰ	culture
ⵜⵉⵃⵔⵛⵉ	cunning
ⵜⴰⵇⴱⵓⵛⵜ	cup
ⴰⵙⴰⵍⵓ	cupboard
ⵜⴰⵔⴽⴻⵏⵜ	curb
ⵢⴻⵊⵊⵉ	cure
ⴰⵙⵎⵉ ⴰⵔⴰ ⴷⵯⵢⴻⴼⴼⴻⵖ ⵍⵃⴰⵍ	curfew
ⵍⴻⴽⵍⵓⴼ	curiosity
ⴷ ⴰⵎⴻⵙⵍⴰⵢ	curious
ⵉⴽⴻⵕⵟⵓⵟⴻⴼ	curly
ⵜⴰⴷⵔⵉⵎⵜ	currency
ⴰⵙⵙⴰⵖ	current
ⴷⴻⴳ ⵜⴰⵍⵍⵉⵜ	currently
ⵢⴻⵏⵄⴻⵍ	curse
ⴰⵙⴰⴱⴻⵔ	curtain
ⵜⵙⵓⵎⵜⴰ	cushion
ⴰⵙⵎⴻⵍ	custom
ⴰⵎⵙⴰⵖ	customer
ⴰⵎⵙⴰⵖ	customs
ⵉⴳⴻⵣⵣⴻⵎ	cut
ⴷ ⴰⵢⴻⵏ ⵉⵛⴻⴱⵃⴻⵏ	cute
ⴰⵙⵏⴰⵙⵖⴰⵍ	cycle
ⴰⵏⴻⵀⴰⵕ ⵏ ⵓⵙⵏⴰⵙⵖⴰⵍ	cycling
ⴱⴰⴱⴰ	dad
ⴱⴰⴱⴰ	daddy
ⵢⴰⵍ ⴰⵙⵙ	daily
ⴰⵢⴻⴼⴽⵉ	dairy
ⴰⴳⴳⵓⴳ	dam
ⵢⴻⵜⵡⴰⵖ	damage
ⴰⵢ ⴰⵄⴻⴼⴼⴰⵏ	damn
ⴱⵣⴻⴳ	damp
ⵛⵛⴹⴻⵃ	dance
ⴰⵎⵉⵀⵉ	danger
ⵢⵓⵄⴻⵔ	dangerous
ⴰⴱⴻⵔⴽⴰⵏ	dark
ⴰⵢ ⴰⵃⴱⵉⴱ	darling
ⴰⵣⵣⴻⵍ	dash
ⵉⵙⴻⴼⴽⴰ	data
ⵜⵜⵉⵄⴰⴷ	date
ⵢⴻⵍⵍⵉⵯⵙ	daughter
ⴰⵙⵙ	day
ⵢⴻⵎⵎⵓⵜ	dead
ⴰⵎⴻⵏⴹⴰⵔ	deadline
ⴰⵄⴻⵥⵥⵓⴳ	deaf
ⴰⵍⵀⵓ	deal
ⴰⵎⵜⴰⵡⴰ	deal
ⴰⵢ ⴰⵃⴱⵉⴱ	dear
ⴰⵢ ⴰⵜⵎⴰⵜⴻⵏ ⵄⵣⵉⵣⴻⵏ	Dear All
ⴰⵎⵙⴻⵇⴷⴰⵛ ⴰⵃⴱⵉⴱ	Dear Customer
ⴰⵢ ⵉⵎⴰⵡⵍⴰⵏ ⴰεⵣⵉⵣⴻⵏ	Dear Parents
ⵉ ⵎⴰⵙⵙ	Dear Sir
ⵉ ⵢⵉⵏⴻⵍⵎⴰⴷⴻⵏ	Dear students
ⵉ ⵜⴻⵔⴱⴰεⵜ	Dear Team
ⵍⵎⵓⵜ	death
ⴰⵙⴽⴰⵙⵉ	debate
ⴰⵣⴻⵏⵣⵉ	debit
ⵉⵛⴻⵇⴼⴰⵏ	debris
ⴹⴹⵍⴰⴱⴰ	debt
ⴰⵙⴻⴳⴳⴰⵙ	decade
ⵢⴻţⴷⵓⵎⵓ	decay
ⵢⴻⵎⵎⵓⵜ	deceased
ⵉⵖⵓⵕⵕ	deceive
ⴷⵓⵊⴻⵎⴱⴻⵔ	december
ⵢⴻⵃⴷⴻⵇ	decent
ⴰⴷ ⴷⵯⵜⴻⴼⵔⵉⴹ	decide
ⵏⴻⵄⵣⴻⵎ	decided
ⵔⵔⴰⵢ	decision
ⵜⵉⵇⴻⵏⵟⴻⵔⵜ	deck
ⵏⵏⴳⴻⵔ	decline
ⵙⴻⵎⵥⵉ	decrease
ⵢⴻⵜⵜⵓⵏⴻⴼⴽⴻⵏ	dedicated
ⴰⴱⵓⴷⴷⵓ ⵏ ⵜⴻⵕⵡⵉⵃⵜ	dedication
ⴰⴳⵉ	deed
ⵍⵇⴰⵢⴻⵏ	deep
ⵜⴰⴳⴻⵔⴽⴰ	deer
ⴰⵎⴽⴰⵏ ⵓⵔ ⵏⴻⵜⵜⵡⴰⵙⵙⴻⵏ	default
ⴰⵏⴻⵖⵍⵓⵢ	defeat
ⵙⴻⴼⵙⵓ	defeat
ⴰⵃⵓⴷⴷⵓ	defend
ⵙⴻⴱⴻⵢⴻⵏ	define
ⵙ ⵜⵉⴷⴻⵜ	definitely
ⵜⴰⴱⴰⴷⵓⵜ	definition
ⴰⴳⴻⴻⴷⴰⵙ	degree
ⵡⴻⵅⵅⵔⴻⵏ	delay
ⵉⵄⴻⴹⴹⴻⵍ	delayed
ⵙⵙⵓⴽⴽⴻⵙ	delete
ⵙ ⵜⵎⴻⵄⵎⴰⴷⴰ	deliberate
ⵍⵎⵉⴽⵔⵉ	delicate
ⴱⴻⵏⵉⵏ	delicious
ⴰⵣⵡⴻⵜ	delight
ⵙ ⵜⵓⵎⴻⵔⵜ	delighted
ⵉⵙⴻⵍⵍⴻⴽ	deliver
ⵢⴻⵣⵓⵣⴻⵔ	delivered
ⴰⵙⴻⴼⴽ	delivery
ⵢⵙⵓⵜⴻⵔ	demand
ⴰⵙⵓⵜⴻⵔ	demanding
ⵜⵓⴳⴷⵓⵜ	democracy
ⵉⵔⵉⵏ	demon
ⵙⵙⴻⴽⵏⴻⵏ	demonstrate
ⵢⵓⴳⵉ	denied
ⵜⵓⵣⴻⵔⴻⵜ	density
ⴰⵎⴻⵊⵊⴰⵢ ⵏ ⵜⵓⵖⵎⴰⵙ	dentist
ⴰⴷ ⵜⵏⴻⴽⵔⴻⴷ	deny
ⴰⵙⴻⵇⵇⴰⵎⵓ	department
ⵔⵔⵡⴰⵃ	departure
ⵢⴻⵇⵇⴻⵏ	depend
ⴼⵙⴻⵔ	deploy
ⵙⴻⵔⵙ	deposit
ⴰⵃⵎⴻⵍ	deposit
ⵢⴻⴼⴼⴻⵖⵯⵉⵜ ⵍⴻⵄⵇⴻⵍ	depressed
ⵙⵏⴻⵖⵏⴰⵢⴻⵏ	depression
ⵜⴰⵍⵇⴰⵢⵜ	depth
ⴰⴳⵍⴰⵎ	describe
ⴰⴳⵍⴰⵎ	description
ⵜⴰⵏⴻⵣⵔⵓⴼⵜ	desert
ⵢⵓⴽⵍⴰⵍ	deserve
ⵙⴰⵍⵉ	design
ⵏⵀⴻⵔⵡⴻⵍ	design
ⴰⵙⵔⴰⵙ	designation
ⵢⴻⵙⵙⴰⵔⴰⵎ	desire
ⵜⴰⵏⴰⵔⵉⵜ	desk
ⵜⵓⵍⵣⴰ	despair
ⵜⵓⵢⴻⵙ	desperate
ⵖⴰⵙ ⴰⴽⴽⴻⵏ	despite
ⵜⴰⵙⴻⴳⴳⵔⵉⵜ	dessert
ⴰⵎⴹⵉⵇ ⴰⵏⴷⴰ ⵜⴻⴷⴷⵓⵜ	destination
ⵜⴰⵡⴻⵏⵣⴰ	destiny
ⵢⴻⵙⵙⴻⵏⴳⴻⵔ	destroy
ⵏⵏⴳⴻⵔ	destruction
ⵜⵜⴻⴼⵚⵉⵍ	detail
ⵜⵜⴼⴰⵚⵉⵍ	details
ⵢⴻⵜⴼⵉⵇ	detect
ⴰⵄⴻⵡⵡⴻⴽ	determination
ⴰⴼⴻⵏ	determine
ⵢⴻⵜⵜⵡⴰⵙⵏⴻⵏ	determined
ⵢⴻⵜⵡⴰⵖ	devastated
ⴰⵙⴱⵓⵍⴼⵓ	develop
ⵢⴻⵙⵏⴻⴼⵍⵉ	developed
ⴰⵙⵏⴻⵔⵏⵉ	development
ⴰⵍⵍⴰⵍ	device
ⵛⵉⵟⴰⵏ	devil
ⵣⴻⴳⴳⵓ	devoted
ⴷⵉⵠⴻⵀⵉ	Dhivehi
ⴰⵟⵟⴰⵏ ⵏ ⵙⵙⴽⴻⵕ	diabetes
ⵜⵓⵣⵣⴻⵍ ⵜⵄⴻⴱⴱⵓⴹⵜ	diarrhea
ⴰⵖⵎⵉⵙ	diary
ⴰⵎⴰⵡⴰⵍ	dictionary
ⵢⴻⵅⴷⴻⵎ	did
ⵢⴻⵎⵓⵜ	die
ⵢⴻⵎⵎⵓⵜ	died
ⵔⵔⵉⵊⵉⵎ	diet
ⴰⵎⴳⴰⵔⴻⴷ	difference
ⵉⵎⵅⴰⵍⴰⴼ	different
ⵢⵓⵄⴻⵔ	difficult
ⴰⴷ ⴷⵯⵜⴻⴽⴽⴻⵙ	dig
ⵍⵃⴻⵔⵎⴰ	dignity
ⴰⵎⴻⵃⵔⵓⵛ	diligent
ⵉⵎⴻⵏⵙⵉ	dinner
ⵜⵓⴱⴱⵖⴰ	dip
ⵙⵔⵉⴷ	direct
ⴷⵉⵔⴻⵛⵜⵉoⵏ	direction
ⴰⵏⴻⵎⵀⴰⵍ	director
ⴰⵎⵎⵓⵙ	dirt
ⵢⴻⵅⵏⵓⵏⴻⵙⵙ	dirty
ⴰⵄⵉⴱⴰⵏ	disable
ⴰⵄⵉⴱⴰⵏ	disabled
ⵢⴻⴼⴼⴻⵖ	disappear
ⵢⵣⵅⵚⴻⵎ	disappointed
ⴷ ⴰⵅⴻⵚⵚⴰⵔ	disaster
ⴰⴹⴻⴳⴳⴻⵔ	discard
ⵙⵙⵓⴼⴼⵖⴻⵏ	discharge
ⵟⵔⴻⴱⴳⴰ	discipline
ⵢⴻⵏⴻⵇⵇⴻⵙ	discount
ⵢⵓⴼⴰ	discover
ⴰⴼⵔⴰⵣ	discrimination
ⵎⵎⴻⵙⵍⴰⵢ	discuss
ⴰⵎⴻⵙⵍⴰⵢ	discussion
ⴰⵟⵟⴰⵏ	disease
ⴰⵟⵟⴰⵏⴻⵏ	diseases
ⵢⴻⵍⵙⴰⵯⴷ ⴰⵎⵣⵓⵏ	disguise
ⴰⵎⵛⵓⵎ	disgusting
ⴰⴹⴻⴱⵙⵉ	dish
ⵉⵇⴱⴰⵛ	dishes
ⴳⴳⵓⵎⵎⴰ	dismiss
ⴰⵙⵓⴼⴻⴳ	dispatch
ⴰⵙⴽⴰⵏ	display
ⴰⵀⴻⴳⴳⵉ	disposal
ⴰⵎⴻⵏⵏⵓⵖ	dispute
ⵎⴻⴱⵄⵉⴷ	distance
ⴰⵎⴳⴰⵔⴰⴷ	distinct
ⴰⵎⴳⵉⵔⴻⴷ	distinguish
ⵛⴻⴷⴷⴰ	distress
ⴰⴼⵔⴰⵇ	distribution
ⵜⴰⵖⵉⵡⴰⵏⵜ	district
ⵢⴻⵜⵛⴻⵡⵉⵍ	disturb
ⵜⴰⵔⴳⴰ	ditch
ⵏⴻⴳⴳⴻⵣ	dive
ⵢⴰⵍ ⵚⵚⴻⵏⴼ.	diverse
ⴰⵎⴳⴰⵔⴰⴷ	diversity
ⴱⴹⵓ	divide
ⵏ ⵕⴻⴱⴱⵉ	divine
ⵢⴻⴱⵔⴰ	divorce
ⵢⴻⵎⵍⵉⵍⵍⵉ	dizzy
ⵅⴷⴻⵎ	do
ⵏⴻⵖ ⴰⵍⴰ	do you
ⵜⵃⴻⵎⵎⴻⵍⴷⵯⵉⵢⵉ?	do you love me
ⴰⵎⴻⵊⴰⵢ	doctor
ⵜⴰⴼⵜⴰⵔⵜ	document
ⵢⴻⵙⵯⵙ	does
