a	i-
familiar	jwayelene
family	mndeni
famine	indlala
famous	dvumile
fan	umlandzeli
fancy	intfo lemangalisako
fancy	cabanga
fantastic	lenhle kakhulu
far	kudze
farewell	hamba kahle
farm	lipulazi
farmer	umlimi
fascinating	kuhle kakhulu
fashion	imfashini
fast	ngekushesha
fat	khuluphele
fat	emafutsa
fatal	bulalako
fate	simiselo
father	babe
fatigue	kukhatsala
fault	licala
fault	liphutsa
favorite	lokutsandvwako
favour	musa
favourite	tsandzwako
fear	kwesaba
feast	umcimbi
feather	timphaphe
feature	sici
features	tici
february	februwari
february	indlovana
fed up	khatsele
fee	imali
feed	ondla
feedback	umbiko
feel	kutiva
feeling	muva
feet	tinyawo
fell	wile
fellow	umnaka
felt	vile
female	umsikati
fence	fenisi
fertile	vundzile
festival	umkhosi
festival	umgubho
fetch	letsa
fetch	landza
fever	umkhuhlane
few	incusana
fewer	incusana
fiance	lotsembisene naye umshado
fiction	inganekwane
fiction	emanga
field	insimi
fierce	sabekako
fifteen	lishumi nesihlanu
fifty	emashumi nesihlanu
fight	imphi
fight	kulwa
fighting	kulwa
figure	simo
figure	sibalo
figure out	yati
file	lifayili
fill	gcwalisa
filled	gcwalisile
film	lifilimu
filthy	ngcolile
finally	ekugcineni
finance	kwetimali
financial	kwetimali
find	tfola
find out	ftola
fine	kulungile
fine	lenhle
finger	umunwe
finish	cedza
finished	cedzile
fire	umlilo
firm	qinile
first	kwekucala
first name	libito
fish	inhlanzi
fit	fanela
five	sihlanu
fix	lungisa
fixed	lungisile
flag	ifulegi
flash	sibani
flat	sicebedvu
flaw	licala
flaw	sici
flawless	ngana sici
flawless	phelele
flee	baleka
flee	nyamalala
flesh	inyama
flew	balekile
flex	goba
flexible	gobekako
flight	kubaleka
flight	kundiza
flip	kushintja
float	ntanta
flood	sikhukhula
floor	indzawo lephansi
flour	ufulawa
flow	geleta
flower	imbali
flu	mkhuhlane
fluent	kukhuluma kahle
fluently	kukhuluma kahle
fluffy	mfabamfaba
fluid	emanti
fly	ndiza
focus	condzisa
fog	inkungu
foggy	nenkungu
fold	songa
folks	bantfu
follow	landzela
follow up	kulandzelela
following	kulandzela
food	kudla
fool	siphukuphuku
foolish	buthuta
foot	lunyawo
football	libhola
for	kute
for	kutsi
For example	Ngokwesibonelo
for instance	Ngokwesibonelo
for you	kwakho
forbidden	kwencatsjelwe
force	emandla
force	phoca
forecast	bikitela
forehead	ibunti
foreign	kwenye indzawo
forest	ihlatsi
forever	phakadze
forget	khohlwa
forgive	colela
forgot	khohliwe
fork	imfologo
form	simo
formal	kugcina umtsetfo
former	kwakucala
fortunately	nganhlanhla
fortune	inhlanhla
forty	emashumi nemane
forty-two	emashumi nemane nambili
forward	embili
foster	khulisa
fought	lwile
found	tfolile
foundation	sisekelo
four	mane
fourteen	lishumi nane
fox	imphisi
fragile	phukako
frame	luhlaka
framework	luhlaka
fraud	inkhohliso
free	khululekile
free	mahala
freedom	inkululeko
freeze	bandza kakhulu
frequency	kuvama
frequent	vamile
frequently	ngekuvamile
fresh	lokusha
friday	lesihlanu
fridge	ifriji
friend	umgani
friendly	lonebungani
friends	bangani
friendship	bungani
frightened	tfukile
frightening	tfukisako
frog	icoco
from	kusukela
from	ku
front	embili
frozen	nelichwa
fruit	sitselo
frustrated	khungatsekile
fuel	emalahle
fuel	tinkuni
Fulfulde	SiFulfulde
full	gcwele
fun	jabulisako
function	umsebenti
function	sebenta
fundamental	lokusemcoka
funeral	umcwabo
funny	mahlaya
fur	boya
furious	tfukutsele
furniture	ifenisha
further	lokuchubekako
further	ngetulu kwaloko
furthermore	ngetulu kwaloko
future	likusasa
gain	zuza
game	mdlalo
gap	sikhala
garage	igalaji
garbage	kuncola
garden	insimi
garden	ingadze
garlic	igalikhi
gate	igede
gather	kubutsa
gathering	kuhlangana
gauge	kulinganisa
gauge	igeji
gave	kuniketa
gear	igiya
gear	timphahla
gender	bulili
general	jikelele
generally	jikelele
generate	enta
generation	situkulwane
generous	kuphana
genius	lohlakaniphile
genre	luhlobo
gentle	umnene
gentle	nemusa
genuine	sibili
genuine	lucotfo
gesture	kushukumisa umtimba
get	kutfola
get dressed	kugcoka
get up	kuvuka
get well soon	sheshe uphole
getting	kutfola
ghost	sipoko
giant	sidlakela
gift	sipho
ginger	i-ginger
girl	ntfombatane
give	kuniketa
give	kupha
give up	kudzinwa
give up	phela emandla
give up	kunika
given	niketiwe
glad	jabulile
glance	kubuka
glass	ingilazi
glasses	tingilazi
glimpse	kubona
global	emhlabeni wonkhe
gloomy	lusizi
gloomy	kungabonakali
gloves	emagilavu
glow	kukhanya
glow up	kukhanya
glue	kwekunamatselisa
glue	igilu
go	hamba
go ahead	hambani
go ahead	go ahead
go away	suka
go away	hamba
go to bed	hamba uyolala
goal	mugomo
goals	migomo
goat	imbuti
god	nkulunkulu
god bless you	nkulunkulu akubusise
goes	yehamba
going	yahamba
going to	kuya
gold	ligolide
gone	hambile
gonna	ngito-
good	kuhle
good afternoon	sawubona
good bye	sala kahle
good day	sawubona
good evening	sawubona
good job	msebenti lomuhle
good looking	muhle
good looking	bukekako
good luck	ube nenhlanhla
good luck	inhlanhla
good morning	sawubona
good morning my love	sawubona
good night	ulale kahle
goodbye	sala kahle
goodnight	ulale kahle
goods	tintfo
goods	timphahla
Google	I-Google
Google Translate	I-Google Translate
goose	lihansi
gorgeous	kuhle kakhulu
gossip	kuhleba
got	tfolile
got it	kuyitfola
government	hulumende
grab	bamba
grade	ibanga
gradually	kancane kancane
graduate	lophotfulile
grain	inhlamvu
grant	kuniketa
granted	niketiwe
grapes	emagilebisi
grasp	kubamba
grasp	kucondzisa
grass	tjani
grateful	lobongako
gratitude	kubonga
grave	lithuna
gray	mphunga
great	kuhle kakhulu
great	kukhulu
greed	bugovu
greedy	bugovu
green	luhlata
greet	kubingelela
greeting	kubingelela
greetings	kubingelela
grey	mphunga
grief	lusizi
grind	kusilwa
grip	kubamba
grocery	kudla lokutsengiwe
groom	umkhwenyane
groom	kutilungisa
gross	nyanyekako
ground	phasi
ground	emhlabatsini
group	licembu
grow	khula
growth	kukhula
grumpy	locumbile
Guarani	SiGuarani
guarantee	sicinisekiso
guard	kugadza
guess	cagela
guess	combela
guest	sivakashi
guidance	sicondziso
guide	kucondzisa
guilty	lonelicala
guy	lijaha
guys	emajaha
gym	indzawo yekutivocavoca
habit	umkhuba
habitat	indzawo yekuhlala
had	bekanako
hail	sangcotfo
hair	tinwele
half	ihhafu
hall	liholo
hand	sandla
handle	kuphatsa
handsome	muhle
hang	kulenga
hang out	kuhlala
happen	kwenteka
happened	kwentekile
happiness	injabulo
happy	jabula
happy birthday	losuku loluhle lwekutalwa
happy birthday to you	losuku loluhle lwekutalwa kuwe
happy new year	umnyaka lomusha lomuhle
hard	cinile
hard	matima
hardly	akuvami
hardly ever	akuvami
harm	kulimata
harmful	lelematako
harmful	leyingoti
harmony	kubambisana
harsh	hlabako
harvest	kuvuna
has	unato
hate	tondza
have	kuba
have a good day	yiba nelilanga lelihle
have a nice day	yiba nelilanga lelihle
have breakfast	idla kudla kwasekuseni
have fun	utijabulise
have you eaten	udlile
having	kuba
hazard	ingoti
haze	lufasimbe
he has	une-
he is	uyi-
head	inhloko
headache	kuphatfwa inhloko
heal	phola
healing	kuphola
health	imphilo
healthy	kuba nemphilo
hear	kuva
heard	vile
heart	inhlitiyo
heat	kushisa
heaven	lizulu
heavy	sindzako
hectic	budlamudlamu
hectic	matasa
height	budze
heir	indlalifa
heist	ubudze
held	bambe
hell	sihogo
Hello	Sawubona
hello dear	sawubona mnaka
hello how are you	sawubona unjani
hello how are you doing	sawubona unjani
helmet	impatitje
help	sita
help	lusito
helpful	lokusitako
hence	ngemuva kwaloku
herd	umhlambi
here	lapha
heritage	lifa
hesitate	ncikata
Hey	Sawubona
Hi	Sawubona
hi how are you	sawubona unjani
Hi there	sawubona lapho
hidden	fihliwe
hide	fihla
hierarchy	kulandzelana
high	lenkhulu
high	phakeme
highlight	lokuvelele
highlight	gcamisa
hike	hamba
hiking	kuhamba
hilarious	hlekisako
hill	ligcuma
hill	siduli
hint	kusikisela
hip	lukhalo
hips	emakhalo
hire	casha
hiring	kucasha
history	umlandvo
hit	shaya
Hmm	Hmm
hobby	umsebenti wekutijabulisa
hold	bamba
hold on	bambelela
hole	imbobo
hole	umgodzi
holiday	liholidi
hollow	ligobongo
home	likhaya
homework	umsebenti wasekhaya
honest	tsembekako
honestly	ngokwetsembeka
Honey	Luju
honor	inhlonipho
honor	ludvumo
honor	bonga
hood	sigcoko
hook	lihuku
hop	kheleta
hope	litsemba
hopefully	tsembako
hopefully	tsembisako
hopeless	kuphelelwa litsemba
hopeless	ngasenalitsemba
horizontal	condzile
horn	luphondvo
horrible	lokubi
horror	lokusabisako
horse	lihhashi
hospital	sibhedlela
hospitality	kwamumela tivakashi
host	bungata
hostile	nobutsa
hostile	nemphi
hot	kushisa
hotel	lihhotela
hour	li-awa
hours	ema-awa
house	indlu
household	bonkhe ekhaya
how	njani
how about you	wena unjani
how are you	unjani
how are you doing	unjani
how are you doing today	unjani lamuhla
how are you today	unjani lamuhla
how do you do	unjani
how is	injani
how many	lokungaki
how much	lokungakanani
how often	kaningi kanjani
how old are you	kangakhi
how was your day	belinjani lilanga lakho
how was your night	bebunjani busuku bakho
however	nobe kunjalo
however	kepha
hub	lihabhu
hubby	umyeni
hubby	indvodza
hug	anga
hug	gona
huge	lenkhulu
human	muntfu
humble	tfobekile
humid	nemanti
humidity	kuba nemanti
hundred	likhulu
hungry	lambile
hunt	tingela
hurricane	siphepho
hurry	shesha
hurry up	shesha
hurt	limele
hurt	limata
husband	indvodza
husband	umyeni
hustle	walata
hut	indlu
hygiene	kuhlanteka
I	Ngi-
I	Mine
I am	Ngi-
I am	Ngingu-
I am	Ngiyi-
I am fine	Ngikahle
I can	ngingakhona
I can	nginga-
I can't	angikwati
I do	ngiya-
I do not know	angati
I do not understand	angicondzi
I don't	angi-
I don't know	angati
I don't understand	angicondzi
I don't understand what you mean	angicondzi kutsi usho kutsini
I don't understand you	angikucondzi
I don’t know	angati
I don’t understand	angicondzi
i guess	ngicabanga kutsi
I had	bengine-
I have	ngine-
I have been	bengi-
I hope so	ngiyatsemba
I hope so	ngitsemba njalo
I know	ngiyati
I like	ngitsandza
I like you	ngiyakutsandza
I love	ngiyakutsandza
I love my big brother	ngitsandza buti lomdzala
I love my big sister	ngitsandza sisi lomdzala
I love my father	ngitsandza babe
I love my little brother	ngitsandza mnaketfu
I love my little sister	ngitsandza dadewetfu
I love my mother	ngitsandza make
I love you	ngiyakutsandza
I love you so much	ngiyatsandza kakhulu
I love you too	nami ngiyakutsandza
I mean	ngisho
I miss you	ngiyakukhumbula
I miss you so much	ngiyakukhumbula kakhulu
I see	ngiyabona
I think	ngicabanga
I understand	ngiyacondza
I want	ngifuna
I want to see you	ngifuna kukubona
I want you	ngiyakufuna
I was	bengi-
I will	ngito-
I would be	ngitobe-
I'm	Ngi-
I'm	Ngingu-
I'm	Ngiyi-
I'm fine	ngiyaphila
I'm good	ngikahle
I'm here	ngilapha
I'm sorry	ngiyacolisa
ice	lichwa
ice cream	ayisikhilimu
idea	licebo
idea	umcabango
ideal	kuhle
ideal	umcondvo
identical	lokufanako
identify	khomba
identity	ukuba nguye
idiot	silima
idle	kungenti lutfo
idle	vilaphako
if	nangabe
ignore	nganaki
ill	gula
illegal	phambene nomtsetfo
illness	kugula
Ilocano	SiIlocano
image	sitfombe
imagine	cabanga
immediate	nyalo
immediate	lokusheshako
immediately	ngekushesha
immediately	masinyane
immense	lokukhulu kakhulu
impact	umtselela
impatient	kungabeketeli
impatient	inhlitiyo lencane
implement	gcwalisa
implement	sebentisa
import	ngenisa
important	kubalulekile
impose	ncumela
impose	beka
impossible	lokungenakwenteka
impress	mangalisa
impression	kucindzetela
impression	umbono
impressive	mangalisako
improve	tfutfukisa
improvement	intfutfuko
in	ngekhatsi
in	e-
in addition	futsi
In fact	ecinisweni
In fact	kahle kahle
in front of	embi kwe-
in order to	kute
inappropriate	lokungafanele
incentive	umhahiso
incident	sehlakalo
include	faka
include	ngenisa
including	lokufaka
income	liholo
inconvenience	kuphatamisa
increase	khulisa
increase	khula
increased	khulile
increased	khulisile
incredible	lokumangalisako
indeed	impela
independent	timele
India	Ndiya
indicate	khombisa
indicate	bonakalisa
indigenous	kwemvelo
individual	muntfu ngamunye
industry	imboni
inevitable	lokungena kuvinjelwa
infant	ingane
infant	lusana
infection	isifo
infection	kutseleleka
infinity	ngapheliko
inflammation	sishiso
inflation	sivutselo
influence	kuhunga
influence	litfonya
inform	yatisa
information	kwatiswa
ingredients	tinongo
inheritance	lifa
initial	kwekucala
initiative	kucala
injured	limele
injury	kulimala
innocent	kungabi nelicala
innocent	msulwa
innovation	kucamba
inquiry	kubuta
insane	hlanyako
insect	sinambutane
insecure	kungalondzeki
insecure	kungatetsembi
insert	faka
inside	ekhatsi
insight	kucondza
insist	phikelela
insomnia	kungakhoni kulala
inspiration	kugcugcutela
inspire	gcugcutela
install	misa
install	faka
instance	lokwentekako
instance	kufuna
instant	phutfumako
instead	esikhundleni saloko
instead of	esikhundleni saloko
instructions	miyalo
instrument	lithuluzi
insult	tfuka
insurance	umshwalensi
intact	phelele
integrity	kutsembeka
intellectual	hlakaniphile
intelligence	kuhlakanipha
intelligent	lohlakaniphile
intend	condza
intended	condzile
intense	nemandla
intention	umcondvo
interact	entelana
interaction	kwentelana
interest	sitsakatelo
interested	tsakatela
interesting	tsakatelisa
interfere	phatamisa
intermediate	emkhatsini
internal	ekhatsi
international	kwemanye emave
interpret	humusha
interpreter	lohumushako
interrupt	phatamisa
interview	incociswano
intimate	sedvute
into	ekhatsi
into	ku-
introduce	yatisa
introduction	setfulo
introvert	lonemahloni
intuition	kubona ngenhlitiyo
invalid	siguli
invent	camba
inventory	luhlu
invest	faka
investigate	phenya
investigate	hlola
invitation	simemo
invite	mema
invoice	invoyisi
involve	hilela
involved	hilelekile
iron	isimbi
island	sichingi
isolated	hlukanisiwe
issue	indzaba
issue	inkinga
issues	tindzaba
issues	tinkinga
it	i-
it is	iyi-
it was	beku-
it's	iyi-
it's ok	kulungile
It's okay	kulungile
item	intfo
items	tintfo
its	iyi-
I’m	ngi-
jacket	llijazi
jail	litilongo
jail	lijele
January	Januwari
jar	imbizana
jaw	umhlatsi
jealous	umona
jerk	nyakata
jewelry	bucwebe
job	msebenti
jogging	gijima
join	joyina
joint	indzawo yekuhlangana
joke	lihlaya
journalist	intsatheli
journey	luhambo
joy	injabulo
judge	mehluleli
juice	lijusi
july	julayi
jump	yeca
june	juni
junk	lokungana msebenti
just	nje
just do it	kwente nje
justice	lijaji
justice	kulunga
justify	vumela
Kalaallisut	SiKalaallisut
keen	hlakaniphile
keep	chubeka
keep it up	chubeka
kept	gciniwe
kettle	ligedlela
key	likhiye
key	sihlutfulelo
kick	khahlela
kick	khaba
kid	ingane
kid	lizinyane
kidding	dlala
kidney	insu
kids	tingane
kill	bulala
kind	nemusa
kind	luhlobo
kinda	shengatsi
kindly	ngebumnene
kindly	ngemusa
kindness	bumnene
kindness	musa
king	inkhosi
kiss	cabula
kitchen	likhishi
kite	ikhayithi
kitten	lizinyane lekati
knee	lidvolo
knew	yati
knife	mukhwa
know	kwati
knowledge	lwati
known	kwatiwe
Konkani	SiKonkani
Krio	SiKrio
label	libito
labor	umsebenti
labour	umsebenti
lack	kungabi nako
ladder	sitebhisi
lady	inkhosatane
laid	lele
lake	lichibi
lamb	lizinyane lemvu
lame	khubatekile
lamp	sibani
lamp	lilambu
land	live
landscape	kubukeka kwelive
language	lulimi
lap	litsanga
large	khulu
last	yekugcina
last but not least	kokugcina kepha lokubalulekile
last name	sibongo
late	kwephuta
lately	muva nje
later	ngekuhamba kwesikhatsi
later	kamuva
latest	okwamuva
latter	gcinwe ngako
laugh	hleka
laughing	hlekako
laughter	kuhleka
launch	misa
laundry	kuwasha timpahla
law	umtsetfo
lawn	butjani
lawyer	ummeli
lay	lalisa
lay	beka
layer	ludvwadvwasi
layout	sakhiwo
layout	simiso
lazy	kuvilapha
lead	kuhola
lead	kuholela
leader	umholi
leaf	likhasi
leak	kuvuza
lean	ondzile
lean	ketuka
leap	eca
learn	fundza
learning	kufundza
lease	cashisa
lease	casha
least	incosana
least	ncane kakhulu
leather	sikhumba
leave	kushiya
leaves	emakhasi
led	holile
left	shiye
leg	umlente
legacy	lifa
legal	vumenyelwe ngumtsetfo
legend	inganekwane
legit	lokusetsetfweni
leisure	likhefu
lend	boleka
lend	niketa
length	budze
less	ncane
less	nciphile
lesson	sifundvo
let	vumela
letter	incwadzi
letter	luhlamvu
lettuce	iletisi
level	lingeneko
level	linganisa
leverage	emandla
liability	licala lemali
liability	umtfwalo
library	umtapo wetincwadzi
lick	khotsa
lie	camba emanga
lies	emangaa
life	imphilo
lift	phakamisa
light	sibane
light	kukhanya
lightning	umbani
like	njenge
like	kufana
likely	kungenteka
likewise	ngekufanako
likewise	futsi
line	umugca
Lingala	SiLingala
link	hlanganisa
lion	ingomyama
lion	libhubesi
liquid	emanti
list	luhlu
listen	lalela
listening	kulalela
literally	cobo
literature	umtapo wetincwadzi
literature	lokufundzwako
litter	talela
litter	endlalela
little	lokuncane
live	kuphila
liver	sibindzi
lives	timphilo
living	kuphila
living room	likamelo lokuphumula
lizard	sibankwa
lizard	imbulu
load	umtfwalo
loaf	lilofu
loaf	sinkhwa
loan	sikweletu
loan	licala lemali
local	endzaweni
location	indzawo
lock	vala
lock	khiya
lockdown	valela
log	lugodo
lonely	situnge
long	endze
long time no see	sikhatsi lesidze singabonani
look	buka
loop	hibela
loose	khulula
lord	inkhosi
lose	lahlekelwa
loss	kulahlekelwa
lost	lahlekile
lot	isabelo
lot	lokunyenti
loud	umsindvo
lounge	indzawo yekuhlala
love	tsandza
love you	ngiyakutsandza
lovely	lokuhle
low	phansi
lower	ehlisa
loyal	tsembekako
loyalty	kutsembeka
luck	inhlanhla
lucky	nenhlanhla
Luganda	SiLuganda
luggage	umtfwalo
lump	sigaca
lunch	kudla kwasemini
lungs	emaphaphu
luxury	bukhatikhati
lying	kucamba emanga
machine	umshini
mad	kutfukutsela
mad	kuhlanya
madam	inkhosatane
made	kwentiwe
magazine	umagazini
magnificent	babatekako
maid	sisebenti lesisikati
main	lokuyinhloko
maintain	ondla
maintain	gcina
maintenance	kondla
maintenance	kugcina
Maithili	SiMaithili
major	khulu
majority	liningi
make	yenta
make up	enta
make up	kokutilungisa
male	lomdvuna
mall	indzawo yetitolo lenkhulu
man	indvodza
manage	phatsa
management	buphatsi
manager	umphatsi
mandatory	phocako
manifest	bonakalisa
manipulate	khohlisa
manner	indlela
manual	incwadzi yekuchasisa
manual	ngokutentela
many	lokunyenti
many many happy returns of the day	tifiso temalanga lafana nelalamuhla lamanyenti
march	mashi
margin	lusebe
market	imakethe
marriage	umshadvo
married	shadzile
mask	fihla
mass	lokunyenti
massive	lokukhulu
master	indvuna
master	umphatsi
match	kucatanisa
match	kuhambisana
mate	matanisa
material	imphahla
math	tibalo
matter	indzaba
maturity	kuvutfwa
may	kungase
may	kungenteka
may	meyi
maybe	mhlawumbe
me	mine
me too	nami futsi
meal	kudla kwasemini
mean	kusho
meaning	inchazelo
means	incebo
meant	kusho
meanwhile	ngalesikhatsi
measure	silinganiso
measure	linganisa
measures	tindlela
meat	inyama
medical	kokwelapha
medicine	umutsi
meditation	imitsi
medium	lesemkhatsini
meet	kuhlangana
meeting	kuhlangana
meeting	umhlangano
Meiteilon	SiMeiteilon
melt	ncibilika
memories	tinkhumbulo
memory	inkhumbulo
mental	kwencondvo
mention	kusho
mentioned	shilo
mentor	meluleki
merchant	mtsengisi
merchant	umhwebi
mercy	bubele
merely	kuphela
merely	nje
merry christmas	ukhisimusi lomuhle
mess	imfucumfucu
message	umyaleto
messy	nemfucumfucu
metal	insimbi
method	indlela yokwenta tintfo
mice	emagundvwane
middle	emkhatsini
midnight	ekhatsi nebusuku
might	kungenteka
mild	kutsamba
mild	pholile
milestone	lokubalulekile
military	emasotja
milk	lubisi
million	sigidzi
mind	ingcondvo
mindset	simo sengcondvo
mine	yami
mingle	hlangana
minor	lomcane
minute	umzuzu
minutes	imizuzu
miracle	simangaliso
mirror	sibuko
miscellaneous	nhlobonhlobo
miscellaneous	lokunye
mischievous	bushinga
miserable	hluphekako
misery	kuhlupheka
miss	kuphutselwa
miss	kukhumbula
miss you	ngiyakukhumbula
missing	kukhumbula
mission	umsebenti, kutfunywa
mist	inkungu
mistake	luphutsa
Mizo	SiMizo
mobile	hambako
mock	hlekisa nga-
model	sibonelo
model	sifanekiso
moderate	faneleko
modern	lamuhla
modern	kwanyalo
modest	titfobako
moist	tsambile
moisture	umswakamo
moisture	kutsamba
mold	bulembu
mold	sikhutsa
mole	umkhangu
mom	make
moment	sikhashana
monday	umsombuluko
money	imali
monitor	umcaphelisi
monkey	inkawu
month	inyanga
mood	muva
moody	kudana
moon	inyanga
moral	lungile
more	lokunyenti
moreover	futsi
morning	ekuseni
morning	sawubona
mortgage	kubanjiswa kwemphahla
most	ningi kakhulu
mostly	kakhulu
mother	make
motion	kuhamba
motion	munyakata
motivation	sisusa
mountain	intsaba
mouse	ligundvwane
mouth	umlomo
move	susa
move	nyakata
movement	kuhamba
movement	kunyakata
movie	libhayisikobho
movie	imuvi
mrs	nkk
much	kakhulu
mud	ludzaka
muscle	umsipha
museum	umnyuziyamu
mushroom	likhowe
music	umculo
must	kufanele
mute	simungulu
mute	tfulile
mutual	kuphambaniselana
my	yami
My dear	Lotsandzekako
my friend	mngani wami
my love	lutsandvo lwami
my name is	libito lami ngu-
my pleasure	ngikujabulele
myself	mine
mysterious	sitsekile
mysterious	fihlakele
mystery	imfihlakalo
myth	inganekwane
myth	insumansumane
nail	sipikili
nail	luzipho
naive	kungati
name	libito
narrative	silandvo
narrow	mcingo
narrow	minyene
nasty	casulako
national	okwelive
nationality	buve
native	kokutalwa
natural	kwemvelo
nature	imvelo
nausea	sicanucanu
near	dvute
near	sondzele
nearby	edvute
nearly	cishe
neat	cocekile
necessary	lokudzingekako
neck	intsamo
necklace	umgaco
necklace	buhlalu
need	sidzingo
negative	ngekho
negative	phikako
neglect	nganaki
neglect	yeka
negotiate	vumelana
neighbor	makhelwane
neighborhood	indzawo lekwakhe bantfu kuyo
neither	nobe
nephew	umshana
nervous	tfukile
nest	sidleke
net	linetha
network	nethiwekhi
neutral	ngahlangene nabani
never	kute
never give up	ungalahli litsemba
never give up	ungapheli emandla
never mind	unganaki
nevermind	unganaki
nevertheless	kodvwa
nevertheless	nokho
new	lokusha
news	tindzaba
next	lokulandzelako
next to	edvute kwe-
nice	kumnandzi
nice	kuhle
nice to meet you	ngiyajabula kukwati
niece	umshana
night	busuku
nightmare	liphupho lelibi
nine	imfica
nineteen	lishumi nemfica
ninety	mashumi layimfica
No	Cha
no problem	kute inkhinga
no way	akwenteki
nobody	kute muntfu
noise	umsindvo
noisy	kunomsindvo
none	kute
noon	emini
nope	cha
nor	nobe
normal	lokuvamile
north	nyakatfo
nose	likhala
nostalgic	khumbuta ekhaya
not	hhayi
not at all	nakancane
not bad	akusi kubi
Not now	hhayi nyalo
not yet	hhayi nyalo
note	phawula
note	luphawula
note	caphela
noted	phawulile
nothing	lutfo
notice	naka
notice	phawula
notice	simemetelo
noticed	nakile
noticed	phawulile
noun	libito
nouns	emabito
novel	incwadzi
novel	linoveli
november	lweti
november	novemba
now	nyalo
nowadays	lamuhla
nowadays	kulamalanga
nuisance	inhlupho
null	ite
numb	kungaseva
number	nombolo
number	sibalo
nurse	umhlengikati
nurse	nakekela
nut	intongomane
nutrition	kodliwa
oath	sifungo
obesity	kukhuluphala
obey	lalela
object	umgomo
object	intfo
objective	imphokophelo
obligation	sibopho
obscure	sitsekile
obscure	fiphele
observation	kubona
observe	londza
observe	caphela
observe	gcina
obsessed	kukhatsateka
obsession	kukhatsateka
obsolete	ngasaphatswa
obstacle	sivimbelo
obtain	finyelela
obtained	tfolile
obvious	sobala
obvious	bonakele
obviously	obala
obviously	bonakele
occasionally	ngaletinye tikhatsi
occupation	kuhlala
occupied	nomsebenti
occupied	matasatasa
occur	vela
occurred	velille
occurs	vela
ocean	lwandle lolukhulu
october	okthoba
odd	lokungatayeleki
odd	lokumangalisako
odds	ematfuba
of	kwe
of	ye
of course	kuliciniso
off	cimile
offensive	sukelako
offer	kuniketa
office	lihovisi
official	lokusemtsetfweni
often	ngalokuvamile
Oh	Awu
oh really	impela
oil	emafutsa
ok	kulungile
ok dear	kulungile lotsandzekako
ok honey	kulungile sthandzwa
ok my love	kulungile sthandzwa sami
okay	kulungile
okay baby	kulungile mtfwana
okay dear	kulungile sitsandzwa
okay honey	kulungile sitsandzwa
okay my love	kullungile sitsandzwa sami
old	gugile
on	ku
once	kanye
one	lenye
one	yinye
one	lomunye
one language is never enough	lulimi lolulodvwa alwanele
onion	anyanyisi
online	ku inthanethi
only	kuphela
open	vula
operation	kuhlintwa
operation	umsebenti
opinion	umbono
opportunities	ematfuba
opportunity	litfuba
opposite	lokwehlukile
optimistic	kutsemba lokuhle
option	kukhetsa
optional	kukhetsa ngekutsandza
or	nobe
orange	olintji
order	luhlelo
ordinary	lokuvamile
organization	inhlangano
orientation	ukuma
origin	umsuka
original	ngokocobo
Oromo	Si-Oromo
orphan	intandane
other	letinye
other	labanye
otherwise	ngokunye
ought	fanele
our	yetfu
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Umsebenti wetfu:kuvumela onkhe umuntfu, endzaweni yonkhe kuvisisa mhlaba nekukhuluma labakufisako ngetilimi tonkhe.
Our mission: to organize the world's information and make it universally accessible and useful.	Umsebenti wetfu:kuhlela ukwatiswa kwemhlaba nekukwenta kutsi kutfolakale yonkhe indzawo futsi kusebentiseke.
out	ngaphandle
outcome	mphumela
outfit	timphahla
outgoing	hambako
outlet	sikhala sekuphumisa
outline	fanekisa
outside	ngaphandle
outstanding	velele
oven	ihhavini
over	kuphela
over	ngetulu
over there	laphaya
overall	konkhe
overcome	kuncoba
overthinking	kucabanga kakhulu
overwhelmed	phele emandla
overwhelming	cedza emandla
owe	kweleta
owl	sikhova
own	ngekwakho
owner	umnikati
ox	inkabi
pace	kunyatsela
pack	hlanganisa
package	sijumba
paid	khokhele
pain	buhlungu
paint	penda
painting	umfanekiso
pair	lokubili
pair	matanisa
pale	mhlophe
palm	sandla
pan	ipani
pandemic	sifo lesibulalako
panic	luvalo
pants	libulukwe
paper	liphepha
paradise	ipharadeyisi
parallel	linganisele
parcel	sijumba
parcel	liphasela
pardon	colela
parents	batali
park	lipaki
parrot	upholi
parsley	lipasili
part	incenye
participate	hlanganyela
particular	letsite
particular	ngalokukhetsekile
particularly	lokutsite
particularly	ngalokukhetsekile
partner	umhlanganyeli
party	umcimbi
pass	dlula
passage	liphasiji
passed	dlulile
passion	khanukela
passionate	maganga
passive	thulile
password	iphasiwedi
past	dlulile
patch	bekela
path	indlela
pathetic	letsela umunyu
patience	sineke
patience	kubeketela
patient	lobeketelako
patient	sigulane
pattern	sifanekiso
pause	yeka kancane
pavement	umgandayo
pay	kukhokha
payment	inkhokhela
peace	kutfula
peaceful	tfulile
peach	lipentjisi
peak	isicongo
pear	lipheya
peas	emaphizi
peculiar	lokukhetsiwe
peel	hluba
peer	calaza
peer	lunguza
peers	tintanga
pen	lipheni
pencil	liphenseli
pending	lokulindzelwe
people	bantfu
pepper	uphepha
perceive	bona
perception	umbono
perfect	phelele
perform	yenta
performance	kusebenta
perhaps	kungenteka
perhaps	mhlawumbe
period	inkhatsi
permanent	hlala njalo
permission	invume
permit	vumela
perseverance	kukhutsatela
persistent	kuphikelela
person	muntfu
