abandoned	छोड़ि देल गेल
flawless	निर्दोष
flaw	दोष
flee	भागनाइ
flesh	मॉस
flew	उड़ल
flexible	नरम
flex	लचीला
flight	उड़नाइ
flip	पलटी मरनाइ
flirting	झटका सँ फेकए बला
flirt	इश्कबाजी
float	तैरनाइ
flood	बाढ़ि
floor	सतह
flour	आटा
flower	फूल
flow	बहाव
fluently	धडल्ला सँ
fluent	सहज
fluffy	भुलक्कड़
fluid	तरल
flu	बोखार
fly	माछी
focus	केन्द्रित
foggy	कोहरा जैसन
fog	कोहरा
fold	लपेटनाइ
folks	मित्र
following	निम्नलिखित
follow up	आगू क काज करनाइ
follow	अनुसरण
food	खाद्य
foolish	मूर्ख
fool	बेवकूफ
football	फुटबाल
foot	पएर
forbidden	निषिद्ध
force	बल
forecast	पुर्वानुमान
forehead	माथा
foreign	विदेश
forest	जंगल
forever	सदाक लेल
For example	उदाहरण लेल
forget	बिसरि जाउ
forgive	माफ कए देनाइ
forgot	बिसैर गेल
for instance	उदाहरनक लेल
fork	कांटा
formal	औपचारिक
former	पहिलुका
form	प्रपत्र
fortunately	भाग्यवश
fortune	भाग्य
forty-two	बयालिस
forty	चालीस
forward	अग्रभाग
for you	अहाँ क लेल
for	क लेल
foster	पालब
fought	लड़ल
foundation	नींव
found	भेटल
fourteen	चौदाह
four	चारि
fox	लोमड़ी
fragile	नाजुक
framework	ढांचा
frame	ढांचा
fraud	ठक
freak	सनकी
freedom	स्वतंत्रता
freeze	जमनाइ
free	मुक्त
frequency	तीव्रता
frequently	अक्सर
frequent	बारबार
fresh	ताजा
friday	शुक्रदिन
fridge	फ्रिज
friendly	मित्रवत
friendship	मित्रता
friends	दोस्त सभ
friend	मित्र
frightened	भयभीत
frightening	भयावह
frog	मेढक
from	कोनाठाक
front	सामने
frozen	जमल
fruit	फल
frustrated	निराश
fuel	ईन्धन
Fulfulde	फुलफुल्दे
full	भरल
function	आयोजन
fundamental	मौलिक
funeral	क्रिया कर्म
funny	मजेदार
fun	मजा
furious	क्रुद्ध
furniture	फर्नीचर
furthermore	एहि सँ आगू
further	आगू
fur	रोइयां
future	भविष्य
gain	प्राप्ति
game	खेल
gap	फांका
garage	गैरेज
garbage	कचरा
garden	बगैचा
garlic	लहसुन
gate	केबाड़ी
gathering	भीड़
gather	जुटेनाइ
gauge	मानदण्ड
gave	देलक
gear	गियर
gender	लिंग
generally	सामान्यतः
general	सामान्य
generate	उत्पन्न
generation	पीढ़ी
generous	उदार
genius	बुद्धिमान
genre	शैली
gentle	सौम्य
genuine	वास्तविक
gesture	हाव-भाव
get dressed	कापिड़ पहिनु
getting	उपार्जन
get up	उठू
get well soon	जल्दी सँ स्वस्थ भ' जाउ
get	भेटत
ghosting	छलावा
ghost	भूत
giant	विशाल
gift	उपहार
ginger	आदी
girlfriend	प्रेमिका
girl	कन्या
given	दियल गेल
give up	छोड़ि दियौ
give	दिय
glad	खुशी
glance	झलक
glasses	सीसासभ
glass	सीसा
glimpse	झलक
global	वैश्विक
gloomy	उदास
gloves	दस्ताना
glow up	चमकु
glow	चमक
glue	गोंद
go ahead	आगे बढ़ू
goals	लक्ष्य
goal	लक्ष्य
goat	बकरी
go away	भाग जो
god bless you	भगवान् अहाँक भला करू
god	ईश्वर
goes	जाइत अछि
going to	जा रहल छी
going	जा रहल छी
gold	सोना
gone	चलि गेल
gonna	होइ वला
good afternoon	नमस्कार
good bye	अलविदा
goodbye	अलविदा
good day	बढिया दिन
good evening	शुभ संध्या
good job	नीक काज
good looking	नीक लगैत अछि
good luck	अहांक सफलता भेटय
good morning my love	सुप्रभात हमर प्रिये
good morning	सुप्रभात
good night	शुभरात्रि
goodnight	शुभ रात्रि
goods	माल
good	नीक
Google Translate	गूगल अनुवाद
Google	गूगल
goose	हास
goo	जाउ
gorgeous	अप्रतिम
gossip	गप्प
got it	बुझलियै
go to bed	बिछौना पर जाउ
got	भेट गेल
government	सरकार
go	जाउ
grab	पकड़नाइ
grade	दरजा
gradually	धीरे-धीरे
graduate	स्नातक
grain	अनाज
granted	स्वीकृत केल
grant	अनुदान
grapes	अंगूर
grasp	पकड़
grass	घास
grateful	अहसानमंद
gratitude	आभार
grave	समाधि
gray	धूसर
great	बहुत पैघ
greedy	लालची
greed	लालच
green	हरियर
greetings	प्रणाम
greeting	शुभकामना
greet	नमस्कार
grey	धूसर
grid	छड़ लगल ढांचा
grief	कष्ट
grind	पिसनाइ
grip	पकड़
grocery	गोलदारी दोकान
groom	दूल्हा
gross	कुल
ground	जमीन
group	समूह
growth	वृद्धि
grow	बढ़नाइ
grumpy	चिडाचिडाएल
Guarani	गुआरानी
guarantee	जिम्मेबारी लेनाइ
guarantee	देनाइ
guard	पहिरेदार
guess	अंदाज लगाउ
guest	पाहुन
guidance	दिशा निर्देश
guide	मार्गदर्शक
guilty	दोषी
guys	लोकनि
guy	व्यक्ति
gym	कसरतशाला
habitat	आवास-स्थान
habit	आदति
had	लग छल
hail	ओलावृष्टि
hair	केस
half	आधा
hall	हॉल
handle	संभालनाइ
handsome	सुन्दर
hand	हाथ
hang out	घुमनाइ
hang	लटकेनाइ
happened	भेल
happen	कोनो घटना भेनाइ
happiness	खुशी
happy birthday to you	जन्मदिनक बधाई
happy birthday	जन्मदिनक शुभकामना
happy new year	नया साल शुभ होय
happy	खुश
hardly ever	शायदे कबो
hardly	मुश्किल सं
hard	कड़ा
harmful	नुकसानदेह
harmony	सद्भाव
harm	नुकसान
harsh	कठिन
harvest	फसल
has	पास अछि
hate	घिन करनाइ
have a good day	अहाँ के दिन शुभ हो
have a nice day	अहांक दिन शुभ हो
have breakfast	नास्ता करू
have fun	मजा करू
have you eaten	की अहाँ खा लेल छी
have	लग अछि
having	भेनाइ
hazard	जोखिम
haze	धुंध
headache	माथ दर्द
head	माथ
healing	स्वस्थ भेनाइ
healthy	स्वस्थ
health	स्वास्थ्य
heal	स्वस्थ भेनाइ
heard	सुनल
heart	हृदय
hear	सुनू
heat	गर्मी
heaven	स्वर्ग
heavy	भारी
hectic	क्षय ज्वर सँ सम्बंधित
he has	ओकर लग अछि
height	ऊंचाई
heir	उत्तराधिकारी
heist	लूट
he is	ओ अछि
held	पकड़नाइ
hello dear	नमस्कार बंधु
hello how are you doing	हैलो अहां केना छथि
hello how are you	नमस्कार अहां कोना छी
Hello	नमस्कार
hell	नर्क
helmet	हेलमेट
helpful	सहायक
help	सहायता
hence	एहि तरहें
herd	झुंड
here	एतय
heritage	विरासत
her	ओकर
hesitate	हिचकिचाहट
Hey	नमस्कार
he	ओकरा
hidden	नुकाएल
hide	नुकाउ
hierarchy	पदानुक्रम
highlight	मुख्य आकर्षण
high	ऊंच
hi how are you	नमस्ते अहाँ केना छथि
hike	वृद्धि
hiking	दूर तक पैदल यात्रा
hilarious	मजेदार
hill	पहाड़ी
him	ओ
hint	संकेत
hips	कुल्हा
hip	पोन
hire	काज पर राखू
hiring	भर्ती
history	इतिहास
his	ओकर
Hi there	नमस्ते
hit	मारू
Hi	नमस्कार
Hmm	ह्म्म्म
hobby	रुची
hold on	रुकु
hold	धरू
hole	बिल
holiday	छुट्टी
hollow	खाली
homework	गृह-कार्य
home	घर
honestly	ईमानदारी सं
honest	इमानदार
Honey	मौध
honor	इज्जत
hood	टोप
hook	हंसिया
hopefully	उम्मीदपूर्वक
hopeless	आशाहिन्
hope	आशा
hop	फुदकनाइ
horizontal	क्षैतिज
horn	सींग
horrible	भयानक
horror	डरावना
horse	घोड़ा
hospitality	सत्कार
hospital	अस्पताल
hostile	बैरी
host	मेजबान
hotel	होटल
hot	गर्म
hours	घंटा
hour	घंटा
household	घरक
house	घर
how about you	अहाँ क बारे मे बताउ
how are you doing today	आइ अहांक की हाल-चाल
how are you doing	अहांक की हाल-चाल
how are you today	आई अहां कोना छथि
how are you	अहांक कोना छी
how do you do	अहाँ कोना छथि
however	यद्यपि
how is	केना अछि
how many	केतना
how much	कतेक
how often	केना बार
how old are you	अहां कतेक सालक छी
how was your day	अहांक दिन केहन छल
how was your night	अहांक राति केहन छल
how	कोना
hubby	भतार
hub	केंद्र
huge	बड्ड पैघ
hug	आलिंगन
human	मनुख
humble	विनम्र
humidity	उमस
humid	उमस
hundred	सैय
hungry	भूखायल
hunt	शिकार
hurricane	तूफान
hurry up	जल्दी करू
hurry	जल्दी
hurt	चोट
husband	पति
hustle	जल्दी
hut	झोपड़ी
hygiene	साफ सफाई
I am fine	हम नीक छी
I am	हम छी
I can't	हम नहि कए सकैत छी
I can	हम कए सकैत छी
ice cream	आइसक्रीम
ice	बरफ
ideal	आदर्श
idea	विचार
identical	एक्के जैसन
identify	पहचान
identity	पहचान
idiot	मूर्ख
idle	सुस्त
I do not know	हमरा नहि पता
I do not understand	हम नहि बुझैत छी
I don’t know	हम नाय जानय छी
I don't know	हमरा नहि पता
I don't understand what you mean	हम नहि बुझल छलहूँ अहाँक की मतलब अछि
I don't understand you	हम अहाँ केँ नहि बुझ रहल छि
I don’t understand	हम नाहि बुझए छि
I don't understand	हमरा नहि बुझाइत अछि
I don't	हम नहि करैत छी
I do	हम करए छी
if	यदि
ignore	नजरअंदाज
i guess	हम बुझि छी
I had	हमरा लग छल
I have been	हम अलोह
I have	हमरा लग अछि
I hope so	हम अइसने आशा करे छी
I know	हम जनैत छी
I like you	हम अहांक पसिन करैत छी
I like	हमर पसंद
illegal	गैरकानूनी
illness	रोग
ill	बीमार
Ilocano	इलोकानो
I love my big brother	हमरा अपना बड़का भाय सँ प्यार हय
I love my big sister	हमरा हमर बड़की बहिन सँ लगाव हय
I love my father	हमरा अपना बाउ जी सँ प्यार हय
I love my little brother	हम अपना छोटका भाय सँ प्यार करई छी
I love my little sister	हमरा अपन बहिन सँ प्यार हई
I love my mother	हम अपना माई सँ प्यार करई छी
I love you so much	हम अहांके बहुत प्रेम करैत छी
I love you too	हमहूं अहांक प्रेम करेत छी
I love you	हम अहां सँ प्रेम करैत छी
I love	हम परेम करे छि
image	छवि
imagine	कल्पना करु
I mean	हमर मतलब अछि
I'm fine	हम ठीक छी
I'm good	हम नीक छी
I'm here	हम एतबा छी
I miss you so much	हम अहांकें बहुत याद कए रहल छी
I miss you	हम अहांके याद क रहल छी
immediately	झटपट
immediate	तुरंत
immense	अत्यधिक
impact	प्रभाव
impatient	बेताब
implement	लागू
important	महत्वपूर्ण
import	आयात
impose	थोपनाइ
impossible	असंभव
impression	प्रभाव
impressive	प्रभावशाली
impress	प्रभाबित करनाइ
improvement	सुधार
improve	बेहतर करु
I'm sorry	हमरा माफ क दिय
I'm	हम छी
I’m	हम छी
in addition	क अतिरिक्त
inappropriate	अनुपयुक्त
incentive	प्रोत्साहन
incident	घटना
include	शामिल करनाइ
including	सहित
income	आमदनी
inconvenience	असुविधा
increased	बढोतरी
increase	बढ़ाउ
incredible	अविश्वसनीय
indeed	निस्संदेह
independent	स्वतंत्र
India	भारत
indicate	संकेत
indigenous	स्वदेशी
individual	व्यक्तिगत
industry	उद्योग
inevitable	लाजमी
In fact	वास्तव मे
infant	नेना
infection	संक्रमण
infinity	अनंतता
inflammation	सूजन
inflation	मुद्रास्फीति
influence	प्रभाव
information	जानकारी
inform	सूचना देनाइ
in front of	के सामने
ingredients	अवयव
inheritance	विरासत
initial	शुरुआती
initiative	पहल
injured	चोटिल
injury	चोट लगनाइ
innocent	निर्दोष
innovation	नवका खोज
in order to	क लेल
inquiry	पूछताछ करनाइ
insane	विक्षिप्त
insect	कीट
insecure	असुरक्षित
insert	डालब
inside	भीतर मे
insight	दष्टि
insist	आग्रह
insomnia	अनिद्रा
inspiration	प्रेरणा
inspire	प्रेरित करनाइ
install	लगानाइ
instance	उदाहरण
instant	तुरन्ते
instant	पल भेर मे
instead of	क बजाय
instead	क' बदला मे
instructions	निर्देश
instrument	यंत्र
insult	अपमान
insurance	बीमा
intact	अछूता
integrity	ईमानदारी
intellectual	बुद्धिजीवी
intelligence	बुद्धि
intelligent	बुद्धिमान
intended	अभीष्ट
intend	उदेश्य रखनाइ
intense	तीव्र
intention	आशय
interaction	अन्तःक्रिया
interact	मेलजोल
interested	इच्छुक
interesting	मनभावक
interest	सूद
interfere	बाधा डालनाइ
intermediate	बीच क
internal	भीतरक
international	अंतरराष्ट्रीय
internship	इंटर्नशिप
interpreter	अनुवादक
interpret	अनुवाद करनाइ
interrupt	दखल देनाइ
interview	साक्षात्कार
intimate	सूचित करनाइ
into	में
introduce	परिचय
introduction	परिचय
introvert	अंतर्मुखी
intuition	सहज बोध
invalid	अमान्य
inventory	वस्तु सूची
invent	आविष्कार करनाइ
investigate	जाँच-पड़ताल करनाइ
invest	निबेस
invitation	निमंत्रण
invite	आमंत्रण
invoice	बिक्री पत्र
involved	सम्मिलित
involve	सम्मिलित
in	में
iron	लोहा
I see	हम देखैत छी
island	टापू
isolated	अलग करनाइ
issues	मुद्दा
issue	मुद्दा
is	अछि
items	चीज सभ
item	वस्तु
I think	हम सोचए छी
it is	ई छी
It's okay	ठीक अछि
it's ok	कोनो बात नहि
it's	इ अछि
its	एकर
it was	ई छलाह
it	ई
I understand	हम बुझैत छी
I want to see you	हम अहाँ केँ देखे चाहय छि
I want you	हम अहां क चाहए छी
I want	हम चाहैत छी
I was	हम छलहुं
I will	हम करब
I would be	हम हेब
I	हम
jacket	जैकेट
jail	जेल
January	जनवरी
jar	बोतल
jaw	जबडा
jealous	जलनखोर
jerk	झटका
jewelry	आभूषण
job	चाकरी
jogging	धीरे-धीरे चलनाइ
joint	संयुक्त
join	जुड़िजाय
joke	चुटकुला
journalist	पत्रकार
journey	यात्रा
joy	खुशी
judge	न्यायाधीश
juice	रस
july	जुलाई
jump	कूदनाइ
june	जून
junk	कचरा
just do it	बस एकरा करू
justice	न्याय
justify	न्यायसंगत
just	बस एहिना
Kalaallisut	कलाल्लिसुत
keen	संबंधी
keep it up	एकरा जारी रखू
keep	राखू
kept	रखल
kettle	केटली
key	चाबी
kick	लात मारनाइ
kidding	मजाक
kidney	गुर्दा
kids	नेना सभ
kid	नेना
kill	जान सँ मारनाइ
kinda	तरह क
kindly	सहृदय
kindness	दयाभाव
kind	प्रकार
king	राजा
kiss	चुम्मा
kitchen	भनसा घर
kite	पतंग
kitten	बिल्लीक नेना
knee	ठेहुन
knew	जानत छथि
knife	चक्कू
knight	शूरवीर
knowledge	ज्ञान
known	ज्ञात
know	बुझू
Konkani	कोंकणी
Krio	क्रियो
label	नाम-पत्र
labor	मजदूर
labour	मजदूर
lack	अभाव
ladder	सीढ़ी
lady	माउगी
laid	डिम देनाइ
lake	झील
lamb	भेंड़क नेना
lame	लांगड़
lamp	लालटेन
landscape	परिदृश्य
land	जमीन
language	भाषा
lap	कोरा
large	नमहर
last but not least	अंतिम अछि पर कम नहि
last name	उपनाम
last	अंतिम
lately	हाल ही मा
later	बाद मे
latest	नवीनतम
late	देरी
latter	बाद बला
laughing	हंसनाइ
laughter	हंसी
laugh	हंसी
launch	शुरू
laundry	धोबी घर
lawn	घास क मैदान
lawyer	वकील
law	कानून
layer	परत
layout	नक्शा
lay	नीचू रखनाइ
lazy	सुस्त
leader	नेता
lead	अगुवाई
leaf	पत्ती
leak	छेद होनाइ
lean	झुकल
leap	कुदनाइ
learning	अधिगम
learn	सीखू
lease	पट्टा
least	सब सं अल्प
leather	चमड़ा
leaves	पत्ती
leave	छुट्टी
led	सीसा
left	बामा
legacy	विरासत
legal	कानूनी
legend	किंवदंती
legit	कानूनी
leg	पएर
leisure	आराम
lend	कर्ज देनाइ
length	लंबाई
lesson	अध्याय
less	कम
letter	पत्र
lettuce	पत्तीदार
let	हुअ दियौ
level	दर्जा
leverage	लाभ
liability	देनदारी
library	पुस्तकालय
lick	चाटनाइ
lies	सुताल
lie	झूठ
life	जीवन
lift	उठाउ
lightning	आकाशीय विद्युत
light	हल्लुक
likely	उपयुक्त
likewise	ओनहिये
like	पसिन
line	पंक्ति
Lingala	लिंगाला
link	सम्बन्ध
lion	शेर
liquid	तरल
listening	सुननाइ
listen	सुनू
list	सूची
literally	अक्षरसः
literature	साहित्य
litter	कूड़ा-करकट
little	कम
liver	कजेला
lives	रहत छय
live	सीधा प्रसारण
living room	बैठक कक्ष
living	रहनाइ
lizard	टिकटिकीया
load	बोझा
loaf	पाव रोटी
loan	कर्जा
local	स्थानीय
location	स्थान
lockdown	तालाबंदी
lock	ताला
log	तना
lol	लोल
lonely	एकाकी
long time no see	ढेर समय सँ नहि देखले छलोह
long	लंबा
look	देखू
loop	फांस
loose	ढ़िल
lord	भगवान्
lose	नुकसान
loss	हानि
lost	हेराय गेल
lot	खूब
loud	जोर सँ
lounge	बरामदा
lovely	सुन्दर
love you	अहांक प्रेम करैत छी
love	प्रेम
lower	निम्नस्तर बला
low	कम
loyalty	निष्ठा
loyal	स्वामीभक्त
lucky	भाग्यशाली
luck	भाग्य
Luganda	लुगांडा
luggage	समान
lump	गांठ
lunch	दुपहरक भोजन
lungs	फेफड़ा सभ
luxury	आलीशान
lying	पड़ल
machine	मसीन
madam	महोदया
made	बनाओल गेल
mad	पागल
magazine	पत्रिका
magnificent	शानदार
maid	परिचारिका
maintain	बना के राखब
maintenance	रखरखाव
main	मुख्य
Maithili	मैथिली
majority	बहुमत
major	प्रमुख
make up	श्रृंगार करनाइ
make	बनाउ
male	पुरुष
mall	मॉल
management	प्रबंधन
manager	प्रबंधक
manage	प्रबंध
mandatory	जरूरी
manifest	घोषणापत्र
manipulate	हेरफेर करनाइ
manner	तरीका
manual	हाथ सं कएल गेल
many many happy returns of the day	ई दिन घुरि-घुरि आय
many	बहुत रास
man	व्यक्ति
march	जुलुस
margin	हाशिया
market	बाजार
marriage	बिहा
married	विवाहित
mask	मुखौटा
massive	ठोस
mass	सामूहिक
master	स्वामी
match	मिलान
material	सामग्री
mate	मित्र
math	गणित
matter	मामला
maturity	परिपक्वता
maybe	संभवतः
may	सकत
meal	भोजन
meaning	मतलब
means	साधन
meant	मतलब
meanwhile	एहि बीच मे
mean	मतलब
measures	उपाय सभ
measure	नाप
meat	मांस
medical	मेडिकल
medicine	दवाइ
meditation	ध्यान-समाधि
medium	माध्यम
meeting	बैसार
meet	भेंट करू
Meiteilon	मैतैलोन
melt	पिघलल
memories	यादसभ
memory	खेआल
mental	पागल
mentioned	उल्लिखित
mention	उल्लेख
mentor	उस्ताद
merchant	दोकनदार
mercy	दया
merely	केवल मात्र
merry christmas	क्रिसमस क बधाई
message	संदेश
messy	अव्यवस्थित
mess	गड़बड़
metal	धात्तु
method	तरीका
me too	हमहूं
me	हम
mice	मूस
middle	मध्य
midnight	आधा-राति
might	सक
mild	मृदु
milestone	मील क पाथर
military	सेना
milk	दूध
million	दस लाख
mindset	मानसिकता
mind	मोन
mine	हमर
mingle	मिलनाइ
minor	छोट
minutes	मिनट
minute	मिनट
miracle	चमत्कार
mirror	आईना
miscellaneous	मिलल-झुलल
mischievous	दुष्ट
miserable	कष्टप्रद
misery	कष्ट
missing	हेरायल
mission	लक्ष्य
miss you	अहांक याद क रहल छी
miss	चूक
mistake	गलती
mist	कोहरा
Mizo	मिजो
mobile	मोबाइल
mock	देखावटी
model	आदर्श
moderate	उदारवादी
modern	आधुनिक
modest	मामूली
moisture	नमी
moist	भीगल
mold	सांचा मे ढालब
mole	तिल
moment	क्षण
mom	मां
monday	सोमदिन
money	रुपैया
monitor	देख रेख करनाइ
monkey	बानर
month	मास
moody	उदासीन
mood	भाव
moon	चंद्रमा
moral	नैतिक
moreover	अतिरिक्त
more	अधिक
morning	भोर
mortgage	बंधक
mostly	ज्यादा तर
most	अधिकतर
mother	मां
motion	गति
motivation	प्रेरणा
mountain	पहाड़
mouse	मूस
mouth	मुंह
movement	गतिविधि
move	चलनाइ
movie	चलचित्र
mrs	श्रीमती
much	ढेर
mud	कादो
mug	मग
muscle	मांसपेशी
museum	संग्रहालय
mushroom	छातू
music	संगीत
must	आवश्यक
mute	मौन करनाइ
mutual	पारस्परिक
My dear	प्रिये
my friend	हमर दोस्त
My hovercraft is full of eels	हमर होवरक्राफ्ट माछ सँ भरल अछि
my love	हमर प्रेम
my name is	हमर नाम थिक
my pleasure	हमर खुशी
myself	खुद सँ
mysterious	रहस्यमय
mystery	रहस्मय
myth	कल्पित कथा
my	हमर
nail	नाखून
naive	नौसिखिया
name	नाम
narrative	वर्णन
narrow	पातर
nasty	दुष्ट
nationality	राष्ट्रीयता
national	राष्ट्रीय
native	मूल-निवासी
natural	प्राकृतिक
nature	प्रकृति
nausea	जी ओकिएनाइ
nearby	नखिच
nearly	लगभग
near	नजदीक
neat	साफ
necessary	आवश्यकता
necklace	हार
neck	गर्दनि
need	जरूरत
negative	नकारात्मक
neglect	उपेक्षा
negotiate	मोल - भाव
neighborhood	आस-पड़ोसक लोग
neighbor	पड़ोसी
neither	नहि
nephew	भातिज
nerd	पढ़ाकू
nervous	घबरायल
nest	घोंसला
network	नेटवर्क
net	जाल
neutral	तटस्थ
never give up	कखनो नहि छोड़ू
nevermind	कोनो गप्प नहि
never mind	कोनो बात नहि
nevertheless	तहियो
never	कखनो नहि
news	समाचार
new	नया
next to	क बगिल
next	अगिला
nice to meet you	अहां सँ भैट कए नीक लागल
nice	नीक
niece	भतीजी
nightmare	डरावना सपना
night	रात्रि
nineteen	उनइस
ninety	नब्बे
nine	नव
nobody	कोनो नहि
noise	शोरगुल
noisy	शोर वला
none	कोनो नहि
noon	दुपहर
nope	नहि
no problem	कोनो समस्या नहि अछि
normal	सामान्य
north	उत्तर दिस
nor	आ नहि
nose	नाक
nostalgic	खिन्न भ जनाइ
not at all	एकदम नहि
not bad	खराब नहि अछि
noted	लिख लियल गेल
note	नोट
nothing	किछु नहि
noticed	ध्यान
notice	सूचना
Not now	एखन नहि
not yet	एखन नहि
not	नहि
nouns	संज्ञा सभ
noun	संज्ञा
novel	उपन्यास
november	नवम्बर
nowadays	आइ-काल्हि
no way	कोनो रास्ता नहि अछि
now	एखन
No	नहि
nuisance	बाधा
null	सुन्ना
number	संख्या
numb	सुन्न
nurse	दाई
nutmeg	जायफल
nutrition	पोषण
nut	बादाम
oath	कसम
obesity	मोटापा
obey	आज्ञा माननाइ
objective	उद्येश्य
object	वस्तु
obligation	बाध्यता
obscure	अस्पष्ट
observation	निरिक्षण
observe	अवलोकन
obsessed	जुनूनी
obsession	जुनून
obsolete	अप्रचलित
obstacle	बाधा
obtained	प्राप्त भेल
obtain	प्राप्त करु
obviously	स्पष्टतः
obvious	स्पष्टतः
occasionally	कहियो कहियो
occupation	पेशा
occupied	कब्जा कयल गेल
occurred	आएल
occurs	होत अछि
occur	धटित
ocean	समुन्दर
october	अक्टूबर
odds	अंतर
odd	विषम
of course	अवश्य
offensive	अप्रिय
offer	प्रस्ताव
office	कार्यालय
official	अधिकारी
off	बंद
often	अक्सर
of	क
oh really	की साच्चो मे
Oh	ओह
oil	तेल
okay baby	ठीक छै नेना
okay dear	नीक अछि प्रिये
okay honey	ठीक अछि प्रिय
okay my love	ठीक अछि प्रिये
okay	ठीक छै
ok dear	ठीक प्रिय
ok honey	ठीक अछि जानू
ok my love	ठीक अछि  प्रिये
ok	ठीक छैै
old	पुरान
once	एक बेर
one language is never enough	एक टा भाषा कबो प्रयाप्त नहि अछि
one	एकटा
onion	प्याज
online	ऑनलाइन
only	केवल मात्र
on	उपर
open	खुलल
operation	संचालन
opinion	विचार
opportunities	अवसर
opportunity	अवसर
opposite	उल्टा
optimistic	आशावादी
optional	ऐच्छिक
option	विकल्प
orange	नारंगी
order	आदेश
ordinary	साधारण
organization	संस्थान
orientation	अनुस्थापन
original	मूल
origin	मूल
Oromo	ओरोमो
orphan	अनाथ
or	वा
otherwise	अन्यथा
other	दोसर
ought	चाही
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	हमर मिसन: सभ गोटाक, सभ जगह दुनिया क समझे अउर भाषा मे स्वम् क अभिव्यक्त करे मे सक्षम बनानाइ।
Our mission: to organize the world's information and make it universally accessible and useful.	हमर मिसन: दुनियाक जानकारीक व्यवस्थित करनाई अउर एकरा सार्वभौमिक रूप सँ सुलभ अउर उपयोगी बनानाइ।
our	हमरासभक
outcome	परिणाम
outfit	साज-सामान
outgoing	बाहर जाय वला
outlet	दोकान
outline	रूपरेखा
outside	बाहिर
outstanding	बकाया
out	बाहर
oven	भट्ठी
overall	पूरा -पूरा
overcome	जीतनाइ
over there	ओतबा अछि
overthinking	ढेर सोचनाइ
overwhelmed	अभिभूत
overwhelming	जबरदस्त
over	ऊपर सँ
owe	ऋणी
owl	उल्लू
owner	मालिक
own	अपन
ox	बैल
pace	गति
package	पैकेज
pack	गठरी
paid	भुगतान कयल गेल
painting	चित्र
paint	रंग
pain	दर्द
pair	जोड़ा
pale	पीयर
palm	हथेली
pandemic	वैश्विक महामारी
panic	घबड़ाहट
pants	पायजामा
pan	तावा
paper	कागज
paradise	स्वर्ग
parallel	समानांतर
parcel	पार्सल
pardon	क्षमा
parents	मां-पिता
park	पार्क
parrot	तोता
parsley	जमायन
participate	भाग लेनाइ
particularly	विशेष रूप सँ
particular	विशेष
partner	साझेदार
party	उत्सव
part	हिस्सा
passage	रास्ता
passed	बीतल
passionate	आवेशपूर्ण
passion	जुनून
passive	निष्क्रिय
password	पासवर्ड
pass	सफल
past	भूतकाल
patch	चेपी
pathetic	दयनीय
path	रास्ता
patience	धीरज
patient	मरीज
pattern	स्वरूप
pause	रोकनाइ
pavement	पगडंडी
payment	भुगतान केयल गेल पाई
pay	वेतन
peaceful	शांतिपूर्ण
peace	शांति
peach	सतालु
peak	शीर्ष
pear	नासपाती
peas	मटर
peculiar	अजीब
peel	छिलनाइ
peers	साथी लोकनि
peer	सामान पद बला
pee	पेसाब
pencil	पेन्सिल
pending	लंबित
pen	कलम
people	लोक
pepper	गोलकी
perceive	बुझनाइ
perception	अनुभूति
perfect	एकदम ठीक
performance	प्रदर्शन
perform	प्रदर्शन
perhaps	शायद
period	काल
permanent	स्थायी
permission	अनुमति
permit	अनुमति
perseverance	जिद्द
persistent	लगातार
personality	व्यक्तित्व
personal	व्यक्तिगत
person	व्यक्ति
perspective	परिप्रेक्ष्य
persuade	राजी करनाइ
pervert	विकृत कएदेनाइ
pet	पालतू
phase	अवस्था
phenomenon	तथ्य
philosophy	दर्शन
phone	फोन
photo	छबी
phrase	मुहावरा
physical	शारीरिक
pick up	उठाउ
pick	उठाउ
picture	छवि
pieces	टुकड़ासभ
piece	टुकड़ा
pigeon	कबूतर
pig	सूअर
pile	ढेर
pillow	तकिया
pilot	हवाई जहाज चालक
pineapple	अनानास
pink	गुलाबी
pin	पिन
pitch	स्वरक उतार-चढ़ाव
pity	दया
pit	गड्ढा
places	जगह
place	स्थान
plague	महामारी
plain	सादा
plane	हवाई जहाज
plants	गाझ सभ
plant	गाछि
plan	योजना
plate	प्लेट
platform	मंच
playing	खेल रहल हय
play	बजाउ
pleasant	मजेदार
pleased	प्रसन्न
please	कृपया
pleasure	खुशी
pledge	प्रतिज्ञा
plenty	खूब
plot	भूखंड
plug	प्लग
plumber	नलसाज
plum	आलूबुखारा
plural	बहुवचन
podcast	पॉडकास्ट
poem	कबिता
poetry	शायरी
point	बिन्दु
poison	जहर
police	पुलिस
policy	नीति
polite	विनम्र
pollution	प्रदूषण
pond	पोखरि
pool	पोखरि
poop	पखाना
poor	गरीब
popular	लोकप्रिय
population	आबादी
pop	पप
pork	सूअरक मास
porridge	दलिया
port	बंदरगाह
position	स्थिति
positive	सकारात्मक
possession	अधिकार
possessive	स्वामित्व
possess	क स्वामी वा मालिक भेनाइ
possible	संभव
postpone	स्थगित करनाइ
post	पद
potato	आलू
potential	संभावित
pound	बंदी गृह
poverty	गरीबी
powerful	शक्तिशाली
power	शक्ति
practical	व्यावहारिक
practice	अभ्यास
praise	प्रशंसा करनाइ
