a	un
generate	sjenereere
generation	generasie
generous	vriegevig
genius	sjûnie
genre	jônre
genre	sjtiel
gentle	zachaardig
genuine	ech
gesture	gebaar
get	kriege
get dressed	aandoon
get up	opsjtoon
get well soon	bétersjàp
getting	kriege
ghost	geis
ghosting	sjpoeëke
giant	hieël groet
gift	kadoo
ginger	gember
girl	mêdje
girlfriend	vriendin
give	geve
give up	opgeve
given	gegeve
glad	blie
glance	blik werpe
glass	glaas
glasses	bril
glimpse	glimp
global	globaal
gloomy	duuster
gloves	handsjeun
glow	gloei
glow up	oplichte
glue	liem
go	goon
go ahead	doog mèr
go away	gànk wèg
go to bed	noa bid goon
go to bed	goon sloape
goal	doel
goal	gool
goals	doele
goals	doelpunte
goat	geit
god	god
god bless you	god zegene dich
goes	geit
going	goon
going to	noatoe goon
gold	goud
gone	wèg
gonna	goon
goo	plèkboel
good	good
good afternoon	gooie noamiddig
good bye	hoïe
good day	gooie daag
good evening	gooie oavend
good job	good gedoon
good job	gooi baan
good looking	good oetzeen
good luck	veul sukses
good morning	gooie murrige
good morning my love	gooie murrige mien leefste
good night	gooie nach
goodbye	hoïje
goodnight	gooi nach
goods	goedere
Google	Google
Google Translate	Google Translate
goose	gans
gorgeous	prachtig
gossip	roddele
gossip	roddel
got	kriege
got it	gekrege
got it	begrepe
got it	hub het
government	euverheid
government	regering
grab	griepe
grade	diplooma
grade	siefer
gradually	geleidelik
graduate	aafgesjtudeerde
grain	graan
grant	toekinne
granted	toegekind
grapes	droeve
grasp	pàkke
grass	graas
grass	graaze
grateful	erkintelik
grateful	dankbaar
gratitude	erkintelikheid
gratitude	dankbaarheid
grave	graaf
gray	gries
great	grwat
great	geweldig
greed	hèbzuch
greedy	gretig
green	greun
greet	groete
greeting	groet
greetings	groete
grey	gries
grid	raster
grief	rouw
grind	vermaale
grip	griepe
grip	grip
grocery	boodsjappe
groom	brujegom
gross	onsjmakelik
gross	bruuto
ground	grond
group	groep
grow	greui
growth	greui
grumpy	sjlechgezind
Guarani	Goearánie
guarantee	garansie
guard	bewaker
guard	bewake
guess	roaje
guest	gàs
guidance	begeleiding
guide	gids
guide	begeleide
guilty	shuldig
guy	jong
guys	jonges
gym	sjim
gym	trêne
habit	eigesjap
habitat	lêfomgeving
had	hauw
hail	haagel
hair	hoare
half	halvere
half	hauf
hall	hàl
hand	hand
handle	handele
handsome	knap
hang	hange
hang out	rielekse
happen	gebeure
happened	gebeurd
happiness	bliedsjap
happy	blie
happy birthday	gefeliciteerd mit diene verjeurdaag
happy birthday to you	fijne verjoardaag
happy new year	zaalig nuuj joar
hard	moejelik
hard	hèl
hardly	bienoa neet
hardly ever	bienoa noeëts
harm	sjaa toebringe
harm	pien
harmful	sjaadelik
harmony	harmonie
harsh	fèl
harvest	oeëgste
has	hêt
hate	haat
have	hubbe
have a good day	fijne daag
have a nice day	fijne daag
have breakfast	ontbijte
have fun	sjpas hubbe
have you eaten	hubse gegete
having	hubbe
hazard	gevoar
haze	waas
haze	nevel
he	heë
he has	hê hêt
he is	hê is
head	kop
headache	koppien
heal	geneze
healing	geneezing
health	gezondheid
healthy	gezond
hear	huuwere
heard	gehuurd
heart	hart
heat	wermte
heaven	hemel
heavy	zsjwoar
hectic	hekties
height	huuwegte
heir	erfgenaam
heist	inbraak
held	gehoute
hell	hèl
Hello	Hallo
hello dear	hallo leefste
hello how are you	hallo wie geit het mit dich
hello how are you doing	hoi wie geit het mit dich
helmet	hèlm
help	hellepe
helpful	behulpzaam
hence	doadoor
her	heur
herd	kudde
here	hie
heritage	erfsjap
heritage	erfenis
hesitate	aarzele
Hey	Hèj
Hi	Hoi
hi how are you	hoi wie geit het mit dich
Hi there	Hoi
hidden	verborrige
hide	verberrige
hierarchy	hierargie
high	hoeëg
highlight	markere
hike	wandele
hike	klumme
hiking	wandele
hilarious	hielaries
hill	heuvel
him	heum
hint	hint
hip	heup
hip	hip
hips	heupe
hire	inhure
hire	hure
hiring	inhure
his	ziene
history	histoorie
hit	sjloon
Hmm	Hmm
hobby	hobbie
hold	houte
hold on	eve wachte
hole	gaat
holiday	vakansie
holiday	vrieje daag
hollow	hòl
home	thoeës
homework	hoeswerk
honest	ierlik
honestly	eerlijk
Honey	Leefste
Honey	Honing
honor	ier
hood	kàp
hook	inhoake
hook	hoak
hop	huppele
hope	hoop
hopefully	hopelik
hopeless	hopeloos
horizontal	plat
horizontal	horisontaal
horn	toeter
horn	hoorn
horrible	versjrikkelik
horror	horror
horse	peerd
hospital	ziekenoes
hospitality	gasvrieheid
host	gasvrouw
host	gasheer
hostile	vijandelik
hot	werrem
hotel	hotèl
hour	oer
hours	oere
house	hoes
household	hoeshouwe
how	wie
how about you	en dich
how are you	wie geit het
how are you doing	wie geit het mit dich
how are you doing today	wie geit het mit dich vandaag
how are you today	wie geit het mit dich vandaag
how do you do	wie geit het mit dich
how is	wie is
how many	wie veul
how much	wie veul
how often	wie diks
how old are you	wie awd bis se
how was your day	wie woar diene daag
how was your night	wie woar dien nach
however	echter
hub	knauppunt
hub	middelpunt
hub	séntrum
hubby	menneke
hug	knuffel
huge	giganties
human	miensjelijk
humble	besjeie
humid	vochtig
humidity	vochtigheid
hundred	honderd
hungry	honger
hunt	jach
hurricane	orkaan
hurry	sjpeuje
hurry up	sjeet op
hurt	pien
husband	man
hustle	aanpakke
hustle	sjravele
hut	hut
hygiene	hiegiên
I	Ich
I am	Ich bin
I am fine	Mit mich geit het good
I can	Ich kin
I can't	Ich kin neet
I do	Dat doon ich
I do	Ich doon
I do not know	Ich weit het neet
I do not understand	Ich begriep het neet
I don't	Ich neet
I don't know	Ich weit het neet
I don't understand	Ich begriep het neet
I don't understand what you mean	Ich begriep neet wat se bedoels
I don't understand you	Ich begriep dich neet
I don’t know	Weit ich neet
I don’t understand	Ich begriep het neet
i guess	ich dink het
I had	Ich houw
I have	Ich hub
I have been	Ich bin gewês
I have been	Ich woar
I hope so	Ich hoop het
I know	Ich weit
I like	Ich houd van
I like you	Ich ving dich leuk
I love	Ich houd
I love my big brother	Ich houd van miene broor
I love my big sister	Ich houd van mien zuster
I love my father	Ich houd van miene pap
I love my little brother	Ich houd van mien klein breurke
I love my little sister	Ich houd van mien klein zusterke
I love my mother	Ich houd van mien mam
I love you	Ich houd van dich
I love you so much	Ich houd zoeë veul van dich
I love you too	Ich houd auch van dich
I mean	Ich bedoel
I miss you	Ich mis dich
I miss you so much	Ich mis dich zoeë erg
I see	Ich begriep het
I see	Ich zeen
I think	Ich dink
I understand	Ich begriep het
I want	Ich wil
I want to see you	Ich wil dich zeen
I want you	Ich wil dich
I was	Ich woar
I will	Ich zal
I would be	Ich zou zeen
I'm	Ich bin
I'm fine	Het geit good mit mich
I'm good	Ich bin good
I'm good	Mit mich is alles good
I'm here	Ich bin hie
I'm sorry	Het sjpiet mich
ice	ies
ice cream	ies
idea	idee
ideal	ideaal
identical	identiek
identify	identificere
identify	aanwieze
identity	identiteit
idiot	idioot
idle	sjtilsjtand
if	es
ignore	negere
ill	krank
illegal	ielégáál
illness	krankheid
Ilocano	Iloocanoo
image	aafbeelding
imagine	veursjtille
immediate	akkuut
immediately	onmiddelik
immense	immèns
impact	impekt
impatient	ongeduldig
implement	insjtille
import	inveure
import	ingeveurd
important	belangriek
impose	opligge
impossible	onmeugelik
impress	indruk make
impression	índruk
impressive	indrukwikkend
improve	verbetere
improvement	verbetering
in	in
in addition	in aanvulling
In fact	In feite
in front of	veur
in order to	in sjtoat te zin
inappropriate	ongesjik
incentive	insèntief
incident	òngeval
include	opnumme
include	insjlete
including	wo onder
income	inkòmme
inconvenience	ongemàk
increase	toenumme
increased	toegenomme
incredible	ongeluifelik
indeed	inderdaad
independent	onafhankelijk
India	India
indicate	aanwieze
indigenous	inheems
individual	inkeling
industry	industrie
inevitable	onvermijdelik
infant	jonk kind
infection	infeksie
infinity	oneindigheid
inflammation	ontsjtoake
inflation	inflasie
influence	invlood
inform	informere
information	informatie
ingredients	ingrediejente
inheritance	erfenis
initial	aafkorting
initial	begin
initial	inietsjale
initiative	inietsjiatief
injured	gewond
injury	wond
innocent	onsjuldig
innovation	innovasie
inquiry	aanvroag
insane	absurd
insect	insèk
insecure	onzeker
insert	inveure
insert	inbringe
insert	ingooie
inside	binne
insight	inzich
insist	drop sjtoon
insomnia	sjloapeloosheid
inspiration	inspiraasie
inspire	inspirere
install	insjtallere
instance	instansie
instant	metein
instead	in plaats doavan
instead of	in plaats doa van
instructions	insjtruksies
instrument	insjtrumint
insult	beleedige
insult	beleediging
insurance	verzeekering
intact	intàk
integrity	integriteit
intellectual	intellèctueel
intelligence	intelligensie
intelligent	sjlum
intend	intensie
intended	besjtumd
intense	intens
intention	intensie
interact	op ein inwirke
interaction	onderhoud
interaction	interaksie
interest	interesse
interested	geïnteresseerd
interesting	interessant
interfere	tushekomme
intermediate	tusje
internal	intern
international	internasjonaal
internship	sjtaash
interpret	interpretere
interpret	tollike
interpreter	tollik
interrupt	in de rêije valle
interrupt	onderbreke
interview	intervjoe
intimate	intiem
into	in
introduce	introduseere
introduction	introduksie
introvert	introvert
intuition	intuïsie
invalid	invalied
invent	oetvinge
inventory	inventaaris
invest	investere
investigate	onderzeuke
invitation	oetnuuwediging
invite	oetnuuwedige
invoice	faktuur
involve	betrokke
involved	betrokke
iron	iezer
is	is
island	eiland
isolated	geïsoleerd
issue	probleem
issue	oetgaave
issues	probleme
issues	toekinne
it	het
it is	het is
it was	het woar
it's	het is
it's ok	het is good
It's okay	Het is good
item	artiekel
items	artiekele
its	doavan
I’m	Ich bin
jacket	jas
jail	gevangenis
January	Januarie
jar	pot
jaw	kaak
jealous	sjloes
jerk	klojo
jewelry	juweele
job	baan
jogging	hardloupe
join	deilnumme
joint	gezamelik
joke	gràp
journalist	sjoernalis
journey	reis
joy	sjpas
judge	rechter
juice	saap
july	juulie
jump	springe
jump	sjpronk
june	juunie
junk	versjlaafde
just	nèt
just	sjus
just do it	doog het gewoon
justice	gerechtigheid
justify	rechvaardige
Kalaallisut	Kalálisuut
keen	geïnteresseerd
keen	entoesjas
keep	houte
keep it up	haud vol
kept	gehoute
kettle	ketel
key	sjleutel
kick	kik
kick	trap
kick	trappe
kid	kind
kidding	grappe
kidney	neer
kids	kinger
kill	dwad make
kill	vermoare
kind	aardig
kind	soort
kinda	nògàl
kindly	estebleef
kindness	vruntelikheid
king	keuning
kiss	puuën
kitchen	keuke
kite	vleeger
kitten	kitten
knee	kneej
knew	wis
knife	mès
knight	ridder
know	weite
knowledge	kinnes
known	bekinde
known	bekind
Konkani	Konkáni
Krio	Krioo
label	etiekit
labor	wirrik
labour	arbeid
lack	gebrèk
ladder	ludder
lady	juffrouw
laid	geleege
laid	loog
lake	méér
lamb	lam
lame	mank
lamp	lamp
land	lande
land	land
landscape	landsjap
language	taal
lap	runde
lap	sjwat
large	groewet
last	litste
last but not least	tensjlotte
last but not least	neet te vergête
last name	achternoam
late	laat
lately	de litste tied
later	laater
latest	litste
latter	litste
laugh	lach
laughing	lache
laughter	gelach
launch	lancere
laundry	wèsh
law	wit
lawn	graasveld
lawyer	advokaat
lay	ligge
layer	loag
layout	opmaak
layout	ontwèrp
lazy	lui
lead	leide
leader	leider
leaf	blaad
leak	lèk
lean	leune
leap	veuroetsjpringe
learn	liejere
learning	lieëre
lease	lies
least	minste
leather	lêr
leave	weggoon
leave	loate
leaves	blaar
leaves	weggoon
led	geleid
left	weggegoon
left	links
leg	bein
legacy	erfenis
legal	juriedies
legend	legende
legit	legitiem
leisure	vriejetiedsbesjteding
lend	ljènne
length	lengte
less	wiejenig
lesson	lis
let	loat
letter	breef
lettuce	sjlaa
level	nivoo
leverage	opleevering
liability	aansjproakelijkheid
library	biebliotéék
lick	lik
lie	leege
lie	ligge
lies	leuges
life	leeve
lift	lifte
lift	optille
lift	lif
light	leeg
light	lich
lightning	bliksem
like	leuk
like	wie
likely	warsjienlik
likewise	van hetzelfde
Limburgan	Limburgs
line	lijn
Lingala	Lingálaa
link	link
lion	lieëuw
liquid	vloeibaar
list	opsomme
list	lies
listen	loestere
listening	luustere
literally	litterlik
literature	lieteratuur
litter	aafval
little	klein
live	leve
live	laif
liver	leever
lives	leves
living	leeve
living room	woonkamer
lizard	hagedis
load	laaje
load	làs
load	oplaaje
loaf	brwad
loan	lieëning
local	lokaal
location	lokasie
lock	sjloot
lockdown	lok dauwn
log	sjtàm
lol	lol
lonely	einzaam
long	lank
long time no see	lang neet gezeen
look	kiek
loop	lus
loose	verleeze
lord	hieër
lose	verleeze
loss	verlees
lost	verloore
lot	veul
loud	hèl
lounge	lounsj
love	leefde
love you	ich houd van dich
lovely	sjattig
low	liejeg
lower	verlieëge
loyal	trouw
loyalty	trouw
luck	geluk
lucky	geluk
Luganda	Loegandaa
luggage	bàgaasj
lump	klontere
lump	brok
lunch	middigete
lungs	longe
luxury	luuks
luxury	luuksieus
lying	ligge
machine	masjien
mad	kwad
mad	gèk
madam	mevrouw
made	gemaak
magazine	tiedsjrif
magnificent	manjefiek
maid	mêdje
main	grotste
maintain	vashoute
maintenance	onderhoud
Maithili	Maithilie
major	groewete
majority	meerderheid
make	maake
make up	sjmienk
male	mannelik
mall	winkelsentrum
man	man
manage	behere
management	behier
manager	mènnasjer
mandatory	verplich
manifest	maniefès
manipulate	manipulere
manner	meneer
manual	handmaatig
many	veul
many many happy returns of the day	en nog veule joare
march	maart
margin	marge
market	merret
marriage	huwelijk
married	getrouwd
mask	maskeere
mask	masker
mass	deens
mass	massaal
massive	eenorm
massive	massief
master	meister
match	wedsjtried
match	euvereinkomme
mate	paare
mate	moat
material	materiejaal
math	rêkene
math	wiskunde
matter	kwestie
maturity	volwassenheid
may	zou kinne
may	mei
maybe	misshien
me	mich
me too	ich auch
meal	moaltied
mean	beteikene
mean	gemein
meaning	beteikenis
means	beteikent
means	middele
meant	bedoeld
meanwhile	onderwieles
measure	mete
measures	moatreigele
meat	vleisj
medical	medisch
medicine	médiesien
meditation	meditasie
medium	méédium
meet	ontmoete
meeting	vergaadering
meeting	ontmoeting
Meiteilon	Meiteilón
melt	sjmilte
memories	herinneringe
memory	geheuge
mental	mentaal
mention	benumme
mentioned	benumme
mentor	mentor
merchant	handelêr
mercy	genade
merely	slechs
merely	enkel
merry christmas	zaalige keershmus
mess	rommel
message	berich
messy	rommelig
metal	métaal
method	métoode
mice	moeze
middle	middesjtuk
middle	middel
midnight	middernach
might	zouw kinne
mild	mild
milestone	mijlpoal
military	militêr
milk	millik
million	miljoeën
mind	geis
mindset	geestestoesjtand
mine	miene
mingle	bemeuije
minor	kleine
minute	minuut
minutes	minuute
miracle	wonder
mirror	sjpeegele
miscellaneous	divèrs
miscellaneous	versjillende
mischievous	ondeugend
miserable	mieserabel
misery	miseerie
miss	misse
miss you	mis dich
missing	vermis
mission	missie
mist	mis
mistake	fout
Mizo	Mizó
mobile	mobiel
mock	oetlache
model	modèl
moderate	matig
modern	moodèrn
modest	besjeije
moist	vochtig
moisture	vochtigheid
mold	sjummel
mole	mol
mom	mam
moment	momint
monday	moandig
money	geld
monitor	in de gate houte
monitor	biehoute
monkey	aap
month	moand
mood	shtumming
moody	gehumeurd
moon	moan
moral	moraal
more	miejer
moreover	doaneve
morning	murrige
mortgage	hiepotheek
most	meiste
mostly	veulal
mother	mooder
mother	mam
motion	mósie
motion	bewêging
motivation	motivaatie
mountain	berg
mouse	moes
mouth	mond
move	bewêge
move	verhoeze
movement	bewêging
movie	film
mrs	mevrouw
much	veul
mud	drek
mug	mok
muscle	sjpiere
museum	muusééüm
mushroom	sjampiejon
music	muuziek
must	mot
mute	sjtil
mutual	wederzijds
my	mien
My dear	Mien leefste
my friend	miene vrund
My hovercraft is full of eels	Mien hovercraft zit vol mit palinge
my love	mien leefde
my name is	miene naam is
my pleasure	gèr gedoon
myself	michzelf
mysterious	misterieus
mystery	mistéérie
myth	miete
nail	nagel
naive	naaïef
name	benumme
name	naam
narrative	narratief
narrow	sjmaal
nasty	vies
national	nasjonaal
nationality	naasjonaalieteit
native	oorsjpronkelik
natural	natuurlijk
nature	natuur
nausea	misselik
near	bienoa
near	vlakbie
nearby	kortbie
nearly	bienoa
neat	netjes
necessary	noewedzakelijk
neck	nek
necklace	kitting
need	nuuwedig hubbe
negative	negatief
neglect	negeere
negotiate	onderhandele
neighbor	buur
neighborhood	buurt
neither	gein
nephew	nêf
nerd	sjtuud
nervous	nerveus
nest	nis
net	net
network	netwerk
neutral	neutraal
never	noewets
never give up	nooit opgeve
never mind	loat mer zitte
nevermind	loat mer zitte
nevertheless	ondanks
new	nuuj
news	nuuts
next	volgende
next	neeve
next to	neve
nice	fijn
nice to meet you	leuk om dich te ontmoete
niece	nisjekke
night	nach
nightmare	nachmerrie
nine	neuge
nineteen	neugetiën
ninety	neugetig
No	Nei
no problem	gein probleem
no way	meinse neet
nobody	neemes
noise	lawaai
noisy	lawaaierig
none	gein
noon	middig
nope	nei
nor	noch
normal	normaal
north	noorde
nose	naas
nostalgic	nostalgies
not	neet
not at all	helemoal neet
not bad	neet sjlech
Not now	Neet noe
not yet	nog neet
note	noeët
note	nootiesie
noted	genoteerd
nothing	niks
notice	mèlding
noticed	opgemirk
noun	zelfsjtandig naamwoord
nouns	zelfsjtandige naamwoorde
novel	roman
novel	verhoal
november	november
now	noe
nowadays	tegewoordig
nuisance	ergernis
null	ongèldig
null	nul
numb	verdauf
number	nummer
nurse	zuster
nurse	zurrige
nut	noot
nutmeg	nootmuskaat
nutrition	voeding
oath	eed
obesity	obesietas
obey	gehuurzame
object	objek
objective	doel
obligation	verplichting
obscure	duuster
obscure	verdoezele
observation	observaasie
observe	bekieke
observe	observeere
obsessed	geobsedeerd
obsession	obsessie
obsolete	euverboodig
obstacle	obsjtakel
obtain	verkriege
obtained	verkrege
obvious	vanzelfsjprekend
obviously	vanzelfsjprekend
occasionally	van tied tot tied
occupation	beroep
occupied	bezat
occur	gebeure
occurred	gebeurd
occurs	kump veur
ocean	oséaan
october	oktober
odd	vrèm
odds	kanse
of	van
of course	natuurlijk
off	oet
offensive	offensief
offer	aanbod
offer	aanbeeje
office	kantwar
official	offiesjeel
often	vaak
Oh	Oah
oh really	oah ech
oil	olie
ok	ok
ok dear	okéé leefste
ok honey	okéé leefste
ok my love	okee mien leefste
okay	okéé
okay baby	okéé sjat
okay dear	okee leefste
okay honey	okéé leefste
okay my love	okee mien leefste
old	aud
on	op
once	einmoalig
one	unne
one language is never enough	ein taal is noeëts genog
onion	ui
online	online
only	allein
open	opene
open	ope
operation	operasie
opinion	meining
opportunities	meugelikhede
opportunity	meugelijkheid
opposite	tegeneuvergestild
optimistic	optiemisties
option	meugelikheid
option	opsie
optional	opsjoneel
or	of
orange	appelsien
orange	oranje
order	bestèlling
order	sortere
ordinary	normaal
organization	organisasie
orientation	oriejenteere
origin	oeërsjpronk
original	oriesjieneel
Oromo	Oromoo
orphan	wees
other	angere
otherwise	angesj
ought	zou motte
our	ozze
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Oos missie: om eederein, wo dan auch, in sjtoat te sjtille om de wêreld te begriepe en zich zonder taalbarriêres te kinne oetdrukke.
Our mission: to organize the world's information and make it universally accessible and useful.	Oos missie: om alle informasie ter wêreld te organisere en het veur eederein toegankelik en broekbaar te make.
out	oet
outcome	oetkomst
outfit	kleiding
outfit	oetfit
outfit	oetrusting
outgoing	oetgoand
outlet	outlit
outlet	oetloat
outline	sjetse
outside	neve
outside	boete
outstanding	manjefiek
oven	oove
over	euver
over there	doa achter
overall	algemeine
overcome	euverheerkòmme
overcome	euverkòmme
overthinking	euverdinke
overwhelmed	euverweldigd
overwhelming	euverdonderend
owe	sjuldig zin
owl	uul
own	eigelik
owner	eigenaar
ox	os
pace	tempo
pace	moat
pack	pàk
package	pakkit
paid	betaald
pain	pien
paint	verf
paint	verve
painting	sjilderie
pair	kombienere
pair	paar
pale	bleik
palm	pallem
pan	pan
pandemic	pandemìe
panic	paniek
pants	brook
paper	papier
paradise	paradies
parallel	párálèl
parcel	pàkkit
pardon	pardon
parents	ouwersj
park	parrik
parrot	pàppegaai
parsley	peterselie
part	deil
participate	deilnumme
particular	bepaalde
particularly	mit naame
partner	partner
party	fieës
pass	euvershloon
passage	passaash
passed	versjtreke
passion	passie
passionate	gepàsjoneerd
passive	passief
password	wàgwoord
past	verleede
patch	sjtuk
path	paad
pathetic	zielig
patience	geduld
patient	pashjènt
patient	geduldig
pattern	patroewen
pause	pauze
pavement	besjtroating
pay	betale
payment	betaling
peace	vreij
peaceful	vrêjig
peach	perzik
peak	piek
pear	peer
peas	erte
peculiar	vrêm
pee	plas
pee	plasse
peel	plukke
peer	sjtare
peers	lêftiedsgenote
pen	pèn
pencil	pòtlwàd
pending	in aafwachting
people	luuj
pepper	pééper
perceive	versjtoon
perception	persepsie
perfect	perfek
perform	prestere
perform	oetveure
perform	optrêije
performance	prestatie
perhaps	misshien
period	periode
permanent	permanent
permission	toesjtumming
permit	permittere
perseverance	doorzittingsvermoge
persistent	volhouwend
person	miensh
personal	persoeënlijk
personality	persoeënlijkheid
perspective	perspektief
persuade	euvertuuge
pervert	perveersjeling
pet	hoesdeer
phase	faas
phenomenon	fénoméén
philosophy	filoosoofie
phone	teelefoon
photo	fóto
phrase	zin
physical	fiesiek
pick	keeze
pick up	oppikke
picture	foto
picture	veursjtille
piece	sjtuk
pieces	sjtukker
pig	verrike
pigeon	doef
pile	opsjtapele
pile	sjtapel
pillow	kusse
pilot	pieloot
pin	sjpeldje
pin	pin
pineapple	ànànàs
pink	rôs
pit	gaat
pit	put
pitch	sjmiete
pitch	toeënhuuwigte
pity	sjpiet
pity	mitlieje
place	plaatse
place	plaats
places	plaatse
plague	ploag
plain	vlakte
plain	duudelik
plain	sumpel
plan	plenne
plan	plan
plane	vleegtuug
plant	febrik
plant	plant
plant	plante
plants	plante
plate	bord
platform	platform
play	sjpele
playing	sjpele
pleasant	plezant
please	estebleef
pleased	tevreije
pleasure	plezeer
pledge	beloave
plenty	genòg
plot	veld
plot	intriesj
plug	plug
plum	proem
plumber	loeëdgeeter
plural	meervoudig
podcast	podkàs
poem	gedich
poetry	poëzie
point	punt
point	aanwieze
poison	gif
police	polisie
policy	beleid
polite	belêf
pollution	verontreiniging
pond	viever
pool	sjwumbad
poop	poep
poor	errem
pop	breke
pop	knettere
popular	populêr
population	popuulasie
pork	verrike
porridge	pap
port	poort
position	positie
positive	positief
possess	bezitte
possession	eigedom
possessive	bezitterig
possible	meugelik
post	pos
post	versjikke
postpone	oetsjtille
potato	eerappel
potential	potensjeel
pound	pond
poverty	ermeuj
power	mach
power	krach
powerful	krachtig
powerful	machtig
practical	prakties
practice	oefene
praise	prieze
praise	lof
prank	grap
pray	bêije
precious	wêrdevol
precise	presies
precisely	presies
predict	veursjpille
prefer	leever
preference	veurkeur
pregnant	sjwanger
prejudice	veuroerdeil
premises	terrein
premium	biste
premium	premie
preparation	veurbereiding
prepare	veurbereide
prepared	veurbereid
preposition	veursjtil
presence	aanwezigheid
present	op het momint
present	kadoo
presentation	presentaasie
preserve	behoute
president	presiedint
press	duuje
press	pers
pressure	druk
pretend	doon es of
pretty	sjoeën
prevent	veurkòmme
previous	veurige
prey	bêije
price	prieze
price	pries
pride	trots
priest	preester
primary	primêre
prime	priemêr
prime	biste
princess	prinses
principal	hoofzakelik
prior	iersh
priority	veurrang
prison	gevangenis
privacy	privaasie
private	prievéé
private	eige
privilege	prievieleesj
privilege	veurrank
prize	pries
probably	wàrsjienlik
problem	prebleem
procedure	proseduure
proceed	doorgoon
process	procès
produce	produseere
product	produk
production	produksie
profession	beroep
professional	profesjoneel
profile	profiel
profit	wins
profound	oprèg
progress	veuroetgank
progress	veuroetgoon
project	projèk
prominent	prommenint
promise	belofte
promise	beloave
promote	promoote
promotion	promoosie
prompt	op sjlaag
prone	geneig
pronouns	veurnaamwoorde
pronunciation	oetsjproak
proof	bewies
proof	bewieze
proper	netjes
proper	good
properly	fatsoenlijk
properties	eigensjappe
property	eigendom
proposal	veursjtil
prospect	veuroetzich
prosperity	veursjpood
prosperous	veursjpoedig
prosperous	welvarend
protect	besjerme
proud	trots
prove	bewieze
provide	veurzeen
provided	gegeeve
province	provinsie
provision	proviesie
puberty	puberteit
public	publiek
pull	trikke
pumpkin	pompoen
punctual	punktueel
pupil	ljerling
purchase	koupe
pure	onversjneeje
pure	puur
purple	poarsj
purpose	doel
purse	beursh
pursue	noavollige
pursue	achtervollige
pursuit	achtervolging
push	duuje
put	zitte
qualification	kwaliefiekaasie
quality	kwaliteit
quantity	aantal
quantity	hoeveulheid
quarantine	karantên
quarrel	vreigele
quarter	kwart
Quechua	kètsja
queen	keuningin
queer	apaart
queer	raar
query	vroag
question	vroag
queue	riej
quick	sjnèl
quickly	sjnèl
quiet	shtil
quilt	sjprei
quit	aafsjleete
quit	weggoon
quite	nogàl
quiz	kwis
quotation	offèrte
quote	sietere
quote	offèrte make
quotes	citate
rabbit	knien
race	rees
race	sjpöje
rage	woede
rage	razernie
rain	rege
raise	inzamele
raise	opkomme
raised	gereeze
ran	rende
random	willekeurig
range	beriek
rapid	sjnèl
rapidly	sjnel
rare	zeldzaam
rarely	bienoa nooit
rash	oetsjlaag
rat	ràt
rate	tempo
rate	tarief
rather	leever
ratio	verhouding
rational	rasjoneel
raw	roew
reach	bereike
reached	bereik
reaction	reaksie
read	leze
reading	leezing
reading	leze
ready	kloar
real	ech
reality	realiteit
realize	realisere
realized	gerealiseerd
realized	realiseerde
really	ech
rear	achterkant
reason	reije
reasonable	rêdelik
recall	herinnere
receipt	bewies
receipt	kwitansie
receipt	ontvange
receive	kriege
received	ontvange
recent	resènt
recently	onlangs
reception	resepsie
recipe	resèp
reckless	roekeloos
recognition	erkinning
recognize	erkinne
recommend	aanbevele
recommended	aanbevole
record	opnumme
record	rekòrd
recover	hersjtille
recovery	hèrsjtil
rectangle	veerkant
red	roeëd
redeem	verzilvere
redemption	verlossing
reduce	vermindere
redundant	euvervlood
refer	refereere
reference	referens
reflect	reflèkteere
reflection	refleksie
refrain	onthoute van
refrigerator	keulkàs
refund	teruukgaaf
refuse	weigere
refused	weigerde
regard	zeen
regarding	mit betrikking tot
regarding	euver
regardless	aafgezeen
regards	groete
region	regio
register	register
regret	sjpiet
regular	gewoeën
regularly	vaker
reject	aafwieze
reject	aafsjloon
relate	relaatere
related	geliejeerd
related	verwant
relationship	relatie
relative	relatief
relatives	familieleede
relax	ontsjpanne
release	vriegeve
released	vriegegeve
relevant	relevant
reliable	betroebaar
relief	opluchting
relieve	opluchting
relieved	opgeluch
religion	geluif
religious	reliegieus
reluctant	weigerend
rely	vertroewe
remain	blieve
remaining	euverblievende
remarkable	opmirkelik
remedy	reméedie
remember	onthoute
remind	herinnere
reminder	herinnering
remote	op aafsjtand
remove	weghoole
render	geleverd
render	geve
rent	huure
repair	repaarére
repeat	herhoale
replace	vervànge
reply	beantwoorde
report	rapport
represent	verteegewoordige
reputation	repuutasie
request	aanvroage
require	vereise
required	vereis
rescue	rèdde
rescue	rèdding
research	onderzeuk
resemble	lieke op
resentment	vrok
reservation	reservering
reserve	resèrf
resident	bewoner
resign	opgeve
resign	neerligge
resilience	weersjtand
resilient	wêrbaar
resist	weersjtoon
resistance	verzit
resolution	resoluusie
resolution	oplossing
resolve	oplosse
resort	verblief
resort	vakantiepark
resources	bronne
respect	respèk
respond	beantwoorde
response	antwoord
responsibility	verantwoordelijkheid
responsible	verantwoordelik
rest	res
rest in peace	rus zach
restaurant	restorant
restore	hersjtille
restrict	bepèrke
result	resultaat
result	oetsjlaag
result	resultere
results	resultate
resume	hervatte
retail	winkelverkaup
retain	behoute
retention	vàshoute
retention	bewaring
retired	gepensjoneerd
retreat	teruuktrikke
