abandoned	ምቁራጽ
encourage	ኣበረታትዕ
endangered	ኣብ ሓደጋ ዝወደቐ
endeavor	ፃዕሪ
endurance	ተፃዋርነት
endure	ምጽናዕ
end	መወዳእታ
enemy	ጸላኢ
energy	ጉልበት
engaged	ሕፁይ
engagement	ቆፀራ
engage	ምስታፍ
engineer	መሃንዲስ
engine	ሞተር
English	ኢንግሊሽ
enhance	ኣግዝፍ
enjoy	ኣስተማቅር
enormous	ብዙሕ
enough	እኹል
ensure	ኣረጋግፅ
entertainment	ምዝንጋዕ
enter	ኣእትው
enthusiasm	ህጸጽ
enthusiastic	ናይ ተቀባልነት ስምዒት
entire	ጠቅላላ
entitled	ይግበኦ
entity	ኣካል
entrance	መእተዊ
entrepreneur	ስራሕ ፈጣሪ
envelope	መዐሸጊ
environment	ከባቢ
envy	ቅንኢ
epic	ደስ በሃሊ
epidemic	ለብዒ
equal	ማዕረ
equipment	መሳርሒ
equity	መዓርነት
equivalent	ዝመዓራረ
eraser	መጥፍኢ
error	ስሕተት
escape	ምምላጥ
especially	ብፍላይ
essay	ድርሰት
essence	ንፍዕቲ
essential	ኣገዳሲ
established	ዝተመስረተ
establish	መስርት
estate	ንብረት
estimated	ይግመት
estimate	ግምት
etc	ወዘተ
eternal	ቀፃሊ
ethics	ስነ-ምግባር
evaluate	ገምግም
evaluation	ግምገማ
evening	ምሸት
even though	ዋላኳ ተኾነ
eventually	ብኽይዲ
event	ዝግጅት
even	ሙሉእ
everybody	ኩሉ ሰብ
everyone	ኩሉሰብ
everything	ኩሉ ነገር
every	ኩሉ
ever	ብስሩ
evidence	ማስረጃ
evil	ሰይጣን
evolution	ደፋእታዊ ለውጢ
evolve	መፂኡ
Ewe	እወ
exactly	ብልክዕ
exact	ብልክዕ
examine	ምምርማር
example	ኣብነት
exam	ፈተና
exceed	ምብላጽ
excellent	ንኡድ
exception	ዝተፈለየ
except	ብዘይካ
excessive	መጠኑ ዝሓለፈ
excess	ትርፊ
exchange	ልውውጥ
excited	ምህንጣይ
excitement	ሓጎስ
exciting	ባህ ዘብል
exclusive	ንበይኑ
excuse me	ይቅርታ ይግበሩለይ
excuse	ምኽኒት
execute	ስራሕ
execution	ቕትለት
executive	ኣካያዲ ስራሕ
exercise	ልምምድ
exhausted	ዝተዳኸመ
exhaust	ድኻም
exhibition	ምርኢት
exhibit	ምርኢት
existence	ህላወ
existing	ነባር
exist	ምህላው
exit	መውፅኢ
expand	ምስፍሕፋሕ
expected	ዝፅበ
expect	ምፅባይ
expenses	ወፃእታት
expensive	ክባር
experience	ተሞክሮ
experiment	ቤተ-ፈተነ
expert	ክኢላ
expired	ኣገልግሎቱ ዝወደአ
explain	ግለፅ
explanation	መግለጺ
exploit	ኣማዕበለ
explore	ዳህሰሳ
export	ናብ ደገ ምልኣኽ
exposed	ዝተቓለዐ
expose	ምቅላዕ
exposure	ተቃላዕነት
expression	ኣገላልፃ
express	ግለፅ
extended	ተናዊሑ
extend	ኣናውሕ
extension	ብርሕቐት
extent	መጠን
external	ደጋዊ
extinct	ምጥፋእ
extract	ምውጻእ
extraordinary	ዘይተለመደ
extra	ተወሳኺ
extremely	ብዝተጋነነ
extreme	ጫፍ
ex	ዝነበረ
eyes	ኣዒንቲ
eye	ዓይኒ
fabric	ጨርቂ
fabulous	ድንቂ
face	ገጽ
facilitate	ምቅልጣፍ
facilities	ትካላት
facility	መገልገሊ
factory	ፋብሪካ
factor	ረቛሒ
facts	ሓቅታት
fact	ሓቂ
fade	ሃሳስ
failed	ወዲቑ
failure	ውድቀት
fail	ምውዳቕ
faint	ድኹም
fairly	ፍትሓዊ
fairy	ፅውፅዋይ
fair	ፍትሓዊ
faithful	ተኣማኒ
faith	እምነት
fake	ናይ ሓሶት
fall	ምውዳቅ
false	ሓሶት
fame	ፍሉጥ
familiar	ልሙድ
family	ስድራ
famine	ጥሜት
famous	ተፈላጢ
fancy	ተበሃጊ
fantastic	መደነቒ
fan	ኣድናቂ
farewell	ምስንባት
farmer	ሓረስታይ
farm	ምሕራስ
far	ርሑቅ
fascinating	መሳጢ
fashion	ፋሽን
fast	ቅልጡፍ
fatal	ቀታሊ
fate	ዕፃ ፋንታ
father	ኣቦ
fatigue	ድኻም
fat	ረጒድ
fault	ጥፍኣት
favorite	ዝፍተው
favourite	ባህጊ
favour	ፍትወት
fear	ፍርሒ
feast	ውራይ
feather	ክታብ
features	መለለይታት
feature	መለለዩ
february	ለካቲት
fed up	ዘይሕጉስ
feedback	ርእይቶ
feed	ምምጋብ
feeling	ስምዒት
feel	ምስማዕ
feet	እግሪ
fee	ክፍሊት
fellow	ተኸታሊ
fell	መፍርሒ
felt	ተሰሚዑኒ
female	ኣንስተይቲ
fence	ሓጹር
fertile	ልሙዕ
festival	በዓል
fetch	ኣምፅአ
fever	ረስኒ
fewer	ዝወሓደ
few	ቁሩብ
fiance	ሕፅይቱ
fiction	ልበ ወለድ
field	ሜዳ
fierce	ጨካን
fifteen	ዓሰርተ ሓሙሽተ
fifty	ሓምሳ
fighting	ባእሲ
fight	ባእሲ
figure out	ምምዕርራይ
figure	ስእሊ
file	መዝገብ
filled	ዝመለአ
fill	ምላእ
film	ፊልሚ
filthy	ረሳሕ
finally	ኣብ መወዳእታ
finance	ምምሕዳር ገንዘብ
financial	ፋይናንሳዊ
find out	ምድላይ
find	ርኸብ
fine	ደሓን
finger	ኣፃብዕቲ
finished	ዝተወደአ
finish	ወደአ
fire	ሓዊ
firm	ትካል
first name	ናይ መጀመርታ ሽም
first	መጀመርታ
fish	ዓሳ
fit	ድልዱል
five	ሓሙሽተ
fixed	ዕሩይ
fix	ዓዕሪ
flag	ባንዴራ
flash	ብልጭታ
flat	ሰጣሕ
flawless	ጉድለት ዘይብሉ
flaw	ጉድለት
flee	ምህዳም
flesh	ስጋ
flew	ነፋሪት
flexible	ተቐያያሪ
flex	ምትዕፅፃፍ
flight	በረራ
flip	መንገብገብ
flirting	ምኩሻም
flirt	ምሕፋር
float	ምንስፋፍ
flood	ዋሕዚ
floor	መሬት
flour	ሕሩጭ
flower	ዕንበባ
flow	ዋሕዚ
fluently	ብውሕሉል መንገዲ
fluent	ቅልጡፍ
fluffy	ጭላንጭል
fluid	ፈሳሲ
flu	ሰዓል
fly	ንፈር
focus	ቀልቢ ምግባር
foggy	ግመ ዝመለኦ
fog	ግመ
fold	ምዕጻፍ
folks	ሰባት
following	ምኽታል
follow up	ክትትል
follow	ተኸተል
food	ምግቢ
foolish	ዓሻ
fool	ዓሻ
football	እግሪ ኩዕሶ
foot	እግሪ
forbidden	ክልኩል
force	ሓይሊ
forecast	ትንበያ
forehead	ግንባር
foreign	ናይ ወፃእ
forest	ጭካ
forever	ንኹሉ ግዜ
For example	ንኣብነት
forget	ረስዕ
forgive	ይቕረ በል
forgot	ምርሳዕ
for instance	ንኣብነት
fork	ፋርኬታ
formal	ስሩዕ
former	ናይ ቀደም
form	ፎርም
fortunately	እቲ ዘሕጉስ ነገር
fortune	ሃፍቲ
forty-two	ኣርብዓን ክልተን
forty	ኣርብዓ
forward	ንቅድሚት
for you	ንዓኻ
for	ን
foster	መዕበዪ
fought	ተባኣሰ
foundation	መሰረት
found	ተረኺቡ
fourteen	ዓሰርተ ኣርባዕተ
four	ዓርባዕተ
fox	ቡኻርያ
fragile	ተሰባሪ
framework	ምስሊ
frame	መቓን
fraud	ምጭብርባር
freak	ድንጋጸ
freedom	ነፃነት
freeze	መዝሓሊ
free	ነፃ
frequency	ድግግም
frequently	ብተደጋጋሚ
frequent	ብተደጋጋሚ
fresh	ሕዱሽ
friday	ዓርቢ
fridge	ፍሪጅ
friendly	ምቕሉል
friendship	ምሕዝነት
friends	ኣዕርኽቲ
friend	ዓርኪ
frightened	ምፍራሕ
frightening	መፍርሒ
frog	ጭንቁራዕ
from	ካብ
front	ቅድሚት
frozen	ዝዘሓለ
fruit	ፍረ
frustrated	ከልከለ
fuel	ነዳዲ
Fulfulde	ፉልፉልደ
full	ሙሉእ
function	ተግባር
fundamental	መሰረታዊ
funeral	ቀብሪ
funny	መስሓቄን
fun	ፃውቲ
furious	ቑጠዐ
furniture	ናይ ገዛ ኣቕሓ
furthermore	ካብዚ ተወሳኺ
further	ርሑቅ
fur	ዲኖ
future	መፃእ
gain	ርኸብ
game	ጸወታ
gap	ክፍተት
garage	ጋራጅ
garbage	ጉሓፍ
garden	ስፍራ ኣትክልቲ
garlic	ጻዕዳ ሽጉርቲ
gate	ኣፍደገ
gathering	ምእካብ
gather	ምእካብ
gauge	መለክዒ
gave	ሂቡ
gear	ማርሺ
gender	ፆታ
generally	ብሓፈሻ
general	ሓፈሻዊ
generate	ምምንጫው
generation	ወለዶ
generous	የዋህ
genius	በሊሕ
genre	ወግዒ
gentle	ሕያዋይ
genuine	ቅኑዕ
gesture	ኣካላዊ ምንቅስቓስ
get dressed	ምኽዳን
getting	ምርካብ
get up	ተሰአ
get well soon	ቐልጢፉ ክሕሸካ
get well soon	ኪ ይምነ
get	ምርካብ
ghosting	ብዘይ ምክንያት ምግዳፍ
ghost	መንፈስ
giant	ዓብዪ
gift	ውህብቶ
ginger	ዝንጅብል
girlfriend	ናይ ፍቕሪ መሓዛ ጓል
girl	ጓል
given	ዝተወሃበ
give up	ተስፋ ቁረፅ
give	ሃብ
glad	ሕጉስ
glance	ዓይኒ
glasses	መስታወታት
glass	ብርጭቆ
glimpse	ቈላሕታ
global	ዓለምለኻዊ
gloomy	ጸልማት
gloves	ጓንትታት
glow up	ምምሕያሽ
glow	ብርሃን
glue	መጣበቒ
go ahead	ንቕድሚት ኪድ
goals	ዓላማታት
goal	ሽቶ
goat	ጤል
go away	ምርሓቕ
god bless you	ኣምላኽ ይምሓርካ
god	ፈጣሪ
goes	ይኸድ
going to	ናብ ምኻድ
going	ከያዲ
gold	ወርቂ
gone	ከይዱ
gonna	ምኻድ
good afternoon	ከመይ ውዒሎም
goodbye	ሰላም ኩን
good bye	ደሓን ኩን
good day	ብሩኽ መዓልቲ
good evening	ከመይ ኣምሽዮም
good job	ፅቡቕ ስራሕ
good looking	መልክዐኛ
good luck	ፅቡቕ ዕድል
good morning my love	ከመይ ሓዲርኪ ፍቕረይ
good morning	ከመይ ሓዲርኩም
good night	ልዋም ለይቲ
goodnight	ደሓን ሕደር
goods	ኣቕሑ
good	ፅቡቅ
Google Translate	ትርጉም ጉጉል
Google	ጉግል
goose	ዝይ
goo	ጉድ
gorgeous	ምልክዕቲ
gossip	ሕሜት
got it	ተረዲእኒ
go to bed	ደቅስ
got	ኣለኒ
government	መንግስቲ
go	ኪድ
grab	ሓዝ
grade	ክፍሊ
gradually	ብኸይዲ
graduate	ምሩቕ
grain	እኽሊ
granted	ተዋሂቡ
grant	ምውሃብ
grapes	ወይን
grasp	ሓዝ
grass	ሳዕሪ
grateful	ዘመስግን
gratitude	ፅቡቅ ትምኒት
grave	መቓብር
gray	ግራጫ
great	ምዑዝ
greedy	ስሱዕ
greed	ኽሕደት
green	ቆፅለዋይ
greetings	ሰላምታ
greeting	ሰላምታ
greet	ሰላም
grey	ሓሙዂሽቲ ሕብሪ
grid	መስመር
grief	ሓዘን
grind	ምጥሓን
grip	ኣጽኒዕኻ ምሓዝ
grocery	ግሮሰሪ
groom	መርዓዊ
gross	ስዲ
ground	ምድሪ
group	ጉጅለ
growth	ዕቤት
grow	ዕበ
grumpy	ሓባጥ ጎባጥ
Guarani	ጉራኒ
guarantee	ውሕስና
guard	ሓላዊ
guess	ገምት
guest	ጋሻ
guidance	ሓጋዚ
guide	ሓጋዚ
guilty	ጥፍኣተኛ
guys	ኣጉባዝ
guy	ወዲ
gym	ጂም
habitat	መንበሪ
habit	ልምዲ
had	ዝነበረ
hail	በረድ
hair	ፀጉሪ
half	ፍርቂ
hall	ኣዳራሽ
handle	ኣካይድ
handsome	ምልኩዕ
hand	ኢድ
hang out	ሓቢርካ ግዜ ምሕላፍ
hang	ኣወዳድቓ
happened	ተፈጢሩ
happen	ይኽሰት
happiness	ሓጎስ
happy birthday to you	ርሑስ መዓልቲ ውልደት  ንዓኻ
happy birthday	እንኳዕ ተወለድካ
happy new year	ርሑስ ሓዱሽ ዓመት
happy	ሕጉስ
hardly ever	ፈፂሙ ኣይፈልጥን
hardly	ዳርጋ
hard	ከቢድ
harmful	ጎዳኢ
harmony	ስኒት
harm	ጉድኣት
harsh	ዘይምቹ
harvest	ዓጺድ
has	ኣለዎ
hate	ፅልኢ
have a good day	ብሩኽ መዓልቲ ይግበረልካ
have a nice day	ብሩኽ መዓልቲ
have breakfast	ቁርሲ ብላዕ
have fun	ንቐልድ
have you eaten	በሊዕኻ ዶ
have	ኣለኒ
having	ምህላው
hazard	ሓደጋ
haze	ፈኲስ ግመ
headache	ሕማም ርእሲ
head	ርእሲ
healing	ፈውሲ
healthy	ጥዑይ
health	ጥዕና
heal	ሕወ
heard	ሰሚዐ
heart	ልቢ
hear	ስማዕ
heat	ሙቀት
heaven	ገነት
heavy	ከቢድ
hectic	ሃውሃውታ ዝመልኦ
he has	ኣለዎ
height	ቁመት
heir	ወራሲ
heist	ስርቂ
he is	ንሱ እዩ
held	ተገይሩ
hello dear	ሰላም ክብርቲ
hello how are you doing	ሰላም ከመይ ኣለኻ
hello how are you	ሰላም ከመይ ኣለኻ
Hello	ሰላም
hell	ገሃነም
helmet	ቆቢዕ
helpful	ጠቓሚ
help	ሓገዝ
hence	በዚ ምኽንያት
herd	መጓሰ
here	ኣብዚ
heritage	ቅርሲ
her	ንሳ
hesitate	ተጠራጠረ
Hey	ሰላም
he	ንሱ
hidden	ሕቡእ
hide	ተሓባእ
hierarchy	መራሕቲ ሃይማኖት
highlight	ዝበለፀ ክፋል
high	ላዕሊ
hi how are you	ሰላም ከመይ ኣለኻ
hike	ጉዕዞ
hiking	ምሕዃር
hilarious	መስሓቄን
hill	ኮረብታ
him	ንሱ
hint	ኣንፈት
hips	ምሕኹልቲ
hip	ሽንጢ
hire	ቁፀር
hiring	ውዕለት
history	ታሪኽ
his	ናቱ
Hi there	ሰላም
hit	በሎ
Hi	ሰላም
Hmm	እእ
hobby	መሕለፊ ግዜ
hold on	ጽንሕ ምባል
hold	ሓዝ
hole	ነዃል
holiday	በዓል
hollow	ባዶ ቦታ
homework	ዕዮ ገዛ
home	ገዛ
honestly	ብቕንዕና
honest	ሓቀኛ
Honey	መዓር
honor	ኽብሪ
hood	ቆቢዕ
hook	መፈንጠሪ
hopefully	ብተስፋ
hopeless	ተስፋ ዘይብሉ
hope	ተስፋ
hop	ሆፕ
horizontal	ንጋድም
horn	ጥሩምባ
horrible	ዘስካሕኽሕ
horror	ራዕዲ
horse	ፈረስ
hospitality	እንግዶት
hospital	ሆስፒታል
hostile	ተጻባኢ
host	መዳለዊ
hotel	ሆቴል
hot	ምዉቅ
hours	ሰዓታት
hour	ሰዓት
household	ስድራ ቤት
house	ገዛ
how about you	ከመይ ኣለኻ
how are you doing today	ሎመዓንቲ ከመይ ኣለኻ
how are you doing	ከመይ አለኻ
how are you today	ሎምዓንቲ ከመይ ኣለኻ
how are you	ከመይ አለካ
how do you do	ከመይ ትኸውን ኣለኻ
however	ዋላኳ ተኾነ
how is	ከመይ ኣሎ
how many	ክንደይ
how much	ክንደይ
how often	ክንደይ ሽዕ
how old are you	ክንደይ ዓመትካ እዩ
how was your day	መዓልትኻ ከመይ ነይሩ
how was your night	ሕድሮ ከመይ ነይሩ
how	ከመይ
hubby	ፅቡቕ ሰብኣይ
hub	ሕምብርቲ
huge	ዓብይ
hug	ምሕቋፍ
human	ሰብ
humble	ትሑት
humidity	ጠሊ
humid	ዳህሪ
hundred	ሚእቲ
hungry	ዝጠመየ
hunt	ምህዳን
hurricane	ህቦብላ ንፋስ
hurry up	ቀልጥፍ
hurry	ቀልጥፍ
hurt	ጉዳእ
husband	በዓል ገዛ
hustle	ተጓየ
hut	ኣጉዶ
hygiene	ፅሬት
I am fine	ኣነ ደሓን እየ
I am	ኣነ እየ
I can't	ኣይክእልን
I can	ይኽእል እየ
ice cream	ጆላተ
ice	በረድ
ideal	ተስማዕማዒ
idea	ሓሳብ
identical	ቀንጪ
identify	ኣለሊ
identity	መንነት
idiot	ደንቆሮ
idle	ስራሕ
I do not know	ኣይፈልጥን
I do not understand	ኣይተረደኣንን
I don't know	ኣይፈልጥን
I don’t know	ኣይፈልጥን
I don't understand what you mean	እንታይ ከምትብል ኣይተረደኣንን
I don't understand you	ክርደኣካ ኣይኸኣልኩን
I don't understand	አይተረደኣንን
I don’t understand	ኣይተረድኣንን
I don't	ኣነ ኣይገብርን
I do	ይስማዕማዕ
if	እንተ
ignore	ምዕፃው
i guess	ይግምት
I had	ነይሩኒ
I have been	ከምኡ እየ ገይረ
I have	ኣለኒ
I hope so	ተስፋ ይገብር
I know	ይፈልጥ
I like you	ተመቺካኒ
I like	ኣነ ይፎቱ
illegal	ዘይሕጋዊ
illness	ሕማም
ill	ሕሙም
Ilocano	ኢሎካኖ
I love my big brother	ንዓቢ ሓወይ ብጣዕሚ እየ ዝዘፍቅሮ
I love my big sister	ንዓባይ ሓፍተይ ብጣዕሚ እየ ዘፍቅራ
I love my father	ነቦይ ብጣዕሚ እየ ዘፍቅሮ
I love my little brother	ንንእሽተይ ሓወይ ብጣዕሚ እየ ዘፍቅሮ
I love my little sister	ንንእሽተይ ሓፍተይ ብጣዕሚ እየ ዘፍቅራ
I love my mother	ነደይ ብጣዕሚ እየ ዘፍቅራ
I love you so much	ብጣዕሚ እየ ዘፍቅረኪ
I love you too	ኣነ እውን የፍቅረካ
I love you too	ኪ እየ
I love you	የፍቅረኪ እየ
I love	የፍቅር
image	ስእሊ
imagine	ኢልካ ሕሰብ
I mean	ማለተይ
I'm fine	ደሓን እየ
I'm good	ደሓን እየ
I'm here	ኣብዚ ኣለኹ
I miss you so much	ብጣዕሚ ናፊቐካ
I miss you so much	ኪ
I miss you	ናፊቀኪ
immediately	ብቀጥታ
immediate	ሽዕ ንሻዕ
immense	ዓብዪ
impact	ፅልዋ
impatient	ትዕግስቲ ኣልቦ
implement	ኣተግብር
important	ጠቃሚ
import	ናብ ዓዲ ውሽጢ ኣቕሓ ምእታው
impose	ፀዓነ
impossible	ዘይክኣል
impression	ግንዛበ
impressive	ዘደምም
impress	መሳጢ
improvement	ምምሕያሽ
improve	አማዕብል
I'm sorry	ይሓዝን
I'm	አነ እየ
I’m	ኣነ
in addition	ብተወሳኺ
inappropriate	ዘይግቡእ
incentive	መተባብዒ
incident	ፍጻመ
include	ይሓውስ
including	ይሓውስ
income	ኣታዊ
inconvenience	ዘይምችው
increased	ወሰኽ
increase	ወስኽ
incredible	ዘይእመን
indeed	ብርግፀኝነት
independent	ዓርሱ ዝኸኣለ
India	ህንዲ
indicate	ምምልካት
indigenous	ዘይእሩም
individual	ውልቀ ሰብ
industry	ኢንዱስትሪ
inevitable	ዘይተርፍ
In fact	ብሓቂ
infant	ህፃን
infection	ረኽሲ
infinity	ደረት ኣልቦነት
inflammation	ምቅፃል
inflation	ናይ ዋጋ ንህረት
influence	ተፅዕኖ
information	ሓበሬታ
inform	ምሕባር
in front of	ኣብ ቅድሚት
ingredients	ንጥረ ነገራት
inheritance	ውርሲ
initial	መጀመሪ
initiative	መለዓዓሊ
injured	ዝተጎደአ
injury	ጉድኣት
innocent	ንፁህ
innovation	ፈጠራ
in order to	ከምኡ ንምግባር
inquiry	ምሕታት
insane	ዕቡድ
insect	ሓሰኻ
insecure	ድሕንነቱ ዘይተሓለወ
insert	ኣእትው
inside	ኣብ ውሽጢ
insight	ዓሚቊ ምስትውዓል
insist	ጸቕጢ ምግባር
insomnia	ስእነት ድቃስ
inspiration	ምልዕዓል
inspire	ምልዕዓል
install	ምግጣም
instance	ኣብነት
instant	ብቕጽበት
instead of	ከክንዲ
instead	ከክንዲ
instructions	መምርሕታት
instrument	መሳርሒ
insult	ምጽራፍ
insurance	መድሕን
intact	ዘይተተንከፈ
integrity	ተኣማንነት
intellectual	ምሁራዊ
intelligence	ምስትውዓል
intelligent	ራእሳን
intended	ዝተዳለወ
intend	ትልሚ
intense	ጽዑቕ
intention	ሓሳብ
interaction	ምትሕብባር
interact	ተፅዕኖ ምሕዳር
interested	ዝደሊ
interesting	ዝፍቶ
interest	ወለድ
interfere	ጣልቃ ምእታው
intermediate	ማእኸላይ
internal	ውሽጣዊ
international	ዓለም ለኻዊ
internship	ልምምድ
interpreter	ተርጓሚ
interpret	ምትርጓም
interrupt	ምቁራጽ
interview	ቓለ መሕተት
intimate	ብቕርበት
into	ናብ ውሽጢ
introduce	ኣፋልጥ
introduction	መእተዊ
introvert	ሓፋር
intuition	ልቦና
invalid	ዘይትኽክል
inventory	ዝርዝር
invent	ምምሃዝ
investigate	መርምር
invest	ወፍሪ
invitation	ዕድመ
invite	ምዕዳም
invoice	ክፍሊት
involved	ዝተኻተተ
involve	ምስታፍ
in	አብ ውሽጢ
iron	ሓፂን
I see	ይርኢ
island	ደሴት
isolated	ዝተገለለ
issues	ፀገማት
issue	ፀገም
is	እዩ
items	ኣቕሑ
item	ኣቕሓ
I think	ኣነ ዝመስለኒ
it is	እቲ ነገር እዩ
It's okay	ጸገም የብሉን
it's ok	ፀገም የብሉን
its	ናቱ
it's	እዩ
it was	ነይሩ
it	እቲ ነገር
I understand	ተረዲኡኒ
I want to see you	ክሪአካ ይደሊ እየ
I want you	ይደልየካ እየ
I want	ኣነ ይደሊ
I was	ኣነ ኣብ ሕሉፍ
I will	ኣነ ንመፃኢ
I would be	መዀንኩ ነይረ
I	ኣነ
jacket	ጃኬት
jail	ቤት ማእሰርቲ
January	ጥሪ
jar	ኩባያ
jaw	ምንጋጋ
jealous	ምንቀኛ
jerk	ዓሻ
jewelry	መጋየፂ
job	ስራሕ
jogging	ምጉያይ
joint	መጋጥም
join	ተሓወስ
joke	ቀልዲ
journalist	ጋዜጠኛ
journey	መንገዲ
joy	ሓጎስ
judge	ዳኛ
juice	ጽሟቕ
july	ሓምለ
jump	ምዝላል
june	ሰነ
junk	ዘይረብሕ ነገር
just do it	ግበሮ ጥራሕ
justice	ፍትሒ
justify	ኣረጋግፅ
just	ጥራሕ
Kalaallisut	ካላሊሱት
keen	ህንጡይ
keep it up	ቀፅለሉ
keep	ኣፅንሕ
kept	ዝተዓቀበ
kettle	በራድ
key	መፍትሕ
kick	ምቕላዕ
kidding	ቀልዲ
kidney	ኹሊት
kids	ህፃውንቲ
kid	ህፃን
kill	ምቕታል
kinda	ዓይነት
kindly	ብለውሃት
kindness	ለዋሃነት
kind	ርህሩህ
king	ንጉስ
kiss	ምስዓም
kitchen	ኽሽነ
kite	ካይት
kitten	ድሙ
knee	ብርኪ
knew	ፈለጠ
knife	ካራ
knight	ፈረሰኛ
knowledge	ፍልጠት
known	ፍሉጥ
know	ፍለጥ
Konkani	ኮንካኒ
Krio	ኪሮ
label	መፍለዪ
labor	ናይ ጉልበት ስራሕ
labour	ናይ ጉልበት ስራሕ
lack	ዋሕዲ
ladder	መሳልል
lady	ጓል
laid	ዝደቀሰ
lake	ቃላይ
lamb	ውላድ በጊዕ
lame	ሓንካስ
lamp	መብራህቲ
landscape	ኣቀማምጣ መሬት
land	መሬት
language	ቋንቋ
lap	ሕቑፊ
large	ገዚፍ
last but not least	ናይ መወዳእታ ግናኸ ዘይንእሽተይ
last name	ናይ መወዳእታ ሽም
last	መጨረሻ
lately	ዝንጉዕ
later	ዳሕራይ
latest	ናይ ቀረባ እዋን
late	ረፋድ
latter	ጸኒሑ
laughing	ሰሓቕ
laughter	ሰሓቅ
laugh	ሰሓቅ
launch	ኣወንጭፍ
laundry	ቤት ሕጽቦ
lawn	ሳዕሪ
lawyer	ጠበቃ
law	ሕጊ
layer	ሽፋን
layout	ንድፊ
lay	ምውዳቕ
lazy	ሰነፍ
leader	መራሒ
lead	ምራሕ
leaf	ቆጽሊ
leak	መልሐዂ
lean	ምግዳም
leap	ምዝላል
learning	ምምሃር
learn	ተመሃር
lease	ክራይ
least	ዝነኣሰ
leather	ክታብ
leaves	ኣቑጽልቲ
leave	ውፃእ
led	መረሐ
left	ፀጋም
legacy	መምርሕ
legal	ሕጋዊ
legend	ኣፈ ታሪኽ
legit	ሕጋዊ
leg	እግሪ
leisure	ትርፊ
lend	ምልቃሕ
length	ንውሓት
lesson	ትምህቲ
less	ዝወሓደ
letter	ደብዳበ
lettuce	ሰላጣ
let	ይኹን
level	ብርኪ
leverage	ኣብ ረብሓ ምውዓል
liability	ተሓታትነት
library	ቤተ ንባበ
lick	ምልሓስ
lies	ኣደቓቕሳ
lie	ሓሶት
life	ህይወት
lift	ምልዓል
lightning	በርቂ
light	ብርሃን
likely	ምናልባት
likewise	ከምኡውን
like	ምፍታው
line	መስመር
Lingala	ሊንጋላ
link	ሊንክ
lion	ኣንበሳ
liquid	ፈሳሲ
listening	ምድማፅ
listen	ስማዕ
list	ዝርዝር
literally	ቃል ብቃል
literature	ስነ ጽሑፍ
litter	ጎሓፍ
little	ንእሽተይ
liver	ኩሊት
lives	ይነብር
live	ንበር
living room	መንበሪ ክፍሊ
living	ምንባር
lizard	ጠበቕ
load	ጽዕነት
loaf	እንጀራ
loan	ልቃሕ
local	ወሽጣዊ
location	ኣንፈት
lockdown	ምዕጻው
lock	መሸጎር
log	መዝገብ
lol	ከት ከት ሰሓቅ
lonely	ብቸኛ
long time no see	ካብ ዘይንራኸብ ብዙሕ ገይርና
long	ነዊሕ
look	ረአ
loop	ዓንኬል
loose	ልሕሉሕ
lord	ኣምላኽ
lose	ምስኣን
loss	ምስኣን
lost	ዝጠፈአ
lot	ብዙሕ
loud	ዓው
lounge	ላውንጅ
lovely	ተፈቃሪ
love you	የፍቅረኪ
love	ፍቅሪ
lower	ታሕተዋይ
low	ውሑድ
loyalty	ተኣማንነት
loyal	እሙን
lucky	ዕድለኛ
luck	ዕድል
Luganda	ሉጋንዳ
luggage	ሻንጣታት
lump	ጉንዲ
lunch	ምሳሕ
lungs	ሳንባታት
luxury	ክባር
lying	ዝሕሱ
machine	ማሽን
madam	እመቤት
made	ዝተሰርሐ
mad	ዕቡድ
magazine	ጋዜጣ
magnificent	ዘድንቕ
maid	ኣገልጋሊት
maintain	ምዕቃብ
maintenance	ፅገና
main	ዋና
Maithili	ማይቲቲ
majority	መብዛሕትኡ
major	ዋና
make up	ዝተሰረሐ
make	ስራሕ
male	ተባዕታይ
mall	ዕዳጋ
management	ምሕደራ
manager	ተቆፃፃሪ
manage	ኣተሓሕዛ
mandatory	ወሳኒ
manifest	ግሁድ
manipulate	ተቖፃፀረ
manner	ጉዳይ
manual	ናይ ኢድ
many many happy returns of the day	ብጣዕሚ ሕጉስ መዓልቲ ይግበረልካ
many	ቡዙሕ
man	ሰብኣይ
march	መጋቢት
margin	ወሰን
market	ዕዳጋ
marriage	መርዓ
married	ምርዕው
mask	መሸፈኒ
massive	ዓብዪ
mass	መጠን ኣካል
master	ተምሃረ
match	ግጥም
material	ናውቲ
mate	መሓዛ
math	ሒሳብ
matter	ነገር
maturity	ብስለት
maybe	ምናልባት
may	ተዝኸዉን
meal	ምግቢ
meaning	ትርጉም
means	ማለት
meant	ናይ ብሓቂ
meanwhile	ክሳብ ሽዑ
mean	ማለት
measures	ይዕቅን
measure	ለክዕ
meat	ስጋ
medical	ሕክምና
medicine	መድሓኒት
meditation	ምስትንታን
medium	ማእኸላይ
meeting	ኣኼባ
meet	ርኸብ
Meiteilon	ሜተሊዮን
melt	ምምካኽ
memories	ተዘክሮታት
memory	ተዘክሮ
mental	ስነ ኣእምሮኣዊ
mentioned	ተጸሪሑ
mention	ጥቀስ
mentor	መኻሪ
merchant	ነጋዳይ
mercy	ምሕረት
merely	ጥራሕ
merry christmas	ርሑስ ልደት
message	መልእኽቲ
