тӀэкӀу	a little
щӀэхъуэпсын	desire
хъуапсэныгъэ	desire
Ӏэнэ	desk
гужьеигъуэ	despair
Ӏэмалыншэ	desperate
абы емылъу	despite
шхыныгъуэ ӀэфӀ	dessert
здызэхуэзэн щӀыпӀэ	destination
насып	destiny
ӀуэхузэхэлъыкӀэ	destiny
гъэкӀуэдын	destroy
зэтекъутэныгъэ	destruction
пкъырыпкъ	detail
зэпкърыхауэ щытыныгъэ	details
къэгъуэтыжын	detect
тегушхуэныгъэ	determination
къыхэгъэкӀын	determine
хъыжьэ	determined
мылъкуншэ ящӀа	devastated
шэщӀын	develop
зызыужьа	developed
зегъэужьын	development
зэхэтыкӀэ	device
шейтӀан	devil
пэж	devoted
Дивехэ	Dhivehi
диабет	diabetes
фошыгъууз	diabetes
ныбажэ	diarrhea
махуэрытх	diary
дневник	diary
псалъалъэ	dictionary
сщӀащ	did
лӀэн	die
лӀащ	died
диетэ	diet
зэщхьэщыкӀыныгъэ	difference
нэгъуэщӀ	different
гугъу	difficult
къэтӀын	dig
фӀагъ	dignity
жыӀэдаӀуэ	diligent
пщыхьэщхьашхэ	dinner
щӀэгъэмбырыуэн	dip
хэщӀэн	dip
захуэ	direct
гъэкӀуэныгъэ	direction
режиссер	director
ятӀэ	dirt
фӀей	dirt
фӀей	dirty
къичын	disable
гъэункӀыфӀын	disable
Ӏучын	disable
ныкъуэдыкъуэ	disabled
кӀуэдын	disappear
зэщыгъэуа	disappointed
насыпыншагъэ	disaster
хыфӀэдзэн	discard
къыхэгъэщын	discharge
къыхэгъэщхьэхукӀын	discharge
дисциплинэ	discipline
кӀэрыгъэхуныгъэ	discount
техын	discover
зэхэгъэжыныгъэ	discrimination
тепсэлъыхьын	discuss
тепсэлъыхьыныгъэ	discussion
уз хэхын	disease
узхэр	diseases
зыщӀэхъумэныгъэ	disguise
гущыкӀыгъуэ	disgusting
шхыныгъуэ	dish
хьэкъущыкъу	dishes
мыдэн	dismiss
егъэхьыныгъэ	dispatch
къызытещын	display
етӀуанэу къэгъэсэбэпыныгъэ	disposal
зэдауэ	dispute
зэхуаку	distance
зэхэщӀыкӀыгъуафӀэ	distinct
зэмыщхьу хэлъыр зыхэгъэкӀын	distinguish
къулейсызыгъэ хьэлъэ	distress
тегуэшэныгъэ	distribution
зэхэщӀыкӀыгъуафӀэ	district
гъэгузэвэн	disturb
зэран хъун	disturb
кӀэнауэ	ditch
зыщӀэгъэмбрыуэн	dive
зэмылӀэужьыгъуэ	diverse
зэмылӀэужьыгъуэ	diversity
зэкӀэщӀэхын	divide
тхьэпэлъытэ	divine
зэбгъэдэкӀыжын	divorce
зэбгъэдэкӀыжыныгъэ	divorce
щхьэр мэуназэ	dizzy
щӀэн	do
уэ	do you
уэ фӀыуэ сыболъагъу	do you love me
уэ фӀыуэ сыплъагъурэ	do you love me
дохутыр	doctor
щыхьэт тхылъ	document
ещӀэ	does
къым	doesn't
хьэ	dog
Догрэ	Dogri
ещӀэ	doing
гуащэ	doll
иӀэныгъэ	domain
унагъуэ	domestic
ебэкӀ	dominant
хуейкъым	don't
Умыгузавэ	Don't worry
тэн	donate
хьэзырщ	done
шыд	donkey
афиян	dope
тӀукӀэ гъэбэгъуэн	double
зэтӀолъхуэныкъуэ	double
шэч	doubt
шэч къытехьэн	doubt
тхьэв	dough
хупцӀынэ	dough
лъабжьэ	down
щӀагъ	down
илъхьэн	download
проект гъэхьэзырын	draft
пэрытх	draft
лъэфын	drag
ижыпӀэ	drain
драмэ	drama
сурэт щӀын	draw
ашык	drawer
ӀэкӀэ щӀа сурэт	drawing
сурэт	drawing
шынагъуэ	dread
хъуэпсапӀэ	dream
хъуэпсэн	dream
бостей	dress
щӀэныгъэ	drill
зэфэ гуэр	drink
ефэн	drink
шэн	drive
ткӀуэпс	drop
ӀэщӀэхун	drop
Ӏэпыхуащ	dropped
уэгъу	drought
чэф	drunk
гъущэ	dry
бабыщ	duck
цӀыху	dude
хуэфащэ	due
езэгъ	due
къыхэкӀкӀэ	due to
узыгъэзэш	dull
делэ	dumb
къедзыхын	dump
хыфӀэдзэн	dump
зэрекӀуэкӀыр	duration
а зэманым	during
сабэ	dust
къалэн	duty
щыпсэун	dwell
зи псэ хэкӀыр	dying
лӀэр	dying
дэтхэнэри	each
зыр зым	each other
шыӀэныгъэншэ	eager
бгъэ	eagle
тхьэкӀумэ	ear
ипэӀуэкӀэ	earlier
жьыуэ	early
къэлэжьын	earn
тхьэкӀумэ	ears
щӀы	earth
щӀыхъеиныгъэ	earthquake
тыншыгъэ	ease
псынщӀагъэ	ease
Тынш	easily
къуэкӀыпӀэ	east
тынш	easy
псынщӀэ	easy
шхэн	eat
ерыскъы	eating
шхыныгъуэ	eating
экономическэ	economic
экономикэ	economy
кӀапэ	edge
хэлэжьыжыхьын	edit
зэгъэзэхуэжын	edit
щӀэныгъэ	education
къыщыхъуныгъэ	effect
сэбэп хъу	effective
мыхьэнэуэ хэлъыр	efficiency
сэбэп хъу	efficient
гъэлъэщыныгъэ	effort
джэдыкӀэ	egg
и фэкӀэ морэу и щытыкӀэкӀэ нащэм ещхь хадэхэкӀ	eggplant
баклажан	eggplant
щхьэзыфӀэфӀыныгъэ	ego
и	eight
пщыкӀуий	eighteen
ищӀ	eighty
е	either
гугъу	elaborate
ӀэфракӀэ	elbow
нэхъыжь	elder
тӀорысэ	elderly
зи ныбжь хэкӀуэта	elderly
щӀыкӀафэ	elegant
Ӏыхьэ	element
пыл	elephant
пщыкӀуз	eleven
хуитыныгъэ зиӀэ	eligible
гъэкӀуэдын	eliminate
нэгъуэщӀу	else
укӀыта	embarrassed
мыӀэкӀуэлъакӀуэ	embarrassing
къэщтэн	embrace
къыкъуэкӀын	emerge
пӀащӀэгъуэ	emergency
щхьэрыжэ зыщӀ	emotional
зыхэзыщӀэ	emotional
цӀыхум и гурыгъу-гурыщӀэр дэӀыгъын	empathy
гулъытэ	emphasis
бзэм и щыщӀагъэ	emphasis
къыхэгъэщын	emphasize
къыхэгъэбелджылыкӀын	emphasize
лэжьакӀуэ	employee
лэжьакӀуэ	employees
лэжьапӀэт	employer
лэжьапӀэ уиӀэныгъэ	employment
нэщӀ	empty
щӀэгъэнэн	enable
пежьэн	encounter
гъэгушхуэн	encourage
кӀэух	end
бзэх	endangered
кӀуэд	endangered
гъэлъэщыныгъэ	endeavor
бэшэчагъ	endurance
къыщӀэхын	endure
жагъуэгъу	enemy
къару	energy
хэшэн	engage
яубыда	engaged
зыхущӀэмыхьэ	engaged
хэтыныгъэ	engagement
зезыгъакӀуэ	engine
ухуакӀуэ	engineer
Иджылыбзэ	English
егъэфӀэкӀуэн	enhance
гур хэхъуэн	enjoy
инышхуэ	enormous
ирикъу	enough
зыхуей хуэгъзэн	ensure
хыхьэн	enter
щӀыхьэн	enter
нэгузегъэужьыныгъэ	entertainment
гурэ псэкӀэ Ӏуэхум бгъэдэтын	enthusiasm
дихьэха	enthusiastic
псо	entire
хуитыныгъэ иӀэщ	entitled
купщӀэ	entity
щӀыхьэпӀэ	entrance
хьэрычэтыщӀэ	entrepreneur
письмоулъэ	envelope
къэзыухъуреихь дуней	environment
ефыгъуэн	envy
сабыр	epic
эпическэ	epic
уз зэрыцӀалэм зиубгъуныгъэ	epidemic
эпидемие	epidemic
хуэдэ	equal
къызэгъэпэщын	equipment
зэхуэдэныгъэ	equity
зэпэбж	equivalent
хьэфэтегъэкӀ	eraser
щыуагъэ	error
щӀэпхъуэжыныгъэ	escape
псом хуэмыдэу	especially
сочиненэ	essay
купщӀэ	essence
узыхуэныкъуэ	essential
тегъэувэн	establish
къэгъэхъуа	established
помещикым и ӀэмыщӀэ илъ щӀы	estate
къэлъытэн	estimate
бжа	estimated
нэгъу	etc
мыкӀуэдыж	eternal
зэпымыу	eternal
гъэсэныгъэ	ethics
къэлъытэн	evaluate
оценкэ	evaluation
уеблэмэ	even
пэтми	even though
щхьэкӀэ	even though
пщыхьэщхьэ	evening
къэхъукъащӀэ	event
ипкъ иткӀэ	eventually
сыт щыгъуи	ever
дапщэщи	ever
дэтхэнэри	every
псори	everybody
псори	everyone
псори	everything
щыхьэт	evidence
Ӏей	evil
эволюцэ	evolution
зыужьын	evolve
Эвэ	Ewe
щыта	ex
хуэдэпс	exact
техуэпс	exact
точно	exactly
экзамен	exam
къэпщытэныгъэ	exam
еплъын	examine
щапхъэ	example
щӀегъэгъун	exceed
фӀы дыдэ	excellent
абы нэмыщӀ	except
къыхэдзыныгъэ	exception
лей	excess
егъэлея	excessive
хъуэжыныгъэ	exchange
гузавэ	excited
гузавэ	excitement
узэщӀэзубыдэ	exciting
хэха	exclusive
хей щӀыныгъэ	excuse
щыхьэтлыкъ	excuse
къысхуэгъэгъу	excuse me
гъэзэщӀэн	execute
укӀ	execution
щхьэр пылъэныгъэ	execution
зыгъэзащӀэ	executive
зегъэужьыныгъэ	exercise
зегъэужьын	exercise
къарууншэ щӀын	exhaust
езэша	exhausted
музейм щӀэт хьэпшып	exhibit
гъэлъэгъуэныгъэ	exhibition
гъэлъэгъуапӀэ	exhibition
псэун	exist
щыӀэныгъэ	existence
щыӀэ	existing
къыдэкӀыныгъэ	exit
щӀэкӀыпӀэ	exit
убгъун	expand
ежьэн	expect
зэжьэ	expected
гъэкӀуэдыныгъэ	expenses
лъапӀэ	expensive
зэхэщӀэн	experience
щыгъуазэныгъэ	experience
гъэунэхуныгъэ	experiment
эксперт	expert
Ӏуэхум хэзыщӀыкӀ	expert
зи пӀалъэ блэкӀа	expired
гурыгъэӀуэн	explain
гурыӀуэныгъэ	explanation
гъэпщылӀын	exploit
зыщӀэубыдэжын	exploit
къэпщытакӀуэ	explore
экспорт	export
сату ӀуэхукӀэ къэралым ираш хьэпшыпхэр	export
къызэщӀэгъэстын	expose
Ӏуха	exposed
хэлэжьыхьын	exposure
жыӀэн	express
къикӀын	express
жыӀэкӀэ	expression
пыщэн	extend
убгъуа	extended
гъэӀэбэн	extension
зыдынэсыр	extent
зэрыхъур	extent
теплъэ	external
щымыӀэж	extinct
щӀыгъу	extra
къыхэхын	extract
зыми емыщхь	extraordinary
тегушхуэныгъэ егъэлея зыхэлъ	extreme
мыхьэнэшхуэ зиӀэ	extremely
нэ	eye
нэ	eyes
щэкӀ	fabric
гъуэзэджэ	fabulous
нэкӀу	face
зэпэщӀэуэныгъэ	face
дэгъэпсынщӀэн	facilitate
щӀыпӀэхэр	facilities
объектхэр	facilities
зэхэтыныгъэ	facility
факт	fact
Ӏуэхугъуэ	factor
завод	factory
щыхьэтхэр	facts
ужьыхын	fade
ункӀыфӀын	fade
къемыхъулӀэныгъэ шэчын	fail
къемыхъулӀэныгъэ	fail
къемыхъулӀа	failed
кӀуэцӀрыхун	failure
къарууншэ	faint
нэху	fair
пэж	fair
куэдщ	fairly
тхьэӀухуд	fairy
фӀэщхъуныгъэ	faith
пэж	faithful
нэпцӀ	fake
джэлэн	fall
джэлэныгъэ	fall
пцӀы	false
фӀыщӀэ	fame
цӀыхугъэ	familiar
унагъуэ	family
мэжэлӀэныгъэ	famine
гъаблэ	famine
цӀэрыӀуэ	famous
фӀыуэ къэзылъагъу	fan
жьыху	fan
къызэрымыгуэкӀ	fancy
хьэлэмэт	fantastic
жыжьэ	far
сэлам зэхыжыныгъэ	farewell
псэущхьэхэр щызэрахьэ щӀыпӀэ	farm
бэджэнду зыӀыгъ	farmer
гъэщӀэгъуэн	fascinating
щӀэуэ къежьа	fashion
псынщӀэ	fast
пшэр	fat
лӀэныгъэ зыхэлъ	fatal
тхьэм иухауэ щыт	fatal
насып	fate
ӀуэхузэхэлъыкӀэ	fate
адэ	father
ешын	fatigue
къуаншагъэ	fault
фӀыуэ ялъагъу	favorite
Ӏуэхутхьэбзэ	favour
фӀыуэ ялъагъу	favourite
шынэ	fear
шынэн	fear
ефэ-ешхэ	feast
санэхуафэ	feast
къалэм	feather
къабзий	feather
гъунапкъэ	feature
щӀэгъэнэн	feature
щытыкӀэ	features
зэхэлъыкӀэ	features
мазае	february
тэмакъым щызщ	fed up
пщӀэ	fee
гъэшхэн	feed
пэджэжыныгъэ	feedback
зэхэщӀыкӀын	feel
гухэлъ	feeling
лъэдакъэ	feet
джэлащ	fell
щӀалэ	fellow
цей	felt
шухьэ	felt
бзы	female
бжыхь	fence
гъавэ бэв къыщыкӀ	fertile
фестиваль	festival
къэхьын	fetch
техьэгъуэ	fever
тӀэкӀу	few
нэхъ мащӀэ	fewer
финансхэр	fiance
къэгупсыса	fiction
губгъуэ	field
губжьа	fierce
пщыкӀутху	fifteen
тхущӀ	fifty
зэуэн	fight
зэзауэ	fight
зауэм епха	fighting
лӀыгъэ зыхэлъ	fighting
пкъыгъуэ	figure
къыхэхын	figure
пэжыпӀэр къэщӀэн	figure out
файл	file
итхэн	fill
щӀэз	filled
итха	filled
фэпс	film
пленкэ	film
фэ пӀащӀэ	film
фӀей	filthy
икӀэм икӀэжым	finally
финансхэр	finance
финансэвэ	financial
къэгъуэтын	find
къэщӀэн	find out
тезыр	fine
фӀы	fine
Ӏэпэ	finger
Ӏэпхъуамбэ	finger
кӀэух	finish
кӀэ зэта	finished
уха	finished
мафӀэ	fire
фирмэ	firm
быдэ	firm
япэ	first
цӀэ	first name
бдзэжьей	fish
бгъэдыхьэн	fit
тху	five
зэгъэзэхуэжын	fix
мыхъей	fixed
нып	flag
къэунэхуныгъэ	flash
къэлыдыныгъэ	flash
захуэ	flat
фэтэр	flat
ныкъусаныгъэ	flaw
щыщӀагъэ	flaw
дагъуэншэ	flawless
щӀэпхъуэжын	flee
пкъы	flesh
лъэтат	flew
къэгъэшын	flex
лантӀэ	flexible
лъэтэныгъэ	flight
зэгъэзэнкӀын	flip
зыкъыпегъэхын	flirt
зыкъыпегъэхыныгъэ	flirting
есын	float
псыдзэ	flood
псыкъелъэ	flood
лъэгу	floor
хьэжыгъэ	flour
псы уэр	flow
ежэхын	flow
удз гъэгъа	flower
псчэ Ӏэпкълъэпкъ	flu
щӀэпхъуэжа	fluent
псынщӀэу	fluently
цы щабэ	fluffy
ткӀуаткӀуэ	fluid
лъэтэн	fly
зэхуэхьэсыныгъэ	focus
пшагъуэ	fog
пшагъуэ	foggy
зэгъэлъа	fold
цӀыхухэр	folks
кӀэлъыкӀуэн	follow
кӀэлъыплъын	follow up
къыкӀэлъыкӀуэр	following
шхын	food
делэ	fool
къэгъэпцӀэн	fool
делэ	foolish
лъапэ	foot
лъэгу	foot
топджэгу	football
щхьэ	for
Псалъэм папщӀэ	For example
псалъэм папщӀэ	for instance
уэ щхьэ	for you
зыхуимыт	forbidden
къару	force
хуэгъэфэщэныгъэ	forecast
натӀэ	forehead
хамэ	foreign
мэз	forest
игъащӀэкӀэ	forever
зыщыгъэгъупщэн	forget
хуэгъэгъун	forgive
щыпщэжащ	forgot
гуахъуэ	fork
щытыкӀэ къегъэщтэн	form
щытыкӀэ	form
формальнэ	formal
щыта	former
насыпти	fortunately
ехъулӀэныгъэ	fortune
плӀыщӀ	forty
плӀыщӀрэ тӀу	forty-two
япэкӀэ	forward
дэгъэпсынщӀэн	foster
зэуащ	fought
къэзгъуэтащ	found
лъабжьэ	foundation
щӀэдзапӀэ	foundation
плӀы	four
пщыкӀуплӀ	fourteen
бажэ	fox
тӀасхъэ	fragile
къутэгъуафӀэ	fragile
гъунапкъэ	frame
лъабжьэ	framework
пцӀыӀуэпцӀышагъэ	fraud
Ӏуплъэгъуей	freak
хуит	free
хуитыныгъэ	freedom
щтын	freeze
пӀыщӀэн	freeze
къызэрытригъэзэж пӀалъэ	frequency
куэдрэ	frequent
Ней	frequent
куэдрэ	frequently
щӀэ	fresh
мэрем	friday
щӀыӀалъэ	fridge
ныбжьэгъу	friend
ныбжьэгъугъэ	friendly
ныбжьэгъу	friends
зэныбжьэгъуныгъэ	friendship
шына	frightened
зыгъащтэ	frightening
хьэндыркъуакъуэ	frog
ипэ	front
гъэщта	frozen
пхъэщхьэмыщхьэ	fruit
къытехьа	frustrated
гъэсыныпхъэ	fuel
Фулэ	Fulfulde
из	full
гуфӀэгъуэ	fun
лэжьэкӀэ	function
зэпэщ	fundamental
куу	fundamental
хьэдэщӀэлъхьэ	funeral
дыхьэшхэн	funny
псэущхьэц	fur
губжьа	furious
унэлъащӀэ	furniture
адэкӀэ	further
абы къыщынэмыщӀауэ	furthermore
къэкӀуэну	future
фейдэ	gain
Ӏэрыхьэн	gain
джэгукӀэ	game
щӀыпӀэ нэщӀ	gap
машинэхэр зыщӀэтыпӀэ	garage
пхъэнкӀий	garbage
жыг хадэ	garden
сад	garden
бжьыныху	garlic
куэбжэ	gate
дыхьэпӀэ	gate
зэхуэхьэсын	gather
зэхуэс	gathering
хасэ	gathering
къэпщын	gauge
иритащ	gave
шесторкэшхуэ	gear
гендер	gender
зэхуэдэ	general
зэдай	general
къапщтэмэ	generally
къыдэгъэкӀын	generate
къэгупсысын	generate
щӀэблэ	generation
хьэлэл	generous
егъэлеяуэ акъылыфӀэ цӀыху	genius
жанр	genre
гуакӀуэ	gentle
зыми къытрамыщӀыкӀа	genuine
Ӏэ щӀыныгъэ	gesture
Ӏэрыхьэн	get
зыхуэпэн	get dressed
къэтэджын	get up
псынщӀэу зыгъэхъууж	get well soon
къеӀыхыныгъэ	getting
хьэдэджадэ	ghost
тӀуу хъуныгъэ	ghosting
тӀуащӀэ	ghosting
абрагъуэ	giant
саугъэт	gift
гъуаплъафэ	ginger
хъыджэбз цӀыкӀу	girl
хъыджэбз	girlfriend
етын	give
зытын	give up
та	given
мы	given
арэзы	glad
плъэкӀэ	glance
Ӏэбдж	glass
нэгъуджэ	glasses
плъэкӀэ	glimpse
дунейр къызыщӀэзыщтэ	global
нэщхъей	gloomy
кӀыфӀ	gloomy
Ӏэлъэ	gloves
нэху	glow
нэху къыщхьэщихын	glow
зыгъэлъэгъуэн	glow up
зэщӀэнэн	glow up
шхэпс	glue
кӀуэн	go
ипэ уиту кӀуэ	go ahead
ӀукӀ	go away
жеин кӀуэн	go to bed
нэщэнэ	goal
мурад	goal
мурадхэр	goals
нэщанэхэр	goals
бжэн	goat
Алыхь	god
алыхьым ифӀ къыпщыхуэ	god bless you
макӀуэ	goes
йокӀуэкӀ	going
къокӀуэ	going
зегъэхьэзыр	going to
дыщэ	gold
ӀукӀащ	gone
зегъэхьэзыр	gonna
цӀанлъагъэ	goo
тэмэм	good
фӀы	good
махуэ фӀыуэ	good afternoon
фӀыкӀэ дызэхузэ	good bye
махуэ фӀыуэ	good day
пщыхьэщхьэ фӀыуэ	good evening
лэжьыгъэфӀ	good job
дахэ	good looking
къыуигъэхъулӀэ	good luck
уи пщэддыжь фӀыуэ	good morning
уи пщэдджыжь фӀыуэ, фӀыуэ слъагъу	good morning my love
нэхулъэфӀ укъикӀ	good night
фӀыкӀэ дызэхузэ	goodbye
нэхулъэфӀ укъикӀ	goodnight
хьэпшыпхэр	goods
Гугл	Google
Гугл зэдзэкӀакӀуэ	Google Translate
къаз	goose
гъуэзэджэ	gorgeous
бзэгу зехьэн	gossip
хъыбарыпцӀ Ӏуэтэн	gossip
къыӀэрыхьащ	got
къызгурыӀуащ	got it
правительствэ	government
къэубыдын	grab
къэлъытэн	grade
хуэм-хуэмурэ	gradually
къыдэгъэкӀын	graduate
къыщӀэкӀын	graduate
хьэдзэ	grain
бгъэдэлъхьэн	grant
етащ	granted
жызум	grapes
убыдыкӀэ	grasp
удз	grass
фӀыщӀэ зыщӀ	grateful
фӀыщӀэ хуэщӀын	gratitude
кхъэ	grave
щхъуэ	gray
дахэ дыдэ	great
быдэныгъэ	greed
нэпсеигъэ	greed
нэпсей	greedy
удзыфэ	green
къегъэблэгъэн	greet
къегъэблэгъэныгъэ	greeting
фӀэхъус	greeting
фӀэхъус сэлам	greetings
щхъуэ	grey
хъар	grid
нэщхъеягъуэ	grief
хьэжын	grind
убыдыкӀэ	grip
шхыныгъуэ здащэ тыкуэн	grocery
щауэ	groom
Ӏей	gross
цӀапӀэ	gross
щӀы	ground
гуп	group
хэхъуэн	grow
лъэгагъ	growth
хэхъуэныгъэ	growth
гъумэтӀымэрей	grumpy
Гуаранэ	Guarani
гъэгугъэн	guarantee
хъумакӀуэ	guard
плъыр	guard
къэщӀэн	guess
хьэщӀэ	guest
нэхъыщхьэ	guidance
унафэ зыщӀ	guidance
хуэгъэзэн	guide
гъэзэщӏапхъэ	guide
къуаншэ	guilty
щӀалэ	guy
ныбжьыщӀэхэ	guys
спортзал	gym
зэса	habit
щыпсэу щӀыпӀэ	habitat
иӀащ	had
уэ	hail
щхьэц	hair
ныкъуэ	half
пэшышхуэ	hall
Ӏэгу	hand
ручкэ	handle
дахэ	handsome
фӀэлъын	hang
къэхъун	happen
къэхъуащ	happened
насып	happiness
насыпыфӀэ	happy
укъыщалъхуа махуэмкӀэ сынохъуэхъу	happy birthday
къыщалъхуа махуэ	happy birthday
Укъыщалъхуа махуэмкӀэ	happy birthday to you
илъэсыщӀэ къихьамкӀэ сынохъуэхъу	happy new year
ткӀий	hard
ерагъкӀэ	hardly
зэикӀ къанэ щымыӀэу	hardly ever
зэраныгъэ щӀэн	harm
зэраныгъэ	harm
зэраныщӀэ	harmful
зэкӀуныгъэ	harmony
ткӀий	harsh
зэхуэхьэсын	harvest
иӀэщ	has
лъагъу мыхъун	hate
щыӀэн	have
махуэ фӀыуэ	have a good day
махуэ фӀыуэ	have a nice day
пщэдджьыжьышхэ щӀын	have breakfast
уи нэгу зегъэужь	have fun
уэ ушхащ	have you eaten
уэ ушха	have you eaten
зиӀэ	having
шынагъуэ	hazard
гъуэз	haze
ар	he
абы иӀэщ	he has
ар хэтщ	he is
ар щытщ	he is
щхьэ	head
щхьэ уз	headache
гъэхъужын	heal
еӀэзэныгъэ	healing
узыншагъэ	health
узыншэ	healthy
зэхэхын	hear
зыхэсхащ	heard
гу	heart
хуабащэ	heat
кьэхуэбэн	heat
уафэ	heaven
хьэлъэ	heavy
гужьея	hectic
лъагагъ	height
щӀэинхьыж	heir
къэхъущӀэныгъэ	heist
Ӏыгъын	held
жыхьэнэмэ	hell
ФӀэхъус апщий	Hello
уузыншэ, лъапӀэ	hello dear
сэлам, дауэ ущыт	hello how are you
сэлам, дауэ ущыт	hello how are you doing
таж пыӀэ	helmet
дэӀэпыкъуныгъэ	help
сэбэп	helpful
абы къыхэкӀкӀэ	hence
абы	her
хъушэ	herd
мыбдеж	here
щӀэин	heritage
сысын	hesitate
ечэнджэщын	hesitate
Эй	Hey
Сэлам	Hi
сэлам, дауэ ущыт	hi how are you
Сэлам	Hi there
гъэпщкӀуа	hidden
зыгъэпщкӀун	hide
тепщэныгъэ здэщыӀэ	hierarchy
лъагэ	high
къыхэгъэщын	highlight
щӀэтхъэн	highlight
зекӀуэ	hike
зекӀуэ кӀуэныгъэ	hiking
дыхьэшхэн	hilarious
Ӏуащхьэ	hill
и	him
еӀуэкӀын	hint
куэ	hip
куэхэр	hips
къэщтэн	hire
лэжьакӀуэщӀэ къэщтэныгъэ	hiring
и	his
тхыдэ	history
еуэн	hit
Хьм	Hmm
дихьэхыныгъэ	hobby
хобби	hobby
Ӏыгъын	hold
зыӀыгъын	hold on
гъуанэ	hole
махууэшхуэ	holiday
нэщӀ	hollow
унэ	home
унэ лэжьыгъэ	homework
цӀыху пэж	honest
пэжу	honestly
ЛъапӀэ	Honey
Фо	Honey
напэ	honor
капюшон	hood
къэрэкъэш	hook
дэлъеин	hop
щыгугъын	hope
гугъэ	hope
нэхъыфӀ	hopefully
гугъэпӀэншэ	hopeless
щылъу шэщӀа	horizontal
бжьакъуэ	horn
гуӀэгъуэ	horrible
узыгъэшынэ	horror
шы	horse
сымаджэщ	hospital
хьэщӀэ хуэфӀыгъэ	hospitality
къегъэблэгъэн	host
зей	host
жэгъуэгъу зыхэлъ	hostile
пщтыр	hot
хьэщӀэщ	hotel
сыхьэт	hour
сыхьэт	hours
унэ	house
унэгъуэ Ӏуэху	household
дауэ	how
уэ-щэ	how about you
дауэ щыт	how are you
уи Ӏуэхухэр дауэ щыт	how are you doing
нобэ дауэ щыт уи Ӏуэхухэр	how are you doing today
дауэ ущыт нобэ	how are you today
дауэ упсэурэ	how do you do
дауэ	how is
дапщэ	how many
дапщэ	how much
дауэ щӀэх-щӀэхыу	how often
илъэс дапщэ ухъурэ	how old are you
дауэ кӀуа уи махуэр	how was your day
дауэ кӀуа уи пщыхьэщхьэр	how was your night
ауэ	however
ку	hub
щхьэгъусэ	hubby
ӀэплӀэ	hug
ӀэплӀэ хуэщӀын	hug
инышхуэ	huge
цӀыху	human
нэмысыфӀэ	humble
псыӀэ	humid
псыӀагъ	humidity
ЩэкӀуэгъуэ	hundred
мэжалӀэ	hungry
щэкӀуэн	hunt
ещэкӀуэн	hunt
борэн	hurricane
пӀэщӀэн	hurry
зыгъэхъей	hurry up
сымэджэн	hurt
щхьэгъусэ	husband
сэбэпыншэ	hustle
зэхэзежэ	hustle
тэхъуанэ	hut
къабзагъэ	hygiene
Сэ	I
Сэ сыщытщ	I am
Сэ сыхъарзынэщ	I am fine
Сэ схуэщӀэнущ	I can
Сэ схузэфӀэкӀкъым	I can't
Сэ сощӀ	I do
Сэ сщӀэркъым	I do not know
Сэ къызгурыӀуэркъым	I do not understand
Сэракъым	I don't
Сэ сщӀэркъым	I don't know
Сэ къызгурыӀуэркъым	I don't understand
уэ зи гугъу пщӀыр	I don't understand what you mean
Сэ къызгурыӀуэкръым	I don't understand what you mean
Сэ уэ укъызгурыӀуэркъым	I don't understand you
Сэ сщӀэркъым	I don’t know
Сэ къызгурыӀуэркъым	I don’t understand
хъунщ	i guess
Сэ сиӀащ	I had
Сэ сиӀэщ	I have
Сэ сыщыӀащ	I have been
Сэ согугъэ	I hope so
Сэ сощӀэ	I know
Сигу ирохь	I like
Сэ уэ сигу урохь	I like you
Сэ фӀыуэ солъагъу	I love
Сэ си дэлъху нэхъыжьыр фӀыуэ солъагъу	I love my big brother
Сэ си шыпхъу нэхъыжьыр фӀыуэ солъагъу	I love my big sister
Сэ си адэр фӀыуэ солъагъу	I love my father
Сэ си дэлъху нэхъыщӀэр фӀыуэ солъагъу	I love my little brother
Сэ си шыпхъу нэхъыщӀэр фӀыуэ солъагъу	I love my little sister
Сэ си анэр фӀыуэ солъагъу	I love my mother
Сэ уэ фӀыуэ узолъагъу	I love you
Сэ уэ зыкӀэ фӀыуэ узолъагъури	I love you so much
Сэри фӀыуэ узолъагъу	I love you too
Сэ жыхуэсӀар	I mean
Сэ уэ сигу укъокӀ	I miss you
Сэ зыкӀэ сигу укъэкӀащи	I miss you so much
Сэ солъагъу	I see
Сэ согупсыс	I think
Сэ къызгуроӀуэ	I understand
Сэ сыхуейщ	I want
Сэ уэ услъагъуну сыхуейщ	I want to see you
Сэ уэ сыпхуейщ	I want you
Сэ сыщыӀащ	I was
Сэ сыщыӀэнущ	I will
Сэ сыщыӀэнут	I would be
Сэ сыщытынут	I would be
Сэ сыщытщ	I'm
Сэ сыхъарзынэщ	I'm fine
Сэ сыхъарзынэщ	I'm good
Сымис	I'm here
Сэ си жагъуэщ	I'm sorry
мыл	ice
фоӀумыл	ice cream
морожнэ	ice cream
идея	idea
щапхъэ нэс	ideal
хущӀэкъуныгъэ лъагэ	ideal
зэщхь	identical
къыхэгъэкӀын	identify
зэхэгъэкӀын	identity
ахьмакъ	idiot
делэ	idiot
Ӏуэхуншэ	idle
мэ	if
Ӏумпэм щӀын	ignore
сымаджэ	ill
хабзэм темыт	illegal
узыфэ	illness
Илонскэ	Ilocano
сурэт	image
къэгъэлъэгъуэныгъэ	image
къызыщыгъэхъун	imagine
пӀалъэ зимыӀэ	immediate
щӀэх	immediate
икӀэщӀыпӀэкӀэ	immediately
абрагъуэ	immense
