un	a
sjenereere	generate
generasie	generation
vriegevig	generous
sjûnie	genius
jônre	genre
sjtiel	genre
zachaardig	gentle
ech	genuine
gebaar	gesture
kriege	get
aandoon	get dressed
opsjtoon	get up
bétersjàp	get well soon
kriege	getting
geis	ghost
sjpoeëke	ghosting
hieël groet	giant
kadoo	gift
gember	ginger
mêdje	girl
vriendin	girlfriend
geve	give
opgeve	give up
gegeve	given
blie	glad
blik werpe	glance
glaas	glass
bril	glasses
glimp	glimpse
globaal	global
duuster	gloomy
handsjeun	gloves
gloei	glow
oplichte	glow up
liem	glue
goon	go
doog mèr	go ahead
gànk wèg	go away
noa bid goon	go to bed
goon sloape	go to bed
doel	goal
gool	goal
doele	goals
doelpunte	goals
geit	goat
god	god
god zegene dich	god bless you
geit	goes
goon	going
noatoe goon	going to
goud	gold
wèg	gone
goon	gonna
plèkboel	goo
good	good
gooie noamiddig	good afternoon
hoïe	good bye
gooie daag	good day
gooie oavend	good evening
good gedoon	good job
gooi baan	good job
good oetzeen	good looking
veul sukses	good luck
gooie murrige	good morning
gooie murrige mien leefste	good morning my love
gooie nach	good night
hoïje	goodbye
gooi nach	goodnight
goedere	goods
Google	Google
Google Translate	Google Translate
gans	goose
prachtig	gorgeous
roddele	gossip
roddel	gossip
kriege	got
gekrege	got it
begrepe	got it
hub het	got it
euverheid	government
regering	government
griepe	grab
diplooma	grade
siefer	grade
geleidelik	gradually
aafgesjtudeerde	graduate
graan	grain
toekinne	grant
toegekind	granted
droeve	grapes
pàkke	grasp
graas	grass
graaze	grass
erkintelik	grateful
dankbaar	grateful
erkintelikheid	gratitude
dankbaarheid	gratitude
graaf	grave
gries	gray
grwat	great
geweldig	great
hèbzuch	greed
gretig	greedy
greun	green
groete	greet
groet	greeting
groete	greetings
gries	grey
raster	grid
rouw	grief
vermaale	grind
griepe	grip
grip	grip
boodsjappe	grocery
brujegom	groom
onsjmakelik	gross
bruuto	gross
grond	ground
groep	group
greui	grow
greui	growth
sjlechgezind	grumpy
Goearánie	Guarani
garansie	guarantee
bewaker	guard
bewake	guard
roaje	guess
gàs	guest
begeleiding	guidance
gids	guide
begeleide	guide
shuldig	guilty
jong	guy
jonges	guys
sjim	gym
trêne	gym
eigesjap	habit
lêfomgeving	habitat
hauw	had
haagel	hail
hoare	hair
halvere	half
hauf	half
hàl	hall
hand	hand
handele	handle
knap	handsome
hange	hang
rielekse	hang out
gebeure	happen
gebeurd	happened
bliedsjap	happiness
blie	happy
gefeliciteerd mit diene verjeurdaag	happy birthday
fijne verjoardaag	happy birthday to you
zaalig nuuj joar	happy new year
moejelik	hard
hèl	hard
bienoa neet	hardly
bienoa noeëts	hardly ever
sjaa toebringe	harm
pien	harm
sjaadelik	harmful
harmonie	harmony
fèl	harsh
oeëgste	harvest
hêt	has
haat	hate
hubbe	have
fijne daag	have a good day
fijne daag	have a nice day
ontbijte	have breakfast
sjpas hubbe	have fun
hubse gegete	have you eaten
hubbe	having
gevoar	hazard
waas	haze
nevel	haze
heë	he
hê hêt	he has
hê is	he is
kop	head
koppien	headache
geneze	heal
geneezing	healing
gezondheid	health
gezond	healthy
huuwere	hear
gehuurd	heard
hart	heart
wermte	heat
hemel	heaven
zsjwoar	heavy
hekties	hectic
huuwegte	height
erfgenaam	heir
inbraak	heist
gehoute	held
hèl	hell
Hallo	Hello
hallo leefste	hello dear
hallo wie geit het mit dich	hello how are you
hoi wie geit het mit dich	hello how are you doing
hèlm	helmet
hellepe	help
behulpzaam	helpful
doadoor	hence
heur	her
kudde	herd
hie	here
erfsjap	heritage
erfenis	heritage
aarzele	hesitate
Hèj	Hey
Hoi	Hi
hoi wie geit het mit dich	hi how are you
Hoi	Hi there
verborrige	hidden
verberrige	hide
hierargie	hierarchy
hoeëg	high
markere	highlight
wandele	hike
klumme	hike
wandele	hiking
hielaries	hilarious
heuvel	hill
heum	him
hint	hint
heup	hip
hip	hip
heupe	hips
inhure	hire
hure	hire
inhure	hiring
ziene	his
histoorie	history
sjloon	hit
Hmm	Hmm
hobbie	hobby
houte	hold
eve wachte	hold on
gaat	hole
vakansie	holiday
vrieje daag	holiday
hòl	hollow
thoeës	home
hoeswerk	homework
ierlik	honest
eerlijk	honestly
Leefste	Honey
Honing	Honey
ier	honor
kàp	hood
inhoake	hook
hoak	hook
huppele	hop
hoop	hope
hopelik	hopefully
hopeloos	hopeless
plat	horizontal
horisontaal	horizontal
toeter	horn
hoorn	horn
versjrikkelik	horrible
horror	horror
peerd	horse
ziekenoes	hospital
gasvrieheid	hospitality
gasvrouw	host
gasheer	host
vijandelik	hostile
werrem	hot
hotèl	hotel
oer	hour
oere	hours
hoes	house
hoeshouwe	household
wie	how
en dich	how about you
wie geit het	how are you
wie geit het mit dich	how are you doing
wie geit het mit dich vandaag	how are you doing today
wie geit het mit dich vandaag	how are you today
wie geit het mit dich	how do you do
wie is	how is
wie veul	how many
wie veul	how much
wie diks	how often
wie awd bis se	how old are you
wie woar diene daag	how was your day
wie woar dien nach	how was your night
echter	however
knauppunt	hub
middelpunt	hub
séntrum	hub
menneke	hubby
knuffel	hug
giganties	huge
miensjelijk	human
besjeie	humble
vochtig	humid
vochtigheid	humidity
honderd	hundred
honger	hungry
jach	hunt
orkaan	hurricane
sjpeuje	hurry
sjeet op	hurry up
pien	hurt
man	husband
aanpakke	hustle
sjravele	hustle
hut	hut
hiegiên	hygiene
Ich	I
Ich bin	I am
Mit mich geit het good	I am fine
Ich kin	I can
Ich kin neet	I can't
Dat doon ich	I do
Ich doon	I do
Ich weit het neet	I do not know
Ich begriep het neet	I do not understand
Ich neet	I don't
Ich weit het neet	I don't know
Ich begriep het neet	I don't understand
Ich begriep neet wat se bedoels	I don't understand what you mean
Ich begriep dich neet	I don't understand you
Weit ich neet	I don’t know
Ich begriep het neet	I don’t understand
ich dink het	i guess
Ich houw	I had
Ich hub	I have
Ich bin gewês	I have been
Ich woar	I have been
Ich hoop het	I hope so
Ich weit	I know
Ich houd van	I like
Ich ving dich leuk	I like you
Ich houd	I love
Ich houd van miene broor	I love my big brother
Ich houd van mien zuster	I love my big sister
Ich houd van miene pap	I love my father
Ich houd van mien klein breurke	I love my little brother
Ich houd van mien klein zusterke	I love my little sister
Ich houd van mien mam	I love my mother
Ich houd van dich	I love you
Ich houd zoeë veul van dich	I love you so much
Ich houd auch van dich	I love you too
Ich bedoel	I mean
Ich mis dich	I miss you
Ich mis dich zoeë erg	I miss you so much
Ich begriep het	I see
Ich zeen	I see
Ich dink	I think
Ich begriep het	I understand
Ich wil	I want
Ich wil dich zeen	I want to see you
Ich wil dich	I want you
Ich woar	I was
Ich zal	I will
Ich zou zeen	I would be
Ich bin	I'm
Het geit good mit mich	I'm fine
Ich bin good	I'm good
Mit mich is alles good	I'm good
Ich bin hie	I'm here
Het sjpiet mich	I'm sorry
ies	ice
ies	ice cream
idee	idea
ideaal	ideal
identiek	identical
identificere	identify
aanwieze	identify
identiteit	identity
idioot	idiot
sjtilsjtand	idle
es	if
negere	ignore
krank	ill
ielégáál	illegal
krankheid	illness
Iloocanoo	Ilocano
aafbeelding	image
veursjtille	imagine
akkuut	immediate
onmiddelik	immediately
immèns	immense
impekt	impact
ongeduldig	impatient
insjtille	implement
inveure	import
ingeveurd	import
belangriek	important
opligge	impose
onmeugelik	impossible
indruk make	impress
índruk	impression
indrukwikkend	impressive
verbetere	improve
verbetering	improvement
in	in
in aanvulling	in addition
In feite	In fact
veur	in front of
in sjtoat te zin	in order to
ongesjik	inappropriate
insèntief	incentive
òngeval	incident
opnumme	include
insjlete	include
wo onder	including
inkòmme	income
ongemàk	inconvenience
toenumme	increase
toegenomme	increased
ongeluifelik	incredible
inderdaad	indeed
onafhankelijk	independent
India	India
aanwieze	indicate
inheems	indigenous
inkeling	individual
industrie	industry
onvermijdelik	inevitable
jonk kind	infant
infeksie	infection
oneindigheid	infinity
ontsjtoake	inflammation
inflasie	inflation
invlood	influence
informere	inform
informatie	information
ingrediejente	ingredients
erfenis	inheritance
aafkorting	initial
begin	initial
inietsjale	initial
inietsjiatief	initiative
gewond	injured
wond	injury
onsjuldig	innocent
innovasie	innovation
aanvroag	inquiry
absurd	insane
insèk	insect
onzeker	insecure
inveure	insert
inbringe	insert
ingooie	insert
binne	inside
inzich	insight
drop sjtoon	insist
sjloapeloosheid	insomnia
inspiraasie	inspiration
inspirere	inspire
insjtallere	install
instansie	instance
metein	instant
in plaats doavan	instead
in plaats doa van	instead of
insjtruksies	instructions
insjtrumint	instrument
beleedige	insult
beleediging	insult
verzeekering	insurance
intàk	intact
integriteit	integrity
intellèctueel	intellectual
intelligensie	intelligence
sjlum	intelligent
intensie	intend
besjtumd	intended
intens	intense
intensie	intention
op ein inwirke	interact
onderhoud	interaction
interaksie	interaction
interesse	interest
geïnteresseerd	interested
interessant	interesting
tushekomme	interfere
tusje	intermediate
intern	internal
internasjonaal	international
sjtaash	internship
interpretere	interpret
tollike	interpret
tollik	interpreter
in de rêije valle	interrupt
onderbreke	interrupt
intervjoe	interview
intiem	intimate
in	into
introduseere	introduce
introduksie	introduction
introvert	introvert
intuïsie	intuition
invalied	invalid
oetvinge	invent
inventaaris	inventory
investere	invest
onderzeuke	investigate
oetnuuwediging	invitation
oetnuuwedige	invite
faktuur	invoice
betrokke	involve
betrokke	involved
iezer	iron
is	is
eiland	island
geïsoleerd	isolated
probleem	issue
oetgaave	issue
probleme	issues
toekinne	issues
het	it
het is	it is
het woar	it was
het is	it's
het is good	it's ok
Het is good	It's okay
artiekel	item
artiekele	items
doavan	its
Ich bin	I’m
jas	jacket
gevangenis	jail
Januarie	January
pot	jar
kaak	jaw
sjloes	jealous
klojo	jerk
juweele	jewelry
baan	job
hardloupe	jogging
deilnumme	join
gezamelik	joint
gràp	joke
sjoernalis	journalist
reis	journey
sjpas	joy
rechter	judge
saap	juice
juulie	july
springe	jump
sjpronk	jump
juunie	june
versjlaafde	junk
nèt	just
sjus	just
doog het gewoon	just do it
gerechtigheid	justice
rechvaardige	justify
Kalálisuut	Kalaallisut
geïnteresseerd	keen
entoesjas	keen
houte	keep
haud vol	keep it up
gehoute	kept
ketel	kettle
sjleutel	key
kik	kick
trap	kick
trappe	kick
kind	kid
grappe	kidding
neer	kidney
kinger	kids
dwad make	kill
vermoare	kill
aardig	kind
soort	kind
nògàl	kinda
estebleef	kindly
vruntelikheid	kindness
keuning	king
puuën	kiss
keuke	kitchen
vleeger	kite
kitten	kitten
kneej	knee
wis	knew
mès	knife
ridder	knight
weite	know
kinnes	knowledge
bekinde	known
bekind	known
Konkáni	Konkani
Krioo	Krio
etiekit	label
wirrik	labor
arbeid	labour
gebrèk	lack
ludder	ladder
juffrouw	lady
geleege	laid
loog	laid
méér	lake
lam	lamb
mank	lame
lamp	lamp
lande	land
land	land
landsjap	landscape
taal	language
runde	lap
sjwat	lap
groewet	large
litste	last
tensjlotte	last but not least
neet te vergête	last but not least
achternoam	last name
laat	late
de litste tied	lately
laater	later
litste	latest
litste	latter
lach	laugh
lache	laughing
gelach	laughter
lancere	launch
wèsh	laundry
wit	law
graasveld	lawn
advokaat	lawyer
ligge	lay
loag	layer
opmaak	layout
ontwèrp	layout
lui	lazy
leide	lead
leider	leader
blaad	leaf
lèk	leak
leune	lean
veuroetsjpringe	leap
liejere	learn
lieëre	learning
lies	lease
minste	least
lêr	leather
weggoon	leave
loate	leave
blaar	leaves
weggoon	leaves
geleid	led
weggegoon	left
links	left
bein	leg
erfenis	legacy
juriedies	legal
legende	legend
legitiem	legit
vriejetiedsbesjteding	leisure
ljènne	lend
lengte	length
wiejenig	less
lis	lesson
loat	let
breef	letter
sjlaa	lettuce
nivoo	level
opleevering	leverage
aansjproakelijkheid	liability
biebliotéék	library
lik	lick
leege	lie
ligge	lie
leuges	lies
leeve	life
lifte	lift
optille	lift
lif	lift
leeg	light
lich	light
bliksem	lightning
leuk	like
wie	like
warsjienlik	likely
van hetzelfde	likewise
Limburgs	Limburgan
lijn	line
Lingálaa	Lingala
link	link
lieëuw	lion
vloeibaar	liquid
opsomme	list
lies	list
loestere	listen
luustere	listening
litterlik	literally
lieteratuur	literature
aafval	litter
klein	little
leve	live
laif	live
leever	liver
leves	lives
leeve	living
woonkamer	living room
hagedis	lizard
laaje	load
làs	load
oplaaje	load
brwad	loaf
lieëning	loan
lokaal	local
lokasie	location
sjloot	lock
lok dauwn	lockdown
sjtàm	log
lol	lol
einzaam	lonely
lank	long
lang neet gezeen	long time no see
kiek	look
lus	loop
verleeze	loose
hieër	lord
verleeze	lose
verlees	loss
verloore	lost
veul	lot
hèl	loud
lounsj	lounge
leefde	love
ich houd van dich	love you
sjattig	lovely
liejeg	low
verlieëge	lower
trouw	loyal
trouw	loyalty
geluk	luck
geluk	lucky
Loegandaa	Luganda
bàgaasj	luggage
klontere	lump
brok	lump
middigete	lunch
longe	lungs
luuks	luxury
luuksieus	luxury
ligge	lying
masjien	machine
kwad	mad
gèk	mad
mevrouw	madam
gemaak	made
tiedsjrif	magazine
manjefiek	magnificent
mêdje	maid
grotste	main
vashoute	maintain
onderhoud	maintenance
Maithilie	Maithili
groewete	major
meerderheid	majority
maake	make
sjmienk	make up
mannelik	male
winkelsentrum	mall
man	man
behere	manage
behier	management
mènnasjer	manager
verplich	mandatory
maniefès	manifest
manipulere	manipulate
meneer	manner
handmaatig	manual
veul	many
en nog veule joare	many many happy returns of the day
maart	march
marge	margin
merret	market
huwelijk	marriage
getrouwd	married
maskeere	mask
masker	mask
deens	mass
massaal	mass
eenorm	massive
massief	massive
meister	master
wedsjtried	match
euvereinkomme	match
paare	mate
moat	mate
materiejaal	material
rêkene	math
wiskunde	math
kwestie	matter
volwassenheid	maturity
zou kinne	may
mei	may
misshien	maybe
mich	me
ich auch	me too
moaltied	meal
beteikene	mean
gemein	mean
beteikenis	meaning
beteikent	means
middele	means
bedoeld	meant
onderwieles	meanwhile
mete	measure
moatreigele	measures
vleisj	meat
medisch	medical
médiesien	medicine
meditasie	meditation
méédium	medium
ontmoete	meet
vergaadering	meeting
ontmoeting	meeting
Meiteilón	Meiteilon
sjmilte	melt
herinneringe	memories
geheuge	memory
mentaal	mental
benumme	mention
benumme	mentioned
mentor	mentor
handelêr	merchant
genade	mercy
slechs	merely
enkel	merely
zaalige keershmus	merry christmas
rommel	mess
berich	message
rommelig	messy
métaal	metal
métoode	method
moeze	mice
middesjtuk	middle
middel	middle
middernach	midnight
zouw kinne	might
mild	mild
mijlpoal	milestone
militêr	military
millik	milk
miljoeën	million
geis	mind
geestestoesjtand	mindset
miene	mine
bemeuije	mingle
kleine	minor
minuut	minute
minuute	minutes
wonder	miracle
sjpeegele	mirror
divèrs	miscellaneous
versjillende	miscellaneous
ondeugend	mischievous
mieserabel	miserable
miseerie	misery
misse	miss
mis dich	miss you
vermis	missing
missie	mission
mis	mist
fout	mistake
Mizó	Mizo
mobiel	mobile
oetlache	mock
modèl	model
matig	moderate
moodèrn	modern
besjeije	modest
vochtig	moist
vochtigheid	moisture
sjummel	mold
mol	mole
mam	mom
momint	moment
moandig	monday
geld	money
in de gate houte	monitor
biehoute	monitor
aap	monkey
moand	month
shtumming	mood
gehumeurd	moody
moan	moon
moraal	moral
miejer	more
doaneve	moreover
murrige	morning
hiepotheek	mortgage
meiste	most
veulal	mostly
mooder	mother
mam	mother
mósie	motion
bewêging	motion
motivaatie	motivation
berg	mountain
moes	mouse
mond	mouth
bewêge	move
verhoeze	move
bewêging	movement
film	movie
mevrouw	mrs
veul	much
drek	mud
mok	mug
sjpiere	muscle
muusééüm	museum
sjampiejon	mushroom
muuziek	music
mot	must
sjtil	mute
wederzijds	mutual
mien	my
Mien leefste	My dear
miene vrund	my friend
Mien hovercraft zit vol mit palinge	My hovercraft is full of eels
mien leefde	my love
miene naam is	my name is
gèr gedoon	my pleasure
michzelf	myself
misterieus	mysterious
mistéérie	mystery
miete	myth
nagel	nail
naaïef	naive
benumme	name
naam	name
narratief	narrative
sjmaal	narrow
vies	nasty
nasjonaal	national
naasjonaalieteit	nationality
oorsjpronkelik	native
natuurlijk	natural
natuur	nature
misselik	nausea
bienoa	near
vlakbie	near
kortbie	nearby
bienoa	nearly
netjes	neat
noewedzakelijk	necessary
nek	neck
kitting	necklace
nuuwedig hubbe	need
negatief	negative
negeere	neglect
onderhandele	negotiate
buur	neighbor
buurt	neighborhood
gein	neither
nêf	nephew
sjtuud	nerd
nerveus	nervous
nis	nest
net	net
netwerk	network
neutraal	neutral
noewets	never
nooit opgeve	never give up
loat mer zitte	never mind
loat mer zitte	nevermind
ondanks	nevertheless
nuuj	new
nuuts	news
volgende	next
neeve	next
neve	next to
fijn	nice
leuk om dich te ontmoete	nice to meet you
nisjekke	niece
nach	night
nachmerrie	nightmare
neuge	nine
neugetiën	nineteen
neugetig	ninety
Nei	No
gein probleem	no problem
meinse neet	no way
neemes	nobody
lawaai	noise
lawaaierig	noisy
gein	none
middig	noon
nei	nope
noch	nor
normaal	normal
noorde	north
naas	nose
nostalgies	nostalgic
neet	not
helemoal neet	not at all
neet sjlech	not bad
Neet noe	Not now
nog neet	not yet
noeët	note
nootiesie	note
genoteerd	noted
niks	nothing
mèlding	notice
opgemirk	noticed
zelfsjtandig naamwoord	noun
zelfsjtandige naamwoorde	nouns
roman	novel
verhoal	novel
november	november
noe	now
tegewoordig	nowadays
ergernis	nuisance
ongèldig	null
nul	null
verdauf	numb
nummer	number
zuster	nurse
zurrige	nurse
noot	nut
nootmuskaat	nutmeg
voeding	nutrition
eed	oath
obesietas	obesity
gehuurzame	obey
objek	object
doel	objective
verplichting	obligation
duuster	obscure
verdoezele	obscure
observaasie	observation
bekieke	observe
observeere	observe
geobsedeerd	obsessed
obsessie	obsession
euverboodig	obsolete
obsjtakel	obstacle
verkriege	obtain
verkrege	obtained
vanzelfsjprekend	obvious
vanzelfsjprekend	obviously
van tied tot tied	occasionally
beroep	occupation
bezat	occupied
gebeure	occur
gebeurd	occurred
kump veur	occurs
oséaan	ocean
oktober	october
vrèm	odd
kanse	odds
van	of
natuurlijk	of course
oet	off
offensief	offensive
aanbod	offer
aanbeeje	offer
kantwar	office
offiesjeel	official
vaak	often
Oah	Oh
oah ech	oh really
olie	oil
ok	ok
okéé leefste	ok dear
okéé leefste	ok honey
okee mien leefste	ok my love
okéé	okay
okéé sjat	okay baby
okee leefste	okay dear
okéé leefste	okay honey
okee mien leefste	okay my love
aud	old
op	on
einmoalig	once
unne	one
ein taal is noeëts genog	one language is never enough
ui	onion
online	online
allein	only
opene	open
ope	open
operasie	operation
meining	opinion
meugelikhede	opportunities
meugelijkheid	opportunity
tegeneuvergestild	opposite
optiemisties	optimistic
meugelikheid	option
opsie	option
opsjoneel	optional
of	or
appelsien	orange
oranje	orange
bestèlling	order
sortere	order
normaal	ordinary
organisasie	organization
oriejenteere	orientation
oeërsjpronk	origin
oriesjieneel	original
Oromoo	Oromo
wees	orphan
angere	other
angesj	otherwise
zou motte	ought
ozze	our
Oos missie: om eederein, wo dan auch, in sjtoat te sjtille om de wêreld te begriepe en zich zonder taalbarriêres te kinne oetdrukke.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Oos missie: om alle informasie ter wêreld te organisere en het veur eederein toegankelik en broekbaar te make.	Our mission: to organize the world's information and make it universally accessible and useful.
oet	out
oetkomst	outcome
kleiding	outfit
oetfit	outfit
oetrusting	outfit
oetgoand	outgoing
outlit	outlet
oetloat	outlet
sjetse	outline
neve	outside
boete	outside
manjefiek	outstanding
oove	oven
euver	over
doa achter	over there
algemeine	overall
euverheerkòmme	overcome
euverkòmme	overcome
euverdinke	overthinking
euverweldigd	overwhelmed
euverdonderend	overwhelming
sjuldig zin	owe
uul	owl
eigelik	own
eigenaar	owner
os	ox
tempo	pace
moat	pace
pàk	pack
pakkit	package
betaald	paid
pien	pain
verf	paint
verve	paint
sjilderie	painting
kombienere	pair
paar	pair
bleik	pale
pallem	palm
pan	pan
pandemìe	pandemic
paniek	panic
brook	pants
papier	paper
paradies	paradise
párálèl	parallel
pàkkit	parcel
pardon	pardon
ouwersj	parents
parrik	park
pàppegaai	parrot
peterselie	parsley
deil	part
deilnumme	participate
bepaalde	particular
mit naame	particularly
partner	partner
fieës	party
euvershloon	pass
passaash	passage
versjtreke	passed
passie	passion
gepàsjoneerd	passionate
passief	passive
wàgwoord	password
verleede	past
sjtuk	patch
paad	path
zielig	pathetic
geduld	patience
pashjènt	patient
geduldig	patient
patroewen	pattern
pauze	pause
besjtroating	pavement
betale	pay
betaling	payment
vreij	peace
vrêjig	peaceful
perzik	peach
piek	peak
peer	pear
erte	peas
vrêm	peculiar
plas	pee
plasse	pee
plukke	peel
sjtare	peer
lêftiedsgenote	peers
pèn	pen
pòtlwàd	pencil
in aafwachting	pending
luuj	people
pééper	pepper
versjtoon	perceive
persepsie	perception
perfek	perfect
prestere	perform
oetveure	perform
optrêije	perform
prestatie	performance
misshien	perhaps
periode	period
permanent	permanent
toesjtumming	permission
permittere	permit
doorzittingsvermoge	perseverance
volhouwend	persistent
miensh	person
persoeënlijk	personal
persoeënlijkheid	personality
perspektief	perspective
euvertuuge	persuade
perveersjeling	pervert
hoesdeer	pet
faas	phase
fénoméén	phenomenon
filoosoofie	philosophy
teelefoon	phone
fóto	photo
zin	phrase
fiesiek	physical
keeze	pick
oppikke	pick up
foto	picture
veursjtille	picture
sjtuk	piece
sjtukker	pieces
verrike	pig
doef	pigeon
opsjtapele	pile
sjtapel	pile
kusse	pillow
pieloot	pilot
sjpeldje	pin
pin	pin
ànànàs	pineapple
rôs	pink
gaat	pit
put	pit
sjmiete	pitch
toeënhuuwigte	pitch
sjpiet	pity
mitlieje	pity
plaatse	place
plaats	place
plaatse	places
ploag	plague
vlakte	plain
duudelik	plain
sumpel	plain
plenne	plan
plan	plan
vleegtuug	plane
febrik	plant
plant	plant
plante	plant
plante	plants
bord	plate
platform	platform
sjpele	play
sjpele	playing
plezant	pleasant
estebleef	please
tevreije	pleased
plezeer	pleasure
beloave	pledge
genòg	plenty
veld	plot
intriesj	plot
plug	plug
proem	plum
loeëdgeeter	plumber
meervoudig	plural
podkàs	podcast
gedich	poem
poëzie	poetry
punt	point
aanwieze	point
gif	poison
polisie	police
beleid	policy
belêf	polite
verontreiniging	pollution
viever	pond
sjwumbad	pool
poep	poop
errem	poor
breke	pop
knettere	pop
populêr	popular
popuulasie	population
verrike	pork
pap	porridge
poort	port
positie	position
positief	positive
bezitte	possess
eigedom	possession
bezitterig	possessive
meugelik	possible
pos	post
versjikke	post
oetsjtille	postpone
eerappel	potato
potensjeel	potential
pond	pound
ermeuj	poverty
mach	power
krach	power
krachtig	powerful
machtig	powerful
prakties	practical
oefene	practice
prieze	praise
lof	praise
grap	prank
bêije	pray
wêrdevol	precious
presies	precise
presies	precisely
veursjpille	predict
leever	prefer
veurkeur	preference
sjwanger	pregnant
veuroerdeil	prejudice
terrein	premises
biste	premium
premie	premium
veurbereiding	preparation
veurbereide	prepare
veurbereid	prepared
veursjtil	preposition
aanwezigheid	presence
op het momint	present
kadoo	present
presentaasie	presentation
behoute	preserve
presiedint	president
duuje	press
pers	press
druk	pressure
doon es of	pretend
sjoeën	pretty
veurkòmme	prevent
veurige	previous
bêije	prey
prieze	price
pries	price
trots	pride
preester	priest
primêre	primary
priemêr	prime
biste	prime
prinses	princess
hoofzakelik	principal
iersh	prior
veurrang	priority
gevangenis	prison
privaasie	privacy
prievéé	private
eige	private
prievieleesj	privilege
veurrank	privilege
pries	prize
wàrsjienlik	probably
prebleem	problem
proseduure	procedure
doorgoon	proceed
procès	process
produseere	produce
produk	product
produksie	production
beroep	profession
profesjoneel	professional
profiel	profile
wins	profit
oprèg	profound
veuroetgank	progress
veuroetgoon	progress
projèk	project
prommenint	prominent
belofte	promise
beloave	promise
promoote	promote
promoosie	promotion
op sjlaag	prompt
geneig	prone
veurnaamwoorde	pronouns
oetsjproak	pronunciation
bewies	proof
bewieze	proof
netjes	proper
good	proper
fatsoenlijk	properly
eigensjappe	properties
eigendom	property
veursjtil	proposal
veuroetzich	prospect
veursjpood	prosperity
veursjpoedig	prosperous
welvarend	prosperous
besjerme	protect
trots	proud
bewieze	prove
veurzeen	provide
gegeeve	provided
provinsie	province
proviesie	provision
puberteit	puberty
publiek	public
trikke	pull
pompoen	pumpkin
punktueel	punctual
ljerling	pupil
koupe	purchase
onversjneeje	pure
puur	pure
poarsj	purple
doel	purpose
beursh	purse
noavollige	pursue
achtervollige	pursue
achtervolging	pursuit
duuje	push
zitte	put
kwaliefiekaasie	qualification
kwaliteit	quality
aantal	quantity
hoeveulheid	quantity
karantên	quarantine
vreigele	quarrel
kwart	quarter
kètsja	Quechua
keuningin	queen
apaart	queer
raar	queer
vroag	query
vroag	question
riej	queue
sjnèl	quick
sjnèl	quickly
shtil	quiet
sjprei	quilt
aafsjleete	quit
weggoon	quit
nogàl	quite
kwis	quiz
offèrte	quotation
sietere	quote
offèrte make	quote
citate	quotes
knien	rabbit
rees	race
sjpöje	race
woede	rage
razernie	rage
rege	rain
inzamele	raise
opkomme	raise
gereeze	raised
rende	ran
willekeurig	random
beriek	range
sjnèl	rapid
sjnel	rapidly
zeldzaam	rare
bienoa nooit	rarely
oetsjlaag	rash
ràt	rat
tempo	rate
tarief	rate
leever	rather
verhouding	ratio
rasjoneel	rational
roew	raw
bereike	reach
bereik	reached
reaksie	reaction
leze	read
leezing	reading
leze	reading
kloar	ready
ech	real
realiteit	reality
realisere	realize
gerealiseerd	realized
realiseerde	realized
ech	really
achterkant	rear
reije	reason
rêdelik	reasonable
herinnere	recall
bewies	receipt
kwitansie	receipt
ontvange	receipt
kriege	receive
ontvange	received
resènt	recent
onlangs	recently
resepsie	reception
resèp	recipe
roekeloos	reckless
erkinning	recognition
erkinne	recognize
aanbevele	recommend
aanbevole	recommended
opnumme	record
rekòrd	record
hersjtille	recover
hèrsjtil	recovery
veerkant	rectangle
roeëd	red
verzilvere	redeem
verlossing	redemption
vermindere	reduce
euvervlood	redundant
refereere	refer
referens	reference
reflèkteere	reflect
refleksie	reflection
onthoute van	refrain
keulkàs	refrigerator
teruukgaaf	refund
weigere	refuse
weigerde	refused
zeen	regard
mit betrikking tot	regarding
euver	regarding
aafgezeen	regardless
groete	regards
regio	region
register	register
sjpiet	regret
gewoeën	regular
vaker	regularly
aafwieze	reject
aafsjloon	reject
relaatere	relate
geliejeerd	related
verwant	related
relatie	relationship
relatief	relative
familieleede	relatives
ontsjpanne	relax
vriegeve	release
vriegegeve	released
relevant	relevant
betroebaar	reliable
opluchting	relief
opluchting	relieve
opgeluch	relieved
geluif	religion
reliegieus	religious
weigerend	reluctant
vertroewe	rely
blieve	remain
euverblievende	remaining
opmirkelik	remarkable
reméedie	remedy
onthoute	remember
herinnere	remind
herinnering	reminder
op aafsjtand	remote
weghoole	remove
geleverd	render
geve	render
huure	rent
repaarére	repair
herhoale	repeat
vervànge	replace
beantwoorde	reply
rapport	report
verteegewoordige	represent
repuutasie	reputation
aanvroage	request
vereise	require
vereis	required
rèdde	rescue
rèdding	rescue
onderzeuk	research
lieke op	resemble
vrok	resentment
reservering	reservation
resèrf	reserve
bewoner	resident
opgeve	resign
neerligge	resign
weersjtand	resilience
wêrbaar	resilient
weersjtoon	resist
verzit	resistance
resoluusie	resolution
oplossing	resolution
oplosse	resolve
verblief	resort
vakantiepark	resort
bronne	resources
respèk	respect
beantwoorde	respond
antwoord	response
verantwoordelijkheid	responsibility
verantwoordelik	responsible
res	rest
rus zach	rest in peace
restorant	restaurant
hersjtille	restore
bepèrke	restrict
resultaat	result
oetsjlaag	result
resultere	result
resultate	results
hervatte	resume
winkelverkaup	retail
behoute	retain
vàshoute	retention
bewaring	retention
gepensjoneerd	retired
teruuktrikke	retreat
