бер аҙ	a little
барлыҡ	existence
булған	existing
сығырға	exit
киңәйтергә	expand
көтөргә	expect
көткән	expected
сығымдар	expenses
ҡыйбат	expensive
емәнергә	experience
тәжрибә	experience
эксперимент	experiment
эксперт	expert
йылы тулған	expired
аңлатырға	explain
аңлатыу	explanation
иҙергә	exploit
эксплуатацияларға	exploit
тикшерергә	explore
экспорт	export
ситкә сығарырға	export
фашларға	expose
дусар ителгән	exposed
һаҡланмаған булыу	exposure
белдерергә	express
әйтем	expression
киңәйтергә	extend
киңәйтелгән	extended
киңәйтеү	extension
күләм	extent
тышҡы	external
ҡырылып бөткән	extinct
өҫтәмә	extra
өҙөмтә	extract
ташыртырға	extract
экстракт	extract
ғәҙәти булмаған	extraordinary
экстремаль	extreme
сиктән тыш	extreme
бик	extremely
күҙ	eye
күҙҙәр	eyes
туҡыма	fabric
иҫ киткес	fabulous
ҡаршыларға	face
бит	face
булышырға	facilitate
йыһазландырыу	facilities
объект	facility
факт	fact
фактор	factor
завод	factory
факттар	facts
шиңергә	fade
уңышһыҙлыҡҡа осрарға	fail
уңышһыҙлыҡ	fail
еңелгән	failed
уңышһыҙлыҡҡа осрау	failure
һуштан яҙырға	faint
ғәҙел	fair
аҡһыл	fair
урынлы	fairly
дөрөҫ итеп	fairly
әкиәттәге	fairy
фея	fairy
ышаныс	faith
тоғро	faithful
ялған	fake
йығылыу	fall
йығылырға	fall
ЯЛҒАН	false
дан	fame
таныш	familiar
ғәилә	family
аслыҡ	famine
билдәле	famous
елләткес	fan
һәүәҫкәр	fan
хыял	fancy
оҡшатырға	fancy
хыялый	fantastic
алыҫ	far
хушлашыу	farewell
ферма	farm
фермер	farmer
мауыҡтырғыс	fascinating
мода	fashion
тиҙ	fast
май	fat
һимеҙ	fat
үлемесле	fatal
яҙмыш	fate
атай	father
арыу	fatigue
ғәйеп	fault
иң яраткан	favorite
ярҙам	favour
яҡшы ҡарау	favour
яратҡан	favourite
ҡурҡырға	fear
ҡурҡыу	fear
мәжлес	feast
ҡауырһын	feather
сифаттар	feature
айырылып торорға	feature
сифаттар	features
февраль	february
туҡ	fed up
түләнес	fee
ашатырға	feed
һөрәнләнеш	feedback
һиҙергә	feel
тойғо	feeling
аяҡтар	feet
йығылып төшкән	fell
иптәш	fellow
һиҙгән	felt
ҡатын-ҡыҙ	female
ҡойма	fence
уңдырышлы	fertile
үрсеүгә һәләтле	fertile
фестиваль	festival
алып килтерергә	fetch
юғары температура	fever
аҙ	few
аҙыраҡ	fewer
кейәү	fiance
ялған	fiction
матур әҙәбиәт	fiction
даирә	field
ялан	field
ярһыу	fierce
ун биш	fifteen
илле	fifty
һуғыш	fight
һуғышырға	fight
һуғыш	fighting
фигура	figure
иҫәпләргә	figure
асыҡлап белергә	figure out
файл	file
тултырырға	fill
тултырылған	filled
төшөрөргә	film
фильм	film
бысраҡ	filthy
ахырҙа	finally
финанстар	finance
финанс	financial
табырға	find
асыҡларға	find out
яҡшы	fine
штраф	fine
бармаҡ	finger
тамамларға	finish
тамамланған	finished
ут	fire
ныҡ	firm
фирма	firm
беренсе	first
исем	first name
балыҡ	fish
тура килергә	fit
биш	five
төҙәтергә	fix
төҙәтелгән	fixed
флаг	flag
сатҡы	flash
момент	flash
фатир	flat
йәйпәк	flat
етешһеҙлек	flaw
мөнһөҙ	flawless
ҡасып ҡотолорға	flee
тән	flesh
осҡан	flew
бөгөргә	flex
һығылмалы	flexible
осош	flight
әйләндерергә	flip
ҡыйшанлау	flirt
ғишыҡ уйыны	flirting
йөҙөргә	float
ташҡын	flood
иҙән	floor
он	flour
ағым	flow
ағырға	flow
сәскә	flower
грипп	flu
иркен	fluent
иркен	fluently
ҡабарынҡы йөнлө	fluffy
шыйыҡса	fluid
осорға	fly
фокус	focus
иғтибарҙы тупларға	focus
томан	fog
томанлы	foggy
папка	fold
бөкләргә	fold
халыҡтар	folks
эйәрергә	follow
артынан эйәрерга	follow up
түбәндәге	following
аҙыҡ-түлек	food
алдарға	fool
алйот	fool
аҡылһыҙ	foolish
аяҡ	foot
футбол	football
өсөн	for
Мәҫәлән	For example
мәҫәлән	for instance
һинең өсөн	for you
тыйылған	forbidden
көс	force
алдан әйтеп ҡуйыу	forecast
маңлай	forehead
сит илдәге	foreign
урман	forest
мәңгелеккә	forever
оноторға	forget
ғәфү итергә	forgive
онотҡан	forgot
сәнске	fork
яһарға	form
форма	form
формаль	formal
элекке	former
бәхеткә ҡаршы	fortunately
уңыш	fortune
байлыҡ	fortune
яҙмыш	fortune
ҡырк	forty
ҡырҡ ике	forty-two
алға	forward
тапшырырға	forward
тәрбиәләп үҫтерергә	foster
һуғышҡан	fought
тапҡан	found
нигеҙ һалырға	found
фонд	foundation
нигеҙ	foundation
дүрт	four
ун дүрт	fourteen
төлкө	fox
мурт	fragile
рам	frame
структура	framework
мутлыҡ	fraud
нишана	freak
ирекле	free
түләүһеҙ	free
ирек	freedom
туңдырырға	freeze
йышлыҡ	frequency
йышлыҡ	frequent
аҙым һайын	frequently
яңы	fresh
йома	friday
һыуытҡыс	fridge
дуҫ	friend
күңелсәк	friendly
дуҫтар	friends
дуҫлыҡ	friendship
ҡурҡҡан	frightened
ҡурҡыныс	frightening
тәлмәрйен	frog
ал	front
туңдырылған	frozen
емеш-еләк	fruit
борсоулы	frustrated
яғыулыҡ	fuel
фула теле	Fulfulde
тулы	full
күңелле	fun
функция	function
эшләргә	function
нигеҙ һалыусы	fundamental
ерләү	funeral
ҡыҙыҡ	funny
йөн	fur
ярһыу	furious
мебель	furniture
ары	further
унан да бигерәк	furthermore
киләсәк	future
файҙа	gain
эшләп алырға	gain
уйын	game
бушлыҡ	gap
гараж	garage
суп сар	garbage
баҡса	garden
һарымһаҡ	garlic
ҡапҡа	gate
йыйынырға	gather
йыйылышыу	gathering
үлсәргә	gauge
биргән	gave
күсергес	gear
гендер	gender
дөйөм	general
генерал	general
ғәҙәттә	generally
етештерергә	generate
быуын	generation
етештереү	generation
йомарт	generous
даһи	genius
жанр	genre
яғымлы	gentle
ихлас	genuine
ым	gesture
булырға	get
алырға	get
кейенергә	get dressed
торорға	get up
тиҙерәк һауығығыҙ	get well soon
ала торған	getting
шәүлә	ghost
юҡ булыу	ghosting
гигант	giant
бүләк	gift
ерән	ginger
имбирь	ginger
ҡыҙ	girl
иптәш ҡыҙы	girlfriend
бирергә	give
бирешергә	give up
бирелгән	given
шат	glad
күҙ ташларға	glance
быяла	glass
стакан	glass
күҙлек	glasses
осҡон	glimpse
глобаль	global
ҡараңғы	gloomy
күңелһеҙ	gloomy
бирсәткәләр	gloves
яҡтырырға	glow
яҡтыртыу	glow
йәмләнергә	glow up
елем	glue
барырға	go
алға барырға	go ahead
китәле	go away
йоҡларға ятырға	go to bed
маҡсат	goal
маҡсаттар	goals
кәзә	goat
хоҙай	god
иҫән булығыҙ	god bless you
бара	goes
китеп бара	going
йыйылам	going to
алтын	gold
киткән	gone
йыйыла	gonna
йәбешкәк	goo
изгелек	good
һәйбәт	good
хәйерле көн	good afternoon
һау булығыҙ	good bye
хәйерле көн	good day
хәйерле кис	good evening
бик яҡшы	good job
сибәр	good looking
уңыштар	good luck
хәйерле иртә	good morning
хәйерле иртә һөйөүем	good morning my love
тыныс йоҡо	good night
хуш бул	goodbye
тыныс йоҡо	goodnight
тауарҙар	goods
Гугл	Google
Гугл Тәржемәсе	Google Translate
ҡаҙ	goose
һоҡланғыс	gorgeous
ғәйбәт	gossip
алған	got
аңланым	got it
хөкүмәт	government
ҡулға алырға	grab
дәрәжә	grade
аҡрынлап	gradually
тамамлаусы	graduate
иген	grain
грант	grant
бирелгән	granted
виноград	grapes
тоторға	grasp
үлән	grass
баяныслы	grateful
рәхмәт хисе	gratitude
ҡәбер	grave
етди	grave
һоро	gray
бик яҡшы	great
бөйөк	great
ҡомһоҙлоҡ	greed
ҡомһоҙ	greedy
йәшел	green
сэлэм әйтергә	greet
тәбрикләү	greeting
сәләмләү	greetings
һоро	grey
селтәр	grid
ҡайғы	grief
ваҡларға	grind
тоторға	grip
бакалея	grocery
кейәү	groom
тулайым	gross
нигеҙ	ground
ер	ground
төркөм	group
үҫергә	grow
үҫеү	growth
уғыр	grumpy
гуарани теле	Guarani
гарантия	guarantee
ҡарауылсы	guard
әйтеп ҡарарға	guess
ҡунаҡ	guest
етәкселәр	guidance
өгөтсө	guide
йүнәлтергә	guide
ғәйепле	guilty
егет	guy
егеттәр	guys
тренажер залы	gym
ғәҙәт	habit
йәшәү мөхите	habitat
булды	had
борсаҡ	hail
сәләмләргә	hail
сәс	hair
ярты	half
зал	hall
ҡул	hand
еңеп сығырға	handle
тотҡа	handle
матур	handsome
элергә	hang
һәптәнләп йөрөргә	hang out
килеп сығырға	happen
булған	happened
бәхет	happiness
бәхетле	happy
тыуған көнөң менән	happy birthday
тыуған көнөң менән	happy birthday to you
яңы йыл менән	happy new year
ҡаты	hard
ауыр	hard
саҡ ҡына	hardly
бик һирәк	hardly ever
зарар	harm
зарар итергә	harm
зарарлы	harmful
аһәңлелек	harmony
ҡаты	harsh
уңыш	harvest
бар	has
дошман күрергә	hate
бар	have
уңышлы көн һиңә	have a good day
көнөң яҡшы булһын	have a nice day
иртәнге ашты ашарға	have breakfast
күңел асырға	have fun
һин ашағаның бар мы	have you eaten
биләү	having
хәүеф-хәтәр	hazard
еңел томан	haze
ул	he
уныҡы бар	he has
ул	he is
баш	head
етәкселек итергә	head
баш ауыртыу	headache
именәйтергә	heal
төҙәлергә	heal
дауалау	healing
һаулыҡ	health
һау	healthy
ишетергә	hear
ишеткән	heard
йөрәк	heart
йылы	heat
именәйтергә	heat
йәннәт	heaven
ауыр	heavy
биҙгәк	hectic
буй	height
вариҫ	heir
талау	heist
тотҡан	held
тамуҡ	hell
Һаумыһығыҙ	Hello
һаумы ҡәҙерлем	hello dear
сәләм ни хәлдәр	hello how are you
һаумырығыҙ хэлдэрегеҙ нисек	hello how are you doing
шлем	helmet
ярҙам итергә	help
файҙалы	helpful
биннәтижә	hence
уны	her
көтөү	herd
бында	here
мираҫ	heritage
шикләнеү	hesitate
Сәләм	Hey
Сәләм	Hi
сәләм хәлдәр нисек	hi how are you
Сәләм	Hi there
йәшерелгән	hidden
йәшерергә	hide
иерархия	hierarchy
юғары	high
билдәләргә	highlight
походҡа барырға	hike
йәйәүле туризм	hiking
бик күңелле	hilarious
уба	hill
уны	him
ишара	hint
бот	hip
янбаш	hips
ялларға	hire
яллау	hiring
уның	his
тарих	history
һуғырға	hit
Хмм	Hmm
хобби	hobby
тоторға	hold
тороп тор	hold on
тишек	hole
байрам	holiday
эсе ҡыуыш	hollow
өй	home
өйгә эш	homework
намыҫлы	honest
намыҫлы	honestly
йөрәкәйем	Honey
Бал	Honey
ихтирам	honor
капюшон	hood
ырғаҡ	hook
һикерергә	hop
өмөтләнергә	hope
өмөт	hope
өмөт менән	hopefully
өмөтһөҙлөк	hopeless
горизонталь	horizontal
мөгөҙ	horn
ҡот осҡос	horrible
ҡурҡыныслыҡ	horror
ат	horse
дауахана	hospital
ҡунаҡсыллыҡ	hospitality
үткәрергә	host
хужа	host
дошманлыҡ	hostile
эҫе	hot
ҡунаҡхана	hotel
сәғәт	hour
сәғәт	hours
йорт	house
йорт хужалыҡ	household
нисек	how
һинең хаҡта	how about you
хәлдәр нисек	how are you
хәлдәр нисек	how are you doing
хәлдәрең нисек бөгөн	how are you doing today
һин бөгөн нисек	how are you today
хәл-әхүәлдәрең нисек	how do you do
нисек	how is
нисә	how many
күпме	how much
йыш мы	how often
һиңә нисә йәш	how old are you
көнөң нисек үтте	how was your day
төнөң нисек үтте	how was your night
әммә	however
хаб	hub
ирекаем	hubby
ҡосаҡлау	hug
ҡосаҡларға	hug
бик ҙур	huge
әҙәм	human
тыйнаҡ	humble
дымлы	humid
дымлылыҡ	humidity
йөҙ	hundred
ас	hungry
һунар	hunt
ҡойон	hurricane
ҡаваланырға	hurry
тиҙерәк	hurry up
бәлектергә	hurt
ир	husband
ығы-зығы килергә	hustle
ығы-зығы	hustle
бәләкәй өй	hut
гигиена	hygiene
Мин	I
мин	I am
Минең барыһы ла яҡшы	I am fine
мин алам	I can
мин алмайым	I can't
Эйе	I do
мин белмәйем	I do not know
Мин аңламайым	I do not understand
мин түгел	I don't
мин белмәйем	I don't know
Мин аңламайын	I don't understand
Һин нимә әйтергә теләгәнеңде мин аңламайым	I don't understand what you mean
Мин һине аңламайым	I don't understand you
мин белмәйем	I don’t know
мин аңламайым	I don’t understand
моғайын	i guess
Миндә булған ине	I had
миндә бар	I have
мин булдым	I have been
шулай булыр тип өмөтләнәм	I hope so
мин беләм	I know
Миңә оҡшай	I like
һин миңә оҡшайһың	I like you
мин яратам	I love
Мин ағайымды яратам	I love my big brother
Мин апайымды яратам	I love my big sister
Мин атайымды яратам	I love my father
Мин ҡустымды яратам	I love my little brother
Мин һеңлемде яратам	I love my little sister
Мин әсәйемде яратам	I love my mother
Мин һине яратам	I love you
мин һине шул тиклем яратам	I love you so much
мин дә һине яратам	I love you too
мин әйтергә теләйем	I mean
мин һине һағынғынмын	I miss you
мин һине бик һағынам	I miss you so much
күрәм	I see
тип уйлайым	I think
мин аңлайым	I understand
мин теләйем	I want
һине күргем килә	I want to see you
мин һине теләйем	I want you
мин булдым	I was
мин	I will
мин булыр инем	I would be
мин	I'm
минең барыһы ла яҡшы	I'm fine
минең барыһы ла яҡшы	I'm good
мин бында	I'm here
ғәфү ит мине	I'm sorry
боҙ	ice
туңдырма	ice cream
идея	idea
идеаль	ideal
берҙәй	identical
айыра сисергә	identify
шәхсиәт	identity
йүләр	idiot
һыбай	idle
әгәр	if
иғтибарһыҙ ҡалдырырға	ignore
сирле	ill
законһыҙ	illegal
ауырыу	illness
илокано теле	Ilocano
һүрәт	image
күҙ алдына килтерергә	imagine
хәҙер үк	immediate
шул уҡ саҡта	immediately
бик ҙур	immense
йоғонто	impact
тәьҫир итергә	impact
түҙемһеҙ	impatient
булдырырға	implement
сит илдән индереү	import
сит илдән индерергә	import
мөһим	important
мәжбүр итергә	impose
йонмауыҡ	impossible
хайран ҡалдырырға	impress
тәьҫорат	impression
тәьҫирле	impressive
яҡшыртырға	improve
яҡшыртыу	improvement
өҫтәүенә	in addition
Ысынбарлыҡта	In fact
алдында	in front of
өсөн	in order to
ярамаған	inappropriate
ҡылғатҡыс	incentive
этәргес көс	incentive
инцидент	incident
индерергә	include
шул иҫәптән	including
килем	income
уңайһыҙлыҡ	inconvenience
арттырыу	increase
арттырырға	increase
күбәйгән	increased
иҫ киткес	incredible
ысынлапта	indeed
бойондороҡһоҙ	independent
Һиндостан	India
күрһәтергә	indicate
аҫаба	indigenous
шәхси	individual
сәнәғәт	industry
ҡотолғоһоҙ	inevitable
яңы тыуған бала	infant
инфекция	infection
сикһеҙлек	infinity
шешеү	inflammation
инфляция	inflation
йоғонто	influence
тәьҫир итергә	influence
хәбәр итергә	inform
мәғлүмәт	information
ингредиенттар	ingredients
мираҫ	inheritance
иң тәүге	initial
инициатива	initiative
яраланған	injured
йәрәхәт	injury
яҙыҡһыҙ	innocent
инновация	innovation
тәфтишләү	inquiry
ахмаҡ	insane
бөжәк	insect
икеләнеүсән	insecure
ҡуйырға	insert
эстә	inside
башҡа уй төшөү	insight
ныҡышырға	insist
йоҡоһоҙлоҡ	insomnia
илһам	inspiration
дәртләндерергә	inspire
ҡуйырға	install
өлгө	instance
моменталь	instant
урынында	instead
урынына	instead of
инструкциялар	instructions
инструмент	instrument
мыҫҡыл итергә	insult
страхование	insurance
тейелмәгән	intact
бөтөнлөк	integrity
интеллектуаль	intellectual
разведка	intelligence
аҡыл	intelligence
аҡыллы	intelligent
ниәт итергә	intend
ниәтләнгән	intended
ныҡ	intense
ниәт	intention
үҙ-ара бәйләнешергә	interact
үҙ-ара бәйләнеше	interaction
мәнфәғәт	interest
ҡалаҡыҙыҡһынған	interested
ҡыҙыҡлы	interesting
буталырға	interfere
аралыҡ	intermediate
эске	internal
халыҡ-ара	international
стажировка	internship
интернатура	internship
телдән тәржемә итергә	interpret
телдән тәржемә итеүсе	interpreter
бүлдерергә	interrupt
интервью	interview
интим	intimate
эскә	into
таныштырға	introduce
инеш	introduction
интроверт	introvert
интуиция	intuition
ғәмәлдә түгел	invalid
уйлап табырға	invent
инвентаризация	inventory
аҡса һалырға	invest
тикшереү үткәрергә	investigate
саҡырыу	invitation
саҡырырға	invite
иҫәп-фактура бирергә	invoice
иҫәп-фактура	invoice
ылыҡтырырға	involve
тарттырылған	involved
үтектергә	iron
тимер	iron
утрау	island
айырым	isolated
сығарырға	issue
баҫма	issue
мәсьәләләр	issues
был	it
был	it is
булған	it was
был	it's
барыһы ла яҡшы	it's ok
Барыһы ла һәйбәт	It's okay
предмет	item
предметтар	items
уның	its
мин	I’m
куртка	jacket
төрмә	jail
ғинуар	January
банка	jar
яңаҡ һөйәге	jaw
көнсөл	jealous
ҡапыл хәрәкәт	jerk
иҫәр	jerk
биҙәүес	jewelry
эш	job
йүгереү	jogging
ҡатнашырға	join
уртаҡ	joint
быуын	joint
шаяртыу	joke
журналист	journalist
сәйәхәт	journey
шатлыҡ	joy
хөкөм итергә	judge
вәли	judge
һут	juice
июль	july
һикерергә	jump
июнь	june
иҫке-моҫҡо	junk
ғәҙел	just
эле генә	just
эшлә лә ҡуй	just do it
ғәҙеллек	justice
аҡларға	justify
калааллисут теле	Kalaallisut
дәртле	keen
һаҡларға	keep
ҡалдырырға	keep
артабан да шулай булһын	keep it up
тотҡан	kept
сәйгүн	kettle
төп	key
асҡыс	key
тибергә	kick
бала	kid
шаяртып	kidding
бөрө	kidney
балалар	kids
үлтерергә	kill
һәйбәт	kind
изге	kind
әйтерһең дә	kinda
һөйкөмлө	kindly
изгелек	kindness
король	king
үбергә	kiss
аш бүлмәһе	kitchen
осорғос	kite
бесәй балаһы	kitten
тубыҡ	knee
белгән	knew
бысаҡ	knife
рыцарь	knight
белергә	know
белем	knowledge
билдәле	known
конкани теле	Konkani
крио теле	Krio
этикетка һалыу	label
этикетка	label
хеҙмәт	labor
хеҙмәт	labour
етмәҫкә	lack
баҫҡыс	ladder
леди	lady
ханым	lady
һалынған	laid
күл	lake
бәрәс	lamb
аҡһаҡ	lame
лампа	lamp
ер өҫтөнә ҡунырға	land
ил	land
пейзаж	landscape
тел	language
итәк	lap
өлкән	large
дауам итергә	last
һуңғы	last
һуңғыһы, әммә мөһим	last but not least
фамилия	last name
һуң	late
был арала	lately
һуңыраҡ	later
иң һуңғыһы	latest
һуңғы	latter
көлөргә	laugh
көлөү	laughing
көлкө	laughter
осорорға	launch
кер йыуыу	laundry
закон	law
газон	lawn
юрист	lawyer
һалырға	lay
ҡат	layer
ойоштороу	layout
ялҡау	lazy
ҡурғаш	lead
алып барырға	lead
етәксе	leader
япраҡ	leaf
ағып кәмергә	leak
ябыҡ	lean
һикерергә	leap
өйрәнергә	learn
өйрәнеү	learning
ҡуртымға алыу	lease
иң аҙ	least
кәжән	leather
китергә	leave
ҡалдырыу	leave
китә	leaves
япраҡтар	leaves
алып килтергән	led
һулға	left
ҡалған	left
аяҡ	leg
мираҫ	legacy
законлы	legal
легенда	legend
законға ярашлы	legit
ял ваҡыты	leisure
бурысҡа бирергә	lend
оҙонлоҡ	length
аҙыраҡ	less
дәрес	lesson
бирергә	let
хат	letter
хәреф	letter
салат үләне	lettuce
кимәл	level
рычаг	leverage
яуаплылыҡ	liability
китапхана	library
яларға	lick
ялған	lie
ятырға	lie
буш һүҙҙәр	lies
ята	lies
тормош	life
мендерергә	lift
лифт	lift
ут	light
еңел	light
яндырырға	light
йәшен	lightning
яҡтылыҡ	lightning
оҡшатырға	like
моғайын	likely
шулай уҡ	likewise
һыҙыҡ	line
лингала теле	Lingala
һылтанма	link
арыҫлан	lion
шыйыҡса	liquid
күсермә	list
тыңларға	listen
тыңлау	listening
ысын мәғәнәһендә	literally
әҙәбиәт	literature
сүп сар	litter
бәләкәй	little
йәшәргә	live
тере тауыш	live
бауыр	liver
йәшәүсе	liver
йәшәй	lives
кешенең ғүмерҙәре	lives
йәшәү	living
ҡунаҡ бүлмәһе	living room
кеҫәртке	lizard
йөк	load
эшһеҙ тик йөрөргә	loaf
буханка	loaf
бурысҡа	loan
урындағы	local
урынлашыуы	location
бикләргә	lock
йоҙаҡ	lock
бөҙрә	lock
карантин	lockdown
бүрәнә	log
лол	lol
яңғыҙ	lonely
ынтылырға	long
оҙон	long
күптән күрешмәнек	long time no see
ҡараш	look
ҡарарға	look
элмәк	loop
көрпәк	loose
мөмкинлек бирергә	loose
хужа	lord
юғалтырға	lose
юғалтыу	loss
юғалған	lost
насип	lot
күп	lot
көслө	loud
ҡунаҡ бүлмәһе	lounge
яратырға	love
мөхәббәт	love
һине яратам	love you
йәмле	lovely
ләпәк	low
түбәнерәк	lower
тоғро	loyal
тоғролоҡ	loyalty
уңыш	luck
уңышлы	lucky
луганда теле	Luganda
багаж	luggage
киҫәк	lump
төшкө аш	lunch
үпкә	lungs
зиннәтлек	luxury
алдау	lying
ятҡан	lying
машина	machine
уҫал	mad
аҡылдан яҙған	mad
мадам	madam
эшләгән	made
журнал	magazine
магазин	magazine
мөһабәт	magnificent
хеҙмәтсе	maid
ҡыҙ	maid
төп	main
дауам итергә	maintain
хеҙмәтләндереү	maintenance
майтхили теле	Maithili
бөтәһенән бигерәк	major
майор	major
күпселек	majority
итергә	make
макияж	make up
килешергә	make up
ир кеше	male
сауҙа үҙәге	mall
кеше	man
булдыра алырға	manage
етәкселәр	management
менеджер	manager
мәжбүри	mandatory
беленергә	manifest
хәйлә ҡорорға	manipulate
рәүеш	manner
инструкция	manual
күп	many
был көндә иң изге теләктәремде еткерәм	many many happy returns of the day
март	march
маршта йөрөргә	march
һаҡлам	margin
баҙар	market
никах	marriage
никахта торған	married
битлек	mask
күп кеше ҡатнашҡан	mass
сикһеҙ	massive
белгес	master
әфәнде	master
ҡушланырға	match
шырпы	match
дуҫ	mate
материал	material
математика	math
йомош	matter
әһәмиәт тоторға	matter
өлгөргәнлек	maturity
май	may
мөмкин	may
ихтимал	maybe
миңә	me
мин дә	me too
ашамлыҡ	meal
яман	mean
ҡарау	mean
мәғәнә	meaning
йүн	means
күҙ уңында тотҡан	meant
шул арала	meanwhile
үлсәргә	measure
саралар	measures
ит	meat
медицина	medical
медицина	medicine
дарыу	medicine
медитация	meditation
уртаса	medium
осрарға	meet
осрашыу	meeting
манипури теле	Meiteilon
ирергә	melt
иҫтәлектәр	memories
хәтер	memory
психик	mental
телгә алырға	mention
телгә алынған	mentioned
остаз	mentor
сауҙагәр	merchant
шәфҡәтлелек	mercy
генә	merely
раштыуа байрам менән	merry christmas
бардак	mess
хәбәр	message
иптәлмәгән	messy
металл	metal
ысул	method
сысҡандар	mice
уртаса	middle
төн уртаһы	midnight
көс	might
күпшек	mild
этап	milestone
хәрби	military
һөт	milk
миллион	million
ҡаршы әйтергә	mind
аҡыл	mind
фекерләү образы	mindset
минеке	mine
шахта	mine
ҡушылырға	mingle
икенсе дәрәжәләге	minor
бәлиғ булмаған	minor
минут	minute
минуттар	minutes
мөғжизә	miracle
көҙгө	mirror
төрлө	miscellaneous
шаян	mischievous
ҡыҙғаныс	miserable
ҡайғы-хәсрәт	misery
ҡалдырырға	miss
һағынырға	miss
тейҙерә алмаҫҡа	miss
һине һағындым	miss you
юғалған	missing
миссия	mission
томан	mist
хата	mistake
мизо теле	Mizo
мобиль	mobile
мыҫҡыл итергә	mock
модель	model
уртаса	moderate
кәметергә	moderate
хәҙерге	modern
баҫалҡы	modest
дымландырырға	moist
еүешлек	moisture
формалаштырырға	mold
форма	mold
миң	mole
әсәй	mom
саҡ	moment
дүшәмбе	monday
аҡса	money
староста	monitor
күҙәтергә	monitor
маймыл	monkey
ай	month
кәйеф	mood
мыжыҡ	moody
ай	moon
әхлаҡи	moral
күберәк	more
ул ғына ла түгел	moreover
иртә	morning
ипотека	mortgage
күпселек	most
күпселек	mostly
әсәй	mother
хәрәкәт	motion
мотивация	motivation
тау	mountain
сысҡан	mouse
ауыҙ	mouth
ҡуҙғалырға	move
хәрәкәт	movement
кино	movie
миссис	mrs
йәбештерергә	mrs
күп	much
бысраҡ	mud
көрөшкә	mug
мускул	muscle
музей	museum
бешмәк	mushroom
музыка	music
тейеш	must
кәрәклек	must
тауышһыҙ	mute
үҙ-ара	mutual
минең	my
Ҡәҙерлем	My dear
дуҫым	my friend
Минең һауа карабым йыланбалыҡтар менән тулы	My hovercraft is full of eels
йәнем	my love
минең исемем	my name is
рәхәтләнеп	my pleasure
үҙемде	myself
серле	mysterious
сер	mystery
миф	myth
сөй	nail
тырнаҡ	nail
бер ҡатлы	naive
исем	name
хикәйә	narrative
тар	narrow
ерәнес	nasty
милли	national
милләт	nationality
туған	native
тәбиғи	natural
тәбиғәт	nature
күңел болғаныу	nausea
янында	near
яҡында	nearby
тиерлек	nearly
ипле	neat
кәрәк	necessary
муйын	neck
муйынсаҡ	necklace
кәрәк	need
мохтажлыҡ	need
тиҫкәре	negative
иғтибар итмәҫкә	neglect
фекер алышырға	negotiate
күрше	neighbor
өлөш	neighborhood
бер ниндәй ҙә	neither
бер туғандың улы	nephew
аҡыллы баш	nerd
ҡыҙыу	nervous
оя	nest
селтәр	net
селтәр	network
нейтраль	neutral
бер ҡасан да	never
бер ҡасан да бирешмә	never give up
мөһим түгел	never mind
мөһим түгел	nevermind
шулай булһа ла	nevertheless
яңы	new
яңылыҡтар	news
киләһе	next
эргәһендә	next to
һәйбәт	nice
танышыуыма бик шатмын	nice to meet you
бер туғандың ҡыҙы	niece
төн	night
төнгө кошмар	nightmare
туғыҙ	nine
ун туғыҙ	nineteen
туҡһан	ninety
Юҡ	No
ҡайғырма	no problem
бер ни өсөн дә	no way
бер кем дә	nobody
шау	noise
шаулы	noisy
бер кем дә	none
төш	noon
юҡ	nope
ғәҙәти	normal
төнъяҡ	north
танау	nose
ерһенмәү	nostalgic
түгел	not
бер нисек тә	not at all
арыу	not bad
Әле түгел	Not now
әлегә юҡ	not yet
иғтибар итергә	note
билдәләнгән	noted
бер нимә лә	nothing
иғтибар итергә	notice
күреп ҡалған	noticed
исем	noun
исемдәр	nouns
роман	novel
ноябрь	november
һәҙер	now
беҙҙең заманда	nowadays
күңелһеҙлек	nuisance
нуль	null
ҡатҡанлыҡ	numb
номер	number
һан	number
медсестра	nurse
сәтләүек	nut
мөшкәт	nutmeg
туҡланыу	nutrition
ант	oath
һимереү	obesity
буйһонорға	obey
объект	object
ҡаршы килергә	object
маҡсат	objective
йөкләмә	obligation
тоноҡ	obscure
күҙәтеү	observation
күҙәтергә	observe
йынғаныҡ	obsessed
мауығыу	obsession
иҫке	obsolete
ҡаршылыҡ	obstacle
ҡулға төшөрөргә	obtain
өлгәшкән	obtained
ап-асыҡ	obvious
моғайын	obviously
ҡайһы берҙә	occasionally
һөнәр	occupation
мәшғүл	occupied
барлыҡҡа килергә	occur
булған	occurred
килеп сыға	occurs
океан	ocean
октябрь	october
сәйер	odd
мөмкинлектәр	odds
әлбиттә	of course
һүндерелгән	off
кәмһетеүле	offensive
тәҡдим итергә	offer
тәҡдим	offer
офис	office
вазифалы кеше	official
рәсми	official
йыш	often
Уф	Oh
о, шулаймы ни	oh really
май	oil
ярай	ok
ярар, ҡәҙерлем	ok dear
ярай ҡәҙерлем минең	ok honey
ярай йөрәкәйем	ok my love
ярай	okay
ярай бәләкәсем	okay baby
ярай ҡәҙерлем	okay dear
ярай йәнем	okay honey
ярай йөрәкәйем	okay my love
ҡарт	old
иҫке	old
бер тапҡыр	once
бер	one
бер тел бер выҡытта ла етмәй	one language is never enough
һуған	onion
онлайн	online
генә	only
асыҡ	open
операция	operation
фекер	opinion
