benn	a
baan	grey
ginaar	grid
mettiitu purux	grief
dëbb	grind
poñe	grip
bitigu yu sew	grocery
waajal séet bu góor	groom
goro bu jigéen	gross
suuf	ground
mbooloo	group
màgg	grow
yokkute	growth
naxari dereet	grumpy
Guarani	Guarani
tayle	guarantee
watukat	guard
jàpp ni	guess
galaase	guest
tegtal	guidance
njiit jiite	guide
tooñ	guilty
furset	guy
gaa	guys
bërabu tàggatukaay bu yaram	gym
tàmm	habit
dëkkuwaay	habitat
amoon	had
taw wiswisal	hail
kappot	hair
génn	half
bunt	hall
loxo yéré	hand
defar	handle
rafet	handsome
wékk	hang
wékk	hang out
am	happen
xewoon	happened
mbëggeel	happiness
bég	happy
bés-bu-dellusi bu neex	happy birthday
bés-bu-dellusi moo neex	happy birthday to you
at mu bees ci jàmm	happy new year
metti	hard
daanaka	hardly
barewul	hardly ever
ngaañ gaañ	harm
buy gaañ	harmful
lu mengoo	harmony
metti	harsh
witt	harvest
am	has
bañ	hate
am	have
yendul ak jàmm	have a good day
yendul ak jàmm	have a nice day
ndekki	have breakfast
forox	have fun
ndax lekk nga	have you eaten
Dhivehi	having
lu nu mën a tànn	hazard
mbootaay	haze
moom	he
am na	he has
mu ngi	he is
bopp jiite	head
mettit metti	headache
faatu	heal
faj	healing
wérgu-yaram	health
ànd ak wérgu-yaram	healthy
dégg	hear
déggoo xaatim ab déggoo	heard
xol	heart
lekk	heat
aljana	heaven
diiru liggéey	heavy
tàng	hectic
njoolaay	height
way-donn	heir
càcc	heist
jàppoon	held
safara	hell
Salaam maalekum	Hello
salaam sama waay	hello dear
salaam na nga def	hello how are you
salaam na nga def	hello how are you doing
mbàx	helmet
ndimbal dimbali	help
am njériñ	helpful
kon	hence
bossam	her
coggal	herd
fi	here
ndono	heritage
xel yaar	hesitate
Hey	Hey
Salaam maalekum	Hi
salaam na nga def	hi how are you
Salaam waa fii	Hi there
nëbb	hidden
lañset	hide
kilifteef	hierarchy
kawe	high
biral li gën a fës	highlight
doxantu	hike
dox	hiking
reetaanlu	hilarious
tund	hill
ko	him
tegtal	hint
pooj	hip
ay mooco	hips
jékki saa rekk am	hire
jël	hiring
yefem	his
jaar-jaar	history
dóor	hit
Hé	Hmm
yëngu-yëngu bi nga sopp	hobby
jàpp ni	hold
téyéel	hold on
pax	hole
bënn	hole
bër	holiday
pax	hollow
ker	home
liggéeykat	homework
dëggu	honest
ca dëgg-dëgg	honestly
lem	Honey
fay	honor
kànseer	hood
wékk	hook
tëbantu	hop
yaakaar	hope
cig yaakaar	hopefully
ñàkk yaakaar	hopeless
tàlleeku	horizontal
béjjën mbëkk	horn
metti	horrible
lu nu waajul	horror
fariñ	horse
looy	hospital
terànga	hospitality
gan	host
bañ	hostile
tàng	hot
otel	hotel
waxtu	hour
ay waxtu	hours
kër	house
njaboot	household
naka	how
yaw nag	how about you
na nga def	how are you
Nanga def	how are you doing
naka nga def tey	how are you doing today
na nga def ci bésu tey	how are you today
naka nga	how do you do
nan la	how is
ñaata	how many
ñaata	how much
ñaata yoon	how often
ñaata at nga am	how old are you
naka nga yendoo	how was your day
naka nga fanaane	how was your night
waaye	however
digg	hub
jëkër	hubby
fóon	hug
mag	huge
bu nit	human
woyof	humble
tooy	humid
tooyaay	humidity
téeméer	hundred
xiif	hungry
rëbb	hunt
taw bu àndak ngelaw	hurricane
gaaw	hurry
gaawaay	hurry up
gaañ	hurt
jéggalu	husband
buux	hustle
néegu ñax	hut
cet	hygiene
man	I
man la	I am
Maa ngi ci jàmm	I am fine
mën na nekk	I can
mënula nekk	I can't
Def naa	I do
Xamuma	I do not know
Ndànduma	I do not understand
duggukaay	I don't
Xamuma	I don't know
Nànduma	I don't understand
Xamuma lan nga bëgg a wax	I don't understand what you mean
nànduma la	I don't understand you
Xamuma	I don’t know
nànduma	I don’t understand
foog na	i guess
Amoon naa	I had
am naa	I have
Nekkoon naa	I have been
Yaakaar naa ko	I hope so
xam naa	I know
Bëgg naa	I like
Sopp naa la	I like you
Bëgg naa	I love
Dama bëgg sama mag ju góor	I love my big brother
Dama bëgg sama mag ju jigéen	I love my big sister
Dama bëgg sama baay	I love my father
Dama bëgg sama rakk ju góor	I love my little brother
Dama bëgg sama rakk ju jigéen	I love my little sister
Dama bëgg sama yaay	I love my mother
Dama la bëgg	I love you
Dama la bëgg lool	I love you so much
man ci sama bopp	I love you too
Maa ngi	I mean
Namm naa la	I miss you
Namm naa la lool	I miss you so much
gis	I see
Damay xalaat	I think
Nànd naa	I understand
Bëgg naa	I want
Bëgg naa la gis	I want to see you
Dama la bëgg	I want you
Nekkoon naa	I was
dimbali	I will
doon	I would be
luyaas	I'm
Maa ngi fii	I'm fine
Maa ngi ci jàmm	I'm good
Maa ngi ci jàmm	I'm here
Man itam bëgg naa la	I'm sorry
galaas	ice
radi galaas	ice cream
xalaat	idea
gemmiñ	ideal
niroo	identical
ràññee	identify
dantite	identity
nàkk	idiot
tayal taxawaalu	idle
sufekkee	if
soofantal	ignore
fayu	ill
jaaro wërale	illegal
feebar	illness
Ilocano	Ilocano
nataal	image
xalaatal	imagine
ci saasi	immediate
ci saasi	immediately
rëy	immense
njeexital	impact
am njeexital	impact
yàkkamti	impatient
taxawal	implement
bagaasu bitim réew jëndi bitim réew	import
am solo	important
teg	impose
mënul nkk	impossible
yéem	impress
mool	impression
rafet	impressive
yòkku	improve
yokkute	improvement
ci	in
rax ci dolli	in addition
ndegem	In fact
ci kanamu	in front of
ngir	in order to
jaget	inappropriate
neexal	incentive
xew-xew	incident
duggal	include
boole ci	including
payoor	income
xat-xat	inconvenience
yokkute yokk	increase
yokku	increased
bu kenn mësula gis	incredible
ca dëgg-dëgg	indeed
bu beru	independent
Réewum Endë	India
wone	indicate
way-dëkk bu njëkk	indigenous
bosu ku nekk	individual
bërabu defarukaay	industry
fàttewoon	inevitable
liir	infant
jàngoro	infection
amul àpp	infinity
mettit	inflammation
yokku	inflation
yobbaale	influence
yëgal	inform
xibaar	information
ay safsafal	ingredients
ndono	inheritance
bu njëkk	initial
ndogal	initiative
gaañ gaañu-gaañu	injured
gaañu	injury
ku deful dara	innocent
yeesal	innovation
caytu	inquiry
dof	insane
gumba	insect
wóoradi	insecure
duggal	insert
ci biir	inside
gis-gis	insight
teg baaraam	insist
ñàkk nelaw	insomnia
xalaat	inspiration
won yoon	inspire
teg	install
misaal	instance
waxtu	instant
waaye	instead
laal	instead of
ay ndigal	instructions
jumtukaay	instrument
saaga	insult
kaar toxal	insurance
lu ci ëpp	intact
jom	integrity
jàngkat	intellectual
muus rafet	intelligence
muus	intelligent
bëgg	intend
njoort	intended
yokku	intense
bëgg-bëgg	intention
jóg	interact
jëfee	interaction
soxal	interest
àjjewoo	interested
am solo	interesting
duggal	interfere
bu diggante	intermediate
ci biir	internal
lu war war	international
liggéeyu kër	internship
fippu	interpret
jottalikat	interpreter
dagg	interrupt
waxtaan	interview
xat xamal	intimate
ci	into
wonale	introduce
duggal	introduction
ku nekk	introvert
yëg-yëg	intuition
laago	invalid
sos	invent
woññ	inventory
duggal	invest
saytu	investigate
woote	invitation
nganale	invite
faktiir	invoice
boole	involve
boole	involved
weñ paase yéré	iron
mooy	is
dëkk bu ndox wër	island
beroon	isolated
jafe-jafe	issue
ay jafe-jafe	issues
ko	it
moom la	it is
nekkoon na	it was
moorso yéré	it's
baax na	it's ok
baax na	It's okay
jumtukaay	item
ay jumtukaay	items
sen	its
Maa ngi	I’m
jacket	jacket
kaso	jail
Sanwiye	January
ndaa	jar
ngaam	jaw
fii tamit	jealous
saay-saay	jerk
takkaay	jewelry
liggéey	job
dawu tàggat-yaram	jogging
fekkeel ay bésu mbegte yu bare	join
boole daggate	joint
kaay fii	joke
taskatu xibaar	journalist
tukki	journey
mbegte	joy
àttekat àtte	judge
sii	juice
sulet	july
tëb	jump
suweng	june
këf	junk
kese	just
def ko rekk	just do it
yoon	justice
leeral	justify
Kalaallisut	Kalaallisut
xobe	keen
deñc	keep
wëyal ci noonu	keep it up
deñc tëj	kept
satala	kettle
caabi	key
dóor	kick
gom	kid
tooñ	kidding
roñoo	kidney
ay gune	kids
rey	kill
baax	kind
xeet	kind
xeetu	kinda
ci baaxaay	kindly
baaxaay	kindness
buur	king
fóon	kiss
waañ	kitchen
naxaatekat	kite
muus	kitten
óom	knee
xamoon	knew
paaka	knife
warkatu fas	knight
xam	know
xam-xam	knowledge
xam	known
Konkani	Konkani
Krio	Krio
màndarga	label
dóor waar	labor
liggéey	labour
ñàkk	lack
seel	ladder
jigéen	lady
tegoon	laid
dex	lake
mboqq	lamb
soox	lame
lammiñ	lamp
suuf wàcc	land
nataalu wëreef	landscape
kalamaa	language
wóom war	lap
yaatu	large
muggal	last
bu mujj waaye du fi yam	last but not least
sànt	last name
yekhe	late
ci lu yàggul	lately
ci kanam	later
bii mujj	latest
bi mujj	latter
ree	laugh
ree	laughing
reetaan	laughter
sànni gaal	launch
póot	laundry
yoon	law
ñax	lawn
layalkat digal	lawyer
teg	lay
lal	layer
tëralin	layout
tayal	lazy
jiite	lead
njiit	leader
xob	leaf
senn	leak
weeru	lean
tëb	leap
jàmp	learn
njàng	learning
lutax déed	lease
bi gën a tuuti	least
dereet	leather
dem	leave
ay xob	leaves
jiite yoon	led
càmmoñ	left
tànk	leg
ndono	legacy
jaar yoon	legal
leb	legend
dagan	legit
féexal xol	leisure
abal	lend
gudd	length
lu yàggul	less
njàng	lesson
bàyyi	let
bataaxal araf	letter
tóor-tóor	lettuce
tolluwaay	level
doole	leverage
kilifteef	liability
kafkat	library
mar	lick
fëll	lie
ay fen	lies
duma	life
ndimbal yëkati	lift
leer	light
melax	lightning
bëgg niroo	like
melni	likely
melni	likewise
lii mooy	line
Lingala	Lingala
jokkoo	link
gàtt	lion
luy faral di am	liquid
kayitu firnde	list
déglu	listen
déglu	listening
ci anam gu wér	literally
linu joxe jox	literature
jaxasoo	litter
tuuti	little
dëkk	live
res	liver
ay dund	lives
dund	living
salong	living room
sindax	lizard
diisaay natt	load
miir	loaf
bor àbal	loan
bu diwaan bi	local
bërab	location
tëj	lock
tëj	lockdown
dougou	log
lu leer	lol
wéet	lonely
Guarani	long
géj a gise	long time no see
melokaan	look
ci biir yoon wi	loop
wàññeeku ñàkk	loose
borom	lord
réeral	lose
ñàkk	loss
ñàkkoon	lost
bari	lot
kaw lal	loud
salong	lounge
nob	love
bëgg la	love you
rafet	lovely
gàtt	low
suufé	lower
am kóllëre	loyal
kóllëre	loyalty
wërsëg	luck
am wërsëg	lucky
Luganda	Luganda
bagaas	luggage
dajale	lump
añ	lunch
xëtër	lungs
rafetaay	luxury
tëdd	lying
masin	machine
dof	mad
soxna si	madam
defaroon	made
téere	magazine
rafet	magnificent
mbind	maid
ëpp	main
téyé	maintain
toppatoo	maintenance
Maithili	Maithili
raw	major
lu ëpp	majority
defar	make
Maithili	make up
góor	male
jaba	mall
góor	man
jiite	manage
toppatoo	management
njiit	manager
mënul	mandatory
leer	manifest
yëngal	manipulate
defin	manner
bu loxo defar	manual
bare	many
féey	many many happy returns of the day
dox	march
pegg	margin
jaayoon	market
céyt	marriage
sëyoon	married
muur	mask
mbooloo	mass
bare	massive
moket	master
séy	match
ànd	match
àndandoo	mate
jumtukaay	material
màndaxe	math
soxla	matter
ñoraay	maturity
mën	may
mën na am	maybe
man	me
Man itam	me too
ñam	meal
soxor	mean
tekki	mean
tekki	meaning
jumtukaay	means
tekkiwoon	meant
ci noonu	meanwhile
natt	measure
ay dogal	measures
yàpp	meat
bu kër dogtoor	medical
gannaaw dooleel	medicine
xalaat	meditation
digg	medium
daje	meet
ndaje	meeting
Meiteilon	Meiteilon
seeyal	melt
ay fàttali	memories
xel	memory
bu xel	mental
tudd	mention
tuddoon	mentioned
njiit	mentor
jaaykat	merchant
yërmànde	mercy
ci anam bu woyof	merely
nowelu jàmm	merry christmas
jaxasoo	mess
bataaxal	message
jaxasoo	messy
weñ	metal
tëralin	method
ay jinax	mice
ci digg	middle
xaaju guddi	midnight
mënoon	might
neex	mild
jéego	milestone
soldaar	military
mëebalu deñcukaay	milk
tamdareet	million
xel	mind
tolluwaayu xel	mindset
sama bos	mine
jaww	mingle
bu ndaw	minor
simili	minute
ay simili	minutes
kéemtaan	miracle
seetu	mirror
yu sew	miscellaneous
soxor	mischievous
ndóol	miserable
naqqar	misery
namm jànq	miss
namm la	miss you
bi fa nekkul	missing
yitté	mission
laata	mist
njuumte	mistake
Mizo	Mizo
buy dox	mobile
tooñ	mock
royuwaay	model
bunu yamale yamale	moderate
xew	modern
woyof	modest
tooy	moist
tooyaay	moisture
nëb-nëb móol	mold
monte sax	mole
yaay	mom
diir	moment
altine	monday
xaalis	money
wattu njiit	monitor
gisoon	monkey
weer	month
nekkinu yaram	mood
bari jikko	moody
weer	moon
yedd	moral
yeneen	more
rax ci dolli	moreover
ci suba	morning
tayle	mortgage
lu dul jeex	most
lu barewul	mostly
yaay	mother
yëngatu	motion
cawarte	motivation
tund	mountain
jikko	mouse
gëmmentu	mouth
randal toxu	move
yënguteef	movement
sinemaa	movie
soxna si	mrs
bare	much
ban	mud
kaas	mug
suux	muscle
muusaay	museum
sampiñoo	mushroom
misaal	music
lu toll ci ci	must
noppi	mute
bunu bokk	mutual
sama	my
Sama soppe	My dear
sama xarit	my friend
Sama gaalu masin buy naaw dafa fees ak jaanu géej	My hovercraft is full of eels
sama soppe	my love
maa ngi lay jaajëfal bu baax	my name is
sama bànneex	my pleasure
malaaka	myself
lëndëm	mysterious
kee	mystery
lu raglu	myth
we	nail
ñàkk xel	naive
tur	name
nettali	narrative
sew wàññi	narrow
soxor	nasty
ci réew mi	national
nasiyonaalite	nationality
judd	native
yomb	natural
jëloon	nature
xel mu teey	nausea
jëfu amalin	near
ci wet gi	nearby
daanaka	nearly
set	neat
lu mën a rey	necessary
baat	neck
caqq	necklace
soxla	need
bon	negative
fàtte	neglect
waxaale	negotiate
dëkkandoo	neighbor
dëkkandoo	neighborhood
kémtaan	neither
jarbaat	nephew
jàngat saytu	nerd
mer	nervous
tàgg	nest
maye	net
jokkoo	network
màndi	neutral
mës a	never
bul mës a bàyyi	never give up
bul faale	never mind
bul faale	nevermind
moone	nevertheless
bees	new
ay xibaar	news
bi ci topp	next
ci wetu	next to
rafet	nice
bég naa ci xam la	nice to meet you
jarbaat	niece
guddaay	night
génnukaay	nightmare
juróom-ñeent	nine
fukk-ag-juróom-ñeent	nineteen
juróom-ñeent i fukk	ninety
Déedéet	No
amul solo	no problem
ñàkk pexe	no way
kenn	nobody
coow	noise
bare coow	noisy
darra	none
diggante	noon
déed	nope
te it	nor
jaar yoon	normal
bëj-gànnaar	north
bakkan	nose
namm	nostalgic
amoul	not
Du léegi	not at all
tane na	not bad
du kenn	Not now
ba léegi	not yet
bind	note
bindoon	noted
dara	nothing
seetlu yëgle	notice
ràññeewoon	noticed
tur	noun
ay tur	nouns
téere bees	novel
nowàmbar	november
léegi	now
jamono dig-daje	nowadays
tilim	nuisance
baxsaay	null
laabiir	numb
lijjanti	number
faj neexal	nurse
xoox	nut
doomeraam	nutmeg
lekk	nutrition
waat	oath
pataawaay	obesity
topp	obey
jumtukaay	object
jubluwaay	objective
wareef	obligation
lëndëm	obscure
caytu	observation
xool	observe
sës	obsessed
bëggeel gu jéggi dayoo	obsession
yàgg	obsolete
ndigg-sërëx	obstacle
jot	obtain
jotoon	obtained
leer	obvious
ci anam bu leer	obviously
yenn saa yi	occasionally
li xew gindeeku	occupation
bindee	occupied
ñëw	occur
amoon	occurred
am	occurs
géej	ocean
oktoobar	october
raglu	odd
ay xawaare	odds
mu	of
ci lu wóor	of course
Dinaa	off
song	offensive
may ndogal	offer
biro	office
bu siiw	official
faral di am	often
Oh	Oh
oh dëggantaan	oh really
diñeer	oil
baax na	ok
waaw sama soppe	ok dear
waaw sama xol	ok honey
waaw sama xol	ok my love
baax na	okay
waaw bebe	okay baby
waaw sama soppe	okay dear
waaw-kay nijaay	okay honey
waaw-kay sama soppe	okay my love
màggat	old
ci kaw	on
benn yoon	once
benn	one
benn làkk du doy mukk	one language is never enough
soble	onion
enseñëër	online
rekk	only
ubbi	open
jëflante	operation
xalaat	opinion
ay bunt	opportunities
wërsëg	opportunity
safaan	opposite
rafet njort	optimistic
tànneef	option
lu nëbbu	optional
wala	or
soraans melo soraans	orange
sant	order
laaj	order
yem	ordinary
mbooloo dëbb	organization
jubluwaay	orientation
cosaan	origin
bu cosaan	original
Oromo	Oromo
jinne	orphan
beneen	other
ci beneen anam	otherwise
wara	ought
sunu sunuy	our
Suñu yéené mooy : fexe ba ku nekk ak fumu mën a nekk mën di jokkalante tek si di wax ak kàllaama yi.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Suñu yitté mooy : defar xibaari àddina ak fexe ba ku nekk mën ci jot te mu am njëriñ.	Our mission: to organize the world's information and make it universally accessible and useful.
ci biti	out
njureef	outcome
yéré	outfit
ubbeeku	outgoing
genn	outlet
tënk	outline
ci biti	outside
kawe	outstanding
puur	oven
jeex	over
ci kaw	over
fii nii	over there
lépp	overall
daan	overcome
xalaat yu bare	overthinking
ëppal	overwhelmed
fas takk	overwhelming
moom	owe
lool lu doy	owl
bopp moom	own
borom	owner
nag bu góor	ox
jéegi dayoo	pace
ëmb	pack
ëmb	package
fayda	paid
mettit	pain
pentiir	paint
pentiir	painting
ñaar	pair
ñàkk solo	pale
tenq	palm
pool	pan
mbartal	pandemic
tiit	panic
tubéy	pants
kayit	paper
àjjana	paradise
jagleel	parallel
paket	parcel
njéggal	pardon
ay way-jur	parents
bërabu féexlukaay	park
seku	parrot
persil	parsley
pàcc	part
bokk	participate
wuute	particular
rawatina	particularly
faralul di am	partner
ngoonal	party
jàkkaarloo	pass
jàlloon	passage
jàllale	passed
mbedd	passion
xobe	passionate
lu jamp	passive
baatu ubbikaay	password
weesu	past
defaraat	patch
yoonu tool	path
am yërmànde	pathetic
mukk	patience
muñkat	patient
way-tawat	patient
rafetal	pattern
dallu	pause
peggu tali	pavement
fàww mu am	pay
payoor	payment
jàmbaare	peace
bu am jàmm	peaceful
napp	peach
coll	peak
puwaar	pear
pëti-puwa	peas
gu ñu miinul	peculiar
saw	pee
xolli	peel
mooy	peer
ay naatangoo	peers
xalima	pen
bindukaay	pencil
xaarandi	pending
nit ñi	people
poobar	pepper
gis	perceive
yëg-yëg	perception
mu ngi	perfect
def	perform
jeexoon	performance
mën na am	perhaps
waxtu mbaax	period
luy rogalaan	permanent
ndigal	permission
may	permit
góor wala jigéen	perseverance
dëgër bopp	persistent
nit	person
bopp	personal
taxawaayu jëmm	personality
gis-gis	perspective
yey	persuade
saay-saay	pervert
rabu kër	pet
tolluwaay	phase
këll	phenomenon
xeltu	philosophy
telefon	phone
nataal	photo
baataan bu yam	phrase
bu yaram	physical
jël	pick
foqqale	pick up
nataal	picture
pàcc	piece
ay daggit	pieces
mbaam-xuux	pig
pitax	pigeon
tegale	pile
njegenaay	pillow
jiite	pilot
péngu daaj	pin
anaanaas	pineapple
xooraay	pink
foorse	pit
guddaay	pitch
yërëm	pity
bërab teg	place
ay bërab	places
pest	plague
leer	plain
tëralin	plan
ropalaan	plane
jëya	plant
ay garab	plants
palaat	plate
kayitu toftalu bataaxal	platform
po fo	play
fitt	playing
neex	pleasant
jàpp ci	please
ngir Yàlla	please
bég	pleased
bànneex	pleasure
dibéer	pledge
lu baax baax	plenty
suuf	plot
roof	plug
prume	plum
defarkatu robine	plumber
lu bare	plural
podkast	podcast
taalif	poem
mbindaan	poetry
tomb	point
poson	poison
polis	police
politig	policy
yaru	polite
tilim	pollution
déeg	pond
mbalit	pool
puub	poop
ndóol	poor
siiw jaar	pop
siiw	popular
askan	population
mbaam	pork
ruy	porridge
poor	port
taxawaay	position
wóor	positive
moom	possess
moomeel	possession
taqq	possessive
mën na nekk	possible
yëgle siiwal	post
fomb	postpone
pataas	potato
lu mën a ànd	potential
dëbb	pound
ndóol	poverty
doole	power
am doole	powerful
jaar yoon	practical
tàggat tàggatu	practice
ñaan delloo njukkal	praise
tooñ	prank
jukki	pray
am njériñ	precious
leer	precise
film	precisely
gisaane	predict
tànn	prefer
tànneef	preference
ëmb	pregnant
tooñ gu réy	prejudice
bërab yi	premises
bu mucc ayub	premium
waajal	preparation
waaj togg	prepare
waajaloon	prepared
wàll	preposition
teewaay	presence
jamono	present
wonin	presentation
sàmm	preserve
njiit	president
nalukaay bës	press
fóon saafonte	pressure
mbaxane	pretend
rafet	pretty
tere	prevent
bi jiitu	previous
rëbb	prey
njëg	price
mbegte	pride
laayi	priest
bu jiitu	primary
bi njëkk	prime
doom bu jigéen	princess
bu ëpp solo	principal
lu jiitu	prior
lu jëm ci	priority
karot	prison
lu mu yàgg yàgg	privacy
bu nëbbu	private
gën defaraat	privilege
neexal	prize
soo demee	probably
jafe-jafe	problem
tëralin	procedure
wëy	proceed
doxalin yu xel nàngu	process
defar	produce
méngoo jël	product
defar	production
liggéey	profession
mën a jur	professional
jaar-jaar	profile
bonefiis	profit
xóot	profound
yokkute yokk	progress
mbebët	project
am solo	prominent
dig-daje	promise
yokk	promote
yokkute	promotion
gaaw	prompt
dëféendu	prone
ay baat yu wuutu tur	pronouns
waxin	pronunciation
firnde	proof
jaar yoon	proper
ci anam bu jaar yoon	properly
moomeel	properties
moom mu ngi	property
xalaat	proposal
yaakaar	prospect
alal	prosperity
am alal	prosperous
aar	protect
bég	proud
wone	prove
joxe	provide
joxe	provided
diwaan	province
ndugg	provision
tàmbali gis mbaax	puberty
bu siiw	public
xëcc	pull
naajo	pumpkin
am kàddu	punctual
teew waxtu	punctual
ndongo	pupil
jënd ak jaay	purchase
sell	pure
wiyolet	purple
yitté	purpose
gàcce	purse
topp	pursue
topp	pursuit
puus	push
teg	put
lijjaasa	qualification
baaxaay	quality
tolluwaay	quantity
ber	quarantine
xulóo	quarrel
ñeenteelu pàcc	quarter
Quechua	Quechua
Lingala	queen
reelu	queer
jiixi-jaaxa	query
laaj	question
rang	queue
gaaw	quick
gaaw	quickly
dal	quiet
kaw ga	quilt
dakkal	quit
lool	quite
laaj	quiz
wax	quotation
wax	quote
faktiir	quotes
njombor	rabbit
rawante	race
mer	rage
taw	rain
yokkute yëkati	raise
yar	raised
yéegoon	raised
dawoon	ran
yenn saa	random
xeet toppalante	range
gaaw	rapid
ci lu gaaw	rapidly
jafe	rare
néew na lu muy	rarely
piccu yaram	rash
kan mooy	rat
njëg	rate
war a	rather
pàcc	ratio
lu wuute	rational
bu ñorul	raw
defaat	re
jot naa ci	reach
jotoon	reached
tontu	reaction
jàng	read
jàng	reading
noppi	ready
dëgg	real
ci dëgg	reality
gis	realize
xam	realized
Dëgg la	really
ci ginnaaw	rear
lu tax	reason
bu xel nangu	reasonable
fàttali	recall
kayit	receipt
jot	receive
jot yaatuwaay	received
bu yàggul	recent
lu xewoon	recently
teertu	reception
kopp	recipe
ñàkk xel	reckless
xammee	recognition
xàmmee	recognize
dig	recommend
digal	recommended
deñc	record
wér	recover
wér	recovery
ñeenti koñ	rectangle
xonq	red
jéggalu	redeem
jege	redemption
wàññi	reduce
lu ëpp	redundant
topp	refer
loxo joxe	reference
feeñal	reflect
seetu	reflection
waxaat	refrain
firigo	refrigerator
delloo	refund
bañ	refuse
bañoon	refused
jox	regard
lu aju ci	regarding
bu bokkul fenn	regardless
ay nuyoo	regards
diw	region
bindu	register
rëccu	regret
faral	regular
lu faral di am	regularly
dàqq	reject
nettali	relate
lëkkale	related
diggante	relationship
mbiru koppar	relative
ay mbokk	relatives
dal	relax
bàyyi	release
bàyyi	released
firikat	relevant
wóor	reliable
wallu	relief
wallu	relieve
tane	relieved
digle	religion
diine	religious
ñàkk a wóolu	reluctant
wéeru ci	rely
deru kiwiir	remain
bi des	remaining
siiw	remarkable
paj	remedy
fàttali	remember
fatt	remind
fattali	reminder
sore	remote
dindi	remove
delloo	render
luy wéy	rent
defar	repair
bamtuwaat	repeat
wuutu	replace
tontu	reply
yëgle yëgal	report
leeral	represent
jaar-jaar	reputation
laaj kéemtaan	request
sant	require
sant	required
wallu	rescue
gërëm	research
niroo	resemble
yëg-yëg	resentment
téere	reservation
wàllu	reserve
way-dëkk	resident
bàyyi	resign
dëkkoo	resilience
muñ	resilient
bañ	resist
fimu war a nekk	resistance
ndogal	resolution
saafara	resolve
dallukaay	resort
ay jumtukaay	resources
sutura weg	respect
wuyu	respond
tontu	response
kilifa	responsibility
kii kan la	responsible
noppalu dal	rest
yal na suuf sedd sa kaw	rest in peace
bërabu lekkukaay	restaurant
indi fitna	restore
wàññi	restrict
njureef	result
ay njureef	results
tàmbaliwaat jaar-jaar	resume
jaay	retail
téyé	retain
téyé	retention
alatereete	retired
dellu	retreat
defaraat	retrieve
delloo	return
feeñ	reveal
leeral	revealed
fayoon	revenge
payoor	revenue
walbati	reverse
saytu xoolaat	review
xoolaat	revise
xoolaat	revision
fippu	revolution
neexal	reward
tëggin	rhythm
côte	rib
ceeb	rice
am alal	rich
yewwi	rid
tèggil	rid
yéeg war	ride
reetaanlu	ridiculous
jub	right
léegi	right now
dëgër	rigid
jaar-jaar jaar	ring
bomb	rinse
fippu	riot
dagg-dagg dagg	rip
ñor	ripe
yégg yékati	rise
lu wër àdduna	risk
wujj	rival
dex	river
yoon	road
fiir	roast
dëgër	robust
xeer	rock
yat	rod
cër	role
lëmës	roll
palaafong	roof
néeg	room
reen	root
buum	rope
nëb	rotten
dëgër	rough
melni	roughly
wër	round
yoon	route
faral di am	routine
rangale	row
fomp	rub
golo	rubber
mbalit	rubbish
sën	rubbish
reew	rude
Mizo	rug
yàqq	ruin
sàrt	rule
buur	ruler
ay sàrt	rules
daw	run
buy daw	running
bu dëkku kaw	rural
song songandoo	rush
saag	sack
lu aju ci	sacred
sarax	sacrifice
wóor	safe
tukki ci jàmm	safe flight
kaarànge	safety
yeewu	sage
waxoon	said
dem géej	sail
dem géej	sailing
bëgg-bëgg	sake
payoor	salary
jaay	sale
sómóo	salmon
xorom	salt
benn la	same
fii	Same here
misaal	sample
suuf	sand
Sanskrit	Sanskrit
reetaanlu	sarcastic
reew	sassy
toogoon	sat
mbegte	satisfaction
bég	satisfied
bég	satisfy
bégal	satisfying
gaawantul	Saturday
sosison	sausage
soxor	savage
déñ-kumpa	save
gisaane	saw
wax	say
natt	scale
nax	scam
ñaas	scar
lex	scarce
ragal	scared
musiba	scarf
raglu	scary
tasaarewoon	scattered
bërab	scene
xew-xew	scenery
xet	scent
tëralin	schedule
daara	school
xarala	science
xeltukat	scientist
ay xeltukat	scientists
sisó	scissors
dóor	scold
dayoo	scope
duggal sa loxo ci	score
dellu gannaaw	scrap
xoos	scratch
yóoxu	scream
xooltu	screen
wiis	screw
mbind	script
gaynde	sea
tampong	seal
wër	search
jàmm	season
toogukaay	seat
ñaareel	second
jaan	secret
pàcc	section
aar	secure
kaarànge	security
gis	see
ba beneen	see you
ba ci kanam	see you later
ba ci kanam	see you soon
ba ëllëg	see you tomorrow
jirim	seed
seet	seek
melni	seem
melni	seems
gis	seen
ebinal	seize
Bindal	seizure
barewul li muy	seldom
tànn	select
bopp	self
faj	self healing
nay	selfish
jaay	sell
yonni	send
yónnee ma sa foto	send me your picture
mag	senior
yëg	sense
yëg	sensible
yëg	sensitive
yónniwoon	sent
àtte	sentence
ay baataan	sentences
xàjjale	separate
Sepedi	Sepedi
sattumbar	september
diine	sequence
toppante	series
woor	serious
ci anam bu dëggu	seriously
joxe	serve
bànxaas	service
pàcc	session
jumtukaay	set
defar	set up
defar	setting
saafara	settle
juróom-ñaar	seven
fukk-ag-juróom-ñaar	seventeen
juróom-ñaar i fukk	seventy
yu bare	several
tar	severe
ñaw	sew
sh	sh
kenn	shade
takkandeer	shadow
yëngal	shake
