a little	халта
explore	шудалха
export	эльгээхэ
expose	гаргажа табиха
exposed	нээгэтэй
exposure	холбоо бариһан
express	хэлэгдэхэ
expression	харуулалга
extend	һунааха
extended	үргэжэлэгдэһэн
extension	үргэдхэлгэ
extent	шата
extent	зэрэг
external	гадаада
extinct	үгы болоһон
extra	тусгаар
extract	гаргаха
extraordinary	нормоһоо хазайлга
extreme	адаг
extremely	угаа
extremely	тон
eye	нюдэн
eyes	нюдэн
fabric	бүд
fabulous	гайхалтай
face	нюур
facilitate	туһа хүргэхэ
facilities	таатай байлга
facility	арга
facility	объект
fact	баримта
factor	нүхэсэл
factory	фабрика
factory	үйлэдбэри
facts	баримтанууд
fade	бүдэхирхэ
fail	золгүй ябадал
failed	болоогүй
failure	арсалта
faint	һула
fair	зүйтэй
fairly	маша
fairy	эльбэ шэдитэ
faith	этигэл
faithful	үнэн шударгуу
fake	худал
fall	намар
fall	унаха
FALSE	худал
fame	алдар
familiar	танил
familiar	мэдээжэ
family	гэр бүлэ
famine	үлэсхэлэн
famine	гаридалга
famous	алдартай
fan	һайшаагша
fan	һэбюур
fancy	гоё гоо
fantastic	юрэ буса
fantastic	гайхамаар
far	холо
farewell	хахасалга
farm	фермэ
farmer	фермер
fascinating	ирагуу һайхан
fashion	мода
fast	хурдан
fat	тарган
fatal	заяагаараа
fate	заяа
father	эсэгэ
fatigue	эсэбэри
fault	зэмэ
fault	гэм
favorite	тон дуратай
favour	дуратай
favourite	тон дуратай
fear	айдаһан
feast	баяр
feather	үдэн
feature	онсо зүйл
features	түхэл
february	хоёрдохи һара
fed up	ойгоо гутаһан
fee	түлбэри
feed	эдеэлүүлхэ
feedback	һайшаал
feel	мэдэрхэ
feeling	мэдрэмжэ
feet	хүл
fell	унаһан
fellow	хүбүүн
fellow	залуу
felt	мэдэрһэн
female	эмэ
fence	хашаа
fence	хорёо
fertile	үрэжэлтэй
festival	һайндэр
fetch	асарха
fever	халуурха
few	хэдхэн
fewer	халуун
fiance	хадамда ошохо болоһон
fiction	һанаанһаа абаһан юумэн
field	оршом
field	поли
fierce	ехэ сухалтай
fifteen	арбан табан
fifty	табин
fight	байлдаан
fighting	зодолдоон
fighting	наншалдаан
figure	түлэб
figure out	ойлгожо абаха
file	файл
fill	дүүргэхэ
filled	дүүргэһэн
film	кино
filthy	муухай
finally	һүүлэй һүүлдэ
finance	мүнгэн һан
financial	мүнгэн һангай
find	олохо
find out	олохо
fine	эрхим һайн
finger	хурган
finish	дуһаха
finished	дууһаһан
finished	дүүргэһэн
fire	гал
firm	хатуу
first	түрүүшын
first name	нэрэ
fish	загаһан
fit	тааралдаха
five	табан
fix	заһаха
fixed	заһаһан
flag	туг
flash	дүрд гээд носолго
flat	хабтагар
flaw	дутуу
flawless	тон сэбэр
flee	зугадаха
flesh	бэе махабод
flew	ниидэһэн
flex	нугархай
flexible	нугархай
flexible	уян
flight	ниидээн
flip	урбуулха
flirt	hээтгэнэлгэ
flirting	hээтгэнэх
float	тамарха
flood	үер
floor	шала
flour	талхан
flow	урадхал
flower	сэсэг
flu	хамшаг
fluent	тордиһогүй
fluently	сүлөөтэй
fluffy	барбагар
fluid	шингэн
fly	ниидэхэ
focus	фокус
fog	манан
foggy	манантай
fold	эбхэхэ
folks	түрэлхид
follow	дахаха
follow up	дахаха
following	дахадаһан
food	эдеэн
fool	эрьюу хүн
foolish	тэнэгшэг
foot	хүл
football	хүл бүмбэгэ
for	түлөө
For example	Жэшээлбэл
for instance	жэшээ болгоо һаа
for you	танда
for you	шамда
forbidden	хорюултай
force	хүсэ
forecast	прогноз
forehead	духа
foreign	хари
forest	ой
forever	хододоо
forget	мартаха
forgive	хүлисэхэ
forgot	мартаһан
fork	һэрээ
form	хэб
formal	хуулиин гуримай
former	хуушанхи
fortunately	азаар
fortune	аза
forty	дүшэн
forty-two	дүшэн хоёр
forward	урагшаа
foster	ургуулха
fought	тулалдаһан
found	олдоһон
foundation	сан
four	дүрбэн
fourteen	арбан дүрбэн
fox	үнэгэн
fragile	хэбрэг
frame	хүреэ
framework	хажа
fraud	луйбардалга
freak	тэншүү
free	сүлөөтэй
freedom	эрхэ сүлөө
freeze	хүлдэхэ
frequency	түргэн удаанай хэмжээн
frequency	частота
frequent	ходо
frequently	ходо
fresh	шэнэ
friday	табадахи үдэр
fridge	хүргэгшэ
friend	нүхэр
friendly	хани хандалгатай
friends	нүхэд
friendship	нүхэрлэл
frightened	айһан
frightening	һүгэдөөхэ
frightening	айлгаха
frog	баха
from	ханаһаа
front	урдахи
frozen	хүлдэһэн
fruit	жэмэс
frustrated	уруу дуруу
fuel	түлишэ
Fulfulde	Фулфулдэ
full	дүүрэн
fun	зугаа
function	ябуулга
fundamental	һууриин
funeral	хүдөөлхэ
funny	энеэдтэй
fur	арһан
furious	ехэ сухалтай
furniture	гэр соохи бараан
further	саашаа
furthermore	саашань
future	ерээдүй
gain	оложоролго
game	наадан
gap	забһар
garage	гараж
garbage	бог шорой
garden	сэсэрлэг
garlic	гоогол
gate	хаалга
gather	сугларха
gathering	сугларха
gauge	хэмжэхэ
gave	үгөөб
gear	оньһон
gender	хүйс
general	юрэнхы
generally	юрэдөө
generate	бүтээхэ
generation	үе
generous	бардам гартай
genius	сэсэ мэргэн ухаан
genre	түхэл хэлбэри
genre	жанр
gentle	энхэргэн
genuine	бодото
gesture	зангалга
get	абаха
get dressed	хубсалха
get up	бодохо
get well soon	хурдан һайн болоорой
getting	абадаг
ghost	үзэгдэл
ghost	хии
ghosting	hүнhэн
giant	асари томо
gift	бэлэг
ginger	улаан шара
ginger	сагаан гаа
girl	басаган
girlfriend	нүхэр басаган
give	үгэхэ
give up	дүрөө үгэхэ
give up	баригдаха
given	үгэгдэһэн
glad	баяртай
glance	хараса
glass	шэл
glasses	шэл
glimpse	шэртэхэ
global	дэлхэйн
gloomy	харалган
gloomy	барагар
gloves	бэлэй
glow	яларха
glow	толорхо
glow	гэрэлтүүлхэ
glow up	яларха
glue	сабуу
go	ябаха
go ahead	сашаа ябаха
go ahead	урагшаа ябаха
go away	яба саашань
go to bed	орондоо ор
goal	зорилго
goals	зорилго
goat	ямаан
god	бурхан
god bless you	бурхан адислаг
goes	ябадаг
going	ябаһан
going to	ошохоо байна
gold	алтан
gone	үгы болоһон
gonna	тиихээ байнаб
goo	уярһан
good	һайн
good afternoon	үдэрэй амар мэндэ
good bye	баяртай
good day	һайн үдэр
good evening	үдэшын амар мэндэ
good job	һайн ажал
good looking	һайн харагдадаг
good luck	амжалта хүсэнэб
good morning	үглөөнэй амар мэндэ
good morning my love	үглөөнэй амар мэндэ инагни
good night	һайн амараарай
goodbye	дахин уулзатараа баяртай
goodnight	һайн амараарай
goods	бараа
Google	Гүгл
Google Translate	Гүгл Оршуулагша
goose	галуун
gorgeous	жабхаланта
gossip	хоб
got	абаһан
got it	ойлгооб
got it	абааб
government	засаг
grab	шүүрэхэ
grade	сэгнэлгэ
gradually	бага багаар
graduate	дүүргэхэ
grain	орооһон
grant	грант
granted	үгэһэн
grapes	уһан үзэм
grasp	ойлгохо
grass	ногоон
grateful	аша үрэтэй
gratitude	баяр баясхалан
grave	булаша
gray	боро
great	агууехэ
great	ехэ
greed	харуу зан
greedy	харуу
green	ногоон
greet	мэндэшэлхэ
greeting	мэндэшэлгэ
greetings	мэндэшэлгэ
grey	боро
grid	хүсэнэг
grief	гашуудал
grind	тээрмэдэхэ
grip	шүүрэн абаха
grocery	бакалей
groom	хүрьгэн хүбүүн
gross	дүн
ground	газар
group	бүлэг
grow	ургаха
growth	ургаса
grumpy	сухалтайшаг
Guarani	Гуарани
guarantee	найдабари
guarantee	гаранти
guard	харуул
guard	хамгаалагша
guess	тааха
guest	айлшан
guidance	хүтэлбэрилгэ
guide	газаршалагша
guilty	зэмэтэй
guy	хүбүүн
guys	залуушуул
gym	бэеэ һорихо газар
habit	дадал
habitat	оршон тойрон байдал
had	бии байһан
hail	мүндэр
hair	үһэн
half	хахад
hall	томо таһалга
hand	гар
handle	барюул
handle	бэеэ бариха
handsome	дура татасатай
hang	үлгэхэ
hang out	зайха
happen	болохо
happened	болоһон
happiness	жаргал
happy	жаргалтай
happy birthday	түрэһэн үдэрэй амар мэндэ хүргэнэб
happy birthday to you	түрэһэн үдэрэй амар мэндэ хүргэнэб
happy new year	шэнэ жэлэй амар мэндэ
hard	хатуу
hardly	хатуугаар
hardly ever	бараг хэзээшье бэшэ
harm	гай
harmful	хорото
harmony	тааралдал
harsh	хатуу
harvest	ургаса
hate	үзэн ядаха
have	байха
have a good day	үдэрөө һайн үнгэрүүлөөрэй
have a nice day	үдэрөө һайн үнгэрүүлэрэй
have breakfast	үглөөнэй сай бариха
have fun	зугаалаарай
have you eaten	эдеэлээ гүш
have you eaten	эдеэлээ гүт
hazard	аюул
haze	манан
he	тэрэ
he has	тэрэндэ байна
he is	тэрэ бол
head	толгой
headache	толгойн үбэшэн
heal	аргалха
healing	эдэгэхэ
health	элүүр мэндэ
healthy	элүүр
hear	дуулаха
heard	дуулаһан
heart	зүрхэн
heat	бүгшэм халуун
heaven	диваажан
heavy	хүндэ
hectic	хүл табидаг
hectic	үймэдэг
height	үндэр
heir	уг залгамжалагша
heist	тонолго
heist	дээрмэдэлгэ
held	бариһан
hell	тама
Hello	Сайн байна
Hello	Мэндээ
Hello	Һайн байна гүт
hello dear	һайн гүш хонгорни
hello how are you	һайн ямар байнат
hello how are you	мэндээ ямар байнаш
hello how are you doing	мэндээ хэр байнат
hello how are you doing	мэндээ хэр байнаш
helmet	шлем
help	туһалха
helpful	туһатай
hence	иимэһээ
her	тэрэнэй
herd	һүрэг
here	эндэ
heritage	угай зөөри
hesitate	һэжэглэхэ
Hey	Һээй
Hi	Сайн
hi how are you	һайн ямар байнаш
Hi there	Сайн
hidden	нюугдаһан
hidden	нюуса
hide	нюуха
hierarchy	зэргэ дамжаһан
high	үндэр
highlight	илгаха
hike	хада уулаар ябаха
hiking	хада уулаар ябаха
hilarious	энеэдтэй
hill	добо
him	тэрээндэ
hint	хэлэжэ үгэлгэ
hip	гуя
hips	ташаан
hire	хүлһэлхэ
hiring	ажалда абаха
his	тэрэнэй
history	түүхэ
hit	мүргэхэ
Hmm	Ммм
hobby	һонирхол
hold	бариха
hold on	байжа бай
hole	нүхэн
holiday	амралтын үдэр
hollow	хооһон
home	гэр
homework	гэрэй ажал
honest	үнэн сэхэ
honestly	сэхээр
Honey	Бал
honor	нэрэ хүндэ
hood	юудэн
hook	дэгээ
hop	һүрэхэ
hope	найдал
hopefully	найдалтай
hopeless	найдалгүй
horizontal	горизонталь
horizontal	зэргэ шугам
horn	эбэрэлгэ
horrible	тон муухай
horror	аймшаг
horse	морин
hospital	эмнэлгэ
hospitality	хүндэмүүшэ ябадал
host	эзэн
hostile	дайсанай
hot	халуун
hotel	айлшадай буудал
hour	саг
hours	саг
house	гэр
household	айл
how	яажа
how about you	харин ши ямарбши
how are you	хэр байнабта
how are you	хэр байнаш
how are you doing	ямар байнаш
how are you doing	ямар байнабта
how are you doing today	мүнөөдэр ямар байнаш
how are you today	мүнөөдэр ямар байнат
how are you today	мүнөөдэр ямар байнаш
how do you do	ямар байнаш
how do you do	ямар байнат
how is	ямар байнаб
how many	хэдэн
how much	хэдытэй бэ
how often	хэды дахин
how old are you	ши хэдытэйбши
how was your day	танай үдэр ямар байгааб
how was your day	шинии үдэр ямар байгааб
how was your night	шинии һүни хэр үнгэрөөб
however	гэбэшье
hub	түб
hubby	үбгэн
hug	тэбэрилтэ
huge	асари томо
human	хүн
humble	даруу зантай
humid	шиигтэй
humidity	шииг
hundred	зуун
hungry	үлэн
hunt	агнаха
hurricane	шанга һалхин
hurry	яараха
hurry up	түргэлэ
hurry up	яара
hurt	гэмтэхэ
husband	үбгэн
hustle	хөөрсэгэнөөн
hut	малгай
hygiene	арюун сэбэрые сахиха ябадал
I	Би
I am	Би бол
I am fine	би барагби
I can	би шадахаб
I can't	би шадахагүйб
I do	тиинэб
I do not know	би мэдэнэгүйб
I do not understand	Би ойлгоногүйб
I don't	би тиихэгүйб
I don't know	Би мэдэнэгүйб
I don't understand	Би ойлгоногүйб
I don't understand what you mean	Хэлэһэнииешни ойлгоногүйб
I don't understand you	Би таниие ойлгоногүйб
I don't understand you	Би шамайе ойлгоногүйб
I don’t know	би мэдэнэгүйб
I don’t understand	Би ойлгоногүйб
i guess	минии тухайлхада
I had	Намда байһан
I have	намда байна
I have been	Би байгааб
I hope so	Би найданаб
I know	Мэдэнэб
I like	би дуратайб
I like you	танда дура татанаб
I like you	шамда дура татанаб
I love	Би дуратай
I love my big brother	Би ахайдаа дуратайб
I love my big sister	Би эгэшэдээ дуратайб
I love my big sister	Би абгайдаа дуратайб
I love my father	Би абадаа дуратайб
I love my little brother	Би дүүдээ дуратайб
I love my little sister	Би дүүдээ дуратайб
I love my mother	Би эжыдээ дуратайб
I love you	Би шамда дуратайб
I love you	Би танда дуратайб
I love you so much	шамда тон ехэ дуратайб
I love you too	Би баһа танда дуратайб
I love you too	Би баһа шамда дуратайб
I mean	би иигэжэ хэлэхэ һанаатайб
I miss you	шамайгаа һананаб
I miss you so much	Би шамайгаа тон ехэ һанажа байнаб
I see	би харанаб
I see	би ойлгоноб
I think	минии бодолоор
I understand	ойлгоноб
I want	би хүсэнэб
I want	би һананаб
I want to see you	Таниие харахаа һананаб
I want to see you	Шамайе харахаа һананаб
I want you	би таниие хүсэжэ байнаб
I want you	би шамайе хүсэжэ байнаб
I was	би байгааб
I would be	би байхаһамби
I'm	би бол
I'm fine	би бол эрхим һайн байнаб
I'm good	би һайнби
I'm here	би эндэб
I'm sorry	хүлисөөрэй намай
ice	мүльһэн
ice cream	зайрмаг
idea	һанал
ideal	эрхим һайн
identical	адлихан
identify	танилга хэхэ
identity	адли байлга
idiot	уймар хүн
idiot	үбшэнтэй хүн
idle	ажалгүй
ignore	тоохогүй
ill	үбшэлһэн
illegal	хууляар хоригдоһон
illness	үбэшэн
Ilocano	Ииокано
image	зураг
imagine	тухайлха
immediate	хүрэһөөр
immediately	тэрэ доронь
immense	ехэ томо
impact	нүлөө
impatient	тэсэнгүйгөөр
implement	бэелүүлэхэ
import	импорт
important	шухала
impose	һүлжэхэ
impose	уяха
impossible	аргагүй
impossible	болошогүй
impress	мэдэрүүлхэ
impression	хадуужа абаһан юумэн
impressive	хадууса
improve	дээшэлүүлхэ
improvement	һайжаруулга
in	зосоонь
in addition	нэмэреэр
In fact	Нээрһээ
in front of	урда тээнь
inappropriate	аягүй
incentive	урмашуулга
incident	уршаг
include	оруулсаха
including	оруулсаһан
income	оролго
income	оросо
inconvenience	таагүй байдал
increase	дэшэлүүлхэ
increased	дээшэлһэн
incredible	этигэжэ болошогүй
indeed	үнэхөөрөө
independent	бэеэ даанги
India	Энэдхэг
indicate	заагдаха
indigenous	үндэһэн
individual	тусхайта нюурай
industry	ажаүйлэдбэри
inevitable	зайлашагүй
infant	үхибүүн
infection	халдадаг үбэшэн
infinity	эхи захагүй саг
inflammation	хабдар
inflation	инфляци
influence	нүлөөлэлгэ
inform	мэдүүлхэ
information	мэдээсэл
ingredients	оросо
inheritance	угһаа абтаһан шэнжэ
initial	эхинэй
initiative	үүсхэл
injured	шархатаһан
injury	шарха
innocent	гэмгүй
innovation	шэнэлэлгэ
inquiry	шалгажа үзэхэ
insane	галзуурһан
insect	хорхой шумуул
insecure	найдабаригүй
insert	оруулха
inside	дотор
insight	хурса ухаан
insist	болгожо һалаха
insomnia	нойргүйдэл
inspiration	урмашал
inspire	зоригжуулха
install	байгуулха
instance	жэшээ
instant	агшан зуурын
instead	орондо
instead of	орондонь
instructions	заабари
instrument	зэбсэг
insult	баһаха
insurance	мүнхэлэлгэ
intact	носогдоогүй
integrity	үнэн сэхэ байдал
intellectual	ухаанай
intelligence	оюун ухаан
intelligent	һургаалтай
intend	һанаха
intended	зорихо
intended	һанаатай
intense	эршэмтэй
intention	һанаа хүсэл
interact	харилсаха
interaction	харилсаата ябуулганууд
interest	һонирхол
interested	һонирхоһон
interesting	һонирхолтой
interfere	хамааралсаха
intermediate	дунда
internal	доторой
international	уласхоорондын
internship	стаж гаралга
interpret	удхынь элирүүлхэ
interpreter	оршуулагша
interrupt	таһалдуулха
interview	хөөрэлдөөн
intimate	дотор
intimate	инагай
into	уруу
introduce	танилсуулха
introduction	орошол
introvert	эшэһэн зантай хүн
intuition	зүгнэлгэн
invalid	буруу
invent	зохёохо
inventory	эд хогшол
invest	мүнгэ һомололго
investigate	шалгажа үзэхэ
invitation	урилга
invite	уриха
invoice	тоосоо
involve	элсүүлхэ
involved	элсүүлһэн
iron	түмэр
island	ольторог
island	арал
isolated	амяараа
isolated	тусгаар
issue	асуудал
issues	асуудалнууд
it	энэ
it is	энэ бол
it was	энэ байһан
it's	энээнэй
it's ok	тэрэтнай бараг
It's okay	Энэ хадаа бараг
item	зүйл
items	зүйлнүүд
its	энэ
I’m	би бол
jacket	дулаан самса
jail	түрмэ
January	Арбан хоёрдохи һара
jar	шэл һаба
jaw	үргэн
jealous	атаархамаар
jerk	эрьюушэг хүн
jewelry	үнэтэй сэнтэй зүйл
jewelry	эрдэниин шулуун
job	ажал
jogging	гүйлтэ
join	ниилэхэ
joint	бүлхин
joint	шурбэһэн
joke	наадажа хэлэхэ
journalist	һэдхүүлшэн
journey	аяншалга
joy	баяр
judge	шүүхэ
juice	шүүһэн
july	долоодохи һара
jump	һүрэхэ
june	зургаадахи һара
junk	нобшо
just	миин
just do it	миин хэ
justice	үнэн зүб юумэн
justify	сагааруулагдаха
Kalaallisut	Калааллисут
keen	шуналтай
keep	үлөөхэ
keep it up	саашань ябуулагты
kept	абагдаһан
kettle	уһа бусалагша
key	түлхүүр
kick	үдьхэлгэ
kid	хүүгэд
kidding	наадалха
kidney	бөөрэ
kids	үхибүүд
kill	алаха
kind	энхэргэн
kinda	шэнги
kindly	инагаар
kindness	һайн сэдьхэл
king	хаан
kiss	таалалга
kitchen	эдеэнэй таһалга
kite	агаарай дэгдүүхэй
kitten	миисгэйн зулзага
knee	үбдэг
knew	мэдэһэн
knife	хутага
knight	баатар
know	мэдэхэ
knowledge	эрдэм
known	мэдээжэ
Konkani	Конкани
Krio	Крио
label	ярлаг
labor	ажал
labour	хүдэлмэри
lack	дуталга
ladder	гэшхүүр
lady	хатан
laid	хэбтэһэн
lake	нуур
lamb	хурьган
lame	дохолон
lamp	лаампа
land	газар
landscape	байгаали
landscape	тала дайда
language	хэлэн
lap	үбдэг
large	ехэ
last	һүүлшын
last but not least	hүүлшын тиихэдэ шухала
last name	обог
late	орой
lately	һаядаа
later	хожом
latest	һүүлшын
latter	хожом
laugh	энеэхэ
laughing	энеэһэн
laughter	энеэдэн
launch	хүдэлгэхэ
laundry	угаалга
law	хуули
lawn	соорхой
lawyer	үмөөрэгшэ
lay	табиха
layer	дабхар
layout	макет
lazy	залхуу
lead	хүтэлхэ
leader	түрүүлэн ябагшань
leaf	набшаһан
leak	гоожолго
lean	түшэхэ
leap	дэбхэрхэ
learn	шудалха
learning	һургалта
lease	хүлhөөр абаха
least	тон бага
leather	үдэн
leave	гаража ошохо
leave	ошохо
leaves	набшаһанууд
led	асарһан
left	зүүн
leg	хүл
legacy	угай баялиг
legal	хуулита
legend	домог
legit	хуулиин
leisure	заб саг
lend	урьһалха
length	ута богони хэмжүүр
less	бага
lesson	хэшээл
let	зүбшөөхэ
letter	захидал
lettuce	шанцай
level	шата
leverage	ашаглаха
liability	харюусалгатай байлга
library	номой һан
lick	долёохо
lie	худалаар хэлэхэ
lies	худал
life	амидрал
lift	үргэхэ
light	гэрэл
light	хүнгэн
lightning	сахилгаан
like	дуратай
likely	байжа боломоор
likewise	баһа
likewise	мүн
line	зурлаа
line	шугам
Lingala	Лингала
link	холбоон
lion	арсалан
liquid	шингэн
list	хуудаһан
listen	шагнаха
listening	шагналга
literally	үгэ үгөөр
literature	уран зохёол
litter	бог шорой дүүргэхэ
litter	бог шорой
little	бага
little	залуу
live	амидарха
liver	эльгэн
lives	амидарал
living	ажа-амидарал
living room	айлшадай таһалга
lizard	гүрбэл
load	ашалга
loaf	халбаашха
loan	урьһаламжа
local	нютагай
local	эндэхи
location	байрлаһан газар
lock	хааха
lockdown	тусгаарлалта
log	монсогор модон
log	түгэсэг
lol	энеэдэн зугаа
lonely	гансардаһан
long	удаан
long time no see	удаан уулзаагүй
look	үзэхэ
look	хараха
loop	зангилаа
loose	уужам
lord	ноён
lord	эзэн
lose	гээхэ
loss	алдагдал
lost	төөригдэһэн
lot	олон
loud	шанга
lounge	амардаг газар
love	дуран
love you	дуратайб шамдаа
lovely	илдам
low	доро
lower	дооро
loyal	бэеэ үгэнги
loyalty	бэеэ үгэнги ябадал
luck	аза
lucky	азтай
Luganda	Луганда
luggage	ашаа
lump	хуби
lump	хэсэг
lunch	үдын хоол
lungs	уушхан
luxury	тун баян
lying	худалаар хэлэгшэ
machine	машина
mad	тэнэһэн
madam	бүһэгүй
made	хэгдэһэн
magazine	һэдхүүл
magnificent	жабхаланта
maid	барлаг
main	голын
maintain	дүнгэхэ
maintenance	хангалга
Maithili	Майтһили
major	гол шухала
majority	ехэнхи
make	хэхэ
make up	нюур будалта
male	эрэ
mall	ехэ дэлгүүр
man	хүн
manage	дүүргэжэ гараха
management	үндэр аша үрэ туйлаха зорилготой ажал
manager	албан захирагша
mandatory	заатагүй
manifest	манифест
manipulate	мэхэ гохо гаргаха
manner	маяг
manner	аяг
manual	гарын
many	хэды
many many happy returns of the day	олон олон жаргалтай бусаалтанууд үдэрэй
march	алхалалдаан
margin	орохо эрхэ
market	базаар
market	рынок
market	дэлгүүр
marriage	айл болохо
marriage	гэрлэлгэ
married	гэрлэһэн
mask	баг
mass	масса
massive	асари ехэ
master	дархан
master	мастер
match	тааруу байха
mate	хани
material	хэрэглэгдэхэ зүйл
math	тоо бодолго
matter	удхатай
maturity	бэеэ гүйсэлгэ
may	магад
maybe	магадгүй
me	намда
me too	би баһа
meal	эдеэн
mean	түхэлхэ
meaning	удха
means	удхатай
meant	удхатай
meanwhile	тиихэ үедэ
measure	хэмжэхэ
measures	хэмжээ
meat	мяхан
medical	эмшын
medicine	эм
meditation	бясалгал
medium	дундахи
meet	уулзаха
meeting	уулзалга
Meiteilon	Мейтейлон
melt	хайлаха
memories	дурдалга
memories	дурасхал
memory	һанаан
memory	мэдээн
memory	дурасхал
mental	сэдьхэлэй
mention	тэмдэглэхэ
mentioned	дурдаха
mentor	багша
merchant	наймашан
mercy	нигүүлэсхэл
merely	миин
mess	эмхигүй байлга
message	бэшэг
messy	һалан
metal	түмэр
method	онол арга
mice	хулгана
middle	дунда
midnight	һүниин тэн
might	магадгүй
mild	зөөлэн
milestone	шата
military	сэрэгэй
milk	һүн
million	сая
mind	ухаан
mindset	ухаан бодолго
mine	минии
mingle	холигдохо
minor	баахан
minute	минута
minutes	минутанууд
miracle	гайхамшагта зүйл
mirror	толи
miscellaneous	элдэбын
mischievous	зугаатай
miserable	ядуу
misery	зоболон
miss	һанаха
miss you	һананаб шамайгаа
missing	дутаһан
mist	манан
mistake	алдуу
Mizo	Мизо
mobile	мобайл
mock	баһаха
model	маяг
model	модель
model	хэб
moderate	дундуур
modern	мүнөөнэй
modest	даруу
modest	зоной алдаар
moist	шииг
moisture	шииг
mold	бури
mole	мана һохор
mom	эжы
moment	агшан
monday	нэгэдэхи үдэр
money	мүнгэн
monitor	дэлгэсэ
monkey	һармагшан
monkey	бишэн
month	һара
mood	сэдьхэл
moody	эрхэ
moon	һара
moral	арюун ябадалтай
more	үшөө
moreover	улам
morning	үглөө
mortgage	толи барисаанай зээли
most	ехэнхи
mostly	ехэнхидээ
mother	эхэ
motion	хүдэлөөн
motivation	шалтагаантай
mountain	хада уула
mouse	хулгана
mouth	аман
move	хүдэлхэ
movement	хүдэлгөөн
movie	кино
mrs	хадамтай һамган
much	олон
mud	шабар
mug	аяга
muscle	мяха шүрбэһэн
museum	музей
mushroom	һархяаг
music	хүгжэм
must	ёһотой
mute	дуугай
mute	абяа шэмээгүй
mute	хэлэгүй
mutual	хамтын
my	минии
My dear	Минии хонгор
my friend	минии нүхэр
My hovercraft is full of eels	минии онгосо могой загаhаар дүүрэн
my love	минии дуран
my name is	минии нэрэ хадаа
myself	өөрыгөө
mysterious	эди шэдиин
mystery	нюуса
myth	домог
nail	хюмһан
naive	гэнэн
name	нэрэ
narrative	хөөрөөн
narrow	уйтан
nasty	харша
national	үндэһэн
nationality	үндэһэ яһан
native	түрэл
natural	ёһото
natural	бодото
natural	байгаалиин
nature	байгаали
nausea	ойгоо гуталга
nausea	бөөлжэһөө хүрэлгэ
near	хажууда
nearby	хажууда
nearly	дэргэдэ
nearly	шадар
neat	нягта
necessary	хэрэгтэй
neck	хүзүүн
necklace	зүүлтэ
need	хэрэгтэй
negative	арсаһан
neglect	хайхархагүй
negotiate	хэлсэхэ
neighbor	хүршэ
neighborhood	хүршэ айлууд
neither	хэншье
nephew	аша хүбүүн
nerd	номшо хүн
nervous	түргэн сухалтай
nest	уургай
net	мүнгэ зөөри
network	сүлжээ
network	сеть
neutral	хабаадалсаагүй
neutral	һаармаг
never	хэзээшье
never give up	хэзээшье бү диилдэ
never mind	хамаагүй
never mind	һанаандаа бү аба
nevermind	хамаагүй
nevermind	һанаандаа бү аба
nevertheless	болобошье
new	шэнэ
news	һонин
next	удаадахи
nice	гоё
nice to meet you	танилсаһандаа баяртай байнаб
niece	аша басаган
night	һүни
nightmare	аймшаг
nine	юһэн
nineteen	арбан юһэн
ninety	ерэн
No	Үгы
no problem	асуудалгүй
no way	нээрээ гү
no way	зам үгы
nobody	хэншье
noise	дуу
noise	шааяан
noisy	шууятай
none	юушье
noon	үдэ
nope	үгы
nor	бэшэ
normal	хэмээ
normal	элүүр
north	хойно
nose	хамар
nostalgic	ностальги
not	үгы
not at all	юрэдөө бэшэ
not bad	муу бэшэ
Not now	Мүнөө бэшэ
not yet	үшөө үды
note	тэмдэглэл
noted	тэмдэглэгдэһэн
nothing	юуншье
notice	ажаглаха
noticed	тэмдэглэһэн
noun	юумэнэй үгэ
nouns	нэрэ үгэ
novel	роман
november	арбан нэгэдэхи һара
now	мүнөө
nowadays	мүнөө сагта
nuisance	найргүй ушар
null	тэн
numb	хэлэгүй болохо
number	тоо
nurse	субилагша
nut	һамар
nutmeg	һамар
nutrition	эдеэлүүлгэ
oath	амлалта
obesity	таргалал
obey	мэдэлдэ орохо
object	зүйл
object	объект
objective	үнэн сэхээр
obligation	уялга
obscure	хара болгохо
observation	адаглалга
observe	ажаглаха
obsessed	галзуурһан
obsession	һонирхол
obsolete	хуушарһан
obstacle	һаад
obtain	хүртэхэ
obtained	абагдаһан
obvious	сохомтой
obviously	аабза
occasionally	ганса нэгэ
occupation	хүдэлмэри
occupied	эзэлэгдэһэн
occur	болохо
occurred	гараха
occurs	болодог
ocean	далай
october	арбадахи һара
odd	гайхалтай
odds	боломжонууд
of course	ёһото
off	унтарһан
offensive	гомодхооһон
offer	дурадхаха
office	оффис
official	хуулита ёһо
often	ходо
Oh	Ээхь
oh really	нээрээ гү
oil	тоһон
ok	за
ok dear	заа хонгорни
ok honey	заа инагни
ok my love	зай минии дуран
okay	зай
okay baby	заа бэйби
okay dear	заа хонгорни
okay honey	зай инагни
okay my love	заа минии инаг
old	хүгшэн
old	хуушан
on	дээрэ
once	нэгэтэ
one	нэгэн
one language is never enough	нэгэ хэлэн хаанашье хүрэхэгүй
onion	һонгино
online	онлайн
only	гансал
open	нээхэ
operation	операци
opinion	һанамжа
opportunities	боломжонууд
opportunity	боломжо
opposite	нүгөөдэ
optimistic	оптимистическэ
option	опци
or	үгы
or	һаа
orange	шара улаан
orange	жүржэ
order	захиха
