kele	a
foti	error
tila	escape
talitali	escape
jango	especially
sɛbɛn	essay
esansi	essence
kunbaba	essential
kunba	essential
lalɔ	establish
julɔnnna	established
so	estate
fɛɛnw sɔngɔ jatiminasɛbɛ	estimate
jatiminɛ	estimate
kiimɛ	estimate
jateminɛna	estimated
o ni dɔ wɛrɛnw	etc
banbali	eternal
jogodon	ethics
ladili	ethics
ka ewakiye	evaluate
ewaliyasiyɔn	evaluation
hali	even
hali ni	even
hali ni	even though
wulafɛ	evening
koba	event
a laban na	eventually
habada	ever
kelen kelen	every
bɛɛ	everybody
mɔgɔ o mɔgɔ	everyone
bɛɛ	everyone
fɛn bɛɛ	everything
seere	evidence
jugu	evil
ɲɛtaga	evolution
ewoliye	evolve
Ewekan	Ewe
kɔrɔlen	ex
o yɛrɛ	exact
jaati	exactly
cɔ	exactly
leru	exactly
isamɛn	exam
ka sɛgɛsɛgɛ	examine
misaliya la	example
ka tɛmɛ a dan kan	exceed
fisaman	excellent
ka kan ka	except
kɔnɔ	except
fɔ	exception
dantɛmɛ	excess
dantɛmɛ	excessive
kunfalen	exchange
dakun	exchange
min bi yen	excited
.lɔgɔ b'a ra	excited
nisɔndiya	excitement
min bi yen	exciting
kelen	exclusive
hakɛ to	excuse
hakɛto	excuse me
faga	execute
fagali	execution
sariyabolibolo	executive
ɲanagwɛ kɛ	exercise
degeli	exercise
bɔli	exhaust
sigɛn	exhausted
ka jira	exhibit
yirɛyira	exhibition
be yen	exist
ɲɛnamaya	existence
min bɛyen kɔrɔlen	existing
ka bɔ	exit
bonya	expand
ka kan ka	expect
kɔnɔ	expect
tun ka ka kan ka	expected
musakaw	expenses
ka jugu	expensive
ka gwɛlɛ	expensive
kɛkafilɛ	experience
ka kɛ ka lajɛ	experiment
dɔnnibaga	expert
dati bana	expired
fɔ ka yira	explain
lafaamuya	explain
ɲɛfɔli	explanation
ka nafa bɔ	exploit
yɔrɔɲini	explore
yɔrɔkurasɛgɛsɛgɛ	explore
ka la bɔ	export
ka jira	expose
lakanabali	exposed
yirali	exposure
teliman	express
yira	express
fɔcogo	expression
lawɛrɛ	extend
samanen	extended
mɔnɔbɔ	extension
ka lasama	extent
kɔfɛla	external
ka faga	extinct
farankan	extra
ka labɔ	extract
dakabana	extraordinary
damatɛmɛ	extreme
bɛrɛbɛrɛ	extremely
ɲaden	eye
ɲadenw	eyes
finimugu	fabric
kabakoman	fabulous
ɲan	face
nɔgɔya	facilitate
baaraminanw	facilities
nɔgɔya	facility
yɔrɔ	fact
nɔɔ	fact
fɛn	factor
izini	factory
yɔrɔw	facts
nɔɔw	facts
fɔsɔnfɔsɔn	fade
bali	fail
dɛsɛla	failed
ɲɛbaliya	failure
kirin	faint
fisa	fair
fisa	fairly
nsiirin	fairy
lannaya	faith
kantigi	faithful
nanbara fɛn	fake
ben	fall
DAGWƐLƐYA	false
tɔgɔ	fame
min bɛ deli ka kɛ	familiar
gwaso	family
lu	family
denbaya	family
kɔngɔba	famine
tɔgɔma	famous
fifa	fan
fiɲɛdilan	fan
lɔgɔ	fancy
ɲɛnamaba	fantastic
ka jan	far
k'án bɛn	farewell
foro	farm
sɛnɛkɛla	farmer
min dabaliban	fascinating
mɔdɛli	fashion
teliman	fast
tɔlɔ	fat
juguman	fatal
dankan	fate
facɛ	father
sigɛn	fatigue
fili	fault
mandi	favorite
barika	favour
kɛrɛnkɛrɛnlen	favourite
jawuli	fear
siranya	fear
siran	fear
fɛti	feast
dumuniba	feast
si	feather
tagamasiɲɛ	feature
tagamasiɲɛw	features
feviriyekalo	february
fununa	fed up
juru	fee
sɔngɔ	fee
wari	fee
dumu	feed
lakali	feedback
mɛn	feel
nikanko	feeling
kɔnɔnako	feeling
farimasicɛ	feeling
seenw	feet
bennan	fell
jɛɲɔgɔn	fellow
tun ye.mɛn	felt
musoman	female
laminikogo	fence
kogo	fence
yɔrɔdiman	fertile
gintanba	festival
ka ɲini	fetch
farigwan	fever
dɔgɔ	few
dama bɔɔni	fewer
maminɛcɛ	fiance
suya	fiction
foro	field
fari	fierce
tan ni duuru	fifteen
biduuru	fifty
kɛlɛ	fight
kɛlɛ	fighting
dama	figure
jatiden	figure
ka jate	figure out
papiye	file
fa	fill
falen	filled
filimu	film
sinema	film
nɔgɔlen	filthy
fin laban	finally
finansi	finance
wari	finance
wariko	financial
sɔrɔ	find
masɔrɔ	find
lasɔrɔ	find
ka sɔrɔ	find out
marahaba	fine
bolokunnaden	finger
boloden	finger
ban	finish
a bana	finished
tasuman	fire
wɛlɛ	firm
fɔlɔ	first
tɔgɔ	first name
jɛgɛ	fish
labɛn ka kɛɲɛ	fit
duuru	five
dilan	fix
labɛnnen	fixed
darapo	flag
yelen	flash
falafala	flat
panpara	flat
fili	flaw
filibaliya	flawless
boli	flee
farisogo	flesh
bu	flesh
bugu	flesh
bolila	flew
ka kuru	flex
labilalen	flexible
awiyɔn	flight
kilape	flip
ka jala	flirt
kanuya	flirting
filotɛri	float
sanjiba	flood
sangaso	floor
mugu	flour
poyi	flow
sɛɛnɛ	flow
filɛru	flower
muranisɔgɔsɔgɔ	flu
kɔsɛbɛ	fluent
filibaliya la	fluently
makana	fluffy
ji	fluid
limɔgɔ	fly
pan	fly
ɲasin	focus
bugun	fog
bugun lon	foggy
bugun yɔrɔ	foggy
ka kuru	fold
sintinw	folks
landaw	folks
tugu	follow
fɛsɛfɛsɛ	follow up
nata	following
dumuni	food
fatɔ	fool
bagan	fool
hakilintan	foolish
seen	foot
ntolotan	football
ma	for
ta	for
misaliya la	For example
misali la	for instance
i ta lo	for you
tana	forbidden
tanamako	forbidden
fanga	force
fɔkabila	forecast
tenda	forehead
wɛrɛ	foreign
dinan	foreign
batu	forest
tufin	forest
tuba	forest
abada	forever
ɲina	forget
ka yafa	forgive
ɲinɛ	forgot
furusɛti	fork
cogoya	form
jogo	form
sariyakɔnɔ	formal
kɔrɔman	former
kɔrɔ	former
ala barika la	fortunately
nafolo	fortune
binaani	forty
binaani ni fila	forty-two
ɲafɛ	forward
ɲafɛla	forward
ka jiriwa	foster
kɛlɛ	fought
lasɔrɔla	found
jusigilan	foundation
judon	foundation
naani	four
tan ni naani	fourteen
kungowulu	fox
fiɲɛman	fragile
lamini	frame
hukumu	framework
nanbara	fraud
saratan	freak
hɔɔrɔn	free
hɔrɔnyali	freedom
galase	freeze
suma	freeze
fiɲɛturukala	frequency
ca	frequent
caaman	frequent
sɔn	frequently
kɛnɛ	fresh
juma	friday
refrijeratɛɛri	fridge
teri	friend
nɔgɔman	friendly
teriw	friends
teriya	friendship
siranin	frightened
bagabagali	frightening
ntori	frog
k'a ta	from
ma	from
ɲaa	front
fɔminin	frozen
yiriden	fruit
jigitigɛbagatɔ	frustrated
taji	fuel
manafɛn	fuel
Fulakan	Fulfulde
fanin	full
tulon	fun
ciya	function
dugumata	fundamental
sanga	funeral
laugh making	funny
farijolo	fur
diminen	furious
sokɔminanw	furniture
ɲɛfɛ	further
ka fara o kan	furthermore
katuguni	furthermore
sini	future
wagati nata	future
sɔrɔ	gain
kuntɔnɔ	gain
tulon	game
furancɛ	gap
garasi	garage
nɔgɔninya	garbage
nakɔ	garden
layi	garlic
dapɔti	gate
da	gate
daba	gate
ɲɔgɔn kunbɛn	gather
lajɛ	gathering
ka ewaliye	gauge
a dila	gave
vitɛsi dolan	gear
cɛ walima muso	gender
zenerali	general
bakurubala	generally
kɛ	generate
zenerasiyɔn	generation
bololandi	generous
hakiliduman	genius
sifa	genre
ɲuman	gentle
yɛrɛ yɛrɛ	genuine
lakiika	genuine
taamasiyɛn	gesture
sɔrɔ	get
latigɛ	get
lasɔrɔ	get
fanin don	get dressed
wili	get up
ka kɛnɛya di	get well soon
sɔrɔli	getting
ja	ghost
sigifɛn	ghosting
diamdian	giant
nilifɛn	gift
ɲamaku	ginger
sunguru	girl
sunguru	girlfriend
go	girlfriend
di	give
bila	give up
dilen	given
nisɔndiya	glad
ka lajɛ	glance
vɛrɛ	glass
vitiri	glass
nunɛti	glasses
ka ɲɛ jɔ a la	glimpse
fanbɛ	global
dibilen	gloomy
ganw	gloves
jigiya	glow
kɛnɛbɔ	glow up
yeelenyeelen	glow up
kɔnli ji	glue
tagama	go
taga	go
wa	go
taga ɲɛfɛ	go ahead
wa	go away
ta la	go to bed
kuntilennan	goal
kuntilennan	goals
baa	goat
ala	god
Ala ka duba i ye	god bless you
taa	goes
be tagara	going
tara .	going to
sanu	gold
baana	gone
tara	gone
bɛna	gonna
yeelennen	goo
duman	good
ɲuman	good
diman	good
i ni tile	good afternoon
kan bɛ	good bye
ka tile hɛrɛ	good day
i ni wula	good evening
baara ɲuman lo	good job
cɛɲi lo	good looking
garisigɛdiman	good luck
á ni sɔgɔma	good morning
i ni sɔgɔma	good morning
aw ni sɔgɔma	good morning
ne jarabi ni sɔgɔma	good morning my love
ka su hɛrɛ	good night
k'an bɛn	goodbye
ka an bo su ra	goodnight
jagofɛnw	goods
gugɔli	Google
Google Bayɛlɛmali	Google Translate
kulokulodeni	goose
cɛɲi	gorgeous
kɔrɔfɔli	gossip
sɔrɔla	got
a sɔrɔla	got it
guvɛrɛnɛma	government
minɛn	grab
dakun	grade
garadi	grade
dɔɔni dɔɔni	gradually
ka dipilomu sɔrɔ	graduate
kisɛ	grain
ka yamaruya	grant
yamaruyalen	granted
rezɛn	grapes
ka minɛ	grasp
bin	grass
ɲumanlɔnba	grateful
waleɲumanlɔn	gratitude
kaburu	grave
bugurinjɛ	gray
ba	great
natabaya	greed
nuguman	greedy
namugulama	green
ka foli kɛ	greet
foli	greeting
folikanw	greetings
bugurinjɛ	grey
nɛgɛjuru	grid
dusukasi	grief
wulusi	grind
sin	grind
bunte	grind
ka nɔrɔ	grip
dumunifɛn feereyɔrɔ	grocery
furucɛ	groom
kurukara	gross
dugukolo	ground
jɛkulu	group
ci	grow
bonya	grow
jiidiya	growth
farifagalen	grumpy
Gwaranikan	Guarani
garanti	guarantee
ka kɔlɔsi	guard
silɔn	guess
lonan	guest
dinan	guest
bɛrɛbɛrɛli	guidance
ɲabila	guide
hakɛtigi	guilty
cɛ	guy
cɛdenw	guys
zimu	gym
deliko	habit
landa	habit
so	habitat
tun sɔrɔla	had
weele	hail
kunsi	hair
tilan	half
tilancɛ	half
kɔridala	hall
ali	hall
bolo	hand
tigɛ	hand
minayɔrɔ	handle
mɔmɔ	handle
cɛɲi	handsome
sarama	handsome
ɲi	handsome
ka dulon	hang
ka bɔ ɲɔgɔfɛ	hang out
ka kɛ	happen
a kɛla	happened
daamu	happiness
nisɔndiya	happy
nɛɛma	happy
i ni sanyɛlɛma	happy birthday
I ni sanyɛlɛmaseli	happy birthday to you
sanbɛ sanbɛ	happy new year
ka gwɛlɛ	hard
gɛlɛnman	hardly
ma se ban	hardly ever
furufara	harm
dimi	harm
tɔɔrɔlan	harmful
cogo cɛɲi na	harmony
fari	harsh
sɛnɛfɛn	harvest
sɔrɔ	has
mangoya	hate
sɔrɔ	have
bi.fɛ	have
bi bolo	have
ka tile hɛrɛ	have a good day
ka tile hɛrɛ	have a nice day
na daraka dun	have breakfast
ka i ɲɛnajɛ	have fun
i ye dumuni kɛ wa	have you eaten
sɔrɔla	having
balinan	hazard
bugun	haze
a	he
a ye.sɔrɔ	he has
a ye	he is
kungolo	head
kun	head
kundimi	headache
kɛnɛya	heal
kɛnɛyasɔrɔ	healing
kɛnɛmanya	health
kɛnɛ	healthy
saniman	healthy
mɛ n	hear
lamɛnnan	heard
dusu	heart
funteni	heat
tila	heat
gwaniya	heat
sankolo la	heaven
girin	heavy
sɛgɛn	hectic
kundama	height
ciɲɛtala	heir
a	heir
sonyali	heist
dagara	held
dagala	held
jahanama	hell
alatasuma	hell
I ni tile	Hello
I ni wɔla	Hello
I ni sɔgɔma	Hello
i ni sɔgɔma n teri	hello dear
i ni tile n teri	hello dear
i ni wula n teri	hello dear
i ni sɔgɔma hɛɛrɛ sira wa	hello how are you
i ni tile hɛɛrɛ tile na	hello how are you
i ni wula hɛɛrɛ tile na	hello how are you
i bɛ di	hello how are you doing
nigɛfugulan	helmet
kasiki	helmet
dɛmɛ	help
duman	helpful
fɔlɔ	hence
bɛɛ	hence
ale	her
le	her
ka gɛ	herd
yan	here
cɛɛn	heritage
siga	hesitate
I ni tile	Hey
I ni wɔla	Hey
I ni sɔgɔma	Hey
I ni tile	Hi
I ni wɔla	Hi
I ni sɔgɔma	Hi
i ni tila i ka kɛnɛ wa	hi how are you
i ni wula i ka kɛnɛ wa	hi how are you
i ni sɔgɔma i ka kɛnɛ wa	hi how are you
ani ca yan	Hi there
dogolen	hidden
sutura	hide
dogo	hide
ɲɛmɔgɔya	hierarchy
janmanjan	high
gongolima	high
san	high
ka faranfasiya	highlight
senataama	hike
senataama	hiking
tlonkɛla	hilarious
kulu	hill
a ma	him
taamasiyɛn	hint
nɔgɔyɔrɔ	hip
tɔgɔ	hips
maminɛ	hire
tali	hiring
a	his
tariku	history
gusi	hit
hum	Hmm
donnatɛmɛ	hobby
minɛ	hold
daga	hold
ka jɔ	hold on
dingɛ	hole
seliba	holiday
wo	hollow
so	home
sokɔnɔbaara	homework
kɔnɔgwɛ	honest
sɛbɛ sɛbɛla	honestly
Li	Honey
bonya	honor
kapo	hood
nugunuu	hook
ka pan pan	hop
jigiya	hope
jigi	hope
jigida	hope
ni ala sɔn na	hopefully
jigintanya	hopeless
dalen	horizontal
biɲɛ	horn
cojugu	horrible
cɛjugu	horror
so	horse
dɔgɔtɔrɔso	hospital
jatigiya	hospitality
jabagaya	hospitality
jabaga	host
ja	host
jatigi	host
juguya	hostile
gwannin	hot
funteniman	hot
bagibagi	hot
lotɛli	hotel
dunanjigiyɔrɔ	hotel
dunanjigiso	hotel
lɛri	hour
lɛri	hours
lu	house
bon	house
somɔgɔw	household
cogoya juman	how
cogo di	how
cogo juman	how
i yɛrɛ dun	how about you
Hɛɛrɛ tilenan	how are you
hɛɛrɛ sira wa	how are you
i ka kɛnɛ wa	how are you doing
hɛrɛ be wa	how are you doing
I be di bi?	how are you doing today
I fari be di bi?	how are you doing today
i ka kɛnɛ bi wa	how are you today
i fari be di bi	how are you today
i ka kɛnɛ wa	how do you do
a bɛ di	how is
joli	how many
joli	how much
ɲaa joli	how often
i be ni saan joli	how old are you
i sii ye saan joli	how old are you
i tile tun be di	how was your day
hɛrɛ sira wa	how was your night
nga	however
jaa	however
o bɛɛ n’a taa	however
sentiri	hub
furucɛ	hubby
kɔnkɔli	hug
belebeleba	huge
yabi	huge
hadamaden	human
lamaloya	humble
yɛrɛmajiginin	humble
ɲigira	humid
majigilenya	humidity
kɛmɛ	hundred
kɔngɔ	hungry
ka gɛ	hunt
fɔɲɔba	hurricane
teliya	hurry
teliya	hurry up
digi	hurt
dimi	hurt
furucɛ	husband
cɛɛ	husband
teliman	hustle
bon	hut
bugubon	hut
saniya	hygiene
Nne	I
N	I
Nne ye	I am
N ye	I am
n ka kɛnɛ	I am fine
N bi se	I can
Nne ti se	I can't
N ti se	I can't
ne bɛ	I do
Nne m'a lɔn	I do not know
ne m'a faamuya	I do not understand
ne tɛ	I don't
N t'a lɔn	I don't know
Nne ti faamuyan	I don't understand
N t'a faamuna	I don't understand
Ne t'i fɛn min i b'a fɔra nin faamu	I don't understand what you mean
ne m'a famu	I don't understand you
N t'a lɔn	I don’t know
n m'a faamu	I don’t understand
ne b'a silɔn	i guess
Nne tun ye .sɔrɔla	I had
Nne ye.sɔrɔ	I have
Ne tun kɛra	I have been
N lannin b'a la	I hope so
Nne b'a lɔn	I know
N bi.fɛ	I like
N b'i hanu	I like you
ne bɛ i fɛ	I love
N bi n ka kɔrɔkɛ fɛ	I love my big brother
N bi n ka kɔrɔmuso fɛ	I love my big sister
N bi n ka facɛ fɛ	I love my father
N bi n ka dɔgɔcɛ fɛ	I love my little brother
N bi n ka dɔgɔmuso fɛ	I love my little sister
N n ka bamuso fɛ	I love my mother
N b'i fɛ	I love you
Nne b'i fɛ	I love you
i ko ka di n ye	I love you
I ko ka di n ye kosɔbɛ	I love you so much
N b'i fɛ kosɔbɛ	I love you so much
N b'i fɛ	I love you too
Ne koo	I mean
I lɔgɔ be n na	I miss you
i ɲɛnafinba de bɛ ne na	I miss you so much
N b'a ye	I see
ka miri	I think
N b'a faamu	I understand
N bi.fɛ	I want
ne b'a fɛ ka i ye	I want to see you
ne magon bɛ i ra	I want you
N tun ye	I was
N bena	I will
Ne tun b'a fɛ ka kɛ	I would be
N ye	I'm
N ka kɛnɛ	I'm fine
N ka kɛnɛ	I'm good
Nne be ɲan	I'm here
N bi ɲan	I'm here
i yafa n ma	I'm sorry
safurulayi	I'm sorry
galasi	ice
kɛrɛmi galase	ice cream
hakilina	idea
ɲɛnaman	ideal
kelen ye	identical
ɲanɔto	identify
boyoro	identity
lagalagatɔ	idiot
kunntan	idiot
salen	idle
ni	if
ye k'a to yen	ignore
tigɛnsɔnya	ignore
man kɛnɛ	ill
a ma daga	illegal
bana	illness
Lokanikan	Ilocano
ja	image
bisigi	imagine
sisan sisan	immediate
o yɔrɔnin bɛɛ ra	immediately
ikɔrɔ	immediately
sisan bɛɛ	immediately
belebeleba	immense
sira don mɔgɔ kɔrɔ	impact
basigibali	impatient
laboli	implement
ka ladon	import
nafama	important
kunba	important
masa	important
ka jogoya	impose
abada	impossible
ka lasonni kɛ	impress
yecogo	impression
min be mɔgɔ jawuli	impressive
yiriwa	improve
fisayali	improvement
kɔnɔ	in
la	in
ani fana	in addition
o la sa	In fact
ɲɛfɛ	in front of
walasa ka	in order to
ladamubali	inappropriate
kɔnɔnasuli	incentive
kasara	incident
fara kan	include
i n'a fɔ	including
sɔrɔ	income
kϽlϽlϽ	inconvenience
caya	increase
boɲɛ	increase
dɔfarakan	increase
farara	increased
kabakoman	incredible
laban	indeed
a laban	indeed
dafanin	independent
Ɛndi	India
yira	indicate
dugulen	indigenous
yɛrɛkunlabilali	individual
lizini	industry
min te se ka kɛɲɛ	inevitable
denɲɛnin	infant
banayɛlɛma	infection
ɛnfiniti	infinity
jeninin	inflammation
funun	inflation
sira don mɔgɔ kɔrɔ	influence
ka kunnafoniya	inform
kunnafoli	information
nafɛnw	ingredients
cɛɛn	inheritance
niyɔrɔ	inheritance
daminɛ	initial
sababu	initiative
joginli	injured
joli	injury
jurumutan	innocent
jalakibali	innocent
inowasiyon	innovation
ɲininkali	inquiry
sɛgɛsɛgɛli	inquiry
fatɔ	insane
fɛnɲɛnama	insect
tangabaliya	insecure
ka don	insert
kɔnɔ	inside
yeeli	insight
ka laɲini	insist
sunɔgɔbaliya	insomnia
fangadilan	inspiration
ka sama	inspire
sigi	install
misaliya	instance
wagati	instant
yanni	instead
nɔ na	instead
sanni	instead
sani	instead of
nɔ na	instead of
cikanw	instructions
minɛn	instrument
neni	insult
jagwɛlɛya	insurance
asiransi	insurance
a cogola	intact
hɔɔrɔnya	integrity
mɔgɔ kalannen	intellectual
hakilidja	intelligence
cegu	intelligent
ka ɲaniya	intend
dabɔlen	intended
gwan	intense
sago	intention
ka dalafalen kɛ	interact
kunmafalen	interaction
nafa	interest
mako	interest
b'a fɛ	interested
nafama	interesting
ka sendon	interfere
furancɛmɔgɔ	intermediate
kɔnɔna na	internal
diɲɛfanbɛ	international
baaradegin	internship
ka dalaminɛli kɛ	interpret
kanbayɛlɛmabaga	interpreter
ka bali	interrupt
koɲɛɲinibaro	interview
kunnafoniɲiniba	interview
bulonkɔnɔsi	intimate
kɔnɔ	into
yira	introduce
don	introduce
daminɛ	introduction
mɔgɔ min be to a kelen lon bɛɛ	introvert
sɔmin	intuition
dagabali	invalid
dan	invent
jatebɔ	inventory
don	invest
ka segɛsɛgɛ	investigate
weleni	invitation
weele	invite
wele	invite
fakitiri	invoice
ka.fara.	involve
timi	involved
nɛgɛ	iron
be	is
bi	is
gun	island
mabɔra	isolated
gwɛlɛya	issue
kunko	issue
baasi	issue
baasi	issues
kunko	issues
a	it
a ye	it is
a tun ye	it was
o don	it's
a kanyin	it's ok
a ka ɲi	It's okay
minɛn	item
minɛn	items
a ka	its
n ye	I’m
wɛsiti	jacket
kasobon	jail
kaso	jail
zanwueyekalo	January
jifiɲɛn	jar
dakala	jaw
keleyabagatɔ	jealous
naloma	jerk
masiri	jewelry
baara	job
tagama	jogging
faraɲɔgɔn ma	join
tuguda	joint
tulonkɛkuma	joke
kibaruyadibaga	journalist
siratagama	journey
ɲagali	joy
nisɔndiya	joy
diya	joy
kitikɛla	judge
zi	juice
zuluyekalo	july
ka pan	jump
zuwɛnkalo	june
nɛgɛkolon	junk
lɛgɛsɛ	just
leru	just
a kɛ dorɔn	just do it
tilennenya	justice
kun fɔ	justify
Kalaallisutikan	Kalaallisut
jilaja	keen
kɛrɛnkɛrɛn	keep
mara	keep
lasago	keep
taga a fɛ	keep it up
lasagola	kept
selidaga	kettle
tasale	kettle
kile	key
lakile	key
ka tan	kick
den	kid
baden	kid
tulonkɛkuma	kidding
kɔmɔkili	kidney
denmisɛnw	kids
faga	kill
suguya	kind
cogoya	kind
ɲuman	kind
cogodɔ la	kinda
sabari	kindly
haketo ka.	kindly
ɲumanya	kindness
masakɛ	king
ka bizu kɛ	kiss
gwaso	kitchen
gwabugu	kitchen
sɛriwolan	kite
jakumaden	kitten
kunbiri	knee
dɔnnen	knew
muru	knife
sobolila	knight
lɔn	know
lɔnniya	knowledge
lakodonnen	known
Konkanikan	Konkani
Kriyokan	Krio
tɔgɔla	label
tɔgɔ	label
baara	labor
baara	labour
dɛsɛ	lack
yɛlɛyɛlɛnan	ladder
muso	lady
dalen	laid
salan	lake
sagadennin	lamb
segelen	lame
lanpan	lamp
jigi	land
dugu	land
dugufɛrɛ	landscape
kan	language
ka nɛmu	lap
belebeleba	large
ba	large
laban	last
laban nga kɔfɛ ɛ	last but not least
jamun	last name
janfa	late
kɔsala ni na	lately
o kɔfɛ	later
laban	latest
laban	latter
yɛlɛ	laugh
yɛlɛli	laughing
yɛlɛko	laughter
yɛlɛ	laughter
finiko	launch
finiko	laundry
sariya	law
gazɔn	lawn
avoka	lawyer
bla duguma	lay
lazɛri	layer
labɛn cogo	layout
dɛsɛbagatɔ	lazy
ɲaminan	lead
ɲɛminɛ	lead
ɲɛmɔgɔ	leader
flaburu	leaf
cida	leak
sɛmɛ	lean
jɛngɛ	lean
ka pan	leap
dege	learn
kalan	learn
kalan	learning
luwanse	lease
min ma se a ɲɔgɔnw	least
wolo	leather
golo	leather
tagama	leave
taga	leave
flaburuw	leaves
ka ɲɛminɛ	led
tara	left
numanfɛla	left
seen	leg
ciɲɛ	legacy
dagalen	legal
sanga	legend
dawula	legend
dagalen	legit
farifooni	leisure
lafiya	leisure
juru don	lend
janya	length
dɔgɔya	less
kalansen	lesson
bila	let
lɛtɛrɛ	letter
salati	lettuce
hakɛya	level
daga	leverage
dɛrɛ	leverage
bolokanbila	liability
bibiliyotɛki	library
gafekalanyɔrɔ	library
ka nɛmu	lick
galon	lie
nkalonw	lies
diɲɛlatigɛ	life
dakɔrɔrta	lift
yeelen	light
fɛgɛman	light
falafala	light
yeeienmɛnɛ	lightning
i ko	like
bi . fɛ	like
i n'a fɔ	like
i n'a fɔ	likely
komi	likely
i n'a fɔ	likewise
komi	likewise
ci	line
Lingalakan	Lingala
ka tugu	link
jara	lion
jimafɛn	liquid
lisi	list
lamɛn	listen
ka lamɛnni	listening
kuma la	literally
sɛbɛbɔli	literature
ɲaman	litter
fitinin	little
balo	live
biɲɛ	liver
sɛbɛ	lives
liwuru	lives
baloli	living
salɔ	living room
basa	lizard
doni	load
buuru	loaf
juruta	loan
jurudon	loan
dugulen	local
luwanse	location
ka sɔgɔ	lock
yɛrɛmabɔ	lockdown
jirikuru	log
daba yɛlɛkan	lol
kelenpe	lonely
jamanjan	long
ne mɛnnan ka i ye	long time no see
ye	look
filɛ	look
bukulu	loop
ɲamatunu	loose
yoloyolo	loose
sa	loose
matigi	lord
bɔnɛ	lose
tunu	lose
bɔnɛ	loss
tununa	lost
kenè	lot
daba	loud
tanuli	lounge
jarabi	love
kanuya	love
kanu	love
b'i fɛ	love you
dusumandi	lovely
kadɔgɔ	low
ka lajigin	lower
kunkelen	loyal
hɔrɔnya	loyalty
kunna	luck
kunnadiya	lucky
Lugandakan	Luganda
minanw	luggage
bagakuru	lump
tilela	lunch
fogonfogon	lungs
fɛnw cɛ ɲumanw	luxury
galon tigɛ	lying
mansin	machine
fatɔ	mad
madamu	madam
min kɛra	made
gafe	magazine
cɛɲɛn	magnificent
denni	maid
kunma	main
ladamu	maintain
ladon	maintenance
Maithilikan	Maithili
kunma	major
faanba	majority
kɛ	make
makiyali	make up
cɛɛ	male
cɛman	male
kɛsu	mall
cɛ	man
cɛman	man
dɛmɛdɛmɛ	manage
mara	manage
lasago	manage
kuntigiya	management
kunnasigibaga	manager
diyagoyanin	mandatory
i nisɔn jira kɛ	manifest
ka kulonkɛ	manipulate
cogoya	manner
min bɛ fɛn bolo la	manual
caman	many
ala ka nafa caaman caaman d'i ma bi	many many happy returns of the day
marisikalo	march
danfara	margin
lɔgɔ	market
sugu	market
furu	marriage
furula	married
masiki	mask
jamaculu	mass
jama	mass
bélé béléba	massive
matigi	master
kunkolo	master
alimɛti	match
tɔɲɔgɔn	mate
minan	material
matematiki	math
jatikalan	math
baasi	matter
kunko	matter
ko	matter
baliguya	maturity
be se ka	may
bi se ka	may
adɔrɔ	maybe
nasɔrɔ	maybe
nne	me
n	me
nne fana	me too
dumuni	meal
ceguman	mean
kɔnɔnajugu	mean
juguman	mean
kɔrɔ	meaning
kɔrɔ	means
kɔrɔye	meant
yanni o tuma cɛ	meanwhile
jati	measure
hakɛsuma	measure
sariyaw	measures
dama	measures
bɛrɛ	measures
sogo	meat
dɔgɔtɔrɔya	medical
fura	medicine
kɔnɔnamiiri	meditation
hakɛ	medium
lajɛba	meet
bɛn	meet
kunbɛn	meet
ɲɔgɔnye	meeting
Meiteilonkan	Meiteilon
ka yeele	melt
hakili	memories
hakili	memory
miriya	mental
kofɔ	mention
tɔgɔ fɔlen	mentioned
degebaga	mentor
feerekɛla	merchant
makari	mercy
gansan la	merely
sambɛ sambɛ	merry christmas
baga	mess
fisafasa	mess
ci	message
fisafasaman	messy
nɛgɛ	metal
minɛbolo	method
fɛɛrɛ	method
cogo	method
ɲinɛnw	mice
kuncɛmana	middle
camancɛ	middle
tilancɛ	middle
dugutilan	midnight
faamaya	might
setigiya	might
suman	mild
dakun nafama	milestone
dakun sɛbɛ	milestone
sɔrɔdasi	military
nɔnɔ	milk
miliyɔn	million
hakili	mind
hakilina	mindset
nne ta	mine
ka ni don	mingle
damanseenna	minor
miniti	minute
minitiw	minutes
kabako	miracle
dubale	mirror
sugu caman	miscellaneous
kegunman	mischievous
faantan	miserable
faabtanya	misery
bila	miss
tanya	miss
jɛn	miss
i lɔgɔ be n na	miss you
tununen	missing
ci	mission
bugun	mist
fili	mistake
Mizokan	Mizo
telefɔni	mobile
mayɛlɛ	mock
jagabɔ	mock
mɔdɛli	model
ka bɛrɛbɛn	moderate
kura	modern
maagililen	modest
ɲigi	moist
jiman	moist
bugun	moisture
wugu	mold
muli	mole
bamuso	mom
wagati	moment
tɛnɛ	monday
wari	money
degebaga	monitor
sola	monkey
kalo	month
nisɔn	mood
dusuman	mood
nisɔnduma	moody
kalu	moon
hakili	moral
ka tɛmɛ	more
ka bon	more
fara	moreover
sɔgɔmada	morning
sɔgɔma	morning
ipotɛki	mortgage
nijuru	most
siyɛn caman na	mostly
bamuso	mother
mosiyɔn	motion
kun	motivation
kurun	mountain
ɲina	mouse
da	mouth
magamaga	move
yɛlɛma	move
yɛlɛmayɛlɛma	movement
filimu	movie
madamu	mrs
caaman	much
bɔgɔ	mud
min filen	mug
