a	kĩ
extended	kũingĩha
extension	kwandandũra
extent	ũraihu
external	nja
extinct	thiru
extra	mangĩ
extra	ingĩ
extract	kuruta
extraordinary	ya mwanya
extreme	mũkiru
extremely	mũno mũno
eye	maitho
eyes	maitho
fabric	nguo
fabulous	nĩ kĩega mũno
face	ũthiũ
facilitate	gũteithĩrĩria
facilities	indo cia gwaka
facility	mwako
fact	ũhoro wa ma
factor	ũndũ
factory	kĩganda
facts	ũhoro wa ma
fade	kũhunyũka
fail	kũremwo
failed	kũgwa
failure	kwaga kũhingia
faint	kũringĩka
fair	waraganu
fairly	na njĩra njega
fairy	waragania
faith	wĩtĩkio
faithful	kwĩhokeka
fake	maheeni
fall	kũgũa
FALSE	maheeni
fame	igweta
familiar	kũmenya na ũkuruhanu
family	bamiri
famine	ng'aragu
famous	mũndũ wĩ igweta
fan	cambiki
fancy	kĩndu kia mwanya
fantastic	ũndũ mwega mũno
far	kũraya mũno
farewell	thĩĩ na wega
farm	mũgũnda
farmer	mũrĩmi
fascinating	nĩ wa magegania
fashion	mũtugo
fast	na ihenya
fat	maguta
fatal	mũũru
fate	mũtino
father	ithe wa mundu
fatigue	mĩnoga
fault	mahĩtia
favorite	ũrĩa wendete
favour	gwĩtĩkĩrĩka
favourite	ũrĩa wendete
fear	guoya
feast	gĩathĩ
feather	ithagu
feature	mũhiano
features	maũndũ
february	mweri wa ĩrĩ
fed up	gũkinya mũico
fee	thogora
feed	kuhe irio
feedback	macokio
feel	kũigua
feeling	kũigua
feet	magũrũ
fell	akĩgũa
fellow	mũruna
felt	kũigwa
female	mũndũ mũka
fence	rũgiri
fertile	mũnoru
festival	gĩathĩ
fetch	gwetha
fever	kũhiũha mwiri
few	tũnini
fewer	tũnini
fiance	mwendwa
fiction	ng'ano
field	kiharo
field	wira
fierce	kũmakania
fifteen	ikũmi na ithano
fifty	mĩrongo ĩtano
fight	kũrũa
fighting	mararũa
figure	namba
figure out	ta wĩcirie
file	bairu
fill	kũiyũra
filled	ĩiyũrĩtwo
film	thenema
filthy	kĩrĩ na gĩko
finally	mũthia-inĩ
finance	mbeca
financial	mbeca
find	kuona
find out	kũmenya
fine	wega
finger	kĩara
finish	gũtiriha
finished	nĩ yathira
fire	mwaki
firm	kĩrũmu
first	wa mbere
first name	rĩĩtwa rĩa mbere
fish	thamaki
fit	kũiganu
five	ithano
fix	gũtura
fixed	gĩture
flag	bendera
flash	ũtheri
flat	haraganu
flaw	mawathe
flawless	itarĩ na mahĩtia
flee	kũũra
flesh	nyama
flew	kũũmbũka
flex	kũhiũha
flexible	kũgarũrũka
flight	rũgendo
flip	kũgarũra
flirt	kũringa itheru
flirting	gũthaka
float	kũrera
flood	kĩguũ
floor	thĩ ya nyumba
flour	mũtu
flow	gũtherera
flower	ihua
flu	homa
fluent	kwaria wega
fluently	na njĩra njega
fluffy	mũtungu
fluid	maĩ
fly	kũumbuka
focus	kũrũngiriria meciria
fog	kĩbii
foggy	kĩbii
fold	gũkũnja
folks	inyuĩ andũ akwa
follow	kũrũmĩrĩra
follow up	kũrũmĩrĩra
following	thutha ũcio
food	irio
fool	mũndũ mũkĩĩgu
foolish	kĩrimũ
foot	kugũrũ
football	mũbira wa magũrũ
for	harĩ
For example	Kwa mũhiano
for instance	kwa ngerekano
for you	nĩ ũndũ waku
forbidden	kũgirio
force	gũtindĩkĩrĩria
forecast	kũratha
forehead	mũtwe
foreign	kindu gia bururi ungi
forest	mũtitũ
forever	nginya tene
forget	kuriganirwo
forgive	kũohera
forgot	kũriganĩirũo
fork	hũma
form	mũhianĩre
formal	gĩthomo
former	tene
fortunately	kwa munyaka
fortune	ũtonga
forty	mĩrongo ĩna
forty-two	mĩrongo ĩna na ĩgĩrĩ
forward	mbere
foster	mũciari
fought	kũrũa
found	nĩ monire
foundation	mũthingi
four	inya
fourteen	ikumi na ĩnya
fox	mbwe
fragile	gĩtarĩ hinya
frame	buremu
framework	mũhianĩre
fraud	wũici
freak	mũgũrũki
free	tũhũ
freedom	wĩyathi
freeze	kũgia na heho nene
frequency	ngengecua-inĩ
frequent	maita maingĩ
frequently	kaingĩ muno
fresh	kĩerũ
friday	mũthenya wa gatano
fridge	frinji
friend	mũrata
friendly	ũrata
friends	arata
friendship	ũrata
frightened	kuigua guoya
frightening	kũmakania
frog	kĩura
from	kuuma
front	mwena wa mbere
frozen	macinĩtwo
fruit	itunda
frustrated	gũkua ngoro
fuel	maguta
Fulfulde	Fulfulde
full	kĩiyũrĩte
fun	gĩkeno
function	iruga
function	kuruta wĩra
fundamental	ũndũ wa bata
funeral	mathiko
funny	undu wa guthekania
fur	guoya
furious	nĩ marakara
furniture	indo cia mbao
further	ningĩ
furthermore	ningĩ
future	mahinda mokĩte
gain	kũgĩa
game	mũthako
gap	mwanya
garage	ngaranji
garbage	mborera
garden	mũgũnda
garlic	ngigĩ
gate	kĩhingo
gather	gũcookanĩrĩria
gathering	gũcokanĩrĩria
gauge	gĩthimi
gave	aheyanire
gear	indo cia gũcuuria
gender	mwĩrĩ
general	muingĩ
generally	kaingĩ
generate	kũruta
generation	rũciaro
generous	mũtugi
genius	mũũgĩ
genre	rũgano
gentle	mũhooreri
genuine	ma
gesture	ciĩko
get	kũgĩa
get dressed	wĩhumbe
get up	ũkĩra
get well soon	ũrohona na ihenya
getting	kũgĩa
ghost	roho
ghosting	gũtigana
giant	njamba nene
gift	kĩheo
ginger	tangaũthi
girl	mũirĩtu
girlfriend	mũrata wakwa mũiritu
give	kũheana
give up	gũteyaniria
given	kũheo
glad	gukena
glance	kũrora
glass	ngirathi
glasses	ngirathi
glimpse	kuona na maitho
global	thĩ yothe
gloomy	gũtukia gĩthiithi
gloves	indo cia moko
glow	ũtheri
glow up	ũtheri
glue	ngamu
go	thiĩ
go ahead	thiĩ na mbere
go away	thiĩ
go to bed	thiĩ ũgakome
goal	muoroto
goals	mĩoroto
goat	mbũri
god	ngai
god bless you	ngai arokũrathima
goes	ĩrathiĩ
going	gũthiĩ
going to	gũthiĩ
gold	thahabu
gone	nĩ athiĩte
gonna	nĩ ngũthiĩ
goo	Kiguũ
good	wega
good afternoon	miaraho miega
good bye	thĩĩ na wega
good day	mũthenya mwega
good evening	Ũtukũ mwega
good job	wĩra mwega
good looking	nĩ mũthaka
good luck	Nĩ ndakwendithiria mũnyaka
good morning	ũhoro wa ruci-inĩ
good morning my love	rũci-ini rwega mwendwa wakwa
good night	utukũ mwega
goodbye	kuuganira uhoro
goodnight	utukũ mwega
goods	mirigo
Google	Google
Google Translate	Ũtaũri wa Google
goose	mbata
gorgeous	kĩega mũno
gossip	mũhuhu
got	nĩ ngũkinyĩra
got it	nĩ ndamenya
government	thirikari
grab	kũgutha
grade	gĩkiro
gradually	kahora kahora
graduate	mũrutwo
grain	ngano
grant	kuheyana ũteithio
granted	kũheo
grapes	thabibũ
grasp	kũnyiita
grass	nyeki
grateful	ngatho
gratitude	ngatho
grave	mbĩrĩra
gray	rangi wa grey
great	wega mũno
greed	ũkoroku
greedy	ũkoroku
green	rangi wa ngirini
greet	kũgeithia
greeting	kũgeithia
greetings	ngeithi
grey	rangi wa grey
grid	kĩbara
grief	ihooru
grind	gũthĩa
grip	kũnyiita
grocery	thoko ya indo cia kũrũga
groom	mũhikania
gross	ũndũ mũũru
ground	thĩ
group	gĩkundi
grow	gũkũra
growth	gũkũra
grumpy	mũndu ũri na marakara ma na ihenya
Guarani	Guarani
guarantee	ũira
guard	mũrangĩri
guess	gwikuira
guest	mũgeni
guidance	ũtongoria
guide	gũtongoria
guilty	ũcuke
guy	mũndũ
guys	inyuĩ andũ
gym	nyũmba ya mĩthako
habit	mũtugo
habitat	mũtũũrĩre
had	warĩ
hail	mbura ya mbembe
hair	njuĩrĩ
half	nuthu
hall	nyũmba ya mĩcemanio
hand	guoko
handle	kũhiurania
handsome	mũthaka
hang	gũcuria
hang out	gũikarania
happen	kũhaanĩka
happened	nĩ gwekĩkire
happiness	gĩkeno
happy	gĩkeno
happy birthday	mũthenya mwega wa gũciarwo
happy birthday to you	gia na mũthenya mwega wa gũciarwo
happy new year	mwaka mwerũ mwega
hard	hinya
hardly	o na hanini
hardly ever	ti muno
harm	gũthũkia
harmful	gũthũkia
harmony	ũrũmwe
harsh	kĩrũmu
harvest	kugetha
has	hihi
hate	gũthũũra
have	kũgĩa
have a good day	gĩa na mũthenya mwega
have a nice day	gĩa na mũthenya mwega
have breakfast	rĩa irio cia rũcinĩ
have fun	wĩkenie
have you eaten	nĩ ũrite
having	kũgĩa na
hazard	ũgwati
haze	kĩbii
he	we
he has	nĩ arĩ
he is	nĩ we
head	mũtwe
headache	guturwo ni mũtwe
heal	kũhonia
healing	kũhonio
health	ũgima wa mwĩrĩ
healthy	ũrĩ na ũgima mwega wa mwĩrĩ
hear	kuigua
heard	kũigua
heart	ngoro
heat	ũrugarĩ
heaven	matu-inĩ
heavy	kĩritũ
hectic	mĩhang’o mĩingĩ
height	uraihu
heir	mũgai
heist	kũiya
held	gũkorwo
hell	icua-inĩ
Hello	Ũhoro waku
hello dear	ũhoro waku mwendwa wakwa
hello how are you	nĩndakũgeithia, uhana atia
hello how are you doing	nĩndakũgeithia
helmet	ngũbia
help	ũteithio
helpful	nĩ ũteithio
hence	nĩ ũndũ ũcio
her	nake
herd	rũũru
here	haha
heritage	ũtonga
hesitate	gũtithia
Hey	Geithika
Hi	Geithika
hi how are you	nĩndakũgeithia, ũhana atia
Hi there	Nĩndakũgeithia
hidden	kũhithwo
hide	kuhitha
hierarchy	mũtaratara wa utongoria
high	goro
high	iguru
highlight	gũkindĩra
hike	rũgendo
hiking	gũceera
hilarious	gũthekania mũno
hill	kĩrĩma
him	we mwene
hint	kĩmenyithia
hip	kĩero
hips	ciero
hire	gũkombora
hiring	kwandika andũ wĩra
his	wake
history	historĩ
hit	kũgũtha
Hmm	gũtangĩka
hobby	maũndũ ma gwĩkenia
hold	nyita
hold on	nyitĩrĩra
hole	irima
holiday	thigũku
hollow	irima
home	mũciĩ
homework	mawĩra ma mũciĩ
honest	mũndũ wa ma
honestly	na ma
Honey	Ũũkĩ
honor	gĩtĩo
hood	ĩtura
hook	nduano
hop	kũruga
hope	kĩĩrĩgĩrĩro
hopefully	nĩ ngwĩhoka
hopeless	gũtarĩ kĩĩrĩgĩrĩro
horizontal	na igũrũ
horn	rũhĩa
horrible	ũndũ wa kũmakania
horror	ũndũ wa kũmakania
horse	mbarathi
hospital	thibitarĩ
hospitality	ũtugi
host	mũnyitani ugeni
hostile	kũhinyĩrĩria
hot	kihiu
hotel	mũkawa
hour	thaa
hours	mathaa
house	nyũmba
household	mũciĩ
how	atĩa
how about you	ĩĩ wee ũkuona atĩa
how are you	ũhana atia
how are you doing	uhaana atĩa
how are you doing today	Ũhana atia umuthi
how are you today	ũhana atĩa ũmũthĩ
how do you do	ũhana atĩa
how is	atĩa
how many	nĩ aigana
how much	thogora ni uriku
how often	maigana
how old are you	ũrĩ na mĩaka ĩigana
how was your day	mũthenya waku ukũhanaga atĩa
how was your night	ũtukũ waku ũratariĩ atĩa
however	o na kũrĩ ũguo
hub	kĩhumo
hubby	mũthuri wakwa
hug	kũhĩmbĩria
huge	nĩ mũnene mũno
human	mũndũ
humble	mwĩnyihia
humid	ũgunyu
humidity	ũrugarĩ
hundred	igana rĩmwe
hungry	kũhũta
hunt	kũhita
hurricane	kĩhuhũkanio
hurry	hiuha
hurry up	hiuha
hurt	kũgurario
husband	mũthuri wa mundu
hustle	kũruta wira
hut	thingira
hygiene	ũtheru
I	Nĩi
I am	Nĩ niĩ
I am fine	Ndĩ mwega
I can	No hote
I can't	Ndingĩhota
I do	Nĩ ndĩrenda
I do not know	Ndiũĩ
I do not understand	Ndirataukĩrĩrwo
I don't	ndingĩigua ũguo
I don't know	Ndiũĩ
I don't understand	Ndirataũkĩrũo
I don't understand what you mean	Ndirataũkĩrwo ũrĩa ũrauga
I don't understand you	Ndirataukirwo ni uria urauga
I don’t know	Ndiũĩ
I don’t understand	Ndirataukirwo
i guess	ngwĩciria
I had	Nĩ ndaarĩ
I have	nĩ ndĩ na
I have been	Nĩngoretwo
I hope so	Ngwĩhoka ũguo
I know	Nĩ njũĩ
I like	Nĩ nyendete
I like you	nĩ ngwendete
I love	Nĩ nyendete
I love my big brother	Nĩ nyendete mũrũ wa maitũ ũrĩa mũkũrũ
I love my big sister	Nĩ nyendete mwarĩ wa maitũ ũrĩa mũkũrũ
I love my father	Nĩ nyendete baba
I love my little brother	Nĩ nyendete mũrũ wa maitũ ũrĩa mũnini
I love my little sister	Nĩ nyendete mwarĩ wa maitũ ũrĩa mũnini
I love my mother	Nĩ nyendete mami
I love you	Nĩ ngwendete
I love you so much	Nĩ ngwendete mũno
I love you too	O na niĩ nĩ ngwendete
I mean	Nĩ ta kuuga
I miss you	Nĩ ndĩmwĩrigagirira mũno
I miss you so much	nĩ ndĩmwĩriragĩria mũno
I see	niguo
I think	Ngwĩciria
I understand	Nĩ ndataukirwo
I want	Nĩ ngwenda
I want to see you	Nĩ ngwenda gũkuona
I want you	Nĩ ndĩrakwenda
I was	Nĩ ndaarĩ
I will	Nĩngwĩka ũguo
I would be	Ingĩkorwo
I'm	Nĩ niĩ
I'm fine	Ndĩ mwega
I'm good	ndĩ mwega
I'm here	Ndĩ haha
I'm sorry	Nĩ ndacunga muhera
ice	mbarabu
idea	rĩciria
ideal	wagĩrĩire
identical	ihunaine
identify	kũonania
identity	wĩĩmenyo
idiot	kĩrimũ
idle	gũtarĩ ũndũ wa gwĩka
if	angĩkorũo
ignore	kũhũthia
ill	kũrũara
illegal	mũgarũ na watho
illness	mũrimũ
Ilocano	Ilocano
image	mbica
imagine	ta hũũra mbica
immediate	oo rimwe
immediately	oo rimwe
immense	nĩ mũnene mũno
impact	kuhutia
impatient	ndarĩ na wetereri
implement	kũhingia
import	kũrehe
important	cia bata
impose	kũigĩrĩra
impossible	ndũngĩhoteka
impress	gũkenia
impression	mũonekana
impressive	nĩ wa magegania
improve	kwambatiria
improvement	gũkũra
in	thĩinĩ
in addition	ngĩongerera
In fact	Ma nĩ atĩ
in front of	mbere ya
in order to	nĩguo
inappropriate	itarĩ njega
incentive	kĩheo
incident	ũndũ ũcio
include	nĩ hamwe na
including	hamwe na
income	ithukuma
inconvenience	kwaga kũiganĩra
increase	kwongerereka
increased	kwongerereka
incredible	nĩ wa magegania
indeed	hatarĩ nganja
independent	mwĩyathi
India	Bũrũri wa India
indicate	kuonania
indigenous	cia ndũire
individual	mũndũ kiumbe
industry	kiganda
inevitable	ũndũ ũtangĩhithĩka
infant	kaana
infection	mũrimũ
infinity	ũturo wothe
inflammation	mĩrimũ wa kuimba
inflation	thogora wa thĩ
influence	ũgucania
inform	kũmenyithia
information	ũhoro
ingredients	indo iria irĩ thĩinĩ
inheritance	igai
initial	kĩambĩrĩria
initiative	riambiriria
injured	kũgurario
injury	kũgurara
innocent	matarĩ na mahĩtia
innovation	ũthunduri
inquiry	ũthuthuria
insane	mũndũ mũguruki
insect	nyoni
insecure	kwaga mwĩhoko
insert	gathika
inside	thĩinĩ
insight	ũtaũku
insist	gũthing'ĩrĩria
insomnia	kwaga toro
inspiration	kũgucĩrĩrio
inspire	kũhe ngoro
install	kũgathĩka
instance	ngerekano
instant	o rĩmwe
instead	handũ ha ũguo
instead of	handũ ha
instructions	motaaro
instrument	kĩnanda
insult	kũrumwo
insurance	thiirĩ
intact	ĩtarĩ na mahĩtia
integrity	wĩhokeku
intellectual	muthomi
intelligence	ũũgĩ
intelligent	njũgĩ
intend	kũbanga
intended	kwĩrĩgĩrĩra
intense	na hinya
intention	itanya
interact	gũkuruhana
interaction	kũiguithania
interest	wendi
interested	nĩ ndĩrenda
interesting	kuguciriria
interfere	kũingĩrĩra
intermediate	gatagatĩ-inĩ
internal	thĩinĩ
international	kimabũrũri
internship	kũrutwo wĩra
interpret	gũtaũra
interpreter	mũtaũri
interrupt	gũtigithĩria
interview	mĩario
intimate	gũkũruhana
into	thĩinĩ
introduce	kwambĩrĩria
introduction	kĩambĩrĩria
introvert	mũndũ wĩ mutugo wa kwiikaria ari wiki
intuition	ũtaukĩrwo
invalid	gĩtiagĩrĩire
invent	gũthundũra
inventory	indo iria irĩ kuo
invest	kwigithia
investigate	gũtuĩria
invitation	kũnyitwo ũgeni
invite	kũnyita ũgeni
invoice	iratathi rĩa marĩhi
involve	kũingĩra
involved	gũkuruhanio
iron	kĩgera
is	nĩ
island	gĩcigĩrĩra
isolated	kũhithwo
issue	kaũndũ
issues	tuũndũ
it	ũguo
it is	ũguo noguo
it was	nĩrĩo
it's	nĩ
it's ok	nĩ wega
It's okay	nĩ wega
item	kĩndu
items	indo
its	nĩ
I’m	Nĩ niĩ
jacket	igoti
jail	njera
January	mweri wa mwambĩrĩrio
jar	gĩkombe
jaw	thĩya
jealous	ũiru
jerk	mũhĩnga
jewelry	indo cia kwĩgemia
job	wĩra
jogging	gũteng'era
join	kũnyitanĩra
joint	njointi
joke	ithekania
journalist	mwandĩki wa mohoro
journey	rũgendo
joy	gĩkeno
judge	mũtuanĩri cira
juice	ngogoyo
july	mweri wa mugwanja
jump	kũrũga
june	mweri wa gatandatũ
junk	mĩrigo
just	mwaragania
just	no ũguo
just do it	Ĩka ũguo
justice	kĩhooto
justify	kuonania kĩhooto
Kalaallisut	Kalaallisut
keen	ũthikĩrĩria
keep	kuiga
keep it up	thiĩ na mbere
kept	kũigwo
kettle	mbirika
key	cabi
kick	kũgũtha
kid	kaana
kidding	Nĩ itherũ
kidney	higo
kids	ciana
Kikuyu	Gĩgĩkũyũ
kill	kũũraga
kind	mũthemba
kind	ũtugi
kinda	ta ũguo
kindly	na ũtugi
kindness	ũtugi
king	mũthamaki
kiss	mumunya
kitchen	riko
kite	hũngũ
kitten	kanyau
knee	iru
knew	nĩ aamenyaga
knife	kahiũ
knight	mũthigari
know	kũmenya
knowledge	ũmenyi
known	kũmenyekana
Konkani	Konkani
Krio	Krio
label	rũũri
labor	wĩra
labour	kunoga
lack	kwaga
ladder	ngathĩ
lady	mũtumia
laid	kũigwo
lake	iria
lamb	gatũrũme
lame	kĩonje
lamp	tawa
land	mudunda
landscape	mũgũnda
language	rũthiomi
lap	ciero
large	nene
last	muthiya
last but not least	ũndũ wa mũthiya
last name	rĩtwa rĩa mũthiya
late	gucererwo
lately	ica ikuhĩ
later	thutha ũcio
latest	ica ikuhĩ
latter	thutha ũcio
laugh	gũtheka
laughing	gũtheka
laughter	mĩtheko
launch	guthundura
laundry	nguo thambie
laundry	nyũmba ya guthambĩria nguo
law	watho
lawn	kaharo
lawyer	wakiri
lay	kũiga
layer	kũiganĩrĩrũo
layout	mũbango
lazy	kĩgũũta
lead	tongoria
leader	mũtongoria
leaf	ithangũ
leak	gũitika
lean	kwĩgiritania
leap	gũthua
learn	kwĩruta
learning	kwĩruta
lease	gũkombora
least	o na hanini
leather	ngothi
leave	thiĩ
leaves	mathangũ
led	gũtongoria
left	mwena wa ũmotho
leg	kũgũru
legacy	igai
legal	watho
legend	rũgano
legit	na kĩhooto
leisure	maũndũ ma gwĩkenia
lend	gũkombera
length	ũraihu
less	tũnini
lesson	ũrutani
let	reke
letter	marũa
lettuce	nyeni
level	gĩthimi
leverage	kũhũthĩra mbeca
liability	mũrigo
library	library
lick	gũcuna
lie	maheeni
lies	maheeni
life	muoyo
lift	kuoya
light	ũtheri
lightning	rũheni
like	ta
likely	no kũhoteke
likewise	o ta ũguo
line	mũhari
Lingala	Lingala
link	gĩcunjĩ
lion	mũrũthi
liquid	gĩcũrũcũrũ ta maĩ
list	rũrenda
listen	thikĩrĩria
listening	gũthikĩrĩria
literally	na njĩra ya biũ
literature	uthomi wa mabuku
litter	giiko
little	kanini
live	gũtũũra
liver	ini
lives	mĩoyo
living	gũtũũra
living room	nyũmba ya gũikara
lizard	njagathi
load	mũrigo
loaf	mũgate
loan	thiirĩ
local	gĩcigo-inĩ
location	ĩtuura
lock	kũhinga
lockdown	kũhinga
log	mũgogo
lol	gutheka muno
lonely	ndĩ wiki
long	ihinda iraya
long	kiraihu
long time no see	tũtionanĩte kwa ihinda iraihu
look	ta rora
loop	gĩkũndo
loose	gute
lord	mwathani
lose	gũte
loss	gũkua
lost	kuura
lot	gĩkundi
loud	na mũgambo mũnene
lounge	mũkawa
love	wendo
love you	nĩ ngwendete
lovely	nĩ githaka mũno
low	kĩnyinyi
lower	thĩ
loyal	mwĩhokeku
loyalty	wĩhokeku
luck	munyaka
lucky	mũnyaka
Luganda	Luganda
luggage	mĩrigo
lump	wũimbo
lunch	irio cia mũthenya
lungs	mahũri
luxury	indo cia goro
lying	maheeni
machine	macini
mad	kuguruka
madam	mũtumi
made	gũthondekwo
magazine	ngathĩti
magnificent	ũkaru
maid	ndungata ya mũciĩ
main	nene
maintain	gũtũũria
maintenance	ũmenyereri
Maithili	Maithili
major	manene
majority	arĩa aingĩ
make	gũthondeka
make up	gũthundura
male	mũndũrũme
mall	thoko ya biacara
man	mũndũ
manage	kũrugamirira
management	ũrũgamĩrĩri
manager	mũrugamiriri
mandatory	kũbatarania
manifest	kũonania
manipulate	kũhũthĩrwo
manner	mutugo
manual	ibuku rĩa gĩkũnjo
many	nyingĩ
many many happy returns of the day	nĩndakwendithiria mithenya miingi mũno ta ũmũthĩ
march	thoitha
margin	ũtiganu
market	thoko
marriage	kĩhiko
married	ahikanĩtie
mask	karembeko
mass	miitha
mass	ũritũ
massive	kĩnene mũno
master	mwathi
match	kũringana
mate	mũrata wakwa
material	indo cia gwaka
math	mathabu
matter	ũhoro
maturity	kũgimara
may	mweri wa gatano
maybe	hihi
me	niĩ
me too	o na niĩ
meal	irio
mean	kũuga ati
meaning	ũguo nĩ kuuga
means	njĩra
meant	ndendaga kuuga
meanwhile	ihinda-inĩ rĩu
measure	guthima
measures	mĩbango
meat	nyama
medical	ũrigitani
medicine	ndawa
meditation	gwĩcũrania
medium	njĩra ya
meet	gũcemania
meeting	mũcemanio
Meiteilon	Meiteilon
melt	gũtweka
memories	kũririkana
memory	Kũririkana
mental	meciria
mention	kũgweta
mentioned	ũrĩa wagwetetwo
mentor	mũtaarani
merchant	mũndũ wa biacara
mercy	tha
merely	o ũguo
merry christmas	kirisimasi njega
mess	mũhĩnga
message	ndũmĩrĩri
messy	giiko
metal	cuma
method	njĩra
mice	mbĩya
middle	gatagatĩ
midnight	ũtukũ gatagatĩ
might	no kũhoteke
mild	kĩnyinyi
milestone	ũndũ wa bata mũno
military	thigari
milk	iria
million	mirioni
mind	meciria
mindset	mwĩcirĩrie
mine	yakwa
mingle	gũikarania
minor	tũnini
minute	ndagĩka
minutes	ndagĩka
miracle	kĩama
mirror	gĩcicio
miscellaneous	indo ingĩ
mischievous	mũru
miserable	mũnyamarĩku
misery	mĩnyamaro
miss	mwarĩ wa Ithe witũ
miss you	nĩ ndĩramũririkana
missing	matirĩ kuo
mission	mũoroto
mist	kĩbii
mistake	ihĩtia
Mizo	Mizo
mobile	thimũ
mock	gũcambia
model	kĩonereria
moderate	ũigananĩru
modern	cia kĩrĩu
modest	kwĩnyihia
moist	ũgũnyu
moisture	ũgũnyu
mold	kũũmba
mole	huko
mom	mami
moment	kahinda
monday	mũthenya wa mwambĩrĩrio
money	mbeca
monitor	kurora
monkey	nũgũ
month	mweri
mood	mwerekera
moody	ũtari mukenu
moon	mweri
moral	mĩtugo
more	nyingĩ
moreover	makĩria ma ũguo
morning	rũcinĩ
mortgage	ngombo ya nyumba
most	mũno
mostly	kaingĩ
mother	nyina
motion	gĩthingithia
motivation	kĩyo
mountain	kĩrĩma
mouse	mbĩya
mouth	kanua
move	gũthama
movement	rũgendo
movie	thenema
mrs	mũtumia
much	mũno
mud	ndoro
mug	gĩkombe
muscle	icoka
museum	nyũmba ya indo cia tene
mushroom	ikuno
music	nyĩmbo
must	no mũhaka
mute	gũkiria
mutual	kũiguithania
my	wakwa
My dear	Mwendwa wakwa
my friend	mũrata wakwa
my love	wendo wakwa
my name is	rĩĩtwa rĩakwa nĩ
my pleasure	ni gĩkeno giakwa
myself	niĩ mwene
mysterious	wa magegania
mystery	hitho
myth	rũgano
nail	rwara
naive	ũtarĩ na ũmenyo
name	rĩĩtwa
narrative	rũgano
narrow	haceke
nasty	kĩũru
national	bũrũri
nationality	rũrĩrĩ
native	kĩmerera
natural	cia ndũire
nature	ũũmbi
nausea	kuira ngoro
near	hakuhĩhĩirie
nearby	hakuhĩ
nearly	hakuhĩ
neat	mũbangĩku
necessary	kũbatarania
neck	ngiingo
necklace	mũgathĩ
need	bata
negative	itagĩrĩire
neglect	gũtiganĩria
negotiate	kwarĩrĩria
neighbor	mũndũ wa itũũra
neighborhood	itũũra
neither	o na kana
nephew	mwana wa nyina
nerd	mũndũ mũũgi
nervous	ndĩ na mĩtangĩko
nest	itara
net	neti
network	netiwaki
neutral	kwaga kũnyita mbaru mwena o wothe
never	gũtirĩ hĩndĩ
never give up	Ndũkanateyanĩirie
never mind	ndũkegiye
nevermind	Ndũgatangike
nevertheless	o na kũrĩ ũguo
new	kĩerũ
news	mohoro
next	kĩrĩa kĩrũmĩrĩire
next to	hakuhĩ na
nice	wega
nice to meet you	Nĩ ndakena nĩ gũkũmenya
niece	mwana wa mwarĩ wa nyina
night	ũtukũ
nightmare	kĩroto kĩũru
nine	kenda
nineteen	ikũmi na kenda
ninety	mĩrongo kenda
No	Aca
no problem	gũtirĩ thĩna
no way	gũtirĩ ũndũ
nobody	gũtirĩ mũndũ
noise	inegene
noisy	inegene
none	gũtirĩ
noon	mĩaraho
nope	aca
nor	o na kana
normal	kawaida
north	mwena wa rũgongo
nose	iniuru
nostalgic	kũigua ihooru
not	ti ũguo
not at all	aca ti ũguo
not bad	ti ũũru
Not now	Ti thaa ici
not yet	no ti rĩu
note	menya ati
noted	kwandika
nothing	gũtirĩ ũndũ
notice	Kũmenyithia
notice	kimenyithia
noticed	nĩ monete
noun	rĩĩtwa
nouns	marĩĩtwa
novel	ibuku ria ng'ano
november	mweri wa kenda
now	rĩu
nowadays	matukũ-inĩ maya
nuisance	gĩtango
null	tũhũ
numb	kũmaka
number	namba
nurse	mũrigitani
nut	mbegũ
nutmeg	mũtũngũrũ
nutrition	irio
oath	mwĩhĩtwa
obesity	ũritu mũkĩru wa mwĩrĩ
obey	gwathĩkĩra
object	kĩndũ
objective	muoroto
obligation	wũigiririki
obscure	ũndu ũtoĩkaine
observation	kwĩrorera
observe	kũrora
obsessed	kwenda muno
obsession	kũhinyĩrĩrĩka
obsolete	gĩtirĩ na bata
obstacle	mũhĩnga
obtain	kwĩgwatira
obtained	kũgĩa
obvious	nĩ ũndũ wonekaga
obviously	hatarĩ nganja
occasionally	rĩmwe na rĩmwe
occupation	wĩra
occupied	gũkorwo ukiruta wĩra
occur	gũuka
occurred	nĩ gwekĩkire
occurs	kũhanĩka
ocean	iria
october	mweri wa ikumi
odd	tũhũ
odds	ũhotekeku
of	cia
of course	ma nĩ atĩ
off	gũtiga
offensive	ũru
offer	kũheana
office	wabici
official	mũndũ wa thirikari
often	kaingĩ
Oh	Ĩĩ nĩguo
oh really	ma nĩ atĩ
oil	maguta
ok	nĩ wega
ok dear	Nĩguo mwendwa
ok honey	nĩguo, mwendwa
ok my love	nĩguo, mwendwa wakwa
okay	nĩ wega
okay baby	nĩguo mwendwa wakwa
okay dear	nĩguo mwendwa
okay honey	nĩ wega mwendwa
okay my love	nĩ wega, mwendwa wakwa
old	mũndũ mũkũrũ
on	iguru
once	rĩmwe
one	ũmwe
one language is never enough	rũthiomi rũmwe rũtiiganaga
onion	gitũngũrũ
online	intaneti-inĩ
only	o ũguo tu
open	hingũra
operation	ũtwarithia
opinion	mawoni
opportunities	mĩeke
opportunity	mweke
opposite	mugaru na
