abandoned	jaytanukuta
gesture	uñnaqa
get dressed	isisiña
get	jikxataña
getting	jikxataña
get up	sartasiña
get well soon	jank'ak waliptxasma
ghosting	kukul jamuqa
ghost	kukuli
giant	jach'a
gift	waxt'a
ginger	jinjiwri
girlfriend	nuwya
girl	imilla
give	churaña
given	dado
give up	jaytanukuña
glad	kuntintu
glance	uñtaña
glasses	linti
glass	qhisphillu
glimpse	uñjata
global	uraqpacha
gloomy	sumryu
gloves	wantisa
glow	lliju
glow up	qhantayaña
glue	lip'katiri
go ahead	nayraru
goal	amta
goals	amtawinaka
goat	kawra
go away	sarama
god bless you	Tatax khuyapaypan
god	tata
goes	sari
going	sarkasa
going to	ukar saraña
gold	quri
gone	sarata
gonna	ukar saraña
good afternoon	aski jayp'u
goodbye	jan mayampi
good bye	jan mayampitaki
good day	aski uru
good evening	aski arumaki
good job	aski irnaqawi
good looking	aski wayna
good luck	wali surti
good morning	aski alwakipana
good morning my love	aski alwapan munata
good night	aski arumakipana
goodnight	aski arumakipana
goods	utjirinaka
good	waliki
Google	Google
Google Translate	Jaqukipir Google
goose	pili
goo	wiskusirara
gorgeous	kusapuni
go	saraña
gossip	aru
got it	amuytwa
got	jikxatiwa
go to bed	ikir sarxaña
government	irpiri
grab	katjaña
grade	kraru
gradually	juk'atjuk'aru
graduate	yatiqañ tukuyata
grain	qulu
grant	churaña
granted	luqtata
grapes	uwanaka
grasp	amuyaña
grass	qura
grateful	pawchata
gratitude	munatarjama
grave	lichu
gray	ch'ixi
great	kusawa
greed	munaña
greedy	muniri
green	ch'uxña
greet	aruntaña
greeting	arunta
greetings	aruntanaka
grey	ch'ixi
grid	llika
grief	llaki
grind	k'iyaña
grip	katuña
grocery	kumistiwl aljañ uta
groom	munata
gross	jan tukuyata
gross	luqhi
ground	uraqi
group	tama
grow	jilaña
growth	jiltawi
grumpy	tuqisiri
Guarani	waranï
guarantee	karantisaña
guard	wartya
guess	chiqt'aña
guest	jawillata
guidance	irpiri
guide	irpiri
guilty	juchani
guy	may maya
guys	may mayanaka
gym	jimnasyu
habitat	jakañawja
habit	ukhampuniña
had	utjirininwa
hail	chhijchhi
hair	ñik'uta
half	chikata
hall	sala
hand	ampara
handle	apnaqaña
handsome	jiwakiña
hang out	pacha apt'aña
hang	warkuña
happened	makipi
happen	utjayaña
happiness	kusisita
happy birthday	aski mara phuqhawi
happy birthday to you	jallalla mara phuqhawi
happy	kusisita
happy new year	jallall machaq mara
hardly	ch'amapuniwa
hardly ever	qhanpachas janipuniwa
hard	qhulu
harmful	jan walt'ayiri
harm	jan walt'ayata
harmony	armuniya
harsh	ch'ullqhi
harvest	apthapiña
has	utjirini
hate	uñisiña
have a good day	suma urukïpana
have a nice day	suma urupana
have breakfast	alwa manq'a
have fun	kusist'ama
have	utjayaña
have you eaten	maq'tati
having	utjaña
hazard	jan walinkaña
haze	sawka
headache	p'iqi usu
head	p'iqi
healing	qulla
heal	qullaña
health	k'umar jakañxata
healthy	muxsa
heard	ist'änwa
hear	ist'aña
heart	lluqu
heat	sami
heaven	alaxpacha
heavy	jathi
hectic	qarita
he has	jupan utji
height	alayqata
heir	katuqirinaka
he is	jupawa
heist	lunthata
he	jupa
held	siwa
hell	imphirnu
hello dear	kamisaki, munata
hello how are you doing	kamisaki, kunjamasktasa
hello how are you	kamisaki
Hello	Kamisaki
helmet	kasku
helpful	aski
help	yanapa
hence	ukhamatsti
herd	uywanaka
here	akana
heritage	utjiri
her	jupana
hesitate	payachasiña
Hey	¡chhuy!
hidden	imantata
hide	imantaña
hierarchy	makhatata
high	jach'a
highlight	qhansuyaña
hi how are you	kamisaki, kunjamasktasa
Hi	Kamisaki
hike	sarnaqaña
hiking	ch'usasiwi
hilarious	lisu
hill	qullu
him	juparu
hint	pista
hip	ch'illa
hips	jikhaninaka
hire	achikaña
hiring	kuntratata
his	jupana
history	isturya
Hi there	kamisaki
hit	nuwaña
Hmm	Mmm
hobby	pacha utjiri
hold	jark'xasiña
hold on	suyaña
hole	p'iya
holiday	samarawi
hollow	p'iya
home	uta
homework	utatak tariyanaka
honestly	qhanpachansa
honest	qhanachuymani
Honey	Misk'i
honor	unura
hood	kapucha
hook	ranchu
hopefully	inacha
hopeless	jan suyt'awini
hope	suyt'awi
hop	t'isktaña
horizontal	sayt'ata
horn	wusina
horrible	phiru
horror	axtaña
horse	qaqilu
hospitality	katuqaña
hospital	qullañ uta
host	amphitriyuna
hostile	justil
hotel	qurpachañ uta
hot	junt'u
hour	pacha
hours	pachanaka
household	uta
house	uta
how about you	jumasti
how are you doing	kamisaki
how are you doing today	jichhürux kunjamasa
how are you	kamisaraki
how are you today	kunjamasktsa
how do you do	kunjamasktasa
however	ukampirus
how is	kunjamasa
how	kunjama
how many	qawqha
how much	qawqha
how often	sapa kuti
how old are you	kawqha maranitasa
how was your day	urux kunjamakinsa
how was your night	arumax kujamansa
hubby	munkaya
hub	chikataypi
huge	jach'a
hug	qhumanta
human	jaqi
humble	lamp'uchuyma
humidity	map'i
humid	map'i
hundred	ciento
hungry	awtjata
hunt	katjaña
hurricane	tutuka
hurry	jank'a
hurry up	jank'aki
hurt	usuchjaña
husband	chacha
hustle	jan pachani
hut	anaqa
hygiene	q'uma
I am fine	walikisktwa
I am	ukhamatwa
I can	attwa
I can't	janiw atkti
ice	chhullunki
ice cream	luxu
idea	amuyu
ideal	qhana amuyu
identical	kipka
identify	uñt'aña
identity	khititansa
idiot	ipi
idle	jani aqtata
I do	Jïsa
I do not know	janiw yatkti
I do not understand	janiw amuykti
I don't know	janiw yatkti
I don’t know	janiw yatkti
I don't	nayax janiwa
I don’t understand	janawi amuykti
I don't understand	janiw amuykti
I don't understand what you mean	janiw kuns amuyk kunti sañ munkta ukxa
I don't understand you	janiw amukti
if	jisa
ignore	jaytanukuña
i guess	amuytwa
I had	utjitana
I have been	Ukankayatwa
I have	utjituwa
I hope so	ukwa suytxa
I know	yattwa
I like	muntwa
I like you	justistawa
illegal	jan chiqaparu
illness	usu
ill	usuta
Ilocano	llocano
I love	jiwakiwa
I love my big brother	jilïr jilajar munastwa
I love my big sister	jilïr kullakajar munastwa
I love my father	tatajar munastwa
I love my little brother	sullka jilajar munastwa
I love my little sister	sullka kullakajar munastwa
I love my mother	mamajar munastwa
I love you	munsmawa
I love you so much	Wali munasma
I love you too	nayax munaraksmawa
image	jamuqa
imagine	lup'iña
I mean	sañ munta
I'm fine	walikisktwa
I'm good	walikisktwa
I'm here	akankasktwa
I miss you	amartilsiña
I miss you so much	jumat mayjt'astwa
immediate	jank'aki
immediately	jank'akipuni
immense	jach'a
I'm	nayatwa
I’m	nayatwa
impact	impaktu
impatient	thithiri
implement	yapxataña
important	wakiskiri
import	apayaniña
impose	nukt'aña
impossible	impusiwli
impression	aru
impressive	musparkaya
impress	muspayaña
improve	askichaña
improvement	wakiskiri
I'm sorry	p'ampachawi
in addition	ukatxa
inappropriate	jan yäparu
I	naya
incentive	amtayiri
incident	jan walt'ayata
include	chikanchayaña
including	ukampacha
income	mantaña
inconvenience	jna maynitakjama
increased	irxatiwa
increase	jilxataña
incredible	jani chiqa
indeed	yamakisa
independent	mayni pachpa
India	India
indicate	qhananchaña
indigenous	intijina
individual	sapamaynitjama
industry	intustriya
inevitable	jani jark'kaya
In fact	Chiqansa
infant	wawa
infection	piykatayasiwi
infinity	waljanaka
inflammation	p'usuntata
inflation	irxattawi
influence	katkatiri
information	yatiyäwi
inform	yatiyaña
in front of	uñkatasina
ingredients	wakiskirinaka
inheritance	katuqata
initial	qallta
initiative	qalltawi
injured	usuchata
injury	usuchjata
innocent	inusinti
innovation	ch'axwa
in order to	ukataki
inquiry	jiskt'a
insane	luqhi
insect	laq'u
insecure	pächasita
insert	uchaña
inside	manqha
insight	uñjawi
insist	jariyaña
insomnia	ikipukuchu
inspiration	lup'iwi
inspire	lup'ikipaña
install	uchaña
instance	instansya
instant	jank'aki
instead	maysatxa
instead of	ukachiqanxa
instructions	amuyt'ayawinaka
instrument	istrumintu
insult	ñanqhachawi
insurance	sijuru
intact	phuqhata
integrity	taqpachani
intellectual	amuykaya
intelligence	ch'iqhi amuyu
intelligent	ch'ikhi
intended	chiqanchata
intend	mayiña
intense	ch'amampi
intention	kunki
interact	aruskipaña
interaction	parap amuykipawi
interested	muniri
interesting	wakiskiri
interest	munaña
interfere	yant'aña
intermediate	intirmuryu
internal	jan yaqhanakampi
international	anqax markata
internship	irnaqaw yant'a
interpret	amuyt'aña
interpreter	aru jaqukipiri
interrupt	suyt'ayaña
interview	jiskt'a
intimate	manqha
into	ukana
introduce	uchantaña
introduction	qallta
introvert	asxariri
intuition	amuyawi
in	ukana
invalid	jan aski
invent	k'arisiña
inventory	katuyawi
investigate	yatxataña
invest	irtaña
invitation	jawillt'awi
invite	jawillt'aña
invoice	phaktura
involve	aytasiña
involved	jupampacha
iron	yiru
I see	uñjtwa
island	isla
isolated	jithiqtata
issues	jan walt'anaka
issue	tima
is	ukawa
items	utjirinaka
item	t'aqa
I think	lup'iña
it is	ukawa
it	jupa
its	jupana
It's okay	waliki
it's ok	walikiwa
it's	uka
it was	sari
I understand	amuytwa
I want	munaña
I want to see you	uñjañ munsma
I want you	munsmawa
I was	ukankayatwa
I will	luräwa
I would be	Amuluqasi
jacket	chakita
jail	mutuñ uta
January	chinuqa
jar	taru
jaw	tirinqhaya
jealous	silusu
jerk	jakt'aña
jewelry	juyanaka
job	irnaqawi
jogging	t'iju
join	chikachasiña
joint	junta
joke	sawka
journalist	yatiyiri
journey	ch'usasiwi
joy	kusisita
judge	juysa
juice	umaña
july	willka kuti
jump	thuqtaña
june	mara t'aqa
junk	t'una
just do it	luram
justice	justisya
justify	qhananchaña
just	justu
Kalaallisut	Kalaallisuta
keen	aphiktu
keep it up	saranti
keep	mantiniña
kept	chikasiña
kettle	titira
key	llawi
kick	walja
kidding	sawkasiña
kidney	maymuru
kids	wawanaka
kid	wawa
kill	jiwayaña
kinda	kunaymana
kind	kasta
kindly	munasiñani
kindness	munasiri
king	riyi
kiss	jamp'ata
kitchen	phayaña
kite	qäna
kitten	phisiku
knee	qunquri
knew	yatiri
knife	tumi
knight	tata
knowledge	amuyt'awi
known	uñt'ata
know	yatiña
Konkani	Konkani
Krio	Krio
label	chimpu
labor	irnaqawi
labour	lurawi
lack	utjaskiwa
ladder	iskalira
lady	warmi
laid	utjnuqata
lake	quta
lamb	iwija
lame	kuju
lamp	qhantayaña
landscape	paysaji
land	uraqi
language	aru
lap	rijasu
large	jach'a
last but not least	qhipatxa, janiw aski wakiskirikiti
last name	apilliru
last	qhipa
late	jayp'u
lately	qhiphakuti
later	jayp'uru
latest	qhipa
latter	qhipa
laughing	laruña
laugh	laruña
laughter	k'aja
launch	jaqtaña
laundry	jariri
law	kamachi
lawn	pastu
lawyer	arxatiri
layer	kapa
layout	tispusisyuna
lay	uchaña
lazy	jayra
lead	chiqachaña
leader	ipiri
leaf	lamina
leak	atipja
lean	alt'aña
leap	t'iskta
learning	yatiqawi
learn	yatiqaña
lease	arintaña
least	minusa
leather	lip'ichi
leave	jaytaña
leaves	laphinaka
led	apanitana
left	ch'iqa
legacy	waxt'a
legal	chiqapa
leg	chara
legend	sara
legit	kamachirjama
leisure	pachaniskasa
lend	mayt'aña
length	qawch'asa
less	juk'a
lesson	yatiyachawi
let	jaytaña
letter	qillqata
lettuce	lichuja
level	niwila
leverage	apruwichaña
liability	phuqhiriña
library	ullañuta
lick	jallq'aña
lie	k'arisiña
lies	k'arinaka
life	jakawi
lift	waytaña
lightning	qhantayawi
light	qhana
like	justaña
likely	inasa
likewise	ukhampacha
line	chiqa
Lingala	Lingala
link	waythapi
lion	liwuna
liquid	uma
listening	ist'aña
listen	ist'aña
list	lista
literally	litiraljama
literature	litiratura
litter	lichu
little	jisk'a
live	jakaña
liver	k'iwcha
lives	jakawinaka
living	jakaña
living room	ukankañ uta
lizard	jararankhu
load	q'ipi
loaf	t'ant'a
loan	mayt'awi
local	lukala
location	kawkhachiqa
lockdown	qhiparaña
lock	jist'antaña
log	qillqanta
lonely	sapaki
long	jach'a
long time no see	akha pacharakis jan uñjksmatixa
look	uñtaña
loop	wukli
loose	chhaqhayaña
lord	tata
lose	chhaqhayaña
loss	chhaqhata
lost	chhaqhata
lot	phina
loud	jach'a
lounge	saluna
lovely	jiwaki
love	munaña
love you	munsmawa
lower	manqhana
low	jask'a
loyal	chiq siri
loyalty	qhana chuymani
luck	surti
lucky	surtisita
Luganda	Luganda
luggage	q'ipi
lump	q'ipi
lunch	chika uru manq'a
lungs	chuyma
luxury	machaq uñstiri
lying	ukhankata
machine	makina
madam	mama
made	lurata
mad	luqhi
magazine	riwista
magnificent	kusawa
maid	mukama
maintain	pachpankayaña
maintenance	sumachaña
main	wakiskiri
Maithili	Maithili
majority	jilapacha
major	wakiskiri
make	luraña
make up	utjnuqayaña
male	chacha
mall	qhathu
manage	apnaqaña
management	mara
manager	jirinti
man	chacha
mandatory	munas jan munasa
manifest	arsuwi
manipulate	apnaqaña
manner	ukhama
manual	amparampi
many many happy returns of the day	waljaniw kusisitak aka urux kut'apxani
many	walja
march	achuqa
margin	marjin
market	qhathu
marriage	jaqichasiwi
married	jaqichata
mask	maskarilla
massive	walja
mass	masa
master	yatichiri
match	anataña
mate	masi
material	matiryala
math	jakhuwinaka
matter	apayaniña
maturity	yatiñaniña
may	atiwa
maybe	inasa
meal	manq'a
meaning	uñacht'a
means	uñanchi
meant	sañ muni
mean	uñanchaña
meanwhile	ukhakamaxa
measures	tupunaka
measure	tupuña
meat	aycha
medical	qulliri
medicine	qulla
meditation	lup'iña
medium	chika
meeting	tantachäwi
meet	tantachaña
Meiteilon	Meiteilon
melt	chulljaña
memories	amtaskayanaka
memory	amuyu
me	nayaru
mental	amuyu
mention	aytasiña
mentioned	aytasita
mentor	amuyt'ayiri
merchant	aljasiri
mercy	mirsit
merely	miraminti
merry christmas	jallall nawirara
message	yatiya
mess	janwalt'a
messy	apatatata
metal	mital
method	thakhi
me too	nayax pachparaki
mice	achakunaka
middle	chika
midnight	chika aruma
might	atiña
mild	turpa
milestone	itu
military	militara
milk	millk'i
million	waranqa waranqa
mind	amuyu
mindset	amuyurjama
mine	nayana
mingle	kitjaña
minor	sullka
minute	k'atha
minutes	k'athanaka
miracle	khuyapayawi
mirror	lirphu
miscellaneous	misilanyas
mischievous	lisu
miserable	juk'itaki
misery	juk'a
missing	chhaqhata
mission	amta
miss	mayjt'asiña
miss you	uñjañ munsma
mistake	pantjaña
mist	qinaya
Mizo	Mizo
mobile	miwila
mock	yatxasiña
model	murilu
moderate	turpa
modern	qhipa uñsta
modest	muristu
moist	map'i
moisture	llaphi
mold	ñusa
mole	lunar
moment	ukhapacha
mom	tayka
monday	lunisa
money	qulli
monitor	pantalla
monkey	k'usillu
month	phaxsi
mood	ch'amancha
moody	malmuraru
moon	phaxsi
moral	mural
more	juk'ampi
moreover	ukampinsa
morning	qharüru
mortgage	iputika
most	jilpachani
mostly	wakiskiri
mother	tayka
motion	unuqiwi
motivation	ch'amanchawi
mountain	qullu
mouse	achaku
mouth	laka
movement	sartawi
move	unxtayaña
movie	pilikula
mrs	mma.
much	walja
mud	ñiq'i
mug	jach'a qiru
muscle	chichi
museum	musiyu
mushroom	sirk'i
music	jaylliwi
must	manuwa
mute	amukt'ayaña
mutual	mutuwala
My dear	Munata
my friend	masija
My hovercraft is full of eels	Aerodeslizadorajax anguil challwamp phuqhantatawa
my love	munataja
my name is	sutijaxa
my	nayana
my pleasure	walikpuni
myself	nayapacha
mysterious	ch'amakan imata
mystery	muspkaya
myth	mitu
nail	sillu
naive	inusinti
name	chacha
narrative	qhananchata
narrow	k'ullk'u
nasty	axtaña
nationality	markankiri
national	markpacha
native	natiwu
natural	naturala
nature	pacha
nausea	waq'aqi
nearby	jak'ankiri
near	jak'a
nearly	jak'ana
neat	pulkru
necessary	wakiskiri
neck	kunka
necklace	kullara
need	munasiri
negative	janiwa
neglect	jan amuyasita
negotiate	alakipaña
neighborhood	uta uñkatasi
neighbor	uta uñkatasi
neither	ni
nephew	suwrinu
nerd	yatiñ chuymani
nervous	phiñasita
nest	tapa
net	nitu
network	llika
neutral	niwtrala
never give up	jan jaytjamti
never	janiwa
never mind	janiw impurtkiti
nevermind	janiw kunakisa
nevertheless	ukampirusa
new	machaqa
news	yatiyawinaka
next	jutiri
next to	jupampi
nice	jiwaki
nice to meet you	uñt'asiñaniwa
niece	suwrina
night	aruma
nightmare	amulla
nine	llätunka
nineteen	tunka llatunkani
ninety	llatunk tunka
nobody	ni khiti
noise	uxuri
noisy	uxu
No	Janiwa
none	janiwkhitisa
noon	chika uru
nope	jani
no problem	jan kuna walt'awi
normal	nurmalaki
nor	ni
north	alaya
nose	nasa
nostalgic	llakisita
not at all	janiw kunatsa
not bad	janiw jani askikiti
noted	qillqata
note	qillqata
nothing	janiwa
noticed	uñji
notice	uñjaña
not	janiwa
Not now	janiw jichhaxa
not yet	janirakiwa
nouns	sitinaka
noun	sutilanti
novel	uñstiri
november	lapaka
nowadays	jichhürunxa
no way	janiw kunatsa
now	jichha
nuisance	jan wali
null	nulu
number	jakhu
numb	sisinkhaña
nurse	qulliri
nutmeg	nuysa
nut	q'iwintaña
nutrition	nutrisyuna
oath	juramintu
obesity	lunqhu
obey	ist'aña
objective	amta
object	yanaka
obligation	phuqhawi
obscure	ch'amaka
observation	uñjawi
observe	uñjaña
obsessed	uwsisyunata
obsession	awsisyuna
obsolete	nayrja
obstacle	upstakulu
obtained	jikxatata
obtain	jikxataña
obviously	ukhampuni
obvious	ukhamawa
occasionally	akatjamata
occupation	yatxatata
occupied	jan pachani
occur	makiptaña
occurred	makiptawayi
occurs	phuqhasi
ocean	lamar quta
october	taypi sata
odd	mayxtasiña
odds	wakiskirinaka
of course	ukhamawa
offensive	asxarayasiri
offer	uphirta
office	uphisina
official	uphisyala
off	jiwata
of	ta
often	ukhakamaxa
oh really	chiqä
Oh	Saram
oil	asiyti
okay baby	walikiwa, wawa
okay dear	walikiwa, munata
okay honey	walikiwa, munata
okay my love	walikiwa, munata
okay	waliki
ok dear	walikiw, munata
ok honey	walikiwa, munata
ok my love	iyawa, munataja
ok	waliki
old	achachi
once	maya kuti
one language is never enough	mä sapa arux janiw ukhakikiti
one	maya
onion	siwulla
online	llikana
only	sapa
on	ukana
open	jist'arata
operation	upirasyuna
opinion	amuyu
opportunities	yaqhanaka
opportunity	utjirinaka
opposite	maysata
optimistic	iyawsawiniña
optional	ajlliwi
option	may maya
orange	larankha
order	mayachthapiña
ordinary	ukhampuni
organization	tamachawi
orientation	amuyt'ayawi
original	urijinala
origin	kawkhatasa
or	o
Oromo	Oromo
orphan	wajcha
otherwise	maysatxa
other	yaqha
ought	ukhamaspa
our	jiwasanki
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Jiwasan amtasaxa: taqichiqan uraqpach uñjapaxañapa ukatx taqi aruts arst'asipxañapa ukar ch'amanchañawa.
Our mission: to organize the world's information and make it universally accessible and useful.	Tantachasiwisaxa:uraqpachan yatiyañ wakichawi ukatx jasak uñjatañapa
outcome	utjiri
outfit	isinaka
outgoing	misturi
outlet	mistuña
outline	qillqaña
out	maysaru
outside	mistum
outstanding	manqha
oven	urnu
overall	taqi
overcome	nayrarstaña
over	patxa
over there	ukhana
overthinking	kawilasyuna
overwhelmed	llakita
overwhelming	atipt'iri
owe	puqhaña
owl	qutquri
owner	jaqipa
own	kipka
ox	chhuyy
pace	pasu
package	pakiti
pack	mayachthapiña
paid	payllata
painting	saminchaña
paint	saminchaña
pain	usu
pair	parisa
pale	t'ukha
palm	palmira
pandemic	pantinya
panic	asxara
pan	kasirula
pants	pantalunanaka
paper	papila
paradise	paraysu
parallel	paralilu
parcel	jisk'a uraqi
pardon	p'ampachawi
parents	awkinaka
park	parki
parrot	k'alla
parsley	pirijila
participate	chikanchasiña
particularly	jilpacha
particular	partikulara
partner	q'añu
part	parti
party	phunchawi
passage	pasu
passed	makiptiwa
passionate	apasyunaru
passion	pasyuna
passive	jan watxtasiri
pass	pakipaña
password	chimpu
past	makipata
patch	parchi
pathetic	muspayiri
path	thakhi
patience	llamp'ucha
patient	suyt'awini
pattern	patruna
pause	suyt'ata
pavement	asira
payment	payllawi
pay	payllaña
peace	ch'ujtawi
peaceful	lamar quta
peach	turasnu
peak	piku
pear	pira
peas	jisantinaka
peculiar	mayninki
pee	chhuxuña
peel	sillp'i
peer	parisa
peers	payanaka
pencil	lapisa
pending	manqha
pen	lapisimaña
people	jaqi
pepper	piminta
perceive	katuqaña
perception	uñtawi
perfect	waliki
performance	ukhakama
perform	luraña
perhaps	inasa
period	pacha
permanent	wiñayataki
permission	pirmisu
permit	pirmisu
perseverance	saraskakiña
persistent	pirsistinti
personality	jaqiña
personal	jaqinaka
person	jaqi
perspective	amuyumpi
persuade	pirsuwarina
pervert	mayiri
pet	uywa
phase	phasi
phenomenon	phinuminu
philosophy	philusuphiya
phone	jawsaña
photo	jamuqa
phrase	aru
physical	janchi ch'amani
pick	apthapiña
pick up	thaqhir saraña
picture	jamuqa
piece	jisk'a
pieces	yaqha yaqha
pigeon	urpila
pig	khuchhi
pile	phina
pillow	ch'ijma
pilot	awyun apnaqiri
pineapple	piña
pin	kalawu
pink	rusa
pitch	pasu
pit	p'iya
pity	usuchjata
place	chiqa
places	chiqanaka
plague	laq'u
plain	planu
plane	awyuna
plan	plan
plant	ayru
plants	ayrunaka
plate	plaka
platform	palataphurma
play	antaña
playing	anatkasa
pleasant	aski
please	amp suma
pleased	phuqhata
pleasure	plasira
pledge	phuqhaw saña
plenty	juk'ampi
plot	arsuwi
plug	inchuphi
plumber	plumiru
plum	sirwuylu
plural	taqini
podcast	podcast
poem	chapar aru
poetry	chapar aru
point	puntu
poison	wininu
police	palla palla
policy	pulitika
polite	yatichata
pollution	jan walt'ayaña
pond	istanki
pool	pisina
poop	jama
poor	pisin jakiri
pop	istalliru
popular	ukhampuni
population	marka
pork	khuchhi
porridge	papilla
port	puyrtu
position	pusisyuna
positive	ukhampuni
possession	pusisyuna
possessive	pusisiwu
possess	utjirini
possible	wakiskiri
postpone	jitayaña
post	uñt'ayaña
potato	ch'uqi
potential	ch'amani
pound	liwra
poverty	pisinkaña
power	ch'ama
powerful	ch'amani
practical	jasaki
practice	yant'a
praise	ilujyu
prank	sawka
pray	mayiña
precious	jiwaki
precisely	ukhampuni
precise	qhana
predict	chiqt'aña
preference	munatanaka
prefer	munaña
pregnant	usuri
prejudice	pirijuysyu
premises	uchatanaka
premium	nayrir kust'ata
preparation	wakiyawi
prepared	wakichata
prepare	wakiyaña
preposition	pripusisyuna
presence	chikanchasita
presentation	uñacht'awi
present	ukankaña
preserve	apxaruña
president	jïlir irpiri
pressure	jariya
press	yatiyawi
pretend	munaña
pretty	jiwaki
prevent	jark'aqaña
previous	ukarjama
prey	katuntata
price	chani
pride	jach'arsta
priest	tatakura
primary	nayriri
prime	wakiskiri
princess	jiwaki
principal	wakiskiri
priority	nayraqata
prior	ukarjama
prison	jariyawi
privacy	jamasata
private	priwaru
privilege	khuyapayata
prize	waxt'a
probably	ukhampuni
problem	jan walt'a
procedure	sarantayawi
proceed	sarayaña
process	thakhi
produce	achuyaña
product	achu
production	achuwi
professional	yatxatata
profession	yatxatata
profile	pirfila
profit	jalaqta
profound	manqha
progress	jiltäwi
project	amta
prominent	prumininti
promise	arsuta
promote	sartayaña
promotion	purmusyuna
prompt	ukatkjama
prone	pachaniki
pronouns	suti lantinaka
pronunciation	arsuña
proof	yant'a
proper	chiqa
properly	ukatjama
properties	utjirinaka
property	jupankiri
proposal	amta
prospect	pruspiktu
prosperity	utjirini
prosperous	jikxatiri
protect	jark'aña
proud	jach'a jach'a tukuri
prove	yant'aña
provided	uñjata
provide	uñachayaña
province	provincia
provision	utjaña
puberty	q'axulla
public	taqitaki
pull	jaqtaña
pumpkin	kalawasa
punctual	pachaparu
pupil	yatiqiri
purchase	alaña
pure	puru
purple	anti
purpose	amtawi
purse	sinsillwayaqa
pursue	thaqhaña
pursuit	thaqhaña
push	nukt'aña
put	uchaña
qualification	junt'uchiri
quality	suma
quantity	walja
quarantine	kuwarintina
quarrel	tuqisiwi
quarter	tirsu
Quechua	qhichwa
queen	riyna
queer	mayja
query	jiskt'a
question	jiskt'a
queue	wich'inkha
quick	jank'aki
quickly	jank'aki
quiet	aliqakiña
quilt	ikiña
quite	wastanti
quit	jaytaña
quiz	yant'a
quotation	jakthapiña
quote	chanichaña
quotes	jakthapiña
rabbit	wank'u
race	rasa
rage	thithi
rain	jallu
raise	aptaña
raised	yapxata
random	kawkiniripasa
range	ranju
ran	jaliwa
rapid	jank'aki
rapidly	jank'aki
rarely	juk'apachaki
rare	mayt'aña
rash	ch'illch'iriri
rat	achaku
rate	tasa
rather	uksipanxa
rational	chiqa amuyu
ratio	rilasyuna
raw	ch'uqi
reached	puritäna
reach	jikxataña
reaction	watxtasiwi
reading	ullaña
read	ullaña
ready	waliki
real	chiqa
reality	chiqapuni
realize	amuyasiña
realized	amuyasiwa
really	chiqpachansa
rear	ch'iña
reasonable	amuyt'awi
reason	rasunanitawa.
recall	amtayaña
receipt	risiwu
received	katuqatayna
receive	katuqaña
recent	jichhaki
recently	jichhakipuni
reception	katuqa
recipe	risita
reckless	jan yaqtasiri
recognition	luqtawi
recognize	uñt'aña
recommended	amuyt'ayata
recommend	iwxaña
record	qillqanta
recover	kutkatayasiña
recovery	kuttayasiña
rectangle	riktanjulu
redeem	churaña
redemption	qhisphiyawi
reduce	juk'aptayaña
redundant	kutxata
red	wila
refer	chiqanchaña
reference	yaqha
reflection	amuyu
reflect	qhantaña
refrain	suyt'xaña
refrigerator	luxuyiri
refund	apayaña
refused	janiwsata
refuse	janiw saña
regarding	ukxata
regardless	maynita
regards	aruntawi
regard	yäqawi
region	chiqa
register	qillqantawi
regret	amtasiña
regular	chiqachaña
regularly	turpaki
reject	janiw saña
related	niy kipka
relate	qillqaña
relationship	rilasyuna
relative	kipka
relatives	masinaka
relax	jurasina
release	antutaña
released	antutata
relevant	wakiskiri
reliable	kunphiykaña
relief	chhujta
relieved	juyarata
relieve	kutkataña
religion	rilijyuna
religious	rilijyusu
reluctant	jan ist'asiri
rely	kunphiyaña
remaining	jilt'iri
remain	pachpankaña
remarkable	amuykaya
remedy	rikursu
remember	amtaña
remind	amtaña
reminder	amtayawi
remote	rimutu
remove	unxtayaña
render	mayt'aña
rent	alkilaña
repair	askichaña
repeat	ripitiña
replace	lantichaña
reply	jaysaña
report	uñt'ayawi
represent	uñt'ayaña
reputation	riputasyuna
request	mayiña
required	mayita
require	munaña
re	ri
rescue	qhisphiyaña
research	yatxatäwi
resemble	niya kipka
resentment	thurkatasiña
reservation	imata
reserve	imaña
resident	markankiri
resign	jaytaña
resilience	risilinsya
resilient	risilinti
resistance	thurkatiri
resist	thurt'asiña
resolution	risulusyuna
resolve	askichaña
resort	jan walt'a
resources	rikursunaka
respect	yäqawi
respond	jaysaña
response	jaysawi
responsibility	phuqhawi
responsible	phuqhiri
restaurant	manq'añ uta
rest in peace	samart'pana
restore	kutitatayaña
restrict	jark'aña
rest	samart'aña
results	utjirinaka
result	utjiri
resume	juk'aptayaña
retail	juk'at aljiri
retain	imaña
retention	jark't'awi
retired	juwilata
retreat	ritiru
retrieve	kutkatayasiña
return	kutiyaña
revealed	kutkatata
reveal	kutkataña
revenge	kutxataña
revenue	jilaqta
reverse	maysaxa
review	uñakipaña
revise	uñakipaña
revision	uñjasiwi
revolution	turkakiptawi
reward	payllawi
rhythm	salla
rib	jaraphi
rice	arusa
rich	muxsa
ride	apnaqaña
ridiculous	pixtu
rid	liwraña
right now	aka pachana
right	waliki
