азчыкъ	a little
гъадаплы	furious
мефрушат	furniture
даа сонъра	further
бир де	furthermore
келеджек	future
къазанч	gain
оюн	game
бошлукъ	gap
гараж	garage
чёп	garbage
багъча	garden
сарымсакъ	garlic
араба къапы	gate
джыймакъ	gather
топлашма	gathering
ольчю	gauge
берди	gave
тертибат	gear
джыныс	gender
умумий	general
умумен	generally
яратмакъ	generate
несиль	generation
джумерт	generous
даий	genius
тюр	genre
назлы	gentle
асыл	genuine
ишмар	gesture
эльге кечирмек	get
кийинмек	get dressed
турмакъ	get up
Аллах шифа берсин	get well soon
олунма	getting
хаялет	ghost
хаялет	ghosting
къоджаман	giant
бахшыш	gift
зенджефиль	ginger
къыз	girl
къыз аркъадаш	girlfriend
бермек	give
теслим олмакъ	give up
берильген	given
мемнюн	glad
назар	glance
джам	glass
козьлюк	glasses
бакъыш	glimpse
бутюн дюнья	global
торс	gloomy
къолчакълар	gloves
ярыкъ	glow
парылдамакъ	glow up
туткъал	glue
кетмек	go
девам эт	go ahead
ёкъ ол	go away
ятмакъ	go to bed
ахт	goal
макъсатлар	goals
теке	goat
танъры	god
Аллах сени къорчаласын	god bless you
кете	goes
кетмекте	going
азырланмакъ	going to
алтын	gold
кеткен	gone
азырлана	gonna
баткъакъ	goo
яхшы	good
кунь шерифлеринъиз хайыр олсун	good afternoon
сагълыкънен къалынъыз	good bye
хайырлы куньлер	good day
акъшамлар хайыр	good evening
яхшы иш	good job
шырныкълы	good looking
Аллах къолай кетирсин	good luck
сабалар хайыр	good morning
сабалар хайыр, севгилим	good morning my love
геджелер хайыр	good night
сагълыкънен бар	goodbye
геджелер хайыр	goodnight
маллар	goods
Гугл	Google
Google терджимеси	Google Translate
къаз	goose
мутешем	gorgeous
ошек	gossip
эльге кечирди	got
анъладым	got it
укюмет	government
къапмакъ	grab
дередже	grade
кет-кете	gradually
мезун олмакъ	graduate
захире	grain
багъышламакъ	grant
берильген	granted
юзюм	grapes
къаврамакъ	grasp
от	grass
минеттдар	grateful
миннетдарлыкъ	gratitude
мезар	grave
кульренки	gray
улу	great
ачкозьлюк	greed
саран	greedy
ешиль	green
селямлашмакъ	greet
селямлашма	greeting
селямлар	greetings
боз	grey
тель агъы	grid
кедер	grief
уфатмакъ	grind
сап	grip
бакъкъал	grocery
киев	groom
топлам	gross
ер	ground
такъым	group
осьмек	grow
юксельме	growth
кейфсиз	grumpy
Гуарани тили	Guarani
кефалет	guarantee
къаравул	guard
тахмин этмек	guess
мусафир	guest
реберлик	guidance
къылавуз	guide
къабаатлы	guilty
огълан	guy
баллар	guys
спорт салоны	gym
алышкъанлыкъ	habit
табий муит	habitat
бар эди	had
бурчакъ	hail
сач	hair
ярым	half
салон	hall
къол	hand
сап	handle
корюнген	handsome
асмакъ	hang
саллан-суллан юрьмек	hang out
олмакъ	happen
олды	happened
бахт	happiness
бахтлы	happy
хайырлы яшлар олсун	happy birthday
хайырлы яшлар олсун	happy birthday to you
янъы йылынъыз хайырлы олсун	happy new year
зор	hard
зорнен	hardly
ич бир вакъыт десек оладжакъ	hardly ever
зарар	harm
зарарлы	harmful
уюшма	harmony
серт	harsh
берекет джыювы	harvest
саип	has
нефрет	hate
бар	have
хайырлы куньлер	have a good day
яхшы куньлер	have a nice day
сабалыкъ аша	have breakfast
шенълик олсун	have fun
сен энди ашадынъмы	have you eaten
саип олгъан	having
телюке	hazard
туман	haze
о	he
о саип	he has
о	he is
къафа	head
баш агърысы	headache
деваламакъ	heal
шифа	healing
сагълыкъ	health
сагълам	healthy
эшитмек	hear
эшитти	heard
юрек	heart
сыджакъ	heat
къыздырмакъ	heat
дженнет	heaven
агъыр	heavy
къыймылдавукъ	hectic
бой	height
юксеклик	height
варис	heir
чайпав	heist
тутулгъан	held
джеэннем	hell
Мераба	Hello
мераба, джаным	hello dear
селям, насылсынъ	hello how are you
мераба насылсынъ	hello how are you doing
мигфер	helmet
ярдым	help
файдалы	helpful
демек	hence
онынъ	her
сюрю	herd
мында	here
мирас	heritage
чекинмек	hesitate
Олян	Hey
Селям	Hi
мераба, насылсынъ	hi how are you
Мераба	Hi there
сакълы	hidden
сакъламакъ	hide
иерархия	hierarchy
юксек	high
бельгилемек	highlight
кезинти	hike
пияде туризм	hiking
шаматалы	hilarious
байыр	hill
онъа	him
анахтар сёз	hint
бут	hip
санлар	hips
кираламакъ	hire
туткъан	hiring
онынъ	his
тарих	history
урмакъ	hit
Хмм	Hmm
авеслик	hobby
тут	hold
бекле	hold on
тешик	hole
раатлыкъ куню	holiday
къувуш	hollow
эв	home
эв вазифеси	homework
намуслы	honest
ачыкътан айткъанда	honestly
Татлым	Honey
Бал	Honey
намус	honor
башлыкъ	hood
ченгель	hook
секирмек	hop
умют этмек	hope
умют	hope
умют иле	hopefully
умютсиз	hopeless
уфкъий	horizontal
бойнуз	horn
къоркъунчлы	horrible
дешет	horror
ат	horse
хастахане	hospital
мусафирченлик	hospitality
эв саиби	host
душман	hostile
сыджакъ	hot
мусафирхане	hotel
саат	hour
саатлар	hours
бина	house
эв ходжалыгъы	household
насыл	how
я сен	how about you
ишлер насыл	how are you
кейфинъиз насыл	how are you doing
бугунь ишлер насыл	how are you doing today
бугунь насылсынъ	how are you today
ишлеринъиз насыл	how do you do
насыл	how is
къач дане	how many
къач	how much
не къадар сыкъ	how often
къач яшындасынъ	how old are you
кунюнъ насыл эди	how was your day
гедженъ насыл кечти	how was your night
анджакъ	however
меркез	hub
акъай	hubby
къучакъламакъ	hug
къоджаман	huge
инсан	human
алчакъ гонъюлли	humble
серс	humid
нем	humidity
юз	hundred
ач	hungry
авламакъ	hunt
къасыргъа	hurricane
ашыкъмакъ	hurry
ашыкъ	hurry up
агъры	hurt
бозмакъ	hurt
къоджа	husband
чапкъаламакъ	hustle
къулюбе	hut
темизлик	hygiene
мен	I
Мен	I am
Мен яхшым	I am fine
Мен япып олам	I can
мен япамайым	I can't
Мен япам	I do
Мен бильмейим	I do not know
Мен анъламайым	I do not understand
Мен япмайым	I don't
мен бильмейим	I don't know
Мен анъламайым	I don't understand
Не демек истегенинъизни анъламайым	I don't understand what you mean
Мен сени анъламайым	I don't understand you
Мен бильмейим	I don’t know
Мен анъламайым	I don’t understand
занымджа	i guess
Менде бар эди	I had
менде бар	I have
Мен олдым	I have been
бойле умют беслейим	I hope so
мен билем	I know
Мен бегенем	I like
Мен сени бегенем	I like you
Мен севем	I love
Мен агъамны севем	I love my big brother
Мен татамны севем	I love my big sister
Мен бабамны севем	I love my father
Мен огълан къардашымны севем	I love my little brother
Мен къыз къардашымны севем	I love my little sister
Мен анамны севем	I love my mother
Мен сени севем	I love you
Мен сени пек севем	I love you so much
Мен де сени севем	I love you too
айтаджагъым	I mean
Мен сени сагъынам	I miss you
Мен сени пек сагъынам	I miss you so much
анълайым	I see
Мен беллесем	I think
мен анълайым	I understand
Мен истейим	I want
Мен сени корьмеге истейим	I want to see you
Мен сени истейим	I want you
Мен эдим	I was
Мен япаджам	I will
Мен олур эдим	I would be
мен	I'm
мен яхшым	I'm fine
Мен яхшым	I'm good
Мен мындам	I'm here
мени афу этинъиз	I'm sorry
буз	ice
дондурма	ice cream
гъае	idea
мукеммель	ideal
айны	identical
танымакъ	identify
кимлик	identity
серсем	idiot
айлакъ	idle
эгер	if
корьмемезликке урмакъ	ignore
ярамай	ill
къанунсыз	illegal
хасталыкъ	illness
Илокано тили	Ilocano
ресим	image
хаял этмек	imagine
деръал	immediate
деръал	immediately
кебир	immense
тесир	impact
сабырсыз	impatient
амельге кечирмек	implement
итъаль	import
муим	important
даятмакъ	impose
имкяны ёкъ	impossible
теэссурат	impress
теэссурьат	impression
тесир этиджи	impressive
эйилештирмек	improve
эйилешме	improvement
тамамламакъ ичюн	in addition
Аслында	In fact
огюнде	in front of
ичюн	in order to
эльверишсиз	inappropriate
тешвикъ	incentive
вакъиа	incident
киргизмек	include
ичерген	including
келир	income
къолайсызлыкъ	inconvenience
артув	increase
юксельтильген	increased
инанылмаз	incredible
шубесиз	indeed
мустакъиль	independent
Индистан	India
бельгилемек	indicate
ерли	indigenous
фердий	individual
санайы	industry
къачынылмаз	inevitable
къучакъ баласы	infant
юкъунч	infection
сонъсузлыкъ	infinity
янгъы	inflammation
инфляция	inflation
нуфуз	influence
хабер этмек	inform
малюмат	information
ичиндекилер	ingredients
мирасланма	inheritance
башлангъыч	initial
тешеббюс	initiative
яралы	injured
яра	injury
къабаатсыз	innocent
янъылыкъ	innovation
такъикъат	inquiry
анъкъав	insane
боджек	insect
эмин олмагъан	insecure
сокъмакъ	insert
ичинде	inside
басирет	insight
исрар этмек	insist
юкъусызлыкъ	insomnia
ильхам	inspiration
ильхам бермек	inspire
юклемек	install
мисаль	instance
дер-демез	instant
ерине	instead
ерине	instead of
талиматлар	instructions
алет	instrument
акъарет	insult
сигорта	insurance
къырылмагъан	intact
бутюнлик	integrity
зиялы	intellectual
идракъ	intelligence
акъыллы	intelligent
ниет этмек	intend
истенильген	intended
шиддетли	intense
ниет	intention
берабер япмакъ	interact
мунасебетте булунма	interaction
меракъ	interest
меракълангъан	interested
меракълы	interesting
къарышмакъ	interfere
ортадаки	intermediate
ички	internal
мемлекетара	international
стаж	internship
иза этмек	interpret
терджиман	interpreter
лафыны кесмек	interrupt
интервью	interview
озь	intimate
ичине	into
танытмакъ	introduce
кириш	introduction
ичине айлангъан	introvert
алдындан дуйма	intuition
чалышамагъан	invalid
иджат этмек	invent
колюк-кедик	inventory
ятырым	invest
такъикъ этмек	investigate
давет	invitation
давет этмек	invite
эсап	invoice
чекмек	involve
къатылгъан	involved
утю	iron
демир	iron
ада	island
этраф муиттен айырылгъан	isolated
меселе	issue
меселелер	issues
о	it
ойледир	it is
эди	it was
бу	it's
эр шей еринде	it's ok
Меселе дегиль	It's okay
мадде	item
эшьялар	items
онынъ	its
Мен	I’m
джекет	jacket
зиндан	jail
Къара къыш айы	January
гугюм	jar
ченге	jaw
куньджю	jealous
тентек	jerk
ильван	jewelry
иш	job
чапув	jogging
къошулмакъ	join
бугъум	joint
шакъа	joke
газетаджы	journalist
сефер	journey
къуванч	joy
макеме этмек	judge
шыра	juice
оракъ айы	july
секирмек	jump
ильк яз айы	june
файдасыз	junk
демин	just
яп буны	just do it
адалет	justice
акъламакъ	justify
Калааллисут тили	Kalaallisut
кескин	keen
девам этмек	keep
тутмакъ	keep
айнен бойле девам этмек	keep it up
тутты	kept
чайник	kettle
анахтар	key
тепме	kick
бала	kid
шакъалашма	kidding
буйрек	kidney
балалар	kids
ольдюрмек	kill
чешит	kind
незакетли	kind
киби	kinda
лютуфкяране	kindly
лютуф	kindness
къырал	king
опьмек	kiss
ашхане	kitchen
сазагъан	kite
мышыкъ баласы	kitten
тиз	knee
биле эди	knew
пычакъ	knife
батыр	knight
бильмек	know
бильги	knowledge
белли	known
Конкани тили	Konkani
Крио тили	Krio
этикетка	label
эмек	labor
эмек	labour
эксиклик	lack
мердивен	ladder
ханым	lady
къоюлгъан	laid
голь	lake
къозу	lamb
топал	lame
лампат	lamp
къара	land
манзара	landscape
лисан	language
тиз	lap
буюк	large
сонъки	last
сонъки олса да, энъ эмиетсиз дегиль	last but not least
сойады	last name
кеч	late
кеченде	lately
кечче	later
энъ сонъ	latest
сонъки	latter
кульмек	laugh
кульген	laughing
кулькю	laughter
учурмакъ	launch
чамаширхане	laundry
къанун	law
чимен	lawn
адлиеджи	lawyer
яткъызмакъ	lay
къатлам	layer
ерлешме	layout
тенбель	lazy
къуршун	lead
алып бармакъ	lead
ёлбашчы	leader
япракъ	leaf
сызынты	leak
эгильмек	lean
сычрав	leap
огренмек	learn
огренмекте олгъан	learning
киралама	lease
энъ аз	least
тери	leather
къалдырмакъ	leave
кетмек	leave
япракълар	leaves
идаре этмек	led
сол	left
кетти	left
балдыр	leg
васиет этильген	legacy
къануний	legal
эфсане	legend
къануний	legit
бош вакъыт	leisure
одюнч алмакъ	lend
узунлыкъ	length
аз	less
дерс	lesson
мусааде этмек	let
мектюп	letter
латук	lettuce
севие	level
рычаг	leverage
месулиет	liability
китапхане	library
яламакъ	lick
ялан	lie
ятмакъ	lie
яланлар	lies
омюр	life
котермек	lift
ачыкъ	light
ярыкъ	light
йылдырым	lightning
бегенмек	like
киби	like
итимал	likely
айны шекильде	likewise
чизги	line
Лингала тили	Lingala
багъланты	link
арслан	lion
шингенлик	liquid
джедвель	list
динълемек	listen
динълеме	listening
там манасынен	literally
эдебият	literature
чиркеф	litter
аз	little
кичкене	little
яшамакъ	live
къара джигер	liver
аятлар	lives
яшамакъта олгъан	living
отурма одасы	living room
кесертки	lizard
юклемек	load
къалакъай	loaf
одюнч	loan
ерли	local
мекян	location
килит	lock
карантин	lockdown
разан агъачы	log
къакъылдап кульмек	lol
кимсесиз	lonely
узун	long
узун вакъыт корюшмедик	long time no see
бакъмакъ	look
корюниш	look
ильмек	loop
сербест	loose
эфенди	lord
джоймакъ	lose
зиян	loss
джоюлгъан	lost
чокъ	lot
гурь	loud
мусафир одасы	lounge
севги	love
севмек	love
севем сени	love you
шырын	lovely
алчакъ	low
даа алчакъ	lower
садыкъ	loyal
садакъат	loyalty
къысмет	luck
насипли	lucky
Луганда тили	Luganda
багаж	luggage
томар	lump
уйлелик	lunch
акъджигерлер	lungs
итишам	luxury
яткъан	lying
машна	machine
тонкъа	mad
ханым	madam
япылгъан	made
меджмуа	magazine
шаане	magnificent
хызметчи	maid
эсас	main
девам эттирмек	maintain
бакъым	maintenance
Майтхили тили	Maithili
уйкен	major
чокълукъ	majority
истисал этмек	make
макияж	make up
акъай киши	male
алыш-вериш меркези	mall
эркек	man
реберлик япмакъ	manage
идаре	management
ребер	manager
лязим	mandatory
беянат	manifest
ойнамакъ	manipulate
тавыр	manner
къулланма	manual
бир чокъ	many
бу бахтлы кунь даа чокъ керелер къайтсын	many many happy returns of the day
март	march
кяр	margin
базар	market
эвлилик	marriage
эвли	married
маска	mask
кютле	mass
ири	massive
уста	master
матч	match
къафадар	mate
мальземе	material
риязият	math
дегерли	matter
къувам	maturity
ола биле	may
бельки	maybe
мен	me
мен де	me too
емек	meal
орталама	mean
эмиет	meaning
демектир	means
къаст этильген	meant
о арада	meanwhile
ольчемек	measure
ольчюлер	measures
эт	meat
тиббий	medical
илядж	medicine
тиббиет	medicine
медитация	meditation
орта	medium
корюшмек	meet
топлашув	meeting
Мейтейлон тили	Meiteilon
иримек	melt
хатыралар	memories
хатыра	memory
акълий	mental
анъмакъ	mention
анъылгъан	mentioned
устаз	mentor
туджджар	merchant
мерамет	mercy
ялыныз	merely
хайырлы милят	merry christmas
тертипсизлик	mess
беянат	message
низамсыз	messy
маден	metal
усул	method
сычанлар	mice
орта	middle
гедже ярысы	midnight
олмасы мумкюн	might
орта къарар	mild
ёл ташы	milestone
арбий	military
сют	milk
миллион	million
акъыл	mind
фикир юрьсетюв	mindset
менимки	mine
къарыштырмакъ	mingle
уфакъ	minor
дакъкъа	minute
дакъкъалар	minutes
муджизе	miracle
кузьгю	mirror
чешит тюрлю	miscellaneous
ичи къара	mischievous
заваллы	miserable
факъирлик	misery
ханым	miss
сагъынмакъ	miss
сагъындым сени	miss you
эксик	missing
миссия	mission
дым	mist
хата	mistake
Мизо тили	Mizo
арекетли	mobile
хорламакъ	mock
къалып	model
къарарыны бильген	moderate
земаневий	modern
адий	modest
дым	moist
нем	moisture
къалып	mold
куфь	mold
бенъ	mole
аначыгъым	mom
анъ	moment
базарэртеси	monday
акъча	money
экран	monitor
маймун	monkey
ай	month
кейф	mood
сытыкъ	moody
ай	moon
ахлякъий	moral
даа зияде	more
бундан гъайры	moreover
саба	morning
ипотека	mortgage
эксериет	most
чокъусы	mostly
ана	mother
арекет	motion
арекетлейиджи	motivation
дагъ	mountain
сычан	mouse
агъыз	mouth
къыбырдамакъ	move
арекет	movement
фильм	movie
ханым эфенди	mrs
чокъ	much
чамур	mud
мешребе	mug
адале	muscle
музей	museum
мантар	mushroom
музыка	music
меджбур	must
сессиз	mute
къаршылыкълы	mutual
меним	my
Джаным	My dear
достум	my friend
Ава ястыкълы гемим йылан балыкъларынен толу	My hovercraft is full of eels
меним севгим	my love
меним адым	my name is
мемнюн олдым	my pleasure
озюм	myself
сырлы	mysterious
сыр	mystery
эфсане	myth
тырнакъ	nail
сюмсюк	naive
ад	name
икяе	narrative
тар	narrow
нахош	nasty
миллий	national
миллет	nationality
тувгъан	native
табиий	natural
табиат	nature
юрек буланмакъ	nausea
янында	near
якъынларында	nearby
аман-аман	nearly
тертипли	neat
зарурий	necessary
боюн	neck
герданлыкъ	necklace
ихтиядж	need
мухтадж	need
менфий	negative
эсамесини окъумамакъ	neglect
музакере этмек	negotiate
къомшу	neighbor
дживар	neighborhood
не де	neither
огълан джиен	nephew
гевезе	nerd
абдыравукъ	nervous
къуш ювасы	nest
агъ	net
агъ	network
тарафсыз	neutral
ич бир вакъыт	never
ич бир вакъыт бойсунма	never give up
къулакъ асма	never mind
къулакъ асма	nevermind
кене де	nevertheless
янъы	new
хаберлер	news
невбеттеки	next
янында	next to
гузель	nice
танышкъанымыздан мемнюним	nice to meet you
къыз джиен	niece
гедже	night
бастырыкъ	nightmare
докъуз	nine
он докъуз	nineteen
докъсан	ninety
Ëкъ	No
проблем ёкъ	no problem
имкянсыз	no way
ич кимсе	nobody
гурюльтю	noise
гурюльтили	noisy
кимсе	none
уйле	noon
олмаз	nope
не де	nor
сырадан	normal
шималь	north
бурун	nose
асрет	nostalgic
дегиль	not
бир шей дегиль	not at all
фена дегиль	not bad
Шимди дегиль	Not now
даа ёкъ	not yet
тезкере	note
къайд этильген	noted
ич бир шей	nothing
бильдирюв	notice
абайлады	noticed
исим	noun
исимлер	nouns
роман	novel
бош ай	november
шимди	now
бугуньде-бугунь	nowadays
нахошлыкъ	nuisance
бош	null
сессиз	numb
номера	number
эмшире	nurse
фындыкъ	nut
индистан джевизи	nutmeg
беслеме	nutrition
ант	oath
шишманлыкъ	obesity
итаат этмек	obey
объект	object
макъсат	objective
меджбуриет	obligation
бунарлы	obscure
козетюв	observation
козетмек	observe
муптеля	obsessed
таассуп	obsession
эскирген	obsolete
маниа	obstacle
эльде этмек	obtain
алынгъан	obtained
аян	obvious
бесе-белли	obviously
кимерде бир	occasionally
ишгъаль	occupation
ишгъаль этильди	occupied
юз бермек	occur
олды	occurred
ола	occurs
океан	ocean
орта кузь	october
гъарип	odd
фырсат	odds
эльбетте	of course
къапалы	off
теджавузий	offensive
теклиф	offer
офис	office
ресмий	official
сыкъ-сыкъ	often
Вай	Oh
а, керчектен	oh really
ягъ	oil
яхшы	ok
яхшы, джаным	ok dear
яхшы джаным	ok honey
яхшы, севгилим	ok my love
яхшы	okay
яхшы, эвлядым	okay baby
яхшы, джаным	okay dear
яхшы, татлым	okay honey
яхшы, севгилим	okay my love
къарт	old
эски	old
бир заманда	once
бир	one
тек бир тиль ич бир вакъыт етерли олмаз	one language is never enough
согъан	onion
онлайн	online
тек	only
ачыкъ	open
муамеле	operation
муляаза	opinion
фырсатлар	opportunities
фырсат	opportunity
зыт	opposite
шадлы	optimistic
вариант	option
истекке багълы	optional
я да	or
портакъал	orange
тертип	order
сымарыш	order
адеттеки	ordinary
тешкиль	organization
ориентация	orientation
менба	origin
асыл нусха	original
Оромо тили	Oromo
оксюз	orphan
башкъа	other
ёкъса	otherwise
япмакъ меджбуриетинде	ought
бизим	our
Вазифемиз, эр кеснинъ эр ерде дюньяны анъламасыны ве озюне чешит тюрлю тиллерде ифаде эте бильмесини темин этмектир.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Вазифемиз, дюньядаки малюматларны бир тертипке кетирип, оларны универсаль суретте иришилир ве файдалы япмакътыр.	Our mission: to organize the world's information and make it universally accessible and useful.
тыш	out
акъибет	outcome
теджхизат	outfit
судур	outgoing
сатув ери	outlet
чевре	outline
тышарыда	outside
корьгемли	outstanding
фырын	oven
битти	over
узеринде	over
андаки	over there
умумен алгъанда	overall
ашмакъ	overcome
арткъач тюшюнме	overthinking
басылгъан	overwhelmed
буюк эксериет	overwhelming
борджлы	owe
байкъуш	owl
озь	own
шорбаджы	owner
бугъа	ox
сурьат	pace
пакетлеме	pack
пакет	package
уджретли	paid
агъры	pain
боя	paint
бояма ресим	painting
чифт	pair
солгъун	pale
авуч ичи	palm
тава	pan
къыргъынлыкъ	pandemic
теляш	panic
туман	pants
кягъыт	paper
дженнет	paradise
мувази	parallel
ёлланма	parcel
багъышланъыз	pardon
ана-баба	parents
парк	park
папагъан	parrot
магъданоз	parsley
парча	part
иштирак этмек	participate
муайен	particular
бильхасса	particularly
ортакъ	partner
джыйын	party
кечмек	pass
кечит	passage
кечти	passed
авес	passion
атешин	passionate
пассив	passive
пароль	password
кечмиш	past
ямав	patch
ёл	path
сефиль	pathetic
сабыр	patience
сабырлы	patient
орьнек	pattern
токътама	pause
къалдырым	pavement
тёлемек	pay
тёлеме	payment
тынчлыкъ	peace
тынчлыкъсевер	peaceful
шефтали	peach
удж	peak
армут	pear
нохут	peas
озюне хас олгъан	peculiar
сиймек	pee
артламакъ	peel
акъран	peer
яхшы этип бакъмакъ	peer
акъранлар	peers
къалем	pen
къарандаш	pencil
беклеген	pending
адамлар	people
бибер	pepper
менимсемек	perceive
алгъы	perception
мукеммель	perfect
керчеклешмек	perform
семерелик	performance
иджра этюв	performance
ихтимал	perhaps
девир	period
даимий	permanent
рухсет	permission
рухсет	permit
себат	perseverance
мерт	persistent
шахыс	person
шахсий	personal
шахсиет	personality
истикъбаль	perspective
къандырмакъ	persuade
сапкъан	pervert
эв айваны	pet
фаза	phase
феномен	phenomenon
фельсефе	philosophy
телефон	phone
фото	photo
ибаре	phrase
физикий	physical
беден	physical
сечмек	pick
къолгъа тюшюрмек	pick up
ресим	picture
кесек	piece
парчалар	pieces
домуз	pig
гогерджин	pigeon
оба	pile
ястыкъ	pillow
учуджы	pilot
пин коды	pin
ананас	pineapple
пемпе	pink
чукъур	pit
тиклик	pitch
къатран	pitch
аджымакъ	pity
ерлештирмек	place
ерлер	places
таун	plague
саде	plain
план	plan
учакъ	plane
осюмлик	plant
осюмликлер	plants
тепис	plate
платформа	platform
ойнамакъ	play
иджра этмек	play
оюн	play
ойнагъан	playing
хош	pleasant
лютфен	please
мемнюн	pleased
зевкъ	pleasure
пей	pledge
баягъы	plenty
арса	plot
штекер	plug
эрик	plum
чиленгир	plumber
чокълукъта	plural
подкаст	podcast
шиир	poem
шиириет	poetry
нокъта	point
зыкъым	poison
полис	police
сиясет	policy
незакетли	polite
кирлилик	pollution
тыйнакъ	pond
хавуз	pool
сычмакъ	poop
фукъаре	poor
патламакъ	pop
рагъбетли	popular
эали	population
домуз эти	pork
джылап боткъасы	porridge
лиман	port
мевам	position
мусбет	positive
саип олмакъ	possess
саиплик	possession
саиплик	possessive
мумкюн	possible
ёллама	post
авуштырмакъ	postpone
къартоп	potato
чаре	potential
фунт	pound
фукъарелик	poverty
икътидар	power
кучьлю	powerful
амелий	practical
темрин этмек	practice
амелий фаалиет	practice
макътамакъ	praise
ярамазлыкъ	prank
дуа этмек	pray
къыйметли	precious
хассас	precise
тамам	precisely
келеджекни огюнден айтмакъ	predict
мейилли олмакъ	prefer
сечим	preference
агъыр аякълы	pregnant
пешин фикир	prejudice
ода	premises
мукяфат	premium
азырлыкъ	preparation
азырламакъ	prepare
азырлангъан	prepared
ярдымджы	preposition
мевджудиет	presence
эдие	present
мевджут	present
темсиль	presentation
сакъламакъ	preserve
президент	president
басмакъ	press
баскъы	pressure
киби япмакъ	pretend
гъайет	pretty
огюни алмакъ	prevent
бундан эвельки	previous
ав	prey
фият	price
гъурур	pride
папаз	priest
илькинги	primary
эсас	prime
шахзаде	princess
ёлбашчы	principal
эвельден	prior
сыра	priority
аписхане	prison
гизлилик	privacy
шахсий	private
имтияз	privilege
мукяфат	prize
гъалиба	probably
меселе	problem
амелият	procedure
илерилемек	proceed
джерьян	process
ишлемек	process
истисал этмек	produce
махсул	product
истисал	production
зенаат	profession
ихтисаслы	professional
профиль	profile
кяр	profit
терен	profound
илерилеме	progress
лейха	project
корюльген	prominent
сёз бермек	promise
имкян догъурмакъ	promote
къол тутув	promotion
кечиктирмесиз	prompt
мейли бар	prone
замирлер	pronouns
теляффуз	pronunciation
делиль	proof
уйгъун	proper
догъру шекильде	properly
мульк	properties
хусусиет	property
мулькиет	property
сымарыш	proposal
имкян	prospect
абаданлыкъ	prosperity
абадан	prosperous
къорчаламакъ	protect
гъурурлы	proud
исбатламакъ	prove
темин этмек	provide
теминлемек	provided
виляет	province
темин этюв	provision
пишкинлик	puberty
халкъ огюндеки	public
тартмакъ	pull
къабакъ	pumpkin
вакътында кельген	punctual
талебе	pupil
сатын алма	purchase
саф	pure
мор	purple
макъсат	purpose
чанта	purse
къуваламакъ	pursue
такъип	pursuit
итемек	push
къоймакъ	put
ихтисас	qualification
кейфиет	quality
микъдар	quantity
карантин	quarantine
къавгъа	quarrel
черик	quarter
Кечуа тили	Quechua
къыраличе	queen
ошлу	queer
малюмат соратма	query
суаль	question
невбет	queue
тез	quick
тез	quickly
яваш	quiet
ёргъан	quilt
чыкъып кетмек	quit
олдукъча	quite
къыскъа сорав	quiz
алынма	quotation
алынма	quote
тырнакълар	quotes
къоян	rabbit
ыркъ	race
гъадап	rage
ягъмур	rain
арттырмакъ	raise
юксельген	raised
чапты	ran
тесадуфий	random
аралыкъ	range
чабик	rapid
тез-тез	rapidly
надир	rare
пек аз	rarely
эшкен	rash
сычавул	rat
нисбет	rate
даа догърусы	rather
нисбет	ratio
макъул	rational
чий	raw
ре	re
иришмек	reach
эльде этильген	reached
реакция	reaction
окъумакъ	read
окъув	reading
азыр	ready
акъикъий	real
керчек	reality
ерине кетирмек	realize
ерине кетирильген	realized
керчектен де	really
аркъа	rear
себеп	reason
зеинли	reasonable
сесленюв	recall
квитанция	receipt
къабул этмек	receive
алынгъан	received
сонъки	recent
кеченде	recently
къабул	reception
рецепт	recipe
ойсыз	reckless
таныма	recognition
фаркъ этмек	recognize
тевсие этмек	recommend
тевсие этильген	recommended
язы	record
тюзельмек	recover
гъайрыдан тиклев	recovery
тюзкошелик	rectangle
къырмызы	red
кери сатын алмакъ	redeem
одев	redemption
азалтмакъ	reduce
керексиз	redundant
сылтамакъ	refer
атыф	reference
акис эттирмек	reflect
акис	reflection
озюни тутмакъ	refrain
буздолап	refrigerator
параларны къайтармакъ	refund
чёплюк	refuse
къабул этмемек	refuse
ред этти	refused
сайгъы	regard
багълы оларакъ	regarding
не олса олсун	regardless
сайгъы иле	regards
регион	region
къайд этмек	register
языкъсынмакъ	regret
языкъсынув	regret
мунтазам	regular
даима	regularly
ред этмек	reject
мунасебети олмакъ	relate
багълы	related
мунасебетлер	relationship
сой	relative
сой-акъраба	relatives
раатланмакъ	relax
бошатмакъ	release
азат этильген	released
келишикли	relevant
ишанчлы	reliable
къолайлаштырув	relief
азат этмек	relieve
раатлагъан	relieved
дин	religion
диний	religious
зорлангъан	reluctant
ишанмакъ	rely
къалмакъта	remain
къалгъан	remaining
дикъкъат чекиджи	remarkable
дерман	remedy
хатырламакъ	remember
хатырлатмакъ	remind
хатырлатыджы	reminder
узакъ	remote
чыкъармакъ	remove
ишлемек	render
кира	rent
тамирлев	repair
текрарламакъ	repeat
алмаштырмакъ	replace
джевап бермек	reply
эсабат	report
темсиль этмек	represent
итибар	reputation
талап	request
ихтияджы бар	require
керекли	required
къуртармакъ	rescue
тедкъикъат	research
ошамакъ	resemble
исьян	resentment
броньлемек	reservation
едек	reserve
сакин	resident
истифа этмек	resign
тыгъыз	resilience
эластик	resilient
тирельмек	resist
тиренюв	resistance
чезилюв	resolution
чезмек	resolve
шифахане	resort
менбалар	resources
нисбет	respect
