drusceņ	a little
skatīņs	glance
speidums	glance
gluoze	glass
stykls	glass
brillis	glasses
skatīņs	glimpse
globals	global
dryums	gloomy
cymdi	gloves
speidēt	glow
īsadegt	glow up
leime	glue
īt	go
ej iz prīkšu	go ahead
ej prūm	go away
īt gulēt	go to bed
mierkis	goal
mierki	goals
koza	goat
dīvs	god
lai Dīvs tevi svietej	god bless you
īt	goes
dūtīs	going
eimūt iz	going to
taiseitīs nazkū dareit	going to
zalts	gold
pa celi	gone
gataveitīs	gonna
gļūtys	goo
lobs	good
loba dīna	good afternoon
vysu lobu	good bye
loba dīna	good day
lobs vokors	good evening
lobs dorbs	good job
labi izavērt	good looking
vālu veiksmi	good luck
lobs reits	good morning
lobs reits muna meiluo	good morning my love
lobu nakti	good night
vysu lobu	goodbye
lobu nakti	goodnight
lobumi	goods
Google	Google
Google tulkuotuojs	Google Translate
zūss	goose
kruošņs	gorgeous
pļuopys	gossip
īgive	got
saprotu	got it
vaļdeiba	government
pakert	grab
atzeime	grade
pamozam	gradually
absolvēt	graduate
gryuds	grain
dotaceja	grant
daškierts	granted
veinūgys	grapes
sakert	grasp
zuole	grass
pateiceigs	grateful
pateiceiba	gratitude
kops	grave
palāks	gray
lobs	great
alkateiba	greed
montkuoreigs	greedy
zaļš	green
sveicynuot	greet
sveicīņs	greeting
sveicīni	greetings
palāks	grey
režgis	grid
sārys	grief
samaļt	grind
sakert	grip
puortykys precis	grocery
leigavaiņs	groom
preteigs	gross
zeme	ground
grupa	group
augt	grow
izaugsme	growth
kaškeigs	grumpy
guarani	Guarani
garanteja	guarantee
sorgs	guard
minēt	guess
cīmeņš	guest
nūruodejums	guidance
vadeit	guide
rūkysgruomota	guide
vaineigs	guilty
puiss	guy
zāni	guys
sporta zals	gym
īrodums	habit
vide	habitat
bija	had
krusa	hail
moti	hair
puse	half
zals	hall
rūka	hand
reikuotīs	handle
rūkturs	handle
šmuks	handsome
pakuort	hang
pavadēt laiku	hang out
nūtikt	happen
nūtyka	happened
prīca	happiness
prīceigs	happy
daudz laimis dzimšonys dīnā	happy birthday
daudz laimis dzimšonys dīnā	happy birthday to you
laimeigu jaunū godu	happy new year
cīts	hard
nicik	hardly
gondreiž nikod	hardly ever
kaitejums	harm
kaiteigs	harmful
harmoneja	harmony
skorbs	harsh
raža	harvest
pīder	has
īneistu	hate
pīder	have
lai tev loba dīna	have a good day
lai tev jauka dīna	have a nice day
ēd brūkaškys	have breakfast
izaklaideit	have fun
voi tu esi ēds	have you eaten
pīderēt	having
apdraudejums	hazard
mygla	haze
jis	he
jam ir	he has
jis ir	he is
golva	head
golvys suopis	headache
sadzeit	heal
dzīdynūšs	healing
veseleiba	health
veseleigs	healthy
dzierdēt	hear
dzierdēja	heard
sirds	heart
korstums	heat
paradize	heaven
gryuts	heavy
drudžains	hectic
augums	height
mantinīks	heir
nūzagšona	heist
turēts	held
eļne	hell
loba dīna	Hello
sveiks duorgum	hello dear
vasals kai tev īr	hello how are you
vasals kai tev īt	hello how are you doing
kivere	helmet
paleidzēt	help
izpaleidzeigs	helpful
leidz ar tū	hence
jei	her
bors	herd
ite	here
montuojums	heritage
vylcynuotīs	hesitate
vasals	Hey
vasals	Hi
vasals, kai tev īt	hi how are you
vasals	Hi there
nūslāpts	hidden
slēptīs	hide
hierarheja	hierarchy
augsts	high
izceļt	highlight
puorguojīns	hike
puorguojīni	hiking
smīkleigs	hilarious
kolns	hill
jis	him
muojīns	hint
gūrns	hip
gūrni	hips
jemt dorbā	hire
jemt dorbā	hiring
juo	his
viesture	history
sist	hit
Hmm	Hmm
breivuo laika nūdarbe	hobby
turēt	hold
uzgaidi	hold on
caurums	hole
breivdīna	holiday
caurs	hollow
sāta	home
sātysdorbs	homework
gūdeigs	honest
gūdeigi	honestly
meiļum	Honey
gūds	honor
kapuce	hood
ākis	hook
lekt	hop
cereiba	hope
carams	hopefully
bezcereigs	hopeless
horizontals	horizontal
rogs	horn
brīsmeigs	horrible
brīsmis	horror
zyrgs	horse
slimineica	hospital
gostmīleiba	hospitality
saiminīks	host
naideigs	hostile
korsts	hot
vīsneica	hotel
stuņde	hour
stuņdis	hours
muoja	house
muojsaimnīceiba	household
kai	how
kai ar tevi	how about you
kai tev īt	how are you
kai tev īt	how are you doing
kai tev šudiņ īt	how are you doing today
kai tev šudiņ īt	how are you today
kai tev īt	how do you do
kai ir	how is
cik daudz	how many
cik daudz	how much
cik bīži	how often
cik tu esi vacs	how old are you
cik tev ir godu	how old are you
kaida beja tova dīna	how was your day
kai paguoja tova nakts	how was your night
koč	however
centrs	hub
veireņš	hubby
apskuovīņs	hug
lels	huge
cylvāks	human
vīnkuoršs	humble
mytrs	humid
mytrums	humidity
symts	hundred
izsaļcs	hungry
medeit	hunt
vīsuļvātra	hurricane
steigtīs	hurry
pasasteidz	hurry up
īvainuot	hurt
veirs	husband
gryusteišonuos	hustle
būda	hut
higiena	hygiene
es	I
es asmu	I am
maņ vyss labi	I am fine
es varu	I can
es navaru	I can't
nui	I do
es nazynu	I do not know
es nasaprūtu	I do not understand
maņ nav	I don't
es nazynu	I don't know
es nasaprūtu	I don't understand
es nasaprūtu	I don't understand what you mean
kū tu ar tū dūmoj	I don't understand what you mean
es tevi nasaprūtu	I don't understand you
es nazynu	I don’t know
es nasaprūtu	I don’t understand
man tai līkās	i guess
maņ beja	I had
maņ ir	I have
as asmu bejs	I have been
es tai ceru	I hope so
es zynu	I know
maņ pateik	I like
tu maņ pateic	I like you
es mīļoju	I love
es mīļoju sovu lelū bruoli	I love my big brother
es mīļoju sovu lelū muosu	I love my big sister
es mīļoju sovu tāvu	I love my father
es mīļoju sovu mozū bruoli	I love my little brother
es mīļoju sovu mozū muosu	I love my little sister
es mīļoju sovu muoti	I love my mother
es tevi mīļoju	I love you
es tevi cīši mīļoju	I love you so much
es tevi mīļoju	I love you too
es dūmoju	I mean
maņ tevis datryukst	I miss you
maņ tevis cīši datryukst	I miss you so much
es radzu	I see
es dūmoju	I think
es saprūtu	I understand
es grybu	I want
es grybu tevi redzēt	I want to see you
es tevi grybu	I want you
es beju	I was
es byušu	I will
es byušu	I would be
es asmu	I'm
maņ vyss labi	I'm fine
maņ vyss labi	I'm good
asmu te	I'm here
pīdūd	I'm sorry
lads	ice
saldiejums	ice cream
ideja	idea
ideals	ideal
ideņtisks	identical
atpazeit	identify
ideņtitate	identity
idiots	idiot
nikuo nadareit	idle
ja	if
ignorēt	ignore
slyms	ill
nalegals	illegal
slimeiba	illness
ilokano	Ilocano
biļde	image
īsadūmoj	imagine
izreiz	immediate
izreiz	immediately
miļzeigs	immense
ītekme	impact
napacīteigs	impatient
eistynuot	implement
importēt	import
svareigs	important
uzlikt	impose
naīspiejams	impossible
īspaiduot	impress
īspaids	impression
īspaideigs	impressive
uzlobuot	improve
uzlobuojums	improvement
īkšā	in
kluot tam	in addition
faktiski	In fact
prīkšā	in front of
lai	in order to
naatbylstūšs	inappropriate
stimuls	incentive
atgadejums	incident
īkļaut	include
īskaitūt	including
īnuokumi	income
naierteiba	inconvenience
palelynuot	increase
pasalelynuojs	increased
natycams	incredible
eistyn	indeed
naatkareigs	independent
Indeja	India
nūruodeit	indicate
pamatīdzievuotuoji	indigenous
individuals	individual
industreja	industry
naizbāgams	inevitable
zeidaiņs	infant
infekceja	infection
bezgaleiba	infinity
īkaisums	inflammation
inflaceja	inflation
ītekme	influence
informēt	inform
informaceja	information
sastuovdalis	ingredients
montuojums	inheritance
suokūtnejais	initial
iniciativa	initiative
īvainuots	injured
īvainuojums	injury
navaineigs	innocent
jaunynuojums	innovation
pīprasejums	inquiry
troks	insane
kukaiņs	insect
nadrūss	insecure
īlikt	insert
īškā	inside
īskots	insight
uzstuot	insist
bezmīgs	insomnia
īdvesma	inspiration
īdvesmuot	inspire
uzstuodēt	install
pīmāram	instance
acumierkleigs	instant
tuo vītā	instead
tuo vītā	instead of
nūruodejumi	instructions
instruments	instrument
aizvainuojums	insult
insults	insult
apdrūsynuošona	insurance
vīnā gobolā	intact
gūdeigums	integrity
gudrys	intellectual
inteligence	intelligence
inteligents	intelligent
nūdūmuot	intend
paradzāts	intended
intensivs	intense
nūdūms	intention
īsadorbuot	interact
mijīdarbeiba	interaction
interese	interest
interesēts	interested
interesants	interesting
traucēt	interfere
storppūsms	intermediate
videjs	intermediate
īkšejs	internal
storptautisks	international
prakse	internship
tulkuot	interpret
tulkuotuojs	interpreter
puortraukt	interrupt
interveja	interview
intims	intimate
īškā	into
īpazeistynuot	introduce
īvods	introduction
introverts	introvert
intuiceja	intuition
nadereigs	invalid
izgudruot	invent
inventars	inventory
īguļdeit	invest
izmeklēt	investigate
īlyugums	invitation
uzaicynuot	invite
riekins	invoice
īsaisteit	involve
īsaisteits	involved
dzeļzs	iron
ir	is
sola	island
izolāts	isolated
izdavums	issue
problema	issue
problemys	issues
tys	it
tys ir	it is
tys beja	it was
tys ir	it's
vyss kuorteibā	it's ok
vyss kuorteibā	It's okay
līta	item
lītys	items
tys ir	its
es asmu	I’m
jaka	jacket
cītums	jail
janvars	January
burka	jar
žūklis	jaw
skaudeigs	jealous
paraut	jerk
kretins	jerk
rūtyslītys	jewelry
dorbs	job
skrīšona	jogging
dasavīnuot	join
lūceitova	joint
jūks	joke
žurnalists	journalist
ceļuojums	journey
prīks	joy
tīsness	judge
sula	juice
juļs	july
lekt	jump
juņs	june
bardaks	junk
tikai	just
izdori tū	just do it
taisneiba	justice
attaisnuot	justify
Kalalisut	Kalaallisut
dedzeigs	keen
turēt	keep
tai turpynoj	keep it up
turēja	kept
čainīks	kettle
atslāgs	key
īspert	kick
bārns	kid
jūkuot	kidding
nīre	kidney
bārni	kids
nūsist	kill
jauks	kind
tai kai	kinda
pīkluojeigi	kindly
laipneiba	kindness
karaļs	king
buča	kiss
kukne	kitchen
pyučs	kite
kačalāns	kitten
ceļa gols	knee
zynuoja	knew
nazs	knife
bruninīks	knight
zynuot	know
zynuošonys	knowledge
zynoms	known
konkani	Konkani
kriu	Krio
zeimyns	label
dorbs	labor
dorbs	labour
tryukums	lack
trepis	ladder
dāma	lady
nūlykts	laid
azars	lake
jārs	lamb
tyzls	lame
lampa	lamp
zeme	land
apkuortne	landscape
volūda	language
klieps	lap
lels	large
pādejais	last
pādejais, bet ni švakuokais	last but not least
pavuorde	last name
vāls	late
pādejā laikā	lately
vāluok	later
pādejais	latest
latgalīšu	Latgalian
pādejais	latter
smītīs	laugh
smīšonuos	laughing
smīkli	laughter
izlaist	launch
velis mozguošona	laundry
lykums	law
zuoluojs	lawn
advokats	lawyer
gulēt	lay
sluoņs	layer
izkuortuojums	layout
slynks	lazy
vadeit	lead
vadeituojs	leader
lopa	leaf
tecēt	leak
līktīs	lean
liecīņs	leap
vuiceitīs	learn
vuiceišonuos	learning
nūma	lease
vysmoz	least
uoda	leather
atstuot	leave
lopys	leaves
vadeja	led
kreisi	left
aizguojs	left
kuoja	leg
montuojums	legacy
lykumeigs	legal
leģenda	legend
eists	legit
atpyuta	leisure
aizdūt	lend
garums	length
mozuok	less
vuiceiba	lesson
ļaut	let
viestule	letter
salats	lettuce
leimiņs	level
svyra	leverage
atbiļdeiba	liability
biblioteka	library
laizeit	lick
maluot	lie
mali	lies
dzeive	life
paceļt	lift
vīgls	light
gaišs	light
zibiņs	lightning
patikt	like
kai	like
īspiejams	likely
taipoš	likewise
lineja	line
lingala	Lingala
saite	link
lauva	lion
škidrums	liquid
saroksts	list
klauseitīs	listen
klausūtīs	listening
burtiski	literally
literatura	literature
atkrytumi	litter
metīņs	litter
mozs	little
dzeivoj	live
okna	liver
dzeivis	lives
dzeivuošona	living
dzeivojamuo ustoba	living room
škierzlots	lizard
slūdze	load
kukuleits	loaf
aizdūt	loan
vītejais	local
vīta	location
slēdzene	lock
blokade	lockdown
blučs	log
īroksts	log
vīntuļš	lonely
garš	long
ilgi naesi redzēts	long time no see
viertīs	look
izskots	look
cylpa	loop
breivs	loose
kungs	lord
pazaudeit	lose
zaudejums	loss
pazaudeit	lost
daudz	lot
skaļš	loud
atpyutys telpa	lounge
mīlesteiba	love
es tevi mīļoju	love you
jauks	lovely
zamai	low
zamuoks	lower
uzticeigs	loyal
uzticeiba	loyalty
veiksme	luck
laimeigs	lucky
luganda	Luganda
bagaža	luggage
bumbuļs	lump
pušdīnys	lunch
plaušys	lungs
grezneiba	luxury
malojūšs	lying
mašyna	machine
sirdeigs	mad
dāma	madam
iztaiseja	made
žurnals	magazine
breineigs	magnificent
kolpyune	maid
golvonais	main
uzturēt	maintain
uzturēšona	maintenance
maithili	Maithili
pamateigs	major
vairuokums	majority
taiseit	make
izdūmuot	make up
veirīts	male
lelveikals	mall
veirīts	man
puorvaļdeit	manage
vadeiba	management
vadeituojs	manager
obligats	mandatory
manifests	manifest
manipulēt	manipulate
veids	manner
rūku dorbs	manual
rūkysgruomota	manual
daudz	many
daudz laimeigu dīneņu	many many happy returns of the day
marts	march
starpeiba	margin
tiergs	market
kuozys	marriage
preciejīs	married
maska	mask
masa	mass
masivs	massive
meistars	master
pīskaņuot	match
atbiļst	match
bīdrs	mate
materials	material
matematika	math
nūzeimēt	matter
īmeslis	matter
vīla	matter
brīdums	maturity
var	may
varbyut	maybe
mani	me
es arī	me too
ādums	meal
dūmuot	mean
nūzeime	meaning
nūzeimej	means
dūmuots	meant
cikom	meanwhile
miereit	measure
pasuokumi	measures
gaļa	meat
medicinys	medical
medicina	medicine
meditaceja	meditation
videjs	medium
satikt	meet
sasatikšona	meeting
meiteilona	Meiteilon
izkust	melt
atminis	memories
atmiņa	memory
mentals	mental
pīminēt	mention
pīminēje	mentioned
mentors	mentor
tierguotuojs	merchant
žielesteiba	mercy
tikai	merely
prīceigus zīmsvātkus	merry christmas
nakuorteiba	mess
ziņa	message
nateirs	messy
metals	metal
pajiemīns	method
pelis	mice
pa vydu	middle
pušnakts	midnight
varātu	might
maigs	mild
sasnēgums	milestone
militars	military
pīns	milk
miljons	million
pruots	mind
dūmuošona	mindset
muns	mine
sasajaukt	mingle
mozs	minor
minota	minute
minotys	minutes
breinums	miracle
spīgeļs	mirror
vysaids	miscellaneous
palaidneigs	mischievous
nūžālojams	miserable
posts	misery
palaist garum	miss
piec tevis ilgojūs	miss you
pazuds	missing
miseja	mission
mygla	mist
klaida	mistake
mizo	Mizo
mobils	mobile
mēdēt	mock
modeļs	model
mārons	moderate
moderns	modern
pīticeigs	modest
mytrs	moist
mytrums	moisture
peliejums	mold
veļ	mole
mama	mom
šaļts	moment
pyrmūdīne	monday
nauda	money
nūvāruot	monitor
monitors	monitor
piertičs	monkey
mieness	month
nūskaņuojums	mood
kaškeigs	moody
mieness	moon
morals	moral
vēļ	more
kluot tam	moreover
reits	morning
hipoteka	mortgage
vairuoki	most
vairuok	mostly
muote	mother
kusteiba	motion
motivaceja	motivation
kolns	mountain
pele	mouse
mute	mouth
kustēt	move
kusteiba	movement
filma	movie
kuņdze	mrs
daudz	much
dubli	mud
krūze	mug
muskuļs	muscle
muzejs	museum
sieņs	mushroom
muzyka	music
vajadzēt	must
māms	mute
obpusejs	mutual
muns	my
muna	my
muns duorgums	My dear
muns draugs	my friend
muns gaisa kugis ir pylns ar zušim	My hovercraft is full of eels
muna mīla	my love
muns vuords ir	my name is
muns prīks	my pleasure
es pats	myself
nūslāpumains	mysterious
mistereja	mystery
mits	myth
nogla	nail
nogs	nail
naivs	naive
vuords	name
naratis	narrative
šaurs	narrow
najauks	nasty
nacionals	national
tauteiba	nationality
vītejais	native
dabisks	natural
doba	nature
švaka dūša	nausea
tyvai	near
blokus	nearby
gondreiž	nearly
kuorteigs	neat
vajadzeigs	necessary
kokls	neck
koklarūta	necklace
vajadzeit	need
nagativs	negative
nūlaideiba	neglect
puorrunuot	negotiate
sābris	neighbor
apkuortne	neighborhood
nivīns	neither
bruoļa dāls	nephew
muosys dāls	nephew
uztraukts	nervous
lygzda	nest
teikls	net
teikls	network
neitrals	neutral
nikod	never
nikod napasadūd	never give up
najem pīrī	never mind
najem pīrī	nevermind
vys tik	nevertheless
jauns	new
zinis	news
nuokušais	next
blokus	next to
lobs	nice
jauks	nice
jauki tevi satikt	nice to meet you
muosys meita	niece
nakts	night
murgs	nightmare
deveni	nine
deveņpadsmit	nineteen
deveņdesmit	ninety
nā	No
bez problemom	no problem
navar byut	no way
nivīns	nobody
trūksnis	noise
skaļš	noisy
nivīns	none
pušdiņlaiks	noon
nā	nope
ni	nor
normāls	normal
zīmeli	north
daguns	nose
nostaļgisks	nostalgic
nav	not
pavysam nā	not at all
našvaks	not bad
ni tān	Not now
vēļ nā	not yet
zeimeite	note
atzeimuots	noted
nikas	nothing
pamanēt	notice
pamaneits	noticed
lītvuords	noun
lītvuordi	nouns
romans	novel
novembris	november
tagad	now
tagad	nowadays
trauceklis	nuisance
nulle	null
najiuteigs	numb
cypars	number
muoseņa	nurse
rīksts	nut
muskatrīksts	nutmeg
uzturs	nutrition
zvārasts	oath
apsataukuošona	obesity
paklausēt	obey
prīkšmats	object
objektivs	objective
pīnuokums	obligation
naskaidrs	obscure
nūvāruojums	observation
nūvāruot	observe
puorjemts	obsessed
apsiesteiba	obsession
nūvacuojs	obsolete
škierslis	obstacle
dabuot	obtain
īgiuts	obtained
acimradzams	obvious
acimradzamai	obviously
ratai	occasionally
nūsadorbuošona	occupation
aizjimts	occupied
pasaruodeit	occur
pasaruodeja	occurred
pasaruoda	occurs
okeans	ocean
oktobris	october
deivains	odd
izredzis	odds
nu	of
prūtams	of course
būjuots	off
izslāgts	off
aizvainojūšs	offensive
pīduovuojums	offer
ofiss	office
oficials	official
bīži	often
patīšam	oh really
eļļa	oil
labi	ok
labi duorgum	ok dear
labi duorgum	ok honey
labi muna mīlesteiba	ok my love
labi	okay
labi mozuo	okay baby
labi duorgum	okay dear
labi duorgum	okay honey
labi muna mīla	okay my love
vacs	old
iz	on
vīnreiz	once
vīns	one
vīnys volūdys nikod nav gona	one language is never enough
seipuls	onion
tīšsaistē	online
tikai	only
atvārts	open
operaceja	operation
vīdūklis	opinion
īspiejis	opportunities
īspieja	opportunity
pretejs	opposite
optimistisks	optimistic
īspieja	option
naobligats	optional
voi	or
apeļsins	orange
oranžs	orange
pasyutēt	order
parosts	ordinary
organizaceja	organization
orientaceja	orientation
izceļsme	origin
originals	original
oromo	Oromo
buoriņs	orphan
cyts	other
sovaižuok	otherwise
vajadzātu	ought
myusu	our
Myusu miseja: ļaut sevkuram i sevkur izprast pasauļa i izasaceit vysaiduos volūduos.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Myusu miseja: sakuortuot pasauļa informaceju i padareit tū vysim daīmamu i nūdereigu.	Our mission: to organize the world's information and make it universally accessible and useful.
uorā	out
rezultats	outcome
apgierbs	outfit
izejūšs	outgoing
socials	outgoing
izvods	outlet
rūbežs	outline
uorā	outside
izcyls	outstanding
kruosns	oven
cauri	over
tī	over there
kūpumā	overall
tikt puori	overcome
puordūmuot	overthinking
puorjemts	overwhelmed
miļzeigs	overwhelming
byut poruodā	owe
pūce	owl
pīderēt	own
pošu	own
saiminīks	owner
vierss	ox
temps	pace
paka	pack
paka	package
samoksuots	paid
suopis	pain
kruosa	paint
zeimuojums	painting
puors	pair
buols	pale
plauksta	palm
panna	pan
pandemeja	pandemic
panika	panic
biksis	pants
papeirs	paper
paradize	paradise
paralels	parallel
paceņa	parcel
atlaid	pardon
vacuoki	parents
parks	park
papagaiļs	parrot
pīterseiļi	parsley
daļa	part
pīsadaleit	participate
eipašs	particular
eipaši	particularly
partners	partner
balleite	party
škārsuot	pass
eja	passage
nūmyra	passed
aizaraušona	passion
aizrauteigs	passionate
pasivs	passive
parole	password
paguotne	past
īluops	patch
ceļš	path
nūžālojams	pathetic
pacīteiba	patience
pacīteigs	patient
paraugs	pattern
roksts	pattern
pauze	pause
trotuars	pavement
moksuot	pay
moksuojums	payment
mīrs	peace
mīreigs	peaceful
persiks	peach
viersūtne	peak
bumbīrs	pear
zierni	peas
sovpateigs	peculiar
čuruot	pee
myza	peel
vīnaudzs	peer
vīnaudži	peers
pyldspolva	pen
zeimuļs	pencil
gaidūšs	pending
cylvāki	people
pipars	pepper
uztvert	perceive
uztvere	perception
ideals	perfect
dareit	perform
snēgums	performance
īspiejams	perhaps
laikmets	period
pastuoveigs	permanent
atļuove	permission
atļauja	permit
naatlaideiba	perseverance
naatlaideigs	persistent
persona	person
personeigs	personal
personeiba	personality
skotīņs	perspective
puorlīcynuot	persuade
perverss	pervert
sātys dzeivnīks	pet
fāze	phase
fenomens	phenomenon
filozofeja	philosophy
kuļdinīks	phone
telefons	phone
biļde	photo
frāze	phrase
fizisks	physical
baksteit	pick
izavēlēt	pick
paceļt	pick up
biļde	picture
gobols	piece
goboli	pieces
cyuka	pig
bolūds	pigeon
kaudze	pile
spylvyns	pillow
pilots	pilot
pīspraust	pin
ananass	pineapple
rozā	pink
bedre	pit
kauleņš	pit
svīdīņs	pitch
žālums	pity
vīta	place
vītys	places
miers	plague
vīnkuoršs	plain
planavuot	plan
lidmašyna	plane
augs	plant
augi	plants
škeivs	plate
platforma	platform
spēlēt	play
spēlejūt	playing
pateikams	pleasant
lyudzu	please
apmīrynuots	pleased
prīca	pleasure
zvērēt	pledge
naskaitami	plenty
sižets	plot
spraudnis	plug
plūme	plum
santehnikis	plumber
daudzskaitlis	plural
apluode	podcast
dzejūļs	poem
dzeja	poetry
punkts	point
iņde	poison
policeja	police
politika	policy
pīkluojeigs	polite
pīsuorņuojums	pollution
prūds	pond
baseins	pool
syuds	poop
nabadzeigs	poor
spruogt	pop
populars	popular
populaceja	population
cyukys gaļa	pork
putra	porridge
ūsta	port
poziceja	position
pozitivs	positive
pīderēt	possess
eipašums	possession
eipašnīcisks	possessive
īspiejams	possible
īroksts	post
posts	post
atlikt	postpone
buļba	potato
īspiejams	potential
muorceņa	pound
nabadzeiba	poverty
spāks	power
spieceigs	powerful
praktisks	practical
mieginuojums	practice
slavēt	praise
jūks	prank
lyugtīs	pray
duorgs	precious
prezics	precise
precizi	precisely
pareģuot	predict
dūt prīkšrīku	prefer
prīkšrūka	preference
stuovūklī	pregnant
aizsprīdumi	prejudice
telpys	premises
augstuokuos klasis	premium
gataveišonuos	preparation
sagataveit	prepare
sagataveits	prepared
prīvuords	preposition
kluotbyutne	presence
tagadne	present
prezentaceja	presentation
saglobuot	preserve
prezidents	president
spīst	press
prese	press
spīdīņs	pressure
izalikt	pretend
skaists	pretty
nūvērst	prevent
īprīškejīs	previous
medejums	prey
cena	price
lapnums	pride
prīsters	priest
primari	primary
golvonais	prime
priņcese	princess
golvonais	principal
pyrms tuo	prior
prioritate	priority
cītums	prison
privatums	privacy
personeigs	private
prīkšrūceiba	privilege
bolva	prize
īspiejams	probably
problema	problem
procedura	procedure
turpynuot	proceed
process	process
ražuot	produce
produkti	produce
izstruoduojums	product
ražuošona	production
profeseja	profession
profesionals	professional
profils	profile
peļņa	profit
dziļš	profound
progress	progress
projekts	project
izteikts	prominent
apsūlēt	promise
veicynuot	promote
paaugstynuojums	promotion
mudynuot	prompt
nūslīce iz	prone
vītnīkvuordi	pronouns
izruna	pronunciation
pīrudejumi	proof
kuorteigs	proper
pareizi	properly
eipašeibys	properties
eipašum	property
prīkšlykums	proposal
izredzis	prospect
lobkluojeiba	prosperity
puortics	prosperous
aizsorguot	protect
lepns	proud
pīruodēt	prove
nūdrūsynuot	provide
nūdrūsynuots	provided
proviņce	province
nūdrūsynuojums	provision
pubertate	puberty
publisks	public
viļkt	pull
kirbs	pumpkin
punktuals	punctual
škoļnīks	pupil
nūpierkt	purchase
pierkums	purchase
teirs	pure
violets	purple
mierkis	purpose
sūmeņa	purse
tīktīs	pursue
izsekuot	pursuit
pagryuzt	push
nūlikt	put
kvalifikaceja	qualification
kvalitate	quality
daudzums	quantity
karantina	quarantine
streids	quarrel
catūrksnis	quarter
kečua	Quechua
karalīne	queen
deivains	queer
vaicuojums	query
vaicuojums	question
rynda	queue
uotrs	quick
uotri	quickly
kluss	quiet
dečs	quilt
aizīt	quit
dīzgon	quite
viktorina	quiz
citats	quotation
citāts	quote
citati	quotes
truss	rabbit
saceņseibys	race
dusmis	rage
leits	rain
izaudzynuot	raise
izaudzeits	raised
skrēje	ran
najaušs	random
diapazons	range
uotrs	rapid
uotri	rapidly
rats	rare
ratai	rarely
pumpys	rash
žurka	rat
vērtēt	rate
gon	rather
attīceiba	ratio
racionals	rational
jāls	raw
sasnēgt	reach
sasnīgts	reached
reakceja	reaction
laseit	read
losūt	reading
gotovs	ready
eists	real
realitate	reality
saprast	realize
saprosts	realized
eistyn	really
aizmugure	rear
īmeslis	reason
sapruoteigai	reasonable
atsaukt	recall
čeks	receipt
sajimt	receive
sajimts	received
nasens	recent
naseņ	recently
uzjimšona	reception
recepte	recipe
naapdūmeigs	reckless
atpazeistameiba	recognition
atpazeit	recognize
īsaceit	recommend
īsaceit	recommended
īraksteit	record
atsakūpt	recover
atsakūpšona	recovery
taisnstyurs	rectangle
sorkons	red
izpierkt	redeem
izpierkšona	redemption
samazynuot	reduce
līks	redundant
atsasaukt	refer
atsauce	reference
atspīgeļuot	reflect
atspulgs	reflection
puordūmys	reflection
atsaturēt	refrain
ladaskaps	refrigerator
atmoksa	refund
atsasaceit	refuse
kuo ta lobā	refused
atsasaceja	refused
saisteibā ar	regard
saisteibā ar	regarding
nasaverūt iz	regardless
saisteibā ar	regards
regions	region
registrētīs	register
nūžāla	regret
parosts	regular
regulars	regular
regulari	regularly
atsasaceit	reject
atsatīkt	relate
saisteits	related
attīceibys	relationship
relativs	relative
radinīks	relative
radinīki	relatives
atsapyut	relax
izlaist	release
atbreivuot	release
izlaists	released
saistūšs	relevant
uzticeigs	reliable
atvīgluojums	relief
atbreivuot	relieve
atvīgluots	relieved
religeja	religion
religisks	religious
nagribeigai	reluctant
pasaļaut	rely
palikt	remain
palykušais	remaining
īvārojams	remarkable
leidzeklis	remedy
atsacerīs	remember
atguodynuot	remind
atguodynuojums	reminder
attuolynuotai	remote
nūjimt	remove
renderēt	render
īre	rent
salobuot	repair
atkuortuot	repeat
aizvītuot	replace
atbiļdēt	reply
ziņuot	report
puorstuovēt	represent
reputaceja	reputation
pīpraseit	request
vajadzēt	require
vajadzeigs	required
izgluobt	rescue
pietejums	research
atdarynoj	resemble
aizvainuojums	resentment
rezervaceja	reservation
rezervēt	reserve
īdzeivuotuojs	resident
atsakuopt	resign
nūtureiba	resilience
iztureigs	resilient
pretuotīs	resist
pretesteiba	resistance
atrysynuojums	resolution
atrysynuot	resolve
kūrorts	resort
resursi	resources
cīņa	respect
atbiļdēt	respond
atbiļde	response
atbiļdeiba	responsibility
atbiļdeigs	responsible
atsapyust	rest
atsapyut ar mītu	rest in peace
restorans	restaurant
atjaunot	restore
īrūbežuot	restrict
rezultats	result
rezultati	results
kūpsavylkums	resume
turpynuot	resume
mozumtierdznīceiba	retail
saglobuot	retain
saglobuošona	retention
peņsejā	retired
atsakuopt	retreat
dabuot atpakaļ	retrieve
atgrīzt	return
atkluot	reveal
atkluots	revealed
atrībeiba	revenge
atleidzeiba	revenue
ūtraižuok	reverse
apskots	review
puorskateit	revise
puorsavieršona	revision
revoluceja	revolution
bolva	reward
ritms	rhythm
ryba	rib
riss	rice
boguots	rich
atsabreivuot	rid
juot	ride
smīkleigs	ridiculous
pareizi	right
labi	right
tīši tagad	right now
styngrs	rigid
gradzyns	ring
skoluot	rinse
sasaceļšona	riot
plēst	rip
gotovs	ripe
pasaceļt	rise
risks	risk
naidinīks	rival
upe	river
ceļš	road
cepets	roast
styngrs	robust
šyupuot	rock
akmiņs	rock
stīņs	rod
lūma	role
veļtīs	roll
jumts	roof
ustoba	room
sakne	root
vierve	rope
sapyvs	rotten
