a little	veháš
first name	ovdanamma
fish	guolli
fit	heivet
fit	sávri
five	vihtta
fix	divvut
fixed	divvojuvvon
flag	leavga
flash	čuovggiheapmi
flat	visti
flat	steanžžas
flaw	meattáhus
flawless	dievaslaš
flee	báhtarit
flesh	biergu
flew	girddii
flex	roŋket
flexible	soddjil
flight	girdin
flip	bálkestit
flirt	irggástallat
flirting	irggástallan
float	govdut
flood	dulvi
floor	láhtti
floor	geardi
flour	jáffu
flow	golgat
flow	golgan
flower	lieđđi
flu	influensá
fluent	njuovžil
fluently	njuovžilit
fluffy	barfái
fluid	golgguslaš
fluid	golggus
fly	girdit
fly	čuru
focus	guovdduštit
focus	guovdačuokkis
fog	mierká
foggy	skoddui
fold	máhcastit
folks	olbmot
follow	čuovvut
follow up	čuovvut
following	čuovvovaš
food	biebmu
fool	duihmi
fool	dájuhit
foolish	doavki
foot	juolgi
football	juolgespábba
For example	Ovdamearkka dihte
for instance	ovdamearkka dihte
for you	dutnje
forbidden	gildojuvvon
force	vuoibmi
forecast	einnostus
forehead	gállu
foreign	amas
forest	vuovdi
forever	agalaččat
forget	vajálduhttit
forgive	addit ándagassii
forgot	vajálduhtii
fork	gáffal
form	hábmet
form	hápmi
formal	formála
former	ovddit
fortunately	lihkus
fortune	lihkku
fortune	opmodat
forty	njealljelogi
forty-two	njealljelogiguokte
forward	ovddos
foster	ovddidit
fought	doarui
found	gávdnon
foundation	vuođđu
four	njeallje
fourteen	njealljenuppelohkái
fox	rieban
fragile	rašši
frame	rámma
framework	riggi
fraud	beahtus
freak	čáráhus
free	friddja
freedom	friddjavuohta
freeze	jikŋot
frequency	dábálašvuohta
frequent	jeavddalaš
frequently	dávjá
fresh	varas
friday	bearjadat
fridge	jiekŋaskáhpe
friend	ustit
friendly	ustitlaš
friends	ustibat
friendship	ustitvuohta
frightened	balus
frightening	balddihahtti
frog	cuoppu
front	ovdabealli
frozen	jikŋon
fruit	heđen
frustrated	duššástuvvat
fuel	boaldámuš
fuel	táŋket
Fulfulde	fulfuldegiella
full	dievaslaš
fun	hávski
function	funkšuvdna
function	doaibmat
fundamental	vuođđo-
funeral	hávdádeapmi
funny	suohtas
fur	fuođđonáhkki
furious	suhtus
furniture	viessogálvvut
further	guhkkelii
furthermore	lassin
future	boahttevuohta
gain	vuoitit
gain	buktu
game	speallu
gap	ráigi
garage	biilastálla
garbage	ruska
garden	gilvvagárdi
garlic	vilgeslávki
gate	poarta
gather	čoagganit
gathering	čoagganeapmi
gauge	mihttár
gave	attii
gear	giira
gender	sohkabealli
general	almmolaš
generally	oppalaččat
generate	dagahit
generation	sohkabuolva
generous	árvvas
genius	geniija
genre	šáŋŋer
gentle	ráhkislaš
genuine	eakti
gesture	láhtta
get	oažžut
get dressed	gárvodit
get up	badjánit
get well soon	buorrán jođánit
getting	oažžun
ghost	gobmi
ghosting	ghosting
giant	jiehtanas
gift	skeaŋka
ginger	ingefeara
girl	nieida
girlfriend	moarsi
give	addit
give up	vuollánit
given	dihto
glad	ilolaš
glance	geahčastat
glass	lássa
glass	klássa
glasses	čalbmelásat
glimpse	livkkiheapmi
global	máilmmiviidosaš
gloomy	goalus
gloves	suorpmahagat
glow	áhcagastit
glow	áhcagastin
glow up	lieđđut
glue	liibma
go	mannat
go ahead	ovdnánit
go away	mana eret
go to bed	mannat nohkat
goal	ulbmil
goals	ulbmilat
goat	gáica
god	ipmil
god bless you	rusit
goes	manná
going	mannamin
going to	áigu
gold	golli
gone	mannan
gonna	áigu
goo	šliedda
good	buorre
good	dávvir
good afternoon	buorre beaivi
good bye	eale dearvan
good day	buorre beaivi
good evening	buorre eahket
good job	buorre bargu
good looking	fávru
good luck	lihkku
good morning	buorre iđit
good morning my love	buorre iđit ráhkkásan
good night	buorre idja
goodbye	mana dearvan
goodnight	buorre idja
goods	dávvirat
Google	Google
Google Translate	Google Jorgaleaddji
goose	čuonji
gorgeous	ebmui
gossip	šláttar
gossip	šláttardit
got	oaččui
got it	ortnegis
government	hálddahus
grab	doahput
grade	dássi
gradually	ceahkkálagaid
graduate	geargat
grain	gordni
grant	veahkkeruhta
grant	juolludit
granted	juolluduvvon
grapes	viidnemuorjjit
grasp	darvánit
grass	rássi
grateful	giitevaš
gratitude	giitevašvuohta
grave	hávdi
gray	ránis
great	buorre
greed	snielahisvuohta
greedy	váibmil
green	ruoná
greet	dearvvahit
greeting	dearvvuođat
greetings	dearvvuođat
grey	ránis
grid	ruvttodat
grief	moraš
grind	ferdnet
grip	čárvvát
grocery	borramušgávpi
groom	irgi
gross	roavis
gross	brutto
ground	eanagiera
group	joavku
grow	šaddat
growth	šaddan
grumpy	erdui
Guarani	guaranagiella
guarantee	dáhkádus
guard	vákta
guard	fáktet
guess	árvidit
guest	guossi
guidance	oahpisteapmi
guide	oahpis
guide	oahpistit
guilty	sivalaš
guy	gánda
guys	gánddat
gym	álšasále
habit	vierru
habitat	eallinbiras
had	lei
hail	čuorpmastit
hair	vuovttat
half	bealli
hall	feaskkir
hall	sále
hand	giehta
handle	gieđahallat
handle	givja
handsome	hámálaš
hang	heaŋgát
hang	harcet
hang out	sohtut
happen	dáhpáhuvvat
happened	dáhpáhuvai
happiness	lihkolašvuohta
happy	ilolaš
happy birthday	lihkku beivviin
happy birthday to you	olu lihkku dutnje
happy new year	lihkolaš ođđa jahki
hard	garra
hardly	illá
hardly ever	ii báljo goassige
harm	bárti
harm	skáđistit
harmful	vahátlaš
harmony	soabalašvuohta
harsh	guorbbas
harvest	šaddu
has	lea
hate	vašši
have	leat
have a good day	somás beaivi
have a nice day	somás beaivi
have breakfast	borrat iđitbiepmu
have fun	návddašit
have you eaten	leatgo borran
having	oamásteaddji
hazard	várra
haze	muođđa
he	son
he has	sus lea
he is	son lea
head	oaivi
headache	oaivebávččas
heal	buorránit
healing	buorráneapmi
health	dearvvašvuohta
healthy	dearvvaš
hear	gullat
heard	gulai
heart	váibmu
heat	liekkadit
heat	liekkas
heaven	albmi
heavy	lossat
hectic	giivvis
height	allodat
heir	árbejeaddji
heist	rievideapmi
held	doalai
hell	helvet
Hello	Dearvva
hello dear	hei ráhkis
hello how are you	bures mo don ealát
hello how are you doing	bures mo manná
helmet	jealbma
help	veahkehit
helpful	ávkálaš
hence	danin
her	su
herd	valvi
here	dáppe
heritage	árbi
hesitate	eahpidit
Hey	Hei
Hi	Bures
hi how are you	bures mo don ealát
Hi there	Bures
hidden	čihkkojuvvon
hide	čiehkat
hierarchy	hierarkiija
high	allat
highlight	deattuhit
hike	vánddardit
hiking	vánddardeapmi
hilarious	ilolaš
hill	boldni
him	su
hint	cavgileapmi
hip	alimat
hips	alimat
hire	bálkáhit
hiring	bálkáheamen
his	su
history	historjá
hit	časkit
Hmm	Hmm
hobby	áiggeádji
hold	doallat
hold on	vuordit
hole	ráigi
holiday	luopmu
hollow	guovgŋái
home	ruoktu
homework	ruoktobargu
honest	rehálaš
honestly	rehálaččat
Honey	gollážan
Honey	honnet
honor	gudni
honor	gudnejahttit
hood	skuohppu
hook	roahkki
hop	njuikkodit
hope	doaivu
hope	doaivut
hopefully	doaivvu mielde
hopeless	doaivvuheapme
horizontal	láskut
horn	čoarvi
horrible	gáfat
horror	hirbma
horse	heasta
hospital	buohcceviessu
hospitality	árvvasvuohta
host	hovdet
host	guossoheaddji
hostile	bahá
hot	báhkas
hotel	hotealla
hour	tiibma
hours	diimmut
house	dállu
household	dállodoallu
how	mo
how about you	naba don
how are you	mo manná
how are you doing	mo don ealát
how are you doing today	mo don otne ealát
how are you today	mo dus otne manná
how do you do	mo don ealát
how is	mo lea
how many	galle
how much	man olu
how often	man dávjá
how old are you	man boaris don leat
how was your day	mo du beaivi manai
how was your night	mo dus ikte manai
however	goittotge
hub	guovddáš
hubby	guoibmi
hug	buorrestat
hug	salastit
huge	hirbmat
human	olmmoš
humble	vuollegaš
humid	lávttas
humidity	lávttasvuohta
hundred	čuohti
hungry	nealggas
hunt	bivdu
hunt	bivdit
hurricane	orkána
hurry	hoahppu
hurry up	doama
hurt	bávččagit
husband	isit
hustle	doamahit
hustle	šuddi
hut	luoggu
hygiene	hygieniija
I	mun
I am	mun lean
I am fine	mus manná bures
I can	sáhtán
I can't	in sáhte
I do	dáhtun
I do not know	mun in dieđe
I do not understand	mun in ádde
I don't	in
I don't know	In dieđe
I don't understand	In ádde
I don't understand what you mean	In ádde maid don oaivvildat
I don't understand you	mun in ádde du
I don’t know	in dieđe
I don’t understand	mun in ádde
i guess	jáhkán
I had	mus lei
I have	mus lea
I have been	lean leamaš
I hope so	doaivvu mielde
I know	dieđán
I like	liikon
I like you	liikon dutnje
I love	ráhkistan
I love my big brother	ráhkistan iežan stuorravielja
I love my big sister	ráhkistan iežan stuorraoappá
I love my father	ráhkistan iežán áhči
I love my little brother	ráhkistan iežan uhcavielja
I love my little sister	ráhkistan iežan uhcaoappá
I love my mother	ráhkistan iežan eatni
I love you	ráhkistan du
I love you so much	ráhkistan du hui olu
I love you too	munge ráhkistan du
I mean	oaivvildan
I miss you	áibbašan du
I miss you so much	áibbašan du issorasat
I see	o já
I think	mun jurddašan
I understand	ádden
I want	hálidan
I want to see you	hálidan oaidnalit duinna
I want you	hálidan du
I was	ledjen
I will	áiggun
I would be	livččen
I'm	lean
I'm fine	Mun ealán dearvan
I'm good	ealán dearvan
I'm here	Lean dáppe
I'm sorry	šállošan
ice	jiekŋa
ice cream	lákcajiekŋa
idea	jurdda
ideal	ideála
identical	ideanttalaš
identify	dovdát
identity	identitehtta
idiot	idiohta
idle	joavdelas
if	jus
ignore	leahkit beroškeahttá
ill	buozus
illegal	lágaheapme
illness	dávda
Ilocano	ilocanogiella
image	govva
imagine	govahallat
immediate	gaskkaheapme
immediately	dalán
immense	meariheapme
impact	váikkuhit
impact	váikkuhus
impatient	gierdameahttun
implement	dahkat duohtan
import	gálvobuktin
import	sisafievrredit
important	dehálaš
impose	fáluhit
impossible	veadjemeahttun
impress	hirpmástuhttit
impression	miellagovva
impressive	váikkuhahtti
improve	buoridit
improvement	buorideapmi
in addition	lassin
In fact	Iešalddes
in front of	ovddas
in order to	vai
inappropriate	heivetmeahttun
incentive	oldehat
incident	dáhpáhus
include	sisttisdoallat
including	earret eará
income	boahtu
inconvenience	unohasvuohta
increase	lasáhus
increase	lassánit
increased	lassánan
incredible	jáhkkemeahttun
indeed	duođai
independent	iehcanaš
India	India
indicate	mearkkašit
indigenous	eamiálbmot-
individual	eaŋkil
industry	industriija
inevitable	garvemeahttun
infant	uhcamánná
infection	vuolši
infinity	ávdagas
inflammation	vuolši
inflation	inflašuvdna
influence	váikkuhit
influence	váikkuhus
inform	dieđihit
information	diehtu
ingredients	ávnnasoassi
inheritance	árbi
initial	vuosttas
initial	álgobustávva
initiative	álgga
injured	lápmašuvvan
injury	váddu
innocent	vigiheapme
innovation	innovašuvdna
inquiry	jearahallan
insane	jierpmeheapme
insect	divri
insecure	eahpesihkkar
insert	bidjat sisa
inside	siste
insight	oaidnu
insist	čuoččuhit
insomnia	oađehisvuohta
inspiration	inspirašuvdna
inspire	movttidahttit
install	sajálduhttit
instance	ovdamearka
instant	njuolgat
instead	sadjái
instead of	sadjái
instructions	rávvagat
instrument	čuojanas
instrument	instrumeanta
insult	bávččagahttin
insurance	dáhkádus
intact	guoskameahttun
integrity	rehálašvuohta
intellectual	intellektuála
intelligence	fiehttu
intelligent	fihtolaš
intend	áigut
intended	dárkkuhuvvon
intense	intensiiva
intention	áigumuš
interact	doaibmat
interaction	vuorrováikkuhus
interest	beroštupmi
interest	reantu
interested	beroštuvvan
interesting	miellagiddevaš
interfere	seahkánit
intermediate	gaskadási
internal	siskkáldas
international	riikkaidgaskasaš
internship	hárjehallan
interpret	dulkot
interpreter	dulka
interrupt	gaskkalduhttit
interview	jearahallan
intimate	lagaš
introduce	oahpásmuhttit
introduction	láidehus
introvert	introvearta
intuition	intuišuvdna
invalid	doaibmaváttot
invent	hutkat
inventory	láger
invest	investeret
investigate	dutkat
invitation	bovdehus
invite	bovdet
invoice	rehket
invoice	čállit rehkega
involve	gullat
involved	oasálaš
iron	striikket
iron	ruovdi
is	lea
island	suolu
isolated	isolerejuvvon
issue	ášši
issue	almmustahttit
issues	čuolmmat
it	dat
it is	dat lea
it was	dat lei
it's	dat lea
it's ok	ii daga maidige
It's okay	Dat lea ortnegis
item	tiŋga
items	tiŋggat
its	dan
I’m	mun lean
jacket	jáhkka
jail	giddagas
January	ođđajagimánnu
jar	burke
jaw	gáibi
jealous	balahahkes
jerk	gaikkiheapmi
jewelry	čiŋat
job	bargu
jogging	viehkan
join	searvat
joint	lađas
joke	spivka
journalist	doaimmaheaddji
journey	mátki
joy	illu
judge	dubmet
judge	duopmár
juice	sákta
july	suoidnemánnu
jump	njuiket
june	geassemánnu
junk	lissa
just	beare
just	vuoiggalaš
just do it	daga beare
justice	riehti
justify	vuoigaduhttit
Kalaallisut	kalaallit nunaatlaš giella
keen	áŋgit
keep	doallat
keep it up	joatkke beare
kept	doalai
kettle	málesruitu
key	čoavdda
kick	čiekčalit
kid	mánná
kidding	dájuheamen
kidney	manemuš
kids	mánát
kill	goddit
kind	šládja
kind	siivui
kinda	ládje
kindly	ustitlaččat
kindness	ustitlašvuohta
king	gonagas
kiss	cummá
kiss	cummástallat
kitchen	gievkkan
kite	guovdi
kitten	bussáčivga
knee	buolva
knew	diđii
knife	niibi
knight	riddár
know	diehtit
knowledge	diehtu
known	dovddus
Konkani	konkanigiella
Krio	kriokiella
label	steampalastit
label	steampal
labor	riegádahttin
labor	bargu
labour	riegádahttin
labour	bargu
lack	vátnivuohta
ladder	ráidalas
lady	frovvá
laid	biddjon
lake	jávri
lamb	láppis
lame	láittas
lame	lámis
lamp	lámpa
land	eana
land	luoitalit
landscape	duovdagat
language	giella
lap	salla
lap	aski
large	stuoris
last	maŋimus
last but not least	maŋimuš muhto ii unnimus
last name	sohkanamma
late	maŋŋit
lately	maŋimuš áiggiid
later	maŋŋelabbot
latest	maŋimuš
latter	maŋit
laugh	boagustit
laughing	boagusteapmi
laughter	čáibman
launch	vuolggahit
laundry	bassalusat
law	láhka
lawn	rássešilljo
lawyer	jurista
lay	bidjat
layer	dássi
layout	layout
lazy	láiki
lead	jođihit
leader	jođiheaddji
leaf	lasta
leak	golgat
leak	golgan
lean	seaggi
leap	čealádit
learn	oahpat
learning	oahppan
lease	láigohit
least	uhcimusat
leather	náhkki
leave	luopmu
leave	vuolgit
leaves	vuolgá
leaves	lasttat
led	jođihii
left	gurut
leg	váhkká
legacy	árbi
legal	lágalaš
legend	máinnas
legit	lobálaš
leisure	astoáigi
lend	luoikalit
length	guhkkodat
less	unnit
lesson	oahppodiibmu
let	diktit
letter	reive
lettuce	saláhtta
level	dássi
leverage	fápmu
liability	ovddasvástádus
library	girjerádju
lick	njoallut
lie	gielistit
lie	gielas
lies	giellásat
life	eallin
lift	loktet
lift	heaisa
light	čuvget
light	geahpas
light	čuovga
lightning	álddagas
like	dego
likely	vuorddehahtti
likewise	seammá
line	sáhcu
Lingala	lingalagiella
link	liŋka
lion	ledjon
liquid	golgguslaš
list	listu
listen	guldalit
listening	guldaleamen
literally	bustávvalaččat
literature	girjjálašvuohta
litter	ruska
little	uhci
live	ealli
live	eallit
liver	vuoivvas
lives	eallá
lives	eallimat
living	ealli
living room	orrunlatnja
lizard	lakkis
load	guorbmi
loaf	láibi
loan	loatna
local	báikkálaš
location	sajádat
lock	lohkka
lockdown	sirren
log	dimbbar
lol	lol
lol	bob
lonely	oktonas
long	guhkki
long time no see	guhkes áigái
look	geahčastat
look	geahččat
loop	geavli
loose	luoitit
loose	luovus
lord	hearrá
lose	dáhpet
loss	táhpa
lost	láhppon
lot	olu
loud	allajienat
lounge	ovdalatnja
love	ráhkisvuohta
love	ráhkistit
love you	ráhkistan du
lovely	ihána
low	vuollegaš
lower	vuolit
loyal	oskkáldas
loyalty	oskkáldasvuohta
luck	lihkku
lucky	lihkkoš
Luganda	lugandagiella
luggage	mátkedávvir
lump	čoaltu
lunch	beaivemális
lungs	geahppát
luxury	luksus
lying	gielisvuohta
machine	mašiidna
mad	jalla
madam	frovvá
made	dagai
magazine	aviisa
magnificent	mávssolaš
maid	ruovttuveahkki
maid	nieida
main	vuođđo-
main	oaive-
maintain	bisuhit
maintenance	fuolahus
Maithili	maithiligiella
major	váldoávnnas
major	stuoris
majority	eanetlohku
make	dahkat
make up	sminket
make up	soahpat
male	almmái
mall	gávpeguovddáš
man	almmái
manage	hálddašit
management	hálddašeapmi
manager	hoavda
mandatory	bákkolaš
manifest	almmuhit
manipulate	giehtaguššat
manner	vuohki
manual	giehtafápmodoaibmi
manual	rávagirji
many	máŋga
many many happy returns of the day	olu lihkku beivviin
march	njukčamánnu
margin	ravda
market	márkanat
market	márkan
marriage	náittoslihttu
married	náitalan
mask	hápma
mask	máska
mass	meassu
mass	mássá
massive	stuoris
master	hearra
master	hálddašit
match	speallu
match	stemmet
mate	verdde
material	materiála
math	matematihkka
matter	ášši
matter	leat vealla
maturity	rávisvuohta
may	sáhttá
may	miessemánnu
maybe	kánske
me	mu
me too	mun maid
meal	mális
mean	bahánihkkán
mean	mearkkašit
meaning	mearkkašupmi
means	vuohki
meant	dárkkuhuvvon
meant	oaivvildii
meanwhile	dan botta go
measure	mihtidit
measure	mihttu
measures	doaimmat
meat	biergu
medical	medisiinnalaš
medicine	dálkkas
meditation	meditašuvdna
medium	gaskaoapmi
meet	deaivat
meeting	deaivvadeapmi
Meiteilon	meiteilongiella
melt	suddat
memories	muittut
memory	muitu
mental	vuoiŋŋalaš
mention	máinnašit
mentioned	máinnašuvai
mentor	mentora
merchant	grossagávppálaš
mercy	árbmu
merely	dušše
merry christmas	buorit juovllat
mess	moivi
message	diehtu
messy	moivvas
metal	metálla
method	metoda
mice	sáhpánat
middle	gaskaoassi
midnight	gaskaidja
might	sáhtášii
mild	láivi
milestone	oassemihttomearri
military	soalddátlaš
milk	mielki
million	miljovdna
mind	miella
mind	beroštit
mindset	jurddašanvuohki
mine	mu
mine	miidna
mingle	seahkánit
minor	gálggaheapme
minor	molla
minute	minuhtta
minutes	beavdegirji
miracle	imaš
mirror	speadjal
miscellaneous	seahkálas
mischievous	hilbat
miserable	surgat
misery	vártnuhisvuohta
miss	áibbašit
miss you	áibbašan du
missing	váilu
mission	bargamuš
mist	mierká
mistake	meattáhus
Mizo	mizogiella
mobile	mobiila
mock	bilkidit
model	málle
moderate	jođihit
moderate	govttolaš
moderate	hálddašit
modern	ođđaáigásaš
modest	gáibitmeahttun
moist	lávttas
moisture	lávttasvuohta
mold	lávet
mold	guohpa
mole	sábin
mom	eadni
moment	boddu
monday	vuossárga
money	ruhta
monitor	monitovra
monkey	ábegáhttu
month	mánotbadji
mood	miella
moody	veaidaláđas
moon	mánnu
moral	morála
more	eambbo
moreover	lassin
morning	iđit
mortgage	visteloatna
most	eanemusat
mostly	eanaš
mother	eadni
motion	lihkadus
motivation	motivašuvdna
mountain	várri
mouse	sáhpán
mouth	njálbmi
move	lihkadit
movement	lihkadus
movie	filbma
mrs	frovvá
much	ollu
mud	mohti
mug	mugga
muscle	deahkki
museum	musea
mushroom	guoppar
music	musihkka
must	galgá
must	gohčus
mute	jaskadit
mute	jienaheapme
mute	sánehuhttit
mutual	guovttebealat
my	mu
My dear	gollážan
my friend	ustiban
My hovercraft is full of eels	Mu áibmofanas lea dievva ággarasaid
my love	ráhkkásan
my name is	mu namma lea
my pleasure	ii giitámuš
myself	mun ieš
mysterious	suollemas
mystery	mystera
myth	oskomuš
nail	gazza
naive	naiiva
name	namma
narrative	muitalus
narrow	baskis
nasty	bahánihkkán
national	našunála
nationality	čearda
native	eami-
native	báikkálaš
natural	lunddolaš
nature	luondu
nausea	illáveadju
near	lahka
nearby	lahka
nearly	masá
neat	čorgat
necessary	dárbbašlaš
neck	niski
necklace	čeabetčikŋa
need	dárbbašit
need	dárbu
negative	negatiiva
neglect	suostat
negotiate	ráđđádallat
neighbor	ránnjá
neighborhood	lahkasat
neither	iige
nephew	siessál
nerd	nearda
nervous	skievis
nest	biedju
net	fierbmi
net	neahtta
network	fierbmádat
neutral	neutrála
never	ii goassige
never give up	ále vuollán
never mind	hálakeahttá
nevermind	ii daga maidige
nevertheless	dattetge
new	ođas
news	ođđasat
next	čuovvovaš
next to	guoras
nice	somá
nice to meet you	somá deaivvadit
niece	siessál
night	idja
nightmare	deattán
nine	ovcci
nineteen	ovccinuppelohkái
ninety	ovccilogi
No	Ii
no problem	áinnas
no way	ii heađisge
nobody	ii giige
noise	jietna
noisy	jullái
none	ii miige
noon	gaskabeaivi
nope	ii
nor	iige
normal	normála
north	davvi
Northern Sami	davvisámegiella
nose	njunni
nostalgic	nostalgiijalaš
not	ii
not at all	ii eisige
not bad	ii vearrát
Not now	ii dál
not yet	ii vel
note	fuomášupmi
noted	beakkán
nothing	ii mihkkige
notice	fuomášit
noticed	fuomášii
noun	nomen
nouns	substantiivvat
novel	romána
november	skábmamánnu
now	dál
nowadays	dánáigge
nuisance	váivvádus
null	fámoheapme
numb	dovddoheapme
number	nummir
nurse	buohccedivššár
nut	niehtti
nutmeg	muskáhttaniehtti
nutrition	biebmodilli
oath	válli
obesity	buidodat
obey	doahttalit
object	objeakta
object	čuozáhat
objective	ulbmil
obligation	geatnegasvuohta
obscure	mearritmeahttun
observation	dárkun
observe	dárkot
obsessed	hui beroštuvvan
obsession	bággogovahallan
obsolete	áigahaš
obstacle	eastta
obtain	háhkat
obtained	háhkkon
obvious	čalmmus
obviously	oainnus
occasionally	muhtumin
occupation	ámmát
occupied	várrejuvvon
occur	dáhpáhuvvat
occurred	dáhpáhuvai
occurs	dáhpáhuvvá
ocean	mearra
october	golggotmánnu
odd	ártet
odds	duođavuohki
of course	dieđusge
off	eret
offensive	falleaheapmi
offer	fálaldat
offer	fállat
office	kantuvra
official	virggálaš
often	dávjá
Oh	O
oh really	leago duohta
oil	olju
ok	ok
ok dear	ok ráhkis
ok honey	ok gieris
ok my love	ok ráhkkásan
okay	justa
okay baby	ortnegis gieris
okay dear	ortnegis ráhkis
okay honey	heive ráhkis
okay my love	justa ráhkkásan
old	boaris
once	oktii
one	okta
one language is never enough	okta giella ii goassige leat doarvái
onion	lávki
online	neahta bokte
online	neahtas
only	dušše
open	rabas
operation	doaibmabidju
operation	čuohpahus
opinion	oaivil
opportunities	vejolašvuođat
opportunity	vejolašvuohta
opposite	vuostegeahči
optimistic	optimisttalaš
option	molssaeaktu
optional	eaktodáhtolaš
or	dahje
orange	appelsiidna
orange	oránša
order	diŋgot
order	ortnet
ordinary	dábálaš
organization	searvi
organization	organisašuvdna
orientation	dádjadeapmi
origin	álgovuođđu
original	álgovuđolaš
Oromo	oromogiella
orphan	oarbbis
other	eará
otherwise	muđui
ought	galggašii
ought	nolla
our	min
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Min ulbmil: ahte buohkat juohke bealde áddejit máilmmi ja bastet buktit ovdán iežaset oaiviliid, buot gielain.
Our mission: to organize the world's information and make it universally accessible and useful.	Min ulbmil: ordnet máilmmi dieđuid ja buktit daid buohkaid olámuddui ja ávkin.
out	olgun
outcome	boađus
outfit	bivttas
outgoing	guoibmái
outlet	ráigi
outlet	gávpi
outline	árvalus
outside	olgun
outstanding	fuomášahtti
oven	uvdna
over	badjel
over there	doppe
overall	oppalaš
overcome	ceavzit
overthinking	jurddašit menddo olu
overwhelmed	ráttástuvvat
overwhelming	birgetmeahttun
owe	leat vealgi
owl	idjaloddi
own	eaiggáduššat
own	iežas
owner	eaiggát
ox	vuoksá
pace	tákta
pack	páhkket
pack	páhkka
package	páhkka
paid	máksejuvvon
pain	bávččas
paint	málet
painting	málen
pair	párra
pale	šoavkat
palm	bálbma
palm	goapmir
pan	bánno
pandemic	pandemiija
panic	panihkka
pants	buvssat
paper	bábir
paradise	paradiisa
parallel	bálddalas
parcel	páhkka
pardon	árbmu
parents	vánhemat
park	párka
parrot	páhpegoijá
parsley	persilljá
part	oassi
participate	oassálastit
particular	dihto
particularly	namalassii
partner	guoibmi
party	feasta
pass	mannat badjel
pass	geiget
passage	čađamanahat
passed	čađahuvvon
passion	áŋggaštus
passionate	arat
passive	passiiva
password	suollemassátni
past	mannanáigi
patch	bihttá
patch	dielku
path	bálggis
pathetic	patehtalaš
patience	gierdavašvuohta
patient	gierdil
patient	pasieanta
pattern	govus
pause	bisánit
pause	gaskkalduhttin
pavement	vázzinravda
pay	máksit
payment	máksu
peace	ráffi
peaceful	ráfálaš
peach	persihkka
peak	čohkka
pear	beron
peas	earttat
peculiar	ártet
pee	gužža
pee	gužžat
peel	garret
peer	lágáš
peers	lágážat
pen	peanna
pencil	bliánta
pending	čoavdemeahttun
people	álbmot
pepper	bihppor
perceive	áicat
perception	áican
perfect	dievaslaš
perform	loaiddastit
performance	čájáhus
perhaps	varra
period	áigodat
permanent	bistevaš
permission	lohpi
permit	lohpidit
permit	lohpi
perseverance	áŋgirvuohta
persistent	arahat
person	olmmoš
personal	persovnnalaš
personal	iežas
personality	persovnnalašvuohta
perspective	perspektiiva
persuade	hálahit
pervert	pervearsa
pervert	billistit
pet	biebmoealli
phase	muddu
phenomenon	albmanus
philosophy	filosofiija
phone	telefovdna
photo	govva
phrase	dajaldat
physical	fysalaš
pick	čoaggit
pick	válljet
pick up	loktet
pick up	fikset
picture	govva
piece	oassi
pieces	bihtát
pig	spiidni
pigeon	gávpotduvvá
pile	látna
pillow	guoddá
pilot	girdi
pin	rievdnu
pineapple	anánas
pink	čuvgesruoksat
pit	roggi
pit	gohpi
pitch	álli
pitch	dássi
pity	šállu
place	sajáiduhttit
place	báiki
places	báikkit
plague	golgodávda
plain	oktageardán
plan	plána
plane	girdi
plant	šaddu
plants	šattut
plate	tallearka
platform	vuođđu
play	speallat
play	speallu
playing	čuojaheamen
playing	stoahkamin
pleasant	hávskái
please	leat miela mielde
pleased	mielas
pleasure	illu
pledge	dáhkidit
pledge	lohpidit
plenty	ollu
plot	juotna
plug	bunci
plug	čuggestat
plum	lupmu
plumber	bohccebargi
plural	máŋggaidlohku
podcast	podcásta
poem	dikta
poetry	lyrihkka
point	jierbmi
point	čuokkis
poison	mirku
police	poles
policy	ortnet
polite	smađáhkis
pollution	nuoskkideapmi
pond	láddu
pool	jávrráš
pool	vuojadanálddis
poop	baika
poor	geafi
pop	buccehit
pop	popmusihkka
popular	bivnnut
population	veagadat
pork	spiinnebiergu
porridge	suohkat
port	hámman
position	sajádat
positive	positiivvalaš
possess	oamastit
possession	oamasteapmi
possessive	loleš
possessive	possessiiva
possible	vejolaš
post	poasta
post	sáddet
postpone	maŋidit
potato	buđet
potential	potentiála
pound	steamput
pound	punda
poverty	geafivuohta
power	fápmu
powerful	fámolaš
practical	geavatlaš
practice	hárjehallat
practice	hárjehallan
praise	rámidit
prank	hilbošeapmi
pray	rohkadallat
precious	árvvolaš
precise	dárki
precisely	justa
predict	noahkut
prefer	oidit
preference	mielastupmi
pregnant	áhpeheapme
prejudice	ovdagáddu
premises	doaibmansadji
premium	premium
preparation	válmmasteapmi
prepare	válmmaštallat
prepared	ráhkkanan
preposition	preposišuvdna
presence	leahkin
present	skeaŋka
present	dáláš
present	dálá áigi
presentation	ovdanbuktin
preserve	seailluhit
president	presideanta
press	deaddit
press	preassa
pressure	deaddu
pretend	dahkaluddat
pretty	čáppis
pretty	oppa
prevent	eastadit
previous	ovddit
prey	sálaš
price	haddi
pride	čeavláivuohta
priest	báhppa
primary	vuosttas
primary	primára
prime	typihkalaš
prime	gildán
princess	prinseassa
principal	rektor
prior	ovddit
priority	vuoruhus
prison	fáŋgal
privacy	diehtosuodji
private	priváhta
privilege	ovdamunni
prize	bálkkašupmi
probably	várra
problem	čuolbma
