ɖo aba	laid
si	escape
menye esia o	neither
nᴐ esi	had
le esi	has
le esi	have
le esi	having
ele esi	he has
le esime	during
le esime esia le edzi yim la	meanwhile
le esi	own
le esi	she has
ne esɔ ko	provided
kã	especially
nyadutsotso	essay
veviẽnyenye	essence
aƒe	estate
bui	estimate
ʋli eta	justify
to eta	over
ɖe eteƒe	behalf
ɖe eteƒe	instead
ɖe eteƒe	instead of
ɖo eteƒe	replace
ɖoe eteƒe	restore
mavɔmavɔ	eternal
sedziwɔwɔ	ethics
nye etᴐ	belong
dodokpɔ	evaluation
le eve	double
hã	even
fiɛ̃	evening
nudzᴐdzᴐ	event
mlᴐeba	eventually
nu eve	pair
tegbe	ever
zi eve	twice
kpeɖodzi	evidence
vɔ̃	evil
tɔtrɔ	evolution
trɔ	evolve
Eʋegbe	Ewe
ƒe ewo	decade
akpe ewo	ten thousand
le ewɔm	doing
tututu	exact
tututu	exactly
dodokpɔ	exam
kpɔɖeŋu	example
ɖɔli	exchange
dzidzɔkpɔkpɔ	excitement
kukuɖeɖe	excuse
dɔwɔwɔ	execution
kplɔlawo	executive
kamedede	exercise
li	exist
anyinɔnɔ	existence
do	exit
le exɔm	getting
keke	expand
gagbegblẽ	expenses
nuteƒekpɔkpɔ	experience
kasakasa	experiment
nunyala	expert
numeɖeɖe	explanation
zã	exploit
nyagbɔgblɔ	expression
ɖoƒe	extent
dedzii	extra
ŋku	eye
ŋkuwo	eyes
le eyome	following
tsi eyome	pursue
ti eyome	pursuit
ti eyome	trace
avɔ	fabric
mo	face
kpeɖeŋu	facilitate
kpeɖeŋunuwo	facilities
nuwɔƒe	facility
memanu	factor
dɔwɔƒe	factory
nyateƒewo	facts
klo	fade
madzedzi	failure
ekɔ	fair
glĩmenɔla	fairy
xᴐse	faith
alakpanu	fake
alakpa	false
amenyenye	fame
ƒome	family
dɔwuame	famine
nyanyɛ	famous
papa	fan
atsyᴐnu	fancy
hedenyuie	farewell
agble	farm
agbledela	farmer
tsidzinu	fashion
kabakaba	fast
nyadzᴐɖeamedzi	fate
tᴐ	father
ɖeɖiteameŋu	fatigue
vodada	fault
amenuveve	favour
veviẽtɔ	favourite
vᴐvɔ̃	fear
azãɖuɖu	feast
xefu	feather
ŋutinu	feature
ŋutinuwo	features
dzodze	february
fe	fee
nutsotso	feedback
seselelãme	feeling
ka fee	prompt
afᴐwo	feet
le fefem	playing
fe fefe	play
xɔ̃	fellow
asi	female
kpɔtɔtɔ	fence
nyi fe	owe
xe fe	paid
xe fe	pay
azãɖuɖu	festival
ku	fetch
asrã	fever
ʋee	few
ɖe fia	demonstrate
ɖeɖe fia	display
ahiãvi	fiance
ɖeɖe fiã	reference
ɖe fia	show
nyakpakpa	fiction
gbadzaƒe	field
li fifia	actually
Menye fifia o	Not now
dze fifia	sweat
wuiatɔ̃	fifteen
blaatɔ̃	fifty
nu	figure
agbalẽ	file
yɔ	fill
yɔ	filled
sinii	film
ƒoɖi	filthy
mlᴐeba	finally
di	find
enyo	fine
asibidɛ	finger
dzo	fire
gbã	first
tɔmelã	fish
sᴐ	fit
atɔ̃	five
wɔ	fix
flaga	flag
dzokekle	flash
gbadza	flat
kpɔtsɔtsɔ	flaw
maɖifɔ	flawless
si	flee
ŋutilã	flesh
dzo	flew
Te fli ɖe eme	Cancel
dzodzo	flight
ahiãwɔwɔ	flirting
tsiɖᴐɖᴐ	flood
anyigbã	floor
wɔ	flour
si	flow
seƒoƒo	flower
wɔɖi	flu
memie	fluent
memie	fluently
futufutu	fluffy
dzo	fly
Melɔ̃ fofonye	I love my father
afu	fog
ŋe	fold
nɔviwo	folks
Melɔ̃ fonye	I love my big brother
nuɖuɖu	food
bometsila	fool
afᴐ	foot
bɔl	football
ŋusẽ	force
ŋgonu	forehead
duta	foreign
ave	forest
tegbee	forever
gaflo	fork
nᴐnᴐme	form
xoxo	former
blaene	forty
blaene-vɔ-eve	forty-two
ŋgᴐgbe	forward
kpᴐe	found
gɔmeɖokpe	foundation
ene	four
wuiene	fourteen
abei	fox
bu fɔ̃	blame
ati	frame
ɖoɖo	framework
adzodada	fraud
femaxe	free
ablɔɖe	freedom
fa	freeze
xexlẽme	frequency
edziedzi	frequent
edziedzi	frequently
fiɖa	friday
nufamɔ	fridge
xɔ̃	friend
xɔlɔ̃wo	friends
xɔlɔ̃wɔwɔ	friendship
vɔ̃	frightened
dziŋɔ	frightening
akpɔkplɔ	frog
tso	from
ŋgɔ	front
atikutsetse	fruit
ɖe fu	bother
ɖe fu	disturb
nake	fuel
le fu kpem	struggling
Fulfulde	Fulfulde
yᴐ	full
nukoko	fun
gɔmeɖonu	fundamental
tsyɔ̃	funeral
wᴐ funyafunya	abuse
lãfu	fur
nunᴐdzi	furniture
kpe fu	suffer
tamebubu fũu	overthinking
nunɔamesiwo ƒe agbalẽ	inventory
dɔwɔƒe ƒe alɔdze	department
nu ƒeƒle	acquisition
anyigbã ƒe kpɔkpɔme	landscape
xeƒonu ƒe nuɖuɖu	prey
ame ƒe nuwɔwɔ	artificial
si ƒe ŋkeke de	expired
le ƒo ɖim	satisfying
bɔl ƒoƒo	soccer
do ƒome	relate
do ƒome	related
ɖi ƒo	satisfied
ɖi ƒo	satisfy
si ƒo wo katã ta	overall
nye ƒu ɖeɖe	skinny
le ƒuƒlu	blank
ɖi ƒuƒlu	void
tsɔe ƒu gbe	discard
nu ƒugbe	disposal
da ƒu	miss
de ga dɔwɔna me	invest
kpᴐ ga	earn
nukpᴐkpᴐ	gain
mlɔetɔ gake menye gblɔetɔ o	last but not least
hoʋiʋli	game
nuwuwu game	deadline
le game dzi	punctual
gbugbɔ ga na	refund
memama	gap
ʋunɔƒe	garage
gbeɖuɖɔ	garbage
abɔ	garden
kpᴐ ga	rich
ayo	garlic
agbo	gate
ƒoƒu	gather
ƒuƒoƒo	gathering
akpa gãtɔ	majority
dzidzenu	gauge
na	gave
dzi gbã	disappointed
ati gbadza	board
agba gbadza	pan
teƒe gbadza	space
nu gbagbã	scrap
nu gbagbe	being
tata gbãtɔ	draft
ŋkɔ gbãtɔ	first name
do gbe ɖa	pray
te gbe ɖe edzi	emphasize
te gbe ɖe edzi	insist
ɖe gbe gɔme	translate
do gbe	greet
kaka gbe	litter
tso gbe me	savage
le gbe me	wild
Medo gbe na mi	Hi there
tagbᴐ gblẽ	insane
si gblẽ wu	worst
si gbɔ dzi dzi	remote
na gbɔɖeme	relieve
kpɔ gbɔɖeme	relieved
si gbɔ eme	excessive
si gbɔ eme	extreme
mele gbɔgblɔm be	I mean
si gbɔ medidi o	recent
xɔe gbɔ	recover
ele gbɔwò	up to you
si gbᴐ didi	far
trᴐ gbᴐ	return
giya	gear
zi geɖe	mostly
zi geɖe	usually
na	gender
gbadza	general
gbadzaa	generally
wɔ	generate
dzidzime	generation
ƒomevi	genre
bɔkɔ	gentle
atsiatsi	genuine
asidada	gesture
xɔ	get
tso	get up
ŋɔli	ghost
zãmenɔnɔ	ghosting
amedzɔtsu	giant
nunana	gift
gumetakui	ginger
nyᴐnuvi	girl
na	give
na	given
dzidzᴐ	glad
ahuhɔ̃e	glass
gaŋkui	glasses
ŋkulɔnu	glimpse
asiwuiwo	gloves
klẽ	glow up
si glɔ̃	steep
nulenu	glue
yi	go
age	goal
taɖodziwo	goals
gbɔ̃	goat
mawu	god
ʋu go	discover
miado go emegbe	see you later
dze go	emerge
yina	goes
yina	going
sika	gold
kpɔ gome	entitled
do go	meet
kpɔ gome	participate
dzo	gone
na	gonna
ade	goo
enyo	good
ŋdᴐ	good afternoon
fiɛ̃	good evening
ŋdi	good morning
nudzadzrawo	goods
Google	Google
gbekpakpaxe	goose
dzeani	gorgeous
miado go	see you
miado go	see you soon
amenya	gossip
xᴐ	got
see	got it
dziɖuɖu	government
sã gɔme	basement
si gɔme menyase o	absurd
le	grab
ɖoƒe	grade
blewu	gradually
nukui	grain
na	grant
aŋuti	grapes
le	grasp
gbe	grass
akpedada	gratitude
yɔdo	grave
fu	gray
ŋukeklẽ	greed
kleaŋu	greedy
gbemu	green
gbedoname	greeting
gbedoname	greetings
fu	grey
gaɖɔ	grid
avifafa	grief
tu	grind
le	grip
nuzazãwo	grocery
ŋugbɛtɔsrɔ̃	groom
agbɔsɔsɔ	gross
anyigbã	ground
ha	group
tsi	grow
tsitsi	growth
Guarani	Guarani
kakaɖedzi	guarantee
dzɔla	guard
bui	guess
amedzro	guest
mɔfiame	guidance
ɖekakpui	guy
nɔviwo	guys
kamedeƒe	gym
ɖu ɣe	dance
le ɣli dom	noisy
do ɣli	scream
do ɣli	shout
do ɣli	yell
numame	habit
nɔƒe	habitat
kafu	hail
ɖa	hair
si ha le eme	including
afa	half
xɔlegbe	hall
nye hã	me too
asi	hand
alᴐ	handle
gake hã	nevertheless
dzɔ	happen
dzidzɔkpɔkpɔ	happiness
sesẽ	hard
nuveviewɔme	harm
ɖekawɔwɔ	harmony
sesẽ	harsh
nuŋeŋe	harvest
dzi ha	sing
tsri	hate
wo hã	you too
ŋɔdzinu	hazard
afu	haze
e	he
si hea ame	attractive
ta	head
taɖuame	headache
dɔyɔyɔ	healing
lãmesẽ	health
see	heard
dzi	heart
dzoxᴐxᴐ	heat
dziƒo	heaven
kpekpem	heavy
ɖodɔ	hectic
nu hehe	extension
na hehe	train
kᴐkᴐme	height
domenyila	heir
enye	he is
adzodada	heist
dzomavᴐ	hell
Hello	Hello
gakuku	helmet
kpekpeɖeŋu	help
eƒe	her
lãha	herd
domenyinu	heritage
Hee	Hey
tɔ hɛ	stab
Alekee	Hi
si hiã enumake	urgent
si hiã	essential
si hiã	required
be	hide
kɔ	high
nyati	highlight
togbɛ	hill
nɛ	him
dzesidenu	hint
aklito	hip
gbi	hips
da	hire
eƒe	his
nyadzɔdzɔ	history
lᴐ	hit
tso hlolui	hustle
nye hlɔ̃nu	harmful
hmm	Hmm
modzakadɔ	hobby
ʋli ho	challenge
lee	hold
do	hole
mɔkeke	holiday
aƒeme	home
aƒemedɔ	homework
Anyitsi	Honey
bubu	honor
tatsɔnu	hood
ƒu	hook
dzo	hop
mɔkpɔkpɔ	hope
lãdzo	horn
ŋɔdzi	horror
sɔ̃	horse
kɔ̃dzi	hospital
amedzroxɔxɔ	hospitality
aƒetᴐ	host
amedzrodzeƒe	hotel
gaƒoƒo	hour
gaƒoƒowo	hours
aƒe	house
aƒekɔ	household
le ho ʋlim	competitive
alekee	how
efɔ̃a	how are you
nenie	how many
nenie	how much
nudeƒe	hub
ame	human
tsiƒoƒo	humidity
alafa	hundred
ahom	hurricane
ʋã	hurry up
agblegbadɔ	hut
ɖe hũu	sigh
dzadzɛnyenye	hygiene
Nye	I
menye	I am
tsikpe	ice
aiskrim	ice cream
susu	idea
dzeside	identity
movitɔ	idiot
Mewɔnɛ	I do
mebui	i guess
Mekpɔ	I had
Menɔ	I have been
Menya	I know
Melɔ̃	I like
dɔléle	illness
Ilocano	Ilocano
melɔ̃	I love
menye	I'm
Menye	I’m
nɔnɔmetata	image
mefɔ̃	I'm fine
mefɔ̃	I'm good
emumake	immediate
enumake	immediately
dzimagbɔɖi	impatient
nugɔmesese	impression
ŋgɔyiyi	improvement
eme	in
ŋusedoamenu	incentive
nudzɔdzɔ	incident
gakpɔkpɔ	income
dzimadzeme	inconvenience
India	India
fiã	indicate
anyigbatitɔ	indigenous
dɔ	industry
vifɛ̃	infant
dɔdzedze	infection
mavɔmavɔ	infinity
nutete	inflammation
dziyiyi	inflation
numeɖeɖe	information
nuɖanuwo	ingredients
domenyinu	inheritance
gɔmedzeƒe	initial
abixɔxɔ	injury
maɖifɔ̃	innocent
nutoto	innovation
nutabiabia	inquiry
nudzodzoe	insect
eme	inside
numesese	insight
ɣeyiɣi	instance
enumake	instant
sedede	instructions
mɔ	instrument
dzu	insult
insiɔrans	insurance
blibodede	integrity
nunyala	intellectual
aɖaŋudede	intelligence
ɖo	intend
sẽŋu	intense
dzeɖoɖo	interaction
didi	interest
vivi	interesting
dome	intermediate
dɔsɔsrɔ̃	internship
nyagɔmeɖela	interpreter
gbebiabia	interview
kpɔkplɔyiɖeme	introduction
amenikpĩ	introvert
seselelãme	intuition
kpekpe	invitation
kpe	invite
febugbalẽ	invoice
ga	iron
enye	is
mekpɔ	I see
ƒukpo	island
nya	issue
nyawo	issues
e	it
nu	item
nuwo	items
enye	it is
enye	it's
eƒe	its
enyo	it's ok
Enyo	It's okay
enye	it was
medi	I want
menye	I was
mawᴐe	I will
Maanye	I would be
awutitri	jacket
gaxɔ	jail
Dzove	January
zɔ	jar
glã	jaw
atsyɔɖonu	jewelry
dɔ	job
kpeƒe	joint
nukokoenya	joke
nyadzɔdzɔŋlɔla	journalist
mᴐzɔ̃zᴐ	journey
dzidzɔ	joy
atikutsetsetsi	juice
siamlɔm	july
dzokpo	jump
masa	june
gbeɖuɖɔ	junk
ko	just
nu ka dim nèle	what do you want
le kadzi	online
si kaɖe eme	fairly
nu kae dzᴐ	what happened
dɔ kae le asiwò	what is your job
afi kae nèle	where are you
ame kae nenye	who are you
afi kae nètso	where are you from
dɔ kae nèwɔna	what do you do for a living
nu kae nye esia	what is this
ame kae nye esia	who is this
nu kae nye	what is
ame kae nye	who is
afi kae	where is
afi kae wò aƒeme le	where do you live
ɣe ka ɣi	when
do ka	interact
nu kakɛ	piece
agbalẽ kakɛ	sheet
nu kakɛwo	pieces
na kaklã	inform
Kalaallisut	Kalaallisut
de kame	work out
afi ka nèle	where are you now
nu ka ta	why
ame ka tᴐ	whose
nu ka	what
afi ka	where
nu ka	which
ame ka	who
nu ka wɔm nèle fifia	what are you doing now
nu ka wɔm nèle fifia	what are you doing right now
nu ka wɔm nèle	what are you doing
dɔ ka wɔm nèle	what do you do
tsɔe ke	forgive
si keketa	immense
si keke	vast
suetᴐ kekiake	least
le keklem	bloom
ema ke	likewise
ema ke	same
tsiɖodzuinu	kettle
asafui	key
gbɔ̃vi	kid
beble	kidding
ayiku	kidney
ɖeviwo	kids
wu	kill
ƒomevi	kinda
dɔmenyotɔe	kindly
dɔmenyo	kindness
fia	king
dzodoƒe	kitchen
aʋako	kite
dadivi	kitten
le klalo	eager
klo	knee
nya	knew
hɛ	knife
asrafo	knight
sidzedze	knowledge
kpuie ko	basically
ɖe ko	except
wɔe ko	just do it
ɖi koke	hilarious
ɖi kokoe	amusing
ɖi kokoe	funny
ɖi kokoe	ridiculous
ʋee ko	merely
vie ko	nearly
Konkani	Konkani
vie ko	slightly
eme kɔ be	apparently
le kɔ dam	fighting
si kɔ dzi	acute
ƒo kɔ	pile
me kᴐ	clear
ƒo kᴐ	crowded
dzime kᴐ	generous
eme kᴐ	obviously
sa kᴐ	tie
si kpe ɖe eŋu	additional
ɖo kpe edzi	confirm
ɖo kpe edzi	prove
ɖo kpe edzi	verify
ŋu kpee	embarrassed
do kpe	frozen
sɔ kple wo nɔeawo	identical
ɖoe kplikpa	determined
tɔ kplo	stall
siwo kplɔ wo nɔewo ɖo	series
esi kplᴐe ɖo	next
tsi kpo	blunt
li kpo	calm
ti kpo	flip
si kpɔa dziku	grumpy
do kpɔ	assess
Le kpɔɖeŋu me	For example
le kpɔɖeŋu me	for instance
do kpɔ	examine
tɔ kpɔ ƒo xlã	protect
nu kpɔkpɔ	focus
nya kpɔ	magnificent
dzidzɔ kpɔm	happy
enya kpɔ	nice
nya kpɔ ŋutɔ	awesome
nya kpɔ	pretty
si kpɔtɔ	remaining
tee kpᴐ	attempt
ɖᴐe kpᴐ	taste
egbɔna kpuie	coming soon
Krio	Krio
si ku	deceased
ɖe kuku	apologize
le kukum	dying
ku kutri	diligent
fifi laa	right now
nuŋutigbalẽ	label
dɔwɔwɔ	labor
dɔwɔna	labour
manᴐanyi	lack
li	ladder
ɖetugbui	lady
gake la	however
tɔgbada	lake
le lalam	pending
le lalam	waiting
alẽvi	lamb
kpɔ lame	chubby
wò lãme nasẽ kaba	get well soon
le lãmesẽ me	healthy
akaɖi	lamp
anyigbã	land
gbegbᴐgblᴐ	language
lolo	large
emegbe	later
mlɔ̃etɔ	latest
megbetɔ	latter
nukoko	laughter
nunyaƒe	laundry
se	law
evᴐ la	whereas
gbemumu	lawn
senyala	lawyer
ɖoɖo	layer
nɔnɔme	layout
kuvia	lazy
ŋgɔnɔla	leader
aŋgba	leaf
Ega le afima?	Are you still there?
dzo le afima	go away
tsra	leak
blɔ	lean
tikpo	leap
nusɔsrɔ̃	learning
haya	lease
srɔ̃ le asiwò lo alo wò ɖeka koe li	are you married or single
lãgbalẽ	leather
aŋgba	leave
aŋgbawo	leaves
alilikpowo le	cloudy
kplɔ	led
si le dzodzom	outgoing
nukae le dzɔdzɔm	what's up
tsa le eme	explore
ɖe le eme	extract
aɖu le eme	fertile
si le eme	internal
do le eme	less
do le eme	quit
ɖee le eme	remove
ɖee le eme	take away
dodo le eme	transition
ɖe le eme	withdrawal
ɖe le eŋu	strip
si le eteƒe	represent
alɔ̃ le etsɔm	sleepy
ɖe le fu me	rescue
ata	leg
domenyinu	legacy
xɔmezikpui legbe	couch
ŋutinya legbe	epic
aɖaka legbee	rectangle
xɔmetsovɔ legbe	swag
kalẽtɔ	legend
si le ɣaɣlame	hidden
modzkaɖeɖe	leisure
si le kakam	viral
nya le kpɔkpɔm	good looking
se le lame	feel
se le lãme	felt
nu lele ɖi	conservation
didime	length
dzudzɔ le ŋutifafa me	rest in peace
da le se dzi	breach
si le se nu	formal
si le sɔsɔnu	parallel
nufiafia	lesson
si le sue	minor
si le sue	modest
do le suku	graduate
na	let
nane le	there is
mo le tɔtrɔm	dizzy
lɛta	letter
gbadzaa	level
zã	leverage
tsikɔ le wum	thirsty
dɔ le wuwum	starving
si le xaxa me	endangered
si le xexeame	global
fenyinyi	liability
to lialia	hiking
agbalẽdzraɖoƒe	library
ɖuɖɔ	lick
si li	due
alakpa	lie
alakpa	lies
si li	existing
agbe	life
si li fia	actual
kekeli	light
dzikedzo	lightning
di	like
fli	line
Lingala	Lingala
kadodo	link
dzata	lion
nuleɖi	list
toɖoɖo	listening
si li tegbee	permanent
nuxexlẽ	literature
wo li	there are
sue	little
aklã	liver
agbenɔnɔ	living
akpata	living room
adoglo	lizard
abolo	loaf
gadodo	loan
duametɔ	local
teƒe	location
tu	lock
agbotutu	lockdown
atikpo	log
na	lol
si lolo ŋutɔ	tremendous
didi	long
eya loo	either
kpᴐ	look
xatsa	loop
tu	loose
aƒetɔ	lord
bu	lose
nububu	loss
bu	lost
gbogbo	lot
sesiẽ	loud
dzudzɔƒe	lounge
lɔ̃	love
bᴐbᴐ	low
bɔbɔ	lower
nyateƒetoto	loyalty
Asisi lɔlɔ̃a	Dear Customer
Amega lɔlɔ̃a	Dear Sir
Dɔwɔha lɔlɔ̃	Dear Team
mele lɔlɔm o	reluctant
nye lɔlɔ̃tɔ	My dear
nye lɔlɔ̃tɔ	my love
enyo lɔlɔ̃tɔ	okay baby
enyo lɔlɔ̃tɔ	ok dear
enyo lɔlɔ̃tɔ	ok honey
ɛ̃ lɔlɔ̃tɔ	yes dear
Dzila lɔlɔ̃wo	Dear Parents
Nusrɔ̃la lɔlɔ̃wo	Dear students
Ele lɔ̃nyem mahã	do you love me
nye lᴐlɔ̃tᴐ enyo	okay my love
enyo lᴐlɔ̃tᴐ	okay dear
ɛ̃ lᴐlɔ̃tᴐ	yes honey
le lᴐlᴐm	willing
hello lᴐtɔ̃tᴐ	hello dear
dzɔgbenyuie	luck
Luganda	Luganda
agba	luggage
kɔ	lump
dzitodzito	lungs
mɔ	machine
aƒenɔ	madam
wᴐ	made
alɔ̃ madɔmadɔ	insomnia
nu maɖinu	crap
nyadɔdzɔgbalẽ	magazine
ɣe ma ɣi	then
nyɔnuvi	maid
ŋutᴐ	main
to	maintain
Maithili	Maithili
ŋutɔŋutɔ	major
wɔ	make
modzadzraɖo	make up
atsu	male
fiasegã	mall
nu mama	distribution
ŋutsu	man
dzikpɔkpɔ	management
dzikpɔla	manager
nɔnɔme	manner
geɖewo	many
axadzi	margin
asime	market
srɔ̃ɖeɖe	marriage
momo	mask
lolome	mass
sɔgbɔ	massive
aƒetɔ	master
hoʋiʋli	match
kpeɖeŋutɔ	mate
nye mate ŋui o	I can't
nu	material
akɔnta	math
nu ma	that
afi ma	there
nu	matter
tsitsi	maturity
ɖewohĩ	maybe
nye	me
dzi me	above
nuɖuɖu	meal
gɔmeɖeɖe	meaning
dzidze	measure
dzidzenuwo	measures
adelã	meat
si mebɔ o	scarce
si mede akpa aɖeke dzi o	neutral
ne mede kura o la	at least
si mede to o	casual
dɔyɔyɔ	medical
atike	medicine
ŋugbledede	meditation
si me do le	hollow
aƒe me	domestic
si medzᴐna edziedzi o	seldom
takpekpe	meeting
dzi megaɖe le ƒo wò o	never give up
nye mega kpᴐ wò kpᴐ o	I miss you
si megali o	ex
tsi megbe	late
yi megbe	retreat
yi megbe	reverse
de megbe	support
le megbe	trail
si me goglo	profound
Nye me	I don't
dzodeame me	inspiration
Meiteilon	Meiteilon
si me kakaɖedzi le	assertive
si me kɔ	apparent
si mekɔ nyuie	vivid
si me kɔ	pure
si me kɔ	transparent
si me kᴐ	obvious
si me kᴐ	plain
si mele dɔ wɔm o	idle
si mele ɖoɖonu o	random
mia me	left
mɔ meli o	no way
lolõ	melt
si me mekɔ o	ambiguous
si me mekɔ o	vague
susuwo	memories
susu	memory
ŋkekea me nenyo	good day
ŋkekea me nenyo	have a good day
ŋkekea me nenyo	have a nice day
yᴐ	mention
hehenala	mentor
si me nu geɖe le	complex
si me nu geɖe le	sophisticated
si me nuwo le fũu	complicated
Nye menya o	I do not know
nye menya o	I don't know
Nye menya o	I don’t know
ne menye nenem o la	otherwise
si menyo o	messy
si menyo o	negative
ŋutilã me	physical
asitsala	merchant
nublanuikpɔkpɔ	mercy
Nye mese egɔme o	I do not understand
Nye mese egɔme o	I don't understand
nye mese egɔme o	I don’t understand
Nye mese gɔwòme o	I don't understand you
Nye mese nu si gblɔm nèle la gɔme o	I don't understand what you mean
si mesẽ o	delicate
si mesɔ ɖe edzi o	inappropriate
gbegblẽ	mess
gbedeasi	message
si me susule	sensible
ga	metal
nuwɔmɔnu	method
katã me	throughout
si metsɔ ɖeke le eme o	passive
dzi me	up
ya me	weather
esi me	while
si me woɖe dzo le	disabled
si me wo he	extended
si mexɔ asi o	affordable
fa mia	chill
tsɔ míado go	see you tomorrow
afiwo	mice
titina	middle
agbadroƒekpe	milestone
asrafowo	military
notsi	milk
akpeakpe	million
susu	mind
susuɖoɖo	mindset
tɔnye	mine
habɔbɔ	mingle
aɖabaƒoƒo	minute
aɖabaƒoƒo	minutes
nukunu	miracle
ahuhɔ̃e	mirror
nuɖianu	mischievous
fukpekpe	misery
bu	missing
dɔdeasi	mission
afu	mist
vodada	mistake
Mizo	Mizo
si mlɔ anyi	horizontal
dze mo anyi	stable
ko	mock
kpɔɖeŋu	model
ƒo mo ɖe	creep
yametsi	moisture
nuto	mold
atɔ	mole
dada	mom
ɣeyiɣi	moment
dzoɖa	monday
ga	money
ɖia	monitor
kese	monkey
ɣleti	month
seselelãme	mood
dzinu	moon
nufiame	moral
gawu	more
ŋdi	morning
na	mortgage
kekiake	most
nᴐ	mother
zɔɖeɖe	motion
dzideƒo	motivation
to	mountain
afi	mouse
nu	mouth
zɔzɔ̃	movement
sinii	movie
gbedoxɔme mɔ	aisle
kpɔ mɔ	anticipate
xe mɔ	block
to mɔ ɖeka dzi	consistent
kpɔ mɔ	expect
le mɔkpɔkpɔ me	hopefully
le mɔkpɔm	optimistic
xe mɔ na	denied
ɖe mɔ	permit
xe mɔ	restrict
dze mɔ	take off
ɖe mɔ	tolerate
xe mᴐ	deny
ɖe mᴐ na	enable
xe mᴐ	prevent
zɔ̃ mᴐ	travel
aƒenɔ	mrs
sᴐgbᴐ	much
ba	mud
kplu	mug
le mumu	fresh
lãmeka	muscle
tsãnuwonɔƒe	museum
ŋɔlixexi	mushroom
hadzidzi	music
nye	my
xɔ̃nye	my friend
nuɣaɣla	mystery
amlima	myth
dze na ame	convenient
tsɔ na	commit
dze na	deserve
gatagbadzɛ	nail
ŋkɔ	name
ago nam	excuse me
yi namlɔ anyi	go to bed
gblᴐe nam	tell me
mese naneke gɔme o	naive
megblẽ naneke o	no problem
ele nane wɔm mahã	are you busy
leabe na nu	caring
tsɔ na	render
nyatoto	narrative
nyaŋu	nasty
dukɔmetɔ	national
dumevinyenye	nationality
dumetᴐ	native
dzᴐdzᴐme	nature
xeɖeɖe	nausea
medogbe na wò	best regards
akpe na wò kakaaka	thank you so much
akpe na wò kakaaka	thank you very much
blunya nawò	merry christmas
ŋdi na wò nye lɔlɔ̃tɔ	good morning my love
akpe na wò	thank you
bu nazã	suspect
egbᴐ	near
dza	neat
hiã	necessary
kɔ	neck
kɔga	necklace
hiã	need
aleke nèfɔ̃ egbe	how are you doing today
alekee nèfɔ̃ egbe	how are you today
aƒelika	neighbor
goloɔgui	neighborhood
Mebui nenema	I hope so
zi nenie	how often
ƒe nenie nèxɔ	how old are you
eme nenyo	all the best
eme nenyo	best of luck
nyruiyᴐvi	nephew
ametsibome	nerd
atɔ	nest
ɖɔ	net
kadodo	network
ɖagbe neva le ŋkeke sia me	many many happy returns of the day
gbɛɖɛ	never
yɛye	new
nyadzɔdzɔ	news
mawu neyra wò	god bless you
nyo nɛ	worth it
zã	night
asiɛkɛ	nine
wuiasiɛkɛ	nineteen
blaasiɛkɛ	ninety
Ao	No
fli nogo	circle
ɣli	noise
ŋdɔ	noon
gbeɖɛ	nope
alo	nor
dziehe	north
ŋɔti	nose
ŋkuɖodzi	nostalgic
o	not
gbɛɖɛ	not at all
kaklãnana	notice
nkɔnya	noun
ŋkɔnyawo	nouns
ŋutinyagbalẽ	novel
adamekpɔxɛ	november
fifia	now
wo nɔeawo	each other
susu nɔ nu ɖeka ŋuti	concentrate
Melɔ̃ nɔvinye nyɔnuvi	I love my little sister
Melɔ̃ nɔvinye ŋutsuvi	I love my little brother
wɔ nu	act
eɖu nua	have you eaten
ɖo nu ame dzi	impose
wɔ nublanui	devastated
wᴐ nublanui	miserable
wɔ nublanui	pathetic
do nu	borrow
nya nu	clever
tsidzi nu	contemporary
dzᴐ nu	contribute
mawume nu	divine
na nu	donate
ta nu	draw
agbadzi nudzadzra	retail
zi nu dzi	seize
nye nu ɖeka tɔ	peculiar
wɔ nu ɖe	treat
ŋdi nuɖuɖu	breakfast
fiɛ̃ nuɖuɖu	dinner
na nuɖuɖu	feed
ŋdᴐ nuɖuɖu	lunch
fiɛ̃ nuɖuɖu	supper
le nu ɖum	eating
tsi nu	fluid
abunɛ nu	foolish
dze nu gɔme	initiative
se nu gɔme	sober
se nu	hear
dɔ nu	import
duta nu	international
to nu	invent
fuɖename	nuisance
ɖuɖɔ nu	kiss
nya nu	know
le nu kom	laughing
ƒoa nukpoloe	talkative
wɔ nuku	amazing
wɔ nuku	fabulous
wᴐ nuku	stunning
wɔ nuku	surprised
wᴐ nuku	wonderful
ko nu	laugh
srɔ̃ nu	learn
do nu	lend
klɔ nu le nu ŋutsi	rip
tsi nu	liquid
ƒuƒlu	null
ga nu	luxury
zu numame	addicted
asi nu	manual
xexlẽdzesi	number
ku nu me	investigate
egbe nu	modern
dzɔdzɔme nu	natural
wu nu nu	accomplished
kukɔ nu ŋu	scratch
tre nu	patch
kpɔ nu	perceive
wᴐ nu	perform
subɔsubɔ nu	religious
dᴐnᴐdzikpᴐla	nurse
sea nu	sensitive
nye nu sesẽ	critical
se nu si wonye me	figure out
ƒo nu	speak
le nusrɔm	studying
srɔ̃ nu	study
kplɔ nu	sweep
azi	nut
ƒo nu	talk
doa nutami	ambitious
fia nu	taught
fia nu	teach
wᴐ nuteƒe	responsible
na	nutmeg
dekɔnu nu	traditional
