a	Langai
cough	jahkru ai
could	dang di ai
could	dang di na re
council	mung bawng salang hpung kawngsi
count	shagu
count	hti ai
counter	gumhpraw jaw pinra
counter	ninghkap gasat ai
country	mungdan
countryside	mare buga
couple	run
courage	chyauhpa
course	lak jat
court	tara rung
courtesy	sumnung lai
courtesy	sumnung masa
cousin	kahpu kanau
cover	jahpun ai
cover	magap ai
cover	makawp ai
cow	dumsu kanu
coward	chyahkrit mai dung
coward	hkrit ai wa
crab	chyahkan
crack	kap ran ga ai
crack	ga ai
craft	hka li
craft	lata hpaji
crap	hki hkaw ai
crash	agrawp daw ai
crash	akrawp shara ai nsen
craving	nachying sharawng ai
craving	mak ai
crawl	gumrawt hkawm ai
crawl	wa hkawm hkawm ai
crazy	mana
create	hpan ai
create	shachyaw ai
creative	sawn shapraw chye ai
credit	shakawn shagrau ai
credit	hkoi shap ai gumhpraw
creep	gumrawt hkawm ai
creep	wa hkawm hkawm ai
creepy	hkrit hpa
creepy	kashung si pru na zawn re
crew	bungli galaw masha
crime	ru hka amu
cringe	hkyung hkyung
crisis	manghkang
critical	si hkrung si htan
critical	mara tam ai
critical	ahkyak ai
criticism	dinglum ai
criticism	rang rip ai lam
crop	nsi nai si
crop	hkai nmai
crop	abrut sha ai
crops	nsi nai si ni
crops	hkai n mai ni
cross	hkap ai
crow	u goi ai
crow	u hka
crowd	shara hpawng
crowded	tap ai
crown	jan mau
crucial	si hkrung si htan
crucial	ahkrak dik ai
cruel	matse ai
cruise	sanghpaw hte du sa hkawm chyai ai lam
crush	rin ai
cry	hkrap ai
cucumber	kumgyin si
cuddle	ginshum ai
cuddle	ahpum ai
culture	htung hkring
culture	chying ai
cunning	kyang ai
cunning	zai rawng ai
cunning	hkalem sha chye ai
cup	wan seng gawm
cup	gawm
cupboard	sumpu
cupboard	sumhtang
curb	shading kau ai
curb	gumra n gup gyit sumri
cure	shamai ai
curfew	shana nmai pru matsun
curiosity	chye mayu myit
curiosity	sharawng myit
curious	myit shang sha ai
curly	magi da ai
currency	gumhpraw
current	ya
currently	ya
currently	ndai laman
curse	matsa mawa ga
curtain	pan grang
cushion	u mun
cushion	nbung lahkum
custom	lai
custom	lai len
customer	kun rai mari ai wa
customs	htung masa
customs	lai masa
customs	htung hking
cut	akrit ai
cut	di ai
cute	kaw lakai
cycle	lagaw leng
cycle	shing wang
cycling	lagaw leng jawn ai
dad	awa
daddy	awa
daily	shani shagu
dairy	ngachyu shadu shara
dairy	nga chyu shup shara
dam	madim
damage	za ai
damage	hten za ai
damp	nyaw ai
damp	madi ai
damp	bam ai
dance	ka manawt ai
danger	hkrit hpa
danger	hkrit tsang ra ai lam
dangerous	hkrit tsang hpa
dark	sin ai
dark	chyang ai
darling	tsaw
dash	ga matut
dash	maja gat ai
dash	ga shaw
data	jahpan lawk
data	jahpan hkrang
data	jahpan
date	nhtoi
daughter	num kasha
day	shani
dead	si ai
deadline	ngut nan ngut ra ai ten
deaf	na layawng ai
deaf	na hpang ai
deal	myit hkrum ai
dear	Hkawp myitsu
dear	Tsawra hkungga ai
Dear All	tsawra hkungga ai yawng hpang de
Dear Customer	Tsawra ai kun rai mari ai wa e
Dear Parents	Tsawra ai  nu yen wa
Dear Sir	Tsawra ai sara
Dear students	Tsawra ai jawngma ni
Dear Team	Tsawra ai hpung masha ni
death	si ai
debate	mungga majan
debate	ga tsun shingjawng poi
debit	jaw ra ai hka gumhpraw
debris	hting mut
debris	chya hten
debt	gumhpraw hka
debt	hka
decade	shi ning ladaw
decay	tsam ai
decay	nyawp ai
decay	yet mat ai
deceased	si mat ai
deceive	hka lem sha ai
december	maga ta
decent	arawng lu ai
decide	daw dan ai
decided	daw dan ai
decision	daw dan ai lam
deck	mawn shatsawm tawn ai
deck	magap ai
decline	ninghkap ai
decrease	shagrit kau ai
decrease	yawm mat ai
dedicated	ap nawng da ai
dedicated	rang da ai
dedication	ap nawng ya ai lam
dedication	san san ap nawng ya ai lam
deed	ga sadi laika
deed	lai nsam
deed	sat lawat
deep	sung ai
deer	chyahkyi
default	hprai ai
defeat	sum ai lam
defend	makawp maga ai
defend	hkap makawp ai
define	masat da ai lam
define	ga lachyum masat da ai
definitely	hkrak tup
definition	lachyum hpyen ai
degree	madang
delay	kanung ai
delayed	shana tawn ai
delayed	jahkring tawn ai
delayed	hting nai ai
delete	shaprai kau ai
deliberate	atsawm sha myit yu ai
deliberate	sharam yu ai
delicate	anai anya re ai
delicate	grai sadi jahtuk ra ai
delicious	mu ai
delicious	nam chyim rawng ai
delight	kabu pyaw ai
delight	sharawng awng lam
delighted	kabu pyaw ai
delighted	sharawng awng lam
deliver	sai shaw la ai
deliver	hkrang shaw la ai
deliver	sa ya ai wa
delivered	sai shaw la da ai
delivered	hkrang shaw da sai
delivery	ap ya ai
delivery	jaw ya ai
demand	shawk shawn ai
demand	hpyi shawn ai
demanding	hpyi la ai
demanding	hpyi shawn taw ai
democracy	mung shawa a dat kasa ni uphkang masa
demon	nat
demon	nat matse
demonstrate	n gun madun dan ai
demonstrate	galaw madun da ai
denied	nyet kau ai
denied	ningdang kau ai
density	numhtat
dentist	wa tsi du
dentist	wa sarawun
deny	ninghkap ai
deny	nyet ai
department	bungli dap
department	ginwang
departure	rawt ai
departure	pru wa ai
depend	kamhpa ai
depend	shamyet shanat ai
depend	machyu ai
deploy	hpyen la ni hpe shabra tawn ai
deposit	bang ai
depressed	lagyawk ai
depressed	myit hten ai
depression	myit daw ai
depth	ningsung
depth	sung de
describe	hpaw madun ai
description	sanglang dan ai lam
desert	hprawng hkawm mat ai
desert	htak mat ai
deserve	ging dan ai
design	maka
designation	shatsam da ai
designation	aya
desire	ra marit ai
desk	saboi
despair	myit htum shara
despair	gawng run shara
desperate	myit mada shara n nga ai
despite	raitim mung
destination	pan dung
destiny	gam maka
destroy	jahten ai
destruction	hten byak lam
destruction	sharun jahten amu
detail	akri akrai
details	akri akrai
detect	sawk tam la lu ai
determination	myit ja ai
determination	myit daw dan ai
determine	shatawng
determine	daw dan ai
determined	daw dan ai
devastated	agrawp daw kau ai
devastated	hten run mat shangun ai
develop	tsut
developed	bawng ring wa ai
development	bawng ring lam
device	laknat
devil	nat
devil	saw a nat
devoted	myit masin hte ap nawng nna galaw ai
devoted	ga sadi tawn ai
diabetes	jit dwi ana
diarrhea	kan hkaw ana
diarrhea	kan mase ana
diary	shani shagu matsing laika
dictionary	ga htai chyam
did	galaw ai
die	si ai
died	si ai
diet	lu sha
diet	malu masha
difference	nbung ai lam
difference	shai ai lam
different	nbung ai
different	shai ai
difficult	yak hkak ai
difficult	jam jau ai
dig	htu ai
dignity	shari
dignity	arawng ya
diligent	htauli htaula myit ai lam
diligent	shakut shaja ai lam
dinner	shana shat
dip	kaprup bang ai
dip	dip bang ai
dip	dip shalup ai
direct	matsun madun ai
direct	ading tawk
direction	baw yawng ai
direction	matsun madun ai lam
director	matsun madun ai wa
director	matsun du
dirt	matsat shabat re ai
dirt	maza mala re ai
dirt	shanut shana ai
dirty	agang chyalang
dirty	chyamut chyamat
dirty	abut abye
disable	galaw na yak ai
disable	nlu galaw ai
disabled	n kung n byen ai
disappear	shim
disappear	me
disappointed	myit daw ai
disappointed	myit hten ai
disaster	tsin yam tsin dam
discard	raw di kau ai
discard	kabai kau ai
discharge	shapraw kau ai
discharge	gunrai jahkrat ai
discipline	rip kawp tara
discount	manu shayawm ya ai
discover	sawk tam lu ai
discrimination	ginghka ai lam
discuss	bawng ban ai
discuss	jahkrup ai
discussion	hkrum zup bawng ban ai lam
disease	ana
diseases	ana
disguise	makoi  magap da ai
disgusting	madawn mayu ai
disgusting	matsat shabat
dish	si mai wan
dish	si mai
dishes	lu sha ban
dishes	shat ban
dismiss	dawm kau ai
dismiss	jahkring kau ai
dispatch	sat kau ai
dispatch	lawan shagun jaw ai
display	hpaw hpren dan ai
display	tang ai
display	madun ai
disposal	hparan lajang lam
disposal	gun ra lajang lam
dispute	dara ai
distance	tsan gang lam
distinct	ginwang
distinguish	garen ginghka ai
distress	myit ru myit yang
distress	n ni nkri
distribution	gam jaw ai
distribution	gam ya ai
district	ginwang
disturb	dingbai dingla
ditch	hka hkawng
ditch	nam hkawng
dive	hka shang ai
dive	hka hpung lip ai
diverse	kaga ga re ai
diverse	shai ai
diversity	myu hpan
divide	garan kachyan ai
divide	gam garan ai
divine	Karai Kasang hte seng ai
divorce	dinghku hka bra ai lam
dizzy	baw kayin ai
dizzy	baw sin ai
do	di u
do	galaw u
do you	nang gaw?
do you love me	Nang ngai hpe tsawra ai i?
doctor	sarawun
doctor	tsi du
doctor	tsi ninghkring
document	ga shaka laika
does	di ai
doesn't	n galaw ai
doesn't	nre ai
dog	gwi
doing	galaw taw ai
doll	sumla
doll	ma sumla
domain	uphkang ginwang
domestic	dinghku kata
dominant	grau ai
dominant	ka up tawn ai
don't	hkum
Don't worry	hkum tsang
donate	gam jaw ai
donate	alu jaw ai
done	galaw ngut sai
done	ngut mat sai
donkey	lawze
donkey	gumra
donkey	masha sabuk
dope	nang hpan tsi mawan
dope	yup tsi
double	htam lahkawng
doubt	shang n rai
dough	gumhpraw
down	lawu
down	hkrat ai
draft	hkrang shapraw ai lam
drag	garawt ai
drag	gang la ai
drain	hkaw taw ai
drain	lwi taw ai
drama	zat madun ai lam
drama	maumwi madun ai lam
draw	soi
draw	baw
drawer	saboi shinglet
drawing	sumla soi taw ai
dread	hkrit kajawng ai
dream	myit mada lam
dream	yup mang
dream	shingran
dress	sum raw ai
dress	bu hpun palawng
dress	bu hpun ai
drill	shaman shakyang ai
drill	hpyen sharing ai
drink	lu ai
drink	lu hpa
drive	hkang ai
drop	di hkrat ai
drop	shalut u
dropped	jahkrat kau ai
dropped	tat jahkrat kau ai
dropped	kahte kapya ai
drought	jan gri ai lam
drought	chyahkraw chyagan byin ai lam
drunk	tsa bam ai
drunk	tsa bri ai
dry	hkraw ai
duck	hkai pyek
due	a majaw
due to	de a majaw
dull	a nya
dumb	mau ai
dumb	ma a
dump	nyaw
duration	aten ladaw
during	laman
dust	n hpu
dust	ahpu kau ai
duty	hkan dawk
duty	lit
dwell	nga ai
dwell	shanu nga ai
dying	si hkyen hkyen rai taw ai
each	langai hpra
each other	langai hte langai
eager	masin rawt ai
eagle	galang
ear	na
earlier	jau daw
early	kahprim
early	jau
earn	lu ai
earn	hkap la lu ai
ears	na
earth	aga
earthquake	n nang nawn ai
ease	aloi sha
easily	loi loi hte sha
easily	a loi sha
east	sinpraw
easy	loi ai
easy	a loi sha
eat	sha ai
eating	sha taw ai
economic	sut lu nga mai lam hte seng ai
economy	sut lu nga mai lam
edge	ningchyan
edit	sharai ai
education	hpaji
effect	akyu
effective	akyu nga ai
effective	nyam ai
efficiency	n gun marai
efficient	masan sa ai
efficient	akyu rawng ai
efficient	ram ai
effort	shakut shaja ai
egg	u di
eggplant	saba si
eggplant	saba hpun
ego	ngai ngu ai myit
ego	madu a myit
eight	matsat
eighteen	shi matsat
eighty	matsat shi
either	langai nrai yang langai
either	lahkawng kaw na langai
elaborate	kata lam sang lang dan ai
elbow	machyang ndum
elder	salang
elder	du
elder	asak grau kaba ai
elderly	asak kaba ai
elegant	grai grak ai
elegant	hkik hkam ai
element	npawt rudi rai
element	hkarang jet
elephant	magwi
eleven	shi langai
eligible	tara shang ai
eliminate	la kau ai
eliminate	dawm kau ai
eliminate	shaw kau ai
else	laga
embarrassed	gaya ai
embarrassing	gaya kahpa byin ai
embrace	hpum ai
emerge	paw pru ai
emerge	pru ai
emerge	byin pru ai
emergency	hkyak hkyak galaw ra ai lam
emotional	myit hkam sha lam hte seng ai
empathy	myit tau la ai lam
emphasis	ahkrak shatai ai lam
emphasize	myit shabawn ai
emphasize	ahkrak da ai
employee	bungli shangun masha
employee	bungli masha
employees	bungli galaw masha ni
employer	bungli madu
employment	magma bungli
employment	bungli bungsa
empty	kaman
enable	galaw lu ai
encounter	hkrum katut ai
encourage	n gun jaw ai
encourage	shalan
end	jahtum jahpra kau ai
end	shangut kau ai
end	kre mat sai
endangered	hkrit hpa byin shangun kau ai
endangered	shoi hpa byin shangun kau ai
endeavor	shakut shaja ai lam
endurance	atsam rawng ai lam
endurance	hkam sharang lu ai atsam
endure	grin nga ai
endure	hkam lu ai
endure	hkam sharang ai
enemy	hpyen
enemy	hpyen wa
energy	tsam n gun
engage	mahtan ai
engaged	mahtan da ai
engaged	dara ai
engagement	mahtan da ai
engine	jak
engine	jak gawng
engineer	jak sara
engineer	jak ninghkring wa
English	shanhpraw
enhance	shajat ai
enhance	shatsaw ai
enjoy	len ai
enjoy	pyaw len ai
enormous	mana maka kaba ai
enormous	grai kaba ai
enough	ram sai
ensure	shateng ai
enter	shang wa ai
entertainment	shangwi shapyaw ai lam
enthusiasm	katu myit
enthusiasm	grai sharawng ai myit
enthusiastic	masin rawt ai
entire	kup
entire	yawng
entitled	gabaw shakap ai
entitled	gabaw tawn ai
entity	prat
entrance	chyinghka lam
entrepreneur	hpaga ga ai wa
environment	makau grup yin
envy	manawn masham ai
epic	hkik hkam share shagan ni a sat la wat
epic	lai hte seng ai
epidemic	zindam
epidemic	zinli
epidemic	li
equal	bung ai
equal	maren re ai
equal	maren mara
equipment	arung arai ni
equity	gambum manu
equivalent	bung ai
equivalent	bung ai rai
eraser	shaprai tawng
error	ga shut
error	shut ai lam
escape	tawt lai lu ai
escape	lawt kawt ai
escape	lawt lu ai
especially	grau n na
essay	shakut shaja ai
essay	kaji laika
essence	laidung
essence	akri namta
essence	machyim namta
essential	n nga nmai
establish	hpaw ninghtan ai
establish	gaw de ai
established	hpaw ninghtan ai
established	galaw hpang ai
estate	madu lamu ga
estate	lamu ga
estimate	htang ai
estimate	shadu ai
estimated	sawn sang yu ai
estimated	tau sawn yu ai
eternal	htani htana re ai
eternal	agrin nga ai
ethics	arawn alai
evaluate	daw dan ai
evaluate	manu masat ai
evaluation	daw dan ai
evaluation	bai dinglik yu ai lam
evaluation	manu masat ai
even	mung
even	pyi
even though	raitim mung
evening	shana daw
event	lamang
eventually	jahtum e
ever	galoi mung
ever	ayen na
every	yawng
everybody	masha shagu
everybody	n lang
everyone	hkum ngau shagu
everyone	yawng
everything	yawng
evidence	sakse
evil	aru ara
evolution	sinda masa
evolution	yat yat byin kunghpan wa ai masa
evolve	rawt jat wa ai
evolve	galai shai wa ai
ex	moi na
ex	dingsa
exact	hkrak tup
exactly	hkrak
exam	san poi
examine	sanjep yu ai
examine	gawn jep yu ai
example	kamang
example	ga shadawn
example	kasi
exceed	shajan ai
exceed	dinglai ai
excellent	hkrak dik sai
excellent	ninghkring
except	hta lai nna
exception	ga hpunda
excess	shalai chying hkai
excess	shajan shalai re ai
excessive	shajan shalai re ai
exchange	galai
excited	kajawng ai
excited	myit kahpra ai
excitement	ndawt myit
excitement	katu myit
exciting	myit kahpra ai
exciting	kajawng ai
exclusive	lak san re ai arai
exclusive	alak mi galaw da ai
exclusive	manu hpu reng ai
excuse	lawt ga
excuse me	chyeju hte
execute	shabyin dat ai
execute	gun hpai ai
execution	shabyin dat ai lam
execution	gun hpai ai lam
executive	uphkang magam
exercise	shamu shamawt lam
exhaust	dat nsa pru ai lam
exhaust	ba kahpau ai
exhaust	pu mat ai
exhausted	hki ba ai
exhausted	pu ba ai
exhibit	madun dan ai
exhibit	sakse rai
exhibition	madun dan poi
exhibition	madun dan ai lam
exist	nga ai
exist	pra ai
existence	prat
existence	nga pra lam
existing	nga pra ai
existing	asak hkrung ai
exit	pru lam
exit	chyinghka lam
expand	maden jat la ai
expand	jat la ai
expand	gahpyen ai
expect	hta lai nna
expected	myit mada da ai
expenses	htum gumhpraw
expenses	htum jarik
expensive	laja ai
expensive	hpu ai
experience	mahkrum madup
experiment	chyam dinglik yu ai bungli
expert	laijum laisa
expert	laisa wa
expired	masat da ai aten lai mat sai
explain	shaleng dan ai
explain	sang lang dan ai
explanation	shaleng dan ai lam
exploit	kanoi sha ai
exploit	n gun makru daw sha ai
explore	sawk tam ai
explore	sawk sagawn ai
export	shapraw gun rai
expose	tsun dan ai
expose	kra tawn ai
expose	madun da ai
exposed	madun dan ai
exposed	tsun dan ai
exposed	kra tawn ai
exposure	shabrawng dat ai lam
exposure	hpaw dan ai lam
express	hpaw hpran dan ai
express	madun dan ai
expression	myi man nsam
expression	hpaw madun ai
extend	sharen ai
extend	maden ai
extended	maden jat la da ai
extended	lata ladawn da ai
extension	jat la ai
extension	ap ya ai lam
extent	shadawn jarik
external	shinggan na
extinct	myit wa ai
extinct	htum wa ai
extra	alak mi re ai
extra	shajan
extract	baw kau ai
extraordinary	lak lai ai
extreme	nchyan
extreme	ladu shalai
extreme	matu
extremely	ladu lai
extremely	grai nan
eye	myi
eyes	myi
fabric	ri da sumpan
fabulous	mau hpa re ai
fabulous	kam na yak ai
face	myi man
facilitate	loi shangun ai
facilities	arai
facility	shaloi ya ai lam
facility	madi shadaw rai
fact	jaw ai lam
fact	mabyin
factor	masa lam byin ningpawt lam
factory	bungli dap
factory	jak rung
facts	sumhpa lam
facts	lai masa
facts	ga lami
fade	wai mat ai
fade	nyip mat ai
fade	hkoi mat ai
fail	hkrat sum ai
fail	sum ai
failed	hkrat sum mat ai
failure	hkrat sum ai
failure	gin lut ai
faint	kachyawn
fair	ram daw
fair	rap ra ai
fairly	rap rap ra ra
fairy	nat shayi
faith	kam sham ai
faithful	kang ka ai
faithful	htep lahti re ai
faithful	kam sham ai
fake	n teng ai
fall	di hkrat ai
fall	hkrat ai
false	shut ai
fame	gumhkawng ai lam
fame	sadang hkung ai lam
familiar	hkau chye hkat ai lam
familiar	mawn hkat ai lam
family	dinghku
famine	hku hpyen
famous	mying gumhkawng ai
famous	mying kaba ai
fan	layit
fancy	myit nawn ai
fancy	zawn nawn ai
fantastic	mau na zawn re ai
fantastic	grai hkrak ai
far	tsan ai
farewell	shakram poi
farm	sun
farm	yi sun galaw ai
farmer	hkauna galaw ai wa
farmer	hkauna la
fascinating	yu ra shingni
fashion	hking
fashion	gyin shapraw ai
fashion	mawn sumli masa
fast	gam
fast	lawan ai
fat	hpum ai
fatal	si chye ai
fatal	si wa shangun lu ai
fate	gam maka
fate	gying ai
father	awa
fatigue	aba shala
fault	shut shai ai
favorite	ra sharawng ai
favour	ningshawng jaw ai lam
favour	myiman pa lam
favourite	tsawra dik ai manang wa
favourite	tsawra dik ai arai
fear	hkrit ai
feast	poi n htoi
feast	lu sha poi
feather	u mun
feature	myi man nsam
feature	hkrang nsam
feature	lak lai ai
february	ra ta
fed up	myit htum ai
fed up	myit hten ai
fee	manu jahpu
feed	jaw ai
feed	yaw
feedback	mahtai tang
feel	hkam sha ai
feeling	myit hkam sha lam
feet	lagaw
fell	lut
fell	hkrat ai
fellow	manang hpaji ningtawn hpung shang wa ai
fellow	la wa ngan
felt	hkam sha ai
female	Num
fence	bunghku
fence	nhpan
fertile	namhpun
fertile	namhpun dat ai
festival	poi
festival	poi shingra
fetch	la wa ai
fetch	sa la wa ai
fever	kahtet ai
few	kaji mi
few	kachyi
fewer	grau shau ai
fewer	grau yawm ai
fiance	mahtan da ai num
fiance	mahtan da ai la
fiction	sumroi laika
fiction	maumwi
field	Sun
field	dap
field	Hkai sun
fierce	matse
fifteen	shi manga
fifty	manga shi
fight	daru ai
fight	yaw ai
fight	kasat ai
fighting	gasat hkat ai
fighting	htawng hkat ai
figure	hkrang
figure out	hkrang sumla shapraw ai
file	laika nhtan
file	zet sang
fill	jahpring ai
filled	ru bang da ai
filled	jahpring da ai
filled	kaput bang da ai
film	hpalin sumri
film	sumla hpalin
filthy	matsat shabat re ai
filthy	agang chyalang re ai
finally	jahtum e
finally	hpang jahtum
finance	sut gumhpraw lam
financial	sut hte seng ai lam
find	mu ai
find out	tam sawk gawn lu ai
find out	mu lu ai
fine	Kaja sai
fine	Mai kaja sai
fine	Hkrak sai
finger	lata latsang
finger	layung
finish	shangut kau ai
finish	jahpra kau ai
finished	sha ngut kau ai
finished	sha kre kau ai
fire	wan
firm	shangang u
firm	shakang u
first	shawng ningnan
first	magang
first name	mying
fish	nga
fit	hkrup
fit	htap htuk ai
fit	htuk manu ai
five	manga
fix	masat
fix	me ai
fix	byeng ai
fixed	masat da ai
flag	dawng hkawn
flash	kaprap ai
flash	galam ai
flash	kaprip ai
flat	pa
flaw	ningma
flaw	mara
flawless	nrawng ai
flawless	ra n rawng ai
flawless	mara nkap ai
flee	hpawng mat wa ai
flesh	hkum shan myit
flesh	shan
flew	kapya mat ai
flew	lwi hkrat mat ai
flexible	kam ai hku galaw mai ai
flexible	gumba mai ai
flight	pyen hkawm ai hpung
flight	u nawng
flip	n bungli jawn shapyaw hkawm ai
flirt	myi man law ai
flirt	myit gin sup ai
flirting	myit gin sup ai lam
float	waw ai
float	shayawng ai
flood	maw ru ru ai
flood	hka lung ai
flood	hka kanawng ai
floor	ndun
flour	kadung
flow	hpaw ai
flow	yawng ai
flower	nampan
flu	mak hkalawng
fluent	ga ningtam rawng ai
fluent	ga balen rawng ai
fluently	ga ningram rawng ai
fluently	ga balen rawng ai
fluffy	tu wa ai
fluffy	u mun hkalung
fluid	lwi hkawm chye ai baw
fluid	n grin ai
fly	pyen ai
fly	jinu
focus	myit mang shabawn ai
fog	sai wan
fog	mu hkup
foggy	mu hkup mawng ai
foggy	saiwan mawng ai
fold	gumba ai
fold	kapum mat ai
folks	masha
folks	masha amyu
follow	hkan sa ai
follow	hkan nang ai
follow up	matut sawk ai lam
follow up	matut galaw ai lam
following	npu na
following	hkan nang ai
food	lu sha
fool	mana ai
foolish	sa ngawk ai
foolish	mana ai
foolish	a ngawk ai
foot	lagaw
football	gaw din
for	a matu
For example	ga shadawn
for instance	ga shadawn nga yang
for you	Nang na matu
forbidden	pat shingdang da ai
force	agun
forecast	maram masam yu ai
forehead	ka htan
foreign	maigan
forest	nam maling
forest	maling dinggram
forever	prat tup
forget	malap ai
forgive	mara dat ya ai
forgot	malap kau ai
fork	kabrang
fork	kabra
form	hkrang
formal	masa tara hte seng ai
formal	htung tara hte seng ai
former	chyaloi
fortunately	gam a kaja sha
fortunately	gam rawng let
fortune	gam
fortune	gam maka
forty	mali shi
forty-two	mali shi lahkawng
forward	shawng lam
forward	mashawn
forward	shawng de
foster	bau la ai
fought	gasat hkat ai
found	mu ai
foundation	daipawt daihpang
foundation	npawt ru di
foundation	madung
four	mali
fourteen	shi mali
fox	chyahkyawn
fragile	kya ai
fragile	akya
frame	hkrang masat
frame	hkrang galaw ai
framework	hkrang
fraud	shamawp ai
fraud	map ai
freak	mana
free	dat dat ai
free	shang lawt ai
freedom	awm dawm
freeze	ge ai
freeze	sha ge ai
frequency	lang masat
frequent	ya sha ya sha re ai
frequent	loi hkring hkring
frequently	yasha yasha
frequently	jahkring hkring
fresh	a kahtet hpoi hpoi sha
fresh	katsing galang
fresh	myit asan nga ai
friday	hpan shani
friday	bat manga ya shani
fridge	katsi jak
fridge	hka shage sadek
friend	manang
friendly	chyap ai
friends	manaw manang ni
friends	manang ni
friendship	hkau chyap ai lam
friendship	hku hkau ai lam
frightened	hkrit gari ai
frightened	kajawng kaja byin ai
frightening	jahkrit taw ai
frog	shu
from	kaw nna
front	shawng lam
front	shawng de
frozen	ge mat ai
fruit	namsi namsaw
frustrated	shamat kau ya ai
frustrated	jahten kau ya ai
frustrated	dingbai dingla jaw ai
fuel	wan n shat
fuel	sau
fuel	wan hpun
full	hpring ai
full	hpring tup re ai
fun	pyaw hpa
fun	mani hpa
function	bungli byin ai
fundamental	rudi n pawt
funeral	moi mang makoi mayang lam
funny	mani hpa
fur	malat mun
furious	sin pawt la htet ai
furious	sindawng kahtet ai
furniture	arung arai
furniture	hking hku
further	n ga
further	hta lai n na
furthermore	grau n na
future	shawng lam
gain	jat wa ai
gain	amyat
gain	lu la ai
game	ginsup hpa
gap	gang ai
gap	mahka ai shara
garage	mawdaw nta
garbage	shanut shanaw
garbage	maza
garden	sun
garlic	shakau hpraw
gate	wang chyinghka
gather	lahkrip ra ra
gather	rau sha
gathering	hkrum zup hpawng
gathering	hpawng shing ra
gauge	shadawn ai
gave	jaw ya ai
gender	lailen
gender	hkrang
general	ra mara
generally	ninggawn masa hku nna
generate	shapraw ai
generate	jak kri taw ai
generation	ban
generous	gam jaw chye ai
genius	hpaji ninghkring
gentle	sumnung shingdi ai
genuine	jet ai
gesture	shamawt
gesture	lai kumla
get	lu la ai
get dressed	bu hpum sumraw u
get up	rawt ai
get up	yup rawt ai
get up	tsap ai
get well soon	lawan mai tsai wa u ga yaw
getting	sana
ghost	min la
ghost	tsu
ghosting	nat hkrang madun ai
giant	masha numraw
giant	grai kaba ai
gift	kumhpa
ginger	shanam
girl	num kasha
girlfriend	numsha manang
girlfriend	sumtsaw
give	jaw ai
give	ya ai
give up	asum jaw ai
given	jaw da sai
given	jaw da ai
glad	kabu ai
glance	praw di ai
glass	pat
glasses	mi set
glimpse	chyahkring sha mu ai rai
glimpse	pram di mu ai
global	mungkan chyam hkra
gloomy	myit kaji ai
gloomy	myit nchyi nmu ai
gloves	lata larawp
glow	htoi akung ai
glow	htoi ala ai
glow up	htoi tu u
glue	nga rung gyep kap
glue	naw
go	Sa su
go	Sa u
go ahead	matut tsun u
go ahead	shawng shawng u
go away	tsan tsan de sa u
go away	tsan e nga u
go to bed	Yup ra shang sana
goal	bandung
goals	yaw shada lam
goals	bandung
goat	bai nam
god	Karai Kasang
god bless you	Karai Kasang shaman ya u ga
goes	byin ai
goes	sa ai
going	sa taw ai
going to	sana
going to	galaw sana
gold	ja
gone	mat mat sai
gone	sa mat sai
gonna	di na ra ai
gonna	byin na ra ai
goo	nya nya re ai
good	Kaja sai
good afternoon	Alu ai shani.
good bye	shakram dat ai
good day	shani kaja rai u ga
good evening	Alu ai shana de
good job	mai kaja sai
good looking	yu htuk taw nga ai
good looking	yu tsawm taw nga ai
good luck	gam kaja u ga
good morning	A lu ai jahpawt
good morning my love	Alu ai jahpawt rai u ga yaw tsawra
good night	Alu ai shana rai u ga!
good night	Ngwi pyaw ai shana rai u ga.
goodbye	shakram dat ai
goodnight	a lu ai shana
goods	arai
goods	kun rai
Google Translate	Google ga gale ai
Google Translate	Google laika gale ai
goose	masha shabu
goose	shangma
gorgeous	lak lak lai lai
gossip	shatan ai
gossip	tsun gazik ai
gossip	matsun mana ga
got	lu ai
got it	chye na sai
got it	lu la sai
government	asuya
grab	magra ai
grade	tsang
grade	madang
gradually	yet yet sha
graduate	hpaji jan mau gup lu ai wa
graduate	hpaji jan mau gup ai
grain	nsin
grain	tum
grain	n gu
grant	ahkang jaw gumhpraw
grant	shagrau jaw ai
granted	ahkang jaw ai
granted	shagrau jaw ai
grapes	tsabyi si ni
grasp	magra tawn ai
grass	tsing
grateful	chyeju dum ai
gratitude	chyeju
gratitude	chyeju dum ai
grave	lup sung hku
grave	grai tsang ra ai
grave	grai sawng ai
gray	wan hkut nsam
gray	kara hpraw nsam
great	Mai kaja dik sai
great	kaja dik sai
greed	nam mak law hpa ai
greed	lu malun myit
greedy	lawhpa ai
green	tsit ai
greet	shakram ai
greeting	shakram ga
greetings	shakram ga
grey	wan hkut nsam
grey	kara hpraw nsam
grey	muk muk re ai
grief	ningtsang
grief	yawn hkyen
grind	rin ai
grind	grang ai
grip	jum tek da ai
grip	gum nup kau ai
grip	manta chyit di ai
grocery	dwi
grocery	sau gun rai dut ai wa
groom	la n nan
gross	zai ai
ground	ga
ground	n ga
group	wu hpung
group	hpung
grow	rawt jat wa ai
growth	galu kaba masa lam
grumpy	majoi joi jawp ai
guarantee	madi shadaw ya ai lam
guard	bau sin ai
guard	makawp maga ai
guard	sin langa
guess	tak
guest	manam
guidance	matsun madun ai lam
guidance	lam woi madun ai lam
guide	woi awn ai
guide	matsun madun ai
