an	a
waray depekto	flawless
pumalagiw	flee
unod	flesh
linupad	flew
pagpilopilo	flex
mapauyon-uyon	flexible
paglupad	flight
pinakli	flip
pagpikat	flirt
napikat	flirting
lutaw	float
baha	flood
salog	floor
harina	flour
ig-awas	flow
pag agos	flow
pag awas	flow
bukad	flower
hiranat	flu
maopay magyakan	fluent
mahayag	fluently
mahumok	fluffy
likido	fluid
lupad	fly
sentro	focus
pagsentro	focus
burong	fog
maburong	foggy
pilo	fold
mga tawo	folks
sunod	follow
kulawi ngahaw	follow up
pagsunod	following
pagkaon	food
paglurunga	fool
lurong	fool
lurong	foolish
siki	foot
tiil	foot
putbol	football
ha	for
para	for
pananglitan	For example
pananglitan	for instance
para ha imo	for you
igindidiri	forbidden
ginbabawal	forbidden
pagpirit	force
kusog	force
pagtagna	forecast
agtang	forehead
langyaw	foreign
kagurangan	forest
kagugub-an	forest
ha kadayonan	forever
hikalimti	forget
pasayloa	forgive
nahingalimot	forgot
tinidor	fork
pormaha	form
porma	form
pormal	formal
hadto	former
an una	former
panhimalad	fortunately
bahandi	fortune
kap-atan	forty
kap-atan kag duha	forty-two
ha unahan	forward
pag ataman	foster
nakig away	fought
hin agian	found
pundasyon	foundation
upat	four
napulo kag upat	fourteen
garong	fox
magluya	fragile
kapoy	fragile
hamba	frame
basihan	framework
panlimbong	fraud
kabangis	freak
libre	free
kagawasan	freedom
pagyelohon	freeze
kaagsob	frequency
agsob	frequent
agsob	frequently
bag-o	fresh
biyernes	friday
pridyeder	fridge
sangkay	friend
makigsangkayon	friendly
kasangkayan	friends
kasangkayan	friendship
nahadlok	frightened
makangingirhat	frightening
makaharadlok	frightening
pakla	frog
tikang	from
unahan	front
nagyiyelo	frozen
prutas	fruit
nasusubo	frustrated
enerhiya	fuel
Fulfulde	Fulfulde
bug-os	full
makalilipay	fun
gamit	function
importante	fundamental
paglubong	funeral
pataraw-an	funny
barahibo	fur
nasisina	furious
muwebles	furniture
dugang pa	further
dugang pa	furthermore
tidaratong	future
umaabut	future
karawta	gain
pagkarawat	gain
uyag	game
uyas	game
lat-ang	gap
garahe	garage
basura	garbage
hardin	garden
lasona	garlic
ganghaan	gate
pagtirok	gather
pagtirok	gathering
ginsusukol	gauge
bana-banaa	gauge
ginhatag	gave
kagamitan	gear
kinatawo	gender
para hit ngatanan	general
kasagaran	generally
maghimo	generate
henerasyon	generation
mahinatagon	generous
diri halod	generous
intelihente	genius
kategorya	genre
malumo	gentle
tinuod	genuine
pagkompas	gesture
pag abot	get
kuhaa	get
pagliwan	get dressed
buhat	get up
mag-opay dayon	get well soon
pagkuha	getting
espiritu	ghost
multohon	ghosting
higante	giant
regalo	gift
laya	ginger
babaye	girl
uyab	girlfriend
sangkay nga babaye	girlfriend
paghatag	give
pagbaya	give up
iginhatag	given
malipayon	glad
pagkita	glance
salamin	glass
baso	glass
mga baso	glasses
tan-au	glimpse
kalibotan	global
masurub-on	gloomy
mga gwantes	gloves
paranggata	glow
nagraranggat	glow
naglamrag	glow up
pandukot	glue
lakat	go
larga na	go
tikang na	go
padayon	go ahead
magpahirayo ka	go away
kumaturog	go to bed
tumong	goal
mga tumong	goals
kanding	goat
dios	god
bendisyonan ka han ginoo	god bless you
kinadto	goes
pagkadto	going
tikadto ha	going to
bulawan	gold
waray na	gone
tinikang na	gone
magtitikang	gonna
masapilit	goo
maupay	good
mamaupay	good
Maupay nga kulop	good afternoon
malakat na	good bye
maupay nga adlaw	good day
maupay nga gab-i	good evening
maupay nga trabaho	good job
maupay kulawan	good looking
swerte	good luck
maupay nga aga	good morning
maupay nga aga hinigugma ko	good morning my love
maupay nga gab-i	good night
babay	goodbye
maupay nga gab-i	goodnight
mga butang	goods
gansa	goose
maanyag	gorgeous
matahom	gorgeous
libak	gossip
nasayuran	got
nakuha	got
nakuha ko ito	got it
gobyerno	government
pagdakop	grab
grado	grade
hinayhinay	gradually
graduado	graduate
lugas	grain
grasya	grant
ginhatag	granted
mga ubas	grapes
masasabtan	grasp
banwa	grass
mapasalamaton	grateful
pagpasalamat	gratitude
lubnganan	grave
abuhon	gray
hinduro	great
makarit	great
daku gud	great
kahakog	greed
hakog	greedy
berde	green
pangumusta	greet
pangumusta	greeting
mga pangumusta	greetings
abuhon	grey
parilya	grid
kasubo	grief
pag giling	grind
pagkaput	grip
tindahan	grocery
pangasaw-onon	groom
malaw-ay	gross
tuna	ground
grupo	group
pagtubo	grow
pagtubo	growth
maaringit	grumpy
Guarani	Guarani
garantiya	guarantee
bantay	guard
patigo	guess
bisita	guest
giya	guidance
giya	guide
igiya	guide
salaan	guilty
lalaki	guy
mga tawo	guys
dyim	gym
batasan	habit
urukyan	habitat
mayda	had
yelo	hail
buhok	hair
tunga	half
ruwang	hall
kamot	hand
karaptan	handle
pagdumara	handle
guwapo	handsome
matahom	handsome
pagbitay	hang
mag upod	hang out
nahinabo	happen
nahinabo	happened
kalipay	happiness
marayhak	happy
malipayon	happy
malipayon nga kaadlawan	happy birthday
malipayon nga adlaw nga natawhan ha imo	happy birthday to you
malipayon nga bag-o nga tuig	happy new year
matig-a	hard
makuri	hard
diri gud	hardly
diri gud	hardly ever
kadaot	harm
kadaoti	harm
nakakadaot	harmful
pagkaurosa	harmony
mapintas	harsh
pag ani	harvest
may	has
pagdumot	hate
mayda	have
may	have
maupay nga adlaw	have a good day
maupay nga adlaw	have a nice day
pamahaw	have breakfast
malipay	have fun
kinaon ka ba	have you eaten
kinaon ka na ba	have you eaten
may	having
peligro	hazard
tun-og	haze
hiya	he
may ada hiya	he has
hiya	he is
ulo	head
nagdudumara	head
suol ha ulo	headache
mag-opay	heal
pagtambal	healing
kahimsog	health
mahimsog	healthy
pamati	hear
hinbatian	heard
nabatian	heard
kasingkasing	heart
pasoa	heat
mapaso	heat
langit	heaven
mabug-at	heavy
okupado	hectic
kahitaas	height
manurunod	heir
panikas	heist
gindumara	held
impyerno	hell
kumusta	Hello
kumusta hinigugma	hello dear
hello kumusta ka	hello how are you
kumusta ka na	hello how are you doing
uy kumusta ka	hello how are you doing
bulig	help
nakakabulig	helpful
tungod hini	hence
hiya	her
niya	her
kawan	herd
panon	herd
didi	here
dinhi	here
panurundon	heritage
nagruhaduha	hesitate
Hoy	Hey
Kumusta	Hi
kumusta ka	hi how are you
Kumusta kamo	Hi there
tinago	hidden
magtago	hide
hirarkiya	hierarchy
hitaas	high
pagpabug-at	highlight
sagka	hike
pagbaktas	hiking
makatatawa	hilarious
bungtod	hill
hiya	him
tigaman	hint
baliatang	hip
baliatang	hips
pagkuha	hire
pagsuhol	hiring
iya	his
kasaysayan	history
pag atake	hit
hilangkagan	hobby
pagpabilin	hold
tipigi	hold
kapti	hold
maghulat	hold on
buho	hole
bakasyon	holiday
lungag	hollow
panimalay	home
trabaho ha balay	homework
tangkod	honest
tangkod	honestly
Dugos	Honey
Arog	Honey
tahora	honor
nakatabon	hood
kaw-it	hook
lukso	hop
laomi	hope
paglaom	hope
ginlalaoman	hopefully
waray paglaom	hopeless
pabalabag	horizontal
sungay	horn
makaharadlok	horrible
makaharadlok	horror
kabayo	horse
ospital	hospital
pagkamaabiabihon	hospitality
imbitara	host
nag imbitar	host
pagkontra	hostile
mapaso	hot
oras	hour
oras	hours
balay	house
panimalay	household
paonan-o	how
kumusta ka man	how about you
kumusta ka	how are you
kumusta ka man	how are you doing
kumusta ka yana	how are you doing today
kumusta ka yana	how are you today
kumusta ka	how do you do
paonan-o	how is
pira	how many
pira	how much
mationon-o kaagsob	how often
pira na an imo edad	how old are you
pira na iton imo edad	how old are you
kumusta an imo adlaw	how was your day
kumusta an gab-i mo	how was your night
kondi	however
kon diri	however
sentro	hub
asawa	hubby
paghangkop	hug
hangkopi	hug
daku	huge
paligid	huge
tawo	human
mapainubsanon	humble
mapaso	humid
maalindanga	humid
maalindanga	humidity
usa ka gatos	hundred
gutom	hungry
panganop	hunt
pagturoy	hunt
bagyo	hurricane
pagdagmit	hurry
pagdagmit	hurry up
sinul-an	hurt
nasamad	hurt
asawa nga lalaki	husband
bana	husband
hinayhinay	hustle
paghinay	hustle
payag	hut
kalimpyo	hygiene
Ako	I
Hi ako	I am
ako	I am
Maupay ako	I am fine
Mahimo ko	I can
diri ako makakahimo	I can't
Oo nga	I do
Oo gad	I do
Diri ako maaram	I do not know
diri ako nakakaintindi	I do not understand
diri ako nasabot	I do not understand
diri ako	I don't
diri ako maaram	I don't know
Diri ko naiintindihan	I don't understand
Diri ko nasabot	I don't understand
diri ako nasabot han imo karuyg buot sidngon	I don't understand what you mean
diri ko niiintindihan an imo karuyag buot sidngon	I don't understand what you mean
diri ko kamo nasabot	I don't understand you
diri ako maaram	I don’t know
Diri ko maintindihan	I don’t understand
Waray ako makasabot	I don’t understand
siguro	i guess
Mayda ako	I had
ako mayda	I have
ako may	I have
Ako nagin	I have been
Naglalaom ako	I hope so
Maaram ako	I know
Aram ko	I know
karuyag ko	I like
karuyag ko ikaw	I like you
Ginhigugma ko	I love
Hinigugma ko	I love
Hinigugma ko an akon magurang nga lalaki	I love my big brother
Hinigugma ko an akon magurang nga babaye	I love my big sister
Hinigugma ko an akon tatay	I love my father
Hinigugma ko an akon amay	I love my father
Hinigugma ko an akon manghod nga lalaki	I love my little brother
Hinigugma ko an akon manghod nga babaye	I love my little sister
Hinigugma ko anakon nanay	I love my mother
Hinigugma ko an akon nanay	I love my mother
Hinigugma ko ikaw	I love you
Higugmaon ko ikaw	I love you
Hinigugma ko ikaw hin duro	I love you so much
Higugmaon ko ikaw hin duro	I love you so much
Higugmaon ko liwat ikaw	I love you too
Karuyag ko sidngon	I mean
Gimingaw ako ha imo	I miss you
Nahihidlaw ako ha imo	I miss you
gin mimingaw ako ha imo hin duro	I miss you so much
nahihidlaw ako ha imo hin duro	I miss you so much
kita ko	I see
Hunahuna ko	I think
Naghuhunahuna ako	I think
Naintindihan ko	I understand
Nasabtan ko	I understand
Karuyag ko	I want
Karuyag ko kitaon ka	I want to see you
Karuyag ko makita ka	I want to see you
karuyag ko ikaw	I want you
Ako an	I was
hihimuon ko	I will
Ako magigin	I would be
Ako hi	I'm
Ako	I'm
Maupay ako	I'm fine
Ayos la ako	I'm good
Maopay la ako	I'm good
Aadi ako	I'm here
Pasayloa ako	I'm sorry
yelo	ice
sorbetes	ice cream
ideya	idea
gimaopayi	ideal
pareho	identical
pagkilala	identify
pagkilala	identity
lurong	idiot
waray gamit	idle
kon	if
igbalewaray	ignore
masakit	ill
ilegal	illegal
sakit	illness
Ilokano	Ilocano
imahen	image
handurawa	imagine
kunta la	imagine
dayon	immediate
largo	immediately
dayon	immediately
daku gud	immense
damo gud	immense
i-epekto	impact
epekto	impact
waray pasensya	impatient
magpatuman	implement
angkat	import
angkata	import
importante	important
namimirit	impose
imposible	impossible
mapabilib	impress
impresyon	impression
urusahon	impressive
pag-upay	improve
pagpauswag	improve
pagpauswag	improvement
ha	in
dugang pa	in addition
ha pagkamatuod	In fact
ha atubangan han	in front of
para hiton	in order to
basi	in order to
diri angay	inappropriate
hinungdan	incentive
insidente	incident
nag uupod	include
lakip an	including
kita	income
kakurian	inconvenience
pagdugangi	increase
pagdugang	increase
nadugang	increased
urosahon	incredible
pinakamatuod	indeed
tinuod	indeed
oo gud	indeed
independente	independent
Indya	India
igpakita	indicate
nitibo	indigenous
indibiduwal	individual
industriya	industry
diri malilikyan	inevitable
minasus-an	infant
impeksyon	infection
waray kataposan	infinity
paghubag	inflammation
implasyon	inflation
impluwensyahi	influence
impluwensya	influence
pagpahibaro	inform
impormasyon	information
mga sangkap	ingredients
panurundon	inheritance
tinikangan	initial
pagtikang	initiative
nasamaran	injured
kadaot	injury
waray sala	innocent
inobasyon	innovation
pagpakiana	inquiry
lurong	insane
insekto	insect
waray kompyansa	insecure
ginlakip	insert
sulod	inside
pagsabot	insight
magpipirit	insist
diri paghingaturog	insomnia
inspirasyon	inspiration
giniyahan	inspire
iginbutang	install
pananglitan	instance
dayon	instant
lugod	instead
mintras nga	instead
imbes nga	instead of
mga instruksyon	instructions
instrumento	instrument
insulto	insult
seguro	insurance
bug-os	intact
integridad	integrity
kinaadman	intellectual
intelihensya	intelligence
intelihente	intelligent
gintuyo	intend
ginlarang	intended
duro gud	intense
tuyo	intention
pakig upod	interact
pakig upod	interaction
interes	interest
interesado	interested
makaruruyag	interesting
makapainteres	interesting
makakaulang	interfere
pagbutnga	intermediate
ha sulod la	internal
internasyonal	international
pagpraktis	internship
paghubad	interpret
naulang	interrupt
interbyu	interview
duok	intimate
in	into
igpahibaro	introduce
pagpakilala	introduction
awdonon	introvert
intuwisyon	intuition
waray pulos	invalid
inimbento	invent
imbentaryo	inventory
pagpuhunan	invest
pag usisa	investigate
imbitasyon	invitation
imbitar	invite
resibohi	invoice
resibo	invoice
pag upod	involve
nahiupod	involved
pirensa	iron
pirensaha	iron
nga	is
puro	island
nahibubulag	isolated
ig-isyu	issue
isyu	issue
mga isyu	issues
iton	it
amo ito	it is
amo ito	it was
ito	it's
ok la	it's ok
Ayos la	It's okay
Waray problema	It's okay
itom	item
mga butang	items
iya	its
Ako	I’m
prisohan	jail
Enero	January
botelya	jar
panga	jaw
may kasina	jealous
asno	jerk
alahas	jewelry
trabaho	job
dalagan	jogging
mag upod	join
kaluluthan	joint
pagdurugas	joke
peryodista	journalist
pagbiyahe	journey
kalipay	joy
paghukomi	judge
hukom	judge
duga	juice
hulyo	july
paglukso	jump
hunyo	june
basura	junk
gintagan hin hustisya	just
may ada hustisya	just
buhata ito	just do it
hustisya	justice
pagmatuod	justify
Kalaallisut	Kalaallisut
pursigido	keen
padayon	keep
tipigi	keep
itago	keep
padayon	keep it up
gintitipigan	kept
takuri	kettle
yawi	key
banyak	kick
laksi	kid
bata	kid
paglilinaksi	kidding
pagbibinuwa	kidding
bato	kidney
kabataan	kids
pagpatay	kill
hitaas nga klase	kind
klase	kind
medyo	kinda
mapinairon	kindly
pagkabuotan	kindness
hadi	king
harok	kiss
kusina	kitchen
manogbanog	kite
misay	kitten
tuhod	knee
nahibaro	knew
kutsilyo	knife
kabalyero	knight
maaram	know
kahibaro	knowledge
kilala	known
Konkani	Konkani
Krio	Krio
hingadni	label
pangarani	label
ngaran	label
pagtrabaho	labor
trabaho	labour
kakulang	lack
hagdanan	ladder
daraga	lady
babaye	lady
ginbutang	laid
danaw	lake
nati nga karnero	lamb
magluya	lame
lampara	lamp
landing	land
iglanding	land
lugar	landscape
yinaknan	language
ginsasabak	lap
daku	large
kataposan	last
urhi	last
katapusan pero diri minus nga importante	last but not least
urhi pero diri minus nga importante	last but not least
apelyido	last name
atrasado	late
bag-o pa	lately
sunod	later
unina	later
pinakabag-o	latest
urhi	latter
pagtawa	laugh
pagtinawa	laughing
pagtawa	laughter
paglunsad	launch
paglaba	laundry
balaod	law
libong	lawn
abogado	lawyer
pagbutang	lay
suon	layer
plano	layout
hubya	lazy
nangunguna	lead
nahiuuna	lead
lider	leader
dahon	leaf
pag agos	leak
mahina	lean
paglukso	leap
pag aram	learn
hibaro	learn
pagbaro	learning
pagpaplete	lease
pinakaminos	least
anit	leather
baya-i	leave
baya	leave
mga dahon	leaves
gindara	led
nabilin	left
wala	left
nahitura	left
tiil	leg
panurundon	legacy
ligal	legal
istoryahon	legend
sugilanon	legend
totoo	legit
pagpahuway	leisure
pahuram	lend
kahalabaan	length
kahirayo	length
mas gutiay	less
leksyon	lesson
pabay-i	let
surat	letter
letsugas	lettuce
sukol	level
pahimulos	leverage
utang	liability
obligasyon	liability
librarya	library
gindidilaan	lick
pagbuwa	lie
buwa	lie
mga buwa	lies
kinabuhi	life
alsa	lift
alsaha	lift
malamrag	light
palamraga	light
lamrag	light
kidlat	lightning
linti	lightning
pareho hin	like
sugad	like
posible	likely
sugad man	likewise
linya	line
Lingala	Lingala
koneksyon	link
leon	lion
likido	liquid
lista	list
pamati	listen
pagpamati	listening
literal nga	literally
literatura	literature
sasarang	litter
guri	little
gutiay	little
buhi-a	live
waray kinabuhi	live
atay	liver
kinabuhi	lives
buhi	living
sala	living room
tabili	lizard
karga	load
tinapay	loaf
pautang	loan
lokal	local
lugar	location
trangka	lock
pagtrangka	lockdown
kahoy	log
nag uusahan	lonely
hilawig	long
hilaba	long
maiha na nga waray kita magkita	long time no see
kitaa	look
kulawi	look
turotalinga	loop
ginbuhian	loose
buhii	loose
ginoo	lord
mawawara	lose
pagkawala	loss
nawawara	lost
lote	lot
marisyo	loud
maaringasa	loud
sala	lounge
higugmaa	love
higugmaon	love
gugma	love
hinigugma ko ikaw	love you
maupay	lovely
mahusay	lovely
ubos	low
hibubo	low
ubos	lower
maunungon	loyal
pagkamaunungon	loyalty
swerte	luck
swerte	lucky
Luganda	Luganda
bagahe	luggage
bukol	lump
paniudto	lunch
baga	lungs
marahalon	luxury
pagbuwa	lying
makina	machine
lurong	mad
ginhimo	made
magasin	magazine
urusahon	magnificent
daraga	maid
surugoon	maid
nanguna	main
pagtipig	maintain
pagtipig	maintenance
Maithili	Maithili
gin-una	major
una	major
kadam-an	majority
himo	make
paghimo	make
pag andam	make up
lalaki	male
pamalitan	mall
tawo	man
lalaki	man
pagdumara	manage
pagdumala	management
pagdumara	management
manedyer	manager
ngatanan	mandatory
obligado	mandatory
iginpakita	manifest
pagmaniobra	manipulate
paagi	manner
mano-mano	manual
damu	many
damo nga malipayon han pagbalik han adlaw	many many happy returns of the day
marso	march
ligid	margin
merkado	market
pag asawa	marriage
nag asawa	married
maskara	mask
misa	mass
masa	mass
pinakadaku	massive
eksperto	master
magtupong	match
tupungi	match
kasangkayan	mate
materyal	material
matematika	math
ibutang	matter
butang	matter
pagkahamtong	maturity
bangin	may
bangin dumatong	may
bangin	maybe
siguro	maybe
ako	me
ako daman	me too
ako man	me too
pagkaon	meal
pag isog	mean
maisog	mean
gin isogan	mean
kahulogan	meaning
nangangahulogan	means
paagi	means
karuyag sidngon	meant
samtang	meanwhile
paagi	measure
mga paagi	measures
karne	meat
medikal	medical
medisina	medicine
meditasyon	meditation
kasangkapan	medium
kitaa	meet
pagkita	meet
katirok	meeting
Meiteilon	Meiteilon
matunaw	melt
mga hinumdoman	memories
hinumdoman	memory
panhunahuna	mental
nagsiring	mention
maunabi	mention
iginsiring	mentioned
gin unabi	mentioned
magturutdo	mentor
negosyante	merchant
kalooy	mercy
basta	merely
malipayon nga pasko	merry christmas
kasamok	mess
mensahe	message
maras-ang	messy
paagi	method
mga yatot	mice
butnga	middle
katutnga	midnight
bangin	might
mahinay	mild
malumo	mild
panhitabo	milestone
militar	military
gatas	milk
milyon	million
hunahuna	mind
hunahunaa	mind
paghunahuna	mindset
akon	mine
Juan	mine
pag upod-upod	mingle
minuto	minute
minuto	minutes
milagro	miracle
espiho	mirror
iba-iba	miscellaneous
sutil	mischievous
kablas	miserable
makaluluoy	miserable
kasakitan	misery
nahidlaw	miss
babaye	miss
gimingaw ako ha imo	miss you
nahihidlaw ako ha imo	miss you
nahihidlaw	missing
nawawara	missing
misyon	mission
alisngaw	mist
sayop	mistake
Mizo	Mizo
makakagios	mobile
pagpakaalo	mock
modelo	model
igsadang	moderate
ginsadang	moderate
moderno	modern
mapainubsanon	modest
mahulos	moist
mahulos	moisture
pagmolde	mold
molde	mold
ila	mole
nanay	mom
panahon	moment
lunes	monday
kwarta	money
bantayan	monitor
amo	monkey
bulan	month
kabutangan	mood
kahimtang	mood
sumpungon	moody
bulan	moon
sige pa	more
dugang pa	more
dugang pa	moreover
aga	morning
pag prenda	mortgage
kadam-an	most
kadam-an	mostly
nanay	mother
pagkiwa	motion
pag aaghat	motivation
bukid	mountain
yatot	mouse
baba	mouth
pagbalhin	move
pagkiwa	movement
pelikula	movie
damu	much
lagay	mud
tasa	mug
kaunoran	muscle
museo	museum
ulaping	mushroom
musika	music
kinahanglana	must
kinahanglan	must
ngula	mute
kada tagsa	mutual
akon	my
An akon minatahom	My dear
An akon pinalangga	My dear
An akon hinigugma	My dear
akon sangkay	my friend
An akon hovercraft puno hin mga anke	My hovercraft is full of eels
hinigugma ko	my love
an akon ngaran amo	my name is
akon kalipayan	my pleasure
an akon kalipayan	my pleasure
ako mismo	myself
misteryoso	mysterious
misteryo	mystery
susmatanon	myth
kulo	nail
raysang	nail
uwat	naive
ngaran	name
asoy	narrative
haligot	narrow
maraot	nasty
makaaaringit	nasty
nasudnon	national
nasyonalidad	nationality
natawo	native
kinaiyahan	nature
paghingasuka	nausea
hirani	near
hirani	nearby
haros	nearly
limpyo	neat
kinahanglan	necessary
liog	neck
kwintas	necklace
kinahanglana	need
kinahanglan	need
negatibo	negative
pasibay-an	neglect
pakigsabot	negotiate
amyaw	neighbor
mag aramyaw	neighborhood
diri liwat	neither
umangkon	nephew
baltok	nerd
nagugupong	nervous
nahahadlok	nervous
salag	nest
pukot	net
sistema	network
niyutral	neutral
waray gud	never
ayaw gud umundang	never give up
ayaw kabaraka	never mind
ayaw kabaraka	nevermind
bisan pa hito	nevertheless
bag-o	new
sumat	news
sunod	next
sapit ha	next to
maupay	nice
kaupay	nice
nalipay ako hin pagkilala ha imo	nice to meet you
umangkon	niece
gab-i	night
inop	nightmare
siyam	nine
napulo kag siyam	nineteen
kasiyaman	ninety
Ayaw	No
Diri	No
waray problema	no problem
waray gud	no way
waray	nobody
aringasa	noise
kasaba	noise
maaringasa	noisy
waray	none
udto	noon
diri	nope
waray	nope
o	nor
norte	north
irong	nose
paghandom	nostalgic
diri	not
ayaw	not
diri gud	not at all
diri maraot	not bad
Diri yana	Not now
diri pa	not yet
nota	note
gin unabi	noted
wara	nothing
waray	nothing
pahibaro	notice
pasamwak	notice
hinkit-an	noticed
naobserbaran	noticed
ngaran	noun
nombre	nouns
nobela	novel
nobyembre	november
yana	now
yana	nowadays
yana nga mga adlaw	nowadays
nakakadisturbo	nuisance
diri	null
waray	null
pamanhod	numb
numero	number
nars	nurse
liso	nut
anis	nutmeg
nutrisyon	nutrition
panumpa	oath
pagkamatambok	obesity
pagsugot	obey
butang	object
katuyoan	objective
obligasyon	obligation
diri klaro	obscure
obserbasyon	observation
obserba	observe
pagpaniguro	obsessed
pagkahilig	obsession
kadaan	obsolete
mga ulang	obstacle
makuha	obtain
nakuha	obtained
dayag	obvious
waray duda	obviously
syempre	obviously
usahay	occasionally
trabaho	occupation
propesyon	occupation
gin okupar	occupied
nahinabo	occur
nahinabo	occurred
nahinabo	occurs
kalawdan	ocean
oktubre	october
diri magkapariho	odd
iba	odd
diri nagkakauyon	odds
ha	of
han	of
oo gad	of course
syempre	of course
ginpagawas	off
pag atake	offensive
ighatag	offer
hatag	offer
opisina	office
opisyal	official
agsob	often
Oy	Oh
o tinuod	oh really
lana	oil
sige	ok
sige arog	ok dear
sige arog	ok honey
ok hinigugma ko	ok my love
sige	okay
okay baying	okay baby
sige arog	okay dear
sige arog	okay honey
sige, hinigugma ko	okay my love
lagas	old
dumog	old
kadaanan	old
ha	on
hiton	on
makausa	once
usa	one
an usa nga yinaknan diri gud igo	one language is never enough
sibuyas	onion
ada ha linya	online
la	only
abre	open
operasyon	operation
opinyon	opinion
mga oportunidad	opportunities
waray sadang	opportunity
mayda sadang	opportunity
oportunidad	opportunity
kontra	opposite
positibo	optimistic
kapilian	option
opsyonal	optional
o	or
dalandan	orange
kahel	orange
order	order
ordera	order
ordinaryo	ordinary
organisasyon	organization
oryentasyon	orientation
gintikangan	origin
orihinal	original
Oromo	Oromo
ilo	orphan
iba	other
kon diri	otherwise
kinahanglan	ought
amon	our
aton	our
An amon misyon: para mahimo, bisan diin, makasabot han kalibotan ngan magpahayag han ira kalugaringon ha iba nga mga yinaknan.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
An amon misyon: pag-organisa han impormayon ha kalibotan ngan himoon ito nga komon ngan mapulsanon.	Our mission: to organize the world's information and make it universally accessible and useful.
gawas	out
resulta	outcome
panapton	outfit
makisangkayon	outgoing
guwaan	outlet
plano	outline
gawas	outside
diri pa natatapos	outstanding
susbaranan	outstanding
pugon	oven
labaw	over
igbaw	over
lampos	over
didto	over there
ngatanan	overall
bug-os	overall
ginlampos	overcome
sobra nga panhunahuna	overthinking
nabaraka	overwhelmed
nag antos	overwhelmed
makusog	overwhelming
may utang	owe
bukaw	owl
kalugaringon	own
kalugaringa	own
gin angkon	own
tag-iya	owner
baka	ox
paspas	pace
putos	pack
padara	package
ginbayad	paid
suol	pain
ul-ol	pain
pintura	paint
pintura	painting
padis	pair
duason	pale
palma	palm
karaha	pan
pandemya	pandemic
kalisang	panic
saruwal	pants
papel	paper
paraiso	paradise
katugbang	parallel
iginpadara	parcel
pagpasaylo	pardon
mga kag-anak	parents
parke	park
pikoy	parrot
perehil	parsley
parte	part
makigbahin	participate
partikular	particular
partikular	particularly
kaupod	partner
partido	party
paglabay	pass
paglabay	passage
pinasar	passed
makusog nga hingyap	passion
madasigon	passionate
pagkamahilom	passive
pasword	password
naglabay	past
igintangkop	patch
dalan	path
makangingirhat	pathetic
makalulooy	pathetic
pagpailob	patience
grabe nga pasyente	patient
pasyente	patient
maantuson	patient
susbaranan	pattern
maundang	pause
simentado	pavement
pagbayad	pay
pagbayad	payment
kamurayawan	peace
malinawon	peaceful
melokoton	peach
pungkay	peak
piras	pear
gisantes	peas
talagsaon	peculiar
ihi	pee
ihii	pee
pagbakbak	peel
kaapi	peer
kaupod	peers
pansurat	pen
lapis	pencil
naghuhulat	pending
mga tawo	people
paminta	pepper
pagsabot	perceive
panhunahuna	perception
hingpit	perfect
magbuhat	perform
pagtuman	performance
nagbubuhat	performance
bangin	perhaps
bangin la	perhaps
peryodo	period
panahon	period
permanente	permanent
permiso	permission
permiso	permit
pagbailob	perseverance
nagpapadayon	persistent
tawo	person
personalidad	personality
panan-aw	perspective
panlantaw	perspective
pag aghat	persuade
bastos	pervert
ginlulubag	pervert
manyak	pervert
hayop	pet
bahin	phase
panhitabo	phenomenon
pilosopiya	philosophy
telepono	phone
litrato	photo
pulong	phrase
pisikal	physical
purot	pick
puruta	pick up
litrato	picture
hulagway	picture
ladawan	picture
pidaso	piece
piraso	piece
mga piraso	pieces
baktin	pig
sarapati	pigeon
tambak	pile
ulonan	pillow
piloto	pilot
pinya	pineapple
rosas	pink
luong	pit
paglabog	pitch
paglugaring	pitch
paglabay	pitch
kalooy	pity
ilugar	place
lugar	place
mga lugar	places
peste	plague
simple	plain
patag	plain
plano	plan
eroplano	plane
sapyo	plane
patag	plane
tanom	plant
mga tanom	plants
plato	plate
plataporma	platform
uyag	play
pag uyag	play
mag uyag	playing
malipayon	pleasant
nakakalipay	pleasant
makalilipay	pleasant
gin alayonan	please
alayoni	please
nailipay	pleased
kalipay	pleasure
garantiya	pledge
damu	plenty
mga lugar	plot
plano	plot
pasak	plug
sirwelas	plum
tubero	plumber
kadamo	plural
siday	poem
siday	poetry
punto	point
hilo	poison
pulis	police
balaud	policy
matinalahuron	polite
polusyon	pollution
danaw	pond
danaw	pool
tae	poop
pobre	poor
tigda	pop
ulpot	pop
populasyon	population
karne han baboy	pork
lugaw	porridge
duruongan	port
posisyon	position
positibo	positive
may ada	possess
pagtag-iya	possession
panag-iya	possessive
posible	possible
poste	post
iposte	post
pag atras	postpone
patatas	potato
potensyal	potential
tutudturon	pound
kakablas	poverty
pobre	poverty
gahum	power
gamhanan	powerful
praktikal	practical
praktisa	practice
praktis	practice
pagdayaw	praise
kalokohan	prank
pag ampo	pray
mahal	precious
importante	precious
husto	precise
husto	precisely
pagtagna	predict
ginpili	prefer
mas karuyag	preference
burod	pregnant
pagpasulabi	prejudice
lugar	premises
premyom	premium
pag andam	preparation
pag andam	prepare
gin andam	prepared
preposisyon	preposition
presensya	presence
pamasko	present
pasko	present
regalo	present
presentasyon	presentation
pagtipig	preserve
presidente	president
pinduta	press
