халта	a little
шудалха	explore
эльгээхэ	export
гаргажа табиха	expose
нээгэтэй	exposed
холбоо бариһан	exposure
хэлэгдэхэ	express
харуулалга	expression
һунааха	extend
үргэжэлэгдэһэн	extended
үргэдхэлгэ	extension
шата	extent
зэрэг	extent
гадаада	external
үгы болоһон	extinct
тусгаар	extra
гаргаха	extract
нормоһоо хазайлга	extraordinary
адаг	extreme
угаа	extremely
тон	extremely
нюдэн	eye
нюдэн	eyes
бүд	fabric
гайхалтай	fabulous
нюур	face
туһа хүргэхэ	facilitate
таатай байлга	facilities
арга	facility
объект	facility
баримта	fact
нүхэсэл	factor
фабрика	factory
үйлэдбэри	factory
баримтанууд	facts
бүдэхирхэ	fade
золгүй ябадал	fail
болоогүй	failed
арсалта	failure
һула	faint
зүйтэй	fair
маша	fairly
эльбэ шэдитэ	fairy
этигэл	faith
үнэн шударгуу	faithful
худал	fake
намар	fall
унаха	fall
худал	FALSE
алдар	fame
танил	familiar
мэдээжэ	familiar
гэр бүлэ	family
үлэсхэлэн	famine
гаридалга	famine
алдартай	famous
һайшаагша	fan
һэбюур	fan
гоё гоо	fancy
юрэ буса	fantastic
гайхамаар	fantastic
холо	far
хахасалга	farewell
фермэ	farm
фермер	farmer
ирагуу һайхан	fascinating
мода	fashion
хурдан	fast
тарган	fat
заяагаараа	fatal
заяа	fate
эсэгэ	father
эсэбэри	fatigue
зэмэ	fault
гэм	fault
тон дуратай	favorite
дуратай	favour
тон дуратай	favourite
айдаһан	fear
баяр	feast
үдэн	feather
онсо зүйл	feature
түхэл	features
хоёрдохи һара	february
ойгоо гутаһан	fed up
түлбэри	fee
эдеэлүүлхэ	feed
һайшаал	feedback
мэдэрхэ	feel
мэдрэмжэ	feeling
хүл	feet
унаһан	fell
хүбүүн	fellow
залуу	fellow
мэдэрһэн	felt
эмэ	female
хашаа	fence
хорёо	fence
үрэжэлтэй	fertile
һайндэр	festival
асарха	fetch
халуурха	fever
хэдхэн	few
халуун	fewer
хадамда ошохо болоһон	fiance
һанаанһаа абаһан юумэн	fiction
оршом	field
поли	field
ехэ сухалтай	fierce
арбан табан	fifteen
табин	fifty
байлдаан	fight
зодолдоон	fighting
наншалдаан	fighting
түлэб	figure
ойлгожо абаха	figure out
файл	file
дүүргэхэ	fill
дүүргэһэн	filled
кино	film
муухай	filthy
һүүлэй һүүлдэ	finally
мүнгэн һан	finance
мүнгэн һангай	financial
олохо	find
олохо	find out
эрхим һайн	fine
хурган	finger
дуһаха	finish
дууһаһан	finished
дүүргэһэн	finished
гал	fire
хатуу	firm
түрүүшын	first
нэрэ	first name
загаһан	fish
тааралдаха	fit
табан	five
заһаха	fix
заһаһан	fixed
туг	flag
дүрд гээд носолго	flash
хабтагар	flat
дутуу	flaw
тон сэбэр	flawless
зугадаха	flee
бэе махабод	flesh
ниидэһэн	flew
нугархай	flex
нугархай	flexible
уян	flexible
ниидээн	flight
урбуулха	flip
hээтгэнэлгэ	flirt
hээтгэнэх	flirting
тамарха	float
үер	flood
шала	floor
талхан	flour
урадхал	flow
сэсэг	flower
хамшаг	flu
тордиһогүй	fluent
сүлөөтэй	fluently
барбагар	fluffy
шингэн	fluid
ниидэхэ	fly
фокус	focus
манан	fog
манантай	foggy
эбхэхэ	fold
түрэлхид	folks
дахаха	follow
дахаха	follow up
дахадаһан	following
эдеэн	food
эрьюу хүн	fool
тэнэгшэг	foolish
хүл	foot
хүл бүмбэгэ	football
түлөө	for
Жэшээлбэл	For example
жэшээ болгоо һаа	for instance
танда	for you
шамда	for you
хорюултай	forbidden
хүсэ	force
прогноз	forecast
духа	forehead
хари	foreign
ой	forest
хододоо	forever
мартаха	forget
хүлисэхэ	forgive
мартаһан	forgot
һэрээ	fork
хэб	form
хуулиин гуримай	formal
хуушанхи	former
азаар	fortunately
аза	fortune
дүшэн	forty
дүшэн хоёр	forty-two
урагшаа	forward
ургуулха	foster
тулалдаһан	fought
олдоһон	found
сан	foundation
дүрбэн	four
арбан дүрбэн	fourteen
үнэгэн	fox
хэбрэг	fragile
хүреэ	frame
хажа	framework
луйбардалга	fraud
тэншүү	freak
сүлөөтэй	free
эрхэ сүлөө	freedom
хүлдэхэ	freeze
түргэн удаанай хэмжээн	frequency
частота	frequency
ходо	frequent
ходо	frequently
шэнэ	fresh
табадахи үдэр	friday
хүргэгшэ	fridge
нүхэр	friend
хани хандалгатай	friendly
нүхэд	friends
нүхэрлэл	friendship
айһан	frightened
һүгэдөөхэ	frightening
айлгаха	frightening
баха	frog
ханаһаа	from
урдахи	front
хүлдэһэн	frozen
жэмэс	fruit
уруу дуруу	frustrated
түлишэ	fuel
Фулфулдэ	Fulfulde
дүүрэн	full
зугаа	fun
ябуулга	function
һууриин	fundamental
хүдөөлхэ	funeral
энеэдтэй	funny
арһан	fur
ехэ сухалтай	furious
гэр соохи бараан	furniture
саашаа	further
саашань	furthermore
ерээдүй	future
оложоролго	gain
наадан	game
забһар	gap
гараж	garage
бог шорой	garbage
сэсэрлэг	garden
гоогол	garlic
хаалга	gate
сугларха	gather
сугларха	gathering
хэмжэхэ	gauge
үгөөб	gave
оньһон	gear
хүйс	gender
юрэнхы	general
юрэдөө	generally
бүтээхэ	generate
үе	generation
бардам гартай	generous
сэсэ мэргэн ухаан	genius
түхэл хэлбэри	genre
жанр	genre
энхэргэн	gentle
бодото	genuine
зангалга	gesture
абаха	get
хубсалха	get dressed
бодохо	get up
хурдан һайн болоорой	get well soon
абадаг	getting
үзэгдэл	ghost
хии	ghost
hүнhэн	ghosting
асари томо	giant
бэлэг	gift
улаан шара	ginger
сагаан гаа	ginger
басаган	girl
нүхэр басаган	girlfriend
үгэхэ	give
дүрөө үгэхэ	give up
баригдаха	give up
үгэгдэһэн	given
баяртай	glad
хараса	glance
шэл	glass
шэл	glasses
шэртэхэ	glimpse
дэлхэйн	global
харалган	gloomy
барагар	gloomy
бэлэй	gloves
яларха	glow
толорхо	glow
гэрэлтүүлхэ	glow
яларха	glow up
сабуу	glue
ябаха	go
сашаа ябаха	go ahead
урагшаа ябаха	go ahead
яба саашань	go away
орондоо ор	go to bed
зорилго	goal
зорилго	goals
ямаан	goat
бурхан	god
бурхан адислаг	god bless you
ябадаг	goes
ябаһан	going
ошохоо байна	going to
алтан	gold
үгы болоһон	gone
тиихээ байнаб	gonna
уярһан	goo
һайн	good
үдэрэй амар мэндэ	good afternoon
баяртай	good bye
һайн үдэр	good day
үдэшын амар мэндэ	good evening
һайн ажал	good job
һайн харагдадаг	good looking
амжалта хүсэнэб	good luck
үглөөнэй амар мэндэ	good morning
үглөөнэй амар мэндэ инагни	good morning my love
һайн амараарай	good night
дахин уулзатараа баяртай	goodbye
һайн амараарай	goodnight
бараа	goods
Гүгл	Google
Гүгл Оршуулагша	Google Translate
галуун	goose
жабхаланта	gorgeous
хоб	gossip
абаһан	got
ойлгооб	got it
абааб	got it
засаг	government
шүүрэхэ	grab
сэгнэлгэ	grade
бага багаар	gradually
дүүргэхэ	graduate
орооһон	grain
грант	grant
үгэһэн	granted
уһан үзэм	grapes
ойлгохо	grasp
ногоон	grass
аша үрэтэй	grateful
баяр баясхалан	gratitude
булаша	grave
боро	gray
агууехэ	great
ехэ	great
харуу зан	greed
харуу	greedy
ногоон	green
мэндэшэлхэ	greet
мэндэшэлгэ	greeting
мэндэшэлгэ	greetings
боро	grey
хүсэнэг	grid
гашуудал	grief
тээрмэдэхэ	grind
шүүрэн абаха	grip
бакалей	grocery
хүрьгэн хүбүүн	groom
дүн	gross
газар	ground
бүлэг	group
ургаха	grow
ургаса	growth
сухалтайшаг	grumpy
Гуарани	Guarani
найдабари	guarantee
гаранти	guarantee
харуул	guard
хамгаалагша	guard
тааха	guess
айлшан	guest
хүтэлбэрилгэ	guidance
газаршалагша	guide
зэмэтэй	guilty
хүбүүн	guy
залуушуул	guys
бэеэ һорихо газар	gym
дадал	habit
оршон тойрон байдал	habitat
бии байһан	had
мүндэр	hail
үһэн	hair
хахад	half
томо таһалга	hall
гар	hand
барюул	handle
бэеэ бариха	handle
дура татасатай	handsome
үлгэхэ	hang
зайха	hang out
болохо	happen
болоһон	happened
жаргал	happiness
жаргалтай	happy
түрэһэн үдэрэй амар мэндэ хүргэнэб	happy birthday
түрэһэн үдэрэй амар мэндэ хүргэнэб	happy birthday to you
шэнэ жэлэй амар мэндэ	happy new year
хатуу	hard
хатуугаар	hardly
бараг хэзээшье бэшэ	hardly ever
гай	harm
хорото	harmful
тааралдал	harmony
хатуу	harsh
ургаса	harvest
үзэн ядаха	hate
байха	have
үдэрөө һайн үнгэрүүлөөрэй	have a good day
үдэрөө һайн үнгэрүүлэрэй	have a nice day
үглөөнэй сай бариха	have breakfast
зугаалаарай	have fun
эдеэлээ гүш	have you eaten
эдеэлээ гүт	have you eaten
аюул	hazard
манан	haze
тэрэ	he
тэрэндэ байна	he has
тэрэ бол	he is
толгой	head
толгойн үбэшэн	headache
аргалха	heal
эдэгэхэ	healing
элүүр мэндэ	health
элүүр	healthy
дуулаха	hear
дуулаһан	heard
зүрхэн	heart
бүгшэм халуун	heat
диваажан	heaven
хүндэ	heavy
хүл табидаг	hectic
үймэдэг	hectic
үндэр	height
уг залгамжалагша	heir
тонолго	heist
дээрмэдэлгэ	heist
бариһан	held
тама	hell
Сайн байна	Hello
Мэндээ	Hello
Һайн байна гүт	Hello
һайн гүш хонгорни	hello dear
һайн ямар байнат	hello how are you
мэндээ ямар байнаш	hello how are you
мэндээ хэр байнат	hello how are you doing
мэндээ хэр байнаш	hello how are you doing
шлем	helmet
туһалха	help
туһатай	helpful
иимэһээ	hence
тэрэнэй	her
һүрэг	herd
эндэ	here
угай зөөри	heritage
һэжэглэхэ	hesitate
Һээй	Hey
Сайн	Hi
һайн ямар байнаш	hi how are you
Сайн	Hi there
нюугдаһан	hidden
нюуса	hidden
нюуха	hide
зэргэ дамжаһан	hierarchy
үндэр	high
илгаха	highlight
хада уулаар ябаха	hike
хада уулаар ябаха	hiking
энеэдтэй	hilarious
добо	hill
тэрээндэ	him
хэлэжэ үгэлгэ	hint
гуя	hip
ташаан	hips
хүлһэлхэ	hire
ажалда абаха	hiring
тэрэнэй	his
түүхэ	history
мүргэхэ	hit
Ммм	Hmm
һонирхол	hobby
бариха	hold
байжа бай	hold on
нүхэн	hole
амралтын үдэр	holiday
хооһон	hollow
гэр	home
гэрэй ажал	homework
үнэн сэхэ	honest
сэхээр	honestly
Бал	Honey
нэрэ хүндэ	honor
юудэн	hood
дэгээ	hook
һүрэхэ	hop
найдал	hope
найдалтай	hopefully
найдалгүй	hopeless
горизонталь	horizontal
зэргэ шугам	horizontal
эбэрэлгэ	horn
тон муухай	horrible
аймшаг	horror
морин	horse
эмнэлгэ	hospital
хүндэмүүшэ ябадал	hospitality
эзэн	host
дайсанай	hostile
халуун	hot
айлшадай буудал	hotel
саг	hour
саг	hours
гэр	house
айл	household
яажа	how
харин ши ямарбши	how about you
хэр байнабта	how are you
хэр байнаш	how are you
ямар байнаш	how are you doing
ямар байнабта	how are you doing
мүнөөдэр ямар байнаш	how are you doing today
мүнөөдэр ямар байнат	how are you today
мүнөөдэр ямар байнаш	how are you today
ямар байнаш	how do you do
ямар байнат	how do you do
ямар байнаб	how is
хэдэн	how many
хэдытэй бэ	how much
хэды дахин	how often
ши хэдытэйбши	how old are you
танай үдэр ямар байгааб	how was your day
шинии үдэр ямар байгааб	how was your day
шинии һүни хэр үнгэрөөб	how was your night
гэбэшье	however
түб	hub
үбгэн	hubby
тэбэрилтэ	hug
асари томо	huge
хүн	human
даруу зантай	humble
шиигтэй	humid
шииг	humidity
зуун	hundred
үлэн	hungry
агнаха	hunt
шанга һалхин	hurricane
яараха	hurry
түргэлэ	hurry up
яара	hurry up
гэмтэхэ	hurt
үбгэн	husband
хөөрсэгэнөөн	hustle
малгай	hut
арюун сэбэрые сахиха ябадал	hygiene
Би	I
Би бол	I am
би барагби	I am fine
би шадахаб	I can
би шадахагүйб	I can't
тиинэб	I do
би мэдэнэгүйб	I do not know
Би ойлгоногүйб	I do not understand
би тиихэгүйб	I don't
Би мэдэнэгүйб	I don't know
Би ойлгоногүйб	I don't understand
Хэлэһэнииешни ойлгоногүйб	I don't understand what you mean
Би таниие ойлгоногүйб	I don't understand you
Би шамайе ойлгоногүйб	I don't understand you
би мэдэнэгүйб	I don’t know
Би ойлгоногүйб	I don’t understand
минии тухайлхада	i guess
Намда байһан	I had
намда байна	I have
Би байгааб	I have been
Би найданаб	I hope so
Мэдэнэб	I know
би дуратайб	I like
танда дура татанаб	I like you
шамда дура татанаб	I like you
Би дуратай	I love
Би ахайдаа дуратайб	I love my big brother
Би эгэшэдээ дуратайб	I love my big sister
Би абгайдаа дуратайб	I love my big sister
Би абадаа дуратайб	I love my father
Би дүүдээ дуратайб	I love my little brother
Би дүүдээ дуратайб	I love my little sister
Би эжыдээ дуратайб	I love my mother
Би шамда дуратайб	I love you
Би танда дуратайб	I love you
шамда тон ехэ дуратайб	I love you so much
Би баһа танда дуратайб	I love you too
Би баһа шамда дуратайб	I love you too
би иигэжэ хэлэхэ һанаатайб	I mean
шамайгаа һананаб	I miss you
Би шамайгаа тон ехэ һанажа байнаб	I miss you so much
би харанаб	I see
би ойлгоноб	I see
минии бодолоор	I think
ойлгоноб	I understand
би хүсэнэб	I want
би һананаб	I want
Таниие харахаа һананаб	I want to see you
Шамайе харахаа һананаб	I want to see you
би таниие хүсэжэ байнаб	I want you
би шамайе хүсэжэ байнаб	I want you
би байгааб	I was
би байхаһамби	I would be
би бол	I'm
би бол эрхим һайн байнаб	I'm fine
би һайнби	I'm good
би эндэб	I'm here
хүлисөөрэй намай	I'm sorry
мүльһэн	ice
зайрмаг	ice cream
һанал	idea
эрхим һайн	ideal
адлихан	identical
танилга хэхэ	identify
адли байлга	identity
уймар хүн	idiot
үбшэнтэй хүн	idiot
ажалгүй	idle
тоохогүй	ignore
үбшэлһэн	ill
хууляар хоригдоһон	illegal
үбэшэн	illness
Ииокано	Ilocano
зураг	image
тухайлха	imagine
хүрэһөөр	immediate
тэрэ доронь	immediately
ехэ томо	immense
нүлөө	impact
тэсэнгүйгөөр	impatient
бэелүүлэхэ	implement
импорт	import
шухала	important
һүлжэхэ	impose
уяха	impose
аргагүй	impossible
болошогүй	impossible
мэдэрүүлхэ	impress
хадуужа абаһан юумэн	impression
хадууса	impressive
дээшэлүүлхэ	improve
һайжаруулга	improvement
зосоонь	in
нэмэреэр	in addition
Нээрһээ	In fact
урда тээнь	in front of
аягүй	inappropriate
урмашуулга	incentive
уршаг	incident
оруулсаха	include
оруулсаһан	including
оролго	income
оросо	income
таагүй байдал	inconvenience
дэшэлүүлхэ	increase
дээшэлһэн	increased
этигэжэ болошогүй	incredible
үнэхөөрөө	indeed
бэеэ даанги	independent
Энэдхэг	India
заагдаха	indicate
үндэһэн	indigenous
тусхайта нюурай	individual
ажаүйлэдбэри	industry
зайлашагүй	inevitable
үхибүүн	infant
халдадаг үбэшэн	infection
эхи захагүй саг	infinity
хабдар	inflammation
инфляци	inflation
нүлөөлэлгэ	influence
мэдүүлхэ	inform
мэдээсэл	information
оросо	ingredients
угһаа абтаһан шэнжэ	inheritance
эхинэй	initial
үүсхэл	initiative
шархатаһан	injured
шарха	injury
гэмгүй	innocent
шэнэлэлгэ	innovation
шалгажа үзэхэ	inquiry
галзуурһан	insane
хорхой шумуул	insect
найдабаригүй	insecure
оруулха	insert
дотор	inside
хурса ухаан	insight
болгожо һалаха	insist
нойргүйдэл	insomnia
урмашал	inspiration
зоригжуулха	inspire
байгуулха	install
жэшээ	instance
агшан зуурын	instant
орондо	instead
орондонь	instead of
заабари	instructions
зэбсэг	instrument
баһаха	insult
мүнхэлэлгэ	insurance
носогдоогүй	intact
үнэн сэхэ байдал	integrity
ухаанай	intellectual
оюун ухаан	intelligence
һургаалтай	intelligent
һанаха	intend
зорихо	intended
һанаатай	intended
эршэмтэй	intense
һанаа хүсэл	intention
харилсаха	interact
харилсаата ябуулганууд	interaction
һонирхол	interest
һонирхоһон	interested
һонирхолтой	interesting
хамааралсаха	interfere
дунда	intermediate
доторой	internal
уласхоорондын	international
стаж гаралга	internship
удхынь элирүүлхэ	interpret
оршуулагша	interpreter
таһалдуулха	interrupt
хөөрэлдөөн	interview
дотор	intimate
инагай	intimate
уруу	into
танилсуулха	introduce
орошол	introduction
эшэһэн зантай хүн	introvert
зүгнэлгэн	intuition
буруу	invalid
зохёохо	invent
эд хогшол	inventory
мүнгэ һомололго	invest
шалгажа үзэхэ	investigate
урилга	invitation
уриха	invite
тоосоо	invoice
элсүүлхэ	involve
элсүүлһэн	involved
түмэр	iron
ольторог	island
арал	island
амяараа	isolated
тусгаар	isolated
асуудал	issue
асуудалнууд	issues
энэ	it
энэ бол	it is
энэ байһан	it was
энээнэй	it's
тэрэтнай бараг	it's ok
Энэ хадаа бараг	It's okay
зүйл	item
зүйлнүүд	items
энэ	its
би бол	I’m
дулаан самса	jacket
түрмэ	jail
Арбан хоёрдохи һара	January
шэл һаба	jar
үргэн	jaw
атаархамаар	jealous
эрьюушэг хүн	jerk
үнэтэй сэнтэй зүйл	jewelry
эрдэниин шулуун	jewelry
ажал	job
гүйлтэ	jogging
ниилэхэ	join
бүлхин	joint
шурбэһэн	joint
наадажа хэлэхэ	joke
һэдхүүлшэн	journalist
аяншалга	journey
баяр	joy
шүүхэ	judge
шүүһэн	juice
долоодохи һара	july
һүрэхэ	jump
зургаадахи һара	june
нобшо	junk
миин	just
миин хэ	just do it
үнэн зүб юумэн	justice
сагааруулагдаха	justify
Калааллисут	Kalaallisut
шуналтай	keen
үлөөхэ	keep
саашань ябуулагты	keep it up
абагдаһан	kept
уһа бусалагша	kettle
түлхүүр	key
үдьхэлгэ	kick
хүүгэд	kid
наадалха	kidding
бөөрэ	kidney
үхибүүд	kids
алаха	kill
энхэргэн	kind
шэнги	kinda
инагаар	kindly
һайн сэдьхэл	kindness
хаан	king
таалалга	kiss
эдеэнэй таһалга	kitchen
агаарай дэгдүүхэй	kite
миисгэйн зулзага	kitten
үбдэг	knee
мэдэһэн	knew
хутага	knife
баатар	knight
мэдэхэ	know
эрдэм	knowledge
мэдээжэ	known
Конкани	Konkani
Крио	Krio
ярлаг	label
ажал	labor
хүдэлмэри	labour
дуталга	lack
гэшхүүр	ladder
хатан	lady
хэбтэһэн	laid
нуур	lake
хурьган	lamb
дохолон	lame
лаампа	lamp
газар	land
байгаали	landscape
тала дайда	landscape
хэлэн	language
үбдэг	lap
ехэ	large
һүүлшын	last
hүүлшын тиихэдэ шухала	last but not least
обог	last name
орой	late
һаядаа	lately
хожом	later
һүүлшын	latest
хожом	latter
энеэхэ	laugh
энеэһэн	laughing
энеэдэн	laughter
хүдэлгэхэ	launch
угаалга	laundry
хуули	law
соорхой	lawn
үмөөрэгшэ	lawyer
табиха	lay
дабхар	layer
макет	layout
залхуу	lazy
хүтэлхэ	lead
түрүүлэн ябагшань	leader
набшаһан	leaf
гоожолго	leak
түшэхэ	lean
дэбхэрхэ	leap
шудалха	learn
һургалта	learning
хүлhөөр абаха	lease
тон бага	least
үдэн	leather
гаража ошохо	leave
ошохо	leave
набшаһанууд	leaves
асарһан	led
зүүн	left
хүл	leg
угай баялиг	legacy
хуулита	legal
домог	legend
хуулиин	legit
заб саг	leisure
урьһалха	lend
ута богони хэмжүүр	length
бага	less
хэшээл	lesson
зүбшөөхэ	let
захидал	letter
шанцай	lettuce
шата	level
ашаглаха	leverage
харюусалгатай байлга	liability
номой һан	library
долёохо	lick
худалаар хэлэхэ	lie
худал	lies
амидрал	life
үргэхэ	lift
гэрэл	light
хүнгэн	light
сахилгаан	lightning
дуратай	like
байжа боломоор	likely
баһа	likewise
мүн	likewise
зурлаа	line
шугам	line
Лингала	Lingala
холбоон	link
арсалан	lion
шингэн	liquid
хуудаһан	list
шагнаха	listen
шагналга	listening
үгэ үгөөр	literally
уран зохёол	literature
бог шорой дүүргэхэ	litter
бог шорой	litter
бага	little
залуу	little
амидарха	live
эльгэн	liver
амидарал	lives
ажа-амидарал	living
айлшадай таһалга	living room
гүрбэл	lizard
ашалга	load
халбаашха	loaf
урьһаламжа	loan
нютагай	local
эндэхи	local
байрлаһан газар	location
хааха	lock
тусгаарлалта	lockdown
монсогор модон	log
түгэсэг	log
энеэдэн зугаа	lol
гансардаһан	lonely
удаан	long
удаан уулзаагүй	long time no see
үзэхэ	look
хараха	look
зангилаа	loop
уужам	loose
ноён	lord
эзэн	lord
гээхэ	lose
алдагдал	loss
төөригдэһэн	lost
олон	lot
шанга	loud
амардаг газар	lounge
дуран	love
дуратайб шамдаа	love you
илдам	lovely
доро	low
дооро	lower
бэеэ үгэнги	loyal
бэеэ үгэнги ябадал	loyalty
аза	luck
азтай	lucky
Луганда	Luganda
ашаа	luggage
хуби	lump
хэсэг	lump
үдын хоол	lunch
уушхан	lungs
тун баян	luxury
худалаар хэлэгшэ	lying
машина	machine
тэнэһэн	mad
бүһэгүй	madam
хэгдэһэн	made
һэдхүүл	magazine
жабхаланта	magnificent
барлаг	maid
голын	main
дүнгэхэ	maintain
хангалга	maintenance
Майтһили	Maithili
гол шухала	major
ехэнхи	majority
хэхэ	make
нюур будалта	make up
эрэ	male
ехэ дэлгүүр	mall
хүн	man
дүүргэжэ гараха	manage
үндэр аша үрэ туйлаха зорилготой ажал	management
албан захирагша	manager
заатагүй	mandatory
манифест	manifest
мэхэ гохо гаргаха	manipulate
маяг	manner
аяг	manner
гарын	manual
хэды	many
олон олон жаргалтай бусаалтанууд үдэрэй	many many happy returns of the day
алхалалдаан	march
орохо эрхэ	margin
базаар	market
рынок	market
дэлгүүр	market
айл болохо	marriage
гэрлэлгэ	marriage
гэрлэһэн	married
баг	mask
масса	mass
асари ехэ	massive
дархан	master
мастер	master
тааруу байха	match
хани	mate
хэрэглэгдэхэ зүйл	material
тоо бодолго	math
удхатай	matter
бэеэ гүйсэлгэ	maturity
магад	may
магадгүй	maybe
намда	me
би баһа	me too
эдеэн	meal
түхэлхэ	mean
удха	meaning
удхатай	means
удхатай	meant
тиихэ үедэ	meanwhile
хэмжэхэ	measure
хэмжээ	measures
мяхан	meat
эмшын	medical
эм	medicine
бясалгал	meditation
дундахи	medium
уулзаха	meet
уулзалга	meeting
Мейтейлон	Meiteilon
хайлаха	melt
дурдалга	memories
дурасхал	memories
һанаан	memory
мэдээн	memory
дурасхал	memory
сэдьхэлэй	mental
тэмдэглэхэ	mention
дурдаха	mentioned
багша	mentor
наймашан	merchant
нигүүлэсхэл	mercy
миин	merely
эмхигүй байлга	mess
бэшэг	message
һалан	messy
түмэр	metal
онол арга	method
хулгана	mice
дунда	middle
һүниин тэн	midnight
магадгүй	might
зөөлэн	mild
шата	milestone
сэрэгэй	military
һүн	milk
сая	million
ухаан	mind
ухаан бодолго	mindset
минии	mine
холигдохо	mingle
баахан	minor
минута	minute
минутанууд	minutes
гайхамшагта зүйл	miracle
толи	mirror
элдэбын	miscellaneous
зугаатай	mischievous
ядуу	miserable
зоболон	misery
һанаха	miss
һананаб шамайгаа	miss you
дутаһан	missing
манан	mist
алдуу	mistake
Мизо	Mizo
мобайл	mobile
баһаха	mock
маяг	model
модель	model
хэб	model
дундуур	moderate
мүнөөнэй	modern
даруу	modest
зоной алдаар	modest
шииг	moist
шииг	moisture
бури	mold
мана һохор	mole
эжы	mom
агшан	moment
нэгэдэхи үдэр	monday
мүнгэн	money
дэлгэсэ	monitor
һармагшан	monkey
бишэн	monkey
һара	month
сэдьхэл	mood
эрхэ	moody
һара	moon
арюун ябадалтай	moral
үшөө	more
улам	moreover
үглөө	morning
толи барисаанай зээли	mortgage
ехэнхи	most
ехэнхидээ	mostly
эхэ	mother
хүдэлөөн	motion
шалтагаантай	motivation
хада уула	mountain
хулгана	mouse
аман	mouth
хүдэлхэ	move
хүдэлгөөн	movement
кино	movie
хадамтай һамган	mrs
олон	much
шабар	mud
аяга	mug
мяха шүрбэһэн	muscle
музей	museum
һархяаг	mushroom
хүгжэм	music
ёһотой	must
дуугай	mute
абяа шэмээгүй	mute
хэлэгүй	mute
хамтын	mutual
минии	my
Минии хонгор	My dear
минии нүхэр	my friend
минии онгосо могой загаhаар дүүрэн	My hovercraft is full of eels
минии дуран	my love
минии нэрэ хадаа	my name is
өөрыгөө	myself
эди шэдиин	mysterious
нюуса	mystery
домог	myth
хюмһан	nail
гэнэн	naive
нэрэ	name
хөөрөөн	narrative
уйтан	narrow
харша	nasty
үндэһэн	national
үндэһэ яһан	nationality
түрэл	native
ёһото	natural
бодото	natural
байгаалиин	natural
байгаали	nature
ойгоо гуталга	nausea
бөөлжэһөө хүрэлгэ	nausea
хажууда	near
хажууда	nearby
дэргэдэ	nearly
шадар	nearly
нягта	neat
хэрэгтэй	necessary
хүзүүн	neck
зүүлтэ	necklace
хэрэгтэй	need
арсаһан	negative
хайхархагүй	neglect
хэлсэхэ	negotiate
хүршэ	neighbor
хүршэ айлууд	neighborhood
хэншье	neither
аша хүбүүн	nephew
номшо хүн	nerd
түргэн сухалтай	nervous
уургай	nest
мүнгэ зөөри	net
сүлжээ	network
сеть	network
хабаадалсаагүй	neutral
һаармаг	neutral
хэзээшье	never
хэзээшье бү диилдэ	never give up
хамаагүй	never mind
һанаандаа бү аба	never mind
хамаагүй	nevermind
һанаандаа бү аба	nevermind
болобошье	nevertheless
шэнэ	new
һонин	news
удаадахи	next
гоё	nice
танилсаһандаа баяртай байнаб	nice to meet you
аша басаган	niece
һүни	night
аймшаг	nightmare
юһэн	nine
арбан юһэн	nineteen
ерэн	ninety
Үгы	No
асуудалгүй	no problem
нээрээ гү	no way
зам үгы	no way
хэншье	nobody
дуу	noise
шааяан	noise
шууятай	noisy
юушье	none
үдэ	noon
үгы	nope
бэшэ	nor
хэмээ	normal
элүүр	normal
хойно	north
хамар	nose
ностальги	nostalgic
үгы	not
юрэдөө бэшэ	not at all
муу бэшэ	not bad
Мүнөө бэшэ	Not now
үшөө үды	not yet
тэмдэглэл	note
тэмдэглэгдэһэн	noted
юуншье	nothing
ажаглаха	notice
тэмдэглэһэн	noticed
юумэнэй үгэ	noun
нэрэ үгэ	nouns
роман	novel
арбан нэгэдэхи һара	november
мүнөө	now
мүнөө сагта	nowadays
найргүй ушар	nuisance
тэн	null
хэлэгүй болохо	numb
тоо	number
субилагша	nurse
һамар	nut
һамар	nutmeg
эдеэлүүлгэ	nutrition
амлалта	oath
таргалал	obesity
мэдэлдэ орохо	obey
зүйл	object
объект	object
үнэн сэхээр	objective
уялга	obligation
хара болгохо	obscure
адаглалга	observation
ажаглаха	observe
галзуурһан	obsessed
һонирхол	obsession
хуушарһан	obsolete
һаад	obstacle
хүртэхэ	obtain
абагдаһан	obtained
сохомтой	obvious
аабза	obviously
ганса нэгэ	occasionally
хүдэлмэри	occupation
эзэлэгдэһэн	occupied
болохо	occur
гараха	occurred
болодог	occurs
далай	ocean
арбадахи һара	october
гайхалтай	odd
боломжонууд	odds
ёһото	of course
унтарһан	off
гомодхооһон	offensive
дурадхаха	offer
оффис	office
хуулита ёһо	official
ходо	often
Ээхь	Oh
нээрээ гү	oh really
тоһон	oil
за	ok
заа хонгорни	ok dear
заа инагни	ok honey
зай минии дуран	ok my love
зай	okay
заа бэйби	okay baby
заа хонгорни	okay dear
зай инагни	okay honey
заа минии инаг	okay my love
хүгшэн	old
хуушан	old
дээрэ	on
нэгэтэ	once
нэгэн	one
нэгэ хэлэн хаанашье хүрэхэгүй	one language is never enough
һонгино	onion
онлайн	online
гансал	only
нээхэ	open
операци	operation
һанамжа	opinion
боломжонууд	opportunities
боломжо	opportunity
нүгөөдэ	opposite
оптимистическэ	optimistic
опци	option
үгы	or
һаа	or
шара улаан	orange
жүржэ	orange
захиха	order
