azçıq	a little
devam et	go ahead
yoq ol	go away
yatmaq	go to bed
aht	goal
maqsatlar	goals
teke	goat
tañrı	god
Allah seni qorçalasın	god bless you
kete	goes
ketmekte	going
azırlanmaq	going to
altın	gold
ketken	gone
azırlana	gonna
batqaq	goo
şaylı	good
kün şerifleriñiz hayır olsun	good afternoon
sağlıqnen qalıñız	good bye
hayırlı künler	good day
aqşamlar hayır	good evening
yahşı iş	good job
şırnıqlı	good looking
Allah qolay ketirsin	good luck
sabalar hayır	good morning
sabalar hayır, sevgilim	good morning my love
geceler hayır	good night
sağlıqnen bar	goodbye
geceler hayır	goodnight
mallar	goods
Gugl	Google
Google tercimesi	Google Translate
qaz	goose
müteşem	gorgeous
öşek	gossip
elge keçirdi	got
añladım	got it
ükümet	government
qapmaq	grab
derece	grade
ket-kete	gradually
mezun olmaq	graduate
zahire	grain
bağışlamaq	grant
berilgen	granted
yüzüm	grapes
qavramaq	grasp
ot	grass
minettdar	grateful
minnetdarlıq	gratitude
mezar	grave
külrenki	gray
ulu	great
açközlük	greed
saran	greedy
yeşil	green
selâmlaşmaq	greet
selâmlaşma	greeting
selâmlar	greetings
boz	grey
tel ağı	grid
keder	grief
ufatmaq	grind
sap	grip
baqqal	grocery
kiyev	groom
toplam	gross
yer	ground
taqım	group
ösmek	grow
yükselme	growth
keyfsiz	grumpy
Guarani tili	Guarani
kefalet	guarantee
qaravul	guard
tahmin etmek	guess
musafir	guest
reberlik	guidance
qılavuz	guide
qabaatlı	guilty
oğlan	guy
ballar	guys
sport salonı	gym
alışqanlıq	habit
tabiy müit	habitat
bar edi	had
burçaq	hail
saç	hair
yarım	half
salon	hall
qol	hand
sap	handle
körüngen	handsome
asmaq	hang
sallan-sullan yürmek	hang out
olmaq	happen
oldı	happened
baht	happiness
bahtlı	happy
hayırlı yaşlar olsun	happy birthday
hayırlı yaşlar olsun	happy birthday to you
yañı yılıñız hayırlı olsun	happy new year
zor	hard
zornen	hardly
iç bir vaqıt desek olacaq	hardly ever
zarar	harm
zararlı	harmful
uyuşma	harmony
sert	harsh
bereket cıyuvı	harvest
saip	has
nefret	hate
bar	have
hayırlı künler	have a good day
yahşı künler	have a nice day
sabalıq aşa	have breakfast
şeñlik olsun	have fun
sen endi aşadıñmı	have you eaten
saip olğan	having
telüke	hazard
tuman	haze
o	he
o saip	he has
o	he is
qafa	head
baş ağrısı	headache
devalamaq	heal
şifa	healing
sağlıq	health
sağlam	healthy
eşitmek	hear
eşitti	heard
yürek	heart
qızdırmaq	heat
sıcaq	heat
cennet	heaven
ağır	heavy
qıymıldavuq	hectic
boy	height
yükseklik	height
varis	heir
çaypav	heist
tutulğan	held
cehennem	hell
Meraba	Hello
meraba, canım	hello dear
selâm, nasılsıñ	hello how are you
meraba nasılsıñ	hello how are you doing
migfer	helmet
yardım	help
faydalı	helpful
demek	hence
onıñ	her
sürü	herd
mında	here
miras	heritage
çekinmek	hesitate
Olân	Hey
Selâm	Hi
meraba, nasılsıñ	hi how are you
Meraba	Hi there
saqlı	hidden
saqlamaq	hide
iyerarhiya	hierarchy
yüksek	high
belgilemek	highlight
kezinti	hike
piyade turizm	hiking
şamatalı	hilarious
bayır	hill
oña	him
anahtar söz	hint
but	hip
sanlar	hips
kiralamaq	hire
tutqan	hiring
onıñ	his
tarih	history
urmaq	hit
Hmm	Hmm
aveslik	hobby
tut	hold
bekle	hold on
teşik	hole
raatlıq künü	holiday
quvuş	hollow
ev	home
ev vazifesi	homework
namuslı	honest
açıqtan aytqanda	honestly
Bal	Honey
Tatlım	Honey
namus	honor
başlıq	hood
çengel	hook
sekirmek	hop
ümüt	hope
ümüt etmek	hope
ümüt ile	hopefully
ümütsiz	hopeless
ufqiy	horizontal
boynuz	horn
qorqunçlı	horrible
deşet	horror
at	horse
hastahane	hospital
musafirçenlik	hospitality
ev saibi	host
duşman	hostile
sıcaq	hot
musafirhane	hotel
saat	hour
saatlar	hours
bina	house
ev hocalığı	household
nasıl	how
ya sen	how about you
nedaysıñ	how are you
nasılsıñ	how are you doing
bugün nedaysıñ	how are you doing today
bugün nasılsıñ	how are you today
işleriñiz nasıl	how do you do
nasıl	how is
qaç dane	how many
qaç	how much
ne qadar sıq	how often
qaç yaşındasıñ	how old are you
künüñ nasıl edi	how was your day
geceñ nasıl keçti	how was your night
ancaq	however
merkez	hub
aqay	hubby
quçaqlamaq	hug
qocaman	huge
insan	human
alçaq göñülli	humble
sers	humid
nem	humidity
yüz	hundred
aç	hungry
avlamaq	hunt
qasırğa	hurricane
aşıqmaq	hurry
aşıq	hurry up
ağrı	hurt
bozmaq	hurt
qoca	husband
çapqalamaq	hustle
qulübe	hut
temizlik	hygiene
men	I
Men	I am
Men yahşım	I am fine
Men yapıp olam	I can
men yapamayım	I can't
Men yapam	I do
Men bilmeyim	I do not know
Men añlamayım	I do not understand
Men yapmayım	I don't
men bilmeyim	I don't know
Men añlamayım	I don't understand
Ne demek istegeniñizni añlamayım	I don't understand what you mean
Men seni añlamayım	I don't understand you
Men bilmeyim	I don’t know
Men añlamayım	I don’t understand
zanımca	i guess
Mende bar edi	I had
mende bar	I have
Men oldım	I have been
böyle ümüt besleyim	I hope so
men bilem	I know
Men begenem	I like
Men seni begenem	I like you
Men sevem	I love
Men ağamnı sevem	I love my big brother
Men tatamnı sevem	I love my big sister
Men babamnı sevem	I love my father
Men oğlan qardaşımnı sevem	I love my little brother
Men qız qardaşımnı sevem	I love my little sister
Men anamnı sevem	I love my mother
Men seni sevem	I love you
Men seni pek sevem	I love you so much
Men de seni sevem	I love you too
aytacağım	I mean
Men seni sağınam	I miss you
Men seni pek sağınam	I miss you so much
añlayım	I see
Men bellesem	I think
men añlayım	I understand
Men isteyim	I want
Men seni körmege isteyim	I want to see you
Men seni isteyim	I want you
Men edim	I was
Men yapacam	I will
Men olur edim	I would be
men	I'm
men yahşım	I'm fine
Men yahşım	I'm good
Men mındam	I'm here
meni afu etiñiz	I'm sorry
buz	ice
dondurma	ice cream
ğaye	idea
mükemmel	ideal
aynı	identical
tanımaq	identify
kimlik	identity
sersem	idiot
aylaq	idle
eger	if
körmemezlikke urmaq	ignore
yaramay	ill
qanunsız	illegal
hastalıq	illness
İlokano tili	Ilocano
resim	image
hayal etmek	imagine
deral	immediate
deral	immediately
kebir	immense
tesir	impact
sabırsız	impatient
amelge keçirmek	implement
ital	import
müim	important
dayatmaq	impose
imkânı yoq	impossible
teessurat	impress
teessurat	impression
tesir etici	impressive
eyileştirmek	improve
eyileşme	improvement
tamamlamaq içün	in addition
Aslında	In fact
ögünde	in front of
içün	in order to
elverişsiz	inappropriate
teşviq	incentive
vaqia	incident
kirgizmek	include
içergen	including
kelir	income
qolaysızlıq	inconvenience
artuv	increase
yükseltilgen	increased
inanılmaz	incredible
şübesiz	indeed
mustaqil	independent
İndistan	India
belgilemek	indicate
yerli	indigenous
ferdiy	individual
sanayı	industry
qaçınılmaz	inevitable
quçaq balası	infant
yuqunç	infection
soñsuzlıq	infinity
yanğı	inflammation
inflâtsiya	inflation
nufuz	influence
haber etmek	inform
malümat	information
içindekiler	ingredients
miraslanma	inheritance
başlanğıç	initial
teşebbüs	initiative
yaralı	injured
yara	injury
qabaatsız	innocent
yañılıq	innovation
taqiqat	inquiry
añqav	insane
böcek	insect
emin olmağan	insecure
soqmaq	insert
içinde	inside
basiret	insight
israr etmek	insist
yuqusızlıq	insomnia
ilham	inspiration
ilham bermek	inspire
yüklemek	install
misal	instance
der-demez	instant
yerine	instead
yerine	instead of
talimatlar	instructions
alet	instrument
aqaret	insult
sigorta	insurance
qırılmağan	intact
bütünlik	integrity
ziyalı	intellectual
idraq	intelligence
aqıllı	intelligent
niyet etmek	intend
istenilgen	intended
şiddetli	intense
niyet	intention
beraber yapmaq	interact
munasebette bulunma	interaction
meraq	interest
meraqlanğan	interested
meraqlı	interesting
qarışmaq	interfere
ortadaki	intermediate
içki	internal
memleketara	international
staj	internship
iza etmek	interpret
terciman	interpreter
lafını kesmek	interrupt
intervyü	interview
öz	intimate
içine	into
tanıtmaq	introduce
kiriş	introduction
içine aylanğan	introvert
aldından duyma	intuition
çalışamağan	invalid
icat etmek	invent
kölük-kedik	inventory
yatırım	invest
taqiq etmek	investigate
davet	invitation
davet etmek	invite
esap	invoice
çekmek	involve
qatılğan	involved
ütü	iron
demir	iron
ada	island
etraf müitten ayırılğan	isolated
mesele	issue
meseleler	issues
o	it
öyledir	it is
edi	it was
bu	it's
er şey yerinde	it's ok
Mesele degil	It's okay
madde	item
eşyalar	items
onıñ	its
Men	I’m
ceket	jacket
zindan	jail
Qara qış ayı	January
gügüm	jar
çenge	jaw
küncü	jealous
tentek	jerk
ilvan	jewelry
iş	job
çapuv	jogging
qoşulmaq	join
buğum	joint
şaqa	joke
gazetacı	journalist
sefer	journey
quvanç	joy
makeme etmek	judge
şıra	juice
oraq ayı	july
sekirmek	jump
ilk yaz ayı	june
faydasız	junk
demin	just
yap bunı	just do it
adalet	justice
aqlamaq	justify
Kalaallisut tili	Kalaallisut
keskin	keen
devam etmek	keep
tutmaq	keep
aynen böyle devam etmek	keep it up
tuttı	kept
çaynik	kettle
anahtar	key
tepme	kick
bala	kid
şaqalaşma	kidding
büyrek	kidney
balalar	kids
öldürmek	kill
nezaketli	kind
çeşit	kind
kibi	kinda
lütufkârane	kindly
lütuf	kindness
qıral	king
öpmek	kiss
aşhane	kitchen
sazağan	kite
mışıq balası	kitten
tiz	knee
bile edi	knew
pıçaq	knife
batır	knight
bilmek	know
bilgi	knowledge
belli	known
Konkani tili	Konkani
Krio tili	Krio
etiketka	label
emek	labor
emek	labour
eksiklik	lack
merdiven	ladder
hanım	lady
qoyulğan	laid
göl	lake
qozu	lamb
topal	lame
lampat	lamp
qara	land
manzara	landscape
lisan	language
tiz	lap
büyük	large
soñki	last
soñki olsa da, eñ emiyetsiz degil	last but not least
soyadı	last name
keç	late
keçende	lately
keççe	later
eñ soñ	latest
soñki	latter
külmek	laugh
külgen	laughing
külkü	laughter
uçurmaq	launch
çamaşırhane	laundry
qanun	law
çimen	lawn
adliyeci	lawyer
yatqızmaq	lay
qatlam	layer
yerleşme	layout
tenbel	lazy
alıp barmaq	lead
qurşun	lead
yolbaşçı	leader
yapraq	leaf
sızıntı	leak
egilmek	lean
sıçrav	leap
ögrenmek	learn
ögrenmekte olğan	learning
kiralama	lease
eñ az	least
teri	leather
qaldırmaq	leave
ketmek	leave
yapraqlar	leaves
idare etmek	led
sol	left
ketti	left
baldır	leg
vasiyet etilgen	legacy
qanuniy	legal
efsane	legend
qanuniy	legit
boş vaqıt	leisure
ödünç almaq	lend
uzunlıq	length
az	less
ders	lesson
musaade etmek	let
mektüp	letter
latuk	lettuce
seviye	level
rıçag	leverage
mesüliet	liability
kitaphane	library
yalamaq	lick
yalan	lie
yatmaq	lie
yalanlar	lies
ömür	life
kötermek	lift
yarıq	light
açıq	light
yıldırım	lightning
begenmek	like
kibi	like
itimal	likely
aynı şekilde	likewise
çizgi	line
Lingala tili	Lingala
bağlantı	link
arslan	lion
şingenlik	liquid
cedvel	list
diñlemek	listen
diñleme	listening
tam manasınen	literally
edebiyat	literature
çirkef	litter
kiçkene	little
az	little
yaşamaq	live
qara ciger	liver
ayatlar	lives
yaşamaqta olğan	living
oturma odası	living room
kesertki	lizard
yüklemek	load
qalaqay	loaf
ödünç	loan
yerli	local
mekân	location
kilit	lock
karantin	lockdown
razan ağaçı	log
qaqıldap külmek	lol
kimsesiz	lonely
uzun	long
uzun vaqıt körüşmedik	long time no see
baqmaq	look
körüniş	look
ilmek	loop
serbest	loose
efendi	lord
coymaq	lose
ziyan	loss
coyulğan	lost
çoq	lot
gür	loud
musafir odası	lounge
sevmek	love
sevgi	love
sevem seni	love you
şırın	lovely
alçaq	low
daa alçaq	lower
sadıq	loyal
sadaqat	loyalty
qısmet	luck
nasipli	lucky
Luganda tili	Luganda
bagaj	luggage
tomar	lump
üylelik	lunch
aqcigerler	lungs
itişam	luxury
yatqan	lying
maşna	machine
tonqa	mad
hanım	madam
yapılğan	made
mecmua	magazine
şaane	magnificent
hızmetçi	maid
esas	main
devam ettirmek	maintain
baqım	maintenance
Maythili tili	Maithili
üyken	major
çoqluq	majority
istisal etmek	make
makiyaj	make up
aqay kişi	male
alış-veriş merkezi	mall
erkek	man
reberlik yapmaq	manage
idare	management
reber	manager
lâzim	mandatory
beyanat	manifest
oynamaq	manipulate
tavır	manner
qullanma	manual
bir çoq	many
bu bahtlı kün daa çoq kereler qaytsın	many many happy returns of the day
mart	march
kâr	margin
bazar	market
evlilik	marriage
evli	married
maska	mask
kütle	mass
iri	massive
usta	master
matç	match
qafadar	mate
malzeme	material
riyaziyat	math
degerli	matter
quvam	maturity
ola bile	may
belki	maybe
men	me
men de	me too
yemek	meal
ortalama	mean
emiyet	meaning
demektir	means
qast etilgen	meant
o arada	meanwhile
ölçemek	measure
ölçüler	measures
et	meat
tibbiy	medical
tibbiyet	medicine
ilâc	medicine
meditatsiya	meditation
orta	medium
körüşmek	meet
toplaşuv	meeting
Meyteylon tili	Meiteilon
irimek	melt
hatıralar	memories
hatıra	memory
aqliy	mental
añmaq	mention
añılğan	mentioned
ustaz	mentor
tuccar	merchant
meramet	mercy
yalınız	merely
hayırlı milât	merry christmas
tertipsizlik	mess
beyanat	message
nizamsız	messy
maden	metal
usul	method
sıçanlar	mice
orta	middle
gece yarısı	midnight
olması mümkün	might
orta qarar	mild
yol taşı	milestone
arbiy	military
süt	milk
million	million
aqıl	mind
fikir yürsetüv	mindset
menimki	mine
qarıştırmaq	mingle
ufaq	minor
daqqa	minute
daqqalar	minutes
mücize	miracle
küzgü	mirror
çeşit türlü	miscellaneous
içi qara	mischievous
zavallı	miserable
faqirlik	misery
sağınmaq	miss
hanım	miss
sağındım seni	miss you
eksik	missing
missiya	mission
dım	mist
hata	mistake
Mizo tili	Mizo
areketli	mobile
horlamaq	mock
qalıp	model
qararını bilgen	moderate
zemaneviy	modern
adiy	modest
dım	moist
nem	moisture
qalıp	mold
küf	mold
beñ	mole
anaçığım	mom
añ	moment
bazarertesi	monday
aqça	money
ekran	monitor
maymun	monkey
ay	month
keyf	mood
sıtıq	moody
ay	moon
ahlâqiy	moral
daa ziyade	more
bundan ğayrı	moreover
saba	morning
ipoteka	mortgage
ekseriyet	most
çoqusı	mostly
ana	mother
areket	motion
areketleyici	motivation
dağ	mountain
sıçan	mouse
ağız	mouth
qıbırdamaq	move
areket	movement
film	movie
hanım efendi	mrs
çoq	much
çamur	mud
meşrebe	mug
adale	muscle
müzey	museum
mantar	mushroom
muzıka	music
mecbur	must
sessiz	mute
qarşılıqlı	mutual
menim	my
Canım	My dear
dostum	my friend
Ava yastıqlı gemim yılan balıqlarınen tolu	My hovercraft is full of eels
menim sevgim	my love
menim adım	my name is
memnün oldım	my pleasure
özüm	myself
sırlı	mysterious
sır	mystery
efsane	myth
tırnaq	nail
sümsük	naive
ad	name
ikâye	narrative
tar	narrow
nahoş	nasty
milliy	national
millet	nationality
tuvğan	native
tabiiy	natural
tabiat	nature
yürek bulanmaq	nausea
yanında	near
yaqınlarında	nearby
aman-aman	nearly
tertipli	neat
zaruriy	necessary
boyun	neck
gerdanlıq	necklace
ihtiyac	need
muhtac	need
menfiy	negative
esamesini oqumamaq	neglect
muzakere etmek	negotiate
qomşu	neighbor
civar	neighborhood
ne de	neither
oğlan ciyen	nephew
geveze	nerd
abdıravuq	nervous
quş yuvası	nest
ağ	net
ağ	network
tarafsız	neutral
iç bir vaqıt	never
iç bir vaqıt boysunma	never give up
qulaq asma	never mind
qulaq asma	nevermind
kene de	nevertheless
yañı	new
haberler	news
nevbetteki	next
yanında	next to
güzel	nice
tanışqanımızdan memnünim	nice to meet you
qız ciyen	niece
gece	night
bastırıq	nightmare
doquz	nine
on doquz	nineteen
doqsan	ninety
Yoq	No
problem yoq	no problem
imkânsız	no way
iç kimse	nobody
gürülti	noise
gürültili	noisy
kimse	none
üyle	noon
olmaz	nope
ne de	nor
sıradan	normal
şimal	north
burun	nose
asret	nostalgic
degil	not
bir şey degil	not at all
fena degil	not bad
Şimdi degil	Not now
daa yoq	not yet
tezkere	note
qayd etilgen	noted
iç bir şey	nothing
bildirüv	notice
abayladı	noticed
isim	noun
isimler	nouns
roman	novel
boş ay	november
şimdi	now
bugünde-bugün	nowadays
nahoşlıq	nuisance
boş	null
sessiz	numb
nomera	number
emşire	nurse
fındıq	nut
indistan cevizi	nutmeg
besleme	nutrition
ant	oath
şişmanlıq	obesity
itaat etmek	obey
obyekt	object
maqsat	objective
mecburiyet	obligation
bunarlı	obscure
közetüv	observation
közetmek	observe
müptelâ	obsessed
taassup	obsession
eskirgen	obsolete
mania	obstacle
elde etmek	obtain
alınğan	obtained
ayan	obvious
bese-belli	obviously
kimerde bir	occasionally
işğal	occupation
işğal etildi	occupied
yüz bermek	occur
oldı	occurred
ola	occurs
okean	ocean
orta küz	october
ğarip	odd
fırsat	odds
elbette	of course
qapalı	off
tecavuziy	offensive
teklif	offer
ofis	office
resmiy	official
sıq-sıq	often
Vay	Oh
a, kerçekten	oh really
yağ	oil
yahşı	ok
yahşı, canım	ok dear
yahşı canım	ok honey
yahşı, sevgilim	ok my love
yahşı	okay
yahşı, evlâdım	okay baby
yahşı, canım	okay dear
yahşı, tatlım	okay honey
yahşı, sevgilim	okay my love
eski	old
qart	old
bir zamanda	once
bir	one
tek bir til iç bir vaqıt yeterli olmaz	one language is never enough
soğan	onion
onlayn	online
tek	only
açıq	open
muamele	operation
mulâaza	opinion
fırsatlar	opportunities
fırsat	opportunity
zıt	opposite
şadlı	optimistic
variant	option
istekke bağlı	optional
ya da	or
portaqal	orange
tertip	order
sımarış	order
adetteki	ordinary
teşkil	organization
oriyentatsiya	orientation
menba	origin
asıl nusha	original
Oromo tili	Oromo
öksüz	orphan
başqa	other
yoqsa	otherwise
yapmaq mecburiyetinde	ought
bizim	our
Vazifemiz, er kesniñ er yerde dünyanı añlamasını ve özüne çeşit türlü tillerde ifade ete bilmesini temin etmektir.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Vazifemiz, dünyadaki malümatlarnı bir tertipke ketirip, olarnı universal sürette irişilir ve faydalı yapmaqtır.	Our mission: to organize the world's information and make it universally accessible and useful.
tış	out
aqibet	outcome
techizat	outfit
sudur	outgoing
satuv yeri	outlet
çevre	outline
tışarıda	outside
körgemli	outstanding
fırın	oven
bitti	over
üzerinde	over
andaki	over there
umumen alğanda	overall
aşmaq	overcome
artqaç tüşünme	overthinking
basılğan	overwhelmed
büyük ekseriyet	overwhelming
borclı	owe
bayquş	owl
öz	own
şorbacı	owner
buğa	ox
surat	pace
paketleme	pack
paket	package
ücretli	paid
ağrı	pain
boya	paint
boyama resim	painting
çift	pair
solğun	pale
avuç içi	palm
tava	pan
qırğınlıq	pandemic
telâş	panic
tuman	pants
kâğıt	paper
cennet	paradise
muvazi	parallel
yollanma	parcel
bağışlañız	pardon
ana-baba	parents
park	park
papağan	parrot
mağdanoz	parsley
parça	part
iştirak etmek	participate
muayyen	particular
bilhassa	particularly
ortaq	partner
cıyın	party
keçmek	pass
keçit	passage
keçti	passed
aves	passion
ateşin	passionate
passiv	passive
parol	password
keçmiş	past
yamav	patch
yol	path
sefil	pathetic
sabır	patience
sabırlı	patient
örnek	pattern
toqtama	pause
qaldırım	pavement
tölemek	pay
töleme	payment
tınçlıq	peace
tınçlıqsever	peaceful
şeftali	peach
uc	peak
armut	pear
nohut	peas
özüne has olğan	peculiar
siymek	pee
artlamaq	peel
aqran	peer
yahşı etip baqmaq	peer
aqranlar	peers
qalem	pen
qarandaş	pencil
beklegen	pending
adamlar	people
biber	pepper
menimsemek	perceive
alğı	perception
mükemmel	perfect
kerçekleşmek	perform
icra etüv	performance
semerelik	performance
ihtimal	perhaps
devir	period
daimiy	permanent
ruhset	permission
ruhset	permit
sebat	perseverance
mert	persistent
şahıs	person
şahsiy	personal
şahsiyet	personality
istiqbal	perspective
qandırmaq	persuade
sapqan	pervert
ev ayvanı	pet
faza	phase
fenomen	phenomenon
felsefe	philosophy
telefon	phone
foto	photo
ibare	phrase
fizikiy	physical
beden	physical
seçmek	pick
qolğa tüşürmek	pick up
resim	picture
kesek	piece
parçalar	pieces
domuz	pig
gögercin	pigeon
oba	pile
yastıq	pillow
uçucı	pilot
pin kodı	pin
ananas	pineapple
pempe	pink
çuqur	pit
qatran	pitch
tiklik	pitch
acımaq	pity
yerleştirmek	place
yerler	places
taun	plague
sade	plain
plan	plan
uçaq	plane
ösümlik	plant
ösümlikler	plants
tepis	plate
platforma	platform
oyun	play
icra etmek	play
oynamaq	play
oynağan	playing
hoş	pleasant
lütfen	please
memnün	pleased
zevq	pleasure
pey	pledge
bayağı	plenty
arsa	plot
şteker	plug
erik	plum
çilengir	plumber
çoqluqta	plural
podkast	podcast
şiir	poem
şiiriyet	poetry
noqta	point
zıqım	poison
polis	police
siyaset	policy
nezaketli	polite
kirlilik	pollution
tıynaq	pond
havuz	pool
sıçmaq	poop
fuqare	poor
patlamaq	pop
rağbetli	popular
eali	population
domuz eti	pork
cılap botqası	porridge
liman	port
mevam	position
müsbet	positive
saip olmaq	possess
saiplik	possession
saiplik	possessive
mümkün	possible
yollama	post
avuştırmaq	postpone
qartop	potato
çare	potential
funt	pound
fuqarelik	poverty
iqtidar	power
küçlü	powerful
ameliy	practical
ameliy faaliyet	practice
temrin etmek	practice
maqtamaq	praise
yaramazlıq	prank
dua etmek	pray
qıymetli	precious
hassas	precise
tamam	precisely
kelecekni ögünden aytmaq	predict
meyilli olmaq	prefer
seçim	preference
ağır ayaqlı	pregnant
peşin fikir	prejudice
oda	premises
mukâfat	premium
azırlıq	preparation
azırlamaq	prepare
azırlanğan	prepared
yardımcı	preposition
mevcudiyet	presence
ediye	present
mevcut	present
temsil	presentation
saqlamaq	preserve
prezident	president
basmaq	press
basqı	pressure
kibi yapmaq	pretend
ğayet	pretty
ögüni almaq	prevent
bundan evelki	previous
av	prey
fiyat	price
ğurur	pride
papaz	priest
ilkingi	primary
esas	prime
şahzade	princess
yolbaşçı	principal
evelden	prior
sıra	priority
apishane	prison
gizlilik	privacy
şahsiy	private
imtiyaz	privilege
mukâfat	prize
ğaliba	probably
mesele	problem
ameliyat	procedure
ilerilemek	proceed
işlemek	process
ceryan	process
istisal etmek	produce
mahsul	product
istisal	production
zenaat	profession
ihtisaslı	professional
profil	profile
kâr	profit
teren	profound
ilerileme	progress
leyha	project
körülgen	prominent
söz bermek	promise
imkân doğurmaq	promote
qol tutuv	promotion
keçiktirmesiz	prompt
meyli bar	prone
zamirler	pronouns
telâffuz	pronunciation
delil	proof
uyğun	proper
doğru şekilde	properly
mülk	properties
hususiyet	property
mülkiyet	property
sımarış	proposal
imkân	prospect
abadanlıq	prosperity
abadan	prosperous
qorçalamaq	protect
ğururlı	proud
isbatlamaq	prove
temin etmek	provide
teminlemek	provided
vilâyet	province
temin etüv	provision
pişkinlik	puberty
halq ögündeki	public
tartmaq	pull
qabaq	pumpkin
vaqtında kelgen	punctual
talebe	pupil
satın alma	purchase
saf	pure
mor	purple
maqsat	purpose
çanta	purse
quvalamaq	pursue
taqip	pursuit
itemek	push
qoymaq	put
ihtisas	qualification
keyfiyet	quality
miqdar	quantity
karantin	quarantine
qavğa	quarrel
çerik	quarter
Keçua tili	Quechua
qıraliçe	queen
oşlu	queer
malümat soratma	query
sual	question
nevbet	queue
tez	quick
tez	quickly
yavaş	quiet
yorğan	quilt
çıqıp ketmek	quit
olduqça	quite
qısqa sorav	quiz
alınma	quotation
alınma	quote
tırnaqlar	quotes
qoyan	rabbit
ırq	race
ğadap	rage
yağmur	rain
arttırmaq	raise
yükselgen	raised
çaptı	ran
tesadüfiy	random
aralıq	range
çabik	rapid
tez-tez	rapidly
nadir	rare
pek az	rarely
eşken	rash
sıçavul	rat
nisbet	rate
daa doğrusı	rather
nisbet	ratio
maqul	rational
çiy	raw
re	re
irişmek	reach
elde etilgen	reached
reaktsiya	reaction
oqumaq	read
oquv	reading
azır	ready
aqiqiy	real
kerçek	reality
yerine ketirmek	realize
yerine ketirilgen	realized
kerçekten de	really
arqa	rear
sebep	reason
zeinli	reasonable
seslenüv	recall
kvitantsiya	receipt
qabul etmek	receive
alınğan	received
soñki	recent
keçende	recently
qabul	reception
retsept	recipe
oysız	reckless
tanıma	recognition
farq etmek	recognize
tevsiye etmek	recommend
tevsiye etilgen	recommended
yazı	record
tüzelmek	recover
ğayrıdan tiklev	recovery
tüzköşelik	rectangle
qırmızı	red
keri satın almaq	redeem
ödev	redemption
azaltmaq	reduce
kereksiz	redundant
sıltamaq	refer
atıf	reference
akis ettirmek	reflect
akis	reflection
özüni tutmaq	refrain
buzdolap	refrigerator
paralarnı qaytarmaq	refund
çöplük	refuse
qabul etmemek	refuse
red etti	refused
sayğı	regard
bağlı olaraq	regarding
ne olsa olsun	regardless
sayğı ile	regards
region	region
qayd etmek	register
yazıqsınuv	regret
yazıqsınmaq	regret
muntazam	regular
daima	regularly
red etmek	reject
munasebeti olmaq	relate
bağlı	related
munasebetler	relationship
soy	relative
soy-aqraba	relatives
raatlanmaq	relax
boşatmaq	release
azat etilgen	released
kelişikli	relevant
işançlı	reliable
qolaylaştıruv	relief
azat etmek	relieve
raatlağan	relieved
din	religion
diniy	religious
zorlanğan	reluctant
işanmaq	rely
qalmaqta	remain
qalğan	remaining
diqqat çekici	remarkable
derman	remedy
hatırlamaq	remember
hatırlatmaq	remind
hatırlatıcı	reminder
uzaq	remote
çıqarmaq	remove
işlemek	render
kira	rent
tamirlev	repair
tekrarlamaq	repeat
almaştırmaq	replace
cevap bermek	reply
esabat	report
temsil etmek	represent
itibar	reputation
talap	request
ihtiyacı bar	require
kerekli	required
qurtarmaq	rescue
tedqiqat	research
oşamaq	resemble
isyan	resentment
bronlemek	reservation
yedek	reserve
sakin	resident
istifa etmek	resign
tığız	resilience
elastik	resilient
tirelmek	resist
tirenüv	resistance
çezilüv	resolution
çezmek	resolve
şifahane	resort
menbalar	resources
nisbet	respect
ürmet	respect
cevap bermek	respond
seslenüv	response
mesüliyet	responsibility
mesüliyetli	responsible
raatlanuv	rest
qalğan	rest
raatlanmaq	rest
yatqan yeriñ cennet olsun	rest in peace
meyhane	restaurant
ğayrıdan qurmaq	restore
sıñırlamaq	restrict
aqibet	result
neticeler	results
rezüme	resume
kütleviy satış	retail
saqlap qaldırmaq	retain
tutıp qaldırma	retention
nefaqacı	retired
keri çekilmek	retreat
ğayrıdan tiklemek	retrieve
qaytmaq	return
meydanğa çıqarmaq	reveal
ortağa çıqqan	revealed
intiqam	revenge
kelir	revenue
ters	reverse
közden keçirmek	review
közden keçirmek	revise
közden keçirüv	revision
inqilâp	revolution
mukâfat	reward
vezin	rhythm
qaburğa	rib
pirniç	rice
zengin	rich
qurtulmaq	rid
kezinmek	ride
saçma	ridiculous
sağ	right
aqlı	right
şu daqqası	right now
qattı	rigid
alqa	ring
yüzük	ring
çayqamaq	rinse
fesat	riot
yırtmaq	rip
pişken	ripe
ösüv	rise
havf	risk
raqip	rival
özen	river
yol	road
qızartmaq	roast
sağlam	robust
ecel	rock
mil	rod
rol	role
aylanmaq	roll
dam	roof
oda	room
tamır	root
arqan	rope
çürük	rotten
qaba	rough
qaba	roughly
tögerek	round
seyahat yolu	route
rutina	routine
satır	row
oqalamaq	rub
silgiç	rubber
eski-püskü	rubbish
aqaretleyici	rude
kilim	rug
haraplamaq	ruin
qaide	rule
cedvel	ruler
qaideler	rules
çapmaq	run
çapqan	running
köylü	rural
acele	rush
aşıqmaq	rush
çuval	sack
muqaddes	sacred
feda etmek	sacrifice
havfsız	safe
oğurlı uçuşlar	safe flight
havfsızlıq	safety
