omu	a
obunyweevu	fixed
ebendera	flag
okunyereketa	flash
okweyala	flat
akamogo	flaw
okudduka	flee
omubiri	flesh
yaguluka	flew
okugooma	flex
okugonda	flexible
okubuuka	flight
okukyuusa	flip
okweekoza	flirt
okwegwanyisa	flirting
okuseeyeeya	float
amataba	flood
wansi	floor
obuwunga	flour
okukulukuta	flow
ekimuli	flower
ssennyiga	flu
bulungi	fluent
kitonnyeze	fluid
okuguluka	fly
tereera	focus
olufu	fog
olufu	foggy
okuzinga	fold
abantu	folks
okugoberera	follow
okugoberera	following
okugoberera	follow up
emmere	food
okusiruwaza	fool
okusiruwala	foolish
ekigere	foot
omupiira	football
-a	for
okuwera	forbidden
okukaka	force
okuteebereza	forecast
ekyeenyi	forehead
ekibira	forest
lubeerera	forever
okweerabira	forget
okusonyiwa	forgive
okwerabira	forgot
okugeza	for instance
ewuuma	fork
foomu	form
mubutongole	formal
edda	former
eby'obulungi	fortunately
obugagga	fortune
kikyo	for you
okukuuma	foster
okulwaana	fought
-asanga	found
omusingi	foundation
nnya	four
omusege	fox
bwerende	fragile
fuleemu	frame
endabika	framework
obufere	fraud
akamenke	freak
bwereere	free
eddembe	freedom
okunnyogoga	freeze
emirundi	frequency
ekipya	fresh
fuliiji	fridge
ow'omukwano	friend
emikwaano	friends
omukwaano	friendship
okutya	frightened
okutiisa	frightening
ekikere	frog
okuva	from
okunnyogoga	frozen
ekibala	fruit
akatuubagiro	frustrated
amafuta	fuel
Fulfulde	Fulfulde
okujjula	full
okunyumirwa	fun
enkola	function
kyetagisa	fundamental
okuziika	funeral
Okusesa	funny
ebyooya	fur
obusungu	furious
eby'embaawo	furniture
okweyongerayo	further
okwongerezaako	furthermore
okuganulwa	gain
omuzannyo	game
ebbanga	gap
galaji	garage
kasassirio	garbage
ennimiro	garden
geeti	gate
okusoloza	gather
okusoloza	gathering
okupima	gauge
-wa	gave
obutonde	gender
okufulumya	generate
omulembe	generation
okugabula	generous
kagezimunnyo	genius
ekika	genre
obugonvu	gentle
akabonero	gesture
okufuna	get
yambala	get dressed
okufuna	getting
okuyimuka	get up
-nna ggwanga	foreign
ye ggwe	are you
atte ggwe	how about you
Njagala ggwe	I want you
omuzimu	ghost
okubulawo	ghosting
naggwano	giant
ekirabo	gift
entangawuuzi	ginger
omuwala	girl
okuwa	give
okuwa	given
okuwanika	give up
okusanyuka	glad
kawuule	glass
galubindi	glasses
okulungubala	gloomy
gilavuzi	gloves
okutangaala	glow
okwaaka	glow up
ggulu	glue
okugenda	go
okuteeba	goal
goolo	goals
embuzi	goat
katonda	god
okugenda	goes
okugenda	going
ezaabu	gold
amakati gomupira	hub
agenze	gone
-genda	gonna
genda	goo
kirungi	good
welaba	good bye
-eeraba	goodbye
eby'amaguzi	goods
Google	Google
embaata	goose
obubalagavu	gorgeous
olugambo	gossip
-funa	got
okukifuna	got it
gavumenti	government
okukwaabula	grab
guleedi	grade
mpolampola	gradually
okutikkirwa	graduate
empeke	grain
okukkiriza	grant
okukkiriza	granted
guleepu	grapes
okukwata	grasp
essubi	grass
okusiima	grateful
okusiima	gratitude
amalaalo	grave
gray	gray
kilungi	great
amaddu	greed
amaddu	greedy
kiragala	green
okubuuza	greet
okubuuza	greeting
okulamusa	greetings
grey	grey
guliidi	grid
okukungubaga	grief
okusa	grind
okunyweeza	grip
eby'amaguzi	grocery
kyenyinyaza	gross
ekibinja	group
okukula	grow
okukula	growth
okweekanya	grumpy
Guarani	Guarani
omusingo	guarantee
omukuumi	guard
okuteeba	guess
omugenyi	guest
okulung'amya	guidance
okulungamya	guide
omusajja	guy
abantu	guys
omungi gw'abantu	population
omweezi gwa museenene	december
mukwano gwange	my friend
omuwendo gwa waggulu	expensive
atte gwe	what about you
omweezi gw'okubiri	february
omuntu gw'omanyi	acquaintance
omuntu gw'omanyi	colleague
emikono gya saati	sleeve
jiimu	gym
empisa	habit
ewaka	habitat
-ali	had
okuyita	hail
enviiri	hair
kitundu	half
omukono	hand
okukwaata	handle
bubalagavu	handsome
okwanika	hang
obubaawo	happen
okutuukawo	happened
essanyu	happiness
musanyufu	happy
obugumu	hard
-labe	harmful
okukwaatagana	harmony
obukambwe	harsh
okukungula	harvest
-ina	has
obukyaayi	hate
-ina	have
okunyumirwa	have fun
olidde	have you eaten
eky'obulabe	hazard
olufu	haze
ye	he
omutwe	head
okuwona	heal
okuwonya	healing
obulamu	health
bulamu	healthy
okuwulira	hear
-awulira	heard
omutima	heart
ebbugumu	heat
eggulu	heaven
okuzitowa	heavy
okukooya	hectic
obuwanvu	height
omusika	heir
ali	he is
obubbi	heist
yakwatidwa	held
geyeena	hell
Nkulamusizza	Hello
se'ppeewo	helmet
okuyamba	help
kyamugaso	helpful
nolw'ekyo	hence
ye	her
okulunda	herd
wano	here
ennono	heritage
okwesikamu	hesitate
Nkulamusizza	Hey
Nkulamusizza	Hi
okukweekebwa	hidden
okweekweeka	hide
amadala	hierarchy
waggulu	high
okwambuka	hike
okulinya	hiking
kisesa	hilarious
akasozi	hill
ye	him
okukoonako	hint
kikugunyu	hip
embinabina	hips
okupangisa	hire
okupangisa	hiring
kikye	his
ebyafaayo	history
okukoona	hit
Nkulamusizaako	Hi there
Hmm	Hmm
kwaata	hold
okwekwaata	hold on
ekinnya	hole
ekiwummulo	holiday
ekiwonvu	hollow
ewaka	home
homework	homework
-mazima	honest
ekyaamazima	honestly
Omubisi	Honey
okubuuka	hop
essuubi	hope
okusuubira	hopefully
okwegolola	horizontal
ejjembe	horn
ekyekango	horror
embalaasi	horse
eddwaaliro	hospital
okukyaaza	host
okukanguka	hostile
okwookya	hot
woteeri	hotel
essaawa	hour
saawa	hours
enju	house
amaka	household
-tya	how
gyeebale	how do you do
naye	however
bameka	how many
-mmeka	how much
mwaami	hubby
akafumito	hug
obugazi	huge
omuntu	human
obuwombeefu	humble
okunnyuukirira	humid
obunyogovu	humidity
kikumi	hundred
oyigga	hunt
kibuyaga	hurricane
okwanguwa	hurry
yanguwa	hurry up
okulumya	hurt
mwaami	husband
okuyiiya	hustle
akasiisira	hut
obuyonjo	hygiene
Nze	I
Nsobola	I can
Sisobola	I can't
ayisi	ice
ekirowoozo	idea
okufaanana	identical
okufuna	identify
ebikukwatako	identity
-siru	idiot
obunaanya	idle
nkola	I do
Simanyi	I do not know
sitegeera	I do not understand
Simanyi	I don't know
simanyi	I don’t know
Sitegeera	I don't understand
sikutegeera	I don’t understand
sikutegeera	I don't understand you
Bwe	if
okwesonyiwa	ignore
ndowooza	i guess
Nalina	I had
nina	I have
Mbadde	I have been
mmanyi	I know
Njagala	I like
Nkwagala	I like you
-lwadde	ill
endwadde	illness
Ilocano	Ilocano
Njagala	I love
Nkwagala	I love you
ndi	I'm
Ndi	I’m
ekifaananyi	image
lowooza	imagine
Ntegeeza	I mean
Nkusubwa	I miss you
mbagirawo	immediately
okukosa	impact
obutagumiikiriza	impatient
okuyingiza	import
-mugaso	important
okusibawo	impose
tekisoboka	impossible
okumatiza	impress
kisanyusa	impression
kisanyusa	impressive
okuterezamu	improvement
Nsonyiwa	I'm sorry
mu	in
okwongerezaako	in addition
okubeeramu	include
okugatam	including
ennyingiza	income
okukaluubizibwa	inconvenience
okwongera	increase
okweyongera	increased
-suffu	incredible
okwemalira	independent
Ebuyindi	India
okulaga	indicate
nnono	indigenous
yindasitule	industry
kisuubirwa	inevitable
-mazima	In fact
omuto	infant
ekirwadde	infection
katabalika	infinity
ekibobe	inflammation
yinfulesoni	inflation
amaanyi	influence
okutegeeza	inform
obubaka	information
ebirungo	ingredients
obusika	inheritance
ekikwekweeto	initiative
olumizibwa	injured
okukosebwa	injury
okuyiiya	innovation
ekubuuza	inquiry
obulalu	insane
ekiwuka	insect
obutekkiririzaamu	insecure
okuteekamu	insert
okulemerako	insist
okulung'amizibwa	inspiration
okulungamya	inspire
okuzimba	install
ekiliwo	instance
ebiragiro	instructions
ekyuuma	instrument
okuvuma	insult
yinsuwa	insurance
amazima	integrity
yintelekicho	intellectual
amagezi	intelligence
okugenderera	intend
okugenderera	intended
ekigendererwa	intention
okwogerezanganya	interact
okumanyangana	interaction
obwagazi	interest
okwagala	interested
okunyuma	interesting
matankane	intermediate
okugezesebwa	internship
okuvvunnula	interpret
omuvvunnuzi	interpreter
okubuuza	interview
munda	into
okwanjula	introduce
okwanjula	introduction
omusirise	introvert
olumanyo	intuition
kifu	invalid
okuyiiya	invent
eby'amaguzi	inventory
okusiga	invest
okunoonyereza	investigate
okukyaaza	invitation
okwaaniriza	invite
yinivoyisi	invoice
okwetaba	involve
okugolola	iron
-li	is
Ndaba	I see
ekizinga	island
kifikkiriza	isolated
ensonga	issue
ensonga	issues
kiri	it
ekintu	item
ebintu	items
Ndowooza	I think
kili	it is
kiri	it's
kili	its
kyali	it was
Ntegeera	I understand
Njagala	I want
Nali	I was
Nja	I will
Nandibadde	I would be
jaketi	jacket
ekkomera	jail
ba jajja	ancestors
omukebe	jar
oluba	jaw
ebbuba	jealous
eby'okukola jebujja	prospect
omujega	jerk
amajjolobera	jewelry
omulimu	job
okuddukamu	jogging
okweyunga	join
ennyingo	joint
okusaaga	joke
ssaffaali	journey
essanyu	joy
juyisi	juice
okubuuka	jump
kasassiro	junk
obwenkanya	just
obwenkanya	justice
jjuuzi juuzi	recently
akaiiko k'abakulu	management
kale kabiite	ok honey
wanji kabiite	yes honey
Kalaallisut	Kalaallisut
tekuli kamogo	ideal
mukasera kano	meanwhile
ebya kasasiro	crap
buli kaseera	always
buli kaseera	constantly
buli kaseera	frequent
buli kaseera	frequently
buli kaseera	regular
buli kaseera	regularly
buli kaseera	usual
buli kaseera	usually
si kati	Not now
okolaki kati	what are you doing right now
oliwa kati	where are you now
okusigalawo katono	barely
-lungi katono	fair
okweetegereza	keen
okutereka	keep
yatereka	kept
ebbinika	kettle
ekisumuluzo	key
si kibi	not bad
okusamba	kick
omwaana	kid
okusaaga	kidding
ensigo	kidney
abaana	kids
mu kifo kya	instead
okola ki kaakati	what are you doing now
nakongeza kikolwa	adverb
ekyo kili	that is
kino kili	this is
ekintu kiliwa	where is
okutta	kill
buli kimu	everything
kisa	kind
kiyinzika	kinda
ekisa	kindness
kabaka	king
kiro kino	tonight
kiki kino	what is this
okola ki okwebeezaawo	what do you do for a living
ekyo kirungi	that's good
to kisembayo	quite
okunyweegera	kiss
effumbiro	kitchen
kayiti	kite
okola ki	what are you doing
okola ki	what do you do
otegeeza ki	what do you mean
oyagala ki	what do you want
evviivi	knee
yategeera	knew
ekiso	knife
omulwaanyi	knight
okumanya	know
okumanya	knowledge
okumanyika	known
si kola	I don't
Konkani	Konkani
Krio	Krio
okutuuka ku	approximately
-a ku butaka	local
tewali kubuusabuusa	of course
tewali kubuusabuusa	sure
okweesiba ku	clingy
okusinzziira ku	due to
okugenda ku	going to
Weebale kugumiikiriza nga bwe tunoonyereza ku byamaguzi we bituuse	Thank you for your patience while we investigate shipment
entikko ku kasozi	cliff
ekidirira Ku kigambo	preposition
genda ku kitanda	go to bed
obutabaako kukosebwa	intact
Webala kukozesa app yaffe	Thanks for using our app
nja kukulaba edda	see you soon
Njagala kukulaba	I want to see you
abantu ku kyaalo	society
ayisi kuliimu	ice cream
okwogera ku	mention
emyaaka kumi	decade
okutambuza ku mmeeri	shipping
okubera kumpi okutusibwako ekintu ekibi	prone
okuva kumulembe	obsolete
okubeera ku mutindo	trend
okuzanyira ku mutwe gw'omuntu	manipulate
ekitukibwako kunkomerero	ultimate
ekikwaata ku	regarding
kya kusalawo	optional
mu kusooka	before
oh kweeli	oh really
nsaba kweetegula	excuse me
ekirungi kya	advantage
mu kyaalo	rural
si kya bulijjo	unusual
si kya buli omu	private
ekiseera kya ddumbi	autumn
Ekibinja kyaffe ekilungi	Dear Team
mukifo kya	instead of
ekiffo ky'obukugu	domain
ekyo kyoka	merely
ekiro kyo kyabadde kitya	how was your night
ekintu kyonna	anything
ekiseera kyonna	throughout
Sitegeera ky'otegeeza	I don't understand what you mean
erinnya	label
okukola	labor
omulimu	labour
ebbulwa	lack
eddaala	ladder
omumyaala	lady
okubiika	laid
enyanja	lake
-lema	lame
ettaala	lamp
ensi	land
ettaka	landscape
olulimi	language
omubiri	lap
-gazi	large
okusembayo	last
kikeerezi	late
oluvannyuma	later
ekiriwo	latest
luvanyuma	latter
okuseka	laugh
okuseka	laughing
enseko	laughter
okutongoza	launch
engoye	laundry
amateeka	law
omuddo	lawn
munamateeka	lawyer
-biika	lay
omugigi	layer
okulambulula	layout
obunafu	lazy
okukulembera	lead
omukulembeze	leader
ekikoola	leaf
okutonya	leak
okwesigama	lean
okubuuka	leap
okuyiga	learn
okuyiga	learning
obwesengeze	lease
eddiba	leather
genda	leave
ebikoola	leaves
okukulembera	led
kkono	left
okugulu	leg
ekitiibwa	legacy
omuzira	legend
kyaddala	legit
okunyumirwa	leisure
okuwola	lend
obuwanvu	length
katono	less
essomo	lesson
leka	let
ebbaluwa	letter
okwenkanyankanya	level
eddembe	leverage
kikukwatako	liability
okukomba	lick
okulimba	lie
obulimba	lies
obulamu	life
okuyimusa	lift
-koleeza	light
ekimyanso	lightning
okwaagala	like
kisoboka	likely
olunyiriri	line
Olulingala	Lingala
okuyunga	link
nakongeza linnya	pronouns
empologoma	lion
-tonya	liquid
lisiti	list
wuliriza	listen
okuwuliriza	listening
kiringa	literally
bwawandikibwa	literature
okusuulasuula	litter
-tono	little
kubeera	live
ekibumba	liver
obulamu	lives
okubeera	living
eddiiro	living room
kiki -li	what is
omunya	lizard
okutikka	load
booffulo	loaf
ebbanja	loan
ekifo	location
ekkufulu	lock
okuggalawo	lockdown
omuti	log
lol	lol
obw'omu	lonely
obuwanvu	long
laba	look
kyabulijo	loop
okuleeguka	loose
mukama	lord
okusemba	lose
okufirwa	loss
okubula	lost
binji	lot
okulekaana	loud
kisenge	lounge
okwagala	love
kilungi	lovely
nkwagala	love you
wansi	low
okussa	lower
-esigwa	loyal
obwesigwa	loyalty
omukisa	luck
-mukisa	lucky
Oluganda	Luganda
omugugu	luggage
mu lujjudde	public
ekitole	lump
buli lunaku	daily
eky'emisana	lunch
amawuggwe	lungs
kijja luvannyuma	coming soon
okwejalabya	luxury
olunyiriri lw'abantu	queue
olunaku lwo lwabadde lutya	how was your day
olunaku lwonna	whenever
essanyu lyange	my pleasure
erinnya lyange nze	my name is
okulimba	lying
erinnya lyo gwe ani	what is your name
erinnya lyo gwe ani	what's your name
eddagala ly'okugema	vaccine
ebbula ly'otulo	insomnia
njagala maama wange	I love my mother
mu maaso	ahead
mu maaso	forward
mu maaso	front
mu maaso ga	in front of
masiini	machine
obulalu	mad
nyabo	madam
-akola	made
mawanga magatte	international
magaziini	magazine
-a magezi	intelligent
kilungi	magnificent
omukozi	maid
kikulu	main
okukuuma	maintain
okulabirira	maintenance
Maithili	Maithili
kikukulu	major
ebisinga	majority
mu makati	center
okukola	make
okwekolako	make up
ekitakola makulu	absurd
tekirina makulu	nuisance
ku makya	morning
-lume	male
omusajja	man
okusobola	manage
omukulu	manager
-teekwa	mandatory
okwolesebwa	manifest
empisa	manner
maniyo	manual
-ngi	many
okukumba	march
omusitale	margin
akatale	market
obufumbo	marriage
mufumbo	married
mu masekati ga	within
mu masekkati	between
mu masekkati gaffe	among us
akakokoolo	mask
omuwendo	mass
obungi	massive
-kugu	master
okwenkanankana	match
munno	mate
kya mateeka	legal
ekikozesebwa	material
okubala	math
okugasa	matter
obukulu	maturity
mitala mawanga	abroad
omunna mawulire	journalist
ndowooza	maybe
-a mazima	genuine
nze	me
ekijjulo	meal
okutegeeza	mean
okutegeeza	meaning
okutegeeza	means
okutegeeza	meant
okupima	measure
okupima	measures
ennyama	meat
eddagala	medicine
okufumiitiriza	meditation
midiyamu	medium
okusisinkana	meet
okusisinkana	meeting
Meiteilon	Meiteilon
oksaanuuka	melt
ebijjukizo	memories
okujjukira	memory
okwogera	mentioned
mulungami	mentor
mutunzi	merchant
okusaasira	mercy
akavuyo	mess
obubaka	message
kavuyo	messy
kyuuma	metal
engeri	method
nange	me too
emmese	mice
mumassekkati	middle
nyinza	might
katono	mild
amajje	military
amata	milk
akakadde	million
ebirowoozo	mind
entegeera	mindset
wange	mine
emirundi mingi	simultaneously
okugoya	mingle
-tono	minor
eddakiika	minute
dakikka	minutes
eky'amagero	miracle
wummula mirembe	rest in peace
endabirwamu	mirror
-ttima	mischievous
ennaku	miserable
ennaku	misery
okusubwa	miss
okubulawo	missing
minsani	mission
nkusubwa	miss you
olufu	mist
ensobi	mistake
Mizo	Mizo
essimu	mobile
okuduula	mock
ekifaananyi	model
kyomumakati	moderate
munnakuzino	modern
obuwombeefu	modest
okutobya	moist
amazzi	moisture
okuwumba	mold
omukessi	mole
maama	mom
akaseera	moment
ensimbi	money
okukebera	monitor
enkima	monkey
omwezi	month
ekibeera	moody
omwezi	moon
empisa	moral
okwongera	more
newankubadde	moreover
omusingo	mortgage
-singa	most
kisinga	mostly
maama	mother
okuwenya	motion
olusozi	mountain
emmese	mouse
omumwa	mouth
okutambula	move
olugendo	movement
omuzanyo	movie
mukyaala	mrs
wakati mu	among
ana mu bbiri	forty-two
okugattululwa mu bufumbo	divorce
kyebaje mu buwandike	abstract
bingi	much
ebisooto	mud
buli -mu	each
abiri mu emu	twenty-one
oli mufumbo	are you married
oli mufumbo, oba oli muwuulu	are you married or single
ggama	mug
-ya mugaso	necessary
kya mugaso	significant
-a mugaso	useful
kya mugaso	valuable
-a mugaso	vital
okwetaba mu	involved
okuberewo mukasera kona	contemporary
okuteeka mu kifo kya	alternative
okuteeka mu kifo kya	substitute
ku mukutu	online
wa mukwaano	friendly
kale mukwano	ok dear
yee mukwano	yes dear
wanji mukwano	yes my love
okola mulimu kyi	what is your job
oli mulungi nyo	you are so beautiful
oli mulungi	you are beautiful
genda mu maaso	carry on
genda mu maaso	go ahead
genda mu maaso	proceed
okulumwa mu mamiro	sore throat
tekili mu mateeka	null
ekikozesebwa mu mulimo	tackle
okwawukanya mu ndowooza	controversial
okuteeka mu nkola	apply
okuteeka mu nkola	deploy
okuteeka mu nkola	execution
okuteeka mu nkola	implement
okwetaba mu nsonga	interfere
tewali muntu	nobody
talina musango	innocent
entumbugulu	muscle
miyuziyaamu	museum
akatiko	mushroom
ennyimba	music
okuteekwa	must
okusirika	mute
bya mutwe	mental
kya muwendo	precious
buli mwaaka	annual
njagala mwannyina wange	I love my little sister
njagala mwannyinaze wange	I love my little brother
njagala mwannyinze wange omukulu	I love my big brother
njagala mwanyina wange omukulu	I love my big sister
kaale mwattu	okay dear
beera mwegendereza	be careful
-ange	my
Mwattu	My dear
ow'omukwano	my love
nze	myself
ekyaama	mysterious
ekyaama	mystery
eky'obulombolombo	myth
vaawo naawe	come on
kumi na bbiri	twelve
omusumaali	nail
obutamanya	naive
okuba n'akakwaate	associated
okubeera n'akakwaate	related
lumu na lumu	rarely
okuba n'amagezi	wise
erinnya	name
obutabeera na mugaso	useless
kumi na mukaaga	sixteen
kumi na munaana	eighteen
kumi na musanvu	seventeen
kumi na mwenda	nineteen
obwa nannyini	own
obwa nannyini	possessive
eby'obwa nannyini	property
kumi na nya	fourteen
engombo	narrative
obufunda	narrow
kumi na ssatu	thirteen
-bi	nasty
kumi na taano	fifteen
eggwanga	national
eggwanga	nationality
obuwangwa	native
buzaalirwana	natural
enkula	nature
ekikeeto	nausea
obubeera na	without
akatalekeka, naye nga si keekasembayo	last but not least
mu nda	inside
mu nda	internal
Nze ndi	I am
kumpi	near
kumpi	nearly
wew'awo ne	as well
wew'awo ne	as well as
obuyonjo	neat
okubeera n'ebirooto ebinene	ambitious
ensingo	neck
enkwanzi	necklace
lwaaki nedda	why not
okubera ne ebirungo bingi	diversity
okwetaaga	need
ekibi	negative
okuekerera	neglect
okuteesa	negotiate
muliraana	neighbor
omuliraano	neighborhood
newankubadde	neither
okuba n'ekisa	compassionate
kumu n'emu	eleven
kumpi ne	nearby
kumpi ne	next to
omujjwa	nephew
okweraliikirira	nervous
ekisu	nest
akatimba	net
neetiwaaka	network
nampawengwa	neutral
obutasoboka	never
towanika	never give up
tokifaako	never mind
tokifaako	nevermind
-pya	new
kyekimu ne wano	Same here
amawulire	news
ekiddako	next
kiri nga	apparent
ekintu nga entandikwa yegata ne enkomerelo	intimate
okugeza nga	For example
okubeera nga olina	having
okulabika nga omuntu omulala	typical
okugeza nga	such as
mpozi nga	unless
mpaka nga	until
ku ngulu	surface
kirungi	nice
mujjwa	niece
ekiro	night
mwenda	nine
kyenda	ninety
kya njawulo	remarkable
kya njawulo	special
ebugwa njuba	west
mu nkeera	early
Nange nkwagal	I love you too
-nna -nna	whatever
Nedda	No
okuba n'obukakafu	certain
kereere	noise
kereere	noisy
okulima n'okulunda	agriculture
tewali	none
ttuntu	noon
nedda	nope
wadde	nor
amambuka	north
ennyindo	nose
-li	not
nedda	not at all
ebbaluwa	note
bwatiikirivu	noted
tewali	nothing
okwetegereza	notice
okwetegereza	noticed
Okuba n'otulo	sleepy
tenaba	not yet
erinnya	noun
amannya	nouns
akatabo	novel
kaakati	now
tekisoboka	no way
nga nsolo	savage
Leka nsuubire	I hope so
obuteeruma ntama	straightforward
kya ntiisa	awful
omuwendo	number
omusawo	nurse
kinyeebwa	nut
nagomola	nutmeg
kyamaanyi nyo	acute
okwagala nyo	addicted
si nyo	hardly ever
kibi nyo	horrible
Nkwagala nyo	I love you so much
nkusubwa nyo	I miss you so much
nene nyo	immense
okulowooza nyo	overthinking
teyetabamu nyo	passive
kyankizo nyo	priority
kilungi nyo	so cute
kisanyusa nyo	stunning
okwogera nyo	talkative
weebale nyo.	thank you so much
webale nyo	thank you very much
kingi nyo	tremendous
kilungi nyo	very good
ekirayiro	oath
obunene	obesity
okugonda	obey
ekintu	object
omulamwa	objective
obuvunaanyizibwa	obligation
ekitategerekeka	obscure
okwetegereza	observation
okwetegereza	observe
okutamiira	obsessed
okutamiira	obsession
ekiziyiza	obstacle
okufuna	obtain
okufunibwa	obtained
okuwandiika obubaka	text
ekisingako obubi	worse
ekisinga obubi	worst
okukuuma obudde	punctual
okuwa obukakafu	prove
okutuusa obulabe	harm
okulabika obulungi	aesthetic
okufaanana obulungi	elegant
okufaanana obulungi	good looking
okulabika obulungi	smart
obulwadde obusaasaana	epidemic
obubaka obutalina makulu	spam
obuntu obutonotono	pieces
okuweesa obutuukirivu	justify
-suubirwa	obvious
bwekiri	obviously
oluusi	occasionally
omulimu	occupation
okubeerawo	occur
okubeerawo	occurred
okutuukawo	occurs
amazzi	ocean
oddi	odd
mbiranye	odds
-a	of
tekuli	off
okuwa	offer
yafeesi	office
omufuzi	official
okutera	often
Omweezi ogusooka	January
omuwendo ogwa wansi	cheap
omweezi ogw'ekkumi n'olumu	november
omweezi ogw'ekkumi	october
omweezi ogw'okutaano	may
omweezi ogwomukaaga	june
omweezi ogwomusanvu	july
omweezi ogw'omwenda	september
Oh	Oh
butto	oil
kale	ok
kaale	okay
okutambula okugenda mumasa	surge
okusobola oku	in order to
ekikunyumira okukola	hobby
-sanyuse okukulaba	you are welcome
tusanyuse okukulaba	your welcome
kirungi okukusisinkana	nice to meet you
ebire okukwaata	cloudy
okwongera okulongoosa	improve
enjala okuluma	hungry
okulya okulungi	nutrition
okwaagala okumanya	curious
kyangu okumenyeka	delicate
okulonda okutalimu okwekubila	random
ekintu okutukawo	incident
okusinga okwagala	favorite
okusinga okwagala	prefer
-singa okwagalwa	favourite
-kadde	old
nkulamusizaako, oli otya	hello how are you
nkulamusizaako, oli otya	hello how are you doing
nkulamusizza, oli otya	hi how are you
okubeera olubuto	pregnant
ekwakubira oludda	bias
okwekubira oludda	biased
olunaku olulungi	good day
olugendo olulungi mu nnyonyi	safe flight
olulimi olumu telumala	one language is never enough
nkwagaliza olunaku olulungi	have a good day
nkwagaliza olunaku olulungi	have a nice day
olugalo olusajja	thumb
olugero oluvude mu bintu ebweda	epic
okufuuwa oluwa	whistle
olunaku ol'wabbalaza	monday
Olunaku ol'wamukaaga	Saturday
Olunaku olw'okubiri	Tuesday
olunaku olw'okuna	Thursday
Olunaku olwokusatu	Wednesday
olunaku olw'okutaano	friday
olunaku olw'omweezi	date
buli omu	everybody
buli omu	everyone
mulamu omukazi	sister in law
okuwa omukisa	bless
-lina omukisa	blessed
okufuuwa omukka	blow
okufugisa omukono gw'ekyuuma	arbitrary
okuteekako omukono	sign
okutekako omukono	signature
omutwe omukulu	highlight
omwagalwa omulenzi	boyfriend
okukuma omuliro	gear
Ssebo omulungi	Dear Sir
omulimu omulungi	good job
buli omu ne munne	each other
okukiikirira omuntu omulala	behalf
waliwo omuntu	someone
omwaka omupya og'wessanyu	happy new year
mulamu omusajja	brother in law
omugole omusajja	fiance
omugole omusajja	groom
okusalira omusango	blame
okusingibwa omusango	guilty
okusala omusango	judge
omuntu omusiru	nerd
omuntu omusiru	simp
okuyimusa omutindo	upgrade
okulumizibwa omutwe	headache
ekibwika omutwe nate nga amaaso galabika	hood
kaale omwaagalwa	okay honey
okufula omwaana	adopt
nkulamusizaako omwagalwa	hello dear
ku	on
-umu	once
emu	one
akatungulu	onion
-okka	only
ani ono	who is this
okuggula	open
okulongoosa	operation
endowooza	opinion
emikisa	opportunities
omukisa	opportunity
obuteefaananyirizako	opposite
eky'olondako	option
oba	or
omucumgwa	orange
okulagira	order
ekitongole	organization
okuteekateeka	orientation
ensibuko	origin
-yiiye	original
Oromo	Oromo
mulekwa	orphan
-lala	other
naye	otherwise
osiibye otya	good afternoon
osiibye otya	good evening
wasuze otya	good morning
oli otya	how are you
oli otya	how are you doing
oli otya leero	how are you doing today
oli otya leero	how are you today
okuteekwa	ought
ffe	our
wabweru	out
ebivudemu	outcome
eky'okwambala	outfit
okufuluma	outgoing
akaduuka	outlet
okulambulula	outline
wabweeru	outside
okusukkawo	outstanding
akabiga	oven
kiwedde	over
okuwangula	overcome
obukoowu	overwhelmed
okusukkuluma	overwhelming
ebbanja	owe
okiwuggulu	owl
nannyini	owner
omwaana ow'obuwala	daughter
omwagalwa ow'obuwala	girlfriend
kale ow'omukwano	okay my love
kaale ow'omukwano	ok my love
pesi	pace
okupanga	pack
okusabika	package
okusasula	paid
obulumi	pain
okusiiga	paint
okusiiga	painting
omugogo	pair
okusiibuuka	pale
ekibatu	palm
paani	pan
pandemiki	pandemic
okupakuka	panic
empale	pants
olupapula	paper
eggulu	paradise
tebikwatagana	parallel
baasa	parcel
okusonyiwa	pardon
abazadde	parents
okuyimirira	park
enkusu	parrot
ekitundu	part
okwetaba	participate
okwenankanya	particular
kilondedwa	particularly
munno	partner
okujjaganya	party
okuyitawo	pass
ekkubo	passage
okuyita	passed
ekiruyi	passion
obwagazi	passionate
paasiwaadi	password
edda	past
ekiraaka	patch
ekkubo	path
-bi	pathetic
obuguminkiriza	patience
okugumiikiriza	patient
patani	pattern
okuyimirizamu	pause
-sasula	pay
okusasula	payment
emirembe	peace
emirembe	peaceful
peach	peach
entikko	peak
pear	pear
kawo	peas
okufuuyisa	pee
okuwaata	peel
emikwaano	peer
ab'emikwaano	peers
kalaamu	pen
kalaamu	pencil
tekinagwa	pending
abantu	people
kamulali	pepper
okulaba	perceive
endaba	perception
okutuukirira	perfect
okwolesa	perform
okwoolesa	performance
kyandiba	perhaps
ekiseera	period
lubeerera	permanent
olukusa	permission
okukkiriza	permit
obutawanika	perseverance
okulemerako	persistent
omuntu	person
kyaama	personal
ebikukwatako	personality
endowooza	perspective
okwogereza	persuade
omuseegu	pervert
ekisolo	pet
emitendera	phase
obufirosoofo	philosophy
essimu	phone
ekifaananyi	photo
ekigambo	phrase
okulonda	pick
okukyima	pick up
ekifaananyi	picture
ekitundu	piece
embizzi	pig
engiibwa	pigeon
okubunga	pile
omutto	pillow
ekikwaso	pin
